-aç	ɑtʃ
kalmalısın	kalmaˈlɯsɯn
kalmalısın	ɑɫmɑɫɯˈsɯn
kalmalısınız	kalmaˈlɯsɯnɯz
kalmalıydım	kalmaˈlɯjˈdɯm
kalmalıydın	kalmalɯɫɯˈ
kalmalıydın	kalmaˈlɯjˈdɯn
kalmalıyım	kalmaˈlɯjɯm
kalmalıyız	kalmaˈlɯjɯz
kalmam	kalˈmɑm
kalmama	kalmama
kalmamak	kalmɑmɑk
kalmamalı	kalmamaɫɯ
kalmamalıydı	kalmɑmalɯnˈdɯ
kalmamalıydık	kaɫmɑmalɯdɯk
kalmaması	kalmamaʃi
kalmamı	kalmaːmi
kalmamın	kalmaːmɯn
kalmamız	kalmaːmɯz
kalmamıza	kalmaˈmɯza
kalmamızı	kalmaˈmɯzu
kalmamış	kalmaˈmɯʃ
kalmamıştı	kalmaˈmɯʃtɯ
kalmamıştır	kalmaˈmɯʃtɯr
kalman	kalman
kalmana	kalˈmanə
kalmanı	kalmaˈnɯ
kalmanın	kalˈmanɯn
kalmanız	kalmanɯz
kalmanızı	kalmaˈnizi
kalması	kalmaˈsɯ
kalmasın	kalmaˈsɯn
kalmasından	kalmaˈsɯnˈdan
kalmaya	kalmaˈjɑ
kalmayabilir	kalmaˈjibɯɾ
kalmayacak	kalmaˈjak
kalmayacaksın	kalmaˈjɑkʃɯn
kalmayacaktı	kalmaˈjaktɯ
kalmayacaktır	kalmaˈjaktɯɾ
kalmayacağım	kalmajɑɑkɯm
kalmayacağım	kalmaˈjɯcɯm
kalmayacağını	kalmaˈjɑtʃɯˈnɯ
kalmayacağız	kalmajaɣɯz
kalmayalım	kalmaˈjɑɫɯm
kalmayana	kalmaˈjɑnɑ
kalmayı	kalmaɯ
kalmayı	ɑɫmaji
kalmayın	kalmaˈjɯn
kalmayınız	kalmajiˈniz
kalmayıp	kalmaˈjɯp
kalmayız	kalmaɯz
kalmaz	kalmaz
kalmazdı	kalˈmɑzˈdɯ
kalmazdım	kalmazdɯm
kalmazsın	kalˈmazsɯn
kalmıyor	kalmɯjoɾ
kalmıyorsun	kalmɯjɯɾsʊn
kalmıyorum	kalmɯjoɾum
kalmış	kalˈmɯʃ
kalmışken	kalˈmɯʃken
kalmışlar	kalˈmɯʃɫar
kalmışsın	kalˈmɯʃsɯn
kalmıştı	kalmɯʃtɯ
kalmıştık	kalmɯʃtɯk
kalmıştım	kalmɯʃtɯm
kalmıştın	kalmɯʃtɯn
kalmışım	kalmɯʃɯm
kalomel	kɑlɔmæɾ
kalori	kaˈloɾi
kalorifer	kaloːrifˈaːr
kalorifer	kalɔɾiˈfeɾ
kalorifer	kaləlfɛʃ
kalorifercilik	kaloɾefeɾdʒiɫiːk
kalorimetri	kaloɾimetʃɾi
kalotip	kalotsip
kalp	kaj
kalp	kalp
kalpak	kaːlbaːk
kalpaklık	qɑlpɑtlik
kalpakçı	kɑɫpɑktʃɯ
kalpazanlık	kalpazɑndɯk
kalple	kalple
kalpler	kalˈpɫɛr
kalpleri	kalplɛri
kalplerimiz	kalpleɾiˈmiz
kalplerini	kalpleˈɾini
kalpli	kalpɫi
kalpli	kaːtlˈi
kalplilik	qɯ̞ɫtli̠ɫɪ̞k
kalpsiz	kalpsiz
kalpsizsin	kalpsizsim
kalpten	kalpt̪en
kalsa	kalˈsa
kalsak	kalˈsɑk
kalsam	kalˈsam
kalsan	kalˈsan
kalsaydı	kalsajɯ
kalsaydım	kalˈsajdɯm
kalsaydın	kalsajdin
kalsemi	kɒlsemi
kalsifikasyon	kalˈsifikasjon
kalsit	kasit
kalsiyum	kalsijum
kalsiyum	kalsjum
kalsın	kalˈsɯn
kalsınlar	kalˈsɯnɫɑɾ
kaltabanlık	taˈltavanlɯk
kaltak	kalˈtɑk
kaltak	tɑɫtsɑk
kaltaklar	kalˈtɑkˈlɑɾ
kaltaklık	kɑltɑkɫɯ̞k
kaltakçı	kɑltɑqtʃɯ̞
kaltağı	kaltaː
kaltağın	kaltaːɰɯn
kalubela	kalubila
kalubela	kaːɬubeːlɑ
kalubelâ	kɑːlvbeˈlɑː
kalvenizm	kalvenizim
kalyoncu	kalliˈɫi
kalça	kalˈtʃɑ
kalçalar	kaltʃalɑr
kalçalar	kaɫtʃɑɫɑɾ
kalçaları	kaltʃalaɾɯ
kalçalarını	kaltʃalaɾɯni
kalçalı	kɑɫtʃɑɫɯ
kalçalık	kɑltʃɑɫɯk
kalçanı	kalˈtʃanɯ
kalçası	kalˈtʃaːsɯ
kalçın	kɑltʃɨn
kalıbı	kalɯˈbɯ
kalıbını	kalɯbiˈnɯ
kalıcı	kaliːdʒɯ
kalıcılık	ɑɫɯdʒɯɫɯk
kalık	kɑˈɫɯk
kalıklık	kɑˈɫɯtlɯk
kalım	kalɯm
kalım	kɑˈɫɯm
kalımlı	kɑˈɫɯmɫɯ
kalımlılık	kɑɫɯmɫɯɫɯk
kalımsız	kaliːmsɯz
kalın	kaˈɫɯn
kalınca	kaˈlɯndʒɑ
kalınca	ɑɫɯnʤa
kalınlatma	kɑɫɯnlɑtma
kalınlaşma	kaˈlɯnlaʃma
kalınlaştırmak	kalɯnlaʃˈtɯɾmɑk
kalınlık	tɑɫɯnɫɯk
kalınlığında	kalɯnɫɯɣɯnˈda
kalınmak	ɑɫɯnmak
kalıntı	kalɯntɯ
kalıntı	kɯlɯntɯ
kalıntılar	kalɯntɯlaɾ
kalıntıları	kalɯntɯlaɾɯ
kalıntılarını	kalɯntɯlaɾɯnɯ
kalıntısı	kalɯntɯsɯ
kalıp	kaɫɯp
kalıp	kaˈɫɯp
kalıplama	kɑlɯpɯlamaː
kalıplanma	kɑɫɯpɫɑnmaː
kalıpları	kalɯpɫɑɾɯ
kalıplatma	ɑɫuplɑtmɑ
kalıplatmak	kalɯplatsma
kalıplaşma	kaɫɯpɫaʃma
kalıplaşmak	kaliplɑʃmɑ
kalıplaşmış	kɑɫɯpɫɑʃmɯʃ
kalıplaştırma	kɑlɯpɫaʃtɯɾma
kalıplaştırmak	kaɫɯplaʃtɯɾmak
kalıplı	kɑɫɯ̞pɫʊ̞
kalıplık	kaɫɯpɫɯk
kalıpsız	kalupsɯz
kalıpçı	kɑˈlɯptʃɯ
kalıpçılık	kɑɫɯptʃɯˈɫɯk
kalır	kalɯɾ
kalırdı	kalɯɾɯ
kalırdık	kalɯɾdɯk
kalırdım	kalɯɾdɯm
kalırdın	kalɯɾˈdin
kalırken	kalɯɾˈken
kalırlar	kalɯɾɫɑɾ
kalırlar	ulɯnɫaɾ
kalırsa	kalɯɾsa
kalırsa	kɐlɯɾˈsɑk
kalırsak	kalɯɾˈsɑk
kalırsam	kalɯɾsam
kalırsan	kalɯɾsan
kalırsanız	kalɯɾsanɯz
kalırsın	kalɯɾˈsɯn
kalırsınız	kalɯɾsɯnɯz
kalırım	kalɯˈɾɯm
kalırız	kalɯˈɾɯz
kalıt	kɯ̞ɫɯ̞t
kalıtsal	kalɯtˈsal
kalıtsal	kɑɫɯtsɑ
kalıtsallık	kɯɫɯtsɑɫːɯ̞k
kalıtçı	kɑlɯtˈtʃɯ
kalıtım	kalitim
kalıtımsal	kɑnɯtɯnsal
kalıverme	kɯlɯveɾmæ
kalıyor	kalɯˈjoɾ
kalıyordu	kalɯjɯɾdɯ
kalıyordum	kalɯjoɾˈduːm
kalıyorlar	kalɯjoɾɫɑɾ
kalıyormuş	kalɯjoɾmuʃ
kalıyorsun	kalijoɾsun
kalıyorsunuz	kalɯjoɾsunuz
kalıyorsunuz	kaˈlɯjoɾsijnz
kalıyorum	kalɯjoɾum
kalıyoruz	kalɯjoɾuz
kalıyoruz	kɑlɯˈjoɾuz
kalış	ɑɫɯʃ
kam	kʰæm
kama	kama
kamalamak	kɑmɑɫˈɑmɑq
kamalı	kɑmɑɫɯ̞
kaman	kama
kaman	kəmɑn
kamanço	kamatʃˈa
kamar	kɑmɑʃ
kamara	kamɐɾaː
kamaracı	kʌmarɑtsʌ
kamasutra	amasˈutra
kamasız	kɑmaːsɯz
kamaştırıcı	kamaʃtiɾɯdʒi
kamaştırıcı	kamaʃtɯɾɯdʒɯ
kamaşullah	kɑmɑˈʃuɫla
kamber	kɒmbær
kamboçya	kambosja
kambriyen	kambɾian
kambur	ka'mbuɾ
kambur	kambuz
kambura	kambora
kamburlaşma	kɑmˈbʊɾɫɑʃma
kamburluk	tɑmbunlɯq
kamelya	kamella
kamera	kameɾa
kamera	kamˈeɾa
kamerada	kameɾada
kameradan	kameɾadaːn
kameralar	kameɾalɑɾ
kameralara	kameɾalaɾa
kameralardan	kameɾalaɾˈdan
kameraları	kameɾalaɾɯ
kameraların	kameɾalaɾɯn
kameralarına	kameɾalaɾɯna
kameralarından	kameɾalaɾɯn
kameralarını	kameɾalaɾɯna
kameralı	kameɾaːɫɯ
kameram	kameɾam
kameraman	kameɾamaːn
kameraman	kamɛraˈman
kameramı	kameɾamɯ
kameranı	kameɾaːˈnɯ
kameranın	kameɾaːn
kamerası	kameɾasɯ
kamerasından	kameɾasɯndan
kamerasını	kameɾasɯˈnɯ
kameraya	kameɾaja
kamerayla	kameɾajla
kamerayı	kameɾaˈjɯ
kameriye	koˈme�ɾije
kameriyeli	kamerilielɛ
kamersiz	kamɛrsiz
kamerun	kamiːɾum
kamerunlu	kamɛrʊnˈlo
kamerî	kameri
kamet	kɑmɛt
kamikaze	kamikaze
kamikazelik	kɑmɪkazelik
kamil	kaˈmil
kamil	kɑːmɪl
kamile	kɑmɪlɛn
kamilen	kɑmila
kamineto	kaminesto
kamkaz	kɑːmkæz
kamp	kamp
kampa	ˈkɑmpɑ
kampanya	kampɑɲɑ
kampanyası	kampanjasɯ
kampanyasına	kampanʲaˈnɯa
kampanyasını	kampanjɑsɯnɯ
kampanyasıyla	panˈpanjesiːda
kamping	kampiŋ
kampları	kampˈlaɾɯ
kamplarına	kamplaɾɯnaː
kamplaşmak	kaːmplɑʃmat
kampta	kaːmptɑ
kamptaki	kampˈtɑkɯ
kamptan	kampˈtan
kampçı	kɑmpˈtʃɯ
kampüs	kampus
kampüs	kampʰys
kampüse	kampyˈse
kampüste	kampyste
kampüsteki	kampystegi
kampüsün	kampʰysyn
kampı	ˈkɑmpɯ
kampın	kampɯn
kampına	kampɯna
kampında	kampɯnˈdɑ
kampından	kampɯnˈdɑn
kamu	amu
kamu	ka'mu
kamuflaj	kamuflaʃ
kamuflaj	kamuflɑj
kamufle	kamufle
kamui	kamui
kamulaştırabilme	kamulɑʃtɪrɑbilmæ
kamulaştırabilmek	kamulaʃtɯɾɑbilmæk
kamulaştırılma	kɑmɑlɑʃtɯrɯlmɑ
kamuoyu	kamuju
kamuran	kɑmɑraːm
kamus	kamuz
kamusal	kamusal
kamusallaşma	kamuˈsallɑʃmaː
kamusallaşmak	kɑmɯsɑɫˈɫɑʃmɑk
kamusallaştırma	kamɯsɑɫˈɫɑʃtɯɾmɑ
kamusallaştırmak	kamusaːvlaʃtɯrˈmɑk
kamuya	kamya
kamyon	kamiotʃ
kamyon	kaˈmjon
kamyona	kamjona
kamyoncu	kamjonˈdʒu
kamyoncu	kaˈmjonˈdʒu
kamyonda	kaˈmjonda
kamyondan	kamonˈdan
kamyonet	kamjoˈnet
kamyonet	kɑmjˈonet
kamyonete	kamjonete
kamyoneti	kamjoneti
kamyonetin	kamjonetin
kamyonetini	kamjonetini
kamyonette	kamjoˈnet̪te
kamyonla	kaˈmjonla
kamyonlar	kamjonlaɾ
kamyonları	kamjoːnlaɾɯ
kamyonu	kaˈmjoːnu
kamyonun	kamjoːnun
kamyonuna	kaˈmjoːnuna
kamyonunu	kaˈmjoːnu
kamçı	kamtʃʲa
kamçı	kɑmtʃɯ
kamçıbaşı	kamˈtʃiˈbaʃɯ
kamçılamak	kɑmʧɯ̞ɫɑmɑq
kamçılanma	kamtʃɯlɑnmaː
kamçılanış	kamtɕiɫˈanɯɕ
kamçılatma	qɑmtʃiɫatma
kamçılaşma	qɑmtʃɯɫɑʃmɑ
kamçılaşmak	qɑmtʃɯɫɑʃmak
kamçılı	kamtʃuɫɯ
kamış	kaˈmɯʃ
kamışkulak	kɑmɯʃqulɑk
kamışlı	kɑmuʃlɯ
kamışlık	kamɯʃɯɫɯk
kamışçık	kɒmˈʃtʃik
kamışı	kamɯʃɯ
kan	kan
kan	kann
kan	kɔm
kana	kanɑ
kanaat	kɑnɑːt
kanaatli	konaːtsli
kanaatsizlik	kaˈnɑtsiːzˈlik
kanabilme	kɑnɑbilmæ
kanabilmek	kɑnɑbilmæk
kanacak	kɑɴitʃak
kanada	kɑnɑdɑ
kanada	kʲanada
kanadali	kɑnɑdɑɫɯ̞
kanadalı	kɑnɑdɑɫɯ
kanadalı	kɑɫɑdɑɫɯ
kanadı	kanaːdɯ
kanadında	kanaːdɯnda
kanafeh	kɑːnɑːfɛ
kanak	θənək
kanal	kaˈnal
kanal	kɑnɑz
kanala	kanala
kanalcık	kanɑɫtʃɯk
kanalcıklı	kanɑldʒɯcˈlɯ
kanalda	kanalda
kanaldan	kaˈnaldan
kanalet	kɑnɑlɛt
kanalizasyon	kanalizasjon
kanalizasyona	kɑnɑlɯzɑsjɯnɑ
kanalizasyonda	kanalizasjonda
kanalize	kɑnɑɫize
kanallar	kanaˈlaɾ
kanalları	kanaɫɫaɾɯ
kanallarını	kanalɫɯɾɯnɯ
kanalı	kaˈnaːɫɯ
kanalın	kanaːˈɫɯn
kanalına	kanaˈɫɯna
kanalında	kanaˈlɯnda
kanalını	kanaˈlini
kanama	kɑnɑmɑ
kanama	ɑnɑmɑ
kanamadan	kanama'dan
kanamak	ɑnɑmɑk
kanamalı	kɑnɑmɑɫɯ̞
kanamam	kanamam
kanaman	kɑnɑmɑn
kanaması	kanamasɯ
kanamaya	kanamaja
kanamayı	kanamaˈjɯ
kanan	kɑnɑn
kanape	kanapɛ
kanarya	kɑnɑˈɾjɑ
kanarya	kɑnɑːrja
kanaryalık	ɑnɑɾjɑɫɯk
kanasta	kɑnɑsˈtɑ
kanat	kaˈnat
kanatlandırma	ɟɑnɑtɫɑŋdɯɾmɑ
kanatlanma	kɑnɑtlɑnmaː
kanatlanmak	kɑnɑtɯlɑnmak
kanatlar	kɑnɑtɫɑɾ
kanatlarım	kanatlaɾɯm
kanatların	kanaːtɫɯɾɯn
kanatlarını	kanatɯɾɯnaː
kanatlı	kaˈnaːtɫɯ
kanatsız	kɑnɑpsɯz
kanatılmak	kɑnɑtɯɫmɑq
kanayaklı	kanajakfɨ
kanayan	kanajɑn
kanca	kaɲdʒɑ
kanca	kɑːmdʒɑː
kancabaş	kandʒɑˈbɑʃ
kancalanma	kɑndʒɑlɑnmaː
kancalanmak	kɑntʃɑɫɑnˈmɑk
kancalı	kontʃɑɫɯ
kancasiz	kantʃasɯz
kancık	kaɲˈtʃɯk
kancık	kɑˈnʒɯk
kancıl	kandʒuɾ
kanda	kanda
kandaki	kandaki
kandamlası	kandɑmɫɯsɯ
kandan	kɑndɑn
kandaşlık	kɑndaːʃˈlɯk
kandidoz	kondiːdˈos
kandilcilik	kɑndildʒilɪk
kandilisa	kandiliːsɑ
kandilli	kaːndjli
kandillik	kandilˈlɪk
kandira	kandɯˈɾa
kandirmaca	kamiːɾɯmɯdʒe
kandırabilmek	kandɯɾaˈbilmæk
kandıramazsın	ˈkɑːndɯɾɑˈmazsɯn
kandırdı	kandɯɾdɯ
kandırdılar	kandɯɾdɯlaɾ
kandırdım	kandɯɾdɯm
kandırdım	kandɯɾˈdɯm
kandırdın	kandɯɾdɯn
kandırdığını	kandɯɾdɯɾɯ
kandırma	kanˈdiɾma
kandırmaca	kandɯɾmadʒa
kandırmaca	kɑndɯɾɯmɑdʒɑ
kandırmak	kandɛimak
kandırmak	kanˈdɯɾmɑk
kandırmaya	kandɯrmaja
kandırmayı	kandɯrmaˈj
kandırmış	kandɯɾˈmɯʃ
kandırılabilir	kandɯɾɯləˈbɪɾɯ
kandırıldım	kɑndɯɾɯɫdʊm
kandırılmak	kɑndɯɾɯlˈmɑk
kandırılış	kɑndɯɾɯɫɯʃ
kandırıp	kandɯɾɯp
kandırıyor	kandɯɾɯjoɾ
kandırıyorsun	kandɯɾɯjoɾsun
kandırıyorum	kandɯɾɯjoɾum
kane	kane
kanepe	kanepe
kanepede	kane'pede
kanepenin	kaːneˈpenin
kanepeye	kaneˈpeje
kanepeyi	kanepeji
kang	kaŋ
kangallama	kɑŋgɑɑˈlɑmɑ
kangren	kaŋgɾen
kangren	kɑngɾæm
kangrenleştirme	kangrenleʃtˈiˈɾmɛ
kanguru	kaŋguɾu
kanguru	kɑŋguɾʊ
kanguru	kɑːnguɾu
kaniş	kɑːnʃ
kanji	kaɲdʒi
kanka	kaŋka
kanka	kɑːnkɑ
kanka	kɑːnkɑː
kankalar	kaŋkalar
kankam	kaŋˈkaːm
kankan	kaŋˈkaŋ
kankurutan	kʰɑmkurutiːn
kankırmızı	kɑːnkɯrmɯzi
kanla	kanla
kanlama	taːmlɑma
kanlamak	kɑnɫamɑk
kanlanma	kɑnˈlɑnma
kanlar	kanˈlaɾ
kanları	kanˈlaɾɯ
kanlarını	kanɯˈɫɯnɯ
kanlı	kanɫɯ
kanlıca	kɑnˈlɯdʒa
kanlılık	kɑnɫɯɫɯk
kanmazlık	kanmɑzˈlɯk
kano	kaˈnoː
kanon	kɑnɔn
kansas	kaˈnas
kanser	kanser
kanser	ˈkɑnsɛɾ
kanserden	kanserden
kansere	ˈkɑnsɛɾɛ
kanseri	ˈkɑnsɛɾi
kanserim	kɑnˈsɛɾim
kanserin	kɑnsɛɾin
kanserinden	ˈkɑnsɛɾindɛn
kanserleşmek	kɑːnsɛnˈlɛʃmɛk
kanserleştirmek	kansɑrliʃtiɾmɛk
kanserli	kansɛrli
kansız	kaːnˈsɯz
kansızlaşma	kansɯzlaːʃma
kantarcılık	kɑntɑɾʒɯˈlɯk
kantarlama	kɑntɯeɾlama
kantarlı	kantsɑllɯ
kantarma	kantɑrma
kantaron	kantɑron
kantat	kantsat
kantin	kantɪn
kantin	kɑntin
kantinci	kantʃɪnˈdʒi
kantiyane	kantsiani
kanto	kɑntɔ
kanto	kɒntɒ
kantocu	kɑnˈtɔdʒu
kanton	kˈanto
kanun	kaːnum
kanun	kɑˈnun
kanun	kɑːnun
kanuna	kɑnunɑ
kanuncu	kɑːnɔːnʒuː
kanunculuk	kanunˈdʒuɫuk
kanundan	kanunˈdan
kanunen	kanunɛn
kanunen	kaːnunaj
kanuni	kɑnuni
kanuni	kɑːnɔːniː
kanunlar	kɑˈnunlɑɾ
kanunlarda	kaːnumlɑɾˈdɑ
kanunlarda	kaːnunlaɾda
kanunları	kanunˈlɑɾɯ
kanunların	kɑnunɫɑɾɯn
kanunlarına	kanunɯˈnɑː
kanunlarını	kanunɯˈnɯ
kanunlaştırma	kanunlaʃˈtɯɾmɑ
kanunlaştırılma	kɑnumlaʃtɪɾɯlmɑ
kanunlaştırılmak	kanumlaʃtɪɾɯlmɑk
kanunsuz	kanunsuz
kanunsuz	kɑːnʊsˈus
kanunsuzluk	kaniːmsuzluk
kanunu	kanunu
kanunuesasi	karonuɛsɑːsiː
kanunun	kanunun
kanunusani	kaːnʊˈnsaːni
kanyak	çanʲjæk
kanyon	kaˈjon
kanyon	kɑnjɔn
kanyonu	kaˈjonoʊ
kanzaki	kaɴˈzagi
kançılar	kantʃɯˈlɑɾ
kanı	kanɯ
kanıbelli	kɑnɯbeliɫi
kanıklanma	kɑnɯkɯlɑnma
kanıklık	kɑːnɯklɯk
kanıksatma	kɑnɯ̞ksɑtma
kanıksatmak	kønɯksɑtmaːk
kanıksayış	kɐnɯkːsajʃ
kanım	kanɯm
kanımca	kaˈnɯmdʒɑ
kanımda	ka'nɯmda
kanımdan	kanɯmdan
kanımı	kaniˈmi
kanımın	kaˈnimɯn
kanımız	kanɯˈmɯz
kanın	kanɯn
kanına	kanɯna
kanında	kanɯnda
kanından	kanɯnˈd̪an
kanını	kanɯˈnɯ
kanırma	kɑɫɯɾma
kanırmak	kɯ̞nɯ̞ɾʊ̞mɑk
kanırtmak	kɑnɯɾtɯmɑk
kanırtmaç	kɐnɯːrtˁmɑːtʃ
kanıt	kaˈnɯt
kanıta	kanita
kanıtladım	kanitladɯm
kanıtladın	kaniːtlaːdɯn
kanıtlama	kanɯtˈlɑmɑ
kanıtlamak	kaˈnɯtlamak
kanıtlamak	kaˈnɯtɫɑmɑk
kanıtlamam	kanɯtɫɑmɑm
kanıtlaman	kaˈnɯtɫɑmɑn
kanıtlamaya	kanɯtɫamaʝa
kanıtlamaz	kaˈnɯtɫɑmɑz
kanıtlamış	kanɯtɫɑmɯʃ
kanıtlandı	kaniːtɫandɯ
kanıtlandırma	kɑnɯtlɑndɯɾɯmɑ
kanıtlanmak	kɯnɯtsɫanmɑq
kanıtlanmış	kaˈnɯtɫɑnˈmɯʃ
kanıtlar	kanɯtɫɑɾ
kanıtlara	kanɯtˈlɑɾɑ
kanıtları	kaˈnɯtlaɾɯ
kanıtların	kaniˈtɫaɾɯn
kanıtlarını	kanɯtɯɾɯˈnɯ
kanıtlayabilir	kanɯtɫajibɯɾɯ
kanıtlayabilirim	kanɯtɫajibɯɾɯm
kanıtlayabilme	kɑnɯsɫɑjɑbilmæ
kanıtlayacak	kanɯtɫajɑk
kanıtlayacağım	kanɯtɫajɯdʒɯm
kanıtlayacağız	kanɯtɫajɯɣɯz
kanıtlayan	kanitlajɑn
kanıtlıyor	kaˈnɯtɫɯjɯɾ
kanıtsamak	kɑnɯtsɑmɑːk
kanıtı	kanɯtɯ
kanıtıdır	kanɯtɯdɯr
kanıtım	kaniːˈtɯm
kanıtımız	kanɯˈtɯmɯz
kanıtın	kaniˈtɯn
kanıtını	kaniˈtɯni
kanıtınız	kaniˈtɯnɯz
kanıya	kaniʝa
kanıyla	kɑmɯjlæ
kanıyor	kaniɤɾ
kanıyor	kanɯjo
kanıyorsun	kaniˈjosun
kanış	ɑnɯʃ
kaoru	kaɔɾu
kaos	kaos
kaos	kˈaos
kaosa	kao̞ˈsa
kaosun	kaɔsun
kaotik	tæɑːtik
kap	kap
kapa	kapa
kapadı	kapɑːdɯ
kapadım	kapadɯm
kapak	kapak
kapak	tɑbɑt
kapaklanmak	tɑpɑkɫɑnmɑ
kapakları	kapaklaɾɯ
kapaklarını	kapakɫɯɾɯna
kapaklı	kapakɫɯ
kapaklı	kapakɫɯ̞
kapaklık	kɑpɑklɯ̞k
kapakçık	kapaktʃɯc
kapali	kapali
kapalı	kapaˈɫɯ
kapalıdır	kapaˈɫɯdɯr
kapalıydı	kapaˈɫɯdɯ
kapalıydı	kɑpɑɫɯjˈdi
kapalıydınız	kapaɫɯjˈtɯɾɯz
kapalıyken	kapaˈɫɯjɛn
kapalıyız	kapaˈɫɯjɯz
kapama	kapama
kapamak	kapamak
kapamam	kapamam
kapan	kapan
kapan	kɑˈpɑn
kapana	kapana
kapanabileceği	kaˈpɑnɑbiɫeˈɟij
kapanabilme	kaˈpanabilme
kapanabilmek	kɑpɑnɑbilmæk
kapanacak	kapanadʒak
kapanacakken	jɑpɑmɑgɯken
kapanci	kaˈpɑndʒɯ
kapandı	kapɑndɯ
kapandı	kɑˈpɑndɯ
kapandığını	kapanˈdɯŋu
kapanma	kapanma
kapanma	kapɒnma
kapanmadan	kapanmadan
kapanmadı	kapanmaːˈdi
kapanması	kapanmasɯ
kapanmıyor	kapanmɯjɯr
kapanmış	kapanˈmɯʃ
kapanmıştır	kapan'ʃɯdɯr
kapansın	kapansin
kapantı	kapantse
kapanık	kapaˈnɯk
kapanıklık	kɑpɑnɯˈklɯk
kapanıp	kapaˈnɯp
kapanır	kapaˈnɯɾ
kapanıyor	kapanijoɾ
kapanış	kapanɯʃ
kapar	kapɑɾ
kapar	tɑˈpɑr
kapari	kɐpˈariː
kaparoz	tɑpɑros
kaparozlama	kapɑɾɯlzlama
kaparozlamak	kɑpɑɾɯzlamɑk
kapasite	kapasite
kapasite	kɑˈpɑzite
kapasitede	kapasitede
kapasiteden	kapasiteden
kapasiteler	kapasiteleɾ
kapasitenin	kapasitenin
kapasitesi	kapasitesi
kapasitesi	kɐpˈastˈese
kapasiteye	kapasiteje
kapasiteyi	kapasiteji
kapasitör	kapasitɔɾ
kapat	kapat
kapatabilir	kapatibiɾ
kapatabiliriz	kapatiˈbeɾiɾiz
kapatabilmek	kɑpɑtsɑbilmæk
kapatacak	kapataʒak
kapatacağım	kapatoːɟɯ
kapatalım	kapatɑˈlɯm
kapatan	kapatan
kapatayım	kapatajɯm
kapatma	kapatma
kapatma	kɑpɑtsmɑ
kapatmadan	kapatmadan
kapatmak	kapatˈmak
kapatmalıyım	kapatmaˈɫɯjɯm
kapatmalıyız	kapatmaˈɫɯjɯz
kapatmam	kapat'mam
kapatmamız	kapatmamɯz
kapatman	kapatman
kapatmanı	kapatmani
kapatması	kapatmasɯ
kapatmaya	kapatmaja
kapatmayı	kapatˈmajɯ
kapatmayın	kapatmaˈjɯn
kapatmıyorsun	kapatmɯjorsun
kapatmış	kapatmɯʃ
kapatmışlar	kapatˈmɯʃɫɑɾ
kapatsın	kapaːˈtʃɯn
kapattık	kapatːɯk
kapattık	kɑpɑtːɯ̞k
kapattılar	kapatˈtɯɫɑɾ
kapattım	kapatːɯm
kapattın	kapɑttɯn
kapatılabileceğini	kapatsɯɫɑbɯɫedʒaːnɯ
kapatıldı	kapatɯɫɯ
kapatılma	kapaɯɫma
kapatılmak	kɯ̞pɑtsɯ̞nmɑq
kapatılmış	kapatɯmɯʃ
kapatılmış	kapatɯɫɯʃ
kapatılış	kɑpɑtɯɫɯʃ
kapatın	kapaˈtɯn
kapatın	kɐpˈaˈtɛ
kapatıp	kapatiːp
kapatır	kapatɯɾ
kapatırsan	kapatiɾsan
kapatırım	kapatiɾɯm
kapatırız	kapatiɾɯz
kapatıyor	kapatiˈjoɾ
kapatıyorlar	kapatiˈjoɾɫaɾ
kapatıyorsun	kapatyjoɾsun
kapatıyorum	kapatyjoɾum
kapatıyoruz	kapatiˈjɔɾuz
kapayabilmek	kɑpɑjɑbilmæk
kapayana	kapajɑnɑ
kapayın	kapajɯn
kapayıncaya	kapajɯntʃa
kapayıp	kapajɯp
kapağın	kapɑˈɯn
kapağına	kapɑːɯˈnɑ
kapağında	kapɑːɯɯnda
kapağını	kapaaˈnɯ
kapela	kapɛla
kapi	kapi
kapida	kɑpɯda
kapital	kapitˈɑl
kapitalist	kapita'lɯstɯ
kapitalist	kapitsɑlist
kapitalistleşmek	kapitaliːstlɑʃmɛk
kapitalizm	kapitaˈlizm
kapitülasyon	kapitiˈlasˈɛt
kapiyi	kapɯˈji
kapkara	kapkɑɾɑ
kapkara	tɑpkara
kapkaranlık	qɑpkɑɾɑnlɯk
kapkaç	kapˈkɑtʃ
kapkaçcı	kapkattʃɯ
kapkaççı	kɑpˈkɑtʃɯ
kapladı	kapɫɯdɯ
kaplama	kap'lamə
kaplamalı	kɑpɫɑmɯˈɫɯ
kaplamsal	kɑplɑmsɑv
kaplan	kapˈlan
kaplanlar	kapɫanˈlaɾ
kaplanmak	tɑpɫɑnmɑq
kaplanmış	kaplanˈmɯʃ
kaplanmış	kapɫɑnmɯʃ
kaplanın	kaplaˈnɯn
kaplanış	kaplaniʃ
kaplar	kapˈlaɾ
kaplatış	kaplatɯˈʃ
kaplayabilme	kaplɯjebilme
kaplayabilmek	kaplɑjɑbilmæk
kaplayan	kapɫan
kaplumbağa	kaplumˈbaː
kaplumbağalar	kaplumbaʒaɫaɾ
kaplumbağalar	kɑˈplumbaːlaɾ
kaplumbağam	kaːplunˈbaːgam
kaplı	kapmun
kaplı	kapɫɯ
kaplıca	kapɫɯdʒɑ
kaplıcalık	kapɫɯdʒɑlɯc
