ᆜ	jɯ
시선	ɕʰiːsʰʌ̹n
시선이	sisʌni
시설	sisʌl
시설	ɕʰiːsʰʌ̹ɭ
시설로	sisʌllo
시설로는	sisʌllonɯ
시설물을	sisʌlmuɾɯ
시설에	sisʌɾɛ
시설이	sisʌɾi
시설이나	s͈isʌɾina
시세	sisɛ
시소	ɕʰisʰo̞
시속	siso
시속	sisok
시숙	ɕʰisʰuk̚
시술을	sisuɾɯl
시스터	ɕʰisʰɯtʰʌ̹
시스템이	sisɯtʰɛmi
시시덕거리다	ɕʰiɕʰidʌ̹k̚k͈ʌ̹ɾida̠
시시하다	ɕʰiɕʰiɦa̠da̠
시식을	sisigɯl
시신	sisin
시신	ɕʰiɕʰin
시신	ɕʰiːɕʰin
시신경	ɕʰiːɕʰingjʌ̹ŋ
시신기증을	sisinkidʑɯŋɯl
시신으로	sisinɯɾo
시신은	sisinɯ
시신을	sisinɯ
시신을	sisinɯl
시신이나	sisinina
시심마	ɕʰiːɕʰimma̠
시아버지	ɕʰia̠bʌ̹dʑi
시안	ɕʰia̠n
시알코트	ɕʰia̠ɭkʰo̞tʰɯ
시앗	ɕʰia̠t̚
시야	ɕʰija̠
시어머니	siʌmʌni
시어머니	ɕʰiʌ̹mʌ̹ni
시에	siɛ
시에는	siɛnɯn
시에라리온	ɕ͈ie̞ɾa̠ɾio̞n
시에서	siɛsʌ
시옷	ɕʰio̞t̚
시왕	ɕʰiwa̠ŋ
시원하다	ɕʰiwʌ̹nɦa̠da̠
시월	ɕʰiwʌ̹ɭ
시위	siwi
시위	ɕʰiɥi
시위	ɕʰiːɥi
시위까지	siwik͈adʑi
시위로	siwiɾo
시위를	siwiɾɯ
시위를	siwiɾɯl
시위의	siwiɰi
시위자	ɕʰiːɥidʑa̠
시위하다	ɕʰiːɥiɦa̠da̠
시유	ɕʰiːju
시유하다	ɕʰiːjuɦa̠da̠
시음	ɕʰiːɯm
시음은	siɯmɯ
시읏	ɕʰiɯt̚
시인	ɕʰiin
시인	ɕʰiːin
시일	siil
시일이	siiɾi
시작	ɕʰidʑa̠k̚
시작	ɕʰiːdʑa̠k̚
시작됐지만	sidʑak̚t͈wɛt̚tɕ͈iman
시작되는	sidʑak̚t͈wɛnɯn
시작되다	ɕʰiːdʑa̠k̚t͈we̞da̠
시작되면	sidʑak̚t͈wɛmjʌ
시작된	sidʑak̚t͈wɛ
시작된	sidʑak̚t͈wɛn
시작으로	sidʑagɯɾo
시작점으로	sidʑak̚tɕ͈ʌmɯɾo
시작하게	sidʑakʰagɛ
시작하는	sidʑakʰanɯn
시작하다	ɕʰiːdʑa̠kʰa̠da̠
시작하면	sidʑakʰamjʌn
시작한	sidʑakʰa
시작한	sidʑakʰan
시작할	sidʑakʰal
시작할지	sidʑakʰaltɕi
시작해	sidʑakʰɛ
시작했다고	sidʑakʰɛt̚t͈ago
시작했다는	sidʑakʰɛt̚t͈anɯn
시작했지요라고	sidʑakʰɛt̚tɕ͈ijoɾago
시장	sidʑaŋ
시장	s͈idʑaŋ
시장	ɕʰidʑa̠ŋ
시장	ɕʰiːdʑa̠ŋ
시장과	sidʑaŋkwa
시장도	sidʑaŋto
시장상황에	sidʑaŋsaŋhwaŋɛ
시장에	sidʑaŋɛ
시장에서	sidʑaŋɛsʌ
시장은	sidʑaŋɯ
시장은	sidʑaŋɯn
시장은	s͈idʑaŋɯn
시장을	sidʑaŋɯl
시장의	sidʑaŋɰi
시장의	s͈idʑaŋɰi
시장이	sidʑaŋi
시장점유율	sidʑaŋtɕʌmjujul
시장하다	ɕʰidʑa̠ŋɦa̠da̠
시장하시다	ɕʰidʑa̠ŋɦa̠ɕʰida̠
시장환경에	sidʑaŋhwankjʌŋɛ
시적	ɕʰitɕ͈ʌ̹k̚
시절	sidʑʌl
시절	ɕʰidʑʌ̹ɭ
시절부터	sidʑʌlputʰʌ
시점	ɕʰitɕ͈ʌ̹m
시점	ɕʰiːtɕ͈ʌ̹m
시점에	sidʑʌmɛ
시점에서	sidʑʌmɛsʌ
시점은	sidʑʌmɯ
시점인	sidʑʌmin
시정명령도	sidʑʌŋmjʌŋnjʌŋto
시제	ɕʰidʑe̞
시제품을	sidʑɛpʰumɯl
시조	ɕʰidʑo̞
시조	ɕʰiːdʑo̞
시조조	ɕʰiːdʑo̞dʑo̞
시주	ɕʰiːdʑu
시중	sidʑuŋ
시중	ɕʰiːdʑuŋ
시즌	ɕʰidʑɯn
시즌에	sidʑɯnɛ
시집	ɕʰidʑip̚
시집가다	ɕʰidʑip̚k͈a̠da̠
시짱	ɕʰitɕ͈a̠ŋ
시쯤	s͈itɕ͈ɯm
시쯤부터	s͈itɕ͈ɯmputʰʌ
시차	ɕʰitɕʰa̠
시차	ɕʰiːtɕʰa̠
시찰	ɕʰitɕʰa̠ɭ
시청	sitɕʰʌŋ
시청	ɕʰiːtɕʰʌ̹ŋ
시청자	ɕʰiːtɕʰʌ̹ŋdʑa̠
시체	ɕʰiːtɕʰe̞
시체공시소	ɕʰitɕʰe̞go̞ŋɕʰisʰo̞
시체를	sitɕʰɛɾɯl
시초에	sitɕʰoɛ
시침	ɕʰitɕʰim
시카고	sikʰago
시카고	ɕʰikʰa̠go̞
시퀀스	ɕʰikʰwʌ̹nsʰɯ
시큰	ɕʰikxɯn
시킨다는	s͈ikʰintanɯ
시토회	ɕʰitʰo̞βwe̞
시트	ɕʰitʰɯ
시티	ɕʰitʰi
시편	ɕʰipʰjʌ̹n
시푸다	ɕʰipʰuda̠
시프다	ɕʰipʰɯda̠
시프트	sipʰɯtʰɯ
시한폭탄	ɕʰiɦa̠npʰo̞k̚tʰa̠n
시합	ɕʰiɦa̠p̚
시행	sihɛŋ
시행되면	sihɛŋtwɛmjʌn
시행령에	sihɛŋnjʌŋɛ
시행으로	sihɛŋɯɾo
시행이	sihɛŋi
시행하고	sihɛŋhago
시험	sihʌ
시험	ɕʰiɦʌ̹m
시험관	ɕʰiɦʌ̹mgwa̠n
시험관시술을	sihʌmkwansisuɾɯl
시험발사된	sihʌmpalsadwɛn
시험에	sihʌmɛ
시험이	sihʌmi
시험하다	ɕʰiɦʌ̹mɦa̠da̠
시혜	ɕʰiːʝe̞
시호	ɕʰiβo̞
시효로	sihjoɾo
시흥	ɕʰiːɣɯŋ
시흥경찰서	sihɯŋkjʌŋtɕʰalsʌ
시흥목감호반베르디움	sihɯŋmok̚k͈amhobanpɛɾɯdium
식	ɕʰik̚
식감	ɕʰik̚k͈a̠m
식겁	ɕʰik̚k͈ʌ̹p̚
식겁하다	ɕʰik̚k͈ʌ̹pʰa̠da̠
식관	ɕʰik̚k͈wa̠n
식구	ɕʰik̚k͈u
식구가	sik̚k͈uga
식구를	sik̚k͈uɾɯl
식기	sik̚k͈i
식기	ɕʰik̚k͈i
식기세척기	ɕʰik̚k͈isʰe̞tɕʰʌ̹k̚k͈i
식나무	ɕʰiŋna̠mu
식는다는	siŋnɯntanɯn
식다	ɕʰik̚t͈a̠
식단	ɕʰik̚t͈a̠n
식당	sik̚t͈aŋ
식당	ɕʰik̚t͈a̠ŋ
식당에서	sik̚t͈aŋɛsʌ
식당은	sik̚t͈aŋɯn
식당이	sik̚t͈aŋi
식도	ɕʰik̚t͈o̞
식량	siŋnjaŋ
식량은	siŋnjaŋɯn
식료품	siŋnjopʰum
식물들도	siŋmultɯlto
식물에	siŋmuɾɛ
식물유	ɕʰiŋmuɾju
식물은	siŋmuɾɯn
식물을	siŋmuɾɯl
식민지	siŋmintɕi
식민지	ɕʰiŋmiɲdʑi
식별자	ɕʰik̚p͈jʌ̹ʎdʑa̠
식비	ɕʰik̚p͈i
식빵	ɕʰik̚p͈a̠ŋ
식사	sik̚s͈a
식사	ɕʰiks͈a̠
식사를	sik̚s͈aɾɯl
식사비용을	sik̚s͈abijoŋɯl
식사하다	ɕʰiks͈a̠ɦa̠da̠
식성	ɕʰiks͈ʌ̹ŋ
식순	ɕʰiks͈un
식욕	sigjo
식용유	ɕʰigjoŋɲu
식으로	sigɯɾo
식으로까지	sigɯɾok͈adʑi
식의	sigɰi
식이	sigi
식자	ɕʰik̚tɕ͈a̠
식자우환	ɕʰik̚tɕ͈a̠uβwa̠n
식전	ɕʰik̚tɕ͈ʌ̹n
식중독	ɕʰik̚tɕ͈uŋdo̞k̚
식중독은	sik̚tɕ͈uŋtogɯ
식초	ɕʰik̚tɕʰo̞
식칼	ɕʰik̚kʰa̠ɭ
식탁	ɕʰik̚tʰa̠k̚
식탁보	ɕʰik̚tʰa̠k̚p͈o̞
식판	ɕʰik̚pʰa̠n
식품	sik̚pʰu
식품	ɕʰik̚pʰum
식품과	sik̚pʰumkwa
식품보존료	ɕʰik̚pʰumbo̞dʑo̞ʎʎo
식품이	sik̚pʰumi
식후	ɕʰikʰu
신	sin
신	ɕʰin
신	ɕʰiːn
신	ɕ͈in
신가파	ɕʰinga̠pʰa̠
신강	ɕʰinga̠ŋ
신격	ɕʰink͈jʌ̹k̚
신격호	sinkjʌkʰo
신격화	ɕʰink͈jʌ̹kʰwa̠
신격화되다	ɕʰink͈jʌ̹kʰwa̠dwe̞da̠
신격화하다	ɕʰink͈jʌ̹kʰwa̠ɦa̠da̠
신경	sinkjʌŋ
신경	ɕʰingjʌ̹ŋ
신경계	ɕʰingjʌ̹ŋgje̞
신경세포의	sinkjʌŋsɛpʰoɰi
신경쓰다	ɕʰingjʌ̹ŋs͈ɯda̠
신경언어학	ɕʰingjʌ̹ŋʌ̹nʌ̹ɦa̠k̚
신경전달물질	ɕʰingjʌ̹ŋdʑʌ̹nda̠ɭmuʎtɕ͈iɭ
신경통이라	sinkjʌŋtʰoŋiɾa
신경학	ɕʰingjʌ̹ŋɦa̠k̚
신경화씨가	sinkjʌŋhwas͈iga
신고	sinko
신고	ɕʰingo̞
신고를	sinkoɾɯl
신고만	sinkoman
신고인	ɕʰingo̞in
신고자와	sinkodʑawa
신고하다	ɕʰingo̞ɦa̠da̠
신곡	ɕʰingo̞k̚
신교도	ɕʰingjodo̞
신군부	ɕʰingunbu
신규	sinkju
신규	ɕʰingju
신규직원의	s͈inkjudʑigwʌnɰi
신기	ɕʰingi
신기록을	sinkiɾogɯl
신기루	ɕʰiːngiɾu
신기수	sinkisu
신기전	ɕʰingidʑʌ̹n
신기하다	ɕʰingiɦa̠da̠
신께	sink͈ɛ
신나다	ɕʰinna̠da̠
신년	ɕʰinɲʌ̹n
신년사	ɕʰinɲʌ̹nsʰa̠
신년하례도	sinnjʌnhaɾjɛdo
신념	ɕʰiːnɲʌ̹m
신념을	sinnjʌmɯl
신념이	sinnjʌmi
신논현역	s͈innonhjʌnjʌk
신농	ɕʰinno̞ŋ
신다	ɕʰiːnt͈a̠
신당	sintaŋ
신당	s͈intaŋ
신당	ɕʰinda̠ŋ
신당의	sintaŋɰi
신당이	sintaŋi
신당창당준비모임을	sintaŋtɕʰaŋtaŋtɕunpimoimɯl
신도	ɕʰindo̞
신도	ɕʰiːndo̞
신동	ɕʰindo̞ŋ
신동빈	sintoŋpin
신동욱	sintoŋu
신동인	sintoŋil
신동주	sintoŋtɕu
신디케이트	ɕʰindikʰe̞itʰɯ
신라시대부터	sillasidɛbutʰʌ
신력	ɕʰiʎʎʌ̹k̚
신뢰를	sillwɛɾɯ
신뢰하다	ɕʰiːɭɭwe̞ɦa̠da̠
신림동	sillimtoŋ
신맛	ɕʰinma̠t̚
신명기	ɕʰinmjʌ̹ŋgi
신묘	ɕʰinmjo
신문	ɕʰinmun
신문기사를	sinmunkisaɾɯ
신문사	ɕʰinmunsʰa̠
신문에	sinmunɛ
신문의	s͈inmunɰi
신문인	sinmunin
신문지	ɕʰinmuɲdʑi
신물	ɕʰinmuɭ
신미	ɕʰinmi
신민	ɕʰinmin
신민요	ɕʰinmiɲo
신박하다	ɕʰinba̠kʰa̠da̠
신발	sinpal
신발	ɕʰinba̠ɭ
신발공장을	sinpalkoŋtɕaŋɯ
신발끈	ɕʰinba̠ɭk͈ɯn
신법	ɕʰinp͈ʌ̹p̚
신변보호	s͈inpjʌnpoho
신변잡기	ɕʰinbjʌ̹ɲdʑa̠p̚k͈i
신병	sinpjʌŋ
신병	ɕʰinbjʌ̹ŋ
신병	ɕʰinp͈jʌ̹ŋ
신병	ɕʰiːnbjʌ̹ŋ
신부	ɕʰinbu
신부님	ɕʰinbunim
신부들이	sinpudɯɾi
신부모	ɕʰinbumo̞
신분	sinpun
신분	ɕʰinbun
신분으로	sinpunɯɾo
신분제를	sinpuntɕɛɾɯ
신분증	ɕʰinbuɲtɕ͈ɯŋ
신비	ɕʰinbi
신비하다	ɕʰinbiɦa̠da̠
신빙성	sinpiŋsʌŋ
신빙성	ɕʰiːnbiŋs͈ʌ̹ŋ
신빙성이	sinpiŋsʌŋi
신사	ɕʰinsʰa̠
신사	ɕʰiːnsʰa̠
신상	sinsaŋ
신상정보	sinsaŋtɕʌŋpo
신상진	sinsaŋtɕin
신생기업은	sinsɛŋkiʌbɯn
신선	ɕʰinsʰʌ̹n
신선로	ɕʰinsʰʌ̹ɭɭo̞
신선하다	ɕʰinsʰʌ̹nɦa̠da̠
신선한	sinsʌnhan
신선호	sinsʌnho
신설	ɕʰinsʰʌ̹ɭ
신설과	sinsʌlkwa
신성	ɕʰinsʰʌ̹ŋ
신성하다	ɕʰinsʰʌ̹ŋɦa̠da̠
신성한	sinsʌŋhan
신세	ɕʰinsʰe̞
신세계	sinsɛgjɛ
신세계	ɕʰinsʰe̞gje̞
신세대에	sinsɛdɛɛ
신세를	sinsɛɾɯl
신속	ɕʰiːnsʰo̞k̚
신수	ɕʰinsʰu
신스케	sinsɯkʰɛ
신시사이저	ɕ͈inɕʰis͈a̠idʑʌ̹
신시아	ɕʰinɕʰia̠
신앙	ɕʰiːna̠ŋ
신앙에서	sinaŋɛsʌ
신앙을	sinaŋɯ
신앙을	sinaŋɯl
신약	ɕʰiɲa̠k̚
신어	ɕʰinʌ̹
신영자	sinjʌŋtɕa
신용	ɕʰiːɲoŋ
신용등급	ɕʰiɲoŋdɯŋgɯp̚
신용카드	sinjoŋkʰadɯ
신원이	sinwʌni
신유	ɕʰiɲu
신음	ɕʰinɯm
신의주	ɕʰinɰidʑu
신인	ɕʰinin
신임	sinim
신임	ɕʰiːnim
신임을	sinimɯl
신임하다	ɕʰiːnimɦa̠da̠
신입	s͈inip
신자	ɕʰiːɲdʑa̠
신자식	ɕʰiɲdʑa̠ɕʰik̚
신장	ɕʰiɲdʑa̠ŋ
신장	ɕʰiɲtɕ͈a̠ŋ
신장	ɕʰiːɲdʑa̠ŋ
신장위	ɕʰiɲdʑa̠ŋɥi
신점	ɕʰiɲdʑʌ̹m
신정	ɕʰiɲdʑʌ̹ŋ
신정연휴와	sintɕʌŋjʌnhjuwa
신젖	ɕʰiɲdʑʌ̹t̚
신제품	s͈intɕɛpʰu
신제품	ɕʰiɲdʑe̞pʰum
신제품으로	sintɕɛpʰumɯɾo
신조어	ɕʰiɲdʑo̞ʌ̹
신종	sintɕoŋ
신종	ɕʰiːɲdʑo̞ŋ
신종균	sintɕoŋkjun
신주	ɕʰiɲdʑu
신중하게	sintɕuŋhagɛ
신중하다	ɕʰiːɲdʑuŋɦa̠da̠
신중한	sintɕuŋhan
신지학	ɕʰiɲdʑiɦa̠k̚
신진	sintɕin
신천옹	ɕʰiːɲtɕʰʌ̹no̞ŋ
신천지	sintɕʰʌntɕi
신청	ɕʰiɲtɕʰʌ̹ŋ
신청서	ɕʰiɲtɕʰʌ̹ŋsʰʌ̹
신청을	sintɕʰʌŋɯl
신청자	ɕʰiɲtɕʰʌ̹ŋdʑa̠
신청키로	sintɕʰʌŋkʰiɾo
신청하는	sintɕʰʌŋhanɯn
신청하다	ɕʰiɲtɕʰʌ̹ŋɦa̠da̠
신청할	sintɕʰʌŋhal
신체	sintɕʰɛ
신체에	sintɕʰɛɛ
신체적	sintɕʰɛdʑʌ
신체적	sintɕʰɛdʑʌk
신체적	ɕʰiɲtɕʰe̞dʑʌ̹k̚
신체적으로	sintɕʰɛdʑʌgɯɾo
신체적으로나	sintɕʰɛdʑʌgɯɾona
신촌의	sintɕʰonɰi
신축	ɕʰiɲtɕʰuk̚
신축성	ɕʰiɲtɕʰuks͈ʌ̹ŋ
신칸센	ɕʰinkʰa̠nsʰe̞n
신탁으로써의	sintʰagɯɾos͈ʌɰi
신포	ɕʰinpʰo̞
신풍	sinpʰuŋ
신하	ɕʰinɦa̠
신학	ɕʰinɦa̠k̚
신한국당	sinhankuk̚t͈aŋ
신협	s͈inhjʌp
신형	sinhjʌŋ
신형	ɕʰinʝʌ̹ŋ
신호	sinho
신호	ɕʰiːnβo̞
신호도	sinhodo
신호등	ɕʰiːnβo̞dɯŋ
신호체계에서는	sinhotɕʰɛgjɛɛsʌnɯn
신호총	ɕʰiːnβo̞tɕʰo̞ŋ
신호탄이	sinhotʰani
신혼	ɕʰinβo̞n
신혼부부	ɕʰinβo̞nbubu
신혼집에	s͈inhontɕibɛ
신화	ɕʰinβwa̠
신흥시장국	sinhɯŋsidʑaŋkuk
신흥시장국에	sinhɯŋsidʑaŋkugɛ
싣다	ɕʰiːt̚t͈a̠
실	ɕʰiɭ
실	ɕʰiːɭ
실	ɕ͈iɭ
실거리나무	ɕʰiɭgʌ̹ɾina̠mu
실고기	ɕʰiːɭgo̞gi
실눈	ɕʰiːɭɭun
실도	s͈ilto
실뜨기	ɕʰiɭt͈ɯgi
실라와	sillawa
실랑이	sillaŋi
실려가기도	silljʌgakido
실력행사를	silljʌkʰɛŋsaɾɯl
실례하다	ɕʰiɭɭe̞ɦa̠da̠
실로	ɕʰiɭɭo̞
실로폰	ɕʰiɭɭo̞pʰo̞n
실록	ɕʰiɭɭo̞k̚
실루엣	ɕʰiɭɭue̞t̚
실루엣은	silluɛsɯn
실리고	silligo
실리를	silliɾɯl
실린	sillin
실링은	silliŋɯn
실마리	ɕʰiːɭma̠ɾi
실망	ɕʰiɭma̠ŋ
실망투성이	ɕʰiɭma̠ŋtʰusʰʌ̹ŋi
실망하다	ɕʰiɭma̠ŋɦa̠da̠
실망한	silmaŋhan
실망할	silmaŋhal
실명	ɕʰiɭmjʌ̹ŋ
실명을	silmjʌŋɯ
실무	s͈ilmu
실무진이었던	silmudʑiniʌt̚t͈ʌn
실밥	ɕʰiːɭp͈a̠p̚
실베짱이	ɕʰiɭbe̞tɕ͈a̠ŋi
실사	silsa
실사격	silsagjʌk
실생활에	silsɛŋhwaɾɛ
실성	ɕʰiɭs͈ʌ̹ŋ
실성하다	ɕʰiɭs͈ʌ̹ŋɦa̠da̠
실세	silsɛ
실세다	silsɛda
실손보험	s͈ilsonpohʌm
실손보험에	silsonpohʌmɛ
실손보험으로	silsonpohʌmɯɾo
실솔	ɕʰiɭs͈o̞ɭ
실수	ɕʰiɭs͈u
실수는	silsunɯn
실수를	silsuɾɯl
실수하다	ɕʰiɭs͈uɦa̠da̠
실습	ɕʰiɭs͈ɯp̚
실시	ɕʰiɭɕ͈i
실시되는	silsidwɛnɯn
실시되다	ɕʰiɭɕʰidwe̞da̠
실시된	silsidwɛn
실시하기	silsihagi
실시하기도	silsihagido
실시하다	ɕʰiɭɕʰiɦa̠da̠
실시해	silsihɛ
실시했는데	silsihɛnnɯntɛ
실어	siɾʌ
실어주고	siɾʌdʑugo
실어준	siɾʌdʑun
실어줄	siɾʌdʑul
실어증	ɕʰiɾʌ̹dʑɯŋ
실업	siɾʌp
실업	ɕʰiɾʌ̹p̚
실업가	ɕʰiɾʌ̹p̚k͈a̠
실업자	ɕʰiɾʌ̹p̚tɕ͈a̠
실에	siɾɛ
실연	ɕʰiɾjʌ̹n
실용적인	siɾjoŋtɕʌgin
실은	siɾɯn
실은	ɕʰiɾɯn
실장은	siltɕaŋɯn
실장이	siltɕaŋi
실적	siltɕʌk
실적	ɕʰiʎtɕ͈ʌ̹k̚
실적이라고	siltɕʌgiɾago
실전훈련	siltɕʌnhulljʌn
실정	ɕʰiʎtɕ͈ʌ̹ŋ
실제	siltɕɛ
실제	ɕʰiʎtɕ͈e̞
실제로	siltɕɛɾo
실제로	ɕʰiʎtɕ͈e̞ɾo̞
실제로는	siltɕɛɾonɯn
실제보다	siltɕɛboda
실제사례나	siltɕɛsaɾjɛna
실존	siltɕo
실종	siltɕoŋ
실종과	siltɕoŋkwa
실종되다	ɕʰiʎtɕ͈o̞ŋdwe̞da̠
실직	ɕʰiʎtɕ͈ik̚
실직하고	siltɕikʰago
실직하는	siltɕikʰanɯn
실직하다	ɕʰiʎtɕ͈ikʰa̠da̠
실질임금은	siltɕiɾimkɯmɯn
실질적	ɕʰiʎdʑiʎdʑʌ̹k̚
실질적으로	siltɕiltɕʌgɯɾo
실질적인	siltɕiltɕʌgin
실천	ɕʰiʎtɕʰʌ̹n
실천적인	siltɕʰʌntɕʌgin
실천하는	siltɕʰʌnhanɯn
실천하다	ɕʰiʎtɕʰʌ̹nɦa̠da̠
실체	ɕʰiʎtɕʰe̞
실체적	siltɕʰɛdʑʌk
실추된	siltɕʰudwɛn
실컷	ɕʰiɭkʰʌ̹t̚
실탄	siltʰan
실톱	ɕʰiɭtʰo̞p̚
실패로	silpʰɛɾo
실패율이	silpʰɛjuɾi
실패하면서	silpʰɛhamjʌnsʌ
실패한	silpʰɛhan
실패했고	silpʰɛhɛt̚k͈o
실행	silhɛŋ
실행에	silhɛŋɛ
실행할	silhɛŋha
실향민	ɕʰiɾʝa̠ŋmin
실험	silhʌm
실험	ɕʰiɾɦʌ̹m
실험실	ɕʰiɾɦʌ̹mɕʰiɭ
실험하다	ɕʰiɾɦʌ̹mɦa̠da̠
실현	ɕʰiɾʝʌ̹n
실현됐다고	silhjʌntwɛt̚t͈ago
실현되는	silhjʌntwɛnɯn
실현되지	silhjʌntwɛdʑi
실현된	silhjʌntwɛn
실현을	silhjʌnɯ
실현하다	ɕʰiɾʝʌ̹nɦa̠da̠
실형을	silhjʌŋɯl
실화	ɕʰiɾβwa̠
싫고	silkʰo
싫다	ɕʰiɭtʰa̠
싫어지다	ɕʰiɾʌ̹dʑida̠
싫어하다	ɕʰiɾʌ̹ɦa̠da̠
싫증	siltɕʰɯŋ
싫지만	siltɕʰiman
심	sim
심	ɕʰim
심각성을	simkak̚s͈ʌŋɯ
심각하게	simkakʰagɛ
심각하니	simkakʰani
심각하다	ɕʰiːmga̠kʰa̠da̠
심각한	simkakʰa
심각한	simkakʰan
심경에	simkjʌŋɛ
심근경색	simkɯnkjʌŋsɛk
심근경색이	simkɯnkjʌŋsɛgi
심다	ɕʰiːmt͈a̠
심란하다	ɕʰimna̠nɦa̠da̠
심려	ɕʰimɲʌ̹
심리	simni
심리	ɕʰimni
심리로	simniɾo
심리상담을	simnisaŋtamɯl
심리전방송에	s͈imnidʑʌnpaŋsoŋɛ
심리학	simnihak
심리학	ɕʰimniɦa̠k̚
심리학자	ɕʰimniɦa̠k̚tɕ͈a̠
심리학자들은	simnihak̚tɕ͈adɯɾɯn
심마니	ɕʰimma̠ni
심마니말	ɕʰimma̠nima̠ɭ
심문	simmun
심문	ɕʰimmun
심문은	simmunɯn
심문하다	ɕʰimmunɦa̠da̠
심미안	ɕʰimmia̠n
심박	ɕʰimba̠k̚
심박수	ɕʰimba̠ks͈u
심방	ɕʰimba̠ŋ
심부름하다	ɕʰiːmbuɾɯmɦa̠da̠
심부전	ɕʰimbudʑʌ̹n
심사	ɕʰimsʰa̠
심사를	simsaɾɯl
심사숙고	ɕʰiːmsʰa̠sʰuk̚k͈o̞
심사위	simsawi
심산유곡	ɕʰiːmsʰa̠nɲugo̞k̚
심상	ɕʰimsʰa̠ŋ
심성	ɕʰimsʰʌ̹ŋ
심신에	simsinɛ
심심하다	ɕʰimɕʰimɦa̠da̠
심야	ɕʰiːmja̠
심에서	simɛsʌ
심연	ɕʰiːmjʌ̹n
심오	ɕʰimo̞
심오하다	ɕʰiːmo̞ɦa̠da̠
심오한	simohan
심의	ɕʰimɰi
심의	ɕʰiːmɰi
심의를	simɰiɾɯ
심의하다	ɕʰiːmɰiɦa̠da̠
심인성	ɕʰimins͈ʌ̹ŋ
심장	ɕʰimdʑa̠ŋ
심장병	simtɕaŋpjʌŋ
심정	ɕʰimdʑʌ̹ŋ
심정은	simtɕʌŋɯ
심정을	simtɕʌŋɯl
심줄	ɕʰimtɕ͈uɭ
심지	ɕʰimdʑi
심지어	simtɕiʌ
심지에	simtɕiɛ
심층	simtɕʰɯŋ
심판	simpʰan
심판	ɕʰiːmpʰa̠n
심판을	simpʰanɯl
심포지엄	ɕʰimpʰo̞dʑiʌ̹m
심하다	ɕʰiːmɦa̠da̠
심한	simhan
심한	s͈imha
심해져	simhɛdʑʌ
심해지고	s͈imhɛdʑigo
심해지는	s͈imhɛdʑinɯn
심해지면서	simhɛdʑimjʌnsʌ
심해지지	simhɛdʑitɕi
심호흡	ɕʰiːmβo̞ɣɯp̚
심혼	ɕʰimβo̞n
심화	ɕʰimβwa̠
심화되고	simhwadwɛgo
십	si
십	sip
십	s͈i
십	s͈ip
십	ɕʰip̚
십구	ɕʰip̚k͈u
십만	ɕʰimma̠n
십분	ɕʰip̚p͈un
십사	ɕʰips͈a̠
십삼	ɕʰips͈a̠m
십상팔구	ɕʰips͈a̠ŋpʰa̠ɭgu
십자	ɕʰip̚tɕ͈a̠
십자가	ɕʰip̚tɕ͈a̠ga̠
십자고상	ɕʰip̚tɕ͈a̠go̞sʰa̠ŋ
십자군	ɕʰip̚tɕ͈a̠gun
십자선	ɕʰip̚tɕ͈a̠sʰʌ̹n
십중팔구	ɕʰip̚tɕ͈uŋpʰa̠ɭgu
십칠	ɕʰip̚tɕʰiɭ
십팔	ɕʰip̚pʰa̠ɭ
싯	ɕʰit̚
싱	ɕʰiŋ
싱가포르	ɕʰiŋga̠pʰo̞ɾɯ
싱겁다	ɕʰiŋgʌ̹p̚t͈a̠
싱글	ɕʰiŋgɯɭ
싱글	ɕ͈iŋgɯɭ
싱글세	siŋkɯlsɛ
싱글싱글	ɕʰiŋgɯɭɕʰiŋgɯɭ
싱글족	siŋkɯltɕok
싱싱하다	ɕʰiŋɕʰiŋɦa̠da̠
싱어	ɕʰiŋʌ̹
싱어	ɕ͈iŋʌ̹
싱어송라이터	ɕ͈iŋʌ̹s͈o̞ŋna̠itʰʌ̹
싱커	ɕ͈iŋkʰʌ̹
싶기도	sip̚k͈ido
싶냐하면	simnjahamjʌ
싶다	ɕʰip̚t͈a̠
싶다고	sip̚t͈ago
싶다는	sip̚t͈anɯn
싶어	sipʰʌ
싶어요	sipʰʌjo
싶었다며	sipʰʌt̚t͈amjʌ
싶은	sipʰɯ
싶은	sipʰɯn
싶지	sip̚tɕ͈i
싶지가	sip̚tɕ͈iga
싸	s͈a̠
싸게	s͈agɛ
싸게	s͈a̠ge̞
싸고돌다	s͈a̠go̞do̞ɭda̠
싸늘하다	s͈a̠nɯɾɦa̠da̠
싸늘한	s͈anɯlha
싸다	s͈a̠da̠
싸리	s͈a̠ɾi
싸불	s͈a̠buɭ
싸서	s͈asʌ
싸스	s͈a̠sʰɯ
싸우다	s͈a̠uda̠
싸울아비	s͈a̠uɾa̠bi
싸움	s͈a̠um
싸움과	s͈aumkwa
싸움으로	s͈aumɯɾo
싸움을	s͈aumɯl
싸움터	s͈a̠umtʰʌ̹
싸워보려면	s͈awʌboɾjʌmjʌn
싸이다	s͈a̠ida̠
싸인펜	s͈a̠inpʰe̞n
싸잡아	s͈adʑaba
싹	s͈a̠k̚
싼	s͈a
싼	s͈an
싼룬처	s͈a̠ɭɭuɲtɕʰʌ̹
쌀	s͈al
쌀	s͈a̠ɭ
쌀국수	s͈a̠ɭguks͈u
쌀떡볶이	s͈a̠ɭt͈ʌ̹k̚p͈o̞k͈i
