-อืม--	ʔɯ̌ːm
ผมไม่ได้หมายความแบบนั้น	pʰommaɪ˥daɪ˩mɔːj˧kʰwɛːn˥˩nɑːn˥
ผมไม่ได้อยู่ที่นั่น	pʰɔmmaɪ˥daj˩˥ju˧˥tʰi˥na˥
ผมไม่ไหวแล้ว	pʰɔmmaɯajɛw
ผมไล่คุณออก	pʰɔmlaɪkʰʉnɔ̀k
ผลข้างเคียง	pʰon˩˩˦kʰaːŋ˥˩kʰia̯ŋ˧
ผลลัพธ์	pʰɔ̄n˥lɑp˧tʰɑ̀t
ผลัก	pʰlak̚˨˩
ผลัก	pʰlák
ผลักดัน	pʰlak̚˨˩dan˧
ผลักภาระ	pʰlak̚˨˩pʰaː˧raʔ˦˥
ผลัด	pʰlat̚˨˩
ผลาญ	pʰlaːn˩˩˦
ผลิ	pʰliʔ˨˩
ผลิตโดย	pʰlʰɪtdɔɪ
ผลไม้	pʰɔ̄nmâj
ผวน	pʰua̯n˩˩˦
ผอ	pʰɔ̀
ผอคะ	pʰɔːkʰaː˨
ผอชินแทฮวาน	ʔɔːtɕʰintʰaːwaːn
ผอฟิกกินส์	phɔː˥fɪk˨kɪn˥
ผอม	pʰɔːm˩˩˦
ผอม	pʰɔ̌m
ผัก	pʰak̚˨˩
ผัก	˥pʰák
ผักกาดหอม	pʰak̚˨˩kaːt̚˨˩hɔːm˩˩˦
ผักชีโรยหน้า	pʰak̚˨˩tɕʰiː˧roːj˧naː˥˩
ผักสลัด	pʰak̚˨˩sa˨˩lat̚˨˩
ผักโขม	pʰak̚˨˩kʰoːm˩˩˦
ผัง	pʰaŋ˩˩˦
ผัด	pʰat̚˨˩
ผัดซีอิ๊ว	pʰat̚˨˩siː˧ʔiw˦˥
ผัดผ่อน	pʰat̚˨˩pʰɔn˨˩
ผัดพริกขิง	pʰat̚˨˩pʰrik̚˦˥kʰiŋ˩˩˦
ผัดไท	pʰat̚˨˩tʰaj˧
ผัดไทย	pʰat̚˨˩tʰaj˧
ผัน	pʰan˩˩˦
ผับ	pʰap̚˨˩
ผัว	pʰua̯˩˩˦
ผัวะ	pʰua̯ʔ˨˩
ผัวเดียวเมียเดียว	pʰua̯˩˩˦dia̯w˧mia̯˧dia̯w˧
ผา	pʰaː˩˩˦
ผาก	pʰaːk̚˨˩
ผาสุข	pʰaː˩˩˦suk̚˨˩
ผิ	pʰiʔ˨˩
ผิง	pʰiŋ˩˩˦
ผิด	pʰit̚˨˩
ผิด	pʰìt˥
ผิดกฎหมาย	pʰɪt˥kɔt˨maː˧
ผิดคน	pʰɪt˥kʰɔn˧
ผิดคนแล้ว	pʰɪtkʰonlɛ̄ː
ผิดครับ	pʰɪtkʰráp
ผิดตรงไหน	pʰɪ̀ttɔ̀ŋnǎi
ผิดทาง	pʰɪt˥taːŋ˩
ผิดที่	pʰɪttʰi˥
ผิดผี	pʰit̚˨˩pʰiː˩˩˦
ผิดพลาด	pʰit̚˨˩pʰlaːt̚˥˩
ผิดพลาด	pʰɪtplàːt
ผิดหวัง	pʰit̚˨˩waŋ˩˩˦
ผิดหวัง	pʰɪtʰwaŋ˥
ผิดหวังเหรอ	pʰɪtwɑ̄ŋhɛ̀ː
ผิดเป็นครู	pʰit̚˨˩pen˧kʰruː˧
ผิดแล้ว	pʰɪt˥lɛw˩
ผิดแล้วล่ะ	pʰɪtlɛ̄ːlá
ผิดใจ	pʰit̚˨˩tɕaj˧
ผิว	pʰiw˩˩˦
ผิวขาว	pʰiw˩˩˦kʰaːw˩˩˦
ผิวดำ	piwdam
ผิวปาก	pʰiw˩˩˦paːk̚˨˩
ผิวหนัง	pʰiw˩˩˦naŋ˩˩˦
ผี	pʰiː˩˩˦
ผี	˥piː
ผีขนุน	pʰiː˩˩˦kʰa˨˩nun˩˩˦
ผีซ้ำกรรมซัด	pʰiː˩˩˦sam˦˥kam˧sat̚˦˥
ผีดิบ	pʰiː˩˩˦dip̚˨˩
ผีดูดเลือด	pʰiː˩˩˦duːt̚˨˩lɯa̯t̚˥˩
ผีถ้วยแก้ว	pʰiː˩˩˦tʰua̯j˥˩kɛːw˥˩
ผีน้อย	pʰiː˩˩˦nɔːj˦˥
ผีฟ้า	pʰiː˩˩˦faː˦˥
ผีอำ	pʰiː˩˩˦ʔam˧
ผีเจาะปาก	pʰiː˩˩˦tɕɔʔ˨˩paːk̚˨˩
ผีเน่ากับโลงผุ	pʰiː˩˩˦naw˥˩kap̚˨˩loːŋ˧pʰuʔ˨˩
ผีเสื้อ	pʰiː˩˩˦sɯa̯˥˩
ผีเสื้อกลางคืน	pʰiː˩˩˦sɯa̯˥˩klaːŋ˧kʰɯːn˧
ผีเสื้อราตรี	pʰiː˩˩˦sɯa̯˥˩raː˧triː˧
ผีไม่มีศาล	pʰiː˩˩˦maj˥˩miː˧saːn˩˩˦
ผึ้ง	pʰɯŋ˥˩
ผึ้ง	pʰɯ̂ŋ˥
ผืน	pʰɯ̀n
ผื่น	pʰɯːn˨˩
ผุ	pʰuʔ˨˩
ผุด	pʰut̚˨˩
ผุ้	pū
ผุ้จัดการ	pʰûːtɕátkʰaːn
ผูก	pʰuːk̚˨˩
ผู้	pʰuː˥˩
ผู้กล้า	pʰûːklâː
ผู้กอง	pʰûːkɔ̄ːŋ
ผู้กองครับ	pʰûːkɔ̄ːŋkráp
ผู้การ	pʰûːkàː
ผู้กำกับ	pʰuː˥˩kam˧kap̚˨˩
ผู้ก่อการร้าย	pʰuː˥˩kɔː˨˩kaːn˧raːj˦˥
ผู้ก่อการร้าย	pʰûːkɔ̀ːkɑːrɑ̀j
ผู้ก่อตั้ง	pʰuː˥˩kɔː˨˩taŋ˥˩
ผู้ขับ	pʰuː˥˩kʰap̚˨˩
ผู้ขาย	pʰuː˥˩kʰaːj˩˩˦
ผู้ขี่	pʰuː˥˩kʰiː˨˩
ผู้คน	pʰuː˥˩kʰon˧
ผู้คุม	pʰuː˥˩kʰum˧
ผู้ค้นหา	pʰûːkɔ̄ːnʰā
ผู้ค้า	pʰuː˥˩kʰaː˦˥
ผู้ค้าขาย	pʰuː˥˩kʰaː˦˥kʰaːj˩˩˦
ผู้จัดการ	pʰuː˥˩tɕat̚˨˩kaːn˧
ผู้จัดการคะ	pʰûːtɕátkāː
ผู้จัดการจาง	pʰûːtɕátkánɟaːŋ
ผู้จัดการปาร์ค	pʰûːtɕátkaːnpâːk
ผู้จัดการฮอง	pʰûːtɕátkánhoːŋ
ผู้จำหน่าย	pʰuː˥˩tɕam˧naːj˨˩
ผู้จ่ายเงิน	pʰuː˥˩tɕaːj˨˩ŋɤn˧
ผู้ชนะ	pʰuː˥˩tɕʰa˦˥naʔ˦˥
ผู้ชนะ	pʰûːtɕʰâː
ผู้ชม	pʰuː˥˩tɕʰom˧
ผู้ชม	pʰûːtɕʰɔ̌m
ผู้ชาย	pʰuː˥˩tɕʰaːj˧
ผู้ชายคนนั้นเป็นใคร	pʰûːtɕʰāːjkʰɔ̀nnánpʰɛ̀ːnkʰrā
ผู้ชายคนนี้	˥ʰuː˨ʃaːj˥kɔn˥niː
ผู้ชายคนนี้เป็นใคร	˩pʰûː˨tɕaːj˥kɔn˨niː˧bɛːn˨ʔkʰrɑː˥
ผู้ชายคนนึง	˩pʰûː˨tɕʰaj˥kʰɔn˧˥nɯŋ˨
ผู้ชายที่ชื่อ	pʰûːtɕʰa̯jtʰɤ̯nɯ̄ː
ผู้ชายหรือผู้หญิง	˩pʰûː˥tɕʰaj˧ʔ˨ʔpʰûː˥ɲɪŋ˧
ผู้ชายเหรอ	˩pʰûː˨tɕʰaj˥rɛ̀ː˥
ผู้ช่วย	pʰuː˥˩tɕʰua̯j˥˩
ผู้ช่วย	pʰûːtɕɔ̄ɯ̯
ผู้ช่วยของฉัน	pʰûːtɕɔ̀jkʰɔ̄ːŋtɕʰǎn
ผู้ช่วยของผม	pʰûːtɕɔ̌ːjkʰɔ̌ːŋpʰʰɔ̌ːm
ผู้ช่วยศาสตราจารย์	pʰuː˥˩tɕʰua̯j˥˩saːt̚˨˩traː˧tɕaːn˧
ผู้ซึ่ง	pʰûːsɯ̄ŋ
ผู้ซื้อ	pʰuː˥˩sɯː˦˥
ผู้ดี	pʰuː˥˩diː˧
ผู้ดีตีนแดง	pʰuː˥˩diː˧tiːn˧dɛːŋ˧
ผู้ตาย	pʰûːtʰāː
ผู้ต้องสงสัยหมายเลข	˩pʰûː˨tɔ̂ːŋ˧sɔ̌ŋ˧sǎː˨mǎː˥lɛ̀k
ผู้ถือหุ้น	pʰuː˥˩tʰɯː˩˩˦hun˥˩
ผู้ทำนาย	pʰuː˥˩tʰam˧naːj˧
ผู้ทำหม้อ	pʰuː˥˩tʰam˧mɔː˥˩
ผู้นำ	pʰuː˥˩nam˧
ผู้นำ	pʰûːnám
ผู้นำเข้า	pʰuː˥˩nam˧kʰaw˥˩
ผู้บรรยาย	pʰuː˥˩ban˧jaːj˧
ผู้บริสุทธิ์	pʰûːbrìsùt
ผู้บริหาร	pʰuː˥˩bɔː˧ri˦˥haːn˩˩˦
ผู้บริหาร	pʰûːbrīhǎːn
ผู้บริโภค	pʰuː˥˩bɔː˧ri˦˥pʰoːk̚˥˩
ผู้บัญชาการ	pʰuː˥˩ban˧tɕʰaː˧kaːn˧
ผู้บัญชาการ	pʰûːbànʧâːkâː
ผู้บัญญัติกฎหมาย	pʰuː˥˩ban˧jat̚˨˩kot̚˨˩maːj˩˩˦
ผู้บุกรุก	pʰûːbùkrúk
ผู้ปกครอง	pʰuː˥˩pok̚˨˩kʰrɔːŋ˧
ผู้ประกอบการ	pʰuː˥˩pra˨˩kɔːp̚˨˩kaːn˧
ผู้ประกาศ	pʰuː˥˩pra˨˩kaːt̚˨˩
ผู้ประกาศ	pʰûːpràkɑ̀ːt
ผู้ประศาสน์การ	pʰuː˥˩pra˨˩saːt̚˨˩kaːn˧
ผู้ป่วย	pʰuː˥˩pua̯j˨˩
ผู้ฝึก	pʰuː˥˩fɯk̚˨˩
ผู้ฝึกงาน	pʰuː˥˩fɯk̚˨˩ŋaːn˧
ผู้ฝึกสอน	pʰuː˥˩fɯk̚˨˩sɔːn˩˩˦
ผู้พัน	pʰūːpʰǎn
ผู้พิทักษ์	pʰûːbìtʰâk
ผู้พิมพ์	pʰuː˥˩pʰim˧
ผู้ฟัง	pʰuː˥˩faŋ˧
ผู้มาเยือน	pʰūːmaːjɯ̄ːn
ผู้มีอำนาจ	pʰuː˥˩miː˧ʔam˧naːt̚˥˩
ผู้มุสา	pʰuː˥˩mu˦˥saː˩˩˦
ผู้ย่อยสลาย	pʰuː˥˩jɔj˥˩sa˨˩laːj˩˩˦
ผู้รอดชีวิต	pʰuː˥˩rɔːt̚˥˩tɕʰiː˧wit̚˦˥
ผู้รักชาติ	pʰuː˥˩rak̚˦˥tɕʰaːt̚˥˩
ผู้รักษาการแทน	pʰuː˥˩rak̚˦˥saː˩˩˦kaːn˧tʰɛːn˧
ผู้รับ	pʰuː˥˩rap̚˦˥
ผู้รับบุตรบุญธรรม	pʰuː˥˩rap̚˦˥but̚˨˩bun˧tʰam˧
ผู้รับพินัยกรรม	pʰuː˥˩rap̚˦˥pʰi˦˥naj˧kam˧
ผู้ริเริ่ม	pʰuː˥˩ri˦˥rɤːm˥˩
ผู้รุกราน	pʰuː˥˩ruk̚˦˥raːn˧
ผู้ร้าย	pʰuː˥˩raːj˦˥
ผู้ละทิ้ง	pʰuː˥˩la˦˥tʰiŋ˦˥
ผู้ล่า	pʰuː˥˩laː˥˩
ผู้ว่าฯ	pʰūʔwāː˥
ผู้สนับสนุน	pʰuː˥˩sa˨˩nap̚˨˩sa˨˩nun˩˩˦
ผู้สมัคร	pʰuː˥˩sa˨˩mak̚˨˩
ผู้สมัคร	pʰûːsʰamák
ผู้สร้าง	pʰuː˥˩saːŋ˥˩
ผู้สอน	pʰuː˥˩sɔːn˩˩˦
ผู้สอบบัญชี	pʰuː˥˩sɔːp̚˨˩ban˧tɕʰiː˧
ผู้สังหาร	pʰuː˥˩saŋ˩˩˦haːn˩˩˦
ผู้สืบทอด	pʰûːsɯ̀ːtɔ̀ːt
ผู้สืบสันดาน	pʰuː˥˩sɯːp̚˨˩san˩˩˦daːn˧
ผู้สื่อข่าว	pʰuː˥˩sɯː˨˩kʰaːw˨˩
ผู้หญิง	pʰuː˥˩jiŋ˩˩˦
ผู้หญิง	pʰûːjníːŋ
ผู้หญิงของฉัน	pʰûːjŋ̊ɔ̄ːŋtɕʰǎn
ผู้หญิงคนหนึ่ง	˩pʰûː˨ʔɲɪŋ˨kɔn˧˥nʉŋ
ผู้หญิงคนเดียว	˩pʰûː˨ʔɲîŋ˨˦kɔn˥di̯a̯w
ผู้หญิงชื่อ	pʰûːjŋ̊ʰɛ̀ːnʉ̌ʉ̀ː
ผู้หญิงนั่น	pʰûːjɲîːŋnân
ผู้หญิงน่ะ	˩˧˥˧˥
ผู้หญิงยิงเรือ	pʰuː˥˩jiŋ˩˩˦jiŋ˧rɯa̯˧
ผู้หญิงหากิน	pʰuː˥˩jiŋ˩˩˦haː˩˩˦kin˧
ผู้หญิงอย่างเธอ	pʰûːjŋâːŋtʰɤ̀
ผู้หญิงเหรอ	pʰûːjŋ̊ɛ̀rɔ̀
ผู้หมวด	pʰûːmwát
ผู้หมวดเคน	pʰûːmwátken
ผู้หลักผู้ใหญ่	pʰuː˥˩lak̚˨˩pʰuː˥˩jaj˨˩
ผู้ออกแบบ	pʰuː˥˩ʔɔːk̚˨˩bɛːp̚˨˩
ผู้อาวุโส	˩ʔɑːw˥suː˧
ผู้อำนวยการ	pʰuː˥˩ʔam˧nua̯j˧kaːn˧
ผู้อำนวยการ	˩ʔɔ̄ːnwɑɑ̀ːkāː
ผู้อ่าน	pʰuː˥˩ʔaːn˨˩
ผู้เข้าร่วม	pʰuː˥˩kʰaw˥˩rua̯m˥˩
ผู้เชี่ยวชาญ	pʰuː˥˩tɕʰia̯w˥˩tɕʰaːn˧
ผู้เดินทาง	pʰuː˥˩dɤːn˧tʰaːŋ˧
ผู้เยาว์	pʰuː˥˩jaw˧
ผู้เรียน	pʰuː˥˩ria̯n˧
ผู้เลือกตั้ง	pʰuː˥˩lɯa̯k̚˥˩taŋ˥˩
ผู้เล่น	pʰuː˥˩len˥˩
ผู้เล่น	pʰûːlɛ̀ːn
ผู้เสียหาย	pʰuː˥˩sia̯˩˩˦haːj˩˩˦
ผู้เหยียดผิว	pʰuː˥˩jia̯t̚˨˩pʰiw˩˩˦
ผู้เห็นเหตุการณ์	pʰuː˥˩hen˩˩˦heːt̚˨˩kaːn˧
ผู้แต่ง	pʰuː˥˩tɛːŋ˨˩
ผู้แทน	pʰuː˥˩tʰɛːn˧
ผู้แทนโดยชอบธรรม	pʰuː˥˩tʰɛːn˧doːj˧tɕʰɔːp̚˥˩tʰam˧
ผู้แปล	pʰuː˥˩plɛː˧
ผู้แพ้	pʰûːpʰɛ̂ː
ผู้โดยสาร	pʰûːdɔ̄ːsǎː
ผู้ใช้	pʰuː˥˩tɕʰaj˦˥
ผู้ใหญ่	pʰuː˥˩jaj˨˩
ผู้ใหญ่บ้าน	pʰuː˥˩jaj˨˩baːn˥˩
ผู้ให้	pʰuː˥˩haj˥˩
ผู้ไท	pʰuː˥˩tʰaj˧
ผ่อง	pʰɔŋ˨˩
ผ่องใส	pʰɔŋ˨˩saj˩˩˦
ผ่อน	pʰɔn˨˩
ผ่อนคลายซะ	pʰɔ̀nkʰlâːjs̄ā
ผ่อนคลายหน่อย	pʰɔ̀nkʰlâinɔ̂ɔ
ผ่อนลม	pʰɔ̀nlam
ผ่านทาง	pʰâːntʰāːŋ
ผ่านแล้ว	pʰâːn˥lɛ̄ːw˧
ผ่านไปแล้ว	pʰâːnpajlɛ́w
ผ้า	pʰâː
ผ้าขี้ริ้ว	pʰaː˥˩kʰiː˥˩riw˦˥
ผ้าคลุม	paː˨kʰlʊm˥
ผ้านุ่ง	pʰaː˥˩nuŋ˥˩
ผ้าปูโต๊ะ	pʰaː˥˩puː˧toʔ˦˥
ผ้าพันแผล	paːnpʰɛ̀ːl
ผ้าห่ม	pʰaː˥˩hom˨˩
ผ้าโพกหัว	pʰaː˥˩pʰoːk̚˥˩hua̯˩˩˦
ฝ	fɔː˩˩˦
ฝ	fɔː˩˩˦faː˩˩˦
ฝน	fon˩˩˦
ฝนกำลังตก	ɸɔnkamlaŋtɔk
ฝนดาวตก	fon˩˩˦daːw˧tok̚˨˩
ฝนตกแล้ว	fɔntɔklɛ̄w
ฝนหยุดแล้ว	fɔnjùtlɛ̄ːw
ฝรั่ง	fa˦˥raŋ˨˩
ฝรั่งขี้นก	fa˨˩raŋ˨˩kʰiː˥˩nok̚˦˥
ฝรั่งอั้งม้อ	fa˨˩raŋ˨˩ʔaŋ˥˩mɔː˦˥
ฝอย	fɔj˩˩˦
ฝอยทอง	fɔj˩˩˦tʰɔːŋ˧
ฝัง	faŋ˩˩˦
ฝัด	fat̚˨˩
ฝัน	˥fan
ฝันดีจ้ะ	fāndiːtɕá
ฝันร้าย	fan˩˩˦raːj˦˥
ฝันร้าย	fǎnrāy
ฝันร้ายชัดๆ	ɓʌnrajtɕʰat
ฝันร้ายเหรอ	fʌnrajhɛ̀
ฝันหวาน	ɸan˥hwaːn˥
ฝันเปียก	fan˩˩˦pia̯k̚˨˩
ฝันเหรอ	fʌnhɛ̀w
ฝันไปเถอะ	ɸanpajtʰɛ̀
ฝา	faː˩˩˦
ฝาก	faːk̚˨˩
ฝากข้อความ	fɑːkkʰɔ̀ːkʰwɛ̄ːn
ฝากด้วยนะ	fàakduajná
ฝากล่องเสียง	faː˩˩˦klɔŋ˨˩sia̯ŋ˩˩˦
ฝาง	faːŋ˩˩˦
ฝาด	faːt̚˨˩
ฝาน	faːn˩˩˦
ฝาย	faːj˩˩˦
ฝาแฝด	fa˥hɛt˥
ฝิ่น	fin˨˩
ฝี	fiː˩˩˦
ฝีดาษ	fiː˩˩˦daːt̚˨˩
ฝีดาษลิง	fiː˩˩˦daːt̚˨˩liŋ˧
ฝีมือ	fiː˩˩˦mɯː˧
ฝึกปรือ	fɯk̚˨˩prɯː˧
ฝืด	fɯːt̚˨˩
ฝุ่น	fun˨˩
ฝุ่น	˥fuːn
ฝุ่นควัน	fun˨˩kʰwan˧
ฝุ่นละออง	fun˨˩la˦˥ʔɔːŋ˧
ฝุ่นเมือง	fun˨˩mɯa̯ŋ˧
ฝูง	fuːŋ˩˩˦
ฝูงชน	fuːŋtɕʰɔn
ฝใ	fɑ˥ʔ
ฝ่อ	fɔː˨˩
ฝ่า	faː˨˩
ฝ่าบาท	faː˨˩baːt̚˨˩
ฝ่าพระบาท	faː˨˩pʰra˦˥baːt̚˨˩
ฝ่าย	faːj˨˩
ฝ่ายค้าน	faːj˨˩kʰaːn˦˥
ฝ่ายหน้า	faːj˨˩naː˥˩
ฝ่ายใน	faːj˨˩naj˧
ฝ้า	faː˥˩
พ	pʰɔː˧
พก	pʰok̚˦˥
พง	pʰoŋ˧
พงศาวดาน	pʰoŋ˧saː˩˩˦wa˦˥daːn˧
พญา	pʰa˦˥jaː˧
พญาณ	pʰa˦˥jaːn˧
พนักงานของ	pʰanɑkŋɑŋkʰɔ̄ːŋ
พนักงานต้อนรับ	pʰa˦˥nak̚˦˥ŋaːn˧tɔːn˥˩rap̚˦˥
พนัญเชิง	pʰa˦˥nan˧tɕʰɤːŋ˧
พนา	pʰa˦˥naː˧
พบ	pʰop̚˦˥
พบกัน	pʰop̚˦˥kan˧
พบแล้ว	pʰɔːlɛ̄ːw
พยัญชนะ	pʰa˦˥jan˧tɕʰa˦˥naʔ˦˥
พยากรณ์	pʰa˦˥jaː˧kɔːn˧
พยางค์	pʰa˦˥jaːŋ˧
พยางค์	pʰa˧jaːŋ˧
พยางค์ปิด	pʰa˦˥jaːŋ˧pit̚˨˩
พยางค์เปิด	pʰa˦˥jaːŋ˧pɤːt̚˨˩
พยาธิ	pʰa˦˥jaːt̚˥˩
พยาธิวิทยา	pʰa˦˥jaː˧tʰi˦˥wit̚˦˥tʰa˦˥jaː˧
พยานรัก	pʰa˦˥jaːn˧rak̚˦˥
พยาบาท	pʰa˦˥jaː˧baːt̚˨˩
พยาบาล	pʰa˦˥jaː˧baːn˧
พยาบาล	pʰa˧jaː˧baːn˧
พยาบาลยูมิเอ	pʰáʔáːbɑːljuːmiːə
พยายาม	pʰa˦˥jaː˧jaːm˧
พยายามจะฆ่าฉัน	pʰájaːmtɕakʰâːtɕʰǎn
พยายามดีนี่	pʰájaːjǎːmdiːnî
พยายามผ่อนคลาย	pʰájaːjǎːmpʰɔ̀ːnkʰlāi
พยายามหน่อย	pʰájaːmnɔ̀j
พยุง	pʰa˦˥juŋ˧
พร	pʰɔːn˧
พรม	pʰrom˧
พรม	pʰrɔm
พรมแดน	pʰrom˧dɛːn˧
พรรค	pʰak̚˦˥kʰa˦˥
พรรคพวก	˨˩˨˨
พรรค์	pʰan˧
พรรณนา	pʰan˧na˦˥naː˧
พรรฦก	pʰan˧lɯk̚˦˥
พรรษา	pʰan˧saː˩˩˦
พรสวรรค์	pʰɔːn˧sa˨˩wan˩˩˦
พรสวรรค์	pʰɔ̄ːsawan
พรหม	pʰrom˧
พรหมลิขิต	pʰrom˧li˦˥kʰit̚˨˩
พรหมลิขิต	pʰrɔːmlìkʰít
พรหมแดน	pʰrom˧dɛːn˧
พรอม	pʰrɔːm
พรอวิเดนซ์	pʰrɔː˧wi˦˥dens˦˥
พรอวิเดนซ์	pʰrɔː˧wi˦˥den˦˥
พระ	pʰraʔ˦˥
พระ	pʰrá
พระกิตติคุณ	pʰra˦˥kit̚˨˩ti˨˩kʰun˧
พระคุณ	pʰra˦˥kʰun˧
พระคุณเจ้า	pʰrɑkʰʉ̀ntɕɑ̀ː
พระจันทร์	pʰráʈán
พระชายา	pʰratɕʰaːjaː˥
พระช่วย	pʰrátɕûai
พระตะบอง	pʰra˦˥ta˨˩bɔːŋ˧
พระทัย	pʰra˦˥tʰaj˧
พระบาง	pʰra˦˥baːŋ˧
พระบิดา	pʰrábìda
พระบุตร	pʰrá˨buʔ˨tá˦
พระพุทธเจ้า	pʰra˦˥pʰut̚˦˥tʰa˦˥tɕaːw˥˩
พระมเหสี	pʰráʔmɛ̀ːsǐ
พระยา	pʰra˦˥jaː˧
พระราชวัง	pʰráʁaːtɕaːŋ
พระราชา	prɑːrɑːtɕʰɑː
พระราชาเสด็จ	pʰráʁaːtʃʰāːsèːt
พระวิหาร	pʰra˦˥wi˦˥haːn˩˩˦
พระสนม	pʰrásǒm
พระองค์	pʰra˦˥ʔoŋ˧
พระองค์เจ้า	pʰra˦˥ʔoŋ˧tɕaːw˥˩
พระอาทิตย์	pʰráʔaːtʰít
พระอาทิตย์ขึ้น	prʌʔaːtʰɪtɕʰɔ̄n
พระเจ้า	pʰrɑ˥ʔtɕɑ˥
พระเจ้าของฉัน	pʰrádɛ̀ːkʰɔ̀ːŋtɕʰǎn
พระเจ้าช่วยด้วย	pʰra˥tɕɔɔj˩duʔ˧
พระเจ้าผู้ยิ่งใหญ่	pʰrádɛ̀ːpʰûːjîŋhâj
พระเจ้าหลวง	pʰra˦˥tɕaːw˥˩lua̯ŋ˩˩˦
พระเจ้าา	pʰra˥dʑâ˧
พระเยซู	prɑ˥jɛ˧su˥
พระเยซูคริสต์	pʰráj˥jɛ̄ː˧suː˧kʰrɪ̄ː˥sɯ̄t˥
พระเยซูเจ้า	pʰrájɛ̀sùtɕâː
พระแม่	pʰráʔmɛ̂ː
พรัดฮอม	pʰr̥aːthɔːm
พรั่น	pʰran˥˩
พราก	pʰraːk̚˥˩
พรากผู้เยาว์	pʰraːk̚˥˩pʰuː˥˩jaw˧
พราง	pʰraːŋ˧
พรางตัว	pʰraːŋtɯa
พราน	pʰraːn˧
พราย	pʰraːj˧
พราโด	pʰráːdɔ̄ː
พรำ	pʰram˧
พริก	pʰrik̚˦˥
พริก	pʰrɪk˧
พริกขี้หนู	pʰrik̚˦˥kʰiː˥˩nuː˩˩˦
พริกดอง	pʰrik̚˦˥dɔːŋ˧
พริกน้ำปลา	pʰrik̚˦˥nam˦˥plaː˧
พริกลาบ	pʰrik̚˦˥laːp̚˥˩
พริกหยวก	pʰrik̚˦˥jua̯k̚˨˩
พริกไทย	pʰrik̚˦˥tʰaj˧
พริกไทย	pʰrɪktʰaj
พริกไทยดำ	pʰrik̚˦˥tʰaj˧dam˧
พริชตีนา	pʰritɕʰ˦˥tiː˧naː˧
พรินซ์	pʰrɪnʔ
พรินต์	pʰrin˦˥
พริบ	pʰrip̚˦˥
พริม	pʰrɪm˧
พริ้ว	pʰriw˦˥
พรีสต์ลีย์	prʰiːsɯ̄ːtliaː
พรีเชียส	prʰiːtɕʰiːa̯s
พรีเซ็นเตอร์	pʰriː˧sen˦˥tɤː˥˩
พรีเซ็นเตอร์	pʰriː˧sen˧tɤː˥˩
พรีเมี่ยม	pʰrɪ̄ːmɪ̂ːm
พรุ	pʰruʔ˦˥
พรุน	pʰrun˧
พรุ่ง	pʰruŋ˥˩
พรุ่งนี้	pʰruŋ˥˩niː˦˥
พรุ่งนี้เจอกัน	pʰrûŋniːtɕɛ̀ːkän
พรุ่งนี้เช้า	pʰrûŋniːtɕʰáː
พร่อง	pʰrɔŋ˥˩
พร่ำเพรื่อ	pʰram˥˩pʰrɯa̯˥˩
พร้อม	pʰrɔːm˦˥
พร้อม	pʰrɔ̀ːm
พร้อมกัน	pʰrɔ̀ːmkan
พร้อมกันรึยัง	pʰrɔ̀ːmkanrɯ̄aŋ
พร้อมกันหรือยัง	pʰrɔ̀ːmkanrɯ̄aŋ
พร้อมกับ	pʰrɔ̀ːmkáp
พร้อมครับ	pʰrɔ̄ːmkʰráp
พร้อมค่ะ	pʰrɔ̄ːmkʰâ
พร้อมที่จะไป	pʰrɔ̄ːmtʰìtɕapaj
พร้อมนะ	prɔ̄ːmná
พร้อมนะครับ	pʰrɔ̄ːmnákráp
พร้อมน่ะ	prɔ̀ːmná
พร้อมมั้ย	pʰrɔ̀ːmmaj
พร้อมมั๊ย	pʰrɔ̀ːmmaj
พร้อมมูล	pʰrɔːm˦˥muːn˧
พร้อมยัง	prɔ̀ːmjaŋ
พร้อมยิง	pʰrɔ̀ːmjiŋ
พร้อมรึยัง	pʰrɔ̄ːmrɯ̄aŋ
พร้อมสำหรับอะไร	pʰrɔ̀ːmsǎmràpʰʰaʔaːrai
พร้อมสิ	pʰrɔ̄ːmsì
พร้อมหรือยัง	pʰrɔ̀ːmrɨ̄aŋ
พร้อมแล้ว	pʰrɔ̄ːmlāw
พร้อมแล้วครับ	pʰrɔ̄ːmlɛ̄ːwkʰrɑp
พร้อมแล้วค่ะ	pʰrɔ̀ːmlɛ̂ːkʰâ
พร้อมแล้วนะ	pʰrɔ̀ːmlɛ̂ːwnā
พร้อมใจ	pʰrɔːm˦˥tɕaj˧
พร้อมใช้งาน	pʰrɔ̀ːmhɯ̄àːn
พร้อมไหม	prɔ̀ːmhǎj
พร้อมๆ	prɔːm˥˧
พร้า	pʰraː˦˥
พร้าว	pʰraːw˦˥
พฤกษศาสตร์	pʰrɯk̚˦˥sa˨˩saːt̚˨˩
พฤกษา	pʰrɯk̚˦˥saː˩˩˦
พฤกษ์	pʰrɯk̚˦˥
พฤติกรรม	pʰrɯt̚˦˥ti˨˩kam˧
พฤหัส	prɯ̀hát
พล	pʰon˧la˦˥
พลบ	pʰlop̚˦˥
พลวง	pʰlua̯ŋ˧
พลอง	pʰlɔːŋ˧
พลอย	pʰlɔːj˧
พลัง	pʰa˦˥laŋ˧
พลัง	pʰlaŋ
พลังของ	pʰlāŋkʰɔ̄ːŋ
