ԱԱ	ɑɑ́
լոգանք	loɡɑ́ŋkʰ
լոգարան	loɡɑɾɑ́n
լոգարիթմ	loɡɑɾítʰm
լոգիկա	lóɡikɑ
լոգին	loɡín
լոթարինգացի	lotʰɑɾiŋɡɑtsʰí
լոժբան	lóʒbɑn
լոլիկ	lolík
լոխ	loχ
լոխում	loχúm
լոկ	lok
լոկոմոտիվ	lokomotív
լող	loʁ
լողազգեստ	loʁɑzɡést
լողալ	loʁɑ́l
լողակ	loʁɑ́k
լողանալ	loʁɑnɑ́l
լողավազան	loʁɑvɑzɑ́n
լողափ	loʁɑ́pʰ
լոմ	lom
լոմբարդացի	lombɑɾdɑtsʰí
լոշ	loʃ
լոշիկ	loʃík
լոշտակ	loʃtɑ́k
լոուրենսիում	luɾensijúm
լոուրենսիում	luɾénsijum
լոսդի	losdí
լոտո	lotó
լոտոս	lotós
լոր	loɾ
լորաճուռակ	loɾɑtʃurɑ́k
լորամարգ	loɾɑmɑ́ɾɡ
լորամարգի	loɾɑmɑɾɡí
լորենի	loɾení
լորի	loɾí
լորիկ	loɾík
լորձ	loɾdz
լորձունք	loɾdzúŋkʰ
լորտու	loɾtú
լորտուկ	loɾtúk
լու	lu
լուժիկերեն	luʒikeɾén
լուծ	luts
լուծարել	lutsɑɾél
լուծել	lutsél
լուծիչ	lutsítʃʰ
լուծում	lutsúm
լումա	lumɑ́
լույծ	lujts
լույս	lujs
լուռ	lur
լուսազդանշան	lusɑzdɑnəʃɑ́n
լուսամուտ	lusɑmút
լուսան	lusɑ́n
լուսանկար	lusɑnəkɑ́ɾ
լուսանկարել	lusɑnəkɑɾél
լուսանկարիչ	lusɑnəkɑɾítʃʰ
լուսանկարչություն	lusɑnəkɑɾtʃʰutsʰjún
լուսանցք	lusɑ́ntsʰkʰ
լուսանցքային	lusɑntsʰkʰɑjín
լուսավոր	lusɑvóɾ
լուսավորչական	lusɑvoɾtʃʰɑkɑ́n
լուսատարի	lusɑtɑɾí
լուսատտիկ	lusɑtətík
լուսարարապետ	lusɑɾɑɾɑpét
լուսացույց	lusɑtsʰújtsʰ
լուսաֆոր	lusɑfóɾ
լուսին	lusín
լուսն	lúsən
լուսնագիտություն	lusnɑɡitutsʰjún
լուսնկա	lusəŋkɑ́
լուսնոտ	lusnót
լուսնոտություն	lusnotutsʰjún
լուսունակ	lusunɑ́k
լուվական	luvɑkɑ́n
լուվիերեն	luvijeɾén
լուտալ	lutɑ́l
լուտանք	lutɑ́ŋkʰ
լուր	luɾ
լուրեր	luɾéɾ
լուրթ	luɾtʰ
լուրջ	luɾdʒ
լուցել	lutsʰél
լուցկի	lutsʰkí
լոք	lokʰ
լոքշ	lokʰʃ
լոքո	lokʰó
լպստել	ləpəstél
լռել	lərél
լռելյայն	ləreljɑ́jn
լռին	lərín
լռություն	lərutsʰjún
լսել	ləsél
լվալ	ləvɑ́l
լվածաղիկ	ləvɑtsɑʁík
լվակարկուտ	ləvɑkɑɾkút
լվանալ	ləvɑnɑ́l
լվացարան	ləvɑtsʰɑɾɑ́n
լվացնել	ləvɑtsʰnél
լվացվել	ləvɑtsʰvél
լվացք	ləvɑ́tsʰkʰ
լվացքատուն	ləvɑtsʰkʰɑtún
լվացքի	ləvɑtsʰkʰí
լվից	ləvítsʰ
լրագրող	ləɾɑɡəɾóʁ
լրագրություն	ləɾɑɡɾutsʰjún
լրազամբյուղ	ləɾɑzɑmbjúʁ
լրահոս	ləɾɑhós
լրատու	ləɾɑtú
լրատվության	ləɾɑtvutsʰjɑ́n
լրատվություն	ləɾɑtvutsʰjún
լրացնել	ləɾɑtsʰnél
լրացում	ləɾɑtsʰúm
լրացուցիչ	ləɾɑtsʰutsʰítʃʰ
լրթանալ	ləɾtʰɑnɑ́l
լրիվ	ləɾív
լրջամիտ	ləɾdʒɑmít
լրջանալ	ləɾdʒɑnɑ́l
լրջմիտ	ləɾdʒmít
լրջմտություն	ləɾdʒmətutsʰjún
լրջություն	ləɾdʒutsʰjún
լրտես	ləɾtés
լրտեսել	ləɾtesél
լրտեսություն	ləɾtesutsʰjún
լցնել	lətsʰnél
լցուն	lətsʰún
լցվել	lətsʰvél
լքավեր	ləkʰɑvéɾ
լքել	ləkʰél
լքյալ	ləkʰjɑ́l
լքնել	ləkʰnél
խ	χə
խաբար	χɑbɑ́ɾ
խաբեբա	χɑpʰebɑ́
խաբեբայություն	χɑpʰepʰɑjutsʰjún
խաբել	χɑpʰél
խաբեպատիր	χɑpʰepɑtíɾ
խաբնվել	χɑpʰnəvél
խադավիկ	χɑdɑvík
խազ	χɑz
խազել	χɑzél
խաթաբալա	χɑtʰɑbɑlɑ́
խաթեր	χɑtʰéɾ
խաթր	χɑ́tʰəɾ
խաժ	χɑʒ
խալ	χɑl
խալի	χɑlí
խալիար	χɑlijɑ́ɾ
խալիֆ	χɑlíf
խալիֆաթ	χɑlifɑ́tʰ
խալիֆայություն	χɑlifɑjutsʰjún
խալխ	χɑlχ
խալյար	χɑljɑ́ɾ
խալտուրա	χɑltúɾɑ
խախանդ	χɑχɑ́nd
խախտել	χɑχtél
խածանել	χɑtsɑnél
խածատել	χɑtsɑtél
խածել	χɑtsél
խածնել	χɑtsnél
խակ	χɑk
խահ	χɑh
խաղ	χɑʁ
խաղադաշտ	χɑʁɑdɑ́ʃt
խաղաթուղթ	χɑʁɑtʰúχtʰ
խաղալ	χɑʁɑ́l
խաղալիք	χɑʁɑlíkʰ
խաղաղ	χɑʁɑ́ʁ
խաղաղարար	χɑʁɑʁɑɾɑ́ɾ
խաղաղություն	χɑʁɑʁutsʰjún
խաղամոլ	χɑʁɑmól
խաղասրահ	χɑʁɑsəɾɑ́h
խաղատուն	χɑʁɑtún
խաղացնել	χɑʁɑtsʰnél
խաղացող	χɑʁɑtsʰóʁ
խաղաքար	χɑʁɑkʰɑ́ɾ
խաղաքարտ	χɑʁɑkʰɑ́ɾt
խաղող	χɑʁóʁ
խամաճիկ	χɑmɑtʃík
խամոն	χɑmón
խայթ	χɑjtʰ
խայթել	χɑjtʰél
խայթոց	χɑjtʰótsʰ
խայտաբղետ	χɑjtɑbəʁét
խայտառակ	χɑjtɑrɑ́k
խայտառակաբար	χɑjtɑrɑkɑbɑ́ɾ
խայտառակել	χɑjtɑrɑkél
խայտառակություն	χɑjtɑrɑkutsʰjún
խայտուց	χɑjtútsʰ
խայրի	χɑjɾí
խան	χɑn
խանգարել	χɑŋɡɑrél
խանգարել	χɑŋɡɑɾél
խանգարվել	χɑŋɡɑɾvél
խանդ	χɑnd
խանդակ	χɑndɑ́k
խանդակաթ	χɑndɑkɑ́tʰ
խանդավառ	χɑndɑvɑ́r
խանդել	χɑndél
խանդոտ	χɑndót
խանծ	χɑnts
խանձ	χɑndz
խանձատել	χɑndzɑtél
խանձարուր	χɑndzɑɾúɾ
խանձել	χɑndzél
խանձող	χɑndzóʁ
խանութ	χɑnútʰ
խանություն	χɑnutsʰjún
խաշ	χɑʃ
խաշար	χɑʃɑ́ɾ
խաշել	χɑʃél
խաշն	χɑ́ʃən
խաշու	χɑʃú
խաչ	χɑtʃʰ
խաչակիր	χɑtʃʰɑkíɾ
խաչակրություն	χɑtʃʰɑkɾutsʰjún
խաչապուրի	χɑtʃʰɑpuɾí
խաչբառ	χɑtʃʰbɑ́r
խաչերկաթ	χɑtʃʰeɾkɑ́tʰ
խաչմերուկ	χɑtʃʰmeɾúk
խաչքար	χɑtʃʰkʰɑ́ɾ
խառատ	χɑrɑ́t
խառատահաստոց	χɑrɑtɑhɑstótsʰ
խառը	χɑ́rə
խառն	χɑ́rən
խառնաշփոթություն	χɑrnɑʃəpʰotʰutsʰjún
խառնարան	χɑrnɑɾɑ́n
խառնել	χɑrnél
խառնիչ	χɑrnítʃʰ
խառնուրդ	χɑrnúɾtʰ
խառնվածք	χɑrnəvɑ́tskʰ
խաս	χɑs
խավ	χɑv
խավար	χɑvɑ́ɾ
խավարածիր	χɑvɑɾɑtsíɾ
խավարասեր	χɑvɑɾɑséɾ
խավարծիլ	χɑvɑɾtsíl
խավարչուտ	χɑvɑɾtʃʰút
խավիար	χɑvijɑ́ɾ
խատուտիկ	χɑtutík
խարակիրի	χɑɾɑkiɾí
խարբալել	χɑɾbɑlél
խարբիզակ	χɑɾbizɑ́k
խարդախ	χɑɾdɑ́χ
խարզա	χɑɾzɑ́
խարիսխ	χɑɾísχ
խարխալել	χɑɾχɑlél
խարխափել	χɑɾχɑpʰél
խարխլել	χɑɾχəlél
խարկել	χɑɾkél
խարշել	χɑɾʃél
խարույկ	χɑɾújk
խարջել	χɑɾdʒél
խարտոց	χɑɾtótsʰ
խափ	χɑpʰ
խափան	χɑpʰɑ́n
խափանել	χɑpʰɑnél
խե	χe
խեթ	χetʰ
խեթալ	χetʰɑ́l
խեթական	χetʰɑkɑ́n
խեթել	χetʰél
խեթերեն	χetʰeɾén
խեթկել	χetʰkél
խեթում	χetʰúm
խեժ	χeʒ
խել	χel
խելագար	χelɑɡɑ́ɾ
խելագարություն	χelɑɡɑɾutsʰjún
խելախոս	χelɑχós
խելամիտ	χelɑmít
խելացի	χelɑtsʰí
խելոք	χelókʰ
խելք	χelkʰ
խեղ	χeʁ
խեղաթյուր	χeʁɑtʰjúɾ
խեղաթյուրել	χeʁɑtʰjuɾél
խեղանդամ	χeʁɑntʰɑ́m
խեղդ	χeχt
խեղդել	χeχtél
խեղկատակ	χeχkɑtɑ́k
խեղճ	χeχtʃ
խեղություն	χeʁutsʰjún
խենեշ	χenéʃ
խենթ	χentʰ
խենթանալ	χentʰɑnɑ́l
խեչակ	χetʃʰɑ́k
խեռ	χer
խեր	χeɾ
խերխի	χeɾχí
խեցգետին	χetsʰɡetín
խզար	χəzɑ́ɾ
խզել	χəzél
խթան	χətʰɑ́n
խթանել	χətʰɑnél
խթել	χətʰél
խի	χi
խիար	χijɑ́ɾ
խիզախ	χizɑ́χ
խիզախաբար	χizɑχɑbɑ́ɾ
խիզախություն	χizɑχutsʰjún
խիթ	χitʰ
խիթալ	χitʰɑ́l
խիթք	χitʰkʰ
խիղճ	χiχtʃ
խիճ	χitʃ
խիյար	χijɑ́ɾ
խին	χin
խինդ	χind
խինկալի	χiŋkɑlí
խինկալիանոց	χiŋkɑlijɑnótsʰ
խիշտ	χiʃt
խիստ	χist
խիտ	χit
խիրուրգ	χiɾúɾɡ
խիւս	χifs
խլեզ	χəléz
խլություն	χəlutsʰjún
խլուրդ	χəlúɾd
խլրտալ	χələɾtɑ́l
խխունջ	χəχúndʒ
խղճալ	χəχtʃɑ́l
խղճմտանք	χəχtʃmətɑ́ŋkʰ
խճանկար	χətʃɑŋkɑ́ɾ
խճող	χətʃóʁ
խճուղի	χətʃuʁí
խմած	χəmɑ́ts
խմբագիր	χəmbɑɡíɾ
խմբագրել	χəmbɑɡɾél
խմբակ	χəmbɑ́k
խմբակցություն	χəmbɑktsʰutsʰjún
խմբավար	χəmbɑvɑ́ɾ
խմբաքանակ	χəmbɑkʰɑnɑ́k
խմել	χəmél
խմիչք	χəmítʃʰkʰ
խմոր	χəmóɾ
խմորիչ	χəmoɾítʃʰ
խմորուկ	χəmoɾúk
խնամ	χənɑ́m
խնամել	χənɑmél
խնամի	χənɑmí
խնամք	χənɑ́mkʰ
խնայատուփ	χənɑjɑtúpʰ
խնայել	χənɑjél
խնդակից	χəndɑkítsʰ
խնդիր	χəntʰíɾ
խնդիրք	χəndíɾkʰ
խնդրագիր	χəntʰɾɑɡíɾ
խնդրանք	χəntʰɾɑ́ŋkʰ
խնդրառություն	χəntʰɾɑrutsʰjún
խնդրել	χəntʰɾél
խնդրեմ	χəntʰɾém
խնդրություն	χəntʰɾutsʰjún
խնծիղ	χəntsíʁ
խնկել	χəŋkél
խնձոր	χəndzóɾ
խնձորենի	χəndzoɾení
խնձորուկ	χəndzoɾúk
խնձորօղի	χəndzoɾoʁí
խնոցի	χənotsʰí
խնչել	χəntʃʰél
խնջլոզ	χəndʒəlóz
խնջույք	χəndʒújkʰ
խշուր	χəʃúɾ
խշտիկ	χəʃtík
խոզ	χoz
խոզագրիպ	χozɑɡəɾíp
խոզանակ	χozɑnɑ́k
խոզանոց	χozɑnótsʰ
խոզանուկ	χozɑnúk
խոզապահ	χozɑpɑ́h
խոզուկ	χozúk
խոթ	χotʰ
խոթել	χotʰél
խոթություն	χotʰutsʰjún
խոլերա	χoleɾɑ́
խոլորձ	χolóɾdz
խոխա	χóχɑ
խոխոջալ	χoχodʒɑ́l
խոխոջել	χoχodʒél
խոկ	χok
խոկալ	χokɑ́l
խոհ	χoh
խոհական	χohɑkɑ́n
խոհակեր	χohɑkéɾ
խոհամիտ	χohɑmít
խոհանոց	χohɑnótsʰ
խոհարար	χohɑɾɑ́ɾ
խոհարարական	χohɑɾɑɾɑkɑ́n
խոհեմ	χohém
խողովակ	χoʁovɑ́k
խոճկոր	χotʃkóɾ
խոյ	χoj
խոյանալ	χojɑnɑ́l
խոնավ	χonɑ́v
խոնավանալ	χonɑvɑnɑ́l
խոնավավուն	χonɑvɑvún
խոնավացնել	χonɑvɑtsʰnél
խոնարհ	χonɑ́ɾ
խոնարհում	χonɑɾúm
խոնարհվել	χonɑɾvél
խոնհարել	χonɑɾél
խոնչա	χontʃʰɑ́
խոնջ	χondʒ
խոշ	χoʃ
խոշոր	χoʃóɾ
խոշորացույց	χoʃoɾɑtsʰújtsʰ
խոշորացվել	χoʃoɾɑtsʰvél
խոշտանգել	χoʃtɑŋɡél
խոշտանգում	χoʃtɑŋɡúm
խոչ	χotʃʰ
խոչընդոտ	χotʃʰəndót
խոչընդոտել	χotʃʰəndotél
խոպան	χopɑ́n
խոպոպ	χopóp
խոպոպահեր	χopopɑhéɾ
խոպոպաձև	χopopɑdzév
խոպոպանալ	χopopɑnɑ́l
խոպոպանման	χopopɑnəmɑ́n
խոպոպավոր	χopopɑvóɾ
խոպոպացնել	χopopɑtsʰnél
խոպոպացում	χopopɑtsʰúm
խոպոպացվել	χopopɑtsʰvél
խոպոպել	χopopél
խոպոպեցնել	χopopetsʰnél
խոպոպի	χopopí
խոպոպիլ	χopopíl
խոպոպիկ	χopopík
խոպոպիք	χopopíkʰ
խոպոպիքավոր	χopopikʰɑvóɾ
խոպոպվել	χopopvél
խոռոչ	χorótʃʰ
խոսալ	χosɑ́l
խոսակցական	χosɑktsʰɑkɑ́n
խոսափող	χosɑpʰóʁ
խոսել	χosél
խոսնակ	χosnɑ́k
խոսույթ	χosújtʰ
խոսուն	χosún
խոստանալ	χostɑnɑ́l
խոստովանել	χostovɑnél
խոստովանություն	χostovɑnutsʰjún
խոստում	χostúm
խոսրովային	χosɾovɑjín
խոսք	χoskʰ
խոտ	χot
խոտակեր	χotɑkéɾ
խոտանոց	χotɑnótsʰ
խոտորում	χotoɾúm
խոր	χoɾ
խորագին	χoɾɑɡín
խորաթափանց	χoɾɑtʰɑpʰɑ́ntsʰ
խորակ	χoɾɑ́k
խորամանկ	χoɾɑmɑ́ŋk
խորամանկորեն	χoɾɑmɑŋkoɾén
խորան	χoɾɑ́n
խորանարդ	χoɾɑnɑ́ɾtʰ
խորդ	χoɾd
խորդուբորդ	χoɾtʰubóɾtʰ
խորեզմերեն	χoɾezmeɾén
խորեզմցի	χoɾezmtsʰí
խորենացի	χoɾenɑtsʰí
խորը	χóɾə
խորթ	χoɾtʰ
խորխ	χoɾχ
խորխել	χoɾχél
խորհ	χoɾh
խորհել	χoɾhél
խորհուրդ	χoɾúɾtʰ
խորհրդաժողով	χoɾəɾtʰɑʒoʁóv
խորհրդական	χoɾəɾtʰɑkɑ́n
խորհրդակցություն	χoɾəɾtʰɑktsʰutsʰjún
խորհրդանիշ	χoɾəɾtʰɑníʃ
խորհրդանշական	χoɾəɾtʰɑnəʃɑkɑ́n
խորհրդանշել	χoɾəɾtʰɑnəʃél
խորհրդավոր	χoɾəɾtʰɑvóɾ
խորհրդատու	χoɾəɾtʰɑtú
խորհրդատվություն	χoɾəɾtʰɑtvutsʰjún
խորհրդարան	χoɾəɾtʰɑɾɑ́n
խորհրդարանական	χoɾəɾtʰɑɾɑnɑkɑ́n
խորն	χoɾn
խորշ	χoɾʃ
խորշակ	χoɾʃɑ́k
խորշոմ	χoɾʃóm
խորոզ	χoɾóz
խորոված	χoɾovɑ́ts
խորովել	χoɾovél
խորություն	χoɾutsʰjún
խորվաթ	χoɾvɑ́tʰ
խորվաթական	χoɾvɑtʰɑkɑ́n
խորվաթերեն	χoɾvɑtʰeɾén
խորտակել	χoɾtɑkél
խորտակվել	χoɾtɑkvél
խորտիկ	χoɾtík
խորք	χoɾkʰ
խոց	χotsʰ
խոցել	χotsʰél
խոցելի	χotsʰelí
խոցոտել	χotsʰotél
խուզարկու	χuzɑɾkú
խուզարկություն	χuzɑɾkutsʰjún
խուզել	χuzél
խութ	χutʰ
խուժ	χuʒ
խուժան	χuʒɑ́n
խուժել	χuʒél
խուլ	χul
խուլիգան	χuliɡɑ́n
խուճապ	χutʃɑ́p
խուճապի	χutʃɑpí
խուճուճ	χutʃútʃ
խում	χum
խումար	χumɑ́ɾ
խումբ	χumb
խումհար	χumhɑ́ɾ
խույլ	χujl
խույր	χujɾ
խունդի	χundí
խունկ	χuŋk
խունտա	χuntɑ́
խունտա	χúntɑ
խուռն	χúrən
խուռնա	χurnɑ́
խուսափել	χusɑpʰél
խուտուտ	χutút
խուրդա	χuɾdɑ́
խուրձ	χuɾtsʰ
խուրմա	χuɾmɑ́
խուց	χutsʰ
խուփ	χupʰ
խոփ	χopʰ
խպիպ	χəpíp
խռավաթ	χərɑvɑ́tʰ
խռթալ	χərtʰɑ́l
խռթացնել	χərtʰɑtsʰnél
խռիկ	χərík
խռիկներ	χəriknéɾ
խռիվ	χərív
խռմփալ	χərəmpʰɑ́l
խռմփացնել	χərəmpʰɑtsʰnél
խռմփոց	χərəmpʰótsʰ
խռով	χəróv
խռովահույզ	χərovɑhújz
խռովարար	χərovɑɾɑ́ɾ
խռովել	χərovél
խռովություն	χərovutsʰjún
խռուկ	χərúk
խռպոտ	χərpót
խռռացնել	χərːɑtsʰnél
խստիվ	χəstív
խստոր	χəstóɾ
խստորեն	χəstoɾén
խտասալիկ	χətɑsɑlík
խտիղ	χətíʁ
խտղտանք	χətʁətɑ́ŋkʰ
խտղտացնել	χətəχtɑtsʰnél
խտղտացնել	χətʁətɑtsʰnél
խտղտել	χətəχtél
խտղտել	χətʁətél
խտություն	χətutsʰjún
խտրականություն	χətɾɑkɑnutsʰjún
խրախուսանք	χəɾɑχusɑ́ŋkʰ
խրախուսել	χəɾɑχusél
խրամ	χəɾɑ́m
խրամատ	χəɾɑmɑ́t
խրատ	χəɾɑ́t
խրթել	χəɾtʰél
խրթին	χəɾtʰín
խրիզոպրազ	χɾizopɾɑ́z
խրխնջալ	χəɾχəndʒɑ́l
խրծիկ	χəɾtsík
խրճիթ	χəɾtʃítʰ
խրոխտ	χəɾóχt
խրոխտաբար	χəɾoχtɑbɑ́ɾ
խրոխտագին	χəɾoχtɑɡín
խրոխտալ	χəɾoχtɑ́l
խրոխտանալ	χəɾoχtɑnɑ́l
խրոխտանք	χəɾoχtɑ́ŋkʰ
խրոխտություն	χəɾoχtutsʰjún
խրուկ	χəɾúk
խրտնել	χəɾtnél
խրտվիլակ	χəɾtvilɑ́k
խցան	χətsʰɑ́n
խցանակաղնի	χətsʰɑnɑkɑʁní
խցանահան	χətsʰɑnɑhɑ́n
խցանում	χətsʰɑnúm
խցել	χətsʰél
խցիկ	χətsʰík
խփել	χəpʰél
խփոցի	χəpʰotsʰí
ծ	tsə
ծա	tsɑ
ծագ	tsɑkʰ
ծագել	tsɑkʰél
ծագում	tsɑkʰúm
ծագումնաբան	tsɑkʰumnɑbɑ́n
ծագումնաբանություն	tsɑkʰumnɑbɑnutsʰjún
ծալ	tsɑl
ծալել	tsɑlél
ծալծալ	tsɑltsɑ́l
ծախ	tsɑχ
ծախատեղ	tsɑχɑtéʁ
ծախել	tsɑχél
ծախիչ	tsɑχítʃʰ
ծախծխել	tsɑχtsəχél
ծախծխոտել	tsɑχtsəχotél
ծախծխոտում	tsɑχtsəχotúm
ծախծխոտվել	tsɑχtsəχotvél
ծախծխորել	tsɑχtsəχoɾél
ծախծխորում	tsɑχtsəχoɾúm
ծախծխորվել	tsɑχtsəχoɾvél
ծախծխում	tsɑχtsəχúm
ծախծխվել	tsɑχtsəχvél
ծախող	tsɑχóʁ
ծախոտել	tsɑχotél
ծախոտում	tsɑχotúm
ծախոտվել	tsɑχotvél
ծախու	tsɑχú
ծախում	tsɑχúm
ծախս	tsɑχs
ծախսագիրք	tsɑχsɑɡíɾkʰ
ծախսագրել	tsɑχsɑɡəɾél
ծախսագրում	tsɑχsɑɡəɾúm
ծախսամատյան	tsɑχsɑmɑtjɑ́n
ծախսային	tsɑχsɑjín
ծախսացույց	tsɑχsɑtsʰújtsʰ
ծախսել	tsɑχsél
ծախսում	tsɑχsúm
ծախսվել	tsɑχsvél
ծախված	tsɑχvɑ́ts
ծախվածություն	tsɑχvɑtsutsʰjún
ծախվել	tsɑχvél
ծախվող	tsɑχvóʁ
ծախք	tsɑχkʰ
ծածան	tsɑtsɑ́n
ծածանել	tsɑtsɑnél
ծածկալեզու	tsɑtskɑlezú
ծածկել	tsɑtskél
ծածկույթ	tsɑtskújtʰ
ծածուկ	tsɑtsúk
ծակ	tsɑk
ծակոտ	tsɑkót
ծակոտկեն	tsɑkotkén
ծաղարար	tsɑʁɑɾɑ́ɾ
ծաղիկ	tsɑʁík
ծաղկախտ	tsɑχkɑ́χt
ծաղկակաղամբ	tsɑχkɑkɑʁɑ́mb
ծաղկաման	tsɑχkɑmɑ́n
ծաղկափոշի	tsɑχkɑpʰoʃí
ծաղկեպսակ	tsɑχkepəsɑ́k
ծաղկեփունջ	tsɑχkepʰúndʒ
ծաղկյա	tsɑχkjɑ́
ծաղկունք	tsɑχkúŋkʰ
ծաղր	tsɑ́ʁəɾ
ծաղրածու	tsɑʁɾɑtsú
ծաղրել	tsɑʁɾél
ծամ	tsɑm
ծամել	tsɑmél
ծամոն	tsɑmón
ծամտաք	tsɑmtɑ́kʰ
ծայր	tsɑjɾ
ծայրակարմիր	tsɑjɾɑkɑɾmíɾ
ծայրահեղ	tsɑjɾɑhéʁ
ծայրահեղական	tsɑjɾɑheʁɑkɑ́n
ծայրահեղականություն	tsɑjɾɑheʁɑkɑnutsʰjún
ծայրաքաղաք	tsɑjɾɑkʰɑʁɑ́kʰ
ծանակ	tsɑnɑ́k
ծանծաղ	tsɑntsɑ́ʁ
ծանծաղուտ	tsɑntsɑʁút
ծանոթ	tsɑnótʰ
ծանոթանալ	tsɑnotʰɑnɑ́l
ծանոթացնել	tsɑnotʰɑtsʰnél
ծանոթություն	tsɑnotʰutsʰjún
ծանուցել	tsɑnutsʰél
ծանուցում	tsɑnutsʰúm
ծանր	tsɑ́nəɾ
ծանրաբեռ	tsɑnɾɑbér
ծանրաձող	tsɑnɾɑdzóʁ
ծանրամարտ	tsɑnɾɑmɑ́ɾt
ծանրաչափ	tsɑnɾɑtʃʰɑ́pʰ
ծանրորդ	tsɑnɾóɾtʰ
ծանրոց	tsɑnɾótsʰ
ծանրություն	tsɑnɾutsʰjún
ծառ	tsɑr
ծառա	tsɑrɑ́
ծառայել	tsɑrɑjél
ծառայող	tsɑrɑjóʁ
ծառայողական	tsɑrɑjoʁɑkɑ́n
ծառայություն	tsɑrɑjutsʰjún
ծառզարդար	tsɑrzɑɾtʰɑ́ɾ
ծավալ	tsɑvɑ́l
ծավալել	tsɑvɑlél
ծավալուն	tsɑvɑlún
ծավի	tsɑví
ծարավ	tsɑɾɑ́v
ծարավի	tsɑɾɑví
ծարավություն	tsɑɾɑvutsʰjún
ծարբ	tsɑɾb
ծարիր	tsɑɾíɾ
ծափ	tsɑpʰ
ծափահարել	tsɑpʰɑhɑɾél
ծափահարելի	tsɑpʰɑhɑɾelí
ծափահարություն	tsɑpʰɑhɑɾutsʰjún
ծափահարում	tsɑpʰɑhɑɾúm
ծափահարվել	tsɑpʰɑhɑɾvél
ծափեր	tsɑpʰéɾ
ծափողջույն	tsɑpʰoχtʃʰújn
ծեգ	tsekʰ
ծեծ	tsets
ծեծել	tsetsél
ծես	tses
ծեր	tseɾ
ծերակույտ	tseɾɑkújt
ծերակուտական	tseɾɑkutɑkɑ́n
ծերանալ	tseɾɑnɑ́l
ծերություն	tseɾutsʰjún
ծերուկ	tseɾúk
ծերույթ	tseɾújtʰ
ծերուն	tseɾún
ծերունի	tseɾuní
ծերտ	tsert
ծերտ	tseɾt
ծեփ	tsepʰ
ծեփամածիկ	tsepʰɑmɑtsík
ծեփել	tsepʰél
ծիածան	tsijɑtsɑ́n
ծիլ	tsil
ծիծ	tsits
ծիծակ	tsitsɑ́k
ծիծաղ	tsitsɑ́ʁ
ծիծաղալ	tsitsɑʁɑ́l
ծիծաղաշարժ	tsitsɑʁɑʃɑ́ɾʒ
ծիծաղել	tsitsɑʁél
ծիծաղկոտ	tsitsɑχkót
ծիծառ	tsitsɑ́r
ծիծառնուկ	tsitsɑrnúk
ծիծեռ	tsitsér
ծիծեռնակ	tsitsernɑ́k
ծիծիլիոն	tsitsiljón
ծիծիկ	tsitsík
ծիկրակել	tsikɾɑkél
ծիմել	tsimél
ծին	tsin
ծիտ	tsit
ծիր	tsiɾ
ծիրան	tsiɾɑ́n
ծիրանափող	tsiɾɑnɑpʰóʁ
ծիրանենի	tsiɾɑnení
ծիրանի	tsiɾɑní
ծիրաններ	tsiɾɑnːéɾ
ծիրտ	tsiɾt
ծիֆին	tsifín
ծլարձակել	tsəlɑɾtsʰɑkél
ծլել	tsəlél
ծլիկ	tsəlík
ծլիկային	tsəlikɑjín
ծխախոտ	tsəχɑχót
ծխած	tsəχɑ́ts
ծխածածկույթ	tsəχɑtsɑtskújtʰ
ծխամորճ	tsəχɑmóɾtʃ
ծխանելիք	tsəχɑnelíkʰ
ծխանռնակ	tsəχɑnrnɑ́k
ծխել	tsəχél
ծխնելույզ	tsəχnelújz
ծխնի	tsəχní
ծխող	tsəχóʁ
ծխուկ	tsəχúk
ծծակ	tsətsɑ́k
ծծել	tsətsél
ծծումբ	tsətsúmb
ծղնի	tsəʁní
ծղոտ	tsəʁót
ծղոտե	tsəʁoté
ծղրիդ	tsəʁɾíd
ծղրտալ	tsəʁəɾtɑ́l
ծյոծյա	tsjotsjɑ́
ծնգալ	tsəŋɡɑ́l
ծնգցնել	tsəŋɡətsʰnél
ծնեբեկ	tsənebék
ծնել	tsənél
ծնծղա	tsəntsəʁɑ́
ծնկներ	tsəŋknéɾ
ծնկոսկր	tsəŋkóskɾ
ծննդաբերություն	tsənəndɑbeɾutsʰjún
ծննդավայր	tsənəndɑvɑ́jɾ
ծնող	tsənóʁ
ծնողներ	tsənoʁnéɾ
ծնոտ	tsənót
ծնունդ	tsənúnd
ծնված	tsənvɑ́ts
ծնվել	tsənvél
ծո	tso
ծոծորակ	tsotsoɾɑ́k
ծոծրակ	tsotsɾɑ́k
ծոմ	tsom
ծոռ	tsor
ծով	tsov
ծովագնաց	tsovɑɡənɑ́tsʰ
ծովախեցգետին	tsovɑχetsʰɡetín
ծովախոզ	tsovɑχóz
ծովախոզուկ	tsovɑχozúk
ծովախորշ	tsovɑχóɾʃ
ծովախտ	tsovɑ́χt
ծովածոց	tsovɑtsótsʰ
ծովակ	tsovɑ́k
ծովակալ	tsovɑkɑ́l
ծովակով	tsovɑkóv
ծովահեն	tsovɑhén
ծովահրեշտակիկ	tsovɑhəɾeʃtɑkík
ծովանկար	tsovɑnəkɑ́ɾ
ծովաշուն	tsovɑʃún
ծովապատնեշ	tsovɑpɑtnéʃ
ծովատառեխ	tsovɑtɑréχ
