abadžija	âbadʒija
pokazivati	pokazǐːʋati
poker	pǒker
pokidati	pǒkidati
pokisnuti	pǒkisnuti
pokladnica	pǒkladnitsa
poklanjati	pǒklaɲati
poklon	pôklon
pokloniti	poklǒniti
poklonstvo	pǒkloːnstʋo
pokoji	pǒkojiː
pokolj	pǒkoʎ
pokopati	pokǒpati
pokoran	pôkoːran
pokoravati	pokorǎːʋati
pokoriti	pokǒriti
pokorno	pôkoːrno
pokornost	pokǒːrnoːst
pokraj	pôkraj
pokrajina	pǒkrajina
pokrajinski	pǒkrajiːnskiː
pokrasti	pǒkrasti
pokrenuti	pokrěːnuti
pokret	pôkreːt
pokretan	pôkreːtan
pokretati	pǒkretati
pokretač	pokrětatʃ
pokretljiv	pokrětʎiʋ
pokriti	pǒkriti
pokrivati	pokrǐːʋati
pokrov	pǒkroʋ
pokrstiti	pokřstiti
pokrštavati	pokrʃtǎːʋati
pokunjiti	pokǔːɲiti
pokupiti	pokûpiti
pokus	pǒkus
pokućstvo	pǒkutɕstʋo
pokušaj	pôkuʃaːj
pokušati	pǒkuʃati
pokušavati	pokuʃǎːʋati
pokvaren	pǒkʋaːren
pokvarenjak	pokʋarěɲaːk
pokvarenjački	pokʋarěɲaːtʃki
pokvarenjački	pokʋarěɲaːtʃkiː
pokvarenost	pǒkʋaːrenoːst
pokvariti	pokʋǎːriti
pokvarljivi	pokʋǎrʎiʋ
pokvasiti	pǒkʋasiti
pol	pôːl
pola	pôla
pola	pǒːla
polagan	polǎgaːn
polagano	polǎgaːno
polagati	polǎːgati
polako	polǎːko
polaskati	pǒlaskati
polazak	pǒlazak
polaziti	pǒlaziti
polen	pǒlen
polet	pǒlet
poletati	polěːtati
poleteti	polěteti
poletjeti	polětjeti
poliandrija	poliǎndrija
policajac	politsǎːjats
policija	polǐtsija
policijski	polǐtsiːjski
policijski	polǐtsiːjskiː
polifenija	polifěnija
polijetati	poljěːtati
poliklinika	poliklǐnika
poliklinički	poliklǐnitʃki
poliklinički	poliklǐnitʃkiː
polinezijski	polǐneːziːjskiː
polisemija	polisěmija
politeizam	politeǐzam
politi	pǒliti
politika	polǐtika
političar	polǐtitʃaːr
politički	polǐtitʃkiː
politologija	politolǒgija
polizati	polǐːzati
poljak	pǒʎaːk
poljakinja	poʎǎkiɲa
polje	pôʎe
poljodelstvo	poʎoděːlstʋo
poljodjelstvo	poʎodjěːlstʋo
poljska	pôʎskaː
poljski	pôʎski
poljski	pôʎskiː
poljski	pǒʎskiː
poljubiti	poʎǔːbiti
polomiti	polǒmiti
polovica	polǒʋitsa
polovina	polǒʋina
položaj	pôloʒaːj
položiti	polǒʒiti
polubrat	polǔbrat
polucija	polǔːtsija
poludeti	polǔːdeti
poludjeti	polǔːdjeti
poluga	pǒluga
polugodišnji	polugǒdiʃɲiː
polugodište	polugǒdiːʃte
polukrug	pôlukruːg
polumesec	pôlumeseːts
polumesečni	pôlumesetʃniː
polumesečno	pôlumesetʃno
polumjesec	pôlumjeseːts
polumjesečni	pôlumjesetʃniː
polumjesečno	pôlumjesetʃno
polumrak	pôlumraːk
polutama	pôlutaːma
polutka	pǒlutka
pomada	pomǎːda
pomagati	pomǎːgati
pomagač	pomǎgaːtʃ
pomaknuti	pomǎknuti
pomalo	pǒmalo
pomast	pômaːst
pomazati	pǒmazati
pomaći	pǒmatɕi
pomesti	pǒmesti
pomešati	poměːʃati
pomfrit	pǒmfrit
pomicati	pǒmitsati
pomiješati	pomiěːʃati
pomilovati	pǒmiloʋati
pomiriti	pomǐːriti
pomirljiv	pomǐrʎiʋ
pomisliti	pǒmisliti
pomišljati	pomǐːʃʎati
pomladak	pǒmladak
pomnjiv	pǒmɲiʋ
pomnožiti	pomnǒʒiti
pomodan	pômoːdan
pomorac	pǒmorats
pomorandža	pomǒraːndʒa
pomorje	pǒmoːrje
pomoć	pômoːtɕ
pomoći	pǒmotɕi
pomoćni	pǒmotɕniː
pomoćnica	pomǒtɕnitsa
pomoćnik	pomǒtɕniːk
pomoću	pômotɕu
pomusti	pǒmusti
ponadati	ponǎːdati
ponadvor	ponadvor
ponadzrndziti	ponadzrndziti
ponajpre	pǒnaːjpre
ponajprije	pǒnaːjprije
ponajviše	pǒnaːjʋiʃe
ponaosob	ponaǒsob
ponavljati	ponǎːʋʎati
ponašanje	ponǎːʃaːɲe
ponašati	ponǎːʃati
pondelek	pondelek
ponedeljak	ponědeʎak
ponedjeljak	ponědjeʎak
ponekad	pǒnekad
ponestajati	poněstajati
ponestati	poněstati
poniziti	ponǐːziti
poništavati	poniʃtǎːʋati
poništiti	pǒniʃtiti
ponižavati	poniʒǎːʋati
poniženje	poniʒěːɲe
ponor	pǒnor
ponos	pǒnos
ponosan	pǒnosan
ponosit	pǒnosit
ponositi	ponǒsiti
ponosito	pǒnosito
ponosno	pǒnosno
ponovan	pônoːʋan
ponoviti	ponǒʋiti
ponovno	pônoːʋno
ponovo	pônoʋo
ponuda	pônuda
ponuditi	pǒnuditi
poorati	poǒrati
pop	pôp
popis	pǒpis
popisati	popǐːsati
popisivati	popisǐːʋati
popiti	pǒpiti
poplava	pôplaʋa
poplaviti	poplǎːʋiti
poplašiti	pǒplaʃiti
poplun	pǒplun
popodne	popǒːdne
poprati	pǒprati
popratiti	pǒpratiti
popratni	pǒpratniː
popravak	pǒpraʋak
popravilište	poprǎʋiliːʃte
popraviti	pǒpraʋiti
popravljati	pǒpraʋʎati
popravljač	poprǎʋʎaːtʃ
popravljačica	popraʋʎǎtʃitsa
popravljiv	poprǎʋʎiʋ
popravni	pǒpraːʋniː
popraćivati	popratɕǐːʋati
popreko	pôpreːko
poprečan	pôpretʃan
poprečnica	pôpretʃnitsa
poprečno	pôpretʃno
poprijeko	pôprijeːko
popriličan	poprǐːlitʃan
poprilično	poprǐːlitʃno
poprimati	poprǐːmati
poprimiti	poprǐːmiti
popričati	poprǐːtʃati
poprište	pôpriːʃte
poprsje	pǒprːsje
poprskati	popřːskati
poprskavati	poprskǎːʋati
popržiti	pǒprʒiti
popucati	pǒputsati
popudbina	pǒpudbina
populacija	populǎːtsija
populacijski	populǎːtsiːjskiː
popularan	pôpulaːran
popularizacija	popularizǎːtsija
popularizator	popularǐzaːtor
popularizatorski	popularǐzaːtoːrskiː
popularizirati	popularizǐːrati
popularno	pôpulaːrno
popularnost	populǎːrnoːst
populist	popǔlist
populistički	populǐstitʃki
populistički	populǐstitʃkiː
populizam	populǐzam
popuna	pôpuna
popuniti	pǒpuniti
popunjavati	popuɲǎːʋati
popust	pǒpust
popustiti	popǔstiti
popustljiv	popǔstʎiʋ
popustljivo	popǔstʎiʋo
popustljivost	popǔstʎiʋoːst
poput	pôpuːt
poputnina	pǒputnina
popušiti	pǒpuʃiti
popuštati	popǔːʃtati
pora	pǒːra
poraba	pôraba
poradi	pôradi
poraditi	porǎːditi
poraniti	pǒraniti
porast	pôraːst
porasti	pǒraːsti
poravnati	porǎʋnati
poravnavati	poraʋnǎːʋati
poraz	pôraːz
poraće	pǒraːtɕe
porađati	porǎːdʑati
poreciv	porětsiʋ
pored	pôred
poredak	pǒredak
poredba	pǒredba
poreklo	porěːklo
poremetiti	porěmetiti
poremećaj	pôremetɕaːj
poremećivati	poremetɕǐːʋati
porezati	pǒrezati
poreći	pǒretɕi
poricati	porǐːtsati
porijeklo	porijěːklo
pornograf	pornǒgraf
pornografija	pornogrǎfija
pornografski	pornǒgrafskiː
porobiti	porǒbiti
porobljavati	porobʎǎːʋati
porobljivati	porobʎǐːʋati
porodica	pǒroditsa
poroditi	porǒditi
porodični	pǒroditʃniː
porok	pǒrok
porota	pôrota
porotni	pôrotniː
porotnica	pǒrotnitsa
porotnik	pǒrotniːk
porozan	pôroːzan
portal	pǒrtaːl
portfelj	pǒrtfeʎ
portugal	pôrtugal
portugalac	portugǎːlats
portugalski	pôrtugaːlskiː
porudžbina	pǒrudʒbina
poruga	pôruga
poruka	pôruka
porumeneti	poruměneti
porumeniti	poruměniti
porumenjeti	poruměɲeti
poručiti	porǔːtʃiti
poručivati	porutʃǐːʋati
poručnica	pǒrutʃnitsa
poručnik	pǒrutʃniːk
porušiti	pǒruʃiti
posada	pôsada
posaditi	posǎːditi
posao	pǒsao
posađivati	posadʑǐːʋati
poseban	pǒːseban
posebice	pǒːsebitseː
posebno	pǒːsebno
posebnost	pǒːsebnoːst
posed	pǒːsed
posedeti	posěːdeti
posediti	posěːditi
posedovati	pǒːsedoʋati
posekotina	posekǒtina
poset	pôset
poseta	pôseta
posetilac	posětilats
posetitelj	posětiteʎ
posetiti	pǒsetiti
posetnica	pǒsetnitsa
poseći	pǒsetɕi
posećivati	posetɕǐːʋati
posijediti	posijěːditi
posijedjeti	posijěːdjeti
posjed	pǒːsjed
posjedovati	pǒːsjedoʋati
posjekotina	posjekǒtina
posjet	pôsjet
posjeta	pôsjeta
posjetilac	posjětilats
posjetitelj	posjětiteʎ
posjetiti	pǒsjetiti
posjetnica	pǒsjetnitsa
posjeći	pǒsjetɕi
posjećivati	posjetɕǐːʋati
poslanik	pǒslaniːk
poslanstvo	poslǎːnstʋo
poslastica	pǒslastitsa
poslati	pǒslati
posledica	pǒsleditsa
poslednji	pǒsledɲiː
posljedica	pǒsʎeditsa
posljednji	pǒsʎedɲiː
poslodavac	poslodǎːʋats
poslovan	pôsloːʋan
poslovanje	posloʋǎːɲe
poslovati	poslǒʋati
poslovotkinja	poslǒʋotkiɲa
poslovođa	pôsloʋodʑa
posluga	pôsluga
posluh	pôsluːx
poslušan	pôsluːʃan
poslušati	pǒsluʃati
poslušnik	pǒsluːʃniːk
poslušno	pôsluːʃno
poslušnost	poslǔːʃnoːst
poslužitelj	poslǔʒiteʎ
poslužiti	poslǔːʒiti
posluživati	posluʒǐːʋati
posmrče	pǒsmr̩tʃe
posoliti	posǒliti
pospan	pôspaːn
pospano	pôspaːno
posramiti	posrǎːmiti
posramljivati	posramʎǐːʋati
posredan	pǒsredan
posrednik	pǒsredniːk
posredno	pǒsredno
posredovati	pǒsredoʋati
posredstvo	pǒsredstʋo
posrkati	posřːkati
posrnuti	posřːnuti
posrtati	pǒsrtati
post	pôːst
postaja	pôstaja
postajati	postǎjati
postajati	pǒstajati
postalveolaran	pôstalʋeolaːran
postanak	pǒstanak
postariji	pôstarijiː
postati	pǒstati
postaviti	pǒstaʋiti
postavka	pǒstaːʋka
postavljati	pǒstaʋʎati
postavljenje	postaʋʎěːɲe
postelja	pôsteʎa
posteljica	pôsteʎitsa
posteljina	posteʎǐna
postfeminizam	postfeminǐzam
postideti	postǐːdeti
postidjeti	postǐːdjeti
postignuti	pǒstignuti
postiti	pǒstiti
postizati	pǒstizati
postići	pǒstitɕi
postojan	pǒːstojaːn
postojanje	pǒːstojaːɲe
postojanost	pǒːstojaːnoːst
postojati	postǒjati
postojati	pǒːstojati
postojeći	pǒːstojeːtɕiː
postola	postǒla
postolar	postǒlaːr
postolje	pǒːstoːʎe
postotak	pǒstotak
postrojba	pǒstrojba
postulat	postǔlaːt
postupak	pǒstupak
postupan	pǒstupan
postupati	postǔːpati
postupiti	postǔːpiti
postupno	pǒstupno
posuda	pôsuda
posudba	pǒsudba
posuditi	posǔːditi
posustajati	posǔstajati
posustati	posǔstati
posuđivati	posudʑǐːʋati
posve	pǒsʋe
posvema	posʋěma
posvemašnji	pǒsʋemaʃɲiː
posveta	pôsʋeta
posvetiti	posʋěːtiti
posvećivati	posʋetɕǐːʋati
potajan	pôtaːjan
potaknuti	potǎknuti
potanko	pôtanko
potapati	potǎːpati
potaći	pǒtatɕi
potegnuti	potěːgnuti
potencijal	potentsǐjaːl
potencijalan	pôtentsijaːlan
potencijalno	pôtentsijaːlno
potepuh	potěpuːx
potera	pôtera
poternica	pǒteːrnitsa
potezati	potěːzati
poteškoća	poteʃkǒtɕa
poticati	pǒtitsati
potiho	pôtixo
potiljak	pǒtiʎak
potišten	pǒtiːʃten
potištenost	pǒtiːʃtenoːst
potjera	pôtjera
potjernica	pǒtjeːrnitsa
potkivati	potkǐːʋati
potkopati	potkǒpati
potkopavati	potkopǎːʋati
potkova	pǒtkoʋa
potkovati	potkǒʋati
potkovica	pǒtkoʋitsa
potkošulja	pôtkoʃuʎa
potkraj	pǒtkraːj
potkrepiti	potkrěːpiti
potkrepljivati	potkrepʎǐːʋati
potkrijepiti	potkrjěːpiti
potkupiti	potkǔːpiti
potkupljivati	potkupʎǐːʋati
potmuo	pǒtmuo
potok	pǒtok
potom	pǒtoːm
potomak	pǒtomak
potomstvo	pǒtoːmstʋo
potop	pǒtop
potopiti	potǒpiti
potočić	pǒtotʃitɕ
potočni	pǒtotʃniː
potpetica	pǒtpetitsa
potpis	pǒtpis
potpisati	potpǐːsati
potpisivati	potpisǐːʋati
potpisnica	pǒtpisnitsa
potpisnik	pǒtpisniːk
potplatiti	potplǎːtiti
potplaćivati	potplatɕǐːʋati
potpora	pôtpora
potpredsednik	potprěːdsedniːk
potpredsjednik	potprěːdsjedniːk
potpun	pǒtpun
potpuno	pǒtpuno
potraga	pôtraga
potrajati	pǒtrajati
potražiti	potrǎːʒiti
potreba	pôtreba
potreban	pôtreban
potrebovati	pǒtreboʋati
potres	pǒtres
potrošač	potrǒʃaːtʃ
potrošiti	potrǒʃiti
potrošnja	potrǒʃɲa
potruditi	potrǔːditi
potvrda	pôtʋrda
potvrditi	potʋřːditi
potvrđivati	potʋr̩dʑǐːʋati
pouzdan	pǒuzdaːn
pouzdanje	pouzdǎːɲe
pouzdano	pǒuzdaːno
pouzdanost	pǒuzdaːnoːst
povelja	pǒʋeʎa
poveravati	poʋerǎːʋati
poverenik	poʋerěniːk
poverenje	poʋerěːɲe
poverenstvo	poʋerěnstʋo
poveriti	pǒʋeriti
poverljiv	poʋěrʎiʋ
poverovati	pǒʋeroʋati
povest	pôʋeːst
povesti	pǒʋesti
povetarac	poʋetǎːrats
povezati	poʋěːzati
povezivati	poʋezǐːʋati
poveznica	pǒʋeznitsa
povećalo	poʋětɕalo
povećati	poʋětɕati
povećavati	poʋetɕǎːʋati
povijati	poʋǐːjati
povijedati	povjedati
povijest	pôʋijeːst
povisiti	poʋîsiti
povisok	pôʋisok
poviti	pǒʋiti
povjeravati	poʋjerǎːʋati
povjerenik	poʋjerěniːk
povjerenje	poʋjerěːɲe
povjerenstvo	poʋjerěnstʋo
povjeriti	pǒʋjeriti
povjerljiv	poʋjěrʎiʋ
povjerovati	pǒʋjeroʋati
povjesničar	pôʋjesnitʃaːr
povjetarac	poʋjetǎːrats
povlastica	pǒʋlastitsa
povlačiti	poʋlǎːtʃiti
povod	pǒʋod
povoditi	poʋǒditi
povodom	pǒʋodom
povoljan	pôʋoːʎan
povoljno	pôʋoːʎno
povorka	pǒʋoːrka
povratak	pǒʋratak
povratiti	povrǎːtiti
povratnica	pǒʋratnitsa
povratnik	pǒʋratniːk
povraćati	pǒʋratɕati
povreda	pôʋreda
povrediti	poʋrěːditi
povrediv	poʋrědiʋ
povremen	pǒʋremen
povremeno	pǒʋremeno
povređivati	poʋredʑǐːʋati
povrijediti	poʋrjěːditi
povrtni	pǒʋrtniː
povrće	pǒʋr̩tɕe
površan	pǒʋrʃan
površina	pôʋrʃina
povući	pǒʋuːtɕi
povučen	poʋǔtʃen
pozadina	pǒzadina
pozamašan	pôzamaːʃan
pozan	pôːzan
pozdrav	pôzdraːʋ
pozdraviti	pǒzdraʋiti
pozdravljati	pǒzdraʋʎati
pozdravni	pôzdraːʋniː
pozer	pǒzeːr
pozicija	pǒziːtsija
pozirati	pozǐːrati
pozitivan	pôzitiːʋan
pozitivno	pôzitiːʋno
poziv	pǒːziʋ
pozivati	pozǐːʋati
pozlatiti	pozlǎːtiti
poznanica	pǒznanitsa
poznanik	pǒznaniːk
poznanstvo	poznǎːnstʋo
poznat	pôznaːt
poznati	pǒznati
poznatost	pôznaːtoːst
poznavati	poznǎːʋati
pozoj	pǒzoj
pozoran	pǒːzoːran
pozornica	pozǒːrnitsa
pozornik	pǒːzoːrniːk
pozorno	pǒːzoːrno
pozornost	pozǒːrnoːst
pozvati	pǒzʋati
poći	pôːtɕi
počakati	potʃakati
počast	pôtʃaːst
počastiti	potʃǎstiti
počelo	potʃěːlo
početak	potʃěːtak
početi	pǒtʃeːti
početkom	potʃěːtkom
početni	pǒtʃetniː
početnica	pǒtʃetnitsa
početnik	pǒtʃetniːk
počiniti	potʃǐniti
počinjati	pǒtʃiɲati
počinuti	pǒtʃinuti
pośekotina	poɕekotina
pośet	pôɕet
pośetiti	pǒɕetiti
pošast	pôʃaːst
pošta	pôʃta
poštanski	pôʃtanskiː
pošteda	pôʃteda
poštedeti	poʃtěːdeti
poštedjeti	poʃtěːdjeti
pošten	pǒʃten
pošteđivati	poʃtedʑǐːʋati
pošto	pôʃto
poštovalac	poʃtǒʋalats
poštovan	pôʃtoʋaːn
poštovanje	poʃtoʋǎːɲe
poštovatelj	poʃtǒʋateʎ
poštovati	poʃtǒʋati
pošumiti	pǒʃumiti
pošumljavati	poʃumʎǎːʋati
pošumljivati	poʃumʎǐːʋati
požar	pôʒaːr
poželeti	poʒěleti
poželjan	pôʒeːʎan
poželjeti	poʒěʎeti
požuda	pôʒuda
požudan	pôʒuːdan
prabaka	prabǎːka
prag	prâg
pragmatizam	pragmatǐzam
prah	prâːx
prajdovac	prâːjdoʋats
prakrt	prǎkrt
praksa	prâksa
praktičan	prǎktitʃan
praktički	prǎktitʃki
praktično	prǎktitʃno
praktičnost	prǎktitʃnoːst
pralja	prâːʎa
pram	prâm
pram	prâːm
pramac	prǎːmats
pramajka	prǎmaːjka
pramen	prâmeːn
pranje	prǎːɲe
praonica	praǒːnitsa
praotac	praǒtats
praroditelj	prarǒditeʎ
praskati	prâskati
praskozorje	prâskozoːrje
praslavenski	prâslaʋeːnskiː
praslovenski	prâsloʋeːnskiː
prasnuti	prâsnuti
prastar	prâstar
prati	prâti
pratilac	prǎtilats
pratiti	prâtiti
pratnja	prǎtɲa
prav	prâʋ
pravac	prǎːʋats
pravaš	prǎʋaːʃ
pravdati	prâːʋdati
pravi	prâːʋiː
pravilan	prâʋiːlan
pravilnik	prǎʋiːlniːk
pravilo	prâʋilo
praviti	prâʋiti
pravni	prâːʋniː
pravnica	prâːʋnitsa
pravnik	prâːʋniːk
pravno	prâːʋno
pravo	prâʋo
pravo	prǎːʋo
pravodoban	prâʋodoban
pravodobno	prâʋodobno
pravodobnost	prâʋodobnoːst
pravopis	prâʋopiːs
pravopisni	prâʋopiːsniː
pravopiždžija	praʋopǐʒdʒija
pravorek	prâʋoreːk
pravorijek	prâʋorijeːk
pravoslavac	praʋoslǎːʋats
pravoslavan	prâʋoslaːʋan
pravoslavlje	prâʋoslaːʋʎe
pravosudni	prâʋosuːdniː
pravosuđe	prâʋosuːdʑe
pravovaljan	praʋoʋǎʎaːn
pravovaljano	praʋoʋǎʎaːno
pravovaljanost	praʋoʋǎʎanoːst
pravoverac	praʋoʋěːrats
pravoveran	prâʋoʋeːran
pravoverje	prâʋoʋeːrje
pravoverno	prâʋoʋeːrno
pravovernost	praʋoʋěːrnoːst
pravovjerac	praʋoʋjěːrats
pravovjeran	prâʋoʋjeːran
pravovjerje	prâʋoʋjeːrje
pravovjerno	prâʋoʋjeːrno
pravovjernost	praʋoʋjěːrnoːst
pravovremen	prâʋoʋremen
pravovremeno	prâʋoʋremeno
pravovremenost	prâʋoʋremenoːst
prazan	prǎːzan
praznik	prâːzniːk
praznina	praznǐna
prazniti	prǎːzniti
praznični	prâːznitʃniː
prazno	prâːzno
praznoglavac	praznǒglaʋats
praznovati	prâznoʋati
praznoveran	prâznoʋeːran
praznoverje	prâznoʋeːrje
praznovernost	prâznoʋeːrnoːst
praznovjeran	prâznoʋjeːran
praznovjerje	prâznoʋjeːrje
praznovjernost	prâznoʋjeːrnoːst
prašak	prǎːʃak
prašan	prǎːʃan
prašina	prǎʃina
praški	prâʃkiː
prašnica	prâːʃnitsa
prašnjav	prâʃɲaʋ
pražanin	prâʒanin
praživotinja	prâʒiʋotiɲa
prdeti	přdeti
prdež	pr̂deʒ
prditi	přditi
prdjeti	přdjeti
prdnuti	pr̂dnuti
pre	prê
preambula	prěambula
prebaciti	prebǎːtsiti
prebacivati	prebatsǐːʋati
prebijati	prebǐːjati
prebiti	prěbiti
prebroditi	prebrǒditi
prebrođivati	prebrodʑǐːʋati
precijeniti	pretsijěːniti
precizan	prêtsiːzan
precizno	prêtsiːzno
pred	prêd
preda	prêda
predahnuti	predǎxnuti
predaja	prêdaja
predak	prêdak
predati	prědati
predator	prědaːtor
predavanje	predǎːʋaːɲe
predavati	predǎːʋati
predavač	predǎʋaːtʃ
predbaciti	predbǎːtsiti
predbacivati	predbatsǐːʋati
predbilježiti	predbǐʎeʒiti
predeo	prěːdeo
predgovor	prêdgoʋoːr
predgrađe	prědgraːdʑe
predigra	prêdigra
predika	prêdika
predio	prěːdio
predivo	prêdiːʋo
predizborni	prêdizboːrniː
predjelo	prědjelo
predlagati	predlǎːgati
predlog	prěːdlog
predložiti	predlǒʒiti
predložni	prěːdloʒniː
predmet	prěːdmet
predmetak	prěːdmetak
prednost	prêdnoːst
predodrediti	predodrěːditi
predodređivati	predodredʑǐːʋati
predodžba	prědodʒba
predomisliti	predǒmisliti
predomišljati	predomǐːʃʎati
predosjećati	predǒsjetɕati
predočavati	predotʃǎːʋati
predočiti	predǒtʃiti
predočivati	predotʃǐːʋati
predrasuda	prědraːsuda
predsednik	prěːdsedniːk
predsjedati	predsjěːdati
predsjedavati	predsjedǎːʋati
predsjednik	prěːdsjedniːk
predsoblje	prěːdsoːbʎe
predstava	prêːdstaʋa
predstaviti	prědstaʋiti
predstavljati	prědstaʋʎati
predstavnica	prěːdstaːʋnitsa
predstavnik	prěːdstaːʋniːk
predstavnički	prěːdstaːʋnitʃkiː
predujam	predǔːjam
preduvjet	predǔːʋjet
preduzeće	preduzetɕe
predvideti	prědʋideti
predvidjeti	prědʋidjeti
predvidljiv	predʋǐdʎiʋ
predvidljivost	predʋǐdʎiʋoːst
predviđati	predʋǐːdʑati
predvoditi	predʋǒditi
predvodnica	prědʋodnitsa
predvodnik	prědʋodniːk
predvodnički	prědʋodnitʃki
predvodnički	prědʋodnitʃkiː
predvorje	prěːdʋoːrje
predzadnji	prědzadɲiː
predziđe	prědziːdʑe
predznak	prêdznaːk
predznanje	predznǎːɲe
predśednik	predɕednik
predškola	prědʃkoːla
predživot	prědʒiʋot
prefekt	prěfekt
prefektura	prefektǔːra
preferans	prěferans
preferencijalan	prêferentsijaːlan
preferirati	preferǐːrati
prefiks	prěfiks
preformulirati	preformulǐːrati
prefrigan	prěfrigaːn
prefriganac	prefrigǎːnats
pregalac	prěgalats
pregalaštvo	prěgalaːʃtʋo
pregača	prěgatʃa
pregib	prěːgib
pregibati	pregǐːbati
preglas	prěːglas
pregled	prěːgled
pregledan	prěːgledan
preglednik	prěːgledniːk
pregledno	prěːgledno
preglednost	prěːglednoːst
pregnantan	pregnǎntan
pregnuti	prěːgnuti
pregovarati	pregoʋǎːrati
pregovarač	pregoʋǎraːtʃ
pregovarački	pregoʋǎraːtʃki
pregovarački	pregoʋǎraːtʃkiː
pregovor	prêgoʋoːr
pregrada	prêgrada
pregraditi	pregrǎːditi
pregrađivati	pregradʑǐːʋati
pregrejati	prěgrejati
pregrejavati	pregrejǎːʋati
pregrijati	prěgrijati
pregrijavati	pregrijǎːʋati
pregristi	prěgristi
pregršt	prêgrːʃt
prehladiti	prexlǎːditi
preinaka	prêinaka
prekaliti	prekǎːliti
prekasno	prêkasno
prekid	prěːkid
prekidati	prekǐːdati
prekidač	prekǐdaːtʃ
prekinuti	prěkinuti
prekipeti	prekǐːpeti
prekipjeti	prekǐːpjeti
prekjuče	prêkjutʃeː
prekjučer	prêkjutʃeːr
preklani	prêklaːni
preklopiti	preklǒpiti
preko	prêko
prekopati	prekǒpati
prekopavati	prekopǎːʋati
prekor	prěːkor
prekosutra	prekǒsutra
prekretati	prěkretati
prekretnica	prěkretnitsa
prekriti	prěkriti
prekrivati	prekrǐːʋati
prekršiti	prekřːʃiti
preksutra	prěksutra
prelamati	prelǎːmati
prelaz	prěːlaz
prelazak	prělazak
prelazan	prěːlazan
prelaziti	prělaziti
preletati	prelěːtati
preleteti	prelěteti
preletjeti	prelětjeti
prelijetati	prelijěːtati
preliminaran	prêliminaːran
prelistati	prelǐstati
prelistavati	prelistǎːʋati
preljub	prěːʎub
prelom	prěːlom
prelomiti	prelǒmiti
prema	prêma
premalen	prêmalen
premalo	prêmalo
premašiti	prěmaʃiti
premda	prêmda
premijer	premǐjeːr
premijera	premijěːra
preminuti	premǐːnuti
premjestiti	prěmjestiti
premještati	premjěːʃtati
premlatiti	premlǎːtiti
premlaćivati	premlatɕǐːʋati
premostiti	premǒstiti
premostiv	premǒstiʋ
premotati	premǒtati
preneti	prěneːti
prenijeti	prěnjeːti
prenos	prěːnos
prenositi	prenǒsiti
prenosiv	prenǒsiʋ
prenosnik	prěːnosniːk
prenoćiti	prenǒtɕiti
prenoćivati	prenotɕǐːʋati
prenuti	prênuti
preokrenuti	preokrěːnuti
preokret	prêokreːt
preorati	preǒrati
preoravati	preorǎːʋati
preostajati	preǒstajati
preostati	preǒstati
preoteti	preǒteːti
preotimati	preǒtimati
prepad	prěːpad
prepadati	prěpadati
prepasti	prěpasti
prepelica	prêpelitsa
prepeličar	prêpelitʃaːr
prepeći	prěpetɕi
prepiliti	prepǐːliti
prepirati	prěpirati
prepirka	prěpiːrka
prepis	prěːpis
prepisati	prepǐːsati
prepisivati	prepisǐːʋati
preplatiti	preplǎːtiti
preplaćivati	preplatɕǐːʋati
preplašiti	prěplaʃiti
preplivati	prěpliʋati
preplivavati	prepliʋǎːʋati
preploviti	preplǒʋiti
prepodne	prepǒːdne
prepolavljati	prepolǎːʋʎati
prepoloviti	prepolǒʋiti
prepolovljivati	prepoloʋʎǐːʋati
prepona	prêpona
preporod	prêporod
preporuka	prêporuka
preporučiti	preporǔːtʃiti
preporučivati	preporutʃǐːʋati
prepoznati	prepǒznati
prepoznatljiv	prepoznǎtʎiʋ
prepoznatljivost	prepoznǎtʎiʋoːst
prepoznavati	prepoznǎːʋati
preprati	prěprati
prepreden	preprěden
prepreka	prêpreka
prepričati	preprǐːtʃati
prepričavati	prepritʃǎːʋati
prepun	prěpun
prepustiti	prepǔstiti
prepuštati	prepǔːʃtati
preraditi	prerǎːditi
preraspodela	prerǎspodela
preraspodeliti	preraspoděːliti
preraspodijeliti	preraspodijěːliti
preraspodjela	prerǎspodjela
prerasti	prěraːsti
preračunati	preratʃǔnati
preračunavati	preratʃunǎːʋati
prerađivati	preradʑǐːʋati
prerezati	prěrezati
prerezivati	prerezǐːʋati
prerija	prêːrija
prerijski	prêːriːjskiː
prerušiti	prěruʃiti
prerušivati	preruʃǐːʋati
pres	prês
presaditi	presǎːditi
presahnjivati	presaxɲǐːʋati
presahnuti	presǎxnuti
presan	prěːsan
presađivati	presadʑǐːʋati
presecati	presěːtsati
presek	prěːsek
preseliti	presěliti
preseljavati	preseʎǎːʋati
presenetiti	preseněːtiti
presenećivati	presenetɕǐːʋati
preseći	prěsetɕi
presica	prêsitsa
presijecati	presijěːtsati
presjek	prěːsjek
presjeći	prěsjetɕi
preskakati	preskǎːkati
preskočiti	preskǒtʃiti
preslica	prêslitsa
preslikati	prěslikati
preslikavati	preslikǎːʋati
presoliti	presǒliti
presoljavati	presoʎǎːʋati
presoljivati	presoʎǐːʋati
prespavati	prespǎːʋati
presresti	prěsresti
presretati	prěsretati
prestajati	prěstajati
prestanak	prěstanak
prestati	prěstati
presti	prêsti
prestignuti	prěstignuti
prestizati	prěstizati
prestići	prěstitɕi
prestiž	prêstiːʒ
prestižni	prêstiʒniː
