অ	a
নারীবাদ	naɾibad̪
নার্গিস	naɹgis
নার্গিস	naɾgis
নালিশ	naliʃ
নাশকতা	naʃɔkot̪aˑ
নাশকতা	naʃɔkɔt̪aˑ
নাসরিন	nasɹin
নাসরিন	nasɾin
নাস্তানাবুদ	nast̪anabud̪
নাস্তিক	nastˈik
নি	mi
নিঃশ্বসন	nihʃːɔʃɔn
নিকড়িয়া	nikoɹi̯aˑ
নিকড়িয়া	nikoɽi̯aˑ
নিকড়িয়া	nikoɾi̯aˑ
নিক্তি	nikti
নিচতলা	nistola
নিতে	ne
নিধি	nid̪ʱiˑ
নিন্দা	nindˈa
নিবন্ধন	nibɔndʱɔn
নিম	nim
নিমন্ত্রণ	nimont̪ːɹon
নিমন্ত্রণ	nimont̪ːɾon
নিম্ন	nimnoˑ
নিম্নে	nimne
নিম্নে	nimneˑ
নিয়ম	ni̯om
নিয়ে	ni̯eˑ
নিরাপত্তা	niɾapɔt̪t̪a
নিরামিষাশী	niɾamiʃaʃi
নিরাশ	nirasʃ
নির্দেশ	niɹd̪eʃ
নির্দেশ	niɾd̪eʃ
নির্ধারণ	niːd̪ʱaɾn
নির্বাচন	niɹbatɕɔn
নির্বাচন	niɾbatʃɔn
নিলাম	nilam
নিশান	niʃan
নিশানা	nʃana
নিশ্চেতন	nistʃetan
নিশ্বসন	niʃːɔʃɔn
নিশ্বাস	niʃːaʃ
নিষিদ্ধ	niʃid̪ʱːoˑ
নিস্তব্ধ	nist̪ɔbd̪ʱo
নিয়ম	nio̞m
নীচে	nitʃe
নীল	nˈiːl
নীলুফার	nilufaɹ
নীলুফার	nilufaɾ
নুনি	nuniˑ
নুনু	nunuˑ
নুসরাত	nusɹat̪
নুসরাত	nusɾat̪
নূতন	nut̪ɔn
নূরানী	nuɹaniˑ
নূরানী	nuɾaniˑ
নে	ne
নেই	nei
নেই	nej
নেই।	nei
নেউল	neul
নেওয়া	nao̯aˑ
নেওয়া	neo̯aˑ
নেওয়া	næo̯aˑ
নেওয়া	nɛo̯aˑ
নেওয়া	neua
নেকড়ে	nekɹeˑ
নেকড়ে	nekɽeˑ
নেকড়ে	nekɾeˑ
নেকড়ে	nekre
নেটওয়ার্ক	neto̯aɹk
নেটওয়ার্ক	neʈo̯aɾk
নেতাজি	net̪adʑiˑ
নেতাজি	net̪adʒiˑ
নেপচুন	neptɕun
নেপচুন	neptʃun
নেপাল	nepal
নেপিদ	nepid̪ɔ̜ˑ
নেবা	nebaˑ
নেবানো	nebanoˑ
নেভানো	nebʱanoˑ
নেভানো	nevanoˑ
নেয়	ne
নেয়ামৎ	neamɔt̪
নেশা	neʃa
নেহেরু	neɦeɹuˑ
নেহেরু	neɦeɾuˑ
নৈকট্য	noikotːo
নৈরাজ্যবাদ	noi̯ɹadʑːɔbad̪
নৈরাজ্যবাদ	noi̯ɾadʒːɔbad̪
নৈশভোজ	noi̯ʃɔbʱodʑ
নৈশভোজ	noi̯ʃɔbʱodʒ
নৈশভোজ	noi̯ʃɔvodʑ
নৈশভোজ	noi̯ʃɔvodʒ
নোয়াখাইল্লা	no̯akʰai̯lːaˑ
নোয়াখালী	no̯akʰaliˑ
নৌ	nˈoʊ
নৌকা	nou̯ka
নৌকা	nou̯kaˑ
নৌকো	nˈuko
ন্যূনতম	nunot̪ɔmoˑ
পকেট	pɔket
পকেট	pɔkeʈ
পকেট	pɔkɛt
পকেট	ɸɔxɛt
পক্ষে	pɔkʰːeˑ
পচা	otʃa
পচা	pɔtɕaˑ
পচা	pɔtʃaˑ
পছন্দ	pɔsond̪oˑ
পছন্দ	pɔtɕʰond̪oˑ
পছন্দ	pɔtʃʰond̪oˑ
পছন্দ	ɸɔsond̪oˑ
পঞ্চান্ন	pɔntɕanːoˑ
পঞ্চান্ন	pɔntʃanːoˑ
পঞ্চায়েত	pɔntɕae̯t̪
পঞ্চায়েত	pɔntʃae̯t̪
পঞ্চায়েতি	pɔntʃäet̪iˑ
পঞ্চাশ	pɔntɕaʃ
পঞ্চাশ	pɔntʃaʃ
পটভূমি	pʊtʊbʱumiː
পটেল	pɔtel
পটেল	pɔʈel
পটোল	pɔtol
পটোল	pɔʈol
পড়শী	poɹʃiˑ
পড়শী	poɽʃiˑ
পড়শী	poɾʃiˑ
পড়া	pɔɹaˑ
পড়া	pɔɽaˑ
পড়া	pɔɾaˑ
পণ্ডিত	pondit̪
পণ্ডিত	poɳɖit̪
পতাকা	pɔt̪akaˑ
পত্রিকা	pɔt̪ːɹikaˑ
পত্রিকা	pɔt̪ːɾikaˑ
পথ	pɔt̪
পদ্ম	pɔd̪ːoˑ
পদ্মা	pɔd̪ːaˑ
পনীর	poniɹ
পনীর	poniɾ
পবিত্র	pobit̪ːɹoˑ
পবিত্র	pobit̪ːɾoˑ
পয়গম্বর	pɔe̯gɔmbɔɹ
পয়গম্বর	pɔe̯gɔmbɔɾ
পয়লা	pɔe̯laˑ
পরমাণু	pɔɹomanuˑ
পরমাণু	pɔɾomanuˑ
পরশু	poɾʃuˑ
পরশ্রীকাতরতা	pɔɹosɹikat̪ːɹɔt̪aˑ
পরশ্রীকাতরতা	pɔɾosɾikat̪ːɾɔt̪aˑ
পরা	pɔɹaˑ
পরা	pɔɾaˑ
পরাগ	pɔɹag
পরাগ	pɔɾag
পরাত	pɔɹat̪
পরাত	pɔɾat̪
পরামর্শ	pɔramɔrʃo
পরামর্শদাতা	pɔɹamɔɹʃɔd̪at̪aˑ
পরামর্শদাতা	pɔɾamɔɾʃɔd̪at̪aˑ
পরিকল্পনা	poɹikɔlponaˑ
পরিকল্পনা	poɾikɔlponaˑ
পরিকল্পনা	pʊɾiˑklpʊnaˑ
পরিচয়	poɹitɕɔe̯
পরিচয়	poɾitʃɔe̯
পরিচারক	pʊɾitʃarʊk
পরিচয়	pʊɾitʃɔe̞
পরিণতি	poɹinot̪iˑ
পরিণতি	poɾinot̪iˑ
পরিবর্তে	poɹibɔɹt̪eˑ
পরিবর্তে	poɾibɔɾt̪eˑ
পরিবার	poɹibaɹ
পরিবার	poɾibaɾ
পরিবেশিকা	pʊɾibeʃika
পরিমাণে	porimane
পরিশ্রম	poɹisɹɔm
পরিশ্রম	poɾisɾɔm
পরিস্থিতি	poɹist̪ʰit̪iˑ
পরিস্থিতি	poɾist̪ʰit̪iˑ
পরী	poɹiˑ
পরী	poɾiˑ
পরোয়া	pɔɹo̯aˑ
পরোয়া	pɔɾo̯aˑ
পর্তুগাল	pɔɹt̪ugal
পর্তুগাল	pɔɾt̪ugal
পর্দা	pɔɹd̪aˑ
পর্দা	pɔɾd̪aˑ
পর্দানশীন	pɔɹd̪anɔʃin
পর্দানশীন	pɔɾd̪anɔʃin
পর্যটন	pɔɹdʑɔtɔn
পর্যটন	pɔɾdʒɔʈɔn
পর্যন্ত	poɹdʑont̪oˑ
পর্যন্ত	poɾdʒont̪oˑ
পলাশী	pɔlaʃi
পলিনেশিয়া	pɔlineʃŷaˑ
পল্টন	pɔl̪tɔn
পল্টন	pɔɭʈɔn
পল্লি	pɔlːiˑ
পল্লী	pɔli
পশু	pɔʃu
পশ্চিমবঙ্গ	pɔstɕimbɔŋgoˑ
পশ্চিমবঙ্গ	pɔstʃimbɔŋgoˑ
পশ্চিমবঙ্গ	pɔʃtɕimbɔŋgoˑ
পশ্চিমবঙ্গ	pɔʃtʃimbɔŋgoˑ
পশ্চিমবঙ্গে	pɔstɕimbɔŋgeˑ
পশ্চিমবঙ্গে	pɔstʃimbɔŋgeˑ
পশ্চিমবঙ্গে	pɔʃtɕimbɔŋgeˑ
পশ্চিমবঙ্গে	pɔʃtʃimbɔŋgeˑ
পশ্চিমবাংলা	pɔstɕimbaŋlaˑ
পশ্চিমবাংলা	pɔstʃimbaŋlaˑ
পশ্চিমবাংলা	pɔʃtɕimbaŋlaˑ
পশ্চিমবাংলা	pɔʃtʃimbaŋlaˑ
পশ্চিমে	pɔʃtɕimɛ
পহেলা	pɔɦelaˑ
পা	paː
পা	paˑ
পাঁউরুটি	pau̯ɹutiˑ
পাঁউরুটি	pãuɾuʈiˑ
পাঁক	pak
পাঁক	paːk
পাঁক	pãk
পাঁক	pãːk
পাঁচ	patɕ
পাঁচ	pãtʃ
পাঁচিল	patɕil
পাঁচিল	pãtʃil
পাঁঠা	patʰaˑ
পাঁঠা	pãʈʰaˑ
পাঁঠি	pãʈ̟ʰi
পাঁড়ে	paɹeˑ
পাঁড়ে	pãɽeˑ
পাঁড়ে	pãɾeˑ
পাঁতি	pat̪iˑ
পাঁতি	pãt̪iˑ
পাইখানা	pai̯kʰanaˑ
পাইথন	päi̯t̪ʰɔ̜ˑn
পাওয়া	pao̯aˑ
পাওয়া	pau̯a
পাকশালা	akʃala
পাকস্থলী	pakɔst̪ʰoliˑ
পাকা	paka
পাকিস্তান	pakist̪an
পাকিস্তানি	pakistani
পাখা	paka
পাখা	pakʰaˑ
পাখি	paki
পাখি	pakʰiˑ
পাখী	pakʰiˑ
পাঙ্গাশ	paŋaʃ
পাঙ্গাশ	paŋgaʃ
পাছা	pasaˑ
পাছা	patɕʰaˑ
পাছা	patʃʰaˑ
পাছা	ɸasaˑ
পাঞ্জাব	pandʑab
পাঞ্জাব	pandʒab
পাট	pˈɑɹt
পাঠা	patʰaˑ
পাঠা	paʈʰaˑ
পাঠান	patʰan
পাঠান	paʈʰan
পাঠানো	patʰanoˑ
পাঠানো	paʈʰanoˑ
পাড়া	paɹaˑ
পাড়া	paɽaˑ
পাড়া	paɾaˑ
পাণ	pɐn
পাতক	pat̪ɔk
পাতলা	pat̪ːlaˑ
পাতা	pat̪a
পাতাল	patˈal
পাত্তা	pat̪ːaˑ
পাত্র	pat̪ːɹoˑ
পাত্র	pat̪ːɾoˑ
পাদ	päːd̪
পাদা	päd̪äˑ
পাদ্রি	pad̪ːɹiˑ
পাদ্রি	pad̪ːɾiˑ
পান	pan
পান	paːn
পানঘর	paɳgʱɔɹ
পানি	paniˑ
পানু	pänuˑ
পান্ডা	pandaˑ
পান্ডা	paɳɖaˑ
পাপ	pap
পাপ	paːp
পাপ	pˈap
পাপকর্ম	papokɔɹmoˑ
পাপকর্ম	papokɔɾmoˑ
পাপড়ি	papɹiˑ
পাপড়ি	papɽiˑ
পাপড়ি	papɾiˑ
পাপী	papiˑ
পাবনা	pabnaˑ
পাবনা	pˈɑbna
পাবনাইয়া	pabnai̯aˑ
পায়খানা	pae̯kʰanaˑ
পায়স	paeˑs̠
পায়ু	päe̯uˑ
পারদ	päɾoˑd̪
পারভেজ	paɹbʱez
পারভেজ	paɹvez
পারভেজ	paɾbʱez
পারভেজ	paɾvez
পারমাণবিক	paɹomanobik
পারমাণবিক	paɾomanobik
পারা	paɹaˑ
পারা	paɾaˑ
পারিবারিক	paɹibaɹik
পারিবারিক	paɾibaɾik
পারে	pare
পার্কিং	paɹkiŋ
পার্কিং	paɾkiŋ
পার্থ	paɹt̪ʰoˑ
পার্থ	paɾt̪ʰoˑ
পার্থক্য	paɹt̪ʰokːoˑ
পার্থক্য	paɾt̪ʰokːoˑ
পার্শ্ব	paɾʃo
পাল	pɑl
পালক	palok
পালানো	palanoˑ
পাষাণ	paʃan
পাস্তা	pasta
পাহাড়	paɦaɽ
পায়রা	pajɾa
পিঁপড়া	pipɾa
পিছনে	pitɕʰoneˑ
পিছনে	pitʃʰoneˑ
পিঠ	pitʰ
পিঠ	piʈ
পিঠ	piːʈ
পিতা	pit̪aˑ
পিনাকী	pinakiˑ
পিপুল	pipuˑl
পিপ্পল	pipːɔl
পিয়ন	pi̯on
পিয়া	pi̯aˑ
পিয়াস	pi̯aʃ
পিরিচ	piɹitɕ
পিরিচ	piɾitʃ
পিরিচ	piɾit̪s
পিরিচ	ɸiɹis
পিসি	piʃiˑ
পিস্তল	pist̪ɔl
পীরিতি	piɾit̪iˑ
পীরিতি	ɸiɹit̪iˑ
পুঁজিবাদ	pudʑibad̪
পুঁজিবাদ	pũdʒibad̪
পুঁটি	putiˑ
পুঁটি	pũʈiˑ
পুঁথি	put̪ʰiˑ
পুঁথি	pũt̪ʰiˑ
পুকুর	pukuɹ
পুকুর	pukuɾ
পুঙ্খানুপুঙ্খ	puŋkʰanupuŋkʰoˑ
পুছা	putɕʰaˑ
পুছা	putʃʰaˑ
পুজো	pudʒoˑ
পুতুল	put̪ul
পুত্র	put̪ːɹoˑ
পুত্র	put̪ːɾoˑ
পুদিনা	pud̪inaˑ
পুনরুত্থান	punoɹut̪ʰːan
পুনরুত্থান	punoɾut̪ʰːan
পুব	pub
পুব	puːb
পুমা	uma
পুরনো	puɹɔnoˑ
পুরনো	puɾɔnoˑ
পুরস্কার	puɹoʃkaɹ
পুরস্কার	puɾoʃkaɾ
পুরাণ	puɹan
পুরাণ	puɾan
পুরানো	puɹanoˑ
পুরানো	puɾanoˑ
পুরুষ	puɾuʃ
পুরুষ	pʊɾuʃ
পুরুষাঙ্গ	puɹuʃaŋgoˑ
পুরুষাঙ্গ	puɾuʃaŋgoˑ
পুরো	pɔɾo
পুরোগামী	purokami
পুরোটাই	puɾɔtai
পুরোনো	puɹonoˑ
পুরোনো	puɾonoˑ
পুল	pul
পুল	puːl
পুলক	pulok
পুলিশ	puliʃ
পুস্তক	pust̪ɔk
পূজা	pudʒäˑ
পূজারী	pudʑaɹiˑ
পূজারী	pudʒaɾiˑ
পূর্ণ	puɹnoˑ
পূর্ণ	puɾnoˑ
পূর্ব	puɹboˑ
পূর্ব	puɾboˑ
পূর্বপুরুষ	puɾbɔpuɾuʃ
পূর্ববাংলা	puɹbɔbaŋlaˑ
পূর্ববাংলা	puɾbɔbaŋlaˑ
পৃথকীকরণ	pɹit̪ʰkikɹon
পৃথকীকরণ	pɾit̪ʰkikɾon
পৃথিবী	pɹit̪ʰibiˑ
পৃথিবী	pɾit̪ʰibiˑ
পেঁচ	pæ̃tʃ
পেঁচ	pɛtɕ
পেঁড়া	pæ̃ɽaˑ
পেঁড়া	pæ̃ɾaˑ
পেঁড়া	pɛɹaˑ
পেঁপে	pepeˑ
পেঁপে	pẽpeˑ
পেঁয়াজ	peadʑ
পেঁয়াজ	peaz
পেঁয়াজ	peãdʒ
পেঁয়াজ	peãz
পেচ্ছাপ	petʃːʰäˑp
পেটা	peʈ̟a
পেনিস	peniʃ
পেয়ারা	peaɹaˑ
পেয়ারা	peaɾaˑ
পেয়ালা	pala
পেয়ালা	pealaˑ
পেরিয়ে	peɾie
পেরু	peɹuˑ
পেরু	peɾuˑ
পেরে	peɾe
পেরেক	peɹek
পেরেক	peɾek
পেরেক	piˈɾek
পেরেশান	peɹeʃan
পেরেশান	peɾeʃan
পেস	pes
পেস্তা	pest̪aˑ
পো	pˈo
পোকা	poka
পোড়া	poɽ̟aˑ
পোড়ানো	poɽ̟ano
পোশাক	poʃak
পৌঁছনো	poũtʃʰɔnoˑ
পৌঁছা	pou̯tɕʰaˑ
পৌঁছা	poũtʃʰaˑ
পৌনে	poneˑ
পৌনে	ponɛˑ
পৌনে	pou̯neˑ
পৌনে	pou̯nɛˑ
পৌনে	ɸonɛˑ
পৌনে	ɸou̯nɛˑ
পৌর	pou̯ro
পৌষ	oʃ
পৌষ	pou̯ʃ
প্যাঁচা	pæ̃tʃaˑ
প্যাঁচা	pɛtɕaˑ
প্যান্ডেল	pæɳɖel
প্যান্ডেল	pɛndel
প্যালেস্টাইন	pælesʈai̯n
প্যালেস্টাইন	pæleʂʈai̯n
প্যালেস্টাইন	pɛlestai̯n
প্রকারণ	prokarun
প্রকৃত	pɹokɹit̪oˑ
প্রকৃত	pɾokɾit̪oˑ
প্রকৃত	pɾokːit̪oˑ
প্রকৃতি	pɹokɹit̪iˑ
প্রকৃতি	pɾokɾit̪iˑ
প্রকৃতি	pɾokːit̪iˑ
প্রচণ্ড	pɹotɕondoˑ
প্রচণ্ড	pɾotʃoɳɖoˑ
প্রচার	pɹotɕaɹ
প্রচার	pɾotʃaɾ
প্রচুর	ɾɔtʃuɾ
প্রজাপতি	pɹodʑapot̪iˑ
প্রজাপতি	pɾodʒapot̪iˑ
প্রজেক্ট	pɹɔdʑekt
প্রজেক্ট	pɾɔdʒekʈ
প্রতি	pɹot̪iˑ
প্রতি	pɾoti
প্রতি	pɾot̪iˑ
প্রতিধ্বনি	pɹot̪id̪ʱːoniˑ
প্রতিধ্বনি	pɾot̪id̪ʱːoniˑ
প্রতিবন্ধি	pɾt̪iˑbɔnd̪ʱiˑ
প্রতিশোধ	prot̪iʃod̪ʱ
প্রতিশ্রুতি	pɹot̪isɹut̪iˑ
প্রতিশ্রুতি	pɾot̪isɾut̪iˑ
প্রতিষ্ঠিত	pɹot̪istʰit̪oˑ
প্রতিষ্ঠিত	pɹot̪iʃtʰit̪oˑ
প্রতিষ্ঠিত	pɾot̪iʂʈʰit̪oˑ
প্রত্যেক	pɹot̪ːek
প্রত্যেক	pɾot̪ːek
প্রথম	pɹot̪ʰɔm
প্রথম	pɾot̪ʰɔm
প্রধান	pɹod̪ʱan
প্রধান	pɾod̪ʱan
প্রবীণ	pɾobin
প্রয়োজন	pɹoe̯odʑɔn
প্রয়োজন	pɾoe̯odʒɔn
প্রশাসক	pɾoʃaʃɑk
প্রশ্ন	pɹosnoˑ
প্রশ্ন	pɹoʃnoˑ
প্রশ্ন	pɾosnoˑ
প্রশ্ন	pɾoʃnoˑ
প্রশ্নমালা	prosnomala
প্রস্তুত	pɹost̪ut̪
প্রস্তুত	pɾost̪ut̪
প্রস্তুতি	prostut̪i
প্রস্রাব	pˌɾˈɔsˈɹab
প্রহরী	pɹoɦoɹiˑ
প্রহরী	pɾoɦoɾiˑ
প্রাকৃতিক	pɹakɹit̪ik
প্রাকৃতিক	pɾakɾit̪ik
প্রাকৃতিক	pɾakːit̪ik
প্রাকৃতিকভাবে	pɹakɛt̪ikbʱaˑbe
প্রাচীন	pɹatɕin
প্রাচীন	pɾatʃin
প্রাচীর	pɹatɕiɹ
প্রাচীর	pɾatʃiɾ
প্রাচীর	ɾatʃiɾ
প্রাণ	pɹan
প্রাণ	pɾan
প্রাণ	pɾaːn
প্রাণভয়ে	pɾanbʱɔeˑ
প্রাণী	pɹaniˑ
প্রাণী	pɾaniˑ
প্রাণীতে	pɾanitɛ
প্রাত	pɹat̪
প্রাত	pɾat̪
প্রাতরাশ	pɹat̪ɔɹaʃ
প্রাতরাশ	pɾat̪ɔɾaʃ
প্রান্ত	pranto
প্রায়	pɹae̯
প্রায়	pɾae̯
প্রায়	praj
প্রায়ই	rai
প্রিয়	prio
প্রিয়	pɹi̯oˑ
প্রিয়	pɾi̯oˑ
প্রীতম	pɹit̪om
প্রীতম	pɾit̪om
প্রীতি	pɹit̪iˑ
প্রীতি	pɾiti
প্রীতি	pɾit̪iˑ
প্রেম	pɹem
প্রেম	pɾem
প্রেম	pɾeːm
প্রেমপীড়িত	pɹempiɹit̪oˑ
প্রেমপীড়িত	pɾempiɽit̪oˑ
প্রেমপীড়িত	pɾempiɾit̪oˑ
প্রেমিক	pɾemix
প্রেমিকা	pɹemikaˑ
প্রেমিকা	pɾemikaˑ
প্রেমে	preme
প্রেরিত	pɹeɹit̪oˑ
প্রেরিত	pɾeɾit̪oˑ
প্লাস্টিক	plastik
প্লাস্টিক	plasʈik
প্লাস্টিক	plaʂʈik
প্লিজ	pliz
প্লিজ	pliːz
প্লুটো	plutoˑ
প্লুটো	pluʈoˑ
ফকিন্নি	fɔkinːiˑ
ফকির	fokiɹ
ফকির	fokiɾ
ফখরুদ্দিন	fɔkɾud̪ːin
ফখরুদ্দিন	fɔkʰɾud̪ːin
ফখরুদ্দিন	fɔxɾud̪ːin
ফখরুদ্দিন	pʰɔkɾud̪ːin
ফখরুদ্দিন	pʰɔkʰɾud̪ːin
ফখরুদ্দিন	ɸɔkɾud̪ːin
ফখরুদ্দিন	ɸɔkʰɾud̪ːin
ফজর	fɔdʑoɹ
ফজর	fɔdʒoɾ
ফজল	fɔdʑol
ফজল	fɔdʒol
ফজল	fɔzol
ফটো	fɔʈ̟o
ফটোগ্রাফ	fɔtogɹaf
ফটোগ্রাফ	fɔʈogɾaf
ফড়িং	foɹiŋ
ফড়িং	foɽiŋ
ফড়িং	foɾiŋ
ফতে	fot̪eˑ
ফতোয়া	fɔt̪o̯aˑ
ফয়সালা	fɔe̯salaˑ
ফয়েজ	fɔez
ফরজ	fɔɹodʑ
ফরজ	fɔɹoz
ফরজ	fɔɾodʒ
ফরজ	fɔɾoz
ফরভো	foɾvo
ফরমান	fɔɹoman
ফরমান	fɔɾoman
ফরাসি	fɔɹaʃiˑ
ফরাসি	fɔɾaʃiˑ
ফরাসি	poɾasi
ফরিয়াদ	foɹi̯ad̪
ফরিয়াদ	foɾi̯ad̪
ফল	fˈɔl
ফলাফল	fɔlafɔl
ফাঁকা	pʰãka
ফাঁকা	ɸãka
ফাঁসি	pʰãʃi
ফাইরুজ	fai̯ɹuz
ফাইরুজ	fai̯ɾuz
ফাজিল	fadʑil
ফাজিল	fadʒil
ফাজিল	fazil
ফাজিল	ɸad̪zil
ফাজিল	ɸazil
ফাটা	fatːa
ফাটা	pʰɑʈɑ
ফাটা	ɸɑʈɑ
ফাটাফাটি	fatafatiˑ
ফাটাফাটি	faʈafaʈiˑ
ফাতেমা	fat̪emaˑ
ফানুস	fanuʃ
ফায়দা	fae̯d̪aˑ
ফারজানা	faɹdʑanaˑ
ফারজানা	faɹzanaˑ
ফারজানা	faɾdʒanaˑ
ফারজানা	faɾzanaˑ
ফারহান	faɾɦan
ফারহানা	faɾɦanaˑ
ফারাক	faɹak
ফারাক	faɾak
ফারাহ	faɹaˑ
ফারাহ	faɾaˑ
ফালতু	fal̪t̪uˑ
ফালতু	pʰal̪t̪uˑ
ফালতু	ɸalt̪uˑ
ফালুদা	falud̪aˑ
ফাল্গুন	falgun
ফাল্গুন	pʰalgun
ফাস	fas
ফাস	faːs
ফাহাদ	faɦad̪
ফাহ্মী	faɦmiˑ
ফিজি	fidʑiˑ
ফিজি	fidʒiˑ
ফিতা	fit̪aˑ
ফিনল্যান্ড	finlænd
ফিনল্যান্ড	finlæɳɖ
ফিরিঙ্গি	fiɹiŋgiˑ
ফিরিঙ্গি	fiɾiŋgiˑ
ফিরেবার	fiɹebaɹ
ফিরেবার	fiɾebaɾ
ফিরেবার	ɸiɹɛbaɹ
ফিরেবার	ɸiɾɛbaɾ
ফিরোজ	fiɹoz
ফিরোজ	fiɾoz
ফিরোজা	fiɹozaˑ
ফিরোজা	fiɾozaˑ
ফিলিপাইন	filipai̯n
ফিলিস্তিন	filist̪in
ফুটপাত	futpat̪
ফুটপাত	fuʈpat̪
ফুটপাথ	futpat̪
ফুটপাথ	fuʈpat̪
ফুটানো	futane
ফুটো	pʰuʈ̟o
ফুয়েল	fu̯el
ফুরসত	fuɹʃɔt̪
ফুরসত	fuɾʃɔt̪
ফুর্তি	fuɹt̪iˑ
ফুর্তি	pʰuɾt̪iˑ
ফুর্তি	ɸuɹt̪iˑ
ফুর্তি	ɸuɾt̪iˑ
ফুলের	fuleɾ
ফেনা	fænaˑ
ফেনা	fɛnaˑ
ফেনী	feni
ফেব্রুয়ারি	febɹu̯aɹiˑ
ফেব্রুয়ারি	febɾu̯aɾiˑ
ফেব্রুয়ারি	pebɾuaɾi
ফের	peɾ
ফেরদৌস	feɹd̪os
ফেরদৌস	feɹd̪ou̯s
ফেরদৌস	feɾd̪ou̯s
ফেরা	feɹaˑ
ফেরা	fɛɾɑ
ফেরা	pʰeɾaˑ
ফেরেশতা	feɹest̪aˑ
ফেরেশতা	feɾest̪aˑ
ফেলা	fela
ফেলা	fælaˑ
ফেলা	fɛlaˑ
ফোঁটা	fotaˑ
ফোঁটা	fõtaˑ
ফোঁটা	fõʈaˑ
ফোঁটা	pʰõʈaˑ
ফোঁটা	ɸõtaˑ
ফোটা	fotaˑ
ফোটা	foʈaˑ
ফোটা	pʰoʈaˑ
ফোটা	ɸotaˑ
ফোটানো	fotanoˑ
ফোটানো	foʈanoˑ
ফোটানো	pʰoʈanoˑ
ফোটানো	ɸotanoˑ
ফোন	fon
ফোন	foːn
ফোরাত	foɹat̪
ফোরাত	foɾat̪
ফোলা	pʰola
ফোলানো	pʰolano
ফৌজ	fou̯dʑ
ফৌজ	fou̯dʒ
ফৌজ	fou̯z
ফৌজি	fou̯dʑiˑ
ফৌজি	fou̯dʒiˑ
ফৌজি	fou̯ziˑ
ফ্যান	fæn
ফ্যান	fæːn
ফ্যান	fɛn
ফ্যান	fɛːn
ফ্যাসিবাদ	fæsibad̪
ফ্রিজ	fɹidʑ
ফ্রিজ	fɾidʒ
ফ্রেশ	fɹeʃ
ফ্রেশ	fɾeʃ
ফ্রেশ	fɾeːʃ
ফ্লপি	flɔpiˑ
ফ্ল্যাগ	flæg
ফ্ল্যাগ	flɛg
বঁটি	boti
বউ	bou̯
বওয়া	boa
বক	bok
বক	bɔk
বক	bɔːk
বকশিশ	bokʃiʃ
বক্ষবন্ধনী	bkʰbnd̪ʱniˑ
বগ	bɔg
বগদাদ	bɔgd̪ad̪
বগল	boˌgol
বগল	bɔgol
বগা	bɔgaˑ
বগি	bogʝ
বগী	bogiˑ
বগুড়া	boguɾaˑ
বগুড়া	boguɾa
বঙ্গ	bɔŋgoˑ
বঙ্গবিদ্যা	bɔngobid̪ːaˑ
বঙ্গালী	bɔŋgaliˑ
বছর	bɔtɕʰoɹ
বছর	bɔtʃoɾ
বছর	bɔtʃʰoɾ
বজ্র	bɔdʑɹoˑ
বজ্র	bɔdʒɾoˑ
বজ্রাসন	bd̪ɾaʃɔn
বট	bɔt
বট	bɔʈ
বট	bɔːt
বট	bɔːʈ
বটে	bɔte
বড়	bɔɹ
বড়	bɔɹoˑ
বড়	bɔɽ
বড়	bɔɽoˑ
বড়	bɔɾ
বড়	bɔɾoˑ
বড়দিন	bɔ̜ɽ̟odiˑn
বড়দিন	bɔ̜ɽ̟ɔ̝̜diˑn
বড়ি	boɹiˑ
বড়ি	boɽiˑ
বড়ি	boɾiˑ
বত্ব	bɔt̪ːoˑ
বদমাইশ	bɔd̪mai̯ʃ
বন	bon
বন	boːn
বন	bɔn
বন	bɔːn
বনবিড়াল	bonbiɾal
বনশ্রী	bonosɹiˑ
বনশ্রী	bonosɾiˑ
বনানী	bɔnaniˑ
বন্দর	bɔnd̪ɔɹ
বন্দর	bɔnd̪ɔɾ
বন্দুক	bɔnduk
বন্দ্যোপাধ্যায়	bɔnd̪opad̪ʱːae̯
বন্ধ	bɔnd̪ʱoˑ
বন্ধু	bond̪ʱuˑ
বন্ধুত্ব	bond̪ʱut̪ːoˑ
বন্‌ধ	bɔnd̪
বম্বে	bɔmbeˑ
বয়স	boʃ
বয়স	bɔe̯oʃ
বয়স	bɔe̯ʃ
বয়স্ক	bɔe̯oskoˑ
বয়ান	bɔe̯an
বর	bɔɹ
বর	bɔɾ
বর	bɔːɾ
বরকত	bɔɹkot̪
বরকত	bɔɾkot̪
বরকন্দাজ	bɔɹkɔnd̪adʑ
বরকন্দাজ	bɔɾkɔnd̪adʒ
বরফ	bɔɹof
বরফ	bɔɹoɸ
বরফ	bɔɾop
বরফ	bɔɾopʰ
বরফ	bɔɾoɸ
বরবাদ	bɔɹbad̪
বরবাদ	bɔɾbad̪
বরাবর	boɾɑboɾ
বর্গি	boɹgiˑ
বর্গি	boɾgiˑ
বর্ণ	bɔɹnoˑ
বর্ণ	bɔɾnoˑ
বর্ণনা	bɔɹnonaˑ
বর্ণনা	bɔɾnonaˑ
বর্ণমালা	bɔɹnomalaˑ
বর্ণমালা	bɔɾnomalaˑ
বর্তমান	bɔɹt̪oman
বর্তমান	bɔɾt̪oman
বর্ধমান	bɔɹd̪ʱoman
বর্ধমান	bɔɾd̪ʱoman
বর্বর	bɔɾbɔɾ
