a	ɑ
luiheid	lɑːjhɛjt
luiheid	ɫœi̯ɦəit
luike	ɫœi̯kə
luil	ɫɥiːl
luiperd	ɫœi̯pɛrt
luis	ɫœi̯s
luise	ɫɥiːsə
luister	ləʊ̯sɪtər
luisteraar	ˈlœy̯stəraːr
luisteraars	ˈlœy̯stəɹɑːrs
luit	ɫœɪt
luit-kol	ɫœitˈkɔl
luit-kolonel	ɫœitkɔˈlɔnəl
luit-maj	ɫœitˈmɑːχ
luitenant	luɪtəˈnɑːnt
luitenant-kolonel	ɫɪu̯təntxɔˈlɔnəl
luitenant-majoor	luɪtəˈnɑːntmaˈʃuːr
lukraak	lakɾˈɔk
lumbalepunksie	ˈlʌmbəlɛpʊnʃi
lummel	ɫʏməɫ
lumpi	ɫʏmpi
lund	ɫʊnt
lus	bəs
lus	ɫʏs
luste	lystə
luther	ˈlʏtər
luuks	ɫʏks
luukse	luːkʃə
luukshede	ɫykʃəde
lux	ɫʏks
ly	lə̟i̯
ly	lɛi˨˩˦
ly	ɫiː
lydende	ləi̯dənə
lyding	ləi̯ŋ
lyf	ləf
lyfbediende	ɫifbɛi̯ˈdiə̯ntə
lyfrente	ɫifrɛntə
lyfwag	ɫifʍɑχ
lyfwagte	ɫifˈvɑχtə
lying	ɫiəŋ
lyk	lʏk
lyke	ləi̯kə
lykskending	ɫəksəŋdɪŋ
lykskouing	ləkskou̯ŋ
lyksrede	ɫəksˈrɛːdə
lym	lɛm
lyn	ln
lyn	ɫin
lynch	ɫəɲtʃ
lyne	ɫinə
lyon	liɔn
lyons	liʊ̯ns
lyrics	ɫiːɹəks
lys	ɫəɪs
lysie	ɫiːsi
lyste	ləste
lyubasha	liʊ̯ˈbɑʃə
lê	leː
lê	lɛ̞ː
lêer	leːr
lêers	leːrs
lëe	ləi
lëer	ləːr
lëerskare	ləɪ̯skɑːrə
lösch-meier	loʃmiːə
löschmeier	ɫœʃmɪə̯r
lüneburger	lyneˈbʏχər
m	mə
m	ə
ma	maː
ma-tesis	maːtɛsɪs
maag	maːχ
maagd	maːxt
maagpomp	maːxpɔmp
maagzuurremmer	maːɣˈsyːrˌrɛmə
maai	mˈɔj
maak	maːk
maak	mˈɑːk
maal	maːl
maal	mɔːl
maaltyd	maːltɪə̯
maaltye	maːltə
maan	maːn
maand	maːnt
maand	mult
maandag	maːntaχ
maandblad	maːntblɑt
maande	ˈmɑːnde
maandelank	ˈmɑːndəlɑŋk
maanhare	ˈmɑːnɦɑːrə
maanlig	manliχ
maansverduisterings	maːnsfərdyːstərɪŋs
maar	maːr
maar	mˈɑːr
maarskalk	maːrsˈkɑɫk
maart	maːrt
maart	mɒːɾt
maart-uitgawe	maːrtœytχaʊ̯ə
maastricht	maːˈʃtrɪtʃ
maat	mat
maat	maːt
maatjie	maːtʃi
maatreëls	ˈmɑːtrɪə̯ls
maatrëel	ˈmɑːtrɪəl
maats	maːts
maatskaplike	maːtsɑkəplɪkə
maatskappy	maːtskɑpɪ
maatskappye	maːtsəχəpi
maatskappytjie	maːtsχɑpɪtʃi
maatstawwe	maːtˈstɑːvə
maatsuyker	maːtsɯi̯kər
mach	maχ
machaca	məˈtʃɑkə
machteld	ˈmɑχtəɫt
maciek	ˈmɑsiək
maculêre	ˈmɑkyləɾə
madagaskar	ˌmɑdagɑˈskɑr
madam	ˈmɑːdɑm
madame	ˈmɑːdɑːmə
madamme	ˈmɑdəmə
maddy	ˈmædi
madeira	ˈmɑːdeɪrə
madeleine	maːdeˈlinə
mademoiselle	məˌdʒɛˈlɛs
madrid	ˈmɑːdrɪt
maer	maːr
maestro	ˈmɑːstrə
mafia	ˈmɑfiə
mafketel	mafˈkɛtəl
mag	maχ
mag	mˈɑ̃
magdalena	məgəˈdɑːləna
maghebbers	maχˈbɛr̥s
magie	maχi
magies	maχis
magiese	maχiːsə
magistrate	məˈχɪstrət
magna	ˈmɑŋgə
magnaat	ˈmɑŋaːt
magneet	magnet
magneetbande	ˈmɑχnɪtˌbande
magnesium	maːχniːsjɛm
magsoorname	maχsʊːrˈnamə
magstryd	maχstrɪt
magtag	maχtɑχ
magte	maχtə
magteloos	ˈmɑχtəlʊs
magtelose	ˈmɑχtəlɔsə
magtig	ˈmɑχtəχ
magtige	ˈmɑχtiχə
magtiger	ˈmɑχtɪχər
magtiging	ˈmɑχtəɪχəŋ
magtigste	ˈmɑxtəstə
maguelone	maχʊlɔnə
mahonie	maːˈuniə
maienfeld	maɪənfɛlt
maik	maɪk
mainframe	maɪnfrɛːm
maintenon	maɪ̯tɛnɔn
mainz	maɪ̯nts
maj	maːχ
maja	maːχa
majesteit	maɪˈʃɛit
majesteite	maχɪˈstɛitə
majesteitlik	maχɪˈstɛitlək
majoor	maˈʒuːr
majorca	maˈʃɔrka
mak	mək
make	məkə
make-up	ˈmɑkəp
makeer	ˈmɑkər
makelaar	ˈmɑkələɑr
makelaars	ˈmɑkələɑrs
makelij	ˈmɑkiɫəi
makiliker	məkiˈlikər
makkers	ˈməkərs
maklik	məkˈlik
maklik	mˈɑqlˈɯ̞k
maklike	ˈməklikə
makliker	ˈmɑkliˌkər
maklikste	məkˈlikstə
makro-ekonomie	ˈmɑkruʔɪkɔnɔmɪ
mal	maːl
mal	mˈɔl
malaria	məˈlɑːriə
maldives	ˈmɑːldɪvəs
male	maːlə
maleier	malajjə
maleisië	ˈmɑːlɛisiə
malhuis	ˈmɑːlɦœy̯s
mallard	ˈmɑlɑrt
malle	ˈmɑlə
mallefille	ˈmɑləfiʃə
maller	ˈmɑlər
malles	ˈmɑləs
malletjie	ˈmɑlətʃi
malletjies	ˈmɑlətʃis
malligheid	ˈmɑlɪχɪt
malman	ˈmɑlmɑn
malvapers	ˈmɑlvəpərs
malvapienk	ˈmɑlvəpiŋk
malware	ˈmælwɑːr
mam	ˈmɑm
mama	ˈmɑːmə
maman	ˈmɑːmɑn
mamie	ˈmɑːmiə
mamma	ˈmama
mammatjie	ˈmɑmətʃi
mammie	ˈmɑmi
mamon	ˈmɑmɔn
mampoer	mɑmpuɾ
mamung	ˈmɑːmɪŋ
man	man
man-alleen	manəleːn
man-eter	ˈmɑnətər
manager	ˈmænədʒə
mandaat	ˈmɑndaːt
mandaryns	ˈmɑndəˌrɪns
mandel	ˈmɑːndəl
mandjie	ˈmɑːndʒiə
mandjies	ˈmɑːndʒis
mangaan	mænhæɹn
manier	manˈiɹ
manier	ˈmɑːniːr
maniere	ˈmɑːniːrə
maniertjies	ˈmɑːniərtjis
manipuleer	ˌmɑːnɪpyˈlɪːr
manjefiek	manjəfiək
manjifiek	ˈmɑːnʒɪfɪk
mank	ˈmɑŋk
manlik	mɑnlæk
manlike	ˈmɑːnlikə
mann	man
manna	manə
manne	manə
manne-besigheid	ˈmɑnəˌbɛsɪçˌɦɛit
manneklere	ˈmɑnəklɛrə
mannekrag	ˈmɑnəkrɑχ
mannen	ˈmɑnə
mannerheim	ˈmɑnərˌhɛim
mannetjie	ˈmɑnətjə
mannheim	ˈmɑnəˌhɑim
mannheimer	ˈmɑnəˌhemə
mannsfeld	ˈmansfɛlt
manomaniak	ˈmɑːnɔmɑˌiːkɑ
mans	ˈmans
mansgeslag	ˈmansχɛsɽɑχ
manskap	mɑnskap
manskap	ˈmɑːnskɑp
manskappe	ˈmɑːnsˌkɑpə
mansklere	ˈmanskləre
mansvriend	ˈmansfrint
mantel	mãn˥˥tsɐu˧˧
mantel	ˈmɑntəl
manu	manu
manupilasie	ˈmɑːnʏpiləsi
manuskrip	ˈmɑːnʏskrɪp
manuskripte	ˈmɑːnʏskrɪptə
many	ˈmɑːni
mao	maʊ̯
marathon-sout	məˈrɑːtɔnˌsʊt
marco	ˈmɑrkoʊ
marcuskerk	ˈmɑrkʏskɛrʃ
mareike	maːrajke
maren	ˈmɑːrən
margaretha	ˈmɑrχəˌrɛtə
margarien	ˈmɑrχəriən
margit	ˈmɑrχɪt
margot	maɾˈχɔt
margot	mˈɑgə
marguerite	maɾɣəˈriːt
margueritte	maɾɣəˈritʃə
mari	mariː
maria	məˈriə
mariabeeldjie	məriəbɛːɫdʒi
marianne	məˈrɑnə
mariano	məˈriːauno
mariari	maˈriːaˌri
marie	maːri
marie-anne	maˈrijəne
marie-catherine	maˌrikətəˈriːn
marie-christine	maˈriːkrɪstiːnə
mariechen	maːriəxən
mariene	ˈmɑːriənə
marigny	məˈrɪnʃi
marine	məˈriːn
marinier	maːriniːə
mariniers	məˈriniɚs
mariniersgrap	ˈmɑːriniə̯rsχrɑp
marinierskorps	maɾiniəɾskɔrps
mario	maˈriːoʊ
marion	məˈrɪɔn
marionet	məɾioˈnɛt
mark	maɾk
mark	maːrk
markdag	maɹkdaχ
marker	ˈmɑːkər
markie	maɹˈkɪə
markies	maɹˈkis
markiesin	ˈmɑrkiəsə
markin	maɹkɪn
markkramers	ˈmɑrkrɑməʃ
markplein	maɹkplɪn
markprys	maɹkprəɪ̯s
marmande	ˈmɑrmandə
marmer	ˈmɑːməɾ
marmerbeeld	ˈmɑrmərbɛlt
marmerstandbeeld	ˈmɑrmərˌstanˌdəlˌbɛlt
marquart	ˈmɑrˌkʰʰɑːrt
marquesa	ˈmɑːrˌkɛsə
mars	maːrs
mars	maːʃ
marsbevele	maɹsbəβɛvələ
marseille	maɾsɛjə
marseilles	ˈmɑːrsɛləs
marserende	ˈmɑːrsərəndə
marshall	maːrʃɑl
marshalls	maːrʃɑlz
marsjeer	maɹʃɪə
marsman	ˈmɑrsman
marstallstraat	ˈmɑrstɑlstraːt
marta	ˈmɑːrta
martel	maɾˈtɛl
marteling	ˈmɑːrtəlɪŋ
martha	ˈmɑːrta
marthe	maːrtə
martin	maˈtɛrɪn
martina	maːrtina
martusciello	maːrtʃəˈsɪəloː
marv	maɾf
marx	ˈmɑrks
mary	məˈraɪ
maryland	ˈmɑːrəlɑːnt
marysia	ˈmɑːrsiə
mas	mʌs
mas	ˈmɑs
masahiko	ˈmɑsəˌɦiːkʊ
masels	mˈɔsəlz
masery	ˈmɑsərɪ
masha	maʃa
masjien	məˈʃiən
masjiene	maʃiːnə
masjienerie	ˈmɑsjɪəˌniːrɪ
masjiengeweer	maʃiənχiːr
masker	maskɛr
masker	ˈmɑskər
maskerbal	ˈmɑskərbɑl
maskers	ˈmɑskərs
massa	masa
massa	ˈmɑsa
massagraf	ˈmɑsəˌxrɑf
massas	ˈmɑsəs
massaspectrometer	ˈmɑsəspɛktroːmɛtər
masseer	ˈmɑseːr
master	ˈmɑːstə
masturbeer	ˈmastɜrbeːr
mat	mˈat
mata	ˈmɑtə
mate	mˈɔtˈ
mate	ˈmɑːtə
matematiese	ˈmətəmətiːsə
materiaal	ˈmətəɾiɑl
materialisme	məˌtɪəɾiˈɑːlɪsmə
materie	matiˈɛri
materieel	materioʁ
materiële	ˈmɑːtəɾiələ
maters	ˈmɑːtərs
mateusz	ˈmɑːtɪəʃ
mathias	maːˈtɪə̯s
mathieu	maːˈtju
mathilde	maˈtɪlə
matig	ˈmɑːtəx
matka	ˈmɑtka
matras	ˈmɑtrɑs
matriek	ˈmɑːtrɪk
matriks	ˈmɑtrɪks
matroos	ˈmɑːtrʊə̯s
matrose	ˈmɑtsruːsə
matsuda	ˈmatsʊda
matthijs	ˈmɑtsɪ
maupassant	ˈmɑʊ̯pəsɑ̃ː
maurice	ˈmɑːrɪs
mauritius	ˈmɑːriːtiəs
max	ˈmɑːks
maxence	ˈmɑːksəns
maxie	ˈmɑːksi
mayday	maɪdeɪ
maynard	maɪˈnɑːrt
mc	məʊk
mcbride	məˈbɹaɪ̯də
mcbull	məˈbʌl
mcdonald	məˈdɒnəld
mcgee	məˈgiː
mcgeek	məˈgiːk
mcguire	məˈgɪəɹ
mchouvanje	məˈχʌɪ̯vʒə
mcribbed	məˈrɪpəd
me	mə
mean	miːn
meaningless	ˈmɪŋgləs
medalje	ˈmɛdəljə
medaljes	məˈdɑɫjəs
mede	məˈde
mede-gevangenes	ˈmɛːdəχəˌvɑŋənəs
mede-gevangenis	ˈmɛːdɛɣəˌvɑŋənɪs
mede-mense	ˈmɛːdɛˌmɛsə
mede-ondertekenaar	ˈmɛːdeʊ̯ntərˌtɛə̯nɑːr
mede-werker	ˈmɛːdəˌʋɛrkər
medea	ˈmɛːdiə
medeburgers	məˈdɛbʏrχərs
mededinger	ˈmɛːdədɪŋər
mededingers	məˈdeːŋəŋərs
medemens	məˈdɛməns
medemense	məˈdɛmənsə
medeopstandelingen	ˈmɛːdʊɔpstandəlɪŋə
medepligtige	mereplɪgtige
medepligtiges	ˈmɛːdəˌplɪxtəs
medepligtigheid	ˈmɛːdəˌplɪχtəxˌɦɛit
medestryders	məˈdɛstrɪə̯s
medeverantwoordelik	ˈmɛːdɛfərɑnˌtʃʋɔːrˌdɛlik
medewerker	ˈmɛːdɛʋɛrˌkɛr
media	miːdiə
mediaan	ˈmiːdiɑn
medics	ˈmɛːtʃs
mediese	məˈdiːsə
mediese	ˈmeːdəsə
medikasie	mədiˈkɑːsiə
medikus	medikˈɵs
medisyne	məˈdiːsə
medium	ˈmiːdʒəm
mediumgrootte	ˈmɛːdiəmˌχrʊə̯tə
medway	məˈdeɪ̯ə
mee	miː
mee	mjˈe
meedeel	məi̯deːl
meedeel	mɨɐdˈɛʊ
meeding	ˈmɛi̯əŋ
meedoen	məˈduən
meegaan	miːgɑːn
meegedoen	miəgəˈduən
meegevoel	miːgəˈfuːl
meekomen	məkʊmə
meel	miːl
meel	nʲiːl
meen	lian˨˩
meen	miːn
meenthuis	mientais
meer	mjˈɛɾ
meer	məːr
meer-huis	miːr̥ɪs
meer-kastele	miːrˈkɑsələ
meerbodem	məˈrɔdəm
meerdere	məˈdiːrə
meerderes	miːrˈdɛrəs
meerderheid	miːrˈdɛrɦɪt
meermaal	miːrˈmaːl
mees	miːs
mees	mʲis
meesal	məˈsɑl
meestal	məˈʃtɑl
meeste	mjestsa
meeste	məˈistə
meester	mjˈɛstɛr
meester	məjstər
meester	məˈistər
meesteres	məɪ̯stəres
meesterlik	məɪ̯stərˈlik
meesterlike	ˈmistərlikə
meesterlikheid	ˈmistərlikɦəit
meesters	məjstərs
meestersgraad	məjstərsgraːt
meesterstuk	məɪ̯stərˈstyːk
meesterstukke	ˈmistəʃtʏkə
meet	miːt
meetkunde	mitkʌndə
meeue	miːuə
meewerk	miːˈvɛrk
meewerkt	miːˈvɛrkt
meganiese	məgəˈniːsə
meganika	maxɑnika
mei	aj
mei	maɪ̯
mei-piekniek	mai̯pɪkniːk
meid	maɪ̯t
meidag-vakansie	maɪ̯ˈdaχfɑkənsi
meiereder	miəɾəɾət
meiereder-troue	ˈmɛɪ̯ərɛrtˌruːə
meimaand	maɪˈmɑːnt
meindl	maɪndəl
meineke	maɪ̯nəkə
meintjes	maŋkˈis
meise	maɪ̯sə
meisie	maesi
meisie	məi̯siə
meisiekind	maɪ̯siˈkəɪ̯nt
meisiemoordenaar	maɪsiəˈmɔːrənɑːr
meisies	maɪ̯siəs
meisietjie	maɪ̯siətʃi
mej	məi̯
mejuffrou	məˈjufrɔː
mejufrou	məˈjufrəʊ
mekaar	məˈkɑːr
mekaar	mˈˈkɔːr
mekka	məkə
meksikaanse	ˈmɛksiˌkɑːnsə
meld	məld
melding	məˈlɪŋ
melk	məɫk
melk	mɛɫk
melk	mˈɛlk
melkbaai	mˈɛlkfˈə
melkbottel	məɫkˈbɔtəl
melkbottels	ˈmɛlgbɔtəls
melkery	ˈmɛlχəɾi
melkery-gemeenskap	ˈmɛlχəɾiɣəˈmɛːnsəp
melkerye	ˈmɛlçəɾi
melkman	məɫkman
melktrein	məʊ̯kˈtrɛɪ̯n
melkwa	məɫkfɑː
mellon	ˈmɛlən
melodie	məˈlɔdiə
melodieus	məˈlɔːdiəs
melodrama	məˈlɔdrɑːmə
memento	ˈmɛːmento
memoir	ˈmɛːmwaːr
memoirs	ˈmɛːmɪərs
memories	ˈmɛːməriə
memoriseer	ˌmɛːmoːriˈzɪə̯r
mendel	ˈmɛndəl
mendez	ˈmɛndəts
meneer	menniɾ
meneer	ˈmɪnɪr
menere	ˈmɛnərə
meng	məŋ
mengelmoes	ˈmɛŋəlmuəs
mengers	ˈmɛŋərs
mengsel	ˈmɛŋsəl
mengsels	məŋsəls
menige	ˈmɛnɪχə
menigte	ˈmɛnɪkə
mening	ˈmɛnɪŋ
meningitis	ˌmenɪŋɪˈtɪs
menings	ˈmɛnɪŋs
meningsopname	ˈmɛnɪŋsɔpˌnamə
menkaure	ˈmɛŋkɑːrə
mennoniete	ˈmɛnəˌniːtə
mens	mɛns
mens	mˈes
mens	ˈmɛns
mensdom	ˈmɛnsdom
mense	melsa
mense	ˈmɛnsə
mense-stroom	ˈmɛnsəˌstrʊm
mensekenner	ˈmɛnsəˌkɛnər
menseliggaam	ˈmɛnsəˌlɪχɑːm
menselike	ˈmɛnsələkə
menseregte	ˈmɛnsəˌrɛχtə
menseskuld	ˈmɛnsəskʊlt
mensheid	ˈmɛnsɦɪət
mensie	ˈmɛnsɪə
mensliewendheid	ˈmɛnsliə̯vəntɦɛit
menslik	ˈmɛnslik
menslike	mʲenlɛkɛ
menslike	ˈmɛnslikə
menslikheid	ˈmɛnslikɦɛit
mensmoordenaar	ˈmɛnsmuːrˌdɔːr
menstruasie	ˈmɛnstruəsi
mensvreter	ˈmɛnsfrɛtər
menswaardigheid	ˈmɛnsʋɑːrˌçɪə̯t
mentaliteit	mɛntɛlitajt
mentor	mentˈuɾ
mephisto	ˈmɛfɪstoː
mera	məˈraː
meran	məˈrɑːn
mercedes	məˈrɪsiːz
merchant	məˈrɛntʃ
merci	məˈrsi
mercy	ˈmɛrsə
merel	məˈrɛl
merendeel	nɛːrnɛdiːl
meridiaan	mæɾˈidiɑːn
merion	məˈrɪən
merk	mark
merk	mək
merk-klip	məkˈklɪp
merkbaar	mˈɛɹkbɔɹ
merke	məɹkə
merkies	məkɪə
merkklip	məkˈklɪp
merkwaardig	ˈmɛrkʋɑːrdəx
merkwaardige	ˈmɛrkɑːrdəgə
meron	məˈrɔn
merrie	ˈmɛri
meryon	məˈrɪɔn
mes	məʃ
messe	ˈmɛsə
messegoed	ˈmɛsəˌχʊə̯t
messel	ˈmɛsəl
messelaar	ˈmɛsəlɑːr
messelaar-helde	ˈmɛsəlɑːrˌhɛldə
messelaars	ˈmɛsəlɑːrs
messelaarspan-instrukteur	ˈmɛsəlɑːrspɑnˌʃtrʏktyːr
messias	ˈmɛsiɑs
messie	ˈmɛsiə
messieurs	ˈmɛsjœr
messtekers	ˈmɛstəkərs
met	mə
met	mˈɪt
metaal	metˈɔl
metaal	ˈmɛtɑːl
metaalkundige	ˈmɛtɑːlkʊnˌdiχə
metaalsoorte	ˈmɛtɑːlsɔːrtə
metafoor	metauˈfɔr
metafoor	ˈmɛtəfʊə̯r
metafories	ˈmɛtəfəˌriə
meter	ˈmɛtər
metgesel	ˈmɛtχəˌsɛl
metgeselle	ˈmɛtχəsɛlə
metode	məˈtoːdə
metodes	məˈtɔːsə
metronoom	ˈmɛtrəˌnʊm
metropol	ˈmɛtɾɔpəl
metropolis	ˈmɛtropəlɪs
metropool	ˈmɛtrəpuːl
mette	ˈmɛtə
mettertyd	ˈmɛtərti
meubeleerders	məʊβɛləːɾdɛrs
meubels	məˈβɛls
meubelstore	məʊbəlstoːr
meubelstuk	məʊbəlstyːk
meubelvervoerders	ˈmœy̯βəlvərˌfɪə̯rdərs
meubileer	məˈui̯bəlɪə̯r
meul	mjˈul
meul	məʊl
meule	məʊlə
meulenaar	məʊlənɑːr
mev	məv
mevrou	məˈfrœu̯
mexico	ˈmɛːksəʊ
meynard	maɪ̯ˈnɑːrt
meyvaert	maɪ̯ˈfɑːrt
mg	ŋ
mh	mə
miami	miːami
michael	maɪˈkɛl
michaelskoor	ˈmɪχɑːlskʊə̯r
michail	miˈxɑɪl
michalak	miχaˈlɑk
michel	miˈxəl
michelin	ˈmɪtʃəlɪn
michiel	miˈxɪəl
michigan	miʃiˈkɑːn
michl	miχl
michnik	miçnik
mickiewicz	mikəˈvʲɪtʃ
micky	ˈmɪkə
mid-somer	ˈmɪtsoːmər
midag	miˈdɑχ
midagete	miˈdaχəte
middae	ˈmɪtɑː
middag	mˈɛda
middag	ˈmɪdəχ
middag-boot	ˈmɪdəχˌbʊt
middagboot	ˈmɪdəχˌbʊt
middagete	ˈmɪdəˌχɛtə
middagmaal	ˈmɪdəχˌmɑːl
middagrus	ˈmɪdaχrœs
middaguur	ˈmɪdaɣʏr
midde	miɟə
midde-ooste	ˈmɪdəˌʊstə
middel	ˈmɪɾdəl
middelandse	ˈmɪdəˌlantsə
middeldeel	ˈmɪdəldɛːl
middele	ˈmɪɾəle
middeleeue	ˈmɪdəlɪəʊ
middeleskader	ˈmɪdəˌlɛskaːdər
middelklas	ˈmɪɾdəlklɑs
middelklas-simbole	ˈmɪɾdəlklɑsˌsɪmbələ
middelpunt	ˈmɪɾdəlpʰynt
middels	ˈmɪɾdəls
middelslag	mˈɛtəlslˌɑx
middelste	ˈmɪɾdəlstə
middeltjie	ˈmɪdəlcə
middelveld	ˈmɪɾdəlˌfɛlt
midden	ˈmɪdən
middernag	ˈmɪdənɑχ
middestad	ˈmɪtəˌstat
midrand	mɛtrɑnt
mieczysław	miːtʃɛwɑːsɫ
mielieland	miːəˈlɑːnt
mieliepap	bˈɛlipˈɔp
mier	mˈiːɾ
miere	miːrɛ
miere	mˈiɾɐ
miervreter	migfriːtar
migrasie	miɣrɑsiə
miguel	miˈxɛl
mijn	maɪn
mik	mək
mike	miːk
mikhail	miχɑɪl
mikkel	ˈmɪkəl
mikrofoon	ˈmɪkrɔfuːn
mikroklimaat	ˈmɪkrɔkliˌmɑːt
mikrokosmos	ˈmɪkrɔkɔsmos
mikroskoop	mikrʊskʰoːp
milaan	miˈlɑːn
milan	miˈlɑn
mild	miːlt
milerovo	ˈmɪləˌrɔːvoʊ
militaris	ˈmɪlɪtɑːris
militia	ˈmɪlɪtɪə
militêre	ˈmɪlɪtɪrɛ
miljard	miːljart
miljarde	miːljɑːrdə
miljardste	miˈlɪartstə
miljardêr	ˈmɪljɑrtər
miljoen	miːlˈjuən
miljoene	ˈmɪljuːnə
miljoenêr	miːljuəˈnɛːr
miljoenêrs	ˈmɪljuə̯nərs
millennium	mˌɛlˈɛnɪəm
millet	miˈlɛt
milo	miːloː
miloenêr	miːluəner
milt	miɫt
min	men
min	miːn
mina	miˈna
minaar	miˈnɑːr
minaars	miˈnɑːrs
minagting	ˈmɪnəχtɪŋ
minder	ˈmɪndər
minderheidsopinie	ˈmɪndərɦeitsoʊˌpiːniə
minderhoud	ˈmɪndərɦəʊt
minderjarig	ˈmɪndərjɑːrɪχ
minderwaardig	mˈɛndɜvˈɔrdəx
minderwaardig	ˈmɪndəˌvɑːrədəx
minderwaardige	ˈmɪndəˌvɑːrdiχə
mineraal	mjneɾal
mineraalwater	ˈminəraːlˌʋɑtər
minerale	ˈminəˌrɑːlə
ming	miŋ
minhl	miɲχl
minimaal	ˈmɪnəmaːl
minimum	miːnɪmʊm
minister	ˈmɪnəstər
ministerie	ˈmɪnəstəri
ministerium	məˈnɪstriːə
ministers	ˈmɪnəstərs
minnaar	ˈmɪnɑːr
minnaars	ˈmɪnɑːrs
minnares	ˈmɪnəres
minste	mənstə
minste	ˈmɪnstə
minstens	ˈmɪntəstəns
minus	mˈɪnəs
minus	ˈmɪnəs
minute	ˈmɪnʏtə
minutes	ˈminɪtəs
minuut	ˈmɪnɥt
miodowa	miːu̯dova
mira	miˈraː
miracles	miˈrɑːkləs
mis	məɪs
mis	mɛs
misanthrope	ˈmɪsəntroʊpə
misbruik	ˈmɪsbɹœi̯k
misdaad	nɪstˈoːt
misdaad	ˈmɪsdaːt
misdade	ˈmɪsdɑːdə
misdadig	ˈmɪsdədəx
misdadiger	nʲəstaːraħar
misdadiger	ˈmɪsdədɪχər
misdadigers	ˈmɪsdədɪχərs
misdryf	ˈmɪsdriːf
misgeloop	ˈmɪsχəloʊp
misgis	misχʊs
mishandel	mishandom
mishandel	miʃɑndəl
mishandeling	miʃɑndəɫiŋ
mishandelinge	miʃɑndəˈlɪŋə
mishka	miʃkə
mishope	miʃɔpə
miskien	mɛskɪn
miskien	ˈmɪskiən
mislei	ˈmɪslei
misleide	ˈmɪslɪəde
mislike	ˈmɪslikə
misloop	ˈmɪsloːp
misluk	nəsləq
misluk	ˈmɪslʏk
mislukking	ˈmɪslʏkəŋ
mislukkings	ˈmɪslʏkəŋs
mislukte	ˈmɪslʏkə
misogynists	ˌmɪsəˈginɪsts
misrabel	ˈmɪsrəˌbɛl
misrabele	ˈmɪsrabələ
misrebele	ˈmɪsrɛbələ
misreën	mɪsrɪn
miss	ɪs
missed	ˈmɪsə
missie	ˈmɪsi
missiele	ˈmɪsjələ
missies	ˈmɪsiəs
mississippi	ˈmɪsɪˌsɪpi
misterie	ˈmɪstəri
misterieus	ˈmɪstəriəs
mistiek	ˈmistik
misverstand	ˈmɪsfərˌstɑnt
misverstande	ˈmɪsfərˌstɑndə
miswolk	ˈmɪsʋɔlk
mit	mit
mite	miːtə
mits	əˈmits
mitsuko	mitˈsʊkoʊ
mittermeier	ˈmɪtərˌmɛi̯ər
miwa	miwa
miyazaki	miːjaˈsɪkə
miłosz	miːloʃ
mm	ɛm
mm-hm	əˈmːə
mmm	ɪm
mnr	ˈmnɐr
mnr	ˈmnəɾ
mobile	ˈmoʊbɪl
mobilisasie	ˌmoːβiɫisaːsi
mock	mək
modder	ˈmɔdər
moddergooier	ˈmɔdərˌɦœi̯ər
modderig	ˈmɔdərəx
mode	ˈmoːdə
model	ˈmɔːdəl
modelle	ˈmɔdələ
modellering	ˈmoːdəlɪŋ
moderator	ˈmoːdərɑtɔr
modern	ˈmoːdərn
moderne	ˈmɔːdərnə
moderniseer	ˌmoːdəˌrɪˌsɪəɾə
modeskrywer	ˈmoːdəskrəvər
moe	məʊ
moed	məʊt
moed	tut
moedeloos	ˈmudəlʊs
moedeloosheid	ˈmʊdəlʊshɛit
moeder	mudde
moeder	ˈmuːdər
moeder-instink	ˈmuːdərˌɪnstɪŋk
moeder-moordenaar	ˈmʊdərˌmʊrˌdɛnar
moederbord	ˈmuːdərˌbɔrt
moederborde	ˈmuːdərˌbɔrdə
moederland	ˈmuːdərlɑnt
moederliefde	ˈmʊdərˌlifdə
moederowerste	ˈmʊdərɔːfəste
moeders	ˈmœːdərs
moedersdag	ˈmudərsxɑχ
moedertaal	mˌudəɾtaːɫ
moedhou	ˈmʊə̯tɦu
moedig	muðˈɛx
moedig	ˈmœːdɪχ
moedige	ˈmœdiχə
moedswil	ˈmœtsfəl
moedswillig	ˈmœtsfəlɪəx
moeg	mɔx
moeg	məʊχ
moegheid	ˈmœχɦiət
moei	mui
moeilijk	ˈmœyləɪ̯k
moeilik	mujlik
moeilik	məʊiːlk
moeilike	ˈmœyliɪkə
moeiliker	ˈmœʏlɪkər
moeilikhed	məʊiːlikət
moeilikhede	ˈmœyɪlχədə
moeilikheid	ˈmœi̯likɦəit
moeilikste	ˈmœyɪlkstə
moeisame	məʊsɑːmə
moeite	buitˈe
moeite	məʊ̯i̯tə
moeiteloos	ˈmœi̯təloːs
moenie	ˈmœnə
moennie	ˈmœnə
moer	muːr
moer	məʊ̯r
moer	mˈuɾ
moeras	ˈmʊə̯rɑs
moerasse	ˈmœrɑsə
moerbei	muvɾbaj
moertjies	ˈmœrtjis
moes	məʊs
moes	ɛɒˈs
moesie	məʊsiə
moet	məʊt
moet	mʊt
moet	mˈut
moffie	ˈmɔfi
mog	məʊχ
mog	mˈo
mogila	ˈmoχilə
mohammedane	ˈmoːxəˌmæːnə
moines	mui̯nəs
molière	məʊliˈɛrə
moliére	ˈmɔliːr
