'nen	nen
kommunal	kˌɔmuːnˈɑːl
kommunalabgaben	kˈɔmuːnˌɑlabgˌɑːbən
kommunalanleihe	kˈɔmuːnˌɑlanlˌaɪə
kommunalaufsicht	kˌɔmuːnˈɑːlˌaʊfzˌɪçt
kommunalbank	kɔmuːnalbank
kommunaldienst	kɔmuːnˈaldˈiːnʃt
kommunale	kˌɔmuːnˈɑːlə
kommunalem	kˌɔmuːnˈɑːləm
kommunalen	kˌɔmuːnˈɑːlən
kommunaler	kˌɔmuːnˈɑːlɜ
kommunales	kˌɔmuːnˈɑːləs
kommunalfinanzen	kˈɔmuːnˌalfiːnˌantsən
kommunalkredite	kˌɔmuːnˌalkɾeːdˈiːtə
kommunalparlamente	kˌɔmuːnˌalpaɾlamˈɛntə
kommunalpolitik	kˌɔmuːnˌalpoːliːtˈiːk
kommunalpolitiker	kˌɔmuːnˌalpoːliːtˈiːkɜ
kommunalpolitikern	kˌɔmuːnˌalpoːliːtˈiːkɜn
kommunalsteuer	kɔmˌʊnˈɑːlʃtˈɔøɜ
kommunalverbände	kˈɔmuːnˌalfɜbˌɛndə
kommunalwahl	kˈɔmuːnˌalvɑːl
kommunalwahlen	kˈɔmuːnˌalvɑːlən
kommunarden	kɔmuːnɑːrdən
kommune	kɔmˈuːnə
kommune	kˈɔmuːnə
kommunen	kˈɔmuːnən
kommunenleben	kˈɔmuːnənlˌeːbən
kommunikation	kˌɔmuːnˌiːkatsɪˈoːn
kommunikationen	kˌɔmuːnˌiːkatsɪˈoːnən
kommunikationsfähig	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪç
kommunikationsfähige	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪgə
kommunikationsfähigem	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪgəm
kommunikationsfähigen	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪgən
kommunikationsfähiger	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪgɜ
kommunikationsfähiges	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪgəs
kommunikationsfähigkeit	kˈɔmuːnˌiːkatsɪˌoːnsfɛːˌɪçkaɪt
kommunikationskanal	kɔmˌmuːnˌɪkatɪoːnskˈanˈal
kommunikationskanäle	kˈɔmuːnˌiːkatsɪˌoːnskanˌɛːlə
kommunikationskanälen	kˈɔmuːnˌiːkatsɪˌoːnskanˌɛːlən
kommunikationskompetenz	kɔmˌuːnɪkatɪoːnskɔmˈpətənts
kommunikationskunst	kɔmˌʊnˌɪkatˌiːɔnskʊnstˌ
kommunikationsleitung	kˈɔmuːnˌiːkatsɪˌoːnslaɪtˌʊŋ
kommunikationsleitungen	kˈɔmuːnˌiːkatsɪˌoːnslaɪtˌʊŋən
kommunikationsmedien	kˌɔmuːnˌiːkatsɪˌoːnsmˈeːdɪən
kommunikationsmittel	kɔmˌmuːnˌɪkatɪoːnsmˌɪtəl
kommunikationsmittel	kˈɔmuːnˌiːkatsɪˌoːnsmɪtəl
kommunikationsmitteln	kˈɔmuːnˌiːkatsɪˌoːnsmɪtəln
kommunikationsmittels	kˈɔmuːnˌiːkatsɪˌoːnsmɪtəls
kommunikationsmöglichkeit	kˈɔmuːnˌiːkatsɪˌoːnsmøːklˌɪçkaɪt
kommunikationsmöglichkeiten	kˈɔmuːnˌiːkatsɪˌoːnsmœklˌɪçkaɪtən
kommunikationsnetz	kˈɔmuːnˌiːkatsɪˌoːnsnɛts
kommunikationsnetze	kˈɔmuːnˌiːkatsɪˌoːnsnɛtsə
kommunikationsnetzen	kˈɔmuːnˌiːkatsɪˌoːnsnɛtsən
kommunikationsnetzes	kˈɔmuːnˌiːkatsɪˌoːnsnɛtsəs
kommunikationspartner	kˈɔmuːnˌiːkatsɪˌoːnspaɾtnɜ
kommunikationspin	kˈɔmuːnˌiːkatsɪˌoːnspɪn
kommunikationspins	kˈɔmuːnˌiːkatsɪˌoːnspɪns
kommunikationsprinzip	kɔmˌuːnɪkˈatɪoːŋspɾˈɪntsiːp
kommunikationsproblem	kˈɔmuːnˌiːkatsɪˌoːnʃpɾɔbləm
kommunikationsprobleme	kˌɔmuːnˌiːkatsɪˌoːnʃpɾɔblˈeːmə
kommunikationsproblemen	kˌɔmuːnˌiːkatsɪˌoːnʃpɾɔblˈeːmən
kommunikationsproblems	kˌɔmuːnˌiːkatsɪˌoːnʃpɾɔblˈeːms
kommunikationsprogramm	kˌɔmuːnˌiːkatsɪˌoːnʃpɾɔgɾˈam
kommunikationsrichtung	kˈɔmuːnˌiːkatsɪˌoːnsrɪçtˌʊŋ
kommunikationsritual	kɔmˌuːnɪkˈatˌɪoːnsrɪtˈuːal
kommunikationssatelliten	kˈɔmuːnˌiːkatsɪˌoːnsatˌɛliːtən
kommunikationsschwierigkeit	kˈɔmuːnˌiːkatsɪˌoːnsçviːrˌɪçkaɪt
kommunikationsschwierigkeiten	kˈɔmuːnˌiːkatsɪˌoːnsçviːrˌɪçkaɪtən
kommunikationssoftware	kˌɒmjuːnɪkˈeɪʃənsˌɒftweə
kommunikationssystem	kˈɔmuːnˌiːkatsɪˌoːnszʏstˌeːm
kommunikationssysteme	kˈɔmuːnˌiːkatsɪˌoːnszʏstˌeːmə
kommunikationssystemen	kˈɔmuːnˌiːkatsɪˌoːnszʏstˌeːmən
kommunikationssystems	kˈɔmuːnˌiːkatsɪˌoːnszʏstˌeːms
kommunikationstechnik	kˈɔmuːnˌiːkatsɪˌoːnstɛçnˌiːk
kommunikationstechniken	kˈɔmuːnˌiːkatsɪˌoːnstɛçnˌiːkən
kommunikationstechnisch	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃ
kommunikationstechnische	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃə
kommunikationstechnischem	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃəm
kommunikationstechnischen	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃən
kommunikationstechnischer	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃɜ
kommunikationstechnisches	kˌɔmuːnˌiːkatsɪˌoːnstˈɛçnɪʃəs
kommunikationstyp	kɔmˌmuːnˈɪkˈatˈɪoːnˈstyːp
kommunikationsweg	kˈɔmuːnˌiːkatsɪˌoːnsveːk
kommunikationswege	kˈɔmuːnˌiːkatsɪˌoːnsveːgə
kommunikationswegen	kˈɔmuːnˌiːkatsɪˌoːnsveːgən
kommunikationswegs	kˈɔmuːnˌiːkatsɪˌoːnsveːks
kommunikationswelten	kˈɔmuːnˌɪkatɪoːnsvˈɛltˌeːn
kommunikationswesen	kˈɔmuːnˌiːkatsɪˌoːnsveːzən
kommunikationswesens	kˈɔmuːnˌiːkatsɪˌoːnsveːzəns
kommunikationszeit	kˈɔmuːnˌiːkatsɪˌoːnstsaɪt
kommunikationszeiten	kˈɔmuːnˌiːkatsɪˌoːnstsaɪtən
kommunikationszentrum	kˈɔmuːnˌiːkatsɪˌoːnstsəntɾˌʊm
kommunikativ	kˌɔmuːnˌiːkatˈiːf
kommunikative	kˌɔmuːnˌiːkatˈiːvə
kommunikativem	kˌɔmuːnˌiːkatˈiːvəm
kommunikativen	kˌɔmuːnˌiːkatˈiːvən
kommunikativer	kˌɔmuːnˌiːkatˈiːvɜ
kommunikatives	kˌɔmuːnˌiːkatˈiːvəs
kommunikator	kˌɔmuːniːkˈɑtoːɾ
kommunikee	kˈɔmuːnˌiːkeː
kommunikeen	kˌɔmuːniːkˈeːn̩
kommunion	kˌɔmuːnjˈoːn
kommunionen	kˌɔmuːnjˈoːnən
kommunismus	kˌɔmuːnˈɪsmʊs
kommunismusforschung	kɔmˌʊnˈɪsmʊsfˈɔɾʃʊŋ
kommunist	kˌɔmuːnˈɪst
kommunisten	kɔmuːnˈɪstən
kommunisten	kˌɔmuːnˈɪstən
kommunistenhass	kˈɔmuːnˌɪstənhˌas
kommunistenhasses	kˈɔmuːnˌɪstənhˌasəs
kommunistenjäger	kɔmuːnˈɪstɛnjˌɛːgɛr
kommunistensau	kɔmuːnˈɪstənzˈaʊ
kommunistin	kˈɔmuːnˌɪstɪn
kommunistinnen	kˈɔmuːnˌɪstɪnən
kommunistisch	kɔmuːnˈɪstɪʃ
kommunistisch	kˌɔmuːnˈɪstɪʃ
kommunistische	kˌɔmuːnˈɪstɪʃə
kommunistischem	kˌɔmuːnˈɪstɪʃəm
kommunistischen	kɔmuːnˈɪstɪʃən
kommunistischen	kˌɔmuːnˈɪstɪʃən
kommunistischer	kˌɔmuːnˈɪstɪʃɜ
kommunistisches	kˌɔmuːnˈɪstɪʃəs
kommunitaristisch	kɔmuːnˌiːtaɾˈɪstɪʃ
kommuniziere	kˌɔmuːniːtsˈiːrə
kommunizieren	kɔmˌuːnitsˈiːrən
kommunizieren	kˌɔmuːniːtsˈiːrən
kommunizierend	kˌɔmuːniːtsˈiːrənt
kommunizierende	kˌɔmuːniːtsˈiːrəndə
kommunizierendem	kˌɔmuːniːtsˈiːrəndəm
kommunizierenden	kˌɔmuːniːtsˈiːrəndən
kommunizierender	kˌɔmuːniːtsˈiːrəndɜ
kommunizierendes	kˌɔmuːniːtsˈiːrəndəs
kommunizierst	kˌɔmuːniːtsˈiːɾst
kommuniziert	kɒˈmuːniːtsˈiːɛt
kommuniziert	kˌɔmuːniːtsˈiːɾt
kommunizierte	kˌɔmuːniːtsˈiːɾtə
kommunizierten	kˌɔmuːniːtsˈiːɾtən
kommuniziertest	kˌɔmuːniːtsˈiːɾtəst
kommuniziertet	kˌɔmuːniːtsˈiːɾtət
kommutabel	kɔmˌʊtˈabəl
kommutativgesetz	kɔmˌuːtˈatɪfgəzˈɛts
kommutativgesetz	kˈɔmˌʊtatˌiːvgəzˈɛts
kommutativität	kˌɔmuːtatˈiːviːtˈɛːt
kommutatormotor	kɔmˌʊtˈatˈɔɾmˈoːtoːɾ
kommutiere	kˌɔmuːtˈiːrə
kommutieren	kɔmˌtˈiːrən
kommutieren	kˌɔmuːtˈiːrən
kommutierend	kˌɔmuːtˈiːrənt
kommutierende	kˌɔmuːtˈiːrəndə
kommutierendem	kˌɔmuːtˈiːrəndəm
kommutierenden	kˌɔmuːtˈiːrəndən
kommutierender	kˌɔmuːtˈiːrəndɜ
kommutierendes	kˌɔmuːtˈiːrəndəs
kommutierst	kˌɔmuːtˈiːɾst
kommutiert	kˌɔmuːtˈiːɾt
kommutierte	kˌɔmuːtˈiːɾtə
kommutiertem	kˌɔmuːtˈiːɾtəm
kommutierten	kˌɔmuːtˈiːɾtən
kommutierter	kˌɔmuːtˈiːɾtɜ
kommutiertes	kˌɔmuːtˈiːɾtəs
kommutiertest	kˌɔmuːtˈiːɾtəst
kommutiertet	kˌɔmuːtˈiːɾtət
kommödchen	kɔmˈøːtçən
komnenen	kˈɔmlˈeːnən
komnik	kɔmnik
komolka	kumolka
komorek	kˌuːmoːrɛk
komoreninsel	pˈɔmɔɾənˈɪnzəl
komorouski	kɔmʊɾɔʊskiː
komp	komp
kompagnon	kɔmpˈagnoːn
kompagnons	kɔmpˈagnoːns
kompakt	kɔmpˈakt
kompakt-diskette	kɔmpˈaktdɪskˈɛtə
kompaktader	kompaktɑːd̪a
kompaktanlage	kɔmpˈakˌtˈanlˈagə
kompaktbrechanlage	kɔmpˈaktbɾˈɛçənlˈɑːgə
kompaktbrief	kɔmpˈaktbɹˈiːf
kompakte	kɔmpˈaktə
kompakteinheit	kˈɔmpaktˈaɪnhˌaɪt
kompaktem	kɔmpˈaktəm
kompakten	kɔmpˈaktən
kompakter	kɔmpˈaktɜ
kompaktere	kɔmpˈaktərə
kompakterem	kɔmpˈaktərəm
kompakteren	kɔmpˈaktərən
kompakterer	kɔmpˈaktərɜ
kompakteres	kɔmpˈaktərəs
kompaktes	kɔmpˈaktəs
kompakteste	kɔmpˈaktəstə
kompaktestem	kɔmpˈaktəstəm
kompaktesten	kɔmpˈaktəstən
kompaktester	kɔmpˈaktəstɜ
kompaktestes	kɔmpˈaktəstəs
kompakthaken	kˈɔmpakthˈɑːkən
kompaktheit	kɔmpakthɛjt
kompaktheit	kɔmpˈaktaɪt
kompaktinformation	kɔmpˈaktˌɪnfɔɾmˌatsɪˈoːn
kompaktion	kˌɔmpaktsɪˈoːn
kompaktkamera	kˈoːmpaktkˈɑmɜɾa
kompaktlösung	kɔmpˈaktløːzˌʊŋ
kompaktlösungen	kɔmpˈaktløːzˌʊŋən
kompaktpigment	kɔmpaktpɪgment
kompaktstation	kɔmpˌaktstatsɪˈoːn
kompaktstationen	kɔmpˌaktstatsɪˈoːnən
kompakttabellengenerator	kɔmpˈakttabˈɛləngˌeːneːrˌɑːtoːɾ
kompaktwäscher	kɔmpaktvɛʃa
kompala	kompala
kompanie	kɔmpanˈiː
kompanieabend	kɔmpanˈiːˈɑːbənt
kompanieführer	kɔmpˈɑniːfˌyːrɜ
kompanieführungselement	kɔmpanˈiːfˈyːrʊŋzəleːmˌɛnt
kompanieführungsgruppe	kˈɔmpaɛiːfˈyːrʊŋsgɾˌʊpə
kompaniegeschäft	kɔmpˈɑniːgˌɛʃɛft
kompaniegeschäfte	kɔmpˈɑniːgˌɛʃɛftə
kompaniegeschäfts	kɔmpˈɑniːgˌɛʃɛfts
kompanien	kɔmpˈɑnɪən
kompaniestärke	kɔmpˈɑniːʃtˌɛɾkə
komparandum	komparandum
komparationsform	kɔmpˈɛɾatˌɪoːnsfˌɔɾm
komparatistisch	kɔmpaʁatˈɪstɪʃ
komparativ	kɔmpˌɑratˈiːf
komparative	kɔmpeːratˈiːvə
komparative	kɔmpˌɑratˈiːvə
komparativen	kɔmpˌɑratˈiːvən
komparativform	kɔmparatˈiːvəfˈɔɾm
komparativs	kɔmpˌɑratˈiːfs
komparator	kɔmparˈɑtoːɾ
komparator	kɔmparˈɑːtoːɾ
komparators	kɔmparˈɑtoːɾs
komparse	kɔmpˈaɾzə
komparsen	kɔmpˈaɾzən
komparserie	kɔmpˌaɾzeːrˈiː
komparserien	kɔmpˌaɾzeːrˈiːən
kompartiment	kˈɔmpˌaɾtiːmˈɛnt
kompartimentiert	kɔmpaɾtiːmˌɛnˈtˈiːɾtˌ
kompartment-syndrom	kɔmpˈɑɾtməntsʏndɾˈoːm
kompass	kompas
kompass	kɔmpˈas
kompasse	koːmpasˈe
kompasse	kɔmpˈasə
kompasses	kɔmpˈasəs
kompasshalterung	kɔmpashˈaltmʊŋ
kompasskapsel	kɔmpaskapʃɛ
kompasskurs	kˈɔmpˈɑskʊɐz
kompassrichtung	kˈɔmpasrˈɛçtʊŋ
kompassrose	kɔmpasrʊsə
kompatibel	kɔmpatˈiːbəl
kompatibilität	kɔmpˌɑtiːbˈiːliːtˈɛːt
kompatibilitätsgründen	kɔmpˈɑtiːbˌiːliːtˌɛtsgɾʏndən
kompatibilitätsmodus	kɔmpatibiliːtɛtsmɔdʊs
kompatibilitätstest	kɔmpatɪbɪlɪtɛtʃtɛst
kompatible	kɔmpatˈiːblə
kompatiblem	kɔmpatˈiːbləm
kompatiblen	kɔmpatˈiːblən
kompatibler	kɔmpatˈiːblɜ
kompatibles	kɔmpatˈiːbləs
kompendium	kompɛndijˈuːm
kompensationsabkommen	kɔmpˈɛnzatsɪˌoːnzapkˌɔmən
kompensationsabkommens	kɔmpˈɛnzatsɪˌoːnzapkˌɔməns
kompensationsangebot	kɔmpˈɛnzatsɪˌoːnzaŋˌeːboːt
kompensationsbewegung	kɔmpˈɛnzatsɪˌoːnsbeːvˌeːgʊŋ
kompensationsfaktor	kɔmpˈɛnˌzˈatɪoːnsfˈaktoːr
kompensationsgeschäft	kɔmpˈɛnzatsɪˌoːnsgɛʃˌɛft
kompensationsgeschäfte	kɔmpˈɛnzatsɪˌoːnsgɛʃˌɛftə
kompensationsgeschäften	kɔmpˈɛnzatsɪˌoːnsgɛʃˌɛftən
kompensationsgeschäftes	kɔmpˈɛnzatsɪˌoːnsgɛʃˌɛftəs
kompensationsgeschäfts	kɔmpˈɛnzatsɪˌoːnsgɛʃˌɛfts
kompensationsleistung	kɔmpˈɛnˌsˈatɪoːnˌsˌlˈaɪstʊŋ
kompensationslos	kɔmpˈɛnzatsɪˌoːnsloːs
kompensationslose	kɔmpˈɛnzatsɪˌoːnsloːzə
kompensationslosem	kɔmpˈɛnzatsɪˌoːnsloːzəm
kompensationslosen	kɔmpˈɛnzatsɪˌoːnsloːzən
kompensationsloser	kɔmpˈɛnzatsɪˌoːnsloːzɜ
kompensationsloses	kɔmpˈɛnzatsɪˌoːnsloːzəs
kompensationswanderung	kɔmpˈɛnˌzˈatɪɔnsvˈandərˌʊŋ
kompensatorisch	kɔmpˌɛnzatˈoːrɪʃ
kompensatorische	kɔmpˌɛnzatˈoːrɪʃə
kompensatorischem	kɔmpˌɛnzatˈoːrɪʃəm
kompensatorischen	kɔmpˌɛnzatˈoːrɪʃən
kompensatorischer	kɔmpˌɛnzatˈoːrɪʃɜ
kompensatorisches	kɔmpˌɛnzatˈoːrɪʃəs
kompensatorprinzip	kˈɔmpənsatɔɾpɾˈɪntsiːp
kompensierbar	kɔmpɛnzˈiːɾbɑːɾ
kompensierbare	kɔmpɛnzˈiːɾbɑːrə
kompensierbarem	kɔmpɛnzˈiːɾbɑːrəm
kompensierbaren	kɔmpɛnzˈiːɾbɑːrən
kompensierbarer	kɔmpɛnzˈiːɾbɑːrɜ
kompensierbares	kɔmpɛnzˈiːɾbɑːrəs
kompensierbarkeit	kɔmpˈɛntsˈiːɾbaɾkˈaɪt
kompensiere	kɔmpɛnzˈiːrə
kompensieren	kɔmpɛnzˈiːrən
kompensierend	kɔmpɛnzˈiːrənt
kompensierende	kɔmpɛnzˈiːrəndə
kompensierendem	kɔmpɛnzˈiːrəndəm
kompensierenden	kɔmpɛnzˈiːrəndən
kompensierender	kɔmpɛnzˈiːrəndɜ
kompensierendes	kɔmpɛnzˈiːrəndəs
kompensierkuppe	kɔmpɛnzˈiːɾkˈuːpəl
kompensierst	kɔmpɛnzˈiːɾst
kompensiert	kɔmpɛnzˈiːɾt
kompensierte	kɔmpɛnzˈiːɾtə
kompensiertem	kɔmpɛnzˈiːɾtəm
kompensierten	kɔmpɛnzˈiːɾtən
kompensierter	kɔmpɛnzˈiːɾtɜ
kompensiertes	kɔmpɛnzˈiːɾtəs
kompensiertest	kɔmpɛnzˈiːɾtəst
kompensiertet	kɔmpɛnzˈiːɾtət
kompetent	kompet̪ẽn̪t̪
kompetent	kɔmpeːtˈɛnt
kompetente	kɔmpeːtˈɛntə
kompetentem	kɔmpeːtˈɛntəm
kompetenten	kɔmpeːtˈɛntən
kompetenter	kɔmpeːtˈɛntɜ
kompetentere	kɔmpeːtˈɛntərə
kompetenterem	kɔmpeːtˈɛntərəm
kompetenteren	kɔmpeːtˈɛntərən
kompetenterer	kɔmpeːtˈɛntərɜ
kompetenteres	kɔmpeːtˈɛntərəs
kompetentes	kɔmpeːtˈɛntəs
kompetenteste	kɔmpeːtˈɛntəstə
kompetentestem	kɔmpeːtˈɛntəstəm
kompetentesten	kɔmpeːtˈɛntəstən
kompetentester	kɔmpeːtˈɛntəstɜ
kompetentestes	kɔmpeːtˈɛntəstəs
kompetenz	kɔmpetˈɛnts
kompetenz	kɔmpeːtˈɛnts
kompetenz	kɔmpətˈɛnts
kompetenzabgrenzung	kɔmpˈeːtəntsˌabgɾəntsˌʊŋ
kompetenzabgrenzungen	kɔmpˈeːtəntsˌabgɾəntsˌʊŋən
kompetenzausübung	kɔmpˈeːtəntsˌaʊzyːbˌʊŋ
kompetenzbereich	kɔmpeːtˈɛntsbərˌaɪç
kompetenzbereiche	kɔmpeːtˈɛntsbərˌaɪçə
kompetenzbereichen	kɔmpeːtˈɛntsbərˌaɪçən
kompetenzbereiches	kɔmpeːtˈɛntsbərˌaɪçəs
kompetenzbereichs	kɔmpeːtˈɛntsbərˌaɪks
kompetenzen	kɔmpeːtˈɛntsən
kompetenzerweiterung	kɔmpˌeːtəntsɜvˈaɪtərˌʊŋ
kompetenzerweiterungen	kɔmpˌeːtəntsɜvˈaɪtərˌʊŋən
kompetenznetz	kɔmpətəntsnˈɛts
kompetenzproblem	kɔmpətənʃpɾˈoːbləm
kompetenzstreit	kɔmpeːtˈɛntsstɾaɪt
kompetenzstreits	kɔmpeːtˈɛntsstɾaɪts
kompetenztransfer	kɔmpətˈɛnstɾanˈsvˈɛɾ
kompetenzträger	kɔmpˌeːtˈɛnstɾɛkɜ
kompetenzverteilung	kɔmpeːtˈɛntsfɜtˌaɪlʊŋ
kompetenzübertragung	kɔmpˈeːtəntsˌyːbɜtɾˌɑgʊŋ
kompetitiv	kɔmpˌeːtiːtˈiːf
kompetitive	kɔmpˌeːtiːtˈiːvə
kompetitivem	kɔmpˌeːtiːtˈiːvəm
kompetitiven	kɔmpˌeːtiːtˈiːvən
kompetitiver	kɔmpˌeːtiːtˈiːvɜ
kompetitives	kɔmpˌeːtiːtˈiːvəs
kompetitivreaktion	kɔmpˌeːtiːtˈiːfreːˌaktsɪˈoːn
kompilation	kɔmpilˈatsɪɔn
kompilation	kɔmpˌiːlatsɪˈoːn
kompilationsalbum	kɔmpˈiːlˈatsɪˌoːnsalbʊm
kompilator	kɔmpilˈatˈɔɾ
kompilator	kɔmpiːlˈɑtoːɾ
kompilatoren	kɔmpˌiːlatˈoːrən
kompilatorin	kɔmpiːlˌɑtoːrən
kompilators	kɔmpiːlˈɑtoːɾs
kompilierbar	kɔmpiːlˈiːɾbɑːɾ
kompilierbare	kɔmpiːlˈiːɾbɑːrə
kompilierbarem	kɔmpiːlˈiːɾbɑːrəm
kompilierbaren	kɔmpiːlˈiːɾbɑːrən
kompilierbarer	kɔmpiːlˈiːɾbɑːrɜ
kompilierbares	kɔmpiːlˈiːɾbɑːrəs
kompiliere	kɔmpiːlˈiːrə
kompilieren	kɔmpiːlˈiːrən
kompilierend	kɔmpiːlˈiːrənt
kompilierende	kɔmpiːlˈiːrəndə
kompilierendem	kɔmpiːlˈiːrəndəm
kompilierenden	kɔmpiːlˈiːrəndən
kompilierender	kɔmpiːlˈiːrəndɜ
kompilierendes	kɔmpiːlˈiːrəndəs
kompilierst	kɔmpiːlˈiːɾst
kompiliert	kɔmpiːlˈiːɾt
kompilierte	kɔmpiːlˈiːɾtə
kompiliertem	kɔmpiːlˈiːɾtəm
kompilierten	kɔmpiːlˈiːɾtən
kompilierter	kɔmpiːlˈiːɾtɜ
kompiliertes	kɔmpiːlˈiːɾtəs
kompiliertest	kɔmpiːlˈiːɾtəst
kompiliertet	kɔmpiːlˈiːɾtət
kompilierzeit	kɔmpiːlˈiːɾtsˈaɪt
komplement	kɔmpleːmˈɛnt
komplementbildung	kɔmplˈeːməntbˌɪldʊŋ
komplemente	kɔmpleːmˈɛntə
komplementebene	kɔmplˌɛːməntˌeːbənə
komplementen	kɔmpleːmˈɛntən
komplementfaktor	komplemɛntfaktˈuːɾ
komplementgehalt	kɔmplˌeːməntgəhˈalt
komplementieren	kɔmplˌeːməntˈiːrən
komplementierer	kɔmpliːmɛntiːrˌɛɾ
komplementquelle	kɔmplɛmɛntkvˈɛlə
komplements	kɔmpleːmˈɛnts
komplementär	kɔmplˈeːməntˌɛːɾ
komplementärbild	kɔmplˈeːməntɛɾbˈɪld
komplementäre	kɔmplˈeːməntˌɛːrə
komplementärem	kɔmplˈeːməntˌɛːrəm
komplementären	kɔmplˈeːməntˌɛːrən
komplementärer	kɔmplˈeːməntˌɛːrɜ
komplementäres	kɔmplˈeːməntˌɛːrəs
komplementärfolger	kɔmpliːməntɛɾfˈɔlgɜ
komplementärformeln	kˈɔmplɛmˌɛntɛɾfˈoːɾmən
komplementärmedizinisch	kɔmplɛmɛntɛɾmɛðiːtsiːnɪʃ
komplett	kɔmplˈɛt
komplett?	kɔmplˈɛt
komplettanbieter	kɔmplˈɛtˈanbˌiːtɜ
komplettangebot	kɔmplˈɛtˈangəbˌoːt
komplettanhänger	kɔmplˈɛtˈanhˌɛŋɜ
komplettanlage	kɔmplˈɛtˈanlˌɑːgə
komplettanschluss	kɔmplˈɛtˈanʃlˌʊs
komplettausrüstung	kɔmplˈɛtaʊsrˌʏstʊŋ
komplettaustausch	kɔmplˈɛtˈaʊstˌaʊʃ
komplettbausatz	kɔmplˈɛtbˈaʊzats
komplettbearbeitung	kɔmplˈɛtbəˈaɾbaɪtˌʊŋ
komplettbeispiel	kɔmplˈɛtbˈaɪʃpiːl
komplettbeschriftung	kɔmplˈɛtbəʃrˈɪftʊŋ
komplettbestände	kɔmplˈɛtbəʃtˈɛndə
komplette	kɔmplˈɛtə
kompletteinheit	kɔmplˈɛtˈaɪnhˌaɪt
kompletteinrichtung	kɔmplˈɛtˈaɪnrˌɪçtʊŋ
komplettem	kɔmplˈɛtəm
kompletten	kɔmplˈɛtən
komplettentaschung	kɔmplˈɛtɛntˈaʃʊŋ
kompletter	kɔmplˈɛtɜ
komplettere	kɔmplˈɛtərə
kompletterem	kɔmplˈɛtərəm
kompletteren	kɔmplˈɛtərən
kompletterer	kɔmplˈɛtərɜ
kompletteres	kɔmplˈɛtərəs
kompletterfassung	kɔmplˈɛtɛɾfˈasʊŋ
komplettes	kɔmplˈɛtəs
kompletteste	kɔmplˈɛtəstə
komplettestem	kɔmplˈɛtəstəm
komplettesten	kɔmplˈɛtəstən
komplettester	kɔmplˈɛtəstɜ
komplettestes	kɔmplˈɛtəstəs
komplettfreiläufe	kɔmplˈɛtfrˈaɪlɔøfə
komplettgaube	kɔmplˈɛtgˈaʊbə
komplettgerät	kɔmplˈɛtgərˈɛːt
komplettgeräte	kɔmplˈɛtgərˌɛːtə
komplettgeräten	kɔmplˈɛtgərˌɛːtən
komplettgutladung	komplˈɛtgˈuːtlˈɑːdʊŋ
komplettiere	kɔmplɛtˈiːrə
komplettieren	kɔmplitˈiːrən
komplettieren	kɔmplɛtˈiːrən
komplettierend	kɔmplɛtˈiːrənt
komplettierende	kɔmplɛtˈiːrəndə
komplettierendem	kɔmplɛtˈiːrəndəm
komplettierenden	kɔmplɛtˈiːrəndən
komplettierender	kɔmplɛtˈiːrəndɜ
komplettierendes	kɔmplɛtˈiːrəndəs
komplettierst	kɔmplɛtˈiːɾst
komplettiert	kɔmplɛtˈiːɾt
komplettierte	kɔmplɛtˈiːɾtə
komplettiertem	kɔmplɛtˈiːɾtəm
komplettierten	kɔmplɛtˈiːɾtən
komplettierter	kɔmplɛtˈiːɾtɜ
komplettiertes	kɔmplɛtˈiːɾtəs
komplettiertest	kɔmplɛtˈiːɾtəst
komplettiertet	kɔmplɛtˈiːɾtət
komplettierung	kɔmplɛtˈiːrʊŋ
komplettierungsauftrag	kɔmplɛtˈiːrʊŋsˌaʊftɾɑːk
komplettierungsauftrages	kɔmplɛtˈiːrʊŋsˌaʊftɾɑːgəs
komplettierungsauftrags	kɔmplɛtˈiːrʊŋsˌaʊftɾɑːks
komplettierungsaufträge	kɔmplɛtˈiːrʊŋsˌaʊftɾɛːgə
komplettierungsaufträgen	kɔmplɛtˈiːrʊŋsˌaʊftɾɛːgən
komplettierungsteil	kɔmplɛtˈiːrʊŋstˌaɪl
komplettinstandsetzung	kɔmplˈɛtɪnʃtˈantzˌɛtsʊŋ
komplettkolben	kɔmplˈɛtkˈɔlən
komplettladung	kɔmplˈɛtlˈɑːdʊŋ
komplettladungstransport	kɔmplˈɛtlˈadʊŋstɾˌanspɔɾx
komplettlesung	kɔmplˈɛtlˈeːzʊŋ
komplettlösung	kɔmplˈɛtlˈøːzʊŋ
komplettlösungsanbieter	kɔmplˈɛtlœzʊŋsˈanˌbˈiːtɜ
komplettmaß	kɔmplˈɛtmˈas
komplettmodul	kɔmplˈɛtmˈoːdul
komplettplan	kɔmplˈɛtplˈɑːn
