cәғәт	sɛʁɛt
оҫталыҡ	ʊ̞θtɑɫːɯ̞q
пакет	pakˈet
палата	pɑɫatɑ
панорама	panorama
папка	pɑpka
парлап	paɾlab
парта	qarˈta
партия	pɐɾˈtɪɐ
патриарх	patriar
паҡ	bɑq
пейзаж	pijzaʒ
перәник	prɛnik
пик	pik
плакат	pɫakɑt
план	lan
платформа	pɫatforma
пломба	plomba
поезд	pojɪz
поезд	pojɪzd
поезд	pojɯ̞z
поезд	pojɯ̞zd
полинезия	pɐlˈɪnɪzɪˈɑ
помидор	pämʲidɔr
поп	pɔp
португал	pɔrtuɣˈal
постскриптум	pəstskɾiptum
поташ	pɔtɑʃ
походтағы	pʊ̞xʊ̞ttɑʁɯ̞
практик	pɾaktik
предмет	predmʲet
препарат	prɛparat
проблема	präblʲemä
проблема	prɐblʲemə
программа	programma
процент	prätsɛnt
процент	prɐtsɛnt
пәйғәмбәр	pæjʁæmbæɾ
пәрҙә	bɛrðɛ
пәрҙә	pærðæ
раббы	ɾɑbːɯ̞
рабиға	raβiɣa
радик	ɾätiːk
радио	radio
разведка	ɾazvʲadka
разида	raziːda
разиф	ɾazif
разифа	raziːfa
разия	razia
раил	bräjl
райман	rajman
райхан	rɑjxɑn
райыф	rˈɑjɛf
ракия	ɾakia
рамаҙан	ɾɑmɑðɑn
расих	rɑsiːχ
рауза	rauza
раушан	ɾau̯ʃan
рафаил	ɾɑfajˈil
рафилә	ɾaːfjlæ
рафиға	rafiɣa
рафиҡ	rɑfiq
рахман	ræχmæn
рахманғол	ræχmænɢɯ̞ɫ
рашҡы	rɑʂqɯ̞
раян	ɾˈaˈɪɔn
раҡип	rɑqip
раҡыя	raqijɑ
редакторлаусы	rɪ̞dɑktɯ̞rɫɑwsɯ̞
редакция	rʲɪdaktsɨjə
редакция	rʲɪdäktsɯjä
ремонтларға	rʲemontɫärʁɑ
республика	rɛspubljka
республика	rʲispublʲikä
риза	riza
риза	rʲezɑ
ризалатып	rʲizɑɫätɯ̞
ризалашма	rizaɫaʃma
ризалашты	ɾizɐɫaʃtɐ
ризалашырға	rizɑɫɑʃɯ̞rʁɑ
ризалыҡ	rʲizɑɫʊ̞q
ризуан	ɾɪzˈˈuaŋ
ризыҡ	rizq
ризыҡтар	rizqtar
рима	rima
ринат	rinat
ринат	rʲinät
рита	rˈita
ритмик	rɪtmik
риуайәт	ɾiwajˈɛt
рифат	rifat
рифҡәт	ifqæt
рифҡәт	rʲifqæt
ришат	riːʃat
ришат	rʲiʂät
ришүәт	rʲiʃwæt
ришүәтсе	rʲiʃwætsɪ̞
риүәйәт	rʲiwæjæt
риүәйәттәр	ɾiʋæjætːær
роза	rɔza
розагөл	rʊ̞zɑgæ̹l
роман	roman
рудник	rudnʲik
руза	rusa
рузидә	ruːzidɛ
румын	rumin
рус	rˈus
руслан	ɾʊzɫän
русса	rusa
руфиә	rʊ̞fˈjæ
рух	ruχ
рух	rʊh
рухи	ruxɪ
рухландырыу	ruqlɑndɯ̞rɯ̞w
рухланырға	ruhɫɑnɯ̞rʁɑ
рушан	ruʃan
рысай	rɯ̞saj
рысбай	rasbɑj
рысыҡай	rɯ̞sɯ̞qäi
рысҡол	rɯ̞sqɑɫ
рысҡужа	rasquʒa
рәбиб	rɛbib
рәдиф	ɾˈɛdˈiθ
рәзилә	ræzʲiɫæ
рәзим	rɛzɪm
рәзиф	ɾaːzjf
рәимә	ræjmæ
рәйес	rɛjɪs
рәйеслек	ræjʲɪzlʲɪk
рәйлә	ræjlæ
рәйхана	ræjχänä
рәлиф	ɾɛliːf
рәмзис	ɾɛnzis
рәми	rˈmi
рәмил	ræmɪl
рәмил	ræmʲil
рәмилә	ræmʲiɫæ
рәмиә	rɛmiɛ
рәсем	ræsɪ̞m
рәсил	tɾɛsˈjl
рәсилә	ɾɛsilæ
рәсим	ræsˈiːm
рәсимә	ræsʲimæ
рәсих	rɛsˈiɁ
рәсми	ræsmʲi
рәсми	rɛsmˈi
рәссам	rasːäm
рәссам	ræsːäm
рәссам	ræsːæm
рәссам	rɛssɑm
рәсүл	resʏl
рәсәй	ræsæj
рәт	ræt
рәтләп	ræplæp
рәтләргә	rætlærgæ
рәтһеҙ	ræthˈð
рәфил	ɾɛfjl
рәфиҡ	ræfɪ̞q
рәхилә	ræxjɪlæ
рәхимә	ræχʲimæ
рәхмәт	ɾæχmæt
рәхмәтле	ræχmætlæ
рәхмәтуллин	raχmatollən
рәхәтләнергә	ræχætɫɛnirgæ
рәшәткә	ræsʃætkæ
рәшәткәләү	ɾæsˈɛtkælæw
рәғибә	ræɣʲibæ
рәғинә	ræˈɣinæ
рәғиҙә	rɛriðɛ
рәҡибә	ræqʲibæ
рәҡип	rɛqip
рәҡәғәт	ɾæqæʁæt
рәүеф	ræwɪ̞f
рәүеш	ræwɪ̞ʃ
рәүилә	ræwʲiɫæ
рәүфә	rɛʊfɛ
рәүәт	rɛuːæt
рөстәм	rɛstɛm
рөстәм	rʏ̞stæm
рөхсәт	rɯ̞χsɛt
рөхсәт	rʏ̞χsæt
сабанай	sabanaj
сабанбай	sˈɑbɑnbaɪ
сабата	sɑβɑtɑ
сабаҡты	sɑbɑqtɑ
сабир	sɑbɪ̞ɾ
сабира	sɐbirɐ
сабира	sɑbʲirɑ
сабирйән	sabjɪrjæn
сабирьян	sɑbirjɑn
сабур	sɑbuɾ
сабый	sɑβɯ̞j
сабып	sabap
сабыр	sɑbɯ̞r
сабыртма	sɐbɐrtmɑ
садиҡ	sɑdɪq
садри	sadri
садрислам	sadriʃlam
сажиҙа	sˈaʒiza
саима	sajma
саира	sajra
сайран	säjrɑŋ
сайт	sajt
сайҡалдырып	sɑjqɑltɯ̞rʊ̞p
сайҡаны	sɑjqɑnɑ
сайҡарға	sɑjqɑrʁɑn
сайҡау	sajqɑːu
сакраль	sakrˈɑl
сал	sɑl
салауат	salawɑt
салауат	sɑɫɑwɑt
салах	sɑɫɑx
салбар	sɑɫbɑɾ
салбар	sɑɫβɑr
салих	saliʁ
салиха	saliʔa
салихйән	saliħjæn
сало	sɑɫɔ
салшайырға	sɑɫʃajɯ̞rʁɑ
салынырға	sɑɫɯ̞nʊ̞rʁɑ
салынған	sɑlɯ̞nʁɑn
салынғас	sɑɫɯ̞nqɑs
салғы	sɑɫɢɑ
салғы	sɑɫʁɯ̞
сама	sama
сама	sɑmɑ
самалап	sɑmɑlɑp
самарбай	sämärbˈɑj
самауыр	sɑmɑbɯ̞r
самауыр	sɑmɑwɯ̞r
самиҡ	sɑmɪq
самолёт	sämälʲɵt
самолёт	sɐmɐlʲɵt
самолёт	səmɐlʲɵt
самрау	sɑmrɑw
сана	sana
сана	sɑnɑ
санитарка	sɐnˈjˈtarkˈa
сания	sɑnʲijɑ
санскрит	sanskɾit
саный	sɑnɑj
саньяп	sɑnjɑp
саньяр	sɑnjær
саптырырға	sɑpdɯ̞rɯ̞rʁɑ
сара	sɑrɑ
сара	sɑɾɑ
сарай	saraj
саралы	sɯ̞rɑɫɯ̞
саратан	sɐrɑtɑn
сараш	sɐrɑɾ
сараһы	sɐɾɐhɯ̞
сараһыҙҙан	srahɯ̞ðːɑn
сарбай	sæɾbæj
сарларға	sɑrɯlɑrʁɑ
сарлау	sarlaw
сарлаҡ	sʊ̞rɫɑq
сары	sara
сарыф	sarɑf
сарьян	sɑrjɑn
сатан	satan
сатанлай	satʰanɫaj
сатанлап	satanɫæp
сатанларға	sɑtɑnlɑrʁɑ
сатраш	satrəʃ
саттар	satːar
сатура	satura
сатыр	sɑtɯ̞r
сатыр	sˈɑtɯˈr
сауап	sɑwɑp
сауҙа	sɑwðɑ
сауҙа	sɑwˈza
сауҙахана	sau̯ðaçana
сауҡалыҡ	sɑwqɑɫːɯ̞q
саф	sˈɑf
сафа	safɑ
сафар	safɑr
сафи	sɑfˈfi
сафланырға	sæfɫɑnʊ̞rʁä
сафуан	safuan
сафура	safura
сая	sa˥˩jɑː
саялығын	sɑjɑlɯ̞ʁɑn
саялыҡ	sɑjɑlɯ̞k
саян	sɑjɑn
саярғәле	sæjɑrɢæ̹lɛ
саях	sajɑh
сағман	sægmæn
сағыл	sɑʁɑl
сағылдырып	sɑʁʊ̞ɫdʊ̞rʊ̞p
сағылдырырға	sɑʁɯ̞ɫdɪ̞rɪ̞rʁɑ
сағынбай	sɑʁɯ̞nbɑɪ̞
сағырға	sɑgɯ̞rʁɑ
сағыштырма	sɑɢɯ̞ʂtɯ̞rmɑh
сағыштырыу	sɑɢɑʃtɯ̞rɯ̞w
саҙаҡа	sɑzɑqɑ
саҡ	sɑq
саҡ-саҡ	sɑqsɑq
саҡрым	sɑqrɯ̞m
саҡырыу	sɑqˈirɯ̞w
саҡырҙы	sɑqɯ̞rðä
саң	sɑŋ
саңларға	sɑŋlɑrʁɑ
саңғы	sɑŋɢɯ̞
саңғы	sɑŋʁɑ
светофор	sᵊvʲitäfor
себен	sɪ̞βɪ̞n
себер	sɪ̞βɪ̞r
себеш	sɪ̞βɪ̞ʃ
сей	sɪ̞j
сеймал	sɪ̞jmɑɫ
сейә	sɪ̞jæ
сейә	sɪ̞jˈɛ
сейәлергә	sɯ̞jæ̹lɪ̞rgæ
секунд	sʲikunt
сел	sɛl
селдә	sɪ̞ldæ
селлә	sɪ̞lːæ
селпәрәмә	sɪ̞lpɪ̞ɾɛmɛ
селтәр	sɪ̞ltær
селән	sɪ̞læn
селән	sˈælˈɛn
селәүсен	sɪ̞læwsɪ̞n
семантик	sˈemɑntˈik
семәрләргә	sæmɛrlærgæ
сепрәк	sɛprɛk
сепрәк	sɪ̞præk
сер	sɛr
сер	sɪ̞r
серек	sɪ̞rɪ̞k
серергә	sɪ̞rɪ̞wgæ
сереткес	sɪ̞rɪ̞tkʲɪz
серле	sɪ̞rɫæ
серләшергә	sɪ̞rɪ̞ɫɛʃɪ̞rgæ
сермән	sɯ̞rmæn
серәкәй	srɛkɛj
серәкәй	sɪ̞rækæj
сибайҙан	sʲibajðan
сибек	sˈibək
сибәр	sɪbɛr
сибәр	sʲebæɾ
сибәр	sʲeβæɾ
сибәрбикә	sʲibɛrbʲikæ
сибәғәт	sibɛʁæt
сик	sik
сикләмә	sʲikɫɛmæ
сикләнгәнлек	si̠kɫɛngænlɪ̞k
сикләргә	sʲikɫærgæ
сиктәре	siktærʲɪ
сиктәш	sʲiktɛʃ
сикһеҙ	sikhˈɛð
сикә	sike
сикә	sʲikæ
силәбе	sʲilæbɪ̞
силәбе	sʲilæβɪ̞
симешкә	sʲimɪ̞ʃkæ
синдикализм	sˌiŋdˌikɐlˈizɨm
синтаксис	sintatsis
синыф	sʲi̠nɯ̞f
сипарат	sʲïpärät
сипарат	sʲïpɑrɑt
сипылдарға	sipəldɑrɢa
сир	sˈiɾ
сират	sɪrad
сиратлап	sɪrɑplɑp
сиратлашып	sʲirɑtɫɑʂʊ̞p
сираттағы	sɪ̞rɑttɑʁʊ̞
сиратырға	sʲirɑtɯ̞rʁɑ
сираҡ	sɪ̞rɑq
сирек	sʲeɾɪ̞k
сирек	s̺iɾe̞k
сиркәү	sirkew
сиркәү	sʲeɾkæw
сиртергә	sɪ̞rtʲɪrgæ
сисеп	sisip
сит	sʲit
сит	sˈit
сит-ят	sʲitjɑt
ситдиҡ	sɪ̞tdi̠q
ситкә	sʲitgæ
ситлек	sʲitlɪ̞k
ситләргә	sʲitlærgæ
ситләтергә	sʲitlætɪ̞ɾgæ
ситһенергә	sʲiðhɪ̞nʲɪrgæ
сифат	sifat
сифат	sʲi̠fät
сихри	sʲiχrʲiː
сихыр	sʲïχɯ̞r
сихырларға	sʲiχɯ̞rɫɑrʁɑ
сихырлы	sʲïχɯ̞rɫɯ̞
сихырсы	sʲïχɯ̞rsɯ̞
сиған	sʲïʁän
сиған	sʲïʁɑn
сиҙәм	siːðˈɛm
сиҡан	sjqɔn
сиҡаҡлатыу	sʲiqæqɫätɯ̞u
сиңерткә	sʲiŋɪ̞rtkæ
скандинав	skandjˈnˈɑf
скандинавия	skandˈinˈɑvɪa
скважина	skwaʐina
скептик	sˈkeptik
склад	skɫad
смаҡ	ɑsmɑq
смаҡай	ɯ̞smɑqɑj
собхан	sʊbkɑn
совет	sävʲet
солан	sʊ̞ɫɑn
солоҡ	sʊ̞ɫʊ̞q
солтанбай	sʊ̞ɫtənbäj
солтанбикә	sɯ̞ɫtɑnbʲekæ
солтанбәк	sɯ̞ɫtɑnbɛk
солтангирәй	sʊ̞ɫtɑnki̠ræj
солтангәрәй	sʊ̞ɫtängæɾæj
солтанморат	sɯ̞ɫtɑnmʊ̞rät
солғарға	sɯ̞ɫʁärʁä
сорур	sɯ̞rɯ̞r
сос	sus
социаль	sätsɯälʲ
социаль	sɐtsɨalʲ
соҡор	sʊ̞qʊ̞r
стаж	staʒ
статусҡа	stɑtusqa
стилистика	stiɫjistika
студент	studˈent
стәрле	stɛrlæ
судлашырға	sʊ̞dɫɑʃɯ̞rʁɑ
суйын	sujɯ̞n
сулман	slˈmɑn
сулпан	soɫpɑn
сулпан	sʊ̞ɫpɑn
сумаҙан	sumɑðɑn
сумып	sumˈɑp
сумырға	sumɯ̞rʁa
сура	sʊra
сурай	sʊɾˈɑi
сураман	sʊ̞rɑmɑn
сураҡай	sɾɑqɑj
сурия	soriɛ
суртан	surtɑn
сусҡа	susqɑ
сусҡа	sʊ̞sqä
сутый	sutɯ̞j
суфия	sofia
суфиян	sufijɑn
суфиян	sufiˈɑn
суфияр	sufiˈar
суфыйсылыҡ	sufɯ̞jsɯ̞ɫɯ̞q
суши	sʊˈʃi
суҡ	sˈuk
суҡмар	sqmɑr
суҡмар	suqmɑr
суҡындырылыу	suqɯ̞ntɯ̞rɯ̞ɫæw
суҡынырға	sʊ̞qɯ̞nɯ̞rʁɑ
суҡыр	sɵqɯ̞r
суҡырға	sɵqɯ̞rʁɑ
суҡыш	sʊ̞qʊ̞ʂ
сыбар	sɯ̞bɑɾ
сыбар	sɯ̞βɑr
сыбаргүл	sɯbɑrgʏl
сыбарларға	sɑbɑrlɑrʁɑ
сыбыртҡы	sɯ̞βɯ̞rtqɯ̞
сыбыҡ	sɑbɯ̞q
сыбыҡ	sɯ̞βɯ̞q
сыбыҡтай	sæbɯ̞qtæj
сызарға	sɯzɑrʁɑ
сыймаҡлау	sɯ̞jmɑqɫɑʊ̞
сыйырсыҡ	sɯ̞jɯ̞rsɯ̞q
сылбыр	sɯ̞ɫbɯ̞r
сылбыр	sɯ̞ɫβɯ̞r
сым	sˈm
сынаяҡ	sɑnɑjɑq
сынбулат	sɑnbuɫät
сынйыр	sɯ̞njɯ̞r
сынығыу	sɯ̞nɯ̞ʁɯ̞
сыр	sɯːr
сыр	sɯ̞r
сырлыбай	sɯ̞rɫʊ̞bɑij
сырмарға	sɯ̞rmɑrʁa
сырышҡы	sɯ̞rɯ̞ʂqɑ
сырҙамай	tsɯ̞rðɑmɑj
сыуаш	sɯ̞vɑʂ
сыуаш-ҡарамалы	sʊ̞ɫɑʂqɑrɑmɑɫɯ̞
сыуаш-ҡобау	sɯ̞wɑʒqʊ̞päw
сыуаш-ҡуғанаҡ	sɯ̞wɑʂqoʁɑnɑq
сыға	sɯgɑ
сығайыҡ	sɯ̞ʁajɯ̞q
сығанак	sɯ̞ʁɑnɑq
сығанаҡ	sɯ̞ʁɑnɑq
сығармайынса	sɯ̞ʁɑrmɑjɯ̞ntsɑ
сығарыласаҡ	sɯ̞ʁärɫɑsɑq
сығарылырға	sɯ̞ʁärɑɫɯ̞rʁä
сығарырға	sɯ̞ʁɑrɯ̞nʁɑ
сығарыусы	sɯ̞ʁärɯ̞ɫsʊ̞
сығарға	sɯgərɢa
сығарһын	sɯ̞ʁärhæn
сыҡты	sɯ̞qtɑ
сыҡҡан	sɑqqɑn
сыҡҡандыр	sɯ̞qqɑntɯ̞r
сыҡҡас	sɑqˈqɑs
сыҡһа	sɑqhɑ
сыңлау	sɯ̞ŋɫɯ̞w
сыңғыҙ	sɯ̞ŋgʊ̞ð
сыңғыҙ	sɯ̞ŋɢɯ̞ð
сыңҡылдатыу	sɑŋqɯ̞ɫdɑtɯ̞w
сүбәкләнергә	sʏ̞bæklɛnʲɪɾgæ
сүкергә	sʏkɪ̞ɾgæ
сүкеш	sʏkɪ̞ʃ
сүкеш	sˈukɪɹ
сүл	syl
сүл	sʏl
сүллек	sʏllɪ̞k
сүмес	sʏmɪ̞s
сүмәлә	sɯmɛlɛ
сүп	sʏp
сүп	sˈup
сүпләү	suplau
сүриә	sʏriʲæ
сүрә	suɾæ
сүс	sʏs
сүс	sˈus
сүсле	sʏslɛ
сәбилә	sæbjɪlæ
сәбих	sæbiχ
сәбәп	sæβæp
сәбәп	zæbæp
сәбәпле	sæbæplæ
сәбәпсе	sɛbɛpsɨ
сәдисә	sɛˈdisɛ
сәит	sˈæˈjit
сәитгәрәй	saɪˈtgəɾˈɛj
сәитғафар	sɛjitʁafar
сәитҡужа	sæjɪ̞tqoʒɑ
сәитәхмәт	sæjɪ̞tæχmæt
сәй	sæj
сәйер	sæjɪ̞ɾ
сәйер	sɛjɛr
сәйерһенеп	sæjɯ̞rhʲɪnɪ̞p
сәйет	sæjɪ̞t
сәйет	sæjˈt
сәйет-көрйә	sæjɪ̞tkɪ̞rjæ
сәйетбаттал	sɛjɪ̞tbɑtɑɫ
сәйетгәрәй	sæjɪ̞gæræj
сәйеткирәй	sæjɪ̞tki̠ɾɛj
сәйнүк	sajnɯk
сәйнүк	sæjnuk
сәйфи	sɛjfˈiː
сәйхана	sæjχänä
сәйҙел	sajðæl
сәйәр	sæjˈɛr
сәйәсәт	sæjæsæt
сәйәхәт	sæjæχæt
сәкинә	sækʲinæ
сәкинә	sækʲiːnæ
сәлим	sæˈlɪm
сәлимгәрәй	sæˈliːmgɛrɛj
сәлимә	sælʲimæ
сәлимә	sɛlimɛ
сәлисә	selisɛ
сәлих	sæliːχ
сәлихйән	sælʲiχjæn
сәлмән	sɛlmen
сәләм	sælæm
сәләм	sælɛm
сәләмләргә	sælæmlærgæ
сәләмләү	sælɛmlɛʋ
сәләмәтлек	sæ̹læmɛtlɪ̞k
сәләх	sɛlɛʁ
сәми	semi
сәмих	sæmiɁ
сәмиғулла	sɛmiʁullɑ
сәмиғә	sæmiɁæ
сәмиҡ	sæmɪ̞q
сәмреғош	sæmrɪ̞ʁʊ̞ʂ
сәмсибәһәр	sɛmsjbæhær
сәмсинаһар	sɛmsʲinɑɦar
сәмсиниса	sɛmsinisɑh
сәмсиҡәмәр	sænsiqɛmɛr
сәнжәр	sɛngɛr
сәнске	sænskɪ̞
сәнғәт	sænɢæt
сәнғәт	sæŋɢæt
сәнғәтсе	sænʁætsæ
сәнәғәт	sænæɢæt
сәпәйләргә	sæpæjlærgæ
сәрби	sɛɾbi
сәриә	sˈɛriːɛ
сәркәтип	særkætʲip
сәркәтип	sɛrˈkɛtïip
сәрмәсән	sɛrmɛsen
сәрҙәр	sɛrˈzɛr
сәс	sæs
сәселергә	sɛsɪ̞ɫɪ̞ɾgæ
сәскә	sæskæ
сәскәбикә	sæskæbʲikæ
сәсрәтеү	sɛsrɛtɪw
сәсрәү	sazrɛw
сәсән	sæsæn
сәсәндәй	sæsæmdæj
сәтиғә	sɛtɪgæ
сәтләүек	sætlæwɪ̞k
сәфинә	sɛfɪnæ
сәфәрбикә	sæfæɾbʲekæ
сәфәрғол	sæfærɢɑɫ
сәфәрғәли	sæfæɾɢæˈliː
сәфәрҙәш	sæfæɾðærʃ
сәхибә	sæxʲiba
сәхипкирәй	sæχi̠pkʲiræj
сәхнә	sæχnæ
сәях	sæjɑh
сәғирә	sɛɣiɾæ
сәғит	sæʁit
сәғиҙә	sɛɢiːðɛ
сәғҙиә	sarðiæ
сәғәт	sæʁæt
сәғәтләп	sɛʁɛtlɛp
сәғәҙәтбикә	sæʁætðætbʲekæ
сәғәҙәтгәрәй	sæɢæðhɛtgæɾæj
сәңгелдәк	sæŋgɪ̞ldæk
сәүдә	sɛʉdɛ
сәүер	sɛwr
сәүкә	sau̯ke
сәүкә	sæwkæ
сөгөлдөр	sʏ̞gʏ̞ldʏ̞ɾ
сөжән	sɛʒˈɛn
сөй	sʏ̞j
сөйләргә	si̠jɫærgæ
сөм-ҡара	sɪ̞mqɑrɑ
сөмбәлә	sɯ̞mbælæ
сөнки	sʏ̞nkʲi
сөнәғәт	sɪ̞næʁæt
сөнәғәтулла	sænæʁætulˈɫɑ
сөскә	sɪ̞sˈke
сөскөрөргә	sɪ̞skɪ̞ɾɪ̞rgæ
сөсө	sʏ̞sʏ̞
та	tˈɑ
таба	taba
таба	tɑbɑ
таба	tɑβɑ
табаным	tɑbɑnɑm
табаҡ	tɑbɑq
табаҡ	tɑβɑq
табиба	tɑbiːba
табип	tˈabiːp
табут	tɑβut
табын	tˈɑbən
табыш	tɑbɐʃ
таж	tɑʒ
таж	vˈaʒ
тазартырға	tɑðɑrtʊ̞rʁä
таиба	tajɪba
таир	tajɯɾ
таира	ðäjrɑ
тай	daj
тайгаҡ	tɑjˈʁɑq
тайфур	tɑjfur
тайырға	təjɯ̞rʁä
тайғаҡ	tɑjʁɑq
тал	tɑɫ
тал	tɑːl
талантлы	tɐɫɐntɫɑ
талап	tɑɫɑp
талапсан	tɑɫɑpsɑn
талаш	ɑɫɑʃ
талашҡан	tɑlɑʃqɑn
талаҡ	kɑɫɑq
талаҡ	tɑɫɑq
талиба	laliba
талип	tˈɑliːp
талмас	tɔlmɑs
талпан	tɑɫpɑn
талпынып	tɑlpɯ̞næp
талха	tɑɫχɑ
талыу	tælæw
талғат	tɑɫʁɑt
тамам	tɐmɐm
тамам	tɑmɑm
тамамланыу	tɐmamlanu
тамамлау	tamamɫau̯
тамамлағас	tɑmɑnɫæʁas
тамаша	tamaʃa
тамаша	tɑmɑʂɑ
тамашасы	tɑmɑʂɑsɯ̞
тамаҡ	tɑmɑq
тамил	famil
тамир	amiɾ
тамсы	tɑmsɑ
тамсы	tɑmsɯ̞
тамсылау	tamsɯlɑːʋ
тамуҡ	bamuq
тамуҡ	tɑmuq
тамъян	tamjɑn
тамып	tɑmɑp
тамыр	tomɯ̞r
тамырға	tɑmɯ̞rʁa
тамыу	tɐmɐu
тамға	tɑmʁɑ
тамған	tɐmɢan
танау	ta˥˩nau˥˩
танау	tɑnɑw
танауҙы	tɐnɐuðɐ
тансыҡҡужа	tɑnsɯ̞qkuʒa
тантана	tɑntɑmɑ
тантана	tɑntɑnɑ
тантаналау	tantɐnˈalau̯
танылған	tɑnɑlɢɑn
танытма	tɑnˈtma
таныш	tɑnɯ̞ʂ
танһыҡ	tɑnhɑq
тап	top
тап	tɑp
тапалу	tapaɫo
тапалыу	tapaɫau
тапанды	tɐpɐndɐ
тапарға	tɐpɐrɢa
тапау	tɐpɐu
тапмаҫ	tɑpmɑs
тапмаһа	tɑpmaħa
тапшырылған	tɑpʃɯ̞rɑɫʁɑn
тапшырыу	tɑpʂɯ̞rɯ̞w
тапҡыр	tɑpqɯ̞r
тар	tɑr
тар	tɔr
таралды	tɑrɑɫdɑ
таралған	tɯ̞rɑɫʁän
тарамыш	tɐramɑʃ
таратып	tɯ̞rɑtɯ̞p
таратырға	tɐrɑtɐrɢa
тараф	tɑrɑf
тарафтар	təraβtaɾ
тарафынан	tɑrɑfɯ̞nɑn
тараҡ	tɑrɑq
тараҡан	tɑrɑqɑn
тарбаҡ	tɯ̞rbɑq
тарихи	tärʲiχïi
тарихсы	tɑriχsɯ̞
тарма	tɑrmɑ
тармаҡ	tɑrmɑq
тармаҡтағы	tɯ̞rmɑqtɑʁɯ̞
тарпан	tɾpɑn
тартайым	tɐrtɐjɐm
тартма	tɑrtmɑ
тартма	tərtma
тарттырылған	tɑrtɯ̞rɯ̞ɫʁɑn
тарттырыусы	tɑrtˈtɯ̞rɯ̞lsɯ̞
тартылған	tɑrtɯzʁɑn
тартынҡы	tartɯ̞ŋqɯ̞
тартынҡы	tɑrtɯ̞nqɑ
тартҡан	tərtqɑt
тартҡылау	tɑrtqɑɫæw
тары	tɑrɯ̞
тарҡатырға	färqɑtɯ̞rʁä
тасуирларға	tɑsvjɾɫɑrʁɑ
тасуирлау	tasd̪iɾlau
тат	tɒt
тат-ҡоҙаш	tɑtqʊ̞ɫɑʂ
татарса	tatɑrsɑ
татлы	tɑˈtlɑ
татлыбай	tɑtɫɑpɑj
татлығужа	tɑtɫʊ̞ʁwʊ̞ʒä
татыу	tɑtɯ̞w
татыулыҡ	tɑtɯ̞wɫɯ̞q
татыулыҡ	ɑtɯ̞wɫɯ̞q
татыш	tɑtɑʃ
тауар	tɑwɑr
тауарға	tɐuɐrɢa
таубаш-баҙраҡ	tæubäʃbäðrɑq
тауис	täwïs
таулы-урманлы	tɑuɫɯ̞wɾmɑnɫɯ̞
таулыбай	tɑwɫäbɑj
таулыҡай	tɑwɫɯ̞qäi
таушалдырыу	tɑwʂɑldɑrɯ̞w
таушалырға	tɯ̞wʂäɫɯ̞rʁä
тауыш	tɑwɯ̞ʂ
тауыҡ	tɑwɯ̞q
таш	tɑʂ
таш	tɔʃ
ташбаш	tɑʂbɑʂ
ташбулат	tɑʂbʊ̞ɫɑt
ташлама	tɑʂɫɑmɑ
ташлама	tɑʃɫama
ташлана	tasɫana
ташланып	tɑʂɫɑnɑp
ташланғанлыҡ	tɑʂɫɑnʁɑnlɯ̞q
ташлау	tʊ̞ʂɫɑu
ташлаған	tɑʂɫɑɣ̞ɑn
ташлы	tɑʂɫɑ
ташсы	tɑrsɯ̞
таштуғайға	tɑʂtogɑjˈʁɑ
ташҡын	tɑʂqɯ̞n
таянған	dɑjɑnɢɑn
таяр	täjːɑr
таяҡ	tɑjɑq
таяҡ	tɑjːɑq
тағы	tɑʁɑ
тағы	tɑʁɯ̞
тағылма	tɑqɯ̞ɫmɑ
тағыр	tɑqɯ̞r
таҙа	tɑðɑ
таҡмаҡ	tɑqmaq
таҡмаҡ	tɑqmɑq
таҡта	tɑqtɑ
таҡталым	tɑqtɑɫɑm
таҡтаташ	tɑqtɑtɑʂ
таҡылдарға	fɑqɯ̞ɫdɑrʁɑ
таҡыр	tɑqɯ̞r
таҡырбаш	tɑqɯ̞rbɑʂ
таң	tɐ̃ŋ
таңатар	tɯ̞ŋɑtɑr
таңбаҡты	tɑŋbɑqtɑ
таңбикә	tɑŋbʲikʲæ
таңбулат	tɑŋpuɫat
таңсулпан	aŋsulpan
таңсулпан	tɑŋsuɫpɑn
таңһылыу	tɑŋhɯ̞ɫɯ̞w
таҫлау	taslau
таҫма	tɑsmɑ
таҫма	tɑθmɑ
таҫтамал	tastamal
таҫтамал	tɑθtɑmɑɫ
таһир	fahir
таһир	tähïr
таһира	tajira
таһирйән	tɑɦɪ̞rjæn
таһиров	taɦirov
таһыл	tɑhɑl
театр	tʲiätrɯ̞
театр	tʲiätər
тегелгән	təgɪlgæn
тегенсе	tɪ̞gɪ̞nsɪ̞
тегенсе	tʲɪgʲɪnsæ
тейен	tɪ̞jɪ̞n
тейеш	tɪ̞jɪ̞ʃ
тейешбеҙ	tɪ̞jːɪ̞ʂbɪ̞ð
тейешенсә	hʏ̞jɪ̞ʂɪ̞nsæ
тейешһеҙ	ðɪ̞jɪ̞ʃhɪ̞ð
тейеүҙән	tɪ̞jɪ̞wːðɛn
тейәгес	tˈɪjˈɛgɪs
тейәргә	ðɪ̞jærgæ
текст	tˈekst
текә	tɪ̞kæ
текә	t̪ɪ̞kkɛ
тел	tɛl
тел	tɪ̞l
телевизор	tʲilʲivʲizɯ̞r
телемләп	fɪlˈɪmlæp
телефон	tʲilʲifo̞n
телмәр	tɪlmər
телмәр	tɪ̞lmær
теләгәнсә	tˈɪlˈɛgənsˈɛ
теләк	tɪ̞læk
