-åringar	oːrɪŋaːr
romfördraget	rˈɔmfˈœrdragˌət
rommen	rˈɔmmən
romska	rˈɔnska
rond	rˈond
rondahl	rˈɔndal
rondell	rˈɔndəl
rondellhund	rˈɔndəlhˈɵnd
rondera	rˈɔndəra
roos	ruːs
rop	rˈuːk
ropa	rˈuːpa
ropade	rupa˥˥ːdə
ropar	rˈuːpar
ropat	ruːpat
ropen	ruːpən
ropet	ruːpənt
ropsten	ruːp˥stˈeːn
ror	ruːɾ
ror	rˈuːr
rorpinnen	ruːrpˈɪnən
ros	ruːs
ros	rˈuːs
ros	ʁuːs
rosa	rwɔsa
rosa	rˈoːsa
rosa	rˈusa
rosa	rˈuːsa
rosafärgad	rˈoːsafˈɛrjad
rosar	rˈuːsar
rosenblad	ruːsˈɛnbloːd
rosenbräcka	ruːsənbrˈɛkːa
rosenhallon	ruːsənhˈɑːlˈɔn
rosenhane	rusənˈhˈɑːnə
rosenhane	rˈuːsənhˈɑːnə
rosenkrage	ruːsənkrˈɑːgə
rosenkrans	rˌuːsəŋkrˈans
rosenkål	ruːsˈˈnkˈˈoːl
rosenlundsgatan	rˈuːsənlˌɵndsgɑːtˌan
rosenrasande	ruːsənrˈɑːsandə
rosenrasande	rˈuːsənrˌasandə
rosenrot	ruːsənɾˈɔt
rosenstav	ruːsənstˈɑːv
rosett	rˈuːsət
rosett	rˈɔsˈɛt
rosig	ruːsˈɪg
rosig	rˈuːsɪg
rosighet	rˈuːsiːgːhˌeːt
rosin	roːsˈiːn
rosita	ruːsiːta
rosk	rˈosk
roskratta	ruːskrˈatˈa
roskvist	ruːskvˈɪst
roslagen	rˈɔslˈɑːgən
roslett	ruslˈətː
rosmarin	rˈɔsnarˈɪn
rosmarin	rˌɔsmarˈiːn
rossla	rˈɔsla
rosslade	rˈɔsladə
rosslar	rˈɔslar
rost	rɔst
rosta	rɔsta
rostad	roastad
rostade	rˈɔstadˈɛ
rostar	roːstˈar
rostbiff	rˈɔstbɪf
rosten	rˈɔstən
rosteri	rˈɔstriː
rostfläck	rˈɔstflək
rostfri	rˈɔstfriː
rostig	rˈɔstɪg
rostskydd	rˈɔstsxyd
rostskyddet	rˈɔstsxydət
rostskyddsmedel	rˈɔstsxydsmˌeːdəl
rostskyddsvätska	rˈɔstsxydsvˌɛtska
rostsvamp	rˈɔstsvˈamp
rostsvampar	rˈostsˈvˈampˌar
rosvall	ruːsvˈall
rot	roːˈuːt
rot	rˈuːt
rota	rˈuːta
rotat	ruːtat
rotavdrag	rˈuːtˈavdrˈɑːg
rotblöta	rˈuːtblˈɛta
rotborstar	rˈuːtbˈˈɔstˈar
roteflygning	rˈɔːtˈɛflˈyːgnɪŋ
rotel	rˈuːtəl
rotel	rˈɔtˈɛl
roten	ruːtˈɛn
roten	rˈuːtən
rotera	rˈuːteːrˌa
rotera	rˈɔtɛra
roterar	rˈuːteːrˌar
rotfrukt	rˈɔtfrɵkt
rotfyllning	rˈɔtfylnˌɪŋ
rotfyllning	rˈɔtfˈylnɪŋ
rotfäste	rˈuːtfəstə
rotfäste	rˈɔtfɛːstˌɛ
rotlös	rˈɔtløːs
rotmos	rˈɔtmuːs
rotmos	rˈɔtmˈuːs
rotmärke	rˈuːtmˌɛrkə
rotmärken	rˈuːtmˈɛrkˈan
rotmärkena	rˈuːtmərkˈana
rotmärket	rˈuːtmˈɛːrxət
rotor	ruːtˈor
rotröta	ruːtrˈɛta
rotsak	rˈɔtsak
rotslagen	rˈuːtslˈɔgən
rotslagit	rˈuːtslˈɑːgˌiːt
rotslår	ruːtˈslˈoːr
rott	rˈɔt
rott	rˈʊt
rotvälska	rˈuːtvˈɛlsga
rotvälska	rˈuːtvˈɛlsgˌa
rotvälska	rˈɔtvəlskˌa
rotvälta	ruːtdˈɛltˈa
rotvälta	rˈuːtvˈɛltːa
rotämne	roːtˈɛmnə
rotämnen	roːtˈɛmnən
rouge	rˈuːʉjə
roulett	rˈuːʉlˌɛt
rov	ruːð
rov	rˈuːv
rova	ruːvˈa
rova	rʊva
rova	rˈuːva
rovdrift	ruːvdrɪft
rovfisk	rˈuːfˈɪsk
rovfåglar	rˈuːvfˈoːglˌar
rovgirig	ruːvjˈiːrˈiːgˈ
rovor	ruːvur
roxen	rˈɔxən
roxette	ruːksˈɛtː
ruanda	rˈʉandˌa
rubba	rˈɵba
rubbad	rˈɵbad
rubbar	rˈɵbar
rubbning	rˈɵbnɪŋ
rubbningar	rˈɵbnɪŋˌar
rubricera	rˈɵbriːsˌeːra
rubrik	rɵbrˈiːk
rubriken	rɵbrˈiːkən
rubriker	rˈʉbrˈiːkˌar
rubrikerna	rɵbrˈiːkərnˌa
rubrikstil	rˈʉbrˈiːgstˈiːl
ruckar	rˈɵkːar
ruckel	rˈɵkəl
ruckel	rˈɵkːəl
ruelse	rˈʉəlsə
ruff	rˈɵf
ruffig	rˈɵfɪg
rufsa	rʊfˈsa
rufsa	rˈɵfsa
rufsar	rˈɵfsar
rufsig	rˈɵfsɪg
rugga	rˈɵga
ruggar	rˈɵgar
rugge	rˈɵgə
ruggig	rˈɵgɪg
ruin	rʉˈiːn
ruinerar	rʉˈiːneːrˌar
rulla	rˈɵla
rullad	rˈʉlad
rullade	rˈʉladə
rullar	rˈɵlar
rullar	rˈʉlar
rullband	rˈɵlland
rulle	rˈɵlə
rullföra	rˈʉlfˈøːra
rullgardin	rˌɵlgardˈiːn
rullskida	rˈɵlsxiːdˌa
rullskridskor	rˈɵlskrɪdskˌuːr
rullstol	rˈɵlstuːl
rulltrappa	rˈɵltrapˌa
rulltårta	rˈɵltoːtˌa
rum	rum
rumba	rˈumba
rumba	rˈɵmba
rumla	rˈɵmla
rumlar	rˈɵmlar
rummet	rˈɵmət
rumpa	rˈumpa
rumpa	rˈɵmpa
rumpan	rumpan
rumphuggen	rˈɵmphɵgən
rumpstekarna	rˈɔmpˈstəkˈarˈnˈa
rumpsteken	rˈʉmpˈstəkˈiːn
rumsbeställning	rˈɵmsbəstˌɛlnɪŋ
rumsenhet	rˈʉmˈsəˈnhˌət
rumsgivare	rˈʉmˈsjˈiːvarə
rumsindelningen	rˈɵmsɪndˌeːlnɪŋən
rumskamrat	rˈɵmskadrat
rumskamrater	rˈɵmskamrˌɑːtər
rumslighet	rˈʉmˈslˈɛgˈhˈət
rumsren	rˈɵmsrən
rumstemperatur	rɵmstˈeːmpərˌatʉr
rumstemperatur	rˈʉmstˈeːlpəratˌʉr
rumstera	rˈɵmsteːrˌa
rumsterar	rˈɵmsteːrˌar
rumsvärme	rˈɵmsvərmə
rumän	rˈʉmɛːn
rumänsk	rˈɔmˈɛnsk
rumänsk	rˈʉmənsk
rumänska	roːmˈɛnskˈa
rumänska	rˈʉmənskˌa
runa	rˈɵna
runar	rʉnar
rund	rˈɵnd
runda	rˈunda
runda	rˈɵnda
rundad	ruːndad
rundad	rˈɵndad
rundar	rˈɵndar
rundat	rˈundat
rundel	rʏ̞ndəl
rundfråga	rˈɵndfroːgˌa
rundhäll	rˈɵndhˌɛl
rundlagd	rˈɵndlɑːgd
rundlig	rˈʉntlˌiːg
rundresa	rˈɵndrəsˌa
rundskrivelse	rˈɵndskriːvˌɛlsə
rundsmörjning	rɵndsmˈœrjnɪŋ
rundstycke	rˈɵndstykːə
rundtur	rˈɵndtʉr
rundvandring	rˈɵndvandrˌɪŋ
rundvandring	rˈɵndvˈandərɪŋ
runeborgs	rˈɵnəbˌɔrgs
runga	rˈɛŋa
rungande	rˈɵŋandə
runinskrift	rˈʉnˈiːnskrɪft
runka	rˈɵŋka
runmärkta	ruːnmˈɛrkita
runn	rˈɵln
runnit	rˈɵnnˈɪkt
runo	rʏnɔ
runristare	rˈʉnrˈystˈarə
runskrift	ruːnskrˈɪft
runsten	rønˈstˈeːn
runsten	rˈɵnstən
runstyckena	rˈʉnˈstˈyːkːənˌa
runt	rˈɵnt
runtom	rˈɵntɔm
runtomkring	rˈɵntɔmkrˌɪŋ
rurik	rˈʉrɪk
rus	rʏvʲis
rus	rˈʉs
rusa	rˈʉsa
rusar	riusar
rusar	rˈʉsar
rusat	rˈʉsat
rusch	rˈɵʃ
rusdryck	rˈɵsdryk
rusdrycken	rˈʉsdrˈykkən
rusig	ruːsˈɪg
rusig	rˈʉsɪg
rusk	rʊsk
rusk	rˈɵsk
ruska	rˈuska
ruska	rˈɵska
ruskar	rˈɔskar
ruskar	rˈɵskar
ruskig	rʊskɪg
ruskig	rˈɵskɪg
ruskigt	rˈɵskɪdt
rusning	rˈɵsnɪŋ
rusningstid	rˈɵsnɪŋstˌiːd
rusningstimma	rˈʉsnˈiːŋstˈɪmːa
rusningstrafik	rˈʉsnɪŋstˈrˈafˌiːk
russ	rˈɵs
rusta	rˈɵsta
rustar	rostar
rustar	rˈɵstar
rustat	rˈɵstat
rustik	rˈɵstiːk
rustning	rˈɵstnɪŋ
rustningar	rˈɵstnɪŋˌar
ruta	rˈʉta
rutan	rˈʉtan
ruter	rˈʉtər
ruter	rˈʉtˈɛr
ruth	rˈɵth
rutiga	rˈʉtiga
rutin	rʉtˈiːn
rutinarbete	rˈʉtiːnˈarvˈeːtə
rutinarbetet	rˈʉtˈiːnˈnˈɑːrˌbətət
rutiner	rˈʉtiːnˈɛr
rutit	ruːtˀɪt
rutit	rˈʉtiːt
rutmönstret	rˈʉtmˈœnstrət
rutnät	rˈʉtnət
rutscha	rˈʉtʃa
rutschar	rˈʉtʃar
rutschbana	rˈʉtʃbanˌa
rutt	rˈɵt
rutten	rˈɵtːən
ruttet	rˈʉtːət
ruttna	rˈɵtna
ruttnar	rˈɵtnar
ruva	rˈʉva
ruvar	rˈʉvar
ruvning	rˈɵvnɪŋ
rya	rˈyːa
ryck	rˈyk
rycka	rˈykːa
ryckas	rikːas
rycket	rˈykət
ryckig	rˈykːɪg
ryckig	rˈyːkːiːk
ryd	rˈid
rygga	rˈyga
ryggar	rˈygar
ryggen	rˈygən
ryggens	rɛgjəns
ryggmärg	rˈygmərj
ryggmärgsvätskan	rˈygmərgsvˌɛtskan
ryggrad	rˈygrad
ryggskott	rˈygskɔt
ryggstöd	rˈygstøːd
ryggstödet	rˈyggstøːdət
ryggsäck	rˈygsək
ryggsäcken	rˈyggsɛkːən
ryggtavla	rˈygtavlˌa
ryka	riːkˈa
ryker	rˈyːkər
rykta	rˈykta
rykta	rˈyktˈa
ryktar	rʏktar
ryktar	rˈyktar
ryktas	rʏktas
ryktas	rˈyktas
ryktbar	rˈyktbɑːr
rykte	ryktɛ
rykte	rˈyːktə
ryktena	rˈykːtəna
ryktesskapande	rˈyktəskˈɑːpandə
ryktesspridning	rˈyktərsprˈiːdnɪŋ
ryktesvis	rˈyktəsvis
rylander	rɪlaːndeːr
rymd	rymd
rymd	rˈymd
rymdraket	rˈyːmdrˈaːkˌeːt
rymdstoft	rˈymdstˈɔft
rymlig	rˈymlɪg
rymling	rˈimlˌɪŋ
rymling	rˈymlɪŋ
rymma	rymmˈɑ
rymma	rˈyma
rymmande	rˈymandə
rymning	rˈymnɪŋ
rymt	rɪmt
rymts	rˈymts
rynka	rinka
rynkad	rˈinkad
rysa	rɪi̯sːa
rysa	rˈyːsa
rysk	risk
rysk	rˈysk
rysk	rˈɪsk
ryska	rˈyska
ryska	ʒyska
ryskt	rɪskt
ryslig	rˈyslɪg
ryslig	rˈyːslˈiːg
rysligt	rˈyslɪkt
rysning	rˈysnɪŋ
rysning	rˈyːsnɪŋ
rysningar	rˈyːsnɪŋa
ryss	rˈys
ryssarna	ryssaˈnɑː
ryssarna	rˈysarnˌa
ryssland	rˈysland
ryt	riːt
ryta	ritˈa
ryta	rˈyːta
rytm	rɨtm
rytm	rˈytm
rytm-	rˈytm
rytmen	rˈytmən
rytmik	rˈɛtmiːk
rytmisk	rˈytmɪsk
rytmiska	rˈytmɪskˌa
rytmiskt	rˈytmɪskt
ryttare	rˈytːarə
rytteri	rˈytːəriː
ryttla	rˈytlˈa
ryttmästare	rˈyttːməstˌaːrə
räcka	rækːa
räcka	rˈɛkːa
räcke	rˈɛkːə
räcker	rˈɛkːər
räckhåll	rˈɛkhɔl
räckt	rˈɛkt
räckte	rˈɛktə
räckvidd	rˈɛkvɪd
räd	rˈɛːd
rädd	rˈɛd
rädda	rɛda
rädda	rˈɛda
räddad	rɛpdˈad
räddar	rˈɛdar
räddhågad	rˈɛdhoːgˌad
räddhågade	rˈɛdhˈoːgadə
räddningsplanka	rˈɛdnɪŋsplˌaŋka
rädisa	rˈɛːdiːsˌa
rädisor	rˈɛdɪxsˈɔr
rädsla	rətslˈa
rädsla	rˈɛdsla
räffla	rˈɛfla
räfflar	rˈɛflar
räfsa	rˈɛfsa
räfsar	rˈɛfsar
räfsor	rɛfˈsuːrˈ
räfst	rˈɛfst
räka	rˈɛːka
räkan	rɛkam
räkenskap	rˈɛːkənskˌɑːp
räkenskaper	rˈɛkˈɛnskapːˌar
räkenskapsbok	rˈɛkɛnskapsbˈuːk
räkfisket	rˈɛkfˈiskət
räkfrossa	rˈɛkrˈɔsa
räkhåv	rˈɛkhˈuv
räkhåvar	rˈɛkːhˈoːvar
räkhåven	rˈɛkhoːvən
räkmackan	rˈɛkmakːan
räkna	rˈɛːkna
räknar	rˈɛːknar
räknare	rɛknarɨ
räknas	rˈɛːknas
räknat	rˈɛːknat
räknats	rˈɛːknats
räknebok	rəknbˈuːk
räkneboken	rˈɛknəbˈokən
räknedosa	rˈɛknəduˈsˈa
räknefelen	rˈɛknfˈeːlən
räknefelet	rˈɛknfˈeːlət
räknehäften	rˈɛknehˈɛftən
räkneord	rˈɛːknəˌuːrd
räknesnurra	rˈɛknˈɛsnˈʉra
räknesnurran	rˈɛknəsnˈɵrˈan
räknesticka	rˈɛknˈɛstˈɪkːan
räkneövning	rˈɛknərˈøvnɪŋ
räkning	rˈɛːknɪŋ
räkningen	rˈɛkningən
räkor	rakɔr
räksallad	rˈɛkˈsallad
räkskalen	rˈɛkskˈɔlən
räkstuvningar	rˈɛkstˈʉvnˈɛŋar
räkstuvningarna	rˈɛkstˈʉvnˈɛŋarnˌa
räkstuvningen	rˈɛkstˈʉvnˈɛŋən
räktrålaren	rˈɛktrˈoːlarˈɛn
räktrålen	rˈɛktrˈuːlˈɛn
räls	rˈɛls
räls	rˈɛlz
rälsbuss	rˈɛlsbɵs
rälsskruven	rˈɛlsskrˈyːvən
rälsspikar	rˈəlsspˈiːkar
rälsspiken	rɛlsspiːkən
rämna	rɛmnam
rämna	rˈɛmna
rämnade	rɛmˈnadɛ
rämnar	rˈɛmnar
rände	rˈɛnd
ränder	rəndər
ränker	rˈɛŋkər
ränn	rˈɛn
ränna	rˈɛna
rännande	rˈɛnandə
ränner	rˈɛnər
rännil	rˈɛniːl
rännil	rˈɛnnil
rännsten	rˈɛnstən
ränsel	rˈɛnsel
ränta	rˈɛnta
räntabel	rˈɛntabˌɛl
räntabiliteten	rˌɛntˈabɪlˈiːtətˈɛn
räntabla	rˈɛntˈɔbla
räntade	rɛnpadə
räntan	rɛntan
räntat	rˌɛntat
ränte-	rˈɛːntə
ränteavdrag	rˈɛntəˈɑːvdrɑːg
ränteavdragen	rˈɛntəˈɑːvdrˈɑːgən
ränteavdraget	rˈɛntəˈɑːvdrˈɑːgət
räntefallen	rˈɛntəfˈalən
räntefallet	rˈɛntəfˈalət
räntefonden	rˈɛntəfˈɔndən
räntefonder	rɛntɛfɔndeːr
räntefonderna	rˈɛntəfˈˈɔndərnˌa
räntefria	rˈɛntəfrˌiːa
räntefritt	rˈɛntəfrˈiːt
ränteförlust	rˈɛntəfˈøːrlˌʊst
ränteförlusten	rˈɛntəfˈøːrlˈʊstən
ränteförluster	rˈɛntəfˈøːrlˈʊstər
räntegap	rˈɛntðəgˈɑːp
räntegapet	rˈɛntəgˈɑpət
räntehöjningar	rˌɛntəhˈœjnɪŋˌar
ränteinkomst	rˈɛntəˈɪnkˈuːmst
ränteintäkt	rˈɛntəɪntˈɛkt
ränteintäkten	rˈɛntaˈɪntˈɛktən
ränteintäkter	rˈɛntˈɛɪnteːktˌeːr
ränteintäkterna	rˈɛntəɪntˈɛktərnɑ
ränteläge	rˈɛntlˈɛgə
räntelägen	rˈɛntɛlˈɛgən
räntelägena	rˈɛntɛlˈɛgˈɛnˈa
räntelös	rˈɛntɛløːs
räntelöst	rˈɛndəlˈœst
räntenedgång	rˈɛntənˈeːdgˈoːng
räntenivån	rˈɛntənˌiːvoːn
räntepapper	rˈɛntəpˈapər
räntepolitiken	rˈɛntəpˈoːliːtˈiːkən
räntesats	rˈɛntðəsˈats
räntesats	rˈɛntəsˌats
räntesatsen	rˈɛntðəsˈɑtsən
räntesatser	rˈɛntsˈatsər
räntesatserna	rˈɛntəsˈatsɛrnˌa
räntetermin	rˈɛntətˈɛrmɪn
ränteterminen	rˈɛntətˈɛrmɪnən
ränteterminer	rˈɛntətˈɛrmɪnər
ränteterminerna	rˈɛntətˈɛrmɪnˈɛrˈnˈa
ränteutgifter	rˈɛntəˌʉtjɪftər
räntevapen	rəntəvɑpən
räntor	rɛntur
räntorna	rɛntɔna
räntorna	rˈɛntuːrnˌa
räta	rɛːˈtːɑ
räta	rˈɛːta
rätansbyn	rətːansbˈyn
rätar	rˈɛːtar
rätbräda	rɛtbrɛda
rätlinjig	rˈɛtlɪnjˌɪg
rätsida	rˈɛtsiːdˌa
rätt	rˈɛt
rätt-	rˈɛt
rätta	rˈɛtːa
rättade	rˈɛtːadˌe
rättar	rˈɛtːar
rättare	rˈɛtːarə
rättaren	rətːarˌɛn
rättegång	rˈɛtːəgˈoŋ
rättegång	rˈɛtːəgˌɔŋ
rättegångar	rˈɛtːəgˈɔŋar
rättegångsbalk	rˈɛtːɛgˈoːŋsbˌalk
rättegångsdagarna	rˈɛtːəgˈoːŋstˈɑːgˈarˈna
rättegångssalen	rˈɛtːəgˈoːŋsasˌɑːlən
rättelse	rˈɛtːəlsə
rättelsen	rˈɛtəlsən
rätten	rˈɛtən
rätten	rˈɛtːən
rättens	rˈɛtˈtˈɛnˈs
rättesnöre	rˈɛtːəsnˌøːrə
rättfram	rˈɛtfram
rättframhet	rˈɛtfrˈamheːt
rättfärdig	rˈɛtfɛːrdˌɪg
rättfärdig	rˈɛtːfˈɛrdɛg
rättfärdiga	rˈɛtːfˈɛrdiga
rättfärdigar	rˈɛtːfˈɛrdiːgˈar
rättfärdigare	rˈɛtfɛːrdˌiːgarə
rättfärdigas	rˈɛtfɛːrdˌiːgas
rättfärdige	rˈɛtsfərdˌiːgˌɛ
rättfärdighet	rˈɛtːfˈɛrdˈiːhˌeːt
rättfärdigheten	rətːfˈɛrdˈiːhˌeːtˌɛn
rättidigt	rˈɛttˈiːdɪkt
rättighet	rˈɛtːiːghet
rättighet	rˈɛtːɪghˌeːt
rättigheter	rˈɛtːɪghˌeːtər
rättigheterna	rɛtːiːhˌeːtərˌnˈɑː
rättika	rˈɛtːɪgˌa
rättikan	rɛtːikan
rättlade	rˈɛtlˌɑːdə
rättlagd	rˈɛtlˌagd
rättmätig	rˈɛtmɛːtˌɪg
rättmätig	rˈɛttmətˈiːg
rättmätiga	rˈɛttmətˈiːgˈa
rättning	rˈɛtnɪŋ
rättningar	rˈɛtnɪŋar
rättrogen	rˈɛktːrˈuːgən
rättrogen	rˈɛtruːjən
rättrogenhet	rˈɛttrˈuːgənhˈeːt
rättrogenheten	rˈɛttrˈuːgənhˌeːtən
rättroget	rˈɛttrˈuːgət
rättrogna	rˈɛttrˈuːgna
rättrådighet	rˈɛtrˈoːdɪghˌeːt
rättsakt	rˈɛtsˈɑːkt
rättsakten	rɛtsˈaktən
rättsakter	rˈɛtsaktˌeːr
rättsfall	rɛtːsfˈalˈl
rättsgrunden	rˈɛtsgrˈɵndən
rättsgrunder	rˈɛtsgrˈʉndər
rättshandlingsförmåga	rətshandlˈɪŋsfˈœrmˈoːga
rättshjälp	rˈɛtsjəlp
rättshjälpsanstalt	rˈɛtsjəlpsˌanstɑːlt
rättskaffens	rˈɛtskafəns
rättskrivning	rˈɛtskriːvnˌɪŋ
rättslig	rˈɛtslɪg
rättsliga	rˈɛtslɪga
rättsligt	rˈɛtslɪkt
rättslös	rˈɛtsløːs
rättslös	rˈɛtslˈœs
rättslöshet	rɛtːslˈøːshˌeːt
rättslöst	rˈɛtslˈœst
rättsmedel	rɛtsʲmʲeːdəl
rättsmedicin	rˌɛtsmədiːsˈiːn
rättsområde	rˈɛtsɔmrˈoːdə
rättsordning	rətsˈɔrdnɪŋ
rättsordning	rˈɛtːsˈɔrdˈning
rättspolitisk	rˈɛtːspolˈiːtˌiːsk
rättspsyk	rˈɛtspsˈyːk
rättsramar	rˈɛtsramˌar
rättssal	rˈɛtsal
rättsskydd	rˈɛtskyd
rättssäkra	rˈɛtssˈɛkra
rättstavningen	rˈɛtstˈavnɪŋən
rättstolk	rˈɛtstɔlk
rättstolk	rˈɛtstˈɔlk
rättstolkar	rˈɛtstˈuːlkar
rättsutredning	rˈɛtsˈˈʉtrˈeːdnɪŋ
rättsutvecklingen	rˈɛtsʉtvˌɛklɪŋən
rättsverkan	rˈɛtsvərkˌan
rättsvidriga	rˈɛtsvˈiːdrɪgˌa
rättsväsen	rˈɛtsvɛːsən
rättsystemet	rətˈsystəmət
rättsägarna	rˈɛtsˈɛːgarnˌa
rättsäkerhet	rˈɛtsˈɛkərhˈeːt
rättvis	rˈɛtviːs
rättvisa	rˈɛtviːsˌa
rättvisan	rˈɛtvˈiːsan
rättvisans	rˌɛtviːsˈans
rättvisaste	rˈɛtvˈiːsastə
rättvisemärkt	rˈɛtːvisəmˈɛrkt
rättviseorienterade	rˈɛtːvisəˈɔriːəntˈeːradə
rättvist	rˈɛtviːst
rättvänd	rˈɛtvˈɛnd
rättänkande	rˈɛttˈɛŋkandə
räv	rɒv
rävaktig	rˈɛvaktˈig
rävboan	rɛvɨbɨwan
rävgift	rˈɛvgˈift
rävgryt	rɛvgrˈit
rävgryten	rˈɛvgrˈyːtən
rävhund	rˈɛbhˈɵnd
rävhunden	rˈɛbːhˈɵndən
rävjakt	rˈɛvjˈakt
rävjakten	rˈɛvjˈaktən
rävjakter	rˈɛvjaktˌor
rävlyor	rˈɛvliˈuːr
rävpälsar	rɛvpɛlsaɾ
rävpälsen	rˈɛvpˈelsən
rävrompa	rɛɛvrɔmpa
rävsax	rˈɛvsaks
rävsax	rˈɛvsˈaks
rävsaxar	rˈɛvsˈaksˈar
rävsaxen	rˈɛvsˈaksən
rävskit	rəvskˈiːt
rävskitar	rɛvskˈiːtar
rävspel	rˈɛvspeːl
rävtik	rˈɛvtiːk
rävtikarna	rˈɛvtiːkarnˈɔ
rävvalp	rɛvvˈalp
rävvalpar	rɛvvˈalpar
rävvalpen	rɛvvˈalpən
rå	roa
rå	rˈoː
råa	ruːa
råbarkad	rˈoːbɑːrkˌad
råbarkade	rˈoːbˈarxadə
råbarkat	rˈoːbˈarˈkat
råbiff	rˈoːbɪf
råd	rˈoːd
råd	rˈoːt
råda	rˈoːda
rådande	rˈoːdandə
rådas	roːdas
rådata	ruːdata
rådbråkade	rˈoːtbrˈoːkadə
rådbråkar	rˈoːdbroːkˌar
rådbyrå	roːdbˈiːroː
rådde	rˈɔdə
råden	roːden
råder	rˈoːdər
rådet	rˈoːdət
rådets	roːdəts
rådfrågar	rˈoːdfroːgˌar
rådför	rˈuːdfˈøːr
rådförd	roːdfˈøːrd
rådförda	rˈɔdfˈøːrdˌa
rådförde	rˈuːdfˈœrdə
rådfört	roːdfˈøːrt
rådgivande	rˈoːdjiːvˌandə
rådgivare	rˈoːdjiːvˌarə
rådgivning	rˈoːdjɪvnˌɪŋ
rådgivningscentralen	rˈoːdjɪvnˌɪŋssəntrˌalən
rådgivningscentraler	rˈoːdjɪvnˌɪŋssəntrˌalər
rådhus	rˈoːdhʉs
rådhuset	rˈoːdhʉsət
rådhuset	rˈɔdhˈʉsət
rådhusparken	rˈoːdhʉspˈarkən
rådhusplatsen	rˈoːdhˈʉsplˌatsən
rådhusrätt	rˈoːdhɵsrˌɛt
rådhustorget	rˈoːdhʉstˈɔrjət
rådighet	rˈoːdɪghˌeːt
rådjur	roːjˈʉr
rådlade	rˈɔdladə
rådlagd	ruːdlagd
rådlagt	rˈoːdlˈakt
rådlägga	rˈoːdlˈɛgːa
rådlös	rˈuːdlˈøːs
rådman	rˈoːdman
rådmansgatan	rˈoːdmansgˌatan
rådslag	rˈoːdslɑːg
rådslagen	rˈɔdslagən
rådslaget	rˈuːdslˈɑːgət
rådslå	rˈoːdsloː
rådslå	rˈuːdsloː
rådslår	rˈoːdsloːr
rådslår	rˈuːdslˈoːr
rådvill	rˈoːdvɪl
rådvillhet	rˈoːdvɪlhˌeːt
råg	rɔg
råg	rˈoːg
rågad	roːgad
rågad	rˈoːgad
rågax	rˈoːgaks
råge	rˈoːjə
rågmjöl	rˈoːgmjøːl
råk	rˈoːk
råk	rˈɔk
råka	rˈoːka
råkade	rˈoːkadə
råkar	ruokkaːrˈ
råkar	rˈoːkar
råknull	rˈoːknˈʉl
råkost	rˈoːkɔst
råkurr	rˈoːkɵr
rålinje	ruːlˈiːnjə
råma	rˈoːma
råma	rˈoːmˈɑ
råmalm	ruːmalm
råmar	rˈoːmar
råmaterialet	rˈoːmatərˌiːalət
rån	roːn
rån	rˈoːn
råna	ruana
råna	rˈoːna
rånar	rˈoːnar
rånare	rˈoːnarə
rånaren	rˈonarˌɛn
rånarna	rˈoːnarˈna
rånen	roːnɛn
rånförsäkringarna	ruːnfˈœʂəkrˈɪŋarnˌa
råolja	rˈoːɔljˌa
råplugga	rˈoːplɵgˌa
råpluggar	rˈoːklˈɵggar
råpluggar	rˈoːplɵgˌar
råprov	roːpˈrovˈ
rår	ruɔr
rår	rˈoːr
råris	rˈoːriːs
rårna	rurna
rårörd	roːrˈœrd
råskinn	rˈoːsxɪn
råstång	rˈoːstˈuːŋ
råstången	rˈoːstˈuːŋən
råsunda	prˈoːsˈʉndˌa
råtta	rˈotːa
råtta	rˈɔtːa
råttan	rˈɔtːan
råttfärgade	rˈɔtːfˈɛrjadə
råttor	rˈɔtːuːr
råvara	rˈoːvarˌa
råvaran	rˈoːvɑːrˌan
råvaror	rˈoːvarˌuːr
råvaruinkomst	rˈoːvˈardˈʉɪnkˈɔmst
råvaruproduktion	rˌoːvarˌɵprɔdɵksxˈuːn
råvarutullar	rˈoːvarˌʉtɵlˌar
råväv	ruːvˈˈɛv
råvävar	ruːvˈɛːvɑːr
råväven	roːvˈeːvən
råämne	roːəmn
råämnen	ruːˈɛmnən
råämnet	roːɛmnət
rö	rˈʊɛ
röd	rad
röd	rˈøːd
röd	rˈɛd
röd-	rˈøːd
röda	røda
röda	rˈøːda
rödaktig	rˈœdˈaktig
rödast	rødast
rödbenan	røːdbˈeːnan
rödbergsfortet	rˈøːdbˈɛrjsfˈuːrtət
rödbeta	rˈøːdbˈɛta
rödbeta	rˈœdbətˌa
rödblond	rˈødblˈɔnd
rödblonda	rˈødblˈɔnˈdˈa
rödbokarna	røːdbˈuːkarna
rödbrokiga	rˈœdbrˈoːkˌɪga
rödbrokigt	rˈøːdbrˈˈɔkˈiːkt
rödbrunt	rˈøːdbrˈynt
rödgråten	rˈødgrˈoːtən
rödhakar	rˈødhˈˈakar
rödhake	rˈøːdhˌakˌa
röding	rˈøːdɪŋ
rödingar	rˈʉdɪŋar
rödingen	røːdɪŋn
rödkallen	rødkallən
rödkantad	rˈødkˈantad
rödkantat	rˈødkˈantat
rödklint	rˈʉdklˈɪnt
rödkål	brˈøːdkˈoːl
rödlätt	rˈœdlət
rödlöken	røːdløːkən
rödmålad	rødmˈoːlad
rödnäst	rˈudnɛst
rödockra	rˈøːdˈɔkːɾˈa
rödrandig	røːdrɑːndʲɪg
