a	a˧˥
lỏm	lɔm˧˩˨
lọm	lɔm˨ˀ˩ʔ
lông	loŋm˧˥
lồng	loŋm˦˨
lồng,	loŋm˦˨
lổng	loŋm˧˩˨
lộng	loŋm˨ˀ˩ʔ
long	lɔŋm˧˥
lóng	lɔŋm˩˧
lòng	lɔŋm˦˨
lòng,	lɔŋm˦˨
lõng	lɔŋm˧˩˨
lỏng	lɔŋm˧˩˨
lọng	lɔŋm˨ˀ˩ʔ
lơn	lɤŋ˧˥
lớn	lɤŋ˩˧
lờn	lɤŋ˦˨
lởn	lɤŋ˧˩˨
lợn	lɤŋ˨ˀ˩ʔ
lốn	loŋm˩˧
lồn	loŋm˦˨
lổn	loŋm˧˩˨
lộn	loŋm˨ˀ˩ʔ
lon	lɔŋm˧˥
lòn	lɔŋm˦˨
lỏn	lɔŋm˧˩˨
lọn	lɔŋm˨ˀ˩ʔ
loong	lɔŋm˧˥
lớp	lɤp˦˥
lợp	lɤp˨ˀ˩ʔ
lốp	lop˦˥
lộp	lop˨ˀ˩ʔ
lóp	lɔp˦˥
lọp	lɔp˨ˀ˩ʔ
lớt	lɤk˦˥
lợt	lɤk˨ˀ˩ʔ
lốt	lokp˦˥
lột	lokp˨ˀ˩ʔ
lột,	lokp˨ˀ˩ʔ
lót	lɔkp˦˥
lọt	lɔkp˨ˀ˩ʔ
lua	luə˧˥
lúa	luə˩˧
lủa	luə˧˩˨
lụa	luə˨ˀ˩ʔ
lụa,	luə˨ˀ˩ʔ
lưa	lɯə˧˥
lứa	lɯə˩˧
lừa	lɯə˦˨
lửa	lɯə˧˩˨
lửa,	lɯə˧˩˨
lựa	lɯə˨ˀ˩ʔ
luân	lwɤ̆ŋ˧˥
luấn	lwɤ̆ŋ˩˧
luẩn	lwɤ̆ŋ˧˩˨
luận	lwɤ̆ŋ˨ˀ˩ʔ
luật	lwɤ̆k˨ˀ˩ʔ
lúc	lukp˦˥
lục	lukp˨ˀ˩ʔ
lực	lɯk˨ˀ˩ʔ
lui	luj˧˥
lúi	luj˩˧
lùi	luj˦˨
lủi	luj˧˩˨
lụi	luj˨ˀ˩ʔ
lu	lu˧˥
lú	lu˩˧
lú,	lu˩˧
lù	lu˦˨
lũ	lu˧˩˨
lủ	lu˧˩˨
lụ	lu˨ˀ˩ʔ
lư	lɯ˧˥
lừ	lɯ˦˨
lữ	lɯ˧˩˨
lử	lɯ˧˩˨
lự;	lɯ˨ˀ˩ʔ
lum	lum˧˥
lúm	lum˩˧
lùm	lum˦˨
lũm	lum˧˩˨
lủm	lum˧˩˨
lụm	lum˨ˀ˩ʔ
lung	luŋm˧˥
lúng	luŋm˩˧
lùng	luŋm˦˨
lũng	luŋm˧˩˨
lủng	luŋm˧˩˨
lụng	luŋm˨ˀ˩ʔ
lưng	lɯŋ˧˥
lưng;	lɯŋ˧˥
lừng	lɯŋ˦˨
lững	lɯŋ˧˩˨
lửng	lɯŋ˧˩˨
lựng	lɯŋ˨ˀ˩ʔ
lún	luŋm˩˧
lùn	luŋm˦˨
lũn	luŋm˧˩˨
lủn	luŋm˧˩˨
lụn	luŋm˨ˀ˩ʔ
lược	lɯək˨ˀ˩ʔ
lưới	lɯəj˩˧
lưới,	lɯəj˩˧
lười	lɯəj˦˨
lười,	lɯəj˦˨
lưỡi	lɯəj˧˩˨
lưởi	lɯəj˧˩˨
luôm	luəm˧˥
luộm	luəm˨ˀ˩ʔ
lươm	lɯəm˧˥
lườm	lɯəm˦˨
lượm	lɯəm˨ˀ˩ʔ
luông	luəŋ˧˥
luống	luəŋ˩˧
luồng	luəŋ˦˨
lương	lɯəŋ˧˥
lướng	lɯəŋ˩˧
lường	lɯəŋ˦˨
lưỡng	lɯəŋ˧˩˨
lượng	lɯəŋ˨ˀ˩ʔ
luôn	luəŋ˧˥
luồn	luəŋ˦˨
lươn	lɯəŋ˧˥
lượn	lɯəŋ˨ˀ˩ʔ
lướp	lɯəp˦˥
luốt	luək˦˥
lướt	lɯək˦˥
lượt	lɯək˨ˀ˩ʔ
lướu	lɯəw˩˧
lúp	lup˦˥
lụp	lup˨ˀ˩ʔ
lút	lukp˦˥
lụt	lukp˨ˀ˩ʔ
lưu	lɯw˧˥
lựu	lɯw˨ˀ˩ʔ
lựu,	lɯw˨ˀ˩ʔ
luyên	lwiəŋ˧˥
luyến	lwiəŋ˩˧
luyện	lwiəŋ˨ˀ˩ʔ
lũy	luj˧˩˨
lũy,	luj˧˩˨
lụy	luj˨ˀ˩ʔ
luy	lwi˧˥
luỹ	lwi˧˩˨
luỵ	lwi˨ˀ˩ʔ
luýnh	lwin˩˧
ly	li˧˥
lý	li˩˧
lỵ	li˨ˀ˩ʔ
ma-cà-bông	ma˧˥-ka˦˨-boŋm˧˥
mách	mak˦˥
mạch	mak˨ˀ˩ʔ
mạch,	mak˨ˀ˩ʔ
mác	mak˦˥
mắc	măk˦˥
mạc	mak˨ˀ˩ʔ
mặc	măk˨ˀ˩ʔ
mạc-sê	mak˨ˀ˩ʔ-ʂe˧˥
mác-xít	mak˦˥-sit˦˥
mai	maj˧˥
mai,	maj˧˥
mái	maj˩˧
mài	maj˦˨
mãi	maj˧˩˨
mãi;	maj˧˩˨
mải	maj˧˩˨
mại	maj˨ˀ˩ʔ
mại,	maj˨ˀ˩ʔ
ma	ma˧˥
ma,	ma˧˥
má	ma˩˧
mà	ma˦˨
mã	ma˧˩˨
mả	ma˧˩˨
mả,	ma˧˩˨
mả;	ma˧˩˨
mạ	ma˨ˀ˩ʔ
mạ,	ma˨ˀ˩ʔ
măm	măm˧˥
mắm	măm˩˧
mẵm	măm˧˩˨
mâm	mɤ̆m˧˥
mâm,	mɤ̆m˧˥
mầm	mɤ̆m˦˨
mẫm	mɤ̆m˧˩˨
mẩm	mɤ̆m˧˩˨
mang	maŋ˧˥
mang,	maŋ˧˥
máng	maŋ˩˧
màng	maŋ˦˨
măng	măŋ˧˥
mắng	măŋ˩˧
mãng	maŋ˧˩˨
mảng	maŋ˧˩˨
mạng	maŋ˨ˀ˩ʔ
mâng	mɤ̆ŋ˧˥
manh	man˧˥
mánh	man˩˧
mành	man˦˨
mãnh	man˧˩˨
mảnh	man˧˩˨
mạnh	man˨ˀ˩ʔ
man	maŋ˧˥
mán	maŋ˩˧
màn	maŋ˦˨
măn	măŋ˧˥
mắn	măŋ˩˧
mằn	măŋ˦˨
mãn	maŋ˧˩˨
mạn	maŋ˨ˀ˩ʔ
mặn	măŋ˨ˀ˩ʔ
mân	mɤ̆ŋ˧˥
mấn	mɤ̆ŋ˩˧
mần	mɤ̆ŋ˦˨
mẫn	mɤ̆ŋ˧˩˨
mẩn	mɤ̆ŋ˧˩˨
mận	mɤ̆ŋ˨ˀ˩ʔ
mao	maw˧˥
mào	maw˦˨
mạo	maw˨ˀ˩ʔ
mấp	mɤ̆p˦˥
mập	mɤ̆p˨ˀ˩ʔ
mát	mak˦˥
mắt	măk˦˥
mắt,	măk˦˥
mạt	mak˨ˀ˩ʔ
mặt	măk˨ˀ˩ʔ
mặt,	măk˨ˀ˩ʔ
mất	mɤ̆k˦˥
mật	mɤ̆k˨ˀ˩ʔ
mau	măw˧˥
máu	măw˩˧
màu	măw˦˨
mâu	mɤ̆w˧˥
mấu	mɤ̆w˩˧
mầu	mɤ̆w˦˨
mẫu	mɤ̆w˧˩˨
mậu	mɤ̆w˨ˀ˩ʔ
may	măj˧˥
máy	măj˩˧
máy;	măj˩˧
mày	măj˦˨
mảy	măj˧˩˨
mạy	măj˨ˀ˩ʔ
mây	mɤ̆j˧˥
mấy	mɤ̆j˩˧
mầy	mɤ̆j˦˨
mẩy	mɤ̆j˧˩˨
mếch	met˦˥
mê	me˧˥
mề	me˦˨
mễ	me˧˩˨
me	mɛ˧˥
mè	mɛ˦˨
mẽ	mɛ˧˩˨
mẻ	mɛ˧˩˨
mẹ	mɛ˨ˀ˩ʔ
mềm	mem˦˨
mênh	men˧˥
mệnh	men˨ˀ˩ʔ
mên	men˧˥
mến	men˩˧
mền	men˦˨
men	mɛŋ˧˥
meo	meo˧˥
méo	meo˩˧
mèo	meo˦˨
mèo,	meo˦˨
mẹo	meo˨ˀ˩ʔ
mép	mɛp˦˥
mệt	met˨ˀ˩ʔ
mét	mɛk˦˥
mếu	mɛu˩˧
mía	miə˩˧
mỉa	miə˧˩˨
mích	mit˦˥
miếng	miəŋ˩˧
miệng	miəŋ˨ˀ˩ʔ
miên	miəŋ˧˥
miền	miəŋ˦˨
miễn	miəŋ˧˩˨
miệt	miək˨ˀ˩ʔ
miêu	miəw˧˥
miếu	miəw˩˧
miều	miəw˦˨
mi	mi˧˥
mì	mi˦˨
mĩ	mi˧˩˨
mỉ	mi˧˩˨
mị	mi˨ˀ˩ʔ
mim	mim˧˥
mỉm	mim˧˩˨
minh	min˧˥
mình	min˦˨
mình,	min˦˨
mìn	min˦˨
mịn	min˨ˀ˩ʔ
mít	mit˦˥
mít,	mit˦˥
mịt	mit˨ˀ˩ʔ
mỉu	miw˧˩˨
moay	mwăj˧˥
mô-bin	mo˧˥-bin˧˥
mốc	mokp˦˥
mộc	mokp˨ˀ˩ʔ
móc	mɔkp˦˥
mọc	mɔkp˨ˀ˩ʔ
mọc,	mɔkp˨ˀ˩ʔ
mới	mɤj˩˧
mới,	mɤj˩˧
mời	mɤj˦˨
mời,	mɤj˦˨
môi	moj˧˥
mối	moj˩˧
mồi	moj˦˨
mỗi	moj˧˩˨
moi	mɔj˧˥
mòi	mɔj˦˨
mỏi	mɔj˧˩˨
mọi	mɔj˨ˀ˩ʔ
mô-men	mo˧˥-mɛŋ˧˥
mơ	mɤ˧˥
mớ	mɤ˩˧
mờ	mɤ˦˨
mỡ	mɤ˧˩˨
mở	mɤ˧˩˨
mớm	mɤm˩˧
mồm	mom˦˨
móm	mɔm˩˧
mòm	mɔm˦˨
mõm	mɔm˧˩˨
mỏm	mɔm˧˩˨
mô	mo˧˥
mố	mo˩˧
mồ	mo˦˨
mổ	mo˧˩˨
mộ	mo˨ˀ˩ʔ
mo	mɔ˧˥
mó	mɔ˩˧
mò	mɔ˦˨
mõ	mɔ˧˩˨
mỏ	mɔ˧˩˨
mông	moŋm˧˥
mống	moŋm˩˧
mồng	moŋm˦˨
mộng	moŋm˨ˀ˩ʔ
mong	mɔŋm˧˥
móng	mɔŋm˩˧
mòng	mɔŋm˦˨
mỏng	mɔŋm˧˩˨
mọng	mɔŋm˨ˀ˩ʔ
mơn	mɤŋ˧˥
mớn	mɤŋ˩˧
mởn	mɤŋ˧˩˨
môn	moŋm˧˥
mồn	moŋm˦˨
mon	mɔŋm˧˥
món	mɔŋm˩˧
mòn	mɔŋm˦˨
moóc	mɔkp˦˥
móp	mɔp˦˥
mốt	mokp˦˥
mốt,	mokp˦˥
(một)	mokp˨ˀ˩ʔ
một	mokp˨ˀ˩ʔ
một,	mokp˨ˀ˩ʔ
mót	mɔkp˦˥
mọt	mɔkp˨ˀ˩ʔ
mô-tô	mo˧˥-to˧˥
mua	muə˧˥
múa	muə˩˧
mùa	muə˦˨
mưa	mɯə˧˥
mưa,	mɯə˧˥
mưa;	mɯə˧˥
mửa	mɯə˧˩˨
mục	mukp˨ˀ˩ʔ
mức	mɯk˦˥
mực	mɯk˨ˀ˩ʔ
mui	muj˧˥
múi	muj˩˧
mùi	muj˦˨
mũi	muj˧˩˨
mủi	muj˧˩˨
mum	mum˧˥
múm	mum˩˧
mũm	mum˧˩˨
mủm	mum˧˩˨
mú	mu˩˧
mù	mu˦˨
mũ	mu˧˩˨
mủ	mu˧˩˨
mụ	mu˨ˀ˩ʔ
mung	muŋm˧˥
mùng	muŋm˦˨
mủng	muŋm˧˩˨
mưng	mɯŋ˧˥
mừng	mɯŋ˦˨
mun	muŋm˧˥
mùn	muŋm˦˨
mụn	muŋm˨ˀ˩ʔ
mứn	mɯŋ˩˧
muối	muəj˩˧
muối,	muəj˩˧
muỗi	muəj˧˩˨
muội	muəj˨ˀ˩ʔ
mươi	mɯəj˧˥
mười	mɯəj˦˨
mười,	mɯəj˦˨
muồm	muəm˦˨
muông	muəŋ˧˥
muống	muəŋ˩˧
mương	mɯəŋ˧˥
mường	mɯəŋ˦˨
muôn	muəŋ˧˥
muốn	muəŋ˩˧
muộn	muəŋ˨ˀ˩ʔ
mươn	mɯəŋ˧˥
mướn	mɯəŋ˩˧
mườn	mɯəŋ˦˨
mượn	mɯəŋ˨ˀ˩ʔ
mướp	mɯəp˦˥
mướt	mɯək˦˥
mượt	mɯək˨ˀ˩ʔ
múp	mup˦˥
mút	mukp˦˥
mụt	mukp˨ˀ˩ʔ
mứt	mɯk˦˥
mưu	mɯw˧˥
mỹ	mi˧˩˨
nách	nak˦˥
nắc	năk˦˥
nạc	nak˨ˀ˩ʔ
nặc	năk˨ˀ˩ʔ
nấc	nɤ̆k˦˥
nai	naj˧˥
nái	naj˩˧
nái,	naj˩˧
nài	naj˦˨
nại	naj˨ˀ˩ʔ
nam-Đà	nam˧˥-da˦˨
nam-hạ	nam˧˥-ha˨ˀ˩ʔ
nam	nam˧˥
năm	năm˧˥
năm,	năm˧˥
nắm	năm˩˧
nằm	năm˦˨
nằm,	năm˦˨
nạm	nam˨ˀ˩ʔ
nấm	nɤ̆m˩˧
nầm	nɤ̆m˦˨
nam-sang	nam˧˥-ʂaŋ˧˥
na	na˧˥
ná	na˩˧
ná,	na˩˧
nà	na˦˨
nạ	na˨ˀ˩ʔ
nạ,	na˨ˀ˩ʔ
nang	naŋ˧˥
nàng	naŋ˦˨
năng	năŋ˧˥
nắng	năŋ˩˧
nắng,	năŋ˩˧
nằng	năŋ˦˨
nạng	naŋ˨ˀ˩ʔ
nặng	năŋ˨ˀ˩ʔ
nâng	nɤ̆ŋ˧˥
nẫng	nɤ̆ŋ˧˩˨
nanh	nan˧˥
nan	naŋ˧˥
nan,	naŋ˧˥
năn	năŋ˧˥
nắn	năŋ˩˧
nằn	năŋ˦˨
nản	naŋ˧˩˨
nạn	naŋ˨ˀ˩ʔ
nặn	năŋ˨ˀ˩ʔ
nân	nɤ̆ŋ˧˥
nấn	nɤ̆ŋ˩˧
nần	nɤ̆ŋ˦˨
nao	naw˧˥
náo	naw˩˧
nào	naw˦˨
nào,	naw˦˨
nào	naw˦˨
não	naw˧˩˨
nảo	naw˧˩˨
nạo	naw˨ˀ˩ʔ
náp	nap˦˥
nắp	năp˦˥
nạp	nap˨ˀ˩ʔ
nấp	nɤ̆p˦˥
nát	nak˦˥
nát,	nak˦˥
nạt	nak˨ˀ˩ʔ
náu	năw˩˧
nâu	nɤ̆w˧˥
nấu	nɤ̆w˩˧
nẫu	nɤ̆w˧˩˨
nay	năj˧˥
nay,	năj˧˥
này	năj˦˨
nãy	năj˧˩˨
nảy	năj˧˩˨
nây	nɤ̆j˧˥
nấy	nɤ̆j˩˧
nẩy	nɤ̆j˧˩˨
nêm	nem˧˥
nếm	nem˩˧
nệm	nem˨ˀ˩ʔ
nem	nɛm˧˥
ném	nɛm˩˧
nê	ne˧˥
nề	ne˦˨
nể	ne˧˩˨
nệ	ne˨ˀ˩ʔ
ne	nɛ˧˥
né	nɛ˩˧
nẻ	nɛ˧˩˨
nên	nen˧˥
nến	nen˩˧
nền	nen˦˨
nen	nɛŋ˧˥
nén	nɛŋ˩˧
neo	neo˧˥
néo	neo˩˧
nẻo	neo˧˩˨
nếp	nep˦˥
nẹp	nɛp˨ˀ˩ʔ
nết	net˦˥
nết,	net˦˥
nét	nɛk˦˥
nẹt	nɛk˨ˀ˩ʔ
nêu	nɛu˧˥
nếu	nɛu˩˧
ngạch	ŋak˨ˀ˩ʔ
ngác	ŋak˦˥
ngắc	ŋăk˦˥
ngạc	ŋak˨ˀ˩ʔ
ngấc	ŋɤ̆k˦˥
ngai	ŋaj˧˥
ngái	ŋaj˩˧
ngài	ŋaj˦˨
ngãi	ŋaj˧˩˨
ngãi,	ŋaj˧˩˨
ngải	ŋaj˧˩˨
ngại	ŋaj˨ˀ˩ʔ
ngam	ŋam˧˥
ngàm	ŋam˦˨
ngăm	ŋăm˧˥
ngắm	ŋăm˩˧
ngâm	ŋɤ̆m˧˥
ngấm	ŋɤ̆m˩˧
ngầm	ŋɤ̆m˦˨
ngẫm	ŋɤ̆m˧˩˨
ngẩm	ŋɤ̆m˧˩˨
ngậm	ŋɤ̆m˨ˀ˩ʔ
ngang	ŋaŋ˧˥
ngáng	ŋaŋ˩˧
ngẳng	ŋăŋ˧˩˨
ngãng	ŋaŋ˧˩˨
ngẩng	ŋɤ̆ŋ˧˩˨
ngành	ŋan˦˨
ngảnh	ŋan˧˩˨
ngan	ŋaŋ˧˥
ngán	ŋaŋ˩˧
ngàn	ŋaŋ˦˨
ngàn;	ŋaŋ˦˨
ngăn	ŋăŋ˧˥
ngắn	ŋăŋ˩˧
ngằn	ŋăŋ˦˨
ngạn	ŋaŋ˨ˀ˩ʔ
ngân	ŋɤ̆ŋ˧˥
ngấn	ŋɤ̆ŋ˩˧
ngần	ŋɤ̆ŋ˦˨
ngẩn	ŋɤ̆ŋ˧˩˨
ngận	ŋɤ̆ŋ˨ˀ˩ʔ
nga	ŋa˧˥
ngà	ŋa˦˨
ngà,	ŋa˦˨
ngã	ŋa˧˩˨
ngả	ŋa˧˩˨
ngao	ŋaw˧˥
ngáo	ŋaw˩˧
ngào	ŋaw˦˨
ngạo	ŋaw˨ˀ˩ʔ
ngáp	ŋap˦˥
ngấp	ŋɤ̆p˦˥
ngập	ŋɤ̆p˨ˀ˩ʔ
ngát	ŋak˦˥
ngắt	ŋăk˦˥
ngạt	ŋak˨ˀ˩ʔ
ngặt	ŋăk˨ˀ˩ʔ
ngất	ŋɤ̆k˦˥
ngật	ŋɤ̆k˨ˀ˩ʔ
ngau	ŋăw˧˥
ngàu	ŋăw˦˨
ngâu	ŋɤ̆w˧˥
ngấu	ŋɤ̆w˩˧
ngầu	ŋɤ̆w˦˨
ngẫu	ŋɤ̆w˧˩˨
ngậu	ŋɤ̆w˨ˀ˩ʔ
ngay	ŋăj˧˥
ngáy	ŋăj˩˧
(ngày)	ŋăj˦˨
ngày	ŋăj˦˨
ngày,	ŋăj˦˨
ngây	ŋɤ̆j˧˥
ngấy	ŋɤ̆j˩˧
ngầy	ŋɤ̆j˦˨
nghếch	ŋet˦˥
nghệch	ŋet˨ˀ˩ʔ
nghênh	ŋen˧˥
nghềnh	ŋen˦˨
nghễnh	ŋen˧˩˨
nghền	ŋen˦˨
nghển	ŋen˧˩˨
nghèn	ŋɛŋ˦˨
nghẽn	ŋɛŋ˧˩˨
nghẹn	ŋɛŋ˨ˀ˩ʔ
nghê	ŋe˧˥
nghề	ŋe˦˨
nghể	ŋe˧˩˨
nghệ	ŋe˨ˀ˩ʔ
nghe	ŋɛ˧˥
nghé	ŋɛ˩˧
nghè	ŋɛ˦˨
nghèo	ŋeo˦˨
nghệt	ŋet˨ˀ˩ʔ
nghẹt	ŋɛk˨ˀ˩ʔ
nghêu	ŋɛu˧˥
nghều	ŋɛu˦˨
nghễu	ŋɛu˧˩˨
nghĩa	ŋiə˧˩˨
nghĩa,	ŋiə˧˩˨
nghịch	ŋit˨ˀ˩ʔ
nghiêm	ŋiəm˧˥
nghiễm	ŋiəm˧˩˨
nghiệm	ŋiəm˨ˀ˩ʔ
nghiêng	ŋiəŋ˧˥
nghiên	ŋiəŋ˧˥
nghiến	ŋiəŋ˩˧
nghiền	ŋiəŋ˦˨
nghiện	ŋiəŋ˨ˀ˩ʔ
nghiệp	ŋiəp˨ˀ˩ʔ
nghiệt	ŋiək˨ˀ˩ʔ
nghiêu	ŋiəw˧˥
nghim	ŋim˧˥
nghinh	ŋin˧˥
nghìn	ŋin˦˨
nghi	ŋi˧˥
nghí	ŋi˩˧
nghì	ŋi˦˨
nghĩ	ŋi˧˩˨
nghỉ	ŋi˧˩˨
nghị	ŋi˨ˀ˩ʔ
nghỉu	ŋiw˧˩˨
ngoạch	ŋwak˨ˀ˩ʔ
ngoắc	ŋwăk˦˥
ngoặc	ŋwăk˨ˀ˩ʔ
ngoai	ŋwaj˧˥
ngoái	ŋwaj˩˧
ngoài	ŋwaj˦˨
ngoài,	ŋwaj˦˨
ngoại	ŋwaj˨ˀ˩ʔ
ngoam	ŋwam˧˥
ngoang	ŋwaŋ˧˥
ngoằng	ŋwăŋ˦˨
ngoảnh	ŋwan˧˩˨
ngoan	ŋwaŋ˧˥
ngoan,	ŋwaŋ˧˥
ngoăn	ŋwăŋ˧˥
ngoằn	ŋwăŋ˦˨
ngoạn	ŋwaŋ˨ˀ˩ʔ
ngoa	ŋwa˧˥
ngoã	ŋwa˧˩˨
ngoạ	ŋwa˨ˀ˩ʔ
ngoao	ŋwaw˧˥
ngoáo	ŋwaw˩˧
ngoắt	ŋwăk˦˥
ngoặt	ŋwăk˨ˀ˩ʔ
ngoay	ŋwăj˧˥
ngốc	ŋokp˦˥
ngộc	ŋokp˨ˀ˩ʔ
ngóc	ŋɔkp˦˥
ngọc	ŋɔkp˨ˀ˩ʔ
ngọc,	ŋɔkp˨ˀ˩ʔ
ngoem	ŋwem˧˥
ngoen	ŋwen˧˥
ngoe	ŋwe˧˥
ngoeo	ŋwew˧˥
ngoéo	ŋwew˩˧
ngoèo	ŋwew˦˨
ngoẻo	ŋwew˧˩˨
ngóeo	ŋwew˩˧
ngơi	ŋɤj˧˥
ngời	ŋɤj˦˨
ngợi	ŋɤj˨ˀ˩ʔ
ngôi	ŋoj˧˥
ngồi	ŋoj˦˨
ngoi	ŋɔj˧˥
ngói	ŋɔj˩˧
ngòi	ŋɔj˦˨
ngơm	ŋɤm˧˥
ngờm	ŋɤm˦˨
ngợm	ŋɤm˨ˀ˩ʔ
ngồm	ŋom˦˨
ngổm	ŋom˧˩˨
ngòm	ŋɔm˦˨
ngỏm	ŋɔm˧˩˨
ngông	ŋoŋm˧˥
ngồng	ŋoŋm˦˨
ngỗng	ŋoŋm˧˩˨
ngổng	ŋoŋm˧˩˨
ngong	ŋɔŋm˧˥
ngóng	ŋɔŋm˩˧
ngòng	ŋɔŋm˦˨
ngỏng	ŋɔŋm˧˩˨
ngỏng,	ŋɔŋm˧˩˨
ngọng	ŋɔŋm˨ˀ˩ʔ
ngơn	ŋɤŋ˧˥
ngôn	ŋoŋm˧˥
ngốn	ŋoŋm˩˧
ngồn	ŋoŋm˦˨
ngổn	ŋoŋm˧˩˨
ngon	ŋɔŋm˧˥
ngon,	ŋɔŋm˧˥
ngón	ŋɔŋm˩˧
ngòn	ŋɔŋm˦˨
ngỏn	ŋɔŋm˧˩˨
ngọn	ŋɔŋm˨ˀ˩ʔ
ngơ	ŋɤ˧˥
ngớ	ŋɤ˩˧
ngờ	ŋɤ˦˨
ngỡ	ŋɤ˧˩˨
ngô	ŋo˧˥
ngồ	ŋo˦˨
ngỗ	ŋo˧˩˨
ngổ	ŋo˧˩˨
ngộ	ŋo˨ˀ˩ʔ
ngo	ŋɔ˧˥
ngó	ŋɔ˩˧
ngò	ŋɔ˦˨
ngõ	ŋɔ˧˩˨
ngỏ	ŋɔ˧˩˨
ngọ	ŋɔ˨ˀ˩ʔ
ngợp	ŋɤp˨ˀ˩ʔ
ngớt	ŋɤk˦˥
ngốt	ŋokp˦˥
ngột	ŋokp˨ˀ˩ʔ
ngót	ŋɔkp˦˥
ngọt	ŋɔkp˨ˀ˩ʔ
ngọt,	ŋɔkp˨ˀ˩ʔ
ngưa	ŋɯə˧˥
ngứa	ŋɯə˩˧
ngửa	ŋɯə˧˩˨
ngựa	ŋɯə˨ˀ˩ʔ
nguây	ŋwɤ̆j˧˥
nguầy	ŋwɤ̆j˦˨
nguẩy	ŋwɤ̆j˧˩˨
ngúc	ŋukp˦˥
ngục	ŋukp˨ˀ˩ʔ
ngực	ŋɯk˨ˀ˩ʔ
nguếch	ŋwet˦˥
nguệch	ŋwet˨ˀ˩ʔ
ngùi	ŋuj˦˨
ngửi	ŋɯj˧˩˨
ngúng	ŋuŋm˩˧
ngũng	ŋuŋm˧˩˨
ngủng	ŋuŋm˧˩˨
ngưng	ŋɯŋ˧˥
ngừng	ŋɯŋ˦˨
ngửng	ŋɯŋ˧˩˨
ngun	ŋuŋm˧˥
ngùn	ŋuŋm˦˨
ngũn	ŋuŋm˧˩˨
ngủn	ŋuŋm˧˩˨
ngu	ŋu˧˥
ngú	ŋu˩˧
ngù	ŋu˦˨
ngũ	ŋu˧˩˨
ngủ	ŋu˧˩˨
ngụ	ŋu˨ˀ˩ʔ
ngư	ŋɯ˧˥
ngữ	ŋɯ˧˩˨
ngự	ŋɯ˨ˀ˩ʔ
ngước	ŋɯək˦˥
ngược	ŋɯək˨ˀ˩ʔ
nguôi	ŋuəj˧˥
nguồi	ŋuəj˦˨
nguội	ŋuəj˨ˀ˩ʔ
nguội,	ŋuəj˨ˀ˩ʔ
ngươi	ŋɯəj˧˥
người	ŋɯəj˦˨
người,	ŋɯəj˦˨
ngường	ŋɯəŋ˦˨
ngưỡng	ŋɯəŋ˧˩˨
ngượng	ŋɯəŋ˨ˀ˩ʔ
nguồn	ŋuəŋ˦˨
ngườ	ŋɯə˦˨
ngụp	ŋup˨ˀ˩ʔ
ngút	ŋukp˦˥
ngưu	ŋɯw˧˥
ngưu,	ŋɯw˧˥
nguých	ŋwit˦˥
nguyên	ŋwiəŋ˧˥
nguyền	ŋwiəŋ˦˨
nguyện	ŋwiəŋ˨ˀ˩ʔ
nguyệt	ŋwiək˨ˀ˩ʔ
ngụy	ŋuj˨ˀ˩ʔ
nguy	ŋwi˧˥
nguỵ	ŋwi˨ˀ˩ʔ
nguýt	ŋwit˦˥
nhác	ɲak˦˥
nhắc	ɲăk˦˥
nhạc	ɲak˨ˀ˩ʔ
nhấc	ɲɤ̆k˦˥
nhai	ɲaj˧˥
nhai,	ɲaj˧˥
nhai;	ɲaj˧˥
nhái	ɲaj˩˧
nhái,	ɲaj˩˧
nhài	ɲaj˦˨
nhãi	ɲaj˧˩˨
nham	ɲam˧˥
nhám	ɲam˩˧
nhàm	ɲam˦˨
nhăm	ɲăm˧˥
nhắm	ɲăm˩˧
nhằm	ɲăm˦˨
nhảm	ɲam˧˩˨
nhặm	ɲăm˨ˀ˩ʔ
nhâm	ɲɤ̆m˧˥
nhấm	ɲɤ̆m˩˧
nhầm	ɲɤ̆m˦˨
nhậm	ɲɤ̆m˨ˀ˩ʔ
nhậm,	ɲɤ̆m˨ˀ˩ʔ
nhang	ɲaŋ˧˥
nhàng	ɲaŋ˦˨
nhăng	ɲăŋ˧˥
nhắng	ɲăŋ˩˧
nhằng	ɲăŋ˦˨
nhẳng	ɲăŋ˧˩˨
nhãng	ɲaŋ˧˩˨
nhặng	ɲăŋ˨ˀ˩ʔ
nhâng	ɲɤ̆ŋ˧˥
nhanh	ɲan˧˥
nhan	ɲaŋ˧˥
nhàn	ɲaŋ˦˨
nhăn	ɲăŋ˧˥
nhắn	ɲăŋ˩˧
nhẵn	ɲăŋ˧˩˨
nhẳn	ɲăŋ˧˩˨
nhãn	ɲaŋ˧˩˨
nhạn	ɲaŋ˨ˀ˩ʔ
nhân	ɲɤ̆ŋ˧˥
nhân,	ɲɤ̆ŋ˧˥
nhấn	ɲɤ̆ŋ˩˧
nhần	ɲɤ̆ŋ˦˨
nhẫn	ɲɤ̆ŋ˧˩˨
nhẩn	ɲɤ̆ŋ˧˩˨
nhận	ɲɤ̆ŋ˨ˀ˩ʔ
nha	ɲa˧˥
nhá	ɲa˩˧
nhà	ɲa˦˨
nhà,	ɲa˦˨
nhã	ɲa˧˩˨
nhả	ɲa˧˩˨
nhao	ɲaw˧˥
nháo	ɲaw˩˧
nhào	ɲaw˦˨
nhão	ɲaw˧˩˨
nhạo	ɲaw˨ˀ˩ʔ
nhắp	ɲăp˦˥
