абажур	abaʒur
алуыңда	ɑɫʊɯŋdɑ
алуыңыз	ɑɫʊɯŋɯz
алшы	ɑɫˈʃɯ
алыған	ɑɫɯˈʁɑn
алынған	ɑɫɯŋˈɣɑn
алынды	ɑɫɯndɯ
алыңдар	ɑɫɯŋdɑr
алыңыз	ɑɫɯŋɯz
алыңызшы	ɑɫɯŋɯʃɯ
алып	ɑɫɯp
алыпсың	ɑlɯpˈsɯŋ
алыпты	ɑɫɯptɯ
алыс	ɑɫɯs
амал	ɑmɑɫ
амалы	ɑmɑˈɫɯ
амалым	ɑmɑˈɫɯm
амалын	ɑmɑˈlɯn
аман	ɑmɑn
амансыз	ɑmɑnsɯz
амансызба	ɑmɑnsɯzbɑ
аманыз	ɑmɑnɯz
аманымда	ɑmɑnɯmˈdɑ
американдық	ɑmʲɪkɑnɯtɯk
амин	ɑmɪn
аминге	amiŋe
аминнің	ɑmɪnˈnʲeɪ
ана	ɑnɑ
анализ	ɑnɑˈlʏs
анам	ɑnɑm
анаң	ɑnɑŋ
анаңды	ɑnɑŋdɯ
анасымысыз	ɑnɑsɯmɯsɯz
анасын	ɑnɑˈsɯn
анасынан	ɑnɑsɯnɑn
анау	ɑnɑw
англиядағы	æŋglijɑɣɑɣɑ
анда	ɑnˈdɑ
андағы	ɑnˈdɑxɯ
анжелла	ɑnʒɪlˈlɑ
ансплантанты	ɑnspɫɑntɑntɯ
ант	ɑnt
анты	ɑnˈtɯ
антым	ɑntɯm
анық	ɑnɯq
анықтайсың	ɑnɯqtɑjsɯŋ
анықталған	ɑnɯqtɑɫˈɣɑn
анықтама	ɑnʏqˈtɑmɑ
анықтамалар	ɑnʏqˈtɑmɑˌɫɑr
анықтамаларыңды	ɑnɯqtɑmɑɫɯɾɯŋdɯ
анықтап	ɑnʏqˈtɑp
аңға	ɑŋˈɣɑ
аңшылауға	ɑŋʃɯɫɑwɑ
аңшылауғы	ɑŋʃɯɫɑwɯ
ап	ɑp
апа	ɑpɑ
апам	ɑpɑm
апамды	ɑpɑmdɯ
апаңды	ɑpɑŋdɯ
апар	ɑpɑr
апарамыз	ɑpɑrɑmɯz
апарамын	ɑpɑrɑmɯn
апарасың	ɑpɑrɑsɯŋ
апарсын	ɑpɑrsɯn
апару	ɑpɑrʊ
апаруға	ɑpɑɾʊʁɑ
апарып	ɑpɑrɯp
апасын	ɑpɑˈsɯn
апта	ɑpˈtɑ
аптада	ɑptɑdɑ
ара	ɑrɑ
арабтар	ɑrɑβtɑr
аравияда	ɑrɑviʲɑdɑ
арада	ɑrɑdɑ
араласпай	ɑrɑlɑspɑj
араластырмаңыз	ɑrɑɫɑstɯrmɑŋɯz
аралығында	ɑrɑɫɯʁɯnˈdɑ
аралық	ɑrɑɫɯq
арамтамақтар	ɑrɑmtɑmɑqˈtɑr
арамызда	ɑrɑmɯsˈdɑ
арасынада	ɑrɑsɯnɑdɑ
арасынан	ɑrɑsɯˈnɑn
аргентина	ɑrgʲɪntʰɪnɑ
арзан	ɑrˈzɑn
арқан	ɑrˈqɑn
арқанды	ɑrqɑnˈdɯ
арқасында	ɑrqɑsɯnˈdɑ
арқылы	ɑrqɯˈlə
армандап	ɑrmɑndɑp
армандар	ɑrmɑndɑr
арнайы	ɑrnɑjɯ
арналады	ɑrnɑˈɫɯdɯ
арналған	ɑrnɑɫˈʁɑn
артқа	ɑrtqɑ
артқы	ɑrtqɯ
артта	ɑrtˈtɑ
артық	ɑrˈtɯq
артымда	ɑrtɯmˈdɑ
артымнан	ɑrtɯmˈnɑn
артымыздан	ɑrtɯmɯzdɑn
артын	ɑrˈtɯn
артыңа	ɑrtəŋɑ
артыңда	ɑrɯtɯŋdɑ
архитектор	ɑrçɪtɛktɘr
ары	ɑrɯ
арылу	ɑrɯˈɫʊ
ас	ɑs
аса	ɑˈsɑ
асады	ɑsɑdɯ
асқа	ɑsˈqɑ
аспиринді	ɑspiɾinˈdi
астам	ɑstɑm
асты	ɑstɯ
астына	ɑstɯnɑ
астында	ɑstɯndɑ
астың	ɑstɯŋ
асығуым	ɑsɯɣʊm
асығыспын	ɑsɯɣɯsɯpɯn
асықпаңдар	ɑsɯqpɑŋdɑr
асылмашы	ɑsɯlmɑʃɯ
ата	ɑtɑ
атаға	ɑtɑɣɑ
атадан	ɑtɑdɑn
атайды	ɑtɑjˈdɯ
атайтын	ɑtɑjˈtɯn
атайтынын	ɑtɑjtɯnɯn
атаққа	ɑtɑqˈqɑ
аталатын	ɑtɑɫɑtɯn
аталғанын	ɑtɑɫɣɑˈnɯn
атамын	ɑtɑmɯn
атанды	ɑtɑndɯ
атап	ɑtɑp
атасымын	ɑtɑsɯˈmɯn
атқарады	ɑtqɑrɑdɯ
аттас	ɑtːɑs
аттракцион	ɑtːrɑkˈsɪɔn
атттарыңды	ɑtːtɑrɯŋdɯ
атты	ɑtːɯ
аты	ɑtɯ
атым	ɑtɯm
атымды	ɑtɯmˈdɯ
атымыз	ɑtɯmɯz
атың	ɑˈtɯŋ
атып	ɑtɯp
ауа	ɑwɑ
аударған	ɑwdɑrˈʁɑn
аударуда	ɑwdɑɾʊdɑ
аузын	ɑwˈzɯn
аузың	ɑwˈzɯŋ
аузыңды	ɑwzɯŋdɯ
аулайды	ɑwɫɑjˈdɯ
аумайсың	ɑwˈmɑjsɯŋ
ауру	ɑwˈɾʊ
ауруды	ɑwɯɾɯ
аурумен	ɑwɾumen
аурухалар	ɑwɾuhɑɫɑɾ
аурухана	ɑwɾʊχɑnɑ
ауруханаға	ɑwɾʊχɑnɑɣɑ
ауруханада	ɑwɾʊχɑnɑdɑ
ауруханасы	ɑwɾuhɑnɑsɯ
ауруханасына	ɑwɾuhɑnɑsɯnɑ
ауруы	ɑwɾʊw
ауруымен	ɑwɾʉjˈmʲɪn
ауруына	ɑwɾyˈjɑ
ауруының	ɑwɾʊwˈnɯŋ
ауф	ɑwf
ауыз	ɑwɯz
ауыл	ɑwɯɫ
ауылға	ɑwɯɫə
ауылдағы	ɑwɯɫdɑɣɯ
ауылымда	ɑwɯləmdɑ
ауыр	ɑwɯr
ауырады	ɑwɯˈrɑdɯ
ауырам	ɑwɯˈrɑm
ауырасың	ɑwɯrɑsɯŋ
ауырды	ɑwɯɾdɯ
ауырттың	ɑwɯrtɯtɯŋ
ауыру	ɑwɯˈru
ауыруы	ɑwɯɾʊwɯ
ауыруына	ɑwɯɾɯjˈnɑ
ауыруың	ɑwɯɾʊɯŋ
ауырып	ɑwɯˈrɯp
ауысамыз	ɑwɯsɑmɯz
ауыстыру	ɑwɯstɯɾʊ
ауыстыруға	ɑwɯstɯɾʊʁɑ
ауытқушылықтардың	ɑwɯtqʊʃɯɫɯqtaɾɯŋ
африка	ɑfɾɪkɑ
африкаға	ɑfɾɯkɑɣɑ
африкада	ɑfɾɪkɑdɑ
африкан	ɑfɾɪˈkɑn
африкандықтар	ɑfɾɪkɑndɯqtɑɾ
аха	ɑˈχɑ
ацепромазин	ɑtsɪprɑmɑzɪn
аш	ɑʃ
ашайық	ɑʃɑjɯq
ашқан	ɑʃqɑn
ашпын	ɑʃˈpɯn
аштық	ɑʃˈtɯq
аштым	ɑʃˈtɯm
ашығып	ɑʃɯɣɯp
ашық	ɑʃɯq
ашына	ɑʃɯˈnɑ
ашыңдар	ɑʃɯŋdɑr
ашыңыз	ɑʃɯŋɯz
ащы	ɑɕɯ
аяқ	ɑjɑq
аяққа	ɑjɑqˈqɑ
аяқта	ɑjɑqˈtɑ
аяқтарыңның	ɑjɑqtaɾɯŋŋɯ
аялдама	ɑjɑɫdɑmɑ
аялдаманы	ɑjɑldɑˈmɑnɯ
аялдамасына	ɑjɑɫdɑmɯsɯ
аямайды	ɑjɑmajˈdɯ
аян	ɑjɑn
аянышты	ɑjɑnɯʃtɯ
аяудың	ɑjɑwdɯŋ
әбден	æbˈdɛn
әбігерленіп	æβiɣæɾlæniːp
әдайым	ædɑjɯm
әдейі	ædɪji
әдемі	ædemi
әдемісің	ædæmiˈsiŋ
әдепсіздік	ædepsɪzˈdɪk
әдетте	ædɛt̪t̪e
әдеттегі	ædɛttɛɣi
әділ	æˈdɪl
әділдік	æˈdɪɫdɪk
әділдікке	ædɪldɪkke
әелдеріңе	æjldæɾɪŋæ
әже	ɑˈʒe
әжей	æˈʒej
әжептеуір	æʒɪptɘwɪr
әзілдеп	æziɫdep
әзір	æziːr
әзірше	æziɾʃe
әй	æj
әйгілі	æjɣɯˈli
әйел	æjɪl
әйелдер	æjɪlˈdɛr
әйелдерімен	æjɪlˈdærimɪn
әйелдеріммен	æjɪlˈdærimˈmen
әйелді	æjɪldɪ
әйелдің	æjɪlˈdɪŋ
әйелі	æjɪˈlɪ
әйелім	æjɪˈlɪm
әйеліне	æjɪlɪnæ
әйелмен	æjælˈmen
әйнек	æjˈnɛk
әйтеуір	æjtɘwɘr
әйтпесе	æjtpʲesɪ
әке	ækʲe
әкей	ækʲej
әкейге	ækʲejge
әкейдің	ækʲejˈdiŋ
әкеймен	ækʲejmen
әкел	ækæl
әкелген	ækæɫgen
әкелгені	ækælgæni
әкелді	ækældɪ
әкелдім	ækældɪm
әкелдіңдер	ækældɪŋdɪr
әкеле	ækælæ
әкеледі	ækɪlædi
әкелемін	ækælæmiːn
әкеліңдер	ækæˈlʲɪŋdɪr
әкем	ækæm
әкеммен	ækæmmen
әкең	ækeŋ
әкеңмен	ækæŋˈmen
әкеңнің	ækæŋˈnʉ
әкеп	ækɪp
әкесі	ækɪsɪ
әкесімен	ækesiˈmen
әкімшілігі	ækɪmʃɪlɪʁɪ
әкімшілікке	ækɪmʃɪlɪkˈkʲe
әкімшілікпен	ækɪmʃɪlɪkˈpɛn
әктастар	æktɑstɑr
әлгі	ælgi
әлде	ældɘ
әлдеқандай	ældʑɑnˈdɑj
әлем	æˈlæm
әлемге	ælʲemˈge
әлемдік	ælæmdɪk
әлемі	ælemi
әлеміне	ælemine
әлемнің	ælɪmˈnʲɪŋ
әлі	æli
әліде	ælide
әлсіз	ælˈsiʃ
әлсіретеді	ælsiretedi
әмиәні	æmʏæˈni
әміршісі	æmɪrʃɪsɪ
ән	æ̃
әне	æne
әңгіме	æŋgɪmɛ
әңгімелерді	æŋgɪmɛlɪɾdɪ
әңгімеміз	æŋgɪmɪˈmɪz
әңгіменің	æŋgimeˈniŋ
әпкем	æpˈkæm
әпкемнің	æpkʲemˈnʲi
әпкесіне	æpkesine
әпкесінен	æpkɘsiˈnɘn
әр	æɾ
әрбіреуі	æɾbɪrɪwɪ
әрекет	æɾekjet
әрекетін	æɾeketʰin
әрең	æɾeŋ
әрине	ærine
әрі	æri
әріптесі	æriptɘsi
әріптестерімізбен	æriptesterimizβen
әрқашан	ɑrqɑʃɑn
әртүрлі	ɑrtʏrˈli
әсер	æsɘr
әсері	æsɪɾi
әсерін	æsæɾin
әсіресе	æsiɾese
әскер	æskɪr
әскері	æskæri
әскерім	æskɪˈrɪm
әскерінен	æskɪrɪnɪn
әскерлер	æskɪrˈlɪr
әскерлердің	æskɪrleɾɪŋ
әскерлерім	æskɪrleɾɪm
әскерлерімді	æskɪrleɾɪmˈdi
әуе	æwjɪ
әуежайға	æwjæjɑɣɑ
әулет	æʊˈlɛt
әулетін	æʊlɪtɪn
әулие	æwˈlie
әшейін	æʃejin
ба	ɑ
баға	baˈɣa
бағаламаппын	baɣɑlɑmɑpɯn
бағалы	baɣɑɫɯ
бағана	baɣɑnɑ
бағындыру	baɣɯndɯrʊ
бағыңды	baˈɣɯŋdɯ
бағыт	baɣɯt
бадди	badi
базарлық	bazɑrˈɫɯq
байғұс	baɯˈʁʊs
байқамай	baɯqɑmɑj
байқамаппын	baɯqɑmɑpˈpɯn
байқап	baɯˈqɑp
байқаусызда	baɯqɑwsɯzˈdɑ
байладым	baɯɫɯˈdɯm
байланыс	baɯlɑnɯs
байланысты	baɪlaˈnɯstɯ
байланыстырасыз	baɯɫɑnɯstɯɾɑsɯz
байлауышты	baɪɫɑwɯʃˈtɯ
байлығын	baɯɫɯjɯqɯn
байлық	baɪˈɫɯq
бактерия	ˈbɑktɪrʲɪjə
бактериялар	ˌbɑktʲerʲiˈjɑɫɑr
бақалардың	baqɑɫɯɾɯŋ
бақсыға	baqsɯʁɑ
бақырайтып	baqɯraɯˈtɯp
бақытты	baqɯtˈtɯ
бақыттымын	baqɯtːɯmɯn
бала	baɫɑ
балаға	baɫɑʁɑ
баладан	baɫɑˈdɑn
балақай	balaqaɪ
балақайлар	baɫɑqɑjˈlɑr
балалар	baɫɑɫɑr
балаларға	baɫɑɫɑrɣɑ
балаларына	baɫɑɫɑɾɯˈnɑ
балам	baˈɫɑm
балама	baɫɑmɑ
баламды	baɫɑmdɯ
баламен	baɫɑˈmɛn
баланы	baˈlɑnɯ
баланының	baɫɑnɯˈnɯ
баланың	balaˈnɯŋ
балаң	baˈɫɑŋ
балаңыз	baɫɑˈnɯz
балаңызда	baɫɑŋɯzˈdɑ
балапаным	baɫɑpɑˈnɯm
баласы	baɫɑsɯ
баласың	baɫɑˈsɯŋ
балшық	baɫˈʃɯq
банк	baŋk
банкрот	baŋkroːt
бар	baɾ
бара	bara
барады	baraːdɯ
барайықшы	baɾajɯqʃɯ
барайын	baɾajˈjɪn
барам	baˈram
барамыз	baɾamɯz
барамын	baramɯn
барар	baɾɑr
барасың	baɾasɯŋ
барасыңдар	baɾasɯŋˈdɑr
баратын	baratɯn
барған	baɾˈʁɑn
барғанды	baɾˈʁɑnˈdɯ
барғаным	baɾʁɑnɯm
барғың	baɾɣɯŋ
барда	baɾˈda
барды	baɾˈdɯ
бардың	baɾˈdɯŋ
барлап	baɾˈlɑp
барлығы	baɾɫəˈjɯ
барлығын	baɾɫəˈʁɯn
барлығың	baɾɫəjəŋ
барлығыңа	baɾɫəɣəˈnə
барлық	baɾˈɫɯq
барлықтарыңыз	baɾɯqtaɾɯŋɯz
барма	baɾˈmɑ
бармағаның	baɾmaɣaˈnɯŋ
бармағыңызды	baɾmɑɣɯŋɯzdɯ
бармадың	baɾmɑˈðɯŋ
бармайды	baɾmaɪˈdɯ
бармаймын	baɾmaɯmɯn
бармайсың	baɾmajsɯŋ
барсін	baɾˈsɪn
барсын	baɾˈsɯn
барсың	baɾˈsɯŋ
бару	baru
баруға	baruɣa
баруыма	baɾujma
баруыңыз	barujɯŋ̊
баршы	baɾˈʃɯ
барын	baˈrɯn
барыңдар	baɾəŋdɑr
барып	baɾɯp
бас	ˈbɑs
басқа	ˈbɑsqɑ
басқалар	baʃqɑˈɫɑr
басқалары	baʃqɑlɑˈrɯ
басқаларын	baʃqɑɫɑˈrɯn
басқармақшы	baʃqɑrmɑqʃɯ
басқармасы	baʃqɑrmɑsɯ
басқару	baʃqɑrʊ
басқарып	baʃqɑˈrɯp
басқасына	baʃqɑˈsɯnɑ
басқаша	baʃqɑʃɑ
баспасөзі	ˈbɑspɑsøˈzɪ
бассаңдар	ˈbɑsːɑɴdɑr
бассейн	ˈbɑsːɪn
бассейнге	ˈbɑsːejŋe
бассейні	ˈbɑsːejni
бассейнінде	ˈbɑsːejniːnˈde
бастағанда	ˈbɑstɑʁɑnˈdɑ
бастады	ˈbɑstɑdɯ
бастадың	ˈbɑstɑˈdɯŋ
бастадыңдар	ˈbɑstɑjɯŋdɑr
бастайды	ˈbɑstɑjˈdɯ
бастаймыз	ˈbɑstɑjmɯz
басталған	baˈstaɫqɑn
басталсын	baˈtɑɫsɯn
бастап	baˈstɑp
бастау	ˈbɑstɑw
бастауға	ˈbɑstɑwɑ
басты	ˈbɑstɯ
бастықпен	ˈbɑstɯqpɛn
бастықты	ˈbɑstɯqtɯ
бастысы	ˈbɑstɯsɯ
басшыңыз	ˈbɑsʃɯŋɯz
басшысының	baʃˈʃɯnɯŋɯ
басы	ˈbɑsɯ
басым	baˈsɯm
басымды	basɯmˈdɯ
басын	baˈsɯn
басына	baˈsɯnə
басынан	basɯnan
басында	baˈsɯnˈdɑ
басып	baˈsɯp
батарея	batɛˈrijə
батпақ	batpaq
баттың	ˈbɑtːɯŋ
батыл	baˈtɯɫ
батып	baˈtɯp
батыс	baˈtɯs
бауыр	baʊɯr
бауырын	baʊɯˈrɯn
бауырыңа	baʊɯˈrɯŋa
баяғыда	bajɑɣɯda
бәз	βæz
бәлесің	be̞lesiŋ
бәліш	beˈlɪʃ
бәлішті	be̞lɪʃtɪ
бәр	ber
бәрі	βæri
бәрібір	βæɾiˈbiɾ
бәріміз	βæɾɪˈmɪz
бәрін	berin
бәріне	beɾine
бәрінен	beriˈnɪn
бәрің	βæɾɪŋ
бәріңе	βæɾɪŋ
ббарлығы	ββɑrɫɯɣɯ
бе	be
беделіңе	bedelɪŋe
безгек	be̞sˈgek
безгің	be̞zgɯ̞ŋ
бейбақ	bejˈbɑq
бейнемізді	bejnenimɪzdɪ
бейнеттенем	bejnettenem
бейшара	bejʃɑrɑ
бекер	beˈkɘr
бел	βɘɫ
белгіленген	beɫɣileŋe
белгілі	beɫɣɯˈli
белгісіз	beɫɣɯˈsɯz
беліңді	beˈlɪŋdɪ
беллфлауэр	βɘɫfɫɑwɘr
бен	ben
бензин	benˈzɪn
бер	ber
бергем	beɾˈgem
берген	beɾˈgen
бергенді	beɾgenˈdɯ
бергенің	be̞ɾge̞ˈniŋ
бергеніңізді	be̞ɾge̞niŋɨzˈdɨ
бергенсіз	beɾge̞nsɯ
бергенсің	beɾge̞nsɪ̞ŋ
бергім	beɾgɪm
берді	berˈdi
бердің	beriŋ
бере	beˈre
береді	beredi
берейін	beɾejin
берем	berem
береміз	beɾemiz
беремін	beremɪn
бересіз	be̞ɾe̞sɪ̞s
бересің	be̞ɾe̞ˈsiŋ
бері	beri
берілетін	beriletin
берілме	beɾɪlˈme
беріңіз	beɾiŋɪz
беріңізші	beɾiŋɨʃi
беріп	beˈrip
беріпті	beˈripti
бермей	beɾˈmej
бермейді	bermɛjˈdi
берсеңші	beɾsɪŋʃɪ
берсін	βɘrˈsɘn
беруге	beˈruɣe
берудеміз	beɾʉdeˈmɪz
беруді	berʊˈdi
беруің	beɾuj
берші	berʃi
бес	bes
бетін	beˈtin
бетінше	βetɪnʃe
бетон	beˈton
бетпақ	βetˈpɑq
беттимен	βetːiˈmen
билет	biˈlet
билеттері	biletteri
биші	biʃi
биыл	biˈjɑl
біз	βɯz
бізбен	biβbæn
бізге	biːzge
бізде	βɯzˈdæ
бізді	biˈzdi
біздің	biˈzɪŋ
бізідң	biˈzɪŋ
білген	biɫˈgen
білгенге	biɫgeŋe
білгің	biɫɣɯŋ
білдің	biɫˈdɪŋ
білдіреді	biɫdiɾeɾi
білдіремін	biɫdiredimɪn
білдірмей	biɫdɪrmɛj
білдіруді	biɫdiɾuɾi
біледі	biˈledʲi
білем	biˈlem
білемін	bilemin
білесіз	bilesiːz
білесің	bilesiŋ
білесіңбе	bileˈsiŋbe
білесіңдер	bileˈsiŋdɘr
білетін	biletin
білетіндеймін	biletʲindejˈmin
білетінім	biletinim
біліктілігім	biˈlɪktɪlɪʁɪm
біліктілігіңізге	biɫɪkˈtɪlɪɣe
білімді	biˈlimdi
білімімді	bilimimdi
білімің	biˈlimɪŋ
біліп	biˈlɪp
білмегенсіп	biɫmege̞nsip
білмей	biɫˈmej
білмейді	biɫmejˈdi
білмейм	biɫmej
білмейміз	biɫmæjˈmɪz
білмеймін	biɫmejˈmɪn
білмейсіз	biɫmejˈsɯz
білмейсің	biɫmejˈsiŋ
білмеппіз	biɫmæpˈpɪs
білсе	biɫse
білсем	biɫsæm
білу	biˈɫu
білуім	biluːm
білуіңіз	biɫʉiŋɨz
бір	biɾ
біраз	biˈrɑz
біраздан	biˈɾɑzˈdɑn
бірақ	biˈrɑq
біратала	biɾɑtɑɫɑ
бірге	biɾgɛ
біргемін	biɾɣeˈmin
бірде	biɾde
бірдей	biɾˈdej
бірдеме	biɾdeˈme
бірден	biɾˈdɪn
бірдеңе	biɾdeŋe
біреу	biˈrew
біреудің	biɾewˈdiŋ
біреуі	biɾewi
біржаққа	biɾʒɑqˈqɑ
бірі	biri
бірін	biˈrɪn
бірінші	biˈrɪnʃi
біріншіден	biˈrɪnʃɪˌdɛn
бірлескен	biɾlesqen
бірнәрсе	biɾnæɾsɛ
бірнеше	biɾneʃe
біртүрлі	biɾtyɾˈli
бітетін	bitetin
бітіруге	biˈtiruɣe
біткен	bitken
бітті	biti
бітуде	bitʊde
бо	bo
боггз	boɣːz
бозарып	bozɑrɯp
бойы	bojɯ
бойымен	bojɯˈmen
бойынша	bojɯnʃa
боқ	boq
бол	bol
бола	bola
болағн	bolaʁn
болады	bolɑdɯ
болам	bolɑm
боламын	boɫɑˈmɯn
болар	boˈɫɑr
боларсың	bolaɾsəŋ
боласыздар	bolɑsɯzdɑr
боласың	bolɑˈsɯŋ
болатын	bolaːˈtɯn
болатынмын	bolɑtɯmɯn
болатынын	bolɑtɯnɯn
болашағының	boɫɑʃɑɣɯˈnɯ
болашақ	bolaʃaq
болашақта	bolɑʃɑqˈtɑ
болған	bolɣan
болғанда	bolɣɑndɑ
болғанды	bolɣɑndɯ
болғандықтан	bolɣɑnˈdɯqˈtɑn
болғансың	bolɣɑnsɯŋ
болғанша	boɫɣaɲʃa
болғаны	bolʁɑnɯ
болғаным	bolɣanɯm
болғанымыз	bolɣanɯmɯz
болғанына	bolɣanɯna
болғыларың	bolɣɯlaˈrɯŋ
болғым	bolɣɯm
болғың	bolɣɯŋ
болғыңыз	boɫɣəŋɯz
болғысы	bolɣɯsɯ
болды	boldɯ
болдық	bolɯt
болдым	boldɯm
болдың	bolˈdɯŋ
болжау	bolʒɑw
болма	bolmɑ
болмаған	bolmɑˈʁɑn
болмағанда	bolmɑˈɣɑndɑ
болмағанымда	bolmɑɣɑnɯmda
болмады	bolmɑdɯ
болмай	bolˈmaj
болмайды	bolmɑjdɯ
болмайтын	bolmajˈtɯn
болмақ	bolˈmɑq
болмаңыз	bolmɑŋɯz
болмаса	bolˈmɑsɑ
болмасын	bolmɑsɯn
болмауым	bolmɑjym
болмысы	bolmɯsɯ
болса	bolsɑ
болсақ	bolsɑq
болсам	bolsam
болсаң	bolˈsaŋ
болсаңыз	bolsɑŋɯz
болсын	bolsɯn
болу	boˈɫu
болуды	bolʊdɯ
болуы	boɫoˈwɯ
болуым	bolojum
болшы	bolʃɯ
болыңдар	boləŋdɑr
болыңыз	boɫəŋɯz
болып	boˈlɯp
болыппа	boɫɯpˈpɑ
болыпты	boləptɯ
бонни	boni
боны	boˈnɯ
боп	βop
бопты	boptɯ
бос	βoʃ
босатты	bo̞sɑtːɯ
босатылды	bo̞sɑtɯɫdɯ
босатылып	bo̞sătɯ̆lɯ̆p
босатыңдар	bo̞sátɯŋdɑr
босқа	boʃqɑ
боссыңдар	boˈsɯŋdɑr
бостандығы	boʃtandɯɣɯ
бояп	bojæp
бөксесін	ˈbøksɪsɪn
бөксесінен	ˈbøksæsinɪn
бөлгеніме	bolgɛniˈmɛ
бөлекпіз	bolʲekpiz
бөлесіз	bolɪˈsɪz
бөлігі	boːˈlɪʁɪ
бөлім	bolɪm
бөліміміздің	boliːmimɪzɪŋ
бөліп	bolɪp
бөлісуіңізді	boliˈsuɪŋɪzdi
бөлме	bolˈmɘ
бөлмеге	bolmɛge
бөлмелеріңізге	bolmelerinizɣe
бөлмесі	bolmɛsi
бөлмесіне	bolmɛsɪnɛ
бөлшектері	bolʃekeˈteɾi
бөлшектерін	bolʃekteˈrin
бөтен	βøˈtɛn
бракман	brɑkmɑn
браслет	brɑsˈlʲet
брдеңе	brdeŋe
британ	brʲitɑn
британдықсыз	brʲitɑnˈdɯqˈsɯz
британдықтар	brʲitɑnˈdɯqˈtɑr
британдықтармен	brʲitɑnˈdɯqˈtɑrmʲɪn
британия	brʲitɑnʲiʝɑ
брунер	brʊˈnɛr
будым	buˈdɯm
букет	boˈkʲet
бутербродты	butɪrbrodtɨ
бүгін	byˈgin
бүгінгі	byˈgiŋi
бүгіннен	byˈgɪnen
бүгіп	byˈgɪp
бүіг	byj
бүкіл	bykiɫ
бүлдірген	buldirgen
бүлдірдің	buɫdɪrɪŋ
бүтін	bytin
бұған	boɣɑn
бұдан	boˈdɑn
бұзады	buzɑdɯ
бұзақылық	buzɑqɯˈlɯq
бұзды	buzdɯ
бұзушылықтар	buzuʃɯɫɯqtaɾ
бұзылып	buzɯˈlɯp
бұйрығы	bujɯˈrɯqɯ
бұйрықтарыңда	bujɯɾəqtaɾɯŋda
бұл	buɫ
бұлай	buˈɫaj
бұлар	buˈɫɑr
бұлардың	buɫɯɾɯŋ
бұнда	bo̙nˈdɑ
бұндай	bo̙nˈdɑj
бұны	boˈnɯ
бұнымен	boˈnɯmen
бұның	buˈnɯŋ
бұрылма	buˈrəlmɑ
бұрылыңыз	buˈrɯləˈɯz
бұрылыс	buˈrəlɯs
бұрын	buˈrɯn
бұрынғы	buˈrɯŋɯ
бұрынғысы	buˈrɯŋɯsɯ
бұрында	buɯrˈɯndɑ
бұрындары	buɯrɯndɑrɯ
бұрыннан	buˈrɯnːan
бұрыңғы	buˈrɯŋɣɯ
бұрып	buˈrɯp
бұрыс	buˈrɯs
былай	ɯɫɑj
былық	byˈlɯq
былықтарды	byˈlɯqtarˈdɯ
бэннан	benan
бэннандікі	benːandɪki
бэннанды	benːɑnːdɯ
бэннанмен	benanmen
бэннанның	benːanːɯ
вальтер	ʋɑɫˈtʲɪr
ванна	ʋɑnːə
ваннаны	ʋɑnːɑnɯ
васва	ʋɑsˈβɑ
васваны	ʋɑsˈwɑnə
васваның	ʋɑsˈwɑnɯŋ
ватиканға	ʋɑtɪkɑŋɑ
вашингтон	ʋɑʃɪŋˈtɑn
вашингтоннан	ʋɑʃɪŋˈtɑnːɑn
веленанге	βelɪnɑŋge
велосипед	βɘlɑsɘpʲɘd
вилда	ʋildɑ
вирджиния	ʋɪrdʒɪnʲiʌ
виски	ʋiskʲɪ
возьмите	ʋɔɪsʲˈmʲɪtʲe
газеттер	gɑˈzetər
газеттері	gɑzʲɪtˈtæri
гаражы	gɑrɑʃɯ
гариган	gɑrɪˈɣɑn
гариганмен	ɣɑrɯɣɑnˈmɛn
гариганмын	gɑrɯɣɑnˈmɯn
гексозаминдас	gɛksozɑmɪndɑs
генерал	gʲenʲerɑɫ
генералсың	gʲenʲerɑɫsɯŋ
гибли	gɪbˈlɪ
госпиталі	ɣospitɑlʏ
госпиталіміз	ɣo̞spɑ̆tɑ̆lɯ̞ˈmɯ̞z
госпитальға	go̞spʰi̞tɑ̞lɑ̞
госпитальда	ɣo̞spʲi̞tɑ̆ɫdɑ
гректер	grekˈtɛr
грин	grɪn
гугл	guɣl
гүл	gʏl
гүлдер	ɣʏldɘr
ға	ɣa
ғажап	ɣɑˈʐɑp
ғана	ɣɑnɑ
ғанибетпен	ɣɑnɯβetˈpɘn
ғафу	ɣɑfu
ғашық	ɣaʃɯq
ғимарат	ɣɪmɑˈrɑt
ғимаратына	ɣɯmɑrɑtɯnɑ
ғой	ɣɔj
ғылым	ɣɯˈlɯm
да	da
дайын	dajɯn
дайынбысың	dajɯnbɯsɯŋ
дайындайын	daɯ̃ɯ̃dɑjɯn
дайындалыңыздар	daɪɯ̽ndɑɯ̽ɫɯŋɯzɯɾ
дайындаңдар	daɯ̙nɯ̙ˈdɑ̙ŋdɑ̙r
дайынсыз	dajɯnsɯz
дакота	dakotə
далбаса	daɫbɑsɑ
дамыту	damɯtʊ
дана	dana
дастархан	ˈdɑstɑrxɑn
дауыс	daʊɯs
дауысқа	daʊɯsqɑ
дауысын	daʊsɯn
даярмысыз	dajaɾmɯsɯz
даярмысың	dajɑrmɯsɯŋ
дәйексөз	ˈdæjɪkˈsøz
дәл	ɘl
дәлел	ˈdæleɫ
