oн	uŋ
жап	ʒˈap
жапалақ	ʒɑpɑɫɑq
жапония	ʐaponʲija
жар	ʒˈɑːr
жара	ʒɑrɑ
жарады	ʒɑrɑdɯ
жарадың	ʒɑrɑˈdɯŋ
жарай	ʒɑˈrɑj
жарайды	ʒɑˈrɑjdɯ
жарайсың	ʒɑrɑjsɯŋ
жарайсыңдар	ʒɑrɑjsɯŋdɑr
жараласың	ʒɑrɑlɑsɯŋ
жаралы	ʒɑrɑˈɫɯ
жарамды	ʒɑrɑmdɯ
жарамсыз	ʒɑɾaːmsɯz
жараң	ʒɑˈrɑŋ
жария	saria
жартас	ʒartas
жарық	ʒɑrɯq
жарық	ʒɑɾɯq
жарықты	ʒɑrɯqˈtɯ
жас	ʐas
жас	ʑɑs
жас	ʒɑs
жасады	ʃasaˈde
жасады	ʒɑsɑdɯ
жасадың	dʒɑsɑdɯŋ
жасай	ʒɑsɑj
жасаймын	ʒɑsɑjmɯn
жасайсың	dʒɑsɑjsɯŋ
жасайтын	ʒɑsɑjtɯn
жасайық	dʒɑsɑjɯq
жасалу	ʒɑsɑɫum
жасалған	ʒɑsɑɫˈʁɑn
жасамақшы	ʒɑsɑmɑqʃɯ
жасанды	ʒɑsɑndɯ
жасап	ʒɑsɑp
жасар	dʒɑsɑr
жасасам	ʒɑsɑsɑm
жасасын	dʒɑsɑsɯn
жасатам	dʒɑsɑtɑm
жасау	ʒɑsɑw
жасауың	dʒɑsɑwɯŋ
жасашы	ʒɑsɑʃɯ
жасаған	ʒɑsɑˈɣɑn
жасағансыңдар	dʒɑsɑɣɑnsɯŋdɑr
жасағым	ʒɑsɑɣɯm
жасаңыз	ʒɑsɑŋɯz
жаста	ʒɑsˈtɑ
жастар	ʒɑsˈtɑr
жастары	ʒɑstɑrɯ
жастарын	ʒɑstɑrɯn
жасуша	ʒɑsʊwʃɑ
жасы	ʒɑsɯ
жасымда	dʒɑsɯmˈdɑ
жасырмақшы	dʒɑsɯrmɑqʃɯ
жасыру	ʒaːsɾu
жасырып	ʒɑsɯɾɯp
жасыңыз	ʒasɑnos
жасқанбайды	ʒɑsqɑnbɑjˈdɯ
жатақхана	dʒɑtɑqχɑnɑ
жатақхана	ʒɑtɑqχɑnɑ
жатпайды	ʒɑtˈpɑjˈdɯ
жатсың	ʒɑtsɯŋ
жатсыңдар	dʒɑtsɯŋdɑr
жатып	dʒɑtɯp
жатыпішер	dʒɑtɯpɯʃer
жатыр	dʒɑtɯɾ
жатырсыз	ʒɑtɯrsɯz
жатырсың	dʒɑtɯrsɯŋ
жатысым	ʒɑtɯsɯm
жатыңдар	ʒɑˈtɯŋdɑr
жатыңыз	ʒɑˈtɯŋɯz
жатқан	ʒɑtˈqɑn
жатқанда	ʒɑtˈqɑnˈdɑ
жатқандай	ʒɑtqɑnˈdɑj
жатқыным	ʒɑθqɯˈnɯm
жау	ʒɑɫ
жауабыңды	dʒɑwɑbɯŋdɯ
жауап	ʒɑwɑp
жауапты	ʒɑwɑptɯ
жауаптысың	ʒɑwɑptɯsɯŋ
жаурадым	ʒɑu̯radɛm
жауу	ʒau
жауыз	ʒɑwɯz
жауынгер	ʒɑwʊŋgʲer
жауынды	ʒɑwɯnˈdɯ
жауыннан	ʒɑwɯnˈnɑn
жауып	dʒɑwɯp
жауған	ʒɑwˈʁɑn
жаю	ʐaju
жаяу	ʒɑjɑw
жағалауда	ʒɑɣɑɫɑwˈdɑ
жағаға	ʒɑˈɣɑʁ
жағдай	ʒɑɣdɑj
жағдайдасыз	ʒɑɣdɑjdɑsɯz
жағдайдасың	ʒɑɣdɑjdɑsɯŋ
жағдайды	ʒɑɣdɑjˈdɯ
жағдаймен	dʒɑɣdɑjmen
жағдайы	ʒɑɣdɑjɯ
жағдайым	ʒɑɣdɑjɯm
жағдайымды	ʒɑɣdɑjɯmˈdɯ
жағдайын	ʒɑɣdɑjɯn
жағдайына	ʒɑɣdɑjɯnɑ
жағдайың	ʒɑɣdɑjɯŋ
жағдайыңды	ʒɑɣdɑjɯŋdɯ
жағдайға	ʒɑɣdɑjɑ
жағы	ʒɑˈɣɯ
жағымды	ʒɑˈɣɯmˈdɯ
жағында	ʒɑˈʁɯnˈdɑ
жағыңдар	dʒɑˈʁɯŋdɑr
жақ	ʁɑq
жақпайды	ʒɑqpɑjˈdɯ
жақсы	ʑæχsə
жақсылап	ʒɑqsɯlɑp
жақсымын	ʒɑqsɯmɯn
жақтаушы	ʒɑqtɑwʃɯ
жақты	ʒɑqˈtɯ
жақтырмайды	dʒɑqˈtɯrmɑjˈdɯ
жақтың	ʒɑqˈtɯŋ
жақша	ʐɑqʃɑ
жақын	ʒɑqɯn
жақындамаңдар	ʒɑqɯndɑmɑŋdɑr
жақындап	dʒɑqɯndɑp
жаққа	ʒɑqˈqɑ
жаңа	ʒɑŋ
жаңадан	ʒɑɲɑdɑn
жаңалық	ʒɑŋɑɫɯq
жаңалықтардан	ʒɑŋɑɫɯqˈtɑrɑn
жаңағы	ʒɑŋɑɣɯ
жаһандық	ʒɑhɑndɯq
же	ʒe
жегенін	ʒegeniːn
жегенің	dʒegeˈniŋ
жегім	dʒeɣim
жегіп	ʒeɣɪp
жегісі	ʒeɣɪsɪ
жедел	ʒeˈdel
жезде	ʒɛzdʒɛ
жезқазған	ʐʲezqazɣɑn
жезөкше	dʒeˈzøkʃe
жезөкшеден	ʒezoʃeˈden
жейдемді	dʒejdemˈdi
жейсіз	dʒejˈsɯz
жейсің	dʒejˈsiŋ
жейтін	ʒejˈtin
жек	dʒɛk
жеке	ʒeˈke
жексенбі	ʒɛkˈsɛnbi
жексұрындар	ʒɛksuˈrɯndɑr
жел	ʒel
жел	ʒɪl
желтоқсан	ʒeltoqsan
жемекпісің	ʒɪmɪkpɪˈsɪŋ
жемеңіз	dʒemeˈnɪz
жемісті	zɛmɪstɯ
жеп	ʒɛp
жер	dʒer
жер	ʑe̞r
жер	ʒɪr
жерге	ʒɛrˈge
жергілікті	ʒɪrɣɪlɪkˈtɪ
жерде	ʒɪrˈdɪ
жерді	ʒɪrˈdi
жері	ʃeɾe
жерім	ʒeˈrim
жеріңе	ʒeˈriŋe
жесең	ʒeˈseŋ
жете	ʒeˈte
жетеді	ʒetɛdi
жетерлік	ʒetɪɾɫɪk
жеткізгеніңе	ʒetkiˈzʁeŋi
жеткіздім	ʒetkiˈzdɪm
жеткізе	ʒetˈkɯzɘ
жеткізем	ʒetkiˈzæm
жеткіземін	ʒetkiˈzemin
жеткізу	ʒetˈkɯzʊ
жеткізуіңіз	ʒetkiˈzuɪŋɪz
жеткізілген	ʒetkiˈzɪɫgen
жетпейді	dʒetpejdi
жеттіңіз	ʒetːiŋɪz
жетуіне	ʒɪtʉɪˈnæ
жеті	ʒeti
жеті	ʒeˈti
жетібұрыш	ʒetɘbʊrʊʃ
жетіген	ʒetɪgɪn
жетіп	ʒeˈtʰɪp
жетістіктерге	ʒetɪsˈtɪkʰtɪrɣe
жетіңдер	dʒeˈtɪŋdɪr
жеу	ʒˈu
жеудің	ʒewˈdiŋ
жеуің	ʒɘwɘŋ
жеңге	zæŋge
жеңгенімді	ʒeŋgɪnimˈdi
жеңдім	ʒeɳˈdim
жеңдің	ʒeŋˈdɪŋ
жеңемін	ʒeɲeˈmɪn
жеңуші	ʒeŋʏwʃɘ
жеңілдейсің	ʒeɳildejsɪŋ
жеңілдеп	ʒeɲildʲep
жеңіле	ʒeɲɪˈle
жеңілтек	ʒeɲilˈtek
жеңіліс	ʒeŋɘlɘs
жеңімпаз	ʒeŋɘmpɑz
жеңіп	ʒeɲɪp
жеңіс	xəŋɪ̞s
жеңіскер	ʒeŋɘskʲer
жидек	ʒidik
жина	ʒɪˈnɑ
жинадық	ʒɪnɑɯq
жиналу	ʒɪnɑˈɫʊ
жиналыс	ʒɪnɑˈlɯs
жинағанға	ʒɪnɑːɣɑːn
жинаңдар	ʒɪˈnaŋdɑr
жирен	ʒɪˈrɪn
жиырма	ʒɪwɾmɑ
жиіркеніш	ʒiirkeniʃ
жиіркенішті	ʒiːrkʲenɪʃti
жобасы	ʒobasi
жойылған	ʒojɯɫɣɑn
жойылғаны	ʒojɯɫˈqɑnɯ
жойып	ʒojɯp
жойыңдар	ʒojɯŋdɑr
жол	ʒɔɫ
жолаушы	ʒoɫɑwʃɯ
жолаушы	ʒɔɫɑwˈʃɯ
жолбарыс	ʒolbɑɾɯs
жолбарыс	ʒoɫbɑrɯz
жолбасшы	ʒoɫbɑsʃə
жолда	ʒɔɫdɑ
жолдан	ʒɔɫdɑn
жолдар	ʒɔɫˈdɑr
жолды	ʒɔɫdɯ
жолмен	ʒɔlmɛn
жолы	ʒoˈɫə
жолығайын	ʒoˈɫɯɣajɯn
жолығып	ʒoˈɫɯʁɯp
жолықтырыңыз	ʒoɫɯqtɯɾeŋɯz
жолың	ʒɔˈɫɯŋ
жомарт	ʒoˈmɑrt
жон	ʐon
жоспары	ʒoˈsparɯ
жоспарым	ʒoˈspɑrɯm
жохан	ʒɔxan
жою	ʒoju
жоғалт	ʒoʁɑlt
жоғалтпа	ʒoʁɑltpɑ
жоғалтқан	ʒoʁɑltqɑn
жоғалып	ʒoɣɑləp
жоғалған	ʒoʁɑɫˈɣɑn
жоғалғаннан	ʒoʁɑɫˈɣɑnˈnɑn
жоғалғаныңа	ʒoʁɑɫɣɑnɯŋ
жоғары	ʒoʁɑrɯ
жоғарының	ʒoʁɑɾɯˈnɯŋ
жоғарыға	ʒoʁɑrɯɣɑ
жоғарғы	ʒoʁaɾɣɯ
жоқ	ʒoq
жоқпын	ʒoqpɯn
жоқсыз	ʒoqˈsɯz
жоқтан	ʒoʁˈtɑn
жоқшылық	zoqʃilɯq
жоққа	ʒoqˈqɑ
жу	ʒˈu
жуастық	ʒuɐstɐk
жуасың	ʒʊɑˈsɯŋ
жуасыңдар	ʒʋɑsɯŋdɑɾ
жумаған	ʒumɑɣɑn
журнал	ʒurnɑɫ
журналистерді	ʒʊrnɑlʲɪstɪɾˈdɪ
журналистика	dʒʊrnɐlʲisʲtʲɪkə
жусан	ʒʊˈsɑn
жуу	ʒoɔ
жуындырасың	ʒowɯndɯɾɑsɯŋ
жуырда	ʒurda
жыйналысқа	ʒɯjnɑlɯsqɑ
жыл	ʒɯɫ
жылаймын	ʒɯɫajˈmɯn
жылама	ʒɯɫɑmɑ
жылау	ʒɨɫau̯
жылау	ʒɯɫɑw
жылауық	ʒɯɫɑwɯq
жылдамдық	ʒɯɫdɑmq
жылдан	ʒɯɫd̪an
жылдар	ʒɯɫˈdɑr
жылдағы	ʒɯɫɑɣɯ
жылдық	ʒɯɫdɯq
жылжып	ʒɯɫˈʐɯp
жылу	ʒɯˈɫʊ
жылы	ʒɯˈɫɯ
жынданып	ʒɯndanɯp
жынды	ʒɯnˈdɯ
жыныс	ʒɯnɯs
жыныстық	dʒɯnɯstɯq
жыр	ʒuɾ
жыртқыш	ʒʊ̞rtqɯ̞ʂ
жықтырамын	ʒɯqtɯɾɑmɯn
жібек	ʑɨbjɛk
жібек	ʒɘbʲek
жібер	ʒɪˈbʲɪr
жіберген	dʒɪbɪrɪgʲɪn
жібергенде	ʒɪbeɾgʲeɳde
жібергенің	dʒibergeniŋ
жіберді	ʒiberdi
жібердің	ʒiberiŋ
жібереді	ʒɪbɪrɪˈdæ
жібереміз	ʒɪbɪrɪˈmɪz
жіберемін	ʒɪbʲerɪˈmɪn
жіберерміз	ʒɪbɪrɪrmɪz
жібермейік	ʒɪbɪrˈmɛjɪk
жіберсең	dʒiberseŋ
жіберуді	dʒɪbɪrʊdɪ
жіберуім	ʒɪbʲɪˈrʉm
жіберші	dʒɪbɪrʃɪ
жіберілді	ʒɪbɪrɪldɪ
жіберіппін	ʒɪbɪrɪpˈpɪn
жіберіпсің	ʒɪbɪrɪpˈsɪŋ
жіберіңдер	dʒɪbɪˈrɪŋdɪr
жіберіңіз	dʒɪbɪrɪŋɪz
жігерлендірілген	ʒɪgʲɪɾlʲɪndɪɾɪɫgʲɪn
жігіт	ʒigɯp
жігіттер	ʒɪgɪtˈtɪr
жігітің	ʒɪɣɪˈtɪŋ
жіп	gip
жүгір	ʒʏˈɣɪr
жүз	ʒʏz
жүздеген	ʒʏzdegen
жүзу	ʒuzˈo
жүзі	ʒʉˈzɪ
жүзім	ʒizim
жүзіп	ʒʉzɪp
жүйе	ʒyje
жүйесі	ʒʉjɪsɪ
жүйесінде	ʒʉjɪsɪndɘ
жүк	ʒʏk
жүккөлік	ʒʏkːœlɪk
жүн	ʒʏn
жүр	ʒʏr
жүргем	ʒʉrɣem
жүрген	ʒɯɾˈgʲen
жүргеніңіз	ʒɯɾɣeˈniŋɯz
жүргіземін	ʒɯɾɣiʒeˈmin
жүргізесіз	ʒɯɾɣɪˈzɪsɪz
жүргізуге	ʒɯɾɣɨzuɣe
жүрді	ʒɯɾˈdɯ
жүрегі	ʒʉrɘɣi
жүрегіне	ʒʉrɘgʲiˈnɘ
жүреді	ʒʉˈrɘdɘ
жүрейік	ʒʉrɛjɪk
жүрейін	ʒʉrɪjɪn
жүрек	ʒʉˈræk
жүректен	ʒyrʉktiːn
жүрер	ʒʉˈrɘr
жүретін	ʒʉrɛtɪŋ
жүрмекпісің	ʒɯɾmɛkpɪˈsɪŋ
жүрмін	ʒʉrmʏn
жүрсе	ʒɯrˈsɛ
жүрсің	ʒʏrˈsiŋ
жүрсіңдер	ʒʏrɕɪŋdɛr
жүру	ʒʉˈɾʉ
жүру	ʒʊɾu
жүруім	ʒʉrʉm
жүруіңе	ʒʉɾʉiŋe
жүріп	ʒʉˈrip
жүріңдер	ʒʉɾɪŋdɪr
жүріңіз	ʒʉɾiŋɨz
жұбай	ʃubaj
жұбайы	ʒʊβaɪɯ
жұдырық	ʒʊdʊrɯq
жұлдыз	ʒuldəs
жұлдыз	ʒʊɫdʊz
жұлынып	ʒʉlənɯp
жұлынған	ʒʉlɯŋɑn
жұма	ʒumɑ
жұмақ	ʃumˈɑq
жұмды	ʒumˈdɯ
жұмсақ	ʒʊmsɑq
жұмысберушісі	ʒʊmɯsbeɾuʃɯsɯ
жұмыспен	ʒʊmɯsˈpʲen
жұмыстан	ʒʊmɯsˈtɑn
жұмыстары	ʒʊmɯsˈtɑɾɯ
жұмыстарым	ʒʊmɯstaˈrɯm
жұмысты	ʒʊmɯsˈtɯ
жұмысшысы	ʒʊmɯʃɯʃɯ
жұмысым	ʒʊmɯsɯm
жұмысымды	ʒʊmɯsɯmdɯ
жұмысына	ʒʊmɯsɯnɑ
жұмысың	ʒʊmɯsɯŋ
жұмысыңыз	ʒʊmɯsɯŋɯz
жұмысқа	ʒʊmɯsqa
жұрт	ʒʊrt
жұт	ʒʊt
жұту	ʒʊtʊw
жұқтыру	ʒoqtɯɾu
жәй	ʒæj
жәндiк	ʒendiq
және	ʒæne
жәрдем	ʒæɾˈdæm
жөнінде	ʒoˈnɘnde
замандастар	zamandastar
запас	zɐpas
зардабын	zæɾdæbɯn
зат	zˈat
зат	ʐɑt
заттардың	ʐɑtːɑɾˈdɯŋ
заттармен	ʐɑtːɑrmʲɪn
зауре	zauɾe
зауыт	zau̯t
зауыт	zɑwɯt
зачаганск	zatʃagansk
зая	zaja
зақым	ʁɑqɯm
зақымдалған	ʁɑqɯmdɑɫˈʁɑn
заң	zɑːn
заңгер	zæŋgɪr
заңгер	zɑŋgʲer
заңнама	zaŋnəma
заңсыз	zɑŋsɯz
заңсыздық	zɑŋsɯzdɯq
заңы	ʒɑˈnɯ
звонда	zvondɑ
звондағаныма	zvondɑɣɑnɯmɑ
звондаңыз	zvondɑŋɯz
зейнетақы	zʲejnʲetɑqɯ
зейнеткер	zʲejnʲetkʲer
зейінсіз	zejinsɯz
зерттеуші	zʲertːewʃɘ
зерттеуінде	ʐɪrttɘwˈiŋdɘ
зертхана	zʲertxɑnɑ
зертханалық	zʲertxɑnɑɫɯq
зертханашы	zʲertxɑnɑʃɯ
зиверт	zʲivʲɪrt
зимбабве	zʲɪmbabvɛ
зия	zijɑ
зиянды	ʑijɑnˈdɯ
зомбылықпен	ˈzombɯɫɯqpen
зоодүкен	zoːdʏˈkʲɪn
зор	zor
зым	zɯm
зыя	zɯjɑ
зәулім	zæulɪ̞m
ибарра	ɪbɑrɑ
идеал	ɪdʲɪaɫ
идеология	ɪdʲɪɐɫogʲɪjə
идиллия	ɪdʲilʲɪjə
ие	je
иемдену	ijemdenu
иемденіп	ijemdenip
иесі	jesi
израил	ɪzrɑɪl
израилдықтар	izrɑjɯɯtqɯtɑr
израилмен	ɪzrɑɪlˈmen
израиль	ɪzrɑjɪl
икем	ikim
иле	i̠jɫe
иллардтың	ɯɫɑɾdɯtɯŋ
иллоу	ɪlːoʊ
ильямнан	iɫjəman
иман	imɑn
иммигрант	immigrɑnt
импеданс	ɪmpʲɪdans
император	ɪmpʲɪratər
империализм	ɪmpʲɪrʲɪɐlʲizm
импрессариом	ɪmprɪsɑrɪˈw
импрессионизм	ɪmprʲɪsʲɪɐnʲizm
импульс	impʊlʲs
инда	indɑ
индоссамент	ɪndəsɐmʲent
ине	iɲe
ине	iːnɛ
инновация	ɪnːɐvatsɨjə
институтынан	ɪnstʲɪtʉtɯˈnɑn
интеграл	ɪntɨgral
интеллектуалдық	intelʲektuɑldɯ̞k
интерполяция	ɪntɛrpɐlʲatsɨɪ̯ə
интерфейс	ɪntɨrfʲejs
интерферон	ɪntɨrfʲɪron
инфляция	ɪnflʲatsɨjə
иншалла	ɪnʃaɫa
инға	iŋɣɑ
ипотека	ɪpɐtʲekə
исак	ɪsɑq
исакпен	ɪsɑqˈpɛn
исакты	ɪsɑqtɯ
исактың	ɯsɑqˈtɯŋ
ислам	ɪslam
исландия	ɪslanʲdʲɪjə
испания	ɪspanʲɪjə
ит	iːt
итбалық	ɘjtbɑɫɯq
итни	itni
итнимен	itnimen
итнимін	itnimeen
иттер	ɪtːɪr
иттерге	itːerge
иттердің	itːerˈdiŋ
ишая	isaja
иығыма	iɯɣɯma
иісті	iːsʲtɪ
иісі	iːsɪ
иісін	iːsɪn
иә	iə
кабак	kɐbak
калька	kalʲkə
кальмар	kɑlmɑr
кальцит	kɐlʲtsɨt
камералары	ˈkɑmʲerɑˌɫɑrɯ
кампаладамын	ˈkɑmpɑɫɑdɑmɯn
камфара	kəmfɐra
камфора	kamfərə
канада	kɐnadə
канада	qɑnɑdɑ
кандела	kɐndɛlə
канибал	kanɪbɑɫ
канибалмын	kanɪbɑlˈmɯn
канингэм	kanɪŋɛm
каноэ	kɐnoɛ
капитал	kəpʲɪtal
капиталдық	kapʰɪtɑɫdɯq
капитализм	kəpʲɪtɐlʲizm
капуста	kapust̪a
кар	kɑr
карамель	kərɐmʲelʲ
кард	kaɾd
карнавал	kərnɐvaɫ
карта	kartə
карта	kaɾta
картаны	ˈkɑrtɑnɯ
картель	kɐrtɛlʲ
картография	kərtɐgrafʲɪjə
картоп	kɑrtop
касетөм	qɑsɘtøm
катал	kɐtal
католик	kɐtolʲɪk
кафелерді	kafʲiɫærdɛ
кацурэ	katsure
каюта	kɐjutə
квадрант	kvɐdrant
кедей	kedej
кедейлік	kʲedejlɘk
кедергі	kedeɾɣi
кез	ke̞z
кезде	ke̞zde
кездежүр	keʒdeʒʉr
кездесем	ˈkɛzdɛsɛm
кездесеміз	ke̞zdesemi̞z
кездесетін	kezd̪esetʰin
кездескен	ke̞z̪des̪q̟en
кездеспей	ke̞z̪d̪es̪pej
кездесу	ke̞z̪de̞s̪u
кездесулер	ke̞zdesʉ̞lʲɪ̞r
кезімде	keˈzɪmde
кезінде	keˈzʲinde
кезінен	keziˈnɪn
кей	kej
кейбір	kejˈbiɾ
кейде	kejde
кейін	keiin
кейін	kjɪn
кейін	kʲejɘn
кейіндеу	kejindew
кейінірекке	keiineˈrekke
кек	kʲek
кел	kel
келбетің	kelbɘtiŋ
келген	kelgen
келгенде	kelgenˈde
келгендерің	kelge̞ndɪ̞ˈrʲɪ̞ŋ
келгенше	kelgenʃe
келгенім	kelgeˈnim
келгеніме	kelgeˈnime
келгенін	kelgɛniːn
келгеніне	kelgeˈnine
келгеніңе	kelgeˈniŋe
келгеніңізге	kelgəniŋizge
келгеніңізді	kelgəniŋizdi
келгің	kelgɪŋ
келдік	kelˈdɪk
келдім	kelˈdim
келдің	kelˈdiŋ
келдіңіз	keldiŋiz
келе	kele
келеді	kelɪdi
келеді	kilɛdi
келейін	kelejin
келек	keˈlek
келем	keˈlem
келемін	kelʲemin
келермін	kelɪrmɪn
келесі	kelɪˈsi
келесің	kelɪˈsiŋ
келмеген	kelmɛgen
келмеді	kelmɘdi
келмей	kelˈmej
келмейді	kelmɛjdi
келмеймін	kelmɛjˈmɪn
келмейтін	kelmɛjˈtin
келмес	kelˈmes
келмесін	kelmɘˈsɘn
келсап	kelsap
келсе	kel'sɪ
келтірер	keltiˈrɪr
келуге	kelʊɣe
келуіне	kelʉiˈnæ
келуің	kelʉiŋ
келуіңізбен	keluɪŋɪzben
келші	kelʃi
кельвин	kʲelʲvʲɪn
келіп	kelip
келіпсіз	kelɪpˈsɪz
келіпті	kelɪptɪ
келіскен	kelɪsˈken
келіскендей	kelɪskendɛj
келіспесеңіз	kelɪspeˈsɪŋɪz
келісті	kelɪsˈtɪ
келістік	kelɪsˈtɪk
келістім	kelistim
келісім	kelsim
келісімшартқа	kelisɪmʃɑrtqɑ
келісімін	kelɪsɪmɪn
келісіп	kelɪˈsɪp
келіңдер	kelɪŋdɛr
келіңіз	kelɪŋɪz
кем	kem
кем	kim
кемпірлерді	kempirlɘɾˈdi
кеміргіш	kemɪrɣɪʃ
кендір	kantər
кенелген	kenelgen
кентау	kɛntɑu
кентау	kʲentɑw
кеп	kʲep
кептірілген	ˈkɛptɪrɪlgɛn
кепілгер	kepɪɫɣer
кербез	kɛrbæz
керегі	kerɪɣɪ
керегімізді	kerɪgimɪsdi
керегінің	kerɪginʲi
керек	kerɛk
керекпін	kerɪkˈpɪn
керексің	kerɪkʃiŋ
керекті	keretɕi
керемет	keremɪt
кереспе	kerespɘ
керуетте	kerʉjetʰ
кері	keri
кесел	kesɛl
кесене	kʲesʲenʲe
кесетін	kʲesetʰin
кесу	kħɛs˥u
кесіліп	kɘsɘlɘp
кесіп	ˈkɘsɘp
кесіртке	ˈkɘsɘrtkɘ
кесірінен	ˈkɛsɪrɪˌnɛn
кесіріңнен	ˈkɘsɪrɘŋnɘn
кет	ket
кет	kʲit
кете	ketɘ
кетеді	ketedi
кетейікші	ketejɪkʃi
кетейін	ketejiːn
кетемін	ketemin
кетесің	ketɪˈʃɪŋ
кететін	ketetin
кеткелі	ketkɛli
кеткен	ketken
кеткендеріңді	ketkendeəriŋdi
кеткенсің	ketkenˈsiŋ
кеткені	ketkɛni
кеткенің	ketkɛniŋ
кеткеніңе	ketkɪˈniŋe
кеткір	ketˈkɪr
кетпеді	ketpɘdi
кетпедің	ketpʲeˈdiŋ
кетпей	ketˈpej
кетпейміз	ketpejˈmɪz
кетпеймін	ketpæjˈmin
кетпекші	ketpɛkʃɪ
кетпесе	ketpese
кетпесін	ketpɪˈsɪn
кетсем	ketˈsem
кетсең	ketˈseŋ
кетсін	ketˈsɪn
кетсінші	ketˈsɪnʃi
кетті	keti
кеттік	kettʃk
кеттік	ketˈtɪk
кеттің	ketˈtɪŋ
кеттіңдер	ketˈtɪŋdɛr
кеттіңіздер	ketːiŋizdɛr
кету	ketu
кету	kʰʲetʉw
кетуі	ketuɪ
кетуім	ketuim
кетші	ketʃi
кетіп	ketip
кетіппін	ketipˈpɪn
кетіпсің	ketipˈsiŋ
кетіресіңдер	ketiɾesiŋdɪr
кетіңдер	ketiŋdær
кетіңіз	ketiŋiz
кеш	keʃ
кеше	keʃe
кешегі	keʃeɣi
кешен	kɪʃɪn
кешке	kɘʃkɘ
кешке	kɛʃkɛ
кешкі	ˈkɛʃkɪ
кешкіріп	kɛʃkɪˈrip
кешір	kɪ̞ʃɪ̞r
кешіреміз	kɛʃɪrɛˈmɪz
кешіремін	keʃiˈrɪmɪn
кешірер	keʃiˈrær
кешірмеймін	kɛʃɪrmɛjmɪn
кешірмек	ˈkæʃɪrmæk
кешіру	kʲeʃɘrʏw
кешірші	keʃiɾʃi
кешірілген	kɘʃɘɾɘlˈgʲɘn
кешірім	keʃiˈrim
кең	keŋ
кең	kʲeŋ
кеңес	ˈkʲeŋɪs
кеңесшілерім	keŋesʃɪleɾɪm
кеңесшім	keŋeɕɪm
кеңесшімсің	ˈkʲeŋɪsʃɪmˈsɪŋ
кибернетик	kʲɪbʲɪrnɛtʲɪk
киви	kivj
кимегендіктен	kimʲegendɪktʲen
киндред	kin'drɛt
кинетика	kʲɪnɛtʲɪkə
кино	kino
кинокартина	kʲɪnəkɐrtʲinə
кинотеатр	kʲɪnətʲɪatr
кинофестиваль	kʲɪnəfʲɪsʲtʲɪvalʲ
кинофильм	kʲɪnɐfʲilʲm
кит	kijt
киуіме	kiwɪme
киім	kijˌɯ
киім	kiːm
киім	kɪjɪm
киімімді	kiːmɪmdɪ
киінесің	kiːnesiŋ
киінуім	kiːnuːm
киіп	kiɪp
клайд	klɑj
классика	klasʲɪkə
классицизм	kɫəsʲɪtsɨzm
клеткаларды	klʲetqɑlɑɾdɯ
клеткалары	klʲetqɑˈɫɑɾɯ
климатология	klʲɪmətɐlogʲɪjə
клиникалық	klʲinʲɪkɑˈɫɯq
кодекс	kodɨks
кол	oɫ
комбайн	kɐmbaɪ̯n
комедия	kɐmʲedʲɪjə
комиссар	kəmʲɪsar
комиссияға	komɪsɪjɑɣɑ
коммунист	kəmʊnʲist
коммунистер	komʊnʲɪsʲtʲɪr
коммутатор	kəmʊtatər
компьютер	kɐmpjutɨr
конвейер	kɐnvʲeɪr
конверсия	kɐnvʲersʲɪɪ̯ə
конденсат	kəndɛnsat
конкур	kɐnkur
консалтинг	kɐnsaɫtʲɪnk
консорциум	kɐnsortsɨʊm
конституция	kənsʲtʲɪtutsɨjə
конституциялық	kənsʲtʲɪtutsɨɪ̯əɫəq
конструктивизм	kənstrʊktʲɪvʲizm
контейнер	kɐntɛjnʲɪr
конференция	kənfʲɪrʲentsɨɪ̯ə
конфигурация	kənfʲɪgʊratsɨjə
конформация	kənfɐrmatsɨɪ̯ə
копенгаген	kəpʲɪngagʲɪn
корея	kɐrʲejə
коридордың	koɾidoɾˈdɯŋ
косеканс	kɐsɛkəns
косинус	kosʲinʊs
космополитизм	kəsməpəlʲɪtʲizm
котангенс	kɐtangʲɪns
кофе	kofe
кохаку	koχɑkʊ
кохакугава	koχɑkʊˈɣɑwɑ
коэффициент	kəɪfʲɪtsɨɛnt
креп	krʲep
криминалистика	krʲɪmʲɪnɐlʲisʲtʲɪkə
криптовалюта	krʲiptəvɐlʲutə
криптон	krʲɪpton
крис	krɪs
криспін	krɪsˈpɪn
криссман	krɯsˈman
кристиан	krɪstʲi̞ɑn
кристианға	krɯstʲiɑŋɑ
кристі	krɪsˈtɪ
крон	krɔn
круиз	krʊiz
ксилофон	ksʲɪlɐfon
куба	kubə
кувейт	kʊvʲejt
культуризм	kʊlʲtʊrʲizm
купон	kʊpon
курста	kurˈsta
куәлікті	kuælikti
кэмпбел	ˈkæmpbɛl
кэмпбелге	ˈkæmpbɛlɣe
кэмпбелдің	ˈkæmpbɛlˌdɪŋ
кідіріс	kidiɾɯz
кілемімді	kilɪmɪmdɪ
кілең	kilæŋ
кілтті	kilttɪ
кілті	kilti
кім	kim
кім	køm
кімге	kimge
кімдер	kʏ̞mdʲɪr
кімді	kimˈdi
кімдікі	kimˈdiqi
кіммен	kimˈmen
кімнен	kimˈnen
кімнің	kimˈnʲi
кімсіз	kimˈsiːs
кімсің	kimˈsiŋ
