--من	mæn
صب	sˈb
صبا	sˈbɑ
صباحي	sæbɑːr
صباره	sabore
صبح	sobh
صبحا	sobʰɑ
صبحش	soːbeʃ
صبحم	soβæm
صبحه	sobohe
صبحونه	sobunɛr
صبحونه	soβˈhuːne
صبحي	sˈbæhi
صبحگاه	soβɣæɣ
صبحگاهي	soβɣæɣei
صبحگاهی	soβæɣˈdʒɒhi
صبحی	sobri
صبحی	soβˈhiː
صبرکن	sˈbæɾkæne
صبرکنيم	sæbɾekʲniːm
صبغه	sɛbɢɛ
صبو	sˈbˈu
صبور	sæbuːr
صبور	sˈbuːr
صبورانه	saburɑːne
صبورانه	sɑbuːɾɑːne
صبوره	sabuɾe
صبوري	sˈbɔːɾi
صبوری	saburi
صبوری	sɑbuːri
صحبتها	sæhbeˈte
صحبتهايي	sæhbeˈtehi
صحبتی	sæhbæti
صحت	sˈɑhete
صحرانشین	seæneʃiːn
صحفه	sˈɑfe
صحنه	sæhne̞
صحه	behe
صحه	sˁahhe
صحيح	sɐjiː
صحيفه	saːħeːfe
صحیح	sæhiːh
صحیح	sˈɑhɪh
صحیحی	ʃɑːʃiː
صحیفه	saħjfæ
صخر	sˈxæɾ
صخره	saxle
صخره	sˈæxɾe
صد	sad
صد	sæd
صدآفرین	sadɑːɾe̞n
صدا	sadɑ
صدا	seda
صداتو	sadɑtʊ
صداتون	sadɑtun
صداتونو	sadɑːtʊˈnuː
صداتُ	sædɑtʊ
صداست	sædɑːst
صداش	sædɑʃ
صداشو	sædɑːʃu
صداشون	sædɑːˈʃuːn
صداشونو	sædɑːʃuːnʊ
صدالبته	sadælbeˈte
صدام	sadom
صدام	sˈdɑm
صدامو	sˈdɑːmu
صدامون	sædɑːmuːn
صدامونو	sædæmuˈnuː
صدامُ	sˈdɑːmʊ
صداهارو	sædɑhɑːruː
صداهاي	sædɑhɑj
صداهايي	sadɑhɑji
صداهای	sadɑhɑj
صداهایی	sadɑheji
صداوسیما	sedousimɔ
صداي	sædɑːj
صدايت	sædɑːje
صدايش	sadɑːeʃ
صدايم	sadɑːme
صدايي	sædɑːjiː
صداييه	sadɑːje
صدايِ	sædɑːje
صداگير	sæɾgir
صدای	sædɑːi
صدایش	sædɑːjæʃ
صدایم	sædɑːjæm
صدایی	sædɑːˈiː
صدبار	sadbɑːr
صدباره	sadbɑːrɑː
صدتا	sadtɑ
صدتا	satˈo
صددروازه	saddæɾvɑːze
صدر	sadr
صدرا	sadro
صدف	sadfe
صدق	sɛdq
صدقه	sadɣe
صدم	sˈdæm
صدمات	sædmɑt
صدمه	sadme
صده	sede
صده	sˈdah
صدها	sadɑ
صدهزار	sˈædekɑːzɑːr
صدو	sadɔ
صدودو	sɑːdoːdoː
صدور	soduːɾ
صدور	sædɔːr
صدویازده	saduːjɑːzde
صديقي	sædiːqi
صدپا	sadpɑ
صدگان	sadgon
صراحت	sˈɾɑhɑt
صراحتا	sˈɾɑhtɑ
صراحتاً	sæɾɑhɑtæ
صراحی	sɾɑːxæ
صراط	se̞ɾɒːn
صراط	sæɾɑːt
صراط	zæɾɒːt
صرافان	zæɾɒːfɒːn
صرافخانه	sæɾɑːfxɒːne
صرافی	srɔːfˌiː
صربستان	sæɾbæstɑːn
صربستان	sˈærbæstɑn
صربی	sˈæɹbi
صرع	sar
صرف	se̞ɾf
صرف	sæɾf
صرفا	se̞ɾfæn
صرفا	sæɾˈfɑ
صرفاً	sæɾˈfɑn
صرفه	safe
صرفه	sæɾfe̞
صرفه	sæɾˈfeh
صرفِ	sæɾf
صرف‌كردن	sæɾfkæɾdæn
صره	are
صروت	θɾuːt
صريح	sæɾiːf
صريح	sˈɪχɑ
صريحاً	sæɾiːˈhæ
صریح	saːriːh
صریح	sˈærih
صریحا	sæɾiːtæn
صریحاً	srihan
صغاد	sqɑt
صف	sˈf
صف	taf
صفا	safɑ
صفات	sæfæˈtæ
صفات	sæfɑt
صفات	sæfˈɑːt
صفادشت	sæfæˈdæʃt
صفايي	sæfæjiː
صفحه	sæfhe̞
صفره	sˈfere
صفه	sofe
صفورا	æfæˈrɑ
صفويان‎	sæfbæjɒːn
صفير	safiːr
صفيه	sæfiːˈɑ
صفین	sæfer
صلاح	sælɑh
صلاح	sælɑˈħ
صلاحه	sælɑˈhæ
صلاحیت	sælɑhiːt
صلاح‌دید	sælɑːhdiːd
صلب	solʲb
صلبیه	solbiːe
صلح	solh
صلحه	sˈlɑhe
صلح‌بانی	sɔlħbɑːniː
صلوات	sælɑmɑːn
صليب	sˈliːb
صليبي	sˈliːbi
صلیب	sˈliːb
صلیبی	sæliːbiː
صلیبی	sˈælbi
صم	sum
صمصامی	sæmˈsɑːmiː
صميم	sˈæmiːm
صميمانه	sɑmiːmɑːne
صميمي	æmiːmiː
صميميت	sæmiːniːt
صمّ	sum
صمیم	sɛmɪn
صمیم	sˈəmiː
صمیمانه	sæmiːmɑːnæ
صمیمی	sæmiːmiː
صنام	senɒːm
صنایع	sæniːˈje
صنایع	sænɑjæ
صنایع	sænɒːje̞ʔ
صندق	sˈdandɪk
صندل	sˈændæl
صندلي	sˈænd̪li
صندليتون	sand̪liˈjet̪on
صندليش	sˈænd̪liːʃ
صندليم	sˈændeliːm
صندليهاي	sˈænd̪lihɑj
صندليِ	sɑnˈdæli
صندلی	sˈændæli
صندوق	sanduq
صندوق	sænduːɢ
صندوقخانه	sænduːqxɑnɛ
صندوقدار	sˈondoqeˈdɑːr
صندوقه	sanduqe
صندوقِ	sanduqe
صندوقچه	sanduqe
صندوقچه	sændˈqˈtʃ
صنعا	sˈnævɑ
صنعت	sˈnæˑt
صنعتي	sˈnæˈvi
صنعتی	sænʔætiː
صنف	θen
صنوبر	sˈnuːbar
صهيون	sˁejˈjon
صهیونیستی	sæhjuːniːstiː
صهیونیستی	sæɦjɔːnɪstˈi
صواب	sʋæb
صوت	sɔːt
صوت	sˈuːt
صوتي	sˈuːti
صوتی	so˨˩ti˥˩
صوتی	sˈuːti
صور	sˈuːr
صورت	suːɾæt
صورت	sɔrat
صورت	sɔːɾɑːt
صورت	sˈuːɾt
صورتت	sˈuːret
صورتته	sˈuːɾt̪e
صورتتو	sˈuːɾettuː
صورتحساب	suɾthasɑb
صورتش	sɔːɾtɑʃ
صورتشه	sˈuːɾeʃe
صورتشو	sˈuːɾtʃuː
صورتشون	sˈuːɾeʃoːn
صورتمه	sɔːɾtæme
صورتمو	sɔːɾtæmo
صورتمون	sˈuːrtæmun
صورته	sˈuːre
صورتهاي	sˈuːretˈhɑj
صورتي	sʊːɾæːtiː
صورتي	sˈuːɾeti
صورتيه	sˈuːrtiː
صورتيکه	sɔːɾtiˈke
صورتی	suːɾætiː
صورتی	sˈuːri
صورتیه	sɔːɾeˈtiː
صورتیکه	suɾtjika
صورتیکه	sɔːɾtiːke
صوري	sˈuːriː
صوری	sɔˈriː
صوفي	sˈuːfiː
صوفی	sʊˈfiː
صوفیه	sufje
صولت	sɔlɑt
صومعه	soːmeː
صياد	sajˈɑ
صيانت	sijɑnɑt
صيغه	sˈiːɣe
صيقل	sˈiːqel
صَفَر	sæfɑr
صُبح	sob
صُبحانِه	sobhɑːne
صِدام	sˈdæm
صیدا	sai̯d̪o
صیغه	sˌiːɢˈɛ
ض	ð
ضال	zɑːn
ضاله	zɑːnle
ضامنش	ðæˈmenæʃ
ضامن‌شدن	dɑːmænʃiːæn
ضايع	zæˈje
ضايعست	zæjæˈʔest
ضايعه	zæjˈje
ضايعي	zɑːˈjeʔi
ضایع	dæˈzæʔ
ضایع	zɒːjæː
ضایعات	zæjˈʔɑt
ضایعه	daːjæze
ضبط	dɒpt
ضجه	ðˈʒe
ضحاک	zæɦɒːk
ضخيم	ðˈxime
ضداسرائیلی	zde̞særiːliː
ضدعفوني	ðædæfɒni
ضدِ	ðæd
ضدگلوله	ðædgoːle
ضراب	zæɾɑːb
ضرابی	zæɾɾɑːbiː
ضرب	ðæɾb
ضربات	ðæɾbɑt
ضربالاجلشان	zæɾbælæʒælʃɑːn
ضربان	ðæɾˈbɑn
ضربانش	ðæɾbɑːnɪʃ
ضربت	ðæɾˈbet
ضربتي	ðæɾbeˈti
ضربدر	bˈdɑːr
ضربدر	ðæɾbædɾ
ضربدري	ðæɾbædˈriː
ضربه	zæɾbe̞
ضربه	ðæɾbe
ضربه‌	zæɾbe
ضرر	ðæɾ
ضررش	dʒæɾæʃ
ضرره	ðæɾˈɾe
ضرري	ðæri
ضرری	ðæɾˈɾiː
ضرورت	zæɾuːɾæt
ضرورت	ðæɾuːɾet
ضرورتي	dʒæɾuːɾti
ضروري	zarori
ضروري	ðæɾuːɾi
ضروريه	ðæɾuːɾiː
ضروری	dʒæɾuːɾiː
ضروری	zæɾuːɾiː
ضروریه	ðæɾuːɾijæ
ضريب	ðæˈriːb
ضریح	zæɾiː
ضعف	dʒæf
ضعف	zæf
ضعفا	ðæˈfæ
ضعفش	ðæfʃ
ضعفشون	ðæfˈʃon
ضعفم	ðæfem
ضعفه	ðæfe
ضعفي	ðæˈfi
ضعفی	dʒæfɪ
ضعيفان	zæifan
ضعيفتر	ðæˈʔiːfeɾ
ضعيفم	ðæˈʔiːfem
ضعيفي	ðæˈfi
ضعيفيم	ðæˈʔiːfeˈm
ضعیف	zæʔiːf
ضعیف	ðæˈʔiːf
ضعیفان	zæifon
ضعیفم	zˈæfˈɑ
ضعیفم	ðæˈʔiːf
ضعیفه	zæjfe
ضعیفه	ðæˈjefe
ضعیفی	ðæˈfiː
ضـلع	sel
ضلال	zælɔl
ضلالت	zælɑːlæt
ضلع	zælʔ
ضلع	ðælʋ
ضلعي	ðælˈʔiː
ضماد	zamod
ضمانت	ðæˈmɑːnæ
ضمانتي	ðæmɑːniː
ضمانتی	dʒæmɑːnˈtiː
ضماير	zæmɑːjæɾ
ضمایم	zæmɑːjæm
ضمن	dʒæmˈn
ضمنا	ðæmˈnæ
ضمناً	dʒæmˈæn
ضمني	dʒæmˈniː
ضمنِ	ðɛmne
ضمنی	zɛmni
ضمير	ðæmiːr
ضميمه	ðæmiːh
ضمیر	zæmˈir
ضمیرها	zæmiːæɾhɒː
ضمیمه	tɑmɪmæ
ضمیمه	ðæˈmiːh
ضوابط	ðoɑːbɪt
ضيافت	dʒiːɑːfe
ضيافت	ziːɑːfæt
ضِماد	zæmɑd
ضیافتی	ziːɒːfatiː
ضیح	zˈaɪ
ط	tɑː
ط	tˁ
طارق	tɑːˈɾeq
طارم	tɑːɾom
طاس	tˁɑs
طاعات	tɒːɒt
طاعون	tɑːʔuːn
طافح	tɒːvæ
طاق	tɑːɢ
طاقتش	ˈtɑːɢetʃ
طاقچه	tɑːxtʃæ
طاقچه	ˈtɑːɣe
طالب	tɑːlæp
طالبان	tɑlæbɑn
طالبان	tɒːle̞bɒːn
طالبي	tɑlˈbi
طالبی	tɑlæbɪ
طالع‌بینی	tɑlʔæbini
طامات	ɑːmɑːt
طاها	tʰaːhɑ
طاهر	tɑːheɾ
طاهرخاني	tɑhɛɾxɑniː
طاهره	tɑːˈheɾe
طاهری	tɑːheɾiː
طاهيم	tˁiːˈhæm
طاول	etʃe
طاووس	tɑːvuːs
طاووسك	tɒːvvæsæk
طاووسي	tɑːvusɪ
طایفه	tɑːjefe
طب	pe
طباخی	tæbɑːxiː
طبال	tæbɑl
طبر	bæɾ
طبقات	tæbɢɑt
طبقه‌بندی‌های	tæbæɢbe̞nˈdiːheje
طبل	abl
طبله	tɑblɛ
طبلها	tˈæblæ
طبي	tæbɪ
طبي	tɛbi
طبيب	tæbʲiːb
طبيبان	tæbiːbɒːn
طبيعتا	tæbɪʔeˈvætæ
طبيعته	tæbʲiʔe
طبيعي	tæbɪˈʔiː
طبيعيش	tæbɪjeʃ
طبيعيه	tæbɪje
طبیعت	tæbiːʔat
طبیعتاً	tæbʲiːʔæte
طبیعی	tæbe̞jiː
طبیعیه	tæbiːʔe
طحال	θæˈlæ
طحالش	θæˈleʃ
طراح	tæɾɑːh
طراحان	tæɾɑːhɑːn
طراحي	tæɾɑːhi
طراحيش	tæɾɑːˈʃeʃ
طراحی	tɾaːj
طراحیش	tæɾɑːˈhiːʃ
طرار	taːrɑːr
طراز	pˈɾæz
طراوت	tæɾɑuːt
طراوت	tæɾɑːvæt
طرایف	tæɾɒːje̞
طرح	tæɾh
طرح	tæɾˈʃ
طرحش	tæɾˈʃ
طرحي	tˈæɾhi
طرحی	θæɾˈhi
طرح‌ها	tɾˈhɑː
طرز	tˈæɾz
طرزِ	tæɾzi
طرف	tæɾæf
طرفا	tæɾfe
طرفاي	tæɾfeˈjæ
طرفای	tæɾfeˈʔej
طرفدار	hæɾfˈdɑːr
طرفدارا	tæɾfedɑːɾɑː
طرفدارات	tæɾfedɑɾɑt
طرفداراش	tæɾfedɑɾɑʃ
طرفدارام	tæɾfedɑːɾɑːm
طرفداران	tæɾfedɑːɾæne
طرفداراي	tæɾfedɑːɾɑːj
طرفدارای	tæɾfedɑːɾɑːj
طرفدارت	tæɾfedɑɾt
طرفدارتم	tæɾfedɑɾe
طرفدارش	tæɾfedɑɾeʃ
طرفدارم	tæɾfeˈdɑɾæm
طرفداره	tæɾfeˈdɑɾe
طرفدارها	tæɾfedɑːɾehɑː
طرفدارهاي	tæɾfedɑːɾehɑːj
طرفداري	tæɾfedɑːɾiː
طرفدارِ	tæɾfedɑːɾe
طرفداری	tæɾfeˈdɑːri
طرفش	tæɾfeʃ
طرفشون	tæɾfeʃoːn
طرفم	tæɾfeˈm
طرفمون	tæɾfeˈmuːn
طرفه	tæɾfe
طرفها	tæɾfehɑ
طرفو	tæɾfeˈvuː
طرفي	tæɾfi
طرفيم	tæɾfejˈme
طرفين	tæɾfeˈjen
طرفيه	tæɾˈfiːje
طرفِ	tæɾfe
طرفی	tæɾfej
طرفیم	tæɾfejˈm
طرفین	tæɾfeˈniː
طرقی	tæɾˈqiː
طريغى	tæɾiːviː
طريقـﮤ	arige
طريقه	tˁɑːriːqɑː
طريقى	hæɾiːqiː
طريقي	tæɾiˈki
طریق	tæɾiːɢ
طریقت	tæɾiːqet
طریقه	tɕaɾiːqiː
طریقهای	tæɾiːqe̞
طشت	tæʃt
ططري	tˈæri
طعم	tˁæm
طعمش	tˁæmæʃ
طعمه	tʃome
طعمه	tˁæmæ
طعمه‌ی	tomije
طعمي	tˁæmi
طعن	taːn
طعنه	taʕne
طعنه‌گو	tajnegu
طغيان	tʊɣjɑn
طغیان‌گر	tɒgjɒːngɒːɾ
طـهما	θæmæ
طفره	tæfˈrɑ
طفلان	tæfˈlɑːn
طفلک	ˈtæflek
طفلکي	ˈtæflekʲi
طلا	tælɒː
طلا	tˁælæ
طلائي	tælɑːji
طلاجات	tælɒːʒɒːd
طلاسازان	tælɒːsɒːzɒːn
طلاست	tˁælɑst
طلاق	tælɑʁ
طلاقت	tælɑːʁe
طلاقش	tælɑːʁeʃ
طلاقم	ˈtælɑːʁæm
طلاقه	tælɑːˈɣe
طلاهاي	tˁælɑhɑj
طلاهای	tˁælɑːhɑj
طلايه	tælɒːje
طلايي	tˁælæjæ
طلاييه	tˁɑːliːje
طلايی	tælɒːhiː
طلای	tælɑj
طلایی	tælɑːi
طلاییه	tˁɑˈliːjæ
طلبان	tælæbɑn
طلبانه	tælæbɑːne
طلبد	tælæbæd
طلبش	tælæbæʃ
طلبكارها	tælbkɑːrˈhɑː
طلبم	tælæbæm
طلبند	tælæbænd
طلبها	tælæbhɑ
طلبيدن	tælˈbidæn
طلبکار	tælæbˈkɑːr
طلبکار	tælˈbkɑːr
طلبی	tælæbæ
طلبید	tælæbiːd
طلبیدم	tælæbiːdæm
طلبیدهام	tælæbiːde̞æm
طلبیدهای	tælæbiːde̞iː
طلبیدهاید	tælæbiːde̞iːd
طلبیدهایم	tælæbiːde̞iːm
طلبیدی	tælæbiːdiː
طلبیدید	tælæbiːdiːd
طلبیدیم	tælæbiːdiːm
طلبیم	tælæbiːm
طلسم	tˈælsæm
طلسمش	tˁælsæmæʃ
طلسمه	tˁælsæme
طلسمي	tˈælsæmi
طلسمی	tˈɑlːsæmi
طليعه	tæliːʔe
طماع	tamo
طمطراق	tæmte̞ɾɒːq
طمعه	tˈmæhe
طناب	ãmb
طنابا	tˈɒnɑbɑ
طنابداران	ənɑːbdɑːrɑːn
طنابه	tˈnɑbe
طنابها	tˈnæbæ
طنابي	tˈɒːniː
طناز	tænɑl
طنبور	tænbuːr
طنز	ˈænz
طنزآلود	ɑnˈzɑlˈud
طنزآمیزی	tænzɑːmiːˈziː
طنزگونه	tænʒgoːle
طنزی	tænziː
طنين	tˈniːn
طنین‌افکن	tæniːne̞fˈkæne
طهران	tɑhɾɑn
طهماسب	tæmɑs
طهماسبي	tæhmɑːsbiː
طهماســــبي	tæhmɑːsbiː
طور	toɾ
طور	tˈoːr
طورايي	ˈtʊɾɑːji
طورم	tˈuːɾm
طوره	tˈuːre
طوري	tʊˈriː
طوري	tˈuːɾi
طوريت	tˈuːriːt
طوريش	tʊˈɾiːʃ
طوريكه	taritʃe
طوريم	tɒːɾiːm
طوريه	θuːɾiːjæ
طوريکه	tˁoːɾiːke
طورِ	tɒɾ
طوری	toɾiː
طوریش	ˈtɒːriːʃ
طوریم	θoːɾiːm
طوریه	ˈtɔːɾijɛ
طوریکه	tʃiːzi
طوسي	suːsiː
طوطي	tɔːti
طوطی	tɔːti
طوطی	tʰuː˧tiː˨˩
طوفان	tuːfun
طوفانه	tˁɔːfɑːne
طوفانِ	tɔːfɑːne
طوقی	tɒːkiː
طول	tuːl
طول	tˈuːl
طول	ˈtæul
طولاني	ˈtæulæni
طولانيه	ˈtæulɑːniːjæ
طولانی	tuːlɒːniː
طولانی	ˈtæulɒni
طولانیه	tʊlɑːniː
طولانیه	ˈtʊlɑːniːe
طولش	tɑːlɑːʃ
طولشه	tɒlʃe
طولي	tˁoli
طولي	uˈniː
طولی	tʰu˥˥li˨˩
طومار	kumˈaɾ
طومار	tʰoːmɑːr
طويله	ævile
طویل	tɑvjːl
طویله	tˈæviːle
طياره	tæjɒːɾe
طيور	tojuɾ
طيِ	tˁi
طَرح	tɑːr
طپش	tˈpʃ
طی	te̞je̞
طی	tʃɛ
طیران	fægæɾɒːn
طیف	tˁiːf
طیلسان	tælˈsæˈr
طینت	kʰiːtʃ
ظالم	zɑːləm
ظالم	ðæˈlæm
ظالمانه	zælæmɑːne
ظالمانه	ðælˈmɑnɛ
ظالمه	ðæˈlæme
ظالمون	zælˈmuːn
ظالمي	ðæˈlemi
ظاهر	zɒːhe̞ɾ
ظاهرا	zɑhæren
ظاهرا	zɒːhe̞ɾæn
ظاهرا	ˈzɑːhɾɑː
ظاهراً	zɑhæɾen
ظاهراً	zɑːheˈɾæˑn
ظاهربین	zɑhɾbeen
ظاهرت	ðæhˈɾet
ظاهردار	zɑhɪrdɑn
ظاهرش	zɑːheɾeʃ
ظاهرشون	zɑːheɾeʃon
ظاهرم	ðæhem
ظاهري	θɑheɾi
ظاهری	zaiʁi
ظاهری	ðæhˈri
ظبط	ðæbˈt
ظرافت	zɾæfæt
ظرافت	ʒæɾɑːfət
ظرایف	zæɾɑːjæf
ظرف	zæɾf
ظرف	ðæɾf
ظرفارو	ðˈʐæfɑːrʊ
ظرفش	zrfæʃ
ظرفشویی	zrfʃoˈji
ظرفها	zæɾfˈhɑ
ظرفها	ðæɾfehɑ
ظرفيت	ʒæɾfiːt
ظرفِ	ˈzæɾfe
ظروف	zæɾuf
ظروف	θoˈɾuːf
ظريف	θæɾiːf
ظريفي	θæriˈfi
ظریف	zæɾiːθ
ظریف	ˈzæriːfi
ظریفی	ðarifi
ظفر	θæfær
ظلم	zolim
ظلم	ðælæm
ظلمات	zælæmɒːt
ظلیمه	zælæme
ظنین	zænˈʃæ
ظهر	ðæɾ
ظهرتون	ðæɾˈtun
ظهره	ðæˈɾe
ظهري	θæɾi
ظهری	zħri
ظواهر	ðæˈhæwæri
ع	æ
عا	æ
عابديني	ɑːbdiːniː
عابر	ɑːbɑːr
عابر	ʔæbɾ
عابران	labɾon
عابربانک	æbæɾbɑːng
عاج	pɑːt
عاج	ʔɑːdʒ
عاجزانه	æˈʒæzæne
عاجزانه	ɑːdʒzɑːne
عادات	ʔæˈdæˑt
عادت	ɑːdət
عادت	ʔɑːdət
عادته	ʔɑːdæte
عادتهاي	ʔædæhɑj
عادت‌واره	ʔɑːdɑtvɑːre
عادل	æˈdæl
عادل	ɑːd̪l
عادلان	ɑːdælɑːn
عادلانست	æˈvædiˈnæst
عادلانه	æˈdæleˈnæ
عادله	ɒdele
عادي	ʔɑːdiː
عاديش	ʔɑːdiːʃ
عاديم	ɑːdæːm
عاديه	æˈdeje
عادی	oti
عادی	ɒːdiː
عادیم	ɑːdiːm
عادیه	ʔædiːh
عار	aɾ
عار	ʔɑːr
عارض	ɑːɾz
عارض	ɾev
عارضه	ʔɑːɾeðe
عارف	ɑːɾf
عارفه	ɑːɾefe
عاري	ʔɑːri
عاريت	ɑːriːt
عاريه	ɑːɾiːe
عاری	ʔɑːˈɾiː
عازم	æzɑm
عازم	ɑːzæm
عاشق	æʃq
عاشقانست	æʃqɑːnæst
عاشقانه	æʃqɑːne
عاشقت	æʃqet
عاشقتم	ʔæʃqetm
عاشقتن	æʃqet̪n
عاشقته	ʔæʃqæte
عاشقتون	æʃqetun
عاشقتونم	æʃqetunem
عاشقش	ʔæʃqeʃ
عاشقشم	ʔæʃqæʃm
عاشقشن	æʃqeʃn
عاشقشه	æʃqeʃe
عاشقشون	æʃqeʃon
عاشقشونم	æʃqeʃonem
عاشقشي	ʔæʃqeʃiː
عاشقشيم	æˈʃqeʃeːm
عاشقشی	æʃqeʃiː
عاشقم	ʔæʃqæm
عاشقمه	ʔæʃqæme
عاشقمي	æʃqemi
عاشقه	æʃqeh
عاشقونه	æʃqoˈne
عاشقي	æʃqi
عاشقيه	æʃqiːje
عاشقِ	æʃq
عاشقی	æʃqi
عاطفه	ʔɑːtæfe
عاطفى	ɑːt̪fiː
عاطفي	ɒːiːtæfiː
عاطفی	ʔɑːt̪fiː
عاطل	ɑːtɛl
عافيت	æfɪt
عافیت	ɑːfiːt
عاقبت	ʔɑːqebet
عاقبتت	ʔɑːqebet
عاقبتش	ʔɑːqebetʃ
عاقبتم	ʔɑqɪbˈtem
عاقبتی	ɒːqbˈtiː
عاقل	æˈɢæl
عاقلان	ɑːgælɑːn
عاقلانه	æɢælɑːne
عاقلانه	ɑːɢlɑːne
عاقله	ʔɑːqæle
عاقلي	ɑːgəli
عاقلي	ʔɑːqli
عاقلی	ʔɑːqeli
عال	ʔæl
عالم	ælæm
عالم	ɑlim
عالمه	ælæmæ
عالمی	ɑːlæmiː
عالى	ali
عالى	æˈlæ
عالي	ɑːri
عالي	ʔɑːliː
عاليتر	ɑːliːtæɾ
عاليجناب	ɑlidʒenɑb
عاليجناب	ʔælæjæˈnɑb
عاليرتبه	ælæjæɾæte
عاليـه	ælɪh
عاليم	ælæˈmi
عالين	æˈliːn
عاليه	ælɪh
عاليي	ælæj
عالييه	ælɪje
عالَم‏	ɑːlæm
عالی	ɑːliː
عالی	ɒːliː
عالی	ʔæˈliː
عالیست	ɑːliːæst
عالیـه	ælɑː
عالیم	ælæˈmiː
عالیه	ælɪhɑ
عالیه	ælɪhɛ
عالیه	ɒːliːe
عالی‌رتبه	ɒːliːɾutbe
عالی‌مقام	ɑːliːmæɣɑːm
عام	æm
عامدا	ɑːmdɑːn
عامدانه	ɑːmdɑːne
عامل	ˈɑːməl
عاملان	ɢɒːmlɒːn
عاملش	æmælæʃ
عاملي	æmˈli
عاملی	ɑːmliː
عاملین	ɑːmʔiːn
عامه	æmæ
عامه	ɑːme
عامو	æmæ
عامي	æmæ
عاميانه	æmijɑːne
عامی	ɑːmiː
عامیانه	æmijɑːne
عانلر	æˈnæleɾ
عايا	ʔæjæ
عايد	ɑːiːt
عايدت	æjˈdæ
عايشه	æjæʃe
عايق	æjæq
عاکف	aʊkeːf
عایا	æˈvɑjæ
عاید	bɑjæd
عایشه	ʔæjˈʃæ
عایق	ɒːjæg
عایق	ʔæjɢ
عایق‌کاری	ɑjɪqkɒːɾiː
عبادت	æbɑːdæt
عبادتش	ɑbɑdætæʃ
عبادتگاه	æbædætˈɣɑ
عبارات	e̞bɒːɾɒːt
عبارات	æbɑːrɑːtæ
عبارت	e̞bɒːɾæt
عبارت	æbɑːrɑt
عبارتست	bɑːrætæst
عبارتند	æbɑːrɑːtend
عبارتي	æbɑːrti
عبارتی	æbɑːɾiːti
عباس	æbɑs
عباسي	ævɑːˈsiː
عبدالحميد	æbdælhemiːn
عبدالله	æbdæʔæ
عبدمناف	ɾæbdiːmænɑːf
عبدي	ˈʔabdi
عبرانی	ɛːbɾɑːniː
عبرت	ʔæbˈɾæt
عبرتي	ʔæbriː
عبرتی	ʔæbriːti
عبري	æbri
عبري	ɛbrɪ
عبری	epri
عبری	ʔæbri
عبودن	æbʊdæn
عبوديت	uboːdiːt
عبور	obuːɾ
عبور	æbɔr
عبورش	æbɔːrɑʃ
عبوره	æbɔːre
عبورومرور	oburomuroːr
عبوري	æbɔːri
عبورکردن	obuːɾkæɾdæn
عبوس	æbɔs
عبید	abejd
عت	ʔet
عتاب	aːtˈb
عتاب	ne̞tɒːb
عتيقه	ʔætiqæ
عتيقه	ʔɑːtiːɣe
عتیق	ʔɑtiː
عتیقات	ɑtiːxɑt
عتیقه	ɑtiɾe
عتیقه	ʔætiqæ
عثمان	ɒsman
عثمان	ʔosˈman
عثماني	ʔosˈmani
عثمانی	ɑsˈmɑːni
عثمانی	ʔosˈmani
عجايب	æʒɑːjæb
عجایب	ʔædʒɑːjeb
عجب	æʒb
عجبم	æʒæbæm
عجله	ægʎe
عجله	ʔædʒle
عجوزه	ʔæˈʒoze
عجولانه	adʒoːlɑːne
عجولانه	ʔædʒoːlɑːne
عجيب	aɣ̞i
عجيبش	ʔæʒiːbʃ
عجيبم	ʔæʒiːbæm
عجیب	ʔædʒiːb
عجیبه	agˈiβe
عجیبه	ʔædʒiːbe
عجیبیه	ʔædʒiːbe
عدالتي	ʔædɑːlæti
عداوت	æˈdæɾˈt
عدد	ʔd̪æd
عدده	ʔadˈde
عددي	ʔædˈdi
عددی	ʔadˈdi
عدس	ædæs
عدس	ʔæd̪s
عدسي	ʔadˈsi
عدسي	ʔdfs
عدل	atˈl
عدل	ædˈl
عدلیه‌چی	ædliːtʃiː
عدل‌فرما	ædlfæɾmɑ
عدل‌ورز	ædælbæɾz
عدم	ædæm
عدمِ	ædæm
عده	etde
عده	ʔæde
عده‌	ete
عده‌ى	edje
عدو	aðoː
عدومی	admˈi
عذا	ʔæˈzæ
عذابها	æzɑːbhæ
عذابي	ʔæðɑːbi
عذاداري	ʔæðɑːdɑːri
عذار	ɛzɑːr
عذر	ozr
عذرخواهي	æzɾxɔːhi
عذرخواهيت	ʔæzɾxɔɑheet
عذرخواهی	ɒːzɾxɒːhiː
عذرخواهی	ʔæzɾxɔhi
عذرميخوام	ʔaðæɾmiχɑːm
عذري	ʔaðˈriː
عر	ʔ
عرابه	æɾuːbe
عراده	ɑːrɑːde
عراق	æɾɒːɢ
عراق	ɾɑːk
عراق	ʔæˈrɑq
عراقي	ʔæɾɑːqi
عراقی	æɾɒːɢiː
عرايض	hæɾɑːjæz
عرب	æɾæb
عرب	ʔæɾb
عربده	ʔæɾbæde
عربستان	ʔærebɪˈstɑn
عربها	ʔærebæ
عربي	ʔæriː
عربی	æɾæbiː
عرش	ʔæɾʃ
عرشه	ʔæɾˈʃe
عرشیا	æɾˈʃiːɑ
عرشیان	æɾˈsijɑːn
عرصه	aɾθe
عرصه	æɾse̞
عرصه	ʔaɾˈse
عرض	arˈs
عرض	ʔaɾˈz
عرضه	æɾze̞
عرضه	æɾˈze
