अ	ʌ
सोच	sots
सोच	sotsʌ
सोच्नु	sotsnu
सोधपुछ	sod̪̚putsʰ
सोधिने	sod̪ine
सोध्नु	sod̪n̪u
सोमबार	sombär
सोमबार	sʌmbär
सोमबार	sʌ̃ũ̯bär
सोहोर्नु	so̤ːrnu
सोह्र	soɾʌ
स्कुल	skul
स्थिति	st̪ʰit̪i
स्याउ	sjäu̯
स्वत	sot̪ʌː
स्वतन्त्र	sot̪ʌn̪t̪rʌ
स्वशिक्षा	sosik̚tsʰjä
स्वागत	swägʌt̪
स्वादिलो	swäd̪ilo
स्वास्नि	swäsni
स्वास्नी	swäsni
ह	ɦʌ
हकार	ɦʌkäɾʌ
हकार्नु	ɦʌkärnu
हग्नु	ɦʌg̞nu
हजम	ɦʌdzʌm
हजाम	ɦʌdzäm
हजार	ɦʌdzär
हजुर	ɦʌdzur
हजुरआमा	ɦʌdzurämä
हजुरबा	ɦʌdzurbä
हजुरबुवा	ɦʌdzurbuä
हत्तेरी	ɦʌt̪̚t̪eɾi
हत्तेरीका	ɦʌt̪̚t̪eɾikä
हप्ता	ɦʌp̚t̪ä
हब्शी	ɦʌbsi
हब्सी	ɦʌbsi
हरा	ɦʌɾä
हराउनु	ɦʌɾäu̯nu
हरियो	ɦʌɾijo
हरेक	ɦʌɾek
हलुको	ɦʌluko
हलो	ɦʌlo
हवाईजहाज	ɦʌwäi̯dzä̤ːdz
हस	ɦʌs
हस्कनु	ɦʌskʌnu
हस्तमैथुन	ɦʌst̪ʌmʌi̯t̪ʰun
हाँक्नु	ɦä̃knu
हाँसो	ɦä̃so
हाँस्नु	ɦä̃snu
हाइड्रोजन	ɦäi̯ɽrodzʌn
हात	ɦät̪
हात्ती	ɦät̪̚t̪i
हान्नु	ɦänːu
हामी	ɦämi
हामीमा	ɦämimä
हामीलाई	ɦämiläi̯
हामीले	ɦämile
हाम्रो	ɦämro
हार्नु	ɦärnu
हावा	ɦäwä
हिँड्नु	ɦĩɽɳu
हिंड्नु	ɦĩɽɳu
हिउँ	ɦiũ
हिउँद	ɦiũd̪
हिजो	ɦidzo
हिज्जे	ɦidzdze
हिन्दी	ɦin̪d̪i
हिमाल	ɦimäl
हिमालय	ɦimälʌe
हिलो	ɦilo
हुँ	ɦum
हुँ	ɦũ
हुँदैन	ɦũd̪ʌi̯nʌ
हुकुम	ɦukum
हुनु	ɦunu
हुनुहुन्छ	ɦunu‿ɦun̻tsʰʌ
हुनुहुन्न	ɦunu‿ɦunːʌ
हुने	ɦune
हुनेछ	ɦunetsʰʌ
हुन्	ɦun
हुन्छ	ɦun̻tsʰʌ
हुन्छन्	ɦun̻tsʰʌn
हृदय	ɾid̪ʌe
हेटौडा	ɦeʈʌu̯ɽä
हेप्नु	ɦepnu
हेर्नु	ɦernu
हेर्नुहोस्	ɦernuos
हो	ɦo
होइन	ɦoi̯nʌ
होइन	ɦʌi̯nʌ
होइनौ	ɦoi̯nʌu̯
होइनौ	ɦʌi̯nʌu̯
होईन	ɦoi̯nʌ
होचो	ɦotso
होटल	ɦoʈʌl
होला	ɦolä
होली	ɦoli
हौ	ɦʌu̯
ह्याँ	ɦjä̃
ह्यात्तेरिका	ɦjät̪̚t̪eɾikä
ह्यात्तेरीका	ɦjät̪̚t̪eɾikä
ह्रस्व	rʌsːo
ह्वाँः	ɦwä̃ː
एक	ek
कि	ki
नि	ni
निको	niko
मेरो	meɾo
यो	jo
होस्	ɦos
