's	s̪
pòsaidh	pʰɔːs̪ɪ
pòsta	pʰɔːs̪t̪ə
radan	ratən
radharc	rˠɤːəɾk
raghnall	rˠãːəl̪ˠ
raghnall	rˠɤ̃ːəl̪ˠ
raibeart	rˠapəɾʂʈ
raineach	rˠaɲəx
rann	rˠaun̪ˠ
raon	rˠɯːn
raonabogha	rˠɯːnəpo
raonaid	rˠɯːnɪtʲ
rathad	rˠaad
rathad	rˠahat̪
reachd	rˠɛxk
reamhar	rˠãũəɾ
reic	rˠeçkʲ
reul	rˠeːɫ̪
reòth	rˠɔː
reòthadh	rˠɔːəɣ
ri	ɾʲi
riabhach	rˠiəvəx
riadh	rˠiəɣ
riaghail	rˠiəal
riamh	rˠiəv
ribe	rˠipə
ridireach	rˠitʲɪɾʲəx
rinn	rˠiːɲ
rinn	ɾɯɲ
rinn	ɾʲiːɲ
riochdaich	rˠixkɪç
rithe	ɾʲiə
rium	ɾɔ̃ũm
rium	ɾʲum
riut	ɾʲuʰt̪
riutha	ɾʲuə
ro	ɾɔ
rob	rˠɔp
robach	rˠopəx
robhar	rˠoəɾ
robhas	rˠoəs̪
roghnaich	rˠoːnɪç
roid	rˠɔtʲ
roile	rˠɔlə
roinn	rˠɤiɲ
roinne	rˠɤɲə
romhad	ɾõət̪
romhad	ɾɔ̃ət̪
romham	ɾõəm
romham	ɾɔ̃əm
rothair	rˠɔhɪɾʲ
ruadh	rˠuəɣ
ruairidh	rˠuəɾʲɪ
ruaraidh	rˠuəɾɪ
rud	rˠut̪
rug	rˠuk
rugadh	ɾukəɣ
ruith	rˠih
rus	rˠus̪
ràitinn	rˠaːhtʲɪɲ
ràmh	rˠaːv
ràn	rˠaːn
rànaich	rˠaːnɪç
rèidh	rˠeːj
rèite	rˠeːʰtʲə
rèiteachadh	rˠeːhtʲəxəɣ
rèitire	rˠeːhtʲɪɾʲə
rìbhinn	rˠiːvɪɲ
rìgh	rˠiː
rìgh	rˠɯi
rìs	rˠiːʃ
ròb	rɔːb
ròmanach	rˠɔːmənəx
ròn	rɔːn
ròsta	rˠɔːs̪t̪ə
rùisg	rˠuːʃc
rùisgte	rˠuːʃtʲə
rùn	rˠuːn
rùraich	rˠuːɾɪç
rùsg	ruːs̪k
rùsgadh	rˠuːs̪kəɣ
s	s̪
sabaid	sapatʲ
sabaid	sapɪtʲ
sabhal	s̪aəl̪ˠ
sabhal	s̪ɔəl̪ˠ
sabhs	saus
sagart	s̪akərʃt
saighdear	sɤitʲəɾ
saighdearach	sɤitʲərəx
sailead	s̪alət̪
saill	saiʎ
salach	saɫ̪əx
salainn	sal̪ˠəɲ
salm	sal̪ˠam
samhain	saũiɲ
samhainn	saũiɲ
samhla	sãũl̪ˠə
samhradh	sauɾəɣ
samhradh	s̪auɾəɣ
sannt	s̪ãũn̪ˠt̪
sanntach	s̪ãũn̪ˠt̪ˠəx
saoghal	s̪ɯːəɫ̪
saoil	s̪ɯːl
saoire	s̪ɯːrʲə
saoirse	s̪ɯːrˠʃə
saor	s̪ɯːɾ
saorsa	s̪ɯːrˠs̪ə
sasainn	sasəɲ
sasannach	s̪as̪ən̪ˠəx
sasgunnach	s̪as̪gən̪ˠəx
seach	ʃɛx
seachain	ʃɛxɪn
seachainn	ʃɛxɪɲ
seachd	ʃɛxk
seachdad	ʃɛxkət̪
seachdnair	ʃɛxkəɾʲ
seachdnar	ʃɛxkəɾ
seachdnaran	ʃɛxkəɾən
seadh	ʃɤɣ
seagh	ʃɤɣ
sealg	ʃaɫ̪ak
seall	ʃaul̪ˠ
sealladh	ʃal̪ˠəɣ
sealtainn	ʃɛl̪ˠt̪ɪɲ
sean	ʃɛn
seanair	ʃɛnɪɾʲ
seanais	ʃɛnɪʃ
seanas	ʃɛnəs
seanasan	ʃɛnəsan
seanchais	ʃɛnəxəʃ
seanchas	ʃɛnəxəs̪
seang	ʃɛŋk
seanmhair	ʃɛnəvɛɾʲ
seanmhar	ʃɛnəvəɾ
seann	ʃãũn̪ˠ
sear	ʃɛr
searbh	ʃɛɾˠɛv
seasaidh	ʃes̪ɪ
seasamh	ʃes̪əv
seasgad	ʃeskət̪
seiceach	ʃeçkʲəx
seiche	ʃeçə
seicich	ʃeçkʲɪç
seilcheag	ʃeləçak
seile	ʃelə
seileach	ʃeləx
seillean	ʃeʎan
seinn	ʃeiɲ
seinneadair	ʃeɲət̪ɪɾʲ
seisear	ʃeʃəɾ
seo	ʃɔ
seoc	ʃɔxk
seocan	ʃɔxkan
seonachan	ʃɔnəxan
seonag	ʃɔnak
seonaidh	ʃɔnɪ
seud	ʃia̯t̪
seudan	ʃia̯t̪ən
seumas	ʃeːməs̪
seun	ʃian
seunta	ʃiən̪ˠt̪ə
seòl	ʃɔːɫ̪
seòladair	ʃɔːl̪ˠət̪ɛɾʲ
seòladh	ʃɔːɫ̪əɣ
seòmar	ʃɔːmər
seònaid	ʃɔːnatʲ
seòras	ʃɔːɾˠəs
seòrsa	ʃɔːrˠs̪ə
sgadan	s̪kat̪an
sgairp	s̪kaɾʲp
sgaradh	skaraɣ
sgarbh	skaɾav
sgath	s̪kah
sgeilp	s̪kʲelp
sgeir	sgʲerʲ
sgeith	s̪ceh
sgian	s̪kʲian
sgiathach	skʲiəhəx
sgimilear	skʲimiləɾʲ
sgimilearachd	skʲimiləɾəxk
sgiobair	skʲipɛɾʲ
sgiobalta	s̪cɪpəl̪ˠt̪ə
sgioblaich	skʲipl̪ˠɪç
sgiort	s̪cɤɾˠʃt̪
sgoilear	s̪kɔlɛɾ
sgoinneil	s̪kɤɲal
sgona	s̪kɔnə
sgonaichean	s̪kɔnɪçən
sgoth	s̪kɔh
sgrathail	skɾahal
sgreamhail	s̪kɾʲɛfal
sgreamhail	s̪kɾʲɛval
sgreuch	s̪krʲiax
sgreuchail	s̪kɾʲiaxal
sgriosail	s̪kɾʲis̪al
sgrìob	s̪kɾʲiːp
sgrìobh	s̪kɾʲiːv
sgrìobhadair	s̪kɾiːvətɛɾʲ
sgrìobhadh	s̪kɾʲiɤʊk
sgrìobhadh	s̪kɾʲiːvəɣ
sgrìobhadh	s̪kɾʲiːɤɣ
sgrùdaich	s̪kɾuːt̪ɪç
sguab	skuəp
sgàire	s̪kaːɾʲə
sgèith	s̪cɛː
sgòth	s̪kɔː
shean	hɛn
sheunta	hiən̪ˠt̪ə
sheòladh	hjɔːɫ̪əɣ
shuas	huəs̪
shàbhail	haːval
shìl	hiːl
shìos	hiəs̪
sia	ʃia
siabann	ʃiəpən̪ˠ
siabannach	ʃiəbənəx
sianar	ʃianəɾ
sianaran	ʃianəɾən
siar	ʃiər
sibh	ʃiv
sibhse	ʃivʃə
sil	ʃil
silidh	ʃilɪ
simidh	ʃimɪ
sin	ʃɛn
sin	ʃɪn
sine	ʃinə
sineubhar	ʃineːvəɾ
sinn	ʃiɲ
sinne	ʃiɲə
sionnach	ʃun̪ˠəx
sionnachan	ʃũn̪ˠəxan
siorram	ʃirˠəm
sitheann	ʃiən̪ˠ
siubhal	ʃuəɫ̪
siud	ʃit̪
siùcar	ʃuːxkər
siùrsach	ʃuːɾs̪əx
siùrsachd	ʃuːrˠs̪əxk
slaod	sl̪ˠɯːd
slaodach	s̪l̪ˠɯːt̪əx
slaodaiche	s̪l̪ˠɯːt̪ɪçə
slathag	s̪l̪ˠaak
sleamhainn	ʃʎɛ̃vɪɲ
sleamhainn	ʃʎɛ̃ũ̯ɪɲ
sliseag	ʃliʃak
sloc	sɫ̪ɔxk
sloinneadh	s̪l̪ˠɤɲəɣ
sluagh	sɫ̪uəɣ
slàine	s̪l̪ˠaːɲə
slàinte	slaːntʃə
slòighre	s̪ɫ̪ɤiɾʲə
smaoinich	s̪mɯːɲɪç
smeòrach	s̪mjɔːɾəx
smid	smitʲ
smiogaid	s̪mikatʲ
smocte	s̪mɔxtʲə
snaidhm	s̪naim
snas	s̪n̪ˠas̪
snasail	snasal
sneachd	ʃɲɛxk
snog	sn̪ˠok
snàmh	sn̪ˠãːv
snàthad	s̪naːhət̪
so	s̪o
so	s̪ɔ
soidhn	sɤin
soidhneadh	sɤinəɣ
soilleir	sɤʎɪɾʲ
soillse	s̪ɤi̯ʎʃə
soillsean	sɤi̯ʎʃan
soineannta	s̪ɔɲən̪ˠt̪ə
soirbheachail	s̪ɤɾʲɤvəxal
solais	s̪ɔl̪ˠɪʃ
solas	s̪ɔl̪ˠəs̪
solasan	s̪ɔl̪ˠəs̪ən
somhairle	s̪oərˠlə
sorcha	s̪ɔɾɔxə
spad	sbad
spadair	sbadɛrʲ
spaidsear	sbadʲʃər
spairt	sparˠʃtʲ
spaistear	sbaʃdʲər
speal	spjal̪ˠ
speuclairean	s̪piaxkl̪ˠɪɾʲən
sponsair	sbɔnsɛrʲ
sponsairich	sbɔnsɛrʲɪç
sporan	spɔran
spruilleach	spɾuʎəx
spàinntis	spaːɲtʲɪʃ
spìos	s̪piəs̪
spìos	s̪piːs̪
spìosrach	s̪piːs̪ɾəx
spìosraich	s̪piːs̪ɾɪç
spòrsail	spɔːrsal
spùinneadair	spuːɲətɪɾʲ
sràid	s̪t̪ɾaːtʃ
sràid	s̪ɾaːtʃ
sràid	s̪ɾaːtʲ
sròn	s̪ɾɔːn
srùbag	s̪t̪ɾuːpak
staid	statʲ
staidhir	s̪t̪ajɪɾʲ
staidhre	s̪t̪aiɾʲə
stais	st̪aʃ
stamag	s̪t̪ʰamak
staoig	s̪tɤikʲ
steòrnabhagh	ʃtʲɔːrˠn̪ˠəvaɣ
stiallach	stʲiəl̪ˠəx
stiubha	ʃtʲuə
stocainn	s̪t̪ɔxkɪɲ
stoirm	s̪t̪ɤɾʲɤm
strì	s̪t̪ɾiː
strìopachas	st̪ɾiːpʰəxəs̪
stèidh	stʲeː
stèidh	ʃtʲeː
stèidheadh	ʃtʲeːəɣ
stèidhich	ʃtʲeːɪç
stèidhte	ʃtʲeːtʲə
suaimhneach	s̪uəivɲəx
suas	s̪uəs̪
suidh	suj
suidhe	s̪ɯiə
suidheachadh	suiəxəɣ
suim	s̪ɯim
suirghe	s̪ɯɾʲɯjə
sunndach	s̪ũːn̪ˠt̪əx
sàbaid	s̪aːpatʲ
sàbaid	s̪aːpɪtʲ
sàbh	s̪aːv
sàbhail	saːval
sàboind	s̪aːpɔɲtʲ
sàboind	s̪aːpɪɲtʲ
sàil	s̪aːl
sàl	saːl̪ˠ
sàmhach	s̪aːvəx
sàr	s̪aːɾ
sàraich	s̪aːɾɪç
sè	ʃɛː
sèimheachadh	ʃɛːvəxəɣ
sìde	ʃiːtʲə
sìl	ʃiːl
sìleas	ʃiːləs̪
sìm	ʃiːm
sìneag	ʃiːnʲak
sìor	ʃiəɾ
sìos	ʃiəs̪
sìth	ʃiː
sònraichte	sɔ̃ːnɾɪçtʲə
sòr	sɔːr
sùbh	s̪uː
sùil	s̪uːl
sùnndach	s̪uːn̪ˠt̪ˠəx
t	t̪ʰ
t'	tʲʰ
tabhann	tʰahən̪ˠ
tablaid	tʰapl̪ˠɪtʲ
taca	tʰaxkə
tachair	tʰaːxɪɾʲ
tachd	taxg
tadhal	tʰɤəl̪ˠ
tagair	tʰakɪrʲ
tagairt	t̪ʰakəɾʲʃtʲ
tagh	t̪ʰɤɣ
taghairm	tʰɤɾʲɤm
taghan	tʰɤɣan
taghta	t̪ʰɤɣt̪ə
taghta	t̪ʰɤːʰt̪ə
taibhse	t̪ʰaivʃə
taibhsean	t̪ʰaivʃən
taigeis	tʰakʲɪʃ
taigh	t̪ʰe
taigh	t̪ʰɤj
taighe	tʰaiə
taighe	tʰɛhə
taighean	t̪ʰɤjən
taing	tʰaiɲc
taingeil	tʰaiŋʲkʲal
taisteal	t̪ʰaʃtʲəl̪ˠ
talamh	t̪ʰal̪ˠav
talla	tʰal̪ˠə
taobh	t̪ʰɯːv
taobhaich	tʰɯːvɪç
tapaidh	tʰahpɪ
tarraing	tʰarˠɪɲc
tartan	tʰarˠʃtan
tasdan	t̪ʰas̪t̪an
tasgadh	tasgəɣ
teachd	tʃʰɛxk
teachdaireachd	tʃʰɛxkɛrʲəxk
teagasg	tʃʰekəsk
teampall	tʲʰɛ̃ũmpəl̪ˠ
teanga	tʃʰɛkə
teanga	tʃʰɛŋgə
teanga	tʃʰɛɣi
teann	tʃʰaun̪ˠ
teannta	tʃʰaun̪ˠt̪ə
teatha	t̪ʰeə
teine	tʃʰenə
teàrlach	tʃʰaːrˠl̪ˠəx
teàrnadh	tʃʰaːrˠn̪ˠəɣ
teòclaid	tʃʰɔːxkl̪ˠɪtʲ
thairbhe	hɛɾʲɛvə
thall	haul̪ˠ
thaobh	hɯːv
tharraing	harˠɪɲc
thatar	haʰt̪ər
thathas	haəs̪
thig	hikʲ
thilg	hilic
thill	hiːʎ
thill	həiʎ
thinn	hiːɲ
thogadh	hokəɣ
thoir	hɔɾʲ
thoirt	hɔrˠʃtʲ
thrang	hɾaŋk
throid	ɾɔtʲ
thuirt	hurˠtʲ
thuirt	hurˠʃtʲ
thuit	huhtʲ
thusa	hus̪ə
thàinig	haːnɪkʲ
thòn	hɔːn
tig	tʲikʲ
tighearna	tʃʰiərˠn̪ˠə
tinn	tʃʰĩːɲ
tinneas	tʃʰiɲəs̪
tiodhlac	tʃʰiəl̪ˠək
tioram	tʃʰiɾəm
tiriodh	tʃʰiɾʲəɣ
tiugainn	tʃʰukɪɲ
tiùrr	tʰʲuːrˠ
tobar	t̪ʰopəɾ
tog	tʰok
togair	togɪrʲ
togalach	tʰokəl̪ˠəx
toilichte	tʰɔləçtʲə
toinn	tʰɤiɲ
toir	t̪ʰɔɾʲ
toirt	t̪ʰɔrˠʃtʲ
toll	tʰɔul̪ˠ
tolladh	tʰɔl̪ˠəɣ
tom	t̪ʰɔum
tomaidh	t̪ʰomɪ
tonnan	tʰɔn̪ˠən
torman	tʰɔɾɔman
tormod	t̪ʰɔrɔmət̪
torrach	tʰɔrˠəx
trang	tʰɾaŋk
trasg	t̪ʰɾas̪k
treasamh	tʰɾesəv
treun	t̪ʰɾʲeːn
trian	tʰɾiən
trianaid	t̪ʰɾiənɪt̪ʲ
triubhas	tʰɾuəs̪
troich	trɔç
troid	tʰɾɔtʲ
troigh	trɔç
trom	t̪ʰɾɔum
trèan	t̪ʰɾɛːn
trìthead	tʰɾiçət̪
tuagh	t̪ʰuəɣ
tuarastail	t̪uəɾˠəsˠt̪əlʲ
tuathail	t̪ʰuəhəl
tuathal	tʰuəhəl̪ˠ
tuathanach	tuəhənəx
tuathanachail	tuəhanəxal
tuathanas	tʰuəhənəs̪
tubaist	tʰupɪʃtʲ
tuig	t̪ʰɯc
tuigsinn	t̪ʰɯcʃɪɲ
tuil	tul
tuilleadh	t̪ʰɯʎəɣ
tuiteam	tʰuhtʲəm
tumadh	t̪ʰuməɣ
tunnag	tʰun̪ˠak
turadh	tʰɯɾəɣ
turas	t̪ʰuɾəs̪
tusa	t̪ʰus̪ə
tàileasg	tʰaːləs̪k
tàinig	t̪aːnɪkʲ
tàirneanach	tʰaːrˠɲənəx
tèarmann	tʲʰiəɾmən̪ˠ
tèarmannair	tʲiərmənɛrʲ
tì	tʃʰiː
tìde	tʃʰiːtʲə
tìm	tʃʰiːm
tìoraidh	tʲiːri
tòmas	tʰoːməs̪
tòn	tʰɔːn
tùdair	tʰuːtɛrʲ
tùsanach	tuːsanəx
uabhasach	uəvəs̪əx
uachdaran	uəxkərən
uaibhreach	uəivɾʲəx
uaigneach	uəkʲɲəx
uaine	uəɲə
uainfheòil	uəɲɔl
uaireannan	uəɾʲən̪ˠən
uan	uan
uath	uəh
uathachas	uəhəxəs
ugan	ukan
uibhist	ɯɪʃtʲ
uicipeid	uçkʲɪpetʲ
uidh	uj
uile	ulə
uileag	ulək
uileann	ulən̪ˠ
uilebheist	uləveʃtʲ
uill	wil
uill	wɛl
uilleam	ɯʎam
uilleim	ɯʎɪm
uimesan	iməs̪ən̪ˠ
uimpe	ɯi̯mpʰə
uimpese	ɯi̯mpʰəʃə
uinnean	ɯɲan
uiread	uɾʲət̪
uiseag	ɯʃak
uisge	ɯʃkʲə
umad	umət̪
umad	ũət̪
umadsa	umət̪s̪ə
umaibh	uməv
umaibhse	uməvʃə
umainn	uməɲ
umainne	uməɲə
umam	uməm
umamsa	uməms̪ə
umha	ũə
umpa	umpʰə
umpasan	umpʰəs̪ən̪ˠ
uncail	uŋkal
ungair	uŋkɪɾʲ
ungairis	uŋkɪɾʲɪʃ
urram	urˠəm
urras	urˠəs̪
à	a
àdhamh	aːɣəv
àicheadh	aːçəɣ
àicheidh	aːçɪ
àilean	aːlan
àille	aːʎə
àilleachd	aːʎəxk
àilleadh	aːʎəɣ
àird	aːɾʃt̪
àirde	aːrˠtʲə
àireamh	aːɾʲəv
àireamhairean	aːɾʲəvɛɾʲən
àireamhan	aːɾʲəvən
àirigh	aːɾʲɪ
àiteach	aːhtʲəx
àl	aːl̪ˠ
àlainn	aːɫ̪ɪɲ
àlainneachd	aːl̪ˠɪɲəxk
àlas	aːl̪ˠəs̪
àm	ãũm
àmhainn	aːvɪɲ
àrach	aːɾəx
àras	aːɾəs̪
àrc	aːɾxk
àrd	aːrˠt̪
às	as̪
èibhinn	eːvɪɲ
èigheachd	eːvəxk
èighich	iːɪç
èille	eːʎə
èirinn	eːɾʲɪɲ
èirisgeigh	eɾʲɪʃkʲaj
èirisgeigh	eɾʲɪʃkʲej
èist	eːʃtʲ
èisteachd	eːʃtʲəxk
èistibh	eːʃtʲɪv
ì	iː
ìle	iːlə
ìobairt	iəpərˠʃtʲ
ìomhar	iəvəɾ
òban	ən̪ˠt̪ʰɔːpan
òg	ɔːk
ògmhios	ɔːkvɪs
òige	ɔːkʲə
òigh	ɔːj
òinseach	ɔːɲʃəx
òir	ɔːɾʲ
òr	ɔːɾ
òran	ɔːɾan
ùidh	uːj
ùine	uːɲə
ùir	uːɾʲ
ùire	uːɾʲə
ùisdean	uːʃtʲan
ùna	uːnə
ùra	uːɾˠə
ùraisg	uːɾɪʃkʲ
ùrnaigh	uːrˠn̪ˠɪ
