ഁ	ɐ̃
പേടിയോ	peːɖijoː
പേടിസ്വപ്നം	peːɖisʋɐpɳɐm
പേന	pɛːn̪ə
പേനയും	peːnəjuːm
പേപ്പര്	peːpːəɾ
പേപ്പറില്	paːpeːɾil
പേപ്പറിൽ	paːpɛɾil
പേപ്പറും	paːpɐruḿ
പേപ്പറുകളും	peːpːəɾuʈɨm
പേപ്പറുകള്	peːpːeːroːkəl
പേപ്പറുകൾ	peːpːɐɾugɯ
പേപ്പർ	peːpːər
പേയും	peːjʌm
പേയ്	peːj
പേരക്കുട്ടി	peːɾɐkːuɖːi
പേരക്കുട്ടികളെ	peːɾɐkːuɖiːɭe
പേരക്കുട്ടികള്	peːɾɐkːuɖiːɭə
പേരക്കുട്ടികൾ	peːɾɐkːuɖiːɭeː
പേരക്കുട്ടിയെ	peːɾəkuɖːije
പേരച്ഛൻ	peːɾɐt̚tʃʰɐn
പേരറിയാം	peːɾɐɾijɑːm
പേരറിയാമോ	peːɾɐɾiːjɑːmo
പേരല്ല	peːɾɐɭː
പേരല്ലേ	peːɾɐɭːeː
പേരാ	peːɾɑː
പേരാകും	peːɾaːkɨm
പേരാണത്	pɛːɾɑːɳɐt̪
പേരാണല്ലോ	peːɾɑːɳɐɭːo
പേരാണു	peːɾɑːɳu
പേരാണോ	pɛːɾɑːɳo
പേരാണ്	pɛːɾɑːm
പേരായ	peːɾɑːj
പേരായിരുന്നു	peːɾɑːɾɑːɳɳɑː
പേരിടാന്	peːɾiɖɑːn
പേരിട്ടത്	peːɾɪɳɳɖɐt̪
പേരിട്ടു	peːɾɪɳɳu
പേരിനു	peːɾiɳu
പേരിനെ	pɛːɾɪnɛ
പേരിന്	pɛːɾɪn̪u
പേരിന്റെ	peːrɪnt̪ə
പേരിലല്ല	peːɾilɐɭː
പേരിലാ	peːɾɪɭɑː
പേരിലാണോ	peːɾilɑːɳo
പേരിലാണ്	peːɾɪɭɑːm
പേരിലായിരിക്കും	peːɾɪlɑːjɪɾikkɯm
പേരിലും	peːɾiːləʋ
പേരിലുള്ള	peːɾɪbɪɭɪ
പേരിലെ	pɛːɾɛːlɛ
പേരിലോ	peːɾiloː
പേരില്	peːɾil
പേരില്ല	peːɾɪɭː
പേരില്ലാത്ത	peːɾɪɭɐːt̪t̪ʰ
പേരിൽ	peːɾɪɭ
പേരു	pɛːɾu
പേരും	peːɾum
പേരുകളില്	peːɾuːgɐlil
പേരുകളും	peːɾuːɭum
പേരുകള്	peːɾuːgɐɭ
പേരുകേട്ട	peːɾʊkɛɖː
പേരുകൾ	peːɾuɭʌs
പേരുടെ	peːɾuɖe
പേരുടെയും	peːɾuɖeːʃ
പേരുണ്ടാകും	peːɾuɳɐːkɯm
പേരുണ്ടായിരുന്നു	peːɾuŋgɑːnd̪uːɾɑː
പേരുണ്ടാവും	peːɾuɳɐvaːm
പേരുണ്ടെന്ന്	peːɾuɳɳeːɳɳe
പേരുണ്ടോ	pɛːɾuɳɳo
പേരുണ്ട്	peːɾuɭt̪
പേരുപോലും	peːɾuːpoːlum
പേരുമായി	peːɾumɑːi
പേരുമിട്ടു	peːɾumɨɾɨd̪u
പേരുള്ള	peːɾuɭː
പേരു്	pɛːɾuː
പേരെ	peːɾe
പേരെക്കൂടി	peːɾeːkuːɖi
പേരെങ്കിലും	peːɾeŋkuɭuːm
പേരെടുത്ത്	peːɾɛɳʈuʈ
പേരെനിക്കറിയില്ല	peːɾeɳikkirijɪɭː
പേരെന്താ	peːɾeːɳɳɐ
പേരെന്താണെന്നാ	peːɾeːn̪t̪aːn̪eːn̪aː
പേരെന്താണ്	peːɾeːntɑːm
പേരെന്തായിരുന്നു	peːɾeːnt̪oːɳɳoːɾɛː
പേരെയും	peːɾeːu
പേരെഴുതി	peːɾeːɻʈi
പേരേ	peːɾeː
പേരേയും	peːɾeːjʌm
പേരേയുള്ളൂ	peːɾeːuɭːuː
പേരൊന്നും	peːɾoːn̪n̪ʊm
പേരൊന്ന്	peːɾoːɳɳ
പേരോ	pɛːɾo
പേരോടും	peːɾoːɖum
പേരോട്	peːɾoːɖ
പേര്	pɛːɾʊ
പേറി	pɛːɾi
പേലോഡ്	peːloːɖ
പേളിനെയും	peːɭiɳeːsu
പേള്	peːɭ
പേഴ്	peːɾ
പേഴ്സണല്	peːɾsɐɳɐl
പേഴ്സി	peːɾsi
പേഴ്സില്	peːɾsɪl
പേഴ്സ്	peːɾs
പേശി	peːʃi
പേശികളും	peːʃiːkɐɭum
പേശികള്	peːʃiːkɐɭ
പേശികൾ	peːʃiːleː
പേഷ്വാ	peːʃʋɑː
പേഷ്വായുടെ	pɛːʃʋɑːjʈʰ
പേഷ്വായെ	peːʃʋaje
പേഷ്വായ്ക്ക്	pɛːʃʋɑːjk
പേസ്റ്റ്	pæːst̪
പോകരുത്	peːaːkəɾʊʈ
പോകാം	peːaːkɑːm
പോകാൻ	peːaːkɑːn
പോകുക	peːaːkʊkʰ
പോകുകയാണോ	peːaːkukɑːɳeː
പോകുകയാണ്	paːɛːkukɑːɳ
പോകുന്നത്	peːagɐn̪d̪ɨt̪
പോകുന്നു	peːaːkuɳɳu
പോയി	peːɐi
പോയിന്റുകൾ	peːəɪ̯ɳɖuḷe
പോയിന്റ്	peːəɪ̯ɪ̯n̪t̪
പോലും	paːlɨm
പോലെ	peːle
പേ൪	peːɳ
പേർ	peːr
പേർക്കും	pɛːɾkɨm
പേർക്ക്	peːɾkː
പേൾമാൻ	peːɭmaːn
പൈ	pai
പൈജാമ	pai̯dʒaːm
പൈനാപ്പിൾ	paɪnɑːpːɪl
പൈന്	pɑjɨn̪
പൈപ്	paɪp
പൈപ്പ്	pɑɪp
പൈയും	paɪʈum
പൈയുടെ	paɪaɨuʈe
പൈലറ്റിനെ	paɪleːt̪ine
പൈലറ്റുകള്	paɪleːt̪oːkəl
പൈലറ്റുമാര്	paɪlɛt̪umɑːɾ
പൈലറ്റ്	paɪlɛːt̪
പൈശാചിക	paɪʃaːtʃik
പൈശാചികത	paɪʃaːtʃɪkɐt̪
പൈശാചികമായ	paɪʃaːtʃikɐmaːj
പൈസ	paɪs
പൈസക്ക്	paɪskːʊ
പൈസയും	paɪsəʊm
പൈസയുടെ	paɪsɐɟu
പൈസയുണ്ട്	paɪsajun̪t̪ə
പൈസയൊന്നും	paɪsajɔnːʌm
പൈസയോ	paɪsajo
പൈസയ്ക്ക്	paɪsɐkːɐ
പൈസേം	paɪsɛːm
പൈൻ	paiːn
പൊ	pɔ
പൊകൂ	pɔkuː
പൊക്കം	pɔkːəm
പൊക്കത്തില്	pɒkːɐt̪ːil
പൊക്കമുണ്ട്	poːkːəmuɭʈ
പൊക്കമുള്ള	poːkːəuːɭːə
പൊക്കാം	pɒkːɑːm
പൊക്കാന്	poːkɑːn
പൊക്കാൻ	poːkɑːn
പൊക്കി	poːki
പൊക്കിപ്പിടി	poʋkiːpiɖi
പൊക്കിയത്	poːkiʈɨʈ
പൊക്കിൾക്കൊടി	poːkɪɭkɔɖi
പൊക്കും	pɔkːum
പൊക്കൂ	pɔkːuː
പൊക്കൊളു	pɒkɒɭu
പൊക്കോ	poːkoː
പൊക്കോട്ടെ	poːkoːʈe
പൊക്കോളാം	poːkoːlɑːm
പൊക്കോളൂ	pɒkɒːluː
പൊക്ക്	pɔkːɔ
പൊങ്ങച്ചം	poːŋgɕɕɐm
പൊങ്ങച്ചക്കാരൻ	pɒŋgəʈːəkːɑːɾən
പൊങ്ങട്ടെ	poːŋgɐʈːe
പൊങ്ങി	poŋgi
പൊടി	pɔɖi
പൊടിക്കാറ്റ്	poɖikɑːʈʈ
പൊടിച്ചു	pɔɖɪt̪ːu
പൊടിപോലും	pɔɖipɔːlʊm
പൊടിയാണ്	pɔɖijɑːm
പൊടിയിലെ	poɖije
പൊടിയും	poɖijum
പൊടുന്നനെ	pɔɖun̪n̪e
പൊട്ട	pɔʈʈ
പൊട്ടത്തരം	pɔʈːɐɾɐm
പൊട്ടത്തരമാണ്	poːʈːɐrɐːmːɐː
പൊട്ടത്തി	poːʈːi
പൊട്ടനാക്കുകയാണോ	poʈːɐnaːkːɐjaːɳo
പൊട്ടനാണെന്നു	pɔʈːɐɳɛɳu
പൊട്ടനാണെന്ന്	poʈːɐɳɑːɳɛnːɯ
പൊട്ടനാണോ	pɔʈːɐnaːɳo
പൊട്ടനാണ്	pɒʈːɐnɑːm
പൊട്ടനെ	pɔʈːɐnɛ
പൊട്ടനെന്നു	pɔʈːən̪nə
പൊട്ടനോ	pɔʈːɐnɔ
പൊട്ടന്	pɒʈːən̪
പൊട്ടന്മാര്	pɒʈːən̪maːɾə
പൊട്ടലുണ്ട്	pɔʈːɐlʌɳʈ
പൊട്ടാ	pɔːʈʌ
പൊട്ടാന്	pɔːʈɑːn̪
പൊട്ടാസ്യം	pɔʈːɑːsjɑːm
പൊട്ടി	pɔɭɭi
പൊട്ടിക്കണം	pɔʈiʋən̪
പൊട്ടിക്കാം	pɒʈiːkɑːm
പൊട്ടിക്കാൻ	pɔʈiːkɑːn
പൊട്ടിക്കും	poʈiʈum
പൊട്ടിക്കുക	pɔʈiːkku
പൊട്ടിക്കുന്നത്	pɔʈːiŋgɯnɯt̪
പൊട്ടിക്കുന്നു	pɔʈːiɛɳɳɔ
പൊട്ടിക്കൂ	pɔʈiːkuː
പൊട്ടിക്ക്	pɔʈiːk
പൊട്ടിച്ചത്	poːʈiʈʈɐt̪
പൊട്ടിച്ചാണ്	pɔʈːiʧɑːm
പൊട്ടിച്ചിരിക്കുക	poʈʈit̚tʃiɾikkugɐ
പൊട്ടിച്ചു	pɔʈːiʈːu
പൊട്ടിച്ച്	pɔʈiʈʈ
പൊട്ടിത്തെറി	pɒʈːit̪t̪eːɾi
പൊട്ടിത്തെറിക്കാന്	poʈːit̪ːeɾikɑːn̪
പൊട്ടിത്തെറിക്കും	pɒʈːit̪ːeɾikːum
പൊട്ടിത്തെറിക്കുന്ന	pɔʈːit̪ːeɾikkɔːŋ
പൊട്ടിത്തെറിക്കുന്നു	pɔʈːit̪t̪eɾikkɔː
പൊട്ടിത്തെറിച്ചു	poʈːiʈːeɾiʈu
പൊട്ടിത്തെറിയിൽ	pɒʈːit̪ːeɾijɪɭ
പൊട്ടിത്തെറിയുടെ	pɒʈːit̪t̪eːɾijʉd̪e
പൊട്ടിപ്പുറപ്പെട്ടു	pɔʈːipuɾɐɭɛɳɖu
പൊട്ടിപ്പോകും	pɒʈʈipɒkɯm
പൊട്ടിപ്പോയി	pɒʈːipɒːi
പൊട്ടിയ	pɔɭɭi
പൊട്ടിയാ	pɒʈːiə
പൊട്ടിയില്ല	poʈːijɪɭː
പൊട്ടിയോ	pɔɳɳio
പൊട്ടും	pɔɭɭum
പൊട്ടുന്ന	pɔʈːun̪n̪
പൊട്ടുന്നത്	pɔʈːɛɳɖ
പൊട്ടുന്നു	pɔʈːʌn̪n̪u
പൊട്ടുമ്പോൾ	pɔʈːumbeːɭ
പൊട്ട്	pɔːʈː
പൊട്ടൻ	pɔʈʈən
പൊണ്ണന്	pɒɳːnə
പൊതി	poːd̪i
പൊതിഞ്ഞ	pōtiɳɳa
പൊതിഞ്ഞു	pot̪iɳɳu
പൊതിഞ്ഞ്	pɔt̪iɳɳʈ
പൊതിയും	pɔt̪ijum
പൊതിയുന്ന	poʈijun̪n̪
പൊതിയുന്നു	pɔt̪ijɐːn̪n̪u
പൊതിരെ	pɒt̪iɾe
പൊതു	potu
പൊതുജന	pɔd̪udʒɐn̪
പൊതുപണിമുടക്ക്	poːd̪uɳimud̪gɯ
പൊതുവായ	potoːʋɑːj
പൊതുവായി	pɔt̪uʋɑːi
പൊതുവെ	pɔt̪uʋe
പൊതുവേ	pōtuvē
പൊതുസ്ഥലത്ത്	pot̪ust̪alɐt̪ː
പൊത്തി	pɒt̪ːi
പൊന്തിക്ക്	pɔn̪d̪iʔk
പൊന്നു	pɔn̪d̪u
പൊന്നും	pɔnːuṁ
പൊന്നൂ	pɔnːuː
പൊന്നെ	pɔn̪n̪e
പൊന്നേ	pɔn̪n̪eː
പൊന്ന്	pɔ̃
പൊയി	poi
പൊയിക്കോ	pojiko
പൊയ്	poj
പൊയ്കൊള്ളാം	pojkɔːɭɑːm
പൊയ്കോ	pojkɔ
പൊയ്കോട്ടെ	pojkɔːt̪e
പൊയ്കോളൂ	pojkɔːluː
പൊയ്ക്കഴിഞ്ഞു	poːkɐɻɪɳɖu
പൊയ്ക്കൂടെ	pojkweːt̪e
പൊയ്ക്കൊ	poːkɔ
പൊയ്ക്കൊള്ളാം	pojkɔɭːæ̃
പൊയ്ക്കൊള്ളു	pojkɔɭːu
പൊയ്ക്കൊള്ളൂ	pɒjkɒɭːu
പൊയ്ക്കോ	pɒjkɔ
പൊയ്ക്കോട്ടെ	poːkkoːʈe
പൊയ്ക്കോട്ടേ	poːkkoːʈeː
പൊയ്ക്കോണം	poɪkɔːɳɑː
പൊയ്ക്കോളാം	poːkɔːlɔːm
പൊയ്ക്കോളും	pɒjkɒːlʊm
പൊയ്ക്കോളൂ	pojkɔːluː
പൊരല്	pɔɾəl
പൊരിക്കലും	poɾikkɐlum
പൊരിച്ച	pɒɾitʃː
പൊരിച്ച്	poɾit̪tʃə
പൊരുതണം	poːɾud̪əɳɐ
പൊരുതാം	poːɾʊt̪aːm
പൊരുതാനുള്ള	pɒɾut̪ɑːn̪uɭ̆
പൊരുതാന്	poːɾut̪aːn̪
പൊരുതാൻ	pɔɾut̪aːɳ
പൊരുതി	poːɾuʈi
പൊരുതികൊണ്ടിരിക്കുന്നു	poːɾutikoːɳɖiɾɐŋgoː
പൊരുതിയത്	pɔɾut̪jɐt̪
പൊരുതും	poɾut̪um
പൊരുതുക	pɔɾut̪ug
പൊരുതുകയാണ്	poɾutukɑːɳ
പൊരുതുകയായിരുന്നു	pɔɾut̪uk̪ɑːgɑːn̪d̪i
പൊരുതുന്ന	poːɾut̪ːuɳ
പൊരുതുന്നത്	pɒɾut̪ɳɳɛt̪
പൊരുതുന്നു	poːɾud̪ːɐn̪ːu
പൊരുതൂ	poːɾuːd̪uː
പൊരുതേണ്ടത്	poːɾuʈeːɳɖɐt̪
പൊരുത്	pɔɾʊʈ
പൊരുത്തം	poɾut̪ːəm
പൊരുത്തപ്പെടാന്	poɾut̪ːəpɛʈɑːn
പൊരുത്തപ്പെട്ടു	poɾut̪ːɐɭɐɖu
പൊരുൾ	pɔɾuɭ
പൊറല്	pɒɾɒɭ
പൊറുക്കട്ടെ	pɒɾukkɐʈʈe
പൊറുക്കണം	pɒɾukːɐɳɐm
പൊറുക്കണേ	poːɾukkɐneː
പൊറുക്കാനാവില്ല	pɒɾukkɑːnɑːʋɪɭ
പൊറുക്കില്ല	poːɾukːɪɭː
പൊറുക്കുക	pɔːrukːu
പൊറുക്കുകയില്ല	poːɾukːəjɪɭːə
പൊറുക്കൂ	pɔːɾukːuː
പൊറുക്കേണമേ	pɒɾukkɛːnɛmɛ
പൊറോട്ട	pɒɾoːʈʈ
പൊലയാടി	pɒlɒjɑːɖi
പൊലയാടിമോന്	pɒlɑjɑːdimoːn
പൊലിഞ്ഞു	pɒlɪɳɳu
പൊലീസിന്	pɒl̪iːs̪iɳ
പൊലീസ്	pɔlīs
പൊലെ	pɔle
പൊളിക്കണം	pɒɭɪkɳɐm
പൊളിക്കാം	pɒɭɪkɐm
പൊളിക്കാന്	pɒɭɪkɑːn
പൊളിക്കും	pɒɭɪkːuṃ
പൊളിക്ക്	pɒlɪk
പൊളിച്ചില്ലേ	pɒɭiʧɪɭɭɛ
പൊളിച്ചു	pɒɭiʈu
പൊളിച്ച്	pɒɭɪtʃ
പൊളിഞ്ഞ	pɒlɪɳɳə
പൊളിഞ്ഞു	pɒɭiɳɳu
പൊളിഞ്ഞ്	pɒlɪɳɳʊ
പൊളിയും	pɒliʝʊm
പൊളിറ്റിക്കല്	poːɭiːt̪ikkɐlɨ
പൊള്ളയായ	pɔɭːjɑːjɑː
പൊള്ളല്	poɭːɭə
പൊള്ളി	poɭɭi
പൊള്ളിക്കും	pɒɭɭɪkum
പൊള്ളിച്ചു	pɔɭːɪtʃu
പൊള്ളുന്ന	poɭːuṇ
പൊഴിഞ്ഞു	poɻiɳɳu
പൊഴിയുന്നു	poɻijuːɳɳu
പൊവാക്ക	pɔʋɑkː
പൊസിഷനിലുള്ള	pɔsiʃɑnɯɭɭɛ
പൊസിഷനിൽ	poːsiʃɐnɪl
പൊസിഷന്	poːsiʃɐn̪
പോ	pɔ
പോംഗ്	pɔːŋg
പോംവഴി	pɔːmʋɐɻi
പോകട്ടെ	pɔkɐʈːe
പോകട്ടേ	pɔkɐʈːe
പോകണം	pɔkɒnɒ
പോകണമല്ലോ	poːkɐɳmɐlloː
പോകണമായിരുന്നു	poʋɐnɐmaɪɾuːɳɳu
പോകണമെങ്കില്	pɔkɐnɐmeŋkil
പോകണമെങ്കിൽ	poːkɐɳemɛŋkil
പോകണമെന്നാണ്	pɔkɐnɐmɛnnɑː
പോകണമെന്നില്ല	pɔkɐnɐmenɪlː
പോകണമെന്നില്ലായിരുന്നു	pɔkɐnɐmenɪɭɪɭɔːŋgɐ
പോകണമെന്നുണ്ടോ	pɔkɐnɐmen̪n̪uɳɯŋo
പോകണമെന്നുണ്ട്	pɔkɐnɐmenɯɳɯt̪
പോകണമെന്ന്	pɔkɐɳɐmɛnn̪ʋ
പോകണമോ	pɔkɐɳɐmo
പോകണേ	pɔkɑɳe
പോകണോ	poːkɐɳoː
പോകണ്ട	poːkɐɳɖ
പോകണ്ടാ	pɔkɑɳɳɑ
പോകണ്ടേ	poːkɐɳɳeː
പോകയാണ്	pɔkɑjɑːn̪
പോകരുതു	pɔkɐɾʊd̪u
പോകരുതെന്നാണ്	poːkɐɾuːt̪eːnɑː
പോകരുതെന്ന്	poːkɐɾuʈeːn̪n̪eː
പോകരുതേ	poːkɐɾut̪eː
പോകരുത്	poːkɐɾuʈ
പോകല്	poːkəl
പോകല്ലേ	poːkɐɭːeː
പോകാം	pɔkɑːm
പോകാതിരിക്കാന്	pɔkɑːt̪iɾikkɑːn̪
പോകാതിരിക്കുക	poːkɑːt̪iɾigːu
പോകാതിരുന്നത്	poːkɑːtriɳɳɑːt̪
പോകാതെ	pɔkɑːt̪e
പോകാത്തത്	poːkɐːt̪ːɨ̆t̪
പോകാന	poːkɑːn
പോകാനനുവദിക്കണം	poːkɑːnɑːnʊʋɑdikkɑːɳ
പോകാനനുവദിക്കരുത്	poːkɑːnɑːnʊʋɑːd̪ɪkɾɨt̪
പോകാനനുവദിക്കൂ	poːkɑːnɑːnʊʋɑːd̪ɪkːuː
പോകാനനുവദിക്ക്	pɔkɑːnɑːnʊʋɑd̪iːk
പോകാനല്ലേ	poːkɑːnɑːlle
പോകാനാ	pɔkɑːnɑː
പോകാനാകില്ല	pɔkɑːnɑːkɪlː
പോകാനാണോ	poːkaːnaːɳoː
പോകാനാണ്	poːkaːnaːm
പോകാനായി	poːkɑːnɑːi
പോകാനാവില്ല	pɔkɑːnɑːʋɪlː
പോകാനില്ല	poːkɑːnɪll
പോകാനും	poːkɑːn̪u
പോകാനുണ്ട്	pɔkɑːnʊɳʈ
പോകാനുള്ള	pɔkɑːnuɭː
പോകാനുള്ളതാണ്	poːkɑːnuːləʈɑːm
പോകാനുള്ളത്	poːkaːnuɭːɖɐt̪
പോകാനൊന്നും	pɔkɑːnɔn̪n̪u
പോകാനോ	poːkɑːnɔ
പോകാന്	poːkɑːn̪
പോകാന്ന്	pɔkɑːn̪ː
പോകാമല്ലോ	pɔkɑːmɑllɔː
പോകാമായിരുന്നു	poːkaːmoːɾɳɳɐ
പോകാമെന്ന്	pɔkɑːmɛnː
പോകാമോ	poːkaːmoː
പോകാറായി	pɔkɑːɾɑːɪ
പോകാറില്ല	poːkaːrɪɭː
പോകാറില്ലേ	poːkɑːrɪɭːeː
പോകാറുണ്ടായിരുന്നു	poːkɑːruːɳːuɳːɛː
പോകാറുണ്ടോ	pɔkɑːɾun̪d̪o
പോകാറുണ്ട്	pɔkɑːɾʌn̪t̪
പോകാറ്	pɔkɑːr
പോകാൻ	poːkɑːn
പോകില്ല	pɔkɪɭɭ
പോകില്ലാ	pogilla
പോകില്ലായിരുന്നു	pɔkɪɭɪɭɔːŋgɑːn
പോകില്ലെന്ന്	poːkɪɭːeːn̪n̪d̪
പോകില്ലേ	pɔkɪɭː
പോകു	poːku
പോകും	pɔgum
പോകുക	poːkuk
പോകുകയ	poːkukɐj
പോകുകയല്ലേ	poːkukayalle
പോകുകയാ	poːkukɑː
പോകുകയാണു്	poːkukɑːɳuː
പോകുകയാണെങ്കില്	poːkuk̟ɑːɲeŋkil
പോകുകയാണെങ്കിൽ	pɔkukɑjɑːn̪egil
പോകുകയാണെന്ന്	poːkukayeːnneː
പോകുകയാണോ	pɔkuk̟ɑɑɳo
പോകുകയാണ്	pɔkukɑːn̪
പോകുകയായിരുന്നു	poːkukɑːgɑːn̪d̪eː
പോകുകയും	poːkɨm
പോകുകയോ	pɔkukɑjo
പോകുന്തോറും	poːguɳɳoːɾuːm
പോകുന്ന	pɔgun̪n̪
പോകുന്നതല്ലേ	poːkunnatallɛ
പോകുന്നതാ	poːkunn̪t̪aː
പോകുന്നതാകും	poːkunn̪t̪aːkuṁ
പോകുന്നതാണു	poːkunn̪t̪aːɳu
പോകുന്നതാണ്	pɔkʊɳt̪ɑːm
പോകുന്നതായിരിക്കും	pɔkʊɳt̪ɑjɪɾikːum
പോകുന്നതിനു	poːkunn̪ːiʈi
പോകുന്നതിനെ	poːkunt̪iŋe
പോകുന്നതിന്	poːgun̪d̪iŋɨ
പോകുന്നതിന്റെ	poːkunn̪ːt̪iːɳɳe
പോകുന്നതില്	pɔkʊn̪n̪d̪iɭ
പോകുന്നതിൽ	pɔgunːɐd̪iɭ
പോകുന്നതു	pɔkʊn̪n̪ə
പോകുന്നതും	pɔgun̪n̪ə
പോകുന്നതുവരെ	pɔgun̪n̪ətuʋɛɾɛ
പോകുന്നതു്	poːkunnatu
പോകുന്നതെങ്കില്	pɔgun̪n̪ət̪eŋkilə
പോകുന്നതെങ്കിൽ	pogun̪n̪ə
പോകുന്നതെന്നു	pɔgun̪nəʈːeɾːu
പോകുന്നതെന്ന്	pɔgunːɐd̪n̪n̪eː
പോകുന്നതേയുള്ളൂ	poːgun̪n̪ateːuɭːuː
പോകുന്നതോടെ	poːkunt̪oːʈe
പോകുന്നത്	pɔkɐɳɳɛt̪ː
പോകുന്നവന്	poːkunnavan
പോകുന്നവരാണ്	poːgun̪n̪əɾaːm
പോകുന്നവരുടെ	poːkʊn̪n̪əɾuʈe
പോകുന്നവര്	poːgun̪n̪əɾə
പോകുന്നിടത്തൊക്കെ	poːkundiʈːoːkɛ
പോകുന്നില്ല	pɔgun̪nɪɭ̆
പോകുന്നില്ലല്ലോ	pɔgunɪllɐɭːʊ
പോകുന്നില്ലെങ്കില്	pɔkʊn̪ːiɭːeŋkɪɭ
പോകുന്നില്ലെന്ന്	pɔkʊnɪɭːɛn̪n̪d̪
പോകുന്നില്ലേ	pɔkʊnɪlle
പോകുന്നു	poːkɐːɳɳu
പോകുന്നുണ്ടെന്ന്	poːkunnundenn̪ː
പോകുന്നുണ്ടോ	pɔkʊn̪n̪uɳɖo
പോകുന്നുണ്ട്	poːkuɳŋuʈu
പോകുന്നുള്ളൂ	pɔkʊn̪uɭːu
പോകുന്നുവെന്നാണ്	poːkuɳːuʋeːnaːm
പോകുന്നുവെന്ന്	poːkuɳːuʋeːɳː
പോകുന്നുവോ	poːkunnuʋo
പോകുന്നൂ	poːkunnuː
പോകുന്നെ	pɔkʊn̪n̪e
പോകുന്നെന്നാണ്	poːkunnennɑː
പോകുന്നെന്ന്	poːkunnelːe
പോകുന്നേ	pɔkʊn̪n̪e
പോകുന്നേന്ന്	poːgun̪n̪eːɳɳeː
പോകുന്നോ	poːkʊɳoː
പോകുമല്ലോ	pɔgumɐɭːo
പോകുമായിരുന്നു	poːkumiːɳɳɑː
പോകുമെന്നാണ്	pɔkumeːnɑː
പോകുമെന്ന്	poːkumeːn̪n̪eː
പോകുമോ	pɔkʊmɔ
പോകുമ്പോള്	pɔgum̆bɔɭ
പോകുമ്പോഴാണ്	pɔkumbɔʐaːn̪
പോകുമ്പോഴും	pɔkumbɔɻum
പോകുമ്പോൾ	pɔkumbɔl
പോകുവാ	pɔkʊʋɑ
പോകുവാണെന്നാ	poːkuʋaːneːnnaː
പോകുവാണെന്ന്	poːkuʋaːɳeɳɳe
പോകുവാണോ	poːkuʋaːɳo
പോകുവാണ്	poːkuʋaːm
പോകുവാന്	poːkuʋaːn̪
പോകുവായിരുന്നു	poːkuːvaːɳɳeː
പോകൂ	pɔkuː
പോകൂന്നു	pɔkɔːn̪n̪u
പോകേണം	pɔkenaːm
പോകേണ്	poːkɛɳ
പോകേണ്ട	poːkend̪
പോകേണ്ടതാണ്	poːkeːɳʈaːm
പോകേണ്ടതായിരുന്നു	poːkẽːɳɖɔː
പോകേണ്ടതില്ല	poːkend̪ət̪iɭ̆
പോകേണ്ടതുണ്ടോ	poːkeːɳɖɨtoː
പോകേണ്ടതുണ്ട്	pɔkẽːɳɖɔːt̪uŋ
പോകേണ്ടതെന്ന്	pɔkẽːɳʈəɭːn̪n̪e
പോകേണ്ടത്	poːkeːɳɖəʈ
പോകേണ്ടി	pɔkɛɳɖi
പോകേണ്ടിയിരിക്കുന്നു	poːkeːɳɳiːɾiʝːɐːd̪oː
പോകേണ്ടിയിരുന്നു	poːkɛɳɖiːuɳɳu
പോകേണ്ടിവരും	pɔkẽɳɖivaruṃ
പോകേണ്ടേ	poːkẽːɳɳeː
പോക്	poʊk
പോക്കര്	pɔkːəɾ
പോക്കറ്റിലുണ്ട്	pɔkːɛːd̪iɭʌɭʌn̪d̪
പോക്കറ്റിലുള്ള	poːkːɛːt̪iːɭɨŋːɨ
പോക്കറ്റില്	pɔkːət̪il
പോക്കറ്റിൽ	pɔkːət̪ːil
പോക്കറ്റുകള്	poːkːeːt̪uɭ
പോക്കറ്റ്	poːkɛːʈ
പോക്കാ	pɔkɔ
പോക്കാണ്	poːkɔːm
പോക്കില്ല	pɔkɪɭɭ
പോക്കുന്നത്	pɔkːɐɳɳɛt̪
പോക്കോ	pɔkːo
പോക്ക്	poːkʰ
പോകൽ	pɔkɐl
പോഗണി	poːgɐɲi
പോങ്ങന്	pɔːŋgən
പോടാ	pɔːt̪ɑː
പോടി	pɔːɖi
പോടീ	poːɖiː
പോടെംകിന്	pɔːɳɳɛkɪn
പോടോ	pɔːt̪o
പോട്ടര്	pɔːʈːəɾ
പോട്ടറിനെ	poːʈːəɾiɳe
പോട്ടറിന്	poːt̪ːəɾiɳ
പോട്ടറിന്റെ	pɔːʈːəɾiɳt̪ʃ
പോട്ടറും	pɔːt̪ːɑːɾum
പോട്ടറെ	pɔːʈːə
പോട്ടു	pɔːʈːu
പോട്ടെ	pɔːʈːe
പോട്ടെടാ	pɔːt̪ːeɖɑ
പോട്ടെടോ	pɔːʈːeɖo
പോട്ടേ	poːʈːeː
പോട്ട്	poːʈː
പോട്ടർ	poːʈːər
പോഡിന്	pɔɖiŋ
പോഡ്	pɔːɖ
പോണ	pɔːɳ
പോണം	pɔːnɑː
പോണത്	pɔːɳɐt̪
പോണമെന്ന്	pōṇamennu
പോണില്ല	pɔːɳɪɭː
പോണില്ലാ	poːɳɪɭɭɑː
പോണില്ലേ	pōṇillē
പോണു	poːɳu
പോണേ	pɔːɳe
പോണോ	pɔːnɔː
പോണ്	pɔːɳ
പോണ്ട	pɔːɳɖ
പോണ്ടിംഗ്	pɔːɳɳiŋ
പോണ്ടിച്ചേരി	poːɳɖitʃeːɾi
