㔂	lan˨˦
植物	sit˦but˦
椏	ue˥˥
椪柑	pʰoŋ˨˩kam˥˥
椰	ia˨˦
椰子	ia˨˦tsi˥˧
楊桃	ĩũ˨˦to˨˦
楊梅	ĩũ˨˦mui˨˦
楓	pŋ˥˥
楓仔	pŋ˥˥a˥˧
楓仔樹	pŋ˥˥a˥˧tsʰiu˧˧
楓仔葉	pŋ˥˥a˥˧hioʔ˨
楔	seʔ˨
楔後手	seʔ˨au˧˧tsʰiu˥˧
楔手縫	seʔ˨tsʰiu˥˧pʰaŋ˧˧
楔空	seʔ˨kʰaŋ˥˥
楔縫	seʔ˨pʰaŋ˧˧
楗	kiŋ˧˧
楞	goŋ˨˦
楠	lam˨˦
楠仔	lam˨˦a˥˧
楠梓	lam˨˦tsu˥˧
楠梓科技園區	lam˨˦a˥˧kʰẽ˥˥kʰo˥˥ki˥˥hŋ˥˥kʰu˥˥
楦	hun˨˩
楬仔	at˨a˥˧
業	giap˦
業主	giap˦tsu˥˧
業債	giap˦tse˨˩
業務	giap˦bu˧˧
業務員	giap˦bu˧˧uan˨˦
業命	giap˦mia˧˧
業界	giap˦kai˨˩
業績	giap˦tsik˨
業者	giap˦tsia˥˧
業餘	giap˦u˨˦
極力	kik˦lik˦
極加	kik˦ke˥˥
極度	kik˦tɔ˧˧
極端	kik˦tuan˥˥
楷模	kʰai˥˧bɔ˨˦
楹仔	ẽ˨˦a˥˧
概尺	kai˨˩tsʰioʔ˨
概念	kai˨˩liam˧˧
概況	kai˨˩hoŋ˥˧
概論	kai˨˩lun˧˧
榕	tsʰiŋ˨˦
榕仔	tsʰiŋ˨˦a˥˧
榨菜	tsa˨˩tsʰai˨˩
榫	sun˥˧
榫空	sun˥˧kʰaŋ˥˥
榫頭	sun˥˧tʰau˨˦
榮幸	iŋ˨˦hiŋ˧˧
榮民	iŋ˨˦bin˨˦
榮耀	iŋ˨˦iau˧˧
榮華	iŋ˨˦hua˨˦
榮譽	iŋ˨˦u˧˧
榴槤	liu˨˦lian˨˦
構圖	kɔ˨˩tɔ˨˦
構思	kɔ˨˩su˥˥
構想	kɔ˨˩sioŋ˥˧
構成	kɔ˨˩siŋ˨˦
構造	kɔ˨˩tso˧˧
槌	tʰui˨˦
槌仔	tʰui˨˦a˥˧
槌槌	tʰui˨˦tʰui˨˦
槍	tsʰĩũ˥˥
槓	kǹg1
槓仔	kǹg1a˥˧
槳	tsĩũ˥˧
槳仔	tsĩũ˥˧a˥˧
槺榔	kʰoŋ˥˥loŋ˨˦
槽	tso˨˦
槽頭	tso˨˦tʰau˨˦
樂	gak˦
樂	lok˨
樂器	gak˦kʰi˨˩
樂園	lok˨hŋ˥˥
樂團	gak˦tʰuan˨˦
樂壇	gak˦tũã˨˦
樂手	gak˦tsʰiu˥˧
樂暢	lok˨tʰioŋ˨˩
樂曲	gak˦kʰik˨
樂界	gak˦kai˨˩
樂章	gak˦tsioŋ˥˥
樂觀	lok˨kuan˥˥
樂跎	lok˨to˨˦
樂迷	gak˦be˨˦
樂隊	gak˦tui˧˧
樂音	gak˦im˥˥
樓	lau˨˦
樓仔	lau˨˦a˥˧
樓仔厝	lau˨˦a˥˧tsʰu˨˩
樓尾頂	lau˨˦bue˥˧tiŋ˥˧
樓層	lau˨˦tsan˨˩
樓栱	lau˨˦koŋ˨˦
樓梯	lau˨˦tʰui˥˥
樓跤	lau˨˦kʰa˥˥
樓頂	lau˨˦tiŋ˥˧
標	piau˥˥
標	pio˥˥
標明	piau˥˥biŋ˨˦
標會仔	pio˥˥hue˧˧a˥˧
標本	piau˥˥pun˥˧
標準	piau˥˥tsun˥˧
標示	piau˥˥si˧˧
標致	pʰiau˥˥ti˨˩
標記	piau˥˥ki˨˩
標誌	piau˥˥tsi˨˩
標頭	pio˥˥tʰau˨˦
標頭	pʰiau˥˥tʰau˨˦
標題	piau˥˥te˨˦
標點	piau˥˥tiam˥˧
樟	tsĩũ˥˥
樟仔	tsĩũ˥˥a˥˧
樟腦	tsĩũ˥˥lo˥˧
樟腦寮	tsĩũ˥˥nɔ˥˧liau˨˦
樠	mia˨˦
模	bɔ˨˦
模仿	bɔ˨˦hoŋ˥˧
模型	bɔ˨˦hiŋ˨˦
模式	bɔ˨˦sik˨
模擬	bɔ˨˦gi˥˧
模樣	bɔ˨˦ĩũ˧˧
模範	bɔ˨˦huan˧˧
模組	bɔ˨˦tsɔ˥˥
樣	ĩũ˧˧
樣式	ĩũ˧˧sik˨
樸實	pʰoʔ˨sit˦
樹	tsʰiu˧˧
樹仔	tsʰiu˧˧a˥˧
樹仔攏燒了了	tsʰiu˧˧a˥˧loŋ˥˧sio˥˥liau˥˧liau˥˧
樹奶	tsʰiu˧˧liŋ˥˥
樹奶束仔	tsʰiu˧˧liŋ˥˥sok˨a˥˧
樹奶糖	tsʰiu˧˧liŋ˥˥tʰŋ˥˥
樹子	tsʰiu˧˧tsi˥˧
樹尾	tsʰiu˧˧bue˥˧
樹木	tsʰiu˧˧bak˦
樹林	tsʰiu˧˧na˨˦
樹枝	tsʰiu˧˧ki˥˥
樹根	tsʰiu˧˧kin˥˥
樹栽	tsʰiu˧˧tsai˥˥
樹梅	tsʰiu˧˧m˥˥
樹椏	tsʰiu˧˧ue˥˥
樹箍	tsʰiu˧˧kʰɔ˥˥
樹絡	tsʰiu˧˧le˥˥
樹葉	tsʰiu˧˧hioʔ˨
樹蔭	tsʰiu˧˧ńg1
樹薯	tsʰiu˧˧tsi˨˦
樹豆	tsʰiu˧˧tau˧˧
樹身	tsʰiu˧˧sin˥˥
樹頭	tsʰiu˧˧tʰau˨˦
樹頭徛予在	tsʰiu˧˧tʰau˨˦kʰia˧˧hɔ˧˧tsai˧˧
橄欖	kan˥˥na˥˧
橋	kio˨˦
橋和	kio˨˦ho˨˦
橋墩	kio˨˦tun˥˥
橋跤	kio˨˦kʰa˥˥
橋頂	kio˨˦tiŋ˥˧
橋頭	kio˨˦a˥˧tʰau˨˦
橋頭	kio˨˦tʰau˨˦
橋頭火車站	kio˨˦tʰau˨˦hue˥˧tsʰia˥˥tsam˧˧
橋頭糖廠	kio˨˦tʰau˨˦tʰŋ˥˥tsʰĩũ˥˧
橐	lok˨
橐	lop˨
橐仔	lok˨a˥˧
橐袋仔	lak˨te˧˧a˥˧
橛	kueʔ˦
機制	ki˥˥tse˨˩
機動	ki˥˥toŋ˧˧
機器	ki˥˥kʰi˨˩
機器桶	ki˥˥kʰi˨˩tʰaŋ˥˧
機型	ki˥˥hiŋ˨˦
機場	ki˥˥tĩũ˨˦
機場旅館	ki˥˥tĩũ˨˦li˥˧kuan˥˧
機場第一航廈	ki˥˥tĩũ˨˦te˧˧it˨haŋ˨˦ha˧˧
機場第二航廈	ki˥˥tĩũ˨˦te˧˧dzi˧˧haŋ˨˦ha˧˧
機密	ki˥˥bit˦
機師	ki˥˥su˥˥
機房	ki˥˥paŋ˨˦
機會	ki˥˥hue˧˧
機械	ki˥˥hai˧˧
機構	ki˥˥kɔ˨˩
機油	ki˥˥iu˨˦
機率	ki˥˥lut˦
機票	ki˥˥pʰio˨˩
機種	ki˥˥tsioŋ˥˧
機緣	ki˥˥ian˨˦
機能	ki˥˥liŋ˨˦
機身	ki˥˥sin˥˥
機車	ki˥˥tsʰia˥˥
機長	ki˥˥tĩũ˥˧
機關	ki˥˥kuan˥˥
機關銃	ki˥˥kuan˥˥tsʰiŋ˨˩
機電	ki˥˥tian˧˧
橫	hũãĩ˨˦
橫向	hũãĩ˨˦hioŋ˨˩
橫山	hũãĩ˨˦sũã˥˥
橫扴	hũãĩ˨˦keʔ˦
橫直	hũãĩ˨˦tit˦
橫財	hũãĩ˨˦tsai˨˦
橫逆	hiŋ˨˦gik˦
橫霸霸	hũãĩ˨˦pa˨˩pa˨˩
檀	tũã˨˦
檔	toŋ˥˧
檔名	toŋ˥˧mia˨˦
檔期	toŋ˥˧ki˨˦
檔案	toŋ˥˧an˨˩
檠	kĩã˨˦
檢定	kiam˥˧tiŋ˧˧
檢察官	kiam˥˧tsʰat˨kũã˥˥
檢方	kiam˥˧hoŋ˥˥
檢查	kiam˥˧tsa˥˥
檢測	kiam˥˧tsʰik˨
檢疫	kiam˥˧ik˦
檢索	kiam˥˧sik˨
檢舉	kiam˥˧ki˥˧
檢視	kiam˥˧si˧˧
檢討	kiam˥˧tʰo˥˧
檢調	kiam˥˧tiau˧˧
檢警	kiam˥˧kiŋ˥˧
檢采	kiam˥˧tsʰai˥˧
檢驗	kiam˥˧giam˧˧
檢點	kiam˥˧tiam˥˧
檨	sũãĩ˧˧
檨仔	sũãĩ˧˧a˥˧
檨仔青	sũãĩ˧˧a˥˧tsʰẽ˥˥
檫仔	tsʰat˨a˥˧
檯面	tai˨˦bin˧˧
檳榔	pin˥˥nŋ˥˥
檸檬	le˨˦boŋ˥˧
櫃	kui˧˧
櫃台	kui˧˧tai˨˦
櫓	lɔ˥˧
櫥	tu˨˦
櫥仔	tu˨˦a˥˧
櫥窗	tu˨˦tʰaŋ˥˥
櫳	laŋ˥˥
櫳仔	loŋ˨˦a˥˧
櫳仔內	loŋ˨˦a˥˧lai˧˧
櫻桃	iŋ˥˥tʰo˨˦
櫻花	iŋ˥˥hue˥˥
櫼	tsĩ˥˥
欄	nua˨˦
欄位	nua˨˦ui˧˧
欄杆	lan˨˦kan˥˥
欉	tsaŋ˨˦
權	kʰuan˨˦
權利	kʰuan˨˦li˧˧
權力	kʰuan˨˦lik˦
權勢	kʰuan˨˦se˨˩
權威	kʰuan˨˦ui˥˥
權益	kʰuan˨˦ik˨
權限	kʰuan˨˦han˧˧
欠	kʰiam˨˩
欠債	kʰiam˨˩tse˨˩
欠安	kʰiam˨˩an˥˥
欠數	kʰiam˨˩siau˨˩
欠用	kʰiam˨˩iŋ˧˧
欠缺	kʰiam˨˩kʰueʔ˨
欠血	kʰiam˨˩hueʔ˨
欠錢怨債主	kʰiam˨˩tsĩ˨˦uan˨˩tse˨˩tsu˥˧
次	tsʰu˨˩
次序	tsʰu˨˩su˧˧
次要	tsʰu˨˩iau˨˩
次長	tsʰu˨˩tĩũ˥˧
欣羨	him˥˥sian˧˧
欣賞	him˥˥sioŋ˥˧
欱	hap˨
欲	beʔ˨
欲上崎矣	beʔ˨tsĩũ˧˧kia˧˧aʔ˨
欲予伊看會上目無簡單	beʔ˨hɔ˧˧i˥˥kʰũã˨˩e˧˧tsĩũ˧˧bak˦bo˨˦kan˥˧tan˥˥
欲做官學做戲	beʔ˨tso˨˩kũã˥˥oʔ˨tso˨˩hi˨˩
欲叫伊出錢是無可能的代誌	beʔ˨kio˨˩i˥˥tsʰut˨tsĩ˨˦si˧˧bo˨˦kʰo˥˧liŋ˨˦e˨˦tai˧˧tsi˨˩
欲呢	beʔ˨ni˨˦
欲好額等後世	beʔ˨ho˥˧giaʔ˦tan˥˧au˧˧si˨˩
欲晝仔	beʔ˨tau˨˩a˥˧
欲暗仔	beʔ˨am˨˩a˥˧
欲望	iok˨boŋ˧˧
欲死	beʔ˨si˥˧
欲死欲活	beʔ˨si˥˧beʔ˨uaʔ˦
欲死盪幌	beʔ˨si˥˧toŋ˧˧hãĩ˨˩
欲知	beʔ˨tsai˥˥
欲變一時間	beʔ˨pian˨˩tsit˦si˨˦kan˥˥
欶	suʔ˨
欶奶	suʔ˨liŋ˥˥
欶水	suʔ˨tsui˥˧
欶管	suʔ˨koŋ˥˧
欸	eʔ˨
欹空	kʰia˥˥kʰaŋ˥˥
欺	kʰi˥˥
欺瞞	kʰi˥˥mua˨˦
欺負	kʰi˥˥hu˧˧
欺貧重富	kʰi˥˥pin˨˦tioŋ˧˧hu˨˩
欺騙	kʰi˥˥pʰian˨˩
款	kʰuan˥˧
款	kʰũã˥˧
款勢	kʰuan˥˧se˨˩
款勸	kʰuan˥˧khǹg1
款式	kʰuan˥˧sik˨
款待	kʰuan˥˧tʰai˧˧
歁	kʰam˥˧
歁歁	kʰam˥˧kʰam˥˧
歁話	kʰam˥˧ue˧˧
歁頭歁面	kʰam˥˧tʰau˨˦kʰam˥˧bin˧˧
歇	hioʔ˨
歇假	hioʔ˨ka˥˧
歇冬	hioʔ˨taŋ˥˥
歇喘	hioʔ˨tsʰuan˥˧
歇寒	hioʔ˨kũã˨˦
歇工	hioʔ˨kaŋ˥˥
歇晝	hioʔ˨tau˨˩
歇暗	hioʔ˨am˨˩
歇暝	hioʔ˨me˨˦
歇涼	hioʔ˨liaŋ˨˦
歇熱	hioʔ˨dzuaʔ˦
歇睏	hioʔ˨kʰun˨˩
歇睏日	hioʔ˨kʰun˨˩dzit˦
歇睏時仔	hioʔ˨kʰun˨˩si˨˦a˥˧
歌	ko˥˥
歌	kua˥˥
歌仔	kua˥˥a˥˧
歌仔先	kua˥˥a˥˧sian˥˥
歌仔冊	kua˥˥a˥˧tsʰeʔ˨
歌仔戲	kua˥˥a˥˧hi˨˩
歌劇	kua˥˥kiok˨
歌壇	kua˥˥tũã˨˦
歌手	kua˥˥tsʰiu˥˧
歌星	kua˥˥tsʰẽ˥˥
歌曲	kua˥˥kʰik˨
歌聲	kua˥˥sĩã˥˥
歌舞	kua˥˥bu˥˧
歌舞團	kua˥˥bu˥˧tʰuan˨˦
歌詞	kua˥˥su˨˦
歌詩	kua˥˥si˥˥
歌謠	kua˥˥iau˨˦
歌迷	kua˥˥be˨˦
歐式	au˥˥sik˨
歐盟	au˥˥biŋ˨˦
歕	pun˨˦
歕火	pun˨˦hue˥˧
歕觱仔	pun˨˦pi˥˥a˥˧
歕雞胿	pun˨˦ke˥˥kui˥˥
歕雞胿仔	pun˨˦ke˥˥kui˥˥a˥˧
歕風	pun˨˦hoŋ˥˥
歡呼	huan˥˥hɔ˥˥
歡喜	hũã˥˥hi˥˧
歡樂	huan˥˥lok˨
歡歡喜喜	hũã˥˥hũã˥˥hi˥˧hi˥˧
歡歡喜喜一工	hũã˥˥hũã˥˥hi˥˧hi˥˧tsit˦kaŋ˥˥
歡迎	huan˥˥giŋ˨˦
歡送	huan˥˥saŋ˨˩
歡頭喜面	hũã˥˥tʰau˨˦hi˥˧bin˧˧
止	tsi˥˧
止喙焦	tsi˥˧tsʰui˨˩ta˥˥
止嗽	tsi˥˧sau˨˩
止枵	tsi˥˧iau˥˥
止疼	tsi˥˧tʰĩã˨˩
止血	tsi˥˧hueʔ˨
止飢	tsi˥˧ki˥˥
正	tsiŋ˨˩
正	tsĩã˨˩
正中晝	tsĩã˨˩tioŋ˥˥tau˨˩
正宗	tsĩã˨˩tsoŋ˥˥
正常	tsiŋ˨˩sioŋ˨˦
正式	tsiŋ˨˩sik˨
正手	tsĩã˨˩tsʰiu˥˧
正手爿	tsĩã˨˩tsʰiu˥˧piŋ˨˦
正是	tsĩã˨˩si˧˧
正月	tsĩã˥˥gueʔ˦
正月正時	tsĩã˥˥gueʔ˦tsĩã˥˥si˨˦
正本	tsĩã˨˩pun˥˧
正派	tsiŋ˨˩pʰai˨˩
正港	tsĩã˨˩kaŋ˥˧
正爿	tsĩã˨˩piŋ˨˦
正當	tsiŋ˨˩toŋ˥˥
正當時	tsĩã˨˩toŋ˥˥si˨˦
正確	tsiŋ˨˩kʰak˨
正範	tsĩã˨˩pan˧˧
正統	tsiŋ˨˩tʰoŋ˥˧
正經	tsiŋ˨˩kiŋ˥˥
正義	tsiŋ˨˩gi˧˧
正著時	tsĩã˨˩tioʔ˨si˨˦
正視	tsiŋ˨˩si˧˧
正路	tsĩã˨˩lɔ˧˧
正身	tsĩã˨˩sin˥˥
正途	tsiŋ˨˩tɔ˨˦
正門	tsĩã˨˩mŋ˥˥
正面	tsĩã˨˩bin˧˧
正音	tsĩã˨˩im˥˥
正頓	tsĩã˨˩tǹg1
此	tsʰu˥˧
此外	tsʰu˥˧gua˧˧
此時	tsʰu˥˧si˨˦
步	pɔ˧˧
步入	pɔ˧˧dzip˦
步數	pɔ˧˧sɔ˨˩
步調	pɔ˧˧tiau˧˧
步輦	pɔ˧˧lian˥˧
步頻	pɔ˧˧pin˨˦
武	bu˥˧
武俠	bu˥˧kiap˨
武力	bu˥˧lik˦
武功	bu˥˧koŋ˥˥
武器	bu˥˧kʰi˨˩
武塔	bu˥˧tʰaʔ˨
武士	bu˥˧su˧˧
武將	bu˥˧tsioŋ˨˩
武市	bu˥˧tsʰi˧˧
武林	bu˥˧lim˨˦
武生	bu˥˧siŋ˥˥
武藝	bu˥˧ge˧˧
武術	bu˥˧sut˦
武裝	bu˥˧tsoŋ˥˥
武車	bu˥˧tsʰia˥˥
歧視	ki˨˦si˧˧
歪	uai˥˥
歪哥	uai˥˥ko˥˥
歪喙	uai˥˥tsʰui˨˩
歪喙雞食好米	uai˥˥tsʰui˨˩ke˥˥tsiaʔ˦ho˥˧bi˥˧
歪斜	uai˥˥tsʰuaʔ˦
歪膏揤斜	uai˥˥ko˥˥tsʰiʔ˦tsʰuaʔ˦
歲	hue˨˩
歲	sue˨˩
歲壽	hue˨˩siu˧˧
歲月	sue˨˩guat˦
歲頭	hue˨˩tʰau˨˦
歷代	lik˦tai˧˧
歷來	lik˦lai˨˦
歷史	lik˦su˥˧
歷練	lik˦lian˧˧
歸	kui˥˥
歸來	kui˥˥lai˨˦
歸尾	kui˥˥bue˥˧
歸屬	kui˥˥siok˨
歸納	kui˥˥lap˦
歸類	kui˥˥lui˧˧
歹	pʰãĩ˥˧
歹也一句	pʰãĩ˥˧ia˧˧tsit˦ku˨˩
歹人	pʰãĩ˥˧laŋ˨˦
歹人厚言語	pʰãĩ˥˧laŋ˨˦kau˧˧gian˨˦gi˥˧
歹代	pʰãĩ˥˧tai˧˧
歹代直直來交纏	pʰãĩ˥˧tai˧˧tit˦tit˦lai˨˦kau˥˥tĩ˨˦
歹價	pʰãĩ˥˧ke˨˩
歹剃頭	pʰãĩ˥˧tʰi˨˩tʰau˨˦
歹勢	pʰãĩ˥˧se˨˩
歹吉兆	pʰãĩ˥˧kiat˨tiau˧˧
歹命	pʰãĩ˥˧mia˧˧
歹命人	pʰãĩ˥˧mia˧˧laŋ˨˦
歹喙	pʰãĩ˥˧tsʰui˨˩
歹喙斗	pʰãĩ˥˧tsʰui˨˩tau˥˧
歹囝	pʰãĩ˥˧kĩã˥˧
歹囝症	pʰãĩ˥˧kĩã˥˧tsiŋ˨˩
歹天	pʰãĩ˥˧tʰĩ˥˥
歹年冬	pʰãĩ˥˧ni˨˦taŋ˥˥
歹年冬厚痟人	pʰãĩ˥˧ni˨˦taŋ˥˥kau˧˧siau˥˧laŋ˨˦
歹徒	pʰãĩ˥˧tɔ˨˦
歹心	pʰãĩ˥˧sim˥˥
歹性地	pʰãĩ˥˧siŋ˨˩te˧˧
歹意	pʰãĩ˥˧i˨˩
歹手爪	pʰãĩ˥˧tsʰiu˥˧dziau˥˧
歹扭搦	pʰãĩ˥˧liu˥˧lak˦
歹日	pʰãĩ˥˧dzit˦
歹星	pʰãĩ˥˧tsʰẽ˥˥
歹款	pʰãĩ˥˧kʰuan˥˧
歹死	pʰãĩ˥˧si˥˧
歹物	pʰãĩ˥˧miʔ˦
歹物仔	pʰãĩ˥˧miʔ˨a˥˧
歹物毋通買	pʰãĩ˥˧miʔ˦m˥˥tʰaŋ˥˥be˥˧
歹瓜厚子	pʰãĩ˥˧kue˥˥kau˧˧tsi˥˧
歹症頭	pʰãĩ˥˧tsiŋ˨˩tʰau˨˦
歹癖	pʰãĩ˥˧pʰiaʔ˨
歹癖片	pʰãĩ˥˧pʰiaʔ˨pʰĩ˨˩
歹看	pʰãĩ˥˧kʰũã˨˩
歹看相	pʰãĩ˥˧kʰũã˨˩sĩũ˨˩
歹看面	pʰãĩ˥˧kʰũã˨˩bin˧˧
歹睏	pʰãĩ˥˧kʰun˨˩
歹積德	pʰãĩ˥˧tsik˨tik˨
歹空	pʰãĩ˥˧kʰaŋ˥˥
歹空的相爭報	pʰãĩ˥˧kʰaŋ˥˥e˨˦sio˥˥tsẽ˥˥po˨˩
歹竹出好筍	pʰãĩ˥˧tik˨tsʰut˨ho˥˧sun˥˧
歹紡	pʰãĩ˥˧pʰaŋ˥˧
歹聲嗽	pʰãĩ˥˧sĩã˥˥sau˨˩
歹聽	pʰãĩ˥˧tʰĩã˥˥
歹育飼	pʰãĩ˥˧io˥˥tsʰi˧˧
歹腹肚	pʰãĩ˥˧pak˨tɔ˥˧
歹船拄著好港路	pʰãĩ˥˧tsun˨˦tu˥˧tioʔ˨ho˥˧kaŋ˥˧lɔ˧˧
歹話	pʰãĩ˥˧ue˧˧
歹講	pʰãĩ˥˧koŋ˥˧
歹路	pʰãĩ˥˧lɔ˧˧
歹運	pʰãĩ˥˧un˧˧
歹過	pʰãĩ˥˧kue˨˩
歹銅舊錫	pʰãĩ˥˧taŋ˨˦ku˧˧siaʔ˨
歹銅舊錫簿仔紙通賣無	pʰãĩ˥˧taŋ˨˦ku˧˧siaʔ˨pʰɔ˧˧a˥˧tsua˥˧tʰaŋ˥˥be˧˧bo˨˦
歹面	pʰãĩ˥˧bin˧˧
歹面相看	pʰãĩ˥˧bin˧˧sio˥˥kʰũã˨˩
歹食	pʰãĩ˥˧tsiaʔ˦
歹鬼𤆬頭	pʰãĩ˥˧kui˥˧tsʰua˧˧tʰau˨˦
歹𤆬頭	pʰãĩ˥˧tsʰua˧˧tʰau˨˦
死	si˥˧
死	su˥˧
死了後一定會上天堂	si˥˧liau˥˧au˧˧it˨tiŋ˧˧e˧˧tsĩũ˧˧tʰian˥˥toŋ˨˦
死亡	si˥˧boŋ˨˦
死人	si˥˧laŋ˨˦
死人款	si˥˧laŋ˨˦kʰuan˥˧
死人面	si˥˧laŋ˨˦bin˧˧
死傷	si˥˧sioŋ˥˥
死刑	si˥˧hiŋ˨˦
死去	si˥˧kʰi˨˩
死因	si˥˧in˥˥
死囡仔	si˥˧gin˥˧a˥˧
死囡仔䖙	si˥˧gin˥˧a˥˧tʰe˥˥
死囡仔脯	si˥˧gin˥˧a˥˧pɔ˥˧
死坐活食	si˥˧tse˧˧uaʔ˦tsiaʔ˦
死好	si˥˧ho˥˧
死心	si˥˧sim˥˥
死忠	si˥˧tioŋ˥˥
死性	si˥˧siŋ˨˩
死會	si˥˧hue˧˧
死板	si˥˧pan˥˧
死殗殗	si˥˧gian˧˧gian˧˧
死泉	si˥˧tsũã˨˦
死活	si˥˧uaʔ˦
死海	si˥˧hai˥˧
死無人	si˥˧bo˨˦laŋ˨˦
死症	si˥˧tsiŋ˨˩
死皇帝毋值得活乞食	si˥˧hoŋ˨˦te˨˩m˥˥tat˦tit˨uaʔ˦kʰit˨tsiaʔ˦
死目	si˥˧bak˦
死目毋願瞌	si˥˧bak˦m˥˥guan˧˧kʰeʔ˨
死窟仔水	si˥˧kʰut˨a˥˧tsui˥˧
死結	si˥˧kat˨
死絕	si˥˧tseʔ˦
死罪	si˥˧tsue˧˧
死者	si˥˧tsia˥˧
死肉	si˥˧baʔ˨
死蛇活尾溜	si˥˧tsua˨˦uaʔ˦bue˥˧liu˥˥
死角	si˥˧kak˨
死訣	si˥˧kuat˨
死諍	si˥˧tsẽ˨˩
死豬仔價	si˥˧ti˥˥a˥˧ke˨˩
死賴人	si˥˧lua˧˧laŋ˨˦
死趖	si˥˧so˨˦
死路	si˥˧lɔ˧˧
死路旁	si˥˧lɔ˧˧poŋ˨˦
死道友	si˥˧to˧˧iu˥˧
死錢	si˥˧tsĩ˨˦
死體	si˥˧tʰe˥˧
死鹹	si˥˧kiam˨˦
殕	pʰu˥˧
殕殕	pʰu˥˧pʰu˥˧
殕色	pʰu˥˧sik˨
殖民	sit˦bin˨˦
殖民者	sit˦bin˨˦tsia˥˧
殘忍	tsan˨˦dzim˥˧
殘殘	tsʰan˨˦tsʰan˨˦
殘留	tsan˨˦liu˨˦
殘酷	tsan˨˦kʰok˨
殘障	tsan˨˦tsioŋ˨˩
殘骸	tsan˨˦hai˨˦
殭屍	kʰioŋ˥˥si˥˥
殯儀館	pin˥˥gi˨˦kuan˥˧
段	tũã˧˧
段落	tũã˧˧loʔ˨
殺	sat˨
殺人	sat˨dzin˨˦
殺害	sat˨hai˧˧
殺手	sat˨tsʰiu˥˧
殺氣	sat˨kʰi˨˩
殺生	sat˨siŋ˥˥
殼	kʰak˨
殼仔絃	kʰak˨a˥˧hian˨˦
毀	hui˥˧
毀於一旦	hui˥˧i˨˦it˨tan˨˩
毀滅	hui˥˧biat˦
毋	m˥˥
毋但	m˥˥na˧˧
毋值	m˥˥tat˦
毋值天一劃	m˥˥tat˦tʰĩ˥˥tsit˦ueʔ˦
毋值得翻田塗	m˥˥tat˦tit˨huan˥˥tsʰan˨˦tʰɔ˨˦
毋免	m˥˥bian˥˧
毋免相爭	m˥˥bian˥˧sio˥˥tsẽ˥˥
毋免計較	m˥˥bian˥˧ke˨˩kau˨˩
毋免轉斡	m˥˥bian˥˧tńg1uat˨
毋免遐工夫	m˥˥bian˥˧hiaʔ˨kaŋ˥˥hu˥˥
毋免閣加工啦！	m˥˥bian˥˧koʔ˨ke˥˥kaŋ˥˥lah!1
毋准	m˥˥tsun˥˧
毋好	m˥˥ho˥˧
毋好勢	m˥˥ho˥˧se˨˩
毋就	m˥˥to˧˧
毋情願	m˥˥tsiŋ˨˦guan˧˧
毋成	m˥˥tsĩã˨˦
毋成人	m˥˥tsĩã˨˦laŋ˨˦
毋成囝	m˥˥tsĩã˨˦kĩã˥˧
毋成囡仔	m˥˥tsĩã˨˦gin˥˧a˥˧
毋成樣	m˥˥tsĩã˨˦ĩũ˧˧
毋成物	m˥˥tsĩã˨˦miʔ˦
毋成猴	m˥˥tsĩã˨˦kau˨˦
毋成賊	m˥˥tsĩã˨˦tsʰat˦
毋我欲送予別人	m˥˥gua˥˧beʔ˨saŋ˨˩hɔ˧˧pat˦laŋ˨˦
毋才	m˥˥tsiaʔ˨
毋才愛請伊來鬥相共！	m˥˥tsiaʔ˨ai˨˩tsʰĩã˥˧i˥˥lai˨˦tau˨˩sã˥˥kang!7
毋才會予老師罵	m˥˥tsiaʔ˨e˧˧hɔ˧˧lau˧˧su˥˥me˧˧
毋才會火燒埔	m˥˥tsiaʔ˨e˧˧hue˥˧sio˥˥pɔ˥˥
毋才無共你招	m˥˥tsiaʔ˨bo˨˦ka˧˧li˥˧tsio˥˥
毋才較會去得失人	m˥˥tsiaʔ˨kʰaʔ˨e˧˧kʰi˨˩tik˨sit˨laŋ˨˦
毋拄好	m˥˥tu˥˧ho˥˧
毋拄好落雨就用會著	m˥˥tu˥˧ho˥˧loʔ˨hɔ˧˧to˧˧iŋ˧˧e˧˧tioʔ˨
毋挃	m˥˥tiʔ˦
毋捌	m˥˥bat˨
毋敢	m˥˥kã˥˧
毋是	m˥˥si˧˧
毋是分身	m˥˥si˧˧hun˥˥sin˥˥
毋是勢	m˥˥si˧˧se˨˩
毋是外孫	m˥˥si˧˧gua˧˧sun˥˥
毋是款	m˥˥si˧˧kʰuan˥˧
毋是真正的頭家	m˥˥si˧˧tsin˥˥tsĩã˨˩e˨˦tʰau˨˦ke˥˥
毋是經理	m˥˥si˧˧kiŋ˥˥li˥˧
毋是頭手	m˥˥si˧˧tʰau˨˦tsʰiu˥˧
毋是高級貨	m˥˥si˧˧ko˥˥kip˨hue˨˩
毋甘	m˥˥kam˥˥
毋甘嫌	m˥˥kam˥˥hiam˨˦
毋甘願	m˥˥kam˥˥guan˧˧
毋知	m˥˥tsai˥˥
毋知人	m˥˥tsai˥˥laŋ˨˦
毋知伊到底是欲按怎	m˥˥tsai˥˥i˥˥tau˨˩te˥˧si˧˧beʔ˨an˥˧tsũã˥˧
毋知影	m˥˥tsai˥˥ĩã˥˧
毋知死	m˥˥tsai˥˥si˥˧
毋知死活	m˥˥tsai˥˥si˥˧uaʔ˦
