5	t
непостојање	nepǒːstojaːɲe
непостојећи	nepǒːstojeːtɕiː
непотпун	nêpotpun
непотпуне	nˈɛtpˈotpˈune
непотпуно	nêpotpuno
непотребан	nêpotreban
непотребно	nêpotrebno
непоуздан	nêpouzdaːn
непоуздано	nêpouzdaːno
непоузданост	nêpouzdaːnoːst
непоштен	nêpoʃten
непоштено	nêpoʃteno
непоштење	nepoʃtěːɲe
непојмљив	nepǒjmʎiʋ
неправедан	nêpraʋedan
неправедно	nêpraʋedno
неправилан	nêpraʋiːlan
неправилно	nêpraʋiːlno
неправилност	nepraʋǐːlnoːst
непрактичан	nêpraktitʃan
непрактично	nêpraktitʃno
непрактичност	neprǎktitʃnoːst
непреводив	nepreʋǒdiʋ
непреводивост	nepreʋǒdiʋoːst
непредвидљив	nepredʋǐdʎiʋ
непредвидљиво	nepredʋǐdʎiʋo
непредвидљивост	nepredʋǐdʎiʋoːst
непредвиђен	neprědʋidʑen
непредвиђено	neprědʋidʑeno
непрекидан	nêprekiːdan
непрекидно	nêprekiːdno
непрекидност	neprekǐːdnoːst
непрекинут	neprěkinuːt
непрекинутост	neprěkinutoːst
непрелазан	nêprelaːzan
непремостив	nepremǒstiʋ
непреносив	neprenǒsiʋ
непреносивост	neprenǒsiʋoːst
непрепознатљив	neprepoznǎtʎiʋ
непрепознатљивост	neprepoznǎtʎiʋoːst
непрепоран	neprěːpoːran
непрепорно	neprěːpoːrno
непрестан	nêprestaːn
непрестано	neprěstano
непрестанце	nêprestantseː
непресушан	nêpresuːʃan
непресушност	nêpresuːʃnoːst
непретенциозан	nêpretentsioːzan
непрецизан	nêpretsiːzan
непрецизно	nêpretsiːzno
непризнат	nêpriznaːt
неприкладан	neprǐkladan
неприлика	neprǐːlika
неприличан	neprǐːlitʃan
неприличност	neprǐːlitʃnoːst
непримерен	neprǐmeren
непримерено	neprǐmereno
неприметан	nêprimetan
неприметно	nêprimetno
неприметљив	neprimětʎiʋ
непримјерен	neprǐmjeren
непримјерено	neprǐmjereno
непримјетан	nêprimjetan
непримјетно	nêprimjetno
непримјетљив	neprimjětʎiʋ
непринципијелан	nêprintsipijeːlan
неприпремљен	neprǐpreːmʎen
неприпремљеност	neprǐpreːmʎenoːst
неприродан	neprǐːrodan
неприродно	neprǐːrodno
неприродност	neprǐːrodnoːst
непристојан	nêpristoːjan
непристојно	neprǐːstoːjno
непристојност	nepristǒːjnoːst
непристран	neprǐstran
непристрано	neprǐstrano
непристраност	neprǐstranoːst
неприступачан	nêpristupaːtʃan
неприступачно	nêpristupaːtʃno
неприступачност	nêpristupaːtʃnoːst
неприсутан	něprisutan
неприсутност	něprisutnoːst
неприхватљив	neprixʋǎtʎiʋ
непријазан	něprijaːzan
непријатан	nêprijaːtan
непријатељ	něprijateʎ
непријатељица	neprijatěʎitsa
непријатељски	nepriateʎski
непријатељски	neprijatěʎskiː
непријатељство	neprijatěʎstʋo
непријатно	nêprijaːtno
непријелазан	nêprijelaːzan
непријепоран	neprijěːpoːran
непријепорно	neprijěːpoːrno
непробављен	neprǒbaʋʎen
непробављив	neprobǎʋʎiʋ
непробојан	nêproboːjan
непроверен	neprǒʋeren
непровидан	nêproʋiːdan
непровјерен	neprǒʋjeren
непродан	nêprodaːn
непродуктиван	nêproduktiːʋan
непродуктивност	neproduktǐːʋnoːst
непрозиран	nêproziːran
непрозирно	nêproziːrno
непрозирност	neprozǐːrnoːst
непрокушан	neprǒkuʃaːn
непромењен	neprǒmeːɲen
непромишљен	neprǒmiʃʎen
непромишљено	neprǒmiʃʎeno
непромишљеност	neprǒmiʃʎenoːst
непромијењен	neprǒmijeːɲen
непромочив	nepromǒtʃiʋ
непропустан	nêpropuːstan
непрофесионалан	nêprofesionaːlan
непрофесионално	nêprofesionaːlno
непрофитан	nêprofiːtan
непроцењив	neprotsěɲiʋ
непроцјењив	neprotsjěɲiʋ
нептун	něptuːn
непун	něpun
непушач	nepǔʃaːtʃ
непушачица	nepuʃǎtʃitsa
нерабљен	něraːbʎen
нерадник	něraːdniːk
нерадо	nêrado
неразборит	nerǎːzborit
неразборито	nerǎːzborito
неразборитост	nerǎːzboritoːst
неразвијен	nerazʋǐjen
неразводњен	nerǎzʋodɲen
неразговетан	nêrazgoʋeːtan
неразговетно	nêrazgoʋeːtno
неразговијетан	nêrazgoʋijeːtan
неразговијетно	nêrazgoʋijeːtno
нераздвојан	nêrazdʋoːjan
нераздвојив	nerazdʋǒjiʋ
нераздружив	nerazdrǔʒiʋ
нераздруживост	nerazdrǔʒiʋoːst
неразуман	nerazumam
неразуман	nêrazuːman
неразумљив	nerazǔmʎiʋ
нераст	nêraːst
нерафиниран	nerafǐniːraːn
нерационалан	nêratsionaːlan
нерационално	nêratsionaːlno
нервирати	nerʋǐːrati
нервозан	nêrʋoːzan
нереалан	nêreaːlan
нереализиран	nerealǐziːran
нереално	nêreaːlno
нереалност	nereǎːlnoːst
нерегуларан	nêregulaːran
неред	nêreːd
нередовит	neredǒʋit
нередовито	neredǒʋito
нерекурзиван	nêrekurziːʋan
неретва	něreːtʋa
неретко	nêreːtko
нерешен	něreːʃen
нерешени	neˈrɛʃeni
нерешив	nerěʃiʋ
нерешивост	nerěʃiʋoːst
неријетко	nêrijeːtko
неријешен	něrjeːʃen
неродан	něrodan
нероткиња	něrotkiɲa
нерођен	něrodʑen
нерјешив	nerjěʃiʋ
нерјешивост	nerjěʃiʋoːst
несавесно	nesǎːʋesno
несавестан	nesǎːʋestan
несавитљив	nesaʋǐtʎiʋ
несавладив	nesaʋlǎdiʋ
несавршен	nesǎʋrʃen
несавршено	nesǎʋrʃeno
несавјесно	nesǎːʋjesno
несавјестан	nesǎːʋjestan
несагорив	nesagǒriʋ
несаломљив	nesalǒmʎiʋ
несамосталан	nêsamostaːlan
несамостално	nêsamostaːlno
несаница	něsanitsa
несвакидашњи	nesʋakǐdaʃɲiː
несвакидањи	nesʋakǐdaɲiː
несвесно	něsʋesno
несвест	nêsʋeːst
несвестан	něsʋestan
несвестица	něsʋestitsa
несвијест	nêsʋjeːst
несвршени	něsʋrːʃeniː
несвјесно	něsʋjesno
несвјестан	něsʋjestan
несвјестица	něsʋjestitsa
несебичан	nêsebitʃan
несебичност	nêsebitʃnoːst
несигуран	nêsiguːran
несигурно	nêsiguːrno
несиметричан	nesimětritʃan
несиметрично	nesimětritʃno
несиметричност	nesimětritʃnoːst
несит	nêsit
несит	něsit
несклад	nêsklad
нескладан	nêskladan
нескроман	něskroman
нескромно	něskromno
нескромност	něskromnoːst
неславан	nêslaːʋan
неслагање	nɛslaːgaɲe
неслан	nêslaːn
неслободан	nêslobodan
неслога	něsloga
несложан	něsloʒan
неслужбен	něsluʒben
неслужбено	něsluʒbeno
несмо	něːsmo
несносан	něsnosan
несносно	něsnosno
неспоразум	nêsporazum
неспособан	nêsposoban
неспособно	nêsposobno
неспреман	něspreman
неспремно	něspremno
неспутан	něsputaːn
несретан	něsretan
несрећа	něsretɕa
нестабилан	nêstabiːlan
нестабилност	nestabǐːlnoːst
несталан	nêstaːlan
нестално	nêstaːlno
нестанак	něstanak
нестати	něstati
нестати	nɛstati
несташица	něstaʃitsa
нестајати	něstajati
нестваран	nêstʋaːran
несте	něːste
нести	nêsti
нестрпљење	nestrpʎěːɲe
нестрпљив	nestřpʎiʋ
нестрпљиво	nestřpʎiʋo
нестрпљивост	nestřpʎiʋoːst
нестручњак	něstrutʃɲaːk
несу	něːsu
несувисао	nêsuʋiːsao
несувисло	nêsuʋislo
несувислост	nêsuʋiːsloːst
несугласица	nesuɣlasitsʲa
несугласица	nesǔglasitsa
несумњив	nesǔmɲiʋ
несумњиво	nesǔmɲiʋo
несуђен	něsuːdʑen
несхватљив	nesxʋǎtʎiʋ
несхваћен	něsxʋatɕen
нетактичан	netǎktitʃan
нетактично	netǎktitʃno
нетачан	nêtatʃan
нетко	nêtko
нетопир	nêtopiːr
нетремице	nětremitseː
неуверљив	neuʋěrʎiʋ
неуверљиво	neuʋěrʎiʋo
неувјерљив	neuʋjěrʎiʋ
неувјерљиво	neuʋjěrʎiʋo
неугледан	nêugleːdan
неугодан	nêugodan
неугодно	nêugodno
неудат	nêudaːt
неудобан	nêudoban
неудобно	nêudobno
неук	něuk
неукост	něukoːst
неукротив	neukrǒtiʋ
неукусан	nêukusan
неукусно	nêukusno
неумерен	neǔmeren
неумерено	neǔmereno
неумереност	neǔmerenoːst
неуместан	nêumestan
неумитан	nêumiːtan
неуморан	nêumoːran
неуморно	nêumoːrno
неумјерен	neǔmjeren
неумјерено	neǔmjereno
неумјереност	neǔmjerenoːst
неумјестан	nêumjestan
неуништив	neunǐʃtiʋ
неуништивост	neunǐʃtiʋoːst
неуобичајен	neuobǐtʃaːjen
неуобичајено	neuobǐtʃaːjeno
неупадљив	neupǎdʎiʋ
неупадљиво	neupǎdʎiʋo
неуравнотежен	neuraʋnǒteːʒen
неуралгичан	neurǎlgitʃan
неуралгија	neurǎlgija
неурастеник	neurastěniːk
неурастеничан	neurastěnitʃan
неурастенија	neurastěnija
неуредан	nêuredan
неуредно	nêuredno
неуредност	nêurednoːst
неуроза	neurǒːza
неуролептик	neurolěptik
неуролог	neurǒlog
неурологија	neurolǒgija
неуролошки	neurǒloʃki
неуролошки	neurǒloʃkiː
неурон	neǔroːn
неуропсихофармакологија	neuropsixofarmakolǒgija
неуротик	neurǒtiːk
неуротичан	neurǒtitʃan
неусиљен	neǔsiʎen
неусиљено	neǔsiʎeno
неусиљеност	neǔsiʎenoːst
неуспело	nêuspelo
неуспелост	nêuspeloːst
неуспео	nêuspeo
неуспех	nêuspex
неуспешан	nêuspeʃan
неуспешно	nêuspeʃno
неуспешност	nêuspeʃnoːst
неуспио	nêuspio
неуспјело	nêuspjelo
неуспјелост	nêuspjeloːst
неуспјех	nêuspjex
неуспјешан	nêuspjeʃan
неуспјешно	nêuspjeʃno
неуспјешност	nêuspjeʃnoːst
неуставан	nêustaːʋan
неуставно	nêustaːʋno
неустрашив	neustrǎʃiʋ
неустрашиво	neustrǎʃiʋo
неустрашивост	neustrǎʃiʋoːst
неутажив	neutǎʒiʋ
неутешан	nêuteʃan
неутешив	neutěʃiʋ
неутралан	nêutraːlan
неутрализирати	neutralizǐːrati
неутралност	neutrǎːlnoːst
неутрино	neutrǐːno
неутјешан	nêutjeʃan
неутјешив	neutjěʃiʋ
неухватљив	neuxʋǎtʎiʋ
неухватљиво	neuxʋǎtʎiʋo
неуљудан	nêuʎudan
неуљудно	nêuʎudno
нехотице	neɦoˈtitse
нехотице	něxotitseː
нехотичан	něxotitʃan
нехуман	nêxumaːn
нехуманост	nêxumaːnoːst
нечасно	nêtʃasno
нечастан	nêtʃastan
нечег	nêtʃeg
нечега	nêtʃega
нечем	nêtʃem
нечему	nêtʃemu
нечим	nêtʃim
нечист	nětʃist
нечиста	nɛtʃista
нечистоћа	netʃistǒtɕa
нечитак	nêtʃitak
нечитљив	netʃǐtʎiʋ
нечији	nêtʃijiː
нечовечан	nêtʃoʋetʃan
нечовечност	nêtʃoʋetʃnoːst
нечовјечан	nêtʃoʋjetʃan
нечовјечност	nêtʃoʋjetʃnoːst
нечујан	nêtʃuːjan
нешкодљив	něʃkǒdʎiʋ
нешто	nêʃto
нејак	nêjaːk
нејасан	nějasan
нејасно	nějasno
нејасност	nějasnoːst
нејасноћа	nejasnǒtɕa
нејач	nêjaːtʃ
нејаче	nêjaːtʃe
нејединство	nejedǐːnstʋo
неједнак	nêjednaːk
неједнако	nêjednaːko
неједнакост	nejednǎːkoːst
неједнолик	nejednǒlik
нејестив	nejěstiʋ
нељубазан	nêʎubaːzan
нељубазно	nêʎubaːzno
нељудски	nêʎudskiː
нећак	nêtɕaːk
нећака	nêtɕaka
нећакиња	netɕǎkiɲa
нећачки	nêtɕaːtʃki
нећачки	nêtɕaːtʃkiː
неће	netʃe
неће	nêːtɕeː
неће	něːtɕeː
нећемо	nêːtɕeːmo
нећете	nêːtɕeːte
нећеш	nêːtɕeːʃ
нећу	něːtɕu
ни	nˈe
ниво	nivo
ниво	nǐʋoː
нивоима	mevˈoˈima
нигда	nîgda
нигде	nîgde
нигдје	nîgdje
нигер	nîger
нигерија	nǐgeːrija
нигеријац	nigerǐːjats
нигеријски	nǐgeːrijskiː
низ	nîz
низ	nîːz
низак	nîzak
низанка	nîzaːnka
низати	nǐːzati
низбрдо	nîzbrdo
низводице	nǐzʋoditseː
низводно	nǐzʋodno
низина	nizǐna
низински	nǐziːnskiː
ника	nǐːka
никад	nîkad
никада	nîkada
никакав	nîkakaːʋ
никакво	nikakv
никако	nîkaːko
никал	nǐkal
никамо	nîkamo
никарагва	nikarǎgʋa
никарагванац	nikaragʋǎːnats
никарагвански	nikarǎgʋaːnskiː
никнути	nîknuti
нико	nîko
никола	niːkɔla
никола	nǐkola
никотин	nikǒtiːn
никотински	nikǒtiːnskiː
никоји	nîkojiː
никта	nîkta
никуд	nîkud
никуда	nîkuda
никшић	nîkʃitɕ
нил	nîl
нил	nˈɪl
нимало	nǐmalo
нимфа	nîːmfa
нимфа	nˈeɪmfˈa
нимфоманка	nimfǒmaːnka
нимфомански	nimfǒmaːnski
нимфомански	nimfǒmaːnskiː
нирвана	nirʋǎna
ниско	nîsko
нискост	nîskoːst
нисмо	nǐːsmo
нисте	nǐːste
нису	nǐːsu
нит	nîːt
нити	nîti
нитко	nîtko
нитков	nǐtkoːʋ
нихилизам	nixilǐzam
нихилист	nixǐlist
нихилистички	nixilǐstitʃki
нихилистички	nixilǐstitʃkiː
ницати	nîtsati
ничега	nitʃɛga
ничији	nîtʃijiː
ниш	nîʃ
ниш	nˈeʃ
нишава	nisava
нишан	nǐʃan
нишанити	nǐʃaniti
нишанџија	niʃǎndʒija
ништа	nîʃta
ништа	nʲiʂta
ништаван	nîʃtaːʋan
ништавило	niʃtǎʋilo
ништарија	niʃtǎrija
нијанса	nijǎnsa
ниједан	nijědan
ниједанпут	nijedǎnpuːt
нијем	nijêːm
нијемац	nijěːmats
нијемо	nijêːmo
нијесмо	nijěsmo
нијесмо	nijěːsmo
нијесте	nijěste
нијесте	nijěːste
нијесу	nijěsu
нијесу	nijěːsu
но	no
но	nôː
нобелијум	nobeljum
нобеловац	nǒbeloʋats
нобеловка	nǒbeloːʋka
нов	nôʋ
нова	nôːʋa
новак	nǒʋaːk
новац	nǒʋats
новац	nˈoːvəts
новачити	noʋǎːtʃiti
новајлија	noʋǎjlija
новембар	novˈembar
новембар	nǒʋeːmbar
новембарски	nǒʋeːmbaːrskiː
новина	noʋǐna
новинар	nôʋinaːr
новинар	nɔvinar
новинарство	noʋinǎːrstʋo
новине	nǒʋine
новине	nɔvine
нових	nˈoːvix
новогрчки	nôʋogrtʃkiː
новозеландски	noʋozělandskiː
новозеланђанин	noʋozelǎːndʑanin
новонастали	noʋonǎstaliː
новорођен	noʋorǒdʑen
новорођенче	noʋorǒdʑeːntʃe
новосадски	nôʋosadskiː
новосађанин	noʋosǎːdʑanin
новосађанин	noʋǒsadʑanin
новосађанка	noʋosǎːdʑanka
новосађанка	noʋǒsadʑanka
новосибирск	noʋosǐbirsk
новчани	nǒʋtʃaniː
новчаник	noʋtʃǎniːk
новчаница	noʋtʃǎnitsa
новчано	nǒʋtʃano
новчић	nǒʋtʃitɕ
нога	nǒga
нога	nˈogʌ
ногавица	nǒgaʋitsa
ногат	nǒgat
ногица	nǒgitsa
ногомет	nôgomeːt
ногометаш	nogomětaːʃ
ногометашки	nogomětaːʃki
ногометашки	nogomětaːʃkiː
ногоступ	nôgostuːp
нож	nʊʒ
ножица	nǒʒitsa
ножице	nôʒitse
ножић	nǒʒitɕ
ноздрва	nôzdrʋa
нокат	nˈokˈat
нокаут	nokǎut
ноктић	nôktitɕ
нокшир	nǒkʃiːr
номад	nǒmaːd
номадски	nǒmadski
номадски	nǒmadskiː
номенклатура	nomenklatǔːra
номиналан	nôminaːlan
номинативни	nôminatiːʋniː
номинативски	nôminatiːʋskiː
номинирати	nominǐːrati
нонконформизам	nonkonformǐzam
нонконформист	nonkonfǒrmist
ноншалантан	nonʃalǎntan
ноншалантно	nonʃalǎntno
норвежанин	norʋěːʒanin
норвежанка	norʋěːʒaːnka
норвешка	nǒrʋeʃkaː
норвешки	nǒrʋeʃki
норвешки	nǒrʋeʃkiː
нордијски	nǒrdiːjskiː
норма	nôːrma
нормалан	nôrmaːlan
нормализирати	normalizǐːrati
нормално	nôrmaːlno
нормалност	normaɫnost
нормалност	normǎːlnoːst
норман	nǒrmaːn
нормандија	normǎndija
нормирати	normǐːrati
нос	nôːs
носати	nǒːsati
носач	nǒsaːtʃ
носач	nˈosˈatʃ
носачица	nosǎtʃitsa
носила	nǒsila
носилац	nǒsilats
носити	nǒsiti
носић	nǒsitɕ
носни	nǒsniː
носорог	nôsorog
носталгичан	nostǎlgitʃan
носталгичар	nostǎlgitʃaːr
носталгично	nostǎlgitʃno
носталгија	nostǎlgija
ноторан	nǒtoːran
ноторно	nǒtoːrno
ној	nˈoj
нојев	nôjeʋ
нојевски	nôjeʋski
нојевски	nôjeʋskiː
ноћ	nˈoʊts
ноћас	nǒtɕas
ноћашњи	nǒtɕaʃɲiː
ноћење	nǒtɕeːɲe
ноћити	nǒtɕiti
ноћни	nǒtɕniː
ноћобдија	notɕǒbdija
ноћу	nôtɕu
нудизам	nudǐzam
нудист	nǔdist
нудити	nûditi
нужан	nûʒan
нужда	nûʒda
нуждан	nûʒdan
нужник	nûʒniːk
нужно	nûʒno
нужност	nûʒnoːst
нузгред	nûzgreːd
нуклеарка	nuklěaːrka
нуклеарни	nûkleaːrniː
нуклеус	nûkleus
нула	nûla
нула	nˈula
нумерички	numěritʃkiː
о	a
о	o
оаза	oǎːza
оба	ôba
обавезан	ôbaʋezan
обавезати	obaʋěːzati
обавезујете	obavɛzujete
обавест	ôbaʋeːst
обавестити	obaʋěːstiti
обавештавати	obaʋeʃtǎːʋati
обавештајац	obaʋeʃtǎːjats
обавештајни	ôbaʋeʃtaːjniː
обавештеност	obǎʋeːʃtenoːst
обавити	obǎʋiti
обавити	ǒbaʋiti
обавијати	obaʋǐːjati
обавијест	ôbaʋjeːst
обавијестити	obaʋijěːstiti
обавијештеност	obǎʋijeːʃtenoːst
обавјештавати	obaʋjeʃtǎːʋati
обавјештајац	obaʋjeʃtǎːjats
обавјештајни	ôbaʋjeʃtaːjniː
обављати	ǒbaʋʎati
обад	ôbaːd
обадати	obǎdati
обадати	obǎːdati
обадвојица	obadʋǒjitsa
обала	ôbala
обали	ɔbali
обални	ôbaːlniː
обамрлост	ôbamrːloːst
обао	ôbao
обарати	obǎːrati
обасипати	obǎsipati
обасути	obǎsuːti
обвезати	obʋěːzati
обвезивати	obʋezǐːʋati
обвезник	ǒbʋezniːk
обгрлити	ǒbgrliti
обдан	ôbdaːn
обдаривати	obdarǐːʋati
обдарити	obdǎːriti
обдукција	obdǔktsija
обе	ôbe
обедовати	ǒbedoʋati
обезбедити	obezbeˈditi
обезглавити	obezglǎːʋiti
обезглављивати	obezglaʋʎǐːʋati
обележје	ôbeleːʒje
обелиск	obělisk
обелоданити	obelodǎːniti
обелодањивати	obelodaɲǐːʋati
оберучке	oběrutʃkeː
обесити	ǒbesiti
обесправити	obesprǎːʋiti
обесправљивати	obespraʋʎǐːʋati
обест	ôbeːst
обестан	ôbeːstan
обесхрабривати	obesxrabrǐːʋati
обесхрабрити	obesxrǎːbriti
обешеник	obeʃěniːk
обешеница	obeʃěnitsa
обештетити	oběʃtetiti
обештећивати	obeʃtetɕǐːʋati
обешчастити	obeʃtʃǎstiti
обешчашћивати	obeʃtʃaʃtɕǐːʋati
обећавати	obetɕǎːʋati
обећати	obětɕati
обећање	obetɕǎːɲe
обзиран	ôbziːran
обзор	ǒbzor
обзорје	ǒbzoːrje
обилазити	obǐlaziti
обилан	ôbiːlan
обилат	obǐlat
обиловати	ǒbiloʋati
обиман	ôbiːman
обистинити	ǒbistiniti
обитавати	obitǎːʋati
обитељ	obǐːteʎ
обитељски	obǐːteʎski
обитељски	obǐːteʎskiː
обити	ǒbiti
обичавати	obitʃǎːʋati
обичан	ǒbitʃan
обичај	ôbitʃaːj
обично	ǒbitʃno
обијати	obǐːjati
обијач	obǐjaːtʃ
обијест	ôbijeːst
обијестан	ôbijeːstan
обиље	ǒbiːʎe
обиљежавати	obiʎeʒǎːʋati
обиљеживач	obiʎeʒǐʋaːtʃ
обиљежити	obǐʎeʒiti
обиљежје	ôbiʎeːʒje
обићи	ǒbiːtɕi
облак	ôblaːk
облак	ɔblak
област	ôblaːst
облачан	ôblaːtʃan
облачина	oblǎtʃina
облачити	oblǎːtʃiti
облигација	obligǎːtsija
облизати	oblǐːzati
облизивати	oblizǐːʋati
облик	ôbliːk
обликовати	ǒblikoʋati
облина	oblǐna
обличје	ǒbliːtʃje
обмана	ôbmana
обманути	obmǎnuti
обмањивати	obmaɲǐːʋati
обнављати	obnǎːʋʎati
обнављају	obnaːvlaju
обнова	ôbnoʋa
обновити	obnǒʋiti
обноћ	ôbnoːtɕ
обоа	aboa
обоа	obǒa
обогатити	obǒgatiti
обогаћивати	obogatɕǐːʋati
обожавалац	oboʒǎʋalats
обожаватељ	oboʒǎʋateʎ
обожавати	oboʒǎːʋati
обома	oːboːma
оборив	obǒriʋ
оборине	ǒborine
оборити	obǒriti
обости	ǒbosti
обостран	obǒstran
обострано	obǒstrano
обојен	ǒbojen
обојити	obǒjiti
обојица	obǒjitsa
обрада	ôbrada
обрадив	obrǎdiʋ
обрадити	obrǎːditi
обрадовати	ǒbradoʋati
образ	ǒbraz
образ	ɔbraz
образац	ǒbrazats
образлагати	obrazlǎːgati
образложити	obrazlǒʒiti
образован	ǒbrazoʋaːn
образовати	ǒbrazoʋati
образовање	obrazoʋǎːɲe
образовни	ǒbrazoːʋniː
обрамбени	ǒbrambeniː
обрана	ôbrana
обранити	obrǎːniti
обрат	ôbraːt
обратан	ôbraːtan
обратити	obrǎːtiti
обратно	ôbraːtno
обрачун	ôbratʃuːn
обрачунавати	obratʃunǎːʋati
обрачунати	obratʃǔnati
обрађивати	obradʑǐːʋati
обраћати	ǒbratɕati
обрва	ôbrʋa
обрве	obrɪme
обред	ǒbred
обредни	ôbreːdniː
обрезати	ǒbrezati
обрезивати	obrezǐːʋati
обрис	ôbriːs
обрисати	ǒbrisati
обријати	ǒbrijati
обрнут	ǒbrːnuːt
обрнути	obřːnuti
обрнуто	ǒbrːnuːto
оброк	pɔbrok
оброк	ǒbrok
обронак	ǒbronak
обртати	ǒbrtati
обртај	ôbrtaːj
обруб	ǒbrub
обрубити	obrǔːbiti
обрубљивати	obrubʎǐːʋati
обрукати	ǒbrukati
обувати	obǔːʋati
обуздавати	obuzdǎːʋati
обуздати	obǔzdati
обузети	obǔzeːti
обузетост	ôbuzeːtoːst
обузимати	obǔzimati
обука	ôbuka
обустава	ôbustaʋa
обуставити	obǔstaʋiti
обустављати	obǔstaʋʎati
обути	ǒbuti
обухвата	ɔbuxvata
обухватити	obǔxʋatiti
обухваћати	obǔxʋatɕati
обучавати	obutʃǎːʋati
обучити	obǔtʃiti
обујам	obǔːjam
обујмити	obǔːjmiti
обујмљивати	obujmʎǐːʋati
обућа	ǒbutɕa
обућар	ǒbutɕaːr
обући	ǒbuːtɕi
објава	objala
објава	ôbjaʋa
објавити	objǎːʋiti
објављивати	objaʋʎǐːʋati
објаснити	objǎsniti
објахати	ǒbjaxati
објашњавати	objaʃɲǎːʋati
објашњење	objaʃɲěːɲe
објашњив	objǎʃɲiʋ
обје	ôbje
објединити	objedǐːniti
обједињавати	objediɲǎːʋati
обједовати	ǒbjedoʋati
објект	ǒbjekt
објективан	ôbjektiːʋan
објективно	ôbjektiːʋno
објективност	objektǐːʋnoːst
објелоданити	objelodǎːniti
објелодањивати	objelodaɲǐːʋati
објеручке	objěrutʃkeː
објесити	ǒbjesiti
објешеник	objeʃěniːk
објешеница	objeʃěnitsa
овa	oɫva
овакав	oʋǎkaːʋ
овако	oʋǎkoː
овалан	ǒʋaːlan
овамо	ǒʋaːmo
ован	ǒːʋan
овас	ǒʋas
овај	ǒʋaːj
овдашњи	ǒʋdaʃɲiː
овде	oːvide
овде	ǒːʋde
овдје	ǒːʋdje
овенчавати	oʋentʃǎːʋati
овенчати	oʋěntʃati
овера	ôʋera
оверавати	oʋerǎːʋati
оверити	ǒʋeriti
овида	avida
овисан	ǒʋisan
овисити	ǒʋisiti
овисно	ǒʋisno
овисност	ǒʋisnoːst
овладавати	oʋladǎːʋati
овладати	oʋlǎːdati
овласт	ôʋlaːst
овластити	oʋlǎːstiti
овлашћивати	oʋlaʃtɕǐːʋati
ово	ovo
оволик	oʋǒlik
оволики	ovoljki
оволико	oʋolǐkoː
овој	ǒʋoj
овратник	ǒʋratniːk
овсен	ôʋsen
овуд	ǒʋud
овуда	ǒʋuda
овца	otsa
овца	ǒːʋtsa
овчар	ǒʋtʃaːr
овчарски	ǒʋtʃaːrskiː
овчарство	oʋtʃǎːrstʋo
овјенчавати	oʋjentʃǎːʋati
овјенчати	oʋjěntʃati
овјера	ôʋjera
овјеравати	oʋjerǎːʋati
овјерити	ǒʋjeriti
огаван	ôgaːʋan
огар	ôgar
огањ	ǒgaɲ
огледавати	ogledǎːʋati
огледало	oglědalo
огледати	oglěːdati
оглобити	oglǒbiti
оглодавати	oglodǎːʋati
оглодати	oglǒdati
оговарати	ogoʋǎːrati
оговарање	agovaːraɲe
огорчен	ǒgoːrtʃen
огорчено	ǒgoːrtʃeno
огорченост	ǒgoːrtʃenoːst
ограда	ôgrada
оградити	ogrǎːditi
огранак	ǒgranak
ограничавати	ogranitʃǎːʋati
ограничен	ogrǎnitʃen
ограничење	ogranitʃěːɲe
ограничити	ogrǎnitʃiti
ограничити	ɔgraːnitʃiti
ограђивати	ogradʑǐːʋati
огреботина	ogrebǒtina
огрејавати	ogrejǎːʋati
огрејати	ǒgrejati
огријавати	ogrijǎːʋati
огријати	ǒgrijati
огрлица	ǒgrlitsa
огроман	ôgroːman
огњило	ǒgɲilo
од	ot
од	ôd
ода	ǒːda
одабир	ôdabiːr
одабирати	odǎbirati
одабирати	oːdabirati
одабрати	odǎbrati
одабрати	o˩˥ːdabra˥˩ːti
одавати	odǎːʋati
одавде	ôdaːʋde
одавно	ôdaːʋno
одазвати	odǎzʋati
одазив	ôdaziːʋ
одазивати	odazǐːʋati
одакле	adakle
одакле	ôdaːkle
одан	ôdaːn
оданде	ôdaːnde
оданост	ôdaːnoːst
одар	ǒdar
одати	ǒdati
одбацивати	odbatsǐːʋati
одбацити	odbǎːtsiti
одбитак	odbǐːtak
одбити	ǒdbiti
одбијати	odbǐːjati
одбијање	odbǐːjaːɲe
одбор	ǒdbor
одбојан	ôdboːjan
одбојка	ǒdboːjka
одбојкаш	odbǒjkaːʃ
одбојкашица	odbojkǎʃitsa
одбојкашки	odbǒjkaːʃki
одбојкашки	odbǒjkaːʃkiː
одбојник	ǒdboːjniːk
одбојно	ôdboːjno
одбојност	odbǒːjnoːst
одбрамбени	ǒdbrambeniː
одбрана	otbrana
одбрана	ôdbrana
одбранити	odbrǎːniti
одважан	ôdʋaːʒan
одважити	odʋǎːʒiti
одважно	ôdʋaːʒno
одважност	ôdʋaːʒnoːst
одвајати	odʋǎːjati
одвајкада	odʋǎjkada
одвезати	odʋěːzati
одвести	ǒdʋesti
одвећ	ôdʋetɕ
одвити	ǒdʋiti
одвише	ôdʋiʃeː
одвијати	odʋǐːjati
одвијач	odʋǐjaːtʃ
одвијач	udvijatʃ
одвлачити	odʋlǎːtʃiti
одводити	odʋǒditi
одвојен	ǒdʋojen
одвојено	ǒdʋojeno
одвојеност	ǒdʋojenoːst
одвојив	odʋǒjiʋ
