!ਨਵੀਂ	nəviː
ਪੋਰਟਫੋਲੀਓ	pɔːɾʈpʰoːliːo
ਪੋਰਟਲ	pɔːɾʈəl
ਪੋਰਟਲਾਂ	pɔːɾʈəlɑ̃
ਪੋਰਟੇਬਿਲਟੀ	pɔːɾt̪eːbɪɭt̪iː
ਪੋਰੇਲ	pɔːɾeːl
ਪੋਲ	pɔːl
ਪੋਲਾਰਡ	pɔːlɑːɾɪ
ਪੋਲਿਟੀਸ਼ੀਅੰਸ	poːlɪt̪ːiːʃi̯ə̃ːs
ਪੋਲਿੰਗ	pɔːlɪŋ
ਪੋਲਿੰਟ	pɔlɪ́ɳʈ
ਪੋਲੀਥੀਨ	pɔlɪt̪ʰiːn
ਪੋਲੀਵੁੱਡ	pɔlɪwʊɖ
ਪੋਲੇਮਬੈਂਗ	pɔːlæmbæŋ
ਪੋਲੈਂਡ	pɔːlǽːɳɖ
ਪੋਵਾਰ	pɔːʋɑːɾ
ਪੋਸ਼ਾਕ	poʃaːk
ਪੋਸਟ	pɔst
ਪੋਸਟਮਾਰਟਮ	pɔːst̪mɑːɾt̪m
ਪੋਸਟਰ	poːst̪ər
ਪੋਸਟਰਾਂ	poːst̪ɾɑ̃ː
ਪੋਸਟਲ	poːstəl
ਪੋਹ	poː˦
ਪੋ੍ਰੋਗਰਾਮ	poːrogɾaːm
ਪੋਜ਼ੀਸ਼ਨ	poːʐiːʃən
ਪੌਂਡ	pəʊ̃ːɖ
ਪੌਣੇ	pəʊ̃ː
ਪੌਦਾ	pɔːɖɑː
ਪੌਨੇ	pɔ̄nːe
ਪੌਪ	pɔp
ਪੌਸ਼ਕ	poːʃk
ਪੌੜੀ	poːɽiː
ਪੌੜੀਆਂ	pɔːrɪ́ə̯
ਪ੍ਤੀ	pɾiː
ਪ੍ਬੰਧ	paːbənd̪ʱ
ਪ੍ਮੁੱਖ	pəmuːkʰ
ਪ੍ਰ	pɾ
ਪ੍ਰਕਟ	pɾɑkt
ਪ੍ਰਕਾਰ	pɾkɑːɾ
ਪ੍ਰਕਾਸ਼ਿਤ	pɾkɑːʃɪt
ਪ੍ਰਕਾਸ	pɾkɑːs
ਪ੍ਰਕਾਸ਼	pɾkɑːʃ
ਪ੍ਰਕਾਸ਼ਿਤ	prəkɑːʃɪt̪
ਪ੍ਰਕੀਰਿਆ	pɾkɪɾɪjɑ
ਪ੍ਰਗਟ	prəgʈ
ਪ੍ਰਗਟਾ	prəgəʈɑ
ਪ੍ਰਗਟਾਇਆ।	prəgʈaɪə
ਪ੍ਰਗਟਾਈ	prəgʈaːi
ਪ੍ਰਗਟਾਈ।	prəgʈaːi
ਪ੍ਰਗਟਾਉਂਦਿਆਂ	prəgʈɔːnd̪jɑ̃ː
ਪ੍ਰਗਟਾਉਂਦੇ	prəgʈɔ̃ːde
ਪ੍ਰਗਟਾਉਣ	prəgʈɔ̃ːɳ
ਪ੍ਰਗਟਾਏ	pɾgəʈɑːe
ਪ੍ਰਗਟਾਵਾ	pɾgəʈɑʋɑ
ਪ੍ਰਗਤੀ	pɾgɪti
ਪ੍ਰਗਿਆ	prəgjɑː
ਪ੍ਰਚਾਰ	pɾtʃaːɾ
ਪ੍ਰਚਾਰਕ	prətʃɑːrkə
ਪ੍ਰਚਾਰਕਾਂ	prətʃɑːɾkɑ̃ː
ਪ੍ਰਜਨੇਸ਼	pɾdʒəneːʃ
ਪ੍ਰਜਾਪਤੀ)	pɾəʒɑːpɪt̪i
ਪ੍ਰਣ	prəɳ
ਪ੍ਰਣਯ	prəɳj
ਪ੍ਰਣਵ	pɾəɳʋ
ਪ੍ਰਣਾਲੀ	prəɳɑːliː
ਪ੍ਰਣਾਲੀਆਂ	prənɑːliːɛ̃
ਪ੍ਰਣੀਤ	prəɳiːt̪
ਪ੍ਰਤਾਪ	pɾət̪ɑːp
ਪ੍ਰਤਾਪਗੜ੍ਹ	prətɑːpgəɽʱ
ਪ੍ਰਤਿਭਾ	prətɪbʱɑ
ਪ੍ਰਤਿਭਾਵਾਨ	prɑːtɪbɑːwɑːn
ਪ੍ਰਤਿਭਾਸ਼ਾਲੀ	prətɪbʱɑːʃɑːliː
ਪ੍ਰਤੀਕ	pr̥t̪ɪk
ਪ੍ਰਤੀਕਰਮ	pr̥t̪ɪkəɾm
ਪ੍ਰਤੀਕਿਰਿਆ	pr̥t̪iːkɪɾjɑː
ਪ੍ਰਤੀਕਿਰਿਆਵਾਂ	pr̥t̪iːkɪɾɪjɑ̃ː
ਪ੍ਰਤੀਦਿਨ	pr̥t̪iːd̪ɪn
ਪ੍ਰਤੀਬੰਧ	prɑːt̪iːbən̪d̪ʱ
ਪ੍ਰਤੀਬੱਧਤਾ	pr̥t̪iːb̪aːd̪ːʰt̪aː
ਪ੍ਰਦਰਸ਼ਨਾਂ	prəd̪r̄ʃənɑ̃ː
ਪ੍ਰਦਰਸਨ	prəd̪ɾəsən
ਪ੍ਰਦਰਸਿ਼ਤ	prəd̪ɾəsɪt̪
ਪ੍ਰਦਸ਼ਨ	prəɖʃən
ਪ੍ਰਦਾ	pɾəɗɑ
ਪ੍ਰਦਾਨ	prədaːn
ਪ੍ਰਦੂਸ਼ਣ	prəɖuːʃəɳ
ਪ੍ਰਦੂਸ਼ਿਤ	prəduːʃɪt
ਪ੍ਰਦੇਸ਼	prədeːʃ
ਪ੍ਰਦੇਸ਼)	prədeːʃ
ਪ੍ਰਦੇਸ਼	pɾdeːʃ
ਪ੍ਰਧਾਨ	prəɖɑːn
ਪ੍ਰਧਾਨ	prəɖʌ̃n
ਪ੍ਰਧਾਨਾਂ	prəɖʌnæ̃
ਪ੍ਰਨੀਤ	prənit
ਪ੍ਰਫਾਰਮ	pɾəfaːrm
ਪ੍ਰਫੁੱਲ	prəɸʊl
ਪ੍ਰਬੰਧ	pɾə́bən̪d̪
ਪ੍ਰਬੰਧਕਾਂ	prəbənɖkɑ̃ː
ਪ੍ਰਬੰਧਕੀ	prəbənɖkiː
ਪ੍ਰਬੰਧਨ	prəbə̃ːn̪d̪ə̃
ਪ੍ਰਬੰਧਾਂ	pɾə́bən̪d̪ʱɑ̃ː
ਪ੍ਰਭਾਤ	pɾbʱɑːt
ਪ੍ਰਭਾਵਾਂ	pɾbɑːʋɑ̃ː
ਪ੍ਰਭਾਵੀ	prəbɑːʋiː
ਪ੍ਰਭਾਸ	pɾbɑːs
ਪ੍ਰਭੂ	pɾəbuː
ਪ੍ਰਭੂਤਵ	pɾəɪbʱuːt̪ʋ
ਪ੍ਰਭੂਦੇਵਾ	pɾəɪbʱuːd̪eʋa
ਪ੍ਰਮਾਣ	prəmɑːɳ
ਪ੍ਰਮਾਣਿਕ	prəmɑːɳɪk
ਪ੍ਰਮਾਣਿਤ	prəmɑːɳɪt
ਪ੍ਰਮਾਣੂ	prəmɑːnuː
ਪ੍ਰਮੁੱਖ	prəmukʰ
ਪ੍ਰਮੁੱਖਤਾ	prəmuːkʰt̪ə
ਪ੍ਰਮੁੱਖਾਂ	prəmuːkʰɑ̃ː
ਪ੍ਰਮੋਟ	prəmoːʈ
ਪ੍ਰਮੋਟਰ	prəmoːt̪ər
ਪ੍ਰਮੋਟਰਾਂ	prəmoːt̪ɾɑ̃ː
ਪ੍ਰਮੋਟਰਜ਼	prəmoːt̪ɾɪz
ਪ੍ਰਮੋਦ	pɾəmoːd
ਪ੍ਰਮੋਸ਼ਨ	prəmoːʃən
ਪ੍ਰਮੋਸਨ	prəmoːsən
ਪ੍ਰਮੋਸ਼ਨ	prəmoːʃən
ਪ੍ਰਮੰਨੇ	prəmənːe
ਪ੍ਰਯੋਗ	prəjoːg
ਪ੍ਰਰਾਈਜ਼	prəɾɑɪz
ਪ੍ਰਰਾਜੈਕਟ	prəɾɑːdʒɛkt̪
ਪ੍ਰਰਾਜੈਕਟਾਂ	prəɾɑːdʒɛkʈɑ̃ː
ਪ੍ਰਰਾਪਤ	prəɾɑːpət̪
ਪ੍ਰਰਾਪਤੀ	prəɾɑːpt̪iː
ਪ੍ਰਰਾਪਤੀਆਂ	prəɾɑːpt̪iːɑ̃ː
ਪ੍ਰਰੀ	prɪri
ਪ੍ਰਰੇਣਾ	prəɾeɳa
ਪ੍ਰਰੇਮ	prəɾeːm
ਪ੍ਰਰੇਰਿਤ	prəɾeːɾɪt
ਪ੍ਰਰੈਰਿਤ	prəɾɛːɾɪt
ਪ੍ਰਰੈੱਸ	prəɾɛːs
ਪ੍ਰਰੋ	prəroː
ਪ੍ਰਰੋਵੀਡੈਂਟ	prəɾoːviːɖənt
ਪ੍ਰਵਾਨ	prəʋɑːn
ਪ੍ਰਵਾਨਗੀ	prəʋɑːŋgiː
ਪ੍ਰਵਾਸਨ	prəʋɑːsən
ਪ੍ਰਵਾਸੀ	prəʋɑːsiː
ਪ੍ਰਵਾਹਿਤ	prəwaːɪt̪
ਪ੍ਰਵੀਣ	prəviːɳ
ਪ੍ਰਵੀਨ	prəʋiːn
ਪ੍ਰਵੇਸ਼	pɾəʋeːʃ
ਪ੍ਰਸ਼ਨ	pɾʃən
ਪ੍ਰਸ਼ਾਸਕਾਂ	prəʃɑːskɑ̃ː
ਪ੍ਰਸ਼ੋਤਮ	prəʃoːt̪ə̆m
ਪ੍ਰਸ਼ੰਸਕਾ	prəʃənska
ਪ੍ਰਸਤ	prəst̪
ਪ੍ਰਸਤਾਵ	prəstaːb
ਪ੍ਰਸਤਾਵਿਤ	prəstaːbɪt̪
ਪ੍ਰਸ਼ਾਂਤ	prəʃɑːnt
ਪ੍ਰਸਾਦ	prəsaːd
ਪ੍ਰਸਾਰ	prəsaːr
ਪ੍ਰਸਾਰਣ	prəsaːɾɳ
ਪ੍ਰਸਾਰਤ	prəsaːɾt̪
ਪ੍ਰਸਾਰਨ	prəsaːrn
ਪ੍ਰਸਾਰਿਤ	prəsaːrɪt
ਪ੍ਰਸਿੱਧੀ	prəsiːd̪iː
ਪ੍ਰਸੂਨ	prəsuːn
ਪ੍ਰਸੰਗਿਕ	prəsaŋgɪk
ਪ੍ਰਸੰਸਾ	prəsənsə
ਪ੍ਰਾਇਮਰੀ	prɑːjmiːriː
ਪ੍ਰਾਈਜਿੰਗ	prɑːɪdʒɪŋ
ਪ੍ਰਾਈਡ	prɑːɪd
ਪ੍ਰਾਈਮ	prɑɪm
ਪ੍ਰਾਈਮਰੀ	prɑɪmɾiː
ਪ੍ਰਾਈਸ	prɑɪs
ਪ੍ਰਾਚੀ	prɑːtʃiː
ਪ੍ਰਾਚੀਨ	prɑːtʃiːn
ਪ੍ਰਾਜੈਕਟ	prɑːdʒɛkt̪
ਪ੍ਰਾਜੈਕਟਾਂ	prɑːdʒɛktɑ̃ː
ਪ੍ਰਾਪਤ	prɑːpət̪
ਪ੍ਰਾਪਤਕਰਤਾ	prɑːpətkəɾt̪ə
ਪ੍ਰਾਪਤੀ	prɑːpːt̪iː
ਪ੍ਰਿਅੰਕਾ	prɪəŋkɑ
ਪ੍ਰਿਅੰਕਾ	prɪəŋkɑː
ਪ੍ਰਿਆ	prɪjə
ਪ੍ਰਿਟੀ	prɪt̪iː
ਪ੍ਰਿਥਵੀ	prɪt̪ʰʋiː
ਪ੍ਰਿਥਵੀਰਾਜ	prɪtʰʋiːɾɑːdʒ
ਪ੍ਰਿਯੰਕਾ	prɪjəŋkɑː
ਪ੍ਰਿਵਿਲੇਜ	prɪvɪlɛːdʒ
ਪ੍ਰਿੰਟ	prɪnt
ਪ੍ਰਿੰਸ	prɪns
ਪ੍ਰੀ	pr̥iː
ਪ੍ਰੀਕਿਆ	pr̥iːkɪ́ə
ਪ੍ਰੀਖਣ	pr̥iːkʰəɳ
ਪ੍ਰੀਤ	pr̥iːt̪
ਪ੍ਰੀਤਮ	pr̥iːt̪m̩
ਪ੍ਰੀਤੀ	pr̥iːt̪iː
ਪ੍ਰੀਪੇਡ	pr̥iːpeːɖ
ਪ੍ਰੀਮੀਅਮ	pr̥iːmiːm
ਪ੍ਰੀਮੀਅਰ	pr̥iːmiːr
ਪ੍ਰੀਸ਼ਦਾਂ	pr̥iːʃɑːɳ
ਪ੍ਰੇਮ	prɛːm
ਪ੍ਰੇਮੀ	prɛːmi
ਪ੍ਰੇਰਣਾਦਾਇਕ	prɛːrɳɑːdɑːɪk
ਪ੍ਰੇਰਿਤ	prɛːrɪt
ਪ੍ਰੇਸ਼ਾਨ	prɛʃɑːn
ਪ੍ਰੇਸ਼ਾਨ	prɛʃɑːn
ਪ੍ਰੈਕਟਿਸ	prɛkt̪ɪs
ਪ੍ਰੈਸ਼ਰ	prɛːʃər
ਪ੍ਰੈਸ	prɛs
ਪ੍ਰੈੱਲ	prɛːl
ਪ੍ਰੈੱਸ	prɛːs
ਪ੍ਰੈੱਸਰਿਲੀਜ਼	prɛːsɾɪlɪdʒ
ਪ੍ਰੋ	pɾo
ਪ੍ਰੋ	pɾoː
ਪ੍ਰੋਕਡਕਸ਼ਨ	prɔkɖəʃən
ਪ੍ਰੋਗਰਾਮ	prɔːgɾɑːm
ਪ੍ਰੋਗਰਾਮ'	prɔːgɾaːm
ਪ੍ਰੋਗਰਾਮਾਂ	prɔːgɾɑːmɑ̃ː
ਪ੍ਰੋਚੰਦੂਮਾਜਰਾ	prɔtʃənd̪uːmaːdʒɾɑː
ਪ੍ਰੋਜੈਕਟ	prɔːdʒɛkt̪
ਪ੍ਰੋਜੈਕਟਾਂ	prɔːdʒɛktɑ̃ː
ਪ੍ਰੋਡਕਸ਼ਨ	prɔːɖkɕən
ਪ੍ਰੋਡਕੈਸ਼ਨ	prɔːɖkæʃən
ਪ੍ਰੋਡਿਊਸ	prɔːɖɪ̯ʊs
ਪ੍ਰੋਡਿਊਸਰ	pɾoːɖɪ̆ʊsɾ
ਪ੍ਰੋਨ	prɔːn
ਪ੍ਰੋਪ੍ਰੇਮ	prɔːpɾeːm
ਪ੍ਰੋਫਾਈਲ	pɾoːfɑɪ̯l
ਪ੍ਰੋਫਿਟ	prɔfɪt
ਪ੍ਰੋਫੈਸ਼ਨਲ	prɔfɛʃnəl
ਪ੍ਰੋਫੈਸਰ	prɔfɛsər
ਪ੍ਰੋਫੈਸਰਾਂ	prɔfɛsɾɑ̃ː
ਪ੍ਰੋਮੋ	prəmoː
ਪ੍ਰੋਮੋਟ	prəmoːt̪
ਪ੍ਰੋਮੋਟਰ	prəmoːt̪ər
ਪ੍ਰੋਮੋਸ਼ਨ	prəmoːʃən
ਪ੍ਰੋਮੋਸ਼ਨ	prəmoːʃən
ਪ੍ਰੋਵੀਜਨਿੰਗ	prɔːbiːdʒiːŋ
ਪ੍ਰੋਵੀਡੈਂਟ	prɔːviːd̪ənt
ਪ੍ਰੋਸੈਸਿੰਗ	prɔseːsɪŋ
ਪ੍ਰੋਸੈੱਸ	prɔseːs
ਪ੍ਰੋਫ਼ੈਸ਼ਨਲ	prɔːʃənl
ਪ੍ਰੰਤੂ	prəntu
ਪ੍ਰੱਗਿਆ	pɾagjɑ
ਪ੍ਸ਼ਾਸਕਾਂ	pɾɑːʃɑːskɑ̃ː
ਪ੍ਸਾਦ	pəsaːd
ਪੜਤਾਲ	pɾəʈɑːl
ਪੜਨ	paɽən
ਪੜਾਅ	paɽaː
ਪੜਾਵਾਂ	pɾɑːʋɑ̃
ਪੜ੍ਹ	paɽʱ
ਪੜ੍ਹਨ	paɽʰən
ਪੜ੍ਹਨਾ	ɳɑɽɳɑ
ਪੜ੍ਹਾਅ	paɽʰaː
ਪੜ੍ਹਾਇਆ	paɽʰaːiːə
ਪੜ੍ਹਾਈ	paɽʰaːi
ਪੜ੍ਹਾਉਂਦੇ	paɽʰɑːʊ̯ɳd̪e
ਪੜ੍ਹਾਉਣ	paɽʰaːuɳ
ਪੜ੍ਹਿਆ	paɽːja
ਪੜ੍ਹੀ	paɽiː
ਪੜ੍ਹੇ	ɳɑɽɛː
ਪੜ੍ਹੇਲਿਖੇ	paɽɾeːlɪkʰe
ਪੜ੍ਹੋ	ɳɪ̀ɽoː
ਪ੫ਕਾਸ਼	paːkɑːʃ
ਪ੫ਕਿਰਿਆ	paːkɪɾjɑː
ਪ੫ਚਾਰਕ	puɳˈtʃɑːɾk
ਪ੫ਣਾਲੀ	puɳaːliː
ਪ੫ਤਿਭਾ	puʈibʌ
ਪ੫ਤੀਕਿਰਿਆ	paːt̪ɪkɪɾɪ́ə
ਪ੫ਤੱਖ	puʈəxː
ਪ੫ਦਰਸ਼ਨ	pʰʊɳd̪əʃən
ਪ੫ਦਰਸ਼ਿਤ	puɳɖəɾʃɪt
ਪ੫ਦਾਨ	pʰʊd̪aːn
ਪ੫ਦੁਮਣ	pʰʊd̪ʊmɳ
ਪ੫ਦੂਸ਼ਣ	puːɳd̪uːʃəɳ
ਪ੫ਬੰਧਨ	paːbənd̪ʱ
ਪ੫ਭਾਵਤ	paːbʱɑːʋət
ਪ੫ਮਾਣਿਤ	paːmɑːɳɪt
ਪ੫ਮੋਟਰਸ	paːmoːt̪əɾs
ਪ੫ਵੇਸ਼	puɳɟɛːʃ
ਪ੫ਸਤਾਵਿਤ	paːsətaːbɪt
ਪ੫ਾਜੈਕਟ	paːdʒɛkt̪
ਪ੫ਾਜੈਕਟਾਂ	paːdʒɛktɑ̃ː
ਪ੫ਾਡੋ	paːɖoː
ਪ੫ਾਪਤ	paːpət̪
ਪ੫ਾਪਤੀ	paːpːaːti
ਪ੫ੀਤਮ	piːt̪m
ਪ੫ੀਮੀਅਰ	piːmiːr
ਪ੫ੇਰਕ	paːrɛk
ਪ੫ੇਰਨਾ	peːrna
ਪ੫ੈਜੀਡੈਂਟ	paːɳdʒiːd̪eːɳʈ
ਪ੫ੋਟੈਕਸ਼ਨ	pʰoːt̪əkʃəɳ
ਪੰਕਜ	pəŋkəʤ
ਪੰਗਾ	pəŋgə
ਪੰਚ	pə̃tʃ
ਪੰਚਕੂਲਾ	pə̃tʃkúːlə
ਪੰਚਾਇਤ	pə̃tʃaːɪt̪
ਪੰਚਾਇਤਾਂ	pə̃tʃaːɪt̪aː̃
ਪੰਚਾਇਤੀ	pə̃tʃɑːɪt̪i
ਪੰਚੋਲੀ	pənʧoːliː
ਪੰਜ	pəɳdʒ
ਪੰਜਪੰਜ	pənʤpənʤ
ਪੰਜਵਾਂ	pənʒʋɑ̃ː
ਪੰਜਵੇਂ	pənʒbeː
ਪੰਜਾ	pənʤɑ
ਪੰਜਾਬ	pənˈdʒɑːb
ਪੰਜਾਬ'	pənˈdʒɑːb
ਪੰਜਾਬੀ	pəɳdʒɑːbiː
ਪੰਜਾਬੀਅਤ	paːɳdʒɑːbiːə̯t̪
ਪੰਜੇ	pənʤe
ਪੰਡਤ	pə̃ɳɖə̆t
ਪੰਡਿਤ	pəndɪt
ਪੰਡਿਤਾਂ	pəɳɖɪt̪aː
ਪੰਤ	pə̃ːt̪
ਪੰਨਾ	pənːə
ਪੰਨਿਆਂ	pənːiə̃
ਪੰਨੂ	pənːu
ਪੰਨੂੰ	pənːu
ਪੰਨੇ	pənne
ਪੰਪ	pə̃mp
ਪੰਪਾਂ	pə̃mp̚
ਪੰਮੀ	pʌmmi
ਪੰਵਾਰ	paŋwaːr
ਪੱਕਾ	pə́kːə
ਪੱਕੀ	pəkːi
ਪੱਕੇ	pəkːe
ਪੱਖ	pəxː
ਪੱਖੀਆਂ	paːkːi̯o̯ː
ਪੱਖੋਂ	paːkːoː
ਪੱਗ	pəgː
ਪੱਗਾਂ	paːgɑ̃
ਪੱਛਮੀ	paːtɕmiː
ਪੱਛਾਦ	paːtɕaːd
ਪੱਛੜ	pəʈʈʌɽ
ਪੱਛੜਿਆ	paːtɕːɽiːə
ਪੱਛੜੀ	paːtɕːɽiː
ਪੱਛੜੀਆਂ	paːtɕːɽiːə̃
ਪੱਟੀ	pʌʈːi
ਪੱਠੇਦਾਰ	paːʈʰeːɖɑːr
ਪੱਤ	pət̪ː
ਪੱਤਰਕਾਰੀ	paːt̪əɾkɑːɾiː
ਪੱਤਾਗੋਭੀ	pat̪aːgoːbʱiː
ਪੱਤੇ	pət̪ːe
ਪੱਥਰ	pəʈʰər
ਪੱਧਰਾ	pəɖːɾə
ਪੱਧਰੀ	pəɖːɾi
ਪੱਪੂ	pəpːu
ਪੱਬਾਂ	pəβːɑ̃
ਪੱਲਾ	pɑːlə
ਫ	ɸ
ਫਕੀਰ	fəkɪr
ਫਟਕਾਰ	ɸəʈkɑːr
ਫਤਹਿ	fət̪ə
ਫਤਹਿਗੜ੍ਹ	fət̪əgəɽː
ਫਤਹਿਜੰਗ	fət̪əgɪ́ŋ
ਫਤਿਆਬਾਦ	fət̪ijɑːbɑːd̪
ਫਤਿਹਗੜ੍ਹ	fət̪iːgəɽ
ਫਤਿਹਪੁਰ	fət̪ɪhpʊɾ
ਫਤਿਹਾਬਾਦ	fət̪iːɑːbaːd̪
ਫਤੇਹੀ	fəteːɪ
ਫਨੀ	ɸəniː
ਫਫੜੇ	ɸəɽːe
ਫਰਕ	ɸəɾk
ਫਰਕ ਨਾਲ	ɸəɾk̚naːl
ਫਰਗਯੂਸਨ	ɸəgjʊs
ਫਰਗਿਊਸਨ	ɸəgiːʊsən
ਫਰਜ਼ੀ	fəɾzi
ਫਰਨਾਂਡਿਸ	ɸəɾnɑ̃ːɖɪs
ਫਰਨਾਂਡੋ	ɸəɾnɑ̃ːɽoː
ਫਰਨੀਚਰ	ɸəɾnɪtʃəɾ
ਫਰਮ	ɸəɾm
ਫਰਮਾਂ	ɸəɾmɑ̃ː
ਫਰਮੀਨੋ	fəɾmiːnoː
ਫਰਲੋ	ɸəɾloː
ਫਰਵਰੀ	fɾəβɾi
ਫਰਸਟ	fɾəst
ਫਰਹਾ	fɪɾə
ਫਰਾਂਸ	ɸɾɑ̃ːs
ਫਰਾਡ	ɸəɾɑːɖ
ਫਰਾਮ	ɸɾaːm
ਫਰਾਰ	ɸəɾɑːɾ
ਫਰੀ	fɪɾiː
ਫਰੀਦਕੋਟ	fəɾiːd̪kɔːt̪
ਫਰੀਦਾਬਾਦ	fəɾiːd̪aːbɑːd̪
ਫਰੂਟਸ	ɸɾuːts
ਫਰੇਮ	ɸɾæːm
ਫਰੈਂਕਫਰਟ	ɸɾæ̃ːkfɾɑːt̪
ਫਰੈਕਚਰ	fəɾɛkʈʂər
ਫਰਜ਼ੀ	fəɻiː
ਫਰੰਗੀ	fəɾəŋiː
ਫਰੰਟ	ɸəɾənt̪
ਫਲ	ɸəl
ਫਲਾਇੰਗ	ɸəlaɪŋ
ਫਲਾਈਟ	ɸlɑɪt̪
ਫਲਾਈਟਾਂ	ɸɛlɛːt̪ɑ̃ː
ਫਲਾਪ	ɸlɑp
ਫਲਿੱਕਰ	ɸəlɪkːər
ਫਲਿੱਪਕਾਰਟ	ɸəliːkɑːɾt̪
ਫਲਿੱਪਕਾਰਡ	ɸəliːpkaːɾɑːɾ
ਫਲੀਆਂਵਾਲਾ	ɸəliːəwaːlə
ਫਲੀਆਵਾਲਾ	ɸəliːʋɑːlə
ਫਲੈਟ	ɸlɛːʈ
ਫਲੋ	ɸəloː
ਫਲੋਟਿੰਗ	ɸl̪oːʈɪŋ
ਫਲੋਰ	ɸəloːr
ਫਲੱਡ	ɸəɭːɽ
ਫਸ	ɸəs
ਫਸਟ	fəst
ਫਸਲ	ɸəsəl
ਫਸਵਾਂ	fəsʋã
ਫਸਾ	ɸəsa
ਫਸਾਇਆ	fəsɑːjɑː
ਫਸਾਉਣ	ɸəsaːuɳ
ਫਸਿਆ	ɸəsɪ́ə
ਫਸੀ	ɸəsi
ਫਸੀਆਂ	ɸəsíːə̃
ਫਸੇ	ɸəsɛ
ਫਹੀਮ	fəɪm
ਫ਼ਤਵੇ	fəʈweː
ਫ਼ਰਕ	ɸəɾk
ਫ਼ਰਾਂਸ	ɸɾɑ̃ːs
ਫ਼ਰੀਦਕੋਟਾ`	fəɾiːdkoːt̪a
ਫ਼ਰੀਦਾਬਾਦ	fəɾiːd̪aːbɑːd̪
ਫ਼ਰੈਂਡਸਿ਼ਪ`	ɸɾæːɳɖsɪp
ਫ਼ਲਾਪ	ɸəɭɑp
ਫ਼ਲੋਰਾ	ɸəloːɾə
ਫ਼ਸਲ	ɸəsəl
ਫ਼ਿਰ	ɸɪr
ਫ਼ਿਲਮ	ɸɪlm
ਫ਼ਿਲਮਕਾਰ	ɸɪlmkɑːr
ਫ਼ਿਲਮਾਂ	ɸɪlmɑ̃ː
ਫ਼ਿਲਮੀ	ɸɪlmiː
ਫ਼ਿਲਹਾਲ	ɸɪlɑːl
ਫ਼ੀ	ɸiː
ਫ਼ੀਸਦੀ	phisːd̪iː
ਫ਼ੁੱਟ	ɸʊʈː
ਫ਼ੇਸਬੁੱਕ	feːsbʊk
ਫ਼ੈਸਲਾਬਾਦ	fɛs̆sᵊläb̆bäːd̪
ਫ਼ੋਟੋ	foːtoː
ਫ਼ੋਨ	foːn
ਫ਼ੋਰਟਿਸ	foːɾt̪ɪs
ਫ਼ੌਜ	foːdʒ
ਫ਼ੌਜੀ	fəʊdʒiː
ਫ਼ੌਜੀਆਂ	foːdʒiːə̯n
ਫਾਂਸੀ	ɸɑ̃ːsiː
ਫਾਇਦੇ	fəjd̪eː
ਫਾਇਦੇਮੰਦ	fəjd̪eːmə̃ːɳ
ਫਾਇਨਾਂਸ਼ੀਅਲ	fəjnɑːʃiːəl
ਫਾਇਨਾਂਸ	faɪnɑ̃s
ਫਾਇਰ	faɪr
ਫਾਇਰਬ੍ਰਾਂਡ	fəɪɾbɾɑːnd
ਫਾਇਲ	feɪl
ਫਾਇਿਲੰਗ	faɪlɪŋ
ਫਾਈ	faɪ
ਫਾਈਨਲ	faɪnəl
ਫਾਈਨਲਸ	faɪnəls
ਫਾਈਨਲਜ਼	faɪnəlz
ਫਾਈਨਾਂਸ਼ੀਅਲ	faɪnɑːʃiəl
ਫਾਈਨਾਂਸ	faɪnɑ̃s
ਫਾਈਨੈਂਸ਼ਲ	fəɪnɪnʃəl
ਫਾਈਨੈਂਸ਼ੀਅਲ	faɪnɛnʃiəl
ਫਾਈਨੈਂਸ	faɪˈnɛns
ਫਾਈਬਰ	fəɪbər
ਫਾਈਲ	feɪl
ਫਾਈਲਜ਼।	faɪlz
ਫਾਈਵ	faɪv
ਫਾਊਂਡੇਸ਼ਨ	foːɳɖeːʃən
ਫਾਕਸਵੈਗਨ	fəkswɛgən
ਫਾਡਾ	ɸɑːɖɑː
ਫਾਦਰ	fəˈd̪ər
ਫਾਦਰ'	fəˈd̪ər
ਫਾਫ	ɸɔːf
ਫਾਰ	ɸɑːr
ਫਾਰਮ	ɸɑːɾm
ਫਾਰਮਹਾਊਸ	ɸɑːɾmɑ̄ʊs
ਫਾਰਮਾ	fɑːrmɑː
ਫਾਰਮੂਲਾ	ɸɑːɾmoːlɑː
ਫਾਰਮੂਲੇ	fəɾmoːlə
ਫਾਰਮੇਟ	ɸɑːɾmɛːt̪
ਫਾਰਮੈਟ	ɸɑːɾmɑːt̪
ਫਾਰਮੈਟਾਂ	ɸɑːɾmɑːt̪ɑ̃ː
ਫਾਰਮੈੱਟ	ɸɑːɾmɛːt̪
ਫਾਰਵਰਡ	ɸɑːɾʋəɾɖ
ਫਾਰੂਕ	fəˈruːk
ਫਾਰੂਖ਼	fəɾʊkʰ
ਫਾਰੈਸਟ	ɸɑːɾɛst̪
ਫਾਲਕੇ	ɸɑːlkɛː
ਫਾਲਤੂ	fɑːlʈʊ
ਫਾਲੋ	ɸɑːloː
ਫਾਲੋਅਰਜ਼	ɸɑːlɔːɾz
ਫਾਲੋਇੰਗ	foːlɔːiŋ
ਫਾਸਟ	fəːst
ਫਾਹਾ	fəɑː
ਫਾਖ਼ਰੀ	fəɻi
