a	aː
nūbivagus	nuːbiu̯aɡus
nūbiānus	nuːbiaːnus
nūbēcula	nuːbeːkula
nūbēs	nuːbeːs
nūbō	nuːboː
nūceria	nuːkeria
nūdiceps	nuːdikeps
nūdium	nuːdium
nūdulus	nuːdulus
nūdus	nuːdus
nūdātis	nuːdaːtis
nūdātīs	nuːdaːtiːs
nūdāverimus	nuːdaːu̯erimus
nūdāverimus	nuːdaːu̯eriːmus
nūdāveris	nuːdaːu̯eris
nūdāveris	nuːdaːu̯eriːs
nūdāveritis	nuːdaːu̯eritis
nūdāveritis	nuːdaːu̯eriːtis
nūdō	nuːdoː
nūga	nuːɡa
nūgor	nuːɡor
nūgātōrius	nuːɡaːtoːrius
nūllifōrmis	nuːllifoːrmis
nūllus	nuːllus
nūme	nuːme
nūmus	nuːmus
nūmī	nuːmiː
nūnciātīvus	nuːnkiaːtiːu̯us
nūnciātōrius	nuːnkiaːtoːrius
nūnciī	nuːnkiiː
nūnciō	nuːnkioː
nūnciōs	nuːnkioːs
nūncupātis	nuːnkupaːtis
nūncupātīs	nuːnkupaːtiːs
nūncupātōria	nuːnkupaːtoːria
nūncupātōrius	nuːnkupaːtoːrius
nūncupāverimus	nuːnkupaːu̯erimus
nūncupāverimus	nuːnkupaːu̯eriːmus
nūncupāveris	nuːnkupaːu̯eris
nūncupāveris	nuːnkupaːu̯eriːs
nūncupāveritis	nuːnkupaːu̯eritis
nūncupāveritis	nuːnkupaːu̯eriːtis
nūndinor	nuːndinor
nūndinus	nuːndinus
nūntium	nuːntium
nūntiā	nuːntiaː
nūntiātis	nuːntiaːtis
nūntiātīs	nuːntiaːtiːs
nūntiātōrius	nuːntiaːtoːrius
nūntiāverimus	nuːntiaːu̯erimus
nūntiāverimus	nuːntiaːu̯eriːmus
nūntiāveris	nuːntiaːu̯eris
nūntiāveris	nuːntiaːu̯eriːs
nūntiāveritis	nuːntiaːu̯eritis
nūntiāveritis	nuːntiaːu̯eriːtis
nūntiō	nuːntioː
nūper	nuːper
nūperus	nuːperus
nūpta	nuːpta
nūpta	nuːptaː
nūptiae	nuːptiae̯
nūptiālis	nuːptiaːlis
nūpturiō	nuːpturioː
nūptō	nuːptoː
nūtriō	nuːtrioː
nūtrīcius	nuːtriːkius
nūtrīcātis	nuːtriːkaːtis
nūtrīcātīs	nuːtriːkaːtiːs
nūtrīcāverimus	nuːtriːkaːu̯erimus
nūtrīcāverimus	nuːtriːkaːu̯eriːmus
nūtrīcāveris	nuːtriːkaːu̯eris
nūtrīcāveris	nuːtriːkaːu̯eriːs
nūtrīcāveritis	nuːtriːkaːu̯eritis
nūtrīcāveritis	nuːtriːkaːu̯eriːtis
nūtrīcō	nuːtriːkoː
nūtrītius	nuːtriːtius
nūtrītiō	nuːtriːtioː
nūtrīverimus	nutriu̯erimus
nūtus	nuːtus
nūtābundus	nuːtaːbundus
nūtātis	nuːtaːtis
nūtātiō	nuːtaːtioː
nūtātīs	nuːtaːtiːs
nūtāverimus	nuːtaːu̯erimus
nūtāverimus	nuːtaːu̯eriːmus
nūtāveris	nuːtaːu̯eris
nūtāveris	nuːtaːu̯eriːs
nūtāveritis	nuːtaːu̯eritis
nūtāveritis	nuːtaːu̯eriːtis
nūtō	nuːtoː
nū̆cleārēs	nukleaːreːs
nū̆cleārēs	nuːkleaːreːs
nū̆diū̆s	nudius
nū̆diū̆s	nudiuːs
nū̆diū̆s	nuːdius
nū̆diū̆s	nuːdiuːs
nū̆diū̆stertiānus	nudiustertiaːnus
nū̆ncupātiō	nunkupaːtioː
nū̆ncupātiō	nuːnkupaːtioː
nū̆ncupātor	nunkupaːtor
nū̆ncupātor	nuːnkupaːtor
nū̆ncupātīvus	nunkupaːtiːu̯us
nū̆ncupātīvus	nuːnkupaːtiːu̯us
nū̆ncupō	nunkupoː
nū̆ncupō	nuːnkupoː
nȳseus	nyːseu̯s
o	oː
oanus	oanus
oarus	oarus
oasis	oasis
oaxēs	oakseːs
ob	ob
obacerō	obakeroː
obaemulor	obae̯mulor
obaerātus	obae̯raːtus
obambulō	obambuloː
obanēnsis	obanensis
obarmō	obarmoː
obarō	obaroː
obaudiō	obau̯dioː
obaurātus	obau̯raːtus
obcaecō	obkae̯koː
obcō	obkoː
obdormiō	obdormioː
obductiō	obduktioː
obductō	obduktoː
obdulcēscō	obdulkeːskoː
obdulcō	obdulkoː
obdō	obdoː
obdūcō	obduːkoː
obdūrēfaciō	obduːreːfakioː
obdūrēfactum	obduːreːfaktum
obdūrēfactūrus	obduːreːfaktuːrus
obdūrēfēcerant	obduːreːfeːkerant
obdūrō	obduːroː
obedō	obedoː
oberrātis	oberraːtis
oberrātīs	oberraːtiːs
oberrāverimus	oberraːu̯erimus
oberrāverimus	oberraːu̯eriːmus
oberrāveris	oberraːu̯eris
oberrāveris	oberraːu̯eriːs
oberrāveritis	oberraːu̯eritis
oberrāveritis	oberraːu̯eriːtis
oberrō	oberroː
obeō	obeoː
obfundō	obfundoː
obgerō	obɡeroː
obhorreō	obhorreoː
obiaceō	obi̯akeoː
obicere	obi̯ikere
obiciendus	obi̯ikiendus
obiciēns	obi̯ikiens
obiciō	obikioː
obiciō	obi̯ikioː
obiectiō	obi̯ektioː
obiectum	obi̯ektum
obiectus	obi̯ektus
obiectātis	obi̯ektaːtis
obiectātiō	obi̯ektaːtioː
obiectātīs	obi̯ektaːtiːs
obiectāverimus	obi̯ektaːu̯erimus
obiectāverimus	obi̯ektaːu̯eriːmus
obiectāveris	obi̯ektaːu̯eris
obiectāveris	obi̯ektaːu̯eriːs
obiectāveritis	obi̯ektaːu̯eritis
obiectāveritis	obi̯ektaːu̯eriːtis
obiectūrus	obi̯ektuːrus
obierimus	obierimus
obierimus	obieriːmus
obieris	obieris
obieris	obieriːs
obieritis	obieritis
obieritis	obieriːtis
obitus	obitus
obituārius	obituaːrius
obitūrus	obituːrus
obiēcī	obi̯eːkiː
obiūrgātis	obi̯uːrɡaːtis
obiūrgātīs	obi̯uːrɡaːtiːs
obiūrgāverimus	obi̯uːrɡaːu̯erimus
obiūrgāverimus	obi̯uːrɡaːu̯eriːmus
obiūrgāveris	obi̯uːrɡaːu̯eris
obiūrgāveris	obi̯uːrɡaːu̯eriːs
obiūrgāveritis	obi̯uːrɡaːu̯eritis
obiūrgāveritis	obi̯uːrɡaːu̯eriːtis
obiūrgō	obi̯uːrɡoː
objaceō	obi̯akeoː
objectīvus	obi̯ektiːu̯us
objiciō	obi̯ikioː
objūrgō	obi̯uːrɡoː
oblectātis	oblektaːtis
oblectātīs	oblektaːtiːs
oblectāverimus	oblektaːu̯erimus
oblectāverimus	oblektaːu̯eriːmus
oblectāveris	oblektaːu̯eris
oblectāveris	oblektaːu̯eriːs
oblectāveritis	oblektaːu̯eritis
oblectāveritis	oblektaːu̯eriːtis
oblectō	oblektoː
obligātis	obliɡaːtis
obligātiō	obliɡaːtioː
obligātīs	obliɡaːtiːs
obligātōria	obliɡaːtoːria
obligātōria	obliɡaːtoːriaː
obligātōrius	obliɡaːtoːrius
obligātōriās	obliɡaːtoːriaːs
obligātōriō	obliɡaːtoːrioː
obligātōriōs	obliɡaːtoːrioːs
obligāverimus	obliɡaːu̯erimus
obligāverimus	obliɡaːu̯eriːmus
obligāveris	obliɡaːu̯eris
obligāveris	obliɡaːu̯eriːs
obligāveritis	obliɡaːu̯eritis
obligāveritis	obliɡaːu̯eriːtis
obligō	obliɡoː
oblinō	oblinoː
obliterandō	obliterandoː
obliterant	obliterant
obliterem	obliterem
obliterā	obliteraː
obliterārem	obliteraːrem
obliterārās	obliteraːraːs
obliterārēs	obliteraːreːs
obliterās	obliteraːs
obliterāsse	obliteraːsse
obliterāssem	obliteraːssem
obliterāssēs	obliteraːsseːs
obliterēs	oblitereːs
obliterō	obliteroː
oblitterātis	oblitteraːtis
oblitterātus	oblitteraːtus
oblitterātīs	oblitteraːtiːs
oblitterāverimus	oblitteraːu̯erimus
oblitterāverimus	oblitteraːu̯eriːmus
oblitterāveris	oblitteraːu̯eris
oblitterāveris	oblitteraːu̯eriːs
oblitterāveritis	oblitteraːu̯eritis
oblitterāveritis	oblitteraːu̯eriːtis
oblitterō	oblitteroː
oblocūtiō	oblokuːtioː
oblongifolius	oblonɡifolius
oblongopūnctātus	oblonɡopuːnktaːtus
oblongus	oblonɡus
oblongās	oblonɡaːs
oblongō	oblonɡoː
oblongōs	oblonɡoːs
obloquor	oblokʷor
oblātrō	oblaːtroː
oblātīcius	oblaːtiːkius
oblātīvus	oblaːtiːu̯us
oblīcus	obliːkus
oblīdat	obliːdat
oblīdō	obliːdoː
oblīmō	obliːmoː
oblīquitās	obliːkʷitaːs
oblīquus	obliːkʷus
oblīquātis	obliːkʷaːtis
oblīquātīs	obliːkʷaːtiːs
oblīquāverimus	obliːkʷaːu̯erimus
oblīquāverimus	obliːkʷaːu̯eriːmus
oblīquāveris	obliːkʷaːu̯eris
oblīquāveris	obliːkʷaːu̯eriːs
oblīquāveritis	obliːkʷaːu̯eritis
oblīquāveritis	obliːkʷaːu̯eriːtis
oblīquō	obliːkʷoː
oblīvium	obliːu̯ium
oblīviō	obliːu̯ioː
oblīviōsus	obliːu̯ioːsus
oblīvīscor	obliːu̯iːskor
oblīvīscēre	obliːu̯iːskere
oblīvīscēre	obliːu̯iːskeːre
obmordeō	obmordeoː
obmūtēscō	obmuːteːskoː
obnoxius	obnoksius
obnoxiōsus	obnoksioːsus
obnītor	obniːtor
obnūbilus	obnuːbilus
obnūbilātiō	obnuːbilaːtioː
obnūbilātus	obnuːbilaːtus
obnūbilō	obnuːbiloː
obnūntiātis	obnuːntiaːtis
obnūntiātus	obnuːntiaːtus
obnūntiātīs	obnuːntiaːtiːs
obnūntiāverimus	obnuːntiaːu̯erimus
obnūntiāverimus	obnuːntiaːu̯eriːmus
obnūntiāveris	obnuːntiaːu̯eris
obnūntiāveris	obnuːntiaːu̯eriːs
obnūntiāveritis	obnuːntiaːu̯eritis
obnūntiāveritis	obnuːntiaːu̯eriːtis
obnūntiō	obnuːntioː
oboca	oboka
obodās	obodaːs
oboediēns	oboe̯diens
oboediō	oboe̯dioː
oboleō	oboleoː
obolus	obolus
oborior	oborior
obovātus	obou̯aːtus
obpugnō	obpuɡnoː
obrigēscō	obriɡeːskoː
obrimās	obrimaːs
obrizus	obrizzus
obrogātis	obroɡaːtis
obrogātiō	obroɡaːtioː
obrogātus	obroɡaːtus
obrogātīs	obroɡaːtiːs
obrogāverimus	obroɡaːu̯erimus
obrogāverimus	obroɡaːu̯eriːmus
obrogāveris	obroɡaːu̯eris
obrogāveris	obroɡaːu̯eriːs
obrogāveritis	obroɡaːu̯eritis
obrogāveritis	obroɡaːu̯eriːtis
obrogō	obroɡoː
obruō	obruoː
obryzus	obryzzus
obrēpō	obreːpoː
obsaepiō	obsae̯pioː
obscēnus	obskeːnus
obscūra	obskuːra
obscūra	obskuːraː
obscūripennis	obskuːripennis
obscūripēs	obskuːripeːs
obscūritās	obskuːritaːs
obscūrus	obskuːrus
obscūrātis	obskuːraːtis
obscūrātus	obskuːraːtus
obscūrātīs	obskuːraːtiːs
obscūrāverimus	obskuːraːu̯erimus
obscūrāverimus	obskuːraːu̯eriːmus
obscūrāveris	obskuːraːu̯eris
obscūrāveris	obskuːraːu̯eriːs
obscūrāveritis	obskuːraːu̯eritis
obscūrāveritis	obskuːraːu̯eriːtis
obscūrō	obskuːroː
obsecrātis	obsekraːtis
obsecrātus	obsekraːtus
obsecrātīs	obsekraːtiːs
obsecrāverimus	obsekraːu̯erimus
obsecrāverimus	obsekraːu̯eriːmus
obsecrāveris	obsekraːu̯eris
obsecrāveris	obsekraːu̯eriːs
obsecrāveritis	obsekraːu̯eritis
obsecrāveritis	obsekraːu̯eriːtis
obsecrō	obsekroː
obsecundō	obsekundoː
obsequia	obsekʷia
obsequiam	obsekʷiam
obsequium	obsekʷium
obsequiās	obsekʷiaːs
obsequiō	obsekʷioː
obsequiōsus	obsekʷioːsus
obsequor	obsekʷor
observantia	obseru̯antia
observābilis	obseru̯aːbilis
observātis	obseru̯aːtis
observātiō	obseru̯aːtioː
observātus	obseru̯aːtus
observātīs	obseru̯aːtiːs
observāverimus	obseru̯aːu̯erimus
observāverimus	obseru̯aːu̯eriːmus
observāveris	obseru̯aːu̯eris
observāveris	obseru̯aːu̯eriːs
observāveritis	obseru̯aːu̯eritis
observāveritis	obseru̯aːu̯eriːtis
observō	obseru̯oː
obserātis	obseraːtis
obserātus	obseraːtus
obserātīs	obseraːtiːs
obserāverimus	obseraːu̯erimus
obserāverimus	obseraːu̯eriːmus
obserāveris	obseraːu̯eris
obserāveris	obseraːu̯eriːs
obserāveritis	obseraːu̯eritis
obserāveritis	obseraːu̯eriːtis
obses	obses
obsessiō	obsessioː
obsetrīcō	obsetriːkoː
obsideō	obsideoː
obsidiālis	obsidiaːlis
obsidiānus	obsidiaːnus
obsignātis	obsiɡnaːtis
obsignātus	obsiɡnaːtus
obsignātīs	obsiɡnaːtiːs
obsignāverimus	obsiːɡnaːu̯erimus
obsignāverimus	obsiːɡnaːu̯eriːmus
obsignāveris	obsiːɡnaːu̯eris
obsignāveris	obsiːɡnaːu̯eriːs
obsignāveritis	obsiːɡnaːu̯eritis
obsignāveritis	obsiːɡnaːu̯eriːtis
obsignō	obsiɡnoː
obsistō	obsistoː
obsolefactum	obsolefaktum
obsolefīō	obsolefiːoː
obsolēscente	obsoleːskente
obsolēscere	obsoleːskere
obsolēscō	obsoleːskoː
obsolēta	obsoleːta
obsolēta	obsoleːtaː
obsolēte	obsoleːte
obsolētus	obsoleːtus
obsolētās	obsoleːtaːs
obsolētē	obsoleːteː
obsolētī	obsoleːtiː
obsolētō	obsoleːtoː
obsolētōs	obsoleːtoːs
obsonāre	obsonaːre
obsonō	obsonoː
obsorbeō	obsorbeoː
obsordēscō	obsordeːskoː
obstetrīcō	obstetriːkoː
obstipēscō	obstipeːskoː
obstitus	obstitus
obstreperus	obstreperus
obstrepō	obstrepoː
obstringō	obstrinɡoː
obstruō	obstruoː
obstupefaciō	obstupefakioː
obstupefactūrus	obstupefaktuːrus
obstupēscō	obstupeːskoː
obstāculum	obstaːkulum
obstāns	obstans
obstētrīx	obsteːtriːks
obstīpus	obstiːpus
obstō	obstoː
obsum	obsum
obsurdēscō	obsurdeːskoː
obsēdī	obseːdiː
obsōnāre	obsoːnaːre
obtegō	obteɡoː
obtemperātis	obtemperaːtis
obtemperātus	obtemperaːtus
obtemperātīs	obtemperaːtiːs
obtemperāverimus	obtemperaːu̯erimus
obtemperāverimus	obtemperaːu̯eriːmus
obtemperāveris	obtemperaːu̯eris
obtemperāveris	obtemperaːu̯eriːs
obtemperāveritis	obtemperaːu̯eritis
obtemperāveritis	obtemperaːu̯eriːtis
obtemperō	obtemperoː
obtendō	obtendoː
obtenebricātus	obtenebrikaːtus
obtenebrō	obtenebroː
obterō	obteroː
obtestor	obtestor
obticeō	obtikeoː
obtineō	obtineoː
obtingō	obtinɡoː
obtorpeō	obtorpeoː
obtorqueō	obtorkʷeoː
obtrahō	obtrahoː
obtrectō	obtrektoː
obtruncātis	obtrunkaːtis
obtruncātus	obtrunkaːtus
obtruncātīs	obtrunkaːtiːs
obtruncāverimus	obtrunkaːu̯erimus
obtruncāverimus	obtrunkaːu̯eriːmus
obtruncāveris	obtrunkaːu̯eris
obtruncāveris	obtrunkaːu̯eriːs
obtruncāveritis	obtrunkaːu̯eritis
obtruncāveritis	obtrunkaːu̯eriːtis
obtruncō	obtrunkoː
obtrūdō	obtruːdoː
obtrūsus	obtruːsus
obtueor	obtueor
obtundō	obtundoː
obturbātis	obturbaːtis
obturbātus	obturbaːtus
obturbātīs	obturbaːtiːs
obturbāverimus	obturbaːu̯erimus
obturbāverimus	obturbaːu̯eriːmus
obturbāveris	obturbaːu̯eris
obturbāveris	obturbaːu̯eriːs
obturbāveritis	obturbaːu̯eritis
obturbāveritis	obturbaːu̯eriːtis
obturbō	obturboː
obtusifolius	obtusifolius
obtūrante	obtuːrante
obtūrātis	obtuːraːtis
obtūrātus	obtuːraːtus
obtūrātīs	obtuːraːtiːs
obtūrāverimus	obtuːraːu̯erimus
obtūrāverimus	obtuːraːu̯eriːmus
obtūrāveris	obtuːraːu̯eris
obtūrāveris	obtuːraːu̯eriːs
obtūrāveritis	obtuːraːu̯eritis
obtūrāveritis	obtuːraːu̯eriːtis
obtūrō	obtuːroː
obtūsus	obtuːsus
obtūsātus	obtuːsaːtus
obulcō	obulkoː
obultrōneus	obultroːneus
obultrōnius	obultroːnius
obumbrātis	obumbraːtis
obumbrātus	obumbraːtus
obumbrātīs	obumbraːtiːs
obumbrāverimus	obumbraːu̯erimus
obumbrāverimus	obumbraːu̯eriːmus
obumbrāveris	obumbraːu̯eris
obumbrāveris	obumbraːu̯eriːs
obumbrāveritis	obumbraːu̯eritis
obumbrāveritis	obumbraːu̯eriːtis
obumbrō	obumbroː
obveniō	obu̯enioː
obversor	obu̯ersor
obvie	obu̯ie
obvius	obu̯ius
obviāte	obu̯iaːte
obviātum	obu̯iaːtum
obviō	obu̯ioː
obvolvō	obu̯olu̯oː
obvāllātus	obu̯aːllaːtus
obātrātus	obaːtraːtus
obēdientēs	obeːdienteːs
obēdiō	obeːdioː
obēsitās	obeːsitaːs
ocazanēs	okazzaneːs
occaecātis	okkae̯kaːtis
occaecātus	okkae̯kaːtus
occaecātīs	okkae̯kaːtiːs
occaecāverimus	okkae̯kaːu̯erimus
occaecāverimus	okkae̯kaːu̯eriːmus
occaecāveris	okkae̯kaːu̯eris
occaecāveris	okkae̯kaːu̯eriːs
occaecāveritis	okkae̯kaːu̯eritis
occaecāveritis	okkae̯kaːu̯eriːtis
occaecō	okkae̯koː
occallātus	okkallaːtus
occidentissimus	okkidentissimus
occidentālis	okkidentaːlis
occidāneus	okkidaːneus
occidēns	okkidens
occidō	okkidoː
occipitofrontālis	okkipitofrontaːlis
occipitofrontālēs	okkipitofrontaːleːs
occipitālis	okkipitaːlis
occipitālēs	okkipitaːleːs
occipiō	okkipioː
occiput	okkiput
occitāna	okkitaːna
occitāna	okkitaːnaː
occitānicus	okkitaːnikus
occitānus	okkitaːnus
occitānō	okkitaːnoː
occius	okkius
occlūdēns	okkluːdens
occlūdō	okkluːdoː
occubō	okkuboː
occultātis	okkultaːtis
occultātīs	okkultaːtiːs
occultāverimus	okkultaːu̯erimus
occultāverimus	okkultaːu̯eriːmus
occultāveris	okkultaːu̯eris
occultāveris	okkultaːu̯eriːs
occultāveritis	okkultaːu̯eritis
occultāveritis	okkultaːu̯eriːtis
occultō	okkultoː
occulō	okkuloː
occumbō	okkumboː
occupātis	okkupaːtis
occupātiō	okkupaːtioː
occupātīs	okkupaːtiːs
occupāverimus	okkupaːu̯erimus
occupāverimus	okkupaːu̯eriːmus
occupāveris	okkupaːu̯eris
occupāveris	okkupaːu̯eriːs
occupāveritis	okkupaːu̯eritis
occupāveritis	okkupaːu̯eriːtis
occupō	okkupoː
occurrō	okkurroː
occursiō	okkursioː
occursātis	okkursaːtis
occursātiō	okkursaːtioː
occursātor	okkursaːtor
occursātīs	okkursaːtiːs
occursāverimus	okkursaːu̯erimus
occursāverimus	okkursaːu̯eriːmus
occursāveris	okkursaːu̯eris
occursāveris	okkursaːu̯eriːs
occursāveritis	okkursaːu̯eritis
occursāveritis	okkursaːu̯eriːtis
occursō	okkursoː
occāsiō	okkaːsioː
occāsus	okkaːsus
occīdēns	okkiːdens
occīdō	okkiːdoː
occīsa	okkiːsa
occīsa	okkiːsaː
occīsō	okkiːsoː
occō	okkoː
ocellus	okellus
ocellātus	okellaːtus
ocharius	okʰarius
ochē	okʰeː
oclatius	oklatius
oclatīnius	oklatiːnius
ocliferius	okliferius
oclus	oklus
ocnus	oknus
ocra	okra
ocre	okre
ocrea	okrea
ocriculum	okrikulum
ocris	okris
octaedron	oktaedron
octaedros	oktae̯dros
octante	oktante
octaëdricus	oktaedrikus
octennis	oktennis
octingenta	oktinɡenta
octingentae	oktinɡentae̯
octingentēsimus	oktinɡenteːsimus
octingentī	oktinɡentiː
octipēs	oktipeːs
octogēsa	oktoɡeːsa
octuplus	oktuplus
octāgintā	oktaːɡintaː
octāns	oktans
octāvius	oktaːu̯ius
octāvus	oktaːu̯us
octāvās	oktaːu̯aːs
octāvōs	oktaːu̯oːs
octō	oktoː
octōber	oktoːber
octōcarīnātus	oktoːkariːnaːtus
octōdecim	oktoːdekim
octōgintā	oktoːɡintaː
octōgēnāria	oktoːɡeːnaːria
octōgēnāria	oktoːɡeːnaːriaː
octōgēnārius	oktoːɡeːnaːrius
octōgēnāriās	oktoːɡeːnaːriaːs
octōgēnāriō	oktoːɡeːnaːrioː
octōgēnāriōs	oktoːɡeːnaːrioːs
octōgēsimus	oktoːɡeːsimus
octōnārius	oktoːnaːrius
octōnī	oktoːniː
octōpodēs	oktoːpodeːs
octōpūs	oktoːpuːs
octōvir	oktoːu̯ir
octōvirātus	oktoːu̯iraːtus
oculus	okulus
oculāris	okulaːris
oculāriter	okulaːriter
oculārius	okulaːrius
oculārēs	okulaːreːs
oculātus	okulaːtus
oculī	okuliː
ocēlis	okeːlis
odanda	odanda
odibilis	odibilis
odium	odium
odiāta	odiaːta
odiāta	odiaːtaː
odiāte	odiaːte
odiātī	odiaːtiː
odiātō	odiaːtoː
odiō	odioː
odiōsus	odioːsus
odomboerae	odomboe̯rae̯
odor	odor
odrysae	odrysae̯
odyssēa	odysseːa
odēssus	odessus
odōrifer	odoːrifer
odōrus	odoːrus
odōrātus	odoːraːtus
odōrī	odoːriː
odōrō	odoːroː
oeanthē	oe̯antʰeː
oecalicēs	oe̯kalikeːs
oechalia	oe̯kʰalia
oechardēs	oe̯kʰardeːs
oecologia	oe̯koloɡia
oeconomia	oe̯konomia
oeconomicus	oe̯konomikus
oecosystēma	oe̯kosysteːma
oecūmenicus	oe̯kuːmenikus
oedipūs	oe̯dipuːs
oenanthinus	oe̯nantʰinus
oeniadae	oe̯niadae̯
oenobarās	oe̯nobaraːs
oenomaus	oe̯nomau̯s
oenoē	oe̯noeː
oenūs	oe̯nuːs
oenūssae	oe̯nuːssae̯
oesalcēs	oe̯salkeːs
oescus	oe̯skus
oestrus	oe̯strus
oesyma	oe̯syma
oesypum	oe̯sypum
oeta	oe̯ta
oetaeī	oe̯tae̯iː
oetylus	oe̯tylus
offa	offa
offendēre	offendere
offendēre	offendeːre
offendō	offendoː
offerō	offeroː
offex	offeks
officium	offikium
officiālis	offikiaːlis
officiāliter	offikiaːliter
officiō	offikioː
officiōsus	offikioːsus
officīna	offikiːna
officīnālis	offikiːnaːlis
offirmātis	offirmaːtis
offirmātīs	offirmaːtiːs
offirmāverimus	offirmaːu̯erimus
offirmāverimus	offirmaːu̯eriːmus
offirmāveris	offirmaːu̯eris
offirmāveris	offirmaːu̯eriːs
offirmāveritis	offirmaːu̯eritis
offirmāveritis	offirmaːu̯eriːtis
offirmō	offirmoː
offulgeō	offulɡeoː
offundō	offundoː
offuscō	offuskoː
offēnsante	offensante
offēnse	offense
offēnsus	offensus
offēnsātis	offensaːtis
offēnsātīs	offensaːtiːs
offēnsāverimus	offensaːu̯erimus
offēnsāverimus	offensaːu̯eriːmus
offēnsāveris	offensaːu̯eris
offēnsāveris	offensaːu̯eriːs
offēnsāveritis	offensaːu̯eritis
offēnsāveritis	offensaːu̯eriːtis
offēnsō	offensoː
offōcō	offoːkoː
ofilius	ofilius
ofānius	ofaːnius
ofōnius	ofoːnius
ogganniō	oɡɡannioː
oggerō	oɡɡeroː
oglasa	oɡlasa
ogulnius	oɡulnius
ohioēnsis	ohioensis
ohīum	ohiːum
oica	oika
oklahomēnsis	oklahomensis
olarsō	olarsoː
olbius	olbius
olca	olka
olcadēs	olkadeːs
olea	olea
oleaster	oleaster
oleitās	oleitaːs
olentia	olentia
olenticētum	olentikeːtum
olerāceus	oleraːkeus
oleum	oleum
oleāginus	oleaːɡinus
oleāginōsus	oleaːɡinoːsus
oleāmen	oleaːmen
oleāmentum	oleaːmentum
oleāris	oleaːris
oleārius	oleaːrius
oleātus	oleaːtus
oleōsus	oleoːsus
olfaciō	olfakioː
olfactōrius	olfaktoːrius
olida	olida
olida	olidaː
olidus	olidus
olidās	olidaːs
olidō	olidoː
olidōs	olidoːs
oliganthus	oliɡantʰus
oligarcha	oliɡarkʰa
oligarchia	oliɡarkʰia
oligarchicus	oliɡarkʰikus
oligochronius	oliɡokʰronius
oligyrtus	oliɡyrtus
olisīpō	olisiːpoː
olisīpōnēnsis	olisiːpoːnensis
olizōn	olizzoːn
olle	olle
olma	olma
olmius	olmius
olomucēnsis	olomukensis
olontigi	olontiɡi
oloossōn	oloossoːn
olophyxus	olopʰyksus
olor	olor
olorus	olorus
olpae	olpae̯
oltis	oltis
olubria	olubria
olvātium	olu̯aːtium
olympus	olympus
olynthos	olyntʰos
olīva	oliːu̯a
olīvitās	oliːu̯itaːs
olīvāceus	oliːu̯aːkeus
olīvārius	oliːu̯aːrius
olīvās	oliːu̯aːs
olīvētum	oliːu̯eːtum
olō	oloː
olōrīne	oloːriːne
olōrīnus	oloːriːnus
olōrīnīs	oloːriːniːs
olȳbrius	olyːbrius
omalis	omalis
ombos	ombos
ombrōnēs	ombroːneːs
omirās	omiraːs
omittō	omittoː
ommatidium	ommatidium
omnia	omnia
omnicarpus	omnikarpus
omniciēns	omnikiens
omnifōrmis	omnifoːrmis
omnigenus	omniɡenus
omnimodus	omnimodus
omnipotēns	omnipotens
omnis	omnis
omniscientēs	omniskienteːs
omniscius	omniskius
omnisciēns	omniskiens
omnivagus	omniu̯aɡus
omnivolus	omniu̯olus
omnivora	omniu̯ora
omnivora	omniu̯oraː
omnivore	omniu̯ore
omnivorus	omniu̯orus
omnivorī	omniu̯oriː
omnivorō	omniu̯oroː
omnēs	omneːs
omnīnō	omniːnoː
omoemus	omoe̯mus
omoticus	omotikus
omphalium	ompʰalium
omānēnsis	omaːnensis
omāsum	omaːsum
onager	onaɡer
onatās	onataːs
onceium	onkei̯i̯um
onchēsmus	onkʰeːsmus
onchēstus	onkʰeːstus
oncō	onkoː
oneidēnsis	onei̯densis
onerārius	oneraːrius
onerātis	oneraːtis
onerātīs	oneraːtiːs
onerāverimus	oneraːu̯erimus
onerāverimus	oneraːu̯eriːmus
onerāveris	oneraːu̯eris
onerāveris	oneraːu̯eriːs
onerāveritis	oneraːu̯eritis
onerāveritis	oneraːu̯eriːtis
onerō	oneroː
onerōsus	oneroːsus
oningi	oninɡi
oniscus	oniskus
onobalās	onobalaːs
onobrisātēs	onobrisaːteːs
onocentaurus	onokentau̯rus
onolatrīa	onolatriːa
onolatrīae	onolatriːae̯
onoma	onoma
onomatopoeia	onomatopoe̯ia
onomatopēia	onomatopeːi̯a
onopyxos	onopyksos
ontariō	ontarioː
onuba	onuba
onugnathus	onuɡnatʰus
onus	onus
onustus	onustus
onychinus	onykʰinus
onysia	onysia
onyx	onyks
onēsicritus	oneːsikritus
onēsilus	oneːsilus
onīros	oniːros
onūphis	onuːpʰis
opacifrōns	opakifrons
opellius	opellius
opera	opera
operculum	operkulum
operculāris	operkulaːris
operistitium	operistitium
operiō	operioː
operor	operor
operārius	operaːrius
operātor	operaːtor
operātīvus	operaːtiːu̯us
operō	operoː
operōsus	operoːsus
opharus	opʰarus
ophicardēlos	opʰikardeːlos
ophis	opʰis
ophiūsa	opʰiuːsa
ophlimus	opʰlimus
ophrynium	opʰrynium
ophrādus	opʰraːdus
ophthalmicus	opʰtʰalmikus
opifex	opifeks
opitulor	opitulor
opium	opium
opiātus	opiaːtus
opobalsamētum	opobalsameːtum
oportet	oportet
oporteō	oporteoː
oportūnus	oportuːnus
oppandō	oppandoː
opperior	opperior
oppetō	oppetoː
