3	tʂɚ
niezdany	ɲezdanɨ
niezdara	ɲɛzdara
niezdarnie	ɲɛzdarɲɛ
niezdarność	ɲɛzdarnɔɕtɕ
niezdarny	ɲɛzdarnɨ
niezdatny	ɲɛzdatnɨ
niezdecydowanie	ɲɛzdɛtsɨdɔvaɲɛ
niezdecydowany	ɲeztɛtstɔfɒnɨ
niezdecydowany	ɲɛzdɛtsɨdɔvanɨ
niezdeterminowanie	ɲɛntɛtɛrminɔvaɲɛ
niezdolne	ɲezdɔlnɛ
niezdolność	ɲɛzdɔlnɔɕtɕ
niezdolny	ɲɛzdɔlnɨ
niezdolnych	ɲezdɔlnɨx
niezdrowe	ɲezdrɔva
niezdrowo	ɲɛzdrɔvɔ
niezdrowy	ɲɛzdrɔvɨ
niezdrów	ɲezdruf
niezgoda	ɲezgɔda
niezgoda	ɲɛzgɔda
niezgodni	ɲezgɔdɲi
niezgodność	ɲɛzgɔdnɔɕtɕ
niezgodny	ɲɛzgɔdnɨ
niezgorszy	ɲɛzgɔrʂɨ
niezgrabnie	ɲɛzgrabɲɛ
niezgrabność	ɲɛzgrabnɔɕtɕ
niezgrabny	ɲɛzgrabnɨ
niezgłoskotwórczy	ɲɛzgwɔskɔtfurtʂɨ
niezgłębiony	ɲɛzgwɛmbjɔnɨ
niezharmonizowany	ɲɛsxarmɔɲizɔvanɨ
niezharmonizowany	ɲɛzxarmɔɲizɔvanɨ
nieziemski	ɲɛʑɛmski
nieziemskie	ɲɛzjɛmskiɛ
nieziemskim	ɲeziɛmskim
nieziemsko	ɲeʑɛnskɔ
niezjonizowany	ɲɛzjɔɲisɔvanɨ
niezliczony	ɲezlitʂɔnɨ
niezliczony	ɲɛzlitʂɔnɨ
niezmienianie	nɛzmjɛɲaɲɛ
niezmienniczy	ɲɛzmjɛnɲitʂɨ
niezmiennie	ɲɛsmjɛnlɲjɛ
niezmiennie	ɲɛzmjɛnɲɛ
niezmienności	ɲɛzmjɛnŋɔɕtɕi
niezmienność	ɲɛzmjɛnnɔɕtɕ
niezmienny	ɲɛzmjɛnnɨ
niezmiernie	ɲɛzmjɛrɲɛ
niezmierny	ɲɛzmjɛrnɛ
niezmierny	ɲɛzmjɛrnɨ
niezmordowany	ɲɛzmɔrdɔvanɨ
niezmywalny	ɲɛzmɨvalnɨ
niezmącony	ɲɛzmɔw̃tɕɔnɨ
nieznaczni	ɲɛznatʂɲi
nieznacznie	ɲɛznatʂɲɛ
nieznaczny	ɲɛznatʂnɨ
nieznaczące	ɲɛʑnatʂɔw̃ntsɛ
nieznaj	ɲɛznaj
nieznajoma	ɲeznɛjɔma
nieznajoma	ɲɛznajɔma
nieznajomość	ɲɛznajɔmɔɕtɕ
nieznajomość	ɲɛʑnajɔbɔɕtɕ
nieznajomy	ɲɛznajɔmɨ
nieznający	ɲeznajɔw̃tsɨ
nieznana	ɲeznana
nieznane	ɲeznanɛ
nieznane	ɲɛznanɛ
nieznani	ɲeznaɲi
nieznany	nɛznanɨ
nieznany	ɲɛznanɨ
nieznanym	ɲeznanɛm
nieznośne	ɲɛznoɕnɛ
nieznośny	ɲɛznɔɕnɨ
niezorganizowany	ɲɛzɔrgaɲizɔvanɨ
niezorientowanie	ɲɛtsɔrjɛntɔvinɲɛ
niezrozumiale	ɲɛzrɔzumjalɛ
niezrozumiani	ɲɛzrɔzumiaɲɛ
niezrozumiała	ɲezrɔzuɲawa
niezrozumiałość	ɲɛzrɔzumjawɔɕtɕ
niezrozumiały	ɲɛzrɔzumjawɨ
niezrzeszony	ɲɛzʐɛʂɔnɨ
niezrównany	ɲɛzruvnanɨ
niezrównoważony	ɲɛzruvnɔvaʐɔnɨ
niezróżnicowany	ɲɛzrfʐɲitsɔvanɨ
niezręczna	ɲezrɛntʂna
niezręcznej	ɲezrɛntʂnɛj
niezręcznie	njɛzrɛntʂɲɛ
niezręcznie	ɲɛzrɛntʂɲɛ
niezręczność	ɲɛzrɛntʂnɔɕtɕ
niezupełnie	ɲɛzupɛwɲɛ
niezupełny	ɲɛzupɛwnɨ
niezwiązany	ɲɛzvjɔw̃zanɨ
niezwoływanie	ɲɛzvɔwɔwaɲiɛ
niezwracający	ɲezvratsajɔw̃ts
niezwyciężony	ɲɛzvɨtɕɛw̃ʐɔnɨ
niezwyczajne	ɲɛʑfɨitʂajnɛ
niezwykle	ɲɛzvɨkle
niezwykle	ɲɛzvɨklɛ
niezwykłe	ɲɛzvɨkwɛ
niezwykłe	ɲɛzʋɨkwɛ
niezwykłość	ɲɛzvɨkwɔɕtɕ
niezwykły	ɲɛzvɨkwɨ
niezwłocznie	ɲɛzvwɔtʂɲɛ
niezwłoczny	ɲɛzvwɔtʂnɨ
niezyskowny	ɲɛzɨskɔvnɨ
niezła	ɲɛzwa
niezłe	ɲɛzwɛ
niezłego	ɲɛzwɛgɔ
niezłomnie	ɲɛzwɔmɲɛ
niezłomność	ɲɛzwɔmnɔɕtɕ
niezłomny	ɲɛzwɔmnɨ
niezłupiony	ɲɛswpjɔnɨ
niezły	ɲɛzwɨ
niezłą	ɲɛzwɔw̃
nieć	ɲɛtɕ
niełacny	ɲɛwatsnɨ
nieład	ɲɛwat
nieładne	ɲewadnɛ
nieładny	ɲɛwadnɨ
niełaska	ɲɛwaska
niełaskawy	ɲɛuwaskavɨ
niełatwy	ɲɛwatfɨ
niełaz	ɲɛwas
niełazik	ɲɛwaʑik
niełazy	ɲɛwazɨ
niełupce	ɲɛwuptsɛ
niełupek	ɲɛwupɛk
niełupka	ɲɛwupka
niełupkach	ɲɛwupkax
niełupkami	ɲɛwupkami
niełupki	ɲɛwupki
niełupko	ɲɛwupkɔ
niełupkom	ɲɛwupkɔm
niełupką	ɲɛwupkɔw̃
niełupkę	ɲɛwupkɛ
nieś	ɲɛɕ
nieście	ɲɛɕtɕɛ
nieścier	ɲɛɕtɕɛr
nieścierowicz	ɲɛɕtɕɛrɔvitʂ
nieścior	ɲɛɕtɕɔr
nieścisłość	ɲɛɕtɕiswɔɕtɕ
nieściur	ɲɛɕtɕur
nieściór	ɲɛɕtɕur
nieściśle	ɲɛɕtɕiɕlɛ
nieśli	ɲɛɕli
nieślubny	ɲɛɕlubnɨ
nieśmiali	ɲɛɕmjali
nieśmiała	ɲɛɕmjawa
nieśmiałe	ɲɛɕmjawɛ
nieśmiałe	ɲɛɕmjawɨ
nieśmiałego	ɲɛɕmjawɛgɔ
nieśmiałej	ɲɛɕmjawɛj
nieśmiałemu	ɲɛɕmjawɛmu
nieśmiało	ɲɛɕmjawɔ
nieśmiałość	ɲɛɕmjawɔɕtɕ
nieśmiały	ɲeɕmjawɨ
nieśmiały	ɲeɕmjɒɫɨ
nieśmiały	ɲɛɕmjawɨ
nieśmiałych	ɲɛɕmjawɨx
nieśmiałym	ɲɛɕmjawɨm
nieśmiałymi	ɲɛɕmjawɨmi
nieśmiałą	ɲɛɕmjawɔw̃
nieśmiertelne	ɲeɕmjartɛlɲɛ
nieśmiertelnik	ɲɛɕmjɛrtɛlɲik
nieśmiertelność	ɲɛɕmjɛrtɛlnɔɕtɕ
nieśmiertelny	ɲɛɕmjɛrtɛlnɨ
nieśmiesznie	ɲɛɕmjɛʂɲɛ
nieśmieszny	ɲɛɕmjɛʂnɨ
nieśmy	ɲɛɕmɨ
nieśność	ɲjɛɕnɔɕtɕ
nieśny	ɲjɛɕnɨ
nieśpiał	ɲɛɕpjaw
nieśpieszny	ɲɛɕpjɛʂnɨ
nieświadomie	ɲɛɕfjadɔmjɛ
nieświadomość	ɲɛɕfjadɔmɔɕtɕ
nieświadomy	ɲɛɕfjadɔmɨ
nieświec	ɲɛɕfjɛts
nieświeżego	njɛɕfjɛrʐɛgɔ
nieświeży	ɲɛɕfjɛʐɨ
nieświszczuk	ɲɛɕfiʂtʂuk
nieść	ɲɛɕtɕ
nieźle	ɲɛʑlɛ
nież	ɲɛʂ
nieżonate	nʲeʐɔnatɛ
nieżonaty	ɲɛʐɔnatɨ
nieżyczliwy	ɲɛʐɨtʂlivɨ
nieżyjąca	ɲeʐɨjɔw̃tsa
nieżyt	nɛʐɨt
nieżyt	ɲɛʐɨt
nieżyw	ɲɛʐɨf
nieżywa	ɲeʐɨva
nieżywotny	ɲeʐɨvɔtnɨ
nieżywy	ɲɛʐɨvɨ
nigdy	nʲigdɨ
nigdy	ɲigdɨ
nigdzie	ɲigdʑɛ
nigeria	nigɛria
nigeryjczyk	ɲigɛrɨjtʂɨk
nigeryjska	ɲigɛrɨjska
nigeryjskie	ɲigɛrɨjskjɛ
nigeryjskiego	ɲigɛrɨjskjɛgɔ
nigeryjskim	ɲigɛrɨjskim
nigeryjską	ɲigɛrɨjskɔw̃
nihilista	nʲexjlʲista
nihilista	ɲixilista
nihilizm	ɲixilizm
nihon	ɲixɔn
nijacy	ɲijatsɨ
nijak	ɲijak
nijaka	ɲijaka
nijaki	ɲijaki
nijakich	ɲijakix
nijakie	ɲijakjɛ
nijakiego	ɲijakjɛgɔ
nijakiej	ɲijakjɛj
nijakiemu	ɲijakjɛmu
nijakim	ɲijakim
nijakimi	ɲijakimi
nijako	ɲijakɔ
nijakość	ɲijakɔɕtɕ
nijaką	ɲijakɔw̃
nika	nʲika
nikab	ɲikap
nikaragua	ɲikaragua
nikaragua	ɲikaragwa
nikaraguańscy	ɲikaraguaɲstsɨ
nikaraguańska	ɲikaraguaɲska
nikaraguański	ɲikaraguaɲski
nikaraguańskich	ɲikaraguaɲskix
nikaraguańskie	ɲikaraguaɲskjɛ
nikaraguańskiego	ɲikaraguaɲskjɛgɔ
nikaraguańskiego	ɲikaragwaɲskjɛgɔ
nikaraguańskiej	ɲikaraguaɲskjɛj
nikaraguańskimi	ɲikaraguaɲskimi
nikaraguańską	ɲikaraguaɲskɔw̃
nikczemna	ɲiktʂɛmna
nikczemnieć	ɲiktʂɛmɲɛtɕ
nikczemność	ɲiktʂɛmnɔɕtɕ
nikczemny	ɲiktʂɛmnɨ
nike	ɲikɛ
nikiel	nikjɛl
nikiel	ɲikjɛl
nikifor	nikifor
nikim	ɲikim
nikle	ɲiklɛ
niklej	ɲiklɛj
niklewicz	ɲiklɛvitʂ
niklowany	ɲiklɔvanɨ
niknąc	niknuts
niknąć	ɲiknɔɲtɕ
nikodem	nikɔdem
nikodem	ɲikɔdɛm
nikogo	nʲikogo
nikogo	ɲikɔgɔ
nikola	ɲikɔla
nikomu	ɲikɔmu
nikonowicz	ɲikɔnɔvitʂ
nikotyna	ɲikɔtɨna
nikotynowy	ɲikɔtɨnɔvɨ
nikozja	ɲikɔzja
nikoś	ɲɛkɔɕ
nikt	nʲigd
nikędy	ɲikɛndɨ
nikła	nikwˌa
nikłe	nˈjˈkwˈa
nikłe	ɲikwɛ
nikłej	ɲikwɛj
nikło	ɲikwɔ
nikły	nʲikwɨ
nikły	ɲikwɨ
nikłą	ɲikwɔw̃
nil	nˈin
nil	ɲil
nilowy	njɛlɔvɨ
nilowy	ɲilɔvɨ
nim	ɲim
nimbus	ɲimbus
nimfa	ɲimfa
nimfetka	ɲimfɛtka
nimfomance	ɲimfɔmantsɛ
nimfomanek	ɲimfɔmanɛk
nimfomanka	ɲimfɔmaŋka
nimfomankach	ɲimfɔmaŋkax
nimfomankami	ɲimfɔmaŋkami
nimfomanki	ɲimfɔmaŋki
nimfomanko	ɲimfɔmaŋkɔ
nimfomankom	ɲimfɔmaŋkɔm
nimfomanką	ɲimfɔmaŋkɔw̃
nimfomankę	ɲimfɔmaŋkɛ
nimi	nimi
nimi	ɲimi
nina	ɲina
ninja	nʲindʒɛ
ninja	ɲindʑa
ninjutsu	ɲindʑutsu
ninka	nɛnka
ninków	nʲinkov
niob	ɲɔp
nios	ɲɔs
niosce	ɲɔstsɛ
niosek	ɲɔsɛk
nioska	ɲɔska
nioskach	ɲɔskax
nioskami	ɲɔskami
nioski	ɲɔski
niosko	ɲɔskɔ
nioskom	ɲɔskɔm
nioską	ɲɔskɔw̃
nioskę	ɲɔskɛ
niosą	ɲɔsɔw̃
niosąc	ɲɔsɔnts
niosąca	ɲɔsɔntsa
niosący	ɲɔsɔntsɨ
niosę	ɲɔsɛ
niosła	ɲɔswa
niosłaby	ɲɔswabɨ
niosłabym	ɲɔswabɨm
niosłabyś	ɲɔswabɨɕ
niosłam	ɲɔswam
niosłaś	ɲɔswaɕ
niosłem	ɲɔswɛm
niosłeś	ɲɔswɛɕ
niosło	ɲɔswɔ
niosłoby	ɲɔswɔbɨ
niosły	ɲɔswɛ
niosły	ɲɔswɨ
nirwana	ɲirvana
nisiewicz	ɲiɕɛvitʂ
niska	ɲiska
niski	njiski
niski	ɲiski
niskich	ɲiskix
niskie	niskjɛ
niskie	ɲiskjɛ
niskiej	ɲiskjɛj
niskiemu	ɲiskjɛmu
niskim	ɲiskim
niskimi	niskimi
niskimi	ɲiskimi
nisko	nʲiskɔ
nisko	ɲiskɔ
niskoalkoholowy	ɲiskɔalkɔxɔlɔvɨ
niskobudżetowa	ɲiskɔbudʐɛtɔva
niskokaloryczny	ɲiskɔkalɔrɔtʂnɨ
niskokaloryczny	ɲiskɔkalɔrɨtʂnɨ
niskoorbitowo	ɲiskɔɔrbitɔvɔ
niskopienny	niskɔpjɛnnɨ
niskopienny	ɲiskɔpjɛnnɨ
niskopodłogowy	niskɔpɔdwɔgɔvɨ
niskopoziomowy	ɲiskɔpɔʑɔmɔvɨ
niskoprocentowy	niskɔprɔtsantɔvɨ
niskoprocentowy	ɲiskɔprɔtsɛntɔvɨ
niskorosły	ɲiskɔrɔswɨ
niskotłuszczowy	ɲiskɔtwuʂtʂɔvɨ
niskowzgórze	ɲiskɔvzguʐɛ
niską	ɲiskɔw̃
nisz	ɲiʂ
nisza	nʲiʂa
nisza	ɲiʂa
niszcz	ɲiʂtʂ
niszczak	ɲiʂtʂak
niszczarek	ɲiʂtʂarɛk
niszczarka	ɲiʂtʂarka
niszczarka	ɲiʑtʂarka
niszczarki	ɲiʂtʂarki
niszczenie	ɲiʂtʂɛɲɛ
niszczeć	ɲiʂtʂɛtɕ
niszczone	njɛʂtʂɔna
niszczot	ɲiʂtʂɔt
niszczuk	ɲiʂtʂuk
niszczuka	ɲiʂtʂuka
niszczyciel	ɲiʂtʂɨtɕɛl
niszczycielski	ɲiʂtʂɨtɕɛlski
niszczycielsko	ɲiʂtʂɨtɕɛlskɔ
niszczyć	ɲiʂtʂɨtɕ
niszczące	ɲiztʂɔw̃tsɛ
niszezak	nʲiʂɛzak
niszowy	ɲiʂɔvɨ
nitce	ɲittsɛ
nitecki	ɲitɛtski
niteczek	ɲitɛtʂɛk
niteczka	ɲitɛtʂka
niteczki	ɲitɛtʂki
niteczko	ɲitɛtʂkɔ
niteczkom	ɲitɛtʂkɔm
niteczką	ɲitɛtʂkɔw̃
nitek	ɲitɛk
nitka	nitska
nitka	ɲitka
nitki	ɲitki
nitkiewicz	ɲitkjɛvitʂ
nitko	ɲitkɔ
nitkodziobek	ɲitkɔdʑɔbɛk
nitkowaty	nitkɔvatɨ
nitkowaty	ɲitkɔvatɨ
nitką	ɲitkɔw̃
nitkę	ɲitkɛ
nitodziobek	ɲitɔdʑɔbɛk
nitowany	ɲitɔwanɨ
nitować	ɲitɔvatɕ
nitownica	ɲitɔvɲitsa
nitryl	ɲitrɨl
niuans	ɲuans
niuansik	ɲuanɕik
niuansować	ɲuansɔvatɕ
niuch	ɲux
niucha	ɲuxa
niuchanie	ɲuxaɲɛ
niuchać	ɲuxatɕ
niuchnąć	ɲuxnɔɲtɕ
niunia	ɲuɲa
niuton	ɲutɔn
niuń	ɲuɲ
niw	ɲif
niwa	ɲiva
niwach	ɲivax
niwami	ɲivami
niwecz	ɲivɛtʂ
niweczyć	ɲivɛtʂɨtɕ
niwelacja	ɲivɛlatsja
niwelator	ɲivɛlatɔr
niwelować	ɲivɛlɔvatɕ
niwelować	ɲɪvɛlɔvatɕ
niwie	ɲivjɛ
niwo	ɲivɔ
niwom	ɲivɔm
niwą	ɲivɔw̃
niwę	ɲivɛ
niz	ɲis
nizano	ɲizanɔ
nizany	ɲizanɨ
nizać	ɲizatɕ
nizał	ɲizaw
nizin	ɲiʑin
nizina	ɲiʑina
nizioł	ɲiʑɔw
niziołek	ɲiʑɔwɛk
niziutki	ɲiʑutki
niósł	ɲusw
niósłby	ɲuzwbɨ
niósłbym	ɲuzwbɨm
niósłbyś	ɲuzwbɨɕ
nią	njoŋ
nią	ɲɔw̃
niłowicz	ɲiwɔvitʂ
niścior	ɲiɕtɕɔr
niściór	ɲiɕtɕur
niśkiewicz	ɲiɕkjɛvitʂ
niźli	ɲiʑli
niźliby	ɲiʑlibɨ
niż	ɲiʂ
niżach	ɲiʐax
niżami	ɲiʐami
niżby	ɲiʐbɨ
niżcie	ɲiʂtɕɛ
niże	ɲiʐɛ
niżeli	ɲiʐɛli
niżeliby	ɲiʐɛlibɨ
niżem	ɲiʐɛm
niżemy	ɲiʐɛmɨ
niżesz	ɲiʐɛʂ
niżnik	nʲiʐnʲik
niżnonowogrodzki	ɲiʐnɔnɔvɔgrɔtski
niżom	ɲiʐɔm
niżono	ɲiʐɔnɔ
niżony	ɲiʐɔnɨ
niżowi	ɲiʐɔvi
niżowy	njɛʐɔvɨ
niższego	nɨʂʂɛgɔ
niższy	nʲiʂtʂɨ
niższy	ɲiʂʂɨ
niższych	nʲizʂɨx
niżu	ɲiʐu
niży	ɲiʐɨ
niżyć	ɲiʐɨtɕ
niżą	ɲiʐɔw̃
niżę	ɲiʐɛ
no	nɔ
nobel	nɔbel
nobel	nɔbɛl
nobilitacja	nɔbilitatsja
nobilitować	nɔbilitɔvatɕ
noblista	nɔblista
noblistka	nɔblistka
noc	nɔts
noc	nˈots
noc	nˈɔts
nocach	nɔtsax
nocami	nɔtsami
nocce	nɔtstsɛ
noce	nɔtsɛ
nocek	nɔtsɛk
noceń	nɔtsɛɲ
nochal	nɔxal
nocka	nɔtska
nockach	nɔtskax
nockami	nɔtskami
nocki	nɔtski
nockiem	nɔtskjɛm
nocko	nɔtskɔ
nockom	nɔtskɔm
nockowi	nɔtskɔvi
nocku	nɔtsku
nocków	nɔtskuf
nocką	nɔtskɔw̃
nockę	nɔtskɛ
nocleg	nɔtslɛk
noclegi	mɔtslɛgi
noclegownia	nɔtslɛgɔvɲa
noclegowy	nɔtslɛgɔvɨ
nocna	nɔtsna
nocne	nɔtsnɛ
nocnego	nɔtsnɛgɔ
nocnej	nɔtsnɛj
nocnemu	nɔtsnɛmu
nocni	nɔtsɲi
nocnik	nɔtsɲik
nocny	notsne
nocny	nɔtsnɨ
nocnych	nɔtsnɨx
nocnym	nɔtsnɨm
nocnymi	nɔtsnɨmi
nocną	nɔtsnɔw̃
nocolubek	nɔtsɔlubɛk
nocom	nɔtsɔm
nocon	nɔtsɔn
nocowanie	nɔtsɔvaɲɛ
nocować	nɔtsɔvatɕ
nocołazik	nɔtsɔwaʑik
nocoń	nɔtsɔɲ
nocuń	nɔtsuɲ
nocy	nɔtsɨ
nocówka	nɔtsufka
nocą	notsɔ
nocą	nɔtsɔw̃
nodze	nɔdzɛ
nodze	nˈɔdzɛ
noe	nɔɛ
noga	noga
noga	nɔga
nogach	nɔgax
nogaj	nɔgaj
nogajczyk	nɔgajtʂɨk
nogajscy	nɔgajstsɨ
nogajska	nɔgajska
nogajski	nɔgajski
nogajskich	nɔgajskix
nogajskie	nɔgajskjɛ
nogajskiego	nɔgajskjɛgɔ
nogajskiej	nɔgajskjɛj
nogajskiemu	nɔgajskjɛmu
nogajskim	nɔgajskim
nogajskimi	nɔgajskimi
nogajską	nɔgajskɔw̃
nogal	nɔgal
nogalska	nɔgalska
nogalski	nɔgalski
nogami	nɔgami
nogas	nɔgas
nogat	nˈogˈat
nogawce	nɔgaftsɛ
nogawek	nɔgavɛk
nogawica	nɔgavitsa
nogawka	nɔgafka
nogawkach	nɔgafkax
nogawkami	nɔgafkami
nogawkamii	nɔgafkami
nogawki	nɔgafki
nogawko	nɔgafkɔ
nogawkom	nɔgafkɔm
nogawką	nɔgafkɔw̃
nogawkę	nɔgafkɛ
nogi	noki
nogi	nɔgi
nogi	nˈogɪ
nogieć	nɔgjɛtɕ
nogo	nɔgɔ
nogogłaszczka	nɔgɔgwaʂtʂka
nogogłaszczka	nɔkɔkwaʃtʂka
nogogłaszczkowiec	nɔgɔgwaʂtʂkɔvjɛts
nogom	nɔgɔm
nogą	nɔgɔw̃
nogą	nˈoːgəl
nogę	nɔgɛ
nojman	nɔjman
nok	nˈot
nokaut	nɔkawt
nokautować	nɔkawtɔvatɕ
nokdaun	nɔgdawn
noktowizor	nɔktɔvizɔr
nokturn	nokturuŋ
nokturn	nɔkturn
nokturn	nˈoːktuːrn
nokturnowy	nɔkturnɔvɨ
nomad	nˈomˈat
nomada	nɔmada
nomada	nˈomˈada
nomadzki	nomatsuki
nomenklatura	nɔmɛŋklatura
nominaci	nominatʃi
nominacja	nɔminatsja
nominalistyczny	nɔminalistɛtʂnɨ
nominalny	nominalnɨ
nominalny	nɔminalnɨ
nominat	nominat
nominatki	nominatkɪ
nominał	nɔminaw
nominowany	nominɔvanɨ
nominować	nɔminɔvatɕ
nonadekan	nɔnadɛkan
nonakozan	nɔnakɔzan
nonan	nɔnan
nonilion	nɔɲiljɔn
nonkonformistka	nɔnkɔnformistka
nonkonformistyczny	nɔnkɔnfɔrmjstytʂnɨ
nonkonformizm	nɔŋkɔnfɔrmizm
nonsens	nɔnsɛns
nonsensowne	nɔnsɛnsɔvna
nonsensownie	nɔnsɛnsɔvɲɛ
nonsensowność	nɔnsɛnsɔvɔɕtɕ
nonsensowny	nɔnsɛnsɔvnɨ
nonszalancja	nɔnʂalantsja
nonszalancki	nɔnʂalantski
nonszalancko	nɔnʂalantskɔ
nonteizm	nɔntɛizm
nonyn	nɔnin
nor	nɔr
nora	nora
nora	nɔra
norach	nɔrax
norami	nɔrami
norbert	nɔrbɛrt
norbert	nˈɔrbɛrt
norce	nɔrtsɛ
nordyccy	nɔrdɨtstsɨ
nordycka	nɔrdɨtska
nordycki	nɔrdɨtski
nordyckich	nɔrdɨtskix
nordyckie	nɔrdɨtskjɛ
nordyckiego	nɔrdɨtskjɛgɔ
nordyckiej	nɔrdɨtskjɛj
nordyckiemu	nɔrdɨtskjɛmu
nordyckim	nɔrdɨtskim
nordyckimi	nɔrdɨtskimi
nordycką	nɔrdɨtskɔw̃
nordyjski	nɔrdɨjski
noreia	nuraja
norek	nɔrɛk
norfolk	nɔrfɔlk
norka	norka
norka	nɔrka
norkach	nɔrkax
norkami	nɔrkami
norki	nɔrki
norko	nɔrkɔ
norkom	nɔrkɔm
norką	nɔrkɔw̃
norkę	nɔrkɛ
norma	norma
norma	nɔrma
normalizacja	nɔrmalizatsja
normalizować	nurnalizɔvatɕ
normalna	naɾmalna
normalna	nˈɔrmala
normalnego	normalnɛgɔ
normalnemu	nrmalnɛmu
normalnie	nɔrmalɲɛ
normalniej	nɔrmalɲɛj
normalniejszego	nɔrmalɲɛjʂɛgɔ
normalniejszy	nɔrmalɲɛjʂɨ
normalnieć	nɔrmalɲɛtɕ
normalny	nɔrmalnɨ
normals	nɔrmals
normandia	nɔrmandja
normatywny	nɔrmatɨvnɛ
normcore	nɔrmkɔr
normik	nɔrmik
normodawczy	nɔrmɔdaftʃɨ
normy	noɾmɨ
normy	nɔrmɨ
normą	nˈɔrmˈo
nornica	nɔrɲitsa
nornik	nɔrɲik
noro	nɔrɔ
norom	nɔrɔm
norowiec	nɔrɔvjɛts
nortumbria	nɔrtumbrja
nortumbryjski	nɔrtumbrɨjski
norweg	nɔrvɛk
norwegia	nɔrvɛgja
norwescy	nɔrvɛstsɨ
norweska	nɔrvɛska
norweski	nrvɛski
norweski	nurvɛski
norweski	nɔrvɛski
norweskich	nɔrvɛskix
norweskie	nwrvɛskjɛ
norweskie	nɔrvɛskjɛ
norweskiego	nɔrvɛskjɛgɔ
norweskiej	nɔrvɛskjɛj
norweskiemu	nɔrvɛskjɛmu
norweskim	nɔrvɛskim
norweskimi	nɔrvɛskimi
norwesku	nɔrvɛsku
norweską	nɔrvɛskɔw̃
norweżka	nɔrvɛʂka
norweżka	nɔrvɛʃka
norwid	nɔrvit
nory	nɔrɨ
norymberga	nɔrɨmbɛrga
norymberga	nˈorymbɛrga
norymberski	nɔrɨmbɛrski
noryt	noret
norze	nɔʐɛ
norą	nɔrɔw̃
norę	nɔrɛ
nos	nos
nos	nɔs
nosa	naza
nosa	nɔsa
nosach	nɔsax
nosaci	nɔsatɕi
nosacizna	nɔsatɕizna
nosacizna	nˈosatɕizna
nosacz	nɔsatʂ
nosal	nɔsal
nosami	nosɑɑmi
nosami	nɔsami
nosata	nɔsata
nosate	nɔsatɛ
nosaty	nɔsatɨ
nosatą	nɔsatɔw̃
noseczek	nɔsɛtʂɛk
nosek	nɔsɛk
nosek	nˈosɛk
nosel	nɔsɛl
nosem	nɔsɛm
nosewicz	nɔsɛvitʂ
nosewicz	nɔsɛvitʃ
nosi	nosji
nosi	nɔɕi
nosiadek	nɔɕadɛk
nosicie	nɔɕitɕɛ
nosiciel	nɔɕitɕɛl
nosidełko	nɔɕtɛkɔ
nosie	nɔɕɛ
nosili	nɔɕili
nosimy	nosimɨ
nosimy	nɔɕimɨ
nosisko	nɔɕiskɔ
nosisz	nɔɕiʂ
nosiwoda	nɔɕivɔda
nosił	nɔsiu
nosił	nɔɕiw
nosiła	nɔɕiwa
nosiłam	nɔɕiwam
nosiłaś	nɔɕiwaɕ
nosiłem	nɔɕiwɛm
nosiłeś	nɔɕiwɛɕ
nosiło	nɔɕiwɔ
nosiły	nɔɕiwɨ
noska	nɔska
noskach	nɔskax
noskami	nɔskami
noski	nɔski
noskiem	nɔskjɛm
noskiewicz	nɔskjɛvitʂ
noskom	nɔskɔm
noskowi	nɔskɔvi
noskowicz	nɔskɔvitʂ
nosku	nɔsku
nosków	nɔskuf
nosoczub	nɔsɔtʂup
nosol	nɔsɔl
nosom	nɔsɔm
nosorożec	nɔsɔrɔʐɛts
nosowi	nɔsɔvi
nosowicz	nɔsɔvitʂ
nosowość	nɔsɔvɔɕtɕ
nosowy	nosovɨ
nosowy	nɔsɔvɨ
nossol	nɔsɔl
nostalgia	nɔstalgea
nostalgia	nɔstalgja
nostalgia	nɔstalgjia
nostalgicznie	nɔstalgitʂɲɛ
nostalgiczny	nɔstalgitʂnɨ
nostryfikacja	nɔstrɨfikatsja
nostryfikować	nɔstrɨfikɔvatɕ
nostrzyk	nɔstʂɨk
nosy	nɔsɨ
noszach	nɔʂax
noszami	nɔʂami
noszczak	nɔʂtʂak
noszczyk	nɔʂtʂɨk
nosze	nɔʂɛ
noszenie	nɔʂɛɲiɛ
noszenie	nɔʂɛɲɛ
noszom	nɔʂɔm
noszono	nɔʂɔnɔ
noszony	nɔʂɔnɨ
noszy	nɔʂɨ
noszą	nɔʂɔw̃
nosząc	nɔʂɔnts
noszący	naʂantsɨ
noszący	nɔʂɔntsɨ
noszę	nɔʂɛ
nosów	nõŋsˈuf
nosów	nɔsuf
nosówka	nosuska
nosówka	nɔsufka
not	nɔt
nota	nɔta
notabene	nɔtabɛnɛ
notabl	nɔtabl
notacja	nɔtatsja
notariusz	nɔtarjuʂ
notatka	nɔtatka
notatka	nɔtɔtkɑ
notatkę	notatka
notatnik	notatɲik
notatnik	nɔtatɲik
notatnik	nɔtatˈnɛk
notes	nɔtɛs
notes	nˈoːtˌes
notesik	nɔtɛɕik
noteć	nɔtɛtɕ
noteć	nɔtɛtʃ
notogea	nˈotˈogˈa
notorycznie	nɔtɔrɨtʂɲɛ
notoryczny	nɔtɔrɨtʂnɨ
notoungulaty	nɔtɨɔŋgulatɨ
notowali	nɔtɔvali
notowaliby	nɔtɔvalibɨ
