abacada	ʔàːbàːtʃàːdâː
usur	ʔʊ́sɪ̀r
uwa	ʔʊ́wáː
uwa	ʔʊ́wə́
uzuri	ʔʊ́zɪ̀ríː
wa'adi	wə́ʔàdíː
wa'azi	wə́ʔàzíː
wada	wàːdáː
wada	wə̀dáː
wagadugu	wə̀gə̀dɪ́gʷʊ̀
waga	wáːgáː
wahala	wə̀hálàː
waha	wə́hàː
wakili	wə̀cíːlìː
waƙafi	wə́kʼə̀ɸíː
waƙa	wə́kʼə́
walau	wə̀làu
wala	wáːláː
wala	wáːlàː
wali	wáːlíː
wali	wə̀lîː
waliyyi	wə̀lɪ́jjìː
walƙiya	wàlcʼɪ́jáː
wallafa	wàllə́ɸàː
wallahi	wæɫóːp
wal	wàl
wando	wàndóː
wani	wə́nɪ́
wanka	wáŋkáː
wanka	wáŋkàː
wanwar	wàmwár
wanzami	wànzáːmìː
wanzam	wànzâŋ
wanzanci	wánzántʃìː
ware	wáːɽèː
wariya	wáːɽɪ́jáː
warƙa	wárkʼàː
warwar	wàrwár
warwas	wàrwás
wasai	wə́séi
wasali	wə́sə̀líː
wasa	wàːsáː
wasiƙa	wə̀síːkʼàː
wasiyya	wə̀sɪ́jjàː
watari	wə̀tə̀ɽɪ́
wata	wə́tàː
wata	wə́tə́
wau	wáu
waziri	wə̀zíːrɪ̀,wə̀zíːrìː
wili	wíːlìː
wofi	wòːɸíː
wokaci	wóːkə̀tʃíː
wudil	wʊ̀dɪ́l
wuƙa	wʊ́kʼáː
wulik	wʊ́lɪ́k
wuluk	wʊ́lɪ́k
wul	wʊ́l
wul	wʊ̀l
wuridi	wʊ́rɪ̀díː
wuski	wʊ́scíː
wuski	wʊ́scìː
wuta	wʊ́táː
wuya	wíjàː
wuya	wìjáː
yabirbira	jàːbɪ́ɽbɪ̀ɽáː
yadda	jɛ́ddə̀
yadda	jɛ̂ddə̀
'ya	j̰áː
yakubu	jàːkʷʊ́bʊ̀
yaƙi	jáːcʼìː
yaƙubu	jàːkʷʼʊ́bʊ̀
yallaɓai	jɛ́llàːɓêi
yalwa	jɛ̀lwə́
yamai	jɛ̀mèi
yamal	jɛ́màl
yamma	jɛ̂mmáː
yamma	jɛ̂mmə́
yanki	jɛ́ɲcìː
yanzu	jɛ̀nzɪ́
yari	jɛ̀ɽíː
yarima	jɛ̀ríːmə̀
yarinya	jáːɽɪ́ɲjàː
'yar	j̰ɛ́r
yaro	jáːɽòː
yatsa	jáːsʼàː
yautai	jɛ́utéi
yawa	jɛ́wàː
yawanci	jɛ́wántʃíː
yayyafi	jɛ́jjɛ́ɸíː
yis	jɪ̂s
yuganda	jʊ̀gándə̀
yuli	júːlɪ̀
yunananci	júːnáːnántʃíː
yunan	jùːnâŋ
yuni	júːnɪ̀
yunƙuri	jʊ̀ŋkʷʼʊ́ɽíː
yusufu	júːsɪ́ɸʊ̀
Ƴ	j̰
ƴ	j̰
zabarjadi	zə́bàrdʒə́dìː
zafaran	zàːɸə̀râŋ
zafi	záːɸíː
zago	zə́gʷóː
zahiri	záːhɪ̀ríː
zaiba	zéibàː
za'ida	záːʔɪ́dàː
zainabu	zèinə́bʊ̀
zaiti	zéitìː
zaitun	zèitɪ̂ŋ
zaki	záːcìː
zakka	zàkkáː
zaƙaƙa	zə̀kʼə̀kʼə̀
zaƙami	zə́kʼə̀míː
zalunci	záːlɪ́ntʃìː
zamani	zàːmáːnìː
zamani	záːmə̀níː
zama	zə́máː
zamba	zàmbə́
zandar	zàndâr
zara	zàːráː
zara	zə̀ɽáː
zare	záːɽèː
zare	zàːɽéː
zare	zə́ɽèː
zare	zə̀ɽéː
zariya	záːɽɪ́jɛ̀
zarto	zártòː
zauna	záunàː
zau	záu
zazzau	zázzàu
zigidir	zɪ̀ɟɪ̀dɪ́r
zikiri	zɪ́cɪ̀ríː
zik	zɪ̂k
zinariya	zíːnáːrɪ̀jáː
zinari	zíːnáːrìː
zina	zɪ̀náː
zira'i	zɪ̀ráːʔìː
zi	zîː
zololo	zòːlòːlòː
zomo	zóːmóː
zubairu	zɪ̀béirɪ̀
zulhajji	zɪ́lháddʒɪ̀
zulƙida	zɪ̀lcʼíːdàː
zuma	zɪ́màː
zumurrudu	zɪ́mʊ̀rrɪ́dɪ̀
zundum	zɪ̀ndɪ́m
zunubi	zɪ̀nɪ́bìː
zuriya	zɪ̀rɪ́jàː
zuwa	zʊ́wàː
ʼY	j̰
ʼy	j̰
