'anar'	anaɾ
emblematizándoos	ẽmblemat̪iθãn̪d̪oos
emblematizándose	ẽmblemat̪iθãn̪d̪ose
emblematizándote	ẽmblemat̪iθãn̪d̪ot̪e
emblematizáramos	ẽmblemat̪iθaɾamos
emblematizáremos	ẽmblemat̪iθaɾemos
emblematizás	ẽmblemat̪iθas
emblematizásemos	ẽmblemat̪iθasemos
emblematizó	ẽmblemat̪iθo
emblematícela	ẽmblemat̪iθela
emblematícelas	ẽmblemat̪iθelas
emblematícele	ẽmblemat̪iθele
emblematíceles	ẽmblemat̪iθeles
emblematícelo	ẽmblemat̪iθelo
emblematícelos	ẽmblemat̪iθelos
emblematíceme	ẽmblemat̪iθeme
emblematícenla	ẽmblemat̪iθẽnla
emblematícenlas	ẽmblemat̪iθẽnlas
emblematícenle	ẽmblemat̪iθẽnle
emblematícenles	ẽmblemat̪iθẽnles
emblematícenlo	ẽmblemat̪iθẽnlo
emblematícenlos	ẽmblemat̪iθẽnlos
emblematícenme	ẽmblemat̪iθẽmme
emblematícennos	ẽmblemat̪iθẽnnos
emblematícenos	ẽmblemat̪iθenos
emblematícense	ẽmblemat̪iθẽnse
emblematícese	ẽmblemat̪iθese
emblematízala	ẽmblemat̪iθala
emblematízalas	ẽmblemat̪iθalas
emblematízale	ẽmblemat̪iθale
emblematízales	ẽmblemat̪iθales
emblematízalo	ẽmblemat̪iθalo
emblematízalos	ẽmblemat̪iθalos
emblematízame	ẽmblemat̪iθame
emblematízanos	ẽmblemat̪iθanos
emblematízate	ẽmblemat̪iθat̪e
emblemes	amβ̞lemes
emblemàtic	emβ̞lemt̪ik
emblemàtica	emβ̞lemt̪ika
emblemàticament	emβ̞lemt̪ikamẽn̪t̪
emblemàtics	emβ̞lemt̪iks
emblemàtiques	emβ̞lemt̪ikes
emblistadora	amβ̞list̪að̞oɾa
embobada	ẽmboβ̞að̞a
embobadas	ẽmboβ̞að̞as
embobado	ẽmboβ̞að̞o
embobados	ẽmboβ̞að̞os
embobaliconar	ẽmboβ̞alikonaɾ
embobar	ẽmboβ̞aɾ
embocada	ẽmbokað̞a
embocadas	ẽmbokað̞as
embocado	ẽmbokað̞o
embocador	amβ̞okað̞oɾ
embocadors	amβ̞okað̞oɾs
embocados	ẽmbokað̞os
embocar	ẽmbokaɾ
embocat	ẽmbokat̪
embocs	amβ̞oks
embocé	ẽmboθe
embodegar	ẽmboð̞eɣ̞aɾ
emboetat	ẽmbβ̞oet̪at̪
emboetats	ẽn̪β̞oet̪at̪s
embofegant	emβ̞wfeɣ̞ant̪
embofegat	emβ̞oθeɣ̞at̪
embogant	emβ̞ogant̪
embogides	emβ̞uxið̞es
embogir	emβ̞oɣ̞sjɾ
embogit	emβ̞ozit̪
embogits	amβ̞oɣ̞it̪s
emboirades	amβ̞oiɾað̞es
emboirat	ẽn̪β̞oiɾat̪
emboirats	amβ̞oiɾat̪s
embolada	amβ̞olað̞a
embolades	ẽn̪β̞olað̞es
embolant	amβ̞olant̪
embolar	ẽmbolaɾ
embolat	amβ̞olat̪
embolats	ẽmbolat̪s
embolcall	amβ̞olkaʝ
embolcallades	ẽn̪β̞olkaʝað̞es
embolcallaments	ẽn̪β̞olkaʝamẽn̪t̪s
embolcallant	emβ̞olkallant̪
embolcat	ẽn̪β̞olkat̪
embole	ẽmbole
embolic	amβ̞olik
embolicador	amβ̞olikað̞oɾ
embolicadora	amβ̞olikað̞oɾa
embolicadores	amβ̞olikað̞oɾes
embolicaires	ẽn̪β̞oljkaiɾes
embolicament	ẽn̪β̞oljkamẽn̪t̪
embolicaments	ẽn̪β̞olikamẽn̪t̪s
embolicant	ẽn̪β̞oljkant̪
embolicat	ẽn̪β̞olikat̪
embolics	amβ̞oliks
embolismal	ẽmbβ̞oljzmal
embolisme	amβ̞olisme
embolismes	amβ̞olizmes
embolismo	ẽmbolizmo
embolización	ẽmboliθaθjõn
embolizada	ẽmboliθað̞a
embolizadas	ẽmboliθað̞as
embolizado	ẽmboliθað̞o
embolizados	ẽmboliθað̞os
embolizar	ẽmboliθaɾ
embolotado	ẽmbolot̪að̞o
embolsada	ẽmbolsað̞a
embolsadas	ẽmbolsað̞as
embolsado	ẽmbolsað̞o
embolsados	ẽmbolsað̞os
embolsamiento	ẽmbolsamjẽn̪t̪o
embolsar	ẽmbolsaɾ
embolsillar	ẽmbolsiʝaɾ
embolsillarse	ẽmbolsiʝaɾse
embolsillá	ẽmbolsiʝa
embonada	amβ̞onað̞a
embonades	amβ̞onað̞es
embonadores	amβ̞onað̞oɾes
embonar	amβ̞onaɾ
embonar	ẽmbonaɾ
emboniquides	emβ̞anjkið̞es
emboquillar	ẽmbokiʝaɾ
embordonides	emβ̞oɾð̞unjð̞es
embordonir-se	ẽmboɾð̞oniɾse
embordonit	emboɾð̞wnit̪
emborlades	amβ̞oɾlað̞es
emborlat	ẽmβ̞oɾlat̪
emborlats	ẽmboɾlat̪s
embornada	amβ̞oɾnað̞a
embornades	amβ̞oɾnað̞es
embornal	amβ̞oɾnal
embornals	amβ̞oɾnalz
embornament	amβ̞oɾnamẽn̪t̪
embornant	amβ̞oɾnant̪
emborrachada	ẽmboratʃað̞a
emborrachadas	ẽmboratʃað̞as
emborrachado	ẽmboratʃað̞o
emborrachados	ẽmboratʃað̞os
emborrachar	ẽmboratʃaɾ
emborracharse	ẽmboratʃaɾse
emborrada	enβ̞orað̞a
emborrascant-se	emβ̞orɾaskant̪se
emborrassades	amβ̞orassað̞es
emborrassant	emβ̞oɾɾezsant̪
emborratxades	emβ̞oɾɾat̪xað̞es
emborratxador	emβ̞orɾat̪ɣ̞sað̞oɾ
emborratxant	emβ̞oɾɾat̪xant̪
emborratxar	emβ̞oɾɾat̪xaɾ
emborronada	ẽmboronað̞a
emborronadas	ẽmboronað̞as
emborronado	ẽmboronað̞o
emborronados	ẽmboronað̞os
emborronar	ẽmboronaɾ
emborsat	emβ̞oɾzzat̪
emborsats	amβ̞oɾsat̪z
emboscada	ẽmboskað̞a
emboscadas	ẽmboskað̞as
emboscado	ẽmboskað̞o
emboscados	ẽmboskað̞os
emboscant	ẽmβ̞oskant̪
emboscar	ẽmboskaɾ
embossades	amβ̞ossad̪ez
embossament	amβ̞ossamẽn̪t̪
embossaments	amβ̞ossamẽn̪t̪s
embossar	amβ̞ossaɾ
embossat	amβ̞ossat̪
embossats	amβ̞ossat̪z
embosta	amβ̞ost̪a
embostes	amβ̞ost̪es
embotada	ẽmbot̪að̞a
embotadas	ẽmbot̪að̞as
embotado	ẽmbot̪að̞o
embotados	ẽmbot̪að̞os
embotamiento	ẽmbot̪amjẽn̪t̪o
embotant	amβ̞ot̪ant̪
embotar	ẽmbot̪aɾ
embotellada	ẽn̪β̞ot̪ellað̞a
embotelladas	ẽmbot̪eʝað̞as
embotellades	ẽn̪β̞ot̪ellað̞es
embotellado	ẽmbot̪eʝað̞o
embotellador	ẽmbot̪eʝað̞oɾ
embotelladora	amβ̞ot̪ellað̞oɾa
embotelladora	ẽmbot̪eʝað̞oɾa
embotelladors	amβ̞ot̪ellað̞oɾz
embotellament	ẽn̪β̞ot̪ellamẽn̪t̪
embotellaments	ẽn̪β̞ot̪ellamẽn̪t̪s
embotellant	ẽn̪β̞ot̪ellant̪
embotellar	ẽmbot̪eʝaɾ
embotellar	ẽn̪β̞ot̪ellaɾ
embotellat	ẽn̪β̞ot̪ellat̪
emboticions	ẽnβ̞ot̪ikions
embotida	amβ̞ot̪ið̞a
embotides	ẽn̪β̞ot̪jð̞es
embotidora	amβ̞ot̪ið̞oɾa
embotifarrant-se	amβ̞ot̪ifarant̪se
embotifarrar-se	emβ̞ot̪ifaraɾse
embotigades	ẽn̪β̞ot̪jɣ̞að̞es
embotigaments	ẽn̪β̞ot̪jɣ̞amẽn̪t̪s
embotigar	ẽn̪β̞ot̪jɣ̞aɾ
embotigat	ẽmbot̪iɣ̞at̪
embotinat	ẽn̪β̞ot̪ĩŋat̪
embotinats	amβ̞ot̪inat̪s
embotjades	emβ̞ut̪xað̞ez
embotjant	emβ̞ot̪ɣ̞sãn̪t̪
embotjat	ẽn̪β̞ot̪xat̪
embotjats	emβ̞ut̪xat̪s
emboto	ẽmbot̪o
embotonada	ẽmbot̪onað̞a
embotonadas	ẽmbot̪onað̞as
embotonades	amβ̞ot̪onað̞es
embotonado	ẽmbot̪onað̞o
embotonados	ẽmbot̪onað̞os
embotonar	amβ̞ot̪onaɾ
embotornades	amβ̞ot̪oɾnað̞es
embotornaments	ẽnbot̪oɾnamẽn̪t̪s
embotornant	amβ̞ot̪oɾnãn̪t̪
embotornar	ẽmβ̞ot̪oɾnaɾ
embotornat	ãmbot̪oɾnat̪
embotornats	ãmbot̪oɾnat̪s
embovat	ẽn̪β̞oβ̞at̪
embovedamiento	ẽmboβ̞eð̞amjẽn̪t̪o
embovedar	ẽmboβ̞eð̞aɾ
embozada	ẽmboθað̞a
embozadas	ẽmboθað̞as
embozado	ẽmboθað̞o
embozados	ẽmboθað̞os
embozalar	ẽmboθalaɾ
embozamiento	ẽmboθamjẽn̪t̪o
embozar	ẽmboθaɾ
embozo	ẽmboθo
embragada	emβ̞ɾeɣ̞að̞a
embragada	ẽmbɾaɣ̞að̞a
embragadas	ẽmbɾaɣ̞að̞as
embragado	ẽmbɾaɣ̞að̞o
embragados	ẽmbɾaɣ̞að̞os
embragament	emβ̞ɾeɣ̞ament̪
embragaments	emβ̞ɾeɣ̞amẽn̪t̪s
embragant	emβ̞ɾeɣ̞ant̪
embragar	ẽmbɾaɣ̞aɾ
embragat	emβ̞ɾeɣ̞at̪
embragatge	emβ̞ɾeɣ̞at̪ɣ̞e
embragatges	emβ̞ɾeɣ̞at̪ɣ̞es
embragats	emβ̞ɾeɣ̞at̪s
embrague	ẽmbɾaɣ̞e
embramado	ẽmbɾamað̞o
embramar	ẽmbɾamaɾ
embrancament	ẽn̪β̞ɾankamẽn̪t̪
embrancant	embɾankan
embrancats	ẽmbɾẽn̟θat̪s
embravecer	ẽmbɾaβ̞eθeɾ
embravecida	ẽmbɾaβ̞eθið̞a
embravecidas	ẽmbɾaβ̞eθið̞as
embravecido	ẽmbɾaβ̞eθið̞o
embravecidos	ẽmbɾaβ̞eθið̞os
embravida	emβ̞ɾeβ̞ið̞a
embraviment	ẽmbɾaβ̞imẽn̪t̪
embravint	embɾaβ̞int̪
embravits	emβ̞ɾeβ̞it̪z
embrazada	ẽmbɾaθað̞a
embrazadas	ẽmbɾaθað̞as
embrazado	ẽmbɾaθað̞o
embrazados	ẽmbɾaθað̞os
embrazar	ẽmbɾaθaɾ
embraçadures	emβ̞ɾakːað̞wɾes
embreada	ẽmbɾeað̞a
embreadas	ẽmbɾeað̞as
embreado	ẽmbɾeað̞o
embreados	ẽmbɾeað̞os
embrear	ẽmbɾeaɾ
embretar	ẽmbɾet̪aɾ
embretolides	emβ̞ɾat̪olið̞es
embretolir-se	emβ̞ɾet̪oliɾse
embriac	amβ̞ɾiak
embriacs	amβ̞ɾiakz
embriaga	emβ̞ɾieɣ̞a
embriagada	ẽmbɾjaɣ̞að̞a
embriagadas	ẽmbɾjaɣ̞að̞as
embriagado	ẽmbɾjaɣ̞að̞o
embriagador	ẽmbɾjaɣ̞að̞oɾ
embriagadores	amβ̞ɾiaɣ̞að̞oɾes
embriagadors	emβ̞ɾiɣ̞að̞oɾs
embriagados	ẽmbɾjaɣ̞að̞os
embriagament	emβ̞iaɣ̞ament̪
embriagaments	emβ̞ɾieɣ̞amẽn̪t̪s
embriagamos	ẽmbɾjaɣ̞amos
embriagant	emβ̞ɾieɣ̞ant̪
embriagante	ẽmbɾjaɣ̞ãn̪t̪e
embriagar	ẽmbɾjaɣ̞aɾ
embriagat	ẽmbɾiaɣ̞at̪
embriago	ẽmbɾjaɣ̞o
embriagoses	ambɾiaɣ̞oses
embriagues	ẽmbɾiaɣ̞ues
embriaguez	ẽmbɾjaɣ̞eθ
embridada	ẽmbɾið̞að̞a
embridadas	ẽmbɾið̞að̞as
embridado	ẽmbɾið̞að̞o
embridados	ẽmbɾið̞að̞os
embridar	amβ̞ɾið̞aɾ
embridar	ẽmbɾið̞aɾ
embridat	ẽmbβ̞ɾjð̞at̪
embridats	ẽmbɾið̞at̪s
embrioblasto	ẽmbɾjoβ̞last̪o
embriològica	emβ̞ɾiolɣ̞jka
embriològics	amβ̞ɾiolɣ̞ikz
embrionari	ẽn̪β̞ɾionaɾi
embrionats	amβ̞ɾionat̪s
embrions	amβ̞ɾions
embrionària	amβ̞ɾionɾja
embrionàries	amβ̞ɾionɾies
embriopatia	amβ̞ɾiopat̪ia
embriotomia	amβ̞ɾjot̪omja
embriotomies	emβ̞ɾjut̪omies
embrió	amβ̞ɾio
embrió	ẽmbɾjo
embrióloga	ẽmbɾjoloɣ̞a
embrocacions	emβ̞ɾwkakions
embrocació	emβ̞ɾwkakio
embrocant	emβ̞ɾwkant̪
embrollada	ẽmbɾoʝað̞a
embrollada	ẽmbɾuʝað̞a
embrolladas	ẽmbɾoʝað̞as
embrollades	emβ̞ɾuʝað̞es
embrollado	ẽmbɾoʝað̞o
embrolladors	emβ̞ɾuʝað̞oɾs
embrollados	ẽmbɾoʝað̞os
embrollaments	emβ̞ɾuʝamẽn̪t̪s
embrollant	emβ̞ɾwʝant̪
embrollar	ẽmbɾoʝaɾ
embrollat	ẽmbɾuʝat̪
embrollats	emβ̞ɾuʝat̪z
embrolles	amβ̞ɾoʝes
embrollo	ẽmbɾoʝo
embrollona	ẽmbɾoʝona
embrollón	ẽmbɾoʝõn
embromada	ẽmbɾomað̞a
embromadas	ẽmbɾomað̞as
embromades	ẽn̪β̞ɾomað̞es
embromado	ẽmbɾomað̞o
embromados	ẽmbɾomað̞os
embromament	emβ̞ɾumamẽn̪t̪
embromaments	amβ̞ɾomamẽn̪t̪s
embromar	ẽmbɾomaɾ
embromar-se	emβ̞ɾomaɾse
embromat	ẽn̪β̞ɾomat̪
embrossada	emβ̞ɾuzsað̞a
embrossat	ẽmbɾuzsat̪
embrostada	emβ̞ɾust̪að̞a
embrostades	ẽmbɾust̪að̞es
embrostant	ẽmbɾust̪ant̪
embrostat	emβ̞ɾust̪at̪
embrostats	ẽmbɾust̪at̪z
embruixada	emβ̞ɾujxað̞a
embruixadura	amβ̞ɾujɣ̞sad̪uɾa
embruixament	emβ̞ɾujɣ̞semẽn̪t̪
embrujada	ẽmbɾuxað̞a
embrujadas	ẽmbɾuxað̞as
embrujado	ẽmbɾuxað̞o
embrujados	ẽmbɾuxað̞os
embrujar	ẽmbɾuxaɾ
embrujo	ẽmbɾuxo
embrunidor	ẽmbɾõn̪jð̞oɾ
embrunidores	ẽnβ̞ɾwnjð̞oɾes
embrunint	ẽmbɾunjnt̪
embrunit	amβ̞ɾwnit̪
embrunits	amβ̞ɾwnit̪s
embrutades	ẽmbɾut̪að̞es
embrutadissos	amβ̞ɾut̪að̞iszos
embrutat	ẽn̪β̞ɾut̪at̪
embrutecedor	ẽmbɾut̪eθeð̞oɾ
embrutecer	ẽmbɾut̪eθeɾ
embrutecida	ẽmbɾut̪eθið̞a
embrutecidas	ẽmbɾut̪eθið̞as
embrutecido	ẽmbɾut̪eθið̞o
embrutecidos	ẽmbɾut̪eθið̞os
embrutecimiento	ẽmbɾut̪eθimjẽn̪t̪o
embrutida	amβ̞ɾut̪ið̞a
embrutidor	amβ̞ɾut̪ið̞oɾ
embrutidores	ẽmbβ̞ɾwt̪jð̞oɾes
embrutiments	ẽn̪β̞ɾut̪jmẽn̪t̪s
embrutir	emβ̞ɾut̪i
embuatades	ẽmbwet̪að̞es
embuchada	ẽmbutʃað̞a
embuchadas	ẽmbutʃað̞as
embuchado	ẽmbutʃað̞o
embuchados	ẽmbutʃað̞os
embuchar	ẽmbutʃaɾ
embuder	emβ̞oð̞eɾ
embudo	ẽmbuð̞o
embudos	ẽmbuð̞os
embuinades	amβ̞uinad̪es
embulada	emβ̞olað̞a
embullada	ẽmbuʝað̞a
embulladament	ẽmbuʝað̞amẽn̪t̪
embulladas	ẽmbuʝað̞as
embullado	ẽmbuʝað̞o
embullador	amβ̞wʝað̞oɾ
embullados	ẽmbuʝað̞os
embullant	ẽmb̞oʝant̪
embullar	ẽmbuʝaɾ
embulls	amβ̞wʝs
embuniats	amβ̞wniat̪z
embussada	emβ̞ossað̞a
embussament	emβ̞ossamẽn̪t̪
embussant	emβ̞ossant̪
embuste	ẽmbust̪e
embustear	ẽmbust̪eaɾ
embustero	ẽmbust̪eɾo
embustir	ẽmbust̪iɾ
embut	amβ̞ut̪
embutición	ẽmbut̪iθjõn
embutida	ẽmbut̪ið̞a
embutidas	ẽmbut̪ið̞as
embutido	ẽmbut̪ið̞o
embutidos	ẽmbut̪ið̞os
embutir	ẽmbut̪iɾ
embutllofada	amβ̞ut̪ʝofað̞a
embutllofats	ẽmβ̞uiʝofat̪s
embòlia	emβ̞ol̪ia
embós	amβ̞os
eme	eme
emendar	emẽn̪d̪aɾ
emergencia	emeɾxẽn̟θja
emergencias	emeɾxẽn̟θjas
emergenciólogo	emeɾxẽn̟θjoloɣ̞o
emerger	emeɾxeɾ
emergida	emeɾxið̞a
emergidas	emeɾxið̞as
emergido	emeɾxið̞o
emergidos	emeɾxið̞os
emergit	emaɾɣ̞it̪
emergència	emeɾɣ̞nkja
emergències	emeɾɣ̞nkies
emerretista	emeret̪ist̪a
emes	emas
emes	emes
emesis	emesis
emetitzant	emet̪jt̪θan̪t̪
emetre's	emet̪ɾes
emfasitzacions	ẽn̪fasit̪θakions
emfasitzada	ẽmfazit̪θað̞a
emfasitzades	ẽn̪fasit̪θað̞es
emfasitzat	ẽmfasjt̪θat̪
emfasitzats	ẽmfasit̪sat̪s
emfatitzades	ẽn̪fat̪jt̪θað̞es
emfatitzat	ẽn̪fat̪it̪θat̪
emfisema	ẽnfisema
emfiteusi	ẽn̪fjt̪ewsj
emfiteuta	ẽn̪fjt̪ewt̪a
emfitèutics	amfit̪ut̪jks
emfràctic	ẽmfɾakt̪ik
emigra	emiɣ̞ɾa
emigracions	amiɣ̞ɾakions
emigració	amiɣ̞ɾakio
emigrada	emiɣ̞ɾað̞a
emigradas	emiɣ̞ɾað̞as
emigrado	emiɣ̞ɾað̞o
emigrados	emiɣ̞ɾað̞os
emigrando	emiɣ̞ɾãn̪d̪o
emigrant	amiɣ̞ɾant̪
emigrante	emiɣ̞ɾãn̪t̪e
emigrantes	emiɣ̞ɾãn̪t̪es
emigrants	amiɣ̞ɾant̪s
emigrar	emiɣ̞ɾaɾ
emigraras	emiɣ̞ɾaɾas
emigrares	emiɣ̞ɾaɾes
emigras	emiɣ̞ɾas
emigraste	emiɣ̞ɾast̪e
emigrat	amjgɾat̪
emigratori	amiɣ̞ɾat̪oɾi
emigratorio	emiɣ̞ɾat̪oɾjo
emigratoris	amiɣ̞ɾat̪oɾis
emigrats	amiɣ̞ɾat̪s
emigratòria	amiɣ̞ɾat̪ɾia
emigratòries	amiɣ̞ɾat̪ɾies
emigre	emiɣ̞ɾe
emigres	emiɣ̞ɾes
emigro	emiɣ̞ɾo
emili	amili
emilia	emilja
emiliano	emiljano
emilianoromanyès	amjliãn̪oɾomãn̪ʝs
emilio	emiljo
emilià	amilj
eminencia	eminẽn̟θja
eminencias	eminẽn̟θjas
eminente	eminẽn̪t̪e
eminentes	eminẽn̪t̪es
eminència	eminnkja
eminències	eminnkies
emir	emiɾ
emirato	emiɾat̪o
emisión	emisjõn
emisor	emisoɾ
emisora	emisoɾa
emissiu	amisziu
emissius	amjszius
emissiva	amisziβ̞a
emissives	amjsziβ̞es
emissió	emjsio
emissària	emisɾia
emissàries	emisɾies
emitida	emit̪ið̞a
emitidas	emit̪ið̞as
emitido	emit̪ið̞o
emitidos	emit̪ið̞os
emitir	emit̪iɾ
emitància	emit̪nkia
emitàncies	amjt̪nkies
emma	ema
emmagatzemada	enmaɣ̞at̪θemað̞a
emmagriments	ẽmbmaɣ̞ɾiment̪s
emmalaltits	elmalal̪t̪it̪s
emmalesar-se	enmalesaɾse
emmangrat	enmanɣ̞ɾat̪
emmanillar	ẽmãn̪jʝaɾ
emmanisant	ammanisant̪
emmarada	enmaɾað̞a
emmarades	ammaɾað̞es
emmarar-se	emmaɾaɾse
emmarcaments	ammaɾkamẽn̪t̪s
emmaregat	ammaɾeɣ̞at̪
emmaregats	emmaɾaɣ̞at̪s
emmaressada	emmaɾassað̞a
emmaridada	ammaɾið̞að̞a
emmascarat	emmaskað̞at̪
emmelada	enmelað̞a
emmelats	emmalat̪s
emmentals	ẽnmẽn̪t̪als
emmerdada	emmaɾð̞að̞a
emmerdant	emmaɾð̞ant̪
emmerdat	ammerd̪at̪
emmerdats	emmaɾð̞at̪s
emmolinat	enmolinat̪
emmorcada	ammoɾkað̞a
emmorcades	ammoɾkað̞es
emmorcant	ammoɾɣ̞ant̪
emmoreniments	ammoɾeniment̪s
emmorterada	ammoɾt̪eɾað̞a
emmorterat	ammoɾt̪eɾat̪
emmudiment	emmoð̞imẽn̪t̪
emmurriaments	emmˈoɾɾiament̪s
emocionada	emoθjonað̞a
emocionadas	emoθjonað̞as
emocionado	emoθjonað̞o
emocionados	emoθjonað̞os
emocional	emoθjonal
emocionalidad	emoθjonalið̞að̞
emocionante	emoθjonãn̪t̪e
emocionar	emoθjonaɾ
emocionat	emoθjonat̪
emoción	emoθjõn
emoji	emoxi
emoji	emoʝi
emolientera	emoljẽn̪t̪eɾa
emolientero	emoljẽn̪t̪eɾo
emoticona	amot̪ikona
emoticono	emot̪ikono
emoticón	emot̪ikõn
emotiva	emot̪iβ̞a
emotives	amot̪iβ̞es
emotividad	emot̪iβ̞ið̞að̞
emotivisme	ãmot̪iβ̞isme
emotivismes	omot̪iβ̞ismes
emotivo	emot̪iβ̞o
emoyi	emoʝi
empacada	ẽmt̪akað̞a
empacades	ẽmpakað̞es
empacado	ẽmpakað̞o
empacador	ẽmpakað̞oɾ
empacadora	ẽmpakað̞oɾa
empacament	empekamẽn̪t̪
empacar	ẽmpakaɾ
empacat	empekat̪
empachada	ẽmpatʃað̞a
empachadas	ẽmpatʃað̞as
empachado	ẽmpatʃað̞o
empachados	ẽmpatʃað̞os
empachar	ẽmpatʃaɾ
empacho	ẽmpatʃo
empadronada	empeð̞ɾonað̞a
empadronada	ẽmpað̞ɾonað̞a
empadronadas	ẽmpað̞ɾonað̞as
empadronades	empeð̞ɾonað̞es
empadronado	ẽmpað̞ɾonað̞o
empadronador	ẽmpað̞ɾonað̞oɾ
empadronadora	ẽmpað̞ɾonað̞oɾa
empadronados	ẽmpað̞ɾonað̞os
empadronament	empeð̞ɾõn̪amẽn̪t̪
empadronamiento	ẽmpað̞ɾonamjẽn̪t̪o
empadronar	empat̪ɾonaɾ
empadronar	ẽmpað̞ɾonaɾ
empadronat	empeð̞ɾõn̪at̪
empait	ẽmpai̯t̪
empaitades	ẽmpait̪ad̪es
empaitant	ẽmpait̪ant̪
empalada	empealað̞a
empalada	ẽmpalað̞a
empaladas	ẽmpalað̞as
empalado	ẽmpalað̞o
empalados	ẽmpalað̞os
empalagada	ẽmpalaɣ̞að̞a
empalagadas	ẽmpalaɣ̞að̞as
empalagado	ẽmpalaɣ̞að̞o
empalagados	ẽmpalaɣ̞að̞os
empalagar	ẽmpalaɣ̞aɾ
empalagoso	ẽmpalaɣ̞oso
empalamiento	ẽmpalamjẽn̪t̪o
empalar	ẽmpalaɾ
empalat	empelat̪
empalats	empelat̪s
empalidece	ẽmpalið̞eθe
empalidecemos	ẽmpalið̞eθemos
empalidecer	ẽmpalið̞eθeɾ
empalideces	ẽmpalið̞eθes
empalidecida	ẽmpalið̞eθið̞a
empalidecidas	ẽmpalið̞eθið̞as
empalidecido	ẽmpalið̞eθið̞o
empalidecidos	ẽmpalið̞eθið̞os
empalizada	ẽmpaliθað̞a
empalizadas	ẽmpaliθað̞as
empalizado	ẽmpaliθað̞o
empalizados	ẽmpaliθað̞os
empall	empaʝe
empallada	amβ̞aʝað̞a
empallades	empellað̞es
empallat	empellat̪
empallegada	empat̪ʝeɣ̞að̞a
empallegament	empeʝeɣ̞amẽn̪t̪
empallegaments	empelleɣ̞amẽn̪t̪s
empallegant	ẽmpeʝeɣ̞ant̪
empallegar	ẽnpaʝeɣ̞aɾ
empallegat	ẽmpat̪ʝeɣ̞at̪
empallegats	ẽmpaʝeɣ̞at̪s
empallerada	empat̪ʝeɾað̞a
empallerades	ẽmpaʝeɾað̞es
empallerat	ẽmpaʝeɾat̪
empallerats	ẽmpaʝeɾat̪s
empallissades	ẽmpat̪ʝissad̪es
empallissat	ẽmpaʝisat̪
empalmada	ẽmpalmað̞a
empalmadas	ẽmpalmað̞as
empalmades	ẽmpalmað̞es
empalmado	ẽmpalmað̞o
empalmados	ẽmpalmað̞os
empalmament	ẽmpalmamẽn̪t̪
empalmar	ẽmpalmaɾ
empalmat	ẽmpalmat̪
empalmats	ẽmpalmat̪s
empalomades	ẽmpalomað̞es
empalomadura	ẽnpalomað̞uɾa
empalomar	ẽn̪palomaɾ
empalomats	ẽmpalomat̪s
empal·liant	empaliant̪
empanada	empenad̪a
empanada	ẽmpanað̞a
empanadas	ẽmpanað̞as
empanades	empenad̪es
empanadilla	ẽmpanað̞iʝa
empanadita	ẽmpanað̞it̪a
empanado	ẽmpanað̞o
empanados	ẽmpanað̞os
empanant	ẽmpanant̪
empanar	ẽmpanaɾ
empanar	ẽmpẽn̪aɾ
empanat	ẽmpanat̪
empanats	ẽmpanat̪s
empanizar	ẽmpaniθaɾ
empantalonado	ẽmpãn̪t̪alonað̞o
empantanada	ẽmpãn̪t̪anað̞a
empantanadas	ẽmpãn̪t̪anað̞as
empantanado	ẽmpãn̪t̪anað̞o
empantanados	ẽmpãn̪t̪anað̞os
empantanamiento	ẽmpãn̪t̪anamjẽn̪t̪o
empantanar	ẽmpãn̪t̪anaɾ
empantanar	ẽmpãn̪t̪enaɾ
empantanec	empent̪anek
empantanegada	ẽmpãn̪t̪aneɣ̞að̞a
empantanegades	ẽmbpãn̪t̪aneɣ̞að̞es
empantanegament	empẽn̪t̪aneɣ̞ament̪
empantanegat	ẽmpãn̪t̪aneɣ̞at̪
empapada	ẽmpapað̞a
empapadas	ẽmpapað̞as
empapado	ẽmpapað̞o
empapados	ẽmpapað̞os
empapar	ẽmpapaɾ
empapelada	ẽmpapelað̞a
empapeladas	ẽmpapelað̞as
empapelado	ẽmpapelað̞o
empapelados	ẽmpapelað̞os
empapelar	ẽmpapelaɾ
empaperat	ẽmpapaɾat̪
empaque	ẽmpake
empaquetada	ẽmpaket̪að̞a
empaquetadas	ẽmpaket̪að̞as
empaquetado	ẽmpaket̪að̞o
empaquetador	empakat̪að̞oɾ
empaquetador	ẽmpaket̪að̞oɾ
empaquetados	ẽmpaket̪að̞os
empaquetadura	ẽmpaket̪að̞uɾa
empaquetament	empakat̪ament̪
empaquetamiento	ẽmpaket̪amjẽn̪t̪o
empaquetar	ẽmpaket̪aɾ
empaquetatge	ẽmpaket̪at̪ɣ̞e
empara	ampara
emparar	empeɾaɾ
emparaulament	empaɾau̯lament̪
emparchar	ẽmpaɾtʃaɾ
emparedada	ẽmpaɾeð̞að̞a
emparedadas	ẽmpaɾeð̞að̞as
emparedado	ẽmpaɾeð̞að̞o
emparedados	ẽmpaɾeð̞að̞os
emparedamiento	ẽmpaɾeð̞amjẽn̪t̪o
emparedar	empeɾeð̞aɾ
emparedar	ẽmpaɾeð̞aɾ
emparedat	empeɾeð̞at̪
emparejada	ẽmpaɾexað̞a
emparejadas	ẽmpaɾexað̞as
emparejado	ẽmpaɾexað̞o
emparejados	ẽmpaɾexað̞os
emparejamiento	ẽmpaɾexamjẽn̪t̪o
emparejar	ẽmpaɾexaɾ
