a	aː
gwawr	ɡwau̯r
gwayw	ɡwei̯u
gwaywffon	ɡwei̯wfɔn
gwaywffyn	ɡwei̯wfɪn
gwbl	ɡuːbʊl
gwbl	ɡʊbl
gwbl	ɡʊbʊl
gwch	ɡʊχ
gwchi	ɡʊχi
gwddf	ɡuːðu
gwddf	ɡuːðʊv
gwddf	ɡʊðu
gwddf	ɡʊðv
gwddf	ɡʊðʊv
gwddw	ɡuːðu
gwddw	ɡʊðu
gwddwg	ɡuːðuɡ
gwddwg	ɡʊðʊɡ
gwdihŵ	ɡʊdɪhuː
gwe	ɡweː
gwead	ɡweːad
gweadedd	ɡwɛaːdɛð
gwedd	ɡweːð
gweddi	ɡweːði
gweddi	ɡwɛði
gweddill	ɡwɛðɪɬ
gweddol	ɡweːðɔl
gweddol	ɡwɛðɔl
gweddw	ɡweːðu
gweddw	ɡwɛðu
gweddwon	ɡwɛðwɔn
gweddïau	ɡwɛðiːai̯
gweddïau	ɡwɛðiːɛ
gweddïo	ɡwɛðiːɔ
gweddïon	ɡwɛðiɔn
gweddïon	ɡwɛðiːɔn
gweddïwr	ɡwɛðiːʊr
gweddïwyr	ɡwɛðiːwɪr
gweedig	ɡwɛeːdiɡ
gweedig	ɡwɛɛdiɡ
gwefan	ɡweːvan
gwefan	ɡwɛvan
gwefr	ɡwɛvr
gwegil	ɡweːɡɪl
gwegil	ɡwɛɡɪl
gweiddi	ɡwei̯ði
gweilch	ɡwei̯lχ
gweill	ɡwei̯ɬ
gweillen	ɡwei̯ɬɛn
gweinidog	ɡwei̯niːdɔɡ
gweinidog	ɡwei̯nɪdɔɡ
gweinidogion	ɡwei̯nɪdɔɡjɔn
gweinydd	ɡwei̯nɪð
gweinyddes	ɡwei̯nəðɛs
gweinyddesau	ɡwei̯nəðɛsai̯
gweinyddesau	ɡwei̯nəðɛsɛ
gweinyddiad	ɡwei̯nəðjad
gweinyddiadau	ɡwei̯nəðjadai̯
gweinyddiadau	ɡwei̯nəðjadɛ
gweinyddiadau	ɡwei̯nəðjaːdai̯
gweinyddiadau	ɡwei̯nəðjaːdɛ
gweinyddiaeth	ɡwei̯nəðjai̯θ
gweinyddiaeth	ɡwei̯nəðjɛθ
gweinyddiaethau	ɡwei̯nəðjei̯θai̯
gweinyddiaethau	ɡwei̯nəðjei̯θɛ
gweinyddion	ɡwei̯nəðjɔn
gweinyddol	ɡwei̯nəðɔl
gweinyddu	ɡwei̯nəði
gweinyddwr	ɡwei̯nəðʊr
gweinyddwyr	ɡwei̯nəðwɪr
gweiriau	ɡwei̯rjai̯
gweiriau	ɡwei̯rjɛ
gweision	ɡwei̯sjɔn
gweision	ɡwei̯ʃɔn
gweithdy	ɡwei̯θdi
gweithgar	ɡwei̯θɡar
gweithgaredd	ɡwei̯θɡaːrɛð
gweithio	ɡwei̯θjɔ
gweithio	ɡwei̯θɔ
gweithio	ɡwiːθɔ
gweithiwr	ɡwei̯θjʊr
gweithiwr	ɡwei̯θʊr
gweithiwr	ɡwiːθʊr
gweithlu	ɡwei̯θli
gweithluoedd	ɡwei̯θliːɔi̯ð
gweithred	ɡwei̯θrɛd
gweithredoedd	ɡwei̯θrɛdɔi̯ð
gweithredu	ɡwei̯θreːdi
gweithredu	ɡwei̯θrɛdi
gweithwyr	ɡwei̯θwɪr
gweladwy	ɡwɛlaːdʊi̯
gwelais	ɡweːlai̯s
gwelais	ɡweːlɛs
gwelais	ɡwɛlai̯s
gwelais	ɡwɛlɛs
gwelaist	ɡweːlai̯st
gwelaist	ɡweːlɛst
gwelaist	ɡwɛlai̯st
gwelaist	ɡwɛlɛst
gweld	ɡwɛld
gweled	ɡweːlɛd
gweled	ɡwɛlɛd
gweledig	ɡwɛleːdɪɡ
gweledig	ɡwɛlɛdɪɡ
gwelen	ɡweːlɛn
gwelen	ɡwɛlɛn
gweler	ɡweːlɛr
gweles	ɡweːlɛs
gweles	ɡwɛlɛs
gwelet	ɡweːlɛt
gwelet	ɡwɛlɛt
gwell	ɡweːɬ
gwell	ɡwɛɬ
gwella	ɡwɛɬa
gwelliant	ɡwɛɬjant
gwellt	ɡwɛɬd
gwellta	ɡwɛɬda
gwelsen	ɡwɛlsɛn
gwelwch	ɡwɛlʊχ
gwelwn	ɡwɛlʊn
gwely	ɡweːli
gwely	ɡwɛli
gwelydd	ɡweːlɪð
gwelydd	ɡwɛlɪð
gwen	ɡwɛn
gwenan	ɡwɛnan
gwenci	ɡwɛŋki
gwendid	ɡwɛndɪd
gwenen	ɡwɛnɛn
gwenith	ɡweːnɪθ
gwenith	ɡwɛnɪθ
gwenithfaen	ɡwɛnɪθvai̯n
gwennol	ɡwɛnɔl
gwenoliaid	ɡwɛnɔljai̯d
gwenoliaid	ɡwɛnɔljɛd
gwenu	ɡweːni
gwenu	ɡwɛni
gwenwyn	ɡweːnʊi̯n
gwenwyn	ɡwɛnwɪn
gwenwyn	ɡwɛnʊi̯n
gwenwynu	ɡwɛnwənɨ
gwenyn	ɡweːnɪn
gwenyn	ɡwɛnɪn
gwenynen	ɡwenənɛn
gweoedd	ɡweːɔi̯ð
gwep	ɡwɛp
gwerdd	ɡwɛrð
gwerddon	ɡwɛrðɔn
gwerddonau	ɡwɛrðoːnai̯
gwerddonau	ɡwɛrðoːnɛ
gwerddonau	ɡwɛrðɔnai̯
gwerddonau	ɡwɛrðɔnɛ
gwerin	ɡwɛrɪn
gweriniaeth	ɡwɛrɪnjai̯θ
gweriniaeth	ɡwɛrɪnjɛθ
gweriniaethau	ɡwɛrɪnjei̯θai̯
gweriniaethau	ɡwɛrɪnjei̯θɛ
gwerinwr	ɡwɛriːnʊr
gwerinwr	ɡwɛrɪnʊr
gwerinwyr	ɡwɛrɪnwɪr
gwern	ɡwɛrn
gwernen	ɡwɛrnɛn
gwernog	ɡwɛrnɔɡ
gwers	ɡwɛrs
gwerslyfr	ɡwersləvɪr
gwerslyfr	ɡwerslɪvr
gwerslyfr	ɡwerslɪvɪr
gwerth	ɡwɛrθ
gwerthfawrogi	ɡwɛrθvau̯roːɡi
gwerthfawrogi	ɡwɛrθvau̯rɔɡi
gwerthiant	ɡwɛrθjant
gwerthu	ɡwɛrθi
gwerthwr	ɡwɛrθʊr
gwerthwyr	ɡwɛrθwɪr
gweryd	ɡweːrɪd
gweryd	ɡwɛrɪd
gwesgyr	ɡwɛsɡɪr
gwest	ɡwɛsd
gwestai	ɡwɛsdai̯
gwesteion	ɡwɛsdei̯ɔn
gwestiwn	ɡwɛsdjʊn
gwesty	ɡwɛsdi
gweu	ɡwei̯
gweud	ɡwei̯d
gweunydd	ɡwei̯nɪð
gwg	ɡuːɡ
gwib	ɡwiːb
gwiber	ɡwiːbɛr
gwiber	ɡwɪbɛr
gwiberlys	ɡwɪbɛrlɪs
gwiberod	ɡwɪbeːrɔd
gwiberod	ɡwɪbɛrɔd
gwibredyn	ɡwɪbreːdɪn
gwibredyn	ɡwɪbrɛdɪn
gwig	ɡwiːɡ
gwin	ɡwiːn
gwinau	ɡwiːnai̯
gwinau	ɡwɪnai̯
gwinoedd	ɡwiːnɔi̯ð
gwinoedd	ɡwɪnɔi̯ð
gwir	ɡwiːr
gwirf	ɡwɪrv
gwirfoddol	ɡwɪrvoːðɔl
gwirfoddol	ɡwɪrvɔðɔl
gwirfwy	ɡwɪrvʊi̯
gwirion	ɡwɪrjɔn
gwirod	ɡwiːrɔd
gwirod	ɡwɪrɔd
gwirodlyn	ɡwɪrɔdlɪn
gwisg	ɡwɪsɡ
gwisg	ɡwɪʃɡ
gwisga	ɡwɪsɡa
gwisgo	ɡwɪsɡɔ
gwisgo	ɡwɪʃɡɔ
gwiw	ɡwɪu̯
gwiwerod	ɡwɪu̯eːrɔd
gwiwerod	ɡwɪu̯ɛrɔd
gwlad	ɡlaːd
gwlad	ɡwlaːd
gwladaidd	ɡwlaːdai̯ð
gwladaidd	ɡwlaːdɛð
gwladfa	ɡwladva
gwladfeydd	ɡwladvei̯ð
gwladgar	ɡwladɡar
gwladgarol	ɡwladɡarɔl
gwladgarol	ɡwladɡaːrɔl
gwladgarwr	ɡwladɡarʊr
gwladgarwr	ɡwladɡaːrʊr
gwladgarwyr	ɡwladɡarwɪr
gwladol	ɡwlaːdɔl
gwlana	ɡwlaːna
gwlanog	ɡwlaːnoɡ
gwledd	ɡwleːð
gwledig	ɡwleːdɪɡ
gwledig	ɡwlɛdɪɡ
gwledydd	ɡwleːdɪð
gwledydd	ɡwlɛdɪð
gwleidydd	ɡwlei̯dɪð
gwleidyddol	ɡwlei̯dəðɔl
gwlith	ɡwliːθ
gwlithen	ɡwliːθɛn
gwlithen	ɡwlɪθɛn
gwlithlaw	ɡwlɪθlau̯
gwlw	ɡʊlu
gwlyb	ɡliːb
gwlyb	ɡwliːb
gwlybaniaeth	ɡwləbanjai̯θ
gwlybaniaeth	ɡwləbanjɛθ
gwlych	ɡwliːχ
gwlychu	ɡləχi
gwlychu	ɡwləχi
gwlypach	ɡwləpaχ
gwlypaf	ɡwləpav
gwlân	ɡwlaːn
gwm	ɡʊm
gwmni	ɡʊmni
gwmpas	ɡʊmpas
gwn	ɡʊn
gwna	ɡwnaː
gwnaed	ɡwnai̯d
gwnaer	ɡwnai̯r
gwnaeth	naːθ
gwnaeth	ɡnaːθ
gwnaeth	ɡwnai̯θ
gwnaethoch	ɡwnei̯θɔχ
gwnaethon	ɡwnei̯θɔn
gwnaethpwyd	ɡwnei̯θpʊi̯d
gwnei	ɡwnei̯
gwneler	ɡwnɛlɛr
gwnes	ɡwneːs
gwnest	ɡwnɛsd
gwneud	nei̯d
gwneud	ɡnei̯d
gwneud	ɡwnei̯d
gwnewch	ɡwnɛu̯χ
gwningen	ɡʊnɪŋɛn
gwobr	ɡwɔbr
gwobrau	ɡwɔbrai̯
gwobrau	ɡwɔbrɛ
gwobrwyon	ɡwɔbrʊi̯ɔn
gwpan	ɡʊpan
gwpwrdd	ɡʊpʊrð
gwrach	ɡwraːχ
gwragedd	ɡraɡɛð
gwragedd	ɡraːɡɛð
gwragedd	ɡwraɡɛð
gwragedd	ɡwraːɡɛð
gwraidd	ɡwrai̯ð
gwraig	ɡrai̯ɡ
gwraig	ɡwrai̯ɡ
gwranda	ɡwranda
gwrandawodd	ɡwrandau̯ɔð
gwrandewch	ɡwrandɛu̯χ
gwrando	ɡrandɔ
gwrando	ɡrɪndɔ
gwrando	ɡwrandɔ
gwrdd	ɡʊrð
gwregys	ɡreːɡɪs
gwregys	ɡrɛɡɪs
gwregys	ɡwreːɡɪs
gwregys	ɡwrɛɡɪs
gwreiddiadur	ɡwrɛi̯ðjadɪr
gwreiddiadur	ɡwrɛi̯ðjaːdɪr
gwreiddiau	ɡwrei̯ðjai̯
gwreiddiau	ɡwrei̯ðjɛ
gwreiddio	ɡwrei̯ðjɔ
gwreiddiol	ɡwrei̯ðjɔl
gwreiddioldeb	ɡwrei̯ðjɔldɛb
gwreiddyn	ɡwrei̯ðɪn
gwrendy	ɡwrɛndi
gwres	ɡwreːs
gwresogi	ɡwrɛsoːɡi
gwresogi	ɡwrɛsɔɡi
gwrm	ɡʊrm
gwrol	ɡuːrɔl
gwrol	ɡʊrɔl
gwrs	ɡʊrs
gwrthban	ɡʊrθban
gwrthdystio	ɡʊrθdəsdjɔ
gwrthgyferbyniad	ɡʊrθɡəvɛrbənjad
gwrthgyferbyniol	ɡʊrθɡəvɛrbənjɔl
gwrthgyferbynnu	ɡʊrθɡəvɛrbəni
gwrthgymdeithasol	ɡʊrθɡəmdei̯θasɔl
gwrthiselder	ɡʊrθɪsɛldɛr
gwrthiselydd	ɡʊrθɪseːlɪð
gwrthiselydd	ɡʊrθɪsɛlɪð
gwrthiselyddion	ɡʊrθɪsɛləðjɔn
gwrthod	ɡʊrθɔd
gwrthrewydd	ɡʊrθrɛwɪð
gwrthrych	ɡʊrθrɪχ
gwrthrychol	ɡʊrθrəχɔl
gwrthryfel	ɡʊrθrəvɛl
gwrthryfela	ɡʊrθrəveːla
gwrthryfela	ɡʊrθrəvɛla
gwrthryfelgar	ɡʊrθrəvɛlɡar
gwrthryfeloedd	ɡʊrθrəveːlɔi̯ð
gwrthryfeloedd	ɡʊrθrəvɛlɔi̯ð
gwrthryfelwr	ɡʊrθrəveːlʊr
gwrthryfelwr	ɡʊrθrəvɛlʊr
gwrthryfelwyr	ɡʊrθrəvɛlwɪr
gwrthsur	ɡʊrθsɪr
gwrthwynebair	ɡʊrθwɪnɛbai̯r
gwrthwynebiad	ɡʊrθwɪnɛbjad
gwrthwynebiadau	ɡʊrθwɪnɛbjadai̯
gwrthwynebiadau	ɡʊrθwɪnɛbjadɛ
gwrthwynebiadau	ɡʊrθwɪnɛbjaːdai̯
gwrthwynebiadau	ɡʊrθwɪnɛbjaːdɛ
gwrthwynebu	ɡʊrθwɪneːbi
gwrthwynebu	ɡʊrθwɪnɛbi
gwrthwynebwyr	ɡʊrθwɪnɛbwɪr
gwrthwynebydd	ɡʊrθwɪneːbɪð
gwrthwynebydd	ɡʊrθwɪnɛbɪð
gwrw	ɡuːru
gwrw	ɡʊru
gwrychredyn	ɡwrəχreːdɪn
gwrychredyn	ɡwrəχrɛdɪn
gwryw	ɡuːrɪu̯
gwryw	ɡʊrɪu̯
gwrywaidd	ɡʊrəu̯ai̯ð
gwrywaidd	ɡʊrəu̯ɛð
gwrywaidd	ɡʊrɪu̯ai̯ð
gwrywaidd	ɡʊrɪu̯ɛð
gwsberen	ɡʊsbeːrɛn
gwsberen	ɡʊsbɛrɛn
gwsberis	ɡʊsbɛrɪs
gwst	ɡʊsd
gwth	ɡuːθ
gwthio	ɡʊθjɔ
gwyach	ɡʊi̯aχ
gwyar	ɡʊi̯ar
gwybed	ɡwəbɛd
gwybed	ɡwɪbɛd
gwybedog	ɡwəbeːdɔɡ
gwybedog	ɡwəbɛdɔɡ
gwybedog	ɡwɪbeːdɔɡ
gwybedog	ɡwɪbɛdɔɡ
gwybedogion	ɡwəbɛdɔɡjɔn
gwybedogion	ɡwɪbɛdɔɡjɔn
gwybedyn	ɡwəbeːdɪn
gwybedyn	ɡwəbɛdɪn
gwybedyn	ɡwɪbeːdɪn
gwybedyn	ɡwɪbɛdɪn
gwybod	ɡuːbɔ
gwybod	ɡuːbɔd
gwybod	ɡwɪbɔd
gwybod	ɡʊbɔ
gwybod	ɡʊbɔd
gwybod	ɡʊi̯bɔd
gwybodaeth	ɡwəboːdai̯θ
gwybodaeth	ɡwəboːdɛθ
gwybodaeth	ɡwəbɔdai̯θ
gwybodaeth	ɡwəbɔdɛθ
gwybodaeth	ɡwɪboːdai̯θ
gwybodaeth	ɡwɪboːdɛθ
gwybodaeth	ɡwɪbɔdai̯θ
gwybodaeth	ɡwɪbɔdɛθ
gwybodaeth	ɡʊi̯boːdai̯θ
gwybodaeth	ɡʊi̯boːdɛθ
gwybodaeth	ɡʊi̯bɔdai̯θ
gwybodaeth	ɡʊi̯bɔdɛθ
gwybodus	ɡwɪboːdɪs
gwybodus	ɡwɪbɔdɪs
gwybodus	ɡʊi̯boːdɪs
gwybodus	ɡʊi̯bɔdɪs
gwych	ɡwiːχ
gwychach	ɡwəχaχ
gwyched	ɡwəχɛd
gwyddau	ɡʊi̯ðai̯
gwyddau	ɡʊi̯ðɛ
gwyddbwyll	ɡwɪðbʊi̯ɬ
gwyddbwyll	ɡʊi̯ðbʊi̯ɬ
gwydden	ɡwɪðɛn
gwyddfid	ɡwɪðvɪd
gwyddfid	ɡʊi̯ðvɪd
gwyddion	ɡwəðjɔn
gwyddon	ɡwɪðɔn
gwyddoniaeth	ɡwɪðɔnjai̯θ
gwyddoniaeth	ɡwɪðɔnjɛθ
gwyddonias	ɡwɪðɔnjas
gwyddonol	ɡwɪðoːnɔl
gwyddonol	ɡwɪðɔnɔl
gwyddonwyr	ɡwɪðɔnwɪr
gwyddonydd	ɡwɪðoːnɪð
gwyddonydd	ɡwɪðɔnɪð
gwyddor	ɡwɪðɔr
gwyddor	ɡʊi̯ðɔr
gwydr	ɡwɪdr
gwydr	ɡwɪdɪr
gwydraid	ɡwədrai̯d
gwydrau	ɡwədrɛ
gwydryn	ɡwədrɪn
gwyfyn	ɡwəvɪn
gwylaeth	ɡwəlai̯θ
gwylaeth	ɡwəlɛθ
gwylan	ɡʊi̯lan
gwylanod	ɡʊi̯lanɔd
gwylanod	ɡʊi̯laːnɔd
gwylanwydd	ɡʊi̯laːnʊi̯ð
gwyliau	ɡwɪljai̯
gwyliau	ɡwɪljɛ
gwyliau	ɡʊi̯ljai̯
gwyliau	ɡʊi̯ljɛ
gwyliedydd	ɡwɪljeːdɪð
gwyliedydd	ɡwɪljɛdɪð
gwyliedydd	ɡʊi̯ljeːdɪð
gwyliedydd	ɡʊi̯ljɛdɪð
gwyliedyddion	ɡwɪljɛdəðjɔn
gwyliedyddion	ɡʊi̯ljɛdəðjɔn
gwylio	ɡwɪljɔ
gwylio	ɡʊi̯ljɔ
gwyll	ɡwɪɬ
gwyll	ɡʊi̯ɬ
gwylliaid	ɡʊi̯ɬjai̯d
gwylliaid	ɡʊi̯ɬjɛd
gwyllon	ɡwəɬɔn
gwyllt	ɡwɪɬd
gwylog	ɡʊi̯lɔɡ
gwylogod	ɡʊi̯loːɡɔd
gwylogod	ɡʊi̯lɔɡɔd
gwymon	ɡwɪmɔn
gwymon	ɡʊi̯mɔn
gwymona	ɡwɪmoːna
gwymona	ɡwɪmɔna
gwymona	ɡʊi̯moːna
gwymona	ɡʊi̯mɔna
gwympo	ɡwɪmpɔ
gwympo	ɡʊmpɔ
gwympo	ɡʊɪ̯mpɔ
gwyn	ɡwɪn
gwyniad	ɡwɪnjad
gwynion	ɡwənjɔn
gwynion	ɡwɪnjɔn
gwynlas	ɡwɪnlas
gwynnach	ɡwənaχ
gwynnu	ɡwəni
gwynnu	ɡwɪni
gwyno	ɡʊi̯nɔ
gwynt	ɡwɪnt
gwyntog	ɡwɪntɔɡ
gwyntyll	ɡwɪntɪɬ
gwyrdd	ɡwɪrð
gwyrddfaen	ɡwərðvai̯n
gwyrddion	ɡwərðjɔn
gwyrddlas	ɡwɪrðlas
gwyrddsug	ɡwərðsɪɡ
gwyrth	ɡwɪrθ
gwyryf	ɡwərɪv
gwyryf	ɡwɪrɪv
gwystl	ɡwɪsdl
gwystl	ɡwɪsdɪl
gwystl	ɡʊi̯sdl
gwystl	ɡʊi̯sdɪl
gwythi	ɡʊi̯θɪ
gwâl	ɡwaːl
gwâr	ɡwaːr
gwäell	ɡwaːɛɬ
gwêl	ɡweːl
gwên	ɡweːn
gwëyll	ɡweːɪɬ
gwŷdd	ɡwiːð
gwŷl	ɡwiːl
gwŷn	ɡwiːn
gwŷr	ɡwiːr
gwŷs	ɡwiːs
gychwyn	ɡəχwɪn
gyd	ɡiːd
gyda	da
gyda	ɡəda
gyda	ɡɪda
gydag	daɡ
gydag	ɡədaɡ
gydag	ɡɪdaɡ
gydbreswylwyr	ɡiːdbrɛsʊi̯lwɪr
gyddfau	ɡəðvai̯
gyddfau	ɡəðvɛ
gyddfddu	ɡəðvði
gyddfgoch	ɡəðvɡɔχ
gyfaill	ɡəvai̯ɬ
gyfaredd	ɡəvarɛð
gyfaredd	ɡəvaːrɛð
gyfarfod	ɡwarvɔd
gyfarfod	ɡəvarvɔd
gyfeillgar	ɡəvei̯ɬɡar
gyfeillion	ɡəvei̯ɬjɔn
gyferbyn	ɡəvɛrbɪn
gyfforddus	ɡəfɔrðɪs
gyfiawnder	ɡəvjau̯ndɛr
gyflym	ɡəvlɪm
gyflymach	ɡəvləmaχ
gyfnither	ɡəvniːθɛr
gyfnither	ɡəvnɪθɛr
gyfoethocach	ɡəvɔi̯θɔkaχ
gyfoethocaf	ɡəvɔi̯θɔka
gyfoethocaf	ɡəvɔi̯θɔkav
gyfoethoced	ɡəvɔi̯θɔkɛd
gyfoethog	ɡəvɔi̯θɔɡ
gyfoethogion	ɡəvɔi̯θɔɡjɔn
gyfraith	ɡəvrai̯θ
gyfraith	ɡəvrɛθ
gyfreithiwr	ɡəvrei̯θjʊr
gyfrifol	ɡəvriːvɔl
gyfrifol	ɡəvrɪvɔl
gyfun	ɡəvɪn
gylch	ɡɪlχ
gylchgrawn	ɡəlχɡrau̯n
gylchgrawn	ɡɪlχɡrau̯n
gylfin	ɡəlvɪn
gylfinau	ɡəlviːnai̯
gylfinau	ɡəlviːnɛ
gylfinau	ɡəlvɪnai̯
gylfinau	ɡəlvɪnɛ
gylfinir	ɡəlviːnɪr
gylfinir	ɡəlvɪnɪr
gylfinirod	ɡəlvɪniːrɔd
gylfinirod	ɡəlvɪnɪrɔd
gyll	ɡɪɬ
gyllell	ɡəɬɛɬ
gyllell	ɡɪɬɛɬ
gyllell	ɡɪɬɛθ
gymaint	ɡəmai̯nt
gymaint	ɡəmɛnt
gymaint	ɡɪmɛnt
gymdeithas	ɡəmdei̯θas
gymedrolwr	ɡəmɛdroːlʊr
gymedrolwr	ɡəmɛdrɔlʊr
gymedrolwyr	ɡəmɛdrɔlwɪr
gymnasteg	d͡ʒɪmnasdɛɡ
gymnasteg	ɡɪmnasdɛɡ
gymnastwr	d͡ʒɪmnasdʊr
gymnastwr	ɡɪmnasdʊr
gymorth	ɡəmɔrθ
gymryd	ɡəmrɪd
gymylog	ɡəməlɔɡ
gynffon	ɡənfɔn
gyngerdd	ɡəŋɛrð
gynghrair	ɡəŋhrai̯r
gynghrair	ɡəŋrai̯r
gynghrair	ɡəŋrɛr
gyngor	ɡəŋɔr
gynhadledd	ɡənhadlɛð
gynnar	ɡənar
gynnar	ɡɪnar
gynnau	ɡənai̯
gynnau	ɡənɛ
gynnau	ɡɪni
gynnau	ɡɪnɛ
gynnes	ɡənɛs
gynni	ɡəni
gynno	ɡənɔ
gynnoch	ɡənɔχ
gynnon	ɡənɔn
gynnwrf	ɡənʊrv
gynnyn	ɡənɪn
gynradd	ɡənrað
gyrdd	ɡɪrð
gyrfa	ɡərva
gyrgoed	ɡərɡɔi̯d
gyrhaeddais	ɡərhei̯ðai̯s
gyrhaeddais	ɡərhei̯ðɛs
gyriad	ɡərjad
gyrliog	ɡərljɔɡ
gyrraedd	ɡərai̯ð
gyrraedd	ɡərað
gyrraedd	ɡərɛð
gyrraf	ɡərav
gyrru	ɡəri
gyrrwr	ɡərʊr
gysawd	ɡəsau̯d
gysgaf	ɡəsɡav
gysgoch	ɡəsɡɔχ
gysgod	ɡəsɡɔd
gysgon	ɡəsɡɔn
gysgu	ɡəsɡi
gysgwch	ɡəsɡʊχ
gyson	ɡəsɔn
gystadlu	ɡəsdadli
gytgan	ɡətɡan
gytganau	ɡətɡaːnai̯
gytganau	ɡətɡaːnɛ
gythraul	ɡəθrai̯l
gythraul	ɡəθrɛl
gythreuliaid	ɡəθrei̯ljai̯d
gythreuliaid	ɡəθrei̯ljɛd
gywir	ɡəu̯ɪr
gâl	ɡaːl
gân	ɡaːn
gât	ɡaːt
gès	ɡɛs
gêl	ɡeːl
gêm	ɡeːm
gên	ɡeːn
gïau	ɡiːa
gïau	ɡiːaɨ̯
gïau	ɡiːɛ
gôl	ɡoːl
gôr	ɡoːr
gôt	ɡoːt
gŵr	ɡuːr
gŵydd	ɡʊi̯ð
gŵyl	ɡwɪljai̯
gŵyl	ɡʊi̯l
gŵyl	ɡʊi̯ljai̯
gŵyll	ɡʊi̯ɬ
gŵyn	ɡʊi̯n
gŵyr	ɡʊi̯r
gŵyth	ɡʊi̯θ
gẃraidd	ɡuːrai̯ð
gẃraidd	ɡʊrai̯ð
h	h
habad	habad
habad	haːbad
habadaeth	habadai̯θ
habadaeth	habaːdai̯θ
habadaeth	habaːdɛθ
habadaethau	habadei̯θai̯
habadaethau	habadei̯θɛ
habadau	habadai̯
habadau	habadɛ
habadau	habaːdai̯
habadau	habaːdɛ
habades	habadɛs
habades	habaːdɛs
habadesau	habadɛsai̯
habadesau	habadɛsɛ
habatai	habatai̯
habatir	habatɪr
habatiroedd	habatiːrɔi̯ð
habatiroedd	habatɪrɔi̯ð
habaty	habati
haber	habɛr
haber	haːbɛr
habwyd	habʊi̯d
habwyd	haːbʊi̯d
habwydyn	habʊi̯dɪn
hach	haːχ
hachos	haχɔs
hachos	haːχɔs
hachosi	haχɔsi
hachub	haχɪb
hachub	haːχɪb
hachubwr	haχiːbʊr
hachubwr	haχɪbʊr
hachubwyr	haχɪbwɪr
hactor	haktɔr
hactoresau	haktɔrɛsai̯
hactoresau	haktɔrɛsɛ
hactorion	haktɔrjɔn
had	haːd
hadar	hadar
hadar	haːdar
haddo	haðɔ
haddo	haːðɔ
haddysgu	haðəsɡi
hadeilad	hadei̯lad
haden	hadɛn
haden	haːdɛn
haderyn	hadeːrɪn
haderyn	hadɛrɪn
hadog	hadoɡ
hadolygu	hadɔləɡi
hadran	hadran
hadu	haːdi
hadwaenent	hadwei̯nɛnt
haearn	hei̯arn
haeddel	hei̯ðɛl
hael	hai̯l
haelodaeth	hei̯loːdai̯θ
haelodaeth	hei̯loːdɛθ
haelodaeth	hei̯lɔdɛθ
haelwyd	hei̯lʊi̯d
haen	hai̯n
haethnen	hei̯θnɛn
haethnenni	hei̯θnɛni
haf	haːv
haffniwm	hafnjʊm
hafgysgu	havɡəsɡi
hafod	havɔd
hafod	haːvɔd
hafodau	havoːdai̯
hafodau	havoːdɛ
hafodau	havɔdai̯
hafodau	havɔdɛ
hafodydd	havoːdɪð
hafodydd	havɔdɪð
hafota	havɔta
hagor	haɡɔr
hagor	haːɡɔr
hagr	haɡr
haidd	hai̯ð
hail	hai̯l
haint	hai̯nt
hais	hais
hala	hala
halen	halɛn
halen	haːlɛn
halibalŵ	halɪbaluː
halid	haːlɪd
halio	haljɔ
hallt	haɬd
halmanac	halmanak
halmanaciau	almanakjai̯
halmanaciau	almanakjɛ
halogen	haloːɡɛn
halogen	halɔɡɛn
halwminiwm	halʊmɪnjʊm
hambon	hambɔn
hamgylch	hamɡɪlχ
hamharu	hamhaːri
hamod	hamɔd
hamser	hamsɛr
hanafu	hanavi
hanafu	hanaːvi
hances	hankɛs
haneru	haneːri
haneru	hanɛri
hanes	hanɛs
hanes	haːnɛs
hanesyddol	hanɛsəðɔl
hanfon	hanvɔn
hangen	haŋɛn
hangor	haŋɔr
haniaeth	hanjai̯θ
haniaeth	hanjɛθ
haniaethol	hanjei̯θɔl
hanifail	haniːvai̯l
hanifail	haniːvɛl
hanifail	hanɪvai̯l
hanifail	hanɪvɛl
hanner	hanɛr
hannwyd	hanʊi̯d
hanodd	hanɔð
hanodd	haːnɔð
haprif	haprɪv
hapus	hapɪs
harall	haraɬ
harall	haːraɬ
harbed	harbɛd
harbwr	harbʊr
harchesgob	harχɛsɡɔb
hardal	hardal
hardaloedd	hardaːlɔi̯ð
hardaloedd	hardaːlɔð
hardd	harð
harddach	harðaχ
harddangos	harðaŋɡɔs
harddangosfa	harðaŋɡɔsva
hardded	harðɛd
harestio	harɛsdjɔ
harfbais	harvbai̯s
harfbeisiau	harvbei̯sjai̯
harfbeisiau	harvbei̯sjɛ
harfbeisiau	harvbei̯ʃai̯
harfbeisiau	harvbei̯ʃɛ
harglwydd	harɡlʊi̯ð
hargraffwr	harɡrafʊr
hargraffydd	harɡrafɪð
harian	harjan
harlwy	harlui̯
haros	harɔs
haros	haːrɔs
harth	harθ
hasiwm	hasjʊm
hathrawes	haθrau̯ɛs
hathro	haθrɔ
hatyr	hatɪr
haul	hai̯l
haul	hɔi̯l
hawdd	hau̯ð
hawl	hau̯l
hawlfraint	hau̯lvrai̯nt
hawliau	haʊ̯ljai̯
hawliau	haʊ̯ljɛ
hawlio	hau̯ljɔ
haws	hau̯s
hawsed	haʊsɛd
heb	heːb
heblaw	hɛblau̯
heboca	hɛbɔka
hebog	heːbɔɡ
