"бацькаўшчына"	batsʲkau̯ʂtʂɨna
мэбля	mɛblʲa
мэбляй	mɛblʲaj
мэблі	mɛbɫʲi
мэканне	mɛkanʲːe
мэляса	mɛlʲasa
мэлён	mɛlʲon
мэнскі	mɛnskʲi
мэр	mɛr
мэр	mˈɛɹ
мэра	mɛra
мэру	mɛru
мэры	mɛrɨ
мэт	mɛt
мэта	mɛta
мэтар	mɛtar
мэтах	mɛtax
мэтаю	mɛtaju
мэтаў	mɛtau̯
мэтры	mɛtrɨ
мэту	mɛtu
мэты	mɛdɨ
мэты	mɛte
мядзведзь	mʲadzʲvʲetsʲ
мядзведзю	mʲadzʲvʲedzʲu
мядзведзя	mʲadzʲvʲedzʲa
мядзведзі	mʲadzʲvʲedzʲi
мядок	mʲadok
мяжа	mʲaʂa
мяжа	mʲaʐa
мяжой	mʲaʐoj
мяжу	mʲaʐu
мяжы	mjaʐɨ
мяжы	mʲaʐɨ
мякаць	mjakatsʲ
мякка	mjakka
мяккасць	mʲakkostsʲ
мяккая	mjakkaʲa
мяккая	mjakˈkaja
мяккі	mʲakʲːi
мяккім	mjakkʲim
мяккімі	mjakʲːimʲi
мяккіх	mjakkʲix
мякіш	mʲakʲiʂ
мялю	mʲaɫju
мяне	mʲanʲe
мянтуз	mjantuz
мянушка	mʲanuʂka
мянушка	nʲanuʂka
мянушкай	mjanuʂkaj
мянушку	mʲanuʂku
мянушкі	mʲanuʂkʲi
мянчук	mʲantʂuk
мянялі	mjanʲaɫʲi
мяняцца	mʲanʲatsːa
мяняць	mʲanʲaʲtsʲ
мярзотнік	mjärzotnʲik
мяркуе	mjarguje
мяркуецца	mjarkuʲetstsa
мярэжа	mʲarɛʐa
мяса	mʲasa
мясная	mʲasnaʲa
мясной	mʲasnoj
мясны	mʲasnɨ
мясных	mjaznɨx
мясныя	mjaʂnɨja
мястэчка	mʲastɛtʂka
мястэчку	mʲastɛtʂku
мястэчкі	mjastɛtʂkʲi
мясцовага	mjaʂtsovaɣa
мясцовае	mjaʂtsovaje
мясцовай	mjaʂtsovaj
мясцовасць	mʲastsovostsʲ
мясцовая	mjaʂtsovaja
мясцовы	mjɛstsovɨ
мясцовы	mʲastsovɨ
мясцовых	mjasʲtsovɨx
мясцовыя	mjaʂtsovɨja
мята	mjata
мятла	mʲatɫa
мятлу	mʲatɫu
мятліца	mjadlʲitsa
мятліцы	mjatɫʲitsɨ
мяхах	mʲaxax
мяцеліц	mʲatsʲeɫʲits
мяць	mʲatsʲ
мяч	mjatʃ
мяч	mʲatʂ
мячом	mʲatʂom
мячоў	mʲatʂou̯
мячы	mʲatʂɨ
мячык	mʲatʂɨk
мячэць	mjatʂɛtsʲ
мячэці	mʲatʂɛʲtsʲi
мяшанае	mjaʂanaje
мяшаная	mjaʂanaja
мяшанец	mʲaʂanʲets
мяшаных	mjaʂanɨx
мяшаныя	mjaʂanɨja
мяшок	mʲaʂok
мяшочак	mjaʂotʂak
мяшчан	mjaʂtʂan
мёд	mʲot
мёду	mʲodu
мёртвай	mʲortvaj
мёртвы	mʲortvɨ
мёртвым	mjortvɨm
мёры	mjore
мігнулі	mʲiɣnuɫʲi
міграцыя	mʲiɣratsɨja
мігцелі	mʲiɣtsʲeɫʲi
мігцеў	mixtsʲeu̯
між	miʒ
між	mʲiʂ
міжабласны	mʲiʂabɫasnɨ
міжаконны	mʲiʂakonnɨ
міжакруговы	nʲiʐakruɣovɨ
міжатамны	nʲiʐatamnɨ
міжволі	mʲiʂvoɫʲi
міжмор'е	mʲiʒmorje
міжнародны	mʲiʐnarodnɨ
міжусобку	mʲiʂusɔbku
мізэрны	mʲizɛrnɨ
мікалаеў	mʲikaɫajeu̯
мікалай	mʲikaɫaj
мікарызу	mʲikarɨzu
міколка	mˈikoɫkˈa
міколы	mʲikoɫɨ
мікрафон	mʲikrafon
мікіта	mʲikʲita
міла	mʲiɫa
мілавіца	mjilavitsa
мілагучна	mʲiɫaɣutʂna
мілагучнасць	mʲiɫaɣutʂnastsʲ
мілагучны	mʲiɫaɣutʂnɨ
мілагучныя	mʲiɫaɣutʂnɨja
міласціна	mʲiɫosʲtsʲina
міласціны	mʲiɫasʲtsʲinɨ
мілая	mɨɫaja
мілы	mʲiɫɨ
мілым	mʲiɫɨm
мільганулі	mʲiɫʲɣonulʲi
мільярд	mʲilʲjart
мільярдны	mʲilʲjardnɨ
мільён	mʲilʲjon
мільённы	mʲilʲjonːɨ
мілях	mʲilʲax
міліметр	mʲilʲimʲetr
мілімэтар	mʲilʲimɛtar
міліцыя	mjilʲitsɨja
міліцыя	mʲilʲitsɨja
мімаходам	mimahoˈdam
мімы	mʲimɨ
мін	mʲin
мінай	mʲinaj
мінах	mʲinax
мінаць	minatsʲ
міначкам	mʲinatʂkam
міндоўг	mʲendou̯x
міне	minjɛ
міне	mʲinʲe
мінных	mjinnɨx
мінск	mʲinsk
мінск	vˈinsk
мінскі	mʲinskʲi
мінскія	mʲinskʲija
міну	mʲinu
мінула	mʲinuɫa
мінула	mʲinuɫä
мінулае	mʲinuɫaje
мінулае	mʲinuɫaʲe
мінулася	mʲinuɫasʲa
мінулы	mʲinuɫɨ
мінулых	mjinuɫɨx
мінулі	mˈinuɭi
мінус	mʲinus
мінут	mʲinut
мінута	mʲinuta
мінуты	mʲinutɨ
мінуць	mʲinutsʲ
міншчына	mʲinʂtʂɨna
міны	mjinɨ
мінімальна	mʲinʲimalʲna
мінімуму	mʲinʲimumu
міністар	mʲinʲistar
міністар	mʲinʲistɛr
міністарка	mʲinʲistrka
міністр	mʲinʲistr
мір	mʲir
міргнуць	mʲirɣnutsʲ
мірнае	mʲirnaʲe
мірнай	mʲirnaj
мірным	mʲirnɨm
мірных	mʲirnɨx
мірныя	mʲiɾnɨja
мірон	mʲiron
міру	mɨru
міры	mʲirɨ
міска	mʲiska
міскай	mʲiskaj
містыка	mʲistɨka
містычнасці	mʲistɨtʂnasʲtsʲi
містычны	mʲistɨtʂnɨ
міт	mʲit
мітынг	mʲitɨnx
міф	mʲif
міфа	mʲifa
міфы	mʲifɨ
міхайла	mʲixajɫo
міхаіл	mʲixajiɫ
міцкевіч	mʲitskʲevʲitʂ
міша	mʲiʂa
н	nɔ̃
на	na
наадварот	naadvarot
набат	nabat
набеглі	nabʲeɣlʲi
набліжаецца	nabɫʲiʐaʲetsːa
набліжала	napɫʲiʂaɫa
набліжацца	nablʲiʐatsːa
наблізу	naplʲizu
набок	nabok
набор	nabor
набрала	naprala
набралі	nabralʲi
набраных	nabranɨx
набрацца	nabratsːa
набудзеш	nabudzʲeʂ
набывае	nabɨvaʲːe
набывалі	napɨvolʲi
набываць	nobɨvatsʲ
набываю	nabɨvaʲu
набылі	nabɨɫʲi
набыта	nabɨta
набыткі	nabɨtkʲi
набытую	nabɨtuju
набыты	nabɨtɨ
набытых	nabɨtɨx
набытыя	nabɨtɨja
набыццё	nabɨtsːʲo
набыць	nabɨʲtsʲ
набыць	zabɨtsʲ
набярэжжа	nabjarɛʐa
набярэжныя	nabjarɛʐnɨja
набіраем	nabʲiraʲem
набіць	nabʲitsʲ
навагодні	navaɣodnʲi
навагодніх	navagodnʲix
навакольная	navakolʲnaja
навакольны	navakoɫʲnɨ
навала	navaɫa
навалач	navaɫatʂ
навалач	navaɫatʃ
навалачка	navaɫatʂka
навалы	navaɫɨ
навальніца	navalʲnʲitsa
навальніцы	navolʲnʲitsɨ
наваполацк	navapoɫatsak
навароты	navarotɨ
навару	navaru
нават	navat
наведвае	navʲedvoʲe
наведвальнік	navʲedvaɫʲnʲig
наведванне	navʲedavannʲe
наведваюць	navʲedvaʲusʲ
навейшай	navʲejʂaj
навек	navʲek
навекі	navʲekʲi
навел	navʲeɫ
навелах	navʲeɫax
навелы	navɛɫɨ
наверсе	navʲersʲe
наверх	navʲerx
навесам	navʲesam
навесамі	navʲesamʲi
навешвае	navʲeʂvaʲe
наводзяць	navodzʲatsʲ
наводзілі	navodzʲiɫʲi
навокал	navokau
навокал	navokaɫ
навонкі	navonkʲi
навочна	navotʂna
навошта	navoʂta
навук	navuk
навука	navuka
навука	navukɑ
навукай	navukaj
навуках	navukax
навукаю	navukaju
навукова	navukova
навуковага	navukovaɣa
навуковае	navukovaje
навуковай	navukovaj
навуковец	navukovʲets
навуковы	novukovɨ
навуковым	navukovɨm
навуковых	navukovɨx
навукоўца	novukou̯tsa
навукоўцам	navukou̯tsam
навуку	navuku
навучаецца	navutʂaʲetstsa
навучальная	navutʂaɫʲnaja
навучальным	novutʂaɫʲnɨm
навучальных	navutʂaɫʲnɨx
навучальнік	navutʂaɫʲnʲik
навучалі	navutʂaɫʲi
навучанне	novutʂannɛ
навучанні	navutʂannʲi
навучу	navutʂu
навучылася	navutʂɨɫaʂʲa
навучылі	navutʂɨlʲi
навучым	navutʂɨm
навучыцца	navutʂɨtsːa
навучыць	navutʂɨtsʲ
навучыш	navutʂɨʂ
навучыўся	navutʂɨwsja
навушнікі	navuʂnʲikʲi
навык	navɨk
навыкам	navɨkam
навыкі	navɨkʲi
навысціжкі	navɨstsʲiʂkʲi
навязаным	navjazanɨm
навязаць	navjazatsʲ
навязванне	navjazvanʲːe
навякі	navʲakʲi
навяло	navʲaɫo
навясных	navjasnɨx
навідавоку	navʲidavoku
навін	navʲin
навіна	navʲina
навінкай	navʲinkaj
навіны	navine
навіны	navʲinɨ
навіцкі	navʲitskʲi
нага	naɣa
нагавіцы	naɣavʲitsɨ
нагадаем	naɣadaɛm
нагадаў	naxadau̯
нагадвае	naɦadvaʲe
нагайкі	naɣajkʲi
нагамі	noɣamji
нагарода	naɣaroda
нагляд	naɣlʲad
наглядам	naɣlʲadam
наглядаю	naɣlʲadaju
наглядна	naɣlʲadna
наглядным	naɣlʲadnɨm
нагоду	naɣodu
нагой	naɣoj
нагоніш	naɣonʲiʂ
нагою	naɣoju
нагружаць	naɣruʐatsʲ
нагрэву	naɣrɛvu
нагрэцца	naɦrɛtsːa
нагі	naɣʲi
нагінаць	naɣʲinatsʲ
над	nat
надавалася	nadavaɫasja
надаваць	natovatsʲ
надаваў	nadavau̯
нададзены	natadʲenɨ
надае	nadaje
надаем	nadaʲem
надакучыць	nadakutʂɨtsʲ
надалей	nadaʲːej
надалей	natalʲej
надам	nadam
надаў	nadau̯
надаў	natau
надвае	nadvaje
надвое	nadvoje
надвор'е	nadvorje
надвор'ю	nadvorju
надворак	nadvorak
надворка	nadvorka
надворкам	nadvorkam
надворкамі	nadvorkamʲi
надворках	nadvorkax
надворкаў	nadvorkau̯
надворку	nadvorku
надворкі	nadvorkʲi
надворнымі	nadvornɨmʲi
надзвычай	nakzvɨtʂaj
надзвычайных	nadzvɨtʂajnɨx
надзей	nadzʲej
надзейнасць	nadzʲajnasʲtsʲ
надзейны	nadzʲejnɨ
надзейным	nadzʲejnɨm
надзелы	nadzʲeɫɨ
надземныя	nadzʲemnɨja
надзець	nadzʲetsʲ
надзея	nadzʲeja
надзяваць	nadzʲavatsʲ
надзіва	nadzʲiva
надзіра	nadzʲiro
надкрылы	nadkrɨɫɨ
надлом	nadɫom
надоечы	nadojetʂɨ
надоечы	naduʲatʂɨ
надта	nʲatta
надта	rada
надуманых	nadumanɨx
надыдзе	nabɨdzʲe
надыдзе	nadɨdzje
надыходзяць	nadɨxodzʲatsʲ
надыходзячы	nadɨxodzʲitʂɨ
надышла	nadɨʂɫa
наем	naʲem
нажа	naʐa
нажамі	naʐamʲi
нажным	naʐnɨm
нажніцы	naʐnʲitsɨ
нажом	naʐom
нажы	naʐɨ
назад	nazat
назад	nazˈat
назаўсёды	nazau̯sʲodɨ
назаўтра	nazau̯tra
назва	nazva
назва	nazwa
назвай	nasvaj
названа	nazvona
названай	nazvonaj
названы	nazvanɨ
названыя	nazvanɨja
назваць	nazvotsʲ
назваў	nazvau̯
назвы	nasvɨ
наздра	nazdra
наземная	nazʲemnaja
назначаны	naznatʂanɨ
назоўны	nazou̯nɨ
назоўнік	nazou̯nʲik
называем	nazɨvaʲem
называла	nazɨvaɫa
называю	nazɨvoju
назірае	nazʲiraʲa
назіраецца	nazʲiraʲetsːa
назіральнік	nozʲeraɫʲnʲik
назірацца	naziratsːa
назіраць	nazʲiratsʲ
назіраюць	nozʲirajutsʲ
найболей	nojvoɫʲej
найбольш	nojpoɫʲʂ
найбольшую	najbolʲʂuju
найбуйнейшы	najpujnʲejʂɨ
найбуйным	najbujnɨm
найвышэйшы	najvɨʂɛjʂɨ
найгорш	najɣorʂ
найгоршы	najɣorʂɨ
найгоршых	najxorʂɨx
найдзюк	najdzʲuk
найлепш	najlʲepʂ
найлепшай	najlʲepʂaj
найлепшую	najlʲepʂuju
найлепшы	najlʲepʂɨ
найлепшых	najlʲepʂɨx
наймацнейшая	najmatsnʲejʂoʲe
наймаць	najmatsʲ
найменш	najmʲenʂ
найменшы	najmʲenʂɨ
найму	nojmu
найміт	najmit
найміты	najmʲidɨ
найстаражытнейшая	najstaraʐɨtnʲejʂɨja
наканавана	nakonavana
накараю	nakaraju
накладах	nakɫadax
накладкі	nakɫadkʲi
накладныя	nakɫadnɨja
наколькі	nakolʲkʲi
наконт	nakont
накручаныя	nakrutʂanɨja
накрывае	nakrɨvaʲe
накрылася	nakrɨɫasja
накрылі	nakrɨɫʲi
накрыты	nakrɨtɨ
накрытым	nakrɨtɨm
накрытыя	nakrɨtɨja
накрыць	nakrɨtsʲ
накрыўка	nakrɨwka
накшталт	nakʂtaɫd
накіданы	nakʲidanɨ
накінуць	nakinutsʲ
накіравалі	nakʲeravalʲi
накіравана	nakʲiravana
накіраваныя	nakʲiravanɨja
накіраваў	nakʲiravau̯
накірункі	nakʲirunkʲi
наладзілася	naɫadzʲiɫasja
належных	nalʲeʂnɨx
належу	nalʲeʐu
належыла	najlʲeʐɨɫa
належыць	nalʲeʐɨtsʲ
налепка	nalʲepka
налета	nˈaɭˈeta
налі	nalʲi
наліваць	nalʲivatsʲ
наліты	naɫʲitɨ
налічвае	nalʲitʂvaʲe
налічвала	nalʲitʂvaɫa
налічваць	naɫʲitʂvatsʲ
нам	nam
нама	nama
намазоляць	namazolʲatsʲ
намалявалася	namalʲavalasʲa
намалявана	namalʲavana
намаляваныя	namalʲavonɨja
намаляваць	namalʲavatsʲ
намер	namʲer
намераны	namʲeranɨ
намерах	namʲerax
намерваліся	namʲervaɫʲisja
намеры	namɛrɨ
намечаных	namʲetʂanɨx
намурованая	namuravanaja
намучыць	namutʂɨtsʲ
намёк	namʲok
намі	namʲi
намібія	namʲibʲija
нанава	nanava
нанава	nanavam
наняліся	nanʲaɫisja
наогул	naoɣuɫ
напад	napat
нападам	napadam
нападаць	napadatsʲ
нападаючы	napadajutʂɨ
нападкі	nɔpadki
нападнік	napadnʲik
нападніка	napadnʲika
нападу	napatu
напады	napatɨ
напальваць	napolʲvatsʲ
напамін	napamʲin
напарстак	naparstak
напасці	napasʲtsʲi
напаткае	napatkaʲe
напаткала	napatkaɫa
напаткаю	napatˈkaju
напаткаў	napatkao
напачатку	napatʂatku
напаўголасу	napau̯voɫasu
напекчы	napʲektʂɨ
наперад	napjera
наперад	napʲerat
наперадзе	napʲeradzʲe
наплываць	napɫɨvatsʲ
напляваць	naplʲavatsʲ
напоем	napoʲem
напой	napoj
напоперак	napopjarag
напор	napor
напорам	naporam
напою	napoju
напоямі	napoʲamʲi
напоі	napoʲi
напоі	napoˈɣi
напоўненая	napou̯nʲenaja
направа	naprava
напрала	napraɫa
напрамкаў	nopramkau̯
напрамку	napramgu
напрамкі	napramkʲi
напрамую	napramuju
напрацягу	napratsʲaxu
напроці	naproʲtsʲi
напружанай	napruʐanaj
напружанасць	natruʐanaztsʲ
напружання	napruʂanʲːa
напружаную	napruʐanuju
напружаных	napruʐanɨx
напрыканцы	naprɨkantʂɨ
напрыклад	naprɨkɫat
напужала	nopuʐaɫa
напэўна	napɛu̯na
напярэдадні	napʲarɛdɐdʲːi
напяты	napʲate
напісана	napʲiʂona
напісанне	napʲiʂanːʲe
напісаны	napʲiʂanɨ
напісаных	napʲiʂanɨx
напісаныя	napʲisonɨja
напісаць	napʲisatsʲ
напіцца	napitstsa
напішу	nopʲiʂu
нар	nar
нара	ara
нара	nara
нарабілі	narabʲiɫʲi
наравіцца	naɾavʲitstsa
нарад	narad
нарада	narada
нарада	naraːda
нараджаць	naradʐatsʲ
нараджэнне	naradʐɛnʲːe
нараджэння	naradʐɛnnʲa
нарадзілася	aratsʲiɫasja
нарадзілі	naradzjilʲi
нарадзіліся	maradzʲiɫʲisja
нарадзіць	naradzʲitsʲ
нарадзіўся	naradzʲiwʂja
нарады	noradɨ
наракаем	narakaʲem
наракай	narokaj
наракаць	narakatsʲ
нарастанне	narastannʲe
нарастуць	narastutsʲ
нарах	narax
нарачоная	naradʐonaja
нарачоны	naradʐonɨ
нарваўся	narvawʂja
нарвегія	narvʲeɣʲija
нарвежскі	narvʲesːkʲi
нарвэгія	narvɛɣʲija
нардом	nardom
наркозу	narkozu
наркотык	narkotɨk
наркотыкамі	narkotɨkamʲi
нармальна	normalʲna
нармальную	normaɫʲnuju
нармальны	narmalʲnɨ
нармальнымі	normaɫʲnɨmʲi
нармандскай	narmantskaj
нарманы	narmanɨ
народ	narot
народа	norodo
народам	narodam
народамі	narodamʲi
народжаны	narotʂanɨ
народзе	narodzʲe
народзе	narodzʲːe
народнай	narodnaj
народны	narodnɨ
народным	narodnɨm
народнымі	narodnɨmʲi
народных	narotnɨx
народныя	norodnɨja
народу	norodu
народы	narodɨ
нароўні	norou̯nʲi
нарты	nartɨ
нару	naru
нарцыс	nartsɨs
нарцысы	nartsɨsɨ
нары	narɨ
нарыс	narɨs
нарыса	narɨsa
нарысаваць	narɨsavatsʲ
нарысы	narɨsɨ
нарыхтоўкі	narɨxtou̯kʲi
нарэшце	narɛsʲtsʲe
нас	nas
насам	nasam
насамрэч	nasamrɛtʂ
насамрэч	nasamrɛtʃ
насамі	nasamʲi
насарог	nasarox
насах	nasax
населены	nasʲelʲenɨ
насельнік	nasʲelʲnʲik
насельнікі	nasʲelʲnʲikʲi
насельніцтва	nasʲelʲnʲitstva
насеннае	nasʲennaʲa
насенне	nasʲenʲːe
насенных	nasʲennɨx
насеннік	nasʲenʲːik
насеньне	nasʲenʲːe
наследнага	naslʲednaɣa
насмешлівы	nasmʲeʂlʲivɨ
насок	nasok
насоў	nasou̯
наспех	naspʲex
наста	nasta
настачка	nastatʃka
настаў	nastau
настаў	nastau̯
настаўнік	nastau̯nʲik
настаўнікі	nastau̯nʲikʲi
настаўніца	nastau̯nʲitsa
настойвае	naʂtojvaʲe
настойваць	nastojvatsʲ
настойліва	nastojɫʲiva
настойнай	nastojnaj
настолькі	naʂtoɫʲkʲi
настрой	nastroj
настругваць	nastrugvatsʲ
наступ	nastup
наступае	nastupaʲe
наступальны	nastupalʲnɨ
наступнае	nastupnae
наступная	nastupnaja
наступная	nastupnaʲe
наступны	nastupnɨ
наступны	naztɔpnɨ
наступным	naztupnɨm
наступных	nastupnɨx
наступства	nastupstva
наступстве	nastupstvʲe
насуперак	nazupjarak
насцярожанасць	nastsʲaroʐanosʲtsʲ
насці	nasʲtsʲi
насы	nasɨ
насыпах	nasɨpax
насыпы	nasɨpɨ
насычаецца	nasɨtʂaʲetstsa
насычаны	nasɨtʂanɨ
насычаным	nasɨtʂanɨm
насякомае	nasjakomaje
насякомае	nasʲakomaje
насякомымі	nasʲakomɨmʲi
насякомых	naʂjakomɨx
насялялі	nasjaljaɫʲi
насіліся	naʂʲiɫʲisja
насіць	nasʲitsʲ
наталка	natalka
наталля	natalʲːa
наталька	natalʲka
натапырыць	natopɨrɨtsʲ
нататак	natatak
нататнік	natatnʲik
натоўп	natou̯p
натоўпы	natowpɨ
натрапіць	natrapʲitsʲ
натур	natur
натуру	naturu
натхненне	natxnʲenʲːe
натхненне	nʲotxnʲennʲe
натхнення	natxnʲenʲːa
натхняй	nadxnʲaj
натхнёна	nadxnʲona
натхнёны	nadxnʲonɨ
натхніла	natxnʲiɫo
натхніць	natxnʲitsʲ
нафта	nafta
нафтавай	naftavaj
нафтавы	naftovɨ
нафтавікі	naftavʲikʲi
нафтараспрацоўка	naftarazpratsau̯ka
нафтасховішча	naftosxovʲiʂtʂe
нафту	nafto
нафту	naftu
нафты	naftɨ
нахабны	naxadnɨ
нахілу	naxʲiɫu
нацызм	natsɨzm
нацызм	natsˈizm
нацыю	natsɨju
нацыя	natsɨja
нацыяй	natsɨjaj
нацыянальная	natsɨjanaɫʲnaja
нацыянальны	natsɨjanalʲnɨ
нацыянальныя	natsɨjanalʲnɨja
нацыяналізм	natsɨjanalʲizm
нацыяналістычныя	natsɨjamolʲistɨtʂnɨja
нацыі	naʲtsɨʲi
нацярушаная	natsʲaruxʂanaja
націск	natsʲisk
націскам	naʲtsʲiskam
націсніце	nʲatsʲisʲːitsʲe
начаваць	natʂavatsʲ
начальнік	natʂaɫʲnʲig
начальнік	natʂojɫʲnʲik
начамі	natʂamʲi
начарціць	natʂartsʲitsʲ
начах	natʂax
начлег	natʂlʲex
начная	natʂnaja
начнога	natʂnoɣa
начной	natʂnoj
начны	natʂnɨ
начным	natʂnɨm
начных	natʂnɨx
начныя	natʂnɨʲa
начы	natʂɨ
начынкі	natʂɨnʲːi
начыння	natʂɨnʲːa
начэй	natʂɛj
наш	naʂ
наша	naʂa
нашага	nasago
нашай	nasaj
нашаму	naʂomu
нашая	naʂaja
нашкодзіў	maʂkotsʲiu̯
нашую	naʂuju
нашча	naʂtʂa
нашчадак	naʂtʂadak
нашчадак	naʂtʂaɫak
нашы	naʂɨ
нашым	noʂɨm
нашых	naʂɨx
нашыя	nasɨʲa
нашэнне	naʂɛnʲːe
нашэння	nasɛnnʲa
наяўны	najau̯nɨ
наяўныя	naʲːau̯nɨja
наёмнік	naʲomʲːig
наўкола	naukoɫo
наўмысны	nau̯mɨsnɨ
наўпрост	nau̯prost
наўпрост	nɛwprost
наўрад	nau̯rad
не	nʲe
неабавязкова	nʲeabɨvjazkova
неабачліва	nʲaabotʂɫʲiva
неабвержны	nʲeabvʲerʐnɨ
неабходная	nʲeabxodnɨja
неабходны	nʲeapxodnɨ
неадкладны	nʲeatkɫadnɨ
неаднаразовыя	nʲaadnarazovɨja
неаднолькавыя	nʲaadnoɫʲkovɨja
неадым	nʲaadɨma
неба	nʲeba
неба	nˈeba
небагатыя	nʲebaɣatɨja
небам	nʲebam
небарак	nʲebarak
небараку	ʲːeparaku
небаскроб	nʲebaskrop
небасяг	nʲebasʲax
небяспека	nʲebʲasʲpʲeka
небяспечны	nʲebʲasʲpʲetʂnɨ
невукаў	nʲevukau̯
невымоўны	nʲevɨmou̯nɨ
невыносныя	nʲavɨnosnɨja
невычэрпны	nʲevɨtʂɛrbnɨ
невядома	nɛvʲadoma
невядома	nʲevʲadoma
невядомай	nʲevjadomaj
невядомасць	nʲavʲadomastsʲ
невядомую	nʲevʲadomuju
невядомы	nivadomɨ
невядомымі	nʲevjatomɨmʲi
невядомыя	nʲevʲadomɨja
невялікая	nʲevjaɫʲikaja
невялікая	nʲevʲaɫʲikaja
невялікі	nʲevjaɫʲikʲi
невялікія	nʲevjaɫʲikʲija
невідушчы	nʲavʲiduʂtʂɨ
негр	nʲexr
недаараны	nʲedaorani
недабор	nʲidabor
недавер	nʲadavʲar
недакінуў	nʲatakʲinuu̯
недаляцеўшы	nʲadalʲatsʲsʲeu̯ʂɨ
недамагаць	nʲadamaɣatsʲ
недарма	nˈedˈorma
недарэмна	nʲedarɛnna
недарэчным	nʲedarɛtʂnɨm
недасекаў	nʲadasʲekau̯
недастатковы	nʲedastatkovɨ
недахоп	nʲedaxop
недахопу	nʲedaxopu
недзе	nʲetsʲe
недзе	nˈedzjɛ
недзелавы	nʲezjelavɨ
незадаволена	nʲazadovolʲena
незалежна	nʲezalʲeʐna
незалежнасць	nʲezalʲeʐnasʲtsʲ
незалежны	nʲezalʲeʐnɨ
незаменны	nʲezamʲenːɨ
незаўважаная	nʲazau̯vaʐanaja
незвычайнай	nɛzvɨtʂajnaj
незвычайная	nʲezvɨtʂajnaja
незвычайная	nʲezvɨtʂajnaʲe
незвычайны	nʲezvɨtʂajnɨ
незвычайным	nʲezvɨtʂajnɨm
нездаровілася	nʲazdarovʲiɫasja
нездаровіцца	nʲazdarovʲatstsa
незнарок	nʲeznaruk
незнаёмая	nʲeznʲaʲomaja
незнаёмец	nʲeznajomʲets
незнаёмы	nʲaznajomɨ
нейк	nʲejk
нейкага	nʲejkago
нейкае	nʲejkaja
нейкае	nʲejkaʲe
нейкай	ʲːejkaj
нейкая	ʲːejkaja
нейкую	nʲejguju
нейкі	nʲejkʲi
нейкі	nˈejki
нейкія	nʲejkaja
нейкія	nʲejkʲija
неймаверна	nʲejmajvʲerna
неймавернасць	nʲajmaʲːernastsʲ
нейтралізацыя	nʲejdraˈlʲizatsɨja
нейтралізацыя	nʲejtralʲizatsɨja
нейтралітэт	nʲejdraɫʲitɛd
нейтроны	nʲejtronɨ
некалькі	nʲekalʲkʲi
некалькім	nʲekalʲkʲim
некалькімі	nʲekalʲkʲimʲi
некалькіх	nʲekalʲkʲix
некаму	ʲːekamu
некаторы	nʲekatorɨ
некаторых	nʲekatorɨx
некрануты	nʲekranutɨ
некранутым	nʲekranutɨm
некрытычны	nʲekrɨtɨtʂnɨ
нектарам	nʲektaram
нектарныя	nʲektarnɨja
некуды	nʲekudɨ
нельга	nʲelʲɣa
нема	nʲema
немагчыма	nʲemaktʂɛma
немагчыма	nʲemaktʂɨma
немалыя	nʲemalɨja
немарач	nʲamaratʂ
немач	nʲematʂ
немачы	nʲematʂɨ
немаўля	nemaula
немаўля	nʲemau̯lʲa
немаўлятка	nʲamau̯lʲatka
немаўляткі	nʲamau̯lʲatkʲi
неменчын	nʲamʲenʂɨn
немец	nʲemʲets
немка	nʲemka
немку	nʲemku
немкі	nʲemkʲi
немца	nʲemtsa
немцам	ʲːemtsam
немцы	nʲemʲtsɨ
немым	nʲemɨm
немянчын	nʲamjantʂɨn
ненавідзець	nʲenavʲidzʲetsʲ
ненавідзець	nʲenavʲidzʲitsʲ
ненавісны	nʲenavʲisnɨ
ненадзейны	nʲenadzʲejnɨ
непадпарадкаванне	nʲepatparaskavannʲa
непазбежны	nʲepazʲbʲeʐnɨ
непазбыўная	nʲepazbɨu̯naʲa
непазычанасць	nʲepaʐɨtʂanastsʲ
непакорлівы	nʲepakorlʲivɨ
непал	nʲepaɫ
непамернаю	nʲepamʲernaju
непанадна	nʲepanadna
непараўнальна	nʲeprau̯naɫʲna
непаслушэнства	nʲepasɫuʂɛnstva
непасрэдны	nʲepasrɛdnɨ
непасрэдных	nʲepasrɛdnɨx
непасціжны	nʲepasʲtsʲiʐnɨ
непераадольны	nʲepʲeradolʲnɨ
непераборлівая	nʲepʲeraborlʲivaja
неперакладальны	nʲeprakɫadaɫʲnɨ
неплацельшчык	nʲepɫoʲtsʲeɫʲʂtʂɨk
непрыемнай	nʲeprɨʲemnaj
непрыкметна	nʲeprɨxmʲadna
непрыкметныя	nʲeprɨkmʲetnɨja
нептун	nʲeptun
нептун	nˈeptˈum
неразумна	nɛrazumna
неразумнае	nʲrazumnaʲe
нерат	nˈerat
нерв	nʲerv
нерва	nʲerva
нерваваць	nʲervovatsʲ
нервах	nʲervox
нервовай	nʲervovaj
нервовая	nʲervovaja
нервовую	nʲervovuju
нервовы	nʲervovɨ
нервовым	nʲervovɨm
нервовымі	nʲervovɨmʲi
нервовых	nʲervovɨx
нервы	nʲervɨ
нерон	nʲeron
нерпы	nʲerpɨ
нерухома	nɛruxoma
нерухомы	nʲeruxomɨ
нерухомыя	nʲerukˈomɨja
нескланяльныя	nʲeskɫanʲaɫʲnɨja
несла	nʲesɫa
