a	a˧˧
juan	˥uɑn
juárez	ɟɨ˨ʌ˧jɛ˥w˦
juarez	ɟwə˨zɛ˥
juàrez	ʔɨə˧
juarista	ɟwɑː˨˩jʃtɑː˨˧
jubilee	˨ʒu˧˥bi˩˨
jubjub	ɟʊp˨˧
juda	dʑuɑ˥
judah	˨ɟɨə
judar	ɟɨ˧˥
judas	˨u˩˧da˨
judd	dʌt
judea	˥dɨə
jude	dʌ̀
judeisi	dʌj˧˥˧dʌj˧˥
judge	ɟʊt
judgement	˨ʔu˧ʔdʒə˥mɛnt
judges	ɟʊt˧
judgey	ɟʊt˥
judgment	˨ʔu˥ɗʰə˧mɛnt
judi	ɟu˧˥di˨
judith	˨u˧di˨t
judit	˨u˧ʔ˥iʔ˨t
judo	dʑo˧˥
judson	dʒʊdʰsɔn
judy	˨u˧ɗi
juérez	˨uə˧ʔ
jugular	ɟu˨˩ɣa˨˧la˥
juhani	ɟu˨ha˧ni˥
juhu	ɟʊ˨˩
juice	˨uːj˧
juicy	˨uːj˧˥
juilliard	ʒɯj˥˩lɑːj˧
jujitsu	dʑu˨dʑi˧˥tʰu˨
juju	˨˧ɟu
jujuy	˨˧ʔuʔ
jujyfruits	ɟwɟʔ˧fɹɯt
ju	ɟu
jữ	ɟɯ˧
jukebox	˨u˧kɛ˥bɔ˧k
jukkalan	duk˧kaːn˨
jule	ɟule
julep	zʊlɛp
jules	jʉl˧
juliana	julianadʑu˨˩li˨˨a˧˥na˨˩
julian	ɟulɪən
julianne	jʉlɪən
julia	ʒu˧˥li˧˨a˧˥
julienne	˨ʒu˧˥li˩˧ɛn
julien	ʒu˧˥li˧˥en˧˥
juliet-5-bravo	dʑu˧˥li˧˥et˧˥fa˧˥braʊ˧˥
juliet-mike-21	ʒu˩li˧˥et˩maɪ˧˥kə˧˥ɲu˥˩
julietta	jʉliɛt˧˥
juliette	ʒu˨li˧˥˧e˧˥t
juliet	ʒu˧˥li˧˥et˧˥
julie	ʒu˨li˧
julii	ʒu˨˩li˨˧
julio	˨ʒu˧˥li˧˥o˧˥
julius	dʑu˧˥li˧˥u˧˥
jullana	jʊl˧˥lɑ˨
julliard	˨ʒu˨˩li˨aː˨˧ɾ
julot	˨u˧˥lɔt
julysnow	jʉ˧li˧snoʊ˧
july	ʒuʎ˧
jumanji	ʒu˩ma˧˥ni˧
jumbojohnson	˨˧ʔu˨˧mo˨˧ʔoʊ˨˧ʔoʊn˨˧
jumbo-pop	ʒʌm˥bɔ˧pɔp˥
jumbo	ʐum˧˥
jumby	ʐum˧˥
jumieges	ʒu˨˩˦me˧˥kɛ˧˥
jumper	˨um˧pɛ˥
jumping	˨ʈʊm˥ŋ
jumpship	jʌm˧ʃɪp˩
jump	ʈʊm˧
junction	ɟun˧kʰwən˨
juneau	˨u˧n˥e˧u
june	˨uːn
juney	ɟwnei˧
jung-gu	dʑʊŋ˧gʷu˨
jungler	dʑʊŋ˧˥lɛ˧˥
jungle	˨ʔuŋ˧˥
jung	˨ʔʊŋ
junie	ɟu˧˥ni˨˩
junik	˥u˧ni˨k
juniors	˨˧wi˨˧n
junior	˨u˨ni˨aʊ
junius	˨u˧ni˨j˥
junju	˨u˧n˨u˧
junker	ʒʊŋ˧kɛ˨
junko	ɣwŋ˧
junkyard	jʌŋ˧jaː˧jɑː˥
junk	˥ʔuŋ
juno	jʊ̄n
jun	˨ʔuːn
jupe	ɟup˨
jupiter	dʒi˨˩wɪ˧˥tɛ˥
jurai	ʈwəj˨
jurassic	ʒu˩a˧ʈi˧k
jura	ʒuə˧
jurek	ʒʊ˨ʔ
jurgen	jʉ˧ʔgɛn
jürgen	ɟɨ̄˨kɨ̄˨n
jurgens	jɨ̄ɣən
jurina	ʒu˧˥ri˧˥na˧˥
jury	jʉ̀
jusef	˨u˧sɛf
just-a	ʔɨt˨
justicegirl	ʈɨ˨˩ki˨˧tɕi˨˩tɕɨ˨˩
justice	˨ʔu˧ʔti˧˥tʃe˧˥
justin	dʑin˧
justine	ʒystiːn
justinian	ʈɨ˧˥ʈi˩˧ə˧˥ni˧˥ən
justshake	dʒʊtʃʃɛk
just	˥tʃʊt
just	ʈɨʔ˥
justy	ʈɨ˨
jutt	ɟut˥
juuichi	ɟuːjʨi
juvenal	˨u˥vɛ˧nɑ˥l
juveniles	˨u˥və˧ni˦l
juvenile	˨u˧ve˧ni˥l
juventus	˥u˧wɛn˧t˥
juve	˨u˥vɛ
juvie	ɟwɪ̄
juvi	˨u˧ʋi
jvc	˥ʋe˧
jv	ɟʋ
jwa	ɟʷa
jw	jɔʊ˧
jw	ʒu
jyn	jɨn˧
jytte	jɨ̆t˥
k0	kɔ˧
k-12	kɔ˨˩˨
k-2	kɔ˧
k2	kɔ˧
k-9-2-1	kə˥kə˧nɨ˩kə˧˥i˥
k-9	kɔʔ
kaa-san	kaːsan
kabala	kaba˧la˧
kabbalah	kaʔ˥baː˧laː˥
kabir	kabɨ̀
ka-boom-boomerang	kɑ˥boːm˧boːm˧rɛɑŋ˥
kaboom	kɑ˧˥bɔː˨˩m
kabubble	kabubblekɑ˧˥bʊp˨˩
kabu	kɑ˧bɨ˨
kabuki-cho	ka˨bu˧ki˥ço˧
kabuki	kabuki
kabul	ka˨˩bu˨˨
kacee	kɛ˧˥
ka-ching	ka˧tʃiŋ˥
kaczynksi	kɑːtɕɨ̄nki
kaczynski	kɑːtɕɪ̄nski
kadaj	kadɑj
kadam	kadam
kadesh	kâdeʃ
kadir	kadɨ̀
kadoiri	kadɔ̀j
kadokawa	kadokawa
kady	kɑ˧ʔdɨ˨
kaecilius	kɛ˧˥tʃi˧˥lɨ˩
kael	kaːl
kaena	kɛ̄n
kaeng	kɛɲ˧
kaeru-san	kaɛ̰ruːsan
kaffee	kɑːfɛ̌ː
kafir	kafɪ̄
kafkaesque	kaːfɑː˧˥sɛk
kafka	kɑfɑ
kafl	kɑːf
kagayaku	kagajaku
kagira	ka˨ɣi˧ra˥
kagome	ka˧ɣo˨me˧
kagoshima	ka˧go˨si˧ma˥
kaguya	ka˨gu˧ja˥
kahani	kʰaʔaːni
ka-hee	kə˨hɛ˧
kah	kʰaː˧
kahlan	kaːlɑn
kahlua	ka˨lu˧ə
kahmunrah	kʰaːm˧˥nɨ˨˩
kahndaq	kʰaːŋ˧˥daː˨˩
kah-nee-lah	kʰa˨ne˧la˥
kahn	kaɲ˧
kah-nuh-ahm-dahr	kʰa˨na˧ʔaː˨mɗaː˧
kahr	kʰaː˧˥
kahuna	kʰaʊ˧˥na˧˥
kaibiles	kaɪ˧˥bi˧˥le˧˥
kaidi	kaɪ˧˥di˨
kaidu	kaɪ˧˥du˨
kaifi	kâifī
kaiju	kâjʊ
kai	kaɪ˨
kail	kɑɪ˧˥
kainan	kɑɪ˧˥n
kaintuck	kɑɪn˧˥tʊk
kaisa	kaje
kaisei	kɑj˧˥sɛj˧˥
kaise	kaɪ˧˥sɛ˧˥
kaiser	kaɪ˨sɛ˥
kaiten	kɛːt˨˩
kaitlyn	kaɪ˨tɨn˨
kaito	kaɪ˧˥toʊ˨
ka	ka˧
kà	ka˧
ḱa	ka˥
kaka	kaka˧
kakarot	ka˨ka˦ro˧t˥
kakarrot	ka˨ka˦˥rɔt˨˩
kă	kɑ˧
kå	kɑ˧
kä	kɑ˥
kakie	ka˨˩ki˦
kaki	kàki
kakushite	kɑ˧˥kɯ˧˥ʂi˧˥tɛ˧˥
kakuzen	ka˨˩ku˧˥zen˥
kalabi	ka˧˥la˨˩bi˧
kalahari	ka˨la˧ha˨ri˧
kala	kàla
kalakeya	kəlaːkʰiə
kalarjian	kalarʒiɛn
kalashnikov	kalaʃnikɔf
kalba	kɑl˧˥bɑ˨
kal-el	kɑl˧˥˩ɛl
kalen	ka˨˩lɛn˧
kalenkor	kɑlɛŋkɔ
kalenkov	kə˨˩lɛn˧˥kɔ˥ʔ
kalf	kɑlf˧
kalfus	kalfus
kalgoorlie	kɑːlguːli
kaliari	kaliari
kalie	ka˧˥li˨
ka-li	ka˨li˧
kali	kàli
kalima	kə˧˥li˧˥mə˧˥
kalimba	ka˨li˧mba˥
kalique	ka˧˥li˧˥kwe˧˥
kalishkanov	kaliʃkaːn
kal	kɑl˧
kalloor	kɑːl˧˥lɔː˧˥
kalokairi	kalo˨kai˧ri˥
kalsai	kɑl˧˥saj˧˥
kaluga	kə˧˥lu˨ga
kaluza	ka˨lu˧za˥
kalvin	kaːlʋɨn
kamaji	kə˧˥ma˧˥ji˧˥
kama	kama˧
kamala	kə˧˥mələ˩
kamal	ka˨ma˩l˧
kamar-taj	kamaː˨taː˧
kamasutra	kəmaːsuːtra
kamata	kə˧˥mətə˩
kamchatka	kə̌mtʃʰatka
kame	kəː˧˥mɛ˧˥
kamê	kə˧˥mɛ˧˥
kami	ka˨mi˨
kamikaze	ka˨mi˧ka˨ze˥
kamikazes	ka˨mi˧ka˨zɛ˥
kamila	kə˧˥mɪ˧˥lə˧˥
kamilla	kə˧˥mɨ˩˧
kaminaka	kaminaka
kaminski	kə˧˥mɪn˨˩ski
kaminsky	kə˧˥mɪn˨˩ski
kamio	kə˧˥mɨ˩˧
kamio-san	ka˨mi˧ɔ˨san˥
kamiya	ka˧mi˧a˧
kam	kaʔ
kamlui	kɑm˧lɨ̯˩
kam-lui	kɑm˧lɨj˨
kammo	kɑː˧˥mɔ̰˨˩
kampai	kæm˧˥bai˧˥
kampala	kæm˧˥bala˧˥
kampf	kæmʔ
kamp	kɑmp
kamran	kəːm˧ʔrâːn˨˩
kamria	kə˨ma˨ri˧ə˥
kanae	kanae˧
kana	kana˧
kanan	kànaːn
kanbo	kãːnʔɔ̰
kandage	kaŋ˧˥daː˨˩ke˧˥
kandahar	kaːn˨˩daː˨˩
kandarian	kaːn˧˥daː˨˩liən˧˥
kandor	kãːŋ˧ʔtɔː˨˩
kane	kɑn˧˥
kanemaru	kə˧˥nə˧˥mɐ˧˥
kanga-man	kãːŋ˧maːn˧
kangaroo	kaŋ˧a˨lu˦
kang-hee	kaŋ˧˥hi˧˥
kang	kã
kăng	kɑ̆ŋ
kang-reshman	kɑŋ˧ʔrɛʔ˧ʔmɑn˧
kang-sook	kɑːŋ˧suːk˨
kangu	kãŋʔu˧
kanguru	kaŋ˧˥gu˨˩ru˧˥
kanhaiyya	kʰaːnʰaɪjʰaː
kanha	kãnhă
kaniel	kə˨ni˨əl˨
kanine	kāːnīn
kanin	kə˨˩ni˨˨
kanjar	kãɲ˧ʔ
kanji	kəɲ˧˥ʒi˨
kankakee	kãŋkãkɛ̀
kan	kän
kanon	kàːnɔ̰n
kanpai	kãːŋbaɪ
kanryu	kãːnʌɪ
kansas	kaːn˧˥saː˧˥
kansas	kʰaːn˧˥
kansky	kãːn
kanta	kãnta
kant	kɑ̆n
kantmiss	kãːn˧ʔmɨ˨˩
kanto	kãʔ˧toʔ˨
kantor	kãʔn˧ʔtɔ˥
kantos	kãːn˧˥tɔˀ˧˥
kanuthia	kə˧˥nʊ˨˩θiə˧˥
kanye	kʲɛ˧˥
kanzaki	kã˧˥n˨˩ʔzaː˧˥ki˧˥
kanzin	kãʔʈin
kao	kaʊ˨
kaori	ka˧o˨i˩
kaoru-chan	kɑw˧˥rɔ˨˩
kaoru-dono	kaɔ˧ru˨do˧˥no
kaoru	kɑu˧˥rʊ˧˥
kaoru-san	kaɔ˧ru˨saɲ˥
kaos	kɑw˧
kaowao	kaɔ˧wɑɔ˨
kapanay	kəpənaɪ˧
kapatek-anahuac	kapateʔʔanawak
kapelput	kəpɛlput
kapeniak	ka˨pe˧ni˨a˥k
kaplan	kəpɫɑn
kapok	kəpɔk
kapoor	kəpɔ̄
kaposi	kəpɔj˧
kappa	káppa
kappara	kʰa˧˥pːa˧˥
kappel	kap˧˥
kapp	káp
kaprugina	kə˨prʊ˨˧gi˨˦nə˥
kaputnik	ka˨pu˨˧tɨk
karaboudjan	kə˨ra˧bou˥˧dan˨
karachi	ka˨ra˧ki˧
karacule	kə˨ra˧tʃu˥lɛ˧
karadjov	kəraʔdʑɔʊ
karai	kàrai
kara	kɑ˧˥ɹɑ˧
karaki	kə˧˥ra˧˥ki˧˥
karakorum	kə˧ɹa˧ko˧˨u˧˥m
karaku	kə˧ɹa˨˩kʊ˧
karamel	karamɛl
karam	karam
karanergiz	ka˨ra˧ne˥gi˧
karan	kə˨ʔaːn˨˩
karaoke	kɑ˧ɹɑː˥wɛ́k
karasuma	kə˧ra˨˩su˧ma˥
kara-tea	ka˧la˥te˧
karate	kə˨ra˧te˥
karat	kə˧˥rət
karazhan	ka˨ra˧ja˥n
kardashian	ka˨da˧ʃi˥ən
kareem	ka˨˩ri˨˧m
karelia	kə˧˥liə˧˥
karen-chan	ka˨ren˧tʃaːn˥
karenina	ka˧˥re˧˥ni˧˥a
karenin	kə˨˩rɛn˧˥
karen	kɑː˧˥rɛn˧˥
kargykistan	kɑː˨gɨ˧kɨ˨tɛn˧
karhold	kɑː˨ʔlɔː˨˩
kariba	ka˧ri˨ba˧
karim	ka˨˩ri˨
karina	kə˨ri˧nə˥
karine	ka˨ri˧ne˥
karin	ka˨ri˧n
kar	kaː˧
karkaroff	kɑ˧˥kɑ˧˥
karla	kɑːl˧
karlenko	kɑːlɛ̄ŋ
karlenkor	kaːlɛŋkɔː
karl-frederik	kɑːl˧fɾe˧˥dɛ˧˥k
karlin	kɑːlɪ̄n
karl	kɑːl
karloff	kɑːlɔ̄f
karlovitch	kɑːlɔ̄vɪ̄t
karlsen	kɑːl˧˥sɛn˩
karlstadt	kaːlʃat
karma	kɑː˨˩ma˨˨
karma-kun	kɑː˨ma˧kʰuːn˨
karna	kɑːn˧
karnak	kəːnɑːk
karn	kɑːn˧
karo	kɑː˧˥rɔ˨
karolin	kə˧˥lɔ˧˥jɪn˧˥
karol	kə˧˥l
karoo	kɑː˧˥rɔː˨
karoon	kɑː˨˩rɔː˧˥n
karos	kàros
ka-rown	ka˧ʔɹɔn
karp	kɑːp
karpof	kɑːpɔ̰f
karpov	kɑːpɔ̄ʊ
karstark	kɑːr˧˥stɑːk˧˥
karte	kaː˨˩te˩
karting	kaː˨˩˦tiŋ˥
kart	kaːt
karuata-uara	ka˧ru˥a˩ta˧u˧a˧
karzai	kɑː˧˥ʐaɪ˧˥
kasam	kə˨saːm˧
kasey	ka˨se˦
kasha	ka˧ʃa˨
kashavsky	kaʃaksʰ
kashi	kʰaːʔ˧
kashiwada	kaʃiwaː˧ðaː˥
kashiwagi	kaʃiwagi
kash	kɑʔ
kashkin	kaʃkin
kashmir	kaʃ˥mi
kashwak	kaʃʋak
kasic	kɑː˧˥sɪk˦˥
kasie	kâsɪ̄
kasim	ka˨˩sim˧
kaskida	kɑː˨˩sɪ˨˧ɗɑː˨˧
kasnia	kâsniə
kasnian	kâsniǎn
kasov	ka˨˩so˨˧v˨˩
kaspar	kɑ˧˥sɑ˧˨pɑ˧˥
kasper	ka˨˩ʔsɛ˨˧
kassar	kɑ˧˥sɑ˧˥
kasselbach	kɑ˧˥sɛ˧˥lɑ˧˥bɑ˧˥
kassel	ka˨˩˧
kasshin	ka˨ʃɪn˧
kassim	ka˨˩si˨˧
kastrobascilla	kastrobascillakâː˨˩˦tɹɔ˨˩˧bɐː˨˩˦sɪ˨˩˦kɨ˨˩˦
kasyanov	ka˨sja˧naw˥
katakana	ka˨˩ta˨˩ka˨˩na˨˩
katana	ka˨˩ta˨˧na˨˩
katanga	ka˧˥ta˨ŋa˧
katara	ka˧˥ta˨˩ra˧
katarina	ka˨˩ta˨˩ri˧˥na
katas	ka˨˩ta˨˨
kataware-doki	kətaʋɛː˩do˧ki˧
katayanagi	ka˨˩ta˨˧ja˨˧ŋi˨
katczinsky	kaʔtɕɪ̄n˨˧ʃi
kate	kɑt˧
katelbach	kɑtɛlbaʔ
katelin	ka˨˩te˨˩lin˧
katerina	ka˨˩te˧˥ri˧˥ə˧˥
katey-kakes	ka˨te˩ke˧
katey	kɛ˧˥tʰɛ˧˥
katharine	ka˨te˧ri˦n
katherine	ka˧te˩ri˧ne˥
kathie	kaʔ˧ʔ
kath	kath˧
kathleen	kaʔ˥tʰiə˧˥lɛn˧
kathmandu	kaʔm˥n˧ɗu
kathos	kathoskɑ˨˩toʊ˨˧
kathryn	kaʔtʰjɛn˧
kathy	kaʔ˧
katia	ka˨˩tiə˨˧
katib	kàtiʔ
katiee	ka˨ti˦e˧
katie	ka˨ti˧
katiekins	ka˨ti˩kin˧
kati	ka˨˩ti˨
katina	ka˧˥ti˨˩na˧˥
katiusha	ka˨˩ti˧˥u˧˥sa˧˥
katja	kaʔ˧ʔjaʔ˧ʔ
kat	kɑt˧
kät	kɛ̀t
katlyn	kɑːt˨lɨn˨
katnip	katnip
katniss	katnɪs
kato	ka˨to˧
katou-gumi	katoʊ˨gu˨mi˨
katra	kâtra
katrina	kə˧˥tɾi˨˧nə
katrine	ka˨˩tri˧˥ne˩
katsin	kat˧ʂin
katsuhiko	kɑt˧sɯ˨hi˧ko˥
katsu	kaʔtʰu
katsumi	kaʔ˧tɯm˨
katsumoto	ka˨˩to˨˧mo˨˨to
katsushiro	kɑtʃɨ˧ʂɨ˥ɾɔ
kattappa	kɑ˧˥tɑ˨˩pɑ˧˥
kattegat	ka˨˩te˧˥ga˨˩t
katya	ka˧˥ta˨˩
katy	ka˨˩te˩
katyn	kàtiǵ
katyusha	kə˨˩tʰɨ˨˧jə˨˧
katzenjammers	kɑ˨tɛ˧ŋʒɑ˥mɛ˧
katz	kɑʔ
kaufman	kɔːf˧man
kau	kau˧
kaulder	kau˧ldɜ˨
käutner	kɔut˧nɛ˥
kava	ka˧˥va˨
kavanagh	ka˨va˧na˥ga˧
kaveh	kaʋeʔ
kavendish	kaʋɛ̀j
kavita	kə˨ʋiə˨˧ta˨
kavkaz	kaʋkɑːʋ
kawaguchi	kɑwɑkɯtʃi
kawai	kawai˧
kawaishi	kəwɑj˧
kawaji	kɑwɑj˧
kawa	kɑ˧ʔwɑ˨
kawao	kɑwɑːw
kawasaki	kəwɑsəki
kaya	ka˨a˦
kayak	kajaʔ
kayano	kajaːno
kayexalate	kɛ˧˥jɛ˧˥lɛ˧˥t
kay	kaɪ˧
kayla	kɑɪ˧˥lɑ˨
kaylee	kɛ˧˥li˧˥
kaylo	kɑj˧˥lɔ˧˥
kayser-fleischer	kaɪ˨se˧flɛ˥ʃi˧
kayser	kɛj˧˥sɛ˧˥
kazaf	kâːzâf
kazakhstan	kazaːk̚˧ʈaːn
kazama	ka˧za˨ma˧
kazama-san	ka˧za˩ma˧sa˧n˥
kazan	ka˨˩zan˧
kazansky	ka˧ʔzaːn˨˩ski
kazantzakis	ka˨zaː˧˥ntsa˨ki˧
kazimierz	ka˨zi˧mjɛ˥s
kazim	ka˨˩ʒim˧
kaziranga	ka˨zi˧ra˧ŋa˥
kaznia	kaʔ˧nia˥
kazu	kɑ˧ʔ
kazuko	ka˨˩zu˨˧ko˥
kazumi	ka˨˩zu˨˩mi˨
kazuo	kɑ˧ʔwɔ˨
kazuya	kə˨zuə˨ja˦
kbo	kɔ˨
kbs	kɯə˧˥
kc	kɔ
kct	kɔ̆t
kdh	kɑ˧ʔ
kdk-12	kaːk˧˥tɨ˨˩
kd	kɛ˧˥
kdk	kɛʔ˧
keagan	kɛː˧˥aːn˨˩
kẻ-ai-cũng-biết	ke˩aɪ˧kɯŋ˥ɓiət˨
kea	kea˧
kéa	kɛa˧
keane	ke˨aː˦ne˧
kean	kiə̰n
keanu	keː˧˥nuː˧˥
kearney	kiə˧˥nɛi
kearns	kiəɳ
keating	keː˧ʔtiŋ˥
keaton	kɛ˧˥tɔn˨˩
keats	ket˥
kebechet	kɛ˧˥bɛ˧˥tʃɛt˧˥
kebo	kɛ˧˥bɔ˧˥
kechano	ke˧ʃaː˨˩no˧
kệch	kē²
kếch	kɛ̆́
kẻ-chớ-gọi-tên-ra	kɛ˨kɔ˧ɣɔj˨˩tɛn˧˥
kẹc	kɛ˧˥
keck	kɛ̀
keckwick	ke˧kɨ˥kɨk
kedar	ke˧˥dar˨
kedavra	kɛ˧˥dɑ˨vɛ˧˥
kedr	kɛ˧˥dɹ˨
keefe	kiə˧˥
keeffe	ki˥fe˩
keegan	keːəŋ
keeler	kɛ̄ːl
keel	kɛ̀
keely	kɛ̀
keene	kɛ̄ːn
keener	kiə˧˥n
keen	kiːn
keenser	kɛ̀ːn˨˩
keeper	ki˧˥pe˧˥
keeping	kʰiː˨˩
keep	kiːp
keepsake	kiːp˧˥saːk˧˥
keeps	kiːp
kees	kɛ˧
kegs	kɛ˧˥
keh	kɛ˧
kehoe	kɛ̀w
kei	keɪ˧
kêì	ki˧
keiko	kɛː˧˥kɔ˨˩
keìo	kɛ̀ː
keiron	kɛj˧˥rɔn˧˥
keistering	kɛj˧˥tʰɛ˧˥
keita	kɛ̀i˨˩ta˧˥
keitel	ki˧ɛt˥l
keithie	kiəθi
keith	kɛːt
keith-sama	kiəθ˧saːma
ke	ke˧
kê	ke˧
kể	kḛ
kẽ	ke˩
kẻ	ke˩
kệ	ke˩
ké	kɛ˧
kè	kɛ˧
kè	kɛ˧
kế	kɛ˧
kế	kɛ˧
kề	kɛ˧
kề	kɛ˧
kể	kɛ˧
kẽ	kɛ˧
kẻ	kɛ˧
kẹ	kɛ˧
kệ	kɛ˧
keko	kɛ˧kɔ˥
kelabra	kɛlaː˧˥braː˧˥
kelbonite	kɛl˧˥bɔ˨˩ni˧˥tɛ˧˥
kelcher	kɛlʔ
keldysh	kɛl˧ʔdɨ˨ʔ
kelem	kɛ˧˥lɛm˧˥
kelex	kɛ̀˧˥lɛ́˧˥
kel	klɛ˧
kellaway	ke˩˧la˧˥waɪ
keller	kɛ̀˧˥lɛ̀˩˧
kellerman	kel˧˥laː˧˥man
kellicams	kɛl˧˥lɪk˧˥m
kelli	kɛ˧˥li˧˥
kellogg	ˈkɛlɔk
kelly	ke˧˥li˧˥
kelsey	kel˧˥se˩
kelso	kɛl˧˥sɔ˨
keltie	kɛl˧˥tʰi˧˥
kelton	kɛl˧˥tɔn˨˩
kelvin	kɛl˧˥vɪn˧˥
kẻ-mà-ai-cũng-biết	kə˨ma˨ʔaɪ˨kɨŋ˧˥ɓiət˨
kẻ-mà-ai-cũng-biết-là-ai-đấy	kəmaʔaːjkuəŋʔɛtlaːʔɑjɗaːj
kemal	kə˧˥məl˨
kemble	kɛm˧˥lɛ˧˥
kemidov	kə˧˥mɪ˨˩tɔ˥
kèm	kɛ˧
kem	kɛm˧
kém	kɛm
kém	kɛm˧
kèm	kɛm˧
kêm	kɛm˧
kếm	kɛm˧
kềm	kɛ̀m
kẽm	kɛm˧
kemmerick	kɛm˧˥mɛt
kemosabe	kə˧mo˨sa˧be˥
kemper	kɛm˧˥pɛ˧˥
kemp	kɛ̌m
kenai	kɛ˧˥nʌj˨
kenan	kɛ̆n
kendal	kɛn˧ɗɑːl˥
kendall	kɛn˧˥dɑ˧˥l
kendallo	kɛn˧˥daː˨˩lo˧˥
kěnde	kɛ̀nde
kěndìng	kɛ̀n˧ʔdìŋ˥
kendo	kɛ̄ɲɗɔ
kendra	kɛn˧˥dɹɑ˨
kendrick	kɛn˧˥drɪk
kendy	kɛ̀n
kenedy	kə˧˥nɛ˧˥di
keng	kɛ̄ŋ
kẻng	kɛŋ˧
kenh7vn	kɛ̄ɲ˥
kênh	ken˧
kềnh	kɛ̀n
kènh	kɛ̀nh
kễnh	kɛ̀nh
kệnh	kɛ̆̆ŋ
kenichi	keniʔ
kenitra	kə˨ni˧tə˥
kenji	kɛ̄ɲ˧˥
ken	kɛn˧
kén	kɛn˧
kèn	kɛ̀n
kèn	kɛ̆n
kên	kɛn˧
kền	kɛ̀n
kền	kɛ̄n
kenkyuusei	kɛ̄nkiwusi
kenmore	kɛm˧mo˨
kenna	kɛ̀n
kennan	kɛ̆n˧nɑn˨
kennard	ken˧ʔaː˨ʔ
kennedy	kɛ̀˧˥nɛ̀˨˩dʒi
kennefick	kɛ̆n˧˥fɪk˧˥
kenner	kɛ̀˧˥nɛ́˨˩
kenneth	ken˧˥et˩
kennex	kɛ̄n˧˥
kenny	kɛ̀n
kenobi	kɛ˧˥nɔ˧˥bi
keno	kɛ̄n
kenright	kɛn˧ʔriəŋ
kensai	kɛn˧˥sai˧˥
ken-san	kɛn˧san˥
kensei	ken˧˥se˩
kenshin	kɛ̀˧˥sɪ̂n˥
kensington	ken˧˥siŋ˨˦toʊ˥
kensky	kɛ̆n˧˥
kentashjr0	ken˧taʃ˥jɛ˧roʊ˥
kent	ken˧
kenton	kɛn˧˥tɔn˨
kentucky	ken˨˩te˧˥ki
kenwood	kɛn˧wʌt˨
kenya	kɛ˧˥nʲɑ˧˥
kenyatta	kə˧˥nʲə˨˩tə˧
kẹo	ke̤ː
kéo	kēu
kêò	kɛ̀
kẻo	kɛ̀
kẹo	kɛ́o
keo	kɛ̀w
kéo	kɛ̀w
kèo	kɛ̀w
kêo	kɛ̀w
kẽo	kɛ̆ʔ
keò	kɤ˧
kèo	kɤ˧
kepesh	ke˧pɛʃ
kephart	keʔpʰɐt
kẹp	ke̤p
kép	kɛp˧
kếp	kɛ̀p
kẹp	kɛp˧
keppler	kɛp˧˥lɛ˧˥
kept	kɛ̀p
kerah	kɛ˧˥
kera	kɛ˧˥ɾa˨
kerak	kɛ˧˥rɑk˨
kere	kɛ˧˥
kerensky	kɛ˧˥rɛn˧˥sɛ˧˥
kerguelen	kɛ˧gɯ˥lɛn˧
keri	kɛ˧˥ri˧˥
kerik	kɛ˧˥rik
kerkmejian	kɛrkmeːzjɛn
kerla	kɛ˧˥lɑ˧
kermit	kɛ˧ʔmɪt
kerner	krə˧˥n
kern	kɛ̄n
kerns	kɜ̆ːn
kerouac	kɛ˧˥rɔ˨˩wɛk
ker-rah	kɛ˧ra˧
kerrigan	kɛ˧˥ri˧gɑn˨
kerr	kɛ˧˥
kerry	kɛ˧˥
kershaw	kɛ˧ʂɑʊ˥
kerza	kɛ˧ʐa˧
kesher	ke˧ʃe˩
kesner	kes˧˥nɛ˧˥
kessel	kɛ˧˥sɛ˧˥
kesselring	kɛ˧˥sɛ˧˥lɪŋ
kessinger	kes˧iŋ˥ɛː˧
kessler	kes˥lɛ˧
kester	ke˨˩ʔte˧˥ʈ
kestrel	kɛʔ˧˥
ketamine	ket˧˥ma˨˩ti˧˥nɛ˧˥
ketamin	kɛ˧˥ta˨˩mi˧˥n
ketcham	ket˧˥tʰam˧
ketchup	ket˨ʃup
kệt	kɛ˧˥
két	kɛ́t˧
kêt	kɛ̀t
kết	kɛ̀t
ket	kɛʔ˧
két	kɛʔ˧
kết	kɛ̆ʔ
kẹt	kɛʔ˥
kẹt	kɛ̆ʔ
ketorolac	kɛ˧˥tɔ˧˥lɑk
kettering	kɛ˧˥tɛ˧˥
kettle	ket˥
kettleman	ket˧˥maːn˨
kettler	kɛ˧˥tɛ˩˧
kettner	kɛ̆ʔ˧˥
kểtừ	kɛ̀tɨ
kếu	kɛ̀w
kêu	kɤu˨
kều	kɨ̄
kệu	kɨə˧
kevan	kevɐn˧
kevin414	ki˨vɛn˧˥
kevin	ki˨vɪn˨
kev	kɛʋ
kevlar	kevlaː
kểvới	kɛʋɔ́i
kevo	kɛʋ˧
kevorkian	kevɔkkiən
kewal	kɛw˧
kewashi	kɛ˧waʃ˥
kewl	kɤw˧˥
kewpie	kwɛp˧
keyboard	kɛː˧˥bɔː˨˩
keyes	kje˧
key	kɛ˧
keyser-fleischer	ki˩j˧sɛ˧˥flej˧˥ʃɛ˧˥
keyser	ki˧˥sɛ˧˥
keys	kʰeɪ˧
keystone	kʰeɪ˧˥s˩˧tɔn˧˥
keytective	kɛj˧˥tɛk˧˥tɪ̄v˨
keziah	keɪ˨ja˧
