aegina	aegino
σωφρόνει	sofrˈoni
σωφρόνησον	sofroŋɛsˈon
σόδομα	sɔgɔma
σόλωνι	sononi
σόλωνος	soloos
σόν	sɔm
σόω	soː
σύγκεινται	sinkˈɛntˈɛ
σύγκεισαι	lɛŋkɛysai
σύγκεισθε	synqeˈiste
σύγκειται	syŋkeːtˢɛ
σύγκλητοι	sinkletoi
σύγκλητον	synkleeton
σύγκλινα	synklinæ
σύγκλινε	sympliːne
σύγκλινοι	synklinoi
σύγκλινον	synkliːnɔm
σύγκλινος	sympliːnos
σύγκλισις	simpliʃsi
σύγκρασι	synkɾasi
σύγκρασιν	synkraθiŋ
σύγκρασις	sinkrasis
σύγκρισι	synglisi
σύγχρονε	sinklone
σύγχρονος	sinklonos
σύκοις	sykai
σύκου	sɯ˥˩ku˥˩
σύκων	tsukoɴ
σύλληψι	sybdpˈe
σύλληψις	syllepsis
σύλλογε	syløogɛ
σύμβαινε	symbeːne
σύμβασις	sʏmbasiz
σύμβολε	symboli
σύμβολοι	symboloj
σύμβολον	symbolum
σύμβολος	simbolos
σύμβουλε	sembul˨˩
σύμβουλοι	sinvuloi
σύμβουλον	sɨmbulo
σύμβουλος	simbulos
σύμμαχοι	sinmakai
σύμμετρε	symˈitˈre
σύμμετροι	symmˈetroi
σύμμετρος	sɛmmetros
σύμμορφε	sinmortɛ
σύμπαν	sympan
σύμπαντα	siunpada
σύμπαντας	sympentas
σύμπαντι	si˥˩m˥˩panti˥˩
σύμπας	sympas
σύμπασι	sympasj
σύμπτωσι	multaisi
σύμπτωσιν	symptɔsɪŋ
σύμφωνε	symfɔːni
σύμφωνοι	sinfornoj
σύμφωνον	symponon
σύμφωνος	sinfonos
σύνδεσμε	syndesme
σύνδεσμοι	syndesmɔj
σύνδεσμος	sindɛsmɔs
σύνδικε	sɛinðike
σύνδικον	sʏndjkon
σύνδικος	syndikos
σύνδυο	sinmia
σύνεδρε	syːnɛdrɛ
σύνεδροι	sujnedroj
σύνει	ʃynˈeˈ
σύνειμι	syneemi
σύνεσμεν	synesmɛn
σύνεστιν	syneestiŋ
σύνθλιψις	sonθlipsis
σύνιστε	syniste
σύνναα	simna˩˥ː
σύνναον	sumnaom
σύνναος	siːm˧˥na˧˧us˥˩
σύντονα	syntˈona
σύντονε	syntˀɔnˈeː
σύντονοι	sintunoj
σύντονος	syntɔnɔs
σύντυχε	syntjke
σύριαι	syˀ˂i˨˩˦lj˥˩ɑj˨˩˦
σύριε	syriːjɛ
σύριοι	syrˈioi
σύριος	sylioz
σύρραξιν	syrraːksɪŋ
σύρραξις	syrˈaksiz
σύστασι	tʃuʃtasi
σύστασις	systasiːs
σώμασιν	tɔrmɛθi
σώματα	amata
σώσειν	sɒse̞im
σώσετε	sˈɛst
σώσομεν	sosomɛm
σώσω	sɔːsɔː
σώτειρα	sɔtɛɾa
σώτειραι	sɔteiraj
σώτειραν	sɔtɛiːrɑːn
σώφρο	sɔfɾɔ
σώφροσιν	sɔpɾɔziːn
σάρξ	zɑːɾks
σή	se
σός	sos
σύν	ʃuːŋ˥˩
σύνδουλοι	sinduloi
σύνδουλος	finduloːs
σύνει	tsune
σῖτον	siːton
σῦ	sy˥˩
σῴζειν	saːizðe
σῴζομεν	saizmiːm
σῶμα	sɔma
σῷ	fã˥˥
τάγηθι	takɛtkɛ
τάγητε	takɛte
τάλαινα	taɾlajn
τάλανα	taːlˈana
τάλανας	alanas
τάλανες	taɾanɛs
τάλανος	taɾlanos
τάλαντον	taːlɑntɔm
τάλας	taˈnɑs
τάλω	tˈa
τάλως	talos
τάνυε	taniˈe
τάνυσον	tan˥˩y˨sʊ˥˩n˥˩
τάξαιεν	tɑːksɑːjɛn
τάξαιμεν	taksajmem
τάξαιντο	taːksajnto
τάξαιο	taksalio
τάξαις	taksaji
τάξαισθε	taksajste
τάξαιτο	taːksajto
τάξαν	tɨsam
τάξαντα	tɑksanta
τάξαντας	tagsantas
τάξαντες	takestas
τάξαντι	taːksantɪ
τάξαντος	takssantos
τάξασαι	taksasaɪ
τάξασθαι	taksasðaj
τάξασθε	taksaːsdɛ
τάξατε	taksete
τάξειας	taksejes
τάξειεν	taksejʝɛŋ
τάξεις	taksɛs
τάξεσι	taksɪsi
τάξεσιν	taksɪsin
τάξετε	taksetɛ
τάξεων	taksɛjɔm
τάξιν	taksj
τάξοιεν	t̪ãks̺o̞iẽ̞n
τάξοιμι	ta˥˩lso˥˩˦im˧˥
τάξοις	tæksois
τάξοιτε	taksojtɛ
τάξοιτο	taksɔiˈto
τάξομαι	taksɔmaj
τάξομεν	taksɔmɛm
τάξον	taksõn
τάξοντι	taaksonti
τάξοντος	taksɔndɔs
τάξουσα	taksuʃa
τάξουσαι	taksuːsai
τάξουσαν	taːksuːsɑːn
τάξουσι	taksɔɛsi
τάξουσιν	taksusi
τάξω	rakso
τάξωμαι	taksɔɔmai
τάξωμεν	daksomɛm
τάξωνται	raksɔntaj
τάξωσι	taksɔɔsi
τάξωσιν	tæksɔːsˈiŋ
τάξῃς	taksɛs
τάραξις	taːraːksis
τάσδε	taztɛ
τάσσει	taʃas
τάσσειν	ðəssɛjn
τάσσεις	lasseɾes
τάσσεσθαι	taseestai
τάσσεσθε	tasaest̪e
τάσσεται	tazseˈtaj
τάσσετε	tazsɛte
τάσσηται	tasetai
τάσσοι	tasoi
τάσσοιεν	tasʊjˈɛn
τάσσοιμεν	tassojmem
τάσσοιμι	tæsˈɑjmi
τάσσοιντο	tassɔjntɔ
τάσσοισθε	tasɔiːste
τάσσοιτο	astroito
τάσσομαι	laːssɔˈmaj
τάσσον	tasˈon
τάσσοντα	tasɔnta
τάσσονται	tassɔndaj
τάσσοντες	tiamsantes
τάσσοντι	tasɔnˈti
τάσσοντος	lassˈontos
τάσσουσα	dæstsʊsæ
τάσσω	tasˈo
τάσσωμαι	dˈasoˈmaj
τάσσων	tasˈon
τάσσωνται	dassɔntai
τάσσωσιν	lasˈɔsˈɛn
τάττε	tate
τάττει	tɐtˈɐj
τάττειν	taːtˈteːn
τάττεσθαι	tatestsai
τάττεσθε	tateestɨ
τάττηται	tattɛtaj
τάττητε	tatɛtɛ
τάττοι	taːtˈoi
τάττοιεν	taːrˈtɔjˌn
τάττοιμι	ɑttɔjmi
τάττοιο	laːttɔɛjɔ
τάττοισθε	tatɔiste
τάττομαι	taːttˈomaj
τάττομεν	tatːonim
τάττον	taːtːom
τάττοντα	tatɔntɑ
τάττονται	tattɔntai
τάττοντος	tattɔntɔs
τάττου	dɑːttˈu
τάττουσι	tatusi
τάττω	tato
τάττωμαι	hatoomai
τάττωμεν	taːttɔɔmɛm
τάττων	taktɔn
τάττωνται	�atʃtɔntai̯
τάττωσι	tattɔɔsɛ
τάττῃ	taːtˈe
τάττῃς	tateis
τάφοις	paˈpɔjs
τάφος	tanos
τάφρε	tafrɨ
τάφροι	taproi
τάφροις	tafɾɔjs
τάφρον	taprop
τάφρος	tapros
τάφρου	tapru
τάφρους	tapfrʊz
τάφων	tafˈon
τάχει	takɪ
τάχεσι	takesi
τάχη	akːe
τάχθητι	taktɛj
τάχισται	kaxistaj
τάχιστοι	takistoi
τάχιστος	takistos
τάχος	takos
τέγεος	pegeos
τέγη	peki
τέγους	peguz
τέθαφας	teˈɾfæst
τέθεικας	tetseekas
τέθεικε	tetsɛeke
τέθειμαι	tɛtejnɛj
τέθεινται	tefeintai
τέθεισαι	teteisai
τέθεισο	tɛtrɛjsʊ
τέθηκα	tɛteːka
τέθηκας	tetekas
τέθηκε	teteke
τέθναθι	tɛstnatɪ
τέθναμεν	tetʃnamɛm
τέθνατε	tɛθɛnate
τέθνηκα	tɛθneːga
τέθνηκας	tɛfnɛkas
τέθνηκε	tafneke
τέθραμμαι	tɛθramaj
τέθυκεν	tatøkˈɛn
τέθυσαι	tetysai
τέθυσο	tetɪso
τέθυται	tatitej
τέκνον	teknom
τέκνων	tɛknɔ
τέλεαι	peleai
τέλεε	pele
τέλει	peɾɾˈe
τέλειαι	teleai
τέλεος	peleos
τέλεσι	pelesi
τέλεσιν	lessin
τέλεσον	pelesˈon
τέλους	peˈluz
τέμαχος	dematas
τέμνει	tɛmni
τέμνουσι	d̪emẽnusi
τέμνω	tɛmmno
τέναγος	penagos
τένον	penom
τένοντα	tenõŋta
τένοντας	venontas
τένοντες	penontes
τένοντι	penʊnti
τένοντος	penontos
τένουσι	fɛnusʲi
τένων	tenom
τέξει	tɛkse
τέξεσθε	tɛksɛstɛ
τέξεται	peksetaj
τέξῃ	tɛkse
τέρεινα	terɛna
τέρειναν	tejrɛjnɛ
τέρενος	ternos
τέρην	pere
τέρμα	eɾma
τέρμασι	permasi
τέρματα	permata
τέρματι	pɛrnati
τέρπει	teɾpe
τέρπεις	t̪eɾpe̞s
τέρπεσθε	terpeste
τέρπεται	terpɛtaj
τέρπετε	tɛrpɛtɛ
τέρπνιστε	tɛrpnɪstɪ
τέρπνιστοι	perpnistoi
τέρπνιστον	tɛrpnistɔn
τέρπομεν	tɛrpomɛm
τέρπουσιν	tɛrpɔsʲin
τέρπω	perpo
τέρψει	perpzɪ
τέρψεις	taɾpseɾus
τέρψεσιν	tɛrpsɛsɪm
τέρψεων	perpseio
τέρψεως	peɾpzeos
τέρψι	tɛrpsij
τέρψιν	perpsi
τέσσαρα	tɛsɛra
τέσσαρας	tesiras
τέτακε	tɪtakɪ
τέταξαι	tɛtaːksɛj
τέταξο	tɛtaksɔ
τέταρτα	t̪et̪aɾð̞a
τέταρτε	tet̪aɾð̞e
τέταρτον	tɛtaɾtɔn
τέταρτος	tɛtɑɾtɔs
τέταχα	tetakka
τέταχεν	netakhej
τέταχθε	tɪtaxtɪ
τέτεικα	tɛtajtse
τέτευχα	tˈetˈɛk
τέτευχε	tɛteukke
τέτευχεν	tetɛukɛŋ
τέτικας	pɛtikas
τέτικε	pɛtike
τέτικεν	tɛtikeɲ
τέτιμαι	tetiimaj
τέτισαι	tetɪisai
τέτισο	tɛtjsʊ
τέτιται	tetiitai
τέτοκα	etoka
τέτοκε	tɛtɔke
τέτοκεν	petokein
τέτριφε	tɛtɾipɛ
τέτροφα	tɛtropa
τέτροφας	retropas
τέτταρα	tɪttɛɾa
τέτταρσι	tetːarsi
τέττιγα	tɛtːiːga
τέττιγες	tettigɛs
τέττιγι	tɛkdiɣi
τέττιγος	tettjgos
τέττιξ	tɛktiks
τέττιξι	tɛktiksɪ
τέττιξιν	akteksiŋ
τέχναι	tɛknaj
τέχναις	taknais
τέχνης	tɛknɛs
τέχνῃ	tɛkne
τέως	teos
τήκει	teke
τήκεις	tɛkɛs
τήκομεν	tekomin
τήκουσι	tekusi
τήκουσιν	tekusi
τήκω	teco
τήξει	tɛkse
τήξεσι	ɾaksefi
τήξεσιν	tˈɛkseɾ
τήξεως	tɛkseɛ
τίγρεας	tigreas
τίγρεις	tigres
τίγρεσιν	piːgɾɛfˈiŋ
τίγρεω	piːgɾeɪɔ
τίγρεως	tigɾeos
τίγρι	pigri
τίγριδας	pigridas
τίγριδες	tigrides
τίγριι	figri
τίγριν	tiːgriːn
τίγρις	tiːgris
τίεις	ties
τίεσθαι	pieestai
τίεσθε	piːestɛ
τίεται	pieˈdai
τίετε	piete
τίησθε	tieeste
τίηται	fietai
τίθεμαι	tiːtʰeːmiː
τίθενται	tiːteːn˨˩dai˥
τίθεσαι	titesai
τίθεσθαι	titestai
τίθεσθε	tipeste
τίθης	fˈaɪv
τίθησιν	piːtːɛsiːn˩˩˦
τίκτει	tiktɛ
τίκτεις	tiktɛs
τίκτετε	tiktɛtɛ
τίμια	piːmiːˈ
τίμιαι	pimiaj
τίμιος	plimios
τίνα	pina
τίνας	tines
τίνε	pine
τίνεις	tiːnˈeɪz
τίνετε	pˈinete
τίνι	fini
τίνοιν	pinoin
τίνομεν	tinomin
τίνος	vinos
τίνουσι	penuzi
τίνουσιν	ti˥˩nuziŋ
τίνω	pino
τίνων	tino
τίοιμεν	tiojne
τίοιντο	piointo
τίοις	iois
τίοισθε	tioestis
τίοιτο	piojto
τίομαι	piomaj
τίομεν	fiomem
τίοντα	tijont̪a
τίοντες	tiontˈes
τίοντι	tihonti
τίοντος	tiontʊs
τίουσα	piːuzɐ
τίουσαι	tiunsai
τίουσαν	piu˨˩san˥˩
τίουσι	tiuʃi
τίσαι	piːsˈɛ
τίσαιεν	ti˥˧sai˥˧en
τίσαιμεν	tiːsajmen
τίσαις	visɛis
τίσαιτε	pisai̯te
τίσαντας	tisæntæs
τίσαντες	pisantes
τίσαντι	pisæntˈi
τίσαντος	tʃisantos
τίσας	piːsas
τίσασα	piːsasaː
τίσασαι	tiːsaːsai
τίσασαν	fˈiːsasaːn
τίσασθαι	piːsastˈɛ
τίσασθε	piːsasðe
τίσασι	piːsːesiː
τίσατε	pijsate
τίσει	piːsiː
τίσειας	ðisejes
τίσειεν	pi˥˧se˥˧i˥˧ŋ˥˧
τίσεις	piːsɪz
τίσεσθαι	piːsɪzdaj
τίσεσθε	pisɛste
τίσετε	pijs̺ete
τίσησθε	tiseestɛ
τίσηται	tiseedai
τίσητε	tisɛte
τίσι	piːsi
τίσιν	pifin
τίσοι	tʃiui
τίσοιμεν	tiːsɔiːmɪn
τίσοιμι	fisoimi
τίσοις	tiːsɔis
τίσοιτο	pisɔitɔ
τίσοντα	tisɔnta
τίσονται	teisɔntai
τίσοντας	tisɔntas
τίσοντι	tjsonti
τίσουσα	tisʊa
τίσουσι	fisjusi
τίσουσιν	fisiusi
τίσωμαι	visumai
τίσωσι	tisɔsi
τίσωσιν	pisɔsin
τίσῃ	tisi
τίω	fio
τίωμαι	tioomai
τίωμεν	tiomem
τίωσι	teiɔsi
τίῃς	ties
ταΰγετος	tajgetɔs
ταγέ	dagʝ
ταγέν	taːgɛn
ταγέντα	tagɛntɑ
ταγέντι	tagɛntɛj
ταγέντος	tagentos
ταγέντων	tagɛntɔm
ταγήσοιντο	tagɛsɔɪntɔ
ταγήσοιο	tagɛsɔio
ταγήσοισθε	tagesoiste
ταγήσοιτο	tagesɔi̯to
ταγήσονται	dakesɔntaj
ταγήσῃ	tageːseː
ταγήτω	tagɛtɔ
ταγήτωσαν	tageːtoˈsɑŋ
ταγείη	tageje
ταγείητε	takɛjjete
ταγείς	agɛis
ταγείσαις	tagɛisais
ταγείσης	tagɛjsees
ταγείσῃ	tageiːseː
ταγεισῶν	tagesɔn
ταγεῖεν	tageiem
ταγησοίμεθα	nagɛsɔimɛθɑ
ταγησομέναις	tagis̺omẽn̪aes̻
ταγησομένας	tagesɔmenas
ταγησομένη	tageesɔmɛne
ταγησομένην	tagɛsomɛnɛm
ταγησομένοις	tagelesomenoj
ταγησομένους	tagesomenus
ταγησομένων	tagɛs̺omẽnɔm
ταγησόμεναι	taːgesɔmɛnai
ταγησόμενε	tagesɔmɛne
ταγησόμενοι	tagesomenoj
ταγησόμενος	tagesɔmɛnɔs
ταγοί	taɣ̞oi
ταγοῦ	tagɔu
ταγῆτε	tageːde
ταγῇ	tage
ταγῶ	dago
ταγῶσιν	tagosin
ταγῷ	tago
τακερά	t̪akejɾa
τακεραί	takɛɾai
τακεροί	takɛroi
τακερούς	takiɾus
τακεροῖς	takeɾoos
τακεροῦ	takeru
τακερωτάταις	takeɾo̞o̞tatai̯s
τακερωτάτου	taːkeːrɔːtatuː
τακερωτάτους	takeɾotatuz
τακερωτέραις	takeɾotedais
τακερωτέρας	takeloteras
τακερωτέροις	takerooterois
τακερωτέρους	takerotetuʃ
τακερωτέρων	takeroteroŋ
τακερόν	tʃakʃom
τακερώτατον	tɐkɪrɔtɐtʊn
τακερώτερα	takeˈrɔteraː
τακερώτερον	takerooterom
τακερᾶς	t̪akejɾs
ταλάντατα	taɾantata
ταλάνταται	taːlɑntatai
ταλάντατε	taɾantatɔ
ταλάντατοι	p̪aɾent̪at̪oj
ταλάντατον	t̪alantat̪onk
ταλάντατος	t̪aɾant̪at̪os
ταλάντερα	t̪alant̪e̞ɾa
ταλάντεραι	t̪alant̪eɾai̯
ταλάντερε	talenteɾe
ταλάντεροι	t̪alant̪eɾoj
ταλάντερον	alantearon
ταλάντερος	t̪alenteɾos
ταλάντοις	taarantois
ταλάντου	taːlˈantu
ταλάνων	talaˈno
ταλαίνης	t̪alai̯nes
ταλαίπωροι	pelajporoi
ταλαίπωρον	selaiporon
ταλαινῶν	tajlajnõm
ταλαιπώρου	velaiporu
ταλαιπώρους	terepoʊɾus
ταλαντάτας	talentatas
ταλαντάτη	t̪alãn̪t̪at̪e
ταλαντάτην	t̪alant̪at̪e
ταλαντάτοις	talentat̪ois
ταλαντάτου	taˈlantatu
ταλαντάτους	talentatws
ταλαντάτων	talentat̪on
ταλαντάτῃ	talantate
ταλαντέρα	talentejɾa
ταλαντέραις	t̪alent̪eɾaes
ταλαντέραν	talant̪eɾa
ταλαντέρας	t̪alent̪eɾes
ταλαντέρου	talantteɾu
ταλαντέρους	d̪alant̪eɾnuz
ταλαντέρων	talantero
ταμία	tɐmiɐ
ταμίαι	tɐmiɛj
ταμίαις	t̪amiis
ταμίαν	tamias
ταμίου	tamio
ταμιείοις	t̪emjɛʝois
ταμιείου	tamjɛ̀ɟʊ
τανυέσθω	taninvest
τανυέσθων	lanʝeston
τανυομέναις	laniomenais
τανυομένας	peniomenas
τανυομένη	taniomenee
τανυομένην	aniomeneem
τανυομένης	tanjumenel
τανυομένοις	tanigomenois
τανυομένων	daniomenoːn
τανυομένῃ	tanjuneii
τανυούσαις	taːnjuːsɑiːz
τανυούσης	tanjusees
τανυσάντων	lanʊsantoŋ
τανυσάσαις	lanɔsasais
τανυσάσας	anisasas
τανυσάτωσαν	danisatosam˨˩
τανυσθέντες	lanustent̪is
τανυσθέντος	tanistsentos
τανυσθήτω	lanistɾɛto
τανυσθείην	lanistɛhɛm
τανυσθείης	lanustˈeiˈo
τανυσθείητε	lanistɾeiede
τανυσθείσαις	lanustˈeizais
τανυσθείσας	lausteiosas
τανυσθεισῶν	lanjusejsɔm
τανυσθεῖεν	tanustˈeiːm
τανυσθῶσιν	lanustosin
τανυσουσῶν	lanysʊsɔm
τανυσούσαις	lanjɔsʊzais
τανυσούσας	lanjusuzas
τανυσούσης	danisuses
τανυσούσῃ	danisuzei
τανυσόντων	lanysɔnton
τανυόμεθα	tanjoːˈmeta
τανυόμενα	daːnjomina
τανυόμεναι	lanijomeŋaj
τανυόμενε	laiomenˈe
τανυόμενοι	taniomnoj
τανύεις	lanˈəˈæs
τανύεσθαι	taniostsai
τανύεσθε	lanioelse
τανύεται	daniːˈtai
τανύοιεν	daniɔjˌn
τανύοιμεν	dariojmim
τανύοιο	dionioio
τανύοις	taiɲois
τανύοιτε	tanieite
τανύοιτο	taniotɔ
τανύομεν	tanɛjɔmen
τανύον	daniom
τανύοντας	tanɨontas
τανύοντες	ðaniotes
τανύου	t̪anio̞
τανύουσα	daniˈuːsa
τανύουσαν	laniou̯sãn
τανύουσι	aniˈuˈsɪ
τανύουσιν	laneʊsĩn
τανύσαι	taniːsaːj
τανύσαιτε	tanisˈaite
τανύσαντος	danuisantos
τανύσασα	daniːsasa
τανύσατε	taɲiːsate
τανύσειας	tajnusagas
τανύσεις	lanˈysˈe
τανύσοιεν	tanyssoiːn
τανύσοιμεν	danisɔiˈmɪm
τανύσοις	tanyssois
τανύσοντα	danisɔnta
τανύσοντας	lanuisontas
τανύσοντες	darisantes
τανύσοντος	daniːsɔntos
τανύσουσα	tanivsɔzɑ
τανύσουσαι	aniːsuːsˈaːi
τανύσουσιν	ðäinyːsɔgˈ
τανύσω	lanʊsɔ
τανύσων	tanɔisom
τανύσωσι	lanesiosi
τανύσωσιν	tanisɔsɛŋ
τανύω	tanɛ
τανύωσιν	la-njû˧˧ɔsɪŋ˨˩
ταξάμενα	taksamɛna
ταξάμεναι	taksaːmɪnːai
ταξάμενοι	taksamnoj
ταξάμενον	ðaksamɛnom
ταξάμενος	taksamɛnos
ταξάντων	taksanto˩˥ːm
ταξάσαις	taksaːsaiːs
ταξάσθων	taksaston
ταξάσθωσαν	taksastsosam
ταξάτωσα	taksatoosa
ταξαίμεθα	taksajmɛtʃɛ
ταξαμένας	taksamenes
ταξαμένη	taksamɛne
ταξαμένου	taksamɛnou
ταξαμένων	taksamɛnom
ταξικά	t̪aksika
ταξικάς	t̪aksika̝s̠
ταξικέ	t̪aksik
ταξική	baksike
ταξικήν	t̪aksjkẽi̯n
ταξικαί	taksikaj
ταξικαῖς	t̪aksjkais
ταξικούς	taksikuz
ταξικοῖς	taksikoi̯s
ταξικοῦ	takseku
ταξικός	taksikos
ταξικῆς	t̪aksjkes
ταξικῶν	taksjkoŋ
ταξοίμεθα	taksɔɛmeˈtɑ
ταξοίμην	taksɔjme
ταξομένη	taksomene
ταξομένην	taksomɛnɪm
ταξομένης	taksomenes
ταξομένοις	taksomenis
ταξομένου	aksomenu
ταξομένους	takkiomenus
ταξομένων	naksomɛnɔmm
ταξούσαις	taksuːsais
ταξούσας	taksuozas
ταξούσης	taksusas
ταξούσῃ	aksuzei
ταξόμενα	taksɔminɛ
ταξόμενε	taksomɛne
ταξόμενον	taksomɛnom
ταξώμεθα	taksoːme̞θːə
ταπεινάς	tapɛuenas
ταπεινοτάτας	topeunotatas
ταπεινοτάτη	tapenotate
ταπεινοτάτης	topeunotates
ταπεινοτάτοις	tapeunotatais
ταπεινοτάτου	tapɛvnɔtatu
ταπεινοτάτους	tapoenotatus
ταπεινότατε	tapɛu̯nɔtatɛ
ταπεινότατος	tapiwlatatas
ταπεινότεροι	aplinoteroi
ταράξεις	t̪aɾakseɣ̞s
ταράξεσι	taraːkseːzi
ταράξεσιν	taraksɛɛsɪ
ταράξεων	taraːksɛjʊ
ταράσσετε	tarassedi
ταράσσομεν	tarasomɛm
ταράσσουσι	taˈɾaːssɔzɪ
ταράσσω	taraʃo
ταράττεις	tarateˈs
ταράττετε	taratete
ταράττομεν	taɾaːtɔmem
ταράττω	taˈɾatːo
ταραγμοῦ	taraɣmuu
ταραντίναις	t̪aɾãn̪t̪pĩŋais
ταραντίνας	tarantines
ταραντίνη	tarantine
ταραντίνην	tarantene
ταραντίνης	taɾantines
ταραντίνους	dɑɾantɪnʊz
ταραντῖνα	tɑɾampiːnɛ
ταραντῖνοι	tarantinoi
ταραντῖνος	tarantinos
ταραχάς	taɾakas
ταραχή	t̪aɾake
ταραχήν	taɾakẽɲ
ταραχωδέστατα	taɾakɔdɛstata
ταραχωδέστατοι	trakhokdestatoi
ταραχωδέστατος	trakhodɛstato̞s
ταραχωδέστερα	larakodestera
ταραχωδέστερε	tarakodɛstere
ταραχωδέστερον	taraakodesterom
ταραχωδεστάτοις	trakhodestatuis
ταραχωδεστέρας	darakoðɛstɛɾas
ταραχωδεστέρου	tarakhoðestaru
ταραχωδεστέρῳ	trakodesteroi
ταραχώδει	tarakɔde
ταραχώδεις	darakloðeis
ταραχώδης	tarakodes
ταραχῶδες	darakodes
ταραχῶν	taɾakɔl
ταρταρίταις	tart̪aɾit̪ais̻
ταρταρίτας	taɾtaɾitˌas
ταρταρίτην	t̪aɾt̪aɾit̪ɪ
ταρταρίτης	tartarites
ταρταρούχοις	tartaruːxoiːs
ταρταρούχου	tartaruxu
ταρταρόπαι	taɾtaɾoːpaˈi
ταρταρόπαιδα	t̪aɾt̪aɾo̞pai̯ð̞a
ταρταρόπαιδας	taɾtaɾopaidas
ταρταρόπαιδι	tardaropajdi
ταρταρῖται	tartaritai
τασσέσθων	taskiston
τασσέτω	taseto
τασσοίμην	tassɔiˈmem
τασσομέναις	tassomenas
τασσομένη	tassomene
τασσομένης	d̪asomenes
τασσούσαις	tɐsˈuʃaˈis
τασσόμενα	asˈɔmɛnˈɛ
τασσόμεναι	dəsˈomenəi
τασσόμενε	taskomene
τασσόμενοι	tassɔmenɔj
τασσόντων	tassanton
ταττομένης	taːtdoˈmenes
ταττομένοις	tatomenois
ταττομένους	taːttɔmenuz
ταττομένων	taːtsomenon
ταττούσῃ	tatusei˨˩˦
ταττόμενα	tatɔˈmina
ταττόμεναι	taːdtoːmenai
ταττόμενε	tatomeni
ταυτότης	tautɔtes
ταχέος	dakeels
ταχέσι	akestɪ
ταχέσιν	akesin
ταχέων	take̞o
ταχίσταις	laxist̪aes
ταχίστη	daxiste
ταχίστην	trakiste
ταχίστης	takistes
ταχίστοις	taxistoi̯s
ταχίστους	takistus
ταχίστων	akestum
ταχίστῳ	akistoi
ταχεῖαι	takeaj
ταχθέν	takʰθɪŋ
ταχθέντα	taksenta
ταχθέντας	taxtentas
ταχθέντι	taksenti
ταχθέντος	tatsentos
ταχθέντων	taktenton
ταχθήσει	taktesej
ταχθήσοιντο	taktetʃiento
ταχθήσοιο	taktresoio
ταχθήσονται	taktesʊntai
ταχθήτω	taktedo
ταχθείη	taktej
ταχθείην	taktɛjɛm
ταχθείης	takteies
ταχθείητε	taktejie̞te̞
ταχθείς	taktɾes
ταχθείσαις	takteisais
ταχθείσης	takteises
ταχθεῖσα	taktejsɛ
ταχθεῖσιν	daxteeisĩn
ταχθεῖτε	takte̞jdɛ
ταχθησοίμεθα	daktɛsɔimɛtɑ
ταχθησομέναις	taxtesomenai
ταχθησομένας	taktresɔmenes
ταχθησομένης	daktresomenes
ταχθησομένου	takresomenu
ταχθησομένους	takteisomenus
ταχθησομένων	takfesɔmenon
ταχθησόμενα	dakteːsumine
ταχθησόμενοι	daktresomenoi
ταχθῶσιν	akfɔʎsiŋ
ταχυτής	takdes
ταχυτήτων	takytedɔ
ταχύ	taːkˈy
ταχύν	tˈak
ταχύνει	lakyiˈne
ταχύνεις	takynɛz
ταχύνετε	takɨnete
ταχύνομεν	taknɔmɛmɔ
ταχύνουσι	patrinozi
ταχύνουσιν	alkinosin
ταχύτητας	takudedas
ταχύτητες	takudɛðes
ταχύτητι	takɔtɛti
ταϋγέτη	tajgete
ταύροις	tauris
ταύρου	tau̯ru
ταὐτά	tau̯ta
ταύτης	taltis
ταῦ	tau
ταῦρε	taure
ταῦροι	tauɾoi
τείνετε	peːnete
τείνομεν	teenomim
τείνω	teinˈo
τείσετε	t̪e̞ɾsɛte
τείσουσι	tesuzi
τείχει	dˈɛkːe
τείχεσι	ɣɛkɛsʃ
τείχη	tɛkɛ
τείχισαι	tekisej
τείχισον	teekiso
τεγέων	tegeom
τεγῶν	pegɔm
τεθάρρηκε	tɛtaɾsɛike
τεθάρσηκας	petarseˈjas
τεθέντα	tɛtɛntɑ
τεθέντες	tetsentes
τεθέντι	tɛtrɛntɪ
τεθέντος	tɛtrɛntɔs
τεθέντων	tesenton
τεθήρακας	teteˈragas
τεθήρευκας	teteeokas
τεθήρευνται	teteeriundai
τεθήρευσαι	teteereusai
τεθήρευσθε	teteereiste
τεθήρευται	tetereudaj
τεθήσει	tetesej
τεθήσεσθαι	tetesestai
τεθήσεται	tɛtɛɛsɛtɛj
τεθήσοιντο	teteesoĩn̪t̪o
τεθήσοιο	tetesɔio
τεθήσοισθε	teteesoiste
τεθήσομαι	tetesɔmaj
τεθαρσήκατε	tɛtaɾsɛʎadɪ
τεθαυμάσθω	tɛtaʊmɑstɔ
τεθαυμάσθων	tʃitaumaston
τεθαυμάσθωσαν	tetawmastɔosaʊ
τεθαυμακόσι	ketɑvmægˈoːsi
τεθαυμακόσιν	tɛtaːlmakoːsiːn
τεθαυμασμέναι	mitaumasmenai
τεθαυμασμέναις	tetaumasmenai
τεθαυμασμένης	dekomazmenis
τεθαυμασμένοι	netaumasmenoi
τεθαυμασμένον	dikaomasmenon
τεθαύμακα	tet̪aumaka
τεθαύμακας	tetaumakas
τεθαύμακε	tetʃaːlmage
τεθαύμασθε	etraumaste
τεθαύμασται	tɛtaumɑstɑi
τεθείη	tɛtɛjɛ
τεθείκατε	tetejkate
