11-a	ɨˈa
motricitate	motritʃitate
motroșire	motroʃire
motroșit	motroʃit
motru	motru
motto	ˈmɔto
motănaș	motənaʃ
motănel	motənel
motănime	motənime
mount	maunt
mouse-ul	maus̪ul
mov	mov
move	muvɛ
movie	muˈvje
movila	moˈvila
movilire	movilire
movilit	movilit
moviliță	movilitsə
moviloi	moviloj
moviluță	movilutsə
movilă	movilə
movilă	moˈvilə
moviolă	moviolə
mowgli	ˈmɔgli
moya	ˈmojə
moyei	mojeɪ
moz	moz
mozaic	mozaik
mozaica	mozaika
mozaicar	mozaikar
mozaicare	mozaikare
mozaicat	mozaikat
mozaism	mozaism
mozaist	mozaist
mozambican	mozambikan
mozart	mozart
mozartian	mozartijan
mozoleală	mozolĕalə
mozolire	mozolire
mozolit	mozolit
mozzarella	moz̪aˈrɛla
mozzie	mozje
moş	moʃ
moşia	moʃi̯a
moşie	moʃʲe
moşneag	moʃˈne̯ag
moştenească	moʃtene̯askə
moştenesc	moʃteˈnesk
moşteneşte	moʃteˈneʃte
moşteni	moʃˈteni
moştenire	moʃtenire
moştenirea	moʃteniˈre̯a
moştenirii	moʃteˈrinje
moştenit	moʃteˈnit
moştenit-o	moʃteˈnit̪o
moştenitoare	moʃtenito̯are
moştenitoarea	moʃtenito̯are̯a
moştenitor	moʃteni'tor
moştenitori	moʃteniˈtorʲ
moştenitorul	moʃtenitoˈrul
moşu	moʃu
moşul	moʃul
moşule	moʃule
moşului	moʃuˈluj
moţiune	moʈiune
moţiunea	moʈiˈunʲe̯a
moș	moʃ
moșcondire	moʃkondire
moșcotire	moʃkotire
moși	moʃi
moșia	moʃija
moșic	moʃik
moșică	moʃikə
moșie	moʃije
moșier	moʃier
moșiereasă	moʃierĕasə
moșieresc	moʃieresk
moșierime	moʃierime
moșieriță	moʃieritsə
moșinoi	moʃinoj
moșioară	moʃiŏarə
moșire	moʃire
moșiroi	moʃiroj
moșit	moʃit
moșmolire	moʃmolire
moșmolit	moʃmolit
moșmon	moʃmon
moșmondire	moʃmondire
moșmondit	moʃmondit
moșmonire	moʃmonire
moșmonit	moʃmonit
moșna	moʃna
moșneag	moʃnĕag
moșnean	moʃnĕan
moșneancă	moʃnĕankə
moșnegel	moʃnedʒel
moșnegesc	moʃnedʒesk
moșnegește	moʃnedʒeʃte
moșneguț	moʃneguts
moșnegărie	moʃnegərije
moșnenesc	moʃnenesk
moșoroi	moʃoroj
moștean	moʃtĕan
moștenesc	moʃtenesk
moștenire	moʃtenire
moștenirea	moʃteniˈre̯a
moștenit	moʃtenit
moștenitor	moʃtenitor
moștenită	moʃtenitə
moșuleț	moʃulets
moșulică	moʃulikə
moșului	moʃuluj
moșuroi	moʃuroj
moț	mots
moța	motsa
moțare	motsare
moțat	motsat
moțesc	motsesk
moțiune	motsiune
moțogan	motsogan
moțogancă	motsogankə
moțpan	motspan
moțpancă	motspankə
moțpănoi	motspənoj
moțăială	motsəjalə
moțăire	motsəire
moțăit	motsəit
moțăitură	motsəiturə
mp	mp
mplat	mpɫat
mr	mr̪
mraniță	mranitsə
mreajă	mrĕaʒə
mreană	mrĕanə
mrejire	mreʒire
mrejit	mreʒit
mrejă	mreʒə
mrenuță	mrenutsə
mri	mrɨ
mrs	mr̪s
mrănițos	mrənitsos
ms	ms
msi	msi
mt	mt
mtv	mtv
mu	mu
muabil	muwabil
muabilitate	muwabilitate
muad	muɑd
muc	muk
muc	ˈmuk
mucalit	mukalit
mucalitlâc	mukalitlɨk
mucar	mukar
mucarer	mukarer
mucarnic	mukarnik
mucarniță	mukarnitsə
mucava	mukava
mucea	mutʃ̩a
muced	mutʃed
mucegai	mutʃegaj
mucegai	ˈmutʃegaj
mucegaiul	ˈmutʃegajul
mucegăială	mutʃegəjalə
mucegăios	mutʃegəjos
mucegăire	mutʃegəire
mucegăit	mutʃegəit
mucenic	mutʃenik
mucenicie	mutʃenitʃije
muceniță	mutʃenitsə
mucezeală	mutʃezĕalə
mucezi	mutʃezi
mucezire	mutʃezire
mucezit	mutʃezit
much	mutʃ
muche	muke
muchie	ˈmʊkje
mucho	mutʃo
muci	mutʃʲ
mucigai	mutʃigaj
mucigăire	mutʃigəire
mucigăit	mutʃigəit
mucilaginos	mutʃiladʒinos
mucilagiu	mutʃiladʒ̩u
mucină	mutʃinə
muciorniță	mutʃ̩ornitsə
mucles	mukles
mucoitină	mukoitinə
mucoproteidă	mukoproteidə
mucoracee	mukoratʃee
mucos	mukos
mucos	ˈmukos
mucozitate	mukozitate
mucronat	mukronat
muculeț	mukulets
mucus	mukus
mucus	ˈmukus
mucușor	mukuʃor
mucărire	mukərire
mucărit	mukərit
mud	mud
mudejar	mudeʒar
mudir	mudir
mudura	mudura
mueller	ˈmulɛr
muezin	muezin
muflon	muflon
mufluz	mufluz
muflă	muflə
muftiu	muftiw
mufă	mufə
muget	mudʒet
mugi	mudʒi
mugilid	mudʒilid
mugind	mudʒind
mugire	mudʒire
mugit	mudʒit
mugitor	mudʒitor
mugur	mugur
mugura	mugura
mugurare	mugurare
mugurat	mugurat
muguraș	muguraʃ
mugure	mugure
mugurel	mugurel
muguri	ˈmuguri
mugurire	mugurire
mugurit	mugurit
muhafiz	muhafiz
muhaia	muhaja
muhammad	muhaməd
muhur	muhur
muhurdar	muhurdar
muia	muja
muiant	mujant
muiat	mujat
muie	mujɛ
muieratec	mujeratek
muieratic	mujeratik
muierce	mujertʃe
muiere	mujere
muiere	muˈjere
muierea	mujˈere̯a
muieresc	mujeresk
muieret	mujeret
muierește	mujereʃte
muieri	mujɛri
muierime	mujerime
muierire	mujerire
muieros	mujeros
muierușcă	mujeruʃkə
muierușă	mujeruʃə
muir	mujr
muirfield	muːrfiːld
muist	mujst
muit	muit
muiţumesc	mujˈtumesk
muja	muʒa
mujahedin	muʒahedin
mujdei	muʒdej
mujic	muʒik
mujinju	muʒinʒu
mul	mul
mula	mula
mulaj	mulaʒ
mulan	muˈlan
mulare	mulare
mulat	mulat
mulatru	mulatru
mulcom	mulkom
mulcomire	mulkomire
mulcomit	mulkomit
mulder	muldɛr
muldoon	mulˈdoːn
mulgară	mulgarə
mulge	muldʒe
mulgere	muldʒere
mulgător	mulgətor
mulina	mulina
mulinare	mulinare
mulinat	mulinat
mulinet	mulinet
mulinetă	mulinetə
mulineu	mulinew
mullen	muˈlen
muller	mulə
mulligan	muligan
mullins	mullinʃ
mullit	mul̩it
muls	muls
muls	mulʃ
mulsoare	mulsŏare
mulsul	mulsul
mulsură	mulsurə
mult	муlt
multa	multa
multa	ˈmulta
multam	ˈmultam
multe	multe
multe	ˈmulte
multele	multɛlɛ
multicar	multikar
multicel	multitʃel
multicolor	multikolor
multicultural	multikultural
multiflor	multiflor
multiform	multiform
multigrad	multigrad
multilateral	multilateral
multime	ˈmultime
multimea	ˈmultime̯a
multimedia	multimedija
multimetru	multimetru
multimii	ˈmultimij
multimilenar	multimilenar
multimiliardar	multimilijardar
multipar	multipar
multipartid	multipartid
multipartidism	multipartidism
multipartit	multipartit
multiplica	multiplika
multiplica	ˌmultipliˈka
multiplicabil	multiplikabil
multiplicare	multiplikare
multiplicat	multiplikat
multiplicativ	multiplikativ
multiplicator	multiplikator
multiplicație	multiplikatsije
multiplă	multiplə
multiplă	ˈmʊltiplə
multipol	multipol
multipolar	multipolar
multiprogramare	multiprogramare
multisecular	multisekular
multitudine	multitudine
multivibrator	multivibrator
multișor	multiʃor
multor	ˈmultor
multora	ˈmultora
multul	multul
multumesc	ˈmultumesk
multumeste	ˈmultumeste
multumesti	ˈmultumesti
multumi	ˈmultumʲ
multumim	ˈmultumim
multumire	ˈmultumire
multumiri	ˈmultumirʲ
multumit	ˈmultumit
multumita	ˈmultumita
multumiti	ˈmultumiti
multumită	ˈmultumɨtə
multă	ˈmultə
mulură	mulurə
mulţam	ˈmultsɨm
mulţi	муlʲtsʲ
mulţimea	ˈmultsime̯a
mulţimii	муlʲtimʲ
mulţimile	ˈmultsimile
mulţumească	ˈmoltsume̯aʃka
mulţumesc	мулʲтʊˈmesk
mulţumeşte	мулʲˈtsumeʃte
mulţumeşte-i	ˈmultsumeʃte̯i
mulţumeşti	мулʲtumeʃʲti
mulţumi	мулʲʈʊmi
mulţumim	ˈmultsumin
mulţumire	ˈmultsumire
mulţumirile	мулʲtsumiriʎe
mulţumită	ˈmultsumitə
mulţumiţi	мулʲʈумиʈʲ
mulțam	multsam
mulți	mults
mulți	muɫʲtsʲ
mulțime	multsime
mulțimea	multsimĕa
mulțimea	ˈmuldʒime̯a
mulțimii	multsimij
mulțumească	multsumĕaskə
mulțumesc	multsumesk
mulțumești	multsumeʃt
mulțumi	multsumi
mulțumi	мулцуми
mulțumim	multsumim
mulțumim	муltsumim
mulțumire	multsumire
mulțumiri	multsumir
mulțumiri	ˈmultsumiri
mulțumit	multsumit
mulțumit	муltsumit
mulțumitor	multsumitor
mulțumită	multsumitə
mulțumită	ˈmuldʒumitə
mulțumiți	multsumits
mulțămire	multsəmire
mulțămit	multsəmit
mulțămitor	multsəmitor
mumbai	muːmˈbiː
mumbaia	mumbaja
mumbaiegiu	mumbaijedʒ̩w
mumbașir	mumbaʃir
mumetal	mumetal
mumia	ˈmumja
mumie	mumije
mumie	ˈmumije
mumifia	mumifia
mumifiant	mumifiant
mumifiat	mumifiat
mumifica	mumifika
mumificare	mumifikare
mumificat	mumifikat
mumificație	mumifikatsije
mumifiere	mumifiere
mumii	ˈmumi
mumuleanu	mumulĕanu
mumă	mumə
mun	mun
munc	munk
munca	ˈmuntʃə
muncea	ˈmuntʃe̯a
munceam	ˈmuntʃe̯am
munceasca	ˈmuntʃe̯askə
muncească	muntʃ̩askə
muncească	ˈmuntʃe̯asə
munceau	muntʃ̩aw
muncel	muntʃel
muncelean	muntʃelĕan
muncesc	munˈtʃesk
munceste	munˈtʃeste
muncesti	munˈtʃestʲ
munceşte	ˈmuntʃeʃte
munceşti	ˈmuntʃeʃtʲ
muncești	muntʃeʃt
munch	muntʃ
munchen	ˈmunkən
munci	muntʃi
munci	muntʃʲ
muncii	muntʃij
muncile	munˈtʃile
muncim	munˈtʃim
muncind	munˈtʃind
muncire	muntʃire
muncise	muntʃise
muncit	muntʃit
muncit	munˈtʃit
munciti	munˈtʃitʲ
muncitoare	muntʃito̯are
muncitoare	muntʃitŏare
muncitor	muntʃitor
muncitor	ˈmuntʃitor
muncitoresc	muntʃitoresk
muncitorește	muntʃitoreʃte
muncitorii	muntʃitorij
muncitorii	ˈmuntʃitori
muncitorilor	muntʃitorilor
muncitorilor	ˈmuntʃitoɾol
muncitorime	muntʃitorime
muncitorul	ˈmuntʃitoɾul
munciţi	ˈmuntʃitsʲ
munciți	muntʃits
munculiță	munkulitsə
muncușoară	munkuʃŏarə
muncã	munˈkə
muncă	munkə
muncă	ˈmuntʃə
mundan	mundan
mundir	mundir
mundiraș	mundiraʃ
mungerie	mundʒerije
municipal	munitʃipal
municipal	muniˈtʃipal
municipale	muniˈtʃipale
municipalitate	munitʃipalitate
municipalitatea	munitʃipaliˈte̯a
municipaliza	munitʃipaliza
municipalizare	munitʃipalizare
municipalizat	munitʃipalizat
municipiu	munitʃipju
municipiul	munitʃipjul
munificent	munifitʃent
munificență	munifitʃentsə
munitia	munitsia
munitie	munitsie
muniţia	muˈnitsia
muniţie	ˈmunitsie
muniţii	munitsʲij
muniție	munitsije
muniție	ˈmunitsie
munna	munna
munni	muni
munro	munro
munson	munˈson
munte	munte
munte	ˈmunte
muntean	muntĕan
munteancă	muntĕankə
muntele	ˈmuntele
muntelui	munteluj
muntelui	ˈmunteluʲ
muntenegrean	muntenegrĕan
muntenegreancă	muntenegrĕankə
muntenesc	muntenesk
muntenește	munteneʃte
muntenism	muntenism
munteniza	munteniza
muntenizare	muntenizare
muntenizat	muntenizat
munti	munti
muntian	muntjan
munticel	muntitʃel
muntii	mun'tiː
muntilor	mun'tilor
muntișor	muntiʃor
muntos	muntos
munţi	ˈmuntsʲi
munţii	ˈmuntsʲij
munţilor	ˈmuntsiloɾ
munți	munts
munți	munʲtsʲ
munților	muntsilor
muppet	ˈmupet
mur	mur
mura	mura
mural	mural
muralist	muralist
murare	murare
muraru	muraru
murat	murat
murat	muˈrat
muraturi	muraturi
murată	ˈmuratə
murdar	murdar
murdar	ˈmurd̪ar
murdara	ˈmurdara
murdare	murdare
murdare	ˈmurdare
murdari	ˈmurd̪ari
murdarie	ˈmurd̪arje
murdară	murdarə
murdară	ˈmurd̪ara
murder	ˈmurdər
murdoch	ˈmurdɔk
murdock	ˈmurdok
murdărească	ˈmurdəˌre̯aʃkə
murdăresc	ˈmurdəresk
murdăreşti	ˈmurdəˌreʃtʲ
murdărește	murdəreʃte
murdări	ˈmurdəɾʲ
murdăria	ˈmurdəria
murdărie	murdərije
murdărie	ˈmurdərie
murdărire	murdərire
murdărit	murdərit
murdărit	ˈmurdərit
mure	mure
murea	ˈmure̯a
mureai	mureai
muream	muˈre̯am
mureau	məˈrewə
mureș	mureʃ
mureșan	mureʃan
mureșean	mureʃĕan
mureșeancă	mureʃĕankə
murg	murg
murgan	murgan
murgescu	murdʒesku
murgi	murdʒi
murgire	murdʒire
murgit	murdʒit
murgu	murgu
murgul	murgul
murguleț	murgulets
murgușor	murguʃor
murguț	murguts
muri	muri
muribund	muribund
muribund	ˈmuribund
murid	murid
muriel	muriˈel
murighiol	murigʲ̩̩ol
murii	muriː
murim	murim
murim	ˈmuriːm
murind	murind
murind	muˈɾind
murire	murire
murise	muriˈse
murit	murit
murit	muˈrit
muriti	muritʲ
muritoare	murito̯are
muritor	muritor
muritor	muriˈtor
muritori	muriˈtori
muritorii	muritoriː
muriţi	ˈmuritsi
muriș	muriʃ
murișoară	muriʃŏarə
murmuială	murmujalə
murmuire	murmuire
murmuitor	murmuitor
murmur	murmur
murmura	murmura
murmurare	murmurare
murmurat	murmurat
murmure	murmure
murmurând	murmurɨnd
murmurător	murmurətor
murph	murf
murphy	ˈmɜːrfi
murray	ˈmʊrɨj
murseca	murseka
mursecare	mursekare
mursecat	mursekat
mursica	mursika
mursicare	mursikare
mursicat	mursikat
mursă	mursə
murtaugh	ˈmurtɔf
muruială	murujalə
muruire	muruire
muruit	muruit
murărașu	murəraʃu
murături	ˈmuraturi
murătură	murəturə
mus	mus
musa	musa
musaca	musaka
musafir	musafir
musafiri	musafiri
musafirii	musafiri
musafirii	musafirij
musafirlâc	musafirlɨk
musafirul	musafirul
musaget	musadʒet
musai	musaj
musai	muˈsaj
musaip	musaip
musashi	muˈsaʃʲ
musc	musk
musca	ˈmuskə
muscal	muskal
muscar	muskar
muscardină	muskardinə
muscarină	muskarinə
muscat	muskat
muscat	ˈmuskat
muscatura	ˈmuskaturə
muscel	mustʃel
musceleanu	mustʃelĕanu
muschet	musket
muschetar	musketar
muschetari	muʃkeˈtarʲ
muscheton	musketon
muschetă	musketə
muschetărie	musketərije
muschi	ˈmuski
muschii	muʃˈki
muscicapidă	mustʃikapidə
muscinee	mustʃinee
muscoi	muskoj
muscovit	muskovit
muscular	muskular
muscular	ˈmuskular
musculare	ˈmuskulare
musculară	muskularə
musculară	ˈmuskuləra
musculat	muskulat
musculatură	muskulaturə
musculiță	muskulitsə
musculos	muskulos
muscuță	muskutsə
muscă	muskə
muscă	ˈmuskə
muscălesc	muskəlesk
muscălește	muskəleʃte
muscălime	muskəlime
muscărie	muskərije
muscărime	muskərime
muselim	muselim
muselin	muselin
muselină	muselinə
museum	muˈzeum
music	muzitʃ
musical	musikal
musical	muzikal
musiu	musju
muslim	muslim
muslin	muslin
muson	muson
musonic	musonik
mussolini	musiˈlini
must	must
mustafa	musˈtafa
mustang	mustang
mustang	ˈmustɑŋ
mustar	mus'tar
mustata	ˈmustatə
mustaţa	ˈmustatsə
mustaţă	ˈmustatsə
mustață	mustatsə
mustață	ˈmustətsə
muste	ˈmuste
musteață	mustĕatsə
mustecios	mustetʃ̩os
mustele	ˈmustele
mustelidă	mustelidə
musterian	musterijan
mustimetru	mustimetru
mustire	mustire
mustometru	mustometru
mustos	mustos
mustra	mustra
mustrare	mustrare
mustrare	ˈmustrare
mustrat	mustrat
mustru	mustru
mustrări	ˈmustrəɾʲ
mustrările	mustrərile
mustrător	mustrətor
mustuială	mustujalə
mustuire	mustuire
mustuit	mustuit
mustuitor	mustuitor
mustuitură	mustuiturə
mustăcilă	mustətʃilə
mustăcios	mustətʃ̩os
mustăcire	mustətʃire
mustăreață	mustərĕatsə
mustărie	mustərije
mustăţi	ˈmustətsʲ
mustățea	mustətsĕa
mustăți	mustəts
musulman	musulman
musulman	ˌmusulˈman
musulmane	musulmane
musulmani	musulmani
musulmanii	ˌmusulˈmanij
musulmanilor	musulmanilʲor
musulmană	ˈmusulmanə
mut	mut
muta	muta
muta	ˈmuta
mutabil	mutabil
mutabilitate	mutabilitate
mutacism	mutatʃism
mutagen	mutadʒen
mutageneză	mutadʒenezə
mutai	mutaj
mutam	ˈmutam
mutandis	mutandis
mutant	mutant
mutant	ˈmutant
mutanţi	ˈmutantsʲ
mutanţii	ˈmutantsʲij
mutanţilor	ˈmutantsilor
mutare	mutare
mutare	ˈmut̪are
mutarea	ˈmut̪are̯a
mutase	mutase
mutat	mutat
mutat	ˈmutat
mutat-o	ˈmut̪at̪o
mutati	muˈtati
mutatis	mutatis
mutativ	mutativ
mutator	mutator
mutatul	mutatul
mutatul	ˈmutatul
mutată	ˈmutətə
mutaţi	ˈmutatsʲ
mutaţia	ˈmutatsia
mutaţie	ˈmutatsie
mutaţii	ˈmutatsʲij
mutați	ˈmutatsʲ
mutație	mutatsije
mute	mute
mutelcă	mutelkə
mutesc	mutesk
mutește	muteʃte
muti	muti
mutic	mutik
mutila	mutila
mutilant	mutilant
mutilare	mutilare
mutilat	mutilat
mutilat	mutiˈlat
mutilator	mutilator
mutism	mutism
mutitate	mutitate
muton	muton
mutra	ˈmutra
mutrișoară	mutriʃŏarə
mutră	mutrə
mutră	ˈmutrə
mutt	mut
mutu	mutu
mutual	mutuwal
mutual	ˈmutual
mutualism	mutuwalism
mutualist	mutuwalist
mutualitate	mutuwalitate
mutulică	mutulikə
mutulă	mutulə
mută	ˈmutə
mută-ţi	ˈmutətsʲ
mutălău	mutələw
mutăm	ˈmutəm
mutări	mutəri
mutătoare	mutətŏare
muy	muj
muza	muza
muzee	muˈze̯e̯
muzeele	muˈze̯ele
muzeistic	muzeistik
muzeograf	muzeograf
muzeografic	muzeografik
muzeografie	muzeografije
muzeolog	muzeolog
muzeologie	muzeolodʒije
muzeotehnică	muzeotehnikə
muzeu	muzew
muzeu	muˈze̯u
muzeul	muˈze̯ul
muzeului	muˈzewlej
muzica	muˈzʲika
muzical	muzikal
muzical	muˈzʲikal
muzicala	muzikala
muzicale	muzikale
muzicale	muziˈkale
muzicalism	muzikalism
muzicalitate	muzikalitate
muzicaliza	muzikaliza
muzicalizare	muzikalizare
muzicalizat	muzikalizat
muzicală	muzikalə
muzicant	muzikant
muzicastru	muzikastru
muzician	muzitʃijan
muzician	muziʃi̯an
muzicieni	muˈzitʃjen
muzicienii	muziˈtʃjenij
muzicii	muˈzitʃʲ
muzicograf	muzikograf
muzicografic	muzikografik
muzicografie	muzikografije
muzicolog	muzikolog
muzicologic	muzikolodʒik
muzicologie	muzikolodʒije
muzicoman	muzikoman
muzicomanie	muzikomanije
muzicotecă	muzikotekə
muzicoterapie	muzikoterapije
muzicuță	muzikutsə
muzică	muzikə
muzică	muˈzɪkə
muzoar	muzoar
muză	muza
muză	muzə
muşamalizare	muʃamaliʒare
muşamalizat	muʃamaˈlizat
muşamalizeze	muʃaˈmalizeze
muşc	muʃk
muşca	muʃka
muşcat	muʃˈkat
muşcat-o	muʃˈkat̪o
muşcată	muʃkatə
muşcaţi	muʃˈkətsʲ
muşchetari	muʃkeˈtarʲ
muşchi	muʃki
muşchii	muʃˈki
muşchilor	muʃˈkilor
muşchiul	muʃkiw
muşcă	muʃkə
muşcă-mă	muʃkəma
muşcătura	muʃkə'tura
muşcături	muʃkə'turʲ
muşcătură	muʃkə'turə
muşeţel	muʃeʃel
muştar	muʃ'tar
muştarul	muʃtəˈrul
muşte	muʃte
muştele	muʃˈtele
muşti	muʃtʲ
muţi	муʈʲ
mușama	muʃama
mușamaliza	muʃamaliza
mușamalizare	muʃamalizare
mușamalizat	muʃamalizat
mușat	muʃat
mușatescu	muʃatesku
mușcare	muʃkare
mușcat	muʃˈkat
mușchi	muʃk
mușchi	muʃki
mușchii	muʃkij
mușcător	muʃkətor
mușcătură	muʃkəturə
mușetescu	muʃetesku
mușețel	muʃetsel
mușina	muʃina
mușinare	muʃinare
mușinat	muʃinat
mușinoi	muʃinoj
mușiroi	muʃiroj
mușiroire	muʃiroire
mușiroit	muʃiroit
mușiță	muʃitsə
mușlui	muʃlui
mușluire	muʃluire
muștar	muʃtar
muștarieră	muʃtarijerə
muște	ˈmuʃte
muștea	muʃtĕa
mușterii	muʃterij
mușteriii	muʃteriji
mușteriu	muʃteriw
muștruluială	muʃtrulujalə
muștruluire	muʃtruluire
muștruluit	muʃtruluit
mușunoi	muʃunoj
mușuroi	muʃuroj
mușuroire	muʃuroire
mușuroit	muʃuroit
muțenie	mutsenije
muție	mutsije
muțire	mutsire
muțiu	mutsiu
muțunache	mutsunake
mwah	mawa
my	mi
mycroft	miˈkɾoft
myers	mi̯erʃ
myka	maɪ̯ka
mylene	miˈlene
myra	mira
myron	miˈron
myrtle	ˈmɨrtlə
mystery	miˈsteɾi
mystic	ˈmistik
mâglaș	mɨglaʃ
mâgliseală	mɨglisĕalə
mâglisire	mɨglisire
mâglisit	mɨglisit
mâglisitor	mɨglisitor
mâglă	mɨglə
mâhnicios	mɨhnitʃ̩os
mâhniciune	mɨhnitʃ̩une
mâhnire	mɨhnire
mâhnit	mɨhnit
mâhnitor	mɨhnitor
mâine	mɨjne
mâine-dimineaţă	mainedimineˈatsə
mâine-seară	majnesera
mâinea	mɨjnĕa
mâini	mɨjn
mâini	ˈmɨjni
mâinii	ˈmɨjni
mâinile	mɨjnile
mâinile	ˈmɨjnile
mâinile-n	ˈmɨjnilen
mâinilor	ˈmɨjnilor
mâitură	mɨjturə
mâl	mɨl
mâlc	mɨlk
mâlci	mɨltʃi
mâlcire	mɨltʃire
mâlcit	mɨltʃit
mâlire	mɨlire
mâlit	mɨlit
mâlitură	mɨliturə
mâlos	mɨlos
mân	män
mâna	mɨna
mâna	ˈmɨnə
mânare	mɨnare
mânat	mɨnat
mânat	ˈmɨnat
mânaș	mɨnaʃ
mânca	mäntʃa
mânca	mɨnka
mâncai	ˈmɨŋkaj
mâncam	mänkam
mâncam	mɨnkam
mâncare	mänkare
mâncare	mɨnkare
mâncarea	mɨnkarĕa
mâncarea	ˈmɨŋkare̯a
mâncase	mɨnkase
mâncat	mɨnkat
mâncat-o	mänˈkat̪o
mâncate	mänˈkate
mâncati	ˈmɨŋkati
mâncatul	mänkatuɫ
mâncată	ˈmɨŋkətə
mâncau	mänkau
mâncați	mɨnkats
mâncăcios	mɨnkətʃ̩os
mâncărici	mɨnkəritʃ
mâncărică	mɨnkərikə
mâncării	ˈmɨŋkərʲ
mâncărime	mɨnkərime
mâncător	mɨnkətor
mâncător	ˈmɨŋkətor
mâncători	ˈmɨŋkətorʲ
mâncătorie	mɨnkətorije
mâncătură	mɨnkəturə
mâncău	mɨnkəw
mândra	mɨndra
mândra	ˈmɨndra
mândre	ˈmɨndre
mândresc	ˈmɨndresk
mândrește	mɨndreʃte
mândrețe	mɨndretse
mândri	ˈmɨndɾʲ
mândria	mɨndrija
mândria	ˈmɨndɾia
mândrie	mɨndrije
mândrie	ˈmɨndɾie
mândriei	ˈmɨndɾiej
mândrii	ˈmɨndɾʲ
mândrim	mɨndrim
mândrim	ˈmɨndrim
mândrire	mɨndrire
mândrișor	mɨndriʃor
mândru	mɨndru
mândru	ˈmɨndru
mândruleană	mɨndrulĕanə
mândrulică	mɨndrulikə
mândruliță	mɨndrulitsə
mândruț	mɨndruts
mândruță	mɨndrutsə
mândră	ˈmɨndrə
mândălac	mɨndəlak
mâne	ˈmɨne
mânea	mɨnĕa
mâneca	mæ̃ːntʃə
mâneca	mɨneka
mânecar	mɨnekar
mânecare	mɨnekare
mânecat	mɨnekat
mâneci	ˈmɨntʃʲ
mânecii	mæ̃ntʃʲ
mânecile	mæ̃nétʃile
mânecuță	mɨnekutsə
mânecă	mæ̃neka
mâner	mɨner
mâner	ˈmɨner
mânere	mɨnere
mânere	ˈmɨnere
mânerul	ˈmɨnerul
mânezi	mɨnez
mângâi	ˈmɨŋgəj
mângâia	maŋˈgajə
mângâia	mɨngɨja
mângâiat	mɨngɨjat
mângâiat	ˈmɨŋgəˌjat
mângâie	ˈmɨŋɨe
mângâiere	mɨngɨjere
mângâiere	ˈmɨŋgejre
mângâierea	mɨngɨjerĕa
mângâietor	mɨngɨjetor
mângâios	mɨngɨjos
mânia	maˈniə
mânia	mɨnia
mâniat	mɨniat
mânicuță	mɨnikutsə
mânică	mɨnikə
mânie	mɨnije
mânie	ˈmɨnie
mâniei	mɨnijej
mâniei	ˈmɨnej
mânioasă	ˈmɨɲo̯asə
mânios	mɨnios
mânios	ˈmɨɲoʃ
mânjeală	mɨnʒĕalə
mânjire	mɨnʒire
mânjit	mɨnʒit
mânjit	ˈmɨɲit
mânjitură	mɨnʒiturə
mântui	mɨntui
mântuială	mɨntujalə
mântuială	ˈmɨntwalə
mântuință	mɨntuintsə
mântuire	mɨntuire
mântuire	ˈmɨntujre
mântuirea	mɨntuirĕa
mântuirea	ˈmɨntujəre̯a
mântuit	mɨntuit
mântuit	ˈmɨntujt
mântuitor	mɨntuitor
mântuitor	ˈmɨntujtor
mântuitorul	ˈmɨntujtorul
mântuleasa	mɨntulĕasa
mântuș	mɨntuʃ
mânui	mänuj
mânuiască	mänujɛskə
mânuiesc	ˈmɨnujeʃk
mânuieşti	mänujɛʃtʲ
mânuire	mɨnuire
mânuirea	ˈmɨnujre̯a
mânuit	mɨnuit
mânuit	ˈmɨnujt
mânuitor	mɨnuitor
mânuitor	ˈmɨnujtor
mânuriță	mɨnuritsə
mânușar	mɨnuʃar
mânușiță	mɨnuʃitsə
mânușă	mɨnuʃə
mânuță	mɨnutsə
mânz	mänz
mânz	mɨnz
mânzare	mɨnzare
mânzat	mɨnzat
mânzește	mɨnzeʃte
mânzișor	mɨnziʃor
mânzoc	mɨnzok
mânzuc	mɨnzuk
mânzul	mänzuɫ
mânzuleț	mɨnzulets
mânzărar	mɨnzərar
mână	mänə
mânăstioară	mɨnəstiŏarə
mânăstire	mɨnəstire
mânăstire	ˈmɨnəstire
mânăstiresc	mɨnəstiresk
mânătarcă	mɨnətarkə
mânător	mɨnətor
mânătură	mɨnəturə
mânăștergură	mɨnəʃtergurə
mâr	mɨr
mârc	mɨrk
mârced	mɨrtʃed
mârlan	mɨrlan
mârlire	mɨrlire
mârlit	mɨrlit
mârlănesc	mɨrlənesk
mârlănește	mɨrləneʃte
mârlănie	mɨrlənije
mârtan	mɨrtan
mârza	mɨrza
mârzac	mɨrzak
mârzescu	mɨrzesku
mârâială	mɨrɨjalə
mârâie	mɨrɨje
mârâieli	mɨrɨjel
mârâind	ˈmɨrɨjnd
mârâitul	mɨrɨjtul
mârșav	mɨrʃav
mârșăvi	mɨrʃəvi
mârșăvie	mɨrʃəvije
mârșăvire	mɨrʃəvire
mârșăvit	mɨrʃəvit
mârțoagă	mɨrtsŏagə
mâtcă	mɨtkə
mâtcălău	mɨtkələw
mâzgos	mɨzgos
mâzgă	mɨzgə
mâzgăleală	mɨzgəlĕalə
mâzgălire	mɨzgəlire
mâzgălit	mɨzgəlit
mâzgălitură	mɨzgəliturə
mâţă	ˈmɨtsə
mâț	mɨts
mâțan	mɨtsan
