є	jɛ
університетська	ʊnʲiʋersetɛtsʲkɐ
університетське	ʊnʲiʋersetɛtsʲke
університетський	ʊnʲiʋersetɛtsʲkei̯
університетським	ʊnʲiʋersetɛtsʲkem
університетськими	ʊnʲiʋersetɛtsʲkeme
університетських	ʊnʲiʋersetɛtsʲkex
університетського	ʊnʲiʋersetɛtsʲkɔɦɔ
університетському	ʊnʲiʋersetɛtsʲkɔmʊ
університетською	ʊnʲiʋersetɛtsʲkɔjʊ
університетської	ʊnʲiʋersetɛtsʲkɔji
університетську	ʊnʲiʋersetɛtsʲkʊ
університетські	ʊnʲiʋersetɛtsʲkʲi
університетській	ʊnʲiʋersetɛtsʲkʲii̯
університетськім	ʊnʲiʋersetɛtsʲkʲim
університету	ʊnʲiʋersetɛtʊ
університеті	ʊnʲiʋersetɛtʲi
університетів	ʊnʲiʋersetɛtʲiu̯
унікальний	ʊnʲikalʲnei̯
унікальність	ʊnʲikalʲnʲisʲtʲ
унітаз	ʊnʲitaz
унітарний	ʊnʲitarnei̯
уніфікувати	ʊnʲifʲikʊʋate
уособити	ʊɔsɔbete
уособлення	ʊɔsɔbɫenʲːɐ
уособлювати	ʊɔsɔblʲʊʋɐte
уп'ять	ʊpjatʲ
упаковка	ʊpɐkɔu̯kɐ
упанішади	ʊpɐnʲiʃade
упасти	ʊpaste
упевнений	ʊpɛu̯nenei̯
упевненість	ʊpɛu̯nenʲisʲtʲ
упереджений	ʊperɛdʒenei̯
упередження	ʊperɛdʒenʲːɐ
упертий	ʊpɛrtei̯
упир	ʊpɪr
уповати	ʊpɔʋate
уповноваження	ʊpɔu̯nɔʋaʒenʲːɐ
уповноважити	ʊpɔu̯nɔʋaʒete
уповноважувати	ʊpɔu̯nɔʋaʒʊʋɐte
уповільнити	ʊpɔʋʲilʲnete
уповільнювати	ʊpɔʋʲilʲnʲʊʋɐte
уповільнюватися	ʊpɔʋʲilʲnʲʊʋɐtesʲɐ
уподібнення	ʊpodʲibnenʲːɐ
упоратися	ʊpɔrɐtesʲɐ
упорядковувати	ʊpɔrʲɐdkɔwʊʋɐte
упорядкувати	ʊpɔrʲɐdkʊʋate
управління	ʊprɐu̯lʲinʲːɐ
управлінський	ʊprɐu̯lʲinʲsʲkei̯
упритул	ʊpretuɫ
ураган	ʊrɐɦan
ураження	ʊraʒenʲːɐ
уран	ʊran
уранці	ʊranʲtsʲi
урбанізація	ʊrbɐnʲizatsʲijɐ
урбанізм	ʊrbɐnʲizm
урбанізований	ʊrbɐnʲizɔʋɐnei̯
урбанізувати	ʊrbɐnʲizʊʋate
урду	ʊrdu
уривчастий	ʊrɪu̯tʃɐstei̯
урка	urkɐ
уркам	urkɐm
урками	urkɐme
урках	urkɐx
урки	urke
урко	urkɔ
уркою	urkɔjʊ
урку	urkʊ
урода	ʊrɔdɐ
уродженець	ʊrɔdʒenetsʲ
уроди	ʊrɔde
уродин	ʊrɔdɪn
уродинам	ʊrɔdɪnɐm
уродинами	ʊrɔdɪnɐme
уродинах	ʊrɔdɪnɐx
уродини	ʊrɔdɪne
уродливий	ʊrɔdɫɪʋei̯
уродо	ʊrɔdɔ
уродою	ʊrɔdɔjʊ
уроду	ʊrɔdʊ
уроді	ʊrɔdʲi
урожай	ʊrɔʒai̯
урожайне	ʊrɔʒai̯ne
урожайний	ʊrɔʒai̯nei̯
урок	urɔk
урок	ʊrɔk
урокам	ʊrɔkɐm
уроками	ʊrɔkɐme
уроках	ʊrɔkɐx
уроки	ʊrɔke
урокові	ʊrɔkɔʋʲi
уроком	ʊrɔkɔm
уроку	ʊrɔkʊ
уроків	ʊrɔkʲiu̯
уроці	ʊrɔtsʲi
урочистий	ʊrɔtʃɪstei̯
урочисто	ʊrɔtʃɪstɔ
уругвайка	ʊrʊɦʋai̯kɐ
уругвайський	ʊrʊɦʋai̯sʲkei̯
уругваєць	ʊrʊɦʋajetsʲ
урці	urtsʲi
уряд	urʲɐd
уряд	ʊrʲad
урядова	ʊrʲɐdɔʋɐ
урядове	ʊrʲɐdɔʋe
урядовець	ʊrʲɐdɔʋetsʲ
урядовий	ʊrʲɐdɔʋei̯
урядові	urʲɐdɔʋʲi
урядові	ʊrʲɐdɔʋʲi
уряду	urʲɐdʊ
урівноважити	ʊrʲiu̯nɔʋaʒete
урівноважувати	ʊrʲiu̯nɔʋaʒʊʋɐte
урізноманітнити	ʊrʲiznɔmɐnʲitnete
урізноманітнювати	ʊrʲiznɔmɐnʲitʲnʲʊʋɐte
усвідомити	ʊsʲʋʲidɔmete
усвідомлений	ʊsʲʋʲidɔmɫenei̯
усвідомлення	ʊsʲʋʲidɔmɫenʲːɐ
усвідомлювати	ʊsʲʋʲidɔmlʲʊʋɐte
усе	use
усиновитель	ʊsenɔʋɪtelʲ
усиновлювач	ʊsenɔu̯lʲʊʋɐtʃ
ускладнити	ʊskɫɐdnɪte
ускладнювати	ʊskɫadʲnʲʊʋɐte
усміхавсь	ʊsʲmʲixau̯sʲ
усміхався	ʊsʲmʲixau̯sʲɐ
усміхавшись	ʊsʲmʲixau̯ʃesʲ
усміхаймось	ʊsʲmʲixai̯mɔsʲ
усміхаймося	ʊsʲmʲixai̯mɔsʲɐ
усміхайсь	ʊsʲmʲixai̯sʲ
усміхайся	ʊsʲmʲixai̯sʲɐ
усміхайтесь	ʊsʲmʲixai̯tesʲ
усміхайтеся	ʊsʲmʲixai̯tesʲɐ
усміхалась	ʊsʲmʲixaɫɐsʲ
усміхалася	ʊsʲmʲixaɫɐsʲɐ
усміхались	ʊsʲmʲixaɫesʲ
усміхалися	ʊsʲmʲixaɫesʲɐ
усміхалось	ʊsʲmʲixaɫɔsʲ
усміхалося	ʊsʲmʲixaɫɔsʲɐ
усміхатися	ʊsʲmʲixatesʲɐ
усміхаюсь	ʊsʲmʲixajʊsʲ
усміхаюся	ʊsʲmʲixajʊsʲɐ
усміхаються	ʊsʲmʲixajʊtsʲːɐ
усміхаючись	ʊsʲmʲixajʊtʃesʲ
усміхаємось	ʊsʲmʲixajemɔsʲ
усміхаємося	ʊsʲmʲixajemɔsʲɐ
усміхаємся	ʊsʲmʲixajemsʲɐ
усміхаєтесь	ʊsʲmʲixajetesʲ
усміхаєтеся	ʊsʲmʲixajetesʲɐ
усміхається	ʊsʲmʲixajetsʲːɐ
усміхаєшся	ʊsʲmʲixajesʲːɐ
усміхнутися	ʊsʲmʲixnutesʲɐ
усмішка	usʲmʲiʃkɐ
усмішка	ʊsʲmʲiʃkɐ
усний	usnei̯
усно	usnɔ
успадковувати	ʊspɐdkɔwʊʋɐte
успадкувати	ʊspɐdkʊʋate
успіх	usʲpʲix
успішна	ʊsʲpʲiʃnɐ
успішне	ʊsʲpʲiʃne
успішний	ʊsʲpʲiʃnei̯
успішним	ʊsʲpʲiʃnem
успішними	ʊsʲpʲiʃneme
успішних	ʊsʲpʲiʃnex
успішно	ʊsʲpʲiʃnɔ
успішного	ʊsʲpʲiʃnɔɦɔ
успішному	ʊsʲpʲiʃnɔmʊ
успішною	ʊsʲpʲiʃnɔjʊ
успішної	ʊsʲpʲiʃnɔji
успішну	ʊsʲpʲiʃnʊ
успішні	ʊsʲpʲiʃnʲi
успішній	ʊsʲpʲiʃnʲii̯
успішнім	ʊsʲpʲiʃnʲim
уста	ʊsta
уставати	ʊstɐʋate
установа	ʊstɐnɔʋɐ
установити	ʊstɐnɔʋɪte
установлений	ʊstɐnɔu̯ɫenei̯
установлювати	ʊstɐnɔu̯lʲʊʋɐte
устаткування	ʊstɐtkʊʋanʲːɐ
устигати	ʊsteɦate
устриця	ustretsʲɐ
устрій	ustʲrʲii̯
устрій	ʊstʲrʲii̯
усувати	ʊsʊʋate
усунути	ʊsunʊte
усього	ʊsʲɔɦɔ
усьому	ʊsʲɔmʊ
усю	ʊsʲu
уся	ʊsʲa
усі	ʊsʲi
усій	ʊsʲii̯
усім	ʊsʲim
усіма	ʊsʲima
усіх	ʊsʲix
усією	ʊsʲijɛjʊ
усієї	ʊsʲijɛji
утворений	ʊtwɔrenei̯
утворення	ʊtwɔrenʲːɐ
утворити	ʊtwɔrɪte
утворювати	ʊtwɔrʲʊʋɐte
утекти	ʊtektɪ
утеча	ʊtɛtʃɐ
утома	ʊtɔmɐ
утомлений	ʊtɔmɫenei̯
утопічний	ʊtopʲitʃnei̯
утопія	ʊtɔpʲijɐ
уторгнення	ʊtɔrɦnenʲːɐ
уточнити	ʊtɔtʃnɪte
уточнювати	ʊtɔtʃnʲʊʋɐte
утрат	ʊtrat
утрата	ʊtratɐ
утратам	ʊtratɐm
утратами	ʊtratɐme
утратах	ʊtratɐx
утрати	ʊtrate
утратою	ʊtratɔjʊ
утрату	ʊtratʊ
утраті	ʊtratʲi
утримання	ʊtrɪmɐnʲːɐ
утримати	ʊtrɪmɐte
утриматися	ʊtrɪmɐtesʲɐ
утримувати	ʊtrɪmʊʋɐte
утримуватися	ʊtrɪmʊʋɐtesʲɐ
утруднене	ʊtrudnene
утруднений	ʊtrudnenei̯
утруднити	ʊtrʊdnɪte
утруднювати	ʊtrudʲnʲʊʋɐte
утулити	ʊtʊɫɪte
утікач	ʊtʲikatʃ
утікачка	ʊtʲikatʃkɐ
утіха	ʊtʲixɐ
ухвала	ʊxʋaɫɐ
ухвалений	ʊxʋaɫenei̯
ухвалення	ʊxʋaɫenʲːɐ
ухвалив	ʊxʋɐɫɪu̯
ухвалити	ʊxʋɐɫɪte
ухвалювати	ʊxʋalʲʊʋɐte
ухвалюю	ʊxʋalʲʊjʊ
ухвалюють	ʊxʋalʲʊjʊtʲ
ухвалює	ʊxʋalʲʊje
ухвалюємо	ʊxʋalʲʊjemɔ
ухвалюєте	ʊxʋalʲʊjete
ухвалюєш	ʊxʋalʲʊjeʃ
ухилитися	ʊxeɫɪtesʲɐ
ухилянт	ʊxelʲant
ухилятися	ʊxelʲatesʲɐ
учасник	ʊtʃasnek
учасника	ʊtʃasnekɐ
учасникам	ʊtʃasnekɐm
учасниками	ʊtʃasnekɐme
учасниках	ʊtʃasnekɐx
учасники	ʊtʃasneke
учасником	ʊtʃasnekɔm
учасників	ʊtʃasnekʲiu̯
учасниця	ʊtʃasnetsʲɐ
участь	utʃɐsʲtʲ
учать	ʊtʃatʲ
учачи	ʊtʃɐtʃɪ
учений	ʊtʃɛnei̯
учениць	ʊtʃenɪtsʲ
ученицю	ʊtʃenɪtsʲʊ
учениця	ʊtʃenɪtsʲɐ
ученицям	ʊtʃenɪtsʲɐm
ученицями	ʊtʃenɪtsʲɐme
ученицях	ʊtʃenɪtsʲɐx
учениці	ʊtʃenɪtsʲi
учено	ʊtʃɛnɔ
учень	utʃenʲ
учи	ʊtʃɪ
учив	ʊtʃɪu̯
учивши	ʊtʃɪu̯ʃe
учила	ʊtʃɪɫɐ
учили	ʊtʃɪɫe
учим	ʊtʃɪm
учимо	ʊtʃemɔ
учинок	ʊtʃɪnɔk
учите	ʊtʃetɛ
учителеві	ʊtʃɪteɫeʋʲi
учителем	ʊtʃɪteɫem
учитель	ʊtʃɪtelʲ
учителька	ʊtʃɪtelʲkɐ
учителькам	ʊtʃetelʲkam
учительками	ʊtʃetelʲkame
учительках	ʊtʃetelʲkax
учительки	ʊtʃetelʲkɪ
учительки	ʊtʃɪtelʲke
учителько	ʊtʃɪtelʲkɔ
учителькою	ʊtʃɪtelʲkɔjʊ
учительку	ʊtʃɪtelʲkʊ
учительок	ʊtʃetelʲɔk
учительці	ʊtʃɪtelʲtsʲi
учителю	ʊtʃɪtelʲʊ
учителювання	ʊtʃetelʲʊʋanʲːɐ
учителювати	ʊtʃetelʲʊʋate
учителя	ʊtʃɪtelʲɐ
учителям	ʊtʃetelʲam
учителями	ʊtʃetelʲame
учителях	ʊtʃetelʲax
учителі	ʊtʃetelʲi
учителі	ʊtʃɪtelʲi
учителів	ʊtʃetelʲiu̯
учителів	ʊtʃɪtelʲiu̯
учити	ʊtʃɪte
учитися	ʊtʃɪtesʲɐ
учить	ʊtʃɪtʲ
учиш	ʊtʃɪʃ
учні	utʃnʲi
учнів	utʃnʲiu̯
учнівський	ʊtʃnʲiu̯sʲkei̯
учора	ʊtʃɔrɐ
учу	ʊtʃu
учім	ʊtʃʲim
учімо	ʊtʃʲimɔ
учіть	ʊtʃʲitʲ
ушкодження	ʊʃkɔdʒenʲːɐ
ущелина	ʊʃtʃɛɫenɐ
ущент	ʊʃtʃɛnt
ущільнювач	ʊʃtʃʲilʲnɔʋɐtʃ
уява	ʊjaʋɐ
уявити	ʊjɐʋɪte
уявлення	ʊjau̯ɫenʲːɐ
уявляти	ʊjɐu̯lʲate
уявний	ʊjau̯nei̯
уявіть	ʊjɐʋʲitʲ
фа	fa
фабрика	fabrekɐ
фабрикувати	fɐbrekʊʋate
фавна	fau̯nɐ
фагот	fɐɦɔt
фаза	fazɐ
фази	faze
фазовий	fazɔʋei̯
фазових	fazɔʋex
фазового	fazɔwɔɦɔ
фазові	fazɔʋʲi
файний	fai̯nei̯
файно	fai̯nɔ
фак	fak
факел	fakeɫ
факт	fakt
фактичний	fɐktɪtʃnei̯
фактично	fɐktɪtʃnɔ
фактологія	fɐktɔɫɔɦʲijɐ
факультет	fɐkʊlʲtɛt
факультетам	fɐkʊlʲtɛtɐm
факультетами	fɐkʊlʲtɛtɐme
факультетах	fɐkʊlʲtɛtɐx
факультети	fɐkʊlʲtɛte
факультетом	fɐkʊlʲtɛtɔm
факультету	fɐkʊlʲtɛtʊ
факультеті	fɐkʊlʲtɛtʲi
факультетів	fɐkʊlʲtɛtʲiu̯
фальконет	fɐlʲkɔnɛt
фальсифікація	fɐlʲsefʲikatsʲijɐ
фальсифікування	fɐlʲsefʲikʊʋanʲːɐ
фальсифікувати	fɐlʲsefʲikʊʋate
фальш	falʲʃ
фальшивий	fɐlʲʃɪʋei̯
фамілія	fɐmʲilʲijɐ
фанатик	fɐnatek
фанера	fɐnɛrɐ
фантасмагоричний	fɐntɐsmɐɦɔrɪtʃnei̯
фантасмагорія	fɐntɐsmɐɦɔrʲijɐ
фантаст	fɐntast
фантастика	fɐntastekɐ
фантастики	fɐntasteke
фантастикою	fɐntastekɔjʊ
фантастику	fɐntastekʊ
фантастиці	fɐntastetsʲi
фантастичний	fɐntɐstɪtʃnei̯
фанфік	fanfik
фараон	fɐrɐɔn
фарб	farb
фарба	farbɐ
фарби	farbe
фарбник	fɐrbnɪk
фарбу	farbʊ
фарбувати	fɐrbʊʋate
фарерський	fɐrɛrsʲkei̯
фармакологічний	fɐrmɐkɔɫoɦʲitʃnei̯
фармакологія	fɐrmɐkɔɫɔɦʲijɐ
фармацевтика	fɐrmɐtsɛu̯tekɐ
фармацевтичний	fɐrmɐtseu̯tɪtʃnei̯
фартух	fɐrtux
фарфор	farfɔr
фарфор	fɐrfɔr
фарш	farʃ
фасад	fɐsad
фастівський	fasʲtʲiu̯sʲkei̯
фатальний	fɐtalʲnei̯
фауна	faʊnɐ
фах	fax
фахівець	fɐxʲiʋɛtsʲ
фахівцеві	fɐxʲiu̯tsɛʋʲi
фахівцем	fɐxʲiu̯tsɛm
фахівцю	fɐxʲiu̯tsʲu
фахівця	fɐxʲiu̯tsʲa
фахівцям	fɐxʲiu̯tsʲam
фахівцями	fɐxʲiu̯tsʲame
фахівцях	fɐxʲiu̯tsʲax
фахівці	fɐxʲiu̯tsʲi
фахівців	fɐxʲiu̯tsʲiu̯
фашизм	fɐʃɪzm
фашина	fɐʃɪnɐ
фашист	fɐʃɪst
фашистка	fɐʃɪstkɐ
фашистський	fɐʃɪsʲkei̯
федеральний	federalʲnei̯
федералізація	federɐlʲizatsʲijɐ
федеративний	federɐtɪu̯nei̯
федерацій	federatsʲii̯
федерацію	federatsʲijʊ
федерація	federatsʲijɐ
федераціям	federatsʲijɐm
федераціями	federatsʲijɐme
федераціях	federatsʲijɐx
федерацією	federatsʲijejʊ
федерації	federatsʲiji
фей	fɛi̯
фейк	fɛi̯k
фейковий	fɛi̯kɔʋei̯
фельдмаршал	felʲdmarʃɐɫ
фембой	fembɔi̯
фемінізм	femʲinʲizm
феміністичний	femʲinʲistɪtʃnei̯
феміністський	femʲinʲisʲkei̯
феномен	fenɔmen
феноменальний	fenɔmenalʲnei̯
фентезі	fɛntezʲi
фенхель	fɛnxelʲ
феодальний	feɔdalʲnei̯
феодалізм	feɔdɐlʲizm
ферганський	ferɦanʲsʲkei̯
ферзь	fɛrzʲ
ферма	fɛrmɐ
фермент	fermɛnt
фермер	fɛrmer
фермерка	fɛrmerkɐ
фермерство	fɛrmerstwɔ
фермерський	fɛrmersʲkei̯
фермій	fɛrmʲii̯
ферії	fɛrʲiji
фестивалем	festeʋaɫem
фестиваль	festeʋalʲ
фестивалю	festeʋalʲʊ
фестивалям	festeʋalʲɐm
фестивалями	festeʋalʲɐme
фестивалях	festeʋalʲɐx
фестивалі	festeʋalʲi
фестивалів	festeʋalʲiu̯
фетиш	fetɪʃ
фетишизація	feteʃezatsʲijɐ
фетр	fɛtr
фехтувальник	fextʊʋalʲnek
фехтувальниця	fextʊʋalʲnetsʲɐ
фехтування	fextʊʋanʲːɐ
фею	fɛjʊ
фея	fɛjɐ
феям	fɛjɐm
феями	fɛjɐme
феях	fɛjɐx
феє	fɛje
феєрверк	fejerʋɛrk
феєрверка	fejerʋɛrkɐ
феєрверкам	fejerʋɛrkɐm
феєрверками	fejerʋɛrkɐme
феєрверках	fejerʋɛrkɐx
феєрверки	fejerʋɛrke
феєрверкові	fejerʋɛrkɔʋʲi
феєрверком	fejerʋɛrkɔm
феєрверку	fejerʋɛrkʊ
феєрверків	fejerʋɛrkʲiu̯
феєричний	fejerɪtʃnei̯
феєю	fɛjejʊ
феї	fɛji
флагман	fɫaɦmɐn
флагманський	fɫaɦmɐnʲsʲkei̯
флагшток	fɫɐɦʃtɔk
флейта	fɫɛi̯tɐ
флейтист	fɫei̯tɪst
флейтистка	fɫei̯tɪstkɐ
флейтоподібний	fɫei̯tɔpodʲibnei̯
флеровій	fɫerɔʋʲii̯
флот	fɫɔt
флуд	fɫud
флуктуація	fɫʊktʊatsʲijɐ
флігель	flʲiɦelʲ
флірт	flʲirt
фобія	fɔbʲijɐ
фойє	fɔi̯jɛ
фокус	fɔkʊs
фокусувати	fɔkʊsʊʋate
фокусуватися	fɔkʊsʊʋatesʲɐ
фольга	fɔlʲɦa
фольга	fɔlʲɦɐ
фольклор	fɔlʲkɫɔr
фольклорний	fɔlʲkɫɔrnei̯
фоліант	fɔlʲiant
фонд	fɔnd
фонологія	fɔnɔɫɔɦʲijɐ
фонтан	fɔntan
фонтанчик	fɔntantʃek
форель	fɔrɛlʲ
форма	fɔrmɐ
формальдегід	fɔrmɐlʲdeɦʲid
формальний	fɔrmalʲnei̯
формальности	fɔrmalʲnɔste
формальність	fɔrmalʲnʲisʲtʲ
формалізований	fɔrmɐlʲizɔʋɐnei̯
формалізувати	fɔrmɐlʲizʊʋate
формування	fɔrmʊʋanʲːɐ
формувати	fɔrmʊʋate
формуватися	fɔrmʊʋatesʲɐ
формула	fɔrmʊɫɐ
формулювання	fɔrmʊlʲʊʋanʲːɐ
формулювати	fɔrmʊlʲʊʋate
формуються	formujʊtsʲːɐ
формується	formujetsʲːɐ
форпост	fɔrpɔst
фортепіанний	fɔrtepʲianːei̯
фортепіано	fɔrtepʲianɔ
фортеця	fɔrtɛtsʲɐ
фосфат	fɔsfat
фосфор	fɔsfɔr
фосфорний	fɔsfɔrnei̯
фотель	fɔtɛlʲ
фото	fɔtɔ
фотогенічний	fɔtɔɦenʲitʃnei̯
фотограф	fɔtɔɦrɐf
фотографований	fɔtɔɦrɐfɔʋɐnei̯
фотографовано	fɔtɔɦrɐfɔʋɐnɔ
фотографував	fɔtɔɦrɐfʊʋau̯
фотографувавши	fɔtɔɦrɐfʊʋau̯ʃe
фотографувала	fɔtɔɦrɐfʊʋaɫɐ
фотографували	fɔtɔɦrɐfʊʋaɫe
фотографувало	fɔtɔɦrɐfʊʋaɫɔ
фотографувати	fɔtɔɦrɐfʊʋate
фотографуй	fɔtɔɦrɐfui̯
фотографуймо	fɔtɔɦrɐfui̯mɔ
фотографуйте	fɔtɔɦrɐfui̯te
фотографую	fɔtɔɦrɐfujʊ
фотографують	fɔtɔɦrɐfujʊtʲ
фотографуючи	fɔtɔɦrɐfujʊtʃe
фотографує	fɔtɔɦrɐfuje
фотографуєм	fɔtɔɦrɐfujem
фотографуємо	fɔtɔɦrɐfujemɔ
фотографуєте	fɔtɔɦrɐfujete
фотографуєш	fɔtɔɦrɐfujeʃ
фотографій	fɔtɔɦrafʲii̯
фотографічний	fɔtɔɦrɐfʲitʃnei̯
фотографію	fɔtɔɦrafʲijʊ
фотографія	fɔtɔɦrafʲijɐ
фотографіям	fɔtɔɦrafʲijɐm
фотографіями	fɔtɔɦrafʲijɐme
фотографіях	fɔtɔɦrafʲijɐx
фотографіє	fɔtɔɦrafʲije
фотографією	fɔtɔɦrafʲijejʊ
фотографії	fɔtɔɦrafʲiji
фотоелектрика	fɔtɔeɫɛktrekɐ
фотоелектричний	fɔtɔeɫektrɪtʃnei̯
фотоелектрон	fɔtɔeɫektrɔn
фотоелектронний	fɔtɔeɫektrɔnːei̯
фотон	fɔtɔn
фотосинтез	fɔtɔsɪntez
фотосинтетичний	fɔtɔsentetɪtʃnei̯
фоє	fɔjɛ
фрагмент	frɐɦmɛnt
фрагмента	frɐɦmɛntɐ
фрагментам	frɐɦmɛntɐm
фрагментами	frɐɦmɛntɐme
фрагментах	frɐɦmɛntɐx
фрагменти	frɐɦmɛnte
фрагментові	frɐɦmɛntɔʋʲi
фрагментом	frɐɦmɛntɔm
фрагменту	frɐɦmɛntʊ
фрагменті	frɐɦmɛnʲtʲi
фрагментів	frɐɦmɛnʲtʲiu̯
фраз	fraz
фраза	frazɐ
фразам	frazɐm
фразами	frazɐme
фразах	frazɐx
фразеологічний	frɐzeɔɫoɦʲitʃnei̯
фразеологія	frɐzeɔɫɔɦʲijɐ
фразою	frazɔjʊ
фразу	frazʊ
фракція	fraktsʲijɐ
франкомовний	frɐnkɔmɔu̯nei̯
франкфуртський	frankfʊrtsʲkei̯
француженка	frɐntsuʒenkɐ
француз	frɐntsuz
французька	frɐntsuzʲkɐ
французьке	frɐntsuzʲke
французький	frɐntsuzʲkei̯
французьким	frɐntsuzʲkem
французькими	frɐntsuzʲkeme
французьких	frɐntsuzʲkex
французького	frɐntsuzʲkɔɦɔ
французькому	frɐntsuzʲkɔmʊ
французькою	frɐntsuzʲkɔjʊ
французької	frɐntsuzʲkɔji
французьку	frɐntsuzʲkʊ
французькі	frɐntsuzʲkʲi
французькій	frɐntsuzʲkʲii̯
французькім	frɐntsuzʲkʲim
францій	franʲtsʲii̯
фрахт	fraxt
фрейліна	frɛi̯lʲinɐ
фриз	frɪz
фризура	frezurɐ
фритюр	fretʲur
фронт	frɔnt
фронтам	frɔntɐm
фронтами	frɔntɐme
фронтах	frɔntax
фронте	frɔnte
фронти	frɔnte
фронтовий	frɔntɔʋɪi̯
фронтові	frɔntɔʋʲi
фронтом	frɔntɔm
фронту	frɔntʊ
фронті	frɔnʲtʲi
фронтів	frɔnʲtʲiu̯
фрукт	frukt
фрукта	fruktɐ
фруктам	fruktɐm
фруктами	fruktɐme
фруктах	fruktɐx
фрукте	frukte
фрукти	frukte
фруктовий	frʊktɔʋei̯
фруктові	fruktɔʋʲi
фруктом	fruktɔm
фрукту	fruktʊ
фрукті	fruktʲi
фруктів	fruktʲiu̯
фрустрація	frʊstratsʲijɐ
фтор	ftɔr
фуксія	fuksʲijɐ
фундаментальний	fʊndɐmentalʲnei̯
фундаментам	fʊndamentɐm
фундаментами	fʊndamentɐme
фундаменте	fʊndamente
фундаменти	fʊndamente
фундаментом	fʊndamentɔm
фундаменту	fʊndamentʊ
фундаменті	fʊndamenʲtʲi
фундаментів	fʊndamenʲtʲiu̯
функціональний	fʊnktsʲiɔnalʲnei̯
функціональність	fʊnktsʲiɔnalʲnʲisʲtʲ
функціонер	fʊnktsʲiɔnɛr
функціонерка	fʊnktsʲiɔnɛrkɐ
функціонування	fʊnktsʲiɔnʊʋanʲːɐ
функціонувати	fʊnktsʲiɔnʊʋate
функція	funktsʲijɐ
фунт	funt
фунікулер	fʊnʲikʊɫɛr
фур	fur
фургон	fʊrɦɔn
фурс'ют	fursjʊt
футбол	fʊdbɔɫ
футболка	fʊdbɔɫkɐ
футболкам	fʊdbɔɫkɐm
футболками	fʊdbɔɫkɐme
футболках	fʊdbɔɫkɐx
футболки	fʊdbɔɫke
футболко	fʊdbɔɫkɔ
футболкою	fʊdbɔɫkɔjʊ
футболку	fʊdbɔɫkʊ
футболок	fʊdbɔɫɔk
футболом	fʊdbɔɫɔm
футболу	fʊdbɔɫʊ
футболці	fʊdbɔlʲtsʲi
футболі	fʊdbɔlʲi
футболіст	fʊdbolʲist
футляр	fʊtʲlʲar
футуристичний	fʊtʊrestɪtʃnei̯
фуфло	fʊfɫɔ
фуфло	xʊxɫɔ
фюзеляж	fʲʊzelʲaʒ
фіалка	fʲiaɫkɐ
фігня	fʲiɦnʲa
фігура	fʲiɦurɐ
фігурант	fʲiɦʊrant
фігуранта	fʲiɦʊrantɐ
фігурантам	fʲiɦʊrantɐm
фігурантами	fʲiɦʊrantɐme
фігурантах	fʲiɦʊrantɐx
фігуранти	fʲiɦʊrante
фігурантка	fʲiɦʊrantkɐ
фігуранткам	fʲiɦʊrantkɐm
фігурантками	fʲiɦʊrantkɐme
фігурантках	fʲiɦʊrantkɐx
фігурантки	fʲiɦʊrantke
фігуранткою	fʲiɦʊrantkɔjʊ
фігурантку	fʲiɦʊrantkʊ
фігурантові	fʲiɦʊrantɔʋʲi
фігуранток	fʲiɦʊrantɔk
фігурантом	fʲiɦʊrantɔm
фігуранту	fʲiɦʊrantʊ
фігурантці	fʲiɦʊranʲtsʲːi
фігуранті	fʲiɦʊranʲtʲi
фігурантів	fʲiɦʊranʲtʲiu̯
фізик	fʲizek
фізика	fʲizekɐ
фізики	fʲizeke
фізику	fʲizekʊ
фізична	fʲizɪtʃnɐ
фізичне	fʲizɪtʃne
фізичний	fʲizɪtʃnei̯
фізичним	fʲizɪtʃnem
фізичними	fʲizɪtʃneme
фізичних	fʲizɪtʃnex
фізичного	fʲizɪtʃnɔɦɔ
фізичному	fʲizɪtʃnɔmʊ
фізичною	fʲizɪtʃnɔjʊ
фізичної	fʲizɪtʃnɔji
фізичну	fʲizɪtʃnʊ
фізичні	fʲizɪtʃnʲi
фізичній	fʲizɪtʃnʲii̯
фізичнім	fʲizɪtʃnʲim
фізкультура	fʲizkʊlʲturɐ
фізра	fʲizra
фізри	fʲizrɪ
фізро	fʲizrɔ
фізрою	fʲizrɔjʊ
фізру	fʲizru
фізрі	fʲizʲrʲi
фізіолог	fʲizʲiɔɫɔɦ
фізіологічний	fʲizʲiɔɫoɦʲitʃnei̯
фізіологія	fʲizʲiɔɫɔɦʲijɐ
фіксація	fʲiksatsʲijɐ
фіксувати	fʲiksʊʋate
фіктивний	fʲiktɪu̯nei̯
філантроп	fʲiɫɐntrɔp
філантропічний	fʲiɫɐntropʲitʃnei̯
філе	fʲiɫɛ
філологічний	fʲiɫɔɫoɦʲitʃnei̯
філологія	fʲiɫɔɫɔɦʲijɐ
філософ	fʲiɫɔsɔf
філософський	fʲiɫɔsɔfsʲkei̯
філософічний	fʲiɫɔsɔfsʲkei̯
філософія	fʲiɫɔsɔfʲijɐ
фільварок	fʲilʲʋarɔk
фільм	fʲilʲm
фільмам	fʲilʲmɐm
фільмами	fʲilʲmɐme
фільмах	fʲilʲmɐx
фільми	fʲilʲme
фільмові	fʲilʲmɔʋʲi
фільмом	fʲilʲmɔm
фільму	fʲilʲmʊ
фільмі	fʲilʲmʲi
