ং	ŋ
তবে	t̪ɔbeˑ
তরঙ্গ	t̪ɔɹoŋgoˑ
তরঙ্গ	t̪ɔɾoŋgoˑ
তরফ	t̪ɔɹof
তরফ	t̪ɔɾof
তরফদার	t̪ɔɹofd̪aɹ
তরফদার	t̪ɔɾofd̪aɾ
তরবারি	t̪ɔɹbaɹiˑ
তরবারি	t̪ɔɾbaɾiˑ
তরু	t̪oɹuˑ
তরু	t̪oɾuˑ
তরুণ	t̪oɾun
তলব	t̪ɔlob
তশতরী	t̪ɔst̪oɹiˑ
তশতরী	t̪ɔst̪oɾiˑ
তশতরী	t̪ɔʃt̪oɹiˑ
তশতরী	t̪ɔʃt̪oɾiˑ
তসবির	t̪osbiɹ
তসবির	t̪osbiɾ
তসবীহ	t̪osbiˑ
তাইওয়ান	t̪ai̯o̯an
তাওয়া	t̪ao̯aˑ
তাকানো	t̪akano
তাগাদা	t̪agad̪aˑ
তাগিদ	t̪agid̪
তাজ	t̪adʑ
তাজ	t̪adʒ
তাজদার	t̪adʒd̪aɾ
তাজদার	t̪az̪̪d̪aɹ
তাজদার	t̪az̪̪d̪aɾ
তাজা	t̪adʑaˑ
তাজা	t̪adʒaˑ
তাড়ানো	t̪aɹanoˑ
তাড়ানো	t̪aɽanoˑ
তাড়ানো	t̪aɾanoˑ
তাবিজ	t̪abidʑ
তাবিজ	t̪abidʒ
তাবিজ	t̪abiz
তামা	t̪amaˑ
তামাক	t̪amak
তারা	t̪aɹaˑ
তারা	t̪aɾaˑ
তারিপ	t̪äɾiˑp
তারিফ	t̪aɾif
তালব্য	t̪alɔbːoˑ
তালা	t̪ɐla
তালুকদার	t̪alukd̪aɹ
তালুকদার	t̪alukd̪aɾ
তাহা	t̪ahaˑ
তিন	t̪in
তিন	t̪iːn
তিনি	t̪iniˑ
তিন্দু	t̪ind̪uˑ
তিল	t̪il
তিল	t̪iːl
তিলক	t̪ilɔk
তিষ্টা	t̪iʂʈaˑ
তিষ্ণা	t̪iʃnaˑ
তীব্র	t̪ibɹoˑ
তীব্র	t̪ibɾoˑ
তীর	t̪iɹ
তীর	t̪iɾ
তীর	t̪iːɾ
তুফান	t̪ufan
তুমি	t̪umiˑ
তুরস্ক	t̪uɹoʃkoˑ
তুরস্ক	t̪uɾoʃkoˑ
তুরিত	t̪uɾiˑt̪
তুরুপ	t̪uɹup
তুরুপ	t̪uɾup
তুর্কি	t̪uɹkiˑ
তুর্কি	t̪uɾkiˑ
তুলনা	t̪ulonaˑ
তুলনামূলক	t̪ulnamulɔk
তুলসী	t̪ulʃiˑ
তুলি	t̪uli
তুলো	t̪uloˑ
তৃণ	t̪ːɹinoˑ
তৃণ	t̪ːɾinoˑ
তেওড়া	t̪æo̯ɹaˑ
তেওড়া	t̪æo̯ɽaˑ
তেওড়া	t̪æo̯ɾaˑ
তেড়া	t̪æɽaˑ
তেড়া	t̪æɾaˑ
তেড়া	t̪ɛɹaˑ
তেপায়া	t̪epajaˑ
তেরো	t̪eɹoˑ
তেরো	t̪eɾoˑ
তৈরি	t̪oi̯ɹiˑ
তৈরি	t̪oi̯ɾiˑ
তোমাদের	t̪omad̪eɹ
তোমাদের	t̪omad̪eɾ
তোমার	t̪omaɹ
তোমার	t̪omaɾ
তোয়াক্কা	t̪o̯akːaˑ
তোয়ালে	t̪o̯aleˑ
তোলপাড়	t̪olpaɹ
তোলপাড়	t̪olpaɽ
তোলপাড়	t̪olpaɾ
তোলা	t̪olaˑ
তোশক	t̪oʃok
তৌরাত	t̪ou̯ɹat̪
তৌরাত	t̪ou̯ɾat̪
ত্বক	t̪ɔk
ত্বক	t̪ɔːk
ত্রিপুরা	t̪ːɹipuɹaˑ
ত্রিপুরা	t̪ːɾipuɾaˑ
থাকানো	t̪ʰakano
থার্মোমিটার	t̪ʰaɹmomitaɹ
থার্মোমিটার	t̪ʰaɾmomiʈaɾ
থালা	t̪ʰala
থিতানো	t̪ʰit̪anoˑ
থুকা	t̪ʰukaˑ
থুতু	t̪ʰut̪uˑ
থেকে	t̪ʰekeˑ
থোকা	t̪ʰokaˑ
দই	d̪oi̯
দক্ষিণ	d̪ɔkʰːin
দখল	d̪ɔkʰol
দড়ি	d̪oɽ̟i
দণ্ড	d̪ɔndoˑ
দণ্ড	d̪ɔɳɖoˑ
দন্ত	d̪ɔnt̪oˑ
দন্ত্য	d̪ɔnt̪ːoˑ
দপ্তর	d̪ɔpt̪ɔɹ
দপ্তর	d̪ɔpt̪ɔɾ
দফতর	d̪ɔft̪ɔɹ
দফতর	d̪ɔft̪ɔɾ
দফা	d̪ɔfaˑ
দম	d̪ɔm
দম	d̪ɔːm
দমা	d̪ɔmaˑ
দয়াল	d̪ɔe̯al
দয়ালু	d̪ɔe̯aluˑ
দরকার	d̪ɔɹkaɹ
দরকার	d̪ɔɾkaɾ
দরখাস্ত	d̪ɔɹkʰast̪oˑ
দরখাস্ত	d̪ɔɾkʰast̪oˑ
দরজা	d̪ɔɹdʑaˑ
দরজা	d̪ɔɹodʑaˑ
দরজা	d̪ɔɹozaˑ
দরজা	d̪ɔɹzaˑ
দরজা	d̪ɔɾd̪zaˑ
দরজা	d̪ɔɾdʒaˑ
দরজা	d̪ɔɾod̪zaˑ
দরজা	d̪ɔɾodʒaˑ
দরবেশ	d̪ɔɹbeʃ
দরবেশ	d̪ɔɾbeʃ
দরাজ	d̪ɔɹadʑ
দরাজ	d̪ɔɾadʒ
দরিয়া	d̪oɹi̯aˑ
দরিয়া	d̪oɾi̯aˑ
দরূদ	d̪oɾud̪
দরূদ	d̪uɾud̪
দর্পণ	d̪ɔɹpɔn
দর্পণ	d̪ɔɾpɔn
দলিত	d̪oliˑt̪
দশ	d̪ɔʃ
দশ	d̪ɔːʃ
দস্তরখান	d̪ɔst̪ɔɹkʰan
দস্তরখান	d̪ɔst̪ɔɾkʰan
দস্তুর	d̪ɔst̪uɹ
দস্তুর	d̪ɔst̪uɾ
দাঁড়ানো	d̪aɹanoˑ
দাঁড়ানো	d̪ãɽanoˑ
দাঁড়ানো	d̪ãɾanoˑ
দাড়ি	d̪aɹiˑ
দাড়ি	d̪aɽiˑ
দাড়ি	d̪aɾiˑ
দাতা	d̪at̪aˑ
দান	d̪an
দান	d̪aːn
দান্দান	d̪and̪an
দাব	d̪ab
দাব	d̪aːb
দাবদাহ	d̪abod̪ahoˑ
দাবা	d̪aba
দাম	d̪am
দাম	d̪aːm
দামড়া	d̪amɹaˑ
দামড়া	d̪amɽaˑ
দামড়া	d̪amɾaˑ
দায়িত্ব	d̪ai̯t̪ːoˑ
দারু	d̪aɾuˑ
দারোয়ান	d̪aɹo̯an
দারোয়ান	d̪aɾo̯an
দার্জিলিং	d̪aɹdʑiliŋ
দার্জিলিং	d̪aɾdʒiliŋ
দিওয়ান	d̪i̯o̯an
দিওয়ালি	d̪i̯o̯aliˑ
দিকে	d̪ikeˑ
দিঘি	d̪igʱiˑ
দিনরাত	d̪inɹat̪
দিনরাত	d̪inɾat̪
দিবস	d̪ibɔʃ
দিবা	d̪ibaˑ
দিবারাত্রি	d̪ibaɹat̪ːɹiˑ
দিবারাত্রি	d̪ibaɾat̪ːɾiˑ
দিল	d̪il
দিল	d̪iːl
দিলীপ	d̪ilip
দিল্লি	dilli
দীর্ঘ	d̪iɹgʱoˑ
দীর্ঘ	d̪iɾgʱoˑ
দু	d̪uː
দু	d̪uˑ
দুঃখ	d̪uhkʰoˑ
দুঃখ	d̪ukʰːoˑ
দুঃস্বপ্ন	d̪uhʃːɔpnoˑ
দুই	d̪u̯iˑ
দুগি	d̪ugiˑ
দুগ্ধ	d̪ugd̪ʱoˑ
দুধ	d̪ud̪
দুনিয়া	d̪uni̯aˑ
দুপুর	d̪upuɹ
দুপুর	d̪upuɾ
দুম্বা	d̪umbaˑ
দুয়ার	d̪u̯aɹ
দুয়ার	d̪u̯aɾ
দুরিয়ান	d̪uɹi̯an
দুরিয়ান	d̪uɾi̯an
দুর্গজয়	d̪uɹgɔdʑɔe̯
দুর্গজয়	d̪uɾgɔdʒɔe̯
দুর্গন্ধ	d̪uɾgɔnd̪ʱoˑ
দুর্ঘটনা	d̪uɹgʱɔtonaˑ
দুর্ঘটনা	d̪uɾgʱɔʈonaˑ
দুর্দান্ত	d̪uɹd̪ant̪oˑ
দুর্দান্ত	d̪uɾd̪ant̪oˑ
দূরত্ব	d̪uɹot̪ːoˑ
দূরত্ব	d̪uɹɔt̪ːoˑ
দূরত্ব	d̪uɾot̪ːoˑ
দূরত্ব	d̪uɾɔt̪ːoˑ
দূরদর্শন	d̪uɹd̪ɔɹʃɔn
দূরদর্শন	d̪uɹɔd̪oɹʃɔn
দূরদর্শন	d̪uɾd̪ɔɾʃɔn
দূরদর্শন	d̪uɾɔd̪oɾʃɔn
দূরবিন	d̪uɹbin
দূরবিন	d̪uɾbin
দৃঢ়	d̪ːɾiɹoˑ
দৃঢ়	d̪ːɾiɽoˑ
দৃঢ়	d̪ːɾiɽʱoˑ
দৃঢ়	d̪ːɾiɾhoˑ
দৃশ্য	d̪riʃːoˑ
দৃষ্টি	d̪ːɹistiˑ
দৃষ্টি	d̪ːɹiʃtiˑ
দৃষ্টি	d̪ːɾiʂʈiˑ
দৃহ্ল	d̪ilːoˑ
দৃহ্ল	d̪ːɹilhoˑ
দৃহ্ল	d̪ːɹilːoˑ
দৃহ্ল	d̪ːɾilhoˑ
দৃহ্ল	d̪ːɾilːoˑ
দে	d̪eː
দে	d̪eˑ
দেওয়া	d̪ao̯aˑ
দেওয়া	d̪eo̯aˑ
দেওয়া	d̪æo̯aˑ
দেওয়া	d̪ɛo̯aˑ
দেওয়ান	d̪eo̯an
দেওয়াল	d̪eal
দেওয়াল	d̪eo̯al
দেওয়ালি	d̪eo̯aliˑ
দেখানো	d̪ækʰano
দেড়	d̪eɹ
দেড়	d̪eɽ
দেড়	d̪eɾ
দেব	d̪eb
দেব	d̪eboˑ
দেব	d̪eːb
দেবতা	d̪ebot̪aˑ
দেবদাস	d̪ebd̪aʃ
দেবদাসী	d̪ebd̪aʃiˑ
দেরেঙ্গ	d̪eɹeŋgoˑ
দেরেঙ্গ	d̪eɾeŋgoˑ
দেরেঙ্গ	d̪ɛɹɛŋgɔˑ
দেরেঙ্গ	d̪ɛɾɛŋgɔˑ
দেশপ্রেমিক	d̪eʃɔpɹemik
দেশপ্রেমিক	d̪eʃɔpɾemik
দেশলাই	d̪eʃlai̯
দৈব	d̪oi̯bɔˑ
দৈর্ঘ্য	d̪oi̯ɹgʱːoˑ
দৈর্ঘ্য	d̪oi̯ɾgʱːoˑ
দো	d̪oː
দো	d̪oˑ
দোকান	d̪okan
দোকানদার	d̪okand̪aɹ
দোকানদার	d̪okand̪aɾ
দোজখ	d̪odʑok
দোজখ	d̪odʑox
দোজখ	d̪odʒok
দোজখ	d̪odʒox
দোভাষী	d̪obʱaʃiˑ
দোভাষী	d̪ovaʃiˑ
দোয়া	d̪o̯aˑ
দোয়েল	d̪oel
দোলনা	d̪olnaˑ
দোলা	d̪olaˑ
দোষ	d̪oʃ
দোষ	d̪oːʃ
দোস্ত	d̪ost̪
দোস্ত	d̪ost̪oˑ
দৌড়ানো	d̪ou̯ɹanoˑ
দৌড়ানো	d̪ou̯ɽanoˑ
দৌড়ানো	d̪ou̯ɾanoˑ
দৌলত	d̪ou̯lɔt̪
দ্বাদশ	d̪ad̪ɔʃ
দ্বার	d̪aɹ
দ্বার	d̪aɾ
দ্বার	d̪aːɾ
দ্বারা	d̪aɹaˑ
দ্বারা	d̪aɾaˑ
দ্বিতীয়	d̪it̪io
দ্বীপ	d̪ip
দ্বীপ	d̪iːp
দ্বৈত	d̪oi̯t̪
দ্রব্য	d̪ɾɔbːɔ̝ˑ
দ্রাক্ষা	d̪ːɹakʰːaˑ
দ্রাক্ষা	d̪ːɾakʰːaˑ
দ্রাক্ষাকুঞ্জ	d̪ːɹakʰːakundʑoˑ
দ্রাক্ষাকুঞ্জ	d̪ːɾakʰːakundʒoˑ
দ্রাক্ষারস	d̪ːɹakʰːaɹɔʃ
দ্রাক্ষারস	d̪ːɾakʰːaɾɔʃ
দ্রুত	d̪ːɾut̪oˑ
দ্রৌপদী	d̪ːɾou̯pod̪iˑ
ধন	d̪ʱɔn
ধনবাদ	d̪ʱɔnbad̪
ধরণী	d̪ʱɔɹoniˑ
ধরণী	d̪ʱɔɾoniˑ
ধাওয়া	d̪ʱao̯aˑ
ধাক্কা	d̪ʱakːa
ধান	d̪ʱan
ধারণা	d̪ʱaɹonaˑ
ধারণা	d̪ʱaɾonaˑ
ধারা	d̪ʱaɹaˑ
ধারা	d̪ʱaɾaˑ
নওগাঁ	nɔo̯gaˑ
নওগাঁ	nɔo̯gãˑ
নকশাল	nɔkʃal
নক্ত	nɔkt̪oˑ
নক্ত	nɔkt̪ɔˑ
নক্ত	nɔxt̪ɔˑ
নখ	nɔx
নখ	nɔːk
নগর	nɔgoɹ
নগর	nɔgoɾ
নগরী	nɔgɹiˑ
নগরী	nɔgɾiˑ
নগিচ	nogitɕ
নগিচ	nogitʃ
নজদ	nɔdʑɔd̪
নজদ	nɔdʒɔd̪
নজর	nɔdʑoɹ
নজর	nɔdʒoɾ
নজরুল	nodʑɹul
নজরুল	nodʒɾul
নজরুল	nozɹul
নজরুল	nozɾul
নড়া	nɔɹaˑ
নড়া	nɔɽaˑ
নড়া	nɔɾaˑ
নত	nɔt̪oˑ
নতীজা	not̪idʑaˑ
নতীজা	not̪idʒaˑ
নতুন	not̪un
নদিয়া	nod̪i̯aˑ
নদী	nod̪iˑ
ননদ	nɔnod̪
নফরৎ	nɔfɔɹot̪
নফরৎ	nɔfɔɾot̪
নফরৎ	nɔɸɔɹɔt̪
নফরৎ	nɔɸɔɾɔt̪
নফসানিয়াত	nɔfsani̯at̪
নব	nɔb
নব	nɔboˑ
নব	nɔːb
নবডঙ্কা	nɔbodɔŋkaˑ
নবডঙ্কা	nɔboɖɔŋkaˑ
নববর্ষ	nɔbobɔɹʃoˑ
নববর্ষ	nɔbobɔɾʃoˑ
নবাব	nɔbab
নবিস	nobiʃ
নবী	nobiˑ
নবীজী	nobidʑiˑ
নবীজী	nobidʒiˑ
নভেম্বর	nɔbʱembɔɹ
নভেম্বর	nɔbʱembɔɾ
নভেম্বর	nɔvembɔɹ
নভেম্বর	nɔvembɔɾ
নভেল	nɔbʱel
নভেল	nɔvel
নমস্কার	nɔmoʃkaɹ
নমস্কার	nɔmoʃkaɾ
নমাজ	nɔmadʑ
নমাজ	nɔmadʒ
নষ্ট	nɔstoˑ
নষ্ট	nɔʂʈoˑ
নষ্ট	nɔʃtoˑ
না	naː
না	naˑ
নাক	nak
নাক	naːk
নাগাল্যান্ড	nagalæɳɖ
নাগাল্যান্ড	nagalɛnd
নাঙ্গল	naŋgɔl
নাঙ্গা	naŋgaˑ
নাচা	natɕaˑ
নাচা	natʃaˑ
নাজাত	nadʑat̪
নাজাত	nadʒat̪
নাটক	naʈ̟ok
নাড়া	naɹaˑ
নাড়া	naɽaˑ
নাড়া	naɾaˑ
নাতনী	nat̪niˑ
নাতি	nat̪iˑ
নাতিশীতোষ্ণ	nat̪iʃit̪oʃnoˑ
নাথ	nat̪
নানা	nanaˑ
নানী	naniˑ
নাপিত	napit̪
নাবালক	nabalɔk
নামক	namɔk
নামজাদা	namdʑad̪aˑ
নামজাদা	namdʒad̪aˑ
নামা	nama
নামাজ	namadʑ
নামাজ	namad̪z
নামাজ	namadʒ
নামাজ	namaz
নামানো	namano
নারকেল	naɹkel
নারকেল	naɾkel
নারাজ	naɹadʑ
নারাজ	naɹaz
নারাজ	naɾadʒ
নারাজ	naɾaz
নারায়ণ	naɹae̯n
নারায়ণ	naɹae̯on
নারায়ণ	naɾae̯n
নারায়ণ	naɾae̯on
নারিকেল	naɹikel
নারিকেল	naɾikel
নার্গিস	naɾgis
নালিশ	naliʃ
নাশকতা	naʃɔkɔt̪aˑ
নাসরিন	nasɹin
নাসরিন	nasɾin
নিম্ন	nimnoˑ
নিম্নে	nimneˑ
নিয়ম	ni̯om
নিশ্চয়	nistɕɔe̯
নিশ্চয়	nistʃɔe̯
নিশ্চয়	niʃtɕɔe̯
নিশ্চয়	niʃtʃɔe̯
নিশ্চিত	nistɕit̪oˑ
নিশ্চিত	nistʃit̪oˑ
নিশ্চিত	niʃtɕit̪oˑ
নিশ্চিত	niʃtʃit̪oˑ
নিশ্বসন	niʃːɔʃɔn
নিশ্বাস	niʃːaʃ
নিষিদ্ধ	niʃid̪ʱːoˑ
নিষ্ঠুর	nistʰuɹ
নিষ্ঠুর	niʂʈʰuɾ
নিষ্ঠুর	niʃtʰuɹ
নিস্তব্ধ	nist̪ɔbd̪ʱo
নীতি	nit̪iˑ
নীলুফার	nilufaɹ
নীলুফার	nilufaɾ
নুন	nun
নুন	nuːn
নুনি	nuniˑ
নুনু	nunuˑ
নুসরাত	nusɹat̪
নুসরাত	nusɾat̪
নূতন	nut̪ɔn
নেউল	neul
নেওয়া	nao̯aˑ
নেওয়া	neo̯aˑ
নেওয়া	næo̯aˑ
নেওয়া	nɛo̯aˑ
নেকড়ে	nekɹeˑ
নেকড়ে	nekɽeˑ
নেকড়ে	nekɾeˑ
নেছার	netɕʰaɹ
নেছার	netʃʰaɾ
নেতাজি	net̪adʑiˑ
নেতাজি	net̪adʒiˑ
নেতৃত্ব	net̪ːɹit̪ːoˑ
নেতৃত্ব	net̪ːɾit̪ːoˑ
নেপচুন	neptɕun
নেপচুন	neptʃun
নেপিদ	nepid̪ɔ̜ˑ
নেবা	nebaˑ
নেবানো	nebanoˑ
নেভানো	nebʱanoˑ
নেভানো	nevanoˑ
নেয়ামৎ	neamɔt̪
নেশা	neʃa
নেহ	nehoˑ
নেহেরু	neheɹuˑ
নেহেরু	neheɾuˑ
নৈরাজ্যবাদ	noi̯ɹadʑːɔbad̪
নৈরাজ্যবাদ	noi̯ɾadʒdʒɔbad̪
নৈরাজ্যবাদ	noi̯ɾaz̪̪dʒɔbad̪
নৈশভোজ	noi̯ʃɔbʱodʑ
নৈশভোজ	noi̯ʃɔbʱodʒ
নৈশভোজ	noi̯ʃɔvodʑ
নৈশভোজ	noi̯ʃɔvodʒ
নোড়া	noɹaˑ
নোড়া	noɽaˑ
নোড়া	noɾaˑ
নোয়াখাইল্লা	no̯akʰai̯lːaˑ
নোয়াখালী	no̯akʰaliˑ
নৌকা	nou̯kaˑ
ন্যূন	nun
ন্যূন	nuːn
ন্যূনতম	nunot̪ɔmoˑ
পকেট	pɔket
পকেট	pɔkeʈ
পকেট	pɔkɛt
পকেট	ɸɔxɛt
পঞ্চাশ	pɔntɕaʃ
পঞ্চাশ	pɔntʃaʃ
পতাকা	pɔt̪akaˑ
পত্নী	pɔt̪niˑ
পত্নী	ɸɔt̪niˑ
পথ	pɔt̪
পদ্মা	pɔd̪ːaˑ
পনীর	poniɹ
পনীর	poniɾ
পয়লা	pɔe̯laˑ
পরমাণু	pɔɹomanuˑ
পরমাণু	pɔɾomanuˑ
পরশু	poɾʃuˑ
পরশ্রীকাতরতা	pɔɹosɹikat̪ːɹɔt̪aˑ
পরশ্রীকাতরতা	pɔɾosɾikat̪ːɾɔt̪aˑ
পরা	pɔɹaˑ
পরা	pɔɾaˑ
পরাগ	pɔɹag
পরাগ	pɔɾag
পরাত	pɔɹat̪
পরাত	pɔɾat̪
পরানো	pɔɹanoˑ
পরানো	pɔɾanoˑ
পরামর্শ	pɔramɔrʃo
পরামর্শদাতা	pɔɹamɔɹʃɔd̪at̪aˑ
পরামর্শদাতা	pɔɾamɔɾʃɔd̪at̪aˑ
পরিকল্পনা	poɹikɔlponaˑ
পরিকল্পনা	poɾikɔlponaˑ
পরিচয়	poɹitɕɔe̯
পরিচয়	poɾitʃɔe̯
পরিচালিত	poɹitɕalit̪oˑ
পরিচালিত	poɾitʃalit̪oˑ
পরিণতি	poɹinot̪iˑ
পরিণতি	poɾinot̪iˑ
পরিত্রাণ	poɹit̪ːɹan
পরিত্রাণ	poɾit̪ːɾan
পরিবর্তন	poɹibɔɹt̪on
পরিবর্তন	poɾibɔɾt̪on
পরিবর্তে	poɹibɔɹt̪eˑ
পরিবর্তে	poɾibɔɾt̪eˑ
পরিবার	poɹibaɹ
পরিবার	poɾibaɾ
পরিশ্রম	poɹisɹɔm
পরিশ্রম	poɾisɾɔm
পরিষদ	poɹiʃɔd̪
পরিষদ	poɾiʃɔd̪
পরিস্থিতি	poɹist̪ʰit̪iˑ
পরিস্থিতি	poɾist̪ʰit̪iˑ
পরী	poɹiˑ
পরী	poɾiˑ
পরেন্দা	pɔɾend̪aˑ
পরোয়া	pɔɹo̯aˑ
পরোয়া	pɔɹu̯aˑ
পরোয়া	pɔɾo̯aˑ
পরোয়া	pɔɾu̯aˑ
পর্তুগাল	poɾt̪ugal
পর্দা	pɔɹd̪aˑ
পর্দা	pɔɾd̪aˑ
পর্দানশীন	pɔɹd̪anɔʃin
পর্দানশীন	pɔɾd̪anɔʃin
পর্নো	pɔɹnoˑ
পর্নো	pɔɾnoˑ
পর্যটন	pɔɹdʑɔtɔn
পর্যটন	pɔɾdʒɔʈɔn
পর্যন্ত	pɔɹdʑont̪oˑ
পর্যন্ত	pɔɾdʒont̪oˑ
পলিনেশিয়া	pɔlineʃŷaˑ
পল্টন	pɔl̪tɔn
পল্টন	pɔɭʈɔn
পল্লি	pɔlːiˑ
পহু	pohuˑ
পা	paː
পা	paˑ
পাঁউরুটি	pau̯ɹutiˑ
পাঁউরুটি	pãuɾuʈiˑ
পাঁক	pak
পাঁক	paːk
পাঁক	pãk
পাঁক	pãːk
পাঁচ	patɕ
পাঁচ	pãtʃ
পাঁচিল	patɕil
পাঁচিল	pãtʃil
পাঁজর	padʑɔɹ
পাঁজর	pad̪zɔɾ
পাঁজর	pãdʒɔɾ
পাঁজর	ɸazɔɹ
পাঁঠা	patʰaˑ
পাঁঠা	pãʈʰaˑ
পাঁঠি	pãʈ̟ʰi
পাঁড়ে	paɾeˑ
পাঁড়ে	pãɽeˑ
পাঁড়ে	pãɾeˑ
পাঁতি	pat̪iˑ
পাঁতি	pãt̪iˑ
পাইখানা	pai̯kʰanaˑ
পাকা	paka
পাখা	pakʰaˑ
পাখি	pakʰiˑ
পাখী	pakʰiˑ
পাঙ্গাশ	paŋaʃ
পাঙ্গাশ	paŋgaʃ
পাছা	pasaˑ
পাছা	patɕʰaˑ
পাছা	patʃʰaˑ
পাছা	ɸasaˑ
পাঞ্জা	pandʑaˑ
পাঞ্জা	pandʒaˑ
পাঠা	patʰaˑ
পাঠা	paʈʰaˑ
পাঠান	patʰan
পাঠান	paʈʰan
পাঠানো	patʰanoˑ
পাঠানো	paʈʰanoˑ
পাড়া	paɹaˑ
পাড়া	paɽaˑ
পাড়া	paɾaˑ
পাণ	pɐn
পাতক	pat̪ɔk
পাতলা	pat̪ːlaˑ
পাতা	pat̪a
পাতিহাঁস	pat̪ihaʃ
পাতিহাঁস	pat̪ihãʃ
পাত্র	pat̪ːɹoˑ
পাত্র	pat̪ːɾoˑ
পাদ	päːd̪
পাদটীকা	pad̪otikaˑ
পাদটীকা	pad̪oʈikaˑ
পাদা	päd̪äˑ
পাদ্রি	pad̪ːɹiˑ
পাদ্রি	pad̪ːɾiˑ
পান	pan
পান	paːn
পানি	paniˑ
পানিফল	panifɔl
পানু	pänuˑ
পান্ডা	pandaˑ
পান্ডা	paɳɖaˑ
পাপড়ি	papɹiˑ
পাপড়ি	papɽiˑ
পাপড়ি	papɾiˑ
পাপী	papiˑ
পাবনা	pabnaˑ
পাবনাইয়া	pabnai̯aˑ
পায়খানা	pae̯kʰanaˑ
পায়খানা	ɸae̯xanaˑ
পায়স	paeˑs̠
পায়ু	päe̯uˑ
পারদ	päɾoˑd̪
পারভেজ	paɹbʱez
পারভেজ	paɹvez
পারভেজ	paɾbʱez
পারভেজ	paɾvez
পারমাণবিক	paɹomanobik
পারমাণবিক	paɾomanobik
পারা	paɾaˑ
পারিবারিক	paɹibaɹik
পারিবারিক	paɾibaɾik
পার্কিং	paɹkiŋ
পার্কিং	paɾkiŋ
পার্থ	paɹt̪ʰoˑ
পার্থ	paɾt̪ʰoˑ
পার্থক্য	paɾt̪ʰokːoˑ
পালং	palɔŋ
পাহাড়	pahaɽ
পাহারা	pahaɹaˑ
পাহারা	pahaɾaˑ
পিঁপড়া	pipɔɹaˑ
পিঁপড়া	pĩpɔɽaˑ
পিঁপড়া	pĩpɔɾaˑ
পিছনে	pitɕʰoneˑ
পিছনে	pitʃʰoneˑ
পিছা	pitɕʰaˑ
পিছা	pitʃʰaˑ
পিতা	pit̪aˑ
পিপ্পল	pipːɔl
পিয়ন	pi̯on
পিয়া	pi̯aˑ
পিয়াদা	pi̯ad̪aˑ
পিরিতি	piɾit̪iˑ
পিরিতি	ɸiɹit̪iˑ
পিষা	piʃaˑ
পিস্তল	pist̪ɔl
পুঁজিবাদ	pudʑibad̪
পুঁজিবাদ	pũdʒibad̪
পুঁটি	putiˑ
পুঁটি	pũʈiˑ
পুঁথি	put̪ʰiˑ
পুঁথি	pũt̪ʰiˑ
পুকুর	pukuɹ
পুকুর	pukuɾ
পুঙ্খানুপুঙ্খ	puŋkʰanupuŋkʰoˑ
পুচ্ছ	putɕʰːoˑ
পুচ্ছ	put̪sːɔˑ
পুচ্ছ	putʃʰːoˑ
পুচ্ছ	ɸusːɔˑ
পুছা	putɕʰaˑ
পুছা	putʃʰaˑ
পুজো	pudʒoˑ
পুত্র	put̪ːɹoˑ
পুত্র	put̪ːɾoˑ
পুনঃ	punɔh
পুনরুত্থান	punoɹut̪ʰːan
পুনরুত্থান	punoɾut̪ʰːan
পুরস্কার	puɹoʃkaɹ
পুরস্কার	puɾoʃkaɾ
পুরা	puɹaˑ
পুরা	puɾaˑ
পুরাণ	puɹan
পুরাণ	puɾan
পুরানো	puɹanoˑ
পুরানো	puɾanoˑ
পুরুষ	puɾuʃ
পুরুষাঙ্গ	puɹuʃaŋgoˑ
পুরুষাঙ্গ	puɾuʃaŋgoˑ
পুরোনো	puɹonoˑ
পুরোনো	puɾonoˑ
পুরোপুরি	puɹopuɹiˑ
পুরোপুরি	puɾopuɾiˑ
পুল	pul
পুল	puːl
পূজা	pudʒäˑ
পূজারী	pudʑaɹiˑ
পূজারী	pudʒaɾiˑ
পূরণ	puɹon
পূরণ	puɹɔn
পূরণ	puɾon
পূরণ	puɾɔn
পূর্ণ	puɹnoˑ
পূর্ণ	puɾnoˑ
পূর্ব	puɹboˑ
পূর্ব	puɾboˑ
পূর্ববাংলা	puɹbɔbaŋlaˑ
পূর্ববাংলা	puɾbɔbaŋlaˑ
পৃথিবী	pɹit̪ʰibiˑ
পৃথিবী	pɾit̪ʰibiˑ
পেঁচ	pæ̃tʃ
পেঁচ	pɛtɕ
পেচ্ছাপ	petʃːʰäˑp
পেরেশান	peɹeʃan
পেরেশান	peɾeʃan
পেস্তা	pest̪aˑ
পোঁছা	potɕʰaˑ
পোঁছা	põtɕʰaˑ
পোঁছা	põtʃʰaˑ
পোকা	poka
পোছা	potɕʰaˑ
পোছা	potʃʰaˑ
পোড়া	poɽ̟aˑ
পোড়ানো	poɽ̟ano
পোরা	poɹaˑ
পোরা	poɾaˑ
পৌঁছনো	poũtʃʰɔnoˑ
পৌনে	poneˑ
পৌনে	ponɛˑ
পৌনে	pou̯neˑ
পৌনে	pou̯nɛˑ
পৌনে	ɸonɛˑ
পৌনে	ɸou̯nɛˑ
পৌষ	pou̯ʃ
প্যাঁচা	pæ̃tʃaˑ
প্যাঁচা	pɛtɕaˑ
প্যান্ডেল	pæɳɖel
প্যান্ডেল	pɛndel
প্যারিস	pæɾis
প্যারিস	pɛɹis
প্রকাশ	pɹokaʃ
