0k8	ʊkːɑː
తీసుకువచ్చింది	tiːsuguʋoʈːindi
తీసుకువచ్చే	tiːsuːkuʋoʈːe
తీసుకువెళ్లండి	tiːsuguʋeːɭːaɳɖi
తీసుకువెళ్లి	tiːsuguʋeːɭi
తీసుకెళుతుంది	tiːsugeɭuɖu
తీసుకెళ్లకపోతే	tiːsukɛɭːkəpoːt̪eː
తీసుకెళ్లడానికి	tiːsugeɭːgæːɳki
తీసుకెళ్లు	tiːsukeɭːu
తీసుకెళ్ళండి	tiːsukeːɭɳɖi
తీసుకెళ్ళు	tiːsukeːɭːu
తీసుకొచ్చే	tiːsugoʈːe
తీసుకొని	tiːsugoni
తీసుకో	tiːsuːkoː
తీసుకోకపోతే	tiːsuːkoːkoːpoːteː
తీసుకోకుండా	tiːsuːkoːguːɳɖa
తీసుకోడానికి	tiːsuːkoːdaːj̪iː
తీసుకోండి	tiːsuːkoːɳɖi
తీసుకోనప్పటికీ	tiːsuːkoːn̪ʌpːʌʈiː
తీసుకోను	tiːsuːkoːnu
తీసుకోరు	tiːsuːkoːru
తీసుకోలేదు	tiːsuːkoːleːdu
తీసుకోలేము	tiːsuːkoːlemu
తీసుకోవటానికి	tiːsuːkoːʋaːʈaŋki
తీసుకోవడం	tiːsuːkoːʋaɖi
తీసుకోవాలని	tiːsuːkoːʋaːlani
తీసుకోవాలి	tiːsuːkoːʋali
తీసే	tiːseː
తీస్తాలే	tiːs̪t̪aːleː
తీస్తుంది	tiːs̪t̪uɳɖi
తుడవడం	ʈuɖʌʋaɖʌm
తుడిచిపెట్టేసింది	ʈuɖiʈʈepːeɾːeːsindi
తుడుచు	t̪uɖutʃu
తుడుచు	ʈuɖutʃu
తుడుపు	ʈuɖuʋu
తుడువు	ʈuɖuʋu
తుది	t̪uɖi
తునక	t̪un̪ak̪
తుపాకి	ʈupɑːki
తుపాకీ	ʈupɑːkiː
తుపాకీతో	t̪upaːkiːt̪o
తుపాకీలతో	ʈupɑːkiːl̪t̪oː
తుపాకీలను	ʈupɑːkiːlɛnu
తుపాకులతో	ʈʊpaːkuɭ̆toː
తుపాకులను	ʈʊpaːkɪnu
తుపాకులు	ʈʊpaːkulu
తుఫాను	ʈuːpʰaːnu
తుమ్ము	t̪umːu
తూటా	tuːʈa
తూర్పు	t̪uːɾpu
తృప్తి	t̪ɾupt̪i
తృప్తి	tɾʊpti
తెగ	ʈeg
తెగటం	ʈegaʈam
తెగించిన	ʈegiɳiɳɐ
తెగిపోయే	ʈegiːpoːjeː
తెచ్చాడు	ʈetɕaːɖɐ
తెచ్చి	ʈetɕːi
తెచ్చింది	ʈetʃːiɳɖi
తెచ్చిన	ʈetɕːiɳ
తెచ్చిపెట్టింది	ʈetʃːiˈpeːʈːindi
తెచ్చు	t̪etʃːu
తెచ్చుకోండి	ʈetʃːuːŋɖi
తెడ్డు	ʈeɖːu
తెప్ప	ʈepː
తెప్పించు	t̪epːiɲtʃu
తెప్పిస్తుంది	ʈepːoːd̪uːrʈi
తెఫ్ట్	ʈɛpʰʈɛ
తెర	t̪eːɾ
తెరచాప	ʈeɾʈaːpʰ
తెరచు	t̪eɾatʃu
తెరను	ʈeɾnʊ
తెరపైకి	ʈeɾapejki
తెరవడానికి	ʈeɾʋɑːd̪iː
తెరవండి	ʈeɾaʋɳɖi
తెరవబడుతుంది	ʈeɾʋabʋɖʋʈu
తెరిచి	ʈeɾiʈʃi
తెరిచింది	ʈeɾiʈʈindi
తెరిచిన	ʈeɾiʈiɳ
తెరిచినప్పుడు	ʈeɾiʈiɳɐpːuɖu
తెరిచే	ʈeɾiʈʃeː
తెరుచుకుంటుంది	ʈeɾuʈukʌɳɖʌɳdi
తెరుచుకోదు	ʈeɾuʈukooḍe
తెరుద్దాము	ʈeɾud̪ːaːmu
తెరువు	ʈeːɾuʋu
తెలపండి	ʈeləpɐɳɖi
తెలపలేదు	ʈelapaleːdu
తెలిగించు	t̪eligiɲtʃu
తెలిపాడు	ʈelip̆aːɖu
తెలిపాయి	t̪elipɔːjɪ
తెలిపారు	ʈelipɑːruː
తెలిపింది	ʈelipindi
తెలియకపోతే	ʈeːliʌkpoːteː
తెలియకుండానే	ʈeːliʌkʊɳɳaːne
తెలియచేయండి	ʈelijaːʈʲiːɳɖi
తెలియచేయును	ʈelijaːtʃejun̪u
తెలియచేసింది	ʈeːliːtʃeːsindi
తెలియజేయగలరా	ʈelijaːjeːgɐlɐɾɑ
తెలియజేయడానికి	ʈelijaːdʑeːdʑae̯
తెలియజేయండి	ʈelijaːjeːɳɖi
తెలియజేయమని	ʈeʎijaːjəmaːni
తెలియజేయవచ్చు	ʈeːliʌdʒejavotʃːu
తెలియజేయాలని	ʈeːliʑeːjɑːl̪i
తెలియజేయాలనుకుంటున్నాము	ʈeɭijadʒejaːlanukun̪t̪uːn̪ːamu
తెలియజేయాల్సిన	ʈelijaːjeːaːl̪siɳ
తెలియజేసేలా	ʈeʎijɛs̪eːlaː
తెలియజేస్తాం	ʈeɭijaːʃtãː
తెలియజేస్తాము	ʈeːliʑaːʃt̪aːmu
తెలియజేస్తాయి	ʈeʎijaːʃʈai̯
తెలియజేస్తుంది	t̪el̪ijɛːʃʈuɳdi
తెలియదా	ʈeʎid̪aː
తెలియదు	t̪elijuːdu
తెలియని	t̪el̪ij̪ni
తెలియలేదు	ʈeɭijal̪eːdu
తెలివి	t̪elɪvi
తెలివిగలవాడు	t̪elɪvɪgɑlɑvɑːɖu
తెలివిగా	ʈeɭivigɑ
తెలివిడి	ʈeːliʋiɖi
తెలివితక్కువదని	t̪elɪʋit̪oːʋɐd̪ani
తెలివైన	ʈeːlɪʋej̃
తెలివైనవని	ʈeːliʋejːanʋani
తెలిసిన	t̪el̪is̪iɳ
తెలిసినందున	ʈelisiːn̪d̪un̪
తెలిసిపోయింది	ʈeːl̪is̪ipoːjɪndi
తెలిస్తే	ʈelist̪e
తెలీదు	t̪eːliːdu
తెలుగులోనా	ʈeːluguɭonɑ
తెలుపు	t̪elup̪u
తెలుసని	ʈeːluːs̪ni
తెలుసా	t̪elʊsɑ
తెలుసు	t̪el̪uːsu
తెలుసుకుంటాడు	t̪el̪uːs̪ok̪un̪d̪aːd̪u
తెలుసుకునే	ʈeːluːsukun̪eː
తెలుసుకున్న	ʈeːluːsukunː
తెలుసుకున్నప్పుడు	ʈeɭu̯sukunːapːuɖu
తెలుసుకొనిన	t̪el̪uːs̪uk̟oːniːn̪
తెలుసుకోండి	t̪elʊs̪ukõːɖi
తెలుసుకోవచ్చు	t̪el̪uːs̪uk̟oːʋɔtʃːu
తెలుసుకోవటం	ʈeluːsukooʋaʈam
తెలుసుకోవడం	t̪el̪uːs̪uk̟oːʋaːd̪ɪ
తెలుసుకోవడానికి	ʈeluːsukɔːʋɑːd̪iː
తెలుసుకోవాలంటే	ʈeluːsukooʋaːlɛnʈʰe
తెలుసుకోవాలనుకున్నాడు	ʈeluːsukooʋaːl̪un̪ukun̪ːaːduː
తెలుసుకోవాలి	t̪el̪uːs̪uk̪oːʋ̪aːli
తెలుస్తుంది	t̪el̪us̪t̪un̪di
తెలుస్తోంది	t̪el̪us̪t̪oːd̪uː
తెల్ల	ʈelː
తెల్లని	ʈelːani
తెస్తుంది	tɛsʈuɳdi
తెస్తే	ʈest̪eː
తేగలదు	teːgɐl̪du
తేట	t̪eːʈ
తేడా	teːɖɑ
తేదీ	teːɖiː
తేదీని	teːdiːni
తేదీలు	teːdiːlu
తేనె	ʈeːne
తేనెటీగ	teːneːtiːgə
తేనెటీగ-డీ	teːneːtiːgɖiː
తేనెటీగ-డీ-అరె	teːneːtiːgɐɖiɐɾe
తేనెటీగ-డూ	teːneːtiːgɖuː
తేనెటీగలు	teːneːtiːgɐluː
తేమ	teːm
తేలికైన	teːlikai̯n
తేలిగ్గా	teːligːɑ
తేలియాడే	ʈeːliʌːɖeː
తేల్చే	teːlʈʃeː
తైలము	t̪ajlamu
తొక్కడం	tɒkːɐɖʌm
తొట్టిలో	tɒʈːiːlo
తొట్టెలో	ʈoʈːeːloː
తొడుగు	tɒɖugu
తొడుగులు	tɒɖugulu
తొందర	t̪ond̪aɾa
తొందరగా	t̪oːn̪d̪əgɑː
తొందరగా	t̪ond̪aɾagaː
తొంభై	ʈombeɪ
తొమ్మిదవ	t̪oːmːiɖʋ
తొమ్మిది	ʈomːiɖi
తొలగించ	t̪ol̪agiɳtʃ
తొలగించడానికి	ʈoɭagiɳʈaːkeː
తొలగించండి	t̪ol̪agiɳt̪ʈi
తొలగించబడింది	ʈoɭagaɓʌɭiɳdi
తొలగించబడ్డాయి	ʈoɭagaːbuɖːai
తొలగించాము	ʈoɭagiɳʈʌmu
తొలగించారు	t̪ol̪agɪn̪d̪u
తొలగించాలనుకుంటున్నారా	ʈoɭagiɳʈaːluŋuŋuɳoːnːaːrɑː
తొలగించినప్పుడు	ʈoɭagiɳɖiŋapːuɖu
తొలగించు	t̪oɭagiɳtʃu
తొలగించే	t̪ol̪agintʃe
తొలగింపుకు	ʈoɭagimːpuʈu
తొలగిపోయారు	ʈoɭagiːpoːjɑːruː
తొలగిస్తాయి	ʈoɭagiʈaːɭai
తొలగిస్తుంది	ʈoɭagʊndu
తొలగిస్తూ	t̪oligis̪t̪uː
తో	t̪o
తోక	t̪oːk
తోకను	t̪oːk̪anu
తోటలో	t̪oːʈːɔːloː
తోటి	t̪oːʈi
తోడుదొంగ	t̪oːɖuɖoŋ
తోడేలు	t̪oːɖeːlu
తోడేళ్ళు	toːɖeːɭːu
తోపులోనా	toːpuɭonɑː
తోబుట్టువుల	toːbuʈːuʋul
తోయు	tɔju
తోలు	t̪oːlu
తోలుసంచి	toːlus̪oɲtʃi
తోసిపుచ్చు	t̪oːsiputʃːu
త్యజించు	ʈʲadʒiɳʈu
త్యాగం	t̪jɑːgʌm
త్రచ్చన	t̪ɾatʃːana
త్రవ్వించి	ʈɾʋiɳʈi
త్రాగడానికి	ʈɾaːgaːɟiː
త్రాగిన	ʈɾaːgiɳ
త్రాగుట	ʈɾaːguʈ
త్రాగుటకు	ʈɾaːguʈu
త్రాగుతూ	ʈɾaːguʈuː
త్రాగునీటి	ʈɾaːgun̪iːti
త్రాగుబోతులకు	ʈɾaːguːbotulku
త్రాగే	ʈɾaːgeː
త్రావించు	t̪ɾaːʋiɲtʃu
త్రిభుజం	ʈɾibʰudʒam
త్రో	tɾoː
త్రోయు	tɾoːju
త్వరగా	tʋɾɐgɐ
త్వరణం	ʈʋɾɐɳam
త్వరణ	ʈʋɾɐɳɐ
త్వరలో	ʈʋaɾloː
త్వరలోనే	tʋɾal̪on̪eː
త్వరిత	tʋɾit̪
థాట్	θɑːʈ
థాంప్సన్	θaːmps̪ːoːn̪
థామస్	θaːməs
థామ్సన్	θɔːms̪ːɔn̪
థింక్	θiŋk
థింక్స్	θiŋkʃ
థింగ్	θiŋ
థింగ్స్	ʈiŋgʃ
థియేటర్	θijaːteːr
థియో	θijo
థీమ్	θiːm
థెరపీ	θeɾapiː
థ్రెట్	θr̥eʈ
థ్రెడ్	θrɛːɖ
ద	ɖ
దక్షిణ	ɖakʂiɳ
దగ్గర	ɖɑgːɾɑ
దగ్గరకు	ɖɑgːɾɑku
దగ్గరగా	ɖɐgːərɐgɐ
దగ్గు	ɖɐgːu
దగ్గుకు	ɖaggukʌ
దట్	ɖɐʈ
దండమేట్టాను	ɖɐɳɖɐmeːʈːɐnu
దండయాత్ర	ɖaɳɖaːt̪ɾɑ
దండి	daɳɖi
దండింపబడని	ɖɐɳɖimːbɐɖɲi
దండు	daɳɖu
దండుగ	daɳɖuga
దంతవైద్యుడు	d̪an̪t̪aʋajd̪juɖu
దత్తత	ɖɐt̪ːʌt̪
దద్దుర్లు	ɖɐɖːuɾɭu
దబ	ɖɑbʌ
దయ	ɖaj
దయగా	ɖajgɑ
దయచేయు	d̪ajatʃeːju
దయచేసి	d̪ajatʃeːsi
దయచేసి	ɖajɑtʃeːsi
దయలేని	ɖajaleːni
దయ్యం	ɖajjɨ̄
దయ్యాలు	ɖajːɑːlu
దరఖాస్తు	ɖɐɾɑːkɑːst̪u
దర్జీ	ɖɐɾʑiː
దర్యాప్తు	ɖɐɾjɑːpt̪u
దర్శకత్వం	ɖɐɻʂɐkʌt̪ʋɐm
దర్శకుడు	ɖɑɻʂɑkuɖu
దర్శకునిగా	ɖɑɻʃgun̪igɑ
దర్శించినట్టు	ɖɑɻʃiɳʈɑʈːu
దర్శినిలను	ɖɑɻʃinilənʊ
దలైలామా	d̪alajlaːmaː
దశ	ɖɐʃ
దశను	ɖɐʃn̪u
దశల	ɖɐʃɐl̪
దశలను	ɖɐʃlɐnu
దశలో	ɖɐʃɭoː
దశాబ్దాల	ɖɐʃɐbɖʌlɐ
దశాబ్దాలుగా	ɖɐʃɐbʈʌlɐɭɐgɐ
దహనం	ɖɐhɳɐm
దళారీ	ɖɐɭɐːri
దళాల	ɖɐɭɐːlɐ
దళాలు	ɖɐɭɐːlu
దాక్కుని	ɖaːkːuɳi
దాఖలాలు	ɖaːkʰalaːlu
దాఖలు	ɖaːkɭu
దాచడానికి	ɖaːtʃːaːgiː
దాచవచ్చు	ɖaːtʃavɔːtʃu
దాచావు	ɖaːtʃaːvu
దాచి	ɖaːtʃi
దాచిన	ɖaːtʃiɳ
దాచిపెట్టాడు	ɖaːtʃipeʈːaːdu
దాచు	d̪aːtʃu
దాచు	ɖaːtʃu
దాటడానికి	ɖaːʈːaːgiː
దాటి	ɖaːʈi
దాటించు	d̪aːʈiɲtʃu
దాటింది	d̪aːʈind̪i
దాటుతున్నపుడు	ɖaːʈuʈun̪ːaguɖu
దాడి	ɖaːɖi
దాడిచేసిన	ɖaːɖiʈʃeːsɪn
దాడిలో	ɖaːɖiːloː
దాడులకు	ɖaːɖulku
దాడులు	ɖaːɖɪlu
దాత	ɖaːt̪
దాతృత్వముగా	daːt̪riːt̪ʋəmʌgɑ
దాదాపు	ɖaːɖaːpu
దాది	ɖaːɖi
దాని	ɖaːni
దానికన్నా	daːn̪ikɑːn̪ɑ
దానికి	daːn̪ki
దానితో	daːn̪iːtoː
దానిని	daːniːni
దానిపై	daːnipʰej
దానిమూలంగా	ɖaːnimoːlɐŋgɑ
దానియెుక్క	daːniʔekː
దాన్	ɖaːn
దాన్ని	daːniː
దాపుబోడ	d̪aːpuboːɖa
దాయాది	daːjɑːɾi
దాయు	daːju
దారం	ɖaːɾam
దారాలు	ɖaːɾɑːlu
దారి	ɖaːɾi
దారిచూపే	ɖaːɾiʈʃuːpeː
దారితప్పిన	ɖaːɾitaːpːiɳ
దారితీస్తుంది	ɖaːɾiːt̪iːs̪t̪uɳɖu
దారిలో	ɖaːɾiːloː
దారిలోకి	ɖaːɾilogi
దారుణమైన	ɖaːɾuɳameɪn̪
దాల్చలేదు	ɖaːl̪tʃal̪eːdu
దాల్చినచెక్క	d̪aːltʃinatʃekːa
దావా	ɖaːʋaː
దావానలం	ɖaːʋaːn̪alaːm
దావాలు	ɖaːʋaːlu
దాశరథి	daːʃaratʱi
దాసుడు	daːsuɖu
దాస్తున్న	ɖaːs̪t̪un̪ː
ది	ɖi
దిగజారటం	ɖigaɻaʈam
దిగజారిపోతాము	ɖigaɻipːotaːmu
దిగంబర	ɖigambɐɾ
దిగంబరమయిన	ɖigamb̪aramaɪn̪
దిగవచ్చు	ɖigaʋɔʈːu
దిగాడు	ɖigaːɖu
దిగారు	ɖigaːruː
దిగి	ɖɪgi
దిగుమతి	ɖigʊmɐti
దిగువ	ɖiguʋ
దిగువన	ɖiguʋan̪
దిగ్గజం	ɖigːɐʐʌm
దించాలని	ɖiɳʈaːlani
దించుతున్న	ɖiɲːuʈuɳː
దిట్ట	diʈːa
దిండు	diɳɖu
దిండ్లు	ɖiːɳɖu
దినం	ɖinaːm
దినాల్లో	ɖiːnɑːlːoː
దిన్	ɖiːn
దివంగత	ɖiʋaŋgɐʈɐ
దివాలా	ɖiʋaːɭaː
దివాళా	ɖiʋaːɭa
దిశ	d̪iʃa
దిష్టి	diʂʈi
దీంతో	ɖiːn̪toː
దీని	ɖiːni
దీనికి	ɖiːn̪iki
దీనిని	ɖiːn̪ini
దీనిపై	ɖiːnipʰej
దీనివల్ల	ɖiːn̪iʋɑːɭ̆ɭ̆
దీన్ని	ɖiɳː
దీపం	ɖiːpam
దీపములు	ɖiːpamuː
దీర్ఘ	ɖiːɾgʰ
దీర్ఘకాల	ɖiːɾgɑːlɑː
దీర్ఘమైనది	ɖiːɾgɐmeɪn̪d̪i
దీవించవచ్చు	ɖiːʋiɳtʃoːtsu
దీవించిన	ɖiːʋiɳɳi
దీవించుగాక	ɖiːʋiɳtʃugaːk̟
దీవెన	ɖiːʋeːn̪
దుకాణం	ɖukaːɳam
దుకాణదారుడు	ɖukaːɳɖaːɾuɖu
దుకాణదారులను	ɖukaːɳɖaːɾulu
దుకాణంలో	ɖukaːɳːo
దుఃఖకరమైన	ɖuːkʰəkɾəmɛi̯n
దుఃఖము	ɖuːkʰamu
దుంప	ɖumʋ
దుముకుతున్న	ɖumukut̪un̪ː
దుముకుతూ	ɖumukut̪u
దుమ్ము	d̪umːu
దురద	ɖuɾaɖ
దురదృష్టం	ɖuɾad̪ɾiːʂʈam
దురదృష్టకర	ɖuɾaɾiːʂʈʌkaɾʌ
దురదృష్టకరం	ɖuɾɑɾiːʂʈʌkɑɾam
దురదృష్టకరమైన	ɖuɾad̪ɾiʂʈakaramɛin̪
దురదృష్టంగా	ɖuɾɑɻiʂʈaŋgɑ
దురదృష్టము	d̪uɾad̪ɾiʂʈamu
దురదృష్టవశాత్తు	ɖuɾɑːɾiːʃʈʌʋɑʃɑːt̪u
దురభిమానంతో	ɖuɾabʰimɑːn̪oːʈo
దురహంకారం	ɖuɾaɦaŋkaːɾam
దురాలోచన	d̪uɾaːloːtʃana
దురాశ	ɖuɾaːʃ
దుర్గంధనాశని	ɖuɾgɐɳɖ̪an̪aʃni
దుర్చాల్సిన	ɖuɾtʃaːl̪s̪iɳ
దుర్బలమైన	ɖʊɻbaɭamɛi̯n
దుర్భరమైన	ɖuɾbʰaramɛjɳ
దుర్మార్గపు	ɖuːɾmaːɾgəpuː
దుర్వాసన	ɖuɾʋaːs̪an̪
దుర్వినియోగం	ɖuɾʋiɳijogɑm
దుర్వినియోగానికి	ɖuɾʋiɲoːguŋki
దుర్వినియోగాన్ని	ɖuɾʋiniʋogʌnːi
దులపడం	ɖulapəɖʌm
దువ్వెన	ɖuʋːeɳ
దుష్కర్మ	ɖuʂkɐɾmɐ
దుష్ట	ɖuʂʈa
దుష్టుడు	ɖuʂʈuɖu
దుస్తులను	ɖust̪ulu
దుస్తులలో	ɖust̪ul̪ɔː
దుస్తులు	ɖus̪t̪ulu
దూకి	duːki
దూకుతారు	ɖuːkuːt̪aːɾu
దూడ	ɖuːɖ
దూడలు	ɖuːɖɨlu
దూది	duːɖi
దూర	duːr
దూరం	duːrəm
దూరంగా	duːraŋgɑ
దూరమయ్యాడు	duːrəmɨjɑːɖu
దూరములో	duːɾʌmoːlu
దూరంలో	duːɾɔːŋɭoː
దూరానికి	duːrɑːŋki
దూషించటం	duːʂiɳʈʌm
దూషించారు	duːʂiŋku
దృక్కు	d̪ɾukːu
దృఢం	d̪ɾiɖʱam̃
దృఢ	ɖruɖʰ
దృశ్యం	dr̥ʂʝam
దృశ్య	dr̥ʃʲ
దృశ్యాన్ని	dr̥ʃjɱi
దృష్టి	ɖriʂʈi
దృష్టిగల	ɖɻʃʈigɐl
దృష్టిని	ɖriːʂʈiːni
దృష్టిలో	ɖriːʂʈiːloː
దెబ్బ	ɖebːɑ
దెబ్బతింటాయి	ɖebːaʈintai̯
దెబ్బతింది	ɖebːatiːndi
దెబ్బతిన్న	ɖebːaʈin̪ː
దెబ్బతిన్నాయి	ɖebːaʈinːaj
దెబ్బతీయకుండా	ɖebːaʈijaːgʌːɳʌ
దెబ్బతీస్తుందని	ɖebːat̪iːs̪t̪uːn̪di
దెబ్బలను	ɖebːlanu
దెబ్బవేయడం	ɖebːaveːɖam
దెమ్	ɖem
దెయ్యం	ɖejam
దే	ɖeː
దేని	ɖeːni
దేనిని	ɖeniːni
దేర్	ɖeːɾ
దేవ	ɖeːʋ
దేవత	ɖeːʋɐʈɐ
దేవతల	ɖeːʋɐt̪ɐl̪
దేవదూత	ɖeːʋɐɖuːt̪ʰ
దేవా	ɖeːʋaː
దేవాలయాలు	ɖeːʋaːlajaːlu
దేవుడికి	ɖeːvuɖigi
దేవుడిని	ɖeːvuɽini
దేవుడు	ɖeːvuɖʊ
దేవుని	ɖeːvuɳi
దేవునికి	ɖeːvuɳiki
దేవునితో	ɖeːʋuniːtoː
దేవునిపై	ɖeːʋunipeɪ
దేవుళ్లకు	ɖeːvuʎːgu
దేశం	ɖeːʈʃami
దేశంగా	ɖeːʈʂaːŋgɑː
దేశంలో	ɖeːʈʂuŋoː
దేశంలోని	ɖeːʈʂuŋloːni
దేశవ్యాప్త	ɖeːʈʌvjaːpt̪ə
దేశవ్యాప్తంగా	ɖeːʈʃəvjaːpt̪ːaŋgɑː
దేశాల	ɖeːʈʌlɑː
దేశాలు	ɖeːʈʃɑːlu
దేశీయ	ɖeːʃiːj
దైవ	ɖejʋ
దొంగ	ɖoŋg
దొంగతనం	ɖoŋgat̪an̪i
దొంగతనంగా	ɖoŋgʌt̪an̪d̪ɐŋgɐ
దొంగలించిన	ɖoŋgaliːʃiɳi
దొంగలు	ɖoŋgɑːlu
దొంగిలించడం	ɖoŋgilindʑad̪aːm
దొంగిలించడానికి	ɖoŋgiɭiɳʈaːgiː
దొంగిలించబడింది	ɖoŋgilɐbʌɭʈʌɳdi
దొంగిలించబడిన	ɖoŋgilɪɳd̪abɪn̪d̪ʑi
దొంగిలించాడని	ɖoŋgilintʃaːɖani
దొంగిలించాడు	ɖoŋgilɪndʑaː
దొంగిలించారు	ɖoŋgilɪŋgu
దొంగిలించి	ɖoŋgilɪɲtʃi
దొంగిలిస్తుంది	ɖoŋgilʌd̪uʈːu
దొంతర	ɖoːn̪t̪aɾ
దొరకడం	ɖɔɾakɐɖʌm
దొరకరు	ɖɔɾakɐɾu
దొరకలేదా	ɖɔɾakaleda
దొరకలేదు	ɖɔɾakaleːdu
దొరికాడని	ɖoɾikɑːɖani
దొరికారని	ɖoɾikaːɾani
దొరుకుతుందని	ɖoːrukud̪ʌn̪di
దోచుకున్న	ɖoːtʃuːn̪ː
దోచుకున్నారు	ɖoːtʃukun̪d̪u
దోపిడీ	ɖoːpiɖiː
దోపిడీదారుడు	ɖoːpiɖiːdaːɾuʈu
దోపిడీలో	ɖoːpiɖiːloː
దోషం	ɖoːʂam
దోషిగా	ɖoːʂigɑ
దోహదపడుతుంది	ɖoːɦagaɖʌɖʌn̪t̪u
దౌర్భాగ్యుడు	ɖau̯ɾbʌgʲʌɖu
ద్రవం	dr̥vam
ద్రవాలు	drɑvuːlu
ద్రవ్య	ɖravʲə
ద్రాక్షతోట	ɖraːkʂʈoːʈʌ
ద్రోహం	ɖroːhɑːm
ద్రోహి	ɖroːhi
ద్రోహిగా	drɒːhigɑː
ద్వని	ɖʋaɲi
ద్వారా	ɖʋaːɾɑː
ద్వితీయార్థంలో	ɖʋit̪iːjɑːɾt̪ʰɔːmlu
ద్వీపం	ɖʋiːpam
ద్వేషం	ɖʋeːʃam
ద్వేషపూరిత	ɖʋeːʃɐpuːɾit̪
ద్వేషిస్తారు	ɖʋeːʂʈʌɾuː
ద్వైతం	d̪ʋajt̪am̃
ద్వైతము	d̪ʋajt̪amu
ధనం	ɖʱʌn̪a
ధనము	dʱanamu
ధనవంతుడు	ɖʱan̪aʋantuɖu
ధనాన్ని	ɖʱanɛːni
ధనిక	ɖʱaniːk
ధనియాలు	dʱanijaːlu
ధనుర్వాతం	ɖʱɐnuɾʋaːt̪am
ధన్యవాదాలు	ɖʱɐɳjʋaːd̪aːlu
ధర	ɖʱaɾ
ధరించడానికి	ɖʱaɾiɳtɕaːgiː
ధరించారు	ɖʱɐɾiŋku
ధరించాలి	ɖʱaɾiɳtʃaːli
ధరించి	ɖʌɾiɲi
ధరించిన	ɖʱaɾikiɳ
ధరించినపుడు	ɖʱaɾigin̪puɖu
ధరించు	d̪ʱaɾiɲtʃu
ధరించే	ɖʱaɾiŋe
ధరింపజేయు	ɖʱaɾim̆p̆aɾeːu
ధరిస్తాడు	ɖʱaɾiʈʌːɖu
ధరిస్తారు	ɖʱaɾiʈʌɾu
ధర్మశాల	d̪ʱaɾmaʃaːla
ధాన్యపు	ɖʌːɲːu
ధాబాకు	ɖʱaːbaːku
ధియేటర్	ɖʱiːeːʈʌːr
ధీర	dʱiːra
ధూపము	dʱuːpamu
ధూమపానం	ɖʰuːmʌpaːnuː
ధూళి	ɖʱuːli
ధృవీకరణ	ɖʱɾʋikiɾɳɔ
ధృవీకరించవచ్చు	ɖʱɾʋikiɾiɳtɕoːs̪u
ధైర్యం	ɖʱejaram
ధైర్య	ɖʌiɾʌ
ధైర్యము	ɖʱejɾʌmu
ధైర్యానికి	ɖʌiɾʌŋki
ధైర్యాన్ని	ɖʌi̯ɾʌn̪n̪i
ధ్రువ	ɖʱɾuʋ
ధ్రువీకరించారు	ɖʱɾuʋiːkɛɾiŋgu
ధ్వని	ɖʋni
ధ్వనించే	ɖʋanitʃe
ధ్వనిని	ɖʰʋanini
ధ్వనిస్తుంది	d̪ʋ̪an̪uːd̪u
ధ్వనులు	ɖʋan̪ulu
ధ్వంసమయ్యే	ɖʋɐnsɐmɐjeː
న	n
న	na
న	n̪a
నం	ɳu
నకలు	nɐkɭu
నకిలీ	n̪akɪliː
నకిల్స్	n̪akiɭs̪
నక్క	nɑkːɑ
నక్కలేసు	nɑkːɑl̪eːsu
నక్షత్రాన్ని	n̪akʂʈɾaːni
నక్షత్రాలు	n̪agʂʈraːmːɑː
నగ	n̪ag
నగదు	ŋɐgɐdu
నగరం	n̪agaɾam
నగర	ŋɐgɐɾ
నగరంలో	ŋɐgɐɾʌŋɭo
నగరాన్ని	n̪agarɑːmni
నగరాలు	ŋɐgɐɭuː
నగల	ŋɐɭ
నగెట్	n̪əgeʈː
నగ్గెట్స్	ŋgeʈː
నగ్న	nɑgɳ
నగ్నంగా	ŋgn̪ːgɑː
నచ్చలేదా	ɳɔtɕal̪eːd̪a
నచ్చలేదు	ɳɔtʃalɛːdu
నచ్చి	ɳɑːtʃi
నచ్చిందా	ɳɔtʃiɳd̪a
నచ్చింది	ɳɔtʃiɳɖu
నచ్చిన	nɒːtʃiːn
నచ్చు	natʃːu
నంజు	naɲdʒu
నటన	ɳɐʈɐn
నటనా	ɳɐʈɐnɐ
నటి	ɳɐʈi
నటించడం	ɳaʈiɳʈaɖɨm
నటించాడు	ɳɐʈiɳɖu
నటించాలి	ɳɐʈiɳɐːli
నటిస్తానని	ɳaʈiʈɑːni
నటిస్తారు	ɳaʈiʂt̪aːɾu
నటిస్తున్న	ɳaʈis̪t̪un̪ː
నటిస్తున్నాడు	ɳaʈiʈʰunːaːduː
నటీమణి	n̪eːt̪iːmaɳi
నడక	n̪aɖaka
నడచు	naɖatʃu
నడపడం	ɳɐɖɐpɐɖʋʌ
నడపించు	naɖapiɲtʃu
నడవ	ɳɐɖʋɐ
నడవడానికి	ɳɐɖʋaːɟiː
నడిచి	n̪ɖiʈʃi
నడిచింది	ɳɐɖiʈʲiɳɖu
నడిచే	ɳɐɖiʈʃe
నడిపించటానికి	ɳɐɖiɳiɳʈɑŋki
నడుచు	naɖutʃu
నడుచుకునేలా	ɳɐɖuʈukunɛlaː
నడుపలేదు	ɳɐɖuplɛɖu
నడుపుతున్న	n̪əɖuput̪un̪ː
నడుపుతున్నారు	ɳɐɖuːt̪uɳɖu
