"sé"	sɛ
encoscorado	ˌeɪŋkˌuʃkˌuɾˈadw
encosta	ˌeɪŋkˈɔʃtɐ
encostada	ˌeɪŋkuʃtˈadɐ
encostado	eɪŋkwʊʃtadw
encostado	ˌeɪŋkuʃtˈadw
encostados	eɪŋkwʃtadʊʒ
encostados	ˌeɪŋkuʃtˈadʊʒ
encostando	ˌeɪŋkuʃtˈɐ̃ŋdw
encostar	eɪŋkˈuʃtˈaɹ
encostar	ˈeɪŋkustˈaɹ
encostar	ˌeɪŋkuʃtˈaɹ
encostar-se	enkostˈaɾsɨ
encostaram	eɪŋkwʃtˈaɾɐ̃ʊ̃
encostarem	inkostare
encostas	ˌeɪŋkˈɔʃtɐʒ
encostasse	enkˌuʃtˈasɨ
encostava	eɨnkˌuʃtˈavɐ
encostei	penkoʃtej
encosto	emkˈostʊ
encosto	ˌeɪŋkˈoʃtw
encostou	nkustow
encostou	ˌeɪŋkuʃtˈow
encravada	ˌeɪŋkɹɐvˈadɐ
encravado	eɪŋkɾɐvadu
encravado	ˌeɪŋkɹɐvˈadw
encravados	eɪŋkˌɹɐvadˈos
encrave	ˌeɪŋkɹˈavɨ
encraves	ˌeɪŋkɹˈavɨʒ
encrenqueiro	enkrenkˈeɪro
encrenqueiro	ˌeɪŋkɹeɪŋkˈeɪɾw
encrespado	ˌentɹɨʃpˈadw
encrespar	enkɾɛzpaɾ
encrespar	ˌeɪŋkɹɨʃpˈaɹ
encriptado	ˌeɪŋkɾipitˈadw
encruado	ˌeɪŋkɾuˈadw
encruzilhada	eɪŋkɾˌuziʎadɐ
encruzilhada	ˌeɪŋkɹuziʎˈadɐ
encruzo	elkɾˈuzo
encubra	ˈeɪŋkˈubɹɐ
encurralado	ˌeɪŋkuʁɐlˈadw
encurralado	ˌeɪŋkˌuʁɐlˈadʊ
encurralados	ˌeɪŋkuʁɐlˈadʊʒ
encurralar	ˌeɪŋkuʁɐlˈaɹ
encurtamento	enkˌuɾtɐmˈeɪŋtʊ
encurtando	ˌeɪŋkuɾətˈaŋdw
encurtando	ˌeɪŋkuɾətˈɐ̃ŋdw
encurtou	ˌeɪŋkuɾətˈow
encurvada	ˌeɪŋkuɾəvˈadɐ
encurvado	ˌeɪŋkuɾəvˈadw
encurvados	eɪŋkuɾəvˈadʊʒ
encurvou	ˌeɪŋkuɾəvˈow
encyclopedia	ˌeɪŋsiklˌupɨdˈiɐ
encéfalo	ˌeɪŋsˈɛfɐlˌu
encíclica	ˌeɪŋsˈiklikɐ
end	ˈend
endeavour	ˌeɪŋdiɐvˈowɹ
endemia	ˌeɪŋdɨmˈiɐ
endereçada	ˌeɪŋdɨɾɨsˈadɐ
endereçadas	ˌeɪŋdɨɾɨsˈadɐʒ
endereçado	eɪŋdˌɨɾɨsˈadʊ
endereçado	ˌeɪŋdɨɾɨsˈadw
endereçados	eɪŋdˌeɾɨsˈadʊʒ
endereçar	ˌeɪŋdɨɾɨsˈaɹ
endereço	ˈeɪŋdˈɨɾɨsʊ
endereço	ˌeɪŋdɨɾˈesw
endereços	ˌeɪŋdɨɾˈesʊʒ
endeusa	ˈeɪŋdˈeʊzɐ
endeusar	emdeuzar
endinheirado	ˌeɪŋdiɲeɪɾˈadw
endinheirados	ˌeɪŋdiɲeɪɾˈadʊʒ
endipa	ˌeɪŋdˈipɐ
endireitar	ˌeɪŋdiɾeɪtˈaɹ
endividada	ˌeɪŋdividˈadɐ
endividadas	ˌeɪŋdividˈadɐʒ
endividado	eɪŋdibˌidɐdˈɔ
endividado	ˌeɪŋdividˈadw
endividados	ˌeɪŋdividˈadʊʒ
endividamento	eɪŋdivˌidɐmˈeɪŋtw
endividamento	ˌeɪŋdivˌidɐmˈeɪŋtw
endividar	ˌeɪŋdividˈaɹ
endividou	ˌeɪŋdividˈow
endless	eɪŋdlˈɛs
endo	ˈeɪŋdw
endocardite	ˌeɪŋdˈokɐɹdˈitɨ
endocrinologia	ˌeɪŋdukɹˌinuluʒˈiɐ
endocrinologista	ˌeɪŋdukɹˌinuluʒˈiʃtɐ
endofórica	eɪŋdɔfɔɾikɐ
endoidecer	eɪŋdˌuɪdɨsˈeɹ
endoidecer	ˌeɪŋdoɪdɨsˈeɹ
endomiceto	eɪŋdˌumisˈetʊ
endomingado	ˌeɪŋdumiŋgˈadw
endomitose	eɪŋdˌumitˈɔzˈɛ
endomorfo	eɪŋdˈomˌoɾəfu
endométrio	eɪŋdˈomɨtɹiʊ
endométrio	ˌeɪŋdumˈɛtrjw
endoparasítico	ˈeɪŋdʊpˌɐɾɐzˈitikʊ
endopatia	ˌeɪŋdupɐtˈiɐ
endopericárdio	eɪŋdʊpˌeɾikˈaɾədjʊ
endoperitoneal	eɪŋdʊpˌeɾitˌuniˈɑl
endoperídio	eɪŋdʊpˌeɾˈidjʊ
endoplasma	ˌeɪŋdwplˈaɪʒmɐ
endopleura	endɔplˈeʊɾɐ
endopoliploidia	eɪŋdʊpˌulɨplˌuidˈiɐ
endoprocto	endoproxto
endorsar	ˌeɪŋdoɾˈsɐɹ
endoscópico	eʊŋdˈɔʃkˈɔpikˌu
endosfera	ˈeɪŋdʊʒfˌɛɾɐ
endosférico	ˌeɪŋdwʒfˈɛɾikˌu
endosmométrico	ˌeɪŋdwʒmˌumˈɛtˌɹikˌu
endosmose	ˌeɪŋduʒmˈɔzj
endosmômetro	ˈeɪŋdwʒmˈomɨtɹʊ
endospermo	emdɔʒpɛrmɔ
endospérmico	ˌeɪŋdwʒpˈɛɾəmikˌu
endospóreo	eɪŋdʊʒpɔɾiʊ
endosqueleto	eɪŋdʊʃkɛɲˈetʊ
endossa	ˌeɪŋdˈɔsɐ
endossabilidade	eɪŋdˈɔsˌˈabɨlidˈadɨ
endossada	ˌeɪŋdusˈadɐ
endossado	ˌeɪŋdusˈadw
endossar	iŋdˌusˈaɹ
endossar	ˌeɪŋdusˈaɹ
endossecretório	ˈeɪŋdʊsˌekɹɨtˈɔɾjʊ
endosso	eɪŋdˈɔʃtʊ
endosso	ˌeɪŋdˈɔsw
endossos	ˈeɪŋdˌusˌuz
endossou	ˌeɪŋdusˈow
endostetoscópio	eɪŋdˈoʃtˈetˌuʃkˈɔpjw
endoteca	eɪŋdˈutɨkˌɐ
endotecal	eɪŋdˈotˈɛkˈau
endotelial	ˌeɪŋdutˌeliˈɐl
endotelioide	endotelioljde
endotermo	eɪŋdˈɔtɨɾəmˌɐ
endotraqueal	endʊtɾɐkɨaɫ
endotrófico	ˈeɪŋdutɾˈɔfikˌɔ
endoudar	ˌeɪŋdudˈaɹ
endoudecimento	ˌeɪŋdudˌesimˈeɪŋtʊ
endozoário	eɪŋduzˌuˈaɾəiʊ
endrão	eɪŋdɹˈɐ̃ʊm
ends	ˈeɪŋdʒ
enduape	endʊapɪ
endurado	ˌeɪŋduɾˈadw
endurar	ˈeɪŋduɾˈaɹ
enduração	ˌeɪŋdˌuɾɐsˈɐ̃ʊ̃
endurecedor	ˌeɪŋduɾˌesˌedˈoʁ
endurecer	ˌeɪŋduɾɨsˈeɹ
endureceu	iŋgˈɾɨseːˈy
endureceu	ˌeɪŋduɾɨsˈeʊ
endurecido	ˌeɪŋduɾɨsˈidw
endurecimento	ˌeɪŋduɾɨsimˈeɪŋtʊ
endurecimento	ˌeɪŋduɾˌesimˈeɪŋtw
enduro	ˌeɪŋdˈuɾw
enduros	ˌeɪŋdˈuɾʊʒ
endémica	ˌeɪŋdˈɛmikɐ
endêmica	ˌeɪŋdˈemikɐ
endêmico	ɛn̪d̪emjkw
endêmico	ˌeɪŋdˈemikw
endívia	eɪŋdˈivˌiɐ
endívia	ˌeɪŋdˈivjɐ
endócrino	eɪŋdɔkɾinʊ
endógeno	eɪŋdˈɔʒənʊ
endóstoma	ɛndɔstɔma
ene	en
ene	ˈenɨ
eneacampeão	enɛɐkɐ̃mpjˈɐ̃ʊ̃
eneadecaetéride	eneadɛkˈaetˈɛridʒi
eneadáctilo	eneadaktilo
eneagonal	eneaːgonnaw
eneaspermo	enɛespɛrmo
enegrecer	enigɾesseʁ
enegrecido	ˌenɨgɹɨsˈidʊ
enegrecimento	ˌenɨgɹɨsimˈeɪŋtʊ
eneida	ˌenˈeɪdɐ
enem	ene
enemy	ˌenˈemi
enen	ˈeneɪŋ
eneorema	eneorima
energia	enɨɾəʒˈiɐ
energia	ˌeneɾəʒˈiɐ
energia	ˌenɨɾəʒˈiɐ
energicamente	ɛnˈɛɾəʒikɐmˌeɪŋtɨ
energizante	ˌeneɾəʒuzˈɐ̃ŋtɨ
energizar	ˌeneɾəʒizˈaɹ
energy	ˌenˈeɾəʒi
energética	ˌeneɾəʒˈɛtikɐ
energético	eneɾʒtikɔ
energéticos	ˌeneɾəʒˈɛtikˌuz
energéticos	ˌenɨɾəʒˈɛtikʊʒ
energúmeno	ˌenɨɾəgˈũmɨnw
enervado	eneɾəvˈadʊ
enervasse	ineɾvazsj
enevoado	enɨvˈoadw
enevoado	enˈevʊatʊ
enevoado	ˌenɨvuˈadw
enevoado	ˌenɨvˌuˈadw
eneágino	eneaʒinʊ
enfadadiço	ˌeɪŋfˈadɐdˈisʊ
enfadado	ˌeɪŋfɐdˈadw
enfado	ˌeɪŋfˈadw
enfadonha	ˌeɪŋfɐdˈoɲɐ
enfadonho	iŋfˈadˈoɲʊ
enfadonho	ˌeɪŋfɐdˈonˌiw
enfadonho	ˌeɪŋfɐdˈoɲw
enfaixado	ˈeɪŋfˌaiʃadʊ
enfaixado	ˌeɪŋfˌɐˈiʃˈadw
enfaixar	ɛŋfajʃaɾ
enfaixar	ˌeɪŋfaɪʃˈaɹ
enfant	eɪŋfˈɐ̃ŋt
enfants	eɪŋfˈɐ̃ŋtʒ
enfarado	ˌeɪŋfɐɾˈadw
enfarar	emfɐɾˈaɹ
enfardar	iŋfˈɐɾədˈaɹ
enfartado	ˌeɪŋfɐɾətˈadw
enfarte	ˌeɪŋfˈaɾətɨ
enfastiadiço	ˌeɪŋfɐʃtɪˈadˈisʊ
enfastiar	ˌeɪŋfɐʃtiˈaɹ
enfaticamente	eɪŋfˈatikɐmˈeɪŋtɨ
enfaticamente	ˌeɪŋfɐtˌikɐmˈeɪŋtɨ
enfatiza	ˌeɪŋfɐtˈizɐ
enfatizado	ˌeɪŋfɐtizˈadw
enfatizam	ˌeɪŋfɐtˈizɐ̃ʊ̃
enfatizando	ˌeɪŋfɐtizˈɐ̃ŋdw
enfatizar	ˌeɪŋfɐtizˈaɹ
enfatizaram	ˌeɪŋfɐtizˈaɾɐ̃ʊ̃
enfatizava	ˌeɪŋfɐtizˈavɐ
enfatizou	ˌeɪŋfɐtizˈow
enfatuado	ˌeɪŋfɐtuˈadw
enfeita	ˌeɪŋfˈeɪtɐ
enfeitada	ˌeɪŋfeɪtˈadɐ
enfeitadas	ˌeɪŋfeɪtˈadɐʒ
enfeitado	ˌeɪŋfeɪtˈadw
enfeitado	ˌeɪŋfɨitˈadw
enfeitados	ˌeɪŋfeɪtˈadʊʒ
enfeitam	ˌeɪŋfˈeɪtɐ̃ʊ̃
enfeitando	ˌeɪŋfeɪtˈɐ̃ŋdw
enfeitando	ˌeɪŋfɨitˈɐ̃ŋdw
enfeitar	enfeitˈa
enfeitar	ˈaɪŋfˌeɪtˈaɹ
enfeitar	ˌeɪŋfeɪtˈaɹ
enfeitava	ˌeɪŋfɨitˈˌɐvɐ
enfeite	emfeite
enfeite	ˌeɪŋfˈeɪtɨ
enfeites	ˌeɪŋfˈeɪtɨʒ
enfeitiçados	ˌeɪŋfɨitisˈadʊʒ
enfeitiçar	ˌeɪŋfeɪtisˈaɹ
enfermagem	ˌemfɨɾəmˈaʒeɪŋ
enfermagem	ˌeɪŋfɨɾəmˈaʒaɪŋ
enfermaria	ɛnfɨɾmɐɾiɐ
enfermaria	ˌeɪŋfɨɾəmɐɾˈiɐ
enfermaria	ˌeɪŋfɨɾəmˌɐɾˈiɐ
enfermarias	ˌeɪŋfɨɾəmɐɾˈiɐʒ
enfermeira	ˌeɪŋfɨɾəmˈeɪɾɐ
enfermeiras	ˈeɪŋfˌeʁmˈeɪɾɐʒ
enfermeiras	ˌeɪŋfɨɾəmˈeɪɾɐʒ
enfermeiro	ˌemfɨʁmˈeɪɾʊ
enfermidade	ˌeɪŋfɨɾəmidˈadɨ
enfermidades	iŋfˈeɾəmidˈadɨʒ
enfermo	ˌeɪŋfˈeɾəmw
enferrujada	ˌeɪŋfɨʁuʒˈadɐ
enferrujadas	ˌeɪŋfɨʁuʒˈadɐʒ
enferrujado	ˌeɪŋfɨʁuʒˈadw
enferrujar	ˈeɪŋfˌeʁʊʒˈaɹ
enferrujar	ˈeɪŋfˌeʁˈʒɐɾ
enferrujar	ˌeɪŋfɨʁuʒˈaɹ
enfezado	ˌeɪŋfɨzˈadw
enfezar	ˌeɪŋfɨzˈaɹ
enfia	ˌeɪŋfˈiɐ
enfiada	ˌeɪŋfiˈadɐ
enfiadas	ˌeɪŋfiˈaðɐʒ
enfiado	eɪŋfˈjadʊ
enfiado	ˌeɪŋfiˈadw
enfiados	ˌeɪŋfiˈadʊʒ
enfiando	ˌeɪŋfiˈɐ̃ŋdw
enfiar	emfiaɾ
enfiar	ˌeɪŋfiˈaɹ
enfiara	emfiaɾa
enfileiradas	ˌeɪŋfileɪɾˈadɐʒ
enfileiradas	ˌeɪŋfˌileɪɾˈadɨʒ
enfileirado	ˌeɪŋfɪleˈiɾˈadw
enfileirados	ˌeɪŋfileɪɾˈadʊʒ
enfileirados	ˌeɪŋfˌileɪɾˈadʊʒ
enfileirar	ˈeɪŋfˌilˌeɪɾˈaɾ
enfiou	ˌeɪŋfiˈow
enfisema	ˌeɪŋfizˈemɐ
enfisemático	ˈeɪŋfˌizɨmˈatikʊ
enfitêutico	ˌeɪŋfitˈetikˌu
enflurano	ˈeɪŋflˌuɾˈɐ̃nʊ
enfoca	ˌeɪŋfˈɔkɐ
enfocados	ˌeɪŋfukˈadʊʒ
enfocam	ˌeɪŋfˈɔkɐ̃ʊ̃
enfocando	ˌeɪŋfukˈɐ̃ŋdw
enfocar	efokaɾ
enfocar	ˌeɪŋfukˈaɹ
enfocou	ˌeɪŋfukˈow
enfoque	ˌeɪŋfˈɔkɨ
enfoques	ˌeɪŋfˈɔkɨʒ
enforcada	ˌeɪŋfuɾəkˈadɐ
enforcou	ˌeɪŋfuɾəkˈow
enfraquece	ˌeɪŋfɹɐkˈɛsɨ
enfraquecem	ˌeɪŋfɹɐkˈɛseɪŋ
enfraquecer	ˌeɪŋfɹɐkɨsˈeɹ
enfraqueceu	ˌeɪŋfɹɐkɨsˈeʊ
enfraquecia	ˌeɪŋfɾˌɐkɨsˈiɐ
enfraquecida	ˌeɪŋfɹɐkɨsˈidɐ
enfraquecido	ˌeɪŋfɹɐkɨsˈidw
enfraquecimento	ˌeɪŋfɹɐkɨsimˈeɪŋtʊ
enfraquecimento	ˌeɪŋfɹɐkˌesimˈeɪŋtw
enfrenta	ˌeɪŋfɹˈeɪŋtɐ
enfrentada	ˌeɪŋfɹeɪŋtˈadɐ
enfrentado	eɪŋfɹɨeɪŋtadɔ
enfrentados	ˌeɪŋfɹeɪŋtˈadʊʒ
enfrentam	ˌeɪŋfɹˈeɪŋtɐ̃ʊ̃
enfrentamentos	ˌeɪŋfɹeɪŋtɐmˈeɪŋtʊʒ
enfrentamos	ˌeɪŋfɹeɪŋtˈɐ̃mʊʒ
enfrentando	ˌeɪŋfɹeɪŋtˈɐ̃ŋdw
enfrentando	ˌeɪŋfɹɨŋtˈɐ̃ŋdw
enfrentar	ˌeɪŋfɹeɪŋtˈaɹ
enfrentaram	ˌeɪŋfɹeɪŋtˈaɾɐ̃ʊ̃
enfrentareis	ˌeɪŋfɹɨntˌɐɾˈeʃ
enfrentaria	ˌeɪŋfɹeɪŋtɐɾˈiɐ
enfrentarmos	ˌeɪŋfɹeɪŋtˈaɾəmʊʒ
enfrentasse	ˌeɪŋfɹɨntˈaʃɨ
enfrentava	ˌeɪŋfɹeɪŋtˈavɐ
enfrentavam	ˌeɪŋfɹeɪŋtˈavɐ̃ʊ̃
enfrente	ˌeɪŋfɹˈeɪŋtɨ
enfrentá	ˌeɪŋfɹeɪŋtˈa
enfumaçada	ˌeɪŋfumɐsˈadɐ
enfumaçado	ˌeɪŋfumɐsˈadw
enfumaçar	ˌeɪŋfumɐsˈaɹ
enfunado	eɪŋfwŋadu
enfurecer	ˌeɪŋfuɾɨsˈeɹ
enfurecido	ˌeɪŋfuɾɨsˈidw
enfurecidos	ˌeɪŋfuɾɨsˈidʊʒ
enfurnar	eɪŋfˌuɾəŋɐ̃
enfática	ˌeɪŋfˈatikɐ
enfático	ˌeɪŋfˈatikw
eng	ˈeɪŋg
engaiolado	ˌeɪŋgaɪˌulˈadw
engaiolar	ˌeɪŋgaɪulˈaɹ
engajada	ˌeɪŋgɐʒˈadɐ
engajadas	ˌeɪŋgɐʒˈadɐʒ
engajado	ˌeɪŋgɐʒˈadw
engajados	ˌeɪŋgɐʒˈadʊʒ
engajam	ˌeɪŋgˈaʒɐ̃ʊ̃
engajamento	ˌeɪŋgɐʒɐmˈeɪŋtw
engajar	ˌeɪŋgɐʒˈaɹ
engajaram	ˌeɪŋgɐʒˈaɾɐ̃ʊ̃
engajou	ˌeɪŋgɐʒˈow
engalanado	eɪŋgˌɐlɐnˈadw
engana	engˈɔnˈa
engana	ˌeɪŋgˈɐ̃nɐ
enganada	ˌeɪŋgɐnˈadɐ
enganadas	ˌeɪŋgɐnˈadɐʒ
enganado	ˌeɪŋgɐnˈadw
enganador	iːnguːnaːdor
enganador	ˌeɪŋgɐnɐdˈoɹ
enganados	ˌeɪŋgɐnˈadʊʒ
enganam	ˌeɪŋgˈɐ̃nɐ̃ʊ̃
enganamos	enganˈamɔʒ
enganar	ˌeɪŋgɐnˈaɹ
enganaram	ˌeɪŋgɐnˈaɾɐ̃ʊ̃
enganação	ˌeɪŋgɐnɐsˈɐ̃ʊ̃
enganchado	ɛɨŋgɐ̃ŋʃˈadʊ
engancharam	eɪŋgˌɐ̃ʃˈaɾɐ̃ʊ̃
engane	ˌeɪŋgˈɐ̃nɨ
enganei	enɣɐnˈeɪ
engano	iŋgɐnˈʊ
engano	ˌeɪŋgˈɐ̃nw
enganos	ˌeɪŋgˈɐ̃nʊʒ
enganosa	ˌeɪŋgɐnˈɔzɐ
enganosamente	enɣanɔsɐmeɪŋtɨ
enganosas	ˌeɪŋgɐnˈɔzɐʒ
enganoso	ˌeɪŋgɐnˈozw
enganou	ˌeɪŋgɐnˈow
engarrafada	ˌeɪŋgɐʁɐfˈadɐ
engarrafada	ˌeɪŋgɐʁˌɐfˈadɐ
engarrafado	iŋgɐʁˈˌɐ̃fˈadʊ
engarrafado	ˌeɪŋgɐʁɐfˈadw
engarrafado	ˌeɪŋgɐʁˌɐfˈadw
engarrafadora	ˌeɪŋgɐʁˌɐfɐdˈoɾɐ
engarrafamento	ˌeɪŋgɐʁˌɐfɐmˈeɪŋtw
engarrafamentos	ˌeɪŋgɐʁˌɐfɐmˈeɪŋtʊʒ
engasga	ˌeɪŋgˈaʒgɐ
engasgamos	ˌeɪŋgɐʒgˈɐ̃mʊʒ
engasgar	ˌeɪŋgɐʒgˈaɹ
engasgar-se	ˌeɪŋgɐʒgˈaɹsɨ
engastada	eɪŋgastadɨ
engastado	ˌeɪŋgɐʃtˈadw
engata	ˌeɪŋgˈatɐ
engatada	ˌeɪŋgɐtˈadɐ
engatado	ˌeɪŋgɐtˈadw
engatam	ˌeɪŋgˈatɐ̃ʊ̃
engatando	ˌeɪŋgɐtˈɐ̃ŋdw
engatar	ɛŋgɐtˈaɾ
engatar	ˌeɪŋgɐtˈaɹ
engate	ˌeɪŋgˈatɨ
engates	ˌeɪŋgˈatɨʒ
engatilhou	iŋgatʃiʎow
engatinha	ˌeɪŋgɐtˈiɲɐ
engatinhando	ˌeɪŋgɐtiɲˈɐ̃ŋdw
engatinhar	ˌeɪŋgɐtiɲˈaɹ
engatou	eiŋgatow
engatou	ˌeɪŋgɐtˈow
engavetada	ˌeɪŋgɐvɨtˈadɐ
engavetamento	ˌeɪŋgɐvˌetɐmˈeɪŋtw
engavetar	ˌeɪŋgɐvɨtˈaɹ
engavetou	ˌeɪŋgɐvɨtˈow
engaço	iŋgˈasʊ
engecom	ˌeɪŋʒɨkˈoŋ
engel	eɪŋʒˈɛl
engelhado	ˌeɪŋʒɨʎˈadw
engels	ɛŋgels
engendrada	ˌeɪŋʒeɪŋdɹˈadɐ
engendrar	enʒɨmdɹaɾ
engendraram	eɪŋʒɨndɹaɾaʊ
engengeiro	ˌeɪŋʒˌeɪŋʒˈeɪɾʊ
engenharia	ˌeɪŋʒeɲˌɐɾˈiɐ
engenheira	ˌeɪŋʒɨɲˈeɪɾɐ
engenheiro	iŋʒenʲˈeɪɾʊ
engenheiro	ˌeɪŋʒɨɲˈeɪɾw
engenheiro	ˌeɪŋʒɨɲˈeɪɾʊ
engenho	ˌeɪŋʒˈeɲw
engenhoca	eɪŋʒeɪɲˈɔkɐ
engenhoca	ˌeɪŋʒɨɲˈɔkɐ
engenhocas	ˌeɪŋʒɨɲˈɔkɐʒ
engenhos	ˌeɪŋʒˈeɲʊʒ
engenhosa	ˌeɪŋʒɨɲˈɔzɐ
engenhosamente	ˌeɪŋʒˌeɪŋˈɔzɐmˈeɪŋtɨ
engenhosas	ˌeɪŋʒɨɲˈɔzɐʒ
engenhosidade	ˌeɪŋʒɨɲˌuzidˈadɨ
engenhoso	iŋʒˌeɪɲˈozʊ
engenhoso	ˌeɪŋʒɨɲˈozw
engenhão	ˌeɪŋʒɨɲˈɐ̃ʊ̃
engesa	ˈeɪŋʒˈɛzɐ
engesa	ˌeɪŋʒˈezɐ
engessa	ˌeɪŋʒˈɛsɐ
engessada	ˌeɪŋʒɨsˈadɐ
engessar	ˌeɪŋʒɨsˈaɹ
engessou	ˌeɪŋʒɨsˈow
england	eɪŋglˈɐ̃ŋd
engloba	ˌeɪŋglˈɔbɐ
englobam	ˌeɪŋglˈɔbɐ̃ʊ̃
englobando	ˌeɪŋglubˈɐ̃ŋdw
englobar	ˌeɪŋglubˈaɹ
englobaria	ˌeɪŋglubɐɾˈiɐ
engodar	aːŋgoːdaːr
engodo	ˌeɪŋgˈodw
engole	enˈgɔlɨ
engole	iŋgolj
engole	jnʒˈɔʎi
engole	ˌeɪŋgˈɔlɨ
engolfado	ˌeɪŋgulfˈadw
engolfando	ˌeɪŋgulfˈɐ̃ŋdw
engolia	ˌeɪŋgulˈiɐ
engoliam	eɪŋgˈolˈiɐ̃ʊ̃
engolido	beɪŋgolidu
engolido	ˌeɪŋgulˈidw
engolidos	ˌeɪŋgulˈidʊʒ
engolindo	ˌeɪŋgulˈiŋdw
engolir	ˌeɪŋgulˈiɹ
engoliu	ˌeɪŋgulˈiʊ
engomado	ˌeɪŋgumˈadw
engomar	iŋgmaːr
engomar	ˌeɪŋgumˈaɹ
engonhar	enɣˌoɲˈaɹ
engorda	ˌeɪŋgˈɔɾədɐ
engordando	ˌeɪŋguɾədˈɐ̃ŋdw
engordurado	ˌeɪŋguɾəduɾˈadw
engordurar	ˌeɪŋguɾəduɾˈaɹ
engov	emgˈov
engov	eɪŋgˈov
engradado	ˌeɪŋgɹɐdˈadw
engrandece	ˌeɪŋgɹɐ̃ŋdˈɛsɨ
engrandecimento	eɪŋgɹˌɐ̃ŋdɨsimˈeɪŋtʊ
engrandecimento	ˌeɪŋgɹɐ̃ŋdˌɨsimˈeɪŋtw
engravatada	iŋgˈɾəvɐtˈadɐ
engravatado	ˌeɪŋgɹɐvɐtˈadw
engravida	ˌeɪŋgɹɐvˈidɐ
engravidar	ˈeɪŋgɹˌɐvidˈaɹ
engravidar	ˌeɪŋgɹɐvidˈaɹ
engravidou	ˌeɪŋgɹɐvidˈow
engraxamos	ˌeɪŋgɹɐʃˈɐ̃mʊʒ
engraxar	ˌeɪŋgɹɐʃˈaɹ
engraxate	ˌeɪŋgɹɐʃˈatɨ
engraxates	ˌeɪŋgɹɐʃˈatɨʒ
engraçada	ˌeɪŋgɹɐsˈadɐ
engraçadas	ˌeɪŋgɹɐsˈadɐʒ
engraçadinha	ˌeɪŋgɹɐsɐdˈiɲɐ
engraçadinho	eɪŋgɹˌɐsɐdˌiŋˌˌ
engraçadinho	ˌeɪŋgɹɐsɐdˈiɲw
engraçado	ˌeɪŋgɹɐsˈadw
engraçado.	ˌeɪŋgɹɐsˈadw
engraçados	eɪŋgɹɐsˈadʊʒ
engrenagem	ˌeɪŋgɹɨnˈaʒeɪŋ
engrenagens	ˌeɪŋgɹɨnˈaʒeɪŋʒ
engrimpado	eɪŋgɹˌiŋpadˈo
engrolado	ˌeɪŋgɹulˈadw
engrolar	engrɔlaːɾ
engrossa	ˌeɪŋgɹˈɔsɐ
engrossador	ingrɔsˈsadʊɐ
engrossam	ˌeɪŋgɹˈɔsɐ̃ʊ̃
engrossando	ˌeɪŋgɹusˈɐ̃ŋdw
engrossar	eɪŋgɾɔsˈaɹ
engrossou	ˌeɪŋgɹusˈow
engrunhido	ˌeɪŋgɹˌuɲˈidʊ
enguiçar	ˌeɪŋgwisˈaɹ
enguiço	eɪŋgˈisˌuw
engurujado	ˌeɪŋgˌuɾˌuʒˈadʊ
eni	ɨnˈi
enigma	ˌenˈigmɐ
enigmas	ˌenˈigmɐʒ
enigmaticamente	enɪgmˈatʃikˈamenti
enigmática	ˌenigmˈatikɐ
enigmático	ˌenigmˈatikw
enigmáticos	ˌenigmˈatikʊʒ
enimont	ˌenimˈoŋt
enio	ɨnˈiʊ
enja	ˈeɪŋʒɐ
enjaulado	ˌeɪŋʒaulˈadw
enjaulado	ˌeɪŋʒˌɐulˈadʊ
enjaular	ˌeɪŋʒaʊlˈaɹ
enjerido	ˈeɪŋʒeɾˈidu
enjerizado	iŋʒeɾizˈadʊ
enjoa	enʒˈəʊə
enjoadiço	eɪŋʒˈɔɐdˈisʊ
enjoado	ˌeɪŋʒuˈadw
enjoam	enʒuɔm
enjoando	ˌeɪŋʒuˈɐ̃ŋdw
enjoar	ˌeɪŋʒulˈaɹ
enjoar	ˌeɪŋʒuˈaɹ
enjoasse	eɪŋʒʊɐsˈɛ
enjoativo	ˌeɪŋʒuɐtˈivw
enjoe	enʒˈɔɪ
enjoei	ɪnʒuei
enjoei	ˌeɪŋʒuˈeɪ
enjoou	enʒəˈow
enjôo	ˌeɪŋʒˈow
enjôos	ˌeɪŋʒˈoʊʒ
enlatado	ˌeɪŋlɐtˈadw
enlatados	ˌeɪŋlɐtˈadʊʒ
enlaçados	ˌeɪŋlɐsˈadʊʒ
enlaçar	enɫɐsˈaɹ
enleio	eɪŋlˈeɪʊ
enlevado	ˌeɪŋlɨvˈadw
enlevo	elˈevʊ
enlouquece	eɪŋlˌuwkˈɛsɨ
enlouquece	ˌeɪŋluwkˈɛsɨ
enlouquecer	eɪŋlˌowkekeɾ
enlouquecer	ˌeɪŋluwkɨsˈeɹ
enlouqueceu	eɪŋlˌukɨseʊ
enlouqueceu	ˌeɪŋluwkɨsˈeʊ
enlouquecida	ˌeɪŋluwkɨsˈidɐ
enluarado	ˌeɪŋluɐɾˈadw
ennio	eɪŋnˈiʊ
eno	ˈenw
enobrecer	ɛnˈobɹɨkɛɹ
enodoar	enˈodˈoˈa
enojado	enʊʒˈaðʊ
enojado	ˌenuʒˈadw
enojar	ˌenuʒˈaɹ
enoje	enˈɔʒjɨ
enolado	ˌenulˈadw
enologia	eŋulɔʒˈiɐ
enorme	enˈɔɾəmɨ
enorme	ˌenˈɔɾəmɨ
enormemente	enˈɔɾəmimˈeɪŋtɨ
enormemente	ˌenuɾəmɨmˈeɪŋtɨ
enormes	ˌenˈɔɾəmɨʒ
