一蕊花	tsit˧ lui˥ hue˧
入虎喉，毋死也烏漚。	dzip˩ hɔ˥ au˩, m̄ si˥ ia˦ ɔ˧au˥.
歹心烏漉肚	pʰãĩ˥sim˧ ɔ˧lok˧tɔ˦
伊曝甲烏趖趖，若親像烏人咧。	i˧ pʰa˧̍k kaʔ˧ ɔ˧so˩so˩, na˥tsʰintsʰiu˧˧ ɔ˧laŋ˩leʔ˧.
伊定定攏耍甲規身軀烏趖趖。	i˧ tĩã˦tĩã˦ loŋ˥ sŋ̩˥ kaʔ˧ kui˧sin˧kʰu˧ ɔ˧so˩so˩.
你毋通按呢共伊消遣。	li˥ m̄tʰaŋ˧ an˥ne˧ ka˦ i˧ siau˧kʰian˥.
真無聊，攏無代誌通消遣。	tsin bo˩liau˩, loŋ˥ bo˩ tai˦tsi˩ tʰaŋ˧ siau˧kʰian˥.
我聽你咧烏魯木齊，十句無一句實的。	gua˥ tʰĩã˧ li˥ teʔ˧ ɔ˧lɔ˥bok˩tse˩, tsap˧ ku˨ bo˩ tsit˧ ku˨ si˧̍te˩.
烏鴉喙，糊瘰瘰，見講見對。	ɔ˧a˧tsʰui˩, hɔ˩lui˨lui˨, kian˨ koŋ˥ kian˨ tui˩.
臺灣有的原住民有刺烏鴉喙的風俗。	tai˩uan˧˥ u˧ e˩ guan˩tsu˧bin˩ u˧ tsʰiaʔ ɔ˧a˧tsʰui˩ e˩ hoŋ˧sio˧̍k.
咱厝裡的烏糖用了矣。	lan˥ tsʰu˩li˥ e˩ ɔ˧tʰn̩˩ ioŋ˦liau˥aʔ˧.
古早開查某間的人叫做烏龜。	kɔ˥tsa˥ kʰui˧ tsabɔ˥kiŋ˧ e˩ laŋ˩ kio˨tso˩ ɔ˧kui˧.
烏鶖騎水牛。	ɔ˧tsʰiu kʰia˩ tsui˥gu˩.
念珠	liam˦tsu
芹菜珠	kʰin˩tsʰai˩tsu
三年仔有十班。	sã˧ni˩a˥ u˧ tsap˧ pan˧.
戲班	hi˨pan˧
你的飯菜我有共你留咧。	li˥ e˩ pŋ̩˦tsʰai˩ gua˥ u˧ ka˦ li˥ lau˩leʔ˧.
留踮遮	lau˩ tiam˨ tsia
頭毛留長長，儉錢食塗豆糖。	tʰau˩mn̩˩ lau˩ tn̩˩tn̩˩, kʰiam˦tsi˧˥˧ tsiaʔ˧ tʰɔ˩tau˦tʰn̩˩.
停留	tʰiŋ˩liu˩
保留	po˥liu˩
慰留	ui˩liu˩
畜生	tʰik˧sẽ˧
泄尿	tsʰua˧dzio˦
疶屎	tsʰuaʔsai˥
空喙閣流血矣，足疼的。	kʰaŋ˧tsʰui˩ koʔ˧ lau˩hueʔ˧aʔ˧, tsiok tʰĩã˨e˩.
心疼	sim˧ tʰĩã˨
我細漢佮阿媽蹛，伊足疼我的。	gua˥ se˨han˨ kaʔ˧ a˧ma˥ tua˩, i˧ tsiok tʰĩã˨gua˥e˩.
伊行路攏痀痀。	i˧ kĩã˩lɔ˦ loŋ˥ ku˧ku˧.
心臟病	sim˧tsɔŋ˧pẽ˦
相思病	sĩũ˧si˧pẽ˦
伊已經病兩冬矣。	i˧ i˥kiŋ˧ pẽ˦ nn̩˦ taŋ˧aʔ˧.
病甲有賰。	pẽ˦ kaʔ˧ u˧tsʰun.
病症	pẽ˦tsiŋ˩
彼个畜生若予我拄著，我絕對無放伊煞。	hit˧ e˩ tʰik˧sẽ˧ na˦ hɔ˦ gua˥ tu˥tioʔ˩, gua˥ tsuat˧tui˩ bo˩ paŋ˨ i˧ suaʔ˧.
伊細漢的時陣定定偷泄尿。	i˧ se˨han˨ e˩ si˩tsun˧ tĩã˦tĩã˦ tʰau˧ tsʰua˧dzio˦.
伊每學期攏做班長，成績嘛真好。	i˧ mui˥ ha˧̍kki˩ loŋ˥ tso˩ pan˧tĩũ˥, siŋ˩tsik ma˦ tsin ho˥.
伊予你驚一下險仔疶屎。	i˧ hɔ˦ li˥ kĩã˧ tsit˧e˦ hiam˥a˥ tsʰuaʔsai˥.
你哪會遐狼毒？	li˥ na˥ e˦ hiaʔ˧ loŋ˩to˧̍k?
你是按怎遮爾狼狽？	li˥ si˦an˥tsua˥˧ tsiaʔni˦ loŋ˩pue˦?
阮老師對每一个同學攏真疼惜。	guan˥ lau˦su˧ tui˩ mui˥ tsit˧ e˩ toŋ˩ha˧̍k loŋ˥ tsin tʰĩã˨sioʔ˧.
病情無穩定。	pẽ˦tsiŋ˧˥ bo˩ un˥tiŋ˦.
送君珠淚滴。	saŋ˨ kun˧ tsului˦ tiʔ˧.
伊看著真疲勞。	i˧ kʰuã˨ tioʔ˩ tsin pʰi˩lo˩.
阮查某囝若嫁予你，你就愛好好仔共伊疼痛。	guan˥ tsabɔ˥kĩã˥ na˦ ke˨ hɔ˦li˥, li˥ to˦ ai˨ ho˥ho˥a˥ ka˦ i˧ tʰĩã˨tʰaŋ˨.
講甲規畚箕，做無一湯匙。	koŋ˥ kaʔ˧ kui˧ pun˨ki˧, tso˩ bo˩ tsit˧ tʰŋ̩˧si˩.
我致這个症頭已經幾若年矣。	gua˥ ti˨ tsit e˩ tsiŋ˩tʰau˩ i˥kiŋ˧ kui˥na˦ ni˩aʔ˧.
這个所在無啥物通好留戀矣。	tsit e˩ sɔ˥tsai˧ bo˩ sĩã˥miʔ˧ tʰaŋ˧ho˥ liu˩luan˩aʔ˧.
盍會按呢？	kʰaʔ˧ e˦ an˥ne˧?
真的	tsine˩
相較真咧。	sioŋ˨ kʰaʔ˧ tsinleʔ˧.
補眠	pɔ˥ bin˩
無眠	bo˩bin˩
我昨暝睏甲眠眠，有聽著伊轉來的聲。	gua˥ tsame˩ kʰun˨ kaʔ˧ bin˩bin˩, u˧ tʰĩã˧tioʔ˩ i˧ tŋ̩˥lai˩ e˩ sĩã˧.
看電視看甲眠去。	kʰuã˨ tian˦si˦ kʰuã˨ kaʔ˧ bin˩kʰi˨.
頭眩目暗	tʰau˩hin˩bak˩am˨
菜砧	tsʰai˩tiam˧
我的鞋仔內底敢若有石頭仔，感覺砧砧。	gua˥ e˩ e˩a˥ lai˦te˥ kã˥na˥ u˧ tsioʔ˧tʰau˩a˥, kam˥kak˧ tiam˧tiam˧.
家破人亡	ka˧pʰo˨dzin˩boŋ˩
破費	pʰo˨hui˨
破去矣！	pʰua˨kʰi˨aʔ˧!
破柴	pʰua˨tsʰa˧˥
破腹	pʰua˨pak˧
破草厝仔	pʰua˨ tsʰau˥tsʰu˩a˥
五斤的秫米破一斤尖仔。	gɔ˦ kin˧ e˩ tsut˧bi˥ pʰua˨ tsit˧ kin˧ tsiama˥.
講破	koŋ˥pʰua˨
看破	kʰuã˨pʰua˨
你的頭毛欲破佗一爿？	li˥ e˩ tʰau˩mn̩˩ beʔ˧ pʰua˨ to˥ tsit˧ piŋ˩?
祖先	tsɔ˥sian˧
阿祖	a˧tsɔ˥
我小眠一下，你莫共我吵。	gua˥ sio˥ bin˩tsit˧e˦, li˥ mai˨ ka˦ gua˥ tsʰa˥.
伊攏嘛是靠祖公致蔭的。	i˧ loŋ˥ ma˦ si˦ kʰo˨ tsɔ˥koŋ˧ ti˨im˨e˩.
我恁祖公。	gua˥ lin˥ tsɔ˥koŋ˧.
我毋捌看過阮祖公。	gua˥ m̄ bat˧ kʰuã˨kue˨ guan˥ tsɔ˥koŋ˧.
真心相照顧。	tsinsim˧ sio˧tsiau˩kɔ˨.
祖傳祕方	tsɔ˥tʰuan˩ pi˨hŋ̩˧
伊真正是一个有孝的囡仔。	i˧ tsintsia˩˧ si˦ tsit˧ e˩ iu˥hau˨ e˩ gn˥a˥.
砧皮鞋，食毛。	tiam˧pʰue˩e˩, tsiaʔ˧ mɔ˩.
囡仔大漢了後，眠床就愛換新的矣。	gn˥a˥ tua˧han˨ liau˥au˦, bin˩tsʰŋ̍˧˥ to˦ ai˨ ua˧˧ sin˧e˩aʔ˧.
伊便若坐車，就會眩車。	i˧ pian˦na˦ tse˧ tsʰia, to˦ e˦ hin˩tsʰia.
我有話欲共你講，真拄好，你來矣。	gua˥ u˧ ue˧ beʔ˧ ka˦ li˥ koŋ˥, tsintu˥ho˥, li˥ lai˩aʔ˧.
我昨昏去揣伊，真拄好，伊人無佇咧。	gua˥ tsahŋ̩˧ kʰi˨ tsʰue˧i˧, tsintu˥ho˥, i˧ laŋ˩ bo˩ ti˦leʔ˧.
這領衫有一个破空。	tsit nia˥ sã˧ u˧ tsit˧ e˩ pʰua˨kʰaŋ˧.
伊做的彼件歹代誌早慢會破空。	i˧ tso˩ e˩ hit˧ kĩã˦ pʰãĩ˥ tai˦tsi˩ tsa˥ban˦ e˦ pʰua˨kʰaŋ˧.
伊愛揣人的破空，共人落氣。	i˧ ai˨ tsʰue˧ laŋ˩ e˩ pʰua˨kʰaŋ˧, ka˦ laŋ˩ lau˨kʰui˨.
伊騎車跋倒，所以跤頭趺有一个破空。	i˧ kʰia˩tsʰia puaʔ˩to˥, sɔ˥i˥ kʰa˧tʰau˩u u˧ tsit˧ e˩ pʰua˨kʰaŋ˧.
出車禍了後伊就破相矣。	tsʰut tsʰiaho˦ liau˥au˦ i˧ to˦ pʰua˨sĩũ˨aʔ˧.
伊共祖厝賣予人拄數。	i˧ ka˦ tsɔ˥tsʰu˩ be˦ hɔ˦ laŋ˩ tu˥siau˨.
看人食肉，毋通看人破柴。	kʰuã˨ laŋ˩ tsiaʔ˧ baʔ˧, m̄tʰaŋ˧ kʰuã˨ laŋ˩ pʰua˨ tsʰa˧˥.
伊實在有夠破格，代誌予伊沐著就失敗。	i˧ si˧̍ttsai˧ u˧kau˨ pʰua˨keʔ˧, tai˦tsi˩ hɔ˦ i˧ bak˧tioʔ˩ to˦ sit˧pai˦.
伊攏是用伊的真情咧寫歌，才會予人遐感動。	i˧ loŋ˥ si˦ iŋ˦ i˧ e˩ tsintsiŋ˧˥ teʔ˧ sia˥ kua˧, tsiaʔ e˦ hɔ˦ laŋ˩ hiaʔ˧ kam˥toŋ˦.
伊已經破產矣。	i˧ i˥kiŋ˧ pʰo˨san˥aʔ˧.
真歹勢！逐擺都予你破費。	tsin pʰãĩ˥se˨! ta˧̍kpai˥ to˧ hɔ˦ li˥ pʰo˨hui˨.
共錢筒仔破開。	ka˦ tsi˧˥˧taŋ˩a˥ pʰua˨kʰui˧.
祖公祖媽有靈聖，會保庇囝孫仔平安。	tsɔ˥koŋ˧ tsɔ˥ma˥ u˧ liŋ˩sĩã˨, e˦ po˥pi˨ kĩã˥sun˧a˥ piŋ˩an˧.
伊的頭一胎是破腹生的。	i˧ e˩ tʰau˩ tsit˧ tʰe˧ si˦ pʰua˨pak˧ sẽ˧e˩.
好朋友著愛破腹相見。	ho˥piŋ˩iu˥ tioʔ˩ai˨ pʰua˨pak˧ sio˧kĩ˨.
法醫就是咧替人破腹驗屍的。	huat˧i˧ to˦ si˦ teʔ˧ tʰe˨ laŋ˩ pʰua˨pak˧ gam˦si˧e˩.
真誠寒	tsintsia˧˥˧ kuã˩
你莫閣佇遐咧眠夢矣。	li˥ mai˨ koʔ˧ ti˦ hia˧ teʔ˧ bin˩baŋ˦aʔ˧.
真實的感覺	tsinsi˧̍t e˩ kam˥kak˧
伊予彼尾蛇驚甲破膽。	i˧ hɔ˦ hit˧ bue˥ tsua˧˥ kĩã˧ kaʔ˧ pʰua˨tã˥.
伊的聲若親像破雞筅，我聽著強欲昏倒。	i˧ e˩ sĩã˧ na˥tsʰintsʰiu˧˧ pʰua˨ke˧tsʰiŋ˥, gua˥ tʰĩã˧ tioʔ˩ kioŋ˦beʔ˧ hun˦to˥.
毋通破壞人的感情。	m̄tʰaŋ˧ pʰo˨huai˦ laŋ˩ e˩ kam˥tsiŋ˧˥.
祝你一路平安。	tsiok li˥ tsit˧lɔ˦ piŋ˩an˧.
祝壽	tsioksiu˦
祝英台	tsiok iŋ˧tai˩
神明	sin˩biŋ˩
戇神	goŋ˦sin˩
巧神	kʰiau˥sin˩
神祕	sin˩pi˨
神奇	sin˩ki˩
費神	hui˨sin˩
聽甲神去	tʰĩã˧ kaʔ˧ sin˩kʰi˨
規日神神	kui˧dzit˩ sin˩sin˩
祠堂	su˩toŋ˩
忠烈祠	tioŋ˧liat˩su˩
請問恁有厝欲租人無？	tsʰia˥˧mn̩˦ lin˥ u˧ tsʰu˩ beʔ˧ tsɔlaŋ˩bo˩?
田租	tsʰan˧˥tsɔ
秤重	tsʰin˩taŋ˦
秤果子	tsʰin˩ kue˥tsi˥
秧仔	ŋ̩˧a˥
車站	tsʰiatsam˧
福利站	hok˧li˦tsam˧
彼站	hit˧ tsam˧
笑無停	tsʰio˩ bo˩ tʰiŋ˩
恥笑	tʰi˥tsʰio˩
發粿炊了有笑。	huat˧kue˥ tsʰue liau˥ u˧ tsʰio˩.
睏坦笑	kʰun˨tʰan˥tsʰio˩
笑桮	tsʰio˩pue˧
藥粉	io˧̍hhun˥
納稅	lap˩sue˨
你咧想啥？想甲規个人攏神去。	li˥ teʔ˧ sĩũ˦ sĩãʔ˧? sĩũ˦ kaʔ˧ kui˧e˩ laŋ˩ loŋ˥ sin˩kʰi˨.
你去買寡秫米轉來做麻糍。	li˥ kʰi˨ be˥ kua˥ tsut˧bi˥ tŋ̩˥lai˩ tso˩ mua˩tsi˧˥.
逐家咧開講，講甲笑咍咍。	ta˧̍kke˧ teʔ˧ kʰai˧kaŋ˥, koŋ˥ kaʔ˧ tsʰio˩hai˧hai˧.
服侍神明	hok˩sai˦ sin˩biŋ˩
伊是一个笑面虎，你著愛注意！	i˧ si˦ tsit˧ e˩ tsʰio˩bin˦hɔ˥, li˥ tioʔ˩ai˨ tsu˩i˨!
伊最近無笑容，敢若有心事咧。	i˧ tsue˩kin˦ bo˩ tsʰio˩ioŋ˩, kã˥na˥ u˧ sim˧su˦leʔ˧.
伊看甲神神。	i˧ kʰuã˨ kaʔ˧ sin˩sin˩.
準時納稅是納稅義務人的義務。	tsun˥si˩ lap˩sue˨ si˦ lap˩sue˨ g˦bu˦dzin˩ e˩ g˦bu˦.
阮表兄欲娶某矣，阮欲去共伊祝賀。	guan˥ piau˥hĩã˧ beʔ˧ tsʰua˧bɔ˥aʔ˧, guan˥ beʔ˧ kʰi˨ ka˦ i˧ tsiokho˦.
你是咧神經是無？	li˥ si˦ teʔ˧ sin˩kiŋ˧ si˦bo˩?
伊最近有淡薄仔神經衰弱。	i˧ tsue˩kin˦ u˧ tam˦po˧̍ha˥ sin˩kiŋ˧ sue˧dziok˩.
咱人做代誌著愛有站節。	lan˥laŋ˩ tso˩ tai˦tsi˩ tioʔ˩ai˨ u˧ tsam˧tsat.
講笑話	koŋ˥ tsʰio˩ue˧
講話愛有站節，毋通笑話講規擔。	koŋ˥ue˧ ai˨ u˧ tsam˧tsat, m̄tʰaŋ˧ tsʰio˩ue˧ koŋ˥ kui˧ tã˨.
伊愛講笑詼，予逐家聽甲笑咍咍。	i˧ ai˨ koŋ˥ tsʰio˩kʰue˧, hɔ˦ ta˧̍kke˧ tʰĩã˧ kaʔ˧ tsʰio˩hai˧hai˧.
伊的人真笑詼。	i˧ e˩ laŋ˩ tsin tsʰio˩kʰue˧.
祝福你幸福美滿。	tsiokhok˧ li˥ hiŋ˦hok˧ bi˥buan˥.
我予你驚一下險險仔無神魂去。	gua˥ hɔ˦ li˥ kĩã˧ tsit˧e˦ hiam˥hiam˥a˥ bo˩ sin˩hun˩kʰi˨.
生理人秤頭愛有夠，生理才做會久。	siŋ˧li˥laŋ˩ tsʰin˩tʰau˩ ai˨ u˧kau˨, siŋ˧li˥ tsiaʔ tso˩ e˦ ku˥.
伊不時攏笑頭笑面，看起來誠好鬥陣。	i˧ put˧si˩ loŋ˥ tsʰio˩tʰau˩tsʰio˩bin˦, kʰuã˨kʰi˥lai˩ tsia˧˥˧ ho˥ tau˨tin˦.
純金	sun˩kim˧
這味藥仔的藥性較純。	tsit bi˦ io˧̍ha˥ e˩ io˧̍hsiŋ˨ kʰaʔ˧ sun˩.
純然	sun˩dzian˩
單純	tan˧sun˩
紗仔	se˧a˥
棉紗	mi˩se˧
階級	kai˧kip˧
這塊布真素，無啥物花草。	tsit te˨ pɔ˨ tsin sɔ˨, bo˩ sĩã˥miʔ˧ hue˧tsʰau˥.
素素	sɔ˨sɔ˨
我食素無食臊。	gua˥ tsiaʔ˧sɔ˨ bo˩ tsiaʔ˧tsʰo.
素食	sɔ˨si˧̍t
素面	sɔ˨bin˦
平素時	piŋ˩sɔ˨si˩
素日	sɔ˨dzit˩
元素	guan˩sɔ˨
因素	in˧sɔ˨
紡紗	pʰaŋ˥se˧
電風紡足緊。	tian˦hoŋ˧ pʰaŋ˥ tsiok kin˥.
這聲代誌歹紡矣。	tsitsĩã˧ tai˦tsi˩ pʰãĩ˥pʰaŋ˥aʔ˧.
麻索	mua˩soʔ˧
彼个水缸缺一大缺。	hit˧ e˩ tsui˥kŋ̩˧ kʰiʔ˧ tsit˧ tua˧ kʰiʔ˧.
破兩缺	pʰua˨ nn̩˦ kʰiʔ˧
缺點	kʰuat˧tiam˥
欠缺	kʰiam˨kʰueʔ˧
這个缺頂個月有人補矣。	tsit e˩ kʰueʔ˧ tiŋ˥ ko˨ gueʔ˩ u˧ laŋ˩ pɔ˥aʔ˧.
牽罟	kʰan˧kɔ˧
罟魚	kɔ˧ hi˩
我提杓仔共麵罟起來。	gua˥ tʰe˧̍h sia˧̍ha˥ ka˦ mi˦ kɔ˧kʰi˥lai˩.
伊的囡仔予人罟去飼矣。	i˧ e˩ gn˥a˥ hɔ˦ laŋ˩ kɔ˧kʰi˨ tsʰi˧aʔ˧.
竹耙	tik˧pe˩
共草仔耙倚來。	ka˦ tsʰau˥a˥ pe˩ ua˥lai˩.
牛犁耙，無半項會。	gu˩ le˩ pe˦, bo˩puã˨haŋ˦ e˦.
胸坎	hiŋ˧kʰam˥
心胸	sim˧hiŋ˧
討海人用罟仔掠魚。	tʰo˥hai˥laŋ˩ iŋ˦ kɔ˧a˥ liaʔ˩ hi˩.
我的胸坎實實，人真無爽快。	gua˥ e˩ hiŋ˧kʰam˥ tsat˧tsat˧, laŋ˩ tsin bo˩ soŋ˥kʰuai˨.
這塊盤仔有缺角。	tsit te˨ puã˩a˥ u˧ kʰiʔ˧kak˧.
你去提寡紙坯來做紙盒仔。	li˥ kʰi˨ tʰe˧̍h kua˥ tsua˥pʰue˧ lai˩ tso˩ tsua˥a˧̍pa˥.
咱會當用紙枋來做紙箱仔。	lan˥ e˦taŋ˨ ioŋ˦ tsua˥paŋ˧ lai˩ tso˩ tsua˥sĩũ˧a˥.
彼塊素面的布看著較清爽。	hit˧ te˨ sɔ˨bin˦ e˩ pɔ˨ kʰuã˨ tioʔ˩ kʰaʔ˧ tsʰiŋsoŋ˥.
毋是每一个人攏適合食素食。	m̄ si˦ mui˥ tsit˧ e˩ laŋ˩ loŋ˥ sik˧ha˧̍p tsiaʔ˧ sɔ˨si˧̍t.
伊素食毋捌超過三工。	i˧ sɔ˨si˧̍t m̄ bat˧ tsʰiaukue˨ sã˧ kaŋ˧.
古早的查某人會佇厝裡紡紗。	kɔ˥tsa˥ e˩ tsabɔ˥laŋ˩ e˦ ti˦ tsʰu˩li˥ pʰaŋ˥se˧.
點胭脂	tiam˥ ian˧tsi
缺喙會使用手術來修補。	kʰiʔ˧tsʰui˩ e˦sai˥ ioŋ˦ tsʰiu˥su˧̍t lai˩ siu˧pɔ˥.
伊講遐的話純然是咧騙你。	i˧ koŋ˥ hia˧e˩ ue˧ sun˩dzian˩ si˦ teʔ˧ pʰian˨li˥.
用紙篋仔貯糖仔餅。	iŋ˦ tsua˥kʰeʔ˧a˥ te˥ tʰn̩˩a˥pĩã˥.
無能	bu˩liŋ˩
萬能	ban˦liŋ˩
哽胿	kẽ˥kui˧
頷胿	am˦kui˧
這粒棗仔真脆。	tsit liap˩ tso˥a˥ tsin tsʰe˩.
筋脈	kin˧me˧̍h
葉脈	hioʔ˩me˧̍h
山脈	suã˧me˧̍h
節脈	tsatme˧̍h
臭汗酸	tsʰau˩kuã˦sŋ̩˧
伊的跤真臭。	i˧ e˩ kʰa˧ tsin tsʰau˩.
舀水	ĩũ˥tsui˥
狗仔共碗舐甲足清氣的。	kau˥a˥ ka˦ ua˥˧ tsi˧˧ kaʔ˧ tsiok tsʰiŋkʰi˨e˩.
彼塊餅予胡蠅舐過，毋通食矣！	hit˧ te˨ pĩã˥ hɔ˦ hɔ˩sin˩ tsi˧˧kue˨, m̄tʰaŋ˧ tsiaʔ˧aʔ˧!
茈薑	tsi˥˧kĩũ˧
伊的年歲有較茈。	i˧ e˩ ni˩hue˨ u˧ kʰaʔ˧ tsi˥˧.
伊猶閣傷茈，所以袂當做主管。	i˧ iau˥koʔ˧ sĩũ˧ tsi˥˧, sɔ˥i˥ be˦taŋ˨ tso˩ tsu˥kuan˥.
袂曉啉酒閣啉並濟的，這馬咧茫矣乎？	be˦hiau˥ lim˧ tsiu˥ koʔ˧ lim˧ pʰiŋ˦ tse˧e˩, tsitma˥ teʔ˧ baŋ˩aʔ˧hõʔ˧?
醉茫茫	tsui˩baŋ˩baŋ˩
人海茫茫	dzin˩hai˥ boŋ˩boŋ˩
白茫茫	pe˧̍hboŋ˩boŋ˩
烏龍茶	ɔ˧lioŋ˩te˩
麵茶	mi˦te˩
野草	ia˥tsʰau˥
市草	tsʰi˧tsʰau˥
漢草	han˨tsʰau˥
花草	hue˧tsʰau˥
這字傷草。	tsit dzi˦ sĩũ˧ tsʰo˥.
草案	tsʰo˥an˨
草書	tsʰo˥su˧
伊用草做一隻狗。	i˧ ioŋ˦ tsʰo˥ tso˩ tsit˧ tsiaʔ kau˥.
舀水洗身軀	ĩũ˥tsui˥ se˥sin˧kʰu˧
魚仔煎甲臭火焦去。	hi˩a˥ tsian kaʔ˧ tsʰau˩hue˥ta˧kʰi˨.
你敢有鼻著臭火燒味？	li˥ kam˥ u˧ pʰĩ˦tioʔ˩ tsʰau˩hue˥sio˧ bi˦?
下昏暗的飯有臭火薰味。	e˧hŋ̩˧am˨ e˩ pŋ̩˦ u˧ tsʰau˩hue˥hun˧ bi˦.
伊講話臭奶呆，我聽攏無。	i˧ koŋ˥ue˧ tsʰau˩liŋ˧tai˧, gua˥ tʰĩã˧ loŋ˥ bo˩.
伊對草地來都市揣頭路。	i˧ tui˩ tsʰau˥te˦ lai˩ tɔ˧tsʰi˧ tsʰue˧ tʰau˩lɔ˦.
伊生做遮爾臭老，實在看袂出來才三十歲爾爾。	i˧ sẽ˧tso˩ tsiaʔni˦ tsʰau˩lau˦, si˧̍ttsai˧ kʰuã˨ be˦ tsʰutlai˩ tsiaʔ sã˧tsap˧ hue˨ nia˦nia˦.
茶米茶	te˩bi˥te˩
身軀真臭汗酸	sin˧kʰu˧ tsin tsʰau˩kuã˦sŋ̩˧
無，你是臭耳聾是無？	bo˩, li˥ si˦ tsʰau˩hĩ˦laŋ˩ si˦bo˩?
是啥物人放臭屁？	si˦ sĩã˥mi˧̍hlaŋ˩ paŋ˨ tsʰau˩pʰui˨.
伊著第一名了後，變甲足臭屁。	i˧ tioʔ˩ te˦it˧ mia˩ liau˥au˦, pian˨ kaʔ˧ tsiok tsʰau˩pʰui˨.
便所誠臭尿薟。	pian˦sɔ˥ tsia˧˥˧ tsʰau˩dzio˦hiam˧.
你的枕頭囊臭油垢味誠重。	li˥ e˩ tsim˥tʰau˩loŋ˩ tsʰau˩iu˩kau˥ bi˦ tsia˧˥˧ taŋ˦.
初六舀肥。	tsʰelak˩ ĩũ˥pui˩.
你莫激一个臭面予我看。	li˥ mai˨ kik˧ tsit˧ e˩ tsʰau˩bin˦ hɔ˦ gua˥ kʰuã˨.
肉若囥久會臭風去。	baʔ˧ na˦ kʰŋ̩˨ ku˥ e˦ tsʰau˩hoŋ˧kʰi˨.
遮的餅臭殕去矣，毋通食。	tsiae˩ pĩã˥ tsʰau˩pʰu˥kʰi˨aʔ˧, m̄tʰaŋ˧ tsiaʔ˧.
遮的豆酺有臭殕味。	tsiae˩ tau˦pɔ˩ u˧ tsʰau˩pʰu˥ bi˦.
魚仔煎甲臭焦就無好食矣。	hi˩a˥ tsian kaʔ˧ tsʰau˩ta˧ to˦ bo˩ ho˥tsiaʔ˧aʔ˧.
這擺的投資失敗，規个家伙攏臭焦去矣。	tsit pai˥ e˩ tau˩tsu sit˧pai˦, kui˧e˩ ke˧hue˥ loŋ˥ tsʰau˩ta˧kʰi˨aʔ˧.
這盤菜豆炒無熟，足臭腥。	tsit puã˩ tsʰai˩tau˦ tsʰa˥ bo˩ si˧̍k, tsiok tsʰau˩tsʰe˩˧.
你入門我就鼻著你的臭跤液味，緊去共跤洗洗咧！	li˥ dzip˩mn̩˩ gua˥ to˦ pʰĩ˦tioʔ˩ li˥ e˩ tsʰau˩kʰa˧sio˧̍h bi˦, kin˥ kʰi˨ ka˦ kʰa˧ se˥se˥leʔ˧!
你先去共草蓆仔舒予伊好才去睏。	li˥ siŋ˧ kʰi˨ ka˦ tsʰau˥tsʰio̍ha˥ tsʰu hɔ˦ i˧ ho˥ tsiaʔ kʰi˨ kʰun˨.
這坩糜敢若臭酸去，無，哪會味怪怪？	tsit kʰã˧ mue˩ kã˥na˥ tsʰau˩sŋ̩˧kʰi˨, bo˩, na˥ e˦ bi˦ kuai˨kuai˨?
聽你咧臭彈，我就毋相信你有佮總統做伙食飯過。	tʰĩã˧ li˥ teʔ˧ tsʰau˩tua˧˧, gua˥ to˦ m̄ sioŋ˧sin˨ li˥ u˧ kaʔ˧ tsɔŋ˥tʰoŋ˥ tso˩hue˥ tsiaʔ˧pŋ̩˦kue˨.
你去共茶盤洗予清氣。	li˥ kʰi˨ ka˦ te˩puã˩ se˥ hɔ˦ tsʰiŋkʰi˨.
飼金魚仔愛有草蔬。	tsʰi˧ kim˧hi˩a˥ ai˨ u˧ tsʰau˥se˧.
你有夠臭賤，人無欲插你，你閣一直去膏人。	li˥ u˧kau˨ tsʰau˩tsian˧, laŋ˩ bo˩ beʔ˧ tsʰapli˥, li˥ koʔ˧ it˧ti˧̍t kʰi˨ ko˩laŋ˩.
鳳尾草雖然臭賤，毋過若是熱著的時，共伊煎來做茶啉嘛誠有效。	hoŋ˦bue˥tsʰau˥ sui˧dzian˩ tsʰau˩tsian˧, m̄koʔ˧ na˦si˦ dzuaʔ˩tioʔ˩ e˩ si˩, ka˦ i˧ tsua˧lai˩ tso˩ te˩ lim˧ ma˦ tsia˧˥˧ u˧hau˦.
伊予眾人罵甲臭頭。	i˧ hɔ˦ tsiŋ˩laŋ˩ me˦ kaʔ˧ tsʰau˩tʰau˩.
咱來去茶館啉茶開講。	lan˥ lai˩kʰi˨ te˩kuan˥ lim˧ te˩ kʰai˧kaŋ˥.
伊佇公司做臭頭雞仔，眾人嫌，無人呵咾。	i˧ ti˦ koŋ˧si˧ tso˩ tsʰau˩tʰau˩ke˧a˥, tsiŋ˩laŋ˩ hiam˩, bo˩ laŋ˩ o˧lo˥.
這尾魚真臭臊。	tsit bue˥ hi˩ tsin tsʰau˩tsʰo.
便所臭薟薟，予人鼻著強欲擋袂牢。	pian˦sɔ˥ tsʰau˩hiam˧hiam˧, hɔ˦ laŋ˩ pʰĩ˦ tioʔ˩ kioŋ˦beʔ˧ toŋ˨ be˦ tiau˩.
有人講羊仔肉真臭羶。	u˧ laŋ˩ koŋ˥ ĩũ˩a˥baʔ˧ tsin tsʰau˩hian˨.
你的身體傷荏。	li˥ e˩ sin˧tʰe˥ sĩũ˧ lam˥.
這塊桌仔足荏的。	tsit te˨ toʔ˧a˥ tsiok lam˥e˩.
規片田放咧荒。	kui˧ pʰian˨ tsʰan˧˥ paŋ˨ leʔ˧ hŋ̩˧.
