ააბარგებს	aabaɾgebs
მექანიკური	mekʰanikʼuɾi
მექნისტიკურად	mekʰnistʼikʼuɾatʰ
მექრთამეობა	mekʰɾtʰameoba
მექსიკური	mekʰsikʼuɾi
მეღორე	meʁoɾe
მეყვავილე	meχʼʷavile
მეყვავილეობა	meχʼʷavileoba
მეშახტე	meʃaχtʼe
მეშველზმნიანი	meʃʷelzmniani
მეშვიდე	meʃʷide
მეშვიდედ	meʃʷidetʰ
მეშურდულე	meʃuɾdule
მეჩეთი	metʃʰetʰi
მეჩეჩზე	metʃʰetʃʰze
მეჩვიდმეტე	metʃʰʷidmetʼe
მეჩირაღდნე	metʃʰiɾaʁdne
მეჩუქურთმე	metʃʰukʰuɾtʰme
მეცამეტე	metsʰametʼe
მეცენატი	metsʰenatʼi
მეცნიერება	metsʰnieɾeba
მეცნიერი	metsʰnieɾi
მეცნიერულად	metsʰnieɾuɫatʰ
მეცნიერული	metsʰnieɾuli
მეცნიერულობა	metsʰnieɾuɫoba
მეცხვარე	metsʰχʷaɾe
მეცხრე	metsʰχɾe
მეწარმე	metsʼaɾme
მეწაღე	metsʼaʁe
მეწვრილმანე	metsʼʷɾilmane
მეწისქვილე	metsʼiskʰʷile
მეწყალსადენე	metsʼχʼalsadene
მეწყერი	metsʼχʼeɾi
მეხამრიდი	meχamɾidi
მეხი	meχi
მეხიკო	meχikʼo
მეხის	meχis
მეხოტბე	meχotʼbe
მეხსიერება	meχsieɾeba
მეხუთე	meχutʰe
მეჯუდის	medʒudis
მზად	mzatʰ
მზადყოფნა	mzadχʼopʰna
მზაკვრობა	mzakʼʷɾoba
მზარდად	mzaɾdatʰ
მზარეული	mzaɾeuli
მზედ	mzetʰ
მზერა	mzeɾa
მზესუმზირა	mzesumziɾa
მზიანად	mzianatʰ
მზრუნველად	mzɾunʷeɫatʰ
მზრუნველობა	mzɾunʷeɫoba
მთაგრეხილი	mtʰagɾeχili
მთად	mtʰatʰ
მთავარანგელოზი	mtʰavaɾaŋgeɫozi
მთავარი	mtʰavaɾi
მთავრობა	mtʰavɾoba
მთავრობად	mtʰavɾobatʰ
მთავრობამ	mtʰavɾobam
მთავრობას	mtʰavɾobas
მთავრობით	mtʰavɾobitʰ
მთავრობის	mtʰavɾobis
მთათწარმოქმნა	mtʰatʰtsʼaɾmokʰmna
მთამსვლელი	mtʰamsʷleli
მთარგმნელი	mtʰaɾgmneli
მთელად	mtʰeɫatʰ
მთვარე	mtʰʷaɾe
მთვარედ	mtʰʷaɾetʰ
მთვარემ	mtʰʷaɾem
მთვარეს	mtʰʷaɾes
მთვარით	mtʰʷaɾitʰ
მთვარის	mtʰʷaɾis
მთვრალი	m̥tʰʷɾäli
მთიულური	mtʰiuɫuɾi
მთლიანად	mtʰlianatʰ
მთხვევა	mtʰχʷeva
მთხრობელი	mtʰχɾobeli
მიამიტად	miamitʼatʰ
მიანმარი	mianmaɾi
მიაყოლებს	miaχʼolebs
მიაყოლეთ	miaχʼoletʰ
მიახლოებით	miaχɫoebitʰ
მიახლოებითი	miaχɫoebitʰi
მიბაძვითი	mibadzʷitʰi
მიგრანტი	migɾantʼi
მიდრეკილება	midɾekʼileba
მიერ	mieɾ
მიეყრდნობა	mieχʼɾdnoba
მიეყრდნობით	mieχʼɾdnobitʰ
მივდივარ	mivdivaɾ
მივდივართ	mivdivaɾtʰ
მიზანდასახულად	mizandasaχuɫatʰ
მიზანდრია	mizandɾia
მიზანთროპი	mizantʰɾopʼi
მიზანთროპია	mizantʰɾopʼia
მიზანს	mizans
მიზანსცენა	mizanstsʰena
მიზანშეწონილად	mizanʃetsʼoniɫatʰ
მიზიდულობა	miziduɫoba
მიზნის	miznis
მითიური	mitʰiuɾi
მითოლოგი	mitʰoɫogi
მითოლოგია	mitʰoɫogia
მითოლოგიურად	mitʰoɫogiuɾatʰ
მითოლოგიური	mitʰoɫogiuɾi
მიიღებს	miiʁebs
მიიღონ	miiʁon
მიკოლოგია	mikʼoɫogia
მიკრობი	mikʼɾobi
მიკრობიოლოგია	mikʼɾobioɫogia
მიკრომეტრი	mikʼɾometʼɾi
მიკრომოლეკულა	mikʼɾomolekʼuɫa
მიკრონეზია	mikʼɾonezia
მიკრონი	mikʼɾoni
მიკროორგანიზმი	mikʼɾooɾganizmi
მიკროსკოპი	mikʼɾoskʼopʼi
მიკროსკოპია	mikʼɾoskʼopʼia
მიკროსკოპულად	mikʼɾoskʼopʼuɫatʰ
მიკროსკოპული	mikʼɾoskʼopʼuli
მიკროტალღა	mikʼɾotʼalʁa
მიკროტალღური	mikʼɾotʼalʁuɾi
მიკროტექნოლოგია	mikʼɾotʼekʰnoɫogia
მიკროფონი	mikʼɾopʰoni
მილაკი	miɫakʼi
მილანი	miɫani
მილანში	milanʃi
მილი	mili
მილიგრამი	miligɾami
მილიონ	milion
მილიონერი	milioneɾi
მილიტარიზმი	militʼaɾizmi
მილიტარისტი	militʼaɾistʼi
მილიცია	militsʰia
მილორდი	miɫoɾdi
მილოშ	miloʃ
მიმართ	mimaɾtʰ
მიმართულება	mimaɾtʰuleba
მიმბაძველად	mimbadzʷeɫatʰ
მიმდევარი	mimdevaɾi
მიმდინარე	mimdinaɾe
მიმერი	mimeɾi
მიმზიდველად	mimzidʷeɫatʰ
მიმზიდველი	mimzidʷeli
მიმზიდველობა	mimzidʷeɫoba
მიმოხილვა	mimoχilʷa
მიმოხილვით	mimoχilʷitʰ
მიმოხილვითი	mimoχilʷitʰi
მიმღები	mimʁebi
მიმღეობა	mimʁeoba
მიმხრობა	mimχɾoba
მინანქარი	minaŋkʰaɾi
მინასიანი	minasiani
მინაშენის	minaʃenis
მინაშვილი	minaʃʷili
მინახავს	minaχafs
მინდვრად	mindʷɾatʰ
მინდორი	mindoɾi
მინერალი	mineɾali
მინერალოგი	mineɾaɫogi
მინერალოგია	mineɾaɫogia
მინერალური	mineɾaɫuɾi
მინიატურა	miniatʼuɾa
მინიატურისტი	miniatʼuɾistʼi
მინიმალურად	minimaɫuɾatʰ
მინიმალური	minimaɫuɾi
მინიმუმ	minimum
მინის	minis
მინისებრი	minisebɾi
მინისტრი	ministʼɾi
მინისტრულად	ministʼɾuɫatʰ
მინისტრული	ministʼɾuli
მინორი	minoɾi
მინორული	minoɾuli
მინოტავრი	minotʼavɾi
მირანდა	miɾanda
მირაჟი	miɾaʒi
მირეკა	miɾekʼa
მირიადი	miɾiadi
მირიამი	miɾiami
მირონის	miɾonis
მირონმდინარე	miɾonmdinaɾe
მირონცხება	miɾontsʰχeba
მირტი	miɾtʼi
მის	mis
მისატევებლად	misatʼevebɫatʰ
მისაქციელი	misakʰtsʰieli
მისაღებად	misaʁebatʰ
მისაღები	misaʁebi
მისაწვდომობა	misatsʼʷdomoba
მისვლა	misʷɫa
მისი	misi
მისიონერი	misioneɾi
მისმა	misma
მისტერია	mistʼeɾia
მისტიფიკაცია	mistʼipʰikʼatsʰia
მისტიციზმი	mistʼitsʰizmi
მისური	misuɾi
მისცემს	mistsʰems
მისცეს	mistsʰes
მიტინგი	mitʼiŋgi
მიტრა	mitʼɾa
მიტროპოლიტი	mitʼɾopʼolitʼi
მიუახლოვდა	miuaχɫovda
მიუახლოვდება	miuaχɫovdeba
მიუდგომლად	miudgomɫatʰ
მიუდგომლობა	miudgomɫoba
მიუკერძოებელი	miukʼeɾdzoebeli
მიუკერძოებლად	miukʼeɾdzoebɫatʰ
მიუნხენი	miunχeni
მიუტევებლად	miutʼevebɫatʰ
მიუღწევლად	miuʁtsʼevɫatʰ
მიუხედავად	miuχedavatʰ
მიქსერი	mikʰseɾi
მიქსტურა	mikʰstʼuɾa
მიქცევა	mikʰtsʰeva
მიღება	miʁeba
მიღებულ	miʁebul
მიღებული	miʁebuli
მიღმა	miʁma
მიღწევა	miʁtsʼeva
მიღწევადი	miʁtsʼevadi
მიყვარხარ	miχʼʷaɾχaɾ
მიყოლებით	miχʼolebitʰ
მიყურებ	miχʼuɾepʰ
მიშად	miʃatʰ
მიშელ	miʃel
მიშენებულია	miʃenebulia
მიშკოლცი	miʃkʼoltsʰi
მიჩიგანი	mitʃʰigani
მიცემა	mitsʰema
მიცემითი	mitsʰemitʰi
მიძღვნა	midzʁʷna
მიწავაშლა	mitsʼavaʃɫa
მიწათმოწყობა	mitsʼatʰmotsʼχʼoba
მიწათმფლობელი	mitsʼatʰmpʰɫobeli
მიწაყრილი	mitsʼaχʼɾili
მიწერა	mitsʼeɾa
მიწერილობა	mitsʼeɾiɫoba
მიწიერი	mitsʼieɾi
მიწისმთხრელი	mitsʼismtʰχɾeli
მიწისფერი	mitsʼispʰeɾi
მიწისქვეშა	mitsʼiskʰʷeʃa
მიწისძვრა	mitsʼisdzʷɾa
მიწურული	mitsʼuɾuli
მიწყივ	mitsʼχʼiv
მიხაკი	miχakʼi
მიხარია	miχaɾia
მიხედვა	miχedʷa
მიხედვით	miχedʷitʰ
მიხეილ	miχeil
მიხეილი	miχeili
მიხვედრილობა	miχʷedɾiɫoba
მიჯნური	midʒnuɾi
მიჰყავს	mihχʼafs
მკაფიოდ	mkʼapʰiotʰ
მკაცრად	mkʼatsʰɾatʰ
მკაცრი	mkʼatsʰɾi
მკერავი	mkʼeɾavi
მკერდამდე	mkʼeɾdamde
მკერდი	mkʼeɾdi
მკვახე	m̥kʼʷaxɛ
მკვდარი	m̥kʼʷdäɾi
მკვეთრად	mkʼʷetʰɾatʰ
მკვეთრი	mkʼʷetʰɾi
მკვეხარა	mkʼʷeχaɾa
მკვიდრი	mkʼʷidɾi
მკვირცხლად	mkʼʷiɾtsʰχɫatʰ
მკვირცხლი	mkʼʷiɾtsʰχli
მკვლევარი	mkʼʷlevaɾi
მკვლელი	m̥kʼʷle̞li
მკვლელობა	mkʼʷleɫoba
მკვრივად	mkʼʷɾivatʰ
მკვრივი	mkʼʷɾivi
მკითხველი	mkʼitʰχʷeli
მკლავი	mkʼɫavi
მკლავჭიდი	mkʼɫaftʃʼidi
მკრეხელობა	mkʼɾeχeɫoba
მკრეხელურად	mkʼɾeχeɫuɾatʰ
მკრთალად	mkʼɾtʰaɫatʰ
მკრთალი	mkʼɾtʰali
მკურნალი	mkʼuɾnali
მკურნალობა	mkʼuɾnaɫoba
მლაშე	mɫaʃe
მლაშობი	mɫaʃobi
მლიქვნელობა	mlikʰʷneɫoba
მლიქვნელური	mlikʰʷneɫuɾi
მლოცვარე	mɫotsʰʷaɾe
მმართველი	mmaɾtʰʷeli
მმართველობა	mmaɾtʰʷeɫoba
მმართველობამ	mmaɾtʰʷeɫobam
მმართველობას	mmaɾtʰʷeɫobas
მმართველობის	mmaɾtʰʷeɫobis
მნემონიკური	mnemonikʼuɾi
მნიშვნელობა	mniʃʷneɫoba
მნიშვნელოვანი	mniʃʷneɫovani
მნიშვნელოვნად	mniʃʷneɫovnatʰ
მოაზროვნე	moazɾovne
მოასულიერებს	moasulieɾebs
მოახლე	moaχle
მოაჯირებიანი	moadʒiɾebiani
მოაჯირი	moadʒiɾi
მობილიზაცია	mobilizatsʰia
მობილური	mobiɫuɾi
მობილურობა	mobiɫuɾoba
მოგვი	mogʷi
მოგვიანებით	mogʷianebitʰ
მოგზაური	mogzauɾi
მოგზაურობა	mogzauɾoba
მოგზაურობს	mogzauɾobs
მოგრძო	mogɾdzo
მოდალობა	modaɫoba
მოდერატორი	modeɾatʼoɾi
მოდერი	modeɾi
მოდერნიზაცია	modeɾnizatsʰia
მოდერნიზმი	modeɾnizmi
მოდერნისტი	modeɾnistʼi
მოდერნისტული	modeɾnistʼuli
მოდის	modis
მოდულაცია	moduɫatsʰia
მოდული	moduli
მოდუნებულად	modunebuɫatʰ
მოდუნებულობა	modunebuɫoba
მოდურად	moduɾatʰ
მოდური	moduɾi
მოდურობა	moduɾoba
მოენატრება	moenatʼɾeba
მოეფერება	moepʰeɾeba
მოვარდისფრო	movaɾdispʰɾo
მოვილაპარაკებთ	moviɫapʼaɾakʼebtʰ
მოვსეს	movses
მოზაიკური	mozaikʼuɾi
მოზარდი	mozaɾdi
მოზვერი	mozʷeɾi
მოთეთრო	motʰetʰɾo
მოთენთილობა	motʰentʰiɫoba
მოთხოვნა	motʰχovna
მოთხრობა	motʰχɾoba
მოთხრობითი	motʰχɾobitʰi
მოითხოვეთ	moitʰχovetʰ
მოითხოვს	moitʰχofs
მოიისფრო	moiispʰɾo
მოიცა	moitsʰa
მოიცადე	moitsʰade
მოიცავს	moitsʰaʷs
მოიჯარე	moidʒaɾe
მოკავშირე	mokʼafʃiɾe
მოკავშირეობა	mokʼafʃiɾeoba
მოკაზმულობა	mokʼazmuɫoba
მოკვალთული	mokʼʷaltʰuli
მოკვლა	mokʼʷɫa
მოკირვა	mokʼiɾʷa
მოკლავს	mokʼɫafs
მოკლედ	mokʼletʰ
მოკლეტალღიანი	mokʼletʼalʁiani
მოკლეტალღური	mokʼletʼalʁuɾi
მოკრივე	mokʼɾive
მოკრძალება	mokʼɾdzaleba
მოკრძალებულად	mokʼɾdzalebuɫatʰ
მოლაპარაკება	moɫapʼaɾakʼeba
მოლარე	moɫaɾe
მოლარები	moɫaɾebi
მოლარი	moɫaɾi
მოლაღური	moɫaʁuɾi
მოლაყბე	moɫaχʼbe
მოლბერტი	molbeɾtʼi
მოლეკულა	molekʼuɫa
მოლეკულური	molekʼuɫuɾi
მოლოდინი	moɫodini
მოლოქა	moɫokʰa
მოლურჯე	moɫuɾdʒe
მოლურჯო	moɫuɾdʒo
მოლუსკი	moɫuskʼi
მოლხენილად	molχeniɫatʰ
მომა	moma
მომაბეზრებელი	momabezɾebeli
მომაბეზრებლად	momabezɾebɫatʰ
მომაკვდინებლად	momakʼʷdinebɫatʰ
მომართავს	momaɾtʰafs
მომაღლო	momaʁɫo
მომგებიანად	momgebianatʰ
მომენატრე	momenatʼɾe
მომენატრებით	momenatʼɾebitʰ
მომენტალური	momentʼaɫuɾi
მომთაბარე	momtʰabaɾe
მომთაბარეობა	momtʰabaɾeoba
მომიჯნავედ	momidʒnavetʰ
მომლაშო	momɫaʃo
მომლოდინედ	momɫodinetʰ
მომრგვალო	momɾgʷaɫo
მომღერალი	momʁeɾali
მომჩივანი	momtʃʰivani
მომწამლავად	momtsʼamɫavatʰ
მომწარო	momtsʼaɾo
მომწვანო	momtsʼʷano
მომჭირნე	momtʃʼiɾne
მომჭირნედ	momtʃʼiɾnetʰ
მომჭირნეობა	momtʃʼiɾneoba
მომხიბვლელი	momχibʷleli
მომხიბვლელობა	momχibʷleɫoba
მომხიბლავად	momχibɫavatʰ
მომხიბლავი	momχibɫavi
მომხიბლაობა	momχibɫaoba
მომხიბლველად	momχiblʷeɫatʰ
მომხმარებელი	momχmaɾebeli
მომხმარებლებს	momχmaɾeblebs
მონა	mona
მონადირე	monadiɾe
მონაზონმა	monazonma
მონათმფლობელობა	monatʰmpʰɫobeɫoba
მონარინჯისფრო	monaɾindʒispʰɾo
მონარქი	monaɾkʰi
მონარქია	monaɾkʰia
მონარქიზმი	monaɾkʰizmi
მონარქისტი	monaɾkʰistʼi
მონარქიული	monaɾkʰiuli
მონასტერი	monastʼeɾi
მონასტრული	monastʼɾuli
მონაცემები	monatsʰemebi
მონაცვლეობა	monatsʰʷleoba
მონაცრისფრო	monatsʰɾispʰɾo
მონიტორი	monitʼoɾi
მონოგრამა	monogɾama
მონოგრაფია	monogɾapʰia
მონოთეისტური	monotʰeistʼuɾi
მონოლითური	monolitʰuɾi
მონოლოგი	monoɫogi
მონოპლანი	monopʼɫani
მონოპოლისტური	monopʼolistʼuɾi
მონოსაქარიდი	monosakʰaɾidi
მონოსექსუალობა	monosekʰsuaɫoba
მონოსექსუალურად	monosekʰsuaɫuɾatʰ
მონოსექსუალური	monosekʰsuaɫuɾi
მონოტონურად	monotʼonuɾatʰ
მონოტონური	monotʼonuɾi
მონოტონურობა	monotʼonuɾoba
მონრეალი	monɾeali
მონტენეგრო	montʼenegɾo
მონტიორი	montʼioɾi
მონუმენტური	monumentʼuɾi
მონურად	monuɾatʰ
მონური	monuɾi
მონღოლეთი	monʁoletʰi
მონღოლი	monʁoli
მონღოლური	monʁoɫuɾi
მორალი	moɾali
მორალისტი	moɾalistʼi
მორალისტური	moɾalistʼuɾi
მორალურად	moɾaɫuɾatʰ
მორატორიუმი	moɾatʼoɾiumi
მორგანატული	moɾganatʼuli
მორგვი	moɾgʷi
მორგი	moɾgi
მორევი	moɾevi
მორთულობა	moɾtʰuɫoba
მორი	moɾi
მორიდებულად	moɾidebuɫatʰ
მორიდებულობა	moɾidebuɫoba
მორიელი	moɾieli
მორის	moɾis
მორისი	moɾisi
მორისონის	moɾisonis
მორმონები	moɾmonebi
მორუხო	moɾuχo
მორფემა	moɾpʰema
მორფემული	moɾpʰemuli
მორფი	moɾpʰi
მორფოლოგია	moɾpʰoɫogia
მორფოლოგიურად	moɾpʰoɫogiuɾatʰ
მორფოლოგიური	moɾpʰoɫogiuɾi
მორჩი	moɾtʃʰi
მორჩილად	moɾtʃʰiɫatʰ
მორჩილაძე	moɾtʃʰiɫadze
მორჩილობა	moɾtʃʰiɫoba
მორცხვად	moɾtsʰχʷatʰ
მორცხვი	moɾtsʰχʷi
მორცხვობა	moɾtsʰχʷoba
მორწმუნე	moɾtsʼmune
მოსამართლე	mosamaɾtʰle
მოსამსახურე	mosamsaχuɾe
მოსაჩვენებლად	mosatʃʰʷenebɫatʰ
მოსაცდელი	mosatsʰdeli
მოსაწყენად	mosatsʼχʼenatʰ
მოსახლე	mosaχle
მოსახლეობად	mosaχleobatʰ
მოსახლეობამ	mosaχleobam
მოსახლეობას	mosaχleobas
მოსახლეობით	mosaχleobitʰ
მოსახლეობის	mosaχleobis
მოსვლა	mosʷɫa
მოსთხოვს	mostʰχofs
მოსიყვარულე	mosiχʼʷaɾule
მოსკოვად	moskʼovatʰ
მოსკოვს	moskʼofs
მოსულელო	mosuleɫo
მოსულელოდ	mosuleɫotʰ
მოსულიერება	mosulieɾeba
მოტეხილობა	motʼeχiɫoba
მოტივაცია	motʼivatsʰia
მოტოციკლეტი	motʼotsʰikʼletʼi
მოტოციკლი	motʼotsʰikʼli
მოტყნული	motʼχʼnuli
მოტყუებით	motʼχʼuebitʰ
მოუახლოვდება	mouaχɫovdeba
მოუბარი	moubaɾi
მოუთმენლად	moutʰmenɫatʰ
მოუთმენლობა	moutʰmenɫoba
მოულოდნელად	mouɫodneɫatʰ
მოულოდნელობა	mouɫodneɫoba
მოუნანიებლად	mounaniebɫatʰ
მოურიდებლად	mouɾidebɫatʰ
მოურიდებლობა	mouɾidebɫoba
მოუსვენარი	mousʷenaɾi
მოუსვენრად	mousʷenɾatʰ
მოუსვენრობა	mousʷenɾoba
მოუფიქრებლად	moupʰikʰɾebɫatʰ
მოუქნელად	moukʰneɫatʰ
მოუქნელობა	moukʰneɫoba
მოუწესრიგებელი	moutsʼesɾigebeli
მოუხერხებლად	mouχeɾχebɫatʰ
მოუხეშო	mouχeʃo
მოფარიკავე	mopʰaɾikʼave
მოფერება	mopʰeɾeba
მოფორთოხლისფრო	mopʰoɾtʰoχlispʰɾo
მოქალაქე	mokʰaɫakʰe
მოქალაქეობა	mokʰaɫakʰeoba
მოქლონი	mokʰɫoni
მოქნილად	mokʰniɫatʰ
მოქნილობა	mokʰniɫoba
მოქუფვრა	mokʰupʰʷɾa
მოქცევა	mokʰtsʰeva
მოღალატე	moʁaɫatʼe
მოღალატეობა	moʁaɫatʼeoba
მოღალატურად	moʁaɫatʼuɾatʰ
მოღალატური	moʁaɫatʼuɾi
მოღვაწე	moʁʷatsʼe
მოღვაწეობა	moʁʷatsʼeoba
მოღრეცილად	moʁɾetsʰiɫatʰ
მოღუშულად	moʁuʃuɫatʰ
მოღუშული	moʁuʃuli
მოყავისფრო	moχʼavispʰɾo
მოყვარე	moχʼʷaɾe
მოყვარული	moχʼʷaɾuli
მოყვითალო	moχʼʷitʰaɫo
მოშლა	moʃɫa
მოშორებით	moʃoɾebitʰ
მოჩვენებითად	motʃʰʷenebitʰatʰ
მოჩვენებითი	motʃʰʷenebitʰi
მოცალეობა	motsʰaleoba
მოცვისფერი	motsʰʷispʰeɾi
მოციგურავე	motsʰiguɾave
მოციმციმე	motsʰimtsʰime
მოცისფრო	motsʰispʰɾo
მოციქულთასწორი	motsʰikʰultʰastsʼoɾi
მოციქული	motsʰikʰuli
მოცულობა	motsʰuɫoba
მოცულობითი	motsʰuɫobitʰi
მოცურავე	motsʰuɾave
მოცხარი	motsʰχaɾi
მოძველო	modzʷeɫo
მოძრაობა	modzɾaoba
მოძღვარი	modzʁʷaɾi
მოძღვრები	modzʁʷɾebi
მოწითალო	motsʼitʰaɫo
მოწიფულობა	motsʼipʰuɫoba
მოწყალება	motsʼχʼaleba
მოწყალედ	motsʼχʼaletʰ
მოწყენილობა	motsʼχʼeniɫoba
მოწყობილობა	motsʼχʼobiɫoba
მოჭარბებულად	motʃʼaɾbebuɫatʰ
მოჭიმულად	motʃʼimuɫatʰ
მოჭრის	motʃʼɾis
მოხარკე	moχaɾkʼe
მოხარშვა	moχaɾʃʷa
მოხდა	moχda
მოხევე	moχeve
მოხელე	moχele
მოხერხებულად	moχeɾχebuɫatʰ
მოხერხებული	moχeɾχebuli
მოხრილობა	moχɾiɫoba
მოხსენება	moχseneba
მოხუცებულობა	moχutsʰebuɫoba
მოხუცი	moχutsʰi
მჟავედ	mʒavetʰ
მჟავური	mʒavuɾi
მრავალარჩევანიანი	mɾavaɫaɾtʃʰevaniani
მრავალგანზომილება	mɾavalganzomileba
მრავალგანზომილებიანი	mɾavalganzomilebiani
მრავალგვარი	mɾavalgʷaɾi
მრავალეროვნული	mɾavaleɾovnuli
მრავალი	mɾavali
მრავალკომპონენტიანი	mɾavalkʼompʼonentʼiani
მრავალკუთხა	mɾavalkʼutʰχa
მრავალკუთხედი	mɾavalkʼutʰχedi
მრავალმნიშვნელოვანი	mɾavalmniʃʷneɫovani
მრავალმნიშვნელოვნად	mɾavalmniʃʷneɫovnatʰ
მრავალმხრივი	mɾavalmχɾivi
მრავალპარტიული	mɾavalpʼaɾtʼiuli
მრავალსამყარო	mɾavalsamχʼaɾo
მრავალსაუკუნოვანი	mɾavalsaukʼunovani
მრავალუჯრედიანი	mɾavaɫudʒɾediani
მრავალუჯრედიანობა	mɾavaɫudʒɾedianoba
მრავალფეროვანი	mɾavalpʰeɾovani
მრავალფეროვნად	mɾavalpʰeɾovnatʰ
მრავალფეროვნება	mɾavalpʰeɾovneba
მრავალქმრიანობა	mɾavalkʰmɾianoba
მრავალქორწინება	mɾavalkʰoɾtsʼineba
მრავალცოლიანობა	mɾavaltsʰolianoba
მრავალძარღვა	mɾavaldzaɾʁʷa
მრავალხმიანი	mɾavalχmiani
მრავალჯერადი	mɾavaldʒeɾadi
მრავლისმთქმელად	mɾavlismtʰkʰmeɫatʰ
მრავლობითი	mɾavɫobitʰi
მრგვალი	mɾgʷali
მრგვლად	mɾgʷɫatʰ
მრევლი	mɾevli
მრეწველი	mɾetsʼʷeli
მრეწველობა	mɾetsʼʷeɫoba
მრისხანე	mɾisχane
მრისხანედ	mɾisχanetʰ
მრიცხველი	mɾitsʰχʷeli
მრუდე	mɾude
მრუდედ	mɾudetʰ
მრუში	mɾuʃi
მრუშობა	mɾuʃoba
მსახიობი	msaχiobi
მსახურთუხუცესი	msaχuɾtʰuχutsʰesi
მსახური	msaχuɾi
მსგავსად	msgafsatʰ
მსგავსება	msgafseba
მსგავსი	msgafsi
მსოფლიოდ	msopʰliotʰ
მსოფლმხედველობა	msopʰlmχedʷeɫoba
მსროლელი	msɾoleli
მსუბუქად	msubukʰatʰ
მსუქნად	msukʰnatʰ
მსუყე	msuχʼe
მსხალდიდი	msχaldidi
მსხალი	msχali
მსხვერპლი	msχʷeɾpʼli
მსხვილი	msχʷili
მსჯელობა	msdʒeɫoba
მტანჯველად	mtʼandʒʷeɫatʰ
მტაცებლური	mtʼatsʰebɫuɾi
მტერი	mtʼeɾi
მტვერი	mtʼʷeɾi
მტვერსასრუტი	mtʼʷeɾsasɾutʼi
მტვრიანა	mtʼʷɾiana
მტვრიანი	mtʼʷɾiani
მტირალა	mtʼiɾaɫa
მტირალი	mtʼiɾali
მტკვარი	mtʼkʼʷaɾi
მტკივნეულად	mtʼkʼivneuɫatʰ
მტკივნეულობა	mtʼkʼivneuɫoba
მტკიცე	mtʼkʼitsʰe
მტკიცება	mtʼkʼitsʰeba
მტკიცებითი	mtʼkʼitsʰebitʰi
მტკიცებულება	mtʼkʼitsʰebuleba
მტკიცედ	mtʼkʼitsʰetʰ
მტრედი	mtʼɾedi
მტრობა	mtʼɾoba
მტრულად	mtʼɾuɫatʰ
მტრული	mtʼɾuli
მტყუანი	mtʼχʼuani
მუარი	muaɾi
მუდარა	mudaɾa
მუდმივად	mudmivatʰ
მუდრეგი	mudɾegi
მუზარადი	muzaɾadi
მუზეუმი	muzeumi
მუკერძოებლად	mukʼeɾdzoebɫatʰ
მულატი	muɫatʼi
მულტიინსტრუმენტალისტი	multʼiinstʼɾumentʼalistʼi
მულტიმედიური	multʼimediuɾi
მულტინაციონალური	multʼinatsʰionaɫuɾi
მულტისამყარო	multʼisamχʼaɾo
მუმიფიკაცია	mumipʰikʼatsʰia
მუნიციპალიტეტად	munitsʰipʼalitʼetʼatʰ
მუნიციპალიტეტი	munitsʰipʼalitʼetʼi
მუნიციპალიტეტით	munitsʰipʼalitʼetʼitʰ
მუნიციპალიტეტის	munitsʰipʼalitʼetʼis
მუნიციპალიტეტმა	munitsʰipʼalitʼetʼma
მუნიციპალიტეტს	munitsʰipʼalitʼetʼs
მუნიციპალურად	munitsʰipʼaɫuɾatʰ
მუნიციპალური	munitsʰipʼaɫuɾi
მუნჯად	mundʒatʰ
მურა	muɾa
მურაბა	muɾaba
მური	muɾi
მურღულია	muɾʁulia
მურყანი	muɾχʼani
მუსიკად	musikʼatʰ
მუსიკალურად	musikʼaɫuɾatʰ
მუსიკალური	musikʼaɫuɾi
მუსლიმური	muslimuɾi
მუსონის	musonis
მუსტანგი	mustʼaŋgi
მუტაცია	mutʼatsʰia
მუტრუკი	mutʼɾukʼi
მუქარით	mukʰaɾitʰ
მუღამი	muʁami
მუყაითად	muχʼaitʰatʰ
მუყაითი	muχʼaitʰi
მუყაითობა	muχʼaitʰoba
მუყაო	muχʼao
მუშაობას	muʃaobas
მუშაობდა	muʃaobda
მუშკეტერი	muʃkʼetʼeɾi
მუშტარი	muʃtʼaɾi
მუცელი	mutsʰeli
მუხა	muχa
მუხათგვერდი	muχatʰgʷeɾdi
მუხათი	muχatʰi
მუხათწყარო	muχatʰtsʼχʼaɾo
მუხანათი	muχanatʰi
მუხანათურად	muχanatʰuɾatʰ
მუხანათური	muχanatʰuɾi
მუხის	muχis
მუხლი	muχli
მუხლუხი	muχɫuχi
მუხრუჭი	muχɾutʃʼi
მუხუდო	muχudo
მუჯლუგუნი	mudʒɫuguni
მუჰაჯირობა	muhadʒiɾoba
მფარველობა	mpʰaɾʷeɫoba
მფარველურად	mpʰaɾʷeɫuɾatʰ
მფლანგველობა	mpʰɫaŋgʷeɫoba
მფლანგველურად	mpʰɫaŋgʷeɫuɾatʰ
მფლობელი	mpʰɫobeli
მფლობელობა	mpʰɫobeɫoba
მფრინველი	mpʰɾinʷeli
მქრქალად	mkʰɾkʰaɫatʰ
მქრქალი	mkʰɾkʰali
მღერის	mʁeɾis
მღვდელი	mʁʷdeli
მღვდლობა	mʁʷdɫoba
მღვიმე	mʁʷime
მღვრიე	mʁʷɾie
მყარად	mχʼaɾatʰ
მყარი	mχʼaɾi
მყესი	mχʼesi
მყვირალა	mχʼʷiɾaɫa
მყინვარი	mχʼinʷaɾi
მყინვარწვერი	mχʼinʷaɾtsʼʷeɾi
