Ⴀ	ɑ
მგრძნობიარე	mɡɾdznobiaɾe
მგრძნობიარედ	mɡɾdznobiaɾetʰ
მგუგლავი	mɡuɡɫavi
მდაბლად	mdabɫatʰ
მდგმური	mdɡmuɾi
მდგომარეობა	mdɡomaɾeoba
მდებარეობა	mdebaɾeoba
მდებარეობს	mdebaɾeobs
მდედრი	mdedɾi
მდედრობითი	mdedɾobitʰi
მდელო	mdeɫo
მდიდარი	mdidaɾi
მდიდრულად	mdidɾuɫatʰ
მდიდრული	mdidɾuli
მდინარე	mdinaɾe
მდინარი	mdinaɾi
მდოგვი	mdoɡʷi
მდუმარე	mdumaɾe
მდუმარედ	mdumaɾetʰ
მეალილოე	mealiɫoe
მეამბოხე	meamboχe
მეამბოხურად	meamboχuɾatʰ
მეამბოხური	meamboχuɾi
მეანაბრე	meanabɾe
მეარღნე	meaɾʁne
მებაღე	mebaʁe
მებაღეობა	mebaʁeoba
მებორნე	meboɾne
მეგალითური	meɡalitʰuɾi
მეგალომანია	meɡaɫomania
მეგაჰერცი	meɡaheɾtsʰi
მეგობარი	meɡobaɾi
მეგობრები	meɡobɾebi
მეგობრობა	meɡobɾoba
მეგობრულად	meɡobɾuɫatʰ
მეგობრული	meɡobɾuli
მეგრელი	meɡɾeli
მეგრული	meɡɾuli
მედიატორი	mediatʼoɾi
მედიდურად	mediduɾatʰ
მედიდური	mediduɾi
მედიდურობა	mediduɾoba
მედიტაცია	meditʼatsʰia
მედიცინა	meditsʰina
მედროშე	medɾoʃe
მეექვსე	meekʰʷse
მევახშე	mevaχʃe
მევახშეობა	mevaχʃeoba
მევახშური	mevaχʃuɾi
მეზოამერიკა	mezoameɾikʼa
მეზობლობა	mezobɫoba
მეზოსფერო	mezospʰeɾo
მეზღაპრე	mezʁapʼɾe
მეზღვაური	mezʁʷauɾi
მეთაური	metʰauɾi
მეთერთმეტე	metʰeɾtʰmetʼe
მეთექვსმეტე	metʰekʰʷsmetʼe
მეთვალყურე	metʰʷalχʼuɾe
მეთოდოლოგია	metʰodoɫoɡia
მეთოდოლოგიურად	metʰodoɫoɡiuɾatʰ
მეთოდურად	metʰoduɾatʰ
მეთოდური	metʰoduɾi
მეთოთხმეტე	metʰotʰχmetʼe
მეთორმეტე	metʰoɾmetʼe
მეთხილამურე	metʰχiɫamuɾe
მეთხუთმეტე	metʰχutʰmetʼe
მეინსტრიმული	meinstʼɾimuli
მეირმე	meiɾme
მეისრე	meisɾe
მეკარე	mekʼaɾe
მეკასრე	mekʼasɾe
მეკვლე	mekʼʷle
მეკობრე	mekʼobɾe
მეკობრეობა	mekʼobɾeoba
მეკობრულად	mekʼobɾuɫatʰ
მეკობრული	mekʼobɾuli
მელა	meɫa
მელანი	meɫani
მელანქოლია	meɫaŋkʰolia
მელანქოლიური	meɫaŋkʰoliuɾi
მელაძე	meɫadze
მელოდია	meɫodia
მელოდიურად	meɫodiuɾatʰ
მელოდიური	meɫodiuɾi
მელოდიურობა	meɫodiuɾoba
მელოდრამა	meɫodɾama
მელოდრამატულად	meɫodɾamatʼuɫatʰ
მელოტი	meɫotʼi
მელუა	meɫua
მელქიორი	melkʰioɾi
მემანქანე	memaŋkʰane
მემარცხენე	memaɾtsʰχene
მემარჯვენე	memaɾdʒʷene
მემაღაროე	memaʁaɾoe
მემკვიდრე	memkʼʷidɾe
მემკვიდრეობა	memkʼʷidɾeoba
მემკვიდრეობად	memkʼʷidɾeobatʰ
მემკვიდრეობამ	memkʼʷidɾeobam
მემკვიდრეობას	memkʼʷidɾeobas
მემკვიდრეობით	memkʼʷidɾeobitʰ
მემკვიდრეობის	memkʼʷidɾeobis
მემორანდუმი	memoɾandumi
მემრუშე	memɾuʃe
მემუარი	memuaɾi
მენაგვე	menaɡʷe
მენატრება	menatʼɾeba
მენახირე	menaχiɾe
მენახშირე	menaχʃiɾe
მენეჯერი	menedʒeɾi
მენზურა	menzuɾa
მენიჩბე	menitʃʰbe
მენორკა	menoɾkʼa
მენსტრუალური	menstʼɾuaɫuɾi
მენსტრუაცია	menstʼɾuatsʰia
მენცარი	mentsʰaɾi
მეოთხე	meotʰχe
მეოთხეც	meotʰχetsʰ
მეომარი	meomaɾi
მეომრულად	meomɾuɫatʰ
მეორადი	meoɾadi
მეორე	meoɾe
მეორედ	meoɾetʰ
მეორმოცე	meoɾmotsʰe
მეოცნებე	meotsʰnebe
მეოცნებედ	meotsʰnebetʰ
მეოხებით	meoχebitʰ
მეპატრონე	mepʼatʼɾone
მეპურე	mepʼuɾe
მერაბიშვილი	meɾabiʃʷili
მერე	meɾe
მერებაშვილი	meɾebaʃʷili
მერვე	meɾʷe
მერი	meɾi
მერიდიანი	meɾidiani
მერილენდი	meɾilendi
მერინოსი	meɾinosi
მერიქიფე	meɾikʰipʰe
მერკანტილური	meɾkʼantʼiɫuɾi
მერკური	meɾkʼuɾi
მერყევად	meɾχʼevatʰ
მერყეობა	meɾχʼeoba
მერცხალი	meɾtsʰχali
მერძევე	meɾdzeve
მერწყული	meɾtsʼχʼuli
მერხი	meɾχi
მესაზღვრე	mesazʁʷɾe
მესაკუთრე	mesakʼutʰɾe
მესაკუთრეობა	mesakʼutʰɾeoba
მესაკუთრულად	mesakʼutʰɾuɫatʰ
მესაკუთრული	mesakʼutʰɾuli
მესამედ	mesametʰ
მესანგრე	mesaŋɡɾe
მესაყვირე	mesaχʼʷiɾe
მესერი	meseɾi
მესოამერიკა	mesoameɾikʼa
მესტვირე	mestʼʷiɾe
მესხაძე	mesχadze
მესხეთი	mesχetʰi
მესხი	mesχi
მესხიშვილი	mesχiʃʷili
მეტად	metʼatʰ
მეტალიზაცია	metʼalizatsʰia
მეტალიზაციას	metʼalizatsʰias
მეტალურგი	metʼaɫuɾɡi
მეტალურგია	metʼaɫuɾɡia
მეტალურგიული	metʼaɫuɾɡiuli
მეტამორფოზა	metʼamoɾpʰoza
მეტაფიზიკურად	metʼapʰizikʼuɾatʰ
მეტაფიზიკური	metʼapʰizikʼuɾi
მეტაფორა	metʼapʰoɾa
მეტაფორულად	metʼapʰoɾuɫatʰ
მეტაფორული	metʼapʰoɾuli
მეტეორი	metʼeoɾi
მეტეორიზმი	metʼeoɾizmi
მეტეორიტი	metʼeoɾitʼi
მეტეოროლოგი	metʼeoɾoɫoɡi
მეტეოროლოგია	metʼeoɾoɫoɡia
მეტეორული	metʼeoɾuli
მეტეხი	metʼeχi
მეტისმეტად	metʼismetʼatʰ
მეტიჩარა	metʼitʃʰaɾa
მეტრიანი	metʼɾiani
მეტრო	metʼɾo
მეტრონომი	metʼɾonomi
მეტროპოლია	metʼɾopʼolia
მეტროპოლიტენი	metʼɾopʼolitʼeni
მეტრული	metʼɾuli
მეტსახელი	metʼsaχeli
მეტყევე	metʼχʼeve
მეტყევეობა	metʼχʼeveoba
მეტყველება	metʼχʼʷeleba
მეტყველი	metʼχʼʷeli
მეურვე	meuɾʷe
მეურვეობა	meuɾʷeoba
მეურნეობრივი	meuɾneobɾivi
მეუღლე	meuʁle
მეფედ	mepʰetʰ
მეფისნაცვალი	mepʰisnatsʰʷali
მეფურად	mepʰuɾatʰ
მეფური	mepʰuɾi
მეფუტკრე	mepʰutʼkʼɾe
მეფუტკრეობა	mepʰutʼkʼɾeoba
მექანიზაცია	mekʰanizatsʰia
მექანიკურად	mekʰanikʼuɾatʰ
მექანიკური	mekʰanikʼuɾi
მექნისტიკურად	mekʰnistʼikʼuɾatʰ
მექრთამეობა	mekʰɾtʰameoba
მექსიკური	mekʰsikʼuɾi
მეღორე	meʁoɾe
მეყვავილე	meχʼʷavile
მეყვავილეობა	meχʼʷavileoba
მეშახტე	meʃaχtʼe
მეშველზმნიანი	meʃʷelzmniani
მეშვიდე	meʃʷide
მეშვიდედ	meʃʷidetʰ
მეშურდულე	meʃuɾdule
მეჩეთი	metʃʰetʰi
მეჩეჩზე	metʃʰetʃʰze
მეჩვიდმეტე	metʃʰʷidmetʼe
მეჩირაღდნე	metʃʰiɾaʁdne
მეჩუქურთმე	metʃʰukʰuɾtʰme
მეცამეტე	metsʰametʼe
მეცენატი	metsʰenatʼi
მეცნიერება	metsʰnieɾeba
მეცნიერი	metsʰnieɾi
მეცნიერულად	metsʰnieɾuɫatʰ
მეცნიერული	metsʰnieɾuli
მეცნიერულობა	metsʰnieɾuɫoba
მეცხვარე	metsʰχʷaɾe
მეცხრე	metsʰχɾe
მეწარმე	metsʼaɾme
მეწაღე	metsʼaʁe
მეწვრილმანე	metsʼʷɾilmane
მეწისქვილე	metsʼiskʰʷile
მეწყალსადენე	metsʼχʼalsadene
მეწყერი	metsʼχʼeɾi
მეხამრიდი	meχamɾidi
მეხი	meχi
მეხიკო	meχikʼo
მეხოტბე	meχotʼbe
მეხსიერება	meχsieɾeba
მეხუთე	meχutʰe
მზად	mzatʰ
მზადყოფნა	mzadχʼopʰna
მზაკვრობა	mzakʼʷɾoba
მზარდად	mzaɾdatʰ
მზარეული	mzaɾeuli
მზედ	mzetʰ
მზერა	mzeɾa
მზესუმზირა	mzesumziɾa
მზიანად	mzianatʰ
მზრუნველად	mzɾunʷeɫatʰ
მზრუნველობა	mzɾunʷeɫoba
მთაგრეხილი	mtʰaɡɾeχili
მთად	mtʰatʰ
მთავარანგელოზი	mtʰavaɾaŋɡeɫozi
მთავარი	mtʰavaɾi
მთავრობა	mtʰavɾoba
მთავრობად	mtʰavɾobatʰ
მთავრობამ	mtʰavɾobam
მთავრობას	mtʰavɾobas
მთავრობით	mtʰavɾobitʰ
მთავრობის	mtʰavɾobis
მთათწარმოქმნა	mtʰatʰtsʼaɾmokʰmna
მთამსვლელი	mtʰamsʷleli
მთარგმნელი	mtʰaɾɡmneli
მთელად	mtʰeɫatʰ
მთვარე	mtʰʷaɾe
მთვარედ	mtʰʷaɾetʰ
მთვარემ	mtʰʷaɾem
მთვარეს	mtʰʷaɾes
მთვარით	mtʰʷaɾitʰ
მთვარის	mtʰʷaɾis
მთვრალი	m̥tʰʷɾäli
მთიულური	mtʰiuɫuɾi
მთლიანად	mtʰlianatʰ
მთხვევა	mtʰχʷeva
მთხრობელი	mtʰχɾobeli
მიამიტად	miamitʼatʰ
მიანმარი	mianmaɾi
მიაყოლებს	miaχʼolebs
მიაყოლეთ	miaχʼoletʰ
მიახლოებით	miaχɫoebitʰ
მიახლოებითი	miaχɫoebitʰi
მიბაძვითი	mibadzʷitʰi
მიგრანტი	miɡɾantʼi
მიდრეკილება	midɾekʼileba
მიერ	mieɾ
მიეყრდნობა	mieχʼɾdnoba
მიეყრდნობით	mieχʼɾdnobitʰ
მივდივარ	mivdivaɾ
მივდივართ	mivdivaɾtʰ
მიზანდასახულად	mizandasaχuɫatʰ
მიზანდრია	mizandɾia
მიზანთროპი	mizantʰɾopʼi
მიზანთროპია	mizantʰɾopʼia
მიზანსცენა	mizanstsʰena
მიზანშეწონილად	mizanʃetsʼoniɫatʰ
მიზიდულობა	miziduɫoba
მითიური	mitʰiuɾi
მითოლოგი	mitʰoɫoɡi
მითოლოგია	mitʰoɫoɡia
მითოლოგიურად	mitʰoɫoɡiuɾatʰ
მითოლოგიური	mitʰoɫoɡiuɾi
მიიღებს	miiʁebs
მიიღონ	miiʁon
მიკოლოგია	mikʼoɫoɡia
მიკრობი	mikʼɾobi
მიკრობიოლოგია	mikʼɾobioɫoɡia
მიკრომეტრი	mikʼɾometʼɾi
მიკრომოლეკულა	mikʼɾomolekʼuɫa
მიკრონეზია	mikʼɾonezia
მიკრონი	mikʼɾoni
მიკროორგანიზმი	mikʼɾooɾɡanizmi
მიკროსკოპი	mikʼɾoskʼopʼi
მიკროსკოპია	mikʼɾoskʼopʼia
მიკროსკოპულად	mikʼɾoskʼopʼuɫatʰ
მიკროსკოპული	mikʼɾoskʼopʼuli
მიკროტალღა	mikʼɾotʼalʁa
მიკროტალღური	mikʼɾotʼalʁuɾi
მიკროტექნოლოგია	mikʼɾotʼekʰnoɫoɡia
მიკროფონი	mikʼɾopʰoni
მილაკი	miɫakʼi
მილანი	miɫani
მილიგრამი	miliɡɾami
მილიონერი	milioneɾi
მილიტარიზმი	militʼaɾizmi
მილიტარისტი	militʼaɾistʼi
მილიცია	militsʰia
მილორდი	miɫoɾdi
მიმართ	mimaɾtʰ
მიმართულება	mimaɾtʰuleba
მიმბაძველად	mimbadzʷeɫatʰ
მიმდევარი	mimdevaɾi
მიმდინარე	mimdinaɾe
მიმერი	mimeɾi
მიმზიდველად	mimzidʷeɫatʰ
მიმზიდველი	mimzidʷeli
მიმზიდველობა	mimzidʷeɫoba
მიმოხილვა	mimoχilʷa
მიმოხილვით	mimoχilʷitʰ
მიმოხილვითი	mimoχilʷitʰi
მიმღები	mimʁebi
მიმღეობა	mimʁeoba
მიმხრობა	mimχɾoba
მინანქარი	minaŋkʰaɾi
მინაშვილი	minaʃʷili
მინახავს	minaχafs
მინდვრად	mindʷɾatʰ
მინდორი	mindoɾi
მინერალი	mineɾali
მინერალოგი	mineɾaɫoɡi
მინერალოგია	mineɾaɫoɡia
მინერალური	mineɾaɫuɾi
მინიატურა	miniatʼuɾa
მინიატურისტი	miniatʼuɾistʼi
მინიმალურად	minimaɫuɾatʰ
მინიმალური	minimaɫuɾi
მინისებრი	minisebɾi
მინისტრი	ministʼɾi
მინისტრულად	ministʼɾuɫatʰ
მინისტრული	ministʼɾuli
მინორი	minoɾi
მინორული	minoɾuli
მინოტავრი	minotʼavɾi
მირანდა	miɾanda
მირაჟი	miɾaʒi
მირეკა	miɾekʼa
მირიადი	miɾiadi
მირიამი	miɾiami
მირონმდინარე	miɾonmdinaɾe
მირონცხება	miɾontsʰχeba
მირტი	miɾtʼi
მისატევებლად	misatʼevebɫatʰ
მისაქციელი	misakʰtsʰieli
მისაღებად	misaʁebatʰ
მისაღები	misaʁebi
მისაწვდომობა	misatsʼʷdomoba
მისვლა	misʷɫa
მისიონერი	misioneɾi
მისტერია	mistʼeɾia
მისტიფიკაცია	mistʼipʰikʼatsʰia
მისტიციზმი	mistʼitsʰizmi
მისური	misuɾi
მისცემს	mistsʰems
მისცეს	mistsʰes
მიტინგი	mitʼiŋɡi
მიტრა	mitʼɾa
მიტროპოლიტი	mitʼɾopʼolitʼi
მიუახლოვდა	miuaχɫovda
მიუახლოვდება	miuaχɫovdeba
მიუდგომლად	miudɡomɫatʰ
მიუდგომლობა	miudɡomɫoba
მიუკერძოებელი	miukʼeɾdzoebeli
მიუკერძოებლად	miukʼeɾdzoebɫatʰ
მიუნხენი	miunχeni
მიუტევებლად	miutʼevebɫatʰ
მიუღწევლად	miuʁtsʼevɫatʰ
მიუხედავად	miuχedavatʰ
მიქსერი	mikʰseɾi
მიქსტურა	mikʰstʼuɾa
მიქცევა	mikʰtsʰeva
მიღება	miʁeba
მიღებული	miʁebuli
მიღმა	miʁma
მიღწევა	miʁtsʼeva
მიღწევადი	miʁtsʼevadi
მიყვარხარ	miχʼʷaɾχaɾ
მიყოლებით	miχʼolebitʰ
მიყურებ	miχʼuɾepʰ
მიშად	miʃatʰ
მიშკოლცი	miʃkʼoltsʰi
მიჩიგანი	mitʃʰiɡani
მიცემა	mitsʰema
მიცემითი	mitsʰemitʰi
მიძღვნა	midzʁʷna
მიწავაშლა	mitsʼavaʃɫa
მიწათმოწყობა	mitsʼatʰmotsʼχʼoba
მიწათმფლობელი	mitsʼatʰmpʰɫobeli
მიწაყრილი	mitsʼaχʼɾili
მიწერა	mitsʼeɾa
მიწერილობა	mitsʼeɾiɫoba
მიწიერი	mitsʼieɾi
მიწისმთხრელი	mitsʼismtʰχɾeli
მიწისფერი	mitsʼispʰeɾi
მიწისქვეშა	mitsʼiskʰʷeʃa
მიწისძვრა	mitsʼisdzʷɾa
მიწურული	mitsʼuɾuli
მიწყივ	mitsʼχʼiv
მიხაკი	miχakʼi
მიხარია	miχaɾia
მიხედვა	miχedʷa
მიხედვით	miχedʷitʰ
მიხეილ	miχeil
მიხეილი	miχeili
მიხვედრილობა	miχʷedɾiɫoba
მიჯნური	midʒnuɾi
მიჰყავს	mihχʼafs
მკაფიოდ	mkʼapʰiotʰ
მკაცრად	mkʼatsʰɾatʰ
მკაცრი	mkʼatsʰɾi
მკერავი	mkʼeɾavi
მკერდამდე	mkʼeɾdamde
მკერდი	mkʼeɾdi
მკვახე	m̥kʼʷaxɛ
მკვდარი	m̥kʼʷdäɾi
მკვეთრად	mkʼʷetʰɾatʰ
მკვეთრი	mkʼʷetʰɾi
მკვეხარა	mkʼʷeχaɾa
მკვიდრი	mkʼʷidɾi
მკვირცხლად	mkʼʷiɾtsʰχɫatʰ
მკვირცხლი	mkʼʷiɾtsʰχli
მკვლევარი	mkʼʷlevaɾi
მკვლელი	m̥kʼʷle̞li
მკვლელობა	mkʼʷleɫoba
მკვრივად	mkʼʷɾivatʰ
მკვრივი	mkʼʷɾivi
მკითხველი	mkʼitʰχʷeli
მკლავი	mkʼɫavi
მკლავჭიდი	mkʼɫaftʃʼidi
მკრეხელობა	mkʼɾeχeɫoba
მკრეხელურად	mkʼɾeχeɫuɾatʰ
მკრთალად	mkʼɾtʰaɫatʰ
მკრთალი	mkʼɾtʰali
მკურნალი	mkʼuɾnali
მკურნალობა	mkʼuɾnaɫoba
მლაშე	mɫaʃe
მლაშობი	mɫaʃobi
მლიქვნელობა	mlikʰʷneɫoba
მლიქვნელური	mlikʰʷneɫuɾi
მლოცვარე	mɫotsʰʷaɾe
მმართველი	mmaɾtʰʷeli
მმართველობა	mmaɾtʰʷeɫoba
მმართველობამ	mmaɾtʰʷeɫobam
მმართველობას	mmaɾtʰʷeɫobas
მმართველობის	mmaɾtʰʷeɫobis
მნემონიკური	mnemonikʼuɾi
მნიშვნელობა	mniʃʷneɫoba
მნიშვნელოვანი	mniʃʷneɫovani
მნიშვნელოვნად	mniʃʷneɫovnatʰ
მოაზროვნე	moazɾovne
მოასულიერებს	moasulieɾebs
მოახლე	moaχle
მოაჯირებიანი	moadʒiɾebiani
მოაჯირი	moadʒiɾi
მობილიზაცია	mobilizatsʰia
მობილური	mobiɫuɾi
მობილურობა	mobiɫuɾoba
მოგვი	moɡʷi
მოგვიანებით	moɡʷianebitʰ
მოგზაური	moɡzauɾi
მოგზაურობა	moɡzauɾoba
მოგზაურობს	moɡzauɾobs
მოგრძო	moɡɾdzo
მოდალობა	modaɫoba
მოდერატორი	modeɾatʼoɾi
მოდერი	modeɾi
მოდერნიზაცია	modeɾnizatsʰia
მოდერნიზმი	modeɾnizmi
მოდერნისტი	modeɾnistʼi
მოდერნისტული	modeɾnistʼuli
მოდულაცია	moduɫatsʰia
მოდუნებულად	modunebuɫatʰ
მოდუნებულობა	modunebuɫoba
მოდურად	moduɾatʰ
მოდური	moduɾi
მოდურობა	moduɾoba
მოენატრება	moenatʼɾeba
მოეფერება	moepʰeɾeba
მოვარდისფრო	movaɾdispʰɾo
მოვილაპარაკებთ	moviɫapʼaɾakʼebtʰ
მოზაიკური	mozaikʼuɾi
მოზარდი	mozaɾdi
მოზვერი	mozʷeɾi
მოთეთრო	motʰetʰɾo
მოთენთილობა	motʰentʰiɫoba
მოთხოვნა	motʰχovna
მოთხრობა	motʰχɾoba
მოთხრობითი	motʰχɾobitʰi
მოითხოვეთ	moitʰχovetʰ
მოითხოვს	moitʰχofs
მოიისფრო	moiispʰɾo
მოიცა	moitsʰa
მოიცადე	moitsʰade
მოიჯარე	moidʒaɾe
მოკავშირე	mokʼafʃiɾe
მოკავშირეობა	mokʼafʃiɾeoba
მოკაზმულობა	mokʼazmuɫoba
მოკვალთული	mokʼʷaltʰuli
მოკვლა	mokʼʷɫa
მოკირვა	mokʼiɾʷa
მოკლავს	mokʼɫafs
მოკლედ	mokʼletʰ
მოკლეტალღიანი	mokʼletʼalʁiani
მოკლეტალღური	mokʼletʼalʁuɾi
მოკრივე	mokʼɾive
მოკრძალება	mokʼɾdzaleba
მოკრძალებულად	mokʼɾdzalebuɫatʰ
მოლაპარაკება	moɫapʼaɾakʼeba
მოლარე	moɫaɾe
მოლარები	moɫaɾebi
მოლარი	moɫaɾi
მოლაღური	moɫaʁuɾi
მოლაყბე	moɫaχʼbe
მოლბერტი	molbeɾtʼi
მოლეკულა	molekʼuɫa
მოლეკულური	molekʼuɫuɾi
მოლოდინი	moɫodini
მოლოქა	moɫokʰa
მოლურჯე	moɫuɾdʒe
მოლურჯო	moɫuɾdʒo
მოლუსკი	moɫuskʼi
მოლხენილად	molχeniɫatʰ
მომაბეზრებელი	momabezɾebeli
მომაბეზრებლად	momabezɾebɫatʰ
მომაკვდინებლად	momakʼʷdinebɫatʰ
მომართავს	momaɾtʰafs
მომაღლო	momaʁɫo
მომგებიანად	momɡebianatʰ
მომენატრე	momenatʼɾe
მომენატრებით	momenatʼɾebitʰ
მომენტალური	momentʼaɫuɾi
მომთაბარე	momtʰabaɾe
მომთაბარეობა	momtʰabaɾeoba
მომიჯნავედ	momidʒnavetʰ
მომლაშო	momɫaʃo
მომლოდინედ	momɫodinetʰ
მომრგვალო	momɾɡʷaɫo
მომღერალი	momʁeɾali
მომჩივანი	momtʃʰivani
მომწამლავად	momtsʼamɫavatʰ
მომწარო	momtsʼaɾo
მომწვანო	momtsʼʷano
მომჭირნე	momtʃʼiɾne
მომჭირნედ	momtʃʼiɾnetʰ
მომჭირნეობა	momtʃʼiɾneoba
მომხიბვლელი	momχibʷleli
მომხიბვლელობა	momχibʷleɫoba
მომხიბლავად	momχibɫavatʰ
მომხიბლავი	momχibɫavi
მომხიბლაობა	momχibɫaoba
მომხიბლველად	momχiblʷeɫatʰ
მომხმარებელი	momχmaɾebeli
მომხმარებლებს	momχmaɾeblebs
მონადირე	monadiɾe
მონათმფლობელობა	monatʰmpʰɫobeɫoba
მონარინჯისფრო	monaɾindʒispʰɾo
მონარქი	monaɾkʰi
მონარქია	monaɾkʰia
მონარქიზმი	monaɾkʰizmi
მონარქისტი	monaɾkʰistʼi
მონარქიული	monaɾkʰiuli
მონასტერი	monastʼeɾi
მონასტრული	monastʼɾuli
მონაცემები	monatsʰemebi
მონაცვლეობა	monatsʰʷleoba
მონაცრისფრო	monatsʰɾispʰɾo
მონიტორი	monitʼoɾi
მონოგრამა	monoɡɾama
მონოგრაფია	monoɡɾapʰia
მონოთეისტური	monotʰeistʼuɾi
მონოლითური	monolitʰuɾi
მონოლოგი	monoɫoɡi
მონოპლანი	monopʼɫani
მონოპოლისტური	monopʼolistʼuɾi
მონოსაქარიდი	monosakʰaɾidi
მონოსექსუალობა	monosekʰsuaɫoba
მონოსექსუალურად	monosekʰsuaɫuɾatʰ
მონოსექსუალური	monosekʰsuaɫuɾi
მონოტონურად	monotʼonuɾatʰ
მონოტონური	monotʼonuɾi
მონოტონურობა	monotʼonuɾoba
მონრეალი	monɾeali
მონტენეგრო	montʼeneɡɾo
მონტიორი	montʼioɾi
მონუმენტური	monumentʼuɾi
მონურად	monuɾatʰ
მონური	monuɾi
მონღოლეთი	monʁoletʰi
მონღოლი	monʁoli
მონღოლური	monʁoɫuɾi
მორალი	moɾali
მორალისტი	moɾalistʼi
მორალისტური	moɾalistʼuɾi
მორალურად	moɾaɫuɾatʰ
მორატორიუმი	moɾatʼoɾiumi
მორგანატული	moɾɡanatʼuli
მორგვი	moɾɡʷi
მორგი	moɾɡi
მორევი	moɾevi
მორთულობა	moɾtʰuɫoba
მორი	moɾi
მორიდებულად	moɾidebuɫatʰ
მორიდებულობა	moɾidebuɫoba
მორიელი	moɾieli
მორისი	moɾisi
მორმონები	moɾmonebi
მორუხო	moɾuχo
მორფემა	moɾpʰema
მორფემული	moɾpʰemuli
მორფი	moɾpʰi
მორფოლოგია	moɾpʰoɫoɡia
მორფოლოგიურად	moɾpʰoɫoɡiuɾatʰ
მორფოლოგიური	moɾpʰoɫoɡiuɾi
მორჩი	moɾtʃʰi
მორჩილად	moɾtʃʰiɫatʰ
მორჩილაძე	moɾtʃʰiɫadze
მორჩილობა	moɾtʃʰiɫoba
მორცხვად	moɾtsʰχʷatʰ
მორცხვი	moɾtsʰχʷi
მორცხვობა	moɾtsʰχʷoba
მორწმუნე	moɾtsʼmune
მოსამართლე	mosamaɾtʰle
მოსამსახურე	mosamsaχuɾe
მოსაჩვენებლად	mosatʃʰʷenebɫatʰ
მოსაცდელი	mosatsʰdeli
მოსაწყენად	mosatsʼχʼenatʰ
მოსახლე	mosaχle
მოსახლეობად	mosaχleobatʰ
მოსახლეობამ	mosaχleobam
მოსახლეობას	mosaχleobas
მოსახლეობით	mosaχleobitʰ
მოსახლეობის	mosaχleobis
მოსვლა	mosʷɫa
მოსთხოვს	mostʰχofs
მოსიყვარულე	mosiχʼʷaɾule
მოსკოვად	moskʼovatʰ
მოსკოვს	moskʼofs
მოსულელო	mosuleɫo
მოსულელოდ	mosuleɫotʰ
მოსულიერება	mosulieɾeba
მოტეხილობა	motʼeχiɫoba
მოტივაცია	motʼivatsʰia
მოტოციკლეტი	motʼotsʰikʼletʼi
მოტოციკლი	motʼotsʰikʼli
მოტყნული	motʼχʼnuli
მოტყუებით	motʼχʼuebitʰ
მოუახლოვდება	mouaχɫovdeba
მოუბარი	moubaɾi
მოუთმენლად	moutʰmenɫatʰ
მოუთმენლობა	moutʰmenɫoba
მოულოდნელად	mouɫodneɫatʰ
მოულოდნელობა	mouɫodneɫoba
მოუნანიებლად	mounaniebɫatʰ
მოურიდებლად	mouɾidebɫatʰ
მოურიდებლობა	mouɾidebɫoba
მოუსვენარი	mousʷenaɾi
მოუსვენრად	mousʷenɾatʰ
მოუსვენრობა	mousʷenɾoba
მოუფიქრებლად	moupʰikʰɾebɫatʰ
მოუქნელად	moukʰneɫatʰ
მოუქნელობა	moukʰneɫoba
მოუწესრიგებელი	moutsʼesɾiɡebeli
მოუხერხებლად	mouχeɾχebɫatʰ
მოუხეშო	mouχeʃo
მოფარიკავე	mopʰaɾikʼave
მოფერება	mopʰeɾeba
მოფორთოხლისფრო	mopʰoɾtʰoχlispʰɾo
მოქალაქე	mokʰaɫakʰe
მოქალაქეობა	mokʰaɫakʰeoba
მოქლონი	mokʰɫoni
მოქნილად	mokʰniɫatʰ
მოქნილობა	mokʰniɫoba
მოქუფვრა	mokʰupʰʷɾa
მოქცევა	mokʰtsʰeva
მოღალატე	moʁaɫatʼe
მოღალატეობა	moʁaɫatʼeoba
მოღალატურად	moʁaɫatʼuɾatʰ
მოღალატური	moʁaɫatʼuɾi
მოღვაწე	moʁʷatsʼe
მოღვაწეობა	moʁʷatsʼeoba
მოღრეცილად	moʁɾetsʰiɫatʰ
მოღუშულად	moʁuʃuɫatʰ
მოღუშული	moʁuʃuli
მოყავისფრო	moχʼavispʰɾo
მოყვარე	moχʼʷaɾe
მოყვარული	moχʼʷaɾuli
მოყვითალო	moχʼʷitʰaɫo
მოშლა	moʃɫa
მოშორებით	moʃoɾebitʰ
მოჩვენებითად	motʃʰʷenebitʰatʰ
მოჩვენებითი	motʃʰʷenebitʰi
მოცალეობა	motsʰaleoba
მოცვისფერი	motsʰʷispʰeɾi
მოციგურავე	motsʰiɡuɾave
მოციმციმე	motsʰimtsʰime
მოცისფრო	motsʰispʰɾo
მოციქულთასწორი	motsʰikʰultʰastsʼoɾi
მოციქული	motsʰikʰuli
მოცულობა	motsʰuɫoba
მოცულობითი	motsʰuɫobitʰi
მოცურავე	motsʰuɾave
მოცხარი	motsʰχaɾi
მოძველო	modzʷeɫo
მოძრაობა	modzɾaoba
მოძღვარი	modzʁʷaɾi
მოძღვრები	modzʁʷɾebi
მოწითალო	motsʼitʰaɫo
მოწიფულობა	motsʼipʰuɫoba
მოწყალება	motsʼχʼaleba
მოწყალედ	motsʼχʼaletʰ
მოწყენილობა	motsʼχʼeniɫoba
მოწყობილობა	motsʼχʼobiɫoba
