aakkonen	ˈɑɑkkonen
maailmankauppa	ˈmɑɑilˌmɑnkɑˌuppɑ
maailmankausi	ˈmɑɑilmɑnˌkɑusi
maailmankieli	ˈmɑɑilmɑnˌkieli
maailmankiertäjä	ˈmɑɑilmɑnˌkiertæjæ
maailmankirjallisuus	ˈmɑɑilˌmɑnkirˌjɑllisuus
maailmankokous	ˈmɑɑilˌmɑnkoˌkous
maailmankolkka	ˈmɑɑilˌmɑnkolkkɑ
maailmankongressi	ˈmɑɑilˌmɑnkonˌgressi
maailmankuuluisuus	ˈmɑɑilmɑnˌkuuluisuus
maailmankuulu	ˈmɑɑilmɑnˌkuulu
maailmankuva	ˈmɑɑilˌmɑnkuvɑ
maailmankylä	ˈmɑɑilˌmɑnkylæ
maailmanlaajuinen	ˈmɑɑilmɑnˌlɑɑjuinen
maailmanlaajuisesti	ˈmɑɑilmɑnˌlɑɑjuiˌsesti
maailmanloppu	ˈmɑɑilˌmɑnloppu
maailmanluokka	ˈmɑɑilmɑnˌluokkɑ
maailmanmaine	ˈmɑɑilmɑnˌmɑine
maailmanmarkkinahinta	ˈmɑɑilˌmɑnmɑrkˌkinɑˌhintɑ
maailmanmarkkinat	ˈmɑɑilˌmɑnmɑrkˌkinɑt
maailmanmatkaaja	ˈmɑɑilˌmɑnmɑtˌkɑɑjɑ
maailmanmenestys	ˈmɑɑilˌmɑnmeˌnestys
maailmanmestari	ˈmɑɑilˌmɑnmesˌtɑri
maailmanmestaruusjoukkue	ˈmɑɑilˌmɑnmestɑˌruusjoˌukkue
maailmanmestaruuskilpailu	ˈmɑɑilˌmɑnmestɑˌruuskilˌpɑilu
maailmanmestaruuskisa	ˈmɑɑilˌmɑnmestɑˌruuskisɑ
maailmanmestaruus	ˈmɑɑilˌmɑnmesˌtɑruus
maailmanmestaruusottelu	ˈmɑɑilˌmɑnmestɑˌruusotˌtelu
maailmanmielinen	ˈmɑɑilmɑnˌmielinen
maailmanmielisyys	ˈmɑɑilmɑnˌmielisyys
maailmanmies	ˈmɑɑilˌmɑnmies
maailmanmusiikki	ˈmɑɑilˌmɑnmuˌsiikki
maailmannainen	ˈmɑɑilmɑnˌnɑinen
maailmannäyttely	ˈmɑɑilˌmɑnnæˌyttely
maailmanpalo	ˈmɑɑilˌmɑnpɑlo
maailmanparantaja	ˈmɑɑilˌmɑnpɑˌrɑntɑjɑ
maailmanpatsas	ˈmɑɑilˌmɑnpɑtsɑs
maailmanperintöluettelo	ˈmɑɑilˌmɑnpeˌrintøluˌettelo
maailmanperintö	ˈmɑɑilˌmɑnpeˌrintø
maailmanpoliittinen	ˈmɑɑilˌmɑnpoˌliittinen
maailmanpolitiikka	ˈmɑɑilˌmɑnpoliˌtiikkɑ
maailmanpyörä	ˈmɑɑilmɑnˌpyøræ
maailmanranta	ˈmɑɑilˌmɑnrɑntɑ
maailmanrauha	ˈmɑɑilmɑnˌrɑuhɑ
maailmanselitys	ˈmɑɑilˌmɑnseˌlitys
maailmansota	ˈmɑɑilˌmɑnsotɑ
maailmantähti	ˈmɑɑilˌmɑntæhti
maailmantalous	ˈmɑɑilˌmɑntɑˌlous
maailmantapahtuma	ˈmɑɑilˌmɑntɑˌpɑhtumɑ
maailmantilanne	ˈmɑɑilˌmɑntiˌlɑnne
maailmantilasto	ˈmɑɑilˌmɑntiˌlɑsto
maailmantuska	ˈmɑɑilˌmɑntuskɑ
maailmanuskonto	ˈmɑɑilmɑˌnuskonto
maailmanvallankumous	ˈmɑɑilˌmɑnvɑlˌlɑnkuˌmous
maailmanvalta	ˈmɑɑilˌmɑnvɑltɑ
maailmanympärimatka	ˈmɑɑilmɑˌnympæriˌmɑtkɑ
maailmanympäripurjehdus	ˈmɑɑilmɑˌnympæriˌpurjehdus
määintä	ˈmææintæ
maajauhe	ˈmɑɑjɑuhe
maajohto	ˈmɑɑjohto
maajoukkue	ˈmɑɑjoˌukkue
maajoukkuepaita	ˈmɑɑjoˌukkueˌpɑitɑ
maajoukkuepelaaja	ˈmɑɑjoˌukkuˌepeˌlɑɑjɑ
maajoukot	ˈmɑɑjoukot
maajussi	ˈmɑɑjussi
maakaapeli	ˈmɑɑkɑɑˌpeli
maakaari	ˈmɑɑkɑɑri
maakaasujohto	ˈmɑɑkɑɑsuˌjohto
maakaasu	ˈmɑɑkɑɑsu
maakaasuputki	ˈmɑɑkɑɑsuˌputki
maakaasuvoimala	ˈmɑɑkɑɑsuˌvoimɑlɑ
maakaira	ˈmɑɑkɑirɑ
maakairaus	ˈmɑɑkɑiˌrɑus
maakaistale	ˈmɑɑkɑisˌtɑle
maakäräjät	ˈmɑɑkæˌræjæt
maakarhu	ˈmɑɑkɑrhu
maakari	ˈmɑɑkɑri
maakauppa	ˈmɑɑkɑˌuppɑ
maakellari	ˈmɑɑkelˌlɑri
maakerros	ˈmɑɑkerros
maakerrostuma	ˈmɑɑkerˌrostumɑ
maakeskinen	ˈmɑɑkesˌkinen
määkiä	ˈmæækiæ
maakiintiö	ˈmɑɑkiinˌtiø
maakiitäjäinen	ˈmɑɑkiitæˌjæinen
määkinä	ˈmæækinæ
maakolloidit	ˈmɑɑkolˌloidit
maakotka	ˈmɑɑkotkɑ
maakrapu	ˈmɑɑkrɑpu
maakuljetus	ˈmɑɑkulˌjetus
maakulkuneuvo	ˈmɑɑkulkuˌneuvo
maakunnallinen	ˈmɑɑkunˌnɑllinen
maakunnanvaakuna	ˈmɑɑkunnɑnˌvɑɑkunɑ
maakunta-arkisto	ˈmɑɑkunˌtɑɑrkisto
maakuntahenki	ˈmɑɑkuntɑˌhenki
maakuntahistoria	ˈmɑɑkuntɑˌhistoˌriɑ
maakuntaitsehallinto	ˈmɑɑkunˌtɑitseˌhɑllinto
maakuntajako	ˈmɑɑkunˌtɑjɑko
maakuntajuhla	ˈmɑɑkuntɑˌjuhlɑ
maakuntakaava	ˈmɑɑkuntɑˌkɑɑvɑ
maakuntakäräjät	ˈmɑɑkunˌtɑkæˌræjæt
maakuntakasvi	ˈmɑɑkuntɑˌkɑsvi
maakuntakirjasto	ˈmɑɑkuntɑˌkirjɑsto
maakuntakivi	ˈmɑɑkunˌtɑkivi
maakuntakokous	ˈmɑɑkunˌtɑkoˌkous
maakuntakukka	ˈmɑɑkuntɑˌkukkɑ
maakuntalainen	ˈmɑɑkuntɑˌlɑinen
maakuntalaki	ˈmɑɑkunˌtɑlɑki
maakuntalaulu	ˈmɑɑkuntɑˌlɑulu
maakuntalehti	ˈmɑɑkuntɑˌlehti
maakuntaliitto	ˈmɑɑkuntɑˌliitto
maakuntalintu	ˈmɑɑkuntɑˌlintu
maakunta	ˈmɑɑkuntɑ
maakuntamuseo	ˈmɑɑkunˌtɑmuˌseo
maakuntaneuvos	ˈmɑɑkuntɑˌneuvos
maakuntapäivät	ˈmɑɑkuntɑˌpæivæt
maakuntaviesti	ˈmɑɑkuntɑˌviesti
määkyä	ˈmæækyæ
maalaaja	ˈmɑɑlɑɑjɑ
maalaamaton	ˈmɑɑlɑɑˌmɑton
maalaamo	ˈmɑɑlɑɑmo
maalailla	ˈmɑɑlɑillɑ
maalailu	ˈmɑɑlɑilu
maalainen	ˈmɑɑlɑinen
maalaiselämä	ˈmɑɑlɑiˌselæmæ
maalaisesti	ˈmɑɑlɑiˌsesti
maalaisidylli	ˈmɑɑlɑisiˌdylli
maalaisisäntä	ˈmɑɑlɑisiˌsæntæ
maalaisittain	ˈmɑɑlɑiˌsittɑin
maalaisjärki	ˈmɑɑlɑisˌjærki
maalaisjuusto	ˈmɑɑlɑisˌjuusto
maalaiskunta	ˈmɑɑlɑisˌkuntɑ
maalaisliittolainen	ˈmɑɑlɑisˌliittoˌlɑinen
maalaisliitto	ˈmɑɑlɑisˌliitto
maalaismainen	ˈmɑɑlɑisˌmɑinen
maalaismaisesti	ˈmɑɑlɑisˌmɑisesti
maalaismaisuus	ˈmɑɑlɑisˌmɑisuus
maalaisolot	ˈmɑɑlɑiˌsolot
maalaispitäjä	ˈmɑɑlɑisˌpitæjæ
maalaispoika	ˈmɑɑlɑisˌpoikɑ
maalaisserkku	ˈmɑɑlɑisˌserkku
maalaistalo	ˈmɑɑlɑisˌtɑlo
maalaistua	ˈmɑɑlɑisˌtuɑ
maalaistyttö	ˈmɑɑlɑisˌtyttø
maalaisuus	ˈmɑɑlɑisuus
maalaisväestö	ˈmɑɑlɑisvæˌestø
maalaisvoi	ˈmɑɑlɑisvoi
maalaji	ˈmɑɑlɑji
maalajite	ˈmɑɑlɑˌjite
maalämmitys	ˈmɑɑlæmˌmitys
maalämpö	ˈmɑɑlæmpø
maalari	ˈmɑɑlɑri
maalarinkelkka	ˈmɑɑlɑˌrinkelkkɑ
maalarinteippi	ˈmɑɑlɑrinˌteippi
maalata	ˈmɑɑlɑtɑ
maalauksellinen	ˈmɑɑlɑˌukselˌlinen
maalauksellisesti	ˈmɑɑlɑˌukselliˌsesti
maalauksellisuus	ˈmɑɑlɑˌukselˌlisuus
maalausjalusta	ˈmɑɑlɑˌusjɑˌlustɑ
maalausliike	ˈmɑɑlɑusˌliike
maalaus	ˈmɑɑlɑus
maalausruisku	ˈmɑɑlɑusˌruisku
maalausrulla	ˈmɑɑlɑˌusrullɑ
maalaustaide	ˈmɑɑlɑusˌtɑide
maalaustaiteellinen	ˈmɑɑlɑusˌtɑiteelˌlinen
maalaustekniikka	ˈmɑɑlɑˌustekˌniikkɑ
maalaustela	ˈmɑɑlɑˌustelɑ
maalausteline	ˈmɑɑlɑˌusteˌline
maalaustyö	ˈmɑɑlɑˌustyø
maalaustyyli	ˈmɑɑlɑusˌtyyli
maalauttaa	ˈmɑɑlɑˌuttɑɑ
maaleikkaus	ˈmɑɑleikˌkɑus
maalevintäinen	ˈmɑɑlevinˌtæinen
maaliahne	ˈmɑɑliˌɑhne
maaliaine	ˈmɑɑliˌɑine
maalialue	ˈmɑɑliˌɑlue
maaliaukko	ˈmɑɑliɑˌukko
maaliero	ˈmɑɑliero
maaliikenne	ˈmɑɑliiˌkenne
maalijauhe	ˈmɑɑliˌjɑuhe
maalijuhla	ˈmɑɑliˌjuhlɑ
maalikamera	ˈmɑɑliˌkɑmerɑ
maalikehikko	ˈmɑɑlikeˌhikko
maalikerros	ˈmɑɑliˌkerros
maalikylä	ˈmɑɑliˌkylæ
maalilaukaus	ˈmɑɑliˌlɑukɑus
maalilinja	ˈmɑɑliˌlinjɑ
maali	ˈmɑɑli
maalinauha	ˈmɑɑliˌnɑuhɑ
maalineduspeli	ˈmɑɑlineˌduspeli
maalinedustapeli	ˈmɑɑlineˌdustɑˌpeli
maalinen	ˈmɑɑlinen
maalinnälkäinen	ˈmɑɑlinnælˌkæinen
maalinnälkä	ˈmɑɑlinˌnælkæ
maalinosoitustutka	ˈmɑɑlinoˌsoitusˌtutkɑ
maalinpoistoaine	ˈmɑɑlinˌpoistoˌɑine
maalintekijä	ˈmɑɑlinˌtekijæ
maaliöljy	ˈmɑɑliˌøljy
maalipensseli	ˈmɑɑliˌpensseli
maalipinta	ˈmɑɑliˌpintɑ
maalipotku	ˈmɑɑliˌpotku
maalipurkki	ˈmɑɑliˌpurkki
maalipylväs	ˈmɑɑliˌpylvæs
maaliraja	ˈmɑɑliˌrɑjɑ
maaliruisku	ˈmɑɑliˌruisku
maalisivellin	ˈmɑɑlisiˌvellin
maaliskuinen	ˈmɑɑlisˌkuinen
maaliskuu	ˈmɑɑliskuu
maalisuhde	ˈmɑɑliˌsuhde
maalisuora	ˈmɑɑliˌsuorɑ
maalisvaalit	ˈmɑɑlisˌvɑɑlit
maalisyöttö	ˈmɑɑliˌsyøttø
maalitaulu	ˈmɑɑliˌtɑulu
maalitehtailija	ˈmɑɑlitehˌtɑilijɑ
maalitehtailu	ˈmɑɑlitehˌtɑilu
maalitilanne	ˈmɑɑlitiˌlɑnne
maalitili	ˈmɑɑliˌtili
maalitölkki	ˈmɑɑliˌtølkki
maalitolppa	ˈmɑɑliˌtolppɑ
maaliton	ˈmɑɑliton
maalituomari	ˈmɑɑliˌtuomɑri
maalitykki	ˈmɑɑliˌtykki
maalivahti	ˈmɑɑliˌvɑhti
maaliväri	ˈmɑɑliˌværi
maaliverkko	ˈmɑɑliˌverkko
maaliviiva	ˈmɑɑliˌviivɑ
maallikkoedustaja	ˈmɑɑllikˌkoeˌdustɑjɑ
maallikkojäsen	ˈmɑɑllikˌkojæsen
maallikko	ˈmɑɑllikko
maallikkonimi	ˈmɑɑllikˌkonimi
maallikkosaarnaaja	ˈmɑɑllikkoˌsɑɑrnɑɑjɑ
maallikkotuomari	ˈmɑɑllikkoˌtuomɑri
maallikkoveli	ˈmɑɑllikˌkoveli
maallinen	ˈmɑɑllinen
maallismielinen	ˈmɑɑllisˌmielinen
maallistua	ˈmɑɑllisˌtuɑ
maallisuus	ˈmɑɑllisuus
maaltamuutto	ˈmɑɑltɑˌmuutto
maaltapako	ˈmɑɑltɑˌpɑko
maalyönti	ˈmɑɑlyønti
maamagnetismi	ˈmɑɑmɑgneˌtismi
maa	ˈmɑɑ
maamerkki	ˈmɑɑmerkki
maametalli	ˈmɑɑmeˌtɑlli
maamies	ˈmɑɑmies
maamiesseura	ˈmɑɑmiesˌseurɑ
maamikrobi	ˈmɑɑmiˌkrobi
maammo	ˈmɑɑmmo
maamo	ˈmɑɑmo
maamuna	ˈmɑɑmunɑ
maamyyrä	ˈmɑɑmyyræ
maanääri	ˈmɑɑnææri
maanäkyvyys	ˈmɑɑnæˌkyvyys
maanalainen	ˈmɑɑnɑˌlɑinen
maanantaikappale	ˈmɑɑnɑnˌtɑikɑpˌpɑle
maanantai	ˈmɑɑnɑntɑi
maanantainen	ˈmɑɑnɑnˌtɑinen
maanantaisin	ˈmɑɑnɑnˌtɑisin
maaneuvos	ˈmɑɑneuvos
maanikko	ˈmɑɑnikko
maaninen	ˈmɑɑninen
maanisä	ˈmɑɑnisæ
maanis-depressiivinen	ˈmɑɑnisdeˌpressiiˌvinen
maanitella	ˈmɑɑniˌtellɑ
maanittelu	ˈmɑɑnitˌtelu
maanjako	ˈmɑɑnjɑko
maanjäristysaalto	ˈmɑɑnjæˌristyˌsɑɑlto
maanjäristys	ˈmɑɑnjæˌristys
maanjäristysmittari	ˈmɑɑnjæˌristysˌmittɑri
maanjäristysoppi	ˈmɑɑnjæˌristyˌsoppi
maanjyrsin	ˈmɑɑnjyrsin
maankamara	ˈmɑɑnkɑˌmɑrɑ
maankavallus	ˈmɑɑnkɑˌvɑllus
maankavaltaja	ˈmɑɑnkɑˌvɑltɑjɑ
maankäyttö	ˈmɑɑnkæˌyttø
maankiertäjä	ˈmɑɑnkierˌtæjæ
maankohoaminen	ˈmɑɑnkoˌhoɑˌminen
maankolkka	ˈmɑɑnkolkkɑ
maankorko	ˈmɑɑnkorko
maankuivatus	ˈmɑɑnkuiˌvɑtus
maankuori	ˈmɑɑnkuori
maankuulu	ˈmɑɑnkuulu
maanlaajuinen	ˈmɑɑnlɑɑˌjuinen
maanläheinen	ˈmɑɑnlæˌheinen
maanlaki	ˈmɑɑnlɑki
maanmainio	ˈmɑɑnmɑiˌnio
maanmies	ˈmɑɑnmies
maanmittari	ˈmɑɑnmitˌtɑri
maanmittausinsinööri	ˈmɑɑnmitˌtɑusinsiˌnøøri
maanmittaus	ˈmɑɑnmitˌtɑus
maanmittausneuvos	ˈmɑɑnmittɑˌusneuvos
maanmittausoppi	ˈmɑɑnmitˌtɑusoppi
maanmittaustoimitus	ˈmɑɑnmittɑˌustoiˌmitus
maanmuokkaus	ˈmɑɑnmuokˌkɑus
maannainen	ˈmɑɑnnɑinen
maannapa	ˈmɑɑnnɑpɑ
maannos	ˈmɑɑnnos
maannostua	ˈmɑɑnnosˌtuɑ
maannousema	ˈmɑɑnnouˌsemɑ
maannousemasieni	ˈmɑɑnnouˌsemɑˌsieni
maannumero	ˈmɑɑnnuˌmero
maanomistaja	ˈmɑɑnoˌmistɑjɑ
maanomistus	ˈmɑɑnoˌmistus
maanomistusoikeus	ˈmɑɑnoˌmistuˌsoikeus
maanopeus	ˈmɑɑnoˌpeus
maanosa	ˈmɑɑnosɑ
maanpäällinen	ˈmɑɑnpæælˌlinen
maanpaine	ˈmɑɑnpɑine
maanpakolainen	ˈmɑɑnpɑkoˌlɑinen
maanpakolaisuus	ˈmɑɑnpɑkoˌlɑisuus
maanpako	ˈmɑɑnpɑko
maanparannusaine	ˈmɑɑnpɑˌrɑnnuˌsɑine
maanparannus	ˈmɑɑnpɑˌrɑnnus
maanpetoksellinen	ˈmɑɑnpeˌtokselˌlinen
maanpetos	ˈmɑɑnpetos
maanpetturi	ˈmɑɑnpetˌturi
maanpiiri	ˈmɑɑnpiiri
maanpinta	ˈmɑɑnpintɑ
maanpuolustaja	ˈmɑɑnpuoˌlustɑjɑ
maanpuolustuksellinen	ˈmɑɑnpuoˌlustukˌsellinen
maanpuolustusjärjestö	ˈmɑɑnpuoˌlustusˌjærjestø
maanpuolustuskoulutus	ˈmɑɑnpuoˌlustusˌkoulutus
maanpuolustuskurssi	ˈmɑɑnpuoˌlustusˌkurssi
maanpuolustus	ˈmɑɑnpuoˌlustus
maanpuolustustyö	ˈmɑɑnpuoˌlustustyø
maanraivaaja	ˈmɑɑnrɑiˌvɑɑjɑ
maanraivaus	ˈmɑɑnrɑiˌvɑus
maanraja	ˈmɑɑnrɑjɑ
maanrakennus	ˈmɑɑnrɑˌkennus
maanrako	ˈmɑɑnrɑko
maansäteily	ˈmɑɑnsæˌteily
maansiirtoauto	ˈmɑɑnsiirtoˌɑuto
maansiirtokone	ˈmɑɑnsiirˌtokone
maansiirtoliike	ˈmɑɑnsiirtoˌliike
maansiirto	ˈmɑɑnsiirto
maansiirtotyö	ˈmɑɑnsiirˌtotyø
maansuru	ˈmɑɑnsuru
maantaa	ˈmɑɑntɑɑ
maanteitse	ˈmɑɑnteitse
maantieajo	ˈmɑɑntieˌɑjo
maantiede	ˈmɑɑntiede
maantiegangsteri	ˈmɑɑntieˌgɑngsteri
maantiekilpailu	ˈmɑɑntiekilˌpɑilu
maantiekuljetus	ˈmɑɑntieˌkuljetus
maantie	ˈmɑɑntie
maantienoja	ˈmɑɑntieˌnojɑ
maantienvärinen	ˈmɑɑntienˌværinen
maantiepyöräily	ˈmɑɑntieˌpyøræily
maantierosvo	ˈmɑɑntieˌrosvo
maantiesilta	ˈmɑɑntieˌsiltɑ
maantieteellinen	ˈmɑɑntieˌteellinen
maantieteellisesti	ˈmɑɑntieˌteelliˌsesti
maantieteilijä	ˈmɑɑntieˌteilijæ
maantieto	ˈmɑɑntieto
maantuntopakko	ˈmɑɑntuntoˌpɑkko
maantutkimus	ˈmɑɑntutˌkimus
maanuoliainen	ˈmɑɑnuoliˌɑinen
maanvaiva	ˈmɑɑnvɑivɑ
maanvajoama	ˈmɑɑnvɑˌjoɑmɑ
maanvarainen	ˈmɑɑnvɑˌrɑinen
maanväri	ˈmɑɑnværi
maanvieremä	ˈmɑɑnvieˌremæ
maanviljelijä	ˈmɑɑnvilˌjelijæ
maanviljelijäväestö	ˈmɑɑnvilˌjeliˌjævæˌestø
maanviljelyelinkeino	ˈmɑɑnvilˌjelyeˌlinkeino
maanviljelykulttuuri	ˈmɑɑnvilˌjelykultˌtuuri
maanviljelymaa	ˈmɑɑnvilˌjelymɑɑ
maanviljely	ˈmɑɑnvilˌjely
maanviljelysfysiikka	ˈmɑɑnviljeˌlysfyˌsiikkɑ
maanviljelyskalusto	ˈmɑɑnviljeˌlyskɑˌlusto
maanviljelyskemia	ˈmɑɑnviljeˌlyskeˌmiɑ
maanviljelyskone	ˈmɑɑnviljeˌlyskone
maanviljelys	ˈmɑɑnvilˌjelys
maanviljelysneuvos	ˈmɑɑnviljeˌlysneuvos
maanviljelystalous	ˈmɑɑnviljeˌlystɑˌlous
maanviljelystila	ˈmɑɑnviljeˌlystilɑ
maanviljelystyö	ˈmɑɑnviljeˌlystyø
maanviljelytiede	ˈmɑɑnvilˌjelyˌtiede
maanvuokraaja	ˈmɑɑnvuoˌkrɑɑjɑ
maanvuokra	ˈmɑɑnvuokrɑ
maanvuokrasopimus	ˈmɑɑnvuoˌkrɑsoˌpimus
maanvuokraus	ˈmɑɑnvuoˌkrɑus
maanvyörymä	ˈmɑɑnvyøˌrymæ
maaoikeus	ˈmɑɑoiˌkeus
maaöljy	ˈmɑɑøljy
maaomaisuus	ˈmɑɑoˌmɑisuus
maaomistus	ˈmɑɑoˌmistus
maaorja	ˈmɑɑorjɑ
maaorjuus	ˈmɑɑorjuus
maaotteluedustaja	ˈmɑɑotˌtelueˌdustɑjɑ
maaottelujoukkue	ˈmɑɑotˌtelujoˌukkue
maaottelukarsinta	ˈmɑɑotˌteluˌkɑrsintɑ
maaottelu	ˈmɑɑotˌtelu
maaottelupelaaja	ˈmɑɑotˌtelupeˌlɑɑjɑ
maaotteluvoitto	ˈmɑɑotˌteluˌvoitto
maapähkinäkakku	ˈmɑɑpæhˌkinæˌkɑkku
maapähkinä	ˈmɑɑpæhˌkinæ
maapähkinäöljy	ˈmɑɑpæhˌkinæˌøljy
maapähkinärouhe	ˈmɑɑpæhˌkinæˌrouhe
maapähkinävoi	ˈmɑɑpæhˌkinævoi
maapaikka	ˈmɑɑpɑikkɑ
maapäivät	ˈmɑɑpæivæt
maapäivävaalit	ˈmɑɑpæivæˌvɑɑlit
maapaketti	ˈmɑɑpɑˌketti
maapala	ˈmɑɑpɑlɑ
maapallo	ˈmɑɑpɑllo
maapalsta	ˈmɑɑpɑlstɑ
maapato	ˈmɑɑpɑto
maapeite	ˈmɑɑpeite
maaperäbiologia	ˈmɑɑpeˌræbiˌoloˌgiɑ
maaperäbiologi	ˈmɑɑpeˌræbiˌologi
maaperägeologia	ˈmɑɑpeˌrægeˌoloˌgiɑ
maaperägeologi	ˈmɑɑpeˌrægeˌologi
maaperäkartta	ˈmɑɑperæˌkɑrttɑ
maaperä	ˈmɑɑperæ
maaperänsuojelu	ˈmɑɑperænˌsuojelu
maapohjainen	ˈmɑɑpohˌjɑinen
maapohja	ˈmɑɑpohjɑ
maapoliittinen	ˈmɑɑpoˌliittinen
maapolitiikka	ˈmɑɑpoliˌtiikkɑ
maapuuteri	ˈmɑɑpuuˌteri
määräaikainen	ˈmææræˌɑikɑinen
määräaikaishuolto	ˈmææræˌɑikɑisˌhuolto
määräaikaismaksu	ˈmææræˌɑikɑisˌmɑksu
määräaikaistaa	ˈmææræˌɑikɑistɑɑ
määräaikaistalletus	ˈmææræˌɑikɑisˌtɑlletus
määräaikaistarkastus	ˈmææræˌɑikɑisˌtɑrkɑstus
määräaikaistili	ˈmææræˌɑikɑisˌtili
määräaikaisuus	ˈmææræˌɑikɑisuus
määräaika	ˈmææræˌɑikɑ
määrääjä	ˈmæærææjæ
määräämätön	ˈmæærææˌmætøn
määräämisoikeus	ˈmæærææmiˌsoikeus
määräämisperiaate	ˈmæærææˌmisperiˌɑɑte
määräämisvalta	ˈmæærææˌmisvɑltɑ
määräasema	ˈmææræˌɑsemɑ
määräävä	ˈmææræævæ
määräävästi	ˈmæærææˌvæsti
määräehto	ˈmææræˌehto
määräenemmistö	ˈmææræeˌnemmistø
määräilevä	ˈmææræiˌlevæ
määräilevästi	ˈmææræileˌvæsti
määräillä	ˈmææræillæ
määräily	ˈmææræily
määräinen	ˈmææræinen
määräisesti	ˈmææræiˌsesti
määräisyys	ˈmææræisyys
maaraja	ˈmɑɑrɑjɑ
maarakennuskangas	ˈmɑɑrɑˌkennusˌkɑngɑs
maarakennuskone	ˈmɑɑrɑˌkennusˌkone
maarakennusliike	ˈmɑɑrɑˌkennusˌliike
maarakennus	ˈmɑɑrɑˌkennus
maarakennusmekaniikka	ˈmɑɑrɑˌkennusˌmekɑˌniikkɑ
maarakennustekstiili	ˈmɑɑrɑˌkennusteksˌtiili
maarakennustyö	ˈmɑɑrɑˌkennustyø
määräkokoinen	ˈmæærækoˌkoinen
määräkoko	ˈmææræˌkoko
määrällinen	ˈmæærælˌlinen
määrällisesti	ˈmæærælliˌsesti
määrä	ˈmææræ
määrä-	ˈmææræ
määrämittainen	ˈmææræmitˌtɑinen
määrämitta	ˈmææræˌmittɑ
määrämuotoinen	ˈmææræˌmuotoinen
määrämuoto	ˈmææræˌmuoto
määrännäisvelkakirja	ˈmæærænˌnæisvelkɑˌkirjɑ
määränpää	ˈmæærænpææ
määräosuus	ˈmææræˌosuus
määräpäivä	ˈmææræˌpæivæ
määräraha	ˈmææræˌrɑhɑ
määräsatama	ˈmææræˌsɑtɑmɑ
määrätä	ˈmæærætæ
maarata	ˈmɑɑrɑtɑ
määrätarkoitus	ˈmæærætɑrˌkoitus
määrätietoinen	ˈmææræˌtietoinen
määrätietoisesti	ˈmææræˌtietoiˌsesti
määrätietoisuus	ˈmææræˌtietoisuus
määrätön	ˈmæærætøn
määrättömästi	ˈmæærættøˌmæsti
määrätty	ˈmæærætty
määrätyn-	ˈmæærætyn
määrävähemmistö	ˈmæærævæˌhemmistø
määrävahvuus	ˈmææræˌvɑhvuus
määräyskirja	ˈmææræˌyskirjɑ
määräys	ˈmææræys
määräysvalta	ˈmææræˌysvɑltɑ
määräytyä	ˈmææræyˌtyæ
maareformi	ˈmɑɑreˌformi
maarekisteri	ˈmɑɑreˌkisteri
maarekisterinote	ˈmɑɑreˌkisteˌrinote
määre	ˈmæære
maarianheinä	ˈmɑɑriɑnˌheinæ
maariankämmekkä	ˈmɑɑriˌɑnkæmˌmekkæ
määrin	ˈmæærin
maarin	ˈmɑɑrin
määritellä	ˈmææriˌtellæ
määritelmä	ˈmææriˌtelmæ
määrite	ˈmæærite
määriteosa	ˈmææriˌteosɑ
määrittää	ˈmæærittææ
määrittelemätön	ˈmææritˌteleˌmætøn
määrittely	ˈmææritˌtely
määritys	ˈmææritys
määrly	ˈmæærly
maar	ˈmɑɑr
maaru	ˈmɑɑru
maasai	ˈmɑɑsɑi
maasälpä	ˈmɑɑsælpæ
maasäteily	ˈmɑɑsæˌteily
maaseurakunta	ˈmɑɑseurɑˌkuntɑ
maaseutukaupunki	ˈmɑɑseutuˌkɑupunki
maaseutukeskus	ˈmɑɑseutuˌkeskus
maaseutukiertue	ˈmɑɑseutuˌkiertue
maaseutukunta	ˈmɑɑseutuˌkuntɑ
maaseutulehdistö	ˈmɑɑseutuˌlehdistø
maaseutulehti	ˈmɑɑseutuˌlehti
maaseutumainen	ˈmɑɑseutuˌmɑinen
maaseutu	ˈmɑɑseutu
maaseutupitäjä	ˈmɑɑseuˌtupiˌtæjæ
maaseutuväestö	ˈmɑɑseuˌtuvæˌestø
maasiira	ˈmɑɑsiirɑ
maasilta	ˈmɑɑsiltɑ
maasodankäynti	ˈmɑɑsoˌdɑnkæˌynti
maasota	ˈmɑɑsotɑ
maasotatoimi	ˈmɑɑsotɑˌtoimi
maassamuuttaja	ˈmɑɑssɑˌmuuttɑjɑ
maassamuutto	ˈmɑɑssɑˌmuutto
maastakarkotus	ˈmɑɑstɑˌkɑrkotus
maastalähtö	ˈmɑɑstɑˌlæhtø
maastamuuttaja	ˈmɑɑstɑˌmuuttɑjɑ
maastamuutto	ˈmɑɑstɑˌmuutto
maastanosto	ˈmɑɑstɑˌnosto
maastaveto	ˈmɑɑstɑˌveto
maastavienti	ˈmɑɑstɑˌvienti
maastoajo	ˈmɑɑstoˌɑjo
maastoajoneuvo	ˈmɑɑstoˌɑjoˌneuvo
maastoauto	ˈmɑɑstoˌɑuto
maastoeste	ˈmɑɑstoˌeste
maastoharjoitus	ˈmɑɑstohɑrˌjoitus
maastohiihto	ˈmɑɑstoˌhiihto
maastoitse	ˈmɑɑstoitse
maastojuoksu	ˈmɑɑstoˌjuoksu
maastokelpoinen	ˈmɑɑstokelˌpoinen
