aaberg	ˈɑbɚg
ostrum	ˈɑstɹəm
ostwald	ˈɑstwəld
osuch	ˈɑsək
o'sullivan	oʊsˈʌləvən
osullivan	oʊsˈʌlɪvən
osuna	oʊsˈunə
oswald	ˈɔzwɔld
oswald's	ˈɔzwɔldz
oswalt	ˈɑswəlt
oswego	ɑswˈigoʊ
oswell	ˈɑswˌɛl
otaiba	oʊtˈeɪbə
otani	oʊtˈɑni
ota	ˈoʊtə
ot	ˈɑt
otello	oʊtˈɛloʊ
oteri	oʊtˈɛɹi
otero	oʊtˈɛɹoʊ
otey	ˈoʊti
otha	əðˈɑ
othello	əθˈɛloʊ
otherness	ˈʌðɚnəs
others	ˈʌðəz	["noun","verb"]
other's	ˈʌðɚz
others	ˈʌðɚz
other	ˈʌðə	["noun","adverb","adjective","verb"]
other	ˈʌðɚ
otherwhere	ˈʌðəweə	["adverb"]
otherwise	ˈʌðəˌwaɪz	["adverb","adjective"]
otherwise	ˈʌðɚwˌaɪz
otherworldly	ˌʌðəˈwəldlɪ	["adjective"]
otherworldly	ˈʌðɚwˈɚldli
otherworld	ˈʌðəˌwəld	["noun"]
othilia	oʊθˈiliə
othman	ˈɑθmən
othman's	ˈɑθmənz
otic	ˈɒtɪk	["adjective"]
otiose	ˈəʊʃɪəʊs	["adjective"]
otiose	ˈoʊtiˌoʊs
otis	ˈoʊtɪs
otitis	əʊˈtaɪtɪs	["noun"]
otmar	ˈɑtmɑɹ
otolaryngology	ˌəʊtəʊˌlæɹɪŋˈgɒlədʒɪ	["noun"]
otologies	oʊtˈɑlədʒiz
otology	əʊˈtɒlədʒɪ	["noun"]
otology	oʊtˈɑlədʒi
otomobil	oʊtˈoʊmoʊbəl
otoole	ˈɑtul
o'toole	oʊtˈul
otorhinolaryngology	ˌɒtɒˌɹæjnɒˌlæɹɪŋˈgɒlədʒɪ	["noun"]
otoscope	ˈəʊtəskəʊp	["noun"]
otremba	oʊtɹˈɛmbə
otsego	ɑtsˈeɪgoʊ
otsuka	oʊtsˈukə
ottaviani	oʊtɑviˈɑni
ottaviano	oʊtɑviˈɑnoʊ
ottawa	ˈɑtəwˌɑ
ottawa's	ˈɑtəwəz
ottaway	ˈɑtəweɪ
ottaway's	ˈɑtəweɪz
ott	ˈɑt
otte	ˈɑt
otten	ˈɑtən
otten's	ˈɑtənz
ottens	ˈɑtənz
otter	ˈɑtɚ
otter	ˈɒtə	["noun"]
otterbein	ˈɑtɚbaɪn
otterbein's	ˈɑtɚbaɪnz
otterloo	ˈɑtɚlˌu
otter's	ˈɑtɚz
otters	ˈɑtɚz
otterson	ˈɑtɚsən
otterson's	ˈɑtɚsənz
ottesen	ˈɑtizən
otteson	ˈɑtɪsən
ottilie	ˈɑtəli
otting	ˈɑtɪŋ
ottley	ˈɑtli
ottman	ˈɑtmən
otto	ˈɑtoʊ
otto	ˈɒtəʊ	["noun"]
ottoman	ˈɑtəmən
ottoman	ˈɒtəmən	["noun"]
otto's	ˈɑtoʊz
ottosen	ˈɑtoʊsən
ottoson	ˈɑtəsən
otts	ˈɑts
ottum	ˈɑtəm
otulsky	ətˈʊlski
otwell	ˈɑtwˌɛl
ouabain	ˈuːəbeɪn	["noun"]
ouagadougou	wˌɑgədˈugu
ouaga	wˈɑgə
oubliette	uːblɪˈet	["noun"]
oubre	ˈubɚ
ouch	ˈaʊtʃ
ouch	ˈaʊtʃ	["interjection"]
ouderkirk	ˈaʊdɚkɚk
oud	uːd	["noun"]
ouelette	ˈɑulɛt
ouellet	ˈɑulɪt
ouellette	ˈɑulɛt
oughta	ˈɔtə
oughtn't	ˈɔtənt
ought	ˈɔt
ouimette	wimˈɛt
ouimet	wimˈɛt
oui	uwˈi
oui	wˈi
ounce	ˈaʊns
ounce	aʊns	["noun"]
ounces	ˈaʊnsəz	["noun"]
ounces	ˈaʊnsɪz
ounsted	ˈaʊnstˌɛd
ourada	oʊʊɹˈɑdə
our	ˈaʊɚ
ours	ˈaʊɚz
ours	ɑːz	["pronoun"]
ourself	aʊəɹˈself	["pronoun"]
ourself	aʊɚsˈɛlf
ourselves	aʊəˈselvz	["pronoun"]
ourselves	aʊɚsˈɛlvz
ourso	ˈɚsoʊ
ouseba	ˈusəbə
ousley	ˈaʊsli
oust	ˈaʊst
oust	aʊst	["verb"]
ousted	ˈaʊstɪd
ouster	aʊstə	["noun","verb"]
ouster	ˈaʊstɚ
ousting	ˈaʊstɪŋ
ousting	ˈaʊstɪŋ	["noun","verb"]
out	æɒt	["noun","interjection","verb","preposition","adverb","adjective"]
outage	ˈaʊtɪdʒ
outage	ˈaʊtɪdʒ	["noun"]
outages	ˈaʊtɪdʒɪz
out	ˈaʊt
outback	ˈaʊtbˌæk
outbid	ˈaʊtbˌɪd
outbid	aʊtˈbɪd	["verb"]
outbidded	ˈaʊtbˌɪdɪd
outbidding	ˈaʊtbˌɪdɪŋ
outbids	ˈaʊtbˌɪdz
outboard	ˈaʊtbˌɔɹd
outboard's	ˈaʊtbˌɔɹdz
outboards	ˈaʊtbˌɔɹdz
outbound	ˈaʊtbˌaʊnd
outbox	ˈaʊtbɑks
outbox	aʊtbˈɑks
outbox	aʊtˈbɒks	["noun","verb"]
outboxes	ˈaʊtbɑksɪz
outboxes	aʊtbˈɑksɪz
outbrave	aʊtˈbɹeɪv	["verb"]
outbreak	ˈaʊtbɹˌeɪk
outbreak	ˈaʊtbɹeɪk	["noun","verb"]
outbreaks	ˈaʊtbɹˌeɪks
outbuilding	ˈaʊtˌbɪldɪŋ	["noun","verb"]
outburst	ˈaʊtbˌɚst
outburst	ˈaʊtˌbɜːst	["noun","verb"]
outbursts	ˈaʊtbˌɚsts
outcalt	ˈaʊtkəlt
outcast	ˈaʊtkˌæst
outcast	ˈaʊtkɑːst	["adjective","verb"]
outcaste	ˈaʊtkɑːst	["noun","verb"]
outcasts	ˈaʊtkˌæsts
outclass	ˈaʊtklˌæs
outclassed	ˈaʊtklˌæst
outclasses	ˈaʊtklˌæsɪz
outclassing	ˈaʊtklˌæsɪŋ
outcome	ˈaʊtkˌʌm
outcome	ˈaʊtkʌm	["noun"]
outcomes	ˈaʊtkˌʌmz
outcries	ˈaʊtkɹaɪz
outcries	aʊtkɹˈaɪz
outcrop	ˈaʊtkɹɒp	["noun","verb"]
outcry	ˈaʊtkɹaɪ
outcry	aʊtkɹˈaɪ
outcry	ˈaʊtkɹaɪ	["noun","verb"]
outdate	ˈaʊtdˌeɪt
outdated	ˈaʊtdˌeɪtɪd
outdated	aʊtˈdeɪtɪd	["adjective"]
outdid	ˈaʊtdˌɪd
outdid	aʊtˈdɪd	["verb"]
outdistance	ˈaʊtdˈɪstəns
outdistanced	ˈaʊtdˈɪstənst
outdistances	ˈaʊtdˈɪstənsɪz
outdistancing	ˈaʊtdˈɪstənsɪŋ
outdo	ˌaʊtdˈu
outdo	aʊtˈdʊ	["verb"]
outdoes	ˌaʊtdˈʌz
outdoing	ˌaʊtdˈuɪŋ
outdone	ˈaʊtdˈʌn
outdone	aʊtˈdʌn	["verb"]
outdoor	ˌaʊtˈdɔː	["adjective","verb"]
outdoor	ˈaʊtdˌɔɹ
outdoors	ˈaʊtdˈɔɹz
outdoorsman	ˈaʊtdˈɔɹzmən
outdoorsy	aʊtˈdɔːzɪ	["adjective"]
outed	ˈaʊtɪd
outen	ˈaʊtən
outer	ˈaʊtə	["noun","adjective"]
outer	ˈaʊtɚ
outermost	ˈaʊtəməʊst	["noun","adjective"]
outermost	ˈaʊtɚmˌoʊst
outerwear	ˈaʊtɚwˌɛɹ
outfield	ˈaʊtfˌild
outfielder	ˈaʊtfˌildɚ
outfielders	ˈaʊtfˌildɚz
outfields	ˈaʊtfˌildz
outfit	ˈaʊtfˌɪt
outfit	ˈaʊtfɪt	["noun","verb"]
outfits	ˈaʊtfˌɪts
outfitted	ˈaʊtfˌɪtɪd
outfitter	ˈaʊtfˌɪtɚ
outfitters	ˈaʊtfˌɪtɚz
outfitting	ˈaʊtfˌɪtɪŋ
outflank	ˈaʊtflˌæŋk
outflanked	aʊtflˈæŋkt
outflanking	ˈaʊtflˌæŋkɪŋ
outflanks	ˈaʊtflˌæŋks
outflow	ˈaʊtfloʊ
outflows	ˈaʊtfloʊz
outfly	aʊtˈflaɪ	["verb"]
outfox	aʊtfˈɑks
outfoxed	aʊtfˈɑkst
outfoxes	aʊtfˈɑksɪz
outfoxing	aʊtfˈɑksɪŋ
outgain	ˈaʊtgˌeɪn
outgained	ˈaʊtgˌeɪnd
outgaining	ˈaʊtgˌeɪnɪŋ
outgains	ˈaʊtgˌeɪnz
outgeneral	aʊtˈdʒenɹəl	["verb"]
outgo	ˈaʊtgoʊ
outgo	aʊtˈgəʊ	["noun","verb"]
outgoing	ˈaʊtgˌoʊɪŋ
outgrew	ˌaʊtgɹˈu
outgrew	aʊtˈgɹuː	["verb"]
outgrow	ˌaʊtgɹˈoʊ
outgrow	ˌaʊtˈgɹəʊ	["verb"]
outgrowing	ˈaʊtgɹˌoʊɪŋ
outgrown	ˌaʊtgɹˈoʊn
outgrown	aʊtˈgɹəʊn	["verb"]
outgrows	ˌaʊtgɹˈoʊz
outgrowth	ˈaʊtgɹˌoʊθ
outgrowth	ˈaʊtˌgrəʊθ	["noun"]
outguess	ˈaʊtgˌɛs
outguessed	ˈaʊtgˌɛst
outguesses	ˈaʊtgˌɛsɪz
outguessing	ˈaʊtgˌɛsɪŋ
outgun	ˈaʊtgˌʌn
outgun	ˌaʊtˈgʌn	["verb"]
outgunned	ˈaʊtgˌʌnd
outgunning	ˈaʊtgˌʌnɪŋ
outguns	ˈaʊtgˌʌnz
outhouse	ˈaʊthˌaʊs
outhouses	ˈaʊthˌaʊsɪz
outing	ˈaʊtɪŋ
outing	ˈaʊtɪŋ	["noun","verb"]
outings	ˈaʊtɪŋz
outland	ˈaʊtlˌænd
outland	ˈaʊtlənd
outlandish	aʊtlˈændɪʃ
outlandish	aʊtˈlændɪʃ	["adjective"]
outlast	ˈaʊtlˌæst
outlast	aʊtlˈæst
outlast	ˌaʊtˈlɑːst	["verb"]
outlasted	ˈaʊtlˌæstɪd
outlasted	aʊtlˈæstɪd
outlasting	ˈaʊtlˌæstɪŋ
outlasting	aʊtlˈæstɪŋ
outlasts	ˈaʊtlˌæsts
outlasts	aʊtlˈæsts
outlaw	ˈaʊtlˌɔ
outlawed	ˈaʊtlˌɔd
outlawing	ˈaʊtlˌɔɪŋ
outlawry	ˈaʊtlˌɔɹi
outlaws	ˈaʊtlˌɔz
outlay	ˈaʊtlˌeɪ
outlays	ˈaʊtlˌeɪz
outler	ˈaʊtəlɚ
outler	ˈaʊtlɚ
outlet	ˈaʊtlet	["noun"]
outlet	ˈaʊtlˌɛt
outlet's	ˈaʊtlˌɛts
outlets	ˈaʊtlˌɛts
outley	ˈaʊtli
outlier	ˈaʊtˌlaɪəɹ	["noun"]
outlier	ˈaʊtlaɪɚ
outliers	ˈaʊtlaɪɚz
outline	ˈaʊtlˌaɪn
outline	ˈaʊtlaɪn	["noun","verb"]
outlined	ˈaʊtlˌaɪnd
outliner	ˈaʊtlaɪnə	["noun"]
outlines	ˈaʊtlˌaɪnz
outlining	ˈaʊtlˌaɪnɪŋ
outlive	ˌaʊtlˈɪv
outlive	aʊtˈlɪv	["verb"]
outlived	ˌaʊtlˈɪvd
outlives	ˌaʊtlˈɪvz
outliving	ˌaʊtlˈɪvɪŋ
outlook	ˈaʊtlˌʊk
outlook	ˈaʊtˌlʊk	["noun","verb"]
outlooks	ˈaʊtlˌʊks
outlying	ˈaʊtlˌaɪɪŋ
outman	ˌaʊtmˈæn
outman	ˈaʊtmən
outmaneuver	aʊtmənˈuvɚ
outmaneuvered	aʊtmənˈuvɚd
outmaneuvering	aʊtmənˈuvɚɪŋ
outmaneuvers	aʊtmənˈuvɚz
outmanned	ˌaʊtmˈænd
outmatch	ˌæɒtˈmætʃ	["verb"]
outmode	ˌaʊtmˈoʊd
outmoded	ˌaʊtmˈoʊdɪd
outnumber	aʊtnˈʌmbɚ
outnumbered	ˌaʊtnˈʌmbɚd
outnumbering	ˈaʊtnˌʌmbɚɪŋ
outnumbers	aʊtnˈʌmbɚz
outokumpu	ˌutəkˈʌmpu
outpace	ˈaʊtpˌeɪs
outpaced	ˈaʊtpˌeɪst
outpaces	ˈaʊtpˌeɪsɪz
outpacing	ˈaʊtpˌeɪsɪŋ
outpatient	ˈaʊtpˌeɪʃənt
outpatients	ˈaʊtpˌeɪʃənts
outperformance	ˌaʊtpɚfˈɔɹməns
outperform	ˈaʊtpɚfˌɔɹm
outperformed	ˈaʊtpɚfˌɔɹmd
outperformer	ˌaʊtpɚfˈɔɹmɚ
outperformers	ˌaʊtpɚfˈɔɹmɚz
outperforming	ˈaʊtpɚfˌɔɹmɪŋ
outperforms	ˈaʊtpɚfˈɔɹmz
outplacement	ˈaʊtplˌeɪsmənt
outpost	ˈaʊtˌpəʊst	["noun"]
outpost	ˈaʊtpˌoʊst
outposts	ˈaʊtpˌoʊsts
outpouch	ˈaʊtpˌaʊtʃ
outpouching	ˈaʊtpˌaʊtʃɪŋ
outpour	ˈaʊtpɔɹ
outpour	aʊtpˈɔɹ
outpouring	aʊtpˈɔɹɪŋ
outpours	ˈaʊtpɔɹz
outpours	aʊtpˈɔɹz
output	ˈaʊtpˌʊt
output	ˈaʊtpʊt	["noun","verb"]
outputs	ˈaʊtpˌʊts
outputting	aʊtˈpʊtɪŋ	["verb"]
outrage	ˈaʊtɹæedʒ	["noun","verb"]
outrage	ˈaʊtɹˌeɪdʒ
outraged	ˈaʊtɹˌeɪdʒd
outrageous	aʊtɹˈeɪdʒəs
outrageous	aʊtˈɹeɪdʒəs	["adjective"]
outrageously	ˌaʊtɹˈeɪdʒəsli
outrageousness	aʊtɹˈeɪdʒəsnəs
outrages	ˈaʊtɹˌeɪdʒɪz
outraging	ˈaʊtɹˌeɪdʒɪŋ
outran	aʊtɹˈæn
outran	ˈaʊtɹæn	["verb"]
outreach	ˈaʊtɹitʃ
outreach	aʊtɹˈitʃ
outreaches	ˈaʊtɹitʃɪz
outreaches	aʊtɹˈitʃɪz
outreaching	aʊtɹˈitʃɪŋ
outride	ˈaʊtɹaɪd
outride	aʊtɹˈaɪd
outrider	aʊtɹˈaɪdɚ
outriders	aʊtɹˈaɪdɚz
outrides	ˈaʊtɹaɪdz
outrides	aʊtɹˈaɪdz
outrigger	ˈaʊtɹˌɪgɚ
outriggers	ˈaʊtɹˌɪgɚz
outright	ˈaʊtɹaɪt
outright	aʊtɹˈaɪt
outrun	aʊtɹˈʌn
outrun	ˈaʊtɹʌn	["noun","verb"]
outrunning	aʊtɹˈʌnɪŋ
outruns	aʊtɹˈʌnz
out's	ˈaʊts
outs	ˈaʊts
outscore	aʊtskˈɔɹ
outscored	aʊtskˈɔɹd
outscores	aʊtskˈɔɹz
outscoring	aʊtskˈɔɹɪŋ
outsell	aʊtˈsel	["verb"]
outsell	aʊtsˈɛl
outselling	aʊtsˈɛlɪŋ
outsells	aʊtsˈɛlz
outset	ˈaʊtset	["noun"]
outset	ˈaʊtsˌɛt
outshine	ˈaʊtʃˌaɪn
outshine	aʊtˈʃaɪn	["verb"]
outshines	ˈaʊtʃˌaɪnz
outshining	ˈaʊtʃˌaɪnɪŋ
outshone	aʊtʃˈoʊn
outside	ˈaʊtsaɪd
outside	aʊtsˈaɪd
outsider	ˌaʊtˈsaɪdəɹ	["noun"]
outsider	aʊtsˈaɪdɚ
outsider's	aʊtsˈaɪdɚz
outsiders	aʊtsˈaɪdɚz
outsides	aʊtsˈaɪdz
outsize	ˈaʊtsˌaɪz
outsized	ˈaʊtsˌaɪzd
outskirt	ˈaʊtskˌɚt
outskirt	ˈaʊtskɜːt	["noun","verb"]
outskirts	ˈaʊtskˌɚts
outskirts	ˈaʊtskɜːts	["noun"]
outsmart	ˈaʊtsmˌɑɹt
outsmarted	ˈaʊtsmˌɑɹtɪd
outsmarting	ˈaʊtsmˌɑɹtɪŋ
outsmarts	ˈaʊtsmˌɑɹts
outsold	aʊtˈsɒld	["verb"]
outsold	aʊtsˈoʊld
outsource	ˌaʊtsˈɔɹs
outsourced	ˌaʊtsˈɔɹst
outsources	ˌaʊtsˈɔɹsɪz
outsourcing	ˌaʊtsˈɔɹsɪŋ
outspend	ˈaʊtspˌɛnd
outspending	ˈaʊtspˌɛndɪŋ
outspends	ˈaʊtspˌɛndz
outspent	aʊtspˈɛnt
outspoken	ˈaʊtspˈoʊkən
outspokenness	aʊtspˈoʊkənnəs
outstanding	ˌaʊtstˈændɪŋ
outstandingly	ˌaʊtstˈændɪŋli
outstretch	aʊtˈstɹetʃ	["verb"]
outstretch	aʊtstɹˈɛtʃ
outstretched	aʊtˈstɹetʃt	["adjective","verb"]
outstretched	aʊtstɹˈɛtʃt
outstrip	aʊtstɹˈɪp
outstripped	aʊtstɹˈɪpt
outstripping	aʊtstɹˈɪpɪŋ
outstrips	aʊtstɹˈɪps
outta	ˈaʊtə
outtake	ˈaʊttˌeɪk
outtake	ˈaʊtˌteɪk	["noun","verb"]
outtakes	ˈaʊttˌeɪks
outta	ˈutə
outten	ˈaʊtən
outvote	aʊtvˈoʊt
outvoted	aʊtvˈoʊtɪd
outvotes	aʊtvˈoʊts
outvoting	aʊtvˈoʊtɪŋ
outward	ˈaʊtwəd	["adverb","adjective"]
outward	ˈaʊtwɚd
outwardly	ˈaʊtwədlɪ	["adverb"]
outwardly	ˈaʊtwɚdli
outwards	ˈaʊtwədz	["adverb"]
outwards	ˈaʊtwɚdz
outweigh	ˈaʊtwˌeɪ
outweigh	ˌaʊtˈweɪ	["verb"]
outweighed	aʊtwˈeɪd
outweighing	ˈaʊtwˌeɪɪŋ
outweighs	ˈaʊtwˌeɪz
outwit	ˈaʊtwˌɪt
outwit	aʊtˈwɪt	["verb"]
outwith	aʊtˈwɪð	["preposition"]
outwits	ˈaʊtwˌɪts
outwitted	ˈaʊtwˌɪtɪd
outwitting	ˈaʊtwˌɪtɪŋ
outwork	ˈaʊtwɚk
outwork	aʊtwˈɚk
outwork	aʊtˈwɔːk	["noun","verb"]
outworking	ˈaʊtwəːkɪŋ	["noun"]
outworks	ˈaʊtwɚks
outworks	aʊtwˈɚks
ou	ˈu
ouzel	ˈuːzəl	["noun"]
ouzo	ˈuːzəʊ	["noun"]
ouzts	ˈaʊsts
ouzts	ˈaʊzts
oval	ˈəʊvəl	["noun","adjective"]
ovalle	oʊvˈæleɪ
oval	ˈoʊvəl
ova	ˈoʊvə
ovarian	əʊˈveɹɪən	["adjective"]
ovarian	oʊvˈɛɹiən
ovaries	ˈoʊvɚiz
ovary	ˈəʊvəɹɪ	["noun"]
ovary	ˈoʊvɚi
ovate	ˈəʊveɪt	["adjective"]
ovate	ˈoʊveɪt
ovation	əʊˈveɪʃn	["noun","verb"]
ovation	oʊvˈeɪʃən
ovations	oʊvˈeɪʃənz
ovens	ˈʌvənz
oven	ˈʌvən
oven	ˈʌvən	["noun"]
overabundance	ˈoʊvɚəbˈʌndəns
overacker	ˈoʊvɚəkɚ
overacted	ˈoʊvɚˌæktɪd
overacted	ˌoʊvɚˈæktɪd
overact	ˌəʊvəɹˈækt	["verb"]
overactive	ˈoʊvɚˈæktɪv
overact	ˈoʊvɚˌækt
overacts	ˈoʊvɚˌækts
overage	ˈəʊvəɹˈeɪdʒ	["adjective","verb"]
overallotment	ˈoʊvɚəlˈɑtmənt
overallotments	ˈoʊvɚəlˈɑtmənts
overall	ˈoʊvɚˌɔl
overalls	ˈaʊvəɹəlz	["noun"]
overalls	ˈoʊvɚˌɔlz
overambitious	ˈoʊvɚæmbˌɪʃəs
overarching	ˌəʊvəɹˈɑːtʃɪŋ	["adjective","verb"]
overarching	ˈoʊvɚˌɑɹtʃɪŋ
overate	oʊvɚˈeɪt
overawe	əʊvəˈɹɔː	["verb"]
overbaugh	oʊvˈɚbɔ
overbay	ˈoʊvɚbˌeɪ
overbear	əʊvəˈbeə	["verb"]
overbearing	ˈoʊvɚbˈɛɹɪŋ
overbeck	ˈoʊvɚbˌɛk
overbey	ˈoʊvɚbi
overbid	ˈoʊvɚbˌɪd
overbid	ˌoʊvɚbˈɪd
overbids	ˈoʊvɚbˌɪdz
overbids	ˌoʊvɚbˈɪdz
overbilled	ˈoʊvɚbˌɪld
overbilling	ˈoʊvɚbˌɪlɪŋ
overbill	ˌoʊvɚbˈɪl
overbills	ˌoʊvɚbˈɪlz
overblown	ˌoʊvɚblˈoʊn
overboard	ˈəʊvəɹˌbɔːɹd	["adverb","adjective","verb"]
overboard	ˈoʊvɚbˌɔɹd
overbooked	ˈoʊvɚbˌʊkt
overbooking	ˈoʊvɚbˌʊkɪŋ
overbook	ˈoʊvɚbˌʊk
overbooks	ˈoʊvɚbˌʊks
overbought	ˈoʊvɚbˈɔt
overbuilding	ˈoʊvɚbˌɪldɪŋ
overbuilt	ˈoʊvɚbˈɪlt
overburdened	ˈoʊvɚbˈɚdənd
overburden	ˈoʊvɚbˈɚdən
overbuy	ˈoʊvɚbˌaɪ
overby	ˈoʊvɚbi
overcall	ˈəʊvəˌkɔːl	["noun","verb"]
overcall	ˌoʊvɚkˈɔl
overcalls	ˌoʊvɚkˈɔlz
overcame	ˌəʊvəˈkeɪm	["verb"]
overcame	ˈoʊvɚkˈeɪm
overcapacity	ˈoʊvɚkəpˈæsəti
overcash	ˈoʊvɚkˌæʃ
overcast	ˈoʊvɚkˌæst
overcast	ˌoʊvɚkˈæst
overcasts	ˈoʊvɚkˌæsts
overcasts	ˌoʊvɚkˈæsts
overcharged	ˈoʊvɚtʃˈɑɹdʒd
overcharge	ˈoʊvɚtʃˌɑɹdʒ
overcharges	ˈoʊvɚtʃˌɑɹdʒɪz
overcharging	ˌoʊvɚtʃˈɑɹdʒɪŋ
overclocking	ˌoʊvɚklˈɑkɪŋ
overclock	ˌoʊvɚklˈɑk
overcoat	ˈəʊvəkəʊt	["noun","verb"]
overcoat	ˈoʊvɚkˌoʊt
overcoats	ˈoʊvɚkˌoʊts
overcome	ˌəʊvəˈkʌm	["noun","verb"]
overcome	ˈoʊvɚkˌʌm
overcomes	ˈoʊvɚkˌʌmz
overcoming	ˈoʊvɚkˌʌmɪŋ
overconfidence	ˌoʊvɚkˈɑnfɪdəns
overconfident	ˌəʊvəɹˈkɒnfɪdənt	["adjective"]
overconfident	ˌoʊvɚkˈɑnfɪdənt
overconsumption	ˈoʊvɚkənsˌʌmpʃən
overcooked	ˌoʊvɚkˈʊkt
overcooking	ˌoʊvɚkˈʊkɪŋ
overcook	ˌoʊvɚkˈʊk
overcooks	ˌoʊvɚkˈʊks
overcrowded	ˈoʊvɚkɹˌaʊdɪd
overcrowding	ˈoʊvɚkɹˌaʊdɪŋ
overcrowd	ˌoʊvɚkɹˈaʊd
overcrowds	ˌoʊvɚkɹˈaʊdz
overdamping	ˈoʊvɚdˌæmpɪŋ
overdependence	ˈoʊvɚdɪpˌɛndəns
overdependent	ˈoʊvɚdɪpˌɛndənt
overdid	ˈoʊvɚdˌɪd
overdoes	ˌoʊvɚdˈʌz
overdo	ˌəʊvəˈdʊ	["verb"]
overdoing	ˈoʊvɚdˈuɪŋ
overdone	ɒvəɹˈdʌn	["adjective","verb"]
overdone	ˈoʊvɚdˈʌn
overdo	ˈoʊvɚdˈu
overdorf	ˈoʊvɚdɔɹf
overdosed	ˈoʊvɚdˌoʊst
overdose	ˈoʊvɚdˌoʊs
overdoses	ˈoʊvɚdˌoʊsɪz
overdosing	ˈoʊvɚdˌoʊsɪŋ
overdraft	ˈəʊvədɹɑːft	["noun","verb"]
overdrafting	ˈoʊvɚdɹˌæftɪŋ
overdraft	ˈoʊvɚdɹˌæft
overdrafts	ˈoʊvɚdɹˌæfts
overdrawn	ˈoʊvɚdɹˈɔn
overdraw	ˈoʊvɚdɹˌɔ
overdress	ˈoʊvɚdɹˌɛs
overdrew	əʊvədɹʊ	["verb"]
overdrew	ˈoʊvɚdɹˌu
overdrive	ˈoʊvɚdɹˌaɪv
overdue	ˌəʊvəˈdjʊ	["adjective"]
overdue	ˈoʊvɚdˈu
overeager	ˈoʊvɚˌigɚ
overeaten	əʊvəɪtən	["verb"]
overeat	ˌəʊvəˈɪt	["verb"]
overeating	ˈoʊvɚˈitɪŋ
overeat	ˈoʊvɚˌit
overemotional	əʊvəɹɪˈməʊʃənəl	["adjective"]
overemphasized	ˈoʊvɚˈɛmfəsˌaɪzd
overemphasize	ˈoʊvɚˈɛmfəsˌaɪz
overemphasizes	ˈoʊvɚˈɛmfəsˌaɪzɪz
overemphasizing	ˈoʊvɚˈɛmfəsˌaɪzɪŋ
overestimated	ˌoʊvɚˈɛstəmˌeɪtɪd
overestimate	ˌoʊvɚˈɛstəmˌeɪt
overestimates	ˌoʊvɚˈɛstəmˌeɪts
overestimating	ˌoʊvɚˈɛstəmˌeɪtɪŋ
overexcited	ˌoʊvɚɛksˈaɪtɪd
overexcite	ˌoʊvɚɛksˈaɪt
overexcites	ˌoʊvɚɛksˈaɪts
overexciting	ˌoʊvɚɛksˈaɪtɪŋ
overexpansion	ˌoʊvɚɪkspˈænʃən
overexposed	ˌoʊvɚɪkspˈoʊzd
overexpose	ˌoʊvɚɪkspˈoʊz
overexposes	ˌoʊvɚɪkspˈoʊzɪz
overexposing	ˌoʊvɚɪkspˈoʊzɪŋ
overexposure	ˌoʊvɚɪkspˈoʊʒɚ
overextended	ˌoʊvɚɪkstˈɛndɪd
overextending	ˌoʊvɚɪkstˈɛndɪŋ
overextend	ˌoʊvɚɪkstˈɛnd
overextends	ˌoʊvɚɪkstˈɛndz
overfall	ˈəʊvəfɔːl	["noun","verb"]
overfall	ˈoʊvɚfˌɔl
overfall	ˌoʊvɚfˈɔl
overfalls	ˈoʊvɚfˌɔlz
overfalls	ˌoʊvɚfˈɔlz
overfed	ˌoʊvɚfˈɛd
overfeed	ˌoʊvɚfˈid
overfelt	ˈoʊvɚfˌɛlt
overfield	ˈoʊvɚfˌild
overfill	ˈoʊvɚfˌɪl
overfishing	ˈoʊvɚfˌɪʃɪŋ
overflight	ˈoʊvɚflˌaɪt
overflights	ˈoʊvɚflˌaɪts
overflowed	ˌoʊvɚflˈoʊd
overflow	ˈəʊvəˌfləʊ	["noun","verb"]
overflowing	ˈoʊvɚflˌoʊɪŋ
overflow	ˈoʊvɚfloʊ
overflow	ˌoʊvɚflˈoʊ
overflows	ˈoʊvɚfloʊz
overflows	ˌoʊvɚflˈoʊz
overflying	ˌoʊvɚflˈaɪɪŋ
overfly	ˌoʊvɚflˈaɪ
overfold	ˈəʊvəfəʊld	["noun","verb"]
overfunded	ˈoʊvɚfˌʌndɪd
overfunding	ˈoʊvɚfˌʌndɪŋ
overfund	ˈoʊvɚfˌʌnd
overgaard	ˈoʊvɚgˌɑɹd
overgenerous	ˈoʊvɚdʒˌɛnɚəs
overgrazing	ˈoʊvɚgɹˌeɪzɪŋ
overgrowing	ˌoʊvɚgɹˈoʊwɪŋ
overgrown	ˌoʊvɚgɹˈoʊn
overgrowth	ˈoʊvɚgɹoʊθ
overhang	əʊvəˈhæŋ	["noun","verb"]
overhanging	ˈoʊvɚhˌæŋɪŋ
overhang	ˈoʊvɚhˌæŋ
overhangs	ˈoʊvɚhˌæŋz
overhauled	ˈoʊvɚhˌɔld
overhaul	ˈəʊvəˌhɒl	["noun","verb"]
overhauling	ˈoʊvɚhˌɔlɪŋ
overhaul	ˈoʊvɚhˌɔl
overhaul	ˌoʊvɚhˈɔl
overhauls	ˈoʊvɚhˌɔlz
overhauls	ˌoʊvɚhˈɔlz
overhead	ˈəʊvəˌhed	["noun","adverb","adjective"]
overhead	ˈoʊvɚhˌɛd
overhead	ˌoʊvɚhˈɛd
overheads	ˈoʊvɚhˌɛdz
