अंकगणित	əŋkəgəɳiːt̪
माघारीमुळे	maːgʱaːɾiːmuɭe
माघी	maːgʱi
माचितो	məːtɕiːtoː
माची	maːtʃiː
माचीवरला	maːtʃiʋəɾəɭə
माचो	maːtʃo
मांजर	maːɳdʒəɾ
मांजरं	maːɳdʒəɾə̃
मांजरांचा	maːɳdʒəɳtʃə
मांजरांची	maːɳdʒəɳtʃiː
मांजरांचे	maːɳdʒəɳtʃe
मांजराच्या	maːɳdʒəɾaːtʃeː
मांजरींचे	məːɳdʒəɾiːɳtʃe
मांजरीचे	məːɳdʒəɾiːtʃe
मांजरे	maːɳdʒəɾe
मांजरेकर	maːɳdʑɾeːkəɾ
माजली	maːdʒli
माजवली	maːdʒəʋliː
माजवून	maːdʒəʋun
मांजा	maːɳdʒə
माजिद	maːdʒiːd̪
माजी	maːdʒi
माझं	maːɻʈʂə̃
माझं	maːʐəɳ
माझंही	maːɻʐʱiː
माझा	maːdʑə
माझा	maːdʒə
माझाच	maːdʒətɕ
माझाही	maːdʒɑːɦiː
माझी	maːdʒi
माझी	maːdʒiː
माझीच	maːdʒitɕ
माझीही	maːdʒiː
माझे	maːdʒe
माझे	məʐe
माझेच	maːdʒeːtʃ
माझेही	maːdʑʰeː
माझ्या	maːdʑjɑː
माझ्या	maːɻʝə
माझ्याकडून	maːdʑjɑːkɑːɖuːn
माझ्याकडूनच	maːdʑjɑːkɑːɖuːnʈ
माझ्याकडे	maːdʑjɑːkɑːɳɳe
माझ्याकडे	maːɻʐjɑːkɑːɖe
माझ्याच	maːdʒjə
माझ्याजवळ	maːdʑjɑːdʑəɭ̆
माझ्यात	maːɻʈʰjaːt̪
माझ्यातील	maːɻʐjɑːtiːl
माझ्यापरीने	maːdʑjɑːpɾiːne
माझ्यापासून	maːdʑjɑːpɑːs̪un̪
माझ्यापुढे	maːdʑjɑːpuɖe
माझ्यापुरता	maːdʒʱjɑːpʊɾt̪ə
माझ्यापेक्षा	maːdʑjɑːpɛkʂɑ
माझ्याबद्दल	maːdʑjɑːbɑd̪ːl̪
माझ्याबरोबर	maːdʑjɑːbɾɔbɾ
माझ्याबाबत	maːdʑjɑːbɑːbət̪
माझ्यामते	maːdʑjɑːmʈe
माझ्यामध्ये	maːdʑjɑːmʈʰeː
माझ्यामागे	maːdʑjɑːmɑːge
माझ्यावर	maːdʑjəʋəɾ
माझ्यावरही	maːdʑjəʋəɾʰi
माझ्यावरील	maːdʑjɑːʋɾiːl
माझ्याविरुद्ध	maːdʑjɑːʋɪɾʊd̪d̪ʱ
माझ्याशी	maːdʑjɑːʃiː
माझ्याशीच	maːdʑjɑːʃitʃ
माझ्यासमोर	maːdʑjɑːs̪m̪oːr̪
माझ्यासह	maːdʑjɑːsəɦ
माझ्यासाठी	maːdʑjɑːsɑːtʃi
माझ्यासाठी	maːdʒʱjɑːsɑːtʃʰiː
माझ्यासाठीच	maːdʑjɑːsɑːʈiːtʃ
माझ्यासाठीही	maːdʒʱjɑːsɑːtɕʰiː
माझ्यासारखं	maːdʑjɑːsɑːrəkʰə
माझ्यासारखा	maːdʑjɑːsɑːrkhɑː
माझ्यासारख्या	maːdʑjɑːsɑːrkhjɑː
माझ्यासोबत	maːdʑjɑːsɔːbət̪
माझ्याही	maːdʑʰaːi
माँटरोज	maːɳʈoɾoʒ
माटिन	maːʈiːn
माटुंगा	maːʈuŋgə
माँटे	moːʈe
माँटेरीयो	maːɳʈeːɾjoː
माठाची	maːʈaːtʃi
मांडणं	maːɳɳə
मांडणारा	maːɳɖəɳaːr
मांडणारे	maːɳɖəɳaːrɛ
मांडणाऱ्या	maːɳɖəɳaːrjaː
मांडणी	maːɳɳi
मांडणीत	maːɳɖɳiːt̪
मांडणीही	maːɳɖɳiːhiː
मांडणे	maːɳɳe
मांडण्याचा	maːɳɖəɳjəʧə
मांडण्याची	maːɳɳəɭʲtʃiː
मांडण्यात	maːɳɖɳjɑːt̪
मांडण्यास	maːɳɖɳjɑs
मांडण्यासाठी	maːɳɖəɳjɑːʃt̪ʰi
मांडत	maːɳɖət̪
मांडता	maːɳɖəta
मांडतात	maːɳɖaːt̪aːt̪
मांडताना	maːɳɖətaːnə
मांडते	maːɳɖt̪e
मांडतो	maːɳɖto
मांडय़ा	maːɳɖjɑː
मांडलं	maːɳɖəɭəɳ
मांडलंय	maːɳɖəɭəɳ
मांडला	maːɳɖəla
मांडली	məːɳɖliː
मांडले	maːɳɖle
मांडलेकर	məːɳɖleːkəɾ
मांडलेकरचा	maːɳɖleːkəɾtʃə
मांडलेलं	maːɳɖleːl̪ə
मांडलेला	maːɳɖleːl̪ə
मांडलेली	məːɳɖleːliː
मांडलेले	maːɳɖlele
मांडलेल्या	maːɳɖleːɳʋə
मांडल्या	maːɳɖʎaː
मांडल्याचं	maːɳɖəʎəʧə
मांडल्याचे	maːɳɖəʎətʃe
मांडल्याने	maːɳɖəljaːne
मांडवीय	məːɳɖʋiː
मांडायचं	maːɳɖaːjəʈʂə
मांडायला	maːɳɖaːjəlaː
मांडी	maːɳɖi
मांडीचा	maːɳɖiːtʃa
मांडीचे	maːɳɖitʃe
मांडीच्या	maːɳɖiːtʃʰə
मांडीवर	maːɳɖiʋəɾ
मांडू	məːɳɖuː
मांडून	maːɳɖuːn
माडे	maːɖe
मांड्या	maːɳɖʲaː
मांढरेने	maːɳɖɾenɛ
माण	maːɳ
माणकेश्वर	maːɳkeʃʋəɾ
माणगावकर	maːɳgaːʋkəɾ
माणसं	maːɳs̪əɳ
माणसंही	maːɳsəɳɦiː
माणसाकडे	maːɳsɑːkɖe
माणसाचं	maːɳsɑːtɕəɳ
माणसाचा	maːɳsaːtʃə
माणसांचा	maːɳsɑːɳtʃə
माणसाची	maːɳəsaːtʃi
माणसांची	maːɳsəɳtʃi
माणसांचे	maːɳsɑːtɕe
माणसाचे	maːɳsɑːtʃe
माणसाच्या	maːɳsɑːtʃʰə
माणसांच्या	maːɳsəɳʈʰi
माणसात	maːɳsɑːt̪
माणसातल्या	maːɳsɑːt̪ɭə
माणसातही	maːɳsɑːtʰiː
माणसातील	maːɳsɑːt̪iːl̪
माणसांना	maːɳsɑːn̪ə
माणसांनी	maːɳsɪni
माणसाने	maːɳs̪aːne
माणसाला	maːɳsɑːlɑː
माणसांशी	maːɳsɑːɳʃiː
माणसाशी	maːɳsɑːʃi
माणसासाठी	maːɳsɑːsɑːtʃi
माणसे	maːɳse
माणिक	maːɳik
माणिकनगर	maːɳikəngəɾ
माणिकप्रभूंचा	maːɳikpɾəbuːnʧa
माणुसकी	maːɳuskʰiː
माणुसकीचा	maːɳuskɪtʃə
माणूस	maːɳuːs
माणूसच	maːɳuːsɕə
माणूसही	maːɳuːsʰiː
मात	maːt̪
मातकट	maːtəkəʈ
मातबर	maːt̪bər
मातब्बर	maːt̪əɳɖəɾ
मातरम्	maːt̪əɾəʋ
माता	maːt̪aː
माता	məːt̪aː
मातांचा	maːt̪ɑːtʃə
मातांना	maːtaːn̪n̪ə
मातांनी	maːt̪ɪɳː
मातांमध्ये	maːt̪ɑːmʋɪɳʈʰeː
माती	maːti
माती	maːtiː
मातीचा	maːtiːtʃə
मातीच्या	maːtiːtʃjɑː
मातीत	maːtiːt̪
मातीतल्या	maːtiːt̪ɭə
मातीतील	maːtiːt̪il
मातीमध्ये	maːtiːmɖʱe
मातीवर	maːtiʋəɾ
मातीवरील	maːtiʋaɾiːl
मातृ	maːt̪ɾi
मातृदिन	maːt̪ɾiɳ
मातृभाषा	maːtɾbʱaːʃɑː
मातृभाषेतील	maːtɾbʱaːʃeːt̪il
मातेचे	maːteʈe
मातेच्या	maːteʈʲə
मातेने	maːt̪eːn̪e
मातोंडकर	maːt̪oːɳɖəɾ
मातोंडकरचे	maːt̪oːɳgəɾtʃe
मातोश्रीवर	maːtoʃriʋəɾ
मात्र	maːt̪r̪
मात्रा	mətrə
मात्रेमध्ये	maːt̪reːmʈʰeː
मात्सुटोमो	maːtsuʈoːmo
माथा	maːt̪ʰə
माथेरान	maːt̪ʰeːɾɑːn
माथेरानचा	maːt̪ʰeːɾɑːɳtʃə
माथेरानची	maːt̪ʰeːɾəɳtʃi
माथेरानच्या	maːt̪ʰeːɾəŋtʃiː
माथेरानमध्ये	maːt̪ʰeːɾaːn̪mɖʱeː
माथेरानला	maːt̪ʰeːrɑːn̪lɑː
माथ्यावर	maːt̪ʰjəʋəɾ
मादक	maːɖək
मादाम	maːd̪ɑːm
मांदियाळी	maːɳɖijɑːliː
मांदियाळीत	maːɳɖijaːɭit̪
मादी	məːɖiː
माद्रिद	maːɖɾɪɖ
माद्रिदकडून	maːd̪ɾiɖɾɔːn̪
माद्रिदचा	maːɖɾiɖtɕə
माद्रिदचे	maːd̪ɾiɖtʃe
माद्रिदच्या	maːɖɾɪɖtʃeː
माद्रिदने	maːɖɾɪd̪n̪e
माद्रिदमधील	maːɖɾiɖəmaɖʱiːl
माद्रिदला	maːɖɾiɖ̪ɭə
माद्रिदसमोर	maːɖɾiɖəsuːmɔr
माद्रिदसाठी	maːɖɾiɖɐsɐtʃi
माधव	maːɖʱʋ
माधवन	maːɖʱʋən
माधवानी	maːɖʱʋaːniː
माधवी	maːɖʋiː
माधवीला	maːɖʋiːlɑː
माधुरी	maːɖʱuɾiː
माधुरीचे	maːɖʱuɾitʃe
माधुरीच्या	maːɖʱuɾiːtɕʰe
माधुरीने	maːɖʱuɾiːne
माध्य	məɖʱi
माध्यम	məɖʱjəm
माध्यमं	məɖʱjəmə
माध्यमांकडून	maːɖʱʲəmɑːŋkaːɖuːn
माध्यमाकडे	məɖʱjəmɑːkɖe
माध्यमांचा	maːdʑəmɑːtɕə
माध्यमाचा	maːɖʱjəmaːtɕə
माध्यमाची	maːd̪ʑəmaːtʃiː
माध्यमांचे	maːɖʱjəmaːɳtʃe
माध्यमांच्या	maːd̪ʱjəmoɳʈʰaː
माध्यमाच्या	məɖʱjəmɑːtʃʰeː
माध्यमात	məɖʱjəmɑːt̪
माध्यमांतील	maːɖʱjəmaːɳʈiːl
माध्यमातील	məɖʱjəmɑːt̪iːl̪
माध्यमातून	maːɖʱjəmaːt̪uːn
माध्यमांतून	məɖʱjəmɑːn̪t̪uːn̪
माध्यमातूनच	maːdʑəmɑːtuːnʈʰɑː
माध्यमातूनही	maːdʑəmɑːtuːnʰiː
माध्यमांद्वारे	maːdʑəmɑːndʋɑːre
माध्यमांना	maːɖʱjəmːɳə
माध्यमांनाही	maːɖʱjəmaːɳɑːhiː
माध्यमांनी	maːd̪ʱjəmɪɳɳiː
माध्यमांनीही	maːd̪ʱjəmɪn̪iː
माध्यमाने	maːd̪ʱjəmɑːne
माध्यमांपासून	maːd̪ʱjəmaːpaːs̪un
माध्यमांमधून	maːɖʱʲəmaːmməɖʰuːn
माध्यमांमध्ये	maːɖʱʋaːmɑːmʈʰeː
माध्यमामुळे	maːdʑəmɯɭe
माध्यमाला	maːɖʱjəmaːɭə
माध्यमावर	maːdʑʱʌmɑːʋəɾ
माध्यमांवर	məɖʱjəmɑːnʋəɾ
माध्यमांशी	maːɖʱjəmaːɳʂiː
माध्यमांसमोर	maːɖʱjəmaːnsəmoɾ
माध्यमिक	maːɖʱʲəmik
माध्यमे	maːdʑʱme
माध्यामातून	maːdʑʱaːmaːtuːn
मान	maːn
मानक	maːnək
मानकरी	maːngəriː
मानणारा	maːɳəɳaːɾə
मानणारी	maːɳəɳaːriː
मानणारे	maːɳəɳaːɾe
मानणाऱ्या	maːɳəɳaːɾjɑː
मानणे	maːɳəɳe
मानण्याची	maːɳɳjəʧiː
मानण्यात	maːɳɳjɑːt̪
मानण्यास	maːɳəɳjɑs
मानण्यासाठी	maːɳəɳjɑːʃt̪ʰi
मानत	maːnət̪
मानता	maːnt̪ə
मानतात	maːn̪t̪aːt̪
मानते	maːnt̪e
मानतो	maːn̪t̪o
मानतो	maːn̪t̪oː
मानद	maːnd̪ə
मानद	maːnɖə
मानदंड	maːnɖəɳɖ
मानदुखीची	maːn̪d̪uːkʰiːtʃiː
मानधन	maːnd̪ʱəɳ
मानधनही	maːnd̪ʱəɳʱi
मानधना	maːn̪d̪ʱəɳə
मानधनाचा	maːnd̪ʱəɳoːtʃə
मानधनाची	maːn̪d̪ʱəɳətʃi
मानधनाचे	maːn̪d̪ʱəɳatʃe
मानधनाच्या	maːn̪d̪ʱəɳəʧʰeː
मानधनात	maːn̪d̪ʱəɳɑːt̪
मानधनातही	maːn̪d̪ʱəɳəːt̪ʰiː
मानधनाने	maːn̪d̪ʱəɳɑːne
माननीय	maːn̪niː
मानमरातब	maːnəmaɾaːt̪əb̪
मानलं	maːnlə̃
मानला	maːnlə
मानली	maːnliː
मानले	maːn̪l̪e
मानल्या	maːnləjə
मानव	maːnʋ
मानवची	maːnʋtɕi
मानवजीत	maːnʋdʒiːt̪
मानवजीतसिंग	maːnʋdʒiːtsiŋʋ
मानवतेच्या	maːnʋt̪eːtʃjə
मानवंदना	maːnʋəɳɳə
मानवलं	maːnʋəlaːm
मानवाच्या	maːnʋaːtɕi
मानवात	maːnʋaːt̪
मानवादित्य	maːnʋaːd̪iʈʰ
मानवादित्यने	maːnʋaːd̪iʈʋə
मानवामध्ये	maːnʋaːmʤʰeː
मानवाला	maːnʋaːlə
मानवी	maːnʋiː
मानस	maːn̪s̪
मानसशास्त्रज्ञांच्या	maːnəʃɑːʃtɾgjɑːɳ
मानसशास्त्रीय	maːnəʂɑːʂt̪ɾiː
मानसा	maːnəsa
मानसिक	maːn̪s̪ɪk
मानसिकच	maːn̪sɪkʈʈʰ
मानसिकता	maːn̪s̪ɪkt̪aː
मानसिकतेचा	maːn̪s̪ɪk̪t̪eːtʃaː
मानसिकतेत	maːn̪s̪ɪkt̪eːt̪
मानसिकतेतून	maːn̪s̪ɪkt̪oːn̪
मानसिकतेला	maːn̪s̪ɪkt̪eːl̪ə
मानसिकतेवर	maːn̪s̪ɪk̪t̪eʋaɾ
मानसिकदृष्टय़ा	maːn̪s̪ɪkɖɾɕt̪aː
मानसिकदृष्ट्या	maːn̪s̪ɪkɖɾiʂʈʰjɑː
मानसिकरित्या	maːn̪s̪ɪkəɾɪt̪jə
मानसी	maːn̪siː
मानसीने	maːnɕiːne
मानसोपचार	maːn̪əsoːpɕɑːr
मानसोपचारतज्ज्ञ	maːn̪s̪oːpɕʰaːraʈadʒɲ
मानहानिकारक	maːnəɦaːnikɑːɾkəɾ
मानहानी	maːnəɦaːni
मानहानीकारक	maːnəɦaːnikɑːɾkəɾ
मानहानीचा	maːnəɦaːɲitʃə
मानहानीची	maːnəɦaːɲitʃi
मानही	maːnhi
माना	məːnə
मानांकन	maːnɑːŋkəɳ
मानांकनही	maːn̪aːkəɳʰiː
मानांकनानुसार	maːn̪aːknaːn̪usɑːr
मानांकित	maːn̪aːkɪt̪
मानांकीत	maːnaːkiːt̪
मानाचं	maːnɑːtɕə
मानाचा	maːnɔːtʃə
मानाची	maːn̪aːtʃiː
मानाचे	maːnɑːtʃe
मानाच्या	maːnəkʰiː
मानाने	maːn̪aːne
मानायचा	maːnɑːtɕə
मानायची	maːnaːtɕiː
मानायचे	maːnɑːtɕe
मानायला	maːnɑjɭɑ
मानावं	maːnɑːʋə̃
मानावी	maːnɑːʋiː
मानावे	maːnɑːʋe
मानिक्य	maːnikj
मानी	maːni
मानुषी	maːnuʂiː
मानुषीला	maːnuʂiːlə
मानू	maːnuː
मानून	maːnuːn
मानूस	maːnuːs
माने	maːne
मानेचा	maːneʈʃə
मानेची	maːn̪eːtʃiː
मानेचे	maːneʈʃe
मानेच्या	maːneːtɕə
मानेने	maːneːne
मानेला	maːneːla
मानेवर	maːneʋəɾ
मान्य	maːɳj
मान्यता	maːɳjəta
मान्यताने	maːɳjət̪ɑːne
मान्यताप्राप्त	maːɳjət̪aːpɾɛːt̪
मान्यतेनंतरही	maːɳjət̪eːn̪t̪əɾɦiː
मान्यतेने	maːɳjət̪eːne
मान्यवर	maːɳjəʋəɾ
मान्यवरांचा	maːɳjʋəɾəɳtʃə
मान्यवरांच्या	maːɳjʋaɾoʈʈʰiː
मान्यवरांना	maːɳjəʋəɾɑːɳɑ
मान्यवरांनी	maːɳjəʋəɾɛɳɳi
मान्यही	maːɳjɪ
मान्या	maːɳjɑː
मान्सून	maːn̪suːn̪
माप	maːp
मापं	maːpə̃
मापदंड	maːpəɳɖ
मापन	maːpən
मापाचे	maːpaːtʃe
मापुस्कर	maːpʊskəɾ
माफ	maːpʰ
माफक	maːpʰk
माफिया	maːpʰiːə
माँफिस	maːɳɸɪs
माँफिसचा	maːɳɸisʈʃə
माफी	maːpʰi
माफीही	maːpʰiː
मामला	maːmlə
मामा	maːmaː
मामाच्या	maːmaːtɕi
मामासोबत	maːmaːsɔbət̪
मामि	maːmi
मामित	maːmiːt̪
मामी	maːmi
माय	maːj
मायकल	maːjkəl
मायकलने	maːjkəl̪n̪e
मायकेल	maːjkel
मायकेलने	maːjkel̪n̪e
मायक्रो	maɪkɾo
मायक्रोएसडी	maɪkroesɾi
मायक्रोग्रॅम	maɪkrogɾəʋ
मायक्रोप्लास्टिक	maɪkroːpɭɑːsʈɪk
मायक्रोफ्लुइडिक	maɪkɾoɸlud̪ɪk
मायक्रोब	maɪkɾoːbʱ
मायक्रोबिड्स	maɪkɾoːbɪɖs
मायक्रोमॅक्स	maɪkɾoʋɛks
मायक्रोसॉफ्ट	maɪkroːsɔːft
मायक्रोसॉफ्टचे	maɪkɾoːsɔːɸʈʰtʃe
मायक्रोसॉफ्टने	maɪkɾoːsɔːft̪n̪e
मायक्रोस्कोपीच्या	maɪkɾoːskɔpiːtʃʰjɑ
मायग्रेन	maːjgren
मायटोकाँड्रियल	maːjʈoʋkɑːɳɖɾiːl
मायटोकाँड्रियाची	maːjʈoːkɑːɳɖɾjɑːtʃi
मायदेशात	majədeʃɑːt
मायदेशातील	majədeʃɑːt̪iːl̪
मायदेशी	majədeʃi
मायनर	maːjn̪əɾ
मायनेनी	maːjn̪eːniː
मायबोली	maːjbɔliː
मायभूमीत	maːjbʱuːmit̪
मायरा	maːjərə
मायरा	maːjɾə
मायलोमा	maːjloːma
माया	məjə
मायाच्या	maːjəɕːe
मायाळू	maːjɑːɭuː
मार	maːr
मारक	maːɾək
मारणं	maːɾəɳə
मारणार	maːɾəɳaːɾ
मारणारा	maːɾəɳaːɾə
मारणाऱ्या	maːɾɳaːɾjɑː
मारणे	maːɾɳe
मारण्याचा	maːɾɳjɛtʃa
मारण्याची	maːɾəɳjɪtʃiː
मारण्याचे	maːɾəɳjəʧe
मारण्याच्या	maːɾɳjəʧʰə
मारण्यात	maːɾɳjɑːt̪
मारण्यावर	maːɾɳjəʋəɾ
मारण्यास	maːɾəɳjɑs
मारण्यासाठी	maːɾɳjɑːʃɪtʃiː
मारत	maːɾət̪
मारता	maːɾt̪ə
मारतात	məɾət̪aːt̪
मारताना	maːɾət̪aːn̪ə
मारतानाचा	maːɾət̪aːɳɔtʃə
मारते	maːɾt̪e
मारतो	maːɾtoː
मारतोय	maːɾtoːj
मारलं	maːɾəɭəɳ
मारला	maːrɭə
मारली	maːrliː
मारले	maːrle
मारलेला	maːrleːlə
मारलेली	maːrleːliː
मारलेले	maːɾleːle
मारलेल्या	maːrleɳɪ
मारल्या	maːrɭjɛː
मारल्यानंतर	maːrəljanɑnt̪ɾ
मारल्याने	maːɾəljaːne
मारल्यामुळे	maːrəljɑːmuɭe
मारल्यावर	maːɾəljəʋəɾ
मारल्याशिवाय	maːrəljaːʃɪʋɑːj
मारल्यास	maːrəljas
मारवा	maːɾʋaː
मारहाण	maːɾɑːɳ
मारहाणीचा	maːraɳiːtʃə
मारा	maːra
माराझो	maːɾɑːdʒo
माराझो	maːɾɑːʐo
मारामारी	maːɾaːmiː
मारायची	maːɾaːtɕiː
मारायचो	maːɾaːjʧo
मारायच्या	maːɾajtɕʰe
मारायला	maːɾajɭə
मारायलाच	maːɾajəɭətʃ
मारावा	maːɾaːʋaː
मारावी	maːɾaːʋi
मारिओ	maːɾioː
मारिओने	maːɾioːɳe
मारिन	maːrɪn
मारिया	maːɾiːə
मारिस्काचे	maːɾiskɑːtʃe
मारु	maːruː
मारुती	maːɾuːti
मारुतीची	maːrut̪ːiːtʃiː
मारुतीराया	maːɾuːtiːɾɑːjɑː
मारुन	maːrʊn
मारू	maːruː
मारूं	maːruː
मारून	maːruːn
मारेल	maːrɛl
मार्क	maːrk
मार्कंडे	maːɾkəɳɖe
मार्कने	maːrkne
मार्कर	maːrkə
मार्करम	maːrkəɾəʋ
मार्करमने	maːrkərməne
मार्करमला	maːrkərmələ
मार्कराम	maːrkəɾaːm
मार्कस	maːrkəs
मार्केट	maːrkeːʈ
मार्केटमधलं	maːrkɛːʈəmɘɳɖəɭəɳ
मार्केटमधील	maːrkeʈəmaɖiːl
मार्केटमध्ये	maːrkeːʈmʌɳɖe
मार्केटमध्येही	maːrket̪mɖʱehiː
मार्केटिंग	maːrkeʈ̪iŋ
मार्केटींग	maːrkeʈiŋ
मार्को	maːrkoː
मार्कोस	maːɾkoːs
मार्क्रम	maːrkraʋ
मार्क्स	maːɾkʰs̪
मार्ग	maːrg
मार्गक्रमण	maːrgkɾəmaɳ
मार्गच	maːrgəʈ
मार्गदर्शक	maːrgəɖəɕkə
मार्गदर्शन	maːrgəɖəɾsəɳ
मार्गदर्शनही	maːrgəd̪ɾəs̪n̪ʰiː
मार्गदर्शनाखाली	maːrgəd̪ɾəs̪n̪əxɛli
मार्गदर्शनाखालीच	maːrgəd̪ɾəs̪n̪aːkʰaːliːtʃ
मार्गदर्शनाखालील	maːrgəɖəɾs̪əɳəxɑːliːl
मार्गदर्शनाचा	maːrgəɖəɾsəɳəʧə
मार्गदर्शनात	maːrgəɖəɾs̪əɳaːt̪
मार्गदर्शनानुसार	maːrgəɖəɳʌsəɳaːsəɳ
मार्गदर्शनामुळे	maːrgəɖəɾsəɳaːmuɭe
मार्गदर्शिका	maːrgəɖəɳtɕiːkə
मार्गशीर्ष	maːrgʃiːrʂ
मार्गही	maːrgʱiː
मार्गाकडे	maːrgaːkɑːɳɖe
मार्गाची	maːɾgaːtʃiː
मार्गात	maːrgɑːt̪
मार्गातील	maːrgaːt̪iːl̪
मार्गानं	maːrgaːn̪ə̃
मार्गानी	maːrgaːniː
मार्गांनी	maːrgəɳiː
मार्गाने	maːrgaːne
मार्गारेट	maːrgaːrɛːt̪
मार्गावर	maːrgəʋəɾ
मार्गावरील	maːrgaːʋriːl
मार्गिका	maːrgiːkə
मार्गी	maːrgiː
मार्च	maːrʈʂ
मार्चच्या	maːɾtɕə
मार्चनंतर	maːrʈʃənəntər
मार्चपर्यंत	maːɾtʃpəɾjənt̪
मार्चपासून	maːrʈʂpaːsuːn
मार्चपूर्वी	maːɾtʃpuːrv̪iː
मार्चमध्ये	maːɾtɕəmd̪ʱe
मार्चला	maːrʈʂəla
मार्टिन	maːrʈiːn
मार्टिना	maːrʈiːnə
मार्टिनेझने	maːɾʈiɳeʐne
मार्टिनेझविरुद्ध	maːɾʈiɳeːʈʈʋɪɾʊd̪ʰ
मार्टिनो	maːrʈiːnoː
मार्टीन	maːr̥ʈiːn̪
मार्टीनेझ	maːɾtiːneʐʱ
मार्फत	maːɾpʰəɾʈ
मार्मिक	maːrmɪk
माऱ्याचा	maːɾjəʧə
माऱ्यापुढे	maːrɯəpuɖe
माऱ्यामुळे	maːrɯːmuɭe
माऱ्याला	maːrjɑːlɑː
माऱ्यावर	maːrɪvaːr
माऱ्यासमोर	maːɾjɑːsɑːmoɾ
मार्लन	maːrl̪ən
मार्श	maːrʂ
मार्शने	maːrʂne
मार्शल	maːɾʂəl
मार्शला	maːɾʂɭə
मार्सिया	maːɾsɪjə
मार्सेलो	maːɾsɛloː
माल	maːl
मालक	maːlək
मालकाचा	maːlkaːtʃə
मालकांची	maːl̪kəɳtʃi
मालकांचे	maːlkəntʃe
मालकांना	maːlkaːɳɳa
मालकांनी	maːl̪kəɳɳiː
मालकाने	maːlkɑːne
मालकाला	maːl̪kɑːl̪ə
मालकांसाठी	maːlkɑːnʃɑːtʃi
मालकिच्या	maːl̪kɪtɕʰə
मालकी	maːlkiː
मालकीची	maːlkɪtʃi
मालकीच्या	maːlkɪtʃʰe
मालकीण	maːlkiːɳ
मालकोम	maːlkoːm
मालती	maːl̪t̪iː
मालदीव	maːl̪d̪iːʋ
मालदीवमध्ये	maːl̪d̪iːʋəmd̪ʱe
मालदीवला	maːl̪d̪iːʋlə
मालपुवा	maːlpʊʋaː
मालमत्ता	maːləmt̪ə
मालमत्तांमध्ये	maːləmat̪t̪aːmʈʰe
मालमत्तेचे	maːləmat̪ːeʈʈe
मालमत्तेच्या	maːləmat̪ːeːtʃʰə
मालमत्तेला	maːləmat̪t̪eːlə
मालवण	maːlʋəɳ
मालवणकर	maːlʋəɳkəɾ
मालवणी	maːlʋəɳi
मालवली	maːlʋəli
मालविका	maːlʋɪkə
मालविकाने	maːlʋɪkaːne
मालाड	maːlaːɖ
मालिका	maːlɪkə
मालिकांचा	maːlɪkəɳtʃə
मालिकांची	maːlɪkəɳtʃi
मालिकांचे	maːlɪkəɳtʃe
मालिकांच्या	maːl̪ɪkəɳɭ̆a
मालिकांद्वारे	maːlɪkɑːɳd̪ʋaːrɛ
मालिकांना	maːlɪkɑːɳɑː
मालिकांनी	maːl̪ɪkəɳɳiː
मालिकांपेक्षा	maːlɪkəŋpeːkʂə
मालिकांपैकी	maːlɪkə̃ːpɛkiː
मालिकांबरोबरच	maːlɪkɑːmbəɾoːbɾəʈʈʰ
मालिकांमधील	maːlɪkɑːmɖʱiːl
मालिकांमधून	maːlɪkɑːmɖʱuːn
मालिकांमध्ये	maːlɪkɑːmʱɳe
मालिकांमध्येही	maːlɪkɑːmʈʰehiː
मालिकांमुळे	maːlɪkãːmuɭe
मालिकाविजय	maːlɪkaːʋɪdʒə
मालिकावीर	maːlɪkaːʋiːr
मालिकावीराचा	maːlɪkaːʋeːɾɔtʃə
मालिकासुद्धा	maːlɪkaːsʊd̪ʰːɑː
मालिकांसोबतच	maːlɪkɑːnsɔːbʌtʃ
मालिकाही	maːlɪkaːhiː
मालिके	maːl̪ɪke
मालिकेचं	maːl̪iːkɛtɕə
मालिकेचा	maːl̪iːkɛtʃa
मालिकेची	maːlɪkeʈʃiː
मालिकेचे	maːl̪iːkɛtʃe
मालिकेच्या	maːl̪iːkeʈʲə
मालिकेत	maːlɪkɛt̪
मालिकेतला	maːl̪iːkɛʈ̪laː
मालिकेतली	maːl̪iːkɛʈliː
मालिकेतल्या	maːl̪ɪkɛʈʎɛ
मालिकेतही	maːl̪ɪkɛt̪ʰi
मालिकेतील	maːl̪ɪk̪eʈiːl̪
मालिकेतून	maːl̪iːkɛtuːn̪
मालिकेदरम्यान	maːl̪iːkɛd̪əɾmjaːn
मालिकेद्वारे	maːl̪iːkɛd̪ʋaːrɛ
मालिकेनंतर	maːlɪkənt̪əɾ
मालिकेनंतर	maːlɪkɛn̪t̪əɾ
मालिकेने	maːl̪iːk̪eːne
मालिकेपाठोपाठ	maːlɪkepaːʈoʈaːʈ
मालिकेपासून	maːl̪ɪk̪eːpaːs̪un̪
मालिकेपूर्वी	maːlɪkɛːpuːrʋiː
मालिकेबद्दल	maːl̪iːkɛbɑɖɖəl
मालिकेबाबत	maːl̪iːk̪eːb̪aːb̪ət̪
मालिकेमधील	maːl̪iːk̪eːmɾ̩iːl̪
मालिकेमधून	maːl̪iːk̪eːməd̪ʱuːn
मालिकेमध्ये	maːl̪iːk̪eːmʱəɳʈʰeː
मालिकेमध्येच	maːl̪iːk̪eməɖʱeːtʃ
मालिकेमुळे	maːl̪iːk̪eːmuɭ̆e
मालिकेला	maːlɪkeːlə
