aberaeron	abɛreɨ̯rɔn
graeanu	ɡreɨ̯anɨ̞
graff	ɡraf
graff	ɡraːf
gramadeg	ɡramadɛɡ
grasus	ɡrasɨ̞s
grau	ɡraɨ̯
grawn	ɡrau̯n
grawnwin	ɡrau̯nwɪn
gre	ɡreː
greda	ɡrɛda
gredi	ɡrɛdɪ
gredo	ɡrɛdɔ
gref	ɡreːv
grefi	ɡrɛvi
greto	ɡrɛtɔ
grid	ɡrɪd
gril	ɡrɪl
griliau	ɡrɪlja
griliau	ɡrɪljaɨ̯
griliau	ɡrɪljɛ
grilio	ɡrɪljɔ
gris	ɡriːs
grisiau	ɡrɪʃa
gro	ɡroː
groes	ɡroːɨ̯s
groeso	ɡrɔɨ̯sɔ
grog	ɡroːɡ
gronell	ɡrɔnɛɬ
gronellau	ɡrɔnɛɬa
gronellau	ɡrɔnɛɬaɨ̯
gronellau	ɡrɔnɛɬɛ
gronyn	ɡrɔnɨ̞n
gronynnog	ɡrɔnənɔɡ
grug	ɡrɨːɡ
gruga	ɡrɨ̞ɡa
grugo	ɡrɨ̞ɡɔ
grugos	ɡrɨɡɔs
grwban	ɡrʊban
grwpiau	ɡrʊpja
grwpiau	ɡrʊpjaɨ̯
grwpiau	ɡrʊpjɛ
grwth	ɡruːθ
grwys	ɡruːɨ̯s
gryf	ɡrɨːv
grym	ɡrɨ̞m
grymus	ɡrəmɨ̞s
grêt	ɡreːt
grôt	ɡroːt
grŵp	ɡruːp
gu	ɡɨː
gusan	ɡɨ̞san
gusanau	ɡɨ̞sana
gusanau	ɡɨ̞sanaɨ̯
gusanau	ɡɨ̞sanɛ
gusanu	ɡɨ̞sanɨ̞
gut	ɡɨ̞t
gwach	ɡwaːχ
gwacter	ɡwaktɛr
gwactod	ɡwaktɔd
gwacáu	ɡwakaɨ̯
gwadd	ɡwaːð
gwadden	ɡwaðɛn
gwaddod	ɡwaðɔd
gwaddodi	ɡwaðɔdɪ
gwaddodiad	ɡwaðɔdjad
gwadiad	ɡwadjad
gwadn	ɡwaːdn̥
gwadu	ɡwadɨ̞
gwae	ɡwaːɨ̯
gwaed	ɡwaːɨ̯d
gwaedd	ɡwaːɨ̯ð
gwaedded	ɡweɨ̯ðɛd
gwaedu	ɡweɨ̯dɨ
gwael	ɡwaːɨ̯l
gwaell	ɡwaːɨ̯ɬ
gwaelod	ɡweɨ̯lɔd
gwaeth	ɡwaːɨ̯θ
gwaethaf	ɡweɨ̯θa
gwaethaf	ɡweɨ̯θav
gwag	ɡwaːɡ
gwagedd	ɡwaɡɛð
gwagen	ɡwaɡɛn
gwagio	ɡwaɡjɔ
gwahadden	ɡwaðɛn
gwahaddod	ɡwahaðɔd
gwahaniaeth	ɡwahanjaɨ̯θ
gwahaniaeth	ɡwahanjaθ
gwahaniaeth	ɡwahanjɛθ
gwahaniaeth	ɡwanjaθ
gwahaniaeth	ɡwanjɛθ
gwahaniaethiad	ɡwahanjeɨ̯θjad
gwahaniaethu	ɡwahanjeɨ̯θɨ
gwahaniaethu	ɡwanjeɨ̯θɨ
gwahanol	ɡwahanɔl
gwahanu	ɡwahanɨ
gwahardd	ɡwaharð
gwahodd	ɡwahoːð
gwahodd	ɡwahɔð
gwahân	ɡwahaːn
gwain	ɡwai̯n
gwair	ɡwai̯r
gwaith	ɡwai̯θ
gwal	ɡwal
gwaladr	ɡwaladr
gwalch	ɡwalχ
gwall	ɡwaɬ
gwallt	ɡwaːɬd
gwallus	ɡwaɬɨ̞s
gwan	ɡwan
gwanu	ɡwanɨ̞
gwanwyn	ɡwanwɨ̞n
gwanwynau	ɡwanwəna
gwanwynau	ɡwanwənaɨ̯
gwanwynau	ɡwanwənɛ
gwar	ɡwar
gwarchod	ɡwarχɔd
gwared	ɡwarɛd
gwaredu	ɡwarɛdɨ
gwariant	ɡwarjant
gwario	ɡwarjɔ
gwariodd	ɡwarjɔð
gwarthal	ɡwarθal
gwarthegydd	ɡwarθɛɡɨ̞ð
gwarthegyddion	ɡwarθɛɡəðjɔn
gwas	ɡwaːs
gwasanaeth	ɡwasanaɨ̯θ
gwasanaeth	ɡwasanaθ
gwasanaeth	ɡwasanɛθ
gwasanaethau	ɡwasaneɨ̯θa
gwasanaethau	ɡwasaneɨ̯θaɨ̯
gwasanaethau	ɡwasaneɨ̯θɛ
gwasg	ɡwasɡ
gwasgaru	ɡwasɡarɨ
gwasgod	ɡwaskɔd
gwasgu	ɡwasɡɨ̞
gwastad	ɡwasdad
gwastatáu	ɡwastataɨ̯
gwastraff	ɡwasdraf
gwastraffu	ɡwasdrafɨ̞
gwau	ɡwaɨ̯
gwaun	ɡwaɨ̞n
gwawch	ɡwau̯χ
gwawd	ɡwau̯d
gwawl	ɡwau̯l
gwawn	ɡwau̯n
gwawr	ɡwau̯r
gwayw	ɡweɨ̯ʊ
gwaywffon	ɡweɨ̯wfɔn
gwaywffyn	ɡweɨ̯wfɨ̞n
gwbl	ɡʊbl
gwbl	ɡʊbʊl
gwch	ɡʊχ
gwchi	ɡʊχi
gwddf	ɡʊðu
gwddf	ɡʊðv
gwddf	ɡʊðʊv
gwddw	ɡʊðu
gwddwg	ɡʊðʊɡ
gwdihŵ	ɡʊdɪhuː
gwe	ɡweː
gwead	ɡweːad
gweadedd	ɡwɛadɛð
gwedd	ɡweːð
gweddi	ɡwɛðɪ
gweddill	ɡwɛðɪɬ
gweddol	ɡwɛðɔl
gweddw	ɡwɛðu
gweddwon	ɡwɛðwɔn
gweddïau	ɡwɛðiːa
gweddïau	ɡwɛðiːaɨ̯
gweddïau	ɡwɛðiːɛ
gweddïo	ɡwɛðiːɔ
gweddïon	ɡwɛðɪɔn
gweddïwr	ɡwɛðiːʊr
gweddïwyr	ɡwɛðiːwɨ̞r
gweedig	ɡwɛɛdiɡ
gwefan	ɡwɛvan
gwefr	ɡwɛvr
gwegil	ɡwɛɡɪl
gweiddi	ɡwei̯ði
gweilch	ɡwei̯lχ
gweill	ɡwei̯ɬ
gweillen	ɡwei̯ɬɛn
gweinidog	ɡwei̯nɪdɔɡ
gweinidogion	ɡwei̯nɪdɔɡjɔn
gweinydd	ɡwei̯nɨ̞ð
gweinyddes	ɡwei̯nəðɛs
gweinyddesau	ɡwei̯nəðɛsa
gweinyddesau	ɡwei̯nəðɛsaɨ̯
gweinyddesau	ɡwei̯nəðɛsɛ
gweinyddiad	ɡwei̯nəðjad
gweinyddiadau	ɡwei̯nəðjada
gweinyddiadau	ɡwei̯nəðjadaɨ̯
gweinyddiadau	ɡwei̯nəðjadɛ
gweinyddiaeth	ɡwei̯nəðjaɨ̯θ
gweinyddiaeth	ɡwei̯nəðjɛθ
gweinyddiaethau	ɡwei̯nəðjeɨ̯θa
gweinyddiaethau	ɡwei̯nəðjeɨ̯θaɨ̯
gweinyddiaethau	ɡwei̯nəðjeɨ̯θɛ
gweinyddion	ɡwei̯nəðjɔn
gweinyddol	ɡwei̯nəðɔl
gweinyddu	ɡwei̯nəðɨ
gweinyddwr	ɡwei̯nəðʊr
gweinyddwyr	ɡwei̯nəðwɨ̞r
gweiriau	ɡwei̯rja
gweiriau	ɡwei̯rjaɨ̯
gweiriau	ɡwei̯rjɛ
gweision	ɡwei̯ʃɔn
gweithdy	ɡwei̯θdɨ̞
gweithgar	ɡwei̯θɡar
gweithgaredd	ɡwei̯θɡarɛð
gweithio	ɡwei̯θjɔ
gweithiwr	ɡwei̯θjʊr
gweithlu	ɡwei̯θlɨ
gweithluoedd	ɡwei̯θlɨːɔɨ̯ð
gweithred	ɡwei̯θrɛd
gweithredoedd	ɡwei̯θrɛdɔɨ̯ð
gweithredu	ɡwei̯θrɛdɨ
gweithwyr	ɡwei̯θwɨ̞r
gweladwy	ɡwɛladʊɨ̯
gwelais	ɡwɛlai̯s
gwelais	ɡwɛlɛs
gwelais	ɡwɛlɛʃ
gwelais	ɡwɛlɪʃ
gwelaist	ɡwɛlai̯st
gwelaist	ɡwɛlɛst
gweld	ɡwɛld
gweled	ɡwɛlɛd
gweledig	ɡwɛlɛdɪɡ
gwelen	ɡwɛlɛn
gweler	ɡwɛlɛr
gweles	ɡwɛlɛs
gwelet	ɡwɛlɛt
gwell	ɡwɛɬ
gwella	ɡwɛɬa
gwelliant	ɡwɛɬjant
gwellt	ɡweːɬd
gwellta	ɡwɛɬda
gwelsen	ɡwɛlsɛn
gwelwch	ɡwɛlʊχ
gwelwn	ɡwɛlʊn
gwely	ɡwɛlɨ̞
gwelydd	ɡwɛlɨ̞ð
gwen	ɡwɛn
gwenan	ɡwɛnan
gwenci	ɡwɛŋki
gwendid	ɡwɛndɪd
gwenen	ɡwɛnɛn
gwenith	ɡwɛnɪθ
gwenithfaen	ɡwɛnɪθvaɨ̯n
gwennol	ɡwɛnɔl
gwenoliaid	ɡwɛnɔljai̯d
gwenoliaid	ɡwɛnɔljɛd
gwenu	ɡwɛnɨ̞
gwenwyn	ɡwɛnwɨ̞n
gwenwynu	ɡwɛnwənɨ
gwenyn	ɡwɛnɨ̞n
gwenynen	ɡwenənan
gwenynen	ɡwenənɛn
gweoedd	ɡweːɔɨ̯ð
gwep	ɡwɛp
gwerdd	ɡwɛrð
gwerddon	ɡwɛrðɔn
gwerddonau	ɡwɛrðɔna
gwerddonau	ɡwɛrðɔnaɨ̯
gwerddonau	ɡwɛrðɔnɛ
gwerin	ɡwɛrɪn
gweriniaeth	ɡwɛrɪnjaɨ̯θ
gweriniaeth	ɡwɛrɪnjɛθ
gweriniaethau	ɡwɛrɪnjeɨ̯θa
gweriniaethau	ɡwɛrɪnjeɨ̯θaɨ̯
gweriniaethau	ɡwɛrɪnjeɨ̯θɛ
gwerinwr	ɡwɛrɪnʊr
gwerinwyr	ɡwɛrɪnwɨ̞r
gwern	ɡwɛrn
gwernen	ɡwɛrnɛn
gwernog	ɡwɛrnɔɡ
gwers	ɡwɛrs
gwerslyfr	ɡwerslɨ̞vr
gwerslyfr	ɡwerslɨ̞vɨ̞r
gwerth	ɡwɛrθ
gwerthfawrogi	ɡwɛrθvau̯rɔɡɪ
gwerthiant	ɡwɛrθjant
gwerthu	ɡwɛrθɨ̞
gwerthwr	ɡwɛrθʊr
gwerthwyr	ɡwɛrθwɨ̞r
gweryd	ɡwɛrɨ̞d
gwesgyr	ɡwɛsɡɨ̞r
gwest	ɡweːsd
gwestai	ɡwɛsdai̯
gwesteion	ɡwɛsdei̯ɔn
gwestiwn	ɡwɛsdjʊn
gwesty	ɡwɛsdɨ̞
gweu	ɡweɨ̯
gweud	ɡweɨ̯d
gweunydd	ɡweɨ̯nɨ̞ð
gwg	ɡuːɡ
gwib	ɡwiːb
gwiber	ɡwɪbɛr
gwiberlys	ɡwɪbɛrlɨ̞s
gwiberod	ɡwɪbɛrɔd
gwibredyn	ɡwɪbrɛdɨ̞n
gwig	ɡwiːɡ
gwin	ɡwiːn
gwinau	ɡwɪnaɨ̯
gwinoedd	ɡwɪnɔɨ̯ð
gwir	ɡwiːr
gwirf	ɡwɪrv
gwirfoddol	ɡwɪrvɔðɔl
gwirfwy	ɡwɪrvʊɨ̯
gwirion	ɡwɪrjɔn
gwirod	ɡwɪrɔd
gwirodlyn	ɡwɪrɔdlɨ̞n
gwisg	ɡwiːsɡ
gwisga	ɡwɪsɡa
gwisgo	ɡwɪsɡɔ
gwiw	ɡwɪu̯
gwiwer	ɡwɪu̯ar
gwiwerod	ɡwɪu̯ɛrɔd
gwlad	ɡwlaːd
gwladaidd	ɡwladai̯ð
gwladaidd	ɡwladɛð
gwladfa	ɡwladva
gwladfeydd	ɡwladveɨ̯ð
gwladgar	ɡwladɡar
gwladgarol	ɡwladɡarɔl
gwladgarwr	ɡwladɡarʊr
gwladgarwyr	ɡwladɡarwɨ̞r
gwladol	ɡwladɔl
gwlana	ɡwlana
gwlanog	ɡwlanɔɡ
gwledd	ɡwleːð
gwledig	ɡwlɛdɪɡ
gwledydd	ɡwlɛdɨ̞ð
gwleidydd	ɡwlei̯dɨ̞ð
gwleidyddol	ɡwlei̯dəðɔl
gwlith	ɡwliːθ
gwlithen	ɡwlɪθan
gwlithen	ɡwlɪθɛn
gwlithlaw	ɡwlɪθlau̯
gwlw	ɡʊlu
gwlyb	ɡwlɨːb
gwlybaniaeth	ɡwləbanjaɨ̯θ
gwlybaniaeth	ɡwləbanjaθ
gwlybaniaeth	ɡwləbanjɛθ
gwlych	ɡwlɨːχ
gwlychu	ɡləχi
gwlychu	ɡwləχɨ
gwlypach	ɡwləpaχ
gwlypaf	ɡwləpav
gwlân	ɡwlaːn
gwm	ɡʊm
gwnaer	ɡwnaːɨ̯r
gwnaeth	naːθ
gwnaeth	ɡnaːθ
gwnaeth	ɡwnaːɨ̯θ
gwnaethoch	ɡwneɨ̯θɔχ
gwnaethon	ɡwneɨ̯θɔn
gwnaethpwyd	ɡwneɨ̯θpʊɨ̯d
gwnes	ɡwneːs
gwpan	ɡʊpan
gwrando	ɡwrandɔ
gwrdd	ɡʊrð
gwregys	ɡwrɛɡɨ̞s
gwreiddio	ɡwrei̯ðjɔ
gwreiddioldeb	ɡwrei̯ðjɔldab
gwreiddioldeb	ɡwrei̯ðjɔldɛb
gwreiddyn	ɡwrei̯ðɨ̞n
gwrendy	ɡwrɛndɨ
gwres	ɡwreːs
gwresogi	ɡwrɛsɔɡɪ
gwrthdaro	ɡʊrθdarɔ
gwrthdaro	ɡʊrθdaːrɔ
gwrthdystio	ɡʊrθdəsdjɔ
gwrthgyferbyniol	ɡʊrθɡəvɛrbənjɔl
gwrthryfela	ɡʊrθrəvɛla
gwrthryfelgar	ɡʊrθrəvɛlɡar
gwrthryfeloedd	ɡʊrθrəvɛlɔɨ̯ð
gwrthryfelwr	ɡʊrθrəvɛlʊr
gwrthryfelwyr	ɡʊrθrəvɛlwɨ̞r
gwrywaidd	ɡʊrəu̯ai̯ð
gwrywaidd	ɡʊrəu̯ɛð
gwsberen	ɡʊsbɛran
gwsberen	ɡʊsbɛrɛn
gwybed	ɡwəbɛd
gwybodus	ɡwɨ̞bɔdɨ̞s
gwych	ɡwɨːχ
gwychach	ɡwəχaχ
gwyched	ɡwəχɛd
gwyddau	ɡʊɨ̯ða
gwyddau	ɡʊɨ̯ðaɨ̯
gwyddau	ɡʊɨ̯ðɛ
gwyddbwyll	ɡwɨ̞ðbʊɨ̯ɬ
gwydden	ɡwɨ̞ðɛn
gwyddfid	ɡwɨ̞ðvɪd
gwyddonol	ɡwɨ̞ðɔnɔl
gwyddonwyr	ɡwɨ̞ðɔnwɨ̞r
gwyddonydd	ɡwɨ̞ðɔnɨ̞ð
gwyddor	ɡwɨ̞ðɔr
gwydr	ɡwɨ̞dr
gwydr	ɡwɨ̞dɨ̞r
gwydraid	ɡwədrai̯d
gwydrau	ɡwədrɑ
gwydryn	ɡwədrɨ̞n
gwyfyn	ɡwəvɨ̞n
gwylaeth	ɡwəlaɨ̯θ
gwylaeth	ɡwəlaθ
gwylaeth	ɡwəlɛθ
gwylan	ɡʊɨ̯lan
gwylanod	ɡʊɨ̯lanɔd
gwylanwydd	ɡʊɨ̯lanʊɨ̯ð
gwyliau	ɡwɨ̞lja
gwyliau	ɡwɨ̞ljaɨ̯
gwyliau	ɡwɨ̞ljɛ
gwyliedydd	ɡwɨ̞ljɛdɨ̞ð
gwyliedyddion	ɡwɨ̞ljɛdəðjɔn
gwylio	ɡwɨ̞ljɔ
gwylio	ɡwɪljɔ
gwyll	ɡwɨ̞ɬ
gwylog	ɡʊɨ̯lɔɡ
gwylogod	ɡʊɨ̯lɔɡɔd
gwyn	ɡwɨ̞n
gwynnach	ɡwənaχ
gwynnu	ɡwənɨ̞
gwynt	ɡwɨ̞nt
gwyntog	ɡwɨ̞ntɔɡ
gwyrdd	ɡwɨ̞rð
gwyrddfaen	ɡwərðvaɨ̯n
gwyrddion	ɡwərðjɔn
gwâl	ɡwaːl
gwâr	ɡwaːr
gwäell	ɡwaːɛɬ
gwêl	ɡweːl
gwên	ɡweːn
gwëyll	ɡweːɨ̞ɬ
gwŷdd	ɡwɨːð
gwŷl	ɡwɨːl
gyda	ɡɨ̞da
gyfaredd	ɡəvarɛð
gyfarfod	ɡwarvɔd
gyfarfod	ɡəvarvɔd
gyfforddus	ɡəfɔrðɨ̞s
gyffrous	ɡəfrɔɨ̯s
gyfiawnder	ɡəvjau̯ndɛr
gyflym	ɡəvlɨ̞m
gyflymach	ɡəvləmaχ
gyfoethoced	ɡəvɔɨ̯θɔkɛd
gyfoethog	ɡəvɔɨ̯θɔɡ
gyfoethogion	ɡəvɔɨ̯θɔɡjɔn
gyfraith	ɡəvrai̯θ
gyfraith	ɡəvraθ
gyfraith	ɡəvrɛθ
gyfreithiwr	ɡəvrei̯θjʊr
gyfrifol	ɡəvrɪvɔl
gyfun	ɡəvɨ̞n
gylch	ɡɨ̞lχ
gylchgrawn	ɡəlχɡrau̯n
gylchgrawn	ɡɨ̞lχɡrau̯n
gylfin	ɡəlvɪn
gylfinau	ɡəlvɪna
gylfinau	ɡəlvɪnaɨ̯
gylfinau	ɡəlvɪnɛ
gylfinir	ɡəlvɪnɪr
gylfinirod	ɡəlvɪnɪrɔd
gyll	ɡɨ̞ɬ
gyllell	ɡəɬaɬ
gyllell	ɡəɬɛɬ
gymaint	ɡəmai̯nt
gymaint	ɡəmɛnt
gymdeithas	ɡəmdei̯θas
gymedrolwr	ɡəmɛdrɔlʊr
gymedrolwyr	ɡəmɛdrɔlwɨ̞r
gymnasteg	d͡ʒɨ̞mnasdɛɡ
gymnasteg	ɡɨ̞mnasdɛɡ
gymnastwr	d͡ʒɨ̞mnasdʊr
gymnastwr	ɡɨ̞mnasdʊr
gymorth	ɡəmɔrθ
gymryd	ɡəmrɨ̞d
gymylog	ɡəməlɔɡ
gynffon	ɡənfɔn
gyngerdd	ɡəŋɛrð
gynghrair	ɡəŋhrai̯r
gynghrair	ɡəŋhrɛr
gyngor	ɡəŋɔr
gynnon	ɡənɔn
gyrdd	ɡɨ̞rð
gyrfa	ɡərva
gyrru	ɡərɨ̞
gysgu	ɡəsɡɨ
gyson	ɡəsɔn
gystadlu	ɡəsdadlɨ
gythreuliaid	ɡəθreɨ̯ljai̯d
gythreuliaid	ɡəθreɨ̯ljɛd
gâl	ɡaːl
gât	ɡaːt
gêm	ɡeːm
gên	ɡeːn
gïau	ɡiːa
gïau	ɡiːaɨ̯
gïau	ɡiːɛ
gôl	ɡoːl
gôr	ɡoːr
gôt	ɡoːt
gŵydd	ɡuːɨ̯ð
gŵyl	ɡuːɨ̯l
gŵyl	ɡwɪljai̯
gŵyl	ɡʊi̯ljai̯
gŵyll	ɡuːɨ̯ɬ
habad	habad
habadaeth	habadaɨ̯θ
habadaeth	habadɛθ
habadaethau	habadeɨ̯θa
habadaethau	habadeɨ̯θaɨ̯
habadaethau	habadeɨ̯θɛ
habadau	habada
habadau	habadaɨ̯
habadau	habadɛ
habadesau	habadɛsa
habadesau	habadɛsaɨ̯
habadesau	habadɛsɛ
habaty	habatɨ
haber	habɛr
habwyd	habʊɨ̯d
habwydyn	habʊɨ̯dɨ̞n
hach	haːχ
hachos	haχɔs
hachosi	haχɔsi
hachub	haχɨ̞b
hachubwr	haχɨ̞bʊr
hachubwyr	haχɨ̞bwɨ̞r
hactor	haktɔr
hactoresau	haktɔrɛsa
hactoresau	haktɔrɛsaɨ̯
hactoresau	haktɔrɛsɛ
hactorion	haktɔrjɔn
hadar	hadar
hadeilad	hadei̯lad
haden	hadɛn
hadog	hadoɡ
hadolygu	hadɔləɡɨ̞
hadran	hadran
hadu	hadɨ̞
hael	haːɨ̯l
haethnen	heɨ̯θnɛn
haidd	hai̯ð
hail	hai̯l
haint	hai̯nt
hais	hais
halen	halan
halen	halɛn
halibalŵ	halɪbaluː
halid	halɪd
halio	haljɔ
hallt	haːɬd
halmanac	halmanak
halmanaciau	almanakja
halmanaciau	almanakjaɨ̯
halmanaciau	almanakjɛ
halogen	halɔɡɛn
hamgylch	hamɡɨ̞lχ
hamharu	hamharɨ̞
hamod	hamɔd
hamser	hamsar
hamser	hamsɛr
hangen	haŋan
hangen	haŋɛn
hangor	haŋɔr
haniaethol	hanjeɨ̯θɔl
hanifail	hanɪvai̯l
hanifail	hanɪvɛl
hanodd	hanɔð
haprif	haprɪv
hapus	hapɨ̞s
harddangos	harðaŋɔs
hardded	harðɛd
harglwydd	harɡlʊɨ̯ð
hargraffwr	harɡrafʊr
hargraffydd	harɡrafɨ̞ð
haros	harɔs
hathro	haθrɔ
hawliau	haʊ̯lja
hawliau	haʊ̯ljaɨ̯
hawlio	hau̯ljɔ
hechrydu	hɛχrədɨ
hechrydus	hɛχrədɨ̞s
hedd	heːð
heddferch	hɛðvɛrχ
heddwas	hɛðwas
hedfan	hɛdvan
hedyn	hɛdɨ̞n
hefyd	hɛvɨ̞d
heirdd	hei̯rð
heirin	hei̯rɪn
heirlys	hei̯rlɨ̞s
heirlysiau	hei̯rləʃa
heirlysiau	hei̯rləʃaɨ̯
heirlysiau	hei̯rləʃɛ
hela	hɛla
helc	hɛlk
heli	hɛlɪ
help	hɛlp
helpoch	hɛlpɔχ
helpodd	hɛlpɔð
helpon	hɛlpɔn
helpu	hɛlpɨ̞
helpwyr	hɛlpwɨ̞r
helwr	hɛlʊr
helwyr	hɛlwɨ̞r
helyg	hɛlɨ̞ɡ
helyg	hɛlɪɡ
helyntion	hɛləntjɔn
helyntoedd	hɛləntɔɨ̯ð
hemisffer	hɛmɪsfɛr
hen	heːn
henadur	hɛnadɨ̞r
henaint	hɛnai̯nt
hendrefa	hɛndrɛva
hendrefi	hɛndrɛvi
hendrefydd	hɛndrɛvɨ̞ð
hennill	hɛnɪɬ
heno	hɛnɔ
heog	hɛɔɡ
heol	heːɔl
her	hɛr
heraill	hɛraiɬ
heraill	hɛrɪɬ
herwhela	hɛrwhɛla
herwydd	hɛrwɨ̞ð
hesg	heːsɡ
hesgen	hɛsɡɛn
hesgob	hɛsɡɔb
het	hɛt
hetiwr	hɛtjʊr
heuldro	heɨ̯ldrɔ
heuliog	heɨ̯ljɔɡ
heulog	heɨ̯lɔɡ
heulsaf	heɨ̯lsav
heulwen	heɨ̯lwɛn
hi	hiː
hiaaidd	hjaːai̯ð
hidlydd	hɪdlɨ̞ð
hidlyddion	hɪdləðjɔn
hil	hiːl
hiliaeth	hɪljaɨ̯θ
hiliaeth	hɪljɛθ
hiliwr	hɪlɪʊr
hilydd	hɪlɨ̞ð
hilyddol	hɪlɪðɔl
hin	hiːn
hinon	hɪnɔn
hinsawdd	hɪnsau̯ð
hir	hiːr
hirgron	hɪrɡrɔn
hirgrynion	hɪrɡrənjɔn
hirgul	hɪrɡɨ̞l
hirion	hɪrjɔn
hirnod	hɪrnɔd
hirsgwar	hɪrsɡwar
hiâ	hjaː
hoci	hɔkɪ
hoe	hoːɨ̯
hoed	hoːɨ̯d
hoelio	hɔi̯ljɔ
hoelio	hɔɨ̯ljɔ
hoen	hoːɨ̯n
hoetian	hɔɨ̯tjan
hoff	hoːf
hoffest	hɔfɛsd
hoffwn	hɔfʊn
hogiau	hɔɡja
hogiau	hɔɡjaɨ̯
hogiau	hɔɡjɛ
hogldy	hɔɡldɨ̞
hogyn	hɔɡɨ̞n
holi	hɔli
hon	hɔn
hongl	hɔŋl
honna	hɔna
honni	hɔnɪ
honno	hɔnɔ
hun	hɨːn
huna	hɨ̞na
hunangofiaint	hɨ̞nanɡɔvjai̯nt
hunanladdol	hɨ̞nanlaðɔl
hunanladdwr	hi̞nanɬaðʊr
hunanladdwyr	hɨ̞nanlaðwɨ̞r
hunanynysu	hɨnanənəsɨ
hunarddeg	hɨːnarðeːɡ
hurt	hɨ̞rt
hurten	hɨ̞rtɛn
hurtyn	hɨ̞rtɨ̞n
hwnnw	hʊnʊ
hychod	həχɔd
hyd	hɨːd
hydawdd	hədau̯ð
hydoddaf	hədɔða
hydoddaf	hədɔðav
hydoddedd	hədɔðɛð
hydoddedig	hədɔðɛdɪɡ
hydoddeiddio	hədɔðei̯ðjɔ
hydoddi	hədɔðɪ
hydoddiannau	hədɔðjana
hydoddiannau	hədɔðjanaɨ̯
hydoddiannau	hədɔðjanɛ
hydoddiant	hədɔðjant
hydoddion	hədɔðjɔn
hydoddydd	hədɔðɨ̞ð
hydref	hədra
hydref	hədrɛ
hydref	hədrɛv
hydrefau	hədrɛva
hydrefau	hədrɛvaɨ̯
hydrefau	hədrɛvɛ
hydrogen	hədrɔɡɛn
hydrogen	hɨ̞drɔɡɛn
hygyrch	həɡɨ̞rχ
hymenyn	həmɛnɨ̞n
hynna	hɨ̞na
hynny	hənɨ̞
hynod	hənɔd
hynt	hɨ̞nt
hyrddod	hərðɔd
hyrwyddo	hərwɨ̞ðɔ
hyrwyddo	hərʊɨ̯ðɔ
hyrwyddwyr	hərwɨ̞ðwɨ̞r
hyrwyddwyr	hərʊɨ̯ðwɨ̞r
hysb	hɨ̞sb
hysbys	həsbɨ̞s
hysbyseb	həsbəsɛb
hysbysebion	həsbəsɛbjɔn
hysbysebu	həsbəsɛbɨ̞
hysbysu	həsbəsɨ̞
hysgadan	həsɡadan
hysgi	həsɡi
i	iː
i'w	ɪu̯
ia	iːa
ia	ja
iaaidd	jaːai̯ð
iach	jaːχ
iarll	jarɬ
iarllaeth	jarɬaɨ̯θ
iarllaeth	jarɬɛθ
ias	jaːs
iasau	jasa
iasau	jasaɨ̯
iasau	jasɛ
iasoer	jasɔɨ̯r
iasol	jasɔl
iau	jaɨ̯
iawn	jau̯n
ichwi	ɪχwi
iddi	ɪði
iddot	iːðɔt
iddych	iːðɨ̞χ
iddyn	ɪðɨ̞n
iddynt	ɪðɨ̞nt
ie	iːɛ
iechyd	jɛχɨ̞d
ieirll	jei̯rɬ
ieithadur	jeiθadɨ̞r
ieithoedd	jei̯θɔɨ̯ð
ieithydd	jei̯θɨ̞ð
imâm	ɪmaːm
in	ɪn
indiwm	ɪndjʊm
indrawn	ɪndrau̯n
innau	ɪna
innau	ɪnaɨ̯
inni	ɪni
iorwg	jɔrʊɡ
ir	iːr
iridiwm	ɪrɪdjʊm
iro	ɪrɔ
is	iːs
is	iːʃ
isaf	ɪsav
isatomig	iːsatɔmɪɡ
iselder	ɪsɛldar
iselder	ɪsɛldɛr
isetholiad	ɪsɛθɔljad
isfyd	iːsvɨːd
islaw	iːslaːu̯
isod	ɪsɔd
isrywogaeth	iːsrɪu̯ɔɡaɨ̯θ
isrywogaeth	iːsrɪu̯ɔɡɛθ
isteitl	iːsdei̯tl
isteitlau	iːsdei̯tlaɨ̯
isteitlau	iːsdei̯tlɛ
isteitlo	iːsdei̯tlɔ
it	ɪt
ith	iːθ
ithfaen	ɪθvaɨ̯n
iti	ɪti
iwch	ɪu̯χ
iwnifform	ɪu̯nɪfɔrm
iwrch	jʊrχ
iyrchod	jərχɔd
iytan	jətan
iâ	jaː
iâr	jaːr
jac	dʒak
jam	d͡ʒam
je	dʒeː
jip	d͡ʒɪp
jips	d͡ʒɪps
jipsen	d͡ʒɪpsan
jipsen	d͡ʒɪpsɛn
jolihoetian	d͡ʒɔlɪhɔɨ̯tjan
jyngl	d͡ʒəŋɡl
jyngls	d͡ʒəŋɡls
jyst	d͡ʒəsd
jîp	d͡ʒiːp
jîps	d͡ʒiːps
jôc	d͡ʒoːk
lafant	lavant
lama	lama
lamaod	lamaːɔd
lan	lan
lanach	lanaχ
lanaf	lana
lanaf	lanav
lanast	lanasd
lanast	laːnasd
lanc	laŋk
laned	lanɛd
lanhau	lanhaɨ̯
lansio	lanʃɔ
lanthanwm	lanθanʊm
larswydd	larswɨ̞ð
larts	larts
larts	lart͡ʃ
larwm	larʊm
las	laːs
lasach	lasaχ
lased	lasɛd
lasen	lasɛn
lasgoch	lasɡɔχ
lau	laɨ̯
