א	ʔ
ללכוד	laloχud
ללכידת	lalaχiðat
ללכלך	leleχalχɛ
ללכת	laʁχet
ללמד	ɛlæmæd
ללמוד	ləluːmɔd
ללעג	laˈʔɛg
ללעוג	lelug
ללעוס	laˈluʃ
ללקוח	leloχuʃ
ללקוחה	leloχoχɑ
ללקוחות	lekɔteʃ
ללקט	leket
ללקס	leks
ללקק	lekek
ללשון	leʃon
ללשכה	laʃˈχo
ללשכת	leʃket
למ	ɛm
לם	ɛm
למאבק	lamɑvik
למאגר	laˈmager
למאדים	laˈmaːdim
למאה	laːmɑ
למאוד	laˈmud
למאורה	lamoːra
למאורת	laːoɾθ
למאות	lamot
למאט	lamɑt
למאי	laːmi
למאכל	ləmaχɛl
למאמן	laːman
למאמץ	laˈmaʔ
למאסטר	laˈmastr
למאסר	laˈmaːsɛr
למאפיה	lamˈfi
למאר	laːmar
למארב	lamɛʁv
למארי	laːmaʁi
למארק	lamɑrk
למבוגר	lambogʁ
למבוגרים	lambogˈʁim
למבוי	lamˈbuj
למבורגיני	lambuɾigi
למבחן	lamˈbaχen
למבחנים	lamˈbaħnaʔ
למבנה	lamˈbena
למבצע	ləmbaθaʕ
למבצעים	lambɑtseʕ
למבצר	ləmˈbɛsɛr
למבקרים	lambɛkiɾim
למברט	lamˈbert
למג	lamg
למגדל	lamgaδal
למגורים	lamguˈʁoj
למגזין	lamgaˈzin
למגי	lamgi
למגן	lamgan
למגע	lamga
למגרש	lamgɛʁeʃ
למד	ləˈmad
למדבר	ləmæðβɛr
למדה	ləməða
למדו	ləməduː
למדוד	lamˈduːd
למדור	ləməduːr
למדורה	ləməduːra
למדי	ləmæði
למדיי	ləmədiː
למדים	ləˈmæðim
למדינה	ləmiðinɑ
למדינות	ləmiðjonaːt
למדיניות	ləmiðinijot
למדינת	ləmidaːt
למדנו	ləmædnuː
למדע	ləmɛð
למדעים	ləmæðim
למדרגות	ləmədrigot
למדרכה	lamdɛʁɑχɑ
למדת	ləmɛð
למדתי	ləmədaː
למדתם	ləmɛðtɛm
למה	ləma
למהומה	ləmoːmɑ
למהירות	ləmɑjˈɾit
למהלך	lamχɛlu
למהפכה	lamhapχa
למהר	lamher
לְמַהֵר	ləmaˈheʁ
למו	lo
למודיעין	ləmuːdiˈʔin
למודעה	ləmuːðˈʔa
למוות	ləmoːt
למוזיאון	ləmuziʔon
למוזיקה	ləmozika
למוזר	ləmoːzer
למוח	ləmoχ
למוטב	ləmoːtav
למוטט	ləmoʈː
למוטל	ləmoʈel
למוכר	ləmoχer
למולדת	ləmoˈlɛð
למולי	ləmoˈli
למומחה	ləmoχa
למומחים	ləmoχim
למון	lamon
למונה	ləmoˈnɑ
למוניטין	ləmunitin
למוניקה	ləmoˈnikɑ
למונית	lamoˈnit
למוסד	ləmoˈsad
למוסיקה	ləmoˈsikɑ
למוסך	ləmoːse
למוסקבה	ləmoskeva
למועד	ləmoʕɛd
למועדון	ləmoʕadun
למועדונים	ləmoʕɛdiːn
למועמד	ləmuˈʕɛm
למועצה	ləmuˈʕaʃa
למועצת	ləmuʕaθat
למופע	ləmoˈfeʔ
למופת	ləmoˈpɛt
למוצר	ləmoʈˈsɛr
למוצרי	ləmoʦˈri
למוקד	ləmoqɛd
למור	ləmoɾ
למורגן	lamoɾgan
למורדים	ləmoridmi
למורה	ləmoːrɑ
למורים	ləmoːr
למושב	ləmoʃɛv
למושבה	ləmoʃˈva
למושבעים	ləmoʃˈbɑjim
למושל	ləmoʃel
למות	ləˈmut
למותה	ləmuːθɑ
למותו	ləmoθo
למותי	ləmoθi
למותך	loˈmetəχ
למותם	ləmoːθ
למותנו	loːmeːθo
למזבלה	lamzebla
למזג	lamzɛg
למזוג	lamzog
למזוודה	lamzoʊda
למזון	lamzoːn
למזח	lamzɑχ
למזכיר	lamzɛχir
למזכירה	ləmazkʰiˈra
למזכרת	lamzɛˈχɛʁɛt
למזל	lamzɛl
למזלו	ləmaˈzlo
למזלי	lamzli
למזלך	ləmaˈzɛlχ
למזלנו	ləmazlɔ
למזנון	lamzɔnɔn
למזער	lamˈzɛʁ
למזרח	ləmoʃɑv
למזרן	lamzɛrɛn
למח	ləmaχ
למחוא	ləmaˈχu
למחוז	ləmaχoːz
למחול	ləmaχol
למחוץ	ləmaχots
למחוק	ləmaχɔk
למחות	ləmaχot
למחזה	ləmaˈχeʒa
למחזור	ləmaχzuʁ
למחזמר	ləmaχzaʁɛr
למחזר	ləmaχˈzɛr
למחייתו	ləməχaˈjɔ
למחייתי	ləmaχjɛt
למחייתך	ləmaχˈjaθ
למחילה	ləməχila
למחיר	ləmaχir
למחלה	ləmaχˈla
למחלות	ləmaχloːt
למחלק	ləmaχlaχ
למחלקה	ləmaχˈleχɑ
למחלקת	ləmaχlaχət
למחלת	ləmaχˈlat
למחנאות	ləmaχnaˈot
למחנה	ləmaχˈnɑ
למחנות	ləmɑχˈnɔt
למחסה	ləmaχˈsɑ
למחסן	ləmaχˈsan
למחצה	ləmaχˈθa
למחצית	ləmaχˈθit
למחקר	ləmaχˈkɛr
למחר	ləmaχar
למחרת	ləmaχaˈret
למחשב	ləmaχˈʃev
למחשבה	ləmaχˈʃavɑ
למחשבות	ləmaχˈʃbotɔ
למחשבים	ləmaχˈʃavim
למחתרת	ləmaχˈθɛrɛt
למטבח	ləmatbaχ
למטה	ləˈmate
למטוס	ləmoˈtus
למטופל	lemtoˈfel
למטופלים	ləmotofaloj
למטופלת	lamtoˈpɛlet
למטורף	lemɛtɔrɛf
למטען	ləˈmteːn
למטפל	ləmaθˈpæl
למטפלת	ləmatˈfɛlet
למטר	lametr
למטרה	ləmaˈtʁa
למטרופוליס	lemetropolis
למטרות	lemotruːt
למטרת	lemotˈrɛt
למי	ləmi
למיאמי	ləmiːami
למידה	ləmiðɑ
למידע	liˈmiðə
למיה	ləmiʔ
למיוחד	lamˈjɔχit
למיון	lamˈjon
למיזוג	ləmizuːg
למיטב	lemitɛv
למיטה	ləmiˈtɑ
למיטות	lemitoːt
למייגן	lamigan
למיין	lamajn
למייק	laˈmaik
למייקל	lamajkəl
למיכל	ləmiχal
למילה	ləmiːlə
למילוי	ləmiloj
למיליון	ləmiˈlon
למילים	ləmiːl
למים	ləmeːm
למימד	ləmiːmɛd
למימון	lemimɔn
למין	ləmin
למיס	ləmiːs
למיסה	ləmisɑ
למיץ	ləmiʦ
למיקום	ləmikuːm
למיקי	ləmiki
למירוץ	lamirɔts
למישהו	ləmiˈʃo
למישהי	ləmiʃa
למישל	ləmiʃel
למכבי	ləmaχbi
למכבסה	ləmɛkβɛsɔ
למכה	ləˈmaχa
למכולת	ləmoχolet
למכון	ləmoχon
למכונה	ləmoχona
למכונות	ləmoχone
למכוניות	ləməxoniːtʃ
למכונית	ləmoˈxoniθ
למכוניתו	ləmoˈχoniθo
למכונת	ləmoχɔnɛt
למכור	ləmoχor
למכות	ləmoχot
למכירה	ləməχira
למכירת	ləməχiːrtə
למכלאה	ləmaχˈla
למכללה	ləməχˈla
למכנסיים	ləmaχnəsiːm
למכסה	ləmaˈkse
למכרה	ləmaχra
למכרות	ləmoχrot
למכשיר	ləmaχˈʃiʁ
למכשפה	ləmaχˈʃæfɔ
למכתב	ləmaχtaβ
למל	ɛmɛl
למלא	ləmɑla
למלאך	ləmaˈlaχ
למלאכים	ləmɑlaχim
למלון	ləməloːn
למלחמה	ləməχɑmə
למלחמת	ləmiʁaʕa
למליסה	ləmilisa
למלך	ləməlaχ
למלכה	lamloχa
למלכודת	ləməχuðat
למלכת	lamlekæ
למלמל	ɛmɛlɛmɛl
למלצר	ləmalˈtsər
למלצרית	lamaltsarɪt
למלקולם	ləmoləkuːl
לממונה	lamˈmona
לממונים	lamˈminɔn
לממוצע	lammotsʕ
לממזר	lammazer
לממלכה	lammɛlχɔ
לממלכת	lammalχat
לממן	lamːam
לממש	lammɛmæʃ
לממשל	ləmimʃɛl
לממשלה	lammuʃla
לממשלת	lammuʃla
למנה	lamnɑ
למנהטן	lemɑnˈhɑtɛn
למנהיג	ləminɑχ
למנהל	ləmaˈnɛχ
למנהלת	lamnaːhelat
למנהרה	lamnɛˈʁa
למנוחה	lamnuːχa
למנוע	lamnoʕ
למנות	lamˈnun
למנזר	lamnazar
למניעת	lamniˈʕat
למנכ	lemˈnɛx
למנעול	lamnaˈʕol
למנצח	lemɛnˈtsaχ
למנתח	ləminɑtɑχ
למס	ɫam
למסגד	ləmesgɛd
למסגר	lemˈsger
למסגרת	ɫamˈsgʁat
למסד	lemˈsad
למסדר	lemˈsɛðr
למסדרון	ləmseɖron
למסוף	lemsof
למסוק	lemsoq
למסור	lemsoːr
למסורת	lemsoʁet
למסחר	lemæˈsɛxer
למסחרית	ləmaʃχaˈrit
למסיבה	lemˈsiva
למסיבות	lemsiˈβot
למסיבת	ləmisiβit
למסירה	lemʃiʁa
למסך	ləˈmask
למסלול	ləməsulul
למסלולם	ləmsəlulm
למסמכים	lemasˈmɛχim
למסמר	ləmˈsɛmɛr
למסע	lemˈsɑʕ
למסעדה	lemˈsaðe
למסעדות	ləməsaˈdatə
למסעדת	ləməsaðat
למספיק	lemspiχ
למספר	ləmˈsɛfɛr
למספרה	ləmsəpɾə
למספרים	ləmsəpɾim
למסקנה	lemaskanɑ
למסקנות	lemasknɔt
למעבדה	lavadɛ
למעבדות	lavadˈvut
למעבדת	lavadɛt
למעבורת	lavɛboʁɛt
למעבר	ləmaˈvaʁ
למעגל	ləmagɛl
למעוד	ləmoʕod
למעוך	lavuχ
למעון	lavˈmon
למעונות	lavmonoːt
למעט	lavɛt
למעיל	ləmiʕil
למעין	ləmiʕin
למעלה	ləmaˈʕa
למעלית	lavˈlit
למעמד	lavˈmad
למען	ləˈmaʔan
למענה	ləməˈnɑ
למענו	ləmaˈno
למעני	ləmaˈni
למענך	ləmənaχ
למענכם	ləmaˈvɛxɛm
למענם	ləmɑnɑm
למעננו	ləməˈnu
למעצר	lavˈʦer
למעצרו	ləmaˈʦʁo
למעקב	lavˈkɔv
למעקה	lavˈkɛ
למערב	lavˈɛɾɛv
למערה	ləmaʕra
למערות	lavʁot
למעריצים	lavʁiˈtsim
למערכות	lavarχot
למערכת	ləmaʕaʁeʃ
למעשה	lavˈse
למעשי	ləmaˈʃi
למעשיו	lavˈʃo
למעשים	lavˈʃim
למפגש	ləmpɛgeʃ
למפגשים	ləmpɛɣʃim
למפה	ləmpɑ
למפות	ləmoːt
למפלגה	ləmpalga
למפלצות	ləmpalˈtsot
למפלצת	ləmpalˈtset
למפעל	ləmapˈʔɛl
למפקד	ləmpɛqɛd
למפקדה	ləmpɛkɛdə
למפקדת	ləmpɛqɛdɛ
למפקח	ləmpɛχ
למפרץ	ləmpɾɛs
למפתח	ləmpɛx
למצא	ləmaˈtsa
למצב	ləmaθb
למצבו	ləmaʦˈbo
למצבי	ləmaʦˈbi
למצבים	ləmaʦbɑm
למצגת	ləmatsgat
למצוא	ləmaˈtsuː
למצוץ	ləmaʦˈts
למצות	ləmaˈθoθ
למציאות	ləmaˈtsiʔat
למציאת	ləmaˈtsiʔa
למצלמה	ləmaʦˈlomɑ
למצלמות	ləmaʦlomot
למצמץ	ləmaʦˈmaʦ
למצעד	ləmaˈtsad
למצרים	ləmaʕˈʁiːm
למק	ləmɛk
למקד	lemɛkɛd
למקדש	ləməχeð
למקהלה	lemqɛˈlo
למקום	ləməquːm
למקומה	ləməkuːmɑ
למקומו	ləməkumo
למקומות	lemqɔmɔts
למקומך	ləmokɔmχe
למקור	ləməkuːr
למקלחות	lemkəlaχot
למקלחת	lemkelaχ
למקלט	ləmeklɛt
למקם	ləmɛm
למקס	lemɛkˈs
למקסימום	ləmaχsimo
למקסיקו	lemaksiko
למקפיא	lemkfiʔ
למקצוע	lemkɑtsɔʔ
למקצוען	ləməʦoʕɛn
למקצוענים	ləməʦoʕanim
למקרה	lemkɛra
למקרי	ləmeˈkɾi
למקרים	lemkɛrim
למקרר	lemkɛrɛr
למר	ləmɛr
למראה	ləmiˈʁa
למראית	lamraˈit
למרבה	lamrɑvɑ
למרגלות	lamɛgɛlɔt
למרד	ləmɛɾd
למרדף	lamɛɾdaf
למרוד	ɫɛmˈʁɔd
למרוח	ləmoʁoχ
למרוץ	lamruʦ
למרות	ləmoˈrot
למרחב	ləmɛʁɑv
למרחק	ləmaʁχa
למרחקים	ləmaʁχaːm
למרטי	lamarti
למרטין	lamartin
למרי	lamri
למריבה	ləmiˈriva
למריה	lamɾija
למריסה	ləmiˈɾisa
למרכז	ləmeʁˈʦen
למרפאה	ləmɛˈfa
למרפאת	lamrpaʔ
למרפסת	lamʁapsat
למרץ	ɛmˈʁets
למרק	ləmɛʁk
למרקוס	lamroˈkos
למרשל	ɛmɛʁˈʃɛl
למרתה	lamarta
למרתף	ləməʁatf
למשא	ləmaʃa
למשאיות	ləmaˈʃaːjot
למשאית	ləmaˈʃaʔit
למשבר	ləmaʃbər
למשהו	ləmoʃo
למשוגע	ləmoˈʃoga
למשוך	ləmoʃoχ
למשול	ləmoʃol
למשחק	ləmaʃaχ
למשחקי	ləmaʃkɑj
למשחקים	ləmaʃkɪm
למשטח	ləmaʃtaχ
למשטרה	ləmaʃtˈʁa
למשטרת	ləmeʃteʁet
למשיבון	ləmiʃiˈvon
למשימה	ləmiʃimɑ
למשימות	ləmiʃimtes
למשימת	ləmiʃimtə
למשך	ləˈmoʃ
למשכורת	ləmoʃˈkuʁet
למשכן	ləmaʃˈxon
למשל	ləˈmoʃel
למשלוח	ləmeʃloχ
למשמורת	ləmoʃmoʁt
למשמע	ləmaʃma
למשמר	ləʃmɛʁ
למשמרת	ləmæʃmɛʁɛt
למשנהו	ləməʃənɑ
למשפחה	ləmeʃˈfaχ
למשפחות	ləmeʃfaχo
למשפחת	ləmiʃfaχ
למשפחתה	ləmiʃfaχa
למשפחתו	ləmaʃfaχa
למשפחתי	ləmiʃfaχat
למשפחתך	ləmiʃfaχatχɑ
למשפט	ləmeʃpɑt
למשפטים	ləmiʃpɑtim
למשקאות	ləməʃaʔɔt
למשקה	ləmeʃkɑ
למשקיעים	ləmeʃkiˈʔim
למשקל	ləmeʃkel
למשרד	ləməʃɛʁd
למשרדו	ləməʃaɾo
למשרדי	ləʃaʁdi
למשרדים	ləməʃaɾim
למשרדך	ləməʃɛʁɛdχɛ
למשרה	ləmeʃɛ
למשרת	ləməʃɛʁet
למשש	ləmeʃ
למשתמש	ləmaʃtɛm
למת	ləmat
למתוח	ləmoˈtɔx
למתח	ləmatχ
למתחילים	ləmatəˈχilim
למתחם	ləmatχam
למתי	ləmaːti
למתים	ləmaˈtim
למתמטיקה	ləmatemtiqɑ
למתן	ləmaθan
למתנה	ləmiθəna
למתנות	ləmaθnaθ
למתקן	ləmatˈken
למתקפה	lemɛtˈkɛfɑ
לן	len
לנאום	lenɔm
לנאמנות	lenɑmoˈnɛt
לנארד	laˈnaːɾd
לנאשם	lenɑʃm
לנבא	lenˈbɑ
לנבוח	lenboχ
לנבחרת	lenbaχaʁet
לנג	ɫɛŋ
לנגב	leŋgɛv
לנגד	leŋgɔd
לנגדון	leŋgoðon
לנגוס	leŋgos
לנגוע	laŋgoʕ
לנגלי	leŋgli
לנגן	ɫengen
לנגסטון	leŋgˈston
לנגפורד	ɛlnɛgfoʁt
לנד	land
לנדאו	landɔ
לנדוד	landod
לנדון	landɔn
לנדנד	landand
לנדרי	lenˈdɛri
לנה	lenɑ
לנהג	lenahɛg
לנהוג	lenuːg
לנהיגה	lenahɑ
לנהל	lenahal
לנהר	lenɑr
לנו	lonuː
לנובמבר	lenovʲɑmˈbɛr
לנווט	loˈnut
לנוזל	lenuzl
לנוח	leˈnuːχ
לנוכח	lenuχaχ
לנוכחות	lenuχχoθ
לנון	lenon
לנוסעים	lenosˈʕim
לנוע	loˈneʕ
לנוער	loˈneʕer
לנופף	lenof
לנוקס	lenoks
לנור	lenuʁ
לנורה	lenora
לנושא	lenuːʃ
לנזוף	lenzoːf
לנזק	lenzek
לנזקקים	lenzakkim
לנחות	lenˈχut
לנחיתה	lenaxiθa
לנחם	lenaxm
לנחש	lanχaʃ
לנטור	ɫɛnˈtoʁ
לנטוש	lenˈtɔʃ
לנטל	lental
לנטלי	lenˈtali
לנטרל	lenˈtɛɾɛl
לני	leni
לניהול	leniɑul
לניו	lenu
לניו-יורק	lenjuːˈjɔːɾk
לנייד	leːniːd
לניידת	lenidat
לנייט	leːnɪt
לנייר	leniːr
לניירות	leːniːjɛtʁ
לניל	lenil
לנין	lenin
לנינה	lenina
לניסוי	lenisoj
לניסויים	lenisojim
לניסיון	lenisjon
לניצחון	leniʦˈχɔ
לניק	lenik
לניקוי	lenikoj
לניקול	lenikul
לניקי	leniqi
לנישואים	leniʃuʔim
לנישואין	leniʃuˈim
לניתוח	lenitχu
לנכד	lenaxd
לנכדים	lenɛxdim
לנכון	lenɛxɔn
לנכים	lenaxim
לנכס	lenex
לנמל	lenmɛl
לנמנם	lenemem
לננסי	lenɑnsi
לנס	leːnse
לנסוע	lenˈsuʕ
לנסות	leːnsoːθ
לנסח	lenˈsax
לנסיבות	lensibotʃ
לנסיך	lenˈsiχ
לנסיכה	lenˈsiχɑ
לנסיעה	leːnsiˈʕa
לנסיעות	leːnsiˈʔot
לנסיעת	lensiʕat
לנסלוט	lensaloːt
לנסר	lenser
לנעול	lenɑul
לנעוץ	lenɑʕuʃ
לנעליים	lenɑˈʕim
לנעמי	lenami
לנענע	lenɑnɑ
לנער	lenɛr
לנערה	leˈnɛʁɑ
לנערות	lenɑʁet
לנערים	lenɑʕɛʁim
לנפח	lenfaχ
לנפילה	lenfiˈla
לנפנף	lenefenef
לנפץ	lenfaʦ
לנפש	lenafʃ
לנפשה	lenfaʃa
לנפשו	lenfaʃo
לנפשי	lenfʃi
לנפשך	lenfaʃ
לנפשם	lenfaʃm
לנפשנו	lenfaʃnu
לנצור	lenʦoʁ
לנצח	lenˈtsaχ
לנצחון	lenʦaˈχo
לנציג	lenˈtsig
לנצל	lenˈʦal
לנקב	lenkɛv
לנקבה	leŋkɑvɑ
לנקה	lenkɑ
לנקוב	lenkoːv
לנקודה	lenkoða
לנקודות	lenkotot
לנקודת	lenkoðot
לנקוט	leˈnɔt
לנקום	leŋkum
לנקות	leŋket
לנקז	lenkɛz
לנקמה	leŋkɑmɑ
לנקסטר	leŋkestʁ
לנרתיק	lenɛʁtɪk
לנשוך	lenˈʃox
לנשום	lenˈʃum
לנשוף	lenˈʃuf
לנשור	lenˈʃoʁ
לנשיא	lenˈʃa
לנשיאה	lenʃeʔa
לנשיאות	lenʃeˈʔat
לנשים	lenɛʃim
לנשימה	lenʃima
לנשיקה	lenˈʃika
לנשמה	lenˈʃæmɑ
לנשנש	lenˈʃenˈʃ
לנשף	lenæʃaf
לנשק	lenæʃk
לנשקים	lenˈʃekim
לנתב	lanatav
לנתוני	lanɑtoni
לנתונים	lenəθɔn
לנתח	lanatχ
לנתיב	lanɪtiv
לנתק	laˈnaθek
לס	ɛs
לסאבסנטר	lesavsɛntr
לסאות	lesot
לסאלי	lesali
לסאם	lesɑm
לסאן	lesɑn
לסבא	lesˈba
לסבב	lesævɛv
לסבול	lesboːl
לסבי	lesˈbi
לסביבה	lesviːva
לסביות	lesˈvijot
לסבית	lesˈvit
לסבך	lesævɛx
לסבל	lesævɛl
לסבתא	lesˈvata
לסגוד	lesgod
לסגור	lesgoʁ
לסגירת	lesgiʁet
לסגל	lesgɛl
לסגן	lesgan
לסגנון	lesginon
לסגת	lesget
לסדר	lesder
לסדרה	lesiˈdɾa
לסדרת	lesɛʁɛt
לסו	losu
לסובב	lesoˈbav
לסוג	lesog
לסוויטה	lesviːtɑ
לסוזן	lesosn
לסוחר	lesoxer
לסוכן	lesuχen
לסוכנות	lesuknɛt
לסוכנים	lesuχnaːm
לסוכנת	lesuχˈnat
לסוס	leˈsos
לסוסים	lesosim
לסוע	lesoʕ
לסופ	lesof
לסוף	lesof
לסופה	lesuːpɑ
לסופו	lesofo
לסופי	lesofi
לסופיה	lesofja
לסופר	lesuːfɛr
לסופרמן	lesoperman
לסופשבוע	lesofʃvaˈdu
לסחוב	lesχov
לסחוט	lesaχot
לסחור	lesaχor
לסחיטה	lesaχita
לסחר	lesaχer
לסט	last
לסטודיו	lastodiw
לסטודנטים	lastudentiːm
לסטור	lastor
לסטוריברוק	lastuʁivʁɔk
לסטות	lastot
לסטיב	lastiv
לסטיבן	lastiˈvan
לסטייסי	lastiːsi
לסטן	lastˈen
לסטנפורד	lastɛnfoɾd
לסטפן	lastˈfɛn
לסטר	lesˈtɛr
לסי	lesi
לסיאטל	lesjɑtɛl
לסיבה	lesiβa
לסיבוב	lesiboʊv
לסידורים	lesidɔʁ
לסידני	lesiːdi
לסיוט	lesjot
לסיום	lesjom
לסיומה	lesimʌ
לסיומו	lesjɔmo
לסיוע	lesiʔo
לסיור	lasjɔr
לסי-טי	lesiːteː
ל-סיטייו	leːsiːtiːjoʊ
לסיים	lesim
לסיימון	lesimɔn
לסיינט	lesint
לסייע	lesjɑʕ
לסייר	lasir
לסיכום	lesiχum
לסיכון	lesiχon
לסילוק	lesilok
לסימון	lesimɔn
לסימן	lesimɑn
לסין	lesin
לסינים	lesinim
לסיפון	lesifon
לסיפוק	lesifok
לסיפור	lesipɔr
לסיפורים	lesifoɾim
לסיר	lesiʁ
לסירה	lesiʁɑ
לסירוגין	lesirogin
לסירות	lesiˈɾet
לסכום	leskom
לסכין	lesˈxin
לסכל	lesχɔl
לסכם	lesɛkæm
לסכן	lesˈχen
לסכנה	lesχna
לסל	ɛsɛl
לסלוח	lesloχ
לסלול	leslulu
לסלולרי	leslulɛri
לסלון	lesloːn
לסלט	leslet
לסלי	lesli
לסלע	lesæ
לסלק	lesælæk
לסם	ɫɛsɛm
לסמוך	lesmuχ
לסמטה	lesˈmeta
לסמים	lesaːmi
לסמינר	lesminɛr
לסמכות	lesmakot
לסמל	lesmɛl
לסמם	lesam
לסמן	lesman
לסמס	lesem
לסן	ɫesn
לסנאט	lesnaːt
לסנדי	lesanɟi
לסנט	lesɛnt
לסנטה	lesˈntæ
לסנטור	lesɛntoʁ
לסנטר	lesanteʁ
לסניף	lesnif
לסנן	leson
לסעוד	lesuːd
לסעודה	lesˈʕoda
לסערה	lesæˈrɑ
לסף	lesf
לספא	lespa
לספה	lespɑ
לספוג	lespog
לספור	lespor
לספורט	lesporot
לספטמבר	lesemˈbɛr
לספינה	lesfiːnɑ
לספינות	lesfiˈnote
לספינת	lesfiːnɑt
לספירה	lesfiʁa
לספנסר	lespanser
לספסל	lespaːsel
לספק	lespɛk
לספר	lesɛfɛr
לספרד	lespaʁd
לספרות	lesfɛroːt
לספרי	lesfɛri
לספריה	lespɛriʔ
לספרייה	lespɪˈrjɑ
לספרים	lesfɛrim
לסצנה	lesˈtsəna
לסקוט	lasˈkot
לסקוטלנד	lasqotland
לסקור	lasˈkuʁ
לסקי	laski
לסקס	lasɛs
לסקר	leskɛr
לסר	ɛsɛr
לסרב	lesɛɾv
לסרוג	ɫɛsɛrɔg
לסרוק	ɫɛsɛɾɔk
לסרט	lesɛʁt
לסרטים	lesɛɾtim
לסרטן	lesɛrtˈn
לסרינה	lasʁina
לסרס	lesɛr
לסת	lesˈθ
לסתום	lesˈtɔm
לסתור	lesˈtoːr
לע	le
לעבד	lavɛd
לעבדות	lavˈdot
לעבדים	lavdiːm
לעבוד	leˈʔɔd
לעבודה	leʔaˈvoda
לעבודות	leʔavodot
לעבודת	laboːðit
לעבודתו	leʔavodiθo
לעבודתי	leɑvɔdti
לעבודתך	leˈavodetχ
לעבור	leˈboʁ
לעבירה	leʕbiʁa
לעבר	leˈʕɛʁ
לעברה	leˈavra
לעברו	leʕbɛru
לעברי	leˈvɛri
לעבריינים	leˈvɛriːn
לעברית	leˈivrit
לעברך	leˈvaʁχ
לעברם	leʕbærem
לעברנו	leˈvɛrnu
לעג	leg
לעגון	leˈgon
לעגל	leˈgal
לעגלה	legola
לעד	leʔad
לעדה	leˈʔaðɑ
לעדות	leˈɔdɛs
לעדכן	leˈʔɛðken
לעו	lo
לעובד	loˈvɛð
לעובדה	loˈvɛðɑ
לעובדות	lovedatʃ
לעובדי	loˈvɛdj
לעובדים	loˈvɛðim
לעובר	loˈʔaver
לעוגה	loˈga
לעוגיות	logiˈtɑj
לעוד	loˈud
לעודד	loˈʔɔð
לעוור	leʔoʋer
לעוות	loˈavɛt
לעוזר	loˈʔuzər
לעוזרת	leɔzɛrɛt
לעולל	loˈlul
לעולם	loˈʔolɑm
לעולמה	loˈlamo
לעולמו	loʕolmo
לעולמי	loˈlami
לעולמים	loʕulɑmim
לעולם-לא	loˈʔolamla
לעולמנו	loʕolmanu
לעומס	loˈums
לעומק	loˈmɔk
לעומת	loˈʔamet
לעונג	leˈʔong
לעונה	leˈʔona
לעונש	loˈʔonæʃ
לעוף	loʕof
לעור	leˈʔoʁ
לעורך	loˈʔɛrɛtʃ
לעורך-דין	leˈʔoʁtdiːn
לעורכי	loʔoʁxi
לעורכת	loʔoreχt
לעורק	leˈʔoʁk
לעורר	leʔurɛr
לעושר	leʔuʃer
לעז	leʕz
לעזא	leˈʔa
לעזאזאל	leʔzaʔzaːl
לעזאזל	leʕzaʕzæl
לעזוב	leˈʔozov
לעזור	leʕaˈzuʁ
לעזזאל	leʔzaːzɑl
לעזיבה	leʕziːva
לעזעזאל	leʕzaʕal
לעזעזל	leʕæzæzæl
לעזר	leʔzɛr
לעזרה	leʕæra
לעזרת	leʔzaʁet
לעזרתה	leʔzɛɾɛtɑ
לעזרתו	leʔzɛɾɛtʰo
לעזרתי	leʕzæreti
לעזרתך	leʔzɛʁeθ
לעזרתכם	leʕzæɾɛtχɛm
לעזרתנו	leʔzɛʁɛtnu
לעט	leʔ
לעטוף	leʔof
לעיבוד	leʕivod
לעידוד	leˈʔidod
לעידן	leˈidan
לעיין	leˈʕejn
לעיירה	leˈʕiːrɑ
לעיכול	leːxul
לעיל	leˈʔil
לעימות	leˈʔimat
לעין	leˈin
לעיני	leˈʔini
לעיניי	leˈʔinɪ
לעיניים	leˈʔinim
לעיסה	leˈʃa
לעיצוב	leʕiʦov
לעיקר	leˈʔikɛr
לעיר	leʔir
לעיראק	leʔiˈrak
לעירוי	leʔiˈroːj
לעירייה	leʔiˈʁa
לעיתון	leˈʔaθon
לעיתונאים	leʔɪθɔnaʔim
לעיתונות	leʔitɔnɛs
לעיתונים	leːθɑn
לעיתים	leˈiθim
לעכב	leʔkav
לעכל	leˈχal
לעכשיו	leχʃo
לעל	laʕal
לעלות	loˈʔɔt
לעלייה	leˈʔija
לעליית	leʔalijat
לעלמה	leʕlamɑ
לעם	leˈem
לעמדה	leˈmɛðɑ
לעמדות	leʔmɛdot
לעמדת	leʔmedat
לעמוד	leˈʔumod
לעמק	leˈmak
לענג	leʔnɛg
לענוד	leʔnuːd
לענות	leˈʔonet
לעניים	leˈʔani
לעניין	leʔaniːn
לענייני	leʔniji
לעניינים	leʔənijim
לעננים	leʔnaːnim
לעס	leʔs
לעסוק	leʔsok
לעסות	leʔsot
לעסק	leʔesɛk
לעסקה	leʔeska
לעסקי	leʔeski
לעסקים	leʔsɛkim
לעסקת	leʔesˈkɛt
לעפר	leʕpɛr
לעץ	leʕs
לעצב	leʕæθb
לעצבים	leʕaθbim
לעצבן	leʕtsˈban
לעצה	leʕaʃa
לעצום	leˈʦum
לעצור	leʕʃoʁ
לעצים	leʕaˈtsim
לעצירה	leʕtsiʁa
לעצם	leʕæθem
לעצמה	leʔsmo
לעצמו	leʔʦmo
לעצמות	leʕaθmot
לעצמי	leʔsmi
לעצמינו	leʔsmiˈno
לעצמך	leʔsˈmɛx
לעצמכם	leʔatsˈməkʰm
לעצמם	leʕatsem
