一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
你才吃一點點東西怎麼會飽	li˥˧tsiaʔ˨tsiaʔ˦tsit˦tiam˥˧a˥˧miʔ˦kĩã˧˧na˥˧e˧˧pa˥˧
你把女兒嫁給他絕對不會錯	lin˥˧ka˧˧tsa˥˥bɔ˥˧kĩã˥˧ke˨˩i˥˥to˧˧bo˨˦m˥˥tioʔ˨laʔ˨
你是不是在外面欠別人錢	li˥˧si˧˧m˥˥si˧˧ti˧˧ɡua˧˧kʰau˥˧u˧˧kʰiam˨˩laŋ˨˦tsĩ˨˦
你是不是這樣說	li˥˧koŋ˥˧an˥˧ne˥˥si˧˧m˥˥
你是我們家的長孫	li˥˧si˧˧lan˥˧tau˥˥e˨˦tua˧˧sun˥˥
你會借嗎	li˥˧kã˥˧e˧˧tsioʔ˨i˥˥
你會放心將工作交給他做嗎	li˥˧kam˥˧hoŋ˨˩sim˥˥ka˧˧kʰaŋ˥˥kʰue˨˩kau˥˥hɔ˧˧i˥˥tso˨˩
你會有這種心理	li˥˧e˧˧u˧˧tsit˨kʰuan˥˧sim˥˥li˥˧
你有什麼不滿	li˥˧u˧˧sĩã˥˧miʔ˨put˨buan˥˧
你有沒有吃午餐	li˥˧kam˥˧u˧˧tsiaʔ˦tioŋ˥˥tau˨˩tǹg1
你沒事兇我幹嘛	li˥˧bo˨˦tai˧˧bo˨˦tsi˨˩pʰãĩ˥˧ɡua˥˧tsʰoŋ˨˩sĩãʔ˨
你準備手電筒了嗎	li˥˧kam˥˧u˧˧tsʰuan˨˦tsʰiu˥˧tian˧˧a˥˧
你現在正火冒三丈	li˥˧tsit˨ma˥˧tŋ˥˥teʔ˨sim˥˥koŋ˨˦hue˥˧toʔ˨
你的女兒長得很漂亮	lin˥˧tsit˨ui˧˧tsʰian˥˥kim˥˥sẽ˥˥tso˨˩tsin˥˥sui˥˧
你的存摺簿應該要換了	li˥˧e˨˦tsʰiu˥˧tsiʔ˨pʰɔ˧˧a˥˧ho˥˧ũã˧˧aʔ˨
你的年紀比我大	li˥˧e˨˦ni˨˦hue˨˩pi˥˧ɡua˥˧kʰaʔ˨tse˧˧
你的意見真多	tsuan˨˦li˥˧e˨˦i˨˩kian˨˩liau˥˧liau˥˧
你的戶籍所在地在哪裡	li˥˧hɔ˧˧kʰau˥˧ti˧˧to˥˧ui˧˧
你看起來怎麼會那麼沒有精神呢	li˥˧kʰũã˨˩tioʔ˨na˥˧e˧˧hiaʔ˨ni˧˧a˥˧bo˨˦ɡuan˨˦kʰi˨˩
你真的很不中用	li˥˧tsin˥˥tsĩã˨˩u˧˧kau˨˩ke˧˧lɔ˧˧
你知道他的身世背景嗎	li˥˧kam˥˧tsai˥˥ĩã˥˧i˥˥e˨˦tsʰut˨sin˥˥
你穿這件衣服相當漂亮	li˥˧tsʰiŋ˧˧tsit˨nia˥˧sã˥˥koʔ˨put˨tsi˥˧a˥˧sui˥˧
你缺錢用就來告訴我	li˥˧u˧˧kʰiam˨˩iŋ˧˧to˧˧lai˨˦ka˧˧ɡua˥˧koŋ˥˧
你若不出手將來一定會反悔	tsioŋ˥˥lai˨˦it˨tiŋ˧˧e˧˧huan˥˧hue˥˧
你若要就趕快拿去	li˥˧na˧˧beʔ˨ai˨˩kin˥˧tʰeʔ˦kʰi˨˩
你處事不公	li˥˧kʰũã˨˩laŋ˨˦tua˧˧se˨˩bak˦
你要再稍微叮嚀他一下	li˥˧ai˨˩koʔ˨ka˧˧i˥˥sio˥˧tiŋ˥˥tsit˦e˧˧
你要叫他姑姑	li˥˧ai˨˩kio˨˩i˥˥a˥˥kɔ˥˥
你要嗎	li˥˧beʔ˨bo˨˦
你要多穿一件外衣	li˥˧ai˨˩ke˥˥tʰaʔ˦tsit˦nia˥˧ɡua˧˧sã˥˥
你要好好努力	li˥˧tioʔ˨ho˥˧ho˥˧a˥˧pʰaʔ˨pĩã˨˩
你要小心	li˥˧tioʔ˨se˨˩dzi˧˧
你要小心點	li˥˧tioʔ˨ai˨˩kʰaʔ˨se˨˩dzi˧˧leʔ˨
你要帶雨傘去	li˥˧tioʔ˨ai˨˩tsaʔ˨hɔ˧˧sũã˨˩kʰi˨˩
你要慢慢來	li˥˧tioʔ˨un˨˦a˥˧si˧˧
你要慢慢地走	li˥˧tioʔ˨un˨˦un˨˦a˥˧kĩã˨˦
你要拿好	li˥˧ai˨˩tʰeʔ˦hɔ˧˧i˥˥ho˥˧
你要是不努力一點	li˥˧na˧˧m˥˥kʰaʔ˨pʰaʔ˨pĩã˨˩leʔ˨
你要是說了不該說的話	li˥˧na˧˧si˧˧ke˥˥koŋ˥˧ue˧˧
你要更努力一點	li˥˧tioʔ˨kʰaʔ˨pʰaʔ˨pĩã˨˩leʔ˨
你要注意一點	li˥˧ai˨˩kʰaʔ˨tsu˨˩i˨˩leʔ˨
你要記得戴手套	li˥˧ai˨˩e˧˧ki˨˩tit˨kua˨˩tsʰiu˥˧lok˨a˥˧
你要認真努力	li˥˧ai˨˩dzin˧˧tsin˥˥pʰaʔ˨pĩã˨˩
你要認真努力	li˥˧tioʔ˨ai˨˩dzin˧˧tsin˥˥pʰaʔ˨pĩã˨˩
你要騎腳踏車	li˥˧beʔ˨kʰia˨˦kʰa˥˥taʔ˦tsʰia˥˥
你該起來上學了	li˥˧ho˥˧kʰi˥˧lai˨˦tʰak˦tsʰeʔ˨aʔ˨
你說	li˥˧koŋ˥˧
你說再多他也聽不進去	li˥˧koŋ˥˧koʔ˨kʰaʔ˨tse˧˧i˥˥ma˧˧tʰĩã˥˥be˧˧dzip˦ni˥˧
你說起話來像老母雞一樣	li˥˧koŋ˥˧ue˧˧na˥˧hue˥˧ke˥˥bo˥˧leʔ˨
你說過的話一定要記得	li˥˧koŋ˥˧kue˨˩e˨˦ue,7it˨tiŋ˧˧ai˨˩e˧˧ki˨˩tit˨
你講話不要那麼大聲	li˥˧koŋ˥˧ue˧˧m˥˥ho˥˧hiaʔ˨tua˧˧sĩã˥˥
你讓我考慮一下	li˥˧hɔ˧˧ɡua˥˧kʰo˥˧li˧˧tsit˦e˧˧
你買這幹嘛	li˥˧be˥˧tse˥˥beʔ˨tsʰoŋ˨˩sĩãʔ˨
你走慢一些我才跟得上	li˥˧kĩã˨˦kʰaʔ˨ban˧˧leʔ˨ɡua˥˧m˥˥tsiaʔ˨tue˨˩e˧˧tioʔ˨
你越說	li˥˧dzu˥˧koŋ˥˧
你趕快去勸阻一下	li˥˧kin˥˧kʰi˨˩ka˧˧tsiam˨˩
你這個可憐的小孩子	li˥˧tsit˨e˨˦kʰo˥˧lian˨˦e˨˦ɡin˥˧a˥˧
你這個短命鬼	li˥˧tsit˨e˨˦iau˥˧siu˧˧te˥˧mia˧˧e˨˦
你這個臭小子	li˥˧tsit˨e˨˦tsʰau˨˩sio˥˧kĩã˥˧
你這樣做不怕會短命	li˥˧an˥˧ne˥˥tso˨˩m˥˥kĩã˥˥e˧˧iau˥˧siu˧˧
你這種人	li˥˧tsit˨kʰuan˥˧laŋ˨˦
你這種粗魯的個性要改一改	li˥˧tsit˨kʰuan˥˧tʰɔ˥˧koŋ˥˥a˥˧siŋ˨˩tioʔ˨ai˨˩kai˥˧laʔ˨
你還不知死活	li˥˧koʔ˨m˥˥tsai˥˥si˥˧
你還會見風轉舵	li˥˧koʔ˨e˧˧hiau˥˧si˥˥kue˥˥ua˥˧tua˧˧piŋ˨˦
你還要買	li˥˧koʔ˨beʔ˨be˥˧
你都不可以說	li˥˧loŋ˥˧be˧˧sai˥˧koŋ˥˧
你難道不怕看到鬼嗎	li˥˧kam˥˧m˥˥kĩã˥˥kʰi˨˩kʰũã˨˩tioʔ˨pʰãĩ˥˧miʔ˨a˥˧
使勁地打下去	tsʰut˨lat˦ka˧˧pʰaʔ˨loʔ˨kʰi˨˩
來來來	lai˨˦lai˨˦lai˨˦
來我們店裡捧場的人比較少	lai˨˦ɡuan˥˧tiam˨˩kau˥˥kuan˥˥e˨˦laŋ˨˦kʰeʔ˨u˧˧kʰaʔ˨tsio˥˧
依照北斗七星排列所設的陣式	tsʰit˨tsʰẽ˥˥tin˧˧
保證會贏	pau˥˥ĩã˨˦e˨˦
信心	sin˨˩sim˥˥
信用卡	sin˨˩ioŋ˧˧kʰaʔ˨
偏方	pʰian˥˥hŋ˥˥
做人得受生活的折磨	tso˨˩laŋ˨˦tioʔ˨bua˨˦
做人心腸不要那麼壞	tso˨˩laŋ˨˦m˥˥tʰaŋ˥˥hiaʔ˨pʰãĩ˥˧sim˥˥
做官	tsʰut˨su˧˧
做牛得要拖犁耕田	tso˨˩ɡu˨˦tioʔ˨tʰua˥˥
做生意要敢投入本錢	tso˨˩siŋ˥˥li˥˧ai˨˩kã˥˧he˧˧pun˥˧
做起任何事都很不方便	tso˨˩sĩã˥˧miʔ˨tai˧˧tsi˨˩loŋ˥˧tsin˥˥bo˨˦hoŋ˥˥pian˧˧
做長輩的人對待晚輩不可以偏心	tso˨˩si˧˧tua˧˧e˨˦laŋ˨˦tui˨˩tʰai˧˧ɡin˥˧a˥˧m˥˥tʰaŋ˥˥tua˧˧se˨˩sim˥˥
偶爾	ku˥˧ku˥˧a˥˧
偶爾	sam˥˥put˨ɡɔ˧˧si˨˦
傷者和死者	sioŋ˥˥boŋ˨˦
傻氣不正經的人	sam˥˥pat˨laŋ˨˦
像這種六月炎熱的天氣	lak˦ɡueʔ˦hue˥˧sio˥˥pɔ˥˥
像這麼冷的天氣裡	tsʰĩũ˧˧tsit˨kʰuan˥˧tua˧˧kũã˨˦e˨˦tʰĩ˥˥
價錢很合理	ke˨˩tsĩ˨˦tsin˥˥koŋ˥˥to˧˧
價錢這麼高	ke˨˩tsĩ˨˦tsiaʔ˨kuan˨˦li˥˧na˧˧m˥˥tsʰut˨tsʰiu˥˧
儘管說出來	tso˨˩li˥˧koŋ˥˧tsʰut˨lai˨˦
兄弟各分東西了	hĩã˥˥ti˧˧loŋ˥˧hun˥˥sũã˨˩liau˥˧liau˥˧aʔ˨
先下手為強	siŋ˥˥he˧˧tsʰiu˥˧ui˨˦kioŋ˨˦
免得調解間反而變成當事人	m˥˥tʰaŋ˥˥koŋ˥˥tsʰin˥˥pian˨˩su˧˧tsu˥˧
兒子如果長大	ɡin˥˧a˥˧na˧˧tua˧˧han˨˩
入土為安	dzip˦tʰɔ˥˧ui˨˦an˥˥
入帳	dzip˦siau˨˩
入殮。將屍體移入棺材	dzip˦bok˨
內外事物都是他在掌理	ɡua˧˧tʰau˨˦kaʔ˨lai˧˧tʰau˨˦loŋ˥˧i˥˥teʔ˨hũã˧˧
內容	lue˧˧ioŋ˨˦
內政	lue˧˧tsiŋ˨˩
內閣	lue˧˧koʔ˨
全完蛋了	kʰi˨˩liau˥˧liau˥˧aʔ˨
全身都充滿了活力	kʰui˨˩lat˦tsap˦tsiok˨
全部的家產都完蛋了	kui˥˥e˨˦ke˥˥hue˥˧loŋ˥˧kʰi˨˩liau˥˧liau˥˧aʔ˨
兩代以上的交誼	se˨˩kau˥˥
兩個人	nŋ˥˥e˨˦laŋ˨˦
兩邊都不參加	nŋ˥˥piŋ˨˦loŋ˥˧bo˨˦ai˨˩tsʰam˥˥ka˥˥
兩隊人馬在街道相遇	nŋ˥˥tui˧˧dzin˨˦ma˥˧ti˧˧ke˥˥a˥˧lɔ˧˧sio˥˥tu˥˧
八仙過海	pat˨sian˥˥kue˨˩hai˥˧
八個人	peʔ˨e˨˦laŋ˨˦
八道菜	peʔ˨tsʰut˨tsʰai˨˩
公事要照規矩做	koŋ˥˥su˧˧tioʔ˨ai˨˩tsiau˨˩kʰi˥˧kaŋ˥˥tso˨˩
公公	ta˥˥kũã˥˥
公共事務	koŋ˥˥ka˥˥tai˧˧tsi˨˩
公共場所	koŋ˥˥kioŋ˧˧tĩũ˨˦sɔ˥˧
公共電話	koŋ˥˥ioŋ˧˧tian˧˧ue˧˧
公務人員	koŋ˥˥bu˧˧dzin˨˦uan˨˦
公司的事情就麻煩你代理一下	koŋ˥˥si˥˥e˨˦tai˧˧tsi˨˩tsiaʔ˨lo˨˦huan˨˦li˥˧tai˧˧li˥˧tsit˦e˧˧
公家機關	koŋ˥˥ka˥˥ki˥˥kuan˥˥
公海	koŋ˥˥hai˥˧
公物	koŋ˥˥but˦
公的	kaŋ˥˥e˨˦
六年戊班	lak˦ni˨˦bɔ˧˧pan˥˥
兵力	piŋ˥˥lik˦
再等一下	koʔ˨tan˥˧tsit˦e˧˧laʔ˨
冒犯、侵犯	kan˥˥huan˧˧
冬天	taŋ˥˥tʰĩ˥˥
冬筍	taŋ˥˥sun˥˧
凌晨一點到三點	tʰiu˥˧si˨˦
凡事都要仔細小心地想清楚	tak˦haŋ˧˧tai˧˧tsi˨˩loŋ˥˧ai˨˩sĩũ˧˧hɔ˧˧i˥˥kʰaʔ˨tsim˥˥tsiok˨leʔ˨
凡人有很多事情看不開	se˨˩siok˨laŋ˨˦u˧˧tsĩã˨˦tse˧˧tai˧˧tsi˨˩kʰũã˨˩be˧˧kʰui˥˥
凡間	huan˧˧kan˥˥
凹下去	naʔ˨loʔ˨kʰi˨˩
出五百要跟他買	tsʰut˨ɡɔ˧˧paʔ˨beʔ˨ka˧˧i˥˥be˥˧
出入要小心	tsʰut˨dzip˦ai˨˩se˨˩dzi˧˧
出名	tsʰut˨mia˨˦
出國	tsʰut˨kok˨
出太陽	tsʰut˨dzit˦
出太陽	tsʰut˨dzit˦tʰau˨˦
出家人必須要看破世間瑣事	tsʰut˨ke˥˥laŋ˨˦tioʔ˨ai˨˩kʰũã˨˩pʰua˨˩se˨˩tsiŋ˨˦
出氣	tsʰut˨kʰui˨˩
出生	tsʰut˨si˨˩
出界	tsʰut˨kai˨˩
出社會	tsʰut˨sia˧˧hue˧˧
出菜	tsʰut˨tsʰai˨˩
出遠門自己要小心一點	tsʰut˨ɡua˧˧ka˥˥ki˧˧ai˨˩kʰaʔ˨se˨˩dzi˧˧leʔ˨
出錢	tsʰut˨tsĩ˨˦
出頭	tsʰut˨tʰau˨˦
分不平均	pun˥˥be˧˧pẽ˨˦
分你一半	tsit˦pũã˨˩pun˥˥li˥˧
刊物	kʰan˥˥but˦
划龍船	pe˨˦liŋ˨˦tsun˨˦
別不好意思啦	bian˥˧pʰãĩ˥˧se˨˩laʔ˨
別人比較不愛跟他相處	laŋ˨˦kʰaʔ˨bo˨˦ai˨˩kaʔ˨i˥˥tau˨˩tin˧˧
別人要來找你算帳了	laŋ˨˦beʔ˨lai˨˦tsʰue˧˧li˥˧sǹg1siau˨˩aʔ˨
別再出價了	mai˨˩koʔ˨tsʰut˨aʔ˨
別理他	mai˨˩tsʰap˨i˥˥
利尿	li˧˧sui˥˧
到此為止	kau˨˩tsia˥˥ui˨˦tsi˥˧
到現在二十四小時了	kau˨˩tã˥˥tsit˦tui˨˩si˨˦aʔ˨
到現在還在不舒服	kau˨˩tã˥˥iau˥˧teʔ˨kan˥˥kʰɔ˥˧
到現在還是收不回來	kau˨˩tã˥˥iau˥˧siu˥˥be˧˧tńg1lai˨˦
到處跑	si˨˩ke˨˩tsau˥˧
刷子	bin˥˧a˥˧
前後輩份	tiŋ˥˧e˧˧un˨˦
剛剛還出大太陽	tu˥˧tsiaʔ˨iau˥˧teʔ˨tsʰut˨dzit˦tʰau˨˦
剛好可以看到月亮	tu˥˧ho˥˧e˧˧taŋ˨˩kʰũã˨˩tioʔ˨ɡueʔ˦niu˨˦
剛才	tã˥˥tsiaʔ˨
剪刀	ka˥˥to˥˥
副本	hu˨˩pun˥˧
割包	kuaʔ˨pau˥˥
力氣	kʰui˨˩lat˦
力道真大	lat˦tʰau˨˦tsin˥˥pa˥˧
力量	lik˦lioŋ˧˧
功勞	koŋ˥˥lo˨˦
功效	koŋ˥˥hau˧˧
加倍	ka˥˥pue˧˧
加工	ka˥˥kaŋ˥˥
動不動就要罵人	kʰap˦be˧˧tioʔ˨to˧˧beʔ˨ka˧˧laŋ˨˦me˧˧
勞工	lo˨˦kaŋ˥˥
勸世歌是在勸人不可以做壞事的	kʰuan˨˩se˨˩kua˥˥si˧˧teʔ˨khǹg1laŋ˨˦m˥˥tʰaŋ˥˥tso˨˩pʰãĩ˥˧tai˧˧e˨˦
包伙食	pau˥˥hue˥˧sit˦
包機	pau˥˥ki˥˥
包水餃	pau˥˥tsui˥˧kiau˥˧
包裝書本	pau˥˥tsʰeʔ˨
化工	hua˨˩kaŋ˥˥
化除痰液	hua˨˩tʰam˨˦
北上，多指縱貫線火車上行	tsĩũ˧˧pak˨
北上的火車	tsĩũ˧˧pak˨e˨˦hue˥˧tsʰia˥˥
北邊	pak˨piŋ˨˦
十二點要吃午餐了	tsap˦dzi˧˧tiam˥˧beʔ˨tsiaʔ˦tioŋ˥˥tau˨˩aʔ˨
十五音	sip˦ŋɔ˥˧im˥˥
十個人	tsap˦e˨˦laŋ˨˦
十全十美	sip˦tsuan˨˦sip˦bi˥˧
十分的完美	sip˦tsuan˨˦sip˦bi˥˧
十字路口	sip˦dzi˧˧lɔ˧˧
千夫所指	tsʰian˥˥hu˥˥sɔ˥˧tsi˥˧
千萬不要做決定	tsʰian˥˥ban˧˧m˥˥tʰaŋ˥˥tso˨˩kuat˨tiŋ˧˧
千萬人	tsʰian˥˥ban˧˧laŋ˨˦
千辛萬苦	tsʰian˥˥sin˥˥ban˧˧kʰɔ˥˧
升天	siŋ˥˥tʰian˥˥
升官發財	siŋ˥˥kũã˥˥huat˨tsai˨˦
升斗	bi˥˧tsin˥˥
升旗	siŋ˥˥ki˨˦
午時	ŋɔ˥˧si˨˦
午飯吃飽了就該休息	tioŋ˥˥tau˨˩pŋ˥˥tsiaʔ˦pa˥˧to˧˧ho˥˧hioʔ˨kʰun˨˩
半夜跑到墓園去	sã˥˥kẽ˥˥pũã˨˩me˨˦tsau˥˧kʰi˨˩boŋ˧˧a˥˧pɔ˥˥
半數	puan˨˩sɔ˨˩
半路	pũã˨˩lɔ˧˧
半途	puan˨˩tɔ˨˦
半隻	pũã˨˩tsiaʔ˨
博士	pʰok˨su˧˧
占大多數	tsiam˨˩tai˧˧to˥˥sɔ˨˩
占據位子	tsiam˨˩ui˧˧
占有利的時機還不如占地理優勢	tʰian˥˥si˨˦put˨dzu˨˦te˧˧li˧˧
卻打我出氣	suaʔ˨pʰaʔ˨ɡua˥˧tsʰut˨tsui˥˧
原本	ɡuan˨˦pun˥˧
去傷解鬱悶	kʰi˨˩sioŋ˥˥kai˥˧ut˨
去吃飯	kʰi˨˩tsiaʔ˦pŋ˥˥
去年這裡山林失火	ku˧˧ni˨˦tsia˥˥hue˥˧sio˥˥sũã˥˥
去日本	kʰi˨˩dzit˦pun˥˧
又何必故意為難他	ho˨˦mi˥˧kʰɔ˥˧ka˧˧i˥˥tʰiau˥˥lan˨˦
反倒來幫我們忙	huan˥˧to˨˩tńg1koʔ˨lai˨˦ka˧˧lan˥˧tau˨˩sã˥˥kaŋ˧˧
反對	huan˥˧tui˨˩
反對的人是少數	huan˥˧tui˨˩e˨˦laŋ˨˦si˧˧tsio˥˧sɔ˨˩
反應不好	huan˥˧iŋ˨˩bo˨˦ho˥˧
反而	huan˥˧to˨˩tńg1lai˨˦
受訓之後	siu˧˧hun˨˩liau˥˧au˧˧
古時候	kɔ˥˧tsa˥˧si˨˦tai˧˧
古時候對他人母親的尊稱	tʰai˨˩hu˥˥dzin˨˦
古時候有些老人家會自己買棺材	kɔ˥˧tsa˥˧u˧˧e˨˦lau˧˧tua˧˧laŋ˨˦e˧˧ka˥˥ki˧˧be˥˧tua˧˧tsʰu˨˩
只不過	tsi˥˧put˨ko˨˩
只剩這些菜而已	kan˥˥na˥˥tsʰun˥˥tsia˥˥e˨˦tsʰai˨˩nia˧˧nia˧˧
只好慢慢咀嚼	tsi˥˧ho˥˧tauʔ˦tauʔ˦a˥˧mauʔ˨
只好暫時去當臨時工	tsi˥˧ho˥˧tsiam˧˧si˨˦kʰi˨˩tso˨˩lim˨˦si˨˦kaŋ˥˥
只是一點點小意思而已	tsi˥˧si˧˧tsit˦sut˨a˥˧sio˥˧i˨˩su˨˩nia˧˧nia˧˧
只有	tsi˥˧u˧˧
只有鳥啼叫的聲音	kan˥˥na˥˥u˧˧tsiau˥˧a˥˧tʰi˨˦kio˨˩e˨˦sĩã˥˥
只知道顧自己的利益	kan˥˥na˥˥tsai˥˥ĩã˥˧kɔ˨˩ka˥˥ki˧˧e˨˦li˧˧ik˨
只要一想到這件事情	na˧˧sĩũ˧˧tioʔ˨tsit˨tsan˨˦tai˧˧tsi˨˩
只要存點錢	kian˨˩na˧˧kʰiam˧˧kua˥˧tsĩ˨˦
只要有你	tsi˥˧iau˨˩u˧˧li˥˧
只除去成本，未除去其他費用的利潤	mɔ˨˦li˧˧
叫你不要	kio˨˩li˥˧mai˨˩
叫我要怎麼活下去	kio˨˩ɡua˥˧beʔ˨an˥˧tsũã˥˧uaʔ˦loʔ˨kʰi˨˩
叫苦連天	kio˨˩kʰɔ˥˧lian˨˦tʰian˥˥
叫菜	kio˨˩tsʰai˨˩
叫車	kio˨˩tsʰia˥˥
召集令	tiau˨˩tsip˦liŋ˧˧
可以	kʰo˥˧i˥˧
可以施捨十塊錢給我嗎	tsap˦kʰɔ˥˥ɡin˨˦lai˨˦pun˥˥ɡua˥˧ho˥˧bo˨˦
可以看到成千上萬顆星星	e˧˧sai˥˧kʰũã˨˩tioʔ˨tsʰian˥˥tsʰian˥˥ban˧˧ban˧˧liap˦tsʰẽ˥˥
可能	kʰo˥˧liŋ˨˦
可見	kʰo˥˧kian˨˩
吃不多	tsiaʔ˦be˧˧tse˧˧
吃些熱食是最好的了	tsiaʔ˦tsit˦kua˥˧sio˥˥e˨˦sioŋ˧˧ho˥˧
吃又要吃	tsiaʔ˦iu˧˧beʔ˨tsiaʔ˦
吃得乾淨	tsiaʔ˦hɔ˧˧tsʰiŋ˥˥kʰi˨˩
吃藥必須喝溫開水	tsiaʔ˦ioʔ˨a˥˧ai˨˩pʰue˨˩pũã˨˩sio˥˥liŋ˥˧e˨˦kun˥˧tsui˥˧
吃藥能止痛	tsiaʔ˦ioʔ˨a˥˧e˧˧taŋ˨˩tsi˥˧tʰĩã˨˩
吃飯吃得這麼不情不願	tsiaʔ˦pŋ˥˥tsiaʔ˦kaʔ˨tsiaʔ˨ni˧˧a˥˧m˥˥tsiŋ˨˦ɡuan˧˧
合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥	sip˦tsuan˨˦tai˧˧pɔ˥˧tʰŋ˥˥
同樣	kaŋ˧˧kʰuan˥˧
名片	biŋ˨˦pʰĩ˨˩
向道士求討符咒	kʰit˨hu˨˦a˥˧
哲學入門	tiat˨hak˦dzip˦mŋ˥˥
商店門口	tiam˨˩mŋ˥˥kʰau˥˧
喜慶的時候不可以說不祥的話	lau˧˧dziat˦si˨˦a˥˧m˥˥tʰaŋ˥˥koŋ˥˧pʰãĩ˥˧ue˧˧
喜歡扯女孩的辮子	ai˨˩tsʰuaʔ˨tsa˥˥bɔ˥˧ɡin˥˧a˥˧e˨˦mŋ˥˥bue˥˧a˥˧
喝水止渴	lim˥˥tsui˥˧tsi˥˧tsʰui˨˩ta˥˥
單槍匹馬	tan˥˥tsʰioŋ˥˥pʰit˨ma˥˧
嗜酒的人	tsiu˥˧sian˥˥
嘴唇扁掉凹陷的樣子	tsʰui˨˩mauʔ˨mauʔ˨
嚇一跳	kĩã˥˥tsit˦e˧˧
囚禁	siu˨˦kim˨˩
四個人	si˨˩e˨˦laŋ˨˦
四周很安靜	si˨˩pĩ˥˥tiam˧˧tsiŋ˧˧
四方	su˨˩hoŋ˥˥
四書五經	su˨˩su˥˥ŋɔ˥˧kiŋ˥˥
四物雞湯	su˨˩but˦a˥˧ke˥˥
四肢無力	su˨˩ki˥˥bo˨˦lat˦
因為你沒來	to˧˧si˧˧li˥˧bo˨˦lai˨˦
國王	kok˨oŋ˨˦
國際救援組織	aŋ˨˦sip˦dzi˧˧hue˧˧
土匪	tʰɔ˥˧hui˥˧a˥˧
土地	tʰɔ˥˧te˧˧
土產	tʰɔ˥˧san˥˧
在不好的年頭，狂人奇事特別多。比喻怪事年年有，今年特別多	pʰãĩ˥˧ni˨˦taŋ˥˥kau˧˧siau˥˧laŋ˨˦
在天上天公最大，在人間舅公最大。這是來自閩南風俗的說法，指舅舅地位高，所以每逢婚嫁喜事，或有舅舅會出席的場合，多請他出面主持	tʰĩ˥˥tiŋ˥˧tʰĩ˥˥kong,1te˧˧e˧˧bu˥˧ku˧˧koŋ˥˥
在於你是否願意去做	kai˨˩tsai˧˧li˥˧beʔ˨tso˨˩m˥˥tso˨˩
在食物中放鹽	he˧˧iam˨˦
地勢比較低	sũã˥˥se˨˩kʰaʔ˨ke˧˧
地支前四位	tsu˥˧tʰiu˥˧in˨˦bau˥˧
地方	te˧˧hŋ˥˥
地板一兩次沒擦	tʰɔ˨˦kʰa˥˥tsit˦pũã˨˩pai˥˧a˥˧bo˨˦tsʰit˨
坐好	tse˧˧hɔ˧˧ho˥˧
執政者多少都有包袱	tsip˨tsiŋ˨˩tsia˥˧loŋ˥˧ke˥˥kiam˥˧u˧˧pau˥˥hok˨a˥˧
塊頭真大	tsin˥˥tua˧˧pʰiaŋ˧˧
增加	ka˥˥tʰiam˥˥
壞事、壞消息卻一直來糾纏。比喻壞事連連	pʰãĩ˥˧tai˧˧tit˦tit˦lai˨˦kau˥˥tĩ˨˦
壞事爭著來告知	pʰãĩ˥˧kʰaŋ˥˥e˨˦sio˥˥tsẽ˥˥po˨˩
壞心	pʰãĩ˥˧sim˥˥
士農工商	su˧˧loŋ˨˦kaŋ˥˥sioŋ˥˥
夏令時間	ha˧˧liŋ˧˧si˨˦kan˥˥
外交	ɡua˧˧kau˥˥
外國	ɡua˧˧kok˨
外祖母住在宜蘭	ɡua˧˧ma˥˧tua˨˩ti˧˧ɡi˨˦lan˨˦
外面很冷	ɡua˧˧kʰau˥˧tsin˥˥kũã˨˦
外頭	ɡua˧˧kʰau˥˧
多少吃一點	ke˥˥kiam˥˧tsiaʔ˦tsit˦kua˥˧
多少賺點外快來添補家用	ke˥˥kiam˥˧tʰan˨˩tsit˦kua˥˧a˥˧ɡua˧˧lɔ˧˧a˥˧lai˨˦sio˥˥tʰĩ˥˥sɔ˥˧hui˨˩
多數人皆知	tua˧˧pɔ˧˧hun˧˧e˨˦laŋ˨˦loŋ˥˧tsai˥˥
多花錢而已	ke˥˥liau˥˧tsĩ˨˦e˨˦
夢中	baŋ˧˧tioŋ˥˥
大事化小	tua˧˧su˧˧hua˨˩sio˥˧su˧˧
大事盡量化解成小事	tua˧˧su˧˧hua˨˩sio˥˧su˧˧
大人	tua˧˧laŋ˨˦
大人少吃一口，小孩子就可以吃得飽，甚至吃到膩了	tua˧˧laŋ˨˦kʰiam˧˧tsit˦tshui,3ɡin˥˧a˥˧tsiaʔ˦kaʔ˨ui˨˩
大伯父	tua˧˧peʔ˨
大前天	tua˧˧tsoʔ˨dzit˦
大哥	tua˧˧hĩã˥˥
大地震會讓人心驚膽顫	tua˧˧te˧˧taŋ˧˧e˧˧hɔ˧˧laŋ˨˦sim˥˥kĩã˥˥tã˥˧hĩãʔ˨
大型空心菜	tua˧˧pun˥˧iŋ˨˩tsʰai˨˩
大姊	tua˧˧tsi˥˧
大姊昨天食指被碎玻璃割到	tua˧˧tsi˥˧tsa˥˥hŋ˥˥dzi˧˧tsãĩ˥˧kʰi˨˩hɔ˧˧po˥˥le˨˦iu˨˩a˥˧kuaʔ˨tioʔ˨
大嫂疼小叔	tua˧˧so˥˧tʰĩã˨˩sio˥˧tsik˨
