-аж	ˈɑɹd
прагматическую	prʌgmatˈitʃiskuju
прагматично	prʌgmatˈitʃnʌ
прагматичного	prʌgmatˈitʃnʌvʌ
прагматичной	prʌgmatˈiʃnʌj
прагматичный	prʌgmatˈitʃnyj
прагматичным	prʌgmatˈitʃnym
прагне	prˈɑgni
прагнення	pragnˈennʌ
прагнеш	prˈɑgniʃ
прагну	prˈɑgnu
прагнув	prˈɑgnuf
прагнула	pragnˈuɭa
прагнули	pragnˈuɭɪ
прагнути	pragnˈutɪ
прагнуть	pragnˈut
прагнучи	pragnˈutʃɪ
прагой	prˈɑgʌj
прагу	prˈɑgu
прад	prˈɑt
прадавн	prˈɑdʌvn
прадд	prˈɑdt
прадда	prˈɑdda
прадед	pradzʲet
прадед	prˈɑdit
прадеда	prˈɑdida
прадедам	pradˈedʌm
прадедами	pradˈedʌmɪ
прадедах	prˈɑdidʌx
прадеде	prˈɑdidi
прадедов	prˈɑdidʌf
прадедовский	prˈɑdidʌfskij
прадедовских	prˈɑdidʌfskix
прадедом	prˈɑdidʌm
прадеду	prˈɑdidu
прадедушка	pradˈeduʃka
прадедушке	pradˈeduʃki
прадедушки	pradˈeduʃkɪ
прадедушкой	pradˈeduʃkʌj
прадедушку	pradˈeduʃku
прадеды	prˈɑdidy
прадера	pradˈera
праджапати	prʌdʒapˈɑtɪ
праджи	prˈɑdʒɪ
прадо	praɾa
прадо	prˈɑdʌ
прадуба	pradˈuba
прадье	prˈɑdjjɪ
пражан	praʒˈɑn
пражская	brasˈsˈkˈja
пражская	prˈɑʃskʌja
пражские	prˈɑʃskijɪ
пражский	prˈɑʃskij
пражским	prˈɑʃskim
пражскими	praʃskimʲi
пражских	prˈɑʃskix
пражского	prˈɑʃskʌvʌ
пражское	praʃskˈojɪ
пражской	prˈɑʃskʌj
пражском	prˈɑʃskʌm
пражскую	prˈɑʃskuju
праз	prˈɑs
празден	prˈɑʑdin
праздная	prˈɑzdnʌja
празднеств	prˈɑzdnistf
празднества	prˈɑzdnistva
празднествам	prʌzʌnˈestvʌm
празднествам	prˈɑzdnistvʌm
празднествами	prˈɑzdnistvʌmɪ
празднествах	prˈɑzdnistvʌx
празднестве	prˈɑzdnistvi
празднество	prˈɑzdnistvʌ
празднеством	prˈɑzdnistvʌm
празднеству	prˈɑzdnistvu
праздник	praznik
праздник	prˈɑzdnik
праздник	prˈɑznik
праздник-то	prˈɑzdniktˈo
праздника	prˈɑzdnika
праздникам	prˈɑzdnikʌm
праздникам	prˈɑznikʌm
праздниками	prˈɑzdnikʌmɪ
праздниках	prˈɑzdnikʌx
празднике	prˈɑzdniki
праздники	prˈɑzdnikɪ
праздников	prˈɑzdnikʌf
праздникова	prazdnˈikʌva
праздником	prˈɑzdnikʌm
празднику	prˈɑzdniku
праздничек	prˈɑzdnitʃik
праздничка	prazdnˈitʃka
праздничком	prˈɑzdnitʃkʌm
праздничку	prazdnˈitʃku
праздничная	prˈɑzdnitʃnʌja
праздничнее	prazdnˈitʃnijɪ
празднично	prˈɑzdnitʃnʌ
праздничного	prˈɑzdnitʃnʌvʌ
праздничное	prˈɑzdnitʃnʌjɪ
праздничной	prˈɑzdniʃnʌj
праздничном	prˈɑzdnitʃnʌm
праздничному	prˈɑzdnitʃnʌmu
праздничности	prˈɑzdnitʃnʌstɪ
праздничность	prʌzdnitʃnˈost
праздничную	prˈɑzdnitʃnuju
праздничны	prazdnˈiʃny
праздничные	prˈɑzdnitʃnyjɪ
праздничный	prˈɑzdnitʃnyj
праздничным	prˈɑzdnitʃnym
праздничными	prˈɑzdnitʃnymɪ
праздничных	prˈɑzdnitʃnyx
праздно	prˈɑzdnʌ
праздновал	prˈɑzdnʌvʌɭ
праздновала	prˈɑzdnʌvʌɭa
праздновалась	prʌzdnʌvˈɑɭʌs
праздновали	prˈɑzdnʌvʌɭɪ
праздновались	prʌzdnʌvˈɑɭis
праздновалось	prˈɑzdnʌvʌɭʌs
праздновался	prazdnˈovʌɭsʌ
празднование	prˈɑzdnʌvʌnijɪ
празднованием	prʌzdnʌvˈɑnijim
праздновании	prˈɑzdnʌvʌniɪ
празднованию	prˈɑzdnʌvʌniju
празднования	prˈɑzdnʌvʌnija
праздновать	prˈɑzdnʌvʌt
праздного	prˈɑzdnʌvʌ
праздное	prˈɑzdnʌjɪ
праздной	prˈɑzdnʌj
празднолюбцев	prʌzdnʌɭˈuˌptsyf
праздном	prˈɑzdnʌm
праздному	prˈɑzdnʌmu
праздномыслие	prʌzdnʌmˈysɭijɪ
праздномыслит	prʌzdnʌmˈysɭit
праздномыслить	prʌzdnʌmˈysɭit
праздномыслию	prʌzdnʌmˈysɭiju
праздномыслия	prʌzdnʌmˈysɭija
празднословие	prʌzdnʌsɭˈovijɪ
празднословием	prʌzdnʌsɭˈovijim
празднословить	prʌzdnʌsɭˈovit
празднословию	prʌzdnʌsɭˈoviju
празднословия	prʌzdnʌsɭˈovija
праздности	prˈɑzdnʌstɪ
праздность	prˈɑzdnʌst
праздностью	prazdnˈostjju
праздношатающегося	prʌzdnʌʃatˈɑjuɕivʌsʌ
праздношатающиеся	prʌzdnʌʃʌtaˈjuɕijisʌ
праздношатающийся	prʌzdnʌʃatˈɑjuɕijsʌ
праздношатающихся	prʌzdnʌʃatˈɑjuɕixsʌ
праздною	prazdnˈoju
празднуем	praznujem
празднуем	prˈɑzdnujim
празднуемого	prʌzdnujˈemʌvʌ
празднует	prˈɑzdnujit
празднуете	prˈɑzdnujiti
празднуется	prˈɑzdnujitsʌ
празднуешь	prˈɑzdnujiʃ
празднуй	prˈɑzdnuj
празднуйте	prazdnˈujti
праздную	praznuju
праздную	prˈɑzdnuju
празднуют	prˈɑzdnujut
празднующих	prˈɑzdnujuɕix
празднуя	prˈɑzdnuja
праздны	prˈɑzdny
праздные	prˈɑzdnyjɪ
праздные-то	prˈɑzdnyjɪtˈo
праздный	prˈɑzdnyj
праздным	prˈɑzdnym
праздными	prazdnˈymɪ
праздных	prˈɑzdnyx
праземный	prasʲimnoj
празиола	prˈɑzioɭˈɑ
празник	prˈɑʑnik
празника	praʑnˈika
прайвет	prajvˈet
прайд	prˈɑjt
прайда	prˈɑjda
прайде	prˈɑjdi
прайдер	prˈɑjdir
прайдов	prˈɑjdʌf
прайдом	prˈɑjdʌm
прайду	prˈɑjdu
прайен	prˈɑjin
прайена	prajˈena
прайер	prˈɑjir
прайм	prˈɑjm
прайм-тайм	prˈajmtˈɑjm
прайм-уорлд	prˈɑjmuˈorɭt
прайма	prˈɑjma
праймале	prajmˈɑɭi
прайме	prˈɑjmi
праймер	prajmʲer
праймери	prajmˈerɪ
прайминг	prajmʲink
праймов	prˈɑjmʌf
праймы	prˈɑjmy
прайор	prˈɑjʌr
прайора	prajˈora
прайори	prajˈorɪ
прайс	prˈɑjs
прайс-лист	prˈajsɭˈist
прайса	prˈɑjsa
прайсеит	prɛjsʲii̯t
прайсом	prˈɑjsʌm
прайсу	prˈɑjsu
прак	prˈɑk
праквиц	prakvˈits
праквица	prakvˈitsa
праквицу	prakvˈitsu
пракрит	prakrita
пракрити	prakrˈitɪ
пракритский	prˈokrˈitskij
праксед	praksˈet
пракседа	praksˈeda
праксин	prakʂin
праксис	praksʲis
пракситель	praksˈitiɭ
праксителя	praksˈitiɭʌ
пракситея	praksˈitija
практи	prˈɑktɪ
практик	prakˈtik
практик	prˈɑktik
практика	prɐktika
практика	prˈɑktika
практикам	prˈɑktikʌm
практиками	prˈɑktikʌmɪ
практикант	praktsʲikant
практикант	prʌktikˈɑnt
практиканта	prʌktikˈɑnta
практикантам	prʌktikˈɑntʌm
практикантами	prʌktikˈɑntʌmɪ
практикантка	prʌktikˈɑntka
практикантку	praktˈikʌntku
практикантов	prʌktikˈɑntʌf
практиканток	prʌktikˈɑntʌk
практикантом	prʌktikˈɑntʌm
практиканту	prʌktikˈɑntu
практиканты	prʌktikˈɑnty
практиках	prˈɑktikʌx
практике	prˈɑktiki
практики	prˈɑktikɪ
практики	prˈɑktiʃkɪ
практиков	prˈɑktikʌf
практиковавшие	prʌktikˈovʌfʃyjɪ
практиковал	praktʲikavau̯
практиковал	prʌktikʌvˈɑɭ
практиковала	prʌktikʌvˈɑɭa
практиковалась	prʌktikʌvˈɑɭʌs
практиковали	prʌktikʌvˈɑɭɪ
практиковались	prʌktikʌvˈɑɭis
практиковалось	prʌktikʌvˈɑɭʌs
практиковался	prʌktikʌvˈɑɭsʌ
практиковать	prʌktikʌvˈɑt
практиковаться	prʌktikʌvˈɑtsʌ
практикой	prˈɑktikʌj
практиком	prˈɑktikʌm
практикою	praktˈikʌju
практику	praktʲiku
практику	prˈɑktiku
практикуем	prʌktikˈujim
практикуемое	prʌktikˈujimʌjɪ
практикуемся	praktsʲikuʲimsja
практикуемые	prʌktikˈujimyjɪ
практикуемых	prʌktikˈujimyx
практикует	prʌktikˈujit
практикуете	prʌktikˈujiti
практикуется	prʌktikˈujitsʌ
практикуйте	praktˈikujti
практикум	prˈɑktikum
практикума	prˈɑktikuma
практикую	prʌktikˈuju
практикуюсь	prʌktikˈujus
практикуют	praktsʲikujut
практикуют	prakʲtsʲikujut
практикуют	prʌktikˈujut
практикуются	prʌktikˈujutsʌ
практикующего	prʌktikˈujuɕivʌ
практикующему	prʌktikˈujuɕimu
практикующие	prʌktikˈujuɕijɪ
практикующий	prʌktikˈujuɕij
практикующим	prʌktikˈujuɕim
практикующих	prʌktikˈujuɕix
практикуя	prʌktikˈuja
практикуясь	prʌktikˈujas
практис	prˈɑktis
практиц	praktˈits
практицизм	prʌktitsˈyzm
практицизма	praktˈitsyzma
практицизмом	prʌktitsˈyzmʌm
практичен	praktˈitʃin
практическая	praktˈitʃiskʌja
практически	praktitʃɛski
практически	praktˈitʃiskɪ
практические	praktˈitʃiskijɪ
практический	praktˈitʃiskij
практический	praktˈitʃiskix
практическим	praktˈitʃiskim
практическими	praktˈitʃiskimɪ
практических	praktˈitʃiskix
практического	praktˈitʃiskʌvʌ
практическое	praktˈitʃiskʌja
практическое	praktˈitʃiskʌjɪ
практической	praktˈitʃiskʌj
практической	praktˈitʃiskʌjɪ
практическом	praktˈitʃiskʌ
практическом	praktˈitʃiskʌm
практическому	praktˈitʃiskʌmu
практическую	praktˈitʃiskuju
практическую	praktˈitʃiskʌju
практична	praktˈiʃna
практичная	praktˈitʃnʌja
практичнее	praktˈitʃnijɪ
практичней	praktˈitʃnij
практичний	praktˈitʃnij
практично	praktˈitʃnʌ
практично-здоровое	praktˈitʃnʌzdʌrˈovʌjɪ
практичного	praktˈitʃnʌvʌ
практичное	praktˈitʃnʌjɪ
практичной	praktˈiʃnʌj
практичному	praktˈitʃnʌmu
практичности	praktˈitʃnʌstɪ
практичность	praktˈitʃnʌst
практичность-благоразумие	praktˈitʃnʌstbɭʌgʌrazˈumijɪ
практичностью	praktˈitʃnʌstjju
практичную	praktˈitʃnuju
практичны	praktˈiʃny
практичные	praktˈitʃnyjɪ
практичный	praktˈitʃnyj
практичным	praktˈitʃnym
практичными	praktˈitʃnymɪ
практичных	praktˈitʃnyx
прал	prˈɑɭ
прала	prˈɑɭa
прален	prˈɑɭin
прамайяский	pramajazkʲej
прамамочка	pramˈɑmʌtʃka
праматери	pramˈɑtirɪ
праматерии	prʌmatˈeriɪ
праматерь	pramˈɑtir
праматерь	pramˈɑtirɪ
праматерью	pramˈɑtirɪjju
прамировой	pramʲiravoj
прамод	pramˈot
прамонотеизм	pramonatɛjsʲm
прана	prˈɑna
пранаяма	prʌnaˈjama
пранаяме	pranˈɑjami
пранаяму	pranˈɑjamu
пранаямы	pranˈɑjamy
пранг	prˈɑnk
пранди	prˈɑndɪ
прандтль	prˈɑndtɭ
пранешачарии	prʌniʃˈɑtʃʌriɪ
пранешачария	prʌniʃˈɑtʃʌrija
пранк	pɾalˈk
пранкота	prankata
праной	prˈɑnʌj
прану	prˈɑnu
праны	prˈɑny
праотец	prˈɑʌtits
праотца	prˈɑʌttsa
праотцам	prˈɑʌttsʌm
праотцами	praˈottsʌmɪ
праотцев	prˈɑʌttsyf
праотцов	prʌʌttsˈof
праотцом	praˈottsʌm
праотцу	praˈottsu
праотцы	prʌʌttsˈy
прапор	prˈɑpʌr
прапора	prˈɑpʌra
прапорами	prapˈorʌmɪ
прапори	prapˈorɪ
прапоров	prapˈorʌf
прапором	prapˈorʌm
прапору	prapˈoru
прапорщик	prˈɑpʌrɕik
прапорщика	prˈɑpʌrɕika
прапорщикам	prʌpʌrɕˈikʌm
прапорщиками	prˈɑpʌrɕikʌmɪ
прапорщики	prapˈorɕikɪ
прапорщиков	prˈɑpʌrɕikʌf
прапорщиком	prˈɑpʌrɕikʌm
прапорщику	prapˈorɕiku
прапоры	prapˈory
прапра	prˈɑpra
прапрабабка	praprˈɑbʌpka
прапрабабушка	praprabapuʂka
прапрабабушка	prʌprabˈɑbuʃka
прапрабабушку	praprababuʂku
праправнук	prʌpravnˈuk
праправнука	praprˈɑvnuka
праправнуки	praprˈɑvnukɪ
праправнуков	prʌpravnˈukʌf
праправнучка	praprɐvnutʃka
праправнучка	praprˈɑvnutʃka
прапрад	praprˈɑt
прапрадед	prapradzʲet
прапрадед	praprˈɑdit
прапрадеда	praprˈɑdida
прапрадедов	prʌpradˈedʌf
прапрадедом	praprˈɑdidʌm
прапрадедушка	prʌpradˈeduʃka
прапрадедушки	prʌpradˈeduʃkɪ
прапрадеды	praprˈɑdidy
прапрапрабабушка	prapraprabapuʂka
прапрапрадед	prʌpraprˈɑdit
прапредки	praprˈetkɪ
прапредков	praprˈedkʌf
прапредок	praprʲedak
прародина	prarˈodina
прародине	prarˈodini
прародиной	prarˈodinʌj
прародину	prarˈodinu
прародины	prarˈodiny
прародителей	prʌrʌdˈitiɭij
прародителем	prʌrʌdˈitiɭim
прародители	prʌrʌdˈitiɭɪ
прародитель	prʌrʌdˈitiɭ
прародительница	prʌrʌdˈitiɭnitsa
прародительницей	prʌrʌdˈitiɭnitsyj
прародительницу	prʌrʌdˈitiɭnitsu
прародительницы	prʌrʌdˈitiɭnitsy
прародительский	prʌrʌdˈitiɭskij
прародительской	prʌrʌdˈitiɭskʌj
прародителю	prʌrʌdˈitiɭuˌ
прародителя	prʌrʌdˈitiɭʌ
прародителям	prʌrʌdˈitiɭʌm
прародителями	prʌrʌdˈitiɭʌmɪ
прасинов	prasˈinʌf
прасины	prasˈiny
прасковье	praskˈovjjɪ
прасковьей	praskˈovjjij
прасковьи	praskˈovjɪ
прасковью	praskˈovjju
прасковьюшка	praskˈovjjuʃka
прасковья	praskˈovjja
праскушка	prɑːskuʃko
праславян	prasɭˈɑvʌn
праславяне	prasɫavjani
праславянских	prasɫavjanskʲix
прасол	prˈɑsʌɭ
прасолом	prasˈoɭʌm
прасолы	prasˈoɭy
прасолы	prasˈoɭɨ
прасторы	prastˈory
прат	prˈɑt
прата	prˈɑta
пратачулторн	prʌtatʃˈuɭtʌrn
пратачулторна	prʌtatʃˈuɭtʌrna
пратер	prˈɑtir
пратера	pratˈera
пратере	pratˈeri
прати	prˈɑtɪ
прато	prˈɑtʌ
пратт	prˈɑtt
пратта	prˈɑtta
праттом	prˈɑttʌm
пратту	prˈɑttu
праттша	prˈɑttʃa
праттше	prˈɑttʃy
пратхавец	prʌtxavˈets
пратчетт	prattʃˈett
прау	prˈɑu
прауд	praˈut
праудфьют	prʌutfjˈjut
праут	praˈut
праформа	praforma
прах	prˈax
прах	prˈɑx
праха	prˈɑxa
прахд	prˈɑxt
прахе	prˈɑxi
прахов	prˈɑxʌf
прахова	praxˈova
праховой	praxˈovʌj
прахом	praxam
прахом	prˈɑxʌm
праху	prˈɑxu
прац	prˈɑts
працею	pratsˈɛju
праць	prˈɑts
працьовит	prʌtsʌvˈit
працю	prˈɑtsuˌ
працював	pratsˈuˌvʌf
працювала	pratsˈuˌvʌɭa
працювали	pratsˈuˌvʌɭɪ
працювати	pratsˈuˌvʌtɪ
працюватиме	prʌtsuˌvˈɑtimi
працюй	prˈɑtsuˌj
працюю	pratsˈuˌju
працюють	prʌtsuˌˈjut
працюючи	pratsˈuˌjutʃɪ
праця	prˈɑtsʌ
працё	pratsˈɵ
прачек	prˈɑtʃik
прачечная	bratʃitʃnaja
прачечная	prˈɑtʃitʃnʌja
прачечного	pratʃˈetʃnʌvʌ
прачечной	prˈɑtʃiʃnʌj
прачечную	prˈɑtʃitʃnuju
прачечные	prˈɑtʃitʃnyjɪ
прачечных	prˈɑtʃitʃnyx
прачешная	pratʃˈeʃnʌja
прачешной	pratʃˈeʃnʌj
прачка	prˈɑtʃka
прачкам	prˈɑtʃkʌm
прачками	pratʃkˈɑmɪ
прачке	prˈɑtʃki
прачки	prˈɑtʃkɪ
прачкой	prˈɑtʃkʌj
прачкою	pratʃkˈoju
прачку	prˈɑtʃku
праша	prˈɑʃa
прашкевич	prʌʃkivˈitʃ
прашко	prˈɑʃkʌ
прашу	prˈɑʃu
пращ	prˈɑɕ
праща	praɕˈɑ
пращами	praɕˈɑmɪ
праще	prˈɑɕi
пращей	praɕˈej
пращи	praɕˈi
пращники	praɕnˈikɪ
пращников	praɕnˈikʌf
пращой	prˈɑɕʌj
пращу	praɕˈu
пращур	prˈɑɕur
пращура	prˈɑɕura
пращурам	praɕˈurʌm
пращурами	prˈɑɕurʌmɪ
пращури	praɕˈurɪ
пращурка	praʃurka
пращуров	prˈɑɕurʌf
пращуры	prˈɑɕury
праэторит-вонга	prʌɛtˈoritvˈonga
праязык	prʌjazˈyk
праязыка	praˈjazyka
прг	pˌɛˌɛrgˈɛ
прд	pˌɛˌɛrdˈɛ
пре	prˈe
пре-о-клер	prˈeˈokɭˈer
пре-славу	prˈesɭˈɑvu
преамбул	priˈɑmbuɭ
преамбула	priˈɑmbuɭa
преамбуле	priˈɑmbuɭi
преамбулу	priˈɑmbuɭu
преамбулы	priˈɑmbuɭy
преархей	prʲiarxʲej
преблагороднейший	pribɭʌgʌrˈodnijʃyj
преблагословенные	prˈibɭʌgʌsɭʌvˈennyjɪ
пребогатый	pribʌgʌtˈoj
пребогатый	pribʌgˈɑtyj
пребойким	pribˈojkim
пребольно	pribˈoɭnʌ
пребольшие	pribʌɭʃˈyjɪ
пребольшое	pribˈoɭʃʌjɪ
пребольшой	pribʌɭʃˈoj
пребудем	pribˈudim
пребудет	pribˈudit
пребудете	pribˈuditi
пребудешь	pribˈudiʃ
пребуду	pribˈudu
пребудут	pribˈudut
пребудь	pribˈut
пребудьте	pribˈudti
пребывавшая	pribyvˈɑfʃʌja
пребывавшего	pribyvˈɑfʃyvʌ
пребывавшей	pribyvˈɑfʃyj
пребывавшему	pribyvˈɑfʃymu
пребывавшие	pribyvˈɑfʃyjɪ
пребывавший	pribyvˈɑfʃyj
пребывавшим	pribyvˈɑfʃym
пребывавших	pribyvˈɑfʃyx
пребывавшую	pribyvˈɑfʃuju
пребываем	pribyvˈɑjim
пребывает	pribyvˈɑjit
пребываете	pribyvˈɑjiti
пребываешь	pribyvˈɑjiʃ
пребывай	pribyvˈɑj
пребывайте	pribyvˈɑjti
пребывал	pribyvˈɑɭ
пребывала	pribyvˈɑɭa
пребывали	pribyvˈɑɭɪ
пребывало	pribyvˈɑɭʌ
пребыван	pribˈyvʌn
пребывание	pribyvˈɑnijɪ
пребыванием	pribyvˈɑnijim
пребывании	pribyvˈɑniɪ
пребыванию	pribyvˈɑniju
пребывания	pribyvˈɑnija
пребыванье	pribyvˈɑnjjɪ
пребывать	pribyvˈɑt
пребываю	pribyvˈɑju
пребывают	pribyvˈɑjut
пребывающая	pribyvˈɑjuɕʌja
пребывающего	pribyvˈɑjuɕivʌ
пребывающее	pribyvˈɑjuɕijɪ
пребывающей	pribyvˈɑjuɕij
пребывающем	pribyvˈɑjuɕim
пребывающему	pribyvˈɑjuɕimu
пребывающие	pribyvˈɑjuɕijɪ
пребывающий	pribyvˈɑjuɕij
пребывающим	pribyvˈɑjuɕim
пребывающими	pribyvˈɑjuɕimɪ
пребывающих	pribyvˈɑjuɕix
пребывающую	pribyvˈɑjuɕuju
пребывая	pribyvˈɑja
пребыл	pribˈyɭ
пребыл	prˈebyɭ
пребыли	pribˈyɭɪ
пребыть	pribˈyt
преважно	privˈɑʒnʌ
превалировали	privaɭˈirʌvʌɭɪ
превалировать	privaɭˈirʌvʌt
превалирует	privaɭˈirujit
превалируют	privaɭˈirujut
преван	prˈevʌn
превежливо	privˈeʒɭivʌ
превелебний	priviɭˈebnij
превеликая	priviɭˈikʌja
превеликие	priviɭˈikijɪ
превеликий	priviɭˈikij
превеликим	priviɭˈikim
превеликими	priviɭˈikimɪ
превеликого	priviɭˈikʌvʌ
превеликое	priviɭˈikʌjɪ
превеликой	priviɭˈikʌj
превеликом	priviɭˈikʌm
превеликому	priviɭˈikʌmu
превеликою	priviɭˈikʌju
превелику	privˈeɭiku
превентивная	privintˈivnʌja
превентивно	privintˈivnʌ
превентивного	privintˈivnʌvʌ
превентивной	privintˈivnʌj
превентивном	privintˈivnʌm
превентивную	privintˈivnuju
превентивные	privintˈivnyjɪ
превентивный	privintˈivnyj
превентивный	prɛvintˈivnyj
превентивный	prɛvʲentʲivnaj
превентивных	privintˈivnyx
превесело	privˈesiɭʌ
превесёлый	privisˈɵɭyj
превзойден	privzˈojdin
превзойдена	privzʌjdinˈɑ
превзойдены	privzʌjdinˈy
превзойдешь	privzʌjdˈeʃ
превзойду	privzʌjdˈu
превзойду	prʲifzajdu
превзойдут	privzʌjdˈut
превзойдя	privzʌjdˈɑ
превзойдён	prʲevzʌidˈon
превзойдённых	privzʌjdˈɵnnyx
превзойдёт	privzʌjdˈɵt
превзойти	privzʌjtˈi
превзойти	prʲevzʌjtˈi
превзойти	prʲifzajtˈi
превзошедшего	privzʌʃˈɛdʃyvʌ
превзошедший	privzʌʃˈɛdʃyj
превзошла	privzʌʃɭˈɑ
превзошли	privzʌʃɭˈi
превзошло	privzʌʃɭˈo
превзошёл	privzʌʃˈoɭ
превзошёл	prɪvzʌʃou̯
превиль	prˈeviɭ
превкусно	prifkˈusnʌ
превнимательно	privnimˈɑtiɭnʌ
прево	privˈo
превозвысить	privʌzvˈysit
превозмог	privʌzmˈok
превозмог	prʲivʌzmˈok
превозмогавший	prˈivʌzmʌgˈɑfʃyj
превозмогаемый	prˈivʌzmʌgˈɑjimyj
превозмогает	privʌzmˈogʌjit
превозмогал	privʌzmˈogʌɭ
превозмогала	privʌzmˈogʌɭa
превозмогать	privʌzmʌgˈɑt
превозмогать	prʲivʌzmʌgˈɑt
превозмогая	privʌzmʌgˈɑja
превозмогая	prʲemʌzmʌgˈɑja
превозмогла	privʌzmʌgɭˈɑ
превозмогли	privʌzmʌgɭˈi
превозмогло	privʌzmʌgɭˈo
превозмогут	privʌzmˈogut
превозможет	privʌzmˈoʒyt
превозмочь	privʌzmˈotʃ
превознесен	privʌʑnisˈen
превознесение	privʌʑnˈesinijɪ
превознесение	prʲivɨznʲisʲenʲiʲe
превознесли	privˈoʑnisɭɪ
превознести	privˈoʑnistɪ
превознестись	privʌʑnˈestis
превозносил	privʌznʌsˈiɭ
превозносила	privʌznˈosiɭa
превозносила	prʌvʌznosˈiɭʌ
превозносилась	privʌznˈosiɭʌs
превозносили	privʌznʌsˈiɭɪ
превозносились	privʌznʌsˈiɭis
превозносился	privʌznˈosiɭsʌ
превозносим	privʌznˈosim
превозносит	privʌznˈosit
превозносите	privʌznˈositi
превозносится	privʌznˈositsʌ
превозносить	privʌznʌsˈit
превозноситься	prʲivoznʌsʲitsːo
превозносишь	privʌznˈosiʃ
превознося	privʌznʌsˈɑ
превозносят	privʌznˈosʌt
превозносятся	privʌznˈosʌtsʌ
превозношу	privʌznˈɑʃu
превозношу	privˈoznʌʃu
превознёс	privʌʑnˈɵs
превос	prˈevʌs
превоспитанная	privʌspˈitʌnnʌja
превост	privˈost
превоста	privˈosta
превосходен	privʌsxˈodin
превосходившая	privʌsxʌdˈifʃʌja
превосходившего	privʌsxʌdˈifʃyvʌ
превосходившее	privʌsxʌdˈifʃyjɪ
превосходившей	privʌsxˈodifʃyj
превосходившие	privʌsxʌdˈifʃyjɪ
превосходивший	privʌsxʌdˈifʃyj
превосходившим	privʌsxʌdˈifʃym
превосходившими	privʌsxʌdˈifʃymɪ
превосходивших	privʌsxʌdˈifʃyx
превосходившую	privʌsxˈodifʃuju
превосходил	privʌsxʌdˈiɭ
превосходил	prʲevʌsxadˈiɭ
превосходила	privʌsxʌdˈiɭa
превосходили	privʌsxʌdˈiɭɪ
превосходило	privʌsxʌdˈiɭʌ
превосходим	privʌsxˈodim
превосходит	privʌsxˈodit
превосходите	privʌsxˈoditi
превосходительный	privʌsxʌdˈitiɭnyj
превосходительств	privʌsxˈoditiɭstf
превосходительства	privʌsxʌdˈitiɭstva
превосходительстве	privʌsxˈoditiɭstvi
превосходительство	privʌsxʌdˈitiɭstvʌ
превосходительство	prʌvʌsxʌdˈitiɭstvʌ
превосходительством	privʌsxʌdˈitiɭstvʌm
превосходительству	privʌsxʌdˈitiɭstvu
превосходить	privʌsxʌdˈit
превосходить	prʲivʌsxʌdˈit
превосходишь	privʌsxˈodiʃ
превосходна	privʌsxˈodna
превосходная	privʌsxˈodnʌja
превосходнее	privʌsxˈodnijɪ
превосходнейшая	privʌsxˈodnijʃʌja
превосходнейше	privʌsxˈodnijʃy
превосходнейшего	privʌsxˈodnijʃyvʌ
превосходнейшее	privʌsxˈodnijʃyjɪ
превосходнейшей	privʌsxˈodnijʃyj
превосходнейшем	privʌsxˈodnijʃym
превосходнейшие	privʌsxˈodnijʃyjɪ
превосходнейший	privʌsxˈodnijʃyj
превосходнейшим	privʌsxˈodnijʃym
превосходнейших	privʌsxˈodnijʃyx
превосходнейшую	privʌsxˈodnijʃuju
превосходно	privʌsxˈodnʌ
превосходного	privʌsxˈodnʌvʌ
превосходное	privʌsxˈodnʌjɪ
превосходное	prʲivasxodnoʲe
превосходной	privʌsxˈodnʌj
превосходном	privʌsxˈodnʌm
превосходному	privʌsxˈodnʌmu
превосходную	privʌsxˈodnuju
превосходны	privʌsxˈodny
превосходные	privʌsxˈodnyjɪ
превосходный	privʌsxˈodnyj
превосходным	privʌsxˈodnym
превосходными	privʌsxˈodnymɪ
превосходных	privʌsxˈodnyx
превосходных	prˈeɭʌsxˈodnyx
превосходов	privʌsxˈodʌf
превосходств	privʌsxˈodstv
превосходства	privʌsxˈodstva
превосходстве	privʌsxˈodstvi
превосходство	privasxˈodstvʌ
превосходство	privʌsxˈodstvʌ
превосходством	privʌsxˈodstvʌm
превосходству	privʌsxˈodstvu
превосходя	privʌsxʌdˈɑ
превосходят	privʌsxˈodʌt
превосходящая	privʌsxʌdˈɑɕʌja
превосходящего	privʌsxʌdˈɑɕivʌ
превосходящее	privʌsxʌdˈɑɕijɪ
превосходящей	privʌsxʌdˈɑɕij
превосходящем	privʌsxʌdˈɑɕim
превосходящему	privʌsxʌdˈɑɕimu
превосходящие	privʌsxʌdˈɑɕijɪ
превосходящий	privasxʌdˈɑɕij
превосходящий	privʌsxʌdˈɑɕij
превосходящим	privʌsxʌdˈɑɕim
превосходящими	privʌsxʌdˈɑɕimɪ
превосходящих	privʌsxʌdˈɑɕix
превосходящую	privʌsxʌdˈɑɕuju
превосхожу	privʌsxʌʒˈu
превра	prˈevra
превратен	privrˈɑtin
преврати	privratˈi
превратив	privratˈif
превратившая	privratˈifʃʌja
превратившаяся	privratˈifʃʌjasʌ
превратившего	privratˈifʃyvʌ
превратившегося	privratˈifʃyvʌsʌ
превратившее	privratˈifʃyjɪ
превратившееся	privratˈifʃyjisʌ
превратившей	privratˈifʃyj
превратившейся	privratˈifʃyjsʌ
превратившемся	privratˈifʃymsʌ
превратившемуся	privratˈifʃymusʌ
