а	a
нараняхте	nɐrɐnʲa̟xtɛ
наредба	nɐrɛdbɐ
наредя	nɐrɛdʲa̟
нареждам	nɐrɛʒdɐm
нарека	nɐrɛkɤ
нарекат	nɐrɛkɤt
нарекла	nɐrɛkɫɐ
нареклата	nɐrɛkɫɐtɐ
нарекли	nɐrɛkli
нареклите	nɐrɛklitɛ
нареклия	nɐrɛklijɐ
нареклият	nɐrɛklijɐt
нарекло	nɐrɛkɫo
нареклото	nɐrɛkɫoto
нарекох	nɐrɛkox
нарекоха	nɐrɛkoxɐ
нарекохме	nɐrɛkoxmɛ
нарекохте	nɐrɛkoxtɛ
нарекъл	nɐrɛkɐɫ
наречал	nɐrɛtʃa̟ɫ
наречала	nɐrɛtʃa̟ɫɐ
наречали	nɐrɛtʃa̟li
наречало	nɐrɛtʃa̟ɫo
наречах	nɐrɛtʃa̟x
наречаха	nɐrɛtʃa̟xɐ
наречахме	nɐrɛtʃa̟xmɛ
наречахте	nɐrɛtʃa̟xtɛ
нарече	nɐrɛtʃɛ
наречел	nɐrɛtʃɛɫ
наречела	nɐrɛtʃɛɫɐ
наречели	nɐrɛtʃɛli
наречело	nɐrɛtʃɛɫo
наречем	nɐrɛtʃɛm
наречен	nɐrɛtʃɛn
наречена	nɐrɛtʃɛnɐ
наречената	nɐrɛtʃɛnɐtɐ
наречени	nɐrɛtʃɛni
наречените	nɐrɛtʃɛnitɛ
наречения	nɐrɛtʃɛnijɐ
нареченият	nɐrɛtʃɛnijɐt
наречено	nɐrɛtʃɛno
нареченото	nɐrɛtʃɛnoto
наречете	nɐrɛtʃɛtɛ
наречех	nɐrɛtʃɛx
наречеха	nɐrɛtʃɛxɐ
наречехме	nɐrɛtʃɛxmɛ
наречехте	nɐrɛtʃɛxtɛ
наречеш	nɐrɛtʃɛʃ
наречеше	nɐrɛtʃɛʃɛ
наречи	nɐrɛtʃi
наречие	nɐrɛtʃiɛ
нарицаем	nɐritsaɛm
нарича	nɐritʃɐ
наричай	nɐritʃɐj
наричайки	nɐritʃɐjki
наричайте	nɐritʃɐjtɛ
наричал	nɐritʃɐɫ
наричала	nɐritʃɐɫɐ
наричалата	nɐritʃɐɫɐtɐ
наричали	nɐritʃɐli
наричалите	nɐritʃɐlitɛ
наричалия	nɐritʃɐlijɐ
наричалият	nɐritʃɐlijɐt
наричало	nɐritʃɐɫo
наричалото	nɐritʃɐɫoto
наричам	nɐritʃɐm
наричаме	nɐritʃɐmɛ
наричан	nɐritʃɐn
наричана	nɐritʃɐnɐ
наричаната	nɐritʃɐnɐtɐ
наричане	nɐritʃɐnɛ
наричанета	nɐritʃɐnɛtɐ
наричанетата	nɐritʃɐnɛtɐtɐ
наричането	nɐritʃɐnɛto
наричани	nɐritʃɐni
наричаните	nɐritʃɐnitɛ
наричания	nɐritʃɐnijɐ
наричаният	nɐritʃɐnijɐt
наричанията	nɐritʃɐnijɐtɐ
наричано	nɐritʃɐno
наричаното	nɐritʃɐnoto
наричат	nɐritʃɐt
наричате	nɐritʃɐtɛ
наричах	nɐritʃɐx
наричаха	nɐritʃɐxɐ
наричахме	nɐritʃɐxmɛ
наричахте	nɐritʃɐxtɛ
наричаш	nɐritʃɐʃ
наричаше	nɐritʃɐʃɛ
наричащ	nɐritʃɐʃt
наричаща	nɐritʃɐʃtɐ
наричащата	nɐritʃɐʃtɐtɐ
наричащи	nɐritʃɐʃti
наричащите	nɐritʃɐʃtitɛ
наричащия	nɐritʃɐʃtijɐ
наричащият	nɐritʃɐʃtijɐt
наричащо	nɐritʃɐʃto
наричащото	nɐritʃɐʃtoto
наркоман	nɐrkoman
наркоманка	nɐrkomaŋkɐ
наркотик	nɐrkotik
нарове	narovɛ
народ	nɐrɔt
народен	nɐrɔdɛn
народност	nɐrɔdnost
народността	nɐrodnosta
наръгвам	nɐrɤɡvɐm
нас	nas
насам	nɐsam
насека	nɐsɛkɤ
насекат	nɐsɛkɤt
насекли	nɐsɛkli
насеклите	nɐsɛklitɛ
насеклия	nɐsɛklijɐ
насеклият	nɐsɛklijɐt
насекомо	nɐsɛkomo
насекомо	nɐsɛkɔmo
население	nɐsɛlɛniɛ
насечал	nɐsɛtʃa̟ɫ
насечала	nɐsɛtʃa̟ɫɐ
насечали	nɐsɛtʃa̟li
насечало	nɐsɛtʃa̟ɫo
насечах	nɐsɛtʃa̟x
насечаха	nɐsɛtʃa̟xɐ
насечахме	nɐsɛtʃa̟xmɛ
насечахте	nɐsɛtʃa̟xtɛ
насече	nɐsɛtʃɛ
насечел	nɐsɛtʃɛɫ
насечела	nɐsɛtʃɛɫɐ
насечели	nɐsɛtʃɛli
насечело	nɐsɛtʃɛɫo
насечем	nɐsɛtʃɛm
насечен	nɐsɛtʃɛn
насечена	nɐsɛtʃɛnɐ
насечената	nɐsɛtʃɛnɐtɐ
насечени	nɐsɛtʃɛni
насечените	nɐsɛtʃɛnitɛ
насечения	nɐsɛtʃɛnijɐ
насеченият	nɐsɛtʃɛnijɐt
насечено	nɐsɛtʃɛno
насеченото	nɐsɛtʃɛnoto
насечете	nɐsɛtʃɛtɛ
насечех	nɐsɛtʃɛx
насечеха	nɐsɛtʃɛxɐ
насечехме	nɐsɛtʃɛxmɛ
насечехте	nɐsɛtʃɛxtɛ
насечеш	nɐsɛtʃɛʃ
насечеше	nɐsɛtʃɛʃɛ
насечи	nɐsɛtʃi
насилие	nɐsiliɛ
насича	nɐsitʃɐ
насичай	nɐsitʃɐj
насичайки	nɐsitʃɐjki
насичайте	nɐsitʃɐjtɛ
насичал	nɐsitʃɐɫ
насичала	nɐsitʃɐɫɐ
насичалата	nɐsitʃɐɫɐtɐ
насичали	nɐsitʃɐli
насичалите	nɐsitʃɐlitɛ
насичалия	nɐsitʃɐlijɐ
насичалият	nɐsitʃɐlijɐt
насичало	nɐsitʃɐɫo
насичалото	nɐsitʃɐɫoto
насичам	nɐsitʃɐm
насичаме	nɐsitʃɐmɛ
насичан	nɐsitʃɐn
насичана	nɐsitʃɐnɐ
насичаната	nɐsitʃɐnɐtɐ
насичане	nɐsitʃɐnɛ
насичанета	nɐsitʃɐnɛtɐ
насичанетата	nɐsitʃɐnɛtɐtɐ
насичането	nɐsitʃɐnɛto
насичани	nɐsitʃɐni
насичаните	nɐsitʃɐnitɛ
насичания	nɐsitʃɐnijɐ
насичаният	nɐsitʃɐnijɐt
насичанията	nɐsitʃɐnijɐtɐ
насичано	nɐsitʃɐno
насичаното	nɐsitʃɐnoto
насичат	nɐsitʃɐt
насичате	nɐsitʃɐtɛ
насичах	nɐsitʃɐx
насичаха	nɐsitʃɐxɐ
насичахме	nɐsitʃɐxmɛ
насичахте	nɐsitʃɐxtɛ
насичаш	nɐsitʃɐʃ
насичаше	nɐsitʃɐʃɛ
насичащ	nɐsitʃɐʃt
насичаща	nɐsitʃɐʃtɐ
насичащата	nɐsitʃɐʃtɐtɐ
насичащи	nɐsitʃɐʃti
насичащите	nɐsitʃɐʃtitɛ
насичащия	nɐsitʃɐʃtijɐ
насичащият	nɐsitʃɐʃtijɐt
насичащо	nɐsitʃɐʃto
насичащото	nɐsitʃɐʃtoto
наследели	nɐslɛdɛli
наследен	nɐslɛdɛn
наследена	nɐslɛdɛnɐ
наследената	nɐslɛdɛnɐtɐ
наследени	nɐslɛdɛni
наследените	nɐslɛdɛnitɛ
наследения	nɐslɛdɛnijɐ
наследеният	nɐslɛdɛnijɐt
наследено	nɐslɛdɛno
наследеното	nɐslɛdɛnoto
наследете	nɐslɛdɛtɛ
наследеше	nɐslɛdɛʃɛ
наследи	nɐslɛdi
наследил	nɐslɛdiɫ
наследила	nɐslɛdiɫɐ
наследилата	nɐslɛdiɫɐtɐ
наследили	nɐslɛdili
наследилите	nɐslɛdilitɛ
наследилия	nɐslɛdilijɐ
наследилият	nɐslɛdilijɐt
наследило	nɐslɛdiɫo
наследилото	nɐslɛdiɫoto
наследим	nɐslɛdim
наследите	nɐslɛditɛ
наследих	nɐslɛdix
наследиха	nɐslɛdixɐ
наследихме	nɐslɛdixmɛ
наследихте	nɐslɛdixtɛ
наследиш	nɐslɛdiʃ
наследя	nɐslɛdʲɤ̟
наследява	nɐslɛdʲa̟vɐ
наследявай	nɐslɛdʲa̟vɐj
наследявайки	nɐslɛdʲa̟vɐjki
наследявайте	nɐslɛdʲa̟vɐjtɛ
наследявал	nɐslɛdʲa̟vɐɫ
наследявала	nɐslɛdʲa̟vɐɫɐ
наследявалата	nɐslɛdʲa̟vɐɫɐtɐ
наследявали	nɐslɛdʲa̟vɐli
наследявалите	nɐslɛdʲa̟vɐlitɛ
наследявалия	nɐslɛdʲa̟vɐlijɐ
наследявалият	nɐslɛdʲa̟vɐlijɐt
наследявало	nɐslɛdʲa̟vɐɫo
наследявалото	nɐslɛdʲa̟vɐɫoto
наследявам	nɐslɛdʲa̟vɐm
наследяваме	nɐslɛdʲa̟vɐmɛ
наследяван	nɐslɛdʲa̟vɐn
наследявана	nɐslɛdʲa̟vɐnɐ
наследяваната	nɐslɛdʲa̟vɐnɐtɐ
наследяване	nɐslɛdʲa̟vɐnɛ
наследяванета	nɐslɛdʲa̟vɐnɛtɐ
наследяванетата	nɐslɛdʲa̟vɐnɛtɐtɐ
наследяването	nɐslɛdʲa̟vɐnɛto
наследявани	nɐslɛdʲa̟vɐni
наследяваните	nɐslɛdʲa̟vɐnitɛ
наследявания	nɐslɛdʲa̟vɐnijɐ
наследяваният	nɐslɛdʲa̟vɐnijɐt
наследяванията	nɐslɛdʲa̟vɐnijɐtɐ
наследявано	nɐslɛdʲa̟vɐno
наследяваното	nɐslɛdʲa̟vɐnoto
наследяват	nɐslɛdʲa̟vɐt
наследявате	nɐslɛdʲa̟vɐtɛ
наследявах	nɐslɛdʲa̟vɐx
наследяваха	nɐslɛdʲa̟vɐxɐ
наследявахме	nɐslɛdʲa̟vɐxmɛ
наследявахте	nɐslɛdʲa̟vɐxtɛ
наследяваш	nɐslɛdʲa̟vɐʃ
наследяваше	nɐslɛdʲa̟vɐʃɛ
наследяващ	nɐslɛdʲa̟vɐʃt
наследяваща	nɐslɛdʲa̟vɐʃtɐ
наследяващата	nɐslɛdʲa̟vɐʃtɐtɐ
наследяващи	nɐslɛdʲa̟vɐʃti
наследяващите	nɐslɛdʲa̟vɐʃtitɛ
наследяващия	nɐslɛdʲa̟vɐʃtijɐ
наследяващият	nɐslɛdʲa̟vɐʃtijɐt
наследяващо	nɐslɛdʲa̟vɐʃto
наследяващото	nɐslɛdʲa̟vɐʃtoto
наследял	nɐslɛdʲa̟ɫ
наследяла	nɐslɛdʲa̟ɫɐ
наследяло	nɐslɛdʲa̟ɫo
наследят	nɐslɛdʲɤ̟t
наследях	nɐslɛdʲa̟x
наследяха	nɐslɛdʲa̟xɐ
наследяхме	nɐslɛdʲa̟xmɛ
наследяхте	nɐslɛdʲa̟xtɛ
насмел	nɐsmɛɫ
насмела	nɐsmɛɫɐ
насмелата	nɐsmɛɫɐtɐ
насмели	nɐsmɛli
насмелите	nɐsmɛlitɛ
насмелия	nɐsmɛlijɐ
насмелият	nɐsmɛlijɐt
насмело	nɐsmɛɫo
насмелото	nɐsmɛɫoto
насмета	nɐsmɛtɤ
насметат	nɐsmɛtɤt
насмете	nɐsmɛtɛ
насметели	nɐsmɛtɛli
насметем	nɐsmɛtɛm
насметен	nɐsmɛtɛn
насметена	nɐsmɛtɛnɐ
насметената	nɐsmɛtɛnɐtɐ
насметени	nɐsmɛtɛni
насметените	nɐsmɛtɛnitɛ
насметения	nɐsmɛtɛnijɐ
насметеният	nɐsmɛtɛnijɐt
насметено	nɐsmɛtɛno
насметеното	nɐsmɛtɛnoto
насметете	nɐsmɛtɛtɛ
насметеш	nɐsmɛtɛʃ
насметеше	nɐsmɛtɛʃɛ
насмети	nɐsmɛti
насметох	nɐsmɛtox
насметоха	nɐsmɛtoxɐ
насметохме	nɐsmɛtoxmɛ
насметохте	nɐsmɛtoxtɛ
насметял	nɐsmɛtʲa̟ɫ
насметяла	nɐsmɛtʲa̟ɫɐ
насметяло	nɐsmɛtʲa̟ɫo
насметях	nɐsmɛtʲa̟x
насметяха	nɐsmɛtʲa̟xɐ
насметяхме	nɐsmɛtʲa̟xmɛ
насметяхте	nɐsmɛtʲa̟xtɛ
насмита	nɐsmitɐ
насмитай	nɐsmitɐj
насмитайки	nɐsmitɐjki
насмитайте	nɐsmitɐjtɛ
насмитал	nɐsmitɐɫ
насмитала	nɐsmitɐɫɐ
насмиталата	nɐsmitɐɫɐtɐ
насмитали	nɐsmitɐli
насмиталите	nɐsmitɐlitɛ
насмиталия	nɐsmitɐlijɐ
насмиталият	nɐsmitɐlijɐt
насмитало	nɐsmitɐɫo
насмиталото	nɐsmitɐɫoto
насмитам	nɐsmitɐm
насмитаме	nɐsmitɐmɛ
насмитан	nɐsmitɐn
насмитана	nɐsmitɐnɐ
насмитаната	nɐsmitɐnɐtɐ
насмитане	nɐsmitɐnɛ
насмитанета	nɐsmitɐnɛtɐ
насмитанетата	nɐsmitɐnɛtɐtɐ
насмитането	nɐsmitɐnɛto
насмитани	nɐsmitɐni
насмитаните	nɐsmitɐnitɛ
насмитания	nɐsmitɐnijɐ
насмитаният	nɐsmitɐnijɐt
насмитанията	nɐsmitɐnijɐtɐ
насмитано	nɐsmitɐno
насмитаното	nɐsmitɐnoto
насмитат	nɐsmitɐt
насмитате	nɐsmitɐtɛ
насмитах	nɐsmitɐx
насмитаха	nɐsmitɐxɐ
насмитахме	nɐsmitɐxmɛ
насмитахте	nɐsmitɐxtɛ
насмиташ	nɐsmitɐʃ
насмиташе	nɐsmitɐʃɛ
насмитащ	nɐsmitɐʃt
насмитаща	nɐsmitɐʃtɐ
насмитащата	nɐsmitɐʃtɐtɐ
насмитащи	nɐsmitɐʃti
насмитащите	nɐsmitɐʃtitɛ
насмитащия	nɐsmitɐʃtijɐ
насмитащият	nɐsmitɐʃtijɐt
насмитащо	nɐsmitɐʃto
насмитащото	nɐsmitɐʃtoto
насоча	nɐsɔtʃɐ
насочвам	nɐsɔtʃvɐm
насреща	nɐsrɛʃtɐ
наставка	nɐstafkɐ
настанявам	nɐstɐnʲa̟vɐm
настоя	nɐstojɤ̟
настоявам	nɐstoja̟vɐm
настоящ	nɐstoja̟ʃt
настояще	nɐstoja̟ʃtɛ
настроение	nɐstroɛniɛ
настройчик	nɐstrɔjtʃik
насякла	nɐsʲa̟kɫɐ
насяклата	nɐsʲa̟kɫɐtɐ
насякло	nɐsʲa̟kɫo
насяклото	nɐsʲa̟kɫoto
насякох	nɐsʲa̟kox
насякоха	nɐsʲa̟koxɐ
насякохме	nɐsʲa̟koxmɛ
насякохте	nɐsʲa̟koxtɛ
насякъл	nɐsʲa̟kɐɫ
натам	nɐtam
нататък	nɐtatɐk
натегач	nɐtɛɡatʃ
натоварване	nɐtovarvɐnɛ
натрий	natrij
наука	nɐukɐ
науча	nɐutʃɐ
научавам	nɐotʃa̟vɐm
научен	nɐutʃɛn
нахален	nɐxalɛn
нахалност	nɐxaɫnost
нахалство	nɐxaɫstvo
нахапа	nɐxapɐ
нахапал	nɐxapɐɫ
нахапала	nɐxapɐɫɐ
нахапалата	nɐxapɐɫɐtɐ
нахапали	nɐxapɐli
нахапалите	nɐxapɐlitɛ
нахапалия	nɐxapɐlijɐ
нахапалият	nɐxapɐlijɐt
нахапало	nɐxapɐɫo
нахапалото	nɐxapɐɫoto
нахапан	nɐxapɐn
нахапана	nɐxapɐnɐ
нахапаната	nɐxapɐnɐtɐ
нахапани	nɐxapɐni
нахапаните	nɐxapɐnitɛ
нахапания	nɐxapɐnijɐ
нахапаният	nɐxapɐnijɐt
нахапано	nɐxapɐno
нахапаното	nɐxapɐnoto
нахапах	nɐxapɐx
нахапаха	nɐxapɐxɐ
нахапахме	nɐxapɐxmɛ
нахапахте	nɐxapɐxtɛ
нахапва	nɐxapvɐ
нахапвай	nɐxapvɐj
нахапвайки	nɐxapvɐjki
нахапвайте	nɐxapvɐjtɛ
нахапвал	nɐxapvɐɫ
нахапвала	nɐxapvɐɫɐ
нахапвалата	nɐxapvɐɫɐtɐ
нахапвали	nɐxapvɐli
нахапвалите	nɐxapvɐlitɛ
нахапвалия	nɐxapvɐlijɐ
нахапвалият	nɐxapvɐlijɐt
нахапвало	nɐxapvɐɫo
нахапвалото	nɐxapvɐɫoto
нахапвам	nɐxapvɐm
нахапваме	nɐxapvɐmɛ
нахапван	nɐxapvɐn
нахапвана	nɐxapvɐnɐ
нахапваната	nɐxapvɐnɐtɐ
нахапване	nɐxapvɐnɛ
нахапванета	nɐxapvɐnɛtɐ
нахапванетата	nɐxapvɐnɛtɐtɐ
нахапването	nɐxapvɐnɛto
нахапвани	nɐxapvɐni
нахапваните	nɐxapvɐnitɛ
нахапвания	nɐxapvɐnijɐ
нахапваният	nɐxapvɐnijɐt
нахапванията	nɐxapvɐnijɐtɐ
нахапвано	nɐxapvɐno
нахапваното	nɐxapvɐnoto
нахапват	nɐxapvɐt
нахапвате	nɐxapvɐtɛ
нахапвах	nɐxapvɐx
нахапваха	nɐxapvɐxɐ
нахапвахме	nɐxapvɐxmɛ
нахапвахте	nɐxapvɐxtɛ
нахапваш	nɐxapvɐʃ
нахапваше	nɐxapvɐʃɛ
нахапващ	nɐxapvɐʃt
нахапваща	nɐxapvɐʃtɐ
нахапващата	nɐxapvɐʃtɐtɐ
нахапващи	nɐxapvɐʃti
нахапващите	nɐxapvɐʃtitɛ
нахапващия	nɐxapvɐʃtijɐ
нахапващият	nɐxapvɐʃtijɐt
нахапващо	nɐxapvɐʃto
нахапващото	nɐxapvɐʃtoto
нахапе	nɐxapɛ
нахапел	nɐxapɛɫ
нахапела	nɐxapɛɫɐ
нахапели	nɐxapɛli
нахапело	nɐxapɛɫo
нахапем	nɐxapɛm
нахапете	nɐxapɛtɛ
нахапете	nɐxɐpɛtɛ
нахапех	nɐxapɛx
нахапеха	nɐxapɛxɐ
нахапехме	nɐxapɛxmɛ
нахапехте	nɐxapɛxtɛ
нахапеш	nɐxapɛʃ
нахапеше	nɐxapɛʃɛ
нахапи	nɐxɐpi
нахапя	nɐxapʲɐ
нахапят	nɐxapʲɐt
нацизъм	nɐtsizɐm
национален	nɐtsionalɛn
нация	natsijɐ
начала	nɐtʃɐɫa
начален	nɐtʃa̟lɛn
началник	nɐtʃa̟ɫnik
начало	nɐtʃa̟ɫo
начатък	nɐtʃa̟tɐk
начел	nɐtʃɛɫ
начела	nɐtʃɛɫɐ
начелата	nɐtʃɛɫɐtɐ
начели	nɐtʃɛli
начелите	nɐtʃɛlitɛ
начелия	nɐtʃɛlijɐ
начелият	nɐtʃɛlijɐt
начело	nɐtʃɛɫo
начелото	nɐtʃɛɫoto
начета	nɐtʃɛtɤ
начетат	nɐtʃɛtɤt
начете	nɐtʃɛtɛ
начетели	nɐtʃɛtɛli
начетем	nɐtʃɛtɛm
начетен	nɐtʃɛtɛn
начетена	nɐtʃɛtɛnɐ
начетената	nɐtʃɛtɛnɐtɐ
начетени	nɐtʃɛtɛni
начетените	nɐtʃɛtɛnitɛ
начетения	nɐtʃɛtɛnijɐ
начетеният	nɐtʃɛtɛnijɐt
начетено	nɐtʃɛtɛno
начетеното	nɐtʃɛtɛnoto
начетете	nɐtʃɛtɛtɛ
начетеш	nɐtʃɛtɛʃ
начетеше	nɐtʃɛtɛʃɛ
начети	nɐtʃɛti
начетох	nɐtʃɛtox
начетоха	nɐtʃɛtoxɐ
начетохме	nɐtʃɛtoxmɛ
начетохте	nɐtʃɛtoxtɛ
начетял	nɐtʃɛtʲa̟ɫ
начетяла	nɐtʃɛtʲa̟ɫɐ
начетяло	nɐtʃɛtʲa̟ɫo
начетях	nɐtʃɛtʲa̟x
начетяха	nɐtʃɛtʲa̟xɐ
начетяхме	nɐtʃɛtʲa̟xmɛ
начетяхте	nɐtʃɛtʲa̟xtɛ
начин	natʃin
начита	nɐtʃitɐ
начитай	nɐtʃitɐj
начитайки	nɐtʃitɐjki
начитайте	nɐtʃitɐjtɛ
начитал	nɐtʃitɐɫ
начитала	nɐtʃitɐɫɐ
начиталата	nɐtʃitɐɫɐtɐ
начитали	nɐtʃitɐli
начиталите	nɐtʃitɐlitɛ
начиталия	nɐtʃitɐlijɐ
начиталият	nɐtʃitɐlijɐt
начитало	nɐtʃitɐɫo
начиталото	nɐtʃitɐɫoto
начитам	nɐtʃitɐm
начитаме	nɐtʃitɐmɛ
начитан	nɐtʃitɐn
начитана	nɐtʃitɐnɐ
начитаната	nɐtʃitɐnɐtɐ
начитане	nɐtʃitɐnɛ
начитанета	nɐtʃitɐnɛtɐ
начитанетата	nɐtʃitɐnɛtɐtɐ
начитането	nɐtʃitɐnɛto
начитани	nɐtʃitɐni
начитаните	nɐtʃitɐnitɛ
начитания	nɐtʃitɐnijɐ
начитаният	nɐtʃitɐnijɐt
начитанията	nɐtʃitɐnijɐtɐ
начитано	nɐtʃitɐno
начитаното	nɐtʃitɐnoto
начитат	nɐtʃitɐt
начитате	nɐtʃitɐtɛ
начитах	nɐtʃitɐx
начитаха	nɐtʃitɐxɐ
начитахме	nɐtʃitɐxmɛ
начитахте	nɐtʃitɐxtɛ
начиташ	nɐtʃitɐʃ
начиташе	nɐtʃitɐʃɛ
начитащ	nɐtʃitɐʃt
начитаща	nɐtʃitɐʃtɐ
начитащата	nɐtʃitɐʃtɐtɐ
начитащи	nɐtʃitɐʃti
начитащите	nɐtʃitɐʃtitɛ
начитащия	nɐtʃitɐʃtijɐ
начитащият	nɐtʃitɐʃtijɐt
начитащо	nɐtʃitɐʃto
начитащото	nɐtʃitɐʃtoto
наш	naʃ
наша	naʃɐ
нашата	naʃɐtɐ
наше	naʃɛ
нашествие	nɐʃɛstviɛ
нашето	naʃɛto
наши	naʃi
нашийник	nɐʃijnik
нашите	naʃitɛ
нашия	naʃijɐ
нашият	naʃijɐt
нашта	naʃtɐ
наште	naʃtɛ
нашто	naʃto
не	nɛ
неагресивен	nɛɐɡrɛsivɛn
небе	nɛbɛ
небеса	nɛbɛsa
небесен	nɛbɛsɛn
небесносин	nɛbɛsnosin
неблагоразумен	nɛbɫɐɡorɐzumɛn
неблагоразумие	nɛbɫɐɡorɐzumiɛ
небостъргач	nɛbostɐrɡatʃ
небрежен	nɛbrɛʒɛn
небрежност	nɛbrɛʒnost
небце	nɛptsɛ
неважен	nɛvaʒɛn
невеж	nɛvɛʃ
невежа	nɛvɛʒɐ
невен	nɛvɛn
неверен	nɛvɛrɛn
неверие	nɛvɛriɛ
невеста	nɛvɛstɐ
невнимателен	nɛvnimatɛlɛn
невнимателност	nɛvnimatɛɫnost
невод	nɛvot
невод	nɛvɔt
невролог	nɛvroɫɔk
невролога	nɛvroɫɔɡɐ
невролози	nɛvroɫɔzi
неврял	nɛvrʲa̟ɫ
невъзможен	nɛvɐzmɔʒen
невъзможно	nɛvɐzmɔʒno
невярващ	nɛvʲa̟rvɐʃt
невяста	nɛvʲa̟stɐ
него	nɛɡo
негов	nɛɡof
негова	nɛɡovɐ
неговата	nɛɡovɐtɐ
негови	nɛɡovi
неговите	nɛɡovitɛ
неговия	nɛɡovijɐ
неговият	nɛɡovijɐt
негово	nɛɡovo
неговото	nɛɡovoto
негоден	nɛɡɔdɛn
негодяй	nɛɡodʲa̟j
неголям	nɛɡolʲɐm
негър	nɛɡɐr
недавна	nɛdavnɐ
недавнашен	nɛdavnɐʃɛn
недалечен	nɛdɐlɛtʃɛn
недей	nɛdɛj
неделя	nɛdɛlʲɐ
неден	nɛdɛn
недобър	nɛdobɐr
недобър	nɛdobɤr
недоволство	nɛdovɔɫstvo
недоврял	nɛdovrʲa̟ɫ
недоимък	nɛdoimɐk
недостатък	nɛdostatɐk
недостатъчен	nɛdostatɐtʃɛn
недостоен	nɛdostɔɛn
недъг	nɛdɤk
недъгав	nɛdɤɡɐf
нежелан	nɛʒɛɫan
нежен	nɛʒɛn
независимост	nɛzɐvisimost
незаконен	nɛzɐkɔnɛn
незаличим	nɛzɐlitʃim
неизбежен	nɛizbɛʒɛn
неизбежно	nɛizbɛʒno
неизвестен	nɛizvɛstɛn
неизвестно	nɛizvɛsno
неизкусен	nɛiskusɛn
неизменяем	nɛizmɛnʲa̟ɛm
неин	nɛin
неироничен	nɛironitʃɛn
ней	nɛj
нейна	nɛjnɐ
нейната	nɛjnɐtɐ
нейни	nɛjni
нейните	nɛjnitɛ
нейния	nɛjnijɐ
нейният	nɛjnijɐt
нейно	nɛjno
нейното	nɛjnoto
нека	nɛkɐ
некадърен	nɛkɐdɤrɛn
некомпетентен	nɛkompɛtɛntɛn
нектаринка	nɛktɐriŋkɐ
нелеп	nɛlɛp
неловък	nɛɫɔvɐk
немалък	nɛmaɫɐk
немалък	nɛmɐɫɐk
немаркиран	nɛmɐrkirɐn
немец	nɛmɛts
немкиня	nɛmkinʲɐ
немощ	nɛmoʃt
немощен	nɛmoʃtɛn
немощност	nɛmoʃnost
немски	nɛmski
нему	nɛmo
ненавиждам	nɛnɐviʒdɐm
ненадеен	nɛnɐdɛɛn
ненадежден	nɛnɐdɛʒdɛn
ненадеждност	nɛnɐdɛʒnost
необорим	nɛoborim
необходим	nɛopxodim
необходимост	nɛopxodimost
необятен	nɛobʲa̟tɛn
неодим	nɛodim
неон	nɛɔn
неопитен	nɛɔpitɛn
неопитност	nɛɔpitnost
неопределен	nɛoprɛdɛlɛn
непознат	nɛpoznat
непоколебим	nɛpokolɛbim
непокътнат	nɛpokɤtnɐt
непорочност	nɛporɔtʃnost
непослушен	nɛposɫuʃɛn
неправ	nɛpraf
неправда	nɛpravdɐ
непрекъснат	nɛprɛkɤsnɐt
непрекъснато	nɛprɛkɤsnɐto
непристоен	nɛpristɔɛn
неприятел	nɛprija̟tɛɫ
неприятелка	nɛprija̟tɛɫkɐ
непряк	nɛprʲa̟k
нептуний	nɛptunij
непълен	nɛpɤlɛn
неравен	nɛravɛn
неразбория	nɛrɐzborijɐ
неразвит	nɛrɐzvit
неразреден	nɛrɐzrɛdɛn
неразсъдителен	nɛrɐssɐditɛlɛn
неразсъдителност	nɛrɐssɐditɛɫnost
неразсъдлив	nɛrɐssɐdlif
неразсъдливост	nɛrɐssɐdlivost
неразумен	nɛrɐzumɛn
неразумност	nɛrɐzumnost
нерв	nɛrf
нервак	nɛrvak
нервен	nɛrvɛn
несериозен	nɛsɛriɔzɛn
несериозност	nɛsɛriɔznost
нескромен	nɛskrɔmɛn
неспасяем	nɛspɐsʲa̟ɛm
неспособен	nɛsposɔbɛn
несръчен	nɛsrɤtʃɛn
несъмнен	nɛsɐmnɛn
несъответствие	nɛsɐotvɛtstviɛ
нет	nɛt
нетопир	nɛtopir
нетърпение	nɛtɐrpɛniɛ
неузрял	nɛozrʲa̟ɫ
неумел	nɛomɛɫ
неутрален	nɛotralɛn
неутралитет	nɛotrɐlitɛt
неутралност	nɛotraɫnost
неутрон	nɛotrɔn
неутронен	nɛotrɔnɛn
нефт	nɛft
нехая	nɛxajɐ
нечестив	nɛtʃɛstif
нечист	nɛtʃist
неща	nɛʃta
нещастен	nɛʃtastɛn
нещастие	nɛʃtastiɛ
нещо	nɛʃto
нея	nɛjɐ
неясен	nɛja̟sɛn
ни	ni
нива	nivɐ
ниво	nivɔ
нивье	nivʲɛ
нивя	nivʲa̟
ние	niɛ
нижа	niʒɐ
низина	nizina
низовие	nizɔviɛ
низш	niʃʃ
низък	nizɐk
ний	nij
никакви	nikɐkvi
никакъв	nikɐkɐf
никел	nikɛɫ
никога	nikoɡɐ
никого	nikoɡo
никое	nikoɛ
никои	nikoi
никой	nikoj
никому	nikomo
никоя	nikojɐ
никъде	nikɐdɛ
ниобий	niɔbij
нирец	nirɛts
ниско	nisko
нисш	niʃʃ
нисък	nisɐk
нит	nit
нито	nito
