-am	ɔːm
lettnek	lɛtnɛk
lettnél	lɛtneːl
lettország	lɛtːorsaːg
lettre	lɛtrɛ
lettről	lɛtrøːl
letté	lɛtːeː
lettél	lɛtːeːl
lettél	ˈlɛtːɛl
lettért	lɛtːeːrt
lettünk	lɛtːyŋk
lettünk	ˈlɛtːʏŋk
lettől	lɛtːøːl
letámadás	lɛtaːmodaːʃ
letép	lɛtɛp
letépem	ˈlɛteːpɛm
letépett	lɛtɛpɛtː
letépi	ˈlɛteːpi
letépte	ˈlɛteːptɛ
letérdel	lɛtɛrdɛl
letérképezitek	lɛtɪrkeːpɛzɪtɛk
letérképezte	lɛtɪrkeːpɛstɛ
letérképezted	lɛtɛrkeːpɛstɛd
letérképeztük	lɛtirkeːpɛztʏk
letért	lɛtɛrt
letért	ˈlɛteːrt
letét	lɛteːt
letétbe	ˈlɛteːt̪bɛ
letétek	lɛteːtɛk
letölt	lɛtølt
letölt	lɛtøːlt
letölteni	lɛtøltɛni
letölteni	ˈlɛtølɛni
letölthető	lɛtøldˈhɛtø
letölthető	lɛtølthɛtøː
letöltés	lɛtølteːʃ
letöltés	lɛtøɾteːʃ
letöltés	ˈlɛtøltɛʃ
letöltése	lɛtølteːʃɛ
letöltések	lɛtølteːʃɛk
letöltési	lɛtølteːʃi
letöltötte	ˈlɛtøltøtːɛ
letöltöttem	ˈlɛtøltøtːɛm
letöltődik	lɛtyltøːdik
letör	lətør
letörlöm	ˈlɛtørløm
letört	ˈlɛtørt
letört	ˈlɛtøɾt
letörte	latørte
letörölte	ˈlɛtørølːɛ
letűnt	lɛtɛnt
leucin	leutsin
leugrani	ˈlɛugrɒni
leugrik	ˈlɛugrik
leugrom	ˈlɛugrom
leugrott	ˈlɛugrotː
leukocita	lɛukotsitɒ
leukociták	lɛukotsitaːk
leukémia	lɛukeːmijɒ
leukémia	ˈlɛu̯keːmiɒ
lev	ˈlɛv
levadászik	lɛvɒdaːsik
levadászni	ˈlɛvɒdaːʃni
levakar	lɛvokɔr
levan	lɛvɒn
leve	lɛvɛ
levegyem	ˈlɛvɛɟɛm
levegő	lɛvɛgøː
levegő	ˈlɛvɛgøː
levegőbe	lɛvɛgøːbæ
levegőbe	lɛvɛgøːbɛ
levegőbe	ˈlɛvɛgøːbɛ
levegőben	lɛvɛgøːbɛn
levegőben	ˈlɛvɛgøːbɛn
levegők	lɛvɛgøːk
levegőminőség	ˈlɛvɛgøːminøːʃeːg
levegőn	ˈlɛvɛgøːn
levegőnek	lɛvɛgøːnɛk
levegőnek	ˈlɛvɛgøːnɛk
levegőre	ˈlɛvɛgøːrɛ
levegőszennyezés	lɛvɛgøːsɛɲːɛzeːʃ
levegőt	ˈlɛvɛgøːt
levegőtartalékuk	ˈlɛvɛgøːtɒrtɒleːkuːk
levegőtlen	lɛvɛgøːtlɛn
levegőtlenebb	lɛvɛgøːtlɛnɛbː
levegőtlenség	lɛvɛgøːtlɛnʃeːg
levegőzik	ˈlɛvɛgøːzig
levegőért	ˈlɛvɛgøːr
levek	lɛvɛk
levele	lɛvɛlɛ
levele	ˈlɛvɛlɛ
levelei	ˈlɛvɛlɛi
leveleimet	ˈlɛvɛlɛimɛt
levelek	lɛvɛlɛk
levelek	ˈlɛvɛlɛk
leveleket	lɛvɛlɛkɛt
leveleket	ˈlvɛlɛkɛt
leveleket	ˈlɛvɛlɛkɛt
levelekkel	ˈlɛvɛlɛkːɛl
levelem	ˈlɛvɛlɛm
levelemet	ˈlɛvɛlɛmɛt
leveles	lɛvɛlɛʃ
levelesebb	lɛvɛlɛʃɛbː
levelesláda	lɛvɛlɛʃlaːdɒ
levelet	lɛvɛlɛt
levelet	ˈlɛvɛlɛt
levelez	lɛvɛlɛz
levelezés	lɛvɛlɛzeːʃ
levelezése	lɛvɛlɛzeːʃɛ
levelezések	lɛvɛlɛzɛʃɛk
levelezési	lɛvɛlɛzeːʃi
levelező	lɛvɛlɛzø
levelező	lɛvɛlɛzøː
levelezőlap	lɛvɛlɛzøːlɒp
levelibéka	ˈlɛvɛlibeːkɒ
levelében	lɛvɛleːbɛn
levelében	lɛvɛlɛbɛn
levelében	ˈlɛvɛleːbɛn
levelét	lɛvɛleːt
levelét	ˈlɛvɛlet
levelű	lɛvɛlyː
levendula	lɛvɛndulɒ
levendula	ˈlɛvɛndulɒ
levendulaházasság	lɛvɛndulɒɦaːzɒʃːaːg
levendulakék	lɛvɛndulɒkeːk
levendulalila	lɛrɛndulɒlilɒ
levendulaolaj	lɛvɛntlaɔlɑj
levendulák	lɛvɛndulaːk
levenni	ˈlɛvɛni
levenné	ˈlɛvɛnːeː
levennéd	ˈlɛvɛnːeːd
levente	lɛvɛntɛ
leventék	lɛvɛnteːk
lever	lɛvɛr
levered	lɛvɛrɛd
leverne	lɛvɛrnɛ
levert	levɛrt
levert	ˈlɛvɛrt
levertség	lɛvɛrtʃeːg
leverése	ˈlɛvɛreːʃɛ
leves	lɛvɛʃ
leves	ˈlɛvɛʃ
levesbe	ˈlɛvɛʃbɛ
levescsésze	lɛvɛstʃiːsɛ
levesed	lævɛʃɛd
levesek	lɛvɛʃɛk
leveseskanál	lɛvɛsɛskɒnaːl
leveskocka	lɛvɛʃkotskɒ
leveskockák	lɛvɛʃkotskaːk
levessel	lɛvɛʃːaːl
levesszük	ˈlɛvɛsːʏk
levest	ˈlɛvɛʃt
levesz	levɛs
levesz	lɛvɛs
leveszed	ˈlɛvɛsɛd
leveszem	ˈlɛvɛsɛm
leveszi	levɛsi
leveszi	ˈlɛvɛsi
leveszik	ˈlɛvɛsik
leveszöldség	lɛvɛʃzøːlʃeːg
levet	lɛvɛt
levet	ˈlɛvɛt
levetette	nɛvɛtɛtːɛ
levetetés	lɛvɛtɛtːeːʃ
levetkőzik	lɛvɛtkøːzik
levetkőztet	lɛvɛtkøːstɛt
levett	ˈlɛvɛtː
levette	ˈlɛvɛtːɛ
levetted	ˈlɛvɛtːɛd
levettem	ˈlɛvɛtːɛm
levezetők	lɛbɛzɛtøːk
levi	lɛvi
levi	ˈlɛvi
levinni	ˈlɛvinːi
leviszem	ˈlɛviʃɛm
levitézlett	ˈlɛviteːzlɛtː
levlap	lɛvlɒp
levon	lɛvon
levonható	lɛvonɦɒtoː
levonni	ˈlɛvɔnːi
levonnék	lɛvonlɛːk
levágat	lɛvɒːgotː
levágat	ˈlɛvaːgɒt
levágja	ˈlɛvɒɟɒ
levágjuk	ˈlɛvaːgjuk
levágják	ˈlɛvaːɟaːk
levágni	ˈlɛvaːgni
levágod	ˈlɛvɒgod
levágom	levaːgon
levágom	ˈlɛvaːgom
levágott	ˈlɛvaːgotː
levágta	ˈlɛvaːktɒ
levágtad	ˈlɛvɒktɒd
levágtam	ˈlɛvɒktɒm
levált	ˈlɛvaːlt
leváltották	lɛbaːltotːaːk
leváltását	ˈlɛvɒltaːʃɒt
levéből	ˈlɛveːbøːl
levél	lɛveːl
levél	lɛvɛːl
levél	ˈlɛveːl
levélben	lɛveːlbɛn
levélben	lɛvɪlbɛn
levélben	ˈlɛveːlˌbɛn
levélbogár	lɛveːlbogaːr
levélboríték	lɛveːlboriːteːk
levélborítékok	lɛveːlboriːteːkok
levélbélyeg	lɛveːlbeːjɛg
levélből	lɛveːlbøːl
levélcím	lɛveːltsiːm
levélcímek	lɛveːltsiːmɛk
levélfiók	lɛveːlfijoːk
levéllel	ˈlɛveːlːɛl
levélnehezék	ˈlɛveːlnɛhɛzeːk
levélpapír	lɛveːlpɒpiːr
levélre	ˈlɛveːlʲrɛ
levélről	ˈlɛveːlor
levélszekrény	lɛveːlsɛkreːɲ
levélszekrény	ˈlɛveːlsɛkɾeːɲ
levélszekrények	lɛveːlsɛkreːɲɛk
levélszemét	lɛveːlsɛmeːt
levéltelen	lɛveːltɛlɛn
levéltelenebb	lɛveːltɛlɛnɛbː
levéltetű	lɛveːltɛtyː
levéltár	lɛveːltaːr
levéltárak	lɛveːltaːrɒk
levéltárat	lɛvɛltaːrɒt
levéltári	lɛveːltaːri
levéltáros	lɛveːltaːroʃ
levéltáros	ˈlɛveːltaːroʃ
levéltárosnő	lɛveːltaːroʃnøː
levéltárosnők	lɛveːltaːroʃnøːk
levéltárosok	lɛveːltaːroʃok
levélváltás	lɛveːlvaːltaːʃ
levélírás	ˈlɛveːliːraːʃ
levélörvény	lɛveːlørveːɲ
levén	lɛveːn
levés	lɛveːʃ
levés	lɛʋiːʃ
levét	levit
levét	lɛveːt
levét	ˈlɛveːt
levő	lɛvøː
levő	ˈlɛvøː
lew	leʊ
lewis	leːviʃ
lewist	ˈlɛwist
lexikai	lɛksikoʝ
lexikalizálás	lɛksikɒlizaːlaːʃ
lexikalizálódott	lɛksikɒlizaːloːtotː
lexikográfia	lɛksikoːgraːfja
lexikográfus	lɛksikograːfuʃ
lexikológia	lɛksikoloːgijɒ
lexikon	lɛksikon
lexikon	lˈɛksɪkon
lexikonok	lɛksikonok
lexikális	lɛksikaːliʃ
lexéma	lɛkseːmɒ
lezajlott	lɛzɒjlɒtː
lezajlott	ˈlɛzɒjlotː
lezuhan	lɛzuɦɒn
lezuhan	ˈlɛzuhɒn
lezuhant	ˈlɛzuɦɒnt
lezuhanunk	ˈlɛzuhɒnunk
lezuhanyozom	ˈlɛzuɦɒɲozoːm
lezár	lɑzɑr
lezár	lɛzard
lezár	lɛzaːr
lezáratlan	ˈlɛzaːɾɒtlɒn
lezáratlanság	lɛzaːrɒtlɒʃːaːg
lezárhat	lɛzaːrɦɒt
lezárhatjuk	ˈlɛzaːrɦɒtjuk
lezárja	ˈlɛzaːrjɒ
lezárjuk	ˈlɛzaːɾjuk
lezárják	ˈlɛzaːrjaːk
lezárni	ˈlɛzaːrni
lezárom	ˈlɛzaːrom
lezárt	lɛzaːrt
lezárt	ˈlɛzaːrt
lezárta	lɛzaːrkɒ
lezárta	lɛzaːrtɒ
lezárta	ˈlɛzaːrtɒ
lezártam	ˈlɛzaːrtɒm
lezártuk	lɛzaːrtun
lezártuk	ˈlɛzaːrtuk
lezárták	lazaːrtaːk
lezárták	ˈlɛzaːrtɒk
lezárul	lɛzaːrul
lezárult	lɛzɒːruːlt
lezárultáig	lɛzaːrultaːjɛg
lezárva	ˈlɛzaːrvɒ
lezárás	lɛzaːraːʃ
lezárás	ˈlɛzaːraːʃ
lezárása	lɛzaːraːʃɒ
lezárást	ˈlɛzaːraːʃt
lezárásának	lɛzaːraːʃaːnɒ
lezáró	lɛzaːro
leágazás	ˈeːaːgɒzaːʃ
leáll	lɛaːlː
leáll	ˈlɛaːlː
leállnak	ˈlɛaːlnɒk
leállni	ˈlɛaːlːni
leállok	ˈlɛaːlːok
leállt	ˈlɛaːlt
leálltak	ˈlɛaːltɒk
leálltam	ˈlɛaːltɒm
leállunk	ˈlɛaːluŋk
leállítani	lɛaːliːtɒni
leállítani	ˈlɛaːlːiːtɪn
leállítjuk	ˈlɛaːlːiːtʃuk
leállítom	ˈlɛaːlːitoːm
leállítottam	ˈlɛaːliːtːɒm
leállították	lɛaːliːtotːaːk
leány	lɛaːɲ
leány	lˈeaɲ
leány	ˈlɛaːɲ
leánya	leaɲˈo
leánya	ˈlɛaːɲɒ
leányanya	lɛaːɲɒɲɒ
leánybúcsú	lɛaːɲbuːtʃuː
leánykoncér	leanikontseɾe
leánykor	lɛaːɲkor
leánykori	ˈlɛaːɲkorʲi
leánykökörcsin	laːɲkøkørtʃin
leányok	lɛaːɲok
leányom	ˈlɛaːnɔm
leánytestvérem	lˈaːɲtɛʃtveːrɛm
leányvállalat	lɛaːɲvaːlːɒlɒt
leányvállalataként	lɛaːɲvaːlɒlɒtɒkeːnt
leányvállalatának	lɛaːɲvaːlɒlɒtaːnɒk
leányzó	ˈlɛɒɟoː
leárazás	ˈlɛaːrɒzaːʃ
leárazások	leːɒrɒzaːʃok
leég	leːg
leég	lɛjeːg
leégett	ˈleːɟɛtː
leégni	lɛːgnɪ
leégtem	laektem
leélni	ˈleːln
leépít	lɛeːpiːt
leépítés	lɛeːpiːteːʃ
leépítése	lɛeːpiːteːʃɛ
leér	lɛr
leértékelődést	lɛɛrteːkɛløːdeːʃt
leír	lɛjiːr
leírhatatlan	ˈleːrɦɒtɒtlɒn
leírja	leːrjɒ
leírni	lɛjiːrni
leírni	lɛːrni
leírom	leiːrom
leírt	leiɾt
leírt	lɛjrt
leírta	leːrtɒ
leírtam	leiɾtɒm
leírva	leːrvɒ
leírás	lɛ̀i̯raːʃ
leírása	ˈlɛjraːʃɒ
leírások	lɛi̯raːʃok
leírást	lei̯raːʃt
leírást	lɛjːraːʃt
leírását	lɛgiːraːʃɒt
leírását	lɛjiːraːʃaːt
leíró	lɛjiːroː
leíróbb	lɛjiːroːbː
leó	lɛoː
leót	leːot
leúszik	lɛuːsik
leül	lɛyl
leülhetek	ˈlɛyɫhɛtɛk
leülhetsz	ˈlɛyʝɛtʃ
leülne	ˈlɛylnɛ
leülni	ˈlɛylnɪ
leülsz	ˈlɛyls
leült	ˈlɛylt
leültem	ˈlɛyltɛm
leültünk	ˈlɛyltʏŋk
leülök	lɛyløk
leülök	ˈlɛyløk
leülünk	ˈlɛylyŋk
leüt	ləyt
leütött	ˈløːtøtː
leütötte	ˈløːtøtːø
leütöttem	ˈløːtøtːɛm
lgazán	ɒgaːzɒn
lgenis	leːgɛnis
lhásza	laːsɒ
li	liː
lia	liɒ
liam	liɒm
liamet	liɒmɛt
lian	liɒn
liang	liɒŋ
lib	lib
liba	libɒ
liba	lipa
liba	liːbɒ
liba	lˈiba
libabőrös	ˈlibɒbøːrøʃ
libafoszöld	libɒfoːʃzøːld
libanon	libɒnon
libanoni	libɒnoni
libanoni	ˈlibɒnoni
libanoniak	libɒnonijɒk
libanóta	libanuto
libasorban	liːbɒʃorbaːn
libatop	libotop
libaúsztató	libɒuːstɒtoː
libbenés	libːɛnɛːʃ
libbenésszerű	libːɛneːʃsɛry
libby	ˈlibi
libegő	libˈɛgˌø
libella	libˈɛllo
liberalizmus	libɛrɒlizmuʃ
liberalizációk	libɛrɒlizaːtsijoːk
liberalizál	libɛrɒlizaːl
liberalizálásra	libɛrɒlizɒlɒsrɒ
liberális	liberaːlis
liberális	libɛraːliʃ
liberális	ˈlibɛraːliʃ
liberálisabb	libɛraːliʃɒb
libidó	libidoː
libikóka	libikoːkɒ
libikókák	libikoːkaːk
libling	libliŋg
librettista	librɛtːistɒ
librettó	librɛtːu
libráció	libraːtsiʊ
libsi	lipʃi
libsi-bolsi	lipʃibolʃi
libák	libaːk
libéria	liberia
licenc	litsɛnd
licenc	litsɛnts
licenccel	litsɛntsɛl
licence	litsɛntsɛ
licencek	litsɛntsɛk
licsi	litʃi
licsi	litʃɪ
licsifa	litʃifɒ
licsifák	litʃifaːk
licsik	litʃik
lidia	ˈliːdiɒ
lidérc	lideːrts
lidérc	liːdeːrtʃ
lidércek	lideːrtsɛk
lidérces	lideːrtsɛʃ
lidérces	lidɛrtseʃ
lidércesebb	lideːrtsɛʃɛbː
lidércfény	lideːrtsfeːɲ
lidércfények	lideːrtsfeːɲɛk
lidércnyomás	lideːrtsɲomaːʃ
liechtenstein	lixtɛnʃtɛjn
lift	lift
lift	liːft
lift	lˈɪft
liftakna	liftoknɔ
liftaknával	liːftɒknaːvɒl
liftbe	liːftbɛ
liftbe	ljɪftbɛ
liftben	livdbɛn
liftben	liːftbɛn
liftből	ˈliftbøːl
liftek	liftɛk
liftet	liftɛt
liftet	ˈliftɛt
lifthez	liːftɛs
liftkezelő	lɪftkɛzɛløː
liga	ligo
liga	ligɒ
ligandum	ligondum
ligatúra	ligɒtuːrɒ
ligatúrája	ligɒtuːraːɪɒ
ligatúrák	ligɒtuːraːk
liget	ligɛt
liget	lɛgɛt
ligetek	ligɛtɛk
ligeterdők	ˈligɛtɛrdøːk
ligetes	liːgɛtɛʃ
ligetszépe	ligɛtseːpɛ
lightman	liːtman
lignin	lignin
lignit	lˈignit
liguria	liguːrijɒ
ligában	ligaːbɒn
ligája	ligaːjɒ
ligák	ligaːk
ligúriai	ligurioi
liheg	lihɛg
lik	lik
lika	likɒ
likad	likɒd
likai	likɒji
likait	likɒjit
likam	likɒm
likvidál	likvidaːl
likőr	likøːr
likőr	liˈkøːr
likőrök	likøːrøk
likőrös	ligørøʃ
likőröspohár	likøːrøʃpoʁaːr
lil	liːl
lila	lila
lila	lilo
lila	lilɒ
lila	liːlɒ
lilakáposzta	lilakapostɒ
lilaködös	liːlːaːkødøʃ
lile	lile
lile	lilɛ
lilealakúak	liːlɛɒlɒkuːɒk
lili	lili
lili	lˈɪli
liliom	lilion
liliom	liːliom
liliomfehér	lilijoɱfɛɦeːr
liliomfehér	liljumfɛhɛr
liliomok	lilijomok
liliomok	liljmok
lilith	ˈlilɪt
liliána	liliano
liljomok	liːljomok
lilla	lilːɒ
lillian	ˈlilːijɒn
lily	liːli
lilyt	liːlɨt
lilább	lilaːbː
lilák	lilaːk
lilás	lilaːʃ
lilásabb	lilaːʃɒbː
lilát	liːlaːt
lim	lim
lima	liːmɒ
limassol	limɔssol
limbu	lɪmbˈʊ
lime	liːmɛ
limes	limɛs
limfocitás	lifotsitaːʃ
limfóma	liɱfoːmɒ
limit	limit
limitál	limitaːl
limonit	limonit
limonádé	limonadi
limonádé	limonaːdeː
limonádék	limonaːdeːk
limonádét	limonaːdeːt
limonén	limonin
limuzin	limuzin
limuzin	liˈmuzin
limuzinok	limuzinok
limuzinokat	limuːziːnokot
limuzint	liˈmuzint
lin	liːn
lina	liːnɒ
lincoln	liŋkloːn
linda	lindɒ
linden	ˈlindɛn
lindsay	ˈlɪndzɛ
lindsey	ˈlindʃɛ
lindy	liːndi
lineáris	linɛaːriʃ
lineáris	liːneariʃ
ling	liŋg
lingam	lingom
lingvisztika	liŋgvistikɒ
link	liŋk
link	lɪŋk
linkajánló	lɛnkeɒjaːnloː
linked	liŋkɛd
linkek	liŋkɛk
linkeken	liŋkɛkɛn
linkeket	liŋkɛkɛt
linkekre	liŋkɛkrɛ
linkem	liŋkɛm
linken	liŋkɛn
linket	liŋkɛt
linkje	liŋkjɛ
linkre	liŋkrɛ
linktár	lɪŋktaɾ
linktárak	liŋgdarok
linktárat	liŋgtaːrot
linkózamidok	liŋguːzɒmidɒk
linus	liːnus
linux	linuks
linuxos	linuksoʃ
linzer	linzɛr
linóleum	linoːlɛum
liofilizál	liofilizan
liofilizált	liofilizɒːlt
lionel	lionɛl
lip	liːp
lipa	lipa
lipcse	libtʃɛ
lipcse	liptʃɛ
lipityóka	lipidioko
lipoproteinek	lipoproteːnɛk
lipovánok	ripovaːnok
lipovánokat	lipoːvaːnokot
lipton	ˈlɪpton
liptó	liptu
lipáz	libaz
lipázok	lipaːzuk
lipóma	lipɔmɑ
lipótváros	lipoːtːvaːroʃ
lisa	liːʃɒ
lisbeth	liʃbɛt
lisbon	liʃbɔn
lise	liːʃɛ
lispeszentadorján	liʃpɛsɛntɒdorjaːn
lissa	liʃːɒ
lisszabon	lisːɒbon
lista	lisːtɑ
lista	liʃtɑ
lista	liʃtɒ
lista	li˥˩ʃto˥˩
listavezetőt	liʃtɒvɛzɒtøːt
lister	liʃtɛr
listában	liʃtaːbɒn
listához	liʃtɒʃ
listája	liʃtaːja
listája	liʃtaːjɒ
listája	liʃtaːʝɒ
listáján	liʃtaːjaːn
listáján	liːʃtaːjɒːn
listájára	liʃtaːjɒrɒ
listáját	listɒjaːt
listáját	liʃtaːjaːt
listák	liʃtaːk
listákon	liʃtaːkon
listákra	liʃtaːkrɒ
listám	liʃtaːm
listámon	liʃtɒmoːn
listán	liʃtaːn
listán	liʃtɑn
listára	liʃtaːra
listára	liʃtaːrɒ
listára	liʃtɑːrɑː
listáról	liʃtɒrʊl
listát	listɑːt
listát	liʃtaːt
listával	liʃtɑvaːl
listáz	liʃtɛz
listázhat	liːʃtɑːshɒt
listázhatja	liʃtɒshɒtjɒ
liszt	list
liszt	liʃt
liszt	lɪst
lisztek	listɛk
lisztet	liʃtɛt
lisztgomba	lispkɔmba
lisztkanál	liʃtkɒnaːɬ
lisztérzékenység	listeːseːkɛɲʃeːg
lisának	liʃɒnɒk
lisát	liʃaːt
lisával	liʃɑvaːl
liter	litɛr
liter	lɪtɛr
liter	ˈlitɛr
literek	litɛrɛk
literen	litɛrɛn
literenként	litɛrˈɛnkˈɛnt
literes	ˈlitɛrɛʃ
litert	liːtɛrt
litográfián	litograːfjaːn
litosztratigráfia	litostratibraːfia
liturgia	liturgijɒ
litván	litvaːn
litvánia	litvanio
litvánia	litvaːnijɒ
litvánia	litvaːnjɒ
litvániai	litvaˈniaj
litvániai	litvaːnijɒji
litvánok	litvaːnok
liu	liu
liv	liːv
livermorium	lifertmorium
livermórium	livɛrmoːrijum
livia	ˈlivijɒ
livónia	livˈoːnia
liz	liʒ
liza	lizɒ
lizin	lizin
lizinka	lizɪnˈkɔ
lizzie	liʒi
lizzy	liʒːi
lián	lian˨˩
lj	ʎ
ll	ɫː
lloyd	loyd
lmádom	ɒmɒdom
lo	loː
lob	lob
lobba	lobːɒ
lobban	lobːɒn
lobban	lovban
lobbant	lobːɒnt
lobbanékony	lobːɒneːkoɲ
lobbanékony	ˈlobːɒneːkoɲ
lobbanékonyabb	lobːɒneːkoɲɒbː
lobbanékonyan	lobːɒneːkɒɲɒn
lobbi	lobːi
lobbi	lɔbbi
lobbierőfeszítés	nɒbːiɛrøːfɛsiːteːʃ
lobbierőt	lɔbːjɛrøt
lobbitevékenységem	loːbːitɛveːkɛɲʃeːgɛm
lobbizik	lobːizik
lobbiznak	lɔbiznak
lobbizunk	lobizunk
lobbizás	lobːizɒʃ
lobbiérdek	loːbːieːrdɛk
lobi	lɔbi
lobo	loːbo
lobog	lobog
lobognak	lobognɒk
lobogok	lobogok
lobogtak	loboktak
lobogó	lobogoː
lobogóbb	lobogoːbː
lobogók	lobogoːk
lobon	lobon
lobonc	lobɔnts
lobos	loːboʃ
lobot	lobot
lobé	lobeː
lobélia	lobelia
locativus	lokatʲivus
loch	loːx
locke	lotʃɛ
lockhart	ˈlɒkxɑrt
lockwood	ˈlɒkʋud
locsogni	lotsʃogɨni
locsogás	lɔtʃogaːʃ
locsol	lotʃol
locsol	lɔtʃɔl
locsolkodik	lotʃolkodik
locsolni	lutʃoɔni
locsoló	loːtʃoːroː
locsolócső	lotʃoloːtʃøː
locsolófejek	lɒtʃoloːfɛjɛk
locsolókanna	lotʃoloːkɒnːɒ
locsolókannák	lotʃoloːkɒnːaːk
lodge	luːdʒ
lodoméria	ludomirio
lodzsa	lodʒa
logan	logɒn
logaritmikus	logoritmikuʃ
logaritmus	logɒritmuʃ
logaritmusfüggvény	logɒritmuʃfygveːɲ
logaritmusok	logɒritmuʃok
logarléc	logɒrleːts
logika	logikɒ
logika	logiːkɒ
logika	lɔgika
logikai	logiːkɒi
logikai	lɔgikɒi
logikai	lˈogikˌoi
logikus	logikuʃ
logikus	lɔgikɔʃ
logikus	lɔgikʃ
logikusabb	logikuʃɒbː
logikusan	logikuʃɒn
logikusan	logikuʃɔn
logikusnak	logikuʃnɑk
logikusok	logikuʃok
logikusság	logikuʃːaːg
logikában	lugikaːbɒn
logikád	lɔgikaːd
logikák	lɔgiːkɑːk
logikákban	lɔgikaːkbɒn
logikát	logiˈkaːt
logisztika	logistiko
logisztika	logistikɒ
logisztikai	logistikoj
logisztikai	logistikɒji
lognormális	lɔgnormaːliʃ
logopédia	lɔgɔpɛdia
logopédus	lɔgɔpeːduʃ
logopédust	lɔgopeːdust
logopédusunk	nogopeːduʃuŋg
logó	logoː
logó	loːgoː
logó	lɔgu
logók	logoːk
logónkat	logoːnkot
lois	loːʃ
lojalista	moːjɒliːʃta
lojális	lojaːlɪʃ
lojális	lojɒliʃ
lokalizál	lokɒlizaːl
loki	loki
lokni	lokni
lokni	lukni
loko	lˈɔko
loksi	lɔkʃi
lokusz	nokus
lokális	lokaːliʃ
lokális	lokaːrɪʃ
lokálisabb	lokaːliʃɒbː
lol	loːl
lola	loːlɒ
lom	lom
lom	lɔm
loma	loma
lomax	loːmɒx
lomb	lomb
lomb	lombo
lombard	lombaːrd
lombard	ˈlombɑrd
lombardia	lombardia
lombardia	lombɒrdijɒ
lomberdő	lomberdu
lombhullatót	lombhuːlɒtoːt
lombik	lombik
lombik	lɔmpik
lombikban	lombigbɒn
lombikbébi	lombigbeːbi
lombikbébik	lombigbeːbik
lombikok	lombikok
lombikok	lɔɱvikok
lombikot	lɔnbikot
lombkorona	lɔmpkɔrɔna
lombok	lombok
lombos	lombos
lombos	lomboʃ
lombposzáta	lombposaːto
lombszöcske	lompsøtʃkɛ
lombtalan	lomptɒlɒn
lombtalanabb	lomptɒlɒnɒbː
lomha	lomɦɒ
lomhaszöcskék	lomˈhɒsøːtʃkeːk
lomhább	lomɦaːbː
lomi	lomi
lomográfia	lomograːfijɒ
lompos	lompoʃ
lomtalanít	lomtɒlɒniːt
lomtalanítás	lomtɒlɒniːtaːʃ
lomtalanítás	lomtɒlɒniːtɒʃ
lomtár	lɔntaːr
lon	loːn
lonc	lˈɔnts
loncot	lontsot
londo	londo
london	london
london	ˈlondon
londonba	ˈlondonbɒ
londonban	londombɒn
londonban	ˈlondonbɒn
londonból	ˈlondonboːl
londoni	londoni
londoni	lɔndɔni
londonon	londonon
londont	lonːdont
lone	loːnɛ
lonely	loːnɛj
long	luŋg
longo	loŋgo
lonnie	loːnːiː
look	luːk
looking	luːkɪŋ
loomis	luːmiʃ
lop	lop
lop	nop
lopakodik	loːpɒkodik
lopakodni	lopako˥˩ːdni˥˩
lopakodó	ˈlopɒkodoː
lopd	lopd
lopd	luːbd
lopez	lopeʃ
lophat	lophɒt
lopj	lopja
lopj	lopʲ
lopja	lopjɒ
lopjon	lopjɔn
lopjuk	lopjuːk
lopják	lopjaːk
lopkod	lopkod
lopnak	lopnɒk
lopni	lopni
lopok	lopok
lopott	lopotː
lopott	lopot̪
lopott	lɔpɔt
lopsz	lops
lopsz	lopʃ
lopta	loptɒ
loptad	loptaːd
loptak	loptɒk
loptam	loptɒm
loptunk	loptuŋk
lopták	loptaːk
loptál	loptaːl
lopunk	lopuŋk
lopva	lɔpva
lopás	lopaːʃ
lopás	lopɑʃ
lopások	lopaːʃok
lopással	lopɒʃːɛl
lopást	lopɒʃt
lopásért	lopɒʃeːrt
lopó	lɔpʊ
lopótök	lopoːtøk
lopótök	lɒpoːtɒk
lopótökök	lopoːtøkøk
lord	lord
lord	loːɾd
lordok	loːɾtok
lorelai	lorɛlɒi
lorelei	lorɛleː
lorenzo	lorɛntsɔ
loretta	lorɛtːɒ
loretta	norettɒ
lori	lori
lorna	lornɑ
lorne	lorne
lornyon	lorɲon
lorraine	lorɒiːnɛ
los	loʃ
lost	lost
lotaringia	lotɒriŋgijɒ
lotte	lotːɛ
lotti	lotːi
lottó	lotːoː
lottó	ˈlotːoː
lottón	lotːoːn
lottót	lotːoːt
lotus	loːtus
lotyog	lɔtʃɔg
lotyó	loˈtjoː
lotár	lɔtar
lou	luː
louie	luːjɛ
louis	luːis
louisa	luːjʃɒ
louisban	luːisbɒn
louise	luːjʃɛ
lova	lova
lova	lovɒ
lovad	lovɒd
lovag	lovɒg
lovag	lovɔk
lovagba	lovɒgbɒ
lovagban	lovɒgbɒn
lovagból	lovɒgboːl
lovaggal	lovɒgːɒl
lovaggá	lovɒgːaː
lovaggá	lovɒgːɒ
lovaghoz	lovɒkhoz
lovagi	lovɒgi
lovagi	luːvogi
lovagias	lovɒgijɒʃ
lovagias	lovɒgiʃ
lovagias	ˈlovɒgiɒʃ
lovagiatlan	lovɒgijɒtlɒn
lovagiatlanabb	lovɒgijɒtlɒnɒbː
lovagig	lovɒgig
lovagja	lovɒgjɒ
lovagjai	lovɒgjɒj
