00-ig	ɒːg
leszűkíteni	ˈlɛsyːkiːtɛni
leszűkíti	ˈlɛsyːkiːti
leszünk	lɛsœŋk
leszünk	lɛsyŋk
leszűr	lɛsyːr
leszúrták	ˈlɛsuːrtaːk
leszúrta	ˈlɛsuːrtɒ
leszúrt	lɛsuːrt
letagadni	ˈlɛtɒgɒdni
letartóztatása	ˈlɛtɒrtoːstɒtɒʃɒ
letartóztatási	ˈlɛtɒrtoːstaːsiː
letartóztatási	lɛtɒrtoːstɒtaːʃi
letartóztatás	ˈlɛtɒrtoːstaːʃ
letartóztatás	lɛtɒrtoːstɒtaːʃ
letartóztatásnak	ˈlɛtɒrtoːstaːʃnɒk
letartóztatást	ˈlɛtɒrtoːstɒtɒʃt
letartóztatják	ˈlɛtɒrtoːstɒtʃɒk
letartóztatjuk	ˈlɛtɒrtoːstɒtʃuk
letartóztatlak	ˈlɛtɒrtoːstɒtlɒk
letartóztat	ˈlɛtɒrtoːstɒt
letartóztat	lɛtɒrtoːstɒt
letartóztatnak	ˈlɛtɒrtoːstɒtnɒk
letartóztatni	ˈlɛtɒrtoːstɒtnɪ
letartóztatom	ˈlɛtɒrtoːstɒtom
letartóztatott	ˈlɛtɒrtoːstɒtː
letartóztattak	ˈlɛtɒrtoːstɒtːɒk
letartóztatták	ˈlɛtɒrtoːstɒtɒk
letartóztatta	ˈlɛtɒrtoːstɒtɒ
letartóztattam	ˈlɛtɒrtoːstɒtːɒm
letartóztattuk	ˈlɛtɒrtoːstɒtːuk
letartóztatva	ˈlɛtɒrtoːstɒtvɒ
létavértes	leːtɒveːrtɛʃ
létedre	ˈleːtɛdrɛ
létedre	leːtɛdrɛ
letehetetlen	lɛtɛhɛtɛtlɛn
letehet	lɛtɛhɛt
létek	leːtɛk
léte	leːtɛ
letelepedni	ˈlɛtɛlɛpɛdni
letelepít	lɛtɛlɛpiːt
letelte	lɛtɛltɛ
letelt	ˈlɛtɛlt
létemre	leːtɛmrɛ
letennéd	ˈlɛtɛnːeːd
letenni	ˈlɛtɛniː
letenye	lɛtɛɲɛ
letépem	ˈlɛteːpɛm
letépi	ˈlɛteːpi
letépte	ˈlɛteːptɛ
létére	ˈleːteːrɛ
létére	leːteːrɛ
letért	ˈlɛteːrt
létesíteni	ˈleːtɛʃiːtɛni
létesítése	leːtɛʃiːteːʃɛ
létesítés	leːtɛʃiːteːʃ
létesít	leːtɛʃiːt
létesítményben	ˈleːtɛʃiːtmeːɲbɛn
létesítmények	leːtɛʃiːtmeːɲɛk
létesítmény	ˈleːtɛʃiːtmeːɲ
létesítmény	leːtɛʃiːtmeːɲ
létesítményt	ˈleːtɛʃiːtmɛɲː
létesül	leːtɛʃyl
leteszed	ˈlɛtɛsɛd
leteszem	ˈlɛtɛsɛm
leteszi	ˈlɛtɛsi
letesz	lɛtɛs
letétbe	ˈlɛteːt̪bɛ
letétek	lɛteːtɛk
létét	leːteːt
létet	leːtɛt
letét	lɛteːt
letetted	ˈlɛtɛtːɛd
letették	ˈlɛtɛtɛk
letette	ˈlɛtɛtːɛ
letettem	ˈlɛtɛtɛm
létezel	ˈleːtɛzɛl
létezem	ˈleːtɛzɛm
létezése	leːtɛzeːʃɛ
létezése	ˈleːtɛzeʃɛ
létezéséről	ˈleːtɛzeːʃɛrʏl
létezését	ˈleːtɛzeːʃɛt
létezés	ˈleːtezeːʃ
létezés	leːtɛzeːʃ
létezett	ˈleːtɛzɛt
létezhet	ˈleːtɛshɛt
létezik-e	ˈleːtɛzikɛ
létezik	ˈleːtɛzik
létezik	leːtɛzik
léteznek	ˈleːtɛznɛk
létezne	ˈleːtɛzɲɛ
létezni	ˈleːtɛzɲi
létező	leːtɛzøː
létező	ˈleːtøːjɛrøː
léteztek	ˈleːtɛstɛk
létezünk	ˈleːtɛzʏŋk
létfenntartó	ˈleːtfɛntɒrtoː
létfontosságú	leːtfontoʃːaːguː
létfontosságú	ˈleːtfontoʃːoːguː
letilthat	lɛtilthɒt
letilt	lɛtilt
lét	leːt
let	ˈlɛt
letölteni	ˈlɛtølɛni
letölteni	lɛtøltɛni
letöltések	lɛtølteːʃɛk
letöltése	lɛtølteːʃɛ
letöltési	lɛtølteːʃi
letöltés	lɛtølteːʃ
letöltés	ˈlɛtøltɛʃ
letölthető	lɛtølthɛtøː
letölt	lɛtølt
letöltötte	ˈlɛtøltøtːɛ
letöltöttem	ˈlɛtøltøtːɛm
letörlöm	ˈlɛtørløm
letörölni	ˈlɛtøːrøln
letörölte	ˈlɛtørølːɛ
letört	ˈlɛtørt
létrafok	leːtrɒfok
létrák	leːtraːk
létra	leːtrɒ
létra	ˈleːtɾɒ
létrán	leːtraːn
létrát	leːtraːt
létrehozása	ˈleːtrɛhoːzɒʃɒ
létrehozása	leːtrɛɦozaːʃɒ
létrehozásának	leːtrɛɦozaːʃaːnɒk
létrehozására	leːtrɛɦozaːʃaːrɒ
létrehozását	leːtrɛɦozaːʃaːt
létrehozás	leːtrɛɦozaːʃ
létrehoz	leːtrɛɦoz
létrehoz	ˈleːtrøɒs
létrehozni	ˈleːtrɛhoːʒni
létrehozni	leːtrɛɦozni
létrehozott	ˈleːtrøːzɒtː
létrehozták	ˈleːtrɛhoːʃɒkɒ
létrehoztak	ˈleːtrɛɦotstɒk
létrehozta	ˈleːtrøːjɒ
létrehoztam	ˈleːtreːhoztɒm
létrehoztunk	ˈleːtrøhoʊttuŋk
létrehozva	ˈleːtrɛhoːzvɒ
létrehozza	ˈleːtrøɦozːɒ
létrejön	leːtrɛjøn
létrejön	ˈleːtɾɛjoːn
létrejötte	leːtrɛjøtːɛ
létrejött	leːtrɛjøtː
létrejött	ˈleːtɾɛjøtː
létre	ˈleːtrɛ
létre	leːtrɛ
létszám	leːtsaːm
létszámú	leːtsaːmuː
lettbe	lɛdbɛ
lettben	lɛdbɛn
lettből	lɛdbøːl
lettekbe	lɛtːɛgbɛ
lettekben	lɛtːɛgbɛn
lettekből	lɛtːɛgbøːl
letteken	lɛtːɛkɛn
lettekért	lɛtːɛkeːrt
letteket	lɛtːɛkɛt
lettekhez	lɛtːɛkhɛz
lettekig	lɛtːɛkig
lettekké	lɛtːɛkːeː
lettekkel	lɛtːɛkːɛl
lettekként	lɛtːɛkːeːnt
lettek	ˈlɛtːɛk
lettek	lɛtːɛk
letteknek	lɛtːɛknɛk
letteknél	lɛtːɛkneːl
lettekre	lɛtːɛkrɛ
lettekről	lɛtːɛkrøːl
lettektől	lɛtːɛktøːl
letté	lɛtːeː
lettél	lɛtːeːl
lettel	lɛtːɛl
lettél	ˈlɛtːɛl
lettem	ˈlɛtːɛm
lettem	lɛtːɛm
letten	lɛtːɛn
lettért	lɛtːeːrt
lettetek	ˈlɛtːɛk
lettetek	lɛtːɛtɛk
lettet	lɛtːɛt
letthez	lɛthɛz
lettig	lɛtːig
lettként	lɛtkeːnt
lett	lɛtː
lettnek	lɛtnɛk
lettnél	lɛtneːl
lettől	lɛtːøːl
lettország	lɛtːorsaːg
lettre	lɛtrɛ
lettről	lɛtrøːl
lettünk	lɛtːyŋk
lettünk	ˈlɛtːʏŋk
leugrani	ˈlɛugrɒni
leugrik	ˈlɛugrik
leugrom	ˈlɛugrom
leugrott	ˈlɛugrotː
leukémia	ˈlɛu̯keːmiɒ
leukémia	lɛukeːmijɒ
leukociták	lɛukotsitaːk
leukocita	lɛukotsitɒ
leülhetek	ˈlɛyɫhɛtɛk
leülhetsz	ˈlɛyʝɛtʃ
leül	lɛyl
leül	ˈlɛyʏl
leülne	ˈlɛylnɛ
leülnél	ˈlɛylnɛl
leülni	ˈlɛylnɪ
leülök	ˈlɛyløk
leülök	lɛyløk
leülsz	ˈlɛyls
leültem	ˈlɛyltɛm
leült	ˈlɛylt
leültünk	ˈlɛyltʏŋk
leülünk	ˈlɛylyŋk
leúszik	lɛuːsik
leütötte	ˈløːtøtːø
leütöttem	ˈløːtøtːɛm
leütött	ˈløːtøtː
levadászik	lɛvɒdaːsik
levadászni	ˈlɛvɒdaːʃni
levágják	ˈlɛvaːɟaːk
levágja	ˈlɛvɒɟɒ
levágjuk	ˈlɛvaːgjuk
levágni	ˈlɛvaːgni
levágod	ˈlɛvɒgod
levágom	ˈlɛvaːgom
levágott	ˈlɛvaːgotː
levágtad	ˈlɛvɒktɒd
levágták	ˈlɛvɒktɒk
levágta	ˈlɛvaːktɒ
levágtam	ˈlɛvɒktɒm
levált	ˈlɛvaːlt
levan	lɛvɒn
levegőbe	ˈlɛvɛgøːbɛ
levegőbe	lɛvɛgøːbɛ
levegőben	ˈlɛvɛgøːbɛn
levegőben	lɛvɛgøːbɛn
levegőből	ˈlɛvɛgøːløːʃ
levegőért	ˈlɛvɛgøːr
levegőhöz	ˈlɛvɛgøːhøs
levegők	lɛvɛgøːk
levegő	ˈlɛvɛgøː
levegő	lɛvɛgøː
levegőnek	ˈlɛvɛgøːnɛk
levegőnek	lɛvɛgøːnɛk
levegőn	ˈlɛvɛgøːn
levegőre	ˈlɛvɛgøːrɛ
levegőszennyezés	lɛvɛgøːsɛɲːɛzeːʃ
levegőtlenebb	lɛvɛgøːtlɛnɛbː
levegőtlen	lɛvɛgøːtlɛn
levegőtlenség	lɛvɛgøːtlɛnʃeːg
levegőt	ˈlɛvɛgøːt
levegővel	ˈlɛvɛgøːvɛl
levegőzni	ˈlɛvɛgøːʒni
levegyem	ˈlɛvɛɟɛm
levek	lɛvɛk
levélbélyeg	lɛveːlbeːjɛg
levélben	ˈlɛveːlˌbɛn
levélben	lɛveːlbɛn
levélbogár	lɛveːlbogaːr
levélből	lɛveːlbøːl
levélboríték	lɛveːlboriːteːk
levélborítékok	lɛveːlboriːteːkok
levélcímek	lɛveːltsiːmɛk
levélcím	lɛveːltsiːm
léve	leːvɛ
levelében	ˈlɛvɛleːbɛn
levelében	lɛvɛleːbɛn
leveled	ˈlɛvɛlt
levelei	ˈlɛvɛlɛi
leveleimet	ˈlɛvɛlɛimɛt
leveleit	ˈlɛvɛʎit
leveleket	ˈlɛvɛlɛkɛt
leveleket	lɛvɛlɛkɛt
levelekkel	ˈlɛvɛlɛkːɛl
levelek	ˈlɛvɛlɛk
levelek	lɛvɛlɛk
levele	ˈlɛvɛlɛ
levele	lɛvɛlɛ
levelemet	ˈlɛvɛlɛmɛt
levelem	ˈlɛvɛlɛm
levelesebb	lɛvɛlɛʃɛbː
levelesláda	lɛvɛlɛʃlaːdɒ
leveles	lɛvɛlɛʃ
levelét	lɛvɛleːt
levelét	ˈlɛvɛlet
levelet	ˈlɛvɛlɛt
levelet	lɛvɛlɛt
levelezése	lɛvɛlɛzeːʃɛ
levelezési	lɛvɛlɛzeːʃi
levelezés	lɛvɛlɛzeːʃ
levelez	lɛvɛlɛz
levelezőlap	lɛvɛlɛzøːlɒp
levelező	lɛvɛlɛzøː
leve	lɛvɛ
levélfiók	lɛveːlfijoːk
levéllel	ˈlɛveːlːɛl
levél	ˈlɛveːl
levél	lɛveːl
levélörvény	lɛveːlørveːɲ
levélpapír	lɛveːlpɒpiːr
levélre	ˈlɛveːlʲrɛ
levélről	ˈlɛveːlor
levélszekrények	lɛveːlsɛkreːɲɛk
levélszekrény	lɛveːlsɛkreːɲ
levélszemét	lɛveːlsɛmeːt
levéltárak	lɛveːltaːrɒk
levéltári	lɛveːltaːri
levéltár	lɛveːltaːr
levéltáros	lɛveːltaːroʃ
levéltárosnők	lɛveːltaːroʃnøːk
levéltárosnő	lɛveːltaːroʃnøː
levéltárosok	lɛveːltaːroʃok
levéltelenebb	lɛveːltɛlɛnɛbː
levéltelen	lɛveːltɛlɛn
levéltetű	lɛveːltɛtyː
levelű	lɛvɛlyː
levélváltás	lɛveːlvaːltaːʃ
levendulaházasság	lɛvɛndulɒɦaːzɒʃːaːg
levendulakék	lɛvɛndulɒkeːk
levendulák	lɛvɛndulaːk
levendula	ˈlɛvɛndulɒ
levendula	lɛvɛndulɒ
lévén	ˈleːveːn
lévén	leːveːn
levén	lɛveːn
levennéd	ˈlɛvɛnːeːd
levenné	ˈlɛvɛnːeː
levenni	ˈlɛvɛni
leventék	lɛvɛnteːk
levente	lɛvɛntɛ
levered	lɛvɛrɛd
lever	lɛvɛr
leverne	lɛvɛrnɛ
levert	ˈlɛvɛrt
levertség	lɛvɛrtʃeːg
levesbe	ˈlɛvɛʃbɛ
levesek	lɛvɛʃɛk
leveskockák	lɛvɛʃkotskaːk
leveskocka	lɛvɛʃkotskɒ
levés	lɛveːʃ
leves	ˈlɛvɛʃ
leves	lɛvɛʃ
levesszük	ˈlɛvɛsːʏk
levest	ˈlɛvɛʃt
leveszed	ˈlɛvɛsɛd
leveszem	ˈlɛvɛsɛm
leveszik	ˈlɛvɛsik
leveszi	ˈlɛvɛsi
levesz	lɛvɛs
levetkőzik	lɛvɛtkøːzik
levetkőzni	ˈlɛvɛtˌkøːʒni
levetkőztet	lɛvɛtkøːstɛt
levét	ˈlɛveːt
levét	lɛveːt
levet	ˈlɛvɛt
levet	lɛvɛt
levetted	ˈlɛvɛtːɛd
levették	ˈlɛvɒtɛmːɛ
levette	ˈlɛvɛtːɛ
levettem	ˈlɛvɛtːɛm
levett	ˈlɛvɛtː
levezetni	ˈlɛvɛtsɛdni
levi	ˈlɛvi
levi	lɛvi
levinni	ˈlɛvinːi
leviszem	ˈlɛviʃɛm
levlap	lɛvlɒp
lev	ˈlɛv
lévők	ˈleːvøːk
lévő	leːvøː
levő	ˈlɛvøː
levő	lɛvøː
lévő	lyøː
levonható	lɛvonɦɒtoː
levon	lɛvon
levonni	ˈlɛvɔnːi
lewis	leːviʃ
lewist	ˈlɛwist
lew	leʊ
lexéma	lɛkseːmɒ
lexie	ˈlɛkʃɛ
lexikális	lɛksikaːliʃ
lexikológia	lɛksikoloːgijɒ
lexikon	lɛksikon
lexikonok	lɛksikonok
lexi	ˈlɛkʃi
lexington	ˈlɛkʃɪtʃɔn
lex	lɛks
lezajlott	ˈlɛzɒjlotː
lezárása	lɛzaːraːʃɒ
lezárás	ˈlɛzaːraːʃ
lezárás	lɛzaːraːʃ
lezárást	ˈlɛzaːraːʃt
lezáratlan	ˈlɛzaːɾɒtlɒn
lezárhatjuk	ˈlɛzaːrɦɒtjuk
lezárhat	lɛzaːrɦɒt
lezárják	ˈlɛzaːrjaːk
lezárja	ˈlɛzaːrjɒ
lezárjuk	ˈlɛzaːɾjuk
lezár	lɛzaːr
lezárni	ˈlɛzaːrni
lezárom	ˈlɛzaːrom
lezárták	ˈlɛzaːrtɒk
lezárta	ˈlɛzaːrtɒ
lezárta	lɛzaːrtɒ
lezártam	ˈlɛzaːrtɒm
lezárt	ˈlɛzaːrt
lezárt	lɛzaːrt
lezártuk	ˈlɛzaːrtuk
lezárul	lɛzaːrul
lezárult	ˈlɛzaːrulʈ
lezárva	ˈlɛzaːrvɒ
lézerek	leːzɛrɛk
lézeres	ˈleːzɛrɛʃ
lézer	ˈleːzɛr
lézer	leːzɛr
lézernyomtatók	leːzɛrɲomtɒtoːk
lézernyomtató	leːzɛrɲomtɒtoː
lézerrel	ˈleːzɛrɛl
lézert	ˈleːzɛrt
lezuhan	ˈlɛzuhɒn
lezuhan	lɛzuɦɒn
lezuhant	ˈlɛzuɦɒnt
lezuhanunk	ˈlɛzuhɒnunk
lezuhanyozom	ˈlɛzuɦɒɲozoːm
l	ɛlː
lgazad	ɛgɒzɒd
lgaza	ɛgɒzɒ
lgazán	ɒgaːzɒn
lgaz	ɛgɒz
lgazi	ɛgɒzi
lgenis	leːgɛnis
lgen	leːgɛn
lhásza	laːsɒ
lia	liɒ
liamet	liɒmɛt
liam	liɒm
liang	liɒŋ
lian	liɒn
lián	lijaːn
libabőrös	ˈlibɒbøːrøʃ
libák	libaːk
liba	liːbɒ
liba	libɒ
libanoniak	libɒnonijɒk
libanoni	ˈlibɒnoni
libanoni	libɒnoni
libanon	libɒnon
libát	liˈbaːt
libaúsztató	libɒuːstɒtoː
libby	ˈlibi
liberális	ˈlibɛraːliʃ
liberális	libɛraːliʃ
liberalizációk	libɛrɒlizaːtsijoːk
liberalizáció	libɛrɒlizaːtsijoː
liberalizál	libɛrɒlizaːl
liberalizmus	libɛrɒlizmuʃ
libéria	libeːrijɒ
liberty	ˈlibɛrti
líbia	liːbijɒ
libidó	libidoː
libikókák	libikoːkaːk
libikóka	libikoːkɒ
libling	libliŋg
licenccel	litsɛntsɛl
licenced	litsɛntsɛd
licence	litsɛntsɛ
licencel	litsɛntsɛl
licenc	litsɛnts
licitál	litsitaːl
licit	liːtʃit
licsifák	litʃifaːk
licsifa	litʃifɒ
licsik	litʃik
licsi	litʃi
lidércek	liːdeːrkɛk
lidércek	lideːrtsɛk
lidércesebb	lideːrtsɛʃɛbː
lidérces	lideːrtsɛʃ
lidércfények	lideːrtsfeːɲɛk
lidércfény	lideːrtsfeːɲ
lidérc	liːdeːrtʃ
lidérc	lideːrts
lidércnyomás	lideːrtsɲomaːʃ
lidia	ˈliːdiɒ
liechtenstein	lixtɛnʃtɛjn
life	liːf
liftbe	liːftbɛ
liftben	liːftbɛn
liftben	livdbɛn
liftből	ˈliftbøːl
liftek	liftɛk
liftet	ˈliftɛt
liftet	liftɛt
lifthez	liːftɛs
lift	liːft
lift	lift
lifttel	liːft̪ːɛl
ligában	ligaːbɒn
ligája	ligaːjɒ
ligák	ligaːk
liga	ligɒ
ligatúrák	ligɒtuːraːk
ligatúra	ligɒtuːrɒ
ligetek	ligɛtɛk
liget	ligɛt
light	liːt
lightman	liːtman
lignin	lignin
liguria	liguːrijɒ
liheg	lihɛg
likad	likɒd
likai	likɒji
likait	likɒjit
lika	likɒ
likam	likɒm
like	ˈlaɪk
lik	lik
likőr	liˈkøːr
likőr	likøːr
likőrök	likøːrøk
likvidál	likvidaːl
lilább	lilaːbː
lilák	lilaːk
lila	liːlɒ
lila	lilɒ
lilásabb	lilaːʃɒbː
lilás	lilaːʃ
lilát	liːlaːt
lile	lilɛ
li	liː
lili	lili
liliomfehér	lilijoɱfɛɦeːr
liliom	liːliom
liliom	lilijom
liliomok	lilijomok
lilith	ˈlilɪt
lilla	lilːɒ
lil	liːl
lillian	ˈlilːijɒn
lilly	liː
lily	liːli
lilynek	liːjɛnɛk
lilyt	liːlɨt
lima	liːmɒ
lime	liːmɛ
limfóma	liɱfoːmɒ
limitál	limitaːl
limitált	ˈlimiˌtaːlt
limit	limit
lim	lim
limó	liːmoː
limonádék	limonaːdeːk
limonádé	limonaːdeː
limonádét	limonaːdeːt
limonit	limonit
limuzin	liˈmuzin
limuzin	limuzin
limuzinok	limuzinok
limuzint	liˈmuzint
lina	liːnɒ
linc	liːntʃ
lincoln	liŋkloːn
lincolnt	linˈtʃolt
linda	lindɒ
lindát	linɟaːt
linden	ˈlindɛn
lindsay	ˈlɪndzɛ
lindsey	ˈlindʃɛ
lindy	liːndi
lineáris	linɛaːriʃ
line	liːnɛ
ling	liŋg
lingvisztika	liŋgvistikɒ
linked	liŋkɛd
linkeken	liŋkɛkɛn
linkeket	liŋkɛkɛt
linkek	liŋkɛk
linkekre	liŋkɛkrɛ
linkem	liŋkɛm
linken	liŋkɛn
linket	liŋkɛt
linkje	liŋkjɛ
link	liŋk
linkre	liŋkrɛ
lin	liːn
linóleum	linoːlɛum
linus	liːnus
linux	linuks
linuxos	linuksoʃ
linzer	linzɛr
lionel	lionɛl
lipcse	liptʃɛ
lipeck	lipɛtsk
lip	liːp
lipton	ˈlɪpton
lírai	liːrɒji
lírák	liːraːk
líra	liːrɒ
lisa	liːʃɒ
lisának	liʃɒnɒk
lisát	liʃaːt
lisával	liʃɑvaːl
lisbeth	liʃbɛt
lisbon	liʃbɔn
lise	liːʃɛ
lispeszentadorján	liʃpɛsɛntɒdorjaːn
lissa	liʃːɒ
lisszabon	lisːɒbon
listában	liʃtaːbɒn
listához	liʃtɒʃ
listája	liʃtaːjɒ
listája	liʃtaːʝɒ
listáján	liʃtaːjaːn
listájára	liʃtaːjɒrɒ
listájáról	ˈliʃtaːjaːrɒl
listáját	listɒjaːt
listáját	liʃtaːjaːt
listák	liʃtaːk
listákon	liʃtaːkon
listákra	liʃtaːkrɒ
lista	liʃtɑ
lista	liʃtɒ
listám	liʃtaːm
listámon	liʃtɒmoːn
listán	liʃtaːn
listára	liʃtaːrɒ
listára	liʃtɑːrɑː
listáról	liʃtɒrʊl
listát	listɑːt
listát	liʃtaːt
listával	liʃtɑvaːl
lister	liʃtɛr
lisztek	listɛk
lisztet	liʃtɛt
liszt	list
liszt	liʃt
literek	litɛrɛk
literen	litɛrɛn
literes	ˈlitɛrɛʃ
liter	ˈlitɛr
liter	litɛr
litert	liːtɛrt
lítium	liːtijum
lítiumok	liːtijumok
little	ˈkɛsɛ
liturgia	liturgijɒ
litvániai	litvaːnijɒji
litvánia	litvaːnijɒ
litván	litvaːn
litvánok	litvaːnok
liu	liu
live	liːvɛ
livermórium	livɛrmoːrijum
livia	ˈlivijɒ
liv	liːv
lív	liːv
liza	lizɒ
lizin	lizin
liz	liʒ
lizzie	liʒi
lizzy	liʒːi
lj	ʎ
l	l
ll	ɫː
lloyd	loyd
llyen	ɛː
l	ɬ
lmádom	ɒmɒdom
lmp	ɛlɛmpeː
lndulás	ˈlɒndulɒʃ
lnkább	ɒnkaːb
lóápolás	loːaːpolaːʃ
lobba	lobːɒ
lobbanékonyabb	lobːɒneːkoɲɒbː
lobbanékony	ˈlobːɒneːkoɲ
lobbanékony	lobːɒneːkoɲ
lobban	lobːɒn
lobbant	lobːɒnt
lobbi	lobːi
lobbizik	lobːizik
lobé	lobeː
lob	lob
lobog	lobog
lobognak	lobognɒk
lobogóbb	lobogoːbː
lobogók	lobogoːk
lobogok	lobogok
lobogó	lobogoː
lobo	loːbo
lobon	lobon
lobos	loːboʃ
lobot	lobot
lócák	loːtsaːk
lóca	loːtsɒ
loch	loːx
locke	lotʃɛ
lockhart	ˈlɒkxɑrt
lockwood	ˈlɒkʋud
locsolkodik	lotʃolkodik
locsol	lotʃol
locsolócső	lotʃoloːtʃøː
locsolókannák	lotʃoloːkɒnːaːk
locsolókanna	lotʃoloːkɒnːɒ
lódarázs	loːdɒraːʒ
lődd	løːdː
lodge	luːdʒ
lódulj	loːduj
Łódź	lodʒː
Łódź	vudʒː
Łódź	vutʃ
lóerő	loːɛrøː
lóerős	loːɛrøːʃ
lófajta	loːfɒjtɒ
lófarkak	loːfɒrkɒk
lófarok	loːfɒrok
lófasz	loːfaʃ
lófasz	loːfɒs
lófaszt	loːfaʃt
lőfegyverek	løːfɛɟvɛrɛk
lőfegyver	løːfɛɟvɛr
logan	logɒn
logaritmusfüggvény	logɒritmuʃfygveːɲ
logaritmus	logɒritmuʃ
logaritmusok	logɒritmuʃok
logarléc	logɒrleːts
lóghatnánk	loːghɒtnaːŋk
logikai	logiːkɒi
logika	logiːkɒ
logika	logikɒ
logikát	logiˈkaːt
logikusabb	logikuʃɒbː
logikusan	logikuʃɒn
logikus	logikuʃ
logikusnak	logikuʃnɑk
logikusok	logikuʃok
logikusság	logikuʃːaːg
logisztikai	logistikɒji
logisztika	logistikɒ
lógj	loːgʝ
lógjon	loːgjon
lógjunk	loːgjunk
lóg	loːg
lógnak	loːgnɒk
lógni	loːgni
lógok	loːgok
logók	logoːk
logó	loːgoː
lógó	loːgoː
logó	logoː
lógós	loːgoːʃ
lógott	loːgotː
lógsz	loːgs
lógsz	loːks
lógtak	loːktɒk
lógtál	loːktɑːl
lógtam	loːktɒm
lógtok	loːktɔk
lógtunk	loːktuŋk
lógunk	loːguŋk
lógva	loːgvɒ
lóhalálában	loːɦɒlaːlaːbɒn
lóhát	loːɦaːt
lóháton	loːhaːton
lóháton	loːɦaːton
lóhátra	loːɦaːtrɒ
lóhátról	loːɦaːtroːl
lóhere	loːɦɛrɛ
lőhet	løːɦɛt
lois	loːʃ
lojális	lojɒliʃ
lőjek	løːjɛk
lőjék	løːjɛk
lője	løːjɛ
lője	luʝɛ
lőjem	løːjɛm
lőjenek	loːjɛnɛk
lőjétek	loːjeːtɛk
lőjetek	løːjɛtɛk
lőjj	loːj
lőjjön	løːjːøn
lőj	loːj
lőj	løːj
lőjön	loːjøn
lőjön	løːjøn
lőjük	loːjyk
lokálisabb	lokaːliʃɒbː
lokális	lokaːliʃ
lokalizál	lokɒlizaːl
lökd	løgd
lökd	løkɟ
lökdösd	løgdøʒd
lökdös	løgdøʃ
lökdösődik	løgdøʃøːdik
lökdöss	løgdøʃː
lökdöss	ˈløkdøʃː
lökés	ˈløkeːʃ
lökést	løkeːʃt
löketet	løkɛtɛt
löket	løkɛt
loki	loki
löki	løki
lökjed	ˈløkjɛd
lökj	ˈløkʝ
lök	løk
lokni	lokni
lökni	ˈløkni
lőkösháza	løːkøʃhaːzɒ
lökött	ˈløkøtː
löksz	løks
lökte	løktɛ
löktem	løktɛm
lókupec	loːkupɛts
lola	loːlɒ
lőlek	løːlɛk
lol	loːl
lo	loː
ló	loː
lő	løː
lomax	loːmɒx
lombardia	lombɒrdijɒ
lombard	ˈlombɑrd
lombikban	lombigbɒn
lombikbébik	lombigbeːbik
lombikbébi	lombigbeːbi
lombik	lombik
lombikok	lombikok
lomb	lomb
lombok	lombok
lombos	lomboʃ
lombtalanabb	lomptɒlɒnɒbː
lombtalan	lomptɒlɒn
lomhább	lomɦaːbː
lomha	lomɦɒ
lomi	lomi
lom	lom
lomográfia	lomograːfijɒ
lompos	lompoʃ
lomtalanítás	lomtɒlɒniːtaːʃ
lomtalanít	lomtɒlɒniːt
lónak	loːnɒk
londo	londo
londonba	ˈlondonbɒ
londonban	londombɒn
londonban	ˈlondonbɒn
londonból	ˈlondonboːl
londoni	londoni
london	ˈlondon
london	london
londonon	londonon
londont	lonːdont
lőnek	loːnɛk
lőné	løːneː
lone	loːnɛ
lőne	løːnɛ
lonely	loːnɛj
long	luŋg
longo	loŋgo
lőnie	løːni
lőni	løːni
lon	loːn
lőn	løːn
lonnie	loːnːiː
lőnöd	løːnød
lőnöm	løːnøm
lönt	lønt
looking	luːkɪŋ
look	luːk
loomis	luːmiʃ
lóöszvérek	loːøsveːrɛk
lóöszvér	loːøsveːr
lopakodó	ˈlopɒkodoː
lopásért	lopɒʃeːrt
lopás	lopaːʃ
lopás	lopɑʃ
lopások	lopaːʃok
lopással	lopɒʃːɛl
lopást	lopɒʃt
lópatkó	loːpɒtkoː
lopd	lopd
lopez	lopeʃ
lophat	lophɒt
lopják	lopjaːk
lopja	lopjɒ
lopj	lopʲ
lopjon	lopjɔn
lopjuk	lopjuːk
lopkod	lopkod
lop	lop
lopnak	lopnɒk
lopni	lopni
lopok	lopok
lőpor	løːpoːr
lőpor	løːpor
lopótök	lopoːtøk
lopótökök	lopoːtøkøk
lopott	lopotː
lopsz	lops
lopsz	lopʃ
loptad	loptaːd
lopták	loptaːk
loptak	loptɒk
loptál	loptaːl
lopta	loptɒ
loptam	loptɒm
loptunk	loptuŋk
lopunk	lopuŋk
lóra	loːrɒ
lord	loːɾd
lord	lord
lordok	loːɾtok
lorelai	lorɛlɒi
lorelei	lorɛleː
lorenzo	lorɛntsɔ
loretta	lorɛtːɒ
lori	lori
lőrinci	løːrintsi
lőrinc	løːrints
lőrincz	løːrints
lorna	lornɑ
lorne	lorne
lornyon	lorɲon
lóról	loːroːl
lorraine	lorɒiːnɛ
los	loʃ
lóss	loːʃː
lost	lost
lószar	loːsɒr
lószart	loːsɑrt
lőszerek	løːsɛrɛk
lőszer	løːsɛr
lőszerraktárak	løːsɛrːɒktaːrɒk
lőszerraktár	løːsɛrːɒktaːr
lőszerrel	ˈløːsɛrɛl
lószerszám	loːsɛrsaːm
lőszert	løːsɛrt
lősz	løːs
lősz	løːʃ
lösz	løs
lösz	løsː
löszt	løst
lótakaró	loːtɒkɒroː
