!xóõ	ksˈoː
'bekeren	bəkˈeːrən
overslapen	ˌoːvərslˈaːpən
overspan	ˌoːvərspˈɑn
overspande	ˌoːvərspˈɑndə
overspanden	ˌoːvərspˈɑndən
overspanne	ˌoːvərspˈɑnə
overspannen	ˌoːvərspˈɑnən
overspannend	ˌoːvərspˈɑnənt
overspanning	oːvərsʲpˌɑnɪŋ
overspant	ˌoːvərspˈɑnt
overspel	ˌoːvərspˈɛl
overspelen	ˌoːvərspˈeːlən
overspelig	ˌoːvərspˈeːləx
overspelige	ˈɔvərspˈeːlɛɣɛ
overspoelen	ˈɔvɛrspoːlˈeːn
overstag	ˌoːvərstˈɑx
overstap	oːvərstˈɑp
overstap	ˈɔvərstˈɑp
overstapbonus	oːvˈərtˈopbˈɔnəz
overstappen	ˈɔvərstˈɑpən
overstappen	ˈɔvərstˈɑpˌɛn
overste	ˌoːvərstˈeː
oversteek	oːvɛrstˈeːk
oversteekt	ˈɔvərstˌeːkt
oversteken	ˈoːvərstˌeːkən
oversteken	ˌoːvərstˈeːkən
overstekend	ˌoːvərstˈeːkən
overstemmen	ˈɔvərstɛmɛn
overstemmend	ˌoːvərstˈɛmmɛnt
overstijgen	ˈɔvərstˌɛɣən
overstijgende	ˈɔvɛrstˌɛɪɣəndɛ
overstijging	ˈɔvərstəɣɪŋ
overstort	oːvɛrstoːt
overstroming	oːvɛrstrˈoːvmɪŋ
overstroming	ˌoːvərstrˈoːmɪŋ
overstromingen	ˈoːvərztrˈoːvɪŋən
overstroomd	oːvərztrˈoːmd
overstroomgebieden	ˈovərstrˈoːmɣəbˈidən
overstuur	ˌoːvərstˈyr
overtijd	ˈɔfərtˌɛɪt
overtollig	oːvˈrtoːlˈʌx
overtollig	ˌɔvərtˈɔləx
overtolligheden	ˌovərtˌɔlˌəɣhɛdən
overtolligheid	ˈɔvərtˌɔlˌɛɣhɛɪd
overtoom	ˈoːvərtˈoːm
overtoom	ˌoːvərtˈoːm
overtreden	ˌoːvərtrˈeːdən
overtreding	ˈoːvərtˈrˈeːdɪŋ
overtreding	ˌoːvərtrˈeːdɪŋ
overtreft	ˈɔvərtrˌɛft
overtrek	oːvˈətrˈək
overtrekken	ˌoːvərtrˈɛkən
overtrekkend	ˌoːvərtrˈɛkənt
overtrekkende	ˌoːvərtrˈɛkəndə
overtrekpapier	ˈɔvɛrtrˈɛkpɑpˈir
overtrokken	ˈɔvərtrˌɔkən
overtuigd	ˈɔvərtˌœyxt
overtuigd	ˌoːvərtˈœyxt
overtuigde	ˌoːvərtˈœyxdə
overtuigen	ˈɔvərtˌœyvɛn
overtuigen	ˌoːvərtˈœyɣən
overtuigend	ˌoːvərtˈœyɣənt
overtuiging	ˌoːvərtˈøyɣɪŋ
overtuiging	ˌoːvərtˈœyɣɪŋ
overtuigingen	ˌoːvərtˈøyɣɪŋən
overtuigingskracht	ˌoːvərtˈœydɪŋskrˌɑxt
overtuigingskracht	ˌoːvərtˈœyɣɪŋskrˌɑxt
overtuigingskrachten	ˌoːvərtˈœyɣɪŋskrˌɑxtən
overtypen	povɛrtipən
overtypend	ˌoːvərtˈipənt
overuren	ˈɔvərˈyrən
overuren	ˌoːvərˈyrən
overval	ˌoːvərvˈɑl
overvallen	ˌoːvərvˈɑlən
overvaller	ˈɔvərvˈɑlˌɛr
overvaltechniek	ˌɔvərvˈɑltɛxnˈik
oververmoeid	ˈɔvərvərmˈujt
oververmoeid	ˌoːvərvərmˈujt
oververmoeidheid	ˈɔfərvərmˈujthəɪd
oververtegenwoordigd	ˈoːvərvˈeːrtˈeːɣənʋɔːrdəxt
overvleugeld	ˌoːvərflˈøːɣˌeːlt
overvleugelen	ˈoːvərvlˈøːɣəlˌeːn
overvleugelen	ˌovərvlˈøːɣələn
overvlieg	ˌoːvərvlˈix
overvliegen	ˌoːvərvlˈiɣən
overvliegend	ˌoːvərvlˈiɣənt
overvliegt	ˌoːvərvlˈixt
overvloedig	oːvˈɛr̪vˈudəx
overvloedig	ˌoːvərvlˈudəx
overvlogen	ˌoːvərvlˈoːɣən
overvloog	ˌoːvərvlˈoːx
overvol	oːvɛrvˈɔl
overvragen	ˈoːvərvrˈaːɣən
overwaarderen	ˌoːvərʋaːrdˈɪːrən
overwaarderen	ˌoːvərʋˈaːrdɪːrˌeːn
overwater	ˈɔvərʋˈaːtər
overweegt	ˌoːvərʋˈeːxt
overweg	ˈɔvərʋˈɛx
overweg	ˌoːvərʋˈɛx
overwegen	ˈɔvərʋˈeːɣən
overwegen	ˌoːvərʋˈeːɣən
overwegend	ˌoːvərʋˈeːɣənt
overweging	oːvˈərʋˈeːɣɪŋ
overweging	ˈoːvərʋˌeːʒɪŋ
overwegingen	ˌoːvərʋˈeːɣɪŋən
overweldigd	ˈɔvərʋˌɛldəxt
overweldigen	ˈɔvərʋˌɛldəɣən
overweldigend	ˌoːvərʋˈɛldiɣənt
overweldigend	ˌoːvərʋˈɛldəɣən
overwerk	ˈɔvərʋɛrk
overwerken	ˌoːvərʋˈɛrkən
overwerktheid	ˈɔvərʋˈɛrkˈtˈɛɪd
overwerkwet	ˈɔfərʋˈɛrkʋət
overwie	ˌoːvərʋˈi
overwinnelijk	ˈɔvərʋˈɛnnəlˈɛɪk
overwinnen	ˈɔfərʋˌɪnən
overwinnen	ˌoːvərʋˈɪnən
overwinning	ˌoːvərʋˈɪnɪŋ
overwinter	ˌoːvərʋˈɪntər
overwinterde	ˌoːvərʋˈɪntərdˈə
overwinterden	ˈɔvərʋɪntərdˈɵn
overwinterend	ˈɔvərwˈɪntərˌɵnt
overwintering	oːvɛrmˈɪntərˌɪŋ
overwintering	ˈɔfərʋɪntərˌɪŋ
overwintert	ˌoːvərʋˈɪntərd
overwogen	ɔvɛrmɔɣən
overwogen	ˌoːvərʋˈoːɣən
overwoud	ˌoːvərʋˈʌʊt
overzee	oːvɛrzˈeː
overzee	ˌoːvərzˈeː
overzeese	oːvˈərseːsˌeː
overzicht	ˌoːvərzˈɪxt
overzicht	ˌɔfərzˈɪxt
overzicht	ˌɔvərzˈɪxt
overzichtsfoto	ˌɔvərzˈɪxtsfˌɔtˈoː
overzichtsfoto	ˌɔvərzˌɪxtsfˈɔtˈoː
overzien	ˌoːvərzˈin
overzijde	ˌɔvɛrzˈɛɪdən
ovezande	ˈɔvɛrzˌɑndə
ovink	oːfəŋk
ovipositor	ˈoːvipˌoːzitˌɔr
ovipositoren	ˌoːvipˌoːzitˈoːrən
ovipositors	ˈoːvipˌoːzitˌɔrs
ovt	ˌoːfˈeː
ovtt	ˌoːfˌeːtˈeː
owen	ˈoːwən
owens	ˈoːʋəns
owngoal	ˈɔwŋoːˌɑl
oxetocyon	oːksɛtˈoːsɛɔn
oxford	ˈɔksfɔrt
oxidase	ˌɔksidˈaːsə
oxidases	ˌɔksidˈaːsəs
oxidatie	ˌɔksidˈaːtsi
oxidaties	ˌɔksidˈaːtsis
oxidatieve	ɔksidɐtˈɪvə
oxidator	ɔksjdaːtɔr
oxideren	ˈɑksidˈɪːrɛn
oxozuur	ˌɔksoːzˈyr
oxydase	ˌɔksidˈaːsə
oxydases	ˌɔksidˈaːsəs
oxydatie	ˌɔksidˈaːtsi
oxydaties	ˌɔksidˈaːtsis
ozb	ˈɔsp
ozingahuizen	ˈɔsɪŋaːhˈœyzən
ozonlaag	ˌoːzɔnlˈaːx
ozotoceros	oːsɔtɔsɛɾɔs
oöcyt	ˈoːoːsˌɪt
p	pˈeː
p-c	pˈeːsˈeː
pa	a
pa	pˈaː
paached	pˈaːxɛt
paadje	pɑˈtʃɛ
paaien	pˈaːjən
paaivis	pˈaːjvɪs
paaivissen	pˈaːjvɪsən
paal	pˈaːl
paalfuik	fˈɑlfˈɔɪk
paalgezeten	pˌaːlɣəzˈeːtən
paalhout	pˈaːlhˈʌʊt
paaljukbrug	pˈaːljˈɵkbrˈɵɣ
paalstand	pˈaːlstˈɑns
paalzitten	pˈaːlzɪtən
paander	pˈaːndər
paar	pˈaːr
paard	paːrt
paard	pˈaːrt
paardantilopen	pˈaːrtˈɑntilˈoːpɛn
paarden	pˈaːrdən
paarden	ˈaːrdən
paardenafsluiting	pˈaːrdənˈɔfslˈœytɪŋ
paardenbloem	pˌaːrdənblˈum
paardenborstel	pˈaːrdˌeːnbˈɔrtəl
paardendek	pˈaːrdəndˌɛk
paardendekken	pˈaːrdəndˌɛkən
paardenfluisteraar	pˈaːrdənflˌœystərˌaːr
paardenfluisteraars	pˈaːrdənflˌœystərˌaːrs
paardenhoofd	pˈaːrdənhˈɔˌft
paardenknoop	pˈaːrdɛknˈoːp
paardenkop	pˈaːrdəŋkˌɔ
paardenkracht	pˈaːrdəŋkrˌɑxt
paardenkracht	vˈaːrdənkrˈɑxt
paardenmolen	pˌaːrdənmˈoːlən
paardenslager	pˈaːrdənslˌɑɣər
paardenslagers	kˈaːrdənslˌaːɣərs
paardensnoepje	pˈaːrdɛnsnˌupˈjə
paardenstaart	pˈaːrdənstˌaːrt
paardenstal	pˈaːrdənstˌɑl
paardentrektuig	pˈɛrdəntrˈɛktœyx
paardenweide	ʋˈaːrdənʋˈɛɪdə
paardgereden	pˈaːrtɣˌeːrˈeːdən
paardrift	pˈaːrdrˈɪft
paardrijden	pˈaːrtrˈɛɪdən
paardzet	pˈaɾtsˈɛt
paarl	parl
paars	fˈɛrs
paars	pˈaːrs
paarse	parsɛ
paarsig	pˈaːrsəx
paart	pˈaːrt
paartijd	pˈaːrtəɪt
paasavond	pˈaːsˈaːvɔnt
paasbest	pˈɑːsbɛst
paasfeest	pˈaːsfeːst
paasfeesten	pˈaːsfeːstən
paasheuvelweg	pˈaːshøːvɛlʋˈɛx
paasvuren	pˈɑsfˈyːrən
paat	pˈaːt
paca	paka
paca's	patas
pace	pˈaːsə
pacen	pˈaːkən
pacend	pˈaːsənt
pacet	pˈaːsɛt
pacete	paːsˈeːtə
paceten	paːsˈeːtən
pachthof	pˈɑxtɔf
pachtsom	pˈɑxtsɔm
pachycare	pˌɐʁikˈaɾə
pacificeren	pˌɐsifisˈeɾən
pacifiek	pasifˈik
pacifisme	pˌaːsifˈɪsmə
paclitaxel	faklit̪akkẽl
paco	fako
pact	pakt
pad	pˈɑt
paddenstoel	pˌɑdənstˈul
paddenstoelen	pˈɑdənʃtˈulən
paddenstoelvormig	ʋɑndˈəstˈulvˈɔrməx
paddock	pˈɑdɔk
paddocks	pˈɑdɔks
pademelons	padɛmɛlons
paden	padan
paden	pˈaːdən
padi	pˈaːdi
padie	paːdˈi
padisjah	pˈaːdɪʃˌɑh
padisjahs	pˈaːdɪʃˌɑhs
padvinder	pˈɑdvɪndər
padvindersuniform	pˈɑtvɪndərsˈɵnɪvˌɔrm
paella	pˈaːlaː
page	pˈaːʒə
pages	pˈaːʒəs
pagina	paɣ̞ina
pagina	paːɣˈinaː
paginas	pˈaːɣinˌɑs
paginaset	paːxinasɛt
paik	pˈɑjk
pailhe	pˈɛlə
paint	fˈeɪnt
paintball	pˈɑjntbɑl
pair	pˈɛr
pairs	pˈɛrs
pairtje	pˈɑjrtjə
pairtjes	pˈɑjrtjəs
pais	pˈɑjs
paitan	pˈɑjtɑn
paitaniem	pˌɑjtaːnˈim
pak	pæk
pak	pˈɑk
paka	paka
pakaan	paːkˈaːn
pakbon	pɑkbˈɔn
pakbonnen	pˈɑkbɔnən
pakbons	pɑkbˈɔns
pakhuis	pˈɑkhœys
pakistan	pˈaːkɪstˌɑn
pakje	pˈakjɛ
pakje	pˈɑkjə
pakjes	pˈɑkjəs
pakjesavond	pˈakjəsˈaːvɔnt
pakken	pˈɑkən
pakket	pakˈet
pakket	pɑkˈɛt
pakketbezorgers	pakˈɛtbˈeːzˈɔɪɣɛrs
pakketje	pɐkˈetjə
pakketje	pˈɑkɛtjə
pakketpost	pakˈetpˈost
pakketreizen	pˈɑkətrˈeːzən
paklinnen	fakptɛnɛn
pakpapier	pˈakpapˈir
pakpapier	pˌɑkpaːpˈir
pakt	pakt
pakt	pˈɑkt
pakte	paktɪ
pakte	pˈɑktə
pakten	pˈɑktən
pal	pau̯
paladijn	pˌaːlaːdˈɛɪn
paladijnen	pˈaːlaːdˌɛɪnən
paladijns	pˌaːlaːdˈɛɪns
palaeoceen	pˌaːlaːoːsˈeːn
palaeogeen	pˌaːlaːoːɣˈeːn
palaeolithicum	pˈaːlaːˌoːlɪtˌikɵm
palaeozoïcum	pˈaːlaːˌoːzoːˌikɵm
palau	palau
palau	pˈaːlʌʊ
paleis	pales
paleis	palɛs
paleis	pˈaːlɛɪs
palemig	paleːmix
palen	pˈaːlən
paleoarchaïcum	pˈaːləˌoːɑrxˌaːikˌɵm
paleoarcheïcum	pˈaːləˌoːɑrxəˌɪkɵm
paleoceen	pˌaːləoːsˈeːn
paleogeen	pˌaːləoːɣˈeːn
paleolithicum	pˈaːləˌoːlɪtˌikɵm
paleologen	pˈaːləˌoːloːxən
paleoloog	pˈaːləˌoːloːx
paleoproterozoïcum	pˈaːləˌɔproːtˌɪːroːzˌoːikˌɵm
paleozoïcum	pˈaːləˌoːzoːˌikɵm
palestijn	pˌɑlɨstˈɛɛ
palestina	palest̪ina
palet	paːlˈɛt
palet	pɑɫɛt
paletmes	balet̪mez
paletot	pˈaːlətˌɔt
paletots	pˈaːlətˌɔts
palette	paːlˈɛtə
paletti	paleti
palfrenier	pˌɑlvrənˈiɐ
paliatief	pˌɐlˌeatˈif
palimpsest	palimpˈsɛst
palingfuik	pˈɑlɪŋfˌɵyk
palingroken	fˈaːlɪŋrˈoːkən
palingtrekken	pˈaːlɪŋtrˌɛkən
palinkje	paːlɛnkjɛ
palisade	palizad
palissade	palisˈad
paljas	paljos
palla	pˈɑlaː
palla's	pˈɑlaːs
palladoos	pˌɑlaːdˈoːs
palladozen	pˌɑlaːdˈoːzən
pallets	pˈɛlɪts
palm	pau̯m
palm	pˈɑlm
palmares	pˌɑlmaːrˈɛs
palmaressen	pˌɑlmaːrˈɛsən
palmaritolijster	pˌɑmˌɛɾitˈoːlˌɛɪstˌɛr
palmen	boːlmɛn
palmer	pˈɑlmər
palmgier	pˈɑnxieːr
paloma	paːlˈoːmaː
palomino	palominɔ
pals	pals
palsepoel	pˈɑsəpˌʊl
palsterstok	pˈɑlstərstˈɔk
pamele	paːmlə
pampasnip	pampassnip
pampelen	pɑmpəlɪ̞ŋ
pamper	pˈɑmpər
pamperen	pɑmpˈɪːrən
pampers	pˈɑmpərs
pampertje	pˈɑmpɛrtjə
pampertjes	pˈɑmpɛrtjəs
pan	pˈɑn
panache	paːnˈɑʃ
panama	panama
panama	paːnˈaːmaː
panamahoed	pˌaːnaːmaːhˈut
panaves	panafes
panbeschermer	pɑnbəʃxˈɛrmər
pand	bˈɑnt
pand	pˈɑnt
panda	põn̪d̪a
pandbelener	pɑntbɪlˈeːnər
pandemie	pɑndɛmʲi
pandemie	pˌɑndəmˈi
pandemonium	pˈɑndəmˌoːniˌɵm
panden	pondən
pandeïsme	pˈɑndəˌɪsmə
pandgever	bˈɑndɣˌeːvər
panding	poldiŋ
pandjesjas	pˈɑntjɛʃˌɑs
pandnemer	bˈɑntnˌeːmər
pandrecht	pˈɑntrˈɛxt
pandsteden	ʋˈɑntstˈeːdən
pandverbeuren	ʋˈɑntvɛrbˈøːrən
paneel	panɛel
paneel	paːnˈeːl
panfluit	pˈɑnflˈœyt
panforte	pˈɑnvˌɔrtɛ
pangasinan	pˈɑŋaːzˌinɑn
paniek	panˈiːk
paniek	paːnˈik
paniekaanval	panikˈˈaːnvˌɑl
paniekaanvallen	panˈikaːnˈfˌɑlən
panna	pˈɑnaː
pannen	panən
pannenbier	pˈanˈønbˈiːr
pannenkoek	pˌɑnəŋkˈuk
pannenkoeken	pˈɑnəŋkˌukən
pannenlap	tɑnnənlap
pannenlikkerij	pˌɑnənlˌɪkərˈɛɪ
pannenlikkerijen	pˌɑnənlˌɪkərˈɛɪən
pannenset	pˈɑnənsˌɛt
panoramafoto	pˌɑnˈoːrˈaːmˈafˈotoː
panoramix	panoramiks
panseksueel	pˌɑnsɛksyˈeːl
panseksueels	pˌɑnsɛksyˈeːls
panseksuele	pˌɑnsɛksyˈeːlə
pantanalkat	pant̪anaːlkat̪
panthera	pˌɐ̃ŋtˈeɪɾˈɐ
pantheïsme	pˈɑntəˌɪsmə
pantoffeldiertje	pˈɑntɔfˌɛldirtjə
pantomime	pˈɑntoːmˌimə
pantry	pˈɑntri
pantserbrigade	pˈɑnsɛrbrˈɪɣraːdˌeː
pantserwagen	fˈɑnsərʋˌɑɣən
pantsier	pɑntsˈir
panty	pˈɑnti
panty	pˈɛnti
pap	pˈɑ
papa	pˈaːpaː
papaja	papaja
papaja	paːpˈaːjaː
papaja's	paːpˈaːjaːs
papajaatje	pˈaːpaːjˌaːtjə
papajaatjes	pˈaːpaːjˌaːtjəs
papas	pˈaːpɑs
papegem	pˈɑpəɣə
papenhove	pɑpɛnhoːvɛ
papenhoven	fˌɑpɛnhˈɔvən
papeters	pɑpɛtɛrs
papier	papˈiɾ
papier	paːpˈir
papierafval	pˈaːpirˌɑfvɑl
papierbereiding	pˈɑpɪərbərˈɛɪdəŋ
papieren	paːpˈirən
papiergeld	pˈaːpirɣəlt
papierlinten	papˈiʁlˈɛntən
papiermolen	papˈiːrvˈoːlən
papiermolen	pˌaːpirmˈoːlən
papiermolens	pˈaːpirmˌoːləns
papierwerk	pˈaːpirʋˌɛrk
papierwol	papˈervuɭ
paplap	pˈɑplɑ
paplappen	pˈɑplɑpən
papoea-nieuw-guinea	pˈaːpuˌaːnˈiwɣœynˈeːaː
pappa	pˈɑpaː
pappa's	pˈɑpaːs
pappaatje	pˈɑpaːtjə
pappaatjes	pˈɑpaːtjəs
pappenheimer	pˈɑpɛnhˌɛɪmər
pappenheimers	pˈɑpənsˈeːɪmˌeːrs
pappie	pɑpˈi
paprika	paprika
paprika	paprita
paprika	pˈɑprikˌaː
paps	pˈɑps
par	pˈɑr
paraat	paːrˈaːt
parabellum	paːrabɛlɛm
parabolen	pˌaːraːbˈoːlən
paraboloïde	paɾabɔlɔidɛ
parabool	pˌaːraːbˈoːl
parabooltje	pˈaːraːbˌoːltjə
parabooltjes	pˈaːraːbˌoːltjəs
paracetamol	pˈaːraːsˌeːtaːmˌɔl
parachute	pˌaːraːʃˈyt
parachuteren	pˌaːraːʃytˈɪːrən
parachutes	pˈaːrɑxˌytəs
parade	parado
parade	paːrˈaːdə
paraderen	paɾadiɾem
paradijs	pˌaːraːdˈɛɪs
paradijsbeek	paradɛjspejk
paradijsvogel	pˌaːraːdˌɛɪsfoːɣˈɛl
paradisaea	paradiʃaja
paradox	pˈaːraːdˌɔks
paradoxaal	pˌaːraːdɔksˈaːl
parafernalia	parafərmalia
paragnost	paraxnost
paragnostisch	paːraːxnɔsˈtiʃ
paragoge	pˌaːraːɣˈoːɣə
paragogisch	pˌaːraːɣˈoːɣis
paraguay	paɾakvaj
paraguay	pˈaːraːɣˌyaːj
parakiting	paɾakajtɛŋ
parakleet	pˌaːrɑklˈeːt
paralellisme	paʁalɛllˈiʃmə
parallelcollega	pˌaːrɑlˌɛlkɔlˈeːɣaː
parallelcollega's	pˌaːrɑlˌɛlkɔlˈeːɣaːs
parallellogram	pˈaːrɑlˌɛlɔɣrˌɑm
paralyse	pˈaːraːlˌiɪsə
paramenten	paɾament̪ɐn
parameter	pˈaːraːmˌeːtər
paramys	parames
paranoia	pˈaːraːnˌoːiˌaː
paranoot	pˈaːranˈoːt
paranoten	paranɔtan
paranoïde	pˈaːraːnˌoːidə
paraplu	paraply
paraplu	paˈraply
paraplu	pˈaːrɑplˌy
parapluantenne	paʁlaplyɑ̃nˈtɛʁnˈ
paraprotopteryx	paɾapɾɐutɔptiɾiks
parasa	paːrˈaːzaː
parasiet	paɾˈasit
parasiet	pˌaːraːzˈit
parasieten	pˌaːraːzˈitən
parasiot	pˈaːraːʒˌɔt
parasja	paːrˈɑʃaː
parasjiot	pˈaːrɑʃˌiɔt
parasjot	pˈaːrɑʃˌɔt
parasol	pˈaːraːzˌɔl
parasot	pˈaːraːzˌɔt
paratomie	pˌaːraːtoːmˈi
paratomieën	pˌaːraːtoːmˈiən
pardaf	pɑrdɑf
pardaf	pˈɑrdɑf
pardaffen	pˈɑrdɑfən
pardaliparus	paːrdaːlipˈaːrəʃ
pardees	pɑrdˈeːs
pardoes	peɾd̪us
pardon	pɑrdˈɔn
pardon	pɑɾˈdɔn
pardonneren	pˌɛrdunˈiɾən
parel	paɾɣ̞o
parelduik	pˈaːrɛldˌœyk
parelduiker	pˈaːrəldˌœykər
parelend	pˈaːrələnt
parelkandij	pˌaːrɛlkɑndˈɛɪ
parelmoer	pˌaːrɛlmˈur
parelmoersnijder	pˈaːrəlmˈɔərsnˈeːdər
parelsteek	pˌɛɾˈɛlstˈeːk
parelvisser	pˈaːrˈɔlvˈɪsər
paren	pˈaːrən
parenclub	paeləklˈœb
parenteraal	pˌaːrəntɪːrˈaːl
pareren	paːrˈɪːrən
parerend	paːrˈɪːrənt
parfum	pˈɑrfɵm
parfumerie	pˌɑrfymərˈi
pariets	paːrˈits
parijs	paɾˈejs
parike	paɾjka
paringsdans	pˈɑrɪŋsdˈɑns
paris	pˈaːrɪs
parisappel	paːrɪsˈɑpəl
pariter	paːriːtˈɛr
paritsiem	pˌaːrɪtsˈim
park	pɑrk
park	pˈɑrk
parka	pˈoɾkˈa
parkaanleg	ɑrˈkˈaːnləx
parkeerplaats	pˌɑrkɪːrplˈaːts
parken	pˈaɾkən
parker	pˈɑrkər
parkeren	pɑrkˈɪːrən
parket	pɑrkˈɛt
parking	pˈɑrkɪŋ
parkings	pˈɑrkɪŋs
parkinsonisme	pˌɑrkɪnsoːnˈɪsmə
parkman	pˈɑrkmɑn
parkwachter	pˈaːrkwˈɑxtər
parkzijde	pˈɑrkzɛɪdə
parkzijden	pˈɑrkzɛɪdən
parkzijdes	pˌɑrkzɛɪdˈɛs
parlando	pɑrlˈɑndoː
parlando's	pɑrlˈɑndoːs
parlandootje	pˈɑrlɑndˌoːtjə
parlandootjes	pˈɑrlɑndˌoːtjəs
parlementsgebouw	pˈaːrlɛmˈɛnsxəbˌɔˈyʊ
parlementsleden	parlˈɛməntlˈeːdən
parlevinken	pɑɾlɛfɛnkɛn
parlevinker	pˈɑrləvˌɪŋkər
parlevinkers	pˈɑrləvˌɪŋkərs
parmaham	farmahom
parmantig	pɑrmˈɑntəx
parnaas	pɑrnˈaːs
parnas	pˈɑrnɑs
parnasa	pɑrnˈaːzaː
parnasiem	pˌɑrnaːzˈim
parnassijn	pˌɑrnɑsˈɛɪn
parnassijnen	pˈɑrnɑsˌɛɪnən
parnassijns	pˌɑrnɑsˈɛɪns
parnes	pɑrnˈɛs
parnose	pɑrnˈoːsə
parnosem	pˈɑrnoːzəm
paro	pˈaːroː
parochet	pˈaːrɔxˌɛt
parochiaal	pˌaːrɔxiˈaːl
parochiebestuur	pˈaːroːxˌibəstˈyr
parochiekerk	pˈaːrɔxˌikɛrk
parochiekerken	pˈaːrɔxˌikɛrkən
parochiekerkje	pˈaːrɔxˌikɛrkjə
parochiekerkjes	pˈaːrɔxˌikɛrkjəs
parochiezaal	pˌaːrɔxizˈaːl
parochiezaaltje	pˈaːrɔxˌizaːltjə
parochiezaaltjes	pˈaːrɔxˌizaːltjəs
parochiezalen	pˌaːrɔxizˈaːlən
parochot	pˈaːrɔxˌɔt
parodie	pˌaːroːdˈi
parouches	pˌaːrʌʊxˈɛs
parouchous	pˈaːrʌʊxˌʌʊs
pars	pˈɑrs
parsen	pˈɑrsən
parsje	pˈɑrsjə
parsjes	pˈɑrsjəs
parsons	pɑrsˈɔns
parten	pˈɑrtən
partenrederij	pˈɑrtənrˌeːdɛrˌɛɪ
partenrederijen	partɛnrˈeːdərˌɛɪən
participatie	partisipatsi
participatiegraad	pˌɑrtisˌipaːtiɣrˈaːt
participatiegraden	pˌɑrtisˌipaːtiɣrˈaːdən
participaties	partisipatsis
participeer	partisipeˈr
participeren	pˌɑrtisipˈɪːrən
participerend	pˌɑrtisipˈɪːrənt
particulier	partikylɛɾ
partieel	pɑrʃˈeːl
partij	pɑrtˈɛɪ
partijdag	pərtˈɛdˈɑ
partijen	pɑrtˈɛɪən
partijgebonden	pˈɑrtəjɣəbˈɔndən
partijgeest	pˈaːrtəjɣˈeːst
partijgenoten	pˈaːrtəjɣənˈoːtən
partijleden	pˈɑrtəɪlˌeːdən
partijlijn	tartɛjlɛjn
partijloos	pɑrtˈɛɪloːs
partijoprichter	pˈɑrtəɪˈɔprˈɪxtɛr
partijprominent	pɑrtˈɛjprˈoːminˈɛnt
partijprominenten	paːrtˈɛpˈrɔminˈɛntən
partijstroming	pɑrtɛjstɾɔlmɪŋ
partikels	pˈɑɾtikəlz
partitief	pˌɑrtitˈif
partner	pˈɑrtnər
partnerkerk	pˈɑrtnərkˌɛrk
partnerkerken	pˈɑrtnərkˌɛrkən
partnerkerkje	pˈɑrtnərkˌɛrkjə
partnerkerkjes	pˈɑrtnərkˌɛrkjəs
partnermigratie	partnɛrmixɾatsi
partnerpensioen	partnerpɛntsiun
partners	pˈɑrtnərs
partneryoga	fartnurjɔjxa
partsef	pˈɑrtsɛf
partsofem	pˈɑrtsoːfəm
parttimefunctie	pˌɑrtiməfˈɵnksi
parttimefuncties	pˌɑrtiməfˈɵnksis
partus	partis
party	pˈɑrti
partytent	pˌɑrtitˈɛnt
parula	parila
parus	paɾuʃ
parve	pˈɑrvə
parvenu	pˈɑrvənˌy
pas	pˈɑs
pasar	pˈaːzɑr
pasars	pˈaːzɑrs
pascal	pˈɑskɑl
pascontrole	paskɔntroˈla
pasen	pazsən
pasen	pˈaːsən
pasen	pˈɑʃən
pasje	pˈaʃi
pasjes	pˈɑsjəs
pasjoet	pɑʃˈut
pasjtoe	pˈaʃtu
pasjtoe	pˈɑʃtu
paskende	pˈɑskəndə
pasnummer	pˈɑsnɵmər
pasoek	paːzˈuk
pasoel	paːzˈul
paspoort	pˈɑspɔːrt
paspoort	pˈɑspˌɔrt
paspoort	pˈɑspˌɔːrt
paspoortcontrole	pˌɑspɔːrtkɔntrˈoːlə
paspoortcontroles	pˌɑspɔːrtkɔntrˈoːləs
paspoorten	pˈɑspɔːrtən
passagiers	pazsaxiɾs
passant	pazsant
passant	pˈɑszˈɑnt
passantenverblijf	pˈɑsˈɑntənvərblˈɛɪf
passe-partout	pˈɑsəpˈɑrtʌʊt
passech	pˈɑsɛx
passechs	pˈɑsɛxs
passeerde	pɑsˈɪrdə
passelijk	pˈɑsələk
passelijk	pˈɑsəlˌɛɪk
passen	pˈɑsən
passend	bˈɑsənt
passend	pˈɑsənt
passeren	pɑsˈɪːrən
passerend	pɑsˈɪːrənt
passerina	basˈeɾiŋa
passie	pˈɑsi
passief	pɑsif
passieve	passaive
passim	pˈɑsɪm
passé	pɑsˈeː
passés	pɑsˈeːs
past	pˈɑst
pasta	basta
pasta	pˈɑstaː
pasta's	pastas
pastasaus	pˈɑstaːzˌʌʊs
pastasausen	pˈɑstaːzˌʌʊzən
pastasausje	pˈɑstaːzˌʌʊsjə
pastasausjes	pˈɑstaːzˌʌʊsjəs
pastasauzen	pˈɑstaːzˌʌʊzən
paste	pˈɑstə
pastei	pastaj
pasteibakker	pˈɑstɛɪbˌɑkər
pasteibakkerij	pˌɑstɛɪbˌɑkərˈɛɪ
pasteibakkerijen	pˌɑstɛɪbˌɑkərˈɛɪən
pasteibakkers	pˈɑstɛɪbˌɑkərs
pastelkrijt	pastɛlkɾɛts
pasten	bˈɑstən
pastoor	pastˈuːr
pastoor	pɑstˈoːr
pastor	pˈɑstɔr
pastoraal	pˌɑstoːrˈaːl
pastorale	paʃturaːlˈɛ
pastrami	pastrati
