ஃ	ʔ
பதவியேற்ற	paɖavijeːr̪ː̊
பதவியேற்றது	paɖəvi̯eːɾːɖɯ
பதவியேற்றதும்	paɖəvi̯eːrːəɖum
பதவியேற்றார்	paɖəvi̯eːrɾɑːr
பதவியேற்று	pad̪əvijeːrːu
பதவியேற்றுக்	padavij̄eːɾːuk̚
பதவியேற்றுள்ள	paɖavijeːɾɯɭɭu
பதவியை	pad̪aʋijaɪ̯
பதவியைக்	paɖəviʝ
பதவியைப்	padavijɪ̆p̚
பதவியையும்	paɖaʋijəj
பதவியோ	paɖaʋijoː
பதாகை	padagai
பதாகைகளை	padagaɪɾɐj
பதானும்	padaːn̪u̯
பதான்	pəɖaːn̪
பதி	pɐd̪i
பதிக்க	pad̪ikː
பதிக்கும்	pad̪ikːum
பதித்த	paɾit̪ː
பதித்தது	pad̪it̪ːa
பதித்தவர்	pad̪it̪ːʋ̪e̞ɾ̪e̞
பதித்தார்	paɖɨt̪ːaːɾ
பதித்து	pad̪itːu
பதித்துள்ள	pad̪it̪ul̪ː
பதித்துள்ளார்	paɖɨt̪uɭɭɑːr
பதிந்து	pad̪in̪u
பதினான்கு	pɐd̪ɪnaːngɯ
பதினாறாவது	paɾinaːɾɑːvaːdu
பதினாறு	pad̪inaɾuː
பதினாறு	pɐd̪ɪnaːrɯ
பதினெட்டிலும்	paɾineːʈilu
பதினெட்டு	pad̪ineːʈːu
பதினெட்டு	pɐd̪ɪnɛʈːɯ
பதினேழு	pad̪ineːɻu
பதினேழு	pɐd̪ɪneːɻɯ
பதினைந்து	pad̪ini̯aɳtu
பதினைந்து	pɐd̪ɪnɐɪ̯n̪d̪ɯ
பதினொன்று	pɐd̪ɪnɔndrɯ
பதினோறு	pad̪inoːɾuː
பதிப்பில்	pad̪ipːil
பதிப்பு	pad̪ipːu
பதிப்பு	pɐd̪ɪpːɯ
பதிமூன்று	pɐd̪ɪmuːndrɯ
பதிய	paɖi
பதியும்	paɖijum
பதிலடி	paɾilɐɖi
பதிலடிஃ	pad̪iɭaɖi
பதிலடிகளை	pad̪iɭaɖigai̯
பதிலடியாக	pad̪iɭaɖijɐgɐ
பதிலடியை	paɾilɐgɐj
பதிலடியையும்	paɾilɾiʝ
பதிலளிக்க	paɾilɐɭikːu
பதிலளிக்கவில்லை	paɾilɐɭɪkəvilai
பதிலளிக்காமல்	pad̪iɭiɻikaːmɐɭ
பதிலளிக்கும்	paɾilɐɭikːum
பதிலளிக்கையில்	pad̪ilɐɭikai̯ɲ
பதிலளித்த	paɾilɐɭit̪ː
பதிலளித்தார்	pad̪iləɭɨt̪ːaːr̪
பதிலளித்திருக்கிறார்	paɾilɐɭit̪ːɾukːiɾɑːr
பதிலளித்திருந்தார்	paɖilɐɭit̪uɾɐːr
பதிலளித்து	paɾilɐɭit̪ːu
பதிலளித்துள்ள	pad̪iləɭit̪uɭ̩
பதிலளித்துள்ளார்	pad̪iləɭɨt̪ːuɭ̩ɑːr
பதிலளித்தேனே	paɾilɐɭit̪ːeːneː
பதிலளித்தேன்	pad̪ilɐɭɨt̪ːeːn
பதிலா	pad̪iɭɑ
பதிலாக	paɖilɑg
பதிலால்	pad̪ilɑːl
பதிலில்	paɾilil
பதிலுக்கு	paɾilukːu
பதிலும்	pad̪ilum
பதிலே	paɾileː
பதிலை	paɾilaj
பதிலைக்	pad̪iliɪk̟
பதிலையும்	pad̪ilijam
பதில்	paɾil
பதில்ஃ	pad̪ili
பதில்களும்	pad̪il̪əlaːm
பதில்கள்	pad̪ilɣːə
பதிவாகி	pad̪iʋaːgi
பதிவாகின	pad̪iʋaːgiɳ̪
பதிவாகியது	pad̪iʋaːgit̪u
பதிவாகியுள்ளது	pad̪iʋaɣijol̪ɭu
பதிவாகியுள்ளன	pad̪iʋagijullan
பதிவாகும்	pad̪iʋaːgum
பதிவான	pad̪iʋaːn̪
பதிவானது	pad̪iʋaːn̪du
பதிவால்	pad̪iʋɑːl̪
பதிவாளர்	pad̪iʋɑːlɐr
பதிவிட	pad̪iʋiɖ̪
பதிவிடப்பட்டுள்ளது	pad̪iʋiɖɐpɨʈːɐl̪ːɯ
பதிவிடும்	pad̪iʋiɖum
பதிவிட்ட	pad̪iʋit̪ː
பதிவிட்டனர்	pad̪iʋɪɳɳɐr
பதிவிட்டார்	pad̪iʋiɖɑːr
பதிவிட்டிருக்கிறார்	pad̪iʋiɖiɾukɾiɾɑːr
பதிவிட்டிருந்தார்	pad̪iviɳːɖ̪iɾʈun̪daːr̪
பதிவிட்டு	pad̪iviʈːu
பதிவிட்டுள்ள	pad̪iʋiɳɖulː
பதிவிட்டுள்ளதால்	pad̪iviɳɳuɭɭɐɭ
பதிவிட்டுள்ளது	pad̪iʋiɳɖɔːɭ̩t̪ul̩
பதிவிட்டுள்ளனர்	pad̪iʋiɳɳɯɭɭɯɳɖɯr
பதிவிட்டுள்ளார்	pad̪iviɳɳɯɭɯɾɑːr
பதிவிட்டுவருகின்றனர்	pad̪iviɳɳuʋaɾiŋgaːn̪ɾɐr̪
பதிவின்	pad̪iʋin̪
பதிவிறக்கம்	pad̪iʋiɾakːam
பதிவிற்கு	pad̪iʋikːu
பதிவில்	pad̪iʋil̪
பதிவு	pad̪igu
பதிவு	pɐd̪ɪʋɯ
பதிவுகளில்	pad̪iviʈul̪əɭ̩
பதிவுகளும்	pad̪iviɣɐlum
பதிவுகளை	pad̪ivigalai̯
பதிவுகள்	pad̪iʋugɐ
பதிவுக்கு	pad̪iʋuku
பதிவும்	pad̪iʋum
பதிவேற்றம்	pad̪iʋeːrʈam
பதிவேற்றம்	pɐd̪ɪʋeːtrɐm
பதிவேற்றி	pad̪iʋeːr̪ːi
பதிவை	pad̪iʋaɪ
பதிவைப்	pad̪iʋaɪ̯
பதிவையும்	pad̪iʋej̪
பதிவொன்றை	pad̪iʋon̪ɽai̯
பதுக்கி	paɖʊkːi
பதுங்கி	paɖuŋgi
பதுமாசனம்	pɐd̪ʊmaːsɐnɐm
பதோனி	patoːni
பத்ததி	pɐt̪ːɐd̪i
பத்தாண்டுகளுக்கு	paʈːaːɳːuguː
பத்தாது	paːt̪ːɑːdu
பத்தாம்	paʈːaːm
பத்தாயிரம்	paʈːaɪɾam
பத்தாவது	paʈːaːvɐːt̪u
பத்தி	paʈːi
பத்தி	pɐt̪ːi
பத்தினி	pɐt̪ːɪni
பத்திரங்களை	paʈːiɾəkaɭi
பத்திரங்கள்	paʈːiɾəŋkaɭ
பத்திரத்தில்	paːt̪ːiɾat̪ːil
பத்திரத்தை	paːt̪ːiɾɐɾɐj
பத்திரமாக	paʈːiɾəmaga
பத்திரம்	paʈːiram
பத்திராசனம்	pɐt̪ːɪɾaːsɐnɐm
பத்திரிகை	paːt̪ːiɾigaɪ̯
பத்திரிகைகளில்	paːt̪ːiɾigaɪ̯ɾil
பத்திரிகைகள்	paːt̪ːiɾɪgaɪ̯
பத்திரிகைக்கு	paːt̪ːiɾigaɪkːu
பத்திரிகையாளரும்	paːt̪ːiɾigaɪ̯ɑːɭɯɾum
பத்திரிகையாளர்	paːt̪ːiɾigaɪ̯ɑːɭɑː
பத்திரிகையாளர்களிடம்	paːt̪ːiɾigaɪ̯ɑːɭɑːɾɨɭɨɾɨd̪am
பத்திரிகையாளர்களுக்கு	paʈːiɾigaɪæɭɑːɭugu
பத்திரிகையாளர்களும்	paːt̪ːiɾigaɪ̯ɑːɭɑːɾum
பத்திரிகையாளர்களை	paːt̪ːiɾigaɪ̯ɑːɭɑːɾai̯
பத்திரிகையாளர்களைச்	paːt̪ːiɾigaɪ̯ɑːɭɑːɾai̯tʃ
பத்திரிகையாளர்கள்	paːt̪ːiɾigaɪ̯ɑːɭɑːɾgai
பத்திரிகையின்	paːt̪ːiɾɪgajin
பத்திரிகையில்	paːt̪ːiɾikaj̃
பத்திரிக்கை	paːt̪ːiɾikːaɪ̯
பத்திரிக்கைகளே	paʈːiɾikːaːjɛ
பத்திரிக்கைகள்	paʈːiɾikːaiɳgai
பத்திரிக்கையாளராக	paːt̪ːiɾikːaɪ̯jɑːɭɑːɾɑːgɑ
பத்திரிக்கையாளர்	paʈːiɾikːajɑːɭɑːr
பத்திரிக்கையாளர்களுக்கு	paʈːiɾikːajɑːɭɑːɾukːu
பத்திரிக்கையாளர்களை	paʈːiɾikːajæːɭɐɾai̯
பத்திரிக்கையாளர்கள்	paːt̪ːiɾikːaɪ̯ɑːɭɑːɾgai
பத்திரிக்கையின்	paːt̪ːiɾikːajin
பத்திரிக்கையில்	paːt̪ːiɾikːai̯ɭ
பத்து	paʈːu
பத்து	pɐt̪ːɯ
பத்துக்கும்	paʈːukːu
பத்துப்	paːt̪ːup̚
பத்துப்பாட்டு	pɐt̪ːʊpːaːʈːɯ
பத்தொன்பதாவது	patoːn̪pədaːvaːtoː
பத்தொன்பது	paʈːon̪pɯ
பத்தொன்பது	pɐt̪ːɔnbɐd̪ɯ
பத்ம	pɒɖə
பத்மஜன்	pɒɖɻɟan
பத்மநாபன்	paɖmənɑːbən
பத்மபூஷன்	paɖmɐbuːʂɐn
பத்மஸ்ரீ	pəɖmɨɻː
பத்மாசினி	pɒɖmaːsini
பத்மாவதி	paɖmaːʋɐti
பத்மாவத்	paɖmaːʋɐt̪
பத்மினி	paɖmiɳi
பத்மினியின்	paɖmini
பத்ரா	pɐt̪rɑː
பத்ராவிடம்	paɖɾaːʋɪɖam
பத்ரி	pɐɖɾi
பத்ரிநாத்	paɖɾinaːt̪
பத்ரிநாத்துக்கு	paɖɾinɑːtːukːu
பந்தத்தில்	paɳɖ̪aɭ̪i
பந்தன்	paɳɖan
பந்தம்	paɳɖam
பந்தய	paɳɖaj
பந்தயத்தில்	paɳɖaj̪t̪ːeɭ̆
பந்தயம்	paɳɖajəm
பந்தல்	paɳɖɭ
பந்தா	paɳɖɑ
பந்தாக	paɳdaːg
பந்தாடி	paɳɖaːɖi
பந்தாடியது	paɳɖaːɖiʈu
பந்தாட்ட	paɳɖɑːɖː
பந்தாட்டப்	paɳt̪ɑːɖːap̚
பந்தாட்டம்	paɳɖɑːɖɑːm
பந்தாவாக	paɳd̪aːʋaːg
பந்தி	pɐn̪d̪i
பந்தின்	paɳɖin
பந்திற்கு	paːn̪d̪ɪkːu
பந்திலும்	paɳɖilam
பந்திலேயே	paɳɖileː
பந்தில்	paɳɖil
பந்து	paɳɖu
பந்து	pɐn̪d̪ɯ
பந்துகளிலும்	paɳɖuɭilam
பந்துகளில்	paːn̪d̪ɯʈːʌɭ
பந்துகளுக்கு	paɳɖuɭugu
பந்துகளை	paɳɖuɭai
பந்துகளைச்	paɳɖuɭaɪtʃ
பந்துகளையும்	paɳɖuɭaɪm
பந்துகள்	paɳɖuɭəgɯ
பந்துக்கு	paɳɖukːu
பந்துதான்	paɳɖut̪aːn̪
பந்தும்	paɳɖum
பந்துவரை	paɳɖʋəɾaɪ
பந்துவீச	paɳɖuʋiːs
பந்துவீசத்	paɳɖuʋiːʃɐʈ
பந்துவீசவில்லை	paɳɖuʋiːsaʋilːaj
பந்துவீசவே	paɳɖuʋiːsʋeː
பந்துவீசி	paɳɖuʋiːsi
பந்துவீசினர்	paɳɖuʋiːsinɾɐ
பந்துவீசினார்	paɳɖuʋiːɕiɳɐɾ
பந்துவீசினாலும்	paɳɖuʋiːsinaɭɯ
பந்துவீசினால்	paɳɖuʋiːsinaːɭ
பந்துவீசிய	paɳɖuʋiːsiʝ
பந்துவீசியதால்	paɳɖuʋiːsiʝɑːɭ
பந்துவீசியது	paɳɖuʋiːɕiɖu
பந்துவீசியதை	paɳɖuʋiːsiʲɐɖaɪ̯
பந்துவீசியுள்ளார்	paɳɖuʋiːɕijulːaɾ
பந்துவீசிவருகின்றனர்	paɳɖuʋiːɕiʋaɾiŋkaɾ
பந்துவீசிவருகிறார்	paɳɖuʋiːɕiʋəɾukirɑːr
பந்துவீசுகிறார்	paɳɖuʋiːsgirɑːr
பந்துவீசும்	paɳɖuʋiːsuɱ
பந்துவீசும்போது	paɳɖuʋiːsuɱbuɖɑ
பந்துவீசுவதால்	paɳɖuʋiːsuʋaɭ
பந்துவீசுவது	paɳɖuʋiːsuɾɯt̪u
பந்துவீசுவார்கள்	paɳɖuʋiːsuʋaɾgɯ
பந்துவீச்சால்	paɳɖuʋiːtʃːɑːl
பந்துவீச்சாளராக	paɳɖuʋiːtɕːɑːɭɑːɾɑːgɯ
பந்துவீச்சாளர்	paɳɖuʋiːtɕɑːɭɛː
பந்துவீச்சாளர்களின்	paɳɖuʋiːtɕːɑːɭɑɾin
பந்துவீச்சாளர்களில்	paɳɖuʋiːtɕːɑːɭɑɭɾɪ̆ɭ
பந்துவீச்சாளர்களுக்கான	paːn̪d̪uʋiːtɕːɑːɭɑːɾukɑːn̪
பந்துவீச்சாளர்களுக்கு	paɳɖuʋiːtɕːɑːɭɑɾukːu
பந்துவீச்சாளர்களும்	paɳɖuʋiːtɕːɑːɭɑɾɯm
பந்துவீச்சாளர்களை	paɳɖuʋiːtɕːɑːɭɑɾɑj
பந்துவீச்சாளர்கள்	paɳɖuʋiːtɕːɑːɭɑɾgɑɭ
பந்துவீச்சின்	paɳɖuʋiːtɕin
பந்துவீச்சிலும்	paɳɖuʋiːtʃilːo
பந்துவீச்சில்	paɳɖuʋiːtɕil
பந்துவீச்சு	paɳɖuʋiːtʃːu
பந்துவீச்சுக்கு	paɳɖuʋiːtɕukːu
பந்துவீச்சும்	paɳɖuʋiːtʃːum
பந்துவீச்சை	paɳɖuʋiːtʃːaɪ̯
பந்துவீச்சைத்	paɳɖuʋiːtʃɨt̪
பந்துவீச்சைப்	paɳɖuʋiːtʃːaɪ̯
பந்துவீச்சையும்	paɳɖuʋiːtɕːai̯
பந்தே	paɳɖe
பந்தை	paɳɖai
பந்தைச்	paɳɖaitɕ
பந்தைத்	paɳɖaɪ̯t̪
பந்தையும்	paɳɖajum
பந்தையே	paɳɖaɪ̯e
பந்த்	paɳɖ
பனங்காட்டு	paŋaːgɑːṭːu
பனாயிப்பு	pɐnaːjɪpːɯ
பனி	pani
பனி	pɐni
பனிக்கட்டி	pɐnɪkːɐʈːi
பனிக்காற்று	pɐnɪkːaːtrɯ
பனிச்சறுக்கில்	pan̪itɕːaɾukːil
பனிச்சறுக்கு	pan̪itɕːaɾukːu
பனிப்போர்	panipːoːr
பனியன்	paɲaɲ
பனிரெண்டாம்	panirendaːm
பன்சாலி	paɳsaːli
பன்சால்	paɳsɔːl
பன்ச்	paɳtʃ
பன்ட்	panɖ
பன்னாட்டு	pɐnːaːʈːɯ
பன்னி	pɐnːi
பன்னிரண்டு	pɐnːɪɾɐɳɖɯ
பன்னீரின்	paɳiːrin̪
பன்னீருக்கு	paɳɳiːɾukːu
பன்னீருக்கும்	pəɳɳiːɾukːu
பன்னீருடன்	paɲiːɾuʈ̪ă
பன்னீரும்	paɳiːruɱ
பன்னீரே	paɲiːɾeː
பன்னீரை	paɳiːrai̯
பன்னீரையும்	paniːrɛjʌm
பன்னீர்	paniːr
பன்னீர்செல்வத்திடம்	paɳːiːɾtʃelʋɐt̪ːɨɖ̪am
பன்னீர்செல்வத்தின்	pəɳɳiːɾtʃelʋat̪t̪im
பன்னீர்செல்வத்திற்கு	paɳːiːɾtʃelʋɐtːɯkːɯ
பன்னீர்செல்வத்துக்கு	panːiːɾtʃelʋatːukːu
பன்னீர்செல்வத்துடன்	panːiːɾtʃelʋat̪ːuɭ̆
பன்னீர்செல்வத்தை	paniːɾtʃelʋət̪ːai̯
பன்னீர்செல்வத்தையும்	paɳiːɾtʃelʋat̪ːaɪ̯
பன்னீர்செல்வமும்	paɲiːɾtʃelʋam
பன்னீர்செல்வமோ	paɳɲiːɾtʃelʋamoː
பன்னீர்செல்வம்	panːiːɾtʃelʋəm
பன்முக	paɳmuɣ
பன்முகம்	paɳmukam
பன்றி	pɐndri
பன்றிக்	pəɳɖik
பன்றிக்காய்ச்சல்	paɳɽiːkɑːjɕːɭ̩
பன்றிக்குட்டி	pɐndrɪkːʊʈːi
பன்வாரி	paɳʋaːɾi
பன்வாரிலால்	paɳʋaːɾilaːɭ
பன்வாலா	paɳʋaːɭɑ
பப்பாளி	pɐpːaːɭi
பப்பு	papu
பப்ளிசிட்டி	paɓɭiɕiʈi
பம்ப்ஸ்	paːmps̪
பயங்கர	paɪaŋkaɾ
பயங்கரமாக	pajaŋgəmaːgɐ
பயங்கரமான	pajaŋgəmaːnaː
பயங்கரவாத	pajaŋgəɾəʋɑːt̪
பயங்கரவாதம்	pajaŋgəɾəʋaːd̪am
பயங்கரவாதிகள்	pajaŋgəɾəʋɑːd̪iɣi
பயங்கரவாதியா	pajaŋgaɾaʋatija
பயண	pajɑɳ
பயணத்தின்	paɪaɳattin
பயணத்திற்கு	paɪɳat̪ːu
பயணத்தில்	paɪaɳt̪ːil
பயணத்துக்கு	paɪɳat̪ːukːu
பயணத்தை	paɪaɳaʈtai
பயணத்தைத்	paɪɳaʈːai̯
பயணத்தையும்	pajəɳəɭːaj
பயணமாக	pajɑːɳəmaːgɑ
பயணம்	paɪɳam
பயணி	pajəɳi
பயணி	pɐjɐɳi
பயணிகளுக்கு	pajəɳiɳiku
பயணிகளும்	pajəɳiɳiɾum
பயணிகளை	paɪaɳiŋkɨrai
பயணிகள்	pajəɳigə
பயணிக்க	pajɑɳikː
பயணிக்கும்	pajɑɳikːum
பயணித்த	pajəɳit̪ː
பயணித்தார்	paɾɲɪt̪ːaːr̩
பயணித்து	pajəɳit̪ːu
பயணித்துக்	paɪaɳit̪t̪uk
பயத்தின்	paɪtamit̪
பயத்தில்	paɪt̪ːil̪
பயத்தை	paɪt̪ːai
பயந்த	paɪəɳɖ
பயந்து	paɪ̯ɳɖu
பயந்தேன்	pajan̪d̪eːn̪
பயனளிக்கும்	pajəɳɭikːum
பயனாக	pajanaːg
பயனாளிகளுக்கு	pajaɳaːʎikoːku
பயனில்லை	pajaniliː
பயனும்	pajan̪um
பயனுள்ள	paɪanulɯɭ
பயனுள்ளதாக	paɪnulɐɽɐgɐ
பயன்	pajɑːn
பயன்படு	pɐjɐnbɐɖɯ
பயன்படுத்த	paɪn̪ɾɨt̪ːuɖ̪ː
பயன்படுத்தக்	paɪn̪ɾɨɾɨt̪ːak̟
பயன்படுத்தக்கூடாது	paɪn̪ɾɨɾɨt̪ːakːuːɖɨ
பயன்படுத்தப்பட	paɪn̪ɾɨt̪ːəɾəɾəɾ
பயன்படுத்தப்படுகின்றன	paɪn̪ɾɨɾɨt̪ːəɾɨpɔɳ̪t̪ːəɾɨkɪn̪t̪ə
பயன்படுத்தப்படுகிறது	paɪn̪ɾɨɭ̪ɨt̪ːəɾɨnt̪ːəɾɨ
பயன்படுத்தப்படும்	paɪn̪ɾɨɾɨt̪ːaɾɨm̩
பயன்படுத்தப்பட்ட	paɪn̪ɾɨɾʈʈaʈːa
பயன்படுத்தப்பட்டு	paɪɳpɯt̪ːəpːəɾːu
பயன்படுத்தலாம்	paɪn̪ɾɨɭɨt̪ːaːm̩
பயன்படுத்தவில்லை	paɪn̪ɾɨt̪ːəʋiʎː
பயன்படுத்தாத	paɪn̪ɾɨɾɨt̪ːɑːd̪
பயன்படுத்தாததால்	paɪn̪ɾɨɾɨt̪ːɑːd̪ɑːɭ
பயன்படுத்தாமல்	paɪn̪ɾɨɾɨt̪ːaːmɨɭ
பயன்படுத்தி	paɪn̪ɾɨɭ̪ɨt̪ːi
பயன்படுத்திக்	paɪn̪ɾɨɾɨt̪ːik̟
பயன்படுத்திக்கொண்ட	paɪn̪ɾɨɾɨt̪ːikːoɳːɖ̪
பயன்படுத்திக்கொண்டார்	paɪn̪ɾɨɾɨt̪ːikːoɳɖɑːr
பயன்படுத்திக்கொண்டு	paɪn̪ɾɨɾɨt̪ːiˈkoːɳɖu
பயன்படுத்திக்கொள்ள	paɪn̪ɾɨɾɨt̪ːikːoɭː
பயன்படுத்திக்கொள்ளவில்லை	paɪn̪t̪uɖiʈiʈoɭːʋiɭːɭə
பயன்படுத்திக்கொள்ளும்	paɪn̪ɾɨɾɨt̪ːiˈkoɭːam
பயன்படுத்தினார்	paɪn̪ɾɨt̪ːiɳːɾɨ
பயன்படுத்தினால்	paɪn̪ɾɨɾɨt̪ːiɳɑːɭ̪
பயன்படுத்திய	paɪn̪ɾɨt̪ːi
பயன்படுத்தியதாக	paɪn̪ɾɨɭɨt̪ːijɐɖɐgɯ
பயன்படுத்தியதால்	paɪnɾɨpːutt̪ːijɐɾɑːl
பயன்படுத்தியது	paɪn̪ɾɨɭ̪ɨt̪ːiɾɨ
பயன்படுத்தியுள்ளார்	paɪn̪ɾɨɾɨɾɨʈːɨɾɨɾɑːr
பயன்படுத்திவிட்டு	paɪn̪ɾɨɾɨt̪ːiʋiʈːu
பயன்படுத்துகின்றனர்	paɪn̪ɾɨɾɨt̪ːuɾɨn̪ɾɨ
பயன்படுத்துகிறார்	paɪn̪ɾɨt̪ːugɪrɑːr
பயன்படுத்துகிறார்கள்	paɪn̪ɾɨɾɨt̪ːukirɑːɾɭɯ
பயன்படுத்துங்கள்	paɪn̪ɾɨɾɨt̪ːuŋ̪ɭ̪eː
பயன்படுத்தும்	paɪn̪ɾɨɾɨt̪ːum
பயன்படுத்துவதாக	paɪn̪ɾɨɾɨt̪ːʋɐɖɐgɯ
பயன்படுத்துவதால்	paɪn̪ɾɨpuɖuɖuʈəɾɨ
பயன்படுத்துவதில்	paɪn̪ɾɨɭ̪ːʈʰuʈːuʈ̪ɨɭ̪
பயன்படுத்துவது	paɪn̪ɾɨɭɨt̪ːuɾɨɾɨ
பயன்படுத்துவதை	paɪn̪ɾɨɭ̪ːʋ̪ɨɭ̪ːʋ̪ɨɭ̪ːʋ̪ɨɭ̪ːt̪ai̯
பயன்படும்	paɪnɾəɽum
பயன்பட்டிருக்கிறதா	paɪn̪ɾəpːɪɾukːɪɾɐt̪a
பயன்பாடு	paɪn̪ɾuːpɯːɽuː
பயன்பாடு	pɐjɐnbaːɖɯ
பயன்பாட்டுக்காக	paɪn̪ɾɐːpɑːɭːukɑːgɑː
பயன்பெறும்	paɪn̪əɾəɾum
பயபுள்ள	paɪpaɭɭu
பயப்பட	paɪpːaɭ̪
பயப்படப்போவதில்லை	paɪp̚aɖːp̚oːʋɒd̪iɭː
பயப்படவில்லை	paɪpɐɖɐʋiɭːi
பயப்படு	bɐjɐpːɐɖɯ
பயப்படுகிறார்கள்	paɪp̚aɖʌkɪrɑːɭgə
பயப்படும்	paɪaɾɾɯ
பயப்படுவதாக	paɪp̚aɖʋadago
பயப்படுவதாகவும்	paɪp̚aɖʊd̪agoʈam
பயப்படுவது	paɪp̚aɖuɖuɖʌ
பயமா	pajəmaː
பயமாக	paɪmaʝa
பயமின்றி	paɪmɨn̪ːɾi
பயமில்லாத	paɪmɪɭːɐː
பயமில்லை	pajəmililiː
பயமும்	pajam̩
பயமுறுத்த	paɪmʊruʈː
பயமுறுத்திய	paɪmʊɾutːi
பயமுறுத்து	bɐjɐmʊrʊt̪ːɯ
பயமுறுத்தும்	paɪmʊruθːum
பயமே	paɪmɛ
பயமோ	paɪmɔ
பயம்	paɪm
பயம்தான்	paɪmdaːn
பயறு	pɐjɐrɯ
பயஸ்	paɪs̪
பயின்றார்	pajin̪daːr
பயின்று	pajin̪ɾu
பயிரடைப்பு	pɐjɪɾɐɖɐɪ̯pːɯ
பயிரிடு	pɐjɪɾɪɖɯ
பயிருழவு	pɐjɪɾʊɻɐʋɯ
பயிர்	paɪɾ
பயிர்கள்	paɪrɨɭgɑ
பயிர்க்	paɪɾk
பயிர்க்கடன்	paɪɾkːɐɖən
பயிர்க்குடி	pɐjɪɾkːʊɖi
பயிர்க்குழி	pɐjɪɾkːʊɻi
பயிர்ச்செலவு	pɐjɪɾtɕːɛlɐʋɯ
பயிர்வழி	pɐjɪɾʋɐɻi
பயிற்சி	paɪɾtɕi
பயிற்சி	pɐjɪrsi
பயிற்சிகளை	paɪɾtɕiɭai
பயிற்சிகளையும்	paɪɾtɕiɭaɪ̯
பயிற்சிகள்	paɪɾtɕigi
பயிற்சிக்	paɪɾtɕik
பயிற்சிக்கு	paɪɾtɕikːu
பயிற்சிப்	paɪɾtɕip
பயிற்சியளிக்க	paɪɾtɕiɑːɭik
பயிற்சியளிக்கும்	paɪɾtɕiɑːɭikːum
பயிற்சியளித்து	paɪɾtɕiɭiɭt̪u
பயிற்சியாக	paɪr̪tɕiɑːgɑː
பயிற்சியாளராக	paɪɾtɕijaːɭaːɾaːg
பயிற்சியாளராகவும்	paɪɾtɕiɑːɭɑːɾɑːgɯ̌ʋum
பயிற்சியாளரான	paɪɾtɕiɑːɭɑːɾɑːn
பயிற்சியாளரின்	paɪɾtɕiɑːɭɑːɾin
பயிற்சியாளருக்கான	paɪɾtɕiɑːɭɑːɾukɑːn
பயிற்சியாளருடன்	paɪɾtɕijɑːɭɑːɾɯɖɯ̃
பயிற்சியாளருமான	paɪɾtɕijɑːɭuɾumɑːn
பயிற்சியாளரும்	paɪɾtɕiʲɑːɭɯɾum
பயிற்சியாளரை	paɪɾtɕijɑːɭɑːɾaɪ
பயிற்சியாளர்	paɪɾtɕiɪ̯ɑːlɑːr
பயிற்சியாளர்	pɐjɪrsɪjaːɭɐɾ
பயிற்சியாளர்களாக	paɪɾtɕijɑːɭɑːrɑːgɑ
பயிற்சியாளர்களுக்கும்	paɪɾtɕiʲaːɭɐɾɐkːu
பயிற்சியாளர்களும்	paɪɾtɕijɑːɭɑːɾum
பயிற்சியாளர்கள்	paɪɾtɕiɑːɭɑːɾgɯ
பயிற்சியின்	paɪɾtɕiːn̪
பயிற்சியின்போது	paɪɾtɕiːnboː
பயிற்சியில்	paɪɾtɕitɕiʎ
பயிற்சியும்	paɪɾtɕiɪm
பயிற்சியை	paɪɾtɕiəj
பயிலும்	paɪɪlum
பயோ	paɪo
பரங்கி	pɐɾɐŋgi
பரசுராம்	paɾɐsuɾaːm
பரஞ்சோதி	paɾandʒoːd̪i
பரணி	paɾani
பரணி	pɐɾɐɳi
பரணிக்கு	paɾaniʋu
பரணிதரன்	paɾaniɾən
பரணியை	paɾɐɲijai
பரதன்	paɾaɖən
பரத்	paɾɐt̪
பரத்வாஜ்	paɾɐɖʋaːʈ
பரந்த	paɾəɳɖ
பரந்து	paɾantu
பரபர	paɾaɾa
பரபரப்பாக	paɾɐpaɾɐbaːg
பரபரப்பாகப்	paɾəpaɾəbaːkəp
பரபரப்பாகவே	paɾabaɾɐpaːgʋeː
பரபரப்பான	paɾɐpaɾɐbaːn
பரபரப்பானது	paɾɐpaɾɐbaːɳɖu
பரபரப்பினை	paɾaɾaɾpiɳai
பரபரப்பின்	paɾɐpaɾɐpiɳ
பரபரப்பில்	paɾaɾaɾɐbɨl
பரபரப்பு	paɾaɾaɾpu
பரபரப்பு	pɐɾɐbɐɾɐpːɯ
பரபரப்புகளுக்கு	paɾəpaɾəpuguːkːu
பரபரப்புக்கு	paɾapaɾabukku
பரபரப்புடன்	paɾəpaɾəɾəɾut̪ːan
பரபரப்பும்	paɾɐpaɾɐpːum
பரபரப்பை	paɾəpaɾəbaɪ
பரபரப்பைக்	paɾaβaɾaik
பரபரப்பையும்	paɾaɾaɾaɪ̯
பரப்ப	paɾɐpː
பரப்பன	paɾəpːən
பரப்பரன	paɾaɾːan
பரப்பளவில்	paɾappilɛvil
பரப்பி	paɾɐpːi
பரப்பிய	paɾapi
பரப்பியதாக	paɾapiːdɑːgɑː
பரப்பில்	paɾɐpːil
பரப்பு	paɾapːu
பரப்பு	pɐɾɐpːɯ
பரப்புகின்றனர்	paɾapːukint̪aɾ
பரப்புகிறார்கள்	paɾɐpukirɐɾgɯ
பரப்புச்	paɾɐpːuɕ
பரப்பும்	paɾapːum
