آ	ɑ
نو	no
نوئ	noˈe
نواقص	nwaːˈqɪs
نوبل	ˈnobl
نور	nor
نورو	noˈro
نوري	noˈri
نورې	noˈre
نوش	noˈʃ
نولا	noˈla
نولس	noˈlas
نوم	noˈm
نوملړ	numlaɺ
نومونه	noˈmuna
نومیالۍ	nomˈjaːlai
نوو	noˈwo
نوي	ˈnwe
نويزونو	nweːzˈuno
نوک	noˈk
نوکغوڅی	nukɣwəsai
نوی	nəwai
نوې	noˈwe
نيا	njɑ
نياز	njaːz
نياو	njɑw
نيت	ˈnɪjat
نيستۍ	nisˈtaj
نيسي	ˈnisi
نيلي	nili
نيم	nim
نيمبو	nimbu
نيمه	ˈnima
نيوي	ˈniwe
نيوکه	niwəka
نيچې	ˈnitʃe
نيک	nik
نيکه	ˈnika
نيکو	ˈniko
نڅا	nətsaː
نړيدلى	nəɺiˈdalai
نړۍ	naɺəj
نږدم	nəɣˈdam
نږدې	nigde
نژدې	nidʒde
نښانې	nəˈʃaːne
نښتر	nəxtar
نښه	ˈnəʃa
نښو	nəˈʃo
نښې	nəˈʃe
نکل	nəkal
نکلي	nəˈkli
نکړ	nəkˈɺ
نکړي	nəkˈɺi
نۀ	na
نیمې	ˈnime
نیټې	ˈnite
نیک	nik
نیکه	ˈnika
نیکونو	niˈkono
نیکي	ˈniki
نې	ne
نېغ	neːɣ
نېک	nek
نېکو	ˈneko
نېکي	ˈneki
ه	ə
ها	ha
هار	haːr
هاضمې	haːˈzma
هبة	ˈhibat
هتمن	hatˈman
هجران	həddʒˈraːn
هدف	ˈhadaf
هر	har
هره	haˈra
هرو	haˈro
هرڅوک	harˈsok
هرې	haˈre
هسي	həˈsi
هسک	hask
هسکې	həˈske
هسې	həˈse
هغسي	haɣˈsi
هغه	háɣə
هغو	haˈɣo
هغوی	haˈɣoi
هغې	haˈɣe
هفته	hafˈta
هلال	haˈlal
هلته	halta
هلک	ələk
هلکه	haˈlka
هلې	haˈle
هم	həm
هماليۀ	hɪmɑləjə
همت	həmt
همدا	hamˈda
همدارنګه	hamdaːˈraŋa
همداسې	hamˈdasə
همدردۍ	həmˈdɑrdəi
همدې	hamˈde
همسايه	hamsaˈja
همغږي	həmɣəˈɣi
همغږۍ	hamɣaːj
همکار	hamˈkaːr
همکارۍ	həmkaˈrəi
همېشه	həˈmeʃa
همېل	hamel
هند	hind
هنر	haˈnar
هنرونو	hanəˈrono
هنري	hanaˈri
هو	ho
هوا	hawa
هواره	hoˈra
هورې	hure
هوساوو	hosaˈwo
هوسي	həˈsi
هوټل	hoˈtal
هوډ	hoˈd
هوښيار	huxjɑr
هوکړه	hokɺa
هير	ˈhir
هيله	hila
هيواد	hiwaːd
هيټه	ˈhiʈa
هيڅ	his
هڅه	hasa
هڅو	hətso
هڅول	hətsoˈwal
هڅکه	haska
هڅې	hətse
هډ	həd
هډو	həˈdo
هک	hak
هکله	hakˈla
هګل	haˈgəl
هګۍ	əŋgəi
هیله	ˈhiːla
هیلو	ˈhiːlo
هیواد	hiˈwaːd
هیڅ	his
هیڅوک	hisˈok
هېر	yer
هېلۍ	heləi
هېواد	hewɑd
هېڅکله	hisˈkəla
و	wo
وئ	wəi
وا	wa
واخان	waˈxan
واخلئ	waˈxle
واخله	waˈxla
واخيسته	waˈxista
واده	waˈda
وار	waːr
وارختا	waːrxˈta
واره	waːˈra
واري	waːˈri
وارګۀ	waːrˈga
واسطه	waˈsta
وال	waːl
والو	waːˈlo
والى	waːˈli
والۍ	waːˈlaːi
وانګې	waˈŋe
واورئ	waˈore
واورتون	wɑwratun
واوره	wɑwra
واوري	waˈori
واي	waːj
وايرسي	waːjərˈsi
وايم	waˈjem
وايه	waˈje
وايو	waˈju
وايي	waˈji
وايې	waˈje
واټ	wɑʈ
واپس	waˈpas
واک	wɒk
واکدار	waːkˈdar
واکمن	wɑkman
واکي	waːˈki
وای	waːj
وایی	waːˈji
وباسو	waˈbaso
وبلل	waˈbləl
وبه	waˈba
وبې	waˈbe
وتل	watəl
وثره	waˈθra
وجه	ˈwəddʒa
وخ	wax
وخت	waxt
وختي	waxti
وختې	waˈxte
وخورم	waˈxorəm
وخوره	waˈxora
وخوري	waˈxori
ودان	wədɑn
ودانول	wadɑnawəl
ودرېد	wədˈred
وده	waˈda
ودې	waˈde
ور	war
ورانه	waˈrana
ورايه	waˈraja
ورته	waˈrta
ورخه	waˈrəxa
وردګي	wardaˈgi
ورزده	warˈzda
ورزش	warˈzaʃ
ورسره	warˈsara
ورسوي	warsəˈwi
ورشم	warˈʃəm
ورشو	warʃo
ورغلي	warˈɣli
ورغوی	warˈɣoi
ورو	wroʊ
ورور	waˈror
وروره	waˈrora
وروستل	warwastəl
وروسته	waˈrosta
وروستي	warˈosti
ورولم	warwaləm
وريجې	wridʒe
وريزي	waˈrezi
وريږي	waˈregi
وريژې	wridʒe
ورځ	wraz
ورځم	warzəm
ورځو	warzo
ورځي	warzi
ورځې	warze
ورک	wərk
ورکه	wərˈka
ورکو	wərˈko
ورکول	warkawəl
ورکوه	wərˈkohe
ورکوو	wərkˈo
ورکوي	wərkˈawi
ورکړ	wərkˈre
ورکړئ	wərkˈre
ورکړه	wərkˈra
ورکړي	wərkˈri
ورکړې	wərkˈre
ورېښمو	wəreˈʃmo
وزارت	waˈzara
وزلي	wazˈli
وزن	wazn
وزه	waˈza
وزي	waˈzi
وزير	waˈzir
وزګاري	wazˈgaːri
وزیر	waˈzir
وزیرستان	wəzirɪstɑn
وزې	waˈze
وس	wəs
وساته	wəˈsata
وساتو	wəˈsatu
وساتې	wəˈsate
وسلم	wəˈsələm
وسله	wəˈsala
وسلو	wəˈsalo
وسه	wəˈsa
وسوه	wəˈsowa
وش	wəʃ
وشرم	wəˈʃram
وشو	wəˈʃo
وشول	wəˈʃol
وشوه	wəˈʃwa
وشي	wəˈʃi
وطن	waˈtan
وطنه	waˈtana
وقف	waqf
وكړ	wəkˈɺ
وكړي	wəkˈɺi
ول	wal
ولايت	waˈlaːjat
ولاړ	waˈlaɺ
ولاړه	waˈlaɺa
ولایت	waˈlaːjat
ولرو	walˈro
ولري	walˈri
ولس	wəlˈəs
ولسمشر	wəlˈmasər
ولسوالي	wələswɑli
ولسوالۍ	wələswɑləi
ولسي	wəlˈsi
وله	wala
ولولی	wəloˈli
ولي	waˈli
ولی	waˈli
ولیاړې	waliˈjaːɺe
ولیکل	waˈlikəl
ولۍ	waˈli
ولې	waˈle
وم	wəm
ومو	wəˈmo
ومومئ	wəˈmoməi
ومومي	wəˈmomi
ونلري	wənəlˈri
ونه	wəna
ونو	woˈno
وه	ˈwah
وهل	waˈhəl
وهلي	waˈhəli
وهه	ˈwaha
وهي	waˈhi
وهينه	waˈhiːna
وهې	waˈhe
وو	ˈwo
ووت	ˈwoːt
ووهئ	woˈhej
وويل	woˈjel
ووړکی	woɺ̢kai
ووړکۍ	woɺ̢kəi
ووړی	woɺai
وویل	woˈjel
وى	we
وي	wi
ويده	widə
ويشت	ˈwiʃt
ويشتل	wiʃtəl
ويشتو	wiʃˈto
ويل	ˈweːl
وينم	winəm
وينه	ˈweːna
وينګ	wajaŋg
وينې	ˈweːne
ويه	waja
وييونه	wijuna
وييپانګه	wəjipɑŋga
ويکټ	wiˈkəʈ
ويی	wəjai
وٸ	wi
وټ	ˈwoːʈ
وټه	wəʈa
وځو	wˈzu
وځي	oˈzi
وڅکي	oˈsaki
وڅکې	oˈsake
وڅېـړي	oˈseːɺi
وچ	ˈutʃ
وچه	ʊˈtʃa
وچو	ʊˈtʃo
وچې	ʊˈtʃe
وډار	ʊˈɖaːr
وړ	wuɺ
وړل	oˈɺəl
وړه	ʊˈɺa
وړوکی	waɺ̢ukai
وړيا	wəɺjɑ
وړۍ	ʊˈɺe
وړې	ʊˈɺe
وږو	ʊˈɣo
وږي	ʊˈɣi
وږی	wəgai
وژل	oˈdʒəl
وژلي	oˈdʒəli
وښود	oˈxoːd
وکارول	oˈkaːrol
وکم	oˈkam
وکه	oˈka
وکي	oˈki
وکړ	oˈkɺ
وکړئ	oˈkɺai
وکړل	oˈkɺəl
وکړم	oˈkɺəm
وکړه	oˈkɺa
وکړو	oˈkɺu
وکړي	oˈkɺi
وکړې	oˈkɺe
وکښل	oˈkaxəl
وکیل	waˈkil
وکیله	waˈkile
وګورم	oˈgorəm
وګوري	oˈgori
وګټه	oˈgaʈa
وګړواکي	wəgəɺwɑki
وګړي	waˈgəɺi
وګړی	wəgəɺai
وی	wi
ویاړ	ˈwjaːɺ
ویاړم	ˈwjaːɺəm
وید	ˈweːd
ویده	weːˈda
ویشي	wiˈʃi
ویل	ˈweːl
ویلو	weːˈlo
ویلي	weːˈli
ویلې	weːˈle
ویناوې	weːˈnaːwe
وینه	ˈweːna
وینځل	wiːnˈzəl
وینې	weːˈne
ویي	wiˈji
وې	we
وېره	wera
وېرول	werawəl
وېرېدل	weredəl
وېشل	weˈʃəl
وېښتان	wextɑn
وېښته	wextə
ى	i
ي	i
يؤه	joˈha
يا	ja
ياد	jɑːd
يار	ˈjaːr
ياره	ˈjaːra
ياست	ˈjaːst
يانې	ˈjaːne
يتيم	jaˈtim
يخ	ˈjax
يخې	ˈjaxe
يعنی	jaˈni
يم	jəm
يمه	ˈjəmə
يم۔	jəm
يه	je
يهک	jhak
يو	jo
يوازي	joˈwaːzi
يوازې	joˈwaːze
يودي	joˈdi
يولس	joˈlas
يوم	jum
يونی	yunai
يوه	joˈwa
يوولس	jawolas
يوې	joˈwe
يي	ji
يک	jak
يی	ji
يې	je
ِلله	lɪˈlːaːh
ِښه	ˈxa
ټ	ʈe
ټال	ˈʈaːl
ټاپو	ʈɑpu
ټاپي	ˈʈaːpi
ټاکل	ˈʈaːkəl
ټاکلو	ˈʈaːklo
ټاکنه	ˈʈaːkəna
ټاکنو	ˈʈaːkəno
ټاکنې	ˈʈaːkəne
ټاکي	ˈʈaːki
ټبر	ʈabar
ټرانسپورټ	transpoˈrt
ټغر	ˈʈaɣar
ټل	ˈʈal
ټماټر	ʈamɑʈər
ټنډه	ʈənɖa
ټنګ	ˈʈaŋg
ټه	ˈʈa
ټول	ˈʈoːl
ټولنه	ˈʈoːləna
ټولنو	ˈʈoːləno
ټولنیز	ˈʈoːlniz
ټولنې	ʈolˈne
ټوله	ʈoˈlɑ
ټولو	ʈoˈlu
ټولوي	ʈoˈluj
ټولګي	ʈolˈgi
ټوپک	ʈuˈpak
ټوپکی	ʈupakai
ټوک	ʈok
ټوکر	ʈukər
ټوکه	ʈoka
ټوکي	ʈoki
ټوکې	ʈoˈke
ټيت	ʈit
ټيم	ʈim
ټينګ	ʈiŋg
ټيکاله	ʈiˈkɑla
ټپ	ʈap
ټپاکی	ʈupɑkai
ټپه	ˈʈapa
ټپي	ˈʈapi
ټک	ʈək
ټکالې	ʈkɑˈle
ټکر	ʈəˈkar
ټکرې	ʈkəˈre
ټکله	ˈʈakla
ټکوي	ʈkəˈwi
ټکي	ʈəˈki
ټینګار	ʈinˈgɑr
پ	p
پابند	pɑˈband
پاته	ˈpɑta
پاتې	pɑˈte
پاخه	ˈpɑxa
پاخې	pɑˈxe
پارسه	pɑrsa
پارسیوان	pɑrsiwɑn
پارلمان	pɑrleˈmɑn
پاره	ˈpɑra
پارک	pɑrk
پارکینګ	pɑrˈkiŋ
پاس	pɑs
پاستا	pɑsˈtɑ
پاسته	ˈpɑsta
پاشلی	ˈpɑʃli
پالنه	pɑlˈna
پالنګر	pɑlənˈgar
پالنې	pɑlˈne
پاله	ˈpɑla
پام	pɑm
پامدور	pɑmador
پاملرنې	pɑmlərˈne
پانګه	ˈpɑŋa
پانګې	pɑˈŋe
پاى	pɑj
پايله	pɑila
پايول	pɑyawəl
پايډل	pɑjˈɖal
پاڅي	pɑˈsi
پاچا	pɑˈtʃɑ
پاړسي	pɑɺˈsi
پاړو	pɑɺu
پاک	pɑk
پاکستان	pɑkɪstɑn
پاکه	ˈpɑka
پاکول	pɑˈkowəl
پاکولو	pɑkoˈlu
پاکي	pɑˈki
پاکې	pɑˈke
پاڼ	pɑɳ
پاڼه	pɑɳa
پاڼو	pɑˈɳu
پای	pɑj
پایلې	pɑjˈle
پایښت	pɑjˈxat
پت	pat
پتخ	patax
پتخه	patəxa
پتنګ	pataŋg
پته	ˈpata
پتې	paˈte
پخلا	pəxˈlɑ
پخلنځي	pəxlanˈzi
پخلي	pəxˈli
پخلی	pəxlai
پخه	ˈpəxa
پخوا	pəˈxwɑ
پخوانی	pəxwɑˈnai
پخول	paxawəl
پخير	pəˈxir
پخپل	pəxˈpal
پخپله	pəxˈpala
پخیر	pəˈxir
پخېدل	pəxedəl
پخېږي	pəˈxegi
پدې	pəˈde
پر	pər
پراته	pəˈrɑta
پراخ	pəˈrɑx
پراختیا	pərɑxˈtja
پراخه	pəˈrɑxa
پراخو	pərɑˈxu
پراخې	pərɑˈxe
پرتله	partala
پرتمين	pərtaˈmin
پرته	ˈpərta
پرتوګ	partug
پرخلاف	pərxəˈlɑf
پردي	pərˈdi
پردۍ	pərˈdəi
پرزي	pərˈzi
پرست	pərast
پرلت	pərˈlat
پرله	ˈpərla
پرما	pərˈmɑ
پرمخ	pərˈmax
پرمختګ	parmaxtɑg
پرمنځ	pərˈmanz
پروا	pərˈwɑ
پروت	prot
پروسه	parwaˈsa
پرون	pəˈrun
پروړه	proɺe
پروړو	proˈɺu
پروژه	proˈddʒa
پروژو	proˈddʒu
پروژې	proˈddʒe
پري	pəˈri
پرځان	pərˈzɑn
پرڅو	pərˈsu
پرچو	pərˈtʃu
پریښودل	priˈxodal
پریکړو	prikˈɺu
پرې	pre
پرېز	pare:z
پرېږده	preˈgda
پرېکړه	prekɺa
پز	pəz
پزه	ˈpəza
پس	pas
پسرلى	pasərlai
پسرلي	pasərˈli
پسرلی	pəsərlai
پسهٔ	psə
پسي	ˈpəsi
پسې	pəse
پشايې	pʃɑˈje
پشترود	pəʃtaˈrod
پشتو	pʊʃˈto
پشتون	pʊʃˈtun
پشتين	pəʃˈtin
پشه	ˈpəʃa
پشير	pəˈʃir
پشۍ	pəʃəi
پل	pal
پلار	plɑr
پلاز	plɑz
پلازمینه	plɑzmiˈna
پلازمېنه	plɑzmena
پلاله	plɑla
پلان	plɑn
پلانونه	plɑˈnuna
پلاو	plɑw
پلم	pɪləm
پلمه	ˈpalma
پلمې	palˈme
پلو	ˈpalu
پلور	plor
پلورل	plorəl
پلونو	ploˈnu
پلوه	ˈpalwa
پلي	pli
پليت	plit
پلټنې	pəlʈəˈne
پلی	ˈpali
پلې	ˈpale
پمنکی	pamankaɪ
پنا	pəˈnɑ
پناه	pəˈnɑh
پنجاب	pənˈddʒɑb
پنير	panir
پنځلس	pinzəlas
پنځم	pənzəm
پنځه	pinzə
پنځو	pənˈzu
پنځوس	pənˈzos
پنډوس	pənɖus
په	pə
پوخ	poʊx
پور	por
پورته	ˈporta
پوره	ˈpora
پوري	poːri
پوری	poˈri
پورې	poˈre
پوست	post
پوستکي	posˈtəki
پوسټ	post
پول	pol
پوله	pula
پولو	poˈlu
پولي	poˈli
پوليس	polis
پولیسو	poliˈsu
پولیو	poliˈjo
پونده	punda
پوه	poh
پوهان	poˈhɑn
پوهاند	poˈhɑnd
پوهنتون	poˈhɑntun
پوهنه	pohəna
پوهه	ˈpohɑ
پوهولو	pohoˈlu
پوهې	poˈhe
پوهېدل	pohedəl
پوهېږي	pohegi
پوځي	pawzˈi
پوڅه	posa
پوړ	poɺ
پوړه	ˈpoɺa
پوښتنه	poxtəna
پوښته	ˈpoxta
پياله	piˈɑla
پيدا	peˈdɑ
پير	pir
پيسو	piˈsu
پيسې	paise
پيشو	piʃo
پيل	pil
پينځه	pinˈza
پيژنتون	pedʒanˈtun
پيژند	peˈdʒand
پټ	pəʈ
پټه	ˈpəʈa
پټو	pəˈʈu
پټي	ˈpəʈi
پټې	pəˈʈe:
پړ	pəɺ
پړانګ	pɺɑŋg
پړاو	pəˈɺɑw
پړسوب	paɺsob
پړي	pəˈɺi
پښتانه	pʊxˈtɑna
پښتنه	pʊʃtana
پښتنو	pʊxˈtənu
پښتني	pʊxˈtəni
پښتو	pʊxto
پښتورگى	pʊxtorˈge
پښتون	pʊxtun
پښه	pəˈxa
پښه	xpa
پښو	pəˈxu
پښي	pəˈxi
پښين	pəˈxin
پښې	pəˈxe
پک	pak
پکار	pəˈkɑr
پکان	pakɑn
پکت	pəkt
پکتيا	pəkˈtiɑ
پکتيکا	pəktiˈkɑ
پکتیا	pəkˈtiɑ
پکتیکا	pəktiˈkɑ
پکنک	pikˈnik
پکنیک	pikˈnik
پکه	ˈpəka
پکښي	pəkˈxi
پکی	ˈpəke
پکې	pəˈke
پۀ	pə
پہ	pah
پی	pi
پیدا	peːˈda
پیزا	ˈpeːza
پیسو	peːˈso
پیسې	peːˈse
پیغام	peːˈɣaːm
پیل	pil
پیوستون	peːwəsˈtun
پیژندل	peːdʒanˈdal
پیژني	peːdʒaˈni
پیښه	ˈpeːxa
پیښو	ˈpeːxo
پیښور	peːˈxor
پې	pe
پېر	peːr
پېرل	peːrˈəl
پېړۍ	peɺəi
پېړې	peːˈɺe
پېژنم	peːdʒanˈum
پېښه	peːˈxa
پېښو	peːˈxo
پېښور	pexəwər
پېښورۍ	peːxoˈraːi
پېښې	peːˈxe
ځ	z
ځئ	zai
ځار	zɑr
ځان	zan
ځانه	zaˈna
ځاني	zaˈni
ځاى	zai
ځاي	zai
ځايه	zaˈja
ځايي	zaiˈji
ځای	zai
ځغستل	zɣəstəl
ځغلم	zɣələm
ځغلول	zɣəlawəl
ځغلي	zɣaˈli
ځل	zəl
ځلمی	zɘlmaɪ
ځله	zəˈla
ځلې	zəˈle
ځم	zəm
ځما	zəˈma
ځمه	zəˈma
ځمکه	zmaka
ځمکو	zəmˈko
ځمکپوهنه	zməkpohəna
ځمکې	zəmˈke
ځني	zəˈni
ځنډ	zanɖ
ځنګل	zəŋgəl
ځه	za
ځو	zo
ځوان	zwɑn
ځواني	zwaˈni
ځواک	zwɑk
ځوي	zwaˈji
ځي	zi
ځيرک	zirak
ځيني	zəˈni
ځينې	zine
ځپل	zpəl
ځپلو	zəpˈlo
ځکه	zəka
ځګ	zəg
ځی	zai
ځیر	zir
ځیرک	zirək
ځینی	zini
ځینې	zəˈne
ځیږ	zig
ځې	ze
ځېل	zel
څ	s
څا	sa
څادر	sɑdar
څارونکى	sɑrunkaɪɪ
څاروى	sɑrwaɪ
څانګه	saːŋa
څاوار	sɑwɑr
څاپېړه	sɑpeɺa
څاښکه	sɑʃka
څخه	səxa
څرخ	səˈraχ
څرخول	sarxawəl
څرک	səˈrak
څرګند	sərgəŋd
څلور	salwur
څلورم	səloˈram
څلویښت	səloˈwext
څلوېښت	salwext
څلی	səˈli
څنډه	sənɖa
څنګ	sang
څنګل	səŋgəl
څنګه	səŋˈga
څه	sa
څو	so
څوارلس	swaːrˈlas
څومره	sumra
څونوټ	sonoʈ
څوک	sok
څوکي	suˈki
څيز	siz
څټ	sət
څټلو	sətˈlo
څټک	saʈak
څپلۍ	sapləi
څپې	səˈpe
څپېړه	sapeɺa
څښاک	sxɑːk
څښل	səχl
څکل	skəl
څکه	səka
څۀ	sə
څہ	sə
څیر	sir
څیړنه	siˈɺəna
څې	se
څېر	ser
څېره	sera
څېړنه	seːɺˈnɑ
څېړنیز	seˈɺəˈniz
څېړنیزې	seˈɺəˈnize
چ	tʃ
چا	tʃa
چاته	tʃaˈta
چارجر	tʃaːrˈddʒar
چاره	ˈtʃaːra
چارو	tʃaro
چارواکي	tʃaːroˈwaːki
چاه	tʃaːh
چاودنې	tʃaːoˈdɳe
چاودون	tʃaːoˈdun
چاي	ˈtʃaːj
چاينک	tʃɑinək
چاپ	tʃaːp
چاړه	tʃaːɺa
چاکلېټ	tʃɑkleʈ
چای	tʃɑi
چت	tʃət
چر	tʃar
چراغ	tʃaːˈraːɣ
چرته	tʃarˈta
چرګ	tʃəɺg
چرگ	tʃarg
چغک	tʃəˈɣək
چل	tʃəl
چلند	tʃaːˈland
چمتو	tʃəmˈto
چمن	tʃaˈman
چندي	tʃənˈdi
چنګاش	tʃənˈgaːʃ
چه	tʃa
چو	tʃo
چورلکه	tʃurləka
چوغکه	tʃoˈɣaka
چونګښه	tʃuŋxa
چوپـړ	tʃoˈpəɺ
چوپړ	tʃopəɺ
چوک	tʃok
چوڼيا	tʃuɳjɑ
چي	tʃi
چيرته	ˈtʃirˈta
چيلۍ	ˈtʃile
چين	tʃin
چيچل	tʃitʃəl
چټي	tʃəˈʈi
چپ	tʃəp
چپه	tʃəˈpa
چپې	tʃəˈpe
چپېږي	tʃəˈpeːgi
چښم	tʃəχm
چک	tʃək
چکر	tʃəkˈar
چکي	tʃəˈki
چکېسر	tʃəkesər
چی	tʃi
چیرت	ˈtʃirt
چین	tʃin
چیک	tʃik
چې	tʃe
چېرته	ˈtʃerte
ډ	ɖ
ډؤل	ɖol
ډاریږم	ɖaːriˈjəm
ډاله	ɖaːˈla
ډانډ	ɖɑŋɖ
ډاکتر	ɖaːkˈtar
ډاکو	ɖɑku
ډاکټر	ɖaːkˈtər
ډب	ɖəb
ډبره	ɖəbˈra
ډبل	ɖabəl
ډبوي	ɖəbˈoːi
ډرامې	ɖraːˈme
ډز	ɖaz
ډغرې	ɖaːɣˈre
ډله	ɖala
ډلو	ɖəˈlo
ډلې	ɖəˈle
ډنډ	ɖanɖ
ډنګ	ɖəŋg
ډنګر	ɖaŋgər
ډوبه	ɖoˈba
ډول	ɖol
ډوله	ɖoːˈla
ډولونه	ɖoːlˈuna
ډولونو	ɖoːlˈuno
ډولي	ɖəʊli
ډوډئ	ɖoːˈdai
ډوډی	ɖoːˈdi
ډوډۍ	doːˈdai
ډير	ɖeːr
ډيرو	ɖeːˈro
ډيرې	ɖeːˈre
ډيپلوما	ɖiːpluˈmaː
ډډه	ɖəˈɖa
ډک	ɖak
ډکه	ɖəˈka
ډکې	ɖəˈke
ډګر	ɖəˈgar
ډګه	ɖəga
ډیر	ɖeːr
ډیره	ɖeːˈra
ډیرو	ɖeːˈro
ډیری	ɖeːˈri
ډېر	ɖer
ډېره	ɖeːˈra
ډېرو	ɖeːˈro
ډېری	ɖeːˈri
ډېرې	ɖeːˈre
ړ	ɺ
ړومبی	ɺumbai
ړوند	ɺund
ږ	g
ږدي	gədi
ږغ	gəɣ
ږغېدل	gaɣedəl
ږلۍ	gəˈli
ږمنځ	gm̩əŋz
ږمې	gəˈme
ږوب	goˈb
ږیری	geːˈri
ژ	dʒ
ژامه	dʒɑma
ژامې	dʒaːˈme
ژانر	dʒaːnar
ژانرونه	dʒaːnarˈuna
ژاړم	dʒaːɺəm
ژاړي	dʒaːɺi
ژاړې	dʒaːɺe
ژباړل	dʒbɑɺəl
ژبه	dʒəbə
ژبو	dʒəˈbo
ژبپوهنه	dʒəbpohəna
ژبکۍ	dʒabakəi
ژبی	dʒəˈbe
ژبې	dʒəˈbe
ژر	dʒar
ژرنده	dʒranda
ژرندہ	dʒarˈanda
ژرچې	dʒarˈtʃe
ژمن	dʒəˈmən
ژمنه	dʒəˈmana
ژمي	dʒəˈmi
ژوب	dʒoːb
ژوبل	dʒoːbəl
ژوبڼ	dʒoːbən
ژور	dʒawar
ژوره	dʒoːˈra
ژورې	dʒoːˈre
ژوند	dʒwənd
ژونده	dʒonˈda
ژوندو	dʒonˈdo
ژوندي	dʒonˈdi
ژوندينکه	dʒwandinaka
ژوندی	dʒwəndai
ژونکه	dʒwanaka
ژړا	dʒəˈɺa
ژګاګ	dʒɪgɑg
ژېړ	dʒeɺ
ښ	x
ښآر	xaːr
ښاده	xaːˈda
ښار	xɑr
ښاره	xaːˈra
ښارو	xɑro
ښاري	xaːˈri
ښاغلي	xaːɣˈli
ښاغلی	xɑɣəlai
ښامار	xɑmɑr
ښايسته	xaːjəsˈta
ښايي	xɑyi
ښخ	xax
ښخي	xaxˈi
ښخې	xaːxe
ښرنه	xaːˈrana
ښنده	xanˈda
ښه	ˈxa
ښو	ˈxo
ښود	xoːd
ښور	xoːr
ښوونځی	xoːnˈzai
ښوونکو	xoˈwanko
ښوونکی	xowunkaɪ
ښوونکې	xowunke
ښوونیز	xoˈniːz
ښي	xi
ښځه	xxa
ښځينه	xəzina
ښځې	xəˈze
ښکار	xkɑr
ښکاره	xkɑra
ښکاري	xəˈkaːri
ښکرو	xəkˈro
ښکل	xəˈkl
ښکلا	xəkˈla
ښکلي	xəkˈli
ښکلی	xkwəlai
ښکلې	xəkˈle
ښکنځل	xkənzəl
ښکېل	xəkˈil
ښۀ	xə
ښی	xi
ښیرا	xiˈra
ښې	xe
ښېرا	xeˈra
ښېرې	xere
ک	k
کؤل	koːl
کؤه	koːh
کئ	kai̯
کا	ka
کابل	kɑbəl
کابلي	kaːbˈəli
کابينې	kaːbiˈne
کار	kaːr
کارت	kaːrt
کارغان	kaːrˈɣaːn
کاره	kaːˈra
کاروان	kaːroˈwaːn
کاروبار	kaːroˈbaːr
کارول	kaːˈrol
کارونه	kaːˈruna
کارونو	kaːˈruno
کاري	kaːˈri
کارګر	kaːrˈgar
کاریږي	kaːˈriːdʒi
کاسه	kaːˈsa
کاسې	kaːˈse
کاشوغه	kaːˈʃoːɣa
کاغذ	kaːˈɣəz
کافي	kaːˈfi
کال	kɑl
کالنی	kɑlanai
کاله	kaːˈla
کالو	kaːˈlo
کالي	kɑli
کامل	kaːˈmal
کامه	kama
کاميابي	kaːmjaˈbi
کامیاب	kaːmˈjaːb
کامیابه	kaːmjaːˈba
کامې	kaːˈme
کانال	kaːˈnaːl
کاناډا	kaːnaːˈɖaː
کانکور	kaːnˈkor
کاوه	kaːˈwa
کاوو	kaːˈwo
کاپي	kaːˈpi
کاپيوره	kɑpiwara
کاږه	kaːɣa
کاک	kaːk
کاکا	kaːˈka
کاکو	kaːˈko
کاکونه	kaːˈkuna
کاکړ	kaːˈkəɺ
کاګل	kɑgəl
کاڼه	kaːˈɳa
کاڼو	kaːˈɳo
کاڼي	kaːˈɳi
کب	kab
کبر	kəbˈər
کبله	kəbˈla
کبير	kabiːr
کتاب	keˈtɑb
کتابخانه	kitɑbxaˈnɑ
کتابونو	kətaːˈbuno
کتل	katəl
کتنځي	kətanˈzi
کجکي	kəddʒaːˈki
کر	kar
کرام	kaːˈraːm
کرب	kərəb
کرل	kəˈral
کرلاڼو	kərˈlaːno
کرم	kəˈram
کرن	kərən
کرنه	kəˈrana
کرنې	kəˈre
کره	kəˈra
کرور	kəˈror
کروړ	kəˈroɺ
کري	kəˈri
کرټ	krəʈ
کرښه	kəˈraxa
کرښو	kəˈraxo
کرښې	kəˈraxe
کرک	kərk
کرکره	karkara
کرکټ	kərkəʈ
کریم	kaˈriːm
کرۍ	kəˈraj
کرې	kəˈre
کس	kas
کسان	kaːˈsaːn
کسم	kəsəm
کش	kəʃ
کشتۍ	kəʃˈtaj
کشر	kəxar
کشف	kəʃəf
کشمير	kəʃˈmiːr
کشور	kəʃˈwar
کفن	kəfən
کلا	kaːˈla
کلاسیک	kaːlaːˈsik
کلام	kaːˈlaːm
کلب	kaləb
کلتور	kəlˈtoːr
کلتوري	kəltoːˈri
کلتورپالنه	kəltuːrˈpɑlɑnə
کلمه	kəlˈma
کلمې	kəlˈme
کلن	kəlan
کله	kɘla
کلو	kəˈlo
کلونو	kəˈluno
کلي	kəˈli
کليم	kaːˈliːm
کلک	klak
کلکوالى	klakwɑlaɪ
کلی	kəlaɪ
کلیزې	kəˈliːze
کم	kam
کمال	kaːˈmaːl
کمالي	kaːmaːˈli
کمبل	kəmˈbəl
کمبلي	kəmˈbli
کموالي	kəmoˈwaːli
کموي	kəˈmoji
کمپيوټر	kampjuːˈʈər
کمپیوټر	kampjuːˈʈər
