ــ	æ
كالأيام	kaːlalʲajam
كال-إل	kaːl‿ɪl
كَالْْإمَامِ	kaaːlʔimaːm
كَالْْإِنْسَانِ	kaaːlʔinsaːn
كَالَّاتُي	kaːllaːtiː
كَالَّاتُي	kaaːlaːtiː
كالاهان	kaːlaːhɑːn
كالب	kælæb
كَالْْبَحْرِ	kaaːlbaħr
كَالْْبَرْقِ	kaaːlbarq
كَالْْبُنْيَانِ	kaaːlbunjaːn
كَالْتَّالِي	kaaːltaːliː
كالتالي	kateːriː
كَالْتَّعْلِيمِ	kaaːltaʕliːm
كالتي	kaːltiː
كالثلج	kaːlθaldʒ
كَالْْجِبَالِ	kaaːldʒibaːl
كَالْْجَبَلِ	kaaːldʒabal
كالجحيم	kaːlʒaːhim
كَالْْجَسَدِ	kaaːldʒasad
كالجميع	kaːlilʕaːmmaːl
كَالْْحَديدِ	kaaːlħadiːd
كالحلم	kalahhum
كالحمقى	kalahhamqiː
كالحيوان	kaːlħajwaːn
كالحيوانات	kaːlħajmaːnaːt
كالدر	kaːldar
كالدويل	kalduːl
كَالْذَّهَبِ	kaaːlðahab
كالذي	kaːlðiː
كالرجال	kaːlraːdʒal
كالرجل	kaːlraʒl
كَالْرَّجُلِ	kaaːlradʒul
كَالْرَّجُلِ	kaaːlridʒl
كالسابق	kaːlsɑːbiːʕ
كَالْسَّابِقِ	kaaːlsaːbiq
كالسحر	kaːlsˤaħr
كَالْسَّرَطَانِ	kaaːlsaratˤaːn
كَالْسَّرَطَانِ	kaaːlsartˤaːn
كَالْسَّيْفِ	kaaːlsiːf
كَالْسَّيْفِ	kaaːlsiif
كَالْشَّمْسِ	kaaːlʃams
كَالْشَّيْخِ	kaaːlʃiix
كالطفل	kaːlˈtˤafl
كَالْطِّفْلِ	kaaːltˤafal
كَالْطِّفْلِ	kaaːltˤifl
كالعائلة	kaːlavæjla
كالعادة	kaːlawaːda
كالعاده	kaːlavæːdah
كَالْْعِرَاقِ	kaaːlʕiraːq
كَالْْعِلْمِ	kaaːlʕalam
كَالْْعِلْمِ	kaaːlʕilm
كالفتيات	kafilftijaːt
كالفن	kaːlfeːn
كالفورنيا	kaluforniya
كالفين	kalfin
كَالْْقَمَرِ	kaaːlqamar
كالكلاب	kaːlkalaːb
كالكلب	kaːlkaːlbu
كَالْْمَاءِ	kaaːlmaːʔ
كالمجانين	kaːlmidʒaːneːn
كَالْْمَجْنُونِ	kaaːlmadʒnuːn
كالمجنون	kalimdʒunuːn
كَالْْمَطَرِ	kaaːlmatˤar
كَالْْمَطَرِ	kaaːlmatˤir
كَالْْمُعْتَادِ	kaaːlmuʕtaːd
كالمعتاد	kalimmatˁaːd
كالملاك	kaːlmalak
كالن	kaːlna
كَالْنَّارِ	kaaːlnaːr
كالى	kaːlaː
كالي	kaliː
كاليب	kaliːb
كاليستا	kaljesta
كاليستو	kalisto
كَالِيفُورْنِيَا	kaːliːfuːrniːaː
كَالِيفُورْنِيَا	kaːliːfuːrnijjaː
كاليفورنيا	kaːlifɔːnijɑː
كالين	kaːliːn
كاليندا	kaːliːnaː
كاليه	kaːlija
كَامَ	kaʔumm
كام	kɑːm
كامب	kaːmb
كَامبٌ	kaːmb
كامبريدج	kaːmbreɪdʒ
كامبل	kæmbæl
كامبيل	kamibil
كامدن	kamɪdˈn
كامرأة	kameraʔa
كامرون	kameroːn
كَامِلٌ	kaːmil
كامل	kamil
كَامِلٌ	kaʔamal
كاملا	kamæla
كاملًا	kamila
كاملاً	kamilan
كاملة	kaːmilaː
كاملةً	kaːmilaha
كامله	kaːmle
كاملين	kamiːlin
كَامِنٌ	kaːmin
كَامِنٌ	kaaːmin
كَامِنٌ	kaʔamn
كامي	kæmiː
كامي	kaʔummiː
كامي	kaʔummijj
كاميرا	kaːmiːraː
كاميرا	kameːra
كاميرات	kamiraːt
كاميرة	kamiːra
كاميرتي	kameːriti
كاميرون	kaːmiːruːn
كاميرون	kamiːron
كاميل	kamiːl
كاميلا	kamila
كاميلوت	kamiːloːt
كــان	kaːn
كـان	kaːn
كان	kaːn
كَان	kaːn
كَانَ	kaːna
كَانَ	kaːnɑː
كَانَ	kaaːn
كانَ	kanɑ
كان	kɑn
كَانَا	kaːnaː
كانا	kaːnɑ
كَانَا	kaʔanaː
كَانَت	kaːnät
كانَت	kaːnata
كـانـت	kaːnt
كـانت	kaːnt
كَانت	kaːnt
كَانتْ	kaːnt
كانـت	kanat
كانت	kanatˁa
كانت	kɑntɑ
كانتْ	kɑntˤɑn
كانتا	kɑntɑː
كَانْتُونٌ	kaːntuːn
كانتون	kɑntɑn
كانج	kaːnʒ
كاندي	kaːndiː
كانديس	kaːndis
كانساس	kaːnasˈsˤa
كَانِسَانِ	kaʔinsaːn
كانغ	kaːng
كانك	kaːnka
كانه	kaːna
كانها	kaːnah
كانو	kaːnuː
كَانُوٌ	kaːnuː
كَانوا	kaːnʊwɑ
كانوا	kaːnwɑː
كَانُونٌ	kaːnuːn
كانون	kaːnun
كاني	kaːni
كَانِيٌّ	kaaːniː
كَانِيٌّ	kaaːnijj
كانيون	kaːnijuːn
كَاهِلٌ	kaːhil
كَاهِلٌ	kaaːhil
كَاهِلٌ	kaʔahl
كَاهِنٌ	kaːhin
كاهن	kahan
كاهيل	kaːhɪl
كاو	kaw
كاى	kaːj
كاي	kaɪ
كاي	kaʔajj
كايا	kajaː
كايب	kaːjb
كايت	kajt
كايتلن	kajtlen
كايتلين	kajtelin
كايتي	kajtˈi
كَايَدَ	kaːjada
كايد	kajid
كَايَدَ	kaʔiid
كايس	kajs
كايسى	kaːjsi
كايسي	kaːʔiːsi
كَايَلَ	kaːjala
كايل	kaɪl
كَايَلَ	kaʔajjil
كايلا	kaɪla
كايلب	kaɪlɪb
كايلي	kaɪli
كَايِلِي	kaʔajjilajja
كَايِلِي	kaʔajjiliː
كَايِلِي	kaʔajjilii
كَايِلِي	kaʔajjilijj
كَايِلِي	kaʔiːliː
كايمان	kajaːmin
كاين	kajn
كَبَّ	kabb
كَبَّ	kabba
كب	kæb
كَبَائِرُ	kabaːʔir
كَبَابٌ	kabaːb
كباب	kɑbɑb
كَبَاحِثٍ	kabaːħiθ
كبار	kabaːr
كُبَّارٌ	kabaːrr
كُبَّارٌ	kibaːr
كَبَاقِيٍّ	kabaːqiː
كَبَاقِيٍّ	kabaːqijja
كَبَتَ	kabat
كَبَتَ	kabata
كَبَتَ	kabatt
كَبَتَ	kabatta
كَبَتَ	kabatti
كَبَتَ	kabattu
كَبَتَ	kabbat
كَبَتَ	kabt
كَبْحٌ	kabaħa
كبح	kabˈħ
كَبْحٌ	kabħ
كَبِدٌ	kabada
كَبِدٌ	kabbada
كبد	kabid
كَبِدٌ	kabid
كَبِدٌ	kabudd
كبداية	kabadajja
كبدك	kabiddak
كبده	kabada
كبدي	kabidiː
كَبَدِيلٍ	kabadiːl
كبديل	kabidil
كبر	kabal
كَبُرَ	kabara
كَبُرَ	kabarr
كَبُرَ	kabbara
كَبُرَ	kabirr
كَبُرَ	kaburr
كَبُرَ	kibar
كَبُرَ	kibr
كَبُرَ	kubr
كَبُرَتْ	kabarat
كَبُرَتْ	kabarta
كَبُرَتْ	kabarti
كَبُرَتْ	kabartu
كَبُرَتْ	kabbarat
كَبُرَتْ	kabbarta
كَبُرَتْ	kabbarti
كَبُرَتْ	kabbartu
كبرت	kabertˤ
كَبُرَتْ	kabrata
كَبُرَتْ	kabratta
كَبُرَتْ	kabratti
كَبُرَتْ	kabrattu
كبرنا	kabalna
كَبَرْنَامَجٍ	kabarnaːmadʒ
كبروا	kabirʕuː
كُبْرَى	kabaraː
كبرى	karija
كُبْرَى	kubraː
كِبَرِيٌّ	kabarriː
كِبَرِيٌّ	kabarrijj
كِبَرِيٌّ	kabirriː
كِبَرِيٌّ	kaburriː
كِبَرِيٌّ	kibariː
كِبَرِيٌّ	kibriː
كِبَرِيٌّ	kubriː
كبرياء	kabriːʔaː
كِبْرِيَاءُ	kibriːaːʔ
كبريائي	kabriːjaː
كبريت	kabriːt
كِبْرِيتٌ	kibriːt
كبسولة	kabsuːla
كَبْشٌ	kabaʃa
كبش	kabʃ
كَبْشٌ	kabʃ
كَبَشَرٍ	kabaʃar
كَبَشَرٍ	kabiʃr
كَبَشَرٍ	kabuʃr
كَبَطَلٍ	kabatˤal
كبطل	kabitˤal
كَبَطَلٍ	kabutˤl
كَبَعْضِ	kabaʕdˤ
كبقية	kabaqija
كَبَلَدٍ	kabalad
كَبِنَاءٍ	kabannaːʔ
كَبِنَاءٍ	kabinaːʔ
كبير	kabeːr
كبيـر	kabiːr
كبيرٌ	kabiːr
كَبِيرٌ	kabiːr
كبيرا	kabiːra
كبيراً	kabiran
كبيرًا	kabiran
كبيران	kabiːran
كبيرة	kabeːra
كبيرتان	kabiːraːtan
كبيره	kabiːra
كبيرين	kabeːriːn
كَتَّ	katt
كَتَّ	katta
كَتَائِبُ	kataːʔib
كتاب	kaˈtiːb
كِتَابٌ	kitaːb
كِتَابٌ	kuttaːb
كتابا	kateːba
كتاباً	kɪtɑbɑn
كتابات	katiːbaːt
كتابة	katiːβa
كتابته	katiːbaθa
كتابتها	katiːbaθa
كتابك	kaˈtiːb
كتابه	kɪtɑːbɑ
كتابها	kɪtɑːbæ
كتابى	kɪtˈɑːbɪ
كتابي	kateːbi
كِتَابِيٌّ	kitaːbajja
كِتَابِيٌّ	kitaːbiː
كِتَابِيٌّ	kitaːbii
كِتَابِيٌّ	kitaːbijj
كِتَابِيٌّ	kuttaːbiː
كَتَالُوجٌ	kataːluːdʒ
كتب	kæb
كَتَبَ	kataba
كُتب	kutab
كَتَبَ	kutiba
كَتَبَ	kutub
كَتَبَتْ	katabat
كَتَبَتْ	katabta
كَتَبَتْ	katabti
كَتَبَتْ	katabtu
كتبتِ	kateːbi
كتبت	kateːbte
كتبتُ	kateːbtuː
كَتَبَتْ	katibit
كَتَبَتْ	kutibat
كَتَبَتْ	kutibta
كَتَبَتْ	kutibti
كَتَبَتْ	kutibtu
كتبته	kateːbati
كتبتها	katabitah
كتبك	katebka
كتبنا	kæbˈnæ
كتبه	kateːba
كتبها	kateːbaː
كتبوا	katabúː
كتبي	katˈbi
كتذكار	katˈðˤɑr
كَتَعْبِيرٍ	kataʕbiːr
كَتَعْوِيضٍ	kataʕwiːdˤ
كَتِفٌ	katafa
كتف	katf
كَتِفٌ	katif
كَتِفٌ	kattafa
كَتِفٌ	katuff
كَتِفٌ	kitf
كَتِفٌ	kutf
كَتِفٌ	kutuf
كتفك	katfek
كَتَفَهُ	katafah
كَتَفَهُ	katafahu
كتفه	katˈfeh
كَتَفَهُ	katifh
كَتَفَهُ	kattafahu
كَتَفَهُ	katuffh
كَتَفَهُ	kitfh
كَتَفَهُ	kutfh
كَتَفَهُ	kutufh
كتفها	katˈfah
كتفي	katˈfi
كَتِفِيٌّ	katifajja
كَتِفِيٌّ	katifiː
كَتِفِيٌّ	katifii
كَتِفِيٌّ	katuffiː
كَتِفِيٌّ	kitfajja
كَتِفِيٌّ	kitfiː
كَتِفِيٌّ	kitfii
كَتِفِيٌّ	kutfiː
كَتِفِيٌّ	kutufiː
كتفيك	katˈfiːk
كَتَلَ	katala
كَتَلَ	katall
كتل	katˈl
كَتَلَ	katl
كَتَلَ	kattala
كَتَلَ	kutal
كتلة	katˈla
كَتِلْكَ	katalaka
كَتِلْكَ	katalaki
كَتِلْكَ	katallka
كَتِلْكَ	katallki
كَتِلْكَ	katilka
كتلك	katlak
كَتِلْكَ	katlka
كَتِلْكَ	katlki
كَتِلْكَ	kattalaka
كَتِلْكَ	kattalaki
كَتِلْكَ	kutalka
كَتِلْكَ	kutalki
كَتَمَ	katama
كَتَمَ	katm
كَتَمَ	kattama
كتم	kˈtam
كِتْمَانٌ	kitmaːn
كتمان	kɪtˈmɑːn
كَتَنْظِيمٍ	katanðˤiːm
كتوم	katum
كتيب	katib
كتيب	kutajjib
كتيبة	katiːbæ
كثافة	kæθæːfe
كثب	kɪsˈb
كُثْبَانٌ	kaθibaːn
كُثْبَانٌ	kuθbaːn
كثر	kaθara
كَثُرَ	kaθarr
كَثُرَ	kaθura
كَثُرَ	kaθθara
كَثُرَ	kuθr
كثرة	kaθˈra
كَثَّفَ	kaθufa
كَثَّفَ	kaθθafa
كثير	kaθiːr
كَثِيرٌ	kaθiːr
كثيرٌ	kaθiriːr
كثيرآ	kaθira
كثيرا	kaθira
كثيراَ	kaθira
كثيراً	kaθiraːn
كثيرًا	kaθiraːn
كثيرات	kaθiraːt
كثيرة	kæθiːra
كثيره	kaθiːrah
كثيرون	kaθiraːn
كثيرين	kaθiriːn
كثيف	kæθiːf
كَثِيفٌ	kaθiːf
كثيفة	kæθiːfa
كَجَبَّارٍ	kadʒabbaːr
كَجُزْءٍ	kadʒuzʔ
كجزء	kaɾˈʒa
كجم	kædʒm
كجندي	kagˈjendi
كَجِهَازٍ	kadʒihaːz
كحارس	kæhɑːris
كَحَارِسٍ	kaħaːris
كَحَالٍ	kaħaːl
كحال	kaħal
كَحَالٍ	kaħħaːl
كَحَالٍ	kiħaːl
كَحَبَ	kaħabb
كَحَبَ	kaħubb
كحد	kaħad
كَحَدٍّ	kaħadd
كَحَدَثٍ	kaħadaθ
كَحَديثٍ	kaħadiːθ
كَحِزْبٍ	kaħizb
كَحَقٍّ	kaħaqq
كُحْكُمْ	kaħakam
كُحْكُمْ	kaħħakum
كُحْكُمْ	kaħukm
كُحْلٌ	kaħall
كُحْلٌ	kaħħala
كُحْلٌ	kaħil
كُحْلٌ	kaħill
كُحْلٌ	kuħl
كَحَلِيفٍ	kaħaliːf
كُحُولٌ	kaħaul
كحول	kaħuːl
كُحُولٌ	kuħuːl
كحولي	kaħuːliː
كحيوان	kahiwaːn
كَخَطٍّ	kaxatˤˤ
كَخِيَارٍ	kaxiːaːr
كِدْ	kadd
كِدْ	kadda
كَدَّا	kaddaː
كدة	kada
كدتُ	kadːu
كدت	kadat
كدتِ	kaditi
كَدِرَ	kadar
كَدِرَ	kadarr
كَدِرَ	kaddara
كَدِرَ	kadir
كَدِرَ	kadira
كَدِرَ	kadura
كَدِرَ	kadurr
كَدُرُوعٍ	kaduruːʕ
كَدَلْكٍ	kadalk
كَدَلْكٍ	kadallka
كَدَلْكٍ	kadallki
كدليل	kadaliː
كَدَليلٍ	kadaliːl
كدمات	kadˤamatˤ
كدمة	kadˈmama
كدنا	kadna
كده	kada
كَدُوَلٍ	kaduːal
كَدِّيٌّ	kaddiː
كَدِّيٌّ	kadj
كَدَيْنَ	kadajjin
كَدَيْنَ	kaddiina
كَدَيْنَ	kadiːn
كَدَيْنَ	kadiin
كَدَيْنَ	kadiina
كَذَا	kaðaː
كذا	kasa
كذاب	kaðaːb
كَذَّابٌ	kaððaːb
كذالك	kaðælæk
كَذَبَ	kaðaba
كَذَبَ	kaððaba
كذب	kæðˈb
كَذَبَ	kiðb
كذباً	kɑðˈbæm
كذبة	kaðˈba
كذبت	kaðabit
كذبتَ	kaðbata
كذبتِ	kaðbati
كذبتُ	kaðˈbatu
كذبتي	kaθbati
كذبك	kaθabka
كذبه	kaðˈbe
كذبوا	kaðbæw
كَذَلِكَ	kaðaːlika
كـذلـك	kaðˈlæk
كَذَلِكَ	kaðullka
كَذَلِكَ	kaðullki
كـذلك	kalaθa
كذلك	kalaθa
كذلكَ	kalaθa
كَرٌّ	karr
كَرٌّ	karra
كَرَأْسٍ	karaʔs
كرئيس	karaːʔim
كَرَئِيسٍ	karaʔiːs
كرئيسة	karaːʔiːmuθa
كِرَاءٌ	karaːʔ
كِرَاءٌ	kiraːʔ
كرائحة	kariːʕa
كراب	karaːb
كرات	karaːt
كراتشي	karaːtʃiː
كَرَاَتَيْنِ	karaːtiːn
كَرَاجٍ	karaːdʒ
كَرَارٌ	karaːr
كُرَّاسٌ	karaːs
كُرَّاسٌ	karaʔs
كُرَّاسٌ	kurraːs
كراستي	karaːsti
كراسوس	krɑːsˈsˤɑs
كراسي	karaːsiː
كُرَّاسِيٌّ	karaːsiː
كُرَّاسِيٌّ	karaːsijj
كُرَّاسِيٌّ	karaːsijja
كُرَّاسِيٌّ	karaʔsajja
كُرَّاسِيٌّ	karaʔsiː
كُرَّاسِيٌّ	karaʔsii
كُرَّاسِيٌّ	kurraːsajja
كُرَّاسِيٌّ	kurraːsiː
كُرَّاسِيٌّ	kurraːsii
كراش	karaːʃ
كُرَاعٌ	karaːʕ
كُرَاعٌ	kuraːʕ
كراف	karaːf
كرافت	karaːfat
كَرَافِتٍ	kraːft
كِرَامٌ	karaːm
كِرَامٌ	karraːm
كِرَامٌ	kiraːm
كرامة	karaːmaːtah
كرامتك	karɑːmatɪk
كرامتي	karaːmiti
كَرَامِيٌّ	karaːmiː
كَرَامِيٌّ	karaːmijja
كَرَامِيٌّ	karraːmajja
كَرَامِيٌّ	karraːmiː
كَرَامِيٌّ	karraːmii
كَرَامِيٌّ	karraːmijja
كَرَامِيٌّ	kiraːmiː
كران	karaːn
كراهية	karhaːja
كراودر	karaːwidˈr
كراوفورد	kaɾaːwfuːd
كراولي	kaɾawuliː
كراون	karaːwun
كرَايْسلِرٌ	kraːjslir
كرايمر	karaːimra
كراين	karaːin
كَرِبَ	karaba
كَرِبَ	karabb
كَرِبَ	karb
كَرِبَ	karubb
كَرِبَ	kurab
كَرْبَلَاءٌ	karbalaːʔ
كَرْبُونٌ	karbuːn
كرة	kara
كرةِ	kara
كَرَّتْ	karat
كرت	karet
كَرَّتْ	karrat
كَرَّتْ	karutt
كرتك	kartak
كرتون	kartoːn
كَرْتُونٌ	kartuːn
كرتونية	karatuːnija
كرتي	kaʁti
كرجال	karaːdʒaːl
كَرُجَّالٍ	karidʒaːl
كَرَجُلٍ	karadʒul
كرجل	karagal
كَرَجُلٍ	karidʒl
كَرَدَ	karadd
كَرَدَ	kurd
كُرْدِسْتَانٌ	kardasataːni
كُرْدِسْتَانٌ	kurdistaːn
كَرَدِّيٍّ	karaddiː
كَرَدِّيٍّ	kurdiː
كَرَدِّيٍّ	kurdijj
كرر	karara
كَرَّرَ	karrara
كرز	karaz
كَرَزٌ	karaz
كَرَزٌ	karaza
كَرَزٌ	karuzz
كَرَزٌ	karz
كَرَّسَ	karrasa
كرس	krɪs
كرست	krast
كرستوفر	krastɑfɪr
كرستي	krastˈiː
كرستين	krastin
كرستينا	krastaˈna
كرسى	karasiː
كرسي	karsi
كرسيّ	karsiː
كَرِّسِي	kursijj
كرسيك	karisiːk
كرسيه	karsija
كرسيي	karsiji
كِرْشٌ	karaʃʃ
كِرْشٌ	kariʃa
كِرْشٌ	karraʃa
كِرْشٌ	kirʃ
كَرْكُوكٌ	karkuːk
كَرَّمَ	karam
كَرَّمَ	karamm
كرم	karem
كَرَّمَ	karm
كَرَّمَ	karrama
كَرَّمَ	karuma
كَرَّمَا	karamaː
كَرَّمَا	karmaː
كَرَّمَا	karramaː
كَرَّمَا	karumaː
كُرَمَاءُ	kuramaːʔ
كَرِمَالٍ	karammaːl
كَرِمَالٍ	karimaːl
كَرَمَانِ	karummaːn
كرمز	karamidʒ
كَرَمْزٍ	karamz
كَرَّمَكَ	karamka
كَرَّمَكَ	karamki
كَرَّمَكَ	karammka
كَرَّمَكَ	karammki
كَرَّمَكَ	karmka
كَرَّمَكَ	karmki
كَرَّمَكَ	karramaka
كَرَّمَكَ	karramaki
كَرُموزٍ	karumuːz
كرنفال	karanifɑl
كره	karaha
كَرِهَ	karh
كَرِهَ	karih
كَرِهَ	kariha
كَرِهَ	karraha
كَرِهَ	karrahu
كَرِهَ	karrh
كَرِهَ	karuha
كَرِهَ	kurh
كرهائن	karahajn
كرهت	karahat
كرهته	karahate
كرهتها	karahatah
كرهك	karaha
كرهي	karahiː
كرهينة	karahiːna
كرو	karuː
كرُو	karw
كُرُوَاتِيَا	kuruːaːtiːaː
كُرُوَاتِيَا	kuruːaːtijjaː
كروت	karoːt
كروجر	karuːgar
كُرُوزٌ	karauz
كروز	kaɾuːz
كُرُوزٌ	kuruːz
كَرُوسٍ	karuːs
كروس	krʊs
كروسو	krʊsˈsuː
كروغر	karuːɣar
كروفت	krʊfət
كروفورد	karoːfɪrd
كرولي	karuːliː
كُرُومٌ	karaum
كُرُومٌ	karuːm
كُرُومٌ	kruːm
كُرُومٌ	kuruːm
كرومويل	krʊmejl
كرون	karoːn
كرونوس	krɑˈnuːs
كُرَوِيٌّ	karauijj
كُرَوِيٌّ	karwiː
كُرَوِيٌّ	kurauijj
كري	krɪː
كُرِيَاتٌ	kirjaːt
كُرِيَاتٌ	kurajjaːt
كَرَيْبٍ	kariːab
كَرَيْبٍ	kariib
كريبتون	krɑjˈbɪtˤɔn
كُرِيَتْ	kariːat
كُرِيَتْ	kariːta
كُرِيَتْ	kariːti
كُرِيَتْ	kariːtu
كُرِيَتْ	kariita
كُرِيَتْ	kariiti
كُرِيَتْ	kariitu
كُرِيَتْ	kiriːt
كريت	krɪt
كريج	krɑj
كريد	kariːd
كرِيسٌ	karajjis
كرِيسٌ	kriːs
كريس	krɪs
كريستا	krɪsˈtæ
كرِيسْتَالٌ	kriːstaːl
كريستال	krɪsˈtæl
كريستن	krɪsˈtæːn
كريستو	krɪsˈto
كرِيسْتُوفٌ	kriːstuːf
كريستوف	krɪsˈtɔf
كرِيسْتُوفَرٌ	kriːstuːfar
كريستوفر	krɪsˈtɔfɪr
كريستى	krɪsˈtiː
كريستي	krɪsˈtiː
كرِيسْتيَانٌ	kriːstjaːn
كريستيان	krɪstijɑn
كرِيسْتِيَانُوٌ	kriːstiːaːnuː
كريستين	krɪsˈtin
كريستينا	krɪsteːna
كريسماس	krɪsmɑs
كريسي	krɪsiː
كريش	krɪʃ
كريشنا	krɪʃnɑ
كريغ	krɑːɣ
كرِيغٌ	kriːɣ
كريك	kɪrɪk
كريكت	krɪkət
كريكسوس	krɪkˈsˤɔs
كريكيت	krɪkɪt
كريل	kariːl
كَرِيمٌ	kariːm
كريم	kaˈɾiːm
كَرِيمٌ	kriːm
كريماً	krɪmɑː
كريمة	krɪmɑ
كريمر	krɪmɪr
كرين	kariːn
كرينشو	krɪnʃu
كَرِيهٌ	karajjh
كَرِيهٌ	kariːahu
كريه	kariːh
كَرِيهٌ	kariːh
كَرِيهٌ	kurijjh
كريهة	krɪhɑh
كريهه	kariːha
كَزَعيمٍ	kazaʕiːm
كَزَوْجٍ	kazaudʒ
كزوج	kazoːg
كزوجة	kazoːga
كزوجين	kazoːgin
كَزَيْتُ	kaziit
كس	ks
كِسَاءٌ	kisaːʔ
كَسَائِرٍ	kasaːʔir
كَسَادٌ	kasaːd
كَسَادٌ	kasaːdd
كَسَّارَةٌ	kasaːrra
كَسَّارَةٌ	kassaːra
كَسْبٌ	kasaba
كَسْبٌ	kasabb
كَسْبٌ	kasb
كَسْبٌ	kassaba
كسب	kɑsˈb
كَسَبَبٍ	kasabab
كَسَبَتْ	kasabat
كَسَبَتْ	kasabt
كَسَبَتْ	kasabta
كَسَبَتْ	kasabti
كَسَبَتْ	kasabtu
كَسَبَتْ	kasibitt
كَسَبَتْ	kassabat
كَسَبَتْ	kassabta
كَسَبَتْ	kassabti
كَسَبَتْ	kassabtu
كسبت	kɑsˈbɪt
كسبنا	kɑsˈbɑnɑ
كَسَبَهُ	kasabah
كَسَبَهُ	kasabahu
كَسَبَهُ	kasabbh
كَسَبَهُ	kasbh
كَسَبَهُ	kassabahu
كَسَبِيلٍ	kasabiːl
كَسْرٌ	kasara
كَسْرٌ	kasirr
كَسْرٌ	kasr
كَسْرٌ	kassara
كَسْرٌ	kasurr
كسر	kɑsˤr
كُسر	kuser
كسرت	kɑsˈɾɑt
كُسرت	kusˈret
كسرته	kɑsˈɾetah
كسرتها	kasˈraθa
كسره	kɑsˈrɑ
كسرها	kɑsˈrɑhɑ
كسروا	ksɪrˈɾɑː
كِسْرَى	kasraː
كِسْرَى	kisraː
كَسَفِيرٍ	kasafiːr
كَسَلٌ	kasal
كَسَلٌ	kasall
كَسَلٌ	kasil
كَسَلٌ	kasila
كَسَلٌ	kasill
كَسَلٌ	kassala
كَسِلَا	kasalaː
كَسِلَا	kasilaː
كَسِلَا	kassalaː
كَسِلَاَحٍ	kasilaːħ
كسلاح	kaslaːh
كَسُلُوكٍ	kasiluːka
كَسُلُوكٍ	kasiluːki
كَسُلُوكٍ	kassaluːka
كَسُلُوكٍ	kassaluːki
كَسُلُوكٍ	kasuluːk
كُسُورٌ	kasuːar
كُسُورٌ	kasuːr
كسور	ksɑr
كُسُورٌ	kusuːr
كسوف	ksɑwf
كُسُوفٌ	kusuːf
كَسُوقٍ	kasauq
كَسُوقٍ	kasuːq
كَسُولٌ	kasuːl
كسول	ksɑwl
كسولة	ksuːla
كُسِيَ	kasiː
كُسِيَ	kasiːa
كش	kæʃ
كُشْ	kaʃʃa
كَشَأْنَ	kaʃaʔn
كَشَاعِرٍ	kaʃaːʕir
كشاف	kaʃaːf
كَشَّافٌ	kaʃaːf
كَشَّافٌ	kaʃʃaːf
كشافة	kæʃɑːfah
كشاهد	kæʃɑːhɪd
كَشَاهِدٍ	kaʃaːhid
كَشَبَابٍ	kaʃabaːb
كشخص	kæʃˈhælæʃ
كَشَخْصٍ	kaʃaxsˤ
كَشَرْطٍ	kaʃaratˤ
كَشَرْطٍ	kaʃartˤ
كشرطي	kaʃˈratˤi
كشريك	kæʃriːk
كَشَرِيُّكَ	kaʃariːk
كَشَرِيُّكَ	kaʃarjka
كَشَرِيُّكَ	kaʃarjki
كَشَطَ	kaʃatˤa
كَشَطَ	kaʃatˤˤ
كَشَطَ	kaʃtˤ
كَشِعَارٍ	kaʃiʕaːr
كَشَعْبٍ	kaʃaʕb
كَشَعْبٍ	kaʃiʕb
كَشَعْبٍ	kaʃuʕab
كشف	kaffera
كَشَفَ	kaʃafa
كَشَفَ	kaʃf
كَشَفَ	kaʃiff
كَشَفَ	kuʃifa
كَشَفَا	kaʃafaː
كَشَفَا	kaʃfaː
كَشَفَا	kuʃifaː
كشفت	kaffelaθa
كَشَفَتْ	kaʃafat
كَشَفَتْ	kaʃafta
كَشَفَتْ	kaʃafti
كَشَفَتْ	kaʃaftu
كَشَفَتْ	kaʃift
كَشَفَتْ	kuʃifat
كَشَفَتْ	kuʃifta
كَشَفَتْ	kuʃifti
كَشَفَتْ	kuʃiftu
كشفنا	kʰasafana
كشفه	kæʃfe
كشفها	kʰasafaha
كِشْكٌ	kaʃakk
كِشْكٌ	kaʃikk
كِشْكٌ	kaʃʃaka
كِشْكٌ	kaʃʃaki
كِشْكٌ	kiʃk
كشك	kɪʃk
كِشْكٌ	kuʃk
كَشَكْلٍ	kaʃakl
كشمير	kæʃmiːr
كَشْمِيرٌ	kaʃmiːr
كَشُوفٍ	kaʃuːf
كَشُوفٍ	kuʃuːf
كشيء	kasˤa
كَصَاحِبٍ	kasˤaːħib
كَصَدِيقٍ	kasˤadiːq
كَصَدِيقٍ	kasˤiddiːq
كصديق	kɑsˈsɪdʒi
كصديقة	kasˈdiːqa
كَصَوْتٍ	kasˤaut
كصوت	kɑsˈsˤuːt
كضابط	kaðɑbˈtˤiʃ
كَضَابِطٍ	kadˤaːbitˤ
كَضَيْفٍ	kadˤiif
كَضُيُوفٍ	kadˤujuːf
كَطَالِبٍ	katˤaːlib
كطبيب	katiːb
كَطَبِيبٍ	katˤabiːb
كَطَرَفٍ	katˤaraf
كَطَرِيقٍ	katˤariːq
كطريقة	katˁɑːrˈɪkˤɑ
كطعم	kɑtˤɑm
كطفل	katˈfal
كَطِفْلٍ	katˤafal
كَطِفْلٍ	katˤifl
كطفلة	katˁala
كعائلة	kaʕiːla
كَعَالَمٍ	kaʕaːlam
كَعَالَمٍ	kaʕaːlim
كعامل	kamaːlir
