અં	ə̃ː
ફૅવરિટ	fəʋəɾɪt̪
ફૅશન	fəʃən
ફૅશનને	fəʃənne
ફૅશનબલી	fəʃənbəli
ફે	ɸeː
ફેક	feːk
ફેંકતી	ɸeːŋkʈiː
ફેંકવા	ɸeːŋkʋɑː
ફેંકવાના	ɸeːŋkʋaːnə
ફેકવાનો	fəkeʋɑːno
ફેકવામાં	feːkʌmɑː
ફેંકવામાં	ɸeːŋkʰoʊ̯m
ફેંકવું	ɸeːŋkʋũ
ફેંકી	ɸeːŋkiː
ફેંકે	ɸeːŋkeː
ફેકેલી	feːkeliː
ફેક્ટ	fəkt̪
ફેક્ટર	fəkt̪əɾ
ફેક્ટરને	fəkt̪əɾn̪e
ફેક્ટરી	fəkt̪ɾi
ફેક્ટરીની	fəkt̪ɾiːniː
ફેક્ટરીનું	fəkt̪ɾiːn̪u
ફેક્ટરે	fəkt̪ɾe
ફેક્ટ્સ	fəkt̪s̪
ફેંક્યા	ɸeːŋkjə
ફેંક્યો	feːŋkjo
ફેઝ	feːz
ફેંટોનો	feːɳʈono
ફેડ	ɸeɖ
ફેડના	ɸeɖnə
ફેડરર	feːd̪əɾəɾ
ફેડરલ	feɖəɾəl
ફેડરલના	feɖəɾəlna
ફેડરેશન	feːd̪əɾeʃən
ફેડરેશનના	feːd̪eɾeʃn̪ə
ફેન	ɸɛn
ફેનની	ɸɛnːiː
ફેનનું	ɸɛnːuɲːʌ
ફેનને	ɸɛnne
ફેનશ	ɸeːnʃ
ફેને	feːne
ફેન્ડને	ɸeɳɖne
ફેન્સ	ɸeːns
ફેન્સએ	feːn̪se̞
ફેન્સથી	fə̄ns̪t̪ʰi
ફેન્સના	fə̄nsnə
ફેન્સની	ɸeːnsniː
ફેન્સનું	fə̄ns̪uŋ̪
ફેન્સને	ɸeːns̪n̪eː
ફેન્સનો	ɸeɳsno
ફેન્સમાં	fə̄ns̪mɑ̃
ફેન્સે	ɸeːnse
ફેબલેટ	feːbəlɛːt
ફેબલેટની	ɸɛbələt̪niː
ફેબલેટમાં	ɸɛbəlɛʈmɑ̃
ફેબુઆરીથી	feːbuːɾiːt̪ʰi
ફેબ્રિકેશન્સ	feːbɾɪkɛʃəns
ફેબ્રુઆરી	feːbɾuːɾiː
ફેબ્રુઆરીએ	feːbɾuːɾiːe
ફેબ્રુઆરીથી	feːbɾuːɾitʰi
ફેબ્રુઆરીના	ɸɛbɾuariːnɑ
ફેબ્રુઆરીમાં	ɸɛbɾuɑːɾiːmɑ̃
ફેમ	feːm
ફેમસ	feːms
ફેમા	ɸeːma
ફેમિલી	feːmiːliː
ફેમીલી	feːmiːliː
ફેર	ɸeːɾ
ફેરફાર	ɸeɾɸɑɾ
ફેરફારથી	ɸeɾɸɑɾtʰi
ફેરફારના	ɸeːɾɸɑːɾnɑː
ફેરફારની	ɸeːɾɸaːɾniː
ફેરફારને	ɸeɾɸɑɾnɛ
ફેરફારો	ɸeːɾɸɑːɾoː
ફેરબદલ	ɸeːɾbəd̪əl
ફેરબદલની	ɸeːɾbəd̪əlniː
ફેરવતા	ɸeːɾʋəʈə
ફેરવનાર	ɸeːɾʋənaːɾ
ફેરવવા	ɸeːɾʋoʋo
ફેરવવામાં	ɸeːɾʋoːmɑː
ફેરવવું	ɸeːɾʋʋuː
ફેરવશે	ɸeːɾʋəʃeː
ફેરવાઈ	ɸeːɾʋaːi
ફેરવાયા	ɸeːɾʋaːjɑ
ફેરવિચારણા	ɸeːɾʋɪtʃɑːɾɳɑː
ફેરવી	ɸeːɾʋiː
ફેરવીએ	ɸeːɾʋiːe
ફેરવીને	ɸeːɾʋine
ફેરવેલ	ɸeːɾʋeːl
ફેરવો	ɸeːɾʋo
ફેરવ્યું	ɸeːɾʋʏŋeː
ફેરા	ɸera
ફેરારીની	ɸeːɾɑːɾiːniː
ફેરિયાઓ	ɸeɾijɑo
ફેરિયાઓનો	ɸeɾijɑo̯no
ફેરી	fəɾiː
ફેલ	ɸel
ફેલવવામાં	ɸɛlʋoʊ̯mɑː
ફેલાઇ	felaːi
ફેલાઈ	feːlɑi
ફેલાય	ɸelaɪ
ફેલાયેલી	ɸelaːjeːliː
ફેલાવનારો	ɸɛlɑʋnɑro
ફેલાવાઈ	ɸɛlɑʋɑi
ફેલાવાની	ɸɛlɑʋɑːniː
ફેલાવાય	ɸɛlɑʋɑj
ફેલાવી	ɸelaːviː
ફેલાવો	ɸɛlɑʋo
ફેલાશે	ɸelaːʃe
ફેલિક્સ	feːliks
ફેલી	feːliː
ફેલોશિપ	feːloʃip
ફેલોશિપથી	ɸɛloʃɪptʰi
ફેલ્ચરને	ɸɛlʈʈʈʈʈɾnɛ
ફેવરમાં	feːʋəɾ̪mɑ̃
ફેવરિટ	feːʋəɾɪt̪
ફેવરીટ	feːvaːrɪt
ફેવરેટ	feːvaːrɛʈ
ફેવીકૉલ	feːʋiːkoːl
ફેશન	fəʃən
ફેશનઆરા	feʃənaːra
ફેશનના	fəʃənə
ફેશનપરસ્ત	fəʃənpəɾəst
ફેંસ	ɸeɪ̃s
ફેસ	ɸes
ફેંસને	ɸeːns̪n̪e
ફેસબુક	fəsegʊk
ફેસબુકના	fəseːbuknə
ફેસબુકનો	ɸesɾʋukno
ફેસબુકમાં	ɸesɪbukmɑ̃
ફેસબુકે	ɸesbuke
ફેસબૂક	fəseːbuk
ફેસલ	ɸesəl
ફેસલના	ɸesəl̪nə
ફેસલની	ɸesəlni
ફેસલા	ɸesɾɑ
ફેસલાથી	ɸeslɑːt̪ʰi
ફેસલાબાદ	ɸeslɑbɑːd̪
ફેસલામાં	ɸeslɑomɑ̃
ફેસલે	ɸesle
ફેંસલો	ɸeːns̪ɭoː
ફેસલો	ɸeslo
ફેસિંગ	ɸeːsɪŋ
ફેસિલિટીમાં	feːsɪlɪtiːmɑ̃
ફેસિલીટી	feːsɪliːtiː
ફેંસી	ɸeːɳsiː
ફેસ્ટિવ	feːsʈiv
ફેસ્ટિવલ	feːsʈivəl
ફેસ્ટિવલમાં	feːsʈivəl̪mæ̃
ફૈંફ	ɸɛ̃ːmɸ
ફૈરેલ	ɸɛɾɛl
ફૈસલાબાદ	fəjsəlɑːbɑːd̪
ફૉક્સ	foːks
ફૉર	fɔːr
ફૉરેંસિક	foɾeːns̪ɪk
ફૉર્થ	foːɾtʰ
ફૉર્મૂલા	foːrmeːlɑ
ફૉર્મેટમાં	ɸoːɾmɛt̪mɑ̃
ફૉલો	foːlo
ફૉલોઅર્સ	foːloːəɾs
ફૉલોઅર્સના	foːloəɾsnə
ફૉલોઇંગ	foːl̪oːɪŋ
ફૉલોઓન	foːl̪oːn
ફૉલોવર	foːlɔʋəɾ
ફોઇ	foi
ફોકનર	foːkənəɾ
ફોકનરને	foʊkənɾnɛ
ફોકનરે	foːkənre
ફોકસ	foːkɑs
ફોક્સ	foːks
ફોક્સસ્ટારએ	foːksːt̪ɑːɾeː
ફોગટ	fogʈ
ફોગલની	fogəlni
ફોગાટ	fogaːʈ
ફોગાટની	fogɑːʈniː
ફોગાટે	fogaːʈe
ફોંગે	foŋge
ફોજ	foːdʒ
ફોટા	foːʈə
ફોટાએ	foːʈaːe
ફોટાઓ	foːʈoː
ફોટાને	foːt̪aːne
ફોટામાં	foːʈoʋə̃
ફોટાશૂટ	foːʈaːʃut̪
ફોટો	foːto
ફોટોએ	foːʈoɛ
ફોટોગ્રાફ	foːtogɾɑːpʰ
ફોટોગ્રાફર	foːtoːgɾɑːfɾ
ફોટોગ્રાફી	foːtoːgraːfiː
ફોટોગ્રાફીમાં	foːtoːgɾɑːfiːmɑ̃
ફોટોગ્રાફ્સ	foːʈogɾɑːfʰs
ફોટોગ્રાફ્સની	foːʈogɾɑːfsiː
ફોટોથી	foːʈoːsʈʰi
ફોટોની	foʈoni
ફોટોને	foʈoʋne
ફોટોમાં	foːʈoːm̃
ફોટોશુટ	foːʈoʃʊt
ફોટોશુટની	foːʈoʃʊʈniː
ફોટોશૂટ	foːʈoʃuːt
ફોટોશૂટના	foːʈoʃuːʈnə
ફોટોશૂટની	foːʈoʃuːʈniː
ફોટોશૂટને	foːʈoʃuːt̪n̪e
ફોટોશૂટમાં	foːʈoʃuːtmæ̃
ફોટોશૂટવાળી	foːʈoʃuːʈʋaːliː
ફોટોશોપ	foːʈoʃop
ફોટોશોપનો	foːʈoʃopno
ફોટોસ્લાઇડર	foːʈoːsɫaiːɽər
ફોટોસ્લાઇડરમાં	foːʈoːsɫaiːɖəɾmɑ̃
ફોડવાનો	ɸoɖʋɑːno
ફોડી	ɸoɖi
ફોડ્યા	ɸoɖjə
ફોડ્યો	ɸoɖjo
ફોન	foːn
ફોનથી	foːntʰi
ફોનના	ɸoːnə
ફોનની	ɸoːniː
ફોનનું	foːnʊn̪dʒi
ફોનને	foːnne
ફોનનો	foːnno
ફોનમાં	foːn̪mæ̃
ફોનવાળા	ɸoːnʋɑɭɑ
ફોની	ɸoːɲiː
ફોન્સનું	ɸoːns̪n̪uː
ફોન્સને	ɸoɳs̪kəne
ફોન્સનો	ɸoːnsno
ફોન્સમા	ɸoːnsəma
ફોબિયા	foːbiʌjɑ
ફોર	ɸoːr
ફોરકાસ્ટ	foːɾkɑːst
ફોરના	ɸoːɾnə
ફોરમ	foːɾəm
ફોરવર્ડ	ɸoːɾʋɑɾɖ
ફોરેક્સ	foːɾekʌs
ફોરેક્સના	foɾekʰsəna
ફોરેક્સમાં	foɾɛksmɑ̃
ફોરેન	foɾen
ફોરેનનું	foɾenːuɲːʌ
ફોરેન્સિક	foːrẽːsɪk
ફોર્ચ્યુન	foːɾtʃʰjʊn
ફોર્ચ્યુનની	foːɾtʃʰʏnːiː
ફોર્બ્ઝ	fɔːrbz
ફોર્બ્સ	foːrbʌs
ફોર્બ્સના	fɔːrbznə
ફોર્બ્સની	foːrbz̪niː
ફોર્બ્સમાં	foːrbz̪mɑ̃
ફોર્બ્સે	foːrbse
‘ફોર્મ	foːrm
ફોર્મ	fɔːrm
ફોર્મનાં	foːrmə̃ː
ફોર્મના	foːrmnə
ફોર્મને	foːrmne
ફોર્મનો	foːrmno
ફોર્મમાં	foːrmmæ̃
ફોર્મમાંથી	foːrmə̃n̪ʰi
ફોર્મેટ	foːɾmɛt̪
ફોર્મેટના	foːɾmɛt̪nɑ
ફોર્મેટનો	foːɾmɛʈnoː
ફોર્મેટમાં	foːɾmɛːt̪mɛ̃
ફોર્મેટમાંથી	foːɾmɛːt̪mɑ̃n̪tʰi
ફોર્મેટે	foːɾmeːte
ફોર્મ્યુલા	foːrmjuːlə
ફોર્મ્યૂલાની	foːrmjuːlaːniː
ફોર્વર્ડ	foːɾʋɑɾd̪
ફોર્સ	fɔːrs
ફોલઓનથી	foːlɔːntʰi
ફોલઓનનું	ɸoːlɔːnːuŋgʌ
ફોલાઇંગ	foːlɑːiŋ
ફોલિયો	foːlijo
ફોલૉઈન્ગ	ɸoːlɪŋ
ફોલો	ɸoːloː
ફોલોઅર્સે	ɸoloɾəs̪e
ફોલોઇંગના	foːl̪oːɪŋnə
ફોલોઓન	foːlɔːn
ફોલોવર્સ	foːloʋərs
ફોલોવિંગ	foːloʋiŋ
ફોલ્કનરરે	ɸoːl̪kənɾəɾeː
ફોલ્કનરે	foːlkənreː
ફોસ્ટર	foːst̪əɾ
ફ્ક્ત	fəkt̪
ફ્યુઅલ	ɸjual
ફ્યુઅલના	ɸjuəlna
ફ્યુઅલનો	ɸjuəlno
ફ્યુચર	ɸjʊtʃəɾ
ફ્યુચરનેટ	ɸjʊtʃərnɛt
ફ્યુચર્સ	ɸjʊtʃəɾs
ફ્યુઝન	ɸjuːdʒən
ફ્યૂઅલ	ɸjuəl
ફ્યૂચર	ɸjʊtʃəɾ
ફ્યૂલ	ɸjuːl
ફ્રંટ	frəɳʈ
ફ્રન્ટ	frɑːnt
ફ્રાન	frɑːn
ફ્રાન્સ	frɑːns
ફ્રાન્સના	frɑːnsnɑː
ફ્રાયલિંકે	frɑɪlɪŋke
ફ્રાંસ	frɑ̃s
ફ્રાંસની	frɑ̃ːsn̪iː
ફ્રાંસનું	frɑ̃ːsn̪u
ફ્રાંસમાં	frɑ̃smaɪ̯
ફ્રાંસિસ્કો	frɑ̃ːsɪskɔ
ફ્રાંસિસ્કોમાં	frɑ̃ːsɪskɔ̃ː
ફ્રિકી	ɸɾiːkiː
ફ્રિઝ	frɪz
ફ્રિસ્ટાઇલ	ɸɾiːst̪ɑɪl
‘ફ્રી	ɸɾiː
ફ્રી	ɸɾiː
ફ્રીચાર્જ	frɪtʃɑːɾdʒ
ફ્રીઝ	ɸɾiːz
ફ્રીડમ	ɸɾiːd̪m̩
ફ્રીના	ɸɾiːna
ફ્રીમાં	ɸɾiːmɑ̃
ફ્રીસ્ટાઇલ	fr̥ist̪ai̯l
ફ્રીસ્ટાઈલ	frɪstɑɪl
ફ્રૂટ	frut̪
ફ્રૅંકફર્ટ	fræ̃ːkfɛːɾt
ફ્રેક્ચર	frækʈʂər
ફ્રેંચાઇજી	frɛ̃tʃɑːdʒiː
ફ્રેંચાઇજીને	frɛ̃tʃaːdʒiːne
ફ્રેંચાઇઝી	frɛntʃɑɪzi
ફ્રેંચાઇઝીના	frɛ̃tʃɑɪziːnɑ
ફ્રેંચાઇઝીની	fr̥eːntʃɑɪziːniː
ફ્રેંચાઈઝ	frɛntʃɑːiz
ફ્રેડ	fɾeːɖ
ફ્રેન્ચ	frɛntʃ
ફ્રેન્ચાઇજી	frɛntʃɑːdʒiː
ફ્રેન્ચાઇઝી	frɛntʃaɪziː
ફ્રેન્ચાઇઝીના	frɛntʃaɪziːnə
ફ્રેન્ચાઇઝીમાં	frɛntʃɑiːziːmɑ̃
ફ્રેન્ચાઈઝ	frɛntʃaːɪz
ફ્રેન્ચાઈઝી	frɛntʃɑːiːziː
ફ્રેન્ચાયઝીનો	frɛntʃɑjziːno
ફ્રેન્ડ	frɛɳɖ
ફ્રેન્ડલી	frɛndli
ફ્રેન્ડ્સ	frɛɳɖs
ફ્રેન્સ	frɛns
ફ્રેમ	frɛːm
ફ્રેમવર્કના	ɸɾeːmʋɾəkɳɑ
ફ્રેશ	frɛʃ
ફ્રેશનેસ	ɸɾeːʃnɛs
ફ્રેશનેસે	ɸɾeʃn̪es̪e
ફ્રોઝન	ɸroːdʒən
ફ્રોડ	ɸroːɖ
ફ્રોડથી	ɸroɽʈʰi
ફ્રોડનો	ɸroːɖno
ફ્રોમ	frɔːm
ફ્લરી	ɸlɾiː
ફ્લર્ટ	ɸlɛɾʈ
ફ્લાઇં	ɸlɑɪ̃
ફ્લાઇંગ	ɸlɑɪŋ
ફ્લાઇટ	ɸlɑɪt̪
ફ્લાઇટની	ɸlɑɪʈnɪ
ફ્લાઇટમાં	ɸlɑɪt̪mɑ̃
ફ્લાઇટવેટ	ɸlɑɪ̯tʋɛt
ફ્લાઈંગ	ɸlɑɪŋ
ફ્લાઈટ	ɸlɑɪt̪
ફ્લાઈટમાં	ɸlɑɪt̪mɑ̃
ફ્લાયિંગ	ɸlɑjɪŋ
ફ્લિક	ɸlɪk
ફ્લિકર	ɸlɪkɾ
ફ્લિકાર્પે	ɸlɪkɑɾpe
ફ્લિન્ટોફ	ɸlɪn̪ʈoʋʈʰ
ફ્લિન્ટોફએ	ɸlɪn̪ʈoʋeː
ફ્લિન્ટોફના	ɸlɪn̪ʈoʋnə
ફ્લિપકાર્ટ	ɸliːpkaːɾʈ
ફ્લિપકાર્ટથી	ɸliːpkaːɾʈʰeː
ફ્લિપકાર્ટના	ɸliːpɑːɾʈnɑː
ફ્લિપકાર્ટની	ɸlɪpkaːɾʈniː
ફ્લિપકાર્ટને	ɸliːpkaːɾt̪ne
ફ્લિપકાર્ટમાં	ɸlɪpkaːɾʈmɑ̃
ફ્લિપકાર્ટમાંથી	ɸliːpkaːɾʈə̃tʰi
ફ્લિપકાર્ટે	ɸliːpkaːɾʈeː
ફ્લીપકાર્ટ	ɸliːkɑːɾʈ
ફ્લૅશ	flæʃ
ફ્લેક્સિબલ	flɛkɕɪbl̪
ફ્લેક્સી	flɛkɕiː
ફ્લેગને	ɸlɛgne
ફ્લેચર	ɸleːtʃər
ફ્લેચરના	ɸleːtʃəɾnə
ફ્લેચરની	ɸleːtʃəɾniː
ફ્લેચરનું	ɸlɛtʃərn̪ʊ
ફ્લેચરને	ɸleːtʃəɾne
‘ફ્લેચરને	ɸlɛtʃəɾnɛ
ફ્લેચરનો	ɸleːtʃərnoː
ફ્લેટ	ɸlɛʈ
ફ્લેટના	ɸlɛʈnɑ
ફ્લેટની	ɸlɛʈniː
ફ્લેમિંગ	ɸlæmiŋg
ફ્લેવર	ɸlɛʋər
ફ્લેવરમાં	ɸlɛʋəɾ̪mɑ̃
ફ્લેશ	ɸleːʃ
ફ્લેશબેકમાં	ɸleːʃbeːkmɑ̃
ફ્લૉપ	ɸlɔːp
ફ્લૉપનો	ɸlɔːpno
ફ્લૉયડ	ɸlɔːjɾəɽ
ફ્લો	ɸloː
ફ્લોટ	ɸlɔːt̪
ફ્લોટેશનને	ɸlɔːteʃənne
ફ્લોપ	ɸlɔp
ફ્લોર	ɸloːr
ફ્લોરમાં	ɸloːɾmɑ̃
ફ્લોરિડા	ɸl̪oːɾɪɖɑː
ફ્લોરિડામાં	ɸloːɾiːdɑ̃ː
ફ્લોરેન્સ	ɸloːɾeːns
ફ્લોરેંસ	ɸl̪oːɾeːns
ફ્લ્ક્ચુએશન	ɸlɪkʧuæʃən
બએન્ડ	beːnd̪
બંક	ɓəŋk
બકરી	bəkrɪ
બકવાસ	ɓəgʋaːs
બંકોના	baŋkona
બક્શી	baːkʃi
બક્ષતા	bəksəʈə
બક્ષી	bəkʃi
બગ	bag
બગડતા	bəgɑɖt̪ɑ
બગડતી	bagɑɖti
બગડતો	bagɑɽto
બગડવાના	bagɑɖʋoːnɑ
બગડી	bəgɑɖi
બંગડીઓના	ɓəŋgɖiːonə
બગડેલા	bəgɑɖeːlə
બગડ્યા	bəgɑɑɑɑ
બગન	bagən
બગને	bəgənɛ
બંગલાઓ	beŋgələo
બંગલાની	ɓəŋgɑːniː
બંગલાનું	ɓəŋgələːnu
બંગલે	ɓəŋgle
બંગલો	ɓəŋglo
બંગા	ɓəŋgə
બગાડ	bəgaːɖ
બગાડનાર	bagaːɽnaːr
બગાડવું	bəgaːɖʋuː
બગાડવો	bagaːɖʋo
બગાડી	bəgaːɖiː
બંગાળ	ɓəŋaːɭ
બંગાળનમા	ɓəŋɑɭnəma
બંગાળના	ɓəŋaːɭnə
બંગાળની	ɓəŋaːɭniː
બંગાળનો	ɓəŋaːɭ̆noː
બંગાળમાં	ɓəŋɑɭ̆mɑ̃
બંગાળી	ɓəŋɑɭiː
બગીચાઓ	bəgitʃɑːo
બગીચાઓમાં	bagitʃoːmaɪ̯n
બંગ્લાદેશી	beːŋglədeːʃiː
બગ્સ	bags
બચત	ɓəʈʈ
બચતના	ɓəʈnə
બચતની	ɓəʈəni
બચતને	ɓəʈənɛ
બચતનો	ɓəʈən̪o
બચતમાં	batʃʰəmɛ̃
બચતા	ɓəʈʈɑ
બચતું	ɓəʈʈʊ̃
બચતો	ɓəʈʈo
બચતોનો	batʃətono
બચતોમાં	ɓəʈʰoʊmɑːn
બચના	ɓəʈnə
બચનાર	batʃənaːr
બચવા	ɓəʈʋə
બચવાના	ɓəʈʋoːnə
બચવાની	baʧʋaːniː
બચવાનો	ɓəʧʋɑːn̪oː
બચવું	ɓəʈʋʊ̃
બચશે	ɓəʈʃʰe
બચાઓ	ɓəʈʈoː
બચાઓમાં	ɓəʧɑːo̯mɑ̃
બચાવ	ɓəʧɑʋ
બચાવપક્ષ	ɓəʧɑːʋəpəks
બચાવમાં	bətʃɑːʋmɑ̃
બચાવવા	bətʃɑːʋʋɑ
બચાવવાથી	batʃɑːʋʋɑːt̪ʰi
બચાવવાના	ɓəʧɑʋʋɑːnə
બચાવવાની	ɓəʧɑʋʋɑːniː
બચાવવાનો	bətʃɑːʋʋɑːno
બચાવવો	ɓəʧɑʋʋo
બચાવશે	bətʃɑːʋʃe
બચાવાની	bətʃɑːʋɑːniː
બચાવી	bətʃɑviː
બચાવીને	bətʃɑːvine
બચાવે	bətʃɑʋe
બચાવો	ɓəʧɑʋo
બચાવ્યા	ɓəʈɑʋjə
બચી	ɓəʈʈi
બચીને	ɓəʈiɳe
બચે	ɓəʈʰe
બચેલા	ɓəʈʰeːlə
બચ્ચન	ɓəʈʈʰən
બચ્ચનથી	ɓəʈʈʰəntʰi
બચ્ચનના	ɓəʧːənə
બચ્ચનનાવખાણ	ɓəʈʈʰənəʋəxɑːɳ
બચ્ચનની	ɓəʈʈʰənɪ
બચ્ચનનું	ɓəʧːəɳʊn̪dʒə
બચ્ચનને	ɓəʈʈʰənne
બચ્ચનનો	ɓəʈʈʰənno
બચ્ચની	ɓəʈʈniː
બચ્ચને	ɓəʈːnɛ
બચ્યાં	ɓəʈʰjɑ̃
બચ્યા	ɓəʈʲə
બચ્યું	bətʃʰjʊ̃
બજરંગ	bəʐəɾəŋ
બજરંગબલી	badʒəɾəŋgəbəliː
બજરંગી	badʒəɾəŋgiː
બજરંગે	badʒəraŋge
બજા	badʒə
બજાજ	badʒɑːdʒ
બજાતે	badʒɑːt̪e
બજાર	badʒɑːr
બજારથી	badʒɑːrtʰi
બજારના	badʒaːɾna
બજારની	badʒaːɾiː
બજારનું	badʒaːɾn̪u
બજારને	badʒɑːrne
બજારનો	badʒaːrono
બજારમાં	badʒɑːrmɑ̃
બજારમા	badʒɑːɾəma
બજારમાંથી	badʒɑːrmɑ̃tʰi
બજારે	badʒɑːɾe
બજારો	badʒɑːɾo
બજારોએ	badʒɑːɾoe
બજારોની	badʒaːroniː
બજારોમાં	badʒɑːɾomɑ̃
બજાવવાની	badʒɑːʋʋɑːni
બજાવવી	bəzaːvʋi
બજેટ	badʒɛʈ
બજેટની	badʒɛʈniː
બજેટને	badʒɛʈne
બજેટમાં	badʒɛʈmɛ̃
બઝાર	baɾʐɑːr
બઝારમાં	baʐaːrmɛ̃
બટ	ɓəʈ
બટન	ɓəʈən
બટને	ɓəʈne
બટર	ɓəʈəɾ
બટલર	baʈlɾ
બટલરની	ɓəʈəlɾniː
બટ્ટ	ɓəʈː
બટ્ટી	ɓəʈːi
બટ્ટીનું	ɓəʈːiːn̪ʋə
બટ્ટીનો	ɓəʈːiːno
બટ્ટોના	ɓəʈːona
બટ્લર	ɓəʈlɾə
બટ્લરના	ɓəʈlɾənɑ
બટ્લરે	ɓəʈləɾe
બડજાત્યાની	ɓəɖʐɑːt̪jɑːniː
બડઠાકુરે	ɓəɖʈʰakuɾe
બંડલ	ɓəɳɖəl
બંડલને	ɓəɳɖəlne
બડા	ɓəɽə
બંડારુ	ɓəɳɖaːru
બંડારૂ	ɓəɳɖaːruː
બડ઼ી	ɓəɖɪ
બડે	ɓəɖe
બડ઼ે	ɓəɖe
બડ્ડી	ɓəɖɖi
બઢત	ɓəɖʈʰə
બઢતને	ɓəɖət̪nɛ
બઢતનો	ɓəɖət̪no
બંતા	ɓəntə
બતાઇએ	ɓətaɪe
બતાડી	ɓəʈaɽi
બતાવતાં	ɓətaʋt̪ɑ̃
બતાવતા	ɓətaʋt̪ə
બતાવવા	ɓətaʋəʋə
બતાવવાના	batɑːʋʋɑːnə
બતાવવાની	ɓətaʋʋəniː
બતાવવાનું	ɓətaʋʋaːn̪uː
બતાવવાને	ɓətaʋʋɑne
બતાવવામાં	ɓətaːʋəmaɪ̯
બતાવવામાંઆવી	bat̪ɑːʋmɑ̃ɑːʋiː
બતાવવું	ɓətaːʋʋuː
બતાવશે	ɓətaːʋʃe
બતાવા	ɓətaʋa
બતાવાઇ	ɓətaʋaɪ
બતાવાનો	ɓətaːʋɑːnoː
બતાવાય	ɓətaʋaj
બતાવી	ɓətaʋi
બતાવીએ	ɓətaʋie
બતાવીને	ɓətaʋine
બતાવીશે	ɓətaʋiːʃe
બતાવે	ɓətaːʋe
બતાવ્યા	ɓətaːʋjə
બતાવ્યું	bat̪ɑːʋʏ̃
બતાવ્યુ	ɓətaʋju
બતાવ્યો	ɓətaʋjo
બતી	ɓʌt̪iː
બત્તી	ɓʌt̪ːiː
બત્રા	ɓəʈɾɑ
બદ	bəɖ
બંદ	ɓəɳɖ
બદનામ	bəɽnɑːm
બદનામી	bəd̪ən̪ɑːmiː
બદનામીના	bəɖnɑːmiːnə
બદરીનાથ	bəɾiːnɑːtʰ
બંદરો	ɓənɖəɾo
બદલ	bəɽl
બદલતા	bəɽlət̪ə
બદલતી	bəɽləti
બદલતો	bəɽl̪t̪o
બદલવા	bəɽʋə
બદલવાની	bəɽləʋəni
બદલવાનું	bəɽləʋɑːnu
બદલવાનો	bəɽləʋɑːno
બદલવામાં	bəɽəmoʊ
બદલવાાં	bəɽʋɑ̃
બદલવી	bəɽləʋi
બદલશે	bəɽləʃe
બદલાઇ	bəɽlaɪ
બદલાઈ	bəɽlaɪ
બદલાતા	bəɽɑːt̪ɑː
બદલાતી	bəɽɑːtiː
બદલાતો	bəɽɑːto
બદલાપુર	bəɽɑːpʊɽ
બદલામાં	ɓəd̪ləmaːn
બદલાય	bəɽlɑj
બદલાયાં	bəɽlɑjɑ̃
બદલાયા	ɓəɽlɑjɑ
બદલાયું	bəɽlɑjũ
બદલાયેલાં	bəɽɑjɛlɑ̃
બદલાયેલા	bəɽɑjɛlə
બદલાયેલી	bəɽɑːjɛliː
બદલાયેલો	bəɽɑjɛlo
બદલાયો	bəɽlɑjoː
બદલાવ	bəɽɑːʋ
બદલાવથી	bəɽɑːvəθi
બદલાવના	bəɽɑːʋnə
બદલાવની	bəɽɑːʋniː
બદલાવનું	bəɽɑːvuɳtʃʰ
બદલાવને	bəɽɑːvne
બદલાવમાં	bəɽɑːʋmɑ̃
બદલાવવી	bəɽɑːvʋi
બદલાવાના	bəɽɑːʋoːnɑː
બદલાવી	bəɽɑviː
બદલાવો	bəɽɑːvo
બદલાશે	bəɽɑːʃe
બદલી	bəɽli
બદલીને	bəɽliːne
બદલે	bəɽle
બદલેલ	ɓɑɽɛlɛl
બદલો	bəɽlo
બદલ્યા	bəɽjɑ
બદલ્યું	bəɽlʲuŋ
બદલ્યો	ɓəɖəljo
બદસુરત	bəɾsʊɾət
બદસૂરતથી	bad̪əsuːɾət̪θiː
બદા	baːd̪ə
‘બંદા	ɓənda
બંદા	ɓə̃ɳɖə
બદામ	bəd̪ɑːm
બંદૂક	ɓəɳɖuːk
બદોની	boːd̪oːniː
બદોનીએ	bədoːniːe
બદ્દૂર	ɓɑd̪ːuːɾ
બદ્રિનાથે	bədrɪnɑːtʰe
બદ્રી	bəɾiː
બદ્રીનાથ	bəd̪ɾiːnaːtʰ
બંધઃ	ɓə̃d̪ʰəʰ
બંધ	ɓəɳɖ
બંધકોને	ɓəɳɖəkoɳe
બંધનમાં	bə̃d̪ʰən̪mɛ̃
બંધનું	ɓəɳɖənu
બંધને	ɓəɳɖəne
બંધનો	ɓəɳɖno
બંધબેસતી	ɓəɳɖəbeːsəti
બધાં	bad̪ʰɑ̃
બધા	bəɖʌ
બધાઇ	bəɖʱai
બંધાઇ	ɓəɳɖaɪ
બંધાઈ	baːndʰaɪ
બધાએ	bəɖʱɑe
બધાજ	bəɖɑːdʒ
બધાથી	baɖʌtʰi
બધાના	bad̪ʰoːna
બધાની	bəɽʌni
બધાનું	baɖʱaːnu
બધાને	baːd̪ʰɑːneː
બધાનો	bad̪ʰano
બધામાં	bad̪ʰomɑ̃
બંધાયા	ɓə̃ɳɖɑjɑː
બંધાયેલા	ɓəɳd̪ʱɑjɛlə
બંધાયેલો	ɓə̃ɳɖɑjeːlo
બંધારણમાં	ɓəɳɖɑɾəɳmɑ̃
