'z	z
izpovedati	ispo˥˩ːʋʲɛdate˥˩ː
izpuščaj	ispuʃtʃa˥˩ːj
izrael	i˥˩ːzraɛl
izraz	izra˥˩s
izraz	izˈras
izredno	izrɛdnɔ
izrek	ɪzrɛk
izsiljevalski	issiljɛʋa˥˩ːlski
izsiljevalski	issiljɛʋa˥˩ːʋski
izum	esum
izuti	izu˩˥ːti
izve	izve
izvedeti	izvɛdɛti
izvijač	izvijatʃ
izvijač	izʋija˩˥ːtʃ
izvir	izʋi˥˩ːr
j	ˈə
ja	ja˥˩ː
ja	ja˩˥ː
jablana	ja˥˩ːblana
jablana	ja˩˥ːblana
jabolka	jabou̯ka
jabolko	ja˩˥ːbɔʋkɔ
jadro	ja˥˩ːdrɔ
jagnje	jaknɛ
jagnje	ja˩˥ːgnjɛ
jagnjec	ja˥˩ːgnjəts
jagnjec	ja˩˥ːgnjəts
jagnjetina	jagnjɛti˩˥ːna
jagnjetina	ja˩˥ːgnjɛtina
jagoda	ja˩˥ːgɔda
jagode	jagodɛ
jahati	ja˥˩ːxati
jahati	ja˩˥ːxati
jajc	jajt
jajce	ja˩˥ːjtsɛ
jajčevec	ja˥˩ːjtʃɛʋəts
jajčevec	ja˩˥ːjtʃɛʋəts
jajčnik	ja˥˩ːjtʃnik
jak	ja˥˩ːk
jakac	ja˥˩ːkats
jakna	aknˈa
jama	ja˩˥ːma
jamajka	jama˥˩ːjka
jamar	ja˥˩ːmar
jamnikar	jamnijkar
jan	jˈan
janez	ja˩˥ːnɛs
janež	ja˩˥ːnɛʃ
jantar	ja˥˩ːntar
jantar	ja˩˥ːntar
januar	ja˥˩ːnuar
janšizem	janʃizɛm
japonska	japonska
japonska	japo˥˩ːnska
jarek	jarek
jarek	ja˥˩ːrək
jarek	ja˩˥ːrək
jarem	ja˩˥ːrəm
jasa	jˈasa
jasen	ja˩˥ːsən
jasli	jˈɑsli
jasna	ja˥˩ːsna
jasnejši	jasnɛ́ːjʃi
jasnejši	ja˩˥ːsnɛjʃi
jasniti	jasni˥˩ːti
jasniti	jasni˩˥ːti
jaspis	ja˥˩ːspis
jaspisen	ja˥˩ːspisən
jastreb	ja˥˩ːstrɛp
javiti	ja˩˥ːʋiti
javno	ˈjaʊnɔ
javor	ja˩˥ːʋɔr
jaz	ja˥˩s
jazbec	ja˥˩ːzbəts
jazbečar	jasbətʃar
je	je
je	je˩˥ː
je	jɛ́
jebati	je˥˩ːbati
jebati	jɛ́ːbati
jebiga	ˈjabiga
jedec	je˥˩ːdəts
jedo	jedo
jedrski	jɛdɐrski
jegulja	jɛgu˩˥ːlja
jej	jˈe
jeklo	jɛ̀ːklɔ
jelen	jɛ̀ːlɛn
jelena	jɛle˥˩ːna
jelka	je˩˥ːlka
jelka	jɛ̀lkɑ
jelša	je˩˥ːʋʃa
jem	zʲem
jemati	jɛma˩˥ːti
jemen	je˩˥ːmən
jemo	zjɛ̀ːmɔ
jereb	jɛre˥˩ːp
jerebica	jɛrɛbi˩˥ːtsa
jeremija	jɛrɛmi˥˩ːja
jerneja	jɛrneja
jeruzalem	jɛru˥˩ːzalɛm
jesen	jɛse˥˩ːn
jesen	jɛ̀sɛn
jesen	jɛ̀ːsɛn
jesensko	jɛsɛnskɔ
jesika	jɛsi˩˥ːka
jesta	jesta
jeste	estɛ
jesti	jeste
jesti	je˩˥ːsti
jeti	je˩˥ːti
jetika	je˩˥ːtika
jetra	je˩˥ːtra
jeva	jɛva
jezen	jezen
jezen	je˩˥ːzən
jezera	jɛzɑra
jezero	je˥˩ːzɛrɔ
jezero	jɛzrɔ
jezeru	je˩˥ːzəruː
jezeršek	jezʲɛrʃʲik
jezik	jɛ̀ːzik
jezika	jasika
jezikoslovec	jɛzikɔslo˥˩ːʋəts
jezikoslovje	jezikɔslɔwjɛ
jezikoslovje	jɛzikɔslo˥˩ːʋjɛ
jezikovni	jezikɔni
jezičen	jeziˈtʃɛn
jeznejši	je˩˥ːznɛjʃi
jezus	je˥˩ːzus
ječmen	jɛ̀ːtʃmɛn
ješ	jˈɛʃ
jež	je˥˩ːʃ
jež	je˩˥ːʃ
ježevec	je˥˩ːʒɛʋəts
ježevec	je˩˥ːʒɛʋəts
jod	jo˥˩ːt
joga	jo˥˩ːga
jogurt	jo˥˩ːgurt
jogurt	jugurt
jokati	jo˩˥ːkati
jordanija	jɔrda˩˥ːnija
jordanski	jɔrda˥˩ːnski
jože	jo˥˩ːʒɛ
jožef	jo˥˩ːʒɛf
judovstvo	ju˩˥ːdɔʋstʋɔ
jug	jak
jug	ju˥˩k
jug	ju˥˩ːk
jugoslavija	jugɔsla˩˥ːʋija
juha	ju˩˥ːxa
julij	julʲi
julij	ju˩˥ːlij
junak	juna˩˥ːk
junij	ju˩˥ːnij
jupiter	ju˥˩ːpitər
jur	ju˩˥ːr
jurij	ju˩˥ːrij
jutri	ju˥˩ːtri
jutro	ju˩˥ːtrɔ
juvan	ju˥˩ːʋan
južen	ju˩˥ːʒən
južina	ju˩˥ːʒina
južnejši	ju˩˥ːʒnɛjʃi
južnoameriški	juʒnɔamɛ́ːriʃki
južnoslovanski	juʒnɔslɔʋa˥˩ːnski
jysk	isk
k	kʰɤ˥˩
kad	ka˥˩t
kad	kɑːd
kadar	ka˥˩dar
kadarkoli	kadarkɔʎi
kadilec	kadiliːts
kadilo	kadi˩˥ːlɔ
kaditi	kadi˥˩ːti
kaditi	kadi˩˥ːti
kaditi	kadzʲitʲi
kadmij	kadmi
kadmij	ka˩˥ːdmij
kai	ai
kaj	kai
kaj	ka˥˩j
kaj	ka˩˥ːj
kajak	ka˥˩ːjak
kajti	kaiti
kako	kako
kako	kako˥˩ː
kako	kako˩˥ː
kakor	kakɔr
kakor	ka˥˩kɔr
kakovost	kako˩˥ːʋɔst
kakovosti	kako˥˩ːʋosti
kakšen	kakʃɑn
kakšen	ka˥˩ːkʃən
kalcij	kaltsi
kalcij	ka˩˥ːltsij
kalifornij	kalifo˩˥ːrnij
kalifornija	kalifo˩˥ːrnija
kalij	kali
kalij	ka˩˥ːlij
kaliti	kali˥˩ːti
kaliti	kali˩˥ːti
kam	kʌm
kamela	kamela
kamela	kame˥˩ːla
kamen	ka˥˩mən
kamen	ka˩˥ːmən
kamenje	kamɛnje
kamera	kamera
kamere	kameɾe
kamerun	ka˥˩ːmɛrun
kamin	kami˥˩ːn
kanada	ka˥˩ːnada
kanal	kana˩˥ːl
kanalizacija	kanalizatsia
kanin	kaˈnim
kanjon	ka˥˩ːnjɔn
kantata	antata
kap	kɑːp
kapati	ka˩˥ːpati
kapela	kapɛ̀ːla
kapetan	kape˥˩ːtan
kapetanka	kape˥˩ːtanka
kapitalist	kapitali˥˩ːst
kapitalizem	kapitalizam
kapitalizem	kapitali˩˥ːzəm
kapitan	kapit̪ɾãn̪
kaplja	ka˩˥ːplja
kapljah	kaplʲax
kapljica	kaplʲitsa
kapo	kapɔ
kapsula	ka˥˩ːpsula
kapučino	kaputʃino
karamela	karame˥˩ːla
karantanija	karantaˈnija
kardinal	kardina˥˩ːl
karel	ka˩˥ːrəl
karniola	karniola
karta	kɑːrta
kartagina	karta˥˩ːgina
karti	kartɛ
kartico	kartitso
karto	xartɔ
kartoteka	kaɾtɔtɛka
kas	kɑs
kasen	kɑːsɛn
kaseto	kaseto
kasnost	kasnɔst
kastelic	kaste˥˩ːlits
katalonija	katalo˩˥ːnija
katalonski	katalo˥˩ːnski
katalonščina	katalo˥˩ːnʃtʃina
katedrala	katɛdra˥˩ːla
kategorialen	katɛgɔrija˥˩ːlən
kategorija	katɛgɔri˥˩ːja
katekizem	katəkizm
katere	katɛɾɛ
kateter	kate˩˥ːtər
kation	katiun
katja	katsja
kava	kava
kava	ka˩˥ːʋa
kavarna	kavarna
kavarna	kaʋa˥˩ːrna
kavboj	kaubɔj
kavka	ka˥˩ːʋka
kavkaz	kaʋka˥˩ːs
kavsati	ka˥˩ːʋsati
kavčič	ka˥˩ːʋtʃitʃ
kavčuk	kau̯tʃuk
kazahstan	ka˥˩ːzaxstan
kazalec	kazalets
kazalec	kaza˥˩ːləts
kazalnik	kasa˥˩lnʲiːk
kazati	kaza˩˥ːti
kazati	ka˩˥ːzati
kazen	ka˥˩ːzən
kazni	kazmi
kaznovati	kaznɔʋa˩˥ːti
kača	ka˩˥ːtʃa
kaša	kˈaʃa
kašelj	ka˩˥ːʃəl
kašljati	ka˥˩ːʃljati
kašmir	kaʃmɨr
kašmirski	kʌʃmˈirski
kašča	ka˩˥ːʃtʃa
kdaj	gdaj
kdaj	gda˥˩ːj
kdo	gdo
kdo	gdo˩˥ː
kekec	kəkˈɯtsˈ
keks	kˈiks
kelih	ke˩˥ːlix
kelt	ke˥˩ːlt
kemija	kemia
kemija	kɛmi˥˩ːja
kenguru	kɛnguru˥˩ː
kenija	ke˩˥ːnija
kenozoik	kɛ˥˩nɔzo˥˩ːjk
kenta	ke˥˩ːnta
ker	kɛr
kersnik	kɛrsni˩˥ːk
ki	ki
ki	kj
kikiriki	kikiriki˥˩ː
kim	kʰim
kinin	kini˥˩ːn
kino	ki˥˩ːnɔ
kip	ki˥˩ːp
kirij	kiri˩˥ːj
kis	ki˥˩ːs
kisel	kisɛ
kisel	ki˩˥ːsəʋ
kisik	kisi˥˩ːk
kislina	kisli˩˥ːna
kit	ki˥˩ːt
kita	ki˩˥ːta
kitajec	kita˥˩ːjəts
kitajka	kita˥˩ːjka
kitajska	kita˥˩ːjska
kitajska	kʲitajska
kitajski	kita˥˩ːjski
kitajsko	kʲitajskɔ
kitajščina	kita˥˩ːjʃtʃina
kitara	kita˥˩ːra
kitara	kɪˈtara
kje	kje˥˩ː
kje	kje˩˥ː
kjer	kje˥˩ːr
kladivce	kladi˥˩ːʋtsɛ
kladivce	kladi˩˥ːʋtsɛ
kladivce	kla˩˥ːdiʋtsɛ
kladivo	kladi˩˥ːʋɔ
klarinet	klarine˥˩ːt
klas	kla˥˩ːs
klasičen	kla˩˥ːsitʃən
klasti	kla˩˥ːsti
klati	kla˩˥ːti
klavir	klavir
klavir	klaʋi˥˩ːr
klavnica	klaʊnitsa
klen	kle˥˩ːn
klen	kle˩˥n
klen	klɛ̀n
kleopatra	klɛo˥˩ːpatra
klepati	klɛpa˩˥ːti
klepec	klɛ̀ːpəts
klepet	klɛpˈɛt
kleptokracija	klɛptɔkratsi˥˩ːja
klet	klˈɪt
kletka	klˈitka
klečati	klɛtʃa˩˥ːti
klešče	kle˩˥ːʃtʃɛ
klic	kli˥˩ːts
klic	klˈɪts
klicaj	klitsa˥˩ːj
klicati	kli˩˥ːtsati
klif	kljf
klima	kli˥˩ːma
klima	kli˩˥ːma
klitoris	kli˥˩ːtɔris
kliče	klɪtʃə
kljuka	kɫjuka
kljukica	klju˩˥ːkitsa
kljun	klju˥˩ːn
kljun	klʲuːn
kljunaš	kljuna˩˥ːʃ
ključ	kljuːtʃ
ključ	klju˩˥ːtʃ
ključavnica	kljutʃa˥˩ːʋnitsa
ključi	kljuːtʃi
ključiti	klju˩˥ːtʃiti
klobasa	klɔba˩˥ːsa
klobuk	klɔbu˩˥ːk
klobučar	klobutʃar
klobučar	klɔbutʃa˩˥ːr
klobučevina	klɔbutʃɛvina
klofuta	klɔfu˩˥ːta
klokan	klo˥˩ːkan
klop	klo˥˩p
klop	klo˥˩ːp
klopotača	klɔpɔta˩˥ːtʃa
klor	klor
klor	klo˥˩ːr
klorofil	klɔrɔfi˥˩ːl
klovn	klo˩˥ːʋn
klošar	klo˥˩ːʃar
klošč	klo˥˩ʃtʃ
kluže	kluʐɛ
kmalu	kma˥˩ːlu
kmet	kmɛ́t
kmetija	kmɛti˥˩ːja
kmetijska	metijska
kneginja	kne˥˩ːginja
knez	kne˥˩ːs
knjiga	knji˩˥ːga
knjigarna	knjiga˥˩ːrna
knjige	knigɛ
knjigi	knigi
knjigovez	knjigɔʋe˥˩ːs
književnost	knjiʒe˥˩ːʋnɔst
knjižni	kniʒni
knjižnica	kni˥˩ːʒnjitsa
knjižnica	knjiʃnitsa
knofi	knɔfj
ko	kɔ
kobalt	ko˥˩ːbalt
kobalt	kɔbalt
kobarid	kɔbari˥˩ːt
kobentar	kɔpˈeɾˈintˈar
kobila	kɔbila
kobila	kɔbi˩˥ːla
kobilar	kɔbi˥˩ːlar
kobilica	kɔbiliːtsa
kobilica	kɔbi˩˥ːlitsa
kocka	kotska
kocka	ko˥˩ːtska
kockati	ko˥˩ːtskati
koda	kɔda
koder	ko˩˥ːdər
kodrast	kɔdrast
kofein	kofein
koga	kɔga
kokalj	ko˩˥ːkal
kokolj	ko˩˥ːkɔl
kokos	kukɔs
kokot	kɔko˥˩ːt
kokoš	kɔko˥˩ːʃ
kol	ko˥˩ʋ
kola	ko˥˩ːla
kola	ko˩˥ːla
kolagen	kɔlɑgɛn
kolc	ko˥˩ːʋts
kolcanje	ko˥˩ːu̯tsanjɛ
kolcanje	ko˩˥ːu̯tsanjɛ
kolebnica	kɔlɛpnɪtsa
koledar	kɔledar
koledž	ko˥˩ːlɛtʃ
koleno	kɔle˩˥ːnɔ
kolesariti	kɔlɛsa˩˥ːriti
kolidž	ko˥˩ːlitʃ
količina	kɔlitʃi˩˥ːna
kolo	ko˥˩ːlɔ
kolo	kɔlo˥˩ː
kolonializem	kɔlɔnˈialism
komaj	ko˥˩ːmaj
komar	komar
komar	kɔma˩˥ːr
komarček	kɔma˥˩ːrtʃək
komarček	kɔma˩˥ːrtʃək
komen	kɔːmən
komet	kɔme˥˩ːt
komet	kɔmit
komolec	kɔmo˥˩ːləts
komori	kɔmo˥˩ːri
kompas	ko˥˩ːmpas
kompas	kɔmpa˥˩ːs
komú	kɔmˌu
koncert	kontsɛrt
koncu	kontsu
kondenzator	kɔnˈdɛnzator
kondom	kɔndo˥˩ːm
konec	ko˩˥ːnəts
konj	ko˥˩n
konjar	kɔnja˩˥ːr
konjuh	kɔnju˥˩ːx
konjuh	kɔnju˩˥ːx
konkreten	kɔnkre˥˩ːtən
konkretno	kɔnkre˥˩ːtnɔ
konstanta	kɔnstantˈa
kontakten	kɔntaktɛn
kontinent	kɔntinɛ́nt
kontrabas	kontrabas
kontrabas	ko˥˩ːntraba˥˩ːs
konzul	ko˥˩ːnzul
konzulka	ko˥˩ːnzulka
konča	kontʃa
končam	kuntʃam
končen	ko˩˥ːntʃən
končno	ko˩˥ːntʃnɔ
kop	ko˥˩ːp
kopalke	kɔpalˈkɛ
kopalnica	kɔpalɲitsa
kopalnica	kɔpa˥˩ːlnitsa
kopalnici	kopalnitsi
kopati	ko˩˥ːpati
kopati	kɔpa˩˥ːti
kopel	ko˩˥ːpɛʋ
kopel	kɔpe˥˩ːl
koper	ko˩˥ːpər
koper	kɔpɛr
kopica	kɔpitsa
kopina	kɔpi˩˥ːna
kopirni	kɔpirni
kopito	kɔpi˩˥ːtɔ
kopje	ko˩˥ːpjɛ
kopneti	ko˥˩ːpnɛte
kopno	ko˥˩ːpnɔ
kopno	ko˩˥ːpnɔ
kopriva	kɔpriˈva
koprivnik	kɔpriuˈnik
korak	kɔra˥˩ːk
koreja	kɔrɛ́ːja
koren	kɔre˥˩ːn
koren	kɔrin
korenina	kɔrɛni˩˥ːna
korenje	kɔre˥˩ːnjɛ
korenje	kɔrɛ̀ːnjɛ
korenom	korɛnɔm
korenček	kɔrɛntʃak
koristi	koristi
koritnica	kɔritɲitsa
kornet	koːrnˈɛt
koromač	kɔrɔmaɾtʃ
korošec	kɔro˥˩ːʃəts
korošec	kɔrʊ̞ʃɛts
koroška	kɔro˥˩ːʃka
korupcija	kɔruptsja
koruza	kɔru˩˥ːza
kos	koɔ̞s
kos	ko˥˩ːs
kosilo	kɔsi˩˥ːlɔ
kosinus	ko˥˩ːsinus
kosinus	ko˥˩ːzinus
kositer	kɔsitə
kositer	kɔsi˩˥ːtər
kositi	ko˩˥ːsiti
kositi	kɔsi˥˩ːti
kositi	kɔsi˩˥ːti
kosmič	koˈsmitʃ
kosmulja	kɔsmu˩˥ːlja
kost	ko˥˩ːst
kost	kɔst
kostanj	ko˩˥ːstan
kostanja	kɔstaniˈa
kosti	kosti
kostnica	ko˥˩ːstnitsa
kot	ko˩˥ːt
kot	kɔt
kotnik	ko˥˩ːtnik
kovanec	kɔʋa˩˥ːnəts
kovač	kɔvatʃ
kovač	kɔʋa˩˥ːtʃ
kovina	ko˥˩ːvina
kovinski	kɔʋi˥˩ːnski
kovnica	ko˥˩ːʋnitsa
koza	ko˩˥ːza
koza	kɔzɑ
kozarce	kɔzartsɨ
kozarci	kɔzartsɛ
kozarec	kuzarɛts
kozarec	kɔza˥˩ːrəts
koze	kɔzɛ
kozel	ko˩˥ːzəʋ
kozmologija	kɔzmɔlɔgi˥˩ːja
kozolec	kozɔlɛts
kozorog	kɔzɔro˥˩ːk
kočevski	kɔtʃɛuski
kočija	kɔtʃia
kočija	kɔtʃi˥˩ːja
koš	ko˥˩ʃ
košara	koˈʃara
košara	kɔʃa˥˩ːra
košarka	kɔʃa˥˩ːrka
košuta	koˈʃuta
koža	koʒa
koža	ko˩˥ːʒa
kožica	kɔʒitsa
kraj	kra˥˩j
krajevno	kraʲæjɛnɔ
krajina	kra˥˩ːjina
krajina	kra˩˥ːjina
krajšava	krajʃa˥˩ːʋa
krajši	kra˥˩ːjʃi
kralj	kral
kraljestvo	kralje˥˩ːstʋɔ
kraljevina	kraljɛʋi˩˥ːna
kraljica	kralitsa
kraljica	kralji˩˥ːtsa
krap	kra˥˩p
krapi	krapɛ
kras	kra˥˩s
kras	kra˥˩ːs
krasen	krasan
krastača	krastatʃo
krastača	krasta˩˥ːtʃa
krasti	kra˩˥ːsti
kratek	kra˩˥ːtək
krater	kra˩˥ːtɛr
kratica	krati˩˥ːtsa
kratica	kɾatitsa
kratki	kratkʲi
kratkim	kratkɪm
kratko	kratkɔ
kratkovaloven	kratkɔʋalo˥˩ːʋən
krava	krava
krava	kra˩˥ːʋa
kravžati	kra˥˩ːʋʒati
kreda	kre˥˩ːda
krema	kre˥˩ːma
krempelj	kre˩˥ːmpəl
kremšnita	krɛmʃniːta
kremšnita	krɛmʃnjta
kreniti	krɛni˥˩ːti
kreniti	krɛni˩˥ːti
kres	kre˥˩ːs
kresnica	krɛsnʲitsa
kreta	kre˥˩ːta
krečič	kriːtʃitʃ
kri	kriː
kri	kri˥˩ː
krik	kri˥˩ːk
krilo	kri˥˩lɔ
krilo	kri˩˥ːlɔ
kriminaliteta	kɾiminaliteta
kripton	kripton
kripton	kri˥˩ːptɔn
kristal	krista˥˩ːl
kristalizacija	kristaliza˩˥ːtsija
kristjan	kristja˥˩ːn
kristus	kri˥˩ːstus
kriti	kri˩˥ːti
kriv	kriu
krivda	kriuda
krivda	kri˥˩ːʋda
krivica	krivitsa
krivoverec	kriʋɔʋe˥˩ːrəts
kričati	kritʃate
križ	kriʃ
križ	kri˩˥ːʃ
križanje	kri˥˩ːʒanjɛ
križanje	kri˩˥ːʒanjɛ
križanka	kri˥˩ːʒanka
krma	kə˩˥rma
krmin	kɛrmin
krog	kro˥˩ːk
krogla	kro˥˩ːgla
krogla	krɔgla
kroglo	kruklɔ
krogu	krugu
krokar	kro˥˩ːkar
krom	krom
krom	kro˥˩m
krom	kro˥˩ːm
krompir	krompʲir
krompir	krɔmpi˥˩ːr
krompir	krɔmpi˩˥ːr
krona	kro˥˩ːna
kronati	kro˥˩ːnati
krožna	kruʒna
krožnik	kro˥˩ːʒnik
krožniki	kro˥˩ːʒnʲi˩˥ːkʲi˥˩ː
krpa	kɯ̞rpa
krst	kɾɯ̞st
krsta	kə˩˥rsta
krt	kɔrt
krut	kru˥˩ːt
krutejši	kru˥˩ːtɛjʃi
krutejši	kru˩˥ːtɛjʃi
krušni	kruːʃni
krvaveti	kərʋaʋe˩˥ːti
krvnik	kruˈnik
krzno	krsna
krzno	kə˥˩rznɔ
krč	kə˥˩rtʃ
krčma	kɯ̞rʲtʃma
krčmar	kɯrtʃmar
krščanstvo	kərʃtʃa˥˩ːnstʋɔ
ksenofobija	ksɛnɔfɔbi˥˩ːja
ksenon	kse˥˩ːnɔn
ksilofon	ksilɔfo˥˩ːn
kuba	ku˥˩ːba
kuga	ku˩˥ːga
kuhan	kˈuxən
kuhana	kʊxana
kuhanje	kuxanʲe
kuhano	kuxanɔ
kuhar	ku˥˩ːxar
kuharica	kuxaritʃa
kuhati	ku˩˥ːxati
kuhinja	ku˩˥ːxinja
kuhinje	kuχinjɛ
kukavica	ku˩˥ːkaʋitsa
kuna	ku˩˥ːna
kunec	ku˥˩ːnəts
kunec	ku˩˥ːnəts
kunec	kʊnˈɛts
kup	ku˥˩p
kupa	ku˩˥ːpa
kupi	kupɛ
kupiti	kupi˥˩ːti
kupiti	kupi˩˥ːti
kupiti	ku˩˥ːpiti
kupovati	kupɔʋa˩˥ːti
kura	ku˩˥ːra
kurba	ku˥˩ːrba
kurbin	kurbɛn
kurdščina	ku˥˩ːrtʃtʃina
kurec	ku˥˩ːrəts
kurva	ku˥˩ːrʋa
kuščar	ku˥˩ːʃtʃar
kuščar	ku˩˥ːʃtʃar
kuščar	kʏʃtʃar
kuža	ku˥˩ːʒa
kvader	kvadɛr
kvadrat	kvadrat
kvadrat	kʋadra˥˩ːt
kvalitetni	kvalitɛtni
kvar	kʋa˥˩ːr
kvark	kʋa˥˩ːrk
kvartet	kʋarte˥˩ːt
kvas	kvˈas
kvas	kʋa˥˩ːs
kúra	kura
l	lˈæ
labod	labo˥˩ːt
ladja	la˩˥ːdja
lagati	laga˩˥ːti
lahek	la˩˥ːxək
lahko	laxko˥˩ː
lajati	la˥˩ːjati
lakota	la˩˥ːkɔta
lama	la˩˥ːma
lani	la˩˥ːni
lantan	lanta˥˩ːn
las	la˥˩ːs
las	lɑs
lasje	lasiˈɛ
lasni	lastni
last	la˥˩ːst
last	lˈæst
lastne	ˈlɑːstne
lastni	lastnʲ
lastnik	lastnˈik
lastnina	lastni˩˥ːna
lastno	lastnɔ
lastnost	lastno˥˩ːst
lastovica	la˩˥ːstɔʋitsa
lastovka	la˩˥ːstɔʋka
lasulja	lasˈuljːa
latinica	lati˥˩ːnitsa
latinski	lati˥˩ːnski
latinsko	latinsko
latinščina	lati˥˩ːnʃtʃina
latvija	la˩˥ːtʋija
latvijec	la˩˥ːtʋijəts
latvijka	la˩˥ːtʋijka
latvijski	la˩˥ːtʋijski
latvijsko	la˩˥ːtʋijskɔ
latvijščina	la˩˥ːtʋijʃtʃina
lavrencij	laʋre˩˥ːntsij
lavrič	lawritʃ
laziti	naziti
lačen	latʃɛ
lašče	laʃtʃe
laž	las
laž	la˥˩ːʃ
lažem	laʒɔm
lažji	la˥˩ːʒji
lažnivec	laʒni˥˩ːʋəts
le	lɛ́
led	le˥˩ːt
led	lˈeːt
ledenik	lɛdɛni˩˥ːk
ledeno	ledeno
ledolomilec	lɛdɔlɔmi˥˩ːlɛts
ledvica	lɛdʋi˩˥ːtsa
legenda	lege̞nda
legendaren	lɛgɛnda˥˩ːrən
leha	le˩˥ːxa
lek	le˥˩ːk
lektira	lektira
lemež	le˥˩ːmɛʃ
lemež	lɛ̀ːmɛʃ
len	le˥˩ːn
len	lɛ́n
lenariti	plenariti
lenivec	lɛni˥˩ːʋəts
leon	le˥˩ːɔn
lep	le˥˩ːp
lepa	lɛpɑ
lepega	lˈepeˈga
lepilo	lepilo
lepiti	le˩˥ːpiti
lepiti	lɛpi˥˩ːti
lepiti	lɛpi˩˥ːti
lepota	lɛpo˩˥ːta
lepota	lˈɛpˈɔta
lepotec	ləpɔtɛts
lepotica	lɛpʊtitsa
lepotička	lɛpɔtitʃka
lepši	le˥˩ːpʃi
les	le˥˩ːs
lesc	lists
leska	le˩˥ːska
lesketati	lɛskɛta˩˥ːti
lestenec	lespenets
lesti	le˩˥ːsti
lestvica	le˩˥ːstʋitsa
let	lɛ́t
leta	lət̪a
letališče	ljɛtaliʃtʃɛ
letališče	lɛtali˩˥ːʃtʃɛ
letališču	lətɔliʃtʃu
letalo	letalo
letalo	lɛta˩˥ːlɔ
letalom	letalom
letalu	letalo
letel	lˈeteo
leten	le˥˩ːtən
letenje	lɛteˈnjɛ
leteti	letete
leteti	lɛte˩˥ːti
letna	lɛtsna
letni	lɛtsni
letnica	lɛtnitsˈɑ
letno	lɛtsnɔ
leto	le˩˥ːtɔ
leto	lɛto
letopis	letupis
letos	letɔs
letovišča	lɛtɔviʃtʃa
letu	lɛtʊ
lev	leu
lev	lɛ́ʋ
levinja	lɛʋi˩˥ːnja
levinja	lɛ̀ːʋinja
levinja	lɛ́ːʋinja
lezbijka	le˩˥ːzbijka
leči	le˩˥ːtʃi
lešnik	le˩˥ːʃnik
lešnika	lɛʃnɛka
ležaj	lɛʒa˥˩ːj
ležati	leʒati
ležati	lɛʒa˩˥ːti
ležeč	dˈeʒˈɛtʃ
leži	lɛʒˈe
ležim	lɛgim
libanon	li˥˩ːbanɔn
liberalizem	liberalism
liberija	libɛ̀ːrija
libidinozen	libidino˥˩ːzən
libija	li˩˥ːbija
lice	li˥˩ːtsɛ
lice	li˩˥ːtsɛ
liga	li˩˥ːga
lijak	lija˩˥ːk
likalnik	lika˥˩ːlnik
likati	li˥˩ːkati
limona	limona
limona	limo˥˩ːna
limonada	limɔna˥˩ːda
limone	limone
linda	lində
lipa	lipˈa
lipa	li˩˥ːpa
lipe	lipe
lipovec	li˩˥ːpɔʋəts
lira	li˥˩ːra
lisica	lisi˩˥ːtsa
lisička	lisi˩˥ːtʃka
list	li˥˩ːst
list	lˈɪst
liter	litar
liter	li˩˥ːtər
literatura	litɛratu˥˩ːra
liti	litɪ
liti	li˩˥ːti
litij	li˩˥ːtij
litovec	li˩˥ːtɔʋəts
litovka	li˩˥ːtɔʋka
litovski	li˥˩ːtɔʋski
litovsko	li˥˩ːtɔʋskɔ
litovščina	li˩˥ːtɔʋʃtʃina
liturgija	liturgi˥˩ːja
litva	li˥˩ːtʋa
litva	lˈitva
lizati	liza˩˥ːti
lizati	li˩˥ːzati
lizbona	lizbo˥˩ːna
ličinka	litʃi˥˩ːnka
ličnica	li˥˩ːtʃnitsa
lišaj	liʃa˥˩ːj
ljubezen	ljube˥˩ːzən
ljubezen	ljuːbɛzɔn
ljubezni	lʲubʲezni
ljubeč	ljubɛ́tʃ
ljubijana	ljubiana
ljubimec	ljubimets
ljubit	lju˩˥ːbit
ljubiti	ljubi˥˩ːti
ljubiti	ljubi˩˥ːti
ljubiti	lju˥˩ːbiti
ljubiti	lju˩˥ːbiti
ljubljana	ljublja˩˥ːna
ljubljanica	ljubljaɫjitsa
ljubljano	ljubljano
ljubljenje	lju˥˩ːbljɛnjɛ
ljubljenje	lju˩˥ːbljɛnjɛ
ljubomir	ljuːbɔmɪr
ljubosumnejši	ljubɔsu˩˥ːmnɛjʃi
ljubosumnost	ljubɔsu˩˥ːmnɔst
ljubček	ljuptʃək
ljudski	lju˥˩ːtski
lobanja	lɔba˩˥ːnja
log	lo˥˩ːk
logar	lugar
logaritemski	lɔgaritɛmski
logatec	logateˈts
logik	lɔgik
logičen	lɔgitʃɔn
loj	lˈɔɪ
lojalen	lojalən
lojzka	lɔjʃka
lok	lo˥˩ːk
loka	loka
lokacija	lɔka˩˥ːtsija
lokal	lɔkɑl
lokati	lo˩˥ːkate
lokativ	lo˥˩ːkatiʋ
lokomotiva	lɔkɔmɔti˥˩ːʋa
lom	lo˥˩m
lombardija	lɔmbardi˥˩ːja
lomiti	lɔmi˥˩ːti
lonec	lo˩˥ːnəts
lonec	lɔːnɛts
lonček	lɔntʃɛk
lopata	lɔpa˩˥ːta
lopata	lˈˈopːata
lopate	lˈopːate
lopov	lo˥˩ːpɔʋ
loputati	lopˈutatˈi
los	lo˥˩ːs
losos	lo˥˩ːsɔs
