ئا	a
بارمايلا	bɑrmɑjlɑ
بارمۇ	bɑrmu
بازار	bɑzɑː
بازارلا	bɑzɑrla
بازىرى	bɑzirɨ
باس	bɑs
باسالماي	bɑsɑlmɑj
باستى	basti
باستىم	bastim
باسسا	bɑssɑ
باسقان	bɑsqɑn
باش	bɑʃ
باشتا	baʃtɑ
باشقا	bɑʃqɑ
باشقۇرسا	baʃqursɑ
باشقىلار	bilɛn
باشقىلار	sɛn
باشلاپ	bɑʃlɑp
باشلاپتۇ	bɑʃlɑptu
باشلاڭ	bɑʃlɑŋ
باشلاندى	bɑʃlɑnti
باغ	wɑrɑn
باغدا	baʁdɑ
باقار	bɑqɑr
باقاي	bɑqɑj
باقساق	bɑqsɑq
باققان	bɑqqɑn
باققۇم	bɑqqum
باقما	bɑqmɑ
باقماي	bɑqmɑj
باقى	bɑqi
باقىدۇ	bɑqɪdu
بال	bɑl
بالا	bɑlɑ
بالا	bir
بالاڭ	bɑlɑŋ
بالام	bɑlɑm
بالامنى	bɑlɑmni
بالىلار	bɑlilɑr
بالىلارمۇ	bɑlilɑrmu
بالىلارنىڭ	biri
بالىنى	bɑlini
بانان	bɑnɑn
باھا	bɑhɑ
باھارى	bɑhɑri
باھانە	bɑhɑnɛ
باي	bɑj
باي	bilɛn
بايا	bɑjɑ
بايانلار	bɑjɑnlɑr
باياۋان	bɑjɑwɑn
بايرام	bɑjrɑm
بايغا	bajʁa
بايقاپ	bɑjqɑp
بايقاش	bɑjqɑʃ
بايقالدى	bɑjqɑldi
بايلار	bɑjlɑr
بايلىق	bɑjlɪq
بايمۇ	bɑjmu
بەتلىرى	bɛtlɪri
بەدەل	bɛdɛl
بەدەن	bɛdɛn
بەدەن	wɛ
بەر	bɛr
بەرپاچى	u
بەردى	bɛrdi
بەردىڭ	pɛrdɪŋ
بەردىم	bærdim
بەرسە	bɛrsɛ
بەرسەم	bɛrsɛm
بەرسۇن	bɛrsun
بەرگەن	bɛrgɛn
بەرمىدىم	bɛrmidim
بەرىبىر	bɛribir
بەز	bɛz
بەزى	bɛzɨ
بەس	bɛs
بەش	bɛʃ
بەش	bilɛn
بەشتىن	bɛʃtin
بەك	bɛk
بەگ	bɛg
بەل	bɛl
بەلكى	u
بەلگە	bɛlgɑ
بەھۇزۇر	ʔɑŋlitim
بوپتىكەن	poptikɛn
بوز	boz
بوش	boʃ
بوشاپ	boʃɑp
بول	bol
بولاتتى	bolatti
بولار	bolɑr
بولارمىش	bolɑrmiʃ
بولالماي	bolɑlmaj
بولالمايدۇ	bolɑlmɑjdu
بولامدۇ	bɔlɑmdu
بولايلى	bolɑjli
بولدۇم	boldum
بولدى	bir
بولدى	bɔldɨ
بولسا	bɔlsɑ
بولسا	mɛrhumɛ
بولسا	sɛn
بولساق	bolsɑq
بولساڭ	bolsaŋ
بولسام	bɔlsɑm
بولسىلا	bolsɪla
بولسىلا	u
بولغاچقا	ulɑr
بولغان	bir
بولغان	bolʁan
بولغانىكەنمەن	bu
بولغىن	bolʁin
بولكا	bolkɑ
بولما	bolmɑ
بولماس	bɔlmas
بولماسلىقى	bilɛn
بولماق	bolmɑq
بولماي	bolmɑj
بولمايدۇ	polmɑjdu
بولمىدى	bolmidi
بولمىسا	bolmɪsɑ
بولمىغان	bolmɨʁan
بولۇپ	bolup
بولۇپ	qɑldi
بولۇپ	qɑlmɑmdu
بولۇپتۇ	boluptu
بولۇر	bolur
بولۇشتۇر	boluʃtur
بولۇشنى	boluʃni
بولۇشنىڭ	boluʃniŋ
بولۇشىنى	boluʃinɨ
بولىسىلەر	bolɪsilɛr
بوۋاڭ	bilɛn
بوۋاممۇ	bowɑmmu
بوۋاي	bowaj
بوي	boj
بويتاق	bojtɑq
بويلاپ	bɔjlɑp
بويۇن	bojun
بويى	bɔji
بويىچە	bojitʃɛ
بويىدا	bojidɑ
بۆرە	børɛ
بۆرەك	børɛk
بۆز	bøz
بۆسۈپ	bøsip
بۆك	bøk
بۇ	bu
بۇ	jɛrdɛ
بۇ	tɑzɑ
بۇراپ	burɑp
بۇرادەر	burɑdɛr
بۇرچۇم	burtʃum
بۇرۇت	burut
بۇرۇن	burun
بۇزسا	buzsa
بۇزمايلى	buzmɑjli
بۇزۇلار	buzulɑr
بۇزۇلسا	buzulsa
بۇغداي	buʁdɑj
بۇقا	buqɑ
بۇلارنى	bulɑrni
بۇلاق	bulɑq
بۇلبۇل	bulbul
بۇلماق	bulmɑq
بۇلۇت	bulut
بۇمۇ	bumu
بۇنچە	buntʃɛ
بۇنداق	bundaq
بۇنداق	iʃ
بۇنى	bunɪ
بۇيرۇ	bujru
بۇيرۇپ	bujrup
بۈگۈن	bigyn
بۈگۈندىن	bɑʃlɑp
بىچارە	bitʃare
بىر	bir
بىر	dʒyp
بىر	pɛn
بىراق	bɤrɑq
بىر-بىر	birbir
بىرلەپ	birlɛp
بىرەر	bɪrɛr
بىرى	biri
بىرىگە	zit
بىرىگە	ʔot
بىرىنچى	birintʃi
بىرىنى	birɪni
بىز	piz
بىزار	bɪzɑr
بىزدە	bizdɛ
بىزدەك	pɨzdɛk
بىزدىن	bizdin
بىزگە	bizgɑ
بىزلەر	bizlɛr
بىزمۇ	bɨzmu
بىزنىمۇ	biznimu
بىشەم	biʃɛm
بىكار	pikɑr
بىگۇناھ	bɑlɑ
بىگىز	bigiz
بىل	bil
بىلال	bilɑl
بىلسە	bɪlse
بىلگىلى	bilgɪlɪ
بىللە	bɪllæ
بىللە	bu
بىلمەسنى	bir
بىلمەيلا	bilmɛjla
بىلمىگەن	bilmigɛn
بىلەتتى	bilɛttɨ
بىلەر	bilɛr
بىلەلمەي	bɪlɛlmɛj
بىلەن	bilɛn
بىلەن	gɛp
بىلەن	kirip
بىلەن	ʔuzun
بىلەنمۇ	bilɛnmu
بىلىپ	bɨlip
بىلىم	bilɪm
بىنالار	bɪnɑlar
بېرى	beri
بېرى	tur
بېرىپ	berɪp
بېرىپسىزغۇ	bu
بېرىدۇ	beridu
بېرىشىم	beriʃim
بېرىلدى	birildi
بېزەك	bizɛk
بېزەلسۇن	bezɛlsum
بېزى	bezi
بېسىش	besiʃ
بېشىغا	beʃiʁɑ
بېشىڭ	beʃɨŋ
بېلەت	belɛt
بېلى	beli
بېلىم	bilim
پات	pat
پار	pɑr
پاراسەت	bilɛn
پاراڭ	pɑrɑŋ
پاراڭلار	parɑŋlɑr
پارلاق	pɑrlɑq
پاش	pɑʃ
پاشا	pɑʃɑ
پاششاپ	pɑʃʃɑp
پاقا	pɑqɑ
پاك	pɑk
پاڭ	pɑŋ
پاڭمۇ	pɑŋmu
پال	pɑl
پالاتا	pɑlɑtɑ
پالاق	pɑlɑq
پالاقلاپ	pɑlɑqlɑp
پالاقنى	pɑlɑqni
پال-پال	pɑlpɑl
پاناھ	pɑnɑh
پاھ	pɑh
پايدا	pɑjdɑ
پايلار	pɑjlɑr
پەردە	pɛrdɛ
پەرمان	pɑrmɑn
پەرمۇدە	pɛrmudɛ
پەرەز	pɛrɛz
پەزىلەتنى	pɛzilɛtni
پەس	pɛs
پەستە	pɛstɛ
پەسىل	pɛsil
پەش	pɛʃ
پەن	pɛn
پەند	pɛnd
پەيتى	pɛjtɪ
پەيدا	pejtɑ
پوپ	pop
پوستى	posti
پويىز	pojiz
پۇت	put
پۇتاق	putɑq
پۇرسەت	pursɛt
پۇشايمان	puʃɑjmɑn
پۇقرا	puqrɑ
پۇقرالار	puqrɑlɑr
پۇل	gɛp
پۇل	pul
پۇلى	puli
پۈتكۈل	pytkyl
پۈتۈپ	pytyp
پىت	pit
پىچاق	pitʃɑq
پىچان	pitʃɑn
پىرى	piri
پىش	piʃ
پىشاڭ	piʃɑŋ
پىشماسمىش	piʃmasmiʃ
پىكاپ	pikap
پىكىرنى	pikirni
پىلدەك	pildɛk
پىلە	pilɛ
پىلىك	pilik
پېتىپ	petip
پېرۇ	peru
پېقىر	peqir
تا	tɑ
تائەت	tɑʔɑt
تاپ	tɑp
تاپاتتىم	tɑpɑttɪm
تاپالايسىز	tɑpɑlɑjsɪz
تاپالماپتۇ	tapalmaptu
تاپاۋەت	tɑpɑwɛt
تاپتى	tɑpti
تاپتىم	tɑptɨm
تاپسام	jɛjmɛn
تاپسۇن	tɑpsum
تاپشۇرۇپ	tɑpʃurup
تاپقان	tɑpqɑn
تاپماپتۇ	tɑpmɑptu
تاپماس	tɑpmas
تاپماڭ	tɑpmɑŋ
تاتارچە	tatartʃɛ
تاتلىق	tɑtlɪq
تاجاۋۇز	tɑdʒɑwuz
تاجى	tɑdʒɨ
تار	tɑr
تاراپ	tɑrap
تاراپ	uni
تاراقلايدۇ	tɑrɑqlɑjdu
تارام	jɑʃ
تارت	tɑrt
تارتۇق	tɑrtuq
تارقىتىپ	tɑrqitip
تارماق	tɑrmɑq
تارىخ	tɑrɪx
تارىخىنى	tɑrixini
تاز	tɑz
تازا	tɑzɑ
تازىلايدىغان	tɑzɨlɑjdɪʁɑn
تاس	tɑs
تاسقاپ	tɑsqɑp
تاسلا	tɑslɑ
تاسما	tɑsmɑ
تاش	tɑʃ
تاشلاپ	tɑʃlɑp
تاشلار	tɑʃlɑr
تاشلاش	taʃlɑʃ
تاغ	tɑʁ
تاغ	tɑzɑ
تاق	tɑq
تاقا	tɑqɑ
تاقىر	tɑqɪr
تاڭ	tɑŋ
تال	tɑl
تالادەك	tɑlɑdɛk
تالاشتى	tɑlɑʃti
تالدا	tɑldɑ
تاللا	tɑllɑ
تاللاپ	tɑllɑp
تاللاڭ	tɑllɑŋ
تالماي	tɑlmɑj
تالىشىپ	ʔotʃɑq
تام	tɑm
تاما	køl
تاما	tɑmɑ
تاماق	tɑmɑq
تاماققا	tɑmɑqqɑ
تامام	tɑmɑm
تامامەن	tamɑmɛn
تامدەك	tɑmdɛk
تاملىرى	tɑmliri
تاھىر	tɑhir
تاياق	tɑjɑq
تاياققا	tɑjɑqqɑ
تەپ	tɛp
تەپتى	tɛpti
تەپتىش	tɛptiʃ
تەپتىم	tɛptɨm
تەپەككۇر	tɛpɛkkur
تەتىلدە	tætɨldæ
تەدبىر	tɛdbir
تەر	tɛr
تەربىيەسىنى	ʔøz
تەرتىپ	tɛrtip
تەرلەپ	tɛrlɛp
تەز	tɛz
تەس	tɛs
تەسنىپ	tɛsnip
تەسۋىر	tɛswɪr
تەسىر	tɛsir
تەسىرلىك	tɛsirlik
تەشنا	teʃnɑ
تەق	tɛq
تەقسىر	tɑqsir
تەكتى	tɛkti
تەكلىپ	tɑklɪp
تەڭ	tɛŋ
تەڭدېشى	joq
تەڭرى	tɛŋri
تەڭلا	tɑŋlɑ
تەلپەك	tɛlpɛk
تەلھە	tɛlɦɛ
تەلەپ	tɛlɛp
تەلۋە	tɛlwɛ
تەلىپى	tɛlipi
تەلىيى	jɑr
تەمبەل	tɛmbɛl
تەمبۇر	tɛmbur
تەمنى	tɛmni
تەن	tɛn
تەندە	tɛndɛ
تەنھا	tɛmhɑ
تەنە	tɛnɛ
تەۋە	tɛvɛ
تەييار	tɛjjar
توپ	top
توپا	topɑ
توپتا	toptɑ
توپلاش	toplɑʃ
توپلاش؛	toplɑʃ
توپلام	toplɑm
توپلايدۇ	toplɑjdu
توپلۇم	tɔplum
توختام	tɔχtɑm
تور	tor
توردا	tordɑ
تورداشلار	tordɑʃlɑr
تورلاشقان	torlaʃqɑn
تورنى	torni
تورۇس	torus
تورۇق	toruq
توزۇپ	tɔzup
توشقان	toʃqɑn
توشۇپ	toʃup
توغرا	tɔʁrɑ
توغرىسىدىكى	bilɪm
توق	toq
توقال	tɔqɑl
توقاي	toqɑj
توققۇز	tɔqquz
توقلاپ	toqlɑp
توقۇپ	toqup
توقۇم	tɔqum
توقۇمنى	toqumni
توك-توك	toktok
تولا	tolɑ
تولماي	tɔlmɑj
تولى	tɔli
تومۇز	tɔmuz
تونۇر	tɔnur
تونۇشقا	tonuʃqɑ
تونۇشنى	wɛ
توۋا	tɔwa
توي	toj
تويسىمۇ	tojsimu
تويلار	tojlɑr
تويماس	tojmɑs
تويمۇ	tojmu
تۆتنى	ʔɑlsɑ
تۆكۈلەر	tøkylɛr
تۆگە	tøgɛ
تۆۋەن	tøwɛn
تۇت	tut
تۇتاي	tutɑj
تۇتۇپ	sɛl
تۇچ	tutʃ
تۇر	tur
تۇرامدۇ	turɑmdu
تۇراي	turɑj
تۇرايلى	turɑjli
تۇردۇق	turduq
تۇرساڭ	tursɑŋ
تۇرسۇن	tursun
تۇرسۇن	turup
تۇرغىن	mæn
تۇرغىنى	bilɛn
تۇرماق	turmɑq
تۇرمايدۇ	turmɑjdu
تۇرمۇش	turmuʃ
تۇرمۇشتا	bɑr
تۇرمۇشتا	turmuʃtɑ
تۇرمۇشنى	turmuʃni
تۇرمۇشى	turmuʃi
تۇرمۇشىمىز	turmuʃimiz
تۇرۇپ	turup
تۇرۇپ	u
تۇرۇپ	uni
تۇرۇپتۇ	turuptu
تۇرۇس	turus
تۇرۇش	turuʃ
تۇرۇشسا	turuʃsa
تۇرۇشى	turuʃi
تۇز	tuz
تۇزلار	tuzlɑr
تۇغقان	jɑr
تۇغقانلار	bilɛn
تۇغما	tuʁmɑ
تۇلۇمدەك	tulumdɛk
تۇمار	tumar
تۇنجى	tor
تۇياق	tujɑq
تۈرمىدىن	qɑtʃqɑn
تۈز	tyz
تۈك	tyk
تۈكى	tyki
تۈگمىدەك	tygmidɛk
تۈگەپ	tygɛp
تۈگەر	tygɛr
تۈلكە	tylkɛ
تىترەپ	put
تىرىك	tirɨk
تىرىكلىك	tirɪklɪk
تىز	tɪz
تىزىملاش	tizimlaʃ
تىكىپ	tikip
تىل	til
تىلەك	tilɛk
تىلەيدىغان	bolup
تىلەيمەن	tilɛjmɛn
تىلى	turup
تىلىدىن	bilɛr
تىمەن	timɛn
تىيىن	tijin
تېپىپ	ʔømri
تېرىپ	terip
تېز	tez
تېزلا	tezlɑ
تېشى	teʃi
تېگىدىن	tegidin
تېگىشلىك	tegɪʃlɪk
تېما	temɑ
تېمىنى	timini
تېنى	teni
جاپاكەش	dʒɑpɑkɛʃ
جاز	dʒɑz
جازا	dʒɑzɑ
جازاسى	dʒɑzɑsi
جازالار	dʒazɑlɑr
جازالاش	dʒɑzɑlɑʃ
جاڭ	dʒɑŋ
جاڭگال	dʒɑŋgɑl
جان	dʒɑm
جانان	dʒɑnɑn
جانسىز	dʒɑnsɪz
جاھان	dʒɑhɑm
جاۋابى	dʒɑwɑbi
جاۋاپ	dʒɑwɑp
جاي	dʒɑj
جەزمەن	dʒɛzmɛn
جەسۇر	dʒɛsur
جەڭ	dʒɛŋ
جەڭلەردە	bolup
جەم	dʒɑm
جەھلى	bilɛn
جۇدا	dʒudɑ
جۇۋا	dʒuwa
جۈپ	dʒyp
جۈمە	dʒymɛ
جىق	bu
جىق	dʒiq
جىگەر	dʒigɛr
جىگەرنى	dʒigɛrni
جىگىرى	dʒigiri
جىمجىت	dʒɨmdʒɨt
جىمىپ	dʒɨmip
جىن	dʒin
جىنايەت	dʒinɑjɛt
جىنايىتى	dʒinajiti
جېنىم	dʒenim
چاپ	tʃap
چاپتىم	tʃɑptɪm
چاپسام	tʃɑpsɑm
چاپقان	tʃɑpqɑn
چاپلىما	tʃɑplɨmɑ
چاتاق	tʃatɑq
چاتما	tʃɑtmɑ
چاچ	tʃɑtʃ
چار	tʃɑr
چارچاپ	tʃɑrtʃɑp
چارچاپلا	tʃɑrtʃapla
چارە	tʃɑrɛ
چارەك	tʃɑrɛk
چارۋىچىلىق	ʔɑsɑs
چاغ	tʃaʁ
چاغدا	tʃɑʁdɑ
چاق	tʃɑq
چاقاي	tʃɑqɑj
چاقچاق	tʃɑqtʃɑq
چاقماقلار	tʃɑqmɑqlɑr
چاڭگا	tʃɑŋgɑ
چالار	tʃɑlɑr
چالالايدۇ	tʃɑlɑlɑjdu
چالسام	tʃɑlsɑm
چالغۇلار	tʃalʁulɑr
چانا	tʃana
چاي	tʃɑj
چايان	tʃɑjɑn
چايقا	tʃajqɑ
چايقاپ	tʃɑjqɑp
چايناپ	tʃɑjnɑp
چەت	tʃɑt
چەتتە	tʃɛttɛ
چەش	tʃɛʃ
چەكتىم	tʃɛktɪm
چەكسىز	tʃæksiz
چەكلەش	tʃɑklɛʃ
چەكمەي	tʃɛkmɛj
چەمبەرگە	tʃæmbɛrgɛ
چوشقا	tʃoʃqɑ
چوقۇلاپ	tʃoqulɑp
چوقۇم	tʃoqum
چوكا	tʃokɑ
چوڭ	tʃoŋ
چوڭقۇر	tʃɔŋqur
چوڭلار	tʃoŋlɑr
چوڭلارمۇ	tʃoŋlɑrmu
چولپان	tʃolpɑn
چۆپلەر	tʃøplɛr
چۆچەك	tʃøtʃɛk
چۆرگىلەپ	tʃørgilɛp
چۆكمەكتە	tʃøkmɛktɛ
چۆگۈن	tʃøgyn
چۆل	tʃøl
چۆلگە	tʃølgɛ
چۆللۈكتىن	kældim
چۆمدى	tʃømdi
چۆمەتتى	tʃømɛttɪ
چۇقان	tʃuqɑm
چۇلۋۇرىنى	sɛn
چۈش	tʃyʃ
چۈشەر	tʃiʃɛr
چۈشەنمەي	turup
چۈشۈپ	qɑlʁɑn
چۈشۈپ	tʃiʃyp
چۈشۈرۈپ	tʃyʃyryp
چى	tʃi
چىپ	tʃip
چىداپ	tʃidap
چىراي	tʃirɑj
چىرايلىق	bu
چىرايلىق	qɑr
چىرايلىقمەن	tʃirɑjlɪqmæn
چىش	tʃiʃ
چىشلىشەر	tʃiʃliʃɛr
چىقار	tʃiqɑr
چىقالمايدۇ	tʃiqɑlmɑjdu
چىقاي	tʃiqɑj
چىقتى	tʃiqtɪ
چىقساڭ	bolup
چىققان	bilɛn
چىققان	bir
چىقىپ	qɑldi
چىقىپ	tʃiqɪp
چىقىپ	uni
چىقىدۇ	sɨz
چىقىدۇ	tʃɪqɪdu
چىقىرىپ	jɑʃɑʃ
چىقىرىپ	tʃiqirip
چىقىش	tʃiqɨʃ
چىقىم	tʃiqim
چىڭ	tʃiŋ
چىلان	tʃilan
چىمەن	tʃimɛn
چېتىپ	tʃetip
چېتىگە	tʃetigɛ
چېچەكنى	jɑzdɑ
چېچىپ	tʃetʃip
چېچىلىپ	tʃetʃilip
چېچىم	tʃetʃim
چېكى	tʃiki
چېلەك	tʃelɛk
چېلىپ	tʃelip
چېيى	tʃeji
خاس	χas
خاسىيەتنىڭ	xɑsijɛtnɪŋ
خالاس	xɑlas
خالايىق	ɛgɛr
خالىس	xɑlɪs
خامۇش	xɑmuʃ
خانىۋەيران	bolatti
خەپ	xɛp
خەت	χæt
خەتنىمۇ	xɑtnimu
خوجام	xodʒɑm
خوش	qɑq
خوش	xoʃ
خوش	xɔʃ
خۇدا	xudɑ
خۇرسەن	xursɛn
خۇمار	xumɑr
خىش	xiʃ
خىلى	xili
خىيال	χɨjɑl
خېلى	χili
دا	dɑ
داپ	dɑp
دات	dɑt
داتلاشماس	dɑtlɑʃmɑs
دادا	dɑdɑ
دادا	dɑp
دادام	tɑtɑm
دادامنىڭ	dɑdɑmniŋ
دار	dɑr
داستانىمۇ	dɑstɑnimu
داق	dɑq
داڭگال	dɑŋgɑl
دام	dɑm
دان	dɑn
دانا	danɑ
داۋا	dɑwɑ
داۋالاش	dɑwɑlɑʃ
داۋام	tɑwɑm
داۋان	dɑwɑn
دە	dɑ
دەپ	tɛp
دەپ	turmɑj
دەپتۇ	dɛptu
دەپتۇ	ʔøtʃkɛ
دەپسەندە	dɛpsɛndɑ
دەپلا	dɛplɑ
دەپمۇ	tɛpmu
دەتالاش	dɛtɑlɑʃ
دەر	dɛr
دەردى	turup
دەردىدە	dɛrdidɛ
دەردىگە	dærdɨgɛ
دەرس	dɛrs
دەرمانىم	bɑlɑm
دەرەخ	dærɛx
دەرەخلىكتىن	bir
دەرۋازا	dɛrwɑzɑ
دەرۋەقە	dærwɛqɛ
دەريا	dɑrjɑ
دەريالار	dɛrjɑlɑr
دەس	dɛs
دەستىلىك	dɛstilik
دەسسەيدۇ	dɛssɛjdu
دەسلەپ	dɛslɛp
دەل	dɛl
دەملەپ	dɛmlɛp
دەۋر	bu
دەيدىغان	gɛp
دەيمىز	dɛjmiz
دورا	torɑ
دوست	dost
دولان	dɔlɑn
دۆشە	døʃɛ
دۆلەت	dølɛt
دۆلەتتە	dølɛttɛ
دۆلەتلەرنىڭ	dølɛtlɛrniŋ
دۆلەتلىك	dølɛtlik
دۆلىتى	dølɪti
دۆۋە	døwɛ
دۇچ	dutʃ
دۇنيا	wɛ
دۈشمەن	tyʃmen
دۈشمەنگە	zar
دىڭ	dɨŋ
دىل	dɨl
دىل	søzi
دىلبەر	dilbɛr
دىلى	bilɛn
دىن	din
دىنى	dini
دېدى	biri
دېدىم	tidim
دېسەم	qɑrɑ
دېسىلە	disilɛ
دېگەن	qɑrɑp
دېگەننىڭ	tɑzɑ
دېگەننىمۇ	tɑʃlɑp
دېمەك	demɛk
دېمەيدىغان	gɛp
دېھقانچىلىق	bilɛn
رازى	bolup
رازى	rɑzi
راسا	rɑsɑ
راستلا	rɑstlɑ
راستما	rastmɑ
راسلاپ	rɑslɑp
راك	rɑk
رام	rɑm
رەت	rɛt
رەسىم	ræsim
رەكەت	rɛkɛt
رەنا	rɑnɑ
رەھمەت	ræhmɛt
رەھمەت	sɨz
روشەن	rɔʃɛn
رومال	romal
رومان	romɑn
رومانلار	romɑnlɑr
روھى	roɦi
روھىڭ	rohiŋ
رىم	rim
زات	zat
زار	zar
زال	zɑl
زامان	zɑmɑm
زامانى	zɑmɑni
زاھىر	zahir
زاۋال	zɑwɑl
زەبەردەس	zɛbɛrdɛs
زەپمۇ	zɛpmu
زەر	zɛr
زەربە	zɛrbɛ
زەرەر	zɛrɛr
زەن	zɛn
زەنجىۋىل	zɛndʒiwil
زەھەر	zɛhɛr
زور	zɔr
زوردۇن	zordun
زۇكام	zukɑm
زۇلۇم	zulum
زۇمرەت	zumrɛt
زۇۋان	zuwɑn
زىت	zit
زىل	zil
زېرەك	zerɛk
زېرىكىپ	zerikip
زېمىن	zimin
زېمىندار	zimindɑr
زېمىننىڭ	ʔɑwɑt
سائەت	saʔɛt
ساپ	sɑp
ساپا	sɑpɑ
ساپال	sɑpɑl
ساپان	sɑpɑn
ساپتۇ	sɑptu
ساتىراش	tɛp
سادا	sɑdɑ
ساداسى	sadasi
ساددا	sɑddɑ
سادىر	sadɪr
سار	sɑr
ساراڭ	sɑraŋ
ساراي	sɑrɑj
سارايلاردىن	wɛ
سارنى	sɑrni
ساز	sɑz
سازاۋەر	turup
ساغلام	jɑʃɑp
ساغلاملىقى	wɛ
سافا	sɑfɑ
ساق	sɑq
ساقال	sɑqɑl
ساقال	søz
ساقچى	sɑqtʃi
ساقلاپ	sɑqlap
ساقلاڭلار	saqlɑŋlɑr
ساقلايدۇ	sɑqlɑjdu
ساقىت	sɑqɪt
ساڭا	sɑŋa
سال	sɑl
سالا	sɑlɑ
سالام	salɑm
سالچىلار	sɑltʃilɑr
سالدۇق	sɑlduq
سالدى	sɑldi
سالدىم	sɑldim
سالماي	sɑlmɑj
ساما	sɑmɑ
سامان	sɑmɑn
سان	sɑn
سانالمايدۇ	sɑnɑlmɑjdu
سانايدۇ	sɑnɑjdu
سانايمەن	sɑnɑjmæn
ساندا	sɑndɑ
ساندۇق	sɑnduq
ساندىن	sɑndin
سانلار	sɑnlar
سانىسا	sɑnisa
ساھە	sɑhæ
ساۋاتلار	sɑwɑtlɑr
ساي	sɑj
سايرام	sɑjrɑm
سايە	sɑjɛ
سايەڭ	sɑjɛŋ
سايىسى	joq
سەپ	sɛp
سەپسەتە	sɛpsɛtɛ
سەپلەپ	bɑj
سەپەر	sɛpɛr
سەپەرنى	sɛpɛrni
سەت	sɛt
سەدىقە	sɛdiqɑ
سەرخىلى	sɛrxili
سەركە	sɛrkɛ
سەكسەن	sɛksɛn
سەككىز	sɛkkiz
سەل	sɛl
سەمىمىيلىك	wɛ
سەن	sɛn
سەھىپىلىرىدىكى	bir
سەي	sɛj
سوئالنى	køp
سوت	sot
سوتقا	sotqa
سوراپ	qɑldi
سوراپ	sorɑp
سوراپتۇ	u
سوراي	soraj
سورىغان	bilɪm
سوقۇپ	soqup
سول	sol
سولا	sɔlɑ
سوم	sɔm
سۆز	søz
سۆزگە	søzgɛ
سۆزلە	søzlɛ
سۆزلەپ	søzlɑp
سۆزلەپتۇ	søzlɛptu
سۆزلەر	søzlɛr
سۆزلەردە	søzlɛrdɛ
سۆزلەرلا	søzlɛrlɑ
سۆزلەرنى	søzlɑrni
سۆزلەش	søzlɛʃ
سۆزلىرى	bilɛn
سۆزلىسەم	søzlisɛm
سۆزلىشىپ	søzliʃɪp
سۆزنى	søzni
سۆزى	søzi
سۆزىڭىزنى	tɑllɑp
سۆزىگە	søzɪgɛ
سۆك	søk
سۆگەل	søgɛl
سۆھبەت	søhbɛt
سۆيگەن	søjgɛn
سۆيمەك	søjmɛk
سۆيەرلىكى	wɛ
سۆيۈپ	søjip
سۇ	bolup
سۇ	su
سۇدا	suda
سۇدان	sudan
سۇس	sus
سۇلار	sulɑr
سۇمباتلىق	bir
سۇمبۇل	sumbul
سۇناي	sunɑj
سۇنايلى	sunɑjli
سۇندۇم	sundum
سۇندى	sundi
سۇنۇپ	suŋup
سۈبھى	sybhi
سۈپەتلەردۇر	sypɛtlɛrdur
سۈت	syt
سۈرگۈنگە	syrgyngɛ
سۈرەت	syrɛt
سۈرەي	syrɛj
سۈرۈشتە	syryʃtɛ
سۈزۈك	syzyk
سىر	sir
سىز	sɨz
سىزدىن	sizdin
سىزگە	sizgæ
سىزلەر	sɨzlɛr
سىزمۇ	sizmu
سىزنى	sizni
سىزنىڭ	siznɨŋ
سىزىش	siziʃ
سىلەر	silær
سىلى	sili
سىناپ	sinap
سىنىپ	sɨnip
سىنىپتىن	sɪnɪptin
سېپى	sepi
سېمىز	semiz
شاپ	ʃɑp
شاپتۇل	ʃɑptul
شار	ʃɑr
شارپا	ʃɑrpa
شارى	ʃɑri
شاكىر	ʃɑkir
شاكىلى	ʃɑkili
شال	ʃɑl
شالاڭلاپ	ʃɑlɑŋlɑp
شالدىرلاپ	ʃɑldirlɑp
شام	ʃɑm
شامال	ʃɑmɑl
شامالدىن	ʃɑmɑldin
شاماللار	ʃɑmɑllar
شامالمۇ	ʃɑmɑlmu
شامال-ھە	ʃɑmɑlhɛ
شامان	ʃɑmɑn
شاملىرى	ʃɑmliri
شامنىڭ	ʃɑmnɨŋ
شان	ʃɑn
شاھ	ʃɑh
شاھنى	ʃɑhni
شايار	ʃɑjɑr
شەربىتى	bilɛn
شەرت	ʃɛrt
شەرق	ʃɛrq
شەرمى	ʃɛrmi
شەكلىم	ʃɛklim
شەكىللەر	ʃɛkillɛr
شەھەر	ʃɛhɛr
شەھەركەن	ʃɛhɛrkɛn
شەيتان	ʃɛjtɑn
شوخ	ʃox
شور	ʃor
شورپا	ʃɔrpɑ
شولا	ʃolɑ
شۆھرەت	ʃøhrɛt
شۆھرەتكە	rɛzɪl
شۇكى	ʃuki
شۇڭ	ʃuŋ
شۇڭا	ʃuʁɑ
شۇڭلاشقا	ʃuŋlaʃqɑ
شۇلار	ʃulɑr
شۇلاردەك	ʃulɑrdɛk
شۇلارنى	ʃulɑrni
شۇم	ʃum
شۇنداق	kitʃik
شۇنداق	tʃoŋ
شۇنىسى	ʃunisi
شۈك	ʃyk
شىر	ʃir
شىركەت	ʃirkæt
شىرە	ʃirɑ
شىرەدىكى	ʃirɛdikɪ
شىسەي	ʃisɛj
شىمال	ʃimal
شىنجاڭ	ʃindʒɑŋ
شېكەر	ʃekɛr
غازاڭدەك	ʁɑzɑʁdæk
غايەت	ʁɑjɛt
غايىلا	ʁɑjilɑ
