!sil	sˈil
'c'que	skə
golfes	gˈɔlf
goliath	gəlˈaɪəθ
golowinsk	golowˈɛ̃sk
golu	golˈy
goléron	goleʁˈɔ̃
gombos	gɔ̃bˈo
gombrovicz	gɔ̃bʁovˈikz
gomes	gˈom
gomis	gomˈi
gomme	gˈɔm
gommegnies	gɔmɛnˈi
gomment	gɔmˈɑ̃
gommer	gɔmˈe
gommettes	gɔmˈɛt
gommeuse	gɔmˈøz
gommeux	gɔmˈø
gommiers	gɔmjˈe
gommée	gɔmˈe
gomorrhe	gomˈoʁ
goncourt	gɔ̃kˈuʁ
gondinet	gɔ̃dinˈɛ
gondoler	gɔ̃dolˈe
gondoles	gɔ̃dˈol
gondoliers	gɔ̃doljˈe
gondrin	gɔ̃dʁˈɛ̃
gonds	gˈɔ̃
gondy	gˈɒndi
gonesse	gˈons
gonettes	gˈont
gonfla	gɔ̃flˈa
gonflable	gɔ̃flˈabl
gonflables	gɔ̃flˈabl
gonflaient	gɔ̃flˈɛ
gonflait	gɔ̃flˈɛ
gonflant	gɔ̃flˈɑ̃
gonfle	gˈɔ̃fl
gonflement	gɔ̃fləmˈɑ̃
gonflent	gˈɔ̃fl
gonfler	gɔ̃flˈe
gonfles	gˈɔ̃fl
gonflèrent	gɔ̃flˈɛʁ
gonflé	gɔ̃flˈe
gonflée	gɔ̃flˈe
gonflées	gɔ̃flˈe
gonflés	gɔ̃flˈe
gonfolo	gɔ̃folˈo
gong	gˈɔ̃g
gongs	gˈɔ̃g
gonod	gonˈɔd
gonopode	gonopˈɔd
gontier	gɔ̃tjˈe
gonzalez	gɔ̃zalˈe
good	gˈʊd
goodyear	gˈʊdjiə
google	gˈuːgəl
goos	gˈuːz
gor	gˈɔʁ
goran	goʁˈɑ̃
gorbatchev	gɔʁbatʃˈɛv
gorbeau	gɔʁbˈo
gorcy	gˈɔːsi
gord	gˈɔʁ
gordes	gˈɔʁd
gordiens	gɔʁdjˈɛ̃
gordon	gɔʁdˈɔ̃
gore	gˈɔʁ
gorez	goʁˈe
gorge	gˈɔʁʒ
gorges	gˈɔʁʒ
gorgonaires	gɔʁgonˈɛʁ
gorgones	gɔʁgˈon
gorgoniens	gɔʁgonjˈɛ̃
gorgé	gɔʁʒˈe
gorgée	gɔʁʒˈe
gorgées	gɔʁʒˈe
gorgés	gɔʁʒˈe
gorille	goʁˈij
gorilles	goʁˈij
goriot	goʁjˈo
goritz	goʁˈits
gorju	gɔʁʒˈy
gorky	gˈɔːki
gorlière	gɔʁljˈɛʁ
gosier	gozjˈe
gospel	gɔspˈɛl
gospelisant	gɔsplizˈɑ̃
gosse	gˈɔs
gosse-là	gˈɔslˈa
gosselin	gɔslˈɛ̃
gosselin-fleury	gɔslˈɛ̃flˈɜːɹi
gosseline	gɔslˈin
gosses	gˈɔs
gosses-là	gˈɔslˈa
gossin	gɔsˈɛ̃
got	gˈo
goth	gˈɒθ
gotha	gˈɒθə
gothard	gˈɒθɑːd
gothique	gotˈik
gothiques	gotˈik
gothisme	gˈɒθɪsmɪ
goths	gˈɒθs
gotons	gotˈɔ̃
gottenhouse	gɔtɑ̃nˈuz
goua	gwˈa
gouache	gwˈaʃ
gouailleur	gwajˈœʁ
gouailleuse	gwajˈøz
gouailleuses	gwajˈøz
goualantes	gwalˈɑ̃t
goualer	gwalˈe
goualeuse	gwalˈøz
goualière	gwaljˈɛʁ
gouas	gwˈa
goubet	gubˈɛ
goubin	gubˈɛ̃
goudelin	gudlˈɛ̃
goudou	gudˈu
goudouati	gudwatˈi
goudron	gudʁˈɔ̃
goudronné	gudʁɔnˈe
goudronnée	gudʁɔnˈe
gouesnou	gwɛsnˈu
gouest	gwˈɛst
gouex	gwˈɛks
gouffault	gufˈo
gouffre	gˈufʁ
gouffres	gˈufʁ
gouges	gˈuʒ
gougères	guʒˈɛʁ
gouillons	gujˈɔ̃
gouiranne	gwiʁˈan
goujat	guʒˈa
goujon	guʒˈɔ̃
goujons	guʒˈɔ̃
goulard	gulˈaʁ
goulbenèze	gulbənˈɛz
goule	gˈul
goulet	gulˈɛ
goulette	gulˈɛt
goulin	gulˈɛ̃
goullin	gulˈɛ̃
goulonnière	gulɔnjˈɛʁ
goulot	gulˈo
goulots	gulˈo
goulougoulou	gulugulˈu
goulougoulougoulou	gulugulugulˈu
goulu	gulˈy
goulven	gulvˈɛn
goulée	gulˈe
gouniou	gunjˈu
gounista	gunistˈa
gounod	gunˈɔd
goupillon	gupijˈɔ̃
goupillé	gupijˈe
goupils	gupˈi
gourami	guʁamˈi
gouramis	guʁamˈi
gourbi	guʁbˈi
gourd	gˈuʁ
gourde	gˈuʁd
gourdes	gˈuʁd
gourdier	guʁdjˈe
gourdin	guʁdˈɛ̃
gourdins	guʁdˈɛ̃
gourdon	guʁdˈɔ̃
gourgue	gˈuʁg
gouriel	guʁjˈɛl
gourin	guʁˈɛ̃
gourjade	guʁʒˈad
gourmand	guʁmˈɑ̃
gourmanda	guʁmɑ̃dˈa
gourmande	guʁmˈɑ̃d
gourmandise	guʁmɑ̃dˈiz
gourmands	guʁmˈɑ̃
gourmandés	guʁmɑ̃dˈe
gourmet	guʁmˈɛ
gourmets	guʁmˈɛ
gourmette	guʁmˈɛt
gourmettes	guʁmˈɛt
gournables	guʁnˈabl
gournay-loizé	guʁnˈɛlwazˈe
gournay-sur-marne	guʁnˈɛsyʁmˈaʁn
gourou	guʁˈu
gourous	guʁˈu
gourre	gˈuʁ
gourville	guʁvˈil
gouré	guʁˈe
goussainville	gusɛ̃vˈil
goussard	gusˈaʁ
gousses	gˈus
gousset	gusˈɛ
goussets	gusˈɛ
gouter	gutˈe
gouthière	gˌaʊθiˈeə
goutman	gutmˈan
goutte	gˈut
gouttelette	gutlˈɛt
gouttelettes	gutlˈɛt
gouttes	gˈut
gouttière	gutjˈɛʁ
gouttières	gutjˈɛʁ
gouté	gutˈe
gouver	guvˈe
gouvernaient	guvɛʁnˈɛ
gouvernail	guvɛʁnˈaj
gouvernait	guvɛʁnˈɛ
gouvernante	guvɛʁnˈɑ̃t
gouvernants	guvɛʁnˈɑ̃
gouverne	guvˈɛʁn
gouvernem	guvɛʁnˈɛm
gouvernement	guvɛʁnəmˈɑ̃
gouvernemental	guvɛʁnəmɑ̃tˈal
gouvernementale	guvɛʁnəmɑ̃tˈal
gouvernementales	guvɛʁnəmɑ̃tˈal
gouvernementalisme	guvɛʁnəmɑ̃talˈism
gouvernementaliste	guvɛʁnəmɑ̃talˈist
gouvernementaux	guvɛʁnəmɑ̃tˈo
gouvernements	guvɛʁnəmˈɑ̃
gouverner	guvɛʁnˈe
gouverneur	guvɛʁnˈœʁ
gouverné	guvɛʁnˈe
gouvernée	guvɛʁnˈe
gouzis	guzˈi
gouépeur	gwepˈœʁ
gouépé	gwepˈe
governor-higginson	govɛʁnˈɔʁigɛ̃sˈɔ̃
goy	gˈɔɪ
goya	gwajˈa
goyave	gwajˈav
goyaves	gwajˈav
goyavier	gwajavjˈe
gozon	gozˈɔ̃
goès	gɔˈɛ
goélands	gɔelˈɑ̃
goélette	gɔelˈɛt
goémon	gɔemˈɔ̃
goémons	gɔemˈɔ̃
goëlettes	gɔɛlˈɛt
goëlo	gɔɛlˈo
goût	gˈu
goût-là	gˈulˈa
goûta	gutˈa
goûtai	gutˈe
goûtaient	gutˈɛ
goûtais	gutˈɛ
goûtait	gutˈɛ
goûtant	gutˈɑ̃
goûte	gˈut
goûtent	gˈut
goûter	gutˈe
goûterai	gutʁˈe
goûterez	gutʁˈe
goûteront	gutʁˈɔ̃
goûters	gutˈe
goûtes	gˈut
goûteux	gutˈø
goûtez	gutˈe
goûtez-en	gutˈezɑ̃
goûts	gˈu
goûtèrent	gutˈɛʁ
goûté	gutˈe
goûtée	gutˈe
goûtés	gutˈe
gps	ʒˌepˌeˈɛs
gpv	ʒˌepˌevˈe
gr	ʒˌeˈɛʁ
gra	gʁˈa
graal	gʁaˈal
grabasse	gʁabˈas
grabat	gʁabˈa
grabataire	gʁabatˈɛʁ
grabatisation	gʁabatizasjˈɔ̃
grabouillages	gʁabujˈaʒ
grabouillé	gʁabujˈe
grace	gʁˈas
gracian	gʁasjˈɑ̃
gracieuse	gʁasjˈøz
gracieusement	gʁasjøzmˈɑ̃
gracieuses	gʁasjˈøz
gracieuseté	gʁasjøztˈe
gracieux	gʁasjˈø
gracié	gʁasjˈe
gradation	gʁadasjˈɔ̃
gradations	gʁadasjˈɔ̃
grade	gʁˈad
gradels	gʁadˈɛl
grades	gʁˈad
gradignan	gʁadiɲˈɑ̃
gradine	gʁadˈin
gradins	gʁadˈɛ̃
gradisca	gʁadiskˈa
grads	gʁˈad
graduation	gʁadyasjˈɔ̃
graduel	gʁadyˈɛl
graduelle	gʁadyˈɛl
graduellement	gʁadyɛlmˈɑ̃
graduer	gʁadyˈe
gradué	gʁadyˈe
graduée	gʁadyˈe
graduées	gʁadyˈe
gradués	gʁadyˈe
gradé	gʁadˈe
grafeuil	gʁafˈœj
graff	gʁˈaf
graffer	gʁafˈe
graffeur	gʁafˈœʁ
graffeurs	gʁafˈœʁ
graffiti	gʁafitˈi
graffitis	gʁafitˈi
graffs	gʁˈaf
graham	gʁaˈam
graillot	gʁajˈo
grain	gʁˈɛ̃
graine	gʁˈɛn
graines	gʁˈɛn
grainetier	gʁɛnətjˈe
grainetiers	gʁɛnətjˈe
grainette	gʁɛnˈɛt
grains	gʁˈɛ̃
grainvallet	gʁɛ̃valˈɛ
graissa	gʁɛsˈa
graissait	gʁɛsˈɛ
graisse	gʁˈɛs
graisser	gʁɛsˈe
graisses	gʁˈɛs
graisseux	gʁɛsˈø
graissin	gʁɛsˈɛ̃
graissé	gʁɛsˈe
graissée	gʁɛsˈe
gramat	gʁamˈa
graminées	gʁaminˈe
grammaire	gʁamˈɛʁ
grammaires	gʁamˈɛʁ
grammar	gʁamˈaʁ
grammatical	gʁamatikˈal
grammaticale	gʁamatikˈal
grammaticales	gʁamatikˈal
gramme	gʁˈam
grammes	gʁˈam
grammonts	gʁamˈɔ̃
gramont	gʁamˈɔ̃
gramophone	gʁamofˈɔn
gramoune	gʁamˈun
gran	gʁˈɑ̃
grand	gʁˈɑ̃
grand-air	gʁˈɑ̃tˈɛʁ
grand-bourg	gʁˈɑ̃bˈuʁ
grand-chair	gʁˈɑ̃ʃˈɛʁ
grand-champ	gʁˈɑ̃ʃˈɑ̃
grand-chose	gʁˈɑ̃ʃˈɔz
grand-ci	gʁˈɑ̃sˈi
grand-commandeur	gʁˈɑ̃kɔmɑ̃dˈœʁ
grand-duc	gʁˈɑ̃dˈyk
grand-duché	gʁˈɑ̃dyʃˈe
grand-esprit	gʁˈɑ̃tɛspʁˈi
grand-failly	gʁˈɑ̃fˈeɪli
grand-faim	gʁˈɑ̃fˈɛ̃
grand-fort-philippe	gʁˈɑ̃fˈɔʁfilˈip
grand-frère	gʁˈɑ̃fʁˈɛʁ
grand-garage	gʁˈɑ̃gaʁˈaʒ
grand-hurleur	gʁˈɑ̃tyʁlˈœʁ
grand-hôtel	gʁˈɑ̃totˈɛl
grand-juge	gʁˈɑ̃ʒˈyʒ
grand-livre	gʁˈɑ̃lˈivʁ
grand-lucé	gʁˈɑ̃lysˈe
grand-là	gʁˈɑ̃lˈa
grand-maman	gʁˈɑ̃mamˈɑ̃
grand-maître	gʁˈɑ̃mˈɛtʁ
grand-messe	gʁˈɑ̃mˈɛs
grand-monde	gʁˈɑ̃mˈɔ̃d
grand-mère	gʁˈɑ̃mˈɛʁ
grand-mères	gʁˈɑ̃mˈɛʁ
grand-p	gʁˈɑ̃pˈe
grand-papa	gʁˈɑ̃papˈa
grand-papi	gʁˈɑ̃papˈi
grand-parent	gʁˈɑ̃paʁˈɑ̃
grand-parents	gʁˈɑ̃paʁˈɑ̃
grand-peine	gʁˈɑ̃pˈɛn
grand-place	gʁˈɑ̃plˈas
grand-pont	gʁˈɑ̃pˈɔ̃
grand-porte	gʁˈɑ̃pˈɔʁt
grand-prix	gʁˈɑ̃pʁˈi
grand-père	gʁˈɑ̃pˈɛʁ
grand-pères	gʁˈɑ̃pˈɛʁ
grand-quevilly	gʁˈɑ̃kwˈɛvəli
grand-serpent	gʁˈɑ̃sɛʁpˈɑ̃
grand-turc	gʁˈɑ̃tˈyʁk
grand-vertu	gʁˈɑ̃vɛʁtˈy
grandaient	gʁɑ̃dˈɛ
grandbourgeoise	gʁɑ̃dbuʁʒwˈaz
grandchamp	gʁɑ̃dʃˈɑ̃
grandchavin	gʁɑ̃dʃavˈɛ̃
grande	gʁˈɑ̃d
grande-armée	gʁˈɑ̃daʁmˈe
grande-avenue	gʁˈɑ̃davnˈy
grande-bretagne	gʁˈɑ̃dbʁətˈaɲ
grande-chaussée	gʁˈɑ̃dʃosˈe
grande-chute	gʁˈɑ̃dʃˈyt
grande-ci	gʁˈɑ̃dsˈi
grande-duchesse	gʁˈɑ̃ddyʃˈɛs
grande-muraille	gʁˈɑ̃dmyʁˈaj
grande-place	gʁˈɑ̃dplˈas
grande-rue	gʁˈɑ̃dʁˈy
grande-vue	gʁˈɑ̃dvˈy
grandement	gʁɑ̃dmˈɑ̃
grandes	gʁˈɑ̃d
grandeur	gʁɑ̃dˈœʁ
grandeurs	gʁɑ̃dˈœʁ
grandguillaume	gʁɑ̃dgijˈom
grandi	gʁɑ̃dˈi
grandie	gʁɑ̃dˈi
grandier-vazeille	gʁɑ̃djˈevazˈɛj
grandies	gʁɑ̃dˈi
grandiose	gʁɑ̃djˈɔz
grandioses	gʁɑ̃djˈoz
grandir	gʁɑ̃dˈiʁ
grandirait	gʁɑ̃diʁˈɛ
grandirent	gʁɑ̃dˈiʁ
grandis	gʁɑ̃dˈi
grandissaient	gʁɑ̃disˈɛ
grandissait	gʁɑ̃disˈɛ
grandissant	gʁɑ̃disˈɑ̃
grandissante	gʁɑ̃disˈɑ̃t
grandisse	gʁɑ̃dˈis
grandissement	gʁɑ̃dismˈɑ̃
grandissent	gʁɑ̃dˈis
grandisses	gʁɑ̃dˈis
grandit	gʁɑ̃dˈi
grandjean	gʁɑ̃dʒˈɑ̃
grandlay	gʁɑ̃dlˈɛ
grandmont	gʁɑ̃dmˈɔ̃
grandpierre	gʁɑ̃dpjˈɛʁ
grands	gʁˈɑ̃
grands-ci	gʁˈɑ̃sˈi
grands-frères	gʁˈɑ̃fʁˈɛʁ
grands-mères	gʁˈɑ̃mˈɛʁ
grands-pa	gʁˈɑ̃pˈa
grands-parents	gʁˈɑ̃paʁˈɑ̃
grands-pères	gʁˈɑ̃pˈɛʁ
grandval	gʁɑ̃dvˈal
grandîmes	gʁɑ̃dˈim
granet	gʁanˈɛ
graney	gʁanˈɛ
grange	gʁˈɑ̃ʒ
grange-batelière	gʁˈɑ̃ʒbatliˈɛʁ
grangeneuve	gʁɑ̃ʒnˈøv
granges	gʁˈɑ̃ʒ
granges-sur-vologne	gʁˈɑ̃ʒsyʁvolˈɔɲ
grangettes	gʁɑ̃ʒˈɛt
granier	gʁanjˈe
granifères	gʁanifˈɛʁ
granit	gʁanˈit
granite	gʁanˈit
granite-house	gʁanˈitˈuz
graniteux	gʁanitˈø
granitique	gʁanitˈik
granitiques	gʁanitˈik
granits	gʁanˈit
grant	gʁˈɑ̃
grantaire	gʁɑ̃tˈɛʁ
granule	gʁanˈyl
granuleux	gʁanylˈø
granville	gʁɑ̃vˈil
graouette	gʁawˈɛt
graphie	gʁafˈi
graphies	gʁafˈi
graphique	gʁafˈik
graphisme	gʁafˈism
graphiste	gʁafˈist
graphistes	gʁafˈist
graphite	gʁafˈit
graphologique	gʁafoloʒˈik
grappe	gʁˈap
grappes	gʁˈap
grappin	gʁapˈɛ̃
gras	gʁˈa
gras-double	gʁˈadˈubl
gras-là	gʁˈalˈa
grasla	gʁaslˈa
grasse	gʁˈas
grasses	gʁˈas
grasset	gʁasˈɛ
grassi	gʁasˈi
grat	gʁˈa
gratifiait	gʁatifjˈɛ
gratifiant	gʁatifjˈɑ̃
gratification	gʁatifikasjˈɔ̃
gratifications	gʁatifikasjˈɔ̃
gratifie	gʁatifˈi
gratifier	gʁatifjˈe
gratifié	gʁatifjˈe
gratin	gʁatˈɛ̃
gratinée	gʁatinˈe
gratiolet	gʁatjolˈɛ
gratis	gʁatˈi
gratitude	gʁatitˈyd
gratos	gʁatˈo
gratouillant	gʁatujˈɑ̃
gratouilles	gʁatˈuj
gratta	gʁatˈa
grattait	gʁatˈɛ
grattant	gʁatˈɑ̃
gratte	gʁˈat
gratte-gratte	gʁˈatgʁˈat
grattement	gʁatmˈɑ̃
grattements	gʁatmˈɑ̃
grattent	gʁˈat
gratter	gʁatˈe
grattes	gʁˈat
gratté	gʁatˈe
gratuit	gʁatyˈi
gratuite	gʁatyˈit
gratuitement	gʁatyitmˈɑ̃
gratuites	gʁatyˈit
gratuits	gʁatyˈi
gratuité	gʁatyitˈe
gratuze	gʁatˈyz
grau-du-roi	gʁˈody-ʁwˈa
graufthal	gʁoftˈal
graulhet	gʁolˈɛ
graumer	gʁomˈe
grauwacke	gʁowˈak
grav	gʁˈav
grava	gʁavˈa
gravats	gʁavˈa
grave	gʁˈav
graveleux	gʁavlˈø
gravelines	gʁavlˈin
gravelotte	gʁavlˈɔt
gravement	gʁavmˈɑ̃
graver	gʁavˈe
graveront	gʁavʁˈɔ̃
graves	gʁˈav
graveur	gʁavˈœʁ
gravi	gʁavˈi
gravie	gʁavˈi
gravier	gʁavjˈe
graviers	gʁavjˈe
gravilliers	gʁavijjˈe
gravir	gʁavˈiʁ
gravirent	gʁavˈiʁ
gravis	gʁavˈi
gravissaient	gʁavisˈɛ
gravissait	gʁavisˈɛ
gravissant	gʁavisˈɑ̃
gravissime	gʁavisˈim
gravissions	gʁavisjˈɔ̃
gravit	gʁavˈi
gravitaient	gʁavitˈɛ
gravitant	gʁavitˈɑ̃
gravitation	gʁavitasjˈɔ̃
gravitent	gʁavˈit
graviter	gʁavitˈe
gravitera	gʁavitʁˈa
gravité	gʁavitˈe
gravure	gʁavˈyʁ
gravures	gʁavˈyʁ
gravé	gʁavˈe
gravée	gʁavˈe
gravées	gʁavˈe
gravés	gʁavˈe
gray	gʁˈɛ
graün	gʁaˈyn
gre	gʁ
great-eastern	gɹˈeɪtˈiːstəŋ
grec	gʁˈɛk
greco	gʁəkˈo
grecque	gʁˈɛk
grecques	gʁˈɛk
grecs	gʁˈɛk
grecu	gʁəkˈy
gredin	gʁədˈɛ̃
gredin-là	gʁədˈɛ̃lˈa
gredins	gʁədˈɛ̃
gredins-là	gʁədˈɛ̃lˈa
green	gɹˈiːŋ
greenock	gɹˈiːnɒk
greenwich	gɹˈɛnɪtʃ
greff	gʁˈɛf
greffe	gʁˈɛf
greffes	gʁˈɛf
greffier	gʁɛfjˈe
greffier-concierge	gʁɛfjˈekɔ̃sjˈɛʁʒ
greffiers	gʁɛfjˈe
greffière	gʁɛfjˈɛʁ
greffée	gʁɛfˈe
greffés	gʁɛfˈe
greg	gʁˈɛg
gregoras	gʁəgoʁˈa
gregory	gɹˈɛgəɹi
gregoryi	gʁəgoʁiˈi
grelat	gʁəlˈa
greles	gʁˈəl
grelier	gʁəljˈe
grelot	gʁəlˈo
grelots	gʁəlˈo
grelottaient	gʁəlɔtˈɛ
grelottais	gʁəlɔtˈɛ
grelottait	gʁəlɔtˈɛ
grelottant	gʁəlɔtˈɑ̃
grelottantes	gʁəlɔtˈɑ̃t
grelottants	gʁəlɔtˈɑ̃
grelottent	gʁəlˈɔt
grelotter	gʁəlɔtˈe
grelottes	gʁəlˈɔt
greluche	gʁəlˈyʃ
gren	gʁˈɛn
grenade	gʁənˈad
grenade-sur-l'adour	gʁənˈadsyʁladˈuʁ
grenades	gʁənˈad
grenadier	gʁənadjˈe
grenadiers	gʁənadjˈe
grenadilles	gʁənadˈij
grenadine	gʁənadˈin
grenaille	gʁənˈaj
grenat	gʁənˈa
grenats	gʁənˈa
grendelbruch	gɹˈɛndɪlbɹˌʌtʃ
grenelle	gʁənˈɛl
grenelle-saint	gʁənˈɛlsˈɛ̃
grenelle-saint-germain	gʁənˈɛlsˈɛ̃ʒɛʁmˈɛ̃
grenet	gʁənˈɛ
grenier	gʁənjˈe
greniers	gʁənjˈe
grenoble	gʁənˈɔbl
grenois	gʁənwˈa
grenouille	gʁənˈuj
grenouille-là	gʁənˈujlˈa
grenouilles	gʁənˈuj
grenouillet	gʁənujˈɛ
grentheville	gɹˈɛnðvɪl
grenu	gʁənˈy
grenue	gʁənˈy
greppes	gʁˈɛp
gresloup	gʁəslˈup
gresswiller	gʁɛswijˈe
greta	gʁətˈa
greuze	gʁˈøz
grevisse	gʁəvˈis
grey	gʁˈɛ
grez-sur-loing	gʁˈesyʁlˈəʊɪŋ
gri	gʁˈi
grial	gʁiˈal
gribanes	gʁibˈan
gribeauval	gʁibovˈal
gribouillage	gʁibujˈaʒ
gribouillais	gʁibujˈɛ
gribouille	gʁibˈuj
gribouillé	gʁibujˈe
grichet	gʁiʃˈɛ
grief	gʁiˈɛf
griefs	gʁiˈɛf
griffant	gʁifˈɑ̃
griffe	gʁˈif
griffer	gʁifˈe
griffes	gʁˈif
griffet	gʁifˈɛ
griffon	gʁifˈɔ̃
griffonnaient	gʁifɔnˈɛ
griffonne	gʁifˈɔn
griffonneur	gʁifɔnˈœʁ
griffonné	gʁifɔnˈe
griffure	gʁifˈyʁ
griffé	gʁifˈe
griffée	gʁifˈe
griffés	gʁifˈe
grignotait	gʁiɲotˈɛ
grignotant	gʁiɲotˈɑ̃
grignote	gʁiɲˈɔt
grignoter	gʁiɲotˈe
grigny	gʁiɲˈi
grigou	gʁigˈu
grijalva	gʁiʒalvˈa
gril	gʁˈil
grill	gɹˈɪl
grilla	gʁijˈa
grillade	gʁijˈad
grillades	gʁijˈad
grillage	gʁijˈaʒ
grillagé	gʁijaʒˈe
grillagée	gʁijaʒˈe
grillaient	gʁijˈɛ
grillait	gʁijˈɛ
grillant	gʁijˈɑ̃
grille	gʁˈij
grillent	gʁˈij
griller	gʁijˈe
grilles	gʁˈij
grillon	gʁijˈɔ̃
grillottes	gʁijˈɔt
grills	gɹˈɪlz
grillé	gʁijˈe
grillée	gʁijˈe
grillées	gʁijˈe
grillés	gʁijˈe
grima	gʁimˈa
grimace	gʁimˈas
grimacer	gʁimasˈe
grimaces	gʁimˈas
grimacier	gʁimasjˈe
grimacèrent	gʁimasˈɛʁ
grimaldi	gʁimaldˈi
grimani	gʁimanˈi
grimant	gʁimˈɑ̃
grimard	gʁimˈaʁ
grimau	gʁimˈo
grimaud	gʁimˈo
grimaçaient	gʁimasˈɛ
grimaçait	gʁimasˈɛ
grimaçant	gʁimasˈɑ̃
grimaçante	gʁimasˈɑ̃t
grimaçantes	gʁimasˈɑ̃t
grimaçants	gʁimasˈɑ̃
griment	gʁˈim
grimer	gʁimˈe
grimm	gʁˈimm
grimoire	gʁimwˈaʁ
grimotière	gʁimotjˈɛʁ
grimpa	gʁɛ̃pˈa
grimpadou	gʁɛ̃padˈu
grimpaient	gʁɛ̃pˈɛ
grimpais	gʁɛ̃pˈɛ
grimpait	gʁɛ̃pˈɛ
grimpant	gʁɛ̃pˈɑ̃
grimpantes	gʁɛ̃pˈɑ̃t
grimpe	gʁˈɛ̃p
grimpent	gʁˈɛ̃p
grimper	gʁɛ̃pˈe
grimperait	gʁɛ̃pʁˈɛ
grimpes	gʁˈɛ̃p
grimpeur	gʁɛ̃pˈœʁ
grimpeurs	gʁɛ̃pˈœʁ
grimpez	gʁɛ̃pˈe
grimpât	gʁɛ̃pˈaː
grimpèrent	gʁɛ̃pˈɛʁ
grimpé	gʁɛ̃pˈe
grimpée	gʁɛ̃pˈe
grince	gʁˈɛ̃s
grincement	gʁɛ̃smˈɑ̃
grincements	gʁɛ̃smˈɑ̃
grincer	gʁɛ̃sˈe
grinche	gʁˈɛ̃ʃ
grinches	gʁˈɛ̃ʃ
grincheux	gʁɛ̃ʃˈø
grinchi	gʁɛ̃ʃˈi
grinchiraient	gʁɛ̃ʃiʁˈɛ
grinchue	gʁɛ̃ʃˈy
grinché	gʁɛ̃ʃˈe
grincèrent	gʁɛ̃sˈɛʁ
grincé	gʁɛ̃sˈe
grind	gɹˈaɪnd
gringalet	gʁɛ̃galˈɛ
gringalets	gʁɛ̃galˈɛ
gringoire	gʁɛ̃gwˈaʁ
grinça	gʁɛ̃sˈa
grinçaient	gʁɛ̃sˈɛ
grinçait	gʁɛ̃sˈɛ
grinçant	gʁɛ̃sˈɑ̃
grinçassent	gʁɛ̃sˈas
grippe	gʁˈip
grippe-sous	gʁˈipsu
grippes	gʁˈip
grippesou	gʁipzˈu
grippière	gʁipjˈɛʁ
gris	gʁˈi
gris-noir	gʁˈinwˈaʁ
grisaient	gʁizˈɛ
grisaille	gʁizˈaj
grisait	gʁizˈɛ
grisant	gʁizˈɑ̃
grisard	gʁizˈaʁ
grise	gʁˈiz
griser	gʁizˈe
griserie	gʁizʁˈi
grises	gʁˈiz
grisette	gʁizˈɛt
grisettes	gʁizˈɛt
grisonnait	gʁizɔnˈɛ
grisonnante	gʁizɔnˈɑ̃t
grisonnants	gʁizɔnˈɑ̃
grisonner	gʁizɔnˈe
grisou	gʁizˈu
grisât	gʁizˈaː
grisâtre	gʁizˈaːtʁ
grisâtres	gʁizˈaːtʁ
grisé	gʁizˈe
grisés	gʁizˈe
grivat	gʁivˈa
grivaux	gʁivˈo
grive	gʁˈiv
grivel	gʁivˈɛl
grives	gʁˈiv
grivois	gʁivwˈa
grièvement	gʁiɛvmˈɑ̃
gro	gʁˈo
groenland	gʁoɛnlˈɑ̃d
groenlandais	gʁoɑ̃lɑ̃dˈɛ
grogna	gʁoɲˈa
grogna-t-il	gʁoɲˈatil
grognait	gʁoɲˈɛ
grognait-il	gʁoɲˈɛtil
grognant	gʁoɲˈɑ̃
grogne	gʁˈɔɲ
grognement	gʁoɲə-mˈɑ̃
grognements	gʁoɲə-mˈɑ̃
grogner	gʁoɲˈe
grognon	gʁoɲˈɔ̃
grognonne	gʁoɲˈɔn
grognons	gʁoɲˈɔ̃
grogs	gʁˈɔg
groing	gɹˈəʊɪŋ
groins	gʁwˈɛ̃
grollet	gʁɔlˈɛ
grommela	gʁɔmlˈa
grommela-t-il	gʁɔmlˈatil
grommelait	gʁɔmlˈɛ
grommelait-il	gʁɔmlˈɛtil
grommelant	gʁɔmlˈɑ̃
grommeler	gʁɔmlˈe
gron	gʁˈɔ̃
gronda	gʁɔ̃dˈa
gronda-t-il	gʁɔ̃dˈatil
grondait	gʁɔ̃dˈɛ
grondait-il	gʁɔ̃dˈɛtil
grondant	gʁɔ̃dˈɑ̃
grondassent	gʁɔ̃dˈas
gronde	gʁˈɔ̃d
grondement	gʁɔ̃dmˈɑ̃
grondements	gʁɔ̃dmˈɑ̃
grondent	gʁˈɔ̃d
gronder	gʁɔ̃dˈe
grondera	gʁɔ̃dʁˈa
gronderai	gʁɔ̃dʁˈe
gronderie	gʁɔ̃dʁˈi
grondeuse	gʁɔ̃dˈøz
grondât	gʁɔ̃dˈaː
grondèrent	gʁɔ̃dˈɛʁ
grondé	gʁɔ̃dˈe
grondée	gʁɔ̃dˈe
grone	gʁˈɔn
groom	gɹˈuːm
gros	gʁˈo
gros-caillou	gʁˈokajˈu
gros-jean	gʁˈoʒˈɑ̃
gros-là	gʁˈolˈa
gros-réderching	gʁˈoɹˈeɪdətʃɪŋ
grosbois	gʁɔzbwˈa
groseillers	gʁozɛjˈe
groseilles	gʁozˈɛj
groseilliers	gʁozɛjjˈe
grosl	gɹˈɒsəl
groslay	gʁɔslˈɛ
grosse	gʁˈos
grosselle	gʁosˈɛl
grosses	gʁˈos
grosses-là	gʁˈoslˈa
grossesse	gʁosˈɛs
