10منٹ	ɒnməɳʈ
ڈر	ɖəɾ
ڈرا	ɖəɾɑ
ڈراؤنا	ɖəɾɔːnə
ڈرائنگ	ɖəɾɑɪŋ
ڈرائیں	ɖəɾɑ̃ẽː
ڈرائیو	ɖəɾɑɪʋ
ڈرائیور	ɖəɾɑːɪʋəɾ
ڈرائیوروں	ɖəɾɑːjʋəɾoːŋ
ڈرائیونگ	ɖəɾɑːjʊŋ
ڈراپ	ɖəɾɑp
ڈرامائی	ɖɾɑːmɑːi
ڈرامہ	ɖəɾɑːmə
ڈرامے	ɖɾɑːme
ڈرانا	ɖəɾɑːnɑ
ڈرانے	ɖəɾɑːne
ڈراونا	ɖəɾoːnə
ڈراونی	ɖəɾɔ̃ːni
ڈرپوک	ɖəɾpoːk
ڈرتا	ɖəɾt̪ə
ڈرتے	ɗəɾteː
ڈرگز	ɖəɾguz
ڈرل	ɖʌrəl
ڈرنے	ɖəɾneː
ڈرو	ɖroː
ڈرون	ɖɾoːn
ڈری	ɖəɾiː
ڈریسر	ɖɾeːsər
ڈریک	ɖəɾɪk
ڈریکولا	ɖəɾɪkoːlə
ڈریگن	ɖɾeːgn
ڈرے	ɖəɾeː
ڈزنی	ɖʌzniː
ڈسپلے	ɖəspɭeː
ڈسپیچر	ɗəspɪtʃər
ڈسچارج	ɗəʃɑːɾʒ
ڈسک	ɖəsk
ڈسکاونٹ	ɗɪskɔːnt
ڈسکوری	ɗɪsˈkuːɾi
ڈکارڈ	ɖəkaːɾɪd
ڈکرپشن	ɗʊkəɾpəʃn
ڈکسن	ɗɪksən
ڈکی	ɖəki
ڈگری	ɖʌgriː
ڈلیوری	ɖəliːʋiː
ڈمپ	ɗəmp
ڈمپنگ	ɗʊmpɪŋ
ڈمی	ɗʊmi
ڈنڈوں	ɖʌnɖoːŋ
ڈنڈی	ɖʌnɖi
ڈنڈے	ɖʌnɖe
ڈنگ	ɖəŋ
ڈھادو	ɖʱɑːɖʊ
ڈھال	ɖʰɑːl
ڈھانپو	ɖʰɑ̃po
ڈھانپیں	ɖʰɑ̃ːpeː
ڈھانچہ	ɖʰɑːnʈʃe
ڈھانچے	ɖʰɑ̃tʃe
ڈھکنا	ɖʱkənə
ڈھکنے	ɗʰkʌneː
ڈھکی	ɖʱkɪ
ڈھکے	ɖʱkʰe
ڈھنگ	ɗʰəŋ
ڈھول	ɗʰoːl
ڈھونڈ	ɖʰoːɳɖ
ڈھونڈتے	ɖʰoːɳɖ̪teː
ڈھونڈنا	ɖʰoːɳɖənə
ڈھونڈنے	ɖʰoːnɖne
ڈھونڈھو	ɖʰoːɳɖʰoː
ڈھونڈو	ɖʰoːɳɖoː
ڈھیر	ɗʱeːr
ڈھیلے	ɖʱeːl̪eː
ڈو	ɖoː
ڈوئچے	ɗoːɪtʃeː
ڈوب	ɗoːb
ڈوبانے	ɗoːbɑːne
ڈوبکی	ɗʊbki
ڈوپ	ɖoːp
ڈور	ɖoːr
ڈوراین	ɖoːɾɛn
ڈوروتی	ɖoːɾʊtiː
ڈوم	ɗom
ڈومز	ɗomz
ڈومینک	ɖoːmɪnɪk
ڈومینیکن	ɗoːmineːkɑːn
ڈونا	ɖoːnə
ڈونگ	ɗoŋ
ڈوور	ɗoːr
ڈویژن	ɗʋiːzə̃n
ڈویژنوں	ɗʋiːzɪ̃oːŋ
ڈی	ɗiː
ڈیاز	ɖiːz
ڈیاگو	ɖɪjɑːgʊ
ڈیبی	ɗiːbiː
ڈیپارٹمنٹ	ɛːpɑːrt̪mɛ̃ːt̪
ڈیپلومیٹ	ɖiːpɫoːmɪt̪
ڈیٹ	ɗeːt̪
ڈیٹا	ɖiːt̪ə
ڈیٹرائیٹ	ɖeːt̪ɾɑɪt̪
ڈیٹرایٹ	ɖeːt̪əɾɑːɪt̪
ڈیٹرنس	ɖeːt̪rəns
ڈیٹس	ɗeːʈs
ڈیٹنگ	ɗeːʈeŋ
ڈیجیٹل	gɪˈgɪtəl
ڈیڈی	ɖiːɖiː
ڈیز	ɖeːz
ڈیزائن	ɖeːzɑːɪn
ڈیزائنز	ɖeːzɑːɪnz
ڈیڑھ	ɖeːɽʰ
ڈیسمنڈ	ɗeːsmənd
ڈیش	ɖɛːʃ
ڈیفالٹ	ɗeːfɑːlʌt
ڈیفنبرٹ	ɖeːfənbɛːɾt
ڈیک	ɖeːk
ڈیل	ɗeːl
ڈیلٹا	ɖɛlʈɑ
ڈیلر	ɖeːlɾ
ڈیلس	ɗɪls
ڈیلورس	ɗɛːlʊrʌs
ڈیلی	ɖiːliː
ڈیم	ɗiːm
ڈیمن	ɗeːmɪn
ڈیموں	ɗiːmoːn
ڈیمین	ɖiːmɪn
ڈین	ɖeːn
ڈینئیل	ɖeːnɛɪl
ڈینس	ɖeːn̪s
ڈینش	ɖeːnɪʃ
ڈینیل	ɖeːniːl
ڈیو	ɗiːu
ڈیوائس	ɗiːwaɪs
ڈیوٹی	ɗiːuːtiː
ڈیوس	ɖeːʋs
ڈیووس	ɗɪuːs
ڈے	ɖeː
ر	ɾ
رئڈ	ɾeːɖ
رئیل	ɾeːl
راؤنڈ	ɾɔ̃ːnd̪
راؤنڈز	ɾɔ̃ːndz
رائفل	ɾɑːɪfəl
رائل	ɾɑːɪl
رائلز	ɾɑːɪlz
رائے	ɾɑːjeː
رابرٹ	ɾɑːbɛɾt̪
رابطہ	ɾɑːbɪt̪ʰɑː
رابطوں	ɾɑːbɪt̪oːŋ
رابطے	ɾɑːbɪt̪eː
رابعہ	ɾɑːbiːɣɑː
رابن	ɾɑːbɪn
رات	ɾɑːt
راتوں	ɾɑːtõː
راج	ɾɑːdʒ
راجاساہب	ɾɑːʒɑːsɑ̄ʔɪb
راجر	roːgər
راجرز	ɾoːgəɾeːz
راجکمار	ɾɑdʒkʋɑmɑɾ
راجکماری	ɾɑdʒkʌmɑːɾiː
راجن	ɾɑːdʒn
راز	ɾɑz
رازدارانہ	ɾɑːzd̪əɾɑːniə
رازداری	ɾɑzɑdɑɾi
راست	ɾɑːst̪
راستہ	rɑːstə
راستہ	ɾɑst̪ʰɑ
راستوں	ɾɑːst̪oːŋ
راستے	ɾɑːsˈteː
راشن	ɾɑʃn
راضی	ɾɑːdʒi
رافٹنگ	ɾɑːft̪ɪŋ
راک	ɾɑk
راکٹس	ɾɑkːʌts
راکشس	ɾɑːkəʃs
راکشسوں	ɾɑːkʃsõː
راکھ	ɾɑkʰ
راکی	ɾɑːkiː
رالف	ɾəlf
رامادہ	ɾɑːmɑːd̪ə
راماڈہ	ɾɑːmɑːɖə
رانڈ	ɾɑ̃ːnd̪
رانڈیل	ɾɑːnɖɛl
رانی	ɾɑːniː
راںبنا	ɾɑ̃ːbənɑː
راہ	ɾɑh
راہباؤں	ɾɑːɦbɑːʊ̃
راہبوں	ɾɑːɦbõː
راہداریاں	ɾɑːhɑːd̪əɾɪ̃ː
راہنمائی	ɾɑhənmɑːi
راہیں	ɾɑːɦeːn
راولپنڈی	ɾɑʊlpənɖiː
رایلٹی	ɾɑɪlɪt̪iː
رب	ɾəb
ربڑ	ɾəbɽ
ربع	ɾəˈβ
ربیکا	ɾəbɪkɑ
رپورٹ	ɾəpoːɾəʈ
رپورٹر	ɾəpoːɾt̪əɾ
رپورٹنگ	ɾəpoːɾʈeŋ
رپورٹیں	ɾpʊɾʈeː
رتبہ	ɾʌt̪bʌ
رْتبےدانوں	ɾət̪beːd̪ɑːnuːn
رج	ɾɪdʒ
رجحان	ɾʒɑˈɦɑn
رجمنٹ	ɾʊdʒmɛ̃ːʈ
رجوع	ɾʊˈgoː
رچرڈ	ɾɪtʃʰəɾɪt̪ʃ
رحم	ɾɑm
رحمت	ɾəɦmət
رحمدلی	ɾəhmeːdliː
رحمہ	ɾəhmə
رحمی	ɾəxmi
رخ	ɾək
رخصت	ɾəxˈsət
رخنہ	ɾəxnə
رد	ɾəd
ردعمل	ɾədæmːəl
ردوکد	ɾʊd̪okːe
ردی	ɾʊdi
رزق	ɾɪsˈq
رزق	ɾɪzq
رزو	ɾezo
رس	ɾəs
رسائی	ɾəsɑːiː
رسالت	ɾəsɑːlɪt
رسانی	ɾəsaːniː
رسپانس	ɾəspəns
رستے	ɾəsteː
رسد	ɾəsɪd
رسک	ɾəsk
رسمی	ɾɑsmɪ
رسوخ	ɾəsʊx
رسول	ɾəsʊl
رسّی	ɾəsːiː
رسی	ɾəsi
رسید	ɾəsɪd
رسیلی	ɾəsiˈli
رسیوں	ɾəsiõː
رش	ɾɪʃ
رشاد	ɾəʃɑːd
رشتہ	ɾəʃt̪ə
رشتہ	ɾɪʃt̪ɑː
رشتے	ɾəʃt̪eː
رشک	ɾəʃk
رشوت	ɾəʃoːt
رضا	ɾəza
رضاکار	ɾəzaːkɑːr
رضاکارانہ	ɾəɣɑkɑrɑnə
رضاکاروں	ɾəzaːkɑːroː
رضامند	ɾɪzɑːmɪnd
رضامندی	ɾəzaːmendi
رعایا	ɾəʋɑːjɑː
رعایت	ɾəʋɑːʔeːt
رفت	ɾaft
رفتار	ɾəftɑːr
رقاص	ɾəqɑːs
رقص	ɾʊqs
رقم	ɾʊqmʊ
رقوم	ɾʊqoːm
رک	ɾek
رْک	ɾək
رُک	ɾʊk
رکئے	ɾəkɪe
رکا	ɾʊkɑ
رکاوٹ	ɾəkɑːʋʈ
رکاوٹوں	ɾəkɑʊʈoːn
رکن	ɾʊkən
رکنا	ɾəknɑ
رکنیت	ɾəkəˈniːt
رکنیتی	ɾəkniːt̪iː
رکھ	ɾəkʰ
رکھا	ɾəkʰɑ
رکھتا	ɾəkʰt̪ə
رکھتی	ɾəkʰt̪i
رکھتے	ɾəkʰt̪eː
رکھنا	ɾəkʰnə
رکھنی	ɾəkʰniː
رکھنے	ɾəkʰne
رکھو	ɾəkʰo
رکھوگے	ɾəkʰoːgeː
رکھوں	ɾəkʰõː
رکھی	ɾəkʰiː
رکھینگے	ɾəkʰɪŋeː
رکھیں	ɾəkʰeːn
رکھے	ɾəkʰeː
رکو	ɾoːkʊ
رکوع	ɾekoːʋ
رکی	ɾiki
رکیں	ɾəkẽː
رکیے	ɾekjɛ
رْکیے	ɾkiːe
رکے	ɾeːkə
رگ	ɾʊg
رگڑا	ɾəgəɽə
رگڑتا	ɾəgəɽt̪ə
رگوں	ɾəgoːn
رمزی	ɾʌmzi
رن	ɾən
رنڈی	ɾəŋɖiː
رنز	ɾənz
رنگ	ɾəŋ
رنگروٹ	ɾəŋgɾoːt
رہ	ɾə
رہا	ɾəɦɑ
رہائش	ɾəɦɑːɪtʃ
رہائشی	ɾəɦɑːʃi
رہائی	ɾəɦɑːi
رہبر	ɾɛɦbəɾ
رہت	ɾəɦt
رہتا	ɾəɦt̪ɑ
رہتی	ɾəɦt̪i
رہتے	ɾehte
رہسی	ɾəhʃiː
رہن	ɾəhn
رہنا	ɾəɦnə
رہنما	ɾəhnmɑ
رہنماؤں	ɾəɦnæmɔ̃ː
رہنمائی	ɾəhnɑːmɑːiː
رہنی	ɾəɦniː
رہنے	ɾəne
رہو	ɾo
رہوگے	roːɣe
رہوں	ɾɑɦoː
رہيں	ɾeːɦẽː
رہی	ɾəɦiː
رہیں	ɾeːɦẽː
رہے	ɾəhe
رہےہیں	ɾeːɦeːɦĩː
رو	roː
روؤ	ɾoʊ
روابط	ɾɑwɑbɪt
روانہ	ɾoːnɑː
رواں	ɾʋɑ̃
روایات	ɾoːʔɑːjɑːt̪
روایت	ɾoːɑɪt̪
روایتی	roːɑːjtiː
روبوٹ	ɾʊboːʈ
روبوٹس	ɾoːˈboːʈs
روپوش	ɾoːpuːʃ
روپیہ	ɾuːpəjjɑː
روپیہ	ɾuːpɪjɑː
روپے	ɾoːpə
روتا	ɾoːt̪ə
روتے	ɾoʈe
روٹر	ɾoʈəɾ
روٹری	ɾoːt̪ɾiː
روٹی	ɾoːtiː
روح	ɾoːh
روحانی	ɾuːɦɑːni
روحوں	ɾoʊɦʊ̃
روڈ	ɾoːɖ
روز	ɾoːz
روزا	ɾoːzə
روزانہ	ɾoːzaːnə
روزگار	ɾoːzgɑːr
روزمرہ	ɾoːzməɾə
روزہ	ɾoːze
روزی	ɾoːzi
روزے	ɾoːze
روس	ɾoːs
روسٹ	ɾoːsʈ
روسی	ɾoːsiː
روشن	ɾoːʃn
روشنی	roʃniː
روشنی	ɾoʃni
روشنی	ɾoʃniː
روک	ɾoːk
روکا	ɾoːkɑ
روکتا	ɾoːkəta
روکساک	ɾoːkɑsɑk
روکنا	ɾoːknɑː
روکنے	ɾoːkneː
روکو	ɾoːkuː
روکے	ɾoːkeː
روگردانی	ɾoːgəɾdɑːniː
رول	ɾoːl
رولنڈ	ɾoːlənɖ
رولنگ	ɾoːlɪŋ
روم	ɾoːm
رومال	ɾoːmɑl
رومانٹک	ɾomənt̪k
رومانوی	roːmɑːnʋiː
رومانی	ɾoːmaːniː
رومانیہ	ɾoːmaːniːɑː
رومانیوں	ɾoːmɑːnijoːn
رومن	ɾoːmən
رومی	ruːmiː
رومیو-بھارت	ruːmiːoːbʱɑːrt̪
رونا	roːnə
روندنے	ɾʊndne
رونلڈ	ɾʊnləɽ
رونے	ɾoːne
رویا	rujɑ
رویہ	ɾoi
رویے	ɾoi
ری	riː
ریاست	ɾɛːʔɑːst̪
ریاستہائے	ɾeːʔɑːsˈt̪ʰɑːe̯
ریاستی	ɾeːʔɑːst̪iː
ریاضی	ɾɛˈɑːdʒi
ریاضیاتی	ɾɛɑːdʒiːɑːtiː
ریپبلک	ɾeːpblɪk
ریپبلکن	ɾeːpblɪkən
ریپر	ɾeːpəɾ
ریپسیڈ	ɾeːpʰsɪd
ریپیٹر	ɾeːpɪt̪əɾ
ریت	ɾeːt̪
ریٹا	ɾeːt̪ɑː
ریٹائر	ɾeːtɑɪɾ
ریٹائرڈ	ɾeːt̪ɑɪɾeːd̪
ریجنل	ɾeːgnəl
ریچھ	ɾeːtʃ
ریخ	ɾeːx
ریڈ	ɾiːɽ
ریڈار	ɾiːɖɑːr
ریڈیو	ɾiːɖoː
ریز	ɾeːz
ریزرو	ɾeːzəroː
ریزولوشن	ɾeɪzoːluːʃən
ریزیومے	ɾeːziːmeː
ریڑھ	ɾɪɑɽʰ
ریڑھیاں	ɾiːɽʰijɑ̃
ریس	ɾeːs
ریسپانس	ɾɪspɑːns
ریستوران	ɾeːstʊɾɑːn
ریستورانون	ɾeːst̪oːɾɑːnʊn
ریسرچ	ɾeɪsɑɾtʃ
ریسکیو	ɾeːskiːu
ریسلنگ	ɾeɪsəlɪŋ
ریسورسز	ɾeːsʊɾs
ریشمی	ɾiːʃmi
ریفرنس	ɾɪfɾəns
ریفری	ɾeːfɾiː
ریکارڈ	ɾeːkɑːɾɪd̪
ریکارڈز	ɾeːkɑːɾɪd̪z
ریکارڈنگ	ɾeːkɑːɾɖɪŋ
ریکٹر	ɾeːkʈəɾ
ریگستان	ɾeːgɪsˈt̪ɑːn
ریلوے	ɾɪlʋeː
ریلی	ɾiːliː
ریلے	ɾeːleː
ریمانڈ	ɾeːmɑːnd̪
ریمپ	ɾeːmpə
ریمزے	ɾeːmaːzeː
ریمسی	ɾeːmɪsɪ
ریمنڈ	ɾeːmənd̪
رینالٹ	ɾɪnɑːl̪t̪
رینج	ɾeːŋ
رینجرز	ɾeːngəɾs
رینڈ	ɾeːnd̪
رینو	ɾeːnoː
ریو	ɾiːoː
ریورس	ɾeːʋɑːs
ریویالی	ɾeːʋɑːliː
ریوین	ɾeːʋɪn
رے	ɾeː
ز	z
زµ	zɪ
زءِ	zeː
زءز	zeːz
زإآ	zɑ
زاàاد	zɑːd
زائد	zɑːiːd
زائرین	zɑːireːn
زادہـ	zɑːd̪ə
زانٹی	zɑːnt̪iː
زاہد	zɑːhəd
زاویہ	zɑːʋɪh
زبان	zæbʌn
زبان	zʊbɑːn
زبانوں	zɑβʊ̃nõː
زبانیں	zʊbɑːniː
زبردست	zəbɾd̪est̪
زبردستی	zəbɾd̪eːst̪i
زحمت	zɑhmət
زخم	zɪkm
زخموں	zəkmõː
زخمی	zəkmi
زخمیوں	zəkʰmijõː
زد	zɑd
زدہ	zɑːd̪ə
زرد	zɑrɾd
زرعی	zɑrʋeː
زکر	zɪkəɾ
زگانے	zgɑːnɛ
زلزلہ	zəlzələ
زلزلوں	zəlzəlõː
زلزلیات	zəlzəlɪɑːt
زلزلے	zəlzələ
زمانے	zɪmɑːne
زمرہ	zʊmərə
زمرے	zʊmre
زمین	zæmɪn
زمین	zəmˈiːn
زمین	zəmiːn
زمینوں	zæmɪ̃ːŋ
زنا	zəna
زندگی	zɪnd̪əgiː
زندگی	zɪndəgɪ
زندگی	zɪnd̪əgɪ
زندگی	zɪnd̪giː
زندگیاں	zɪnd̪gijɑ̃
زندگیوں	zɪndgɪjõː
زندہ	zɪnˈd̪eː
زہ	ze
زہر	zɛr
زہرہ	zəhra
زہریلا	zəhɪrɪlə
زہریلے	zəhɪlɛ
زہیب	zoɦeːb
زوال	zʊɑːl
زور	zɔːr
زولا	zɔːlɑː
زولو	zuːloː
زوم	zuːm
زون	zun
زیادتی	zĕjäːtt̪iː
زیادتیاں	ziːɑːd̪tȋã
زیادہ	ziɑːd̪ə
زیر	zɪr
زیرِ	zɪrɪ
زیرو	ziːroː
زیور	ziːr
زیورات	ziwɑːrɑːt
ڑلان	ɽɑlɑn
س	s
سµµ	sɪng
سا	sɑ
ساؤ	sɑuː
سائبر	sɑɪbɾ
سائبرسپیس	sɑːɪbɾəspiːs
سائٹ	sɑɪt
سائڈ	saɪd
سائرل	sɑːɪrəl
سائرن	sɑːɪrən
سائز	saːiz
سائن	sɛ̃ːn
سائنس	sɑːjɪns
سائنس	sɑːʔɪns
سائنسدان	sɑːʔɪnsd̪ɑːn
سائنسدانوں	saːʔɪnsd̪ɑːnuː
سائنسی	sɛːnsiː
سائنیسِس	saːiːnisis
سائیکل	saːɪkəl
سائینائیڈ	saːɪnɑːɪd
سائینسِس	ˈsɑːʔɪnsɪs
سائینیسِس	saːʔiːnɪs
سائے	saːje
سابق	sɑbeq
سابقہ	sɑːbɪqɑː
سات	sɑːt
ساتھ	sɑːt̪ʰ
ساتھی	sɑːt̪ʰiː
ساتھیوں	sɑːt̪ʰijõː
ساتویں	sɑːtʊjə̃
ساٹھ	sɑːʈʰ
ساحل	sɑːhɪl
ساحلوں	saːxɪlõː
ساحلی	saːɦliː
ساختہ	sɑːxt̪ʰɑː
سادءِ	sɑːd̪eː
سادگی	saːd̪giː
سادہ	sɑːd̪ə
سادے	sɑːd̪eː
سار	sɑːr
سارا	sɑːrɑː
سارج	sɑːɾdʒ
سارجنٹ	sɑːɾdʒənt
سارس	sɑːɾs
سارہ	sɑːɾɑː
ساری	sɑːriː
سارے	sɑːɾeː
ساز	sɑːz
سازش	sɑːzəʃ
سازی	səˈnɑːji
ساس	sɑs
ساسیں	sɑːsẽː
ساشا	sɑːʃɑː
سافٹ	sɑːft
سافٹبال	sɑːft̪bɑːl
سافٹویئر	sɑːftʋiːr
ساك	sɑk
ساکھ	sɑkʰ
سال	sɑl
سالا	sɑlɑ
سالار	sɑlɑr
سالاری	sɑlɑːriː
سالانہ	sɑlɑnə
سالچک	sɑltʃək
سالسا	sɑlsɑ
سالگرہ	saːlgəɾə
سالہ	sɑlɑ
سالوں	sɑlõː
سالی	sɑːliː
سالے	sɑlɛ
سام	sɑːm
سامان	sɑːmɑːn
سامبو	sɑːmbʊ
سامپ	sɑːmp
سامری	saːmriː
سامعین	sɑːmeːn
سامن	sɑːmən
سامنا	sɑːmnɑː
سامنے	sɑːmne
سان	sɑːn
سانپ	sɑːnpʰ
سانپوں	sɑːnpõː
سانتا	sɑːntɑː
سانتانا	sɑːntɑːnɑː
سانحہ	sɑːnɦɑː
سانحے	sɑnɦeː
سانس	sɑːns
سانی	sɑːniː
سایبان	sɑjbɑn
سایہ	sɑjɑ
سب	səb
سبارو	səbɑːroː
سباق	sʊbɑːq
سبب	sɪbɑːg
سبت	sɑbt̪
سبز	sɑbz
سبزی	səbˈziː
سبق	sæbɪg
سپاٹ	spɑːʈ
سپارٹا	spɑːɾt̪ɑː
سپانسرز	spɑːnsɑːrɪz
سپاہی	spəɦiː
سپاہیو	spəhɪo
سپاہیوں	spəhɪjõː
سپجوادی	spəˈgoʊɑːd̪iː
سپر	səpər
سپرد	spəɾd
سپرمین	spəɾmiːn
سپرنٹنڈنٹ	spəɾn̪t̪n̪d̪ənt̪
سپریم	spəɾeːmiː
سپلائی	spəlɑi
سپنج	spəŋdʒ
سپوٹار	spoːt̪əɾ
سپورٹس	spuːɾts
سپیس	spiːs
سپیشل	spiːʃəl
سپیل	spiːl
ستا	sɪtɑː
ستارہ	sətɑːɾɑː
ستارہ	sɪt̪aːɾɑː
ستارہ	sɪtɑːrɑː
ستاروں	səˈtɑːrõː
ستارے	sət̪əɾeː
ستر	st̪eːr
سترہ	sətɾə
سترہویں	stəɾəhəʋẽː
ستم	stæm
ستمبر	septɪmbər
ستیا	sɪt̪jɑː
سٹائل	ʃtɪɑːl
سٹاپ	stɑp
سٹار	sɪtɑːr
سٹارک	stɑːɾk
سٹرائیکر	ɪsˈtɾɑːɪkəɾ
سٹرپ	st̪əɾp
سٹریٹ	strɛːt
سٹریچر	strɛtʃər
سٹو	ʃt̪oː
سٹور	ɪsˈtoːr
سٹوریج	sʈoːɾɪdʒ
سٹول	ʃt̪oːl
سٹون	st̪oːn
سٹی	sʈiː
سٹیئرنگ	sʈeːɾeŋ
سٹیٹ	sɪt̪ːeːt̪
سٹیٹس	sɪt̪ːeːt̪s
سٹیرائڈز	ɪsʈiːɾɑːɪd̪z
سٹیشن	ʃtɪʃən
سٹیشنوں	ɪsʈɪʃɔ̃ː
سٹیفن	sʈeːfən
سٹیفین	steːfeːn
سٹیک	st̪eːk
سٹیل	ʃt̪iːl
سٹیمپ	stɪmp
سٹینڈ	stæ̃ːnd̪
سٹیو	steɪvo
سٹیون	sʈeːʋən
سٹیوی	sʈiːʋiː
سجایا	sʊdʒɑːjɑː
سججن	sɪdʒdʒən
سججنوں	sʊdʒdʒuːn
سچ	sətʃ
سچ	sɪtʃ
سچا	sɪtʃɑː
سچائی	sɪtʃɑːi
سچے	sɪtʃeː
سحر	səhɾ
سحری	sɛɦɛɾiː
سحری	sɛɦɾiː
سحری	sɛɾiː
سخاوت	səkɑːʊt
سخت	ʃɪxt
سختی	səkʰtiː
سخی	ʃəki
سڈنی	sɪɳɪ
سر	sər
سرا	səɾɑː
سراسر	səɾɑːsər
سراغ	səɾɑːɣ
سراہا	səɾɑːhɑ
سربراہ	sərbɾɑh
سربراہان	sərbɾɑːhɑːn
سربراہی	sərbərɑːhiː
سرپرست	sərpəɾəst
سرپرستوں	sərpərest̪oː
سرپھرے	sərpʰʌre
سرجری	səɾdʒiː
سرچ	sɛɾtʃ
سرحد	sərˈhəd
سرحدوں	sərɦədõː
سرحدی	sərˈɦɛd̪i
سرخ	sɑrɑx
سرخی	səɾɣiː
سرخیوں	səɾkʰijõː
سرد	sɑɾd
سردار	səɾd̪ɑːr
سردی	sɐɾdiː
سردی	sərdi
سردی	səɾd̪iː
سرزمین	sərˈzæːniː
سرسبز	sərsəbz
سرسوں	sərsõː
سرغنہ	sərɣənə
سرف	sərf
سرکاری	səɾkɑːɾiː
سرکٹس	sərkɪts
سرکسوں	səɾkɪsõː
سرکش	sɪɾkɛʃ
سرکشی	sɛɾkʃi
سرکل	sɛɾkəl
سرگرمی	sərgəɾmi
سرگرمیوں	sərgəɾmijõː
سرگوشی	sərgoːʃi
سرمئی	səɾmeɪ
سرما	sɪrmɑ
سرمایہ	səɾmɑːjə
سرنگ	səɾəŋ
سرنگوں	səɾəŋgõː
سرور	səruːr
سرورز	sərˈruːz
سرورق	səruq
سروس	sɪɾoːs
سروسز	sɾoːs
سروں	səɾoːŋ
سروے	sɪroːe
سرینا	səɾiːnɑː
سزا	səza
سزایابی	səzɑjɑːbiː
سڑ	səɽ
سڑا	səɽə
سڑک	səɽk
سڑکوں	səɽkõː
سڑی	səɽiː
سڑے	səɽe
سست	sɪst
سستا	sɪstɑ
سستی	sɑsti
سستے	səsˈteː
سسٹم	sɪst̪əm
سسٹمز	sɪst̪mz
سسکنا	sɪskənɑ
سطح	sɑt̪ʰ
سطحی	sətˈhɪ
سطحیں	sət̪ɦeːŋ
سعودی	sɑuːdiː
سعودیہ	sɑʊdɪjɑ
سعودیوں	sɑuːdijõː
سعید	sɛːʔiːd
سعیدکے	sɛːɪdkeː
سفارت	səfɑːrt
سفارتی	səfɑːrtiː
سفارش	səfɑːrɪʃ
سفاکانہ	səfɑkɑnə
سفر	səfɐɾ
سفر	səfɾ
سفری	səfri
سفید	sfeːd
سفیر	səfɪr
سکا	skɑː
سکاؤٹ	skɑːuʈ
سکارف	skɑːɾf
سکتا	skɪt̪ə
سکتی	skɪt̪i
سکتیں	skɪt̪iːŋ
سکتے	skʌt̪eː
سکڈ	skɑd
سکرپٹ	skɪrɪpt
سکرٹ	skɪrʈ
سکریپ	skɪɾeːp
سکریچ	skɪɾɪtʃ
سکرین	skɪɾiːn
سکس	sɛks
سکھا	skʰɑː
سکھاؤ	skɑːxɑːu
سکھائیں	skɑːˈhɛ̃ː
سکھانے	skʰɑːne
سکھایا	skɪɣɑːjɑː
سکو	skʊ
سکواڈرن	skɔːɽən
سکوپ	skoːp
سکور	skoːr
سکول	skʊl
سکول	sʊkuːl
سکون	skun
سکون	sʊkuːn
سکوں	skõː
سکی	ski
سکیٹ	skɪt
سکیل	skɪl
سکیں	skẽː
سکے	skɛ
سگار	sɪgɑr
سگرٹ	sɪgəɾt
سگریٹ	sɛgɪɾət
سگنل	sɛngəl
سگنلز	sɪgnəlz
سلائڈ	sɑlɑɪɖ
سلائڈنگ	sɑlɑɪɖɪŋ
سلام	sɑlɑm
سلامت	sælɑmət
سلامتی	sælɑmti
سْلجھا	səlgʱɑ
سلسلہ	səlseːŋɑ
سلسلوں	səlseːŋoː
سلسلے	sɛlsæŋgeː
سلطان	sʊlˈt̪ɑːn
سلطنت	səlˈt̪ənt̪
سلطنتِ	səlt̪ənt̪eː
سلطنتوں	səlʈn̪t̪oːŋ
سلمی	salmi
سلوا	sɪlwɑ
سلوک	sɪluːk
سلویو	səlʋiː
سلیپر	səliːpər
سلیش	səliːʃ
سلیکٹر	sɪlikt̪əɾ
سلیکٹرز	sɪlikt̪əɾz
سلیکس	sɪlɪkʰ
سم	sɪm
سماجی	səmɑːdʒi
سمارکا	səmaːrka
سماعت	sʌmɑːt
سماعتوں	səmaːt̪oːn
سمبھالتا	ɪmbʱɑːl̪ɪt̪ɑː
سمت	sɪmət
سمتار	sʌmtɑːr
سمتبر	sʌmt̪eːbɾ
سمٹی	sʌmtiː
سمجھ	sʊmɟʱ
سمجھا	sʊmgʌ
سمجھاؤنگا	səmɟʱɔːŋgə
سمجھانا	sʊmɟʱɑːnɑ
سمجھتا	səmgʱt̪ə
سمجھتی	səmˈgʱt̪i
سمجھتیں	sʊmgʱt̪iː
سمجھتے	səmgʱt̪eː
سمجھدار	səmɟʱd̪ɑːr
سمجھنا	səmˈgɑ̃nɑ
سمجھنے	sʌmgʱne
سمجھوتا	səmɟʱoːt̪ə
سمجھوتہ	sʊmɟʱoːt̪ʰə
سمجھوتے	səmɟʱoːt̪eː
سمجھی	sʊmgʱi
سمجھیں	səmgʱẽː
سمجھے	sʌmɟʱe
سمز	sɪmz
سمسٹر	sʌmsʌt̪r̪
سمعی	sɪmʔiː
سمن	sɪmn
سمندر	səmandəɾ
سمندروں	səmənˈd̪əroː
سمندری	səmənˈd̪riː
سمنوی	sʌmnoːi
سمیت	səmiːt
سمیٹ	sɪmɪt
سن	sən
سْن	sɪn
سنئے	sənɛ
سنا	sɪnɑː
