吖笨	aa˥ ban˨
優質鋼	jau˥ zat˥ gong˧
休止	jau˥ zi˧˥
休止符	jau˥ zi˧˥ fu˨˩
休戰	jau˥ zin˧
休整	jau˥ zing˧˥
幽靜	jau˥ zing˨
優哉悠哉	jau˥ zoi˥ jau˨˩ zoi˥
優哉游哉	jau˥ zoi˥ jau˨˩ zoi˥
優哉遊哉	jau˥ zoi˥ jau˨˩ zoi˥
悠哉悠哉	jau˥ zoi˥ jau˨˩ zoi˥
悠哉遊哉	jau˥ zoi˥ jau˨˩ zoi˥
黝暗	jau˧˥ am˧
柚青	jau˧˥ ceng˥
由得	jau˧˥ dak˥
由得佢啦	jau˧˥ dak˥ keoi˩˧ laa˥
由得佢喇	jau˧˥ dak˥ keoi˩˧ laa˧
由得你	jau˧˥ dak˥ nei˩˧
黝黑	jau˧˥ haak˥
由佢啦	jau˧˥ keoi˩˧ laa˥
由佢喇	jau˧˥ keoi˩˧ laa˧
柚木	jau˧˥ muk˨
油門	jau˧˥ mun˨˩
友仔	jau˧˥ zai˧˥
柚子	jau˧˥ zi˧˥
幼齒	jau˧ ci˧˥
幼雛	jau˧ co˥
幼蟲	jau˧ cung˨˩
幼教	jau˧ gaau˧
幼有所託	jau˧ jau˩˧ so˧˥ tok˧
幼兒	jau˧ ji˨˩
幼兒園	jau˧ ji˨˩ jyun˧˥
幼兒園	jau˧ ji˨˩ jyun˨˩
幼冷	jau˧ laang˥
幼馬	jau˧ maa˩˧
幼苗	jau˧ miu˨˩
幼女	jau˧ neoi˧˥
幼吾幼以及人之幼	jau˧ ng˨˩ jau˧ ji˩˧ kap˨ jan˨˩ zi˥ jau˧
幼芽	jau˧ ngaa˨˩
幼年	jau˧ nin˨˩
幼嫩	jau˧ nyun˨
幼細	jau˧ sai˧
幼獸	jau˧ sau˧
幼小	jau˧ siu˧˥
幼童	jau˧ tung˨˩
幼童軍	jau˧ tung˨˩ gwan˥
幼滑	jau˧ waat˨
幼子	jau˧ zi˧˥
幼稚	jau˧ zi˨
幼稚園	jau˧ zi˨ jyun˧˥
幼稚園	jau˧ zi˨ jyun˧˥[jau˧ zi˨ jyun˨˩]
郵包	jau˨˩ baau˥
疣鼻天鵝	jau˨˩ bei˨ tin˥ ngo˨˩
油餅	jau˨˩ beng˧˥
遊必有方	jau˨˩ bit˥ jau˩˧ fong˥
游標	jau˨˩ biu˥
由表及裏	jau˨˩ biu˧˥ kap˨ leoi˩˧
油布	jau˨˩ bou˧
油布衫	jau˨˩ bou˧ saam˥
遊伴	jau˨˩ bun˨
油茶	jau˨˩ caa˨˩
郵差	jau˨˩ caai˥
油層	jau˨˩ cang˨˩
油漆	jau˨˩ cat˥
郵車	jau˨˩ ce˥
遊車河	jau˨˩ ce˥ ho˧˥
遊春	jau˨˩ ceon˥
由旬	jau˨˩ ceon˨˩
由此可見	jau˨˩ ci˧˥ ho˧˥ gin˧
由此可證	jau˨˩ ci˧˥ ho˧˥ zing˧
由始至終	jau˨˩ ci˧˥ zi˧ zung˥
由此至終	jau˨˩ ci˧˥ zi˧ zung˥
柔情脈脈	jau˨˩ cing˨˩ mak˨ mak˨
悠長	jau˨˩ coeng˨˩
油菜	jau˨˩ coi˧
郵戳	jau˨˩ cok˥
由衷	jau˨˩ cung˥
由衷感謝	jau˨˩ cung˥ gam˧˥ ze˨
猶大書	jau˨˩ daai˨ syu˥
猶達	jau˨˩ daat˨
由低做起	jau˨˩ dai˥ zou˨ hei˧˥
郵遞	jau˨˩ dai˨
郵遞區號	jau˨˩ dai˨ keoi˥ hou˨
油𩛍	jau˨˩ deoi˥
由點到面	jau˨˩ dim˧˥ dou˧ min˧˥
郵電	jau˨˩ din˨
油多	jau˨˩ do˥
遊盪	jau˨˩ dong˨
遊蕩	jau˨˩ dong˨
柔道	jau˨˩ dou˨
遊導	jau˨˩ dou˨
遊花園	jau˨˩ faa˥ jyun˧˥
郵費	jau˨˩ fai˧
游埠	jau˨˩ fau˨
遊埠	jau˨˩ fau˨
油𣗺	jau˨˩ fu˥
油乎乎	jau˨˩ fu˥ fu˥
柔膚水	jau˨˩ fu˥ seoi˧˥
油灰	jau˨˩ fui˥
油灰刀	jau˨˩ fui˥ dou˥
油灰水	jau˨˩ fui˥ seoi˧˥
油加利	jau˨˩ gaa˥ lei˨
遊街示衆	jau˨˩ gaai˥ si˨ zung˧
油隔	jau˨˩ gaak˧
郵簡	jau˨˩ gaan˧˥
由簡而繁	jau˨˩ gaan˧˥ ji˨˩ faan˨˩
油曱甴	jau˨˩ gaat˨ zaat˧˥
油雞	jau˨˩ gai˥
游雞	jau˨˩ gai˥
油甘子	jau˨˩ gam˥ zi˧˥
由近而遠	jau˨˩ gan˨ ji˨˩ jyun˩˧
悠久	jau˨˩ gau˧˥
尤詬	jau˨˩ gau˧
油垢	jau˨˩ gau˧
游記	jau˨˩ gei˧
遊記	jau˨˩ gei˧
郵寄	jau˨˩ gei˧
油鋸	jau˨˩ geoi˧
游擊	jau˨˩ gik˥
郵件	jau˨˩ gin˧˥
由徑	jau˨˩ ging˧
油角	jau˨˩ gok˧
游乾水	jau˨˩ gon˥ seoi˧˥
油缸	jau˨˩ gong˥
郵局	jau˨˩ guk˧˥
郵局	jau˨˩ guk˨
郵局編碼	jau˨˩ guk˨ pin˥ maa˩˧
油光	jau˨˩ gwong˥
油光漆	jau˨˩ gwong˥ cat˥
油光可鑒	jau˨˩ gwong˥ ho˧˥ gaam˧
油光水滑	jau˨˩ gwong˥ seoi˧˥ waat˨
由下向上	jau˨˩ haa˨ hoeng˧ soeng˨
由下而上	jau˨˩ haa˨ ji˨˩ soeng˨
油鞋	jau˨˩ haai˨˩
遊客	jau˨˩ haak˧
游客止步	jau˨˩ haak˧ zi˧˥ bou˨
悠閒	jau˨˩ haan˨˩
油黑	jau˨˩ hak˥
遊行	jau˨˩ hang˨˩
遊行前線	jau˨˩ hang˨˩ cin˨˩ sin˧
游行示威	jau˨˩ hang˨˩ si˨ wai˥
揉合	jau˨˩ hap˨
糅合	jau˨˩ hap˨
遊俠	jau˨˩ hap˨
油器	jau˨˩ hei˧
遊戲	jau˨˩ hei˧
游戲池	jau˨˩ hei˧ ci˨˩
遊戲設備	jau˨˩ hei˧ cit˧ bei˨
遊戲機	jau˨˩ hei˧ gei˥
遊戲人間	jau˨˩ hei˧ jan˨˩ gaan˥
遊戲咭	jau˨˩ hei˧ kaat˥
遊戲規則	jau˨˩ hei˧ kwai˥ zak˥
遊戲說	jau˨˩ hei˧ syut˧
游興	jau˨˩ hing˧
遊興正濃	jau˨˩ hing˧ zing˧ nung˨˩
遊河	jau˨˩ ho˨˩
油香餅	jau˨˩ hoeng˥ beng˧˥
遊學	jau˨˩ hok˨
遊學生	jau˨˩ hok˨ saang˥
遊學團	jau˨˩ hok˨ tyun˨˩
油腔滑調	jau˨˩ hong˥ waat˨ diu˨
遊吟詩人	jau˨˩ jam˨˩ si˥ jan˨˩
油印	jau˨˩ jan˧
遊人	jau˨˩ jan˨˩
遊人如織	jau˨˩ jan˨˩ jyu˨˩ zik˥
柔韌	jau˨˩ jan˨
遊刃有餘	jau˨˩ jan˨ jau˩˧ jyu˨˩
油油	jau˨˩ jau˧˥
髹油	jau˨˩ jau˧˥
悠悠	jau˨˩ jau˨˩
遊遊蕩蕩	jau˨˩ jau˨˩ dong˨ dong˨
游游閒	jau˨˩ jau˨˩ haan˨˩
悠悠球	jau˨˩ jau˨˩ kau˨˩
猶有餘悸	jau˨˩ jau˩˧ jyu˨˩ gwai˧
由右向左	jau˨˩ jau˨ hoeng˧ zo˧˥
由右至左	jau˨˩ jau˨ zi˧ zo˧˥
油潤	jau˨˩ jeon˨
猶疑	jau˨˩ ji˨˩
游移不定	jau˨˩ ji˨˩ bat˥ ding˨
猶疑不決	jau˨˩ ji˨˩ bat˥ kyut˧
油耳	jau˨˩ ji˩˧
尤爾欽科	jau˨˩ ji˩˧ jam˥ fo˥
由易到難	jau˨˩ ji˨ dou˧˥ naan˨˩
油膉	jau˨˩ jik˥
油膉除	jau˨˩ jik˥ ceoi˨˩
油膉𡃴	jau˨˩ jik˥ ceoi˨˩
游弋	jau˨˩ jik˨
遊弋	jau˨˩ jik˨
油鹽醬醋	jau˨˩ jim˨˩ zoeng˧ cou˧
油菸	jau˨˩ jin˥
油然	jau˨˩ jin˨˩
猶言	jau˨˩ jin˨˩
蚰蜒	jau˨˩ jin˨˩
油然而生	jau˨˩ jin˨˩ ji˨˩ sang˥
悠然神往	jau˨˩ jin˨˩ san˨˩ wong˩˧
悠然自得	jau˨˩ jin˨˩ zi˨ dak˥
悠然自居	jau˨˩ jin˨˩ zi˨ geoi˥
遊刑	jau˨˩ jing˨˩
油頁岩	jau˨˩ jip˨ ngaam˨˩
柔弱	jau˨˩ joek˨
悠揚	jau˨˩ joeng˨˩
由於	jau˨˩ jyu˥
魷魚	jau˨˩ jyu˧˥
猶如	jau˨˩ jyu˨˩
猶豫	jau˨˩ jyu˨˩
魷魚	jau˨˩ jyu˨˩
猶豫不決	jau˨˩ jyu˨˩ bat˥ kyut˧
猶豫	jau˨˩ jyu˨
遊園會	jau˨˩ jyun˨˩ wui˧˥
悠遠	jau˨˩ jyun˩˧
柔軟	jau˨˩ jyun˩˧
柔軟劑	jau˨˩ jyun˩˧ zai˥
郵購	jau˨˩ kau˧
尤其	jau˨˩ kei˨˩
尤其係	jau˨˩ kei˨˩ hai˨
尤其是	jau˨˩ kei˨˩ si˨
由佢湊	jau˨˩ keoi˩˧ cau˧
遊覽	jau˨˩ laam˩˧
油冧冧	jau˨˩ lam˨ lam˨
油漏	jau˨˩ lau˨
游離	jau˨˩ lei˨˩
遊離	jau˨˩ lei˨˩
遊離浪蕩	jau˨˩ lei˨˩ long˨ dong˨
郵輪	jau˨˩ leon˨˩
蹂躙	jau˨˩ leon˨
蹂躪	jau˨˩ leon˨
遊歷	jau˨˩ lik˨
遊獵	jau˨˩ lip˨
油料管理	jau˨˩ liu˧˥ gun˧˥ lei˩˧
油料輸送	jau˨˩ liu˧˥ syu˥ sung˧
由來	jau˨˩ loi˨˩
由來已久	jau˨˩ loi˨˩ ji˩˧ gau˧˥
遊樂	jau˨˩ lok˨
遊樂場	jau˨˩ lok˨ coeng˨˩
遊樂園	jau˨˩ lok˨ jyun˨˩
油𠺘口	jau˨˩ long˧˥ hau˧˥
油轆	jau˨˩ luk˥
油麻	jau˨˩ maa˨˩
油蔴地	jau˨˩ maa˨˩ dei˧˥
油麻地	jau˨˩ maa˨˩ dei˧˥
油麻地東	jau˨˩ maa˨˩ dei˧˥ dung˥
油碼頭	jau˨˩ maa˩˧ tau˨˩
油麥	jau˨˩ mak˨
油麥菜	jau˨˩ mak˨ coi˧
遊民改造	jau˨˩ man˨˩ goi˧˥ zou˨
尤物	jau˨˩ mat˨
柔媚	jau˨˩ mei˨
猶未爲晚	jau˨˩ mei˨ wai˨˩ maan˩˧
揉磨	jau˨˩ mo˨˩
游牧	jau˨˩ muk˨
遊牧	jau˨˩ muk˨
油淰淰	jau˨˩ naam˩˧ naam˩˧
由難到易	jau˨˩ naan˨˩ dou˧ ji˨
油淋淋	jau˨˩ nam˨ nam˨
油淰淰	jau˨˩ nam˨ nam˨
柔能克剛	jau˨˩ nang˨˩ hak˥ gong˥
油𥹉	jau˨˩ nap˨
油𣲷𣲷	jau˨˩ nap˨ nap˨
油膩	jau˨˩ nei˨
猶女	jau˨˩ neoi˧˥
油顔色	jau˨˩ ngaan˨˩ sik˥
髹顏色	jau˨˩ ngaan˨˩ sik˥
遊藝會	jau˨˩ ngai˨ wui˧˥
揉捏	jau˨˩ nip˨
鈾濃縮	jau˨˩ nung˨˩ suk˥
油瓶仔	jau˨˩ peng˧˥ zai˧˥
油瓶女	jau˨˩ peng˩˧ neoi˧˥
油瓶仔	jau˨˩ peng˩˧ zai˧˥
郵票	jau˨˩ piu˧
油舖	jau˨˩ pou˧˥
遊山玩水	jau˨˩ saan˥ wun˨ seoi˧˥
由細到大	jau˨˩ sai˧ dou˧ daai˨
尤甚	jau˨˩ sam˨
遊手好閒	jau˨˩ sau˧˥ hou˧ haan˨˩
油水	jau˨˩ seoi˧˥
游水	jau˨˩ seoi˧˥
油水地	jau˨˩ seoi˧˥ dei˨
游水棚	jau˨˩ seoi˧˥ paang˨˩
揉碎	jau˨˩ seoi˧
游說	jau˨˩ seoi˧
遊說	jau˨˩ seoi˧
游說團體	jau˨˩ seoi˧ tyun˨˩ tai˧˥
柔順	jau˨˩ seon˨
柔順劑	jau˨˩ seon˨ zai˥
遊絲	jau˨˩ si˥
遊星	jau˨˩ sing˥
油性	jau˨˩ sing˧
油性筆	jau˨˩ sing˧ bat˥
郵箱	jau˨˩ soeng˥
游賞	jau˨˩ soeng˧˥
由上而下	jau˨˩ soeng˨ ji˨˩ haa˨
鞣酸	jau˨˩ syun˥
油旋	jau˨˩ syun˨˩
游船	jau˨˩ syun˨˩
郵船	jau˨˩ syun˨˩
遊船河	jau˨˩ syun˨˩ ho˧˥
猶太	jau˨˩ taai˧
猶太法典	jau˨˩ taai˧ faat˧ din˧˥
猶太教	jau˨˩ taai˧ gaau˧
猶太人	jau˨˩ taai˧ jan˨˩
猶太會堂	jau˨˩ taai˧ wui˧˥ tong˨˩
油頭	jau˨˩ tau˨˩
由頭	jau˨˩ tau˨˩
由頭到尾	jau˨˩ tau˨˩ dou˧ mei˩˧
油頭粉面	jau˨˩ tau˨˩ fan˧˥ min˨
遊艇	jau˨˩ teng˩˧
遊艇徑	jau˨˩ teng˩˧ ging˧
油艇女	jau˨˩ teng˩˧ neoi˧˥
油艇仔	jau˨˩ teng˩˧ zai˧˥
由天而降	jau˨˩ tin˥ ji˨˩ gong˧
油田	jau˨˩ tin˨˩
油條	jau˨˩ tiu˧˥
油塘	jau˨˩ tong˨˩
油桃	jau˨˩ tou˨˩
郵筒	jau˨˩ tung˧˥
油桐油	jau˨˩ tung˨˩ jau˨˩
油畫	jau˨˩ waa˧˥
油猾	jau˨˩ waat˨
尤爲	jau˨˩ wai˨˩
遊魂	jau˨˩ wan˨˩
遊魂野鬼	jau˨˩ wan˨˩ je˩˧ gwai˧˥
游泳	jau˨˩ wing˨
游泳池	jau˨˩ wing˨ ci˨˩
游泳鏡	jau˨˩ wing˨ geng˧
游泳衣	jau˨˩ wing˨ ji˥
揉和	jau˨˩ wo˨˩
柔和	jau˨˩ wo˨˩
油汪汪	jau˨˩ wong˥ wong˥
油污	jau˨˩ wu˥
遊湖	jau˨˩ wu˧˥
遊糊	jau˨˩ wu˧˥
郵匯	jau˨˩ wui˨
遊抏	jau˨˩ wun˨
遊玩	jau˨˩ wun˨
油渣	jau˨˩ zaa˥
油渣面	jau˨˩ zaa˥ min˨
油榨	jau˨˩ zaa˧
油炸鬼	jau˨˩ zaa˧ gwai˧˥
油炸蟹	jau˨˩ zaa˧ haai˩˧
油榨嚇	jau˨˩ zaa˧ haak˧
油炸圈餅	jau˨˩ zaa˧ hyun˥ beng˧˥
油炸糉	jau˨˩ zaa˧ zung˧˥
油站	jau˨˩ zaam˨
鞣製	jau˨˩ zai˧
油浸唔肥	jau˨˩ zam˧ m˨˩ fei˨˩
油浸禾花雀	jau˨˩ zam˧ wo˨˩ faa˥ zoek˧
油井	jau˨˩ zeng˧˥
油錐	jau˨˩ zeoi˥
油𩺬	jau˨˩ zeoi˥
油嘴	jau˨˩ zeoi˧˥
遊隼	jau˨˩ zeon˧˥
油脂	jau˨˩ zi˥
油螆	jau˨˩ zi˥
猶之乎	jau˨˩ zi˥ fu˨˩
油脂女	jau˨˩ zi˥ neoi˧˥
油脂仔	jau˨˩ zi˥ zai˧˥
油脂裝	jau˨˩ zi˥ zong˥
油子	jau˨˩ zi˧˥
遊子	jau˨˩ zi˧˥
油紙遮	jau˨˩ zi˧˥ ze˥
尤自可	jau˨˩ zi˨ ho˧˥
猶自可	jau˨˩ zi˨ ho˧˥
由自可	jau˨˩ zi˨ ho˧˥
油漬	jau˨˩ zik˥
油跡	jau˨˩ zik˥
油占多	jau˨˩ zim˥ do˥
油占米	jau˨˩ zim˥ mai˩˧
油粘米	jau˨˩ zim˥ mai˩˧
油尖旺	jau˨˩ zim˥ wong˨
油氈	jau˨˩ zin˥
油症	jau˨˩ zing˧
郵政	jau˨˩ zing˧
郵政局	jau˨˩ zing˧ guk˧˥
郵政區碼	jau˨˩ zing˧ keoi˥ maa˩˧
郵政禮儀	jau˨˩ zing˧ lai˩˧ ji˨˩
柔焦	jau˨˩ ziu˥
由左向右	jau˨˩ zo˧˥ hoeng˧ jau˨
油勺	jau˨˩ zoek˧
酋長	jau˨˩ zoeng˧˥
悠哉	jau˨˩ zoi˥
疣狀	jau˨˩ zong˨
由早到夜	jau˨˩ zou˧˥ dou˧ je˨
油棕	jau˨˩ zung˥
疣豬	jau˨˩ zyu˥
遊珠江	jau˨˩ zyu˥ gong˥
有吖	jau˩˧ aa˥
有把炮	jau˩˧ baa˧˥ paau˧
有板有眼	jau˩˧ baan˧˥ jau˩˧ ngaan˩˧
有板你睇	jau˩˧ baan˧˥ nei˩˧ tai˧˥
有備而來	jau˩˧ bei˨ ji˨˩ loi˨˩
有備無患	jau˩˧ bei˨ mou˨˩ waan˨
有病	jau˩˧ beng˨
有別	jau˩˧ bit˨
有表哥	jau˩˧ biu˧˥ go˥
有波有籮	jau˩˧ bo˥ jau˩˧ lo˥
友邦	jau˩˧ bong˥
有寶	jau˩˧ bou˧˥
有寶咩	jau˩˧ bou˧˥ me˥
誘捕	jau˩˧ bou˨
有部車	jau˩˧ bou˨ ce˥
有背景人士	jau˩˧ bui˧ ging˧˥ jan˨˩ si˨
有悖於	jau˩˧ bui˨ jyu˥
有差價	jau˩˧ caa˥ gaa˧
有賊心冇賊膽	jau˩˧ caak˨ sam˥ mou˩˧ caak˨ daam˧˥
有沉有浮	jau˩˧ cam˨˩ jau˩˧ fau˨˩
有車一族	jau˩˧ ce˥ jat˥ zuk˨
有請	jau˩˧ ceng˧˥
有請小鳳姐	jau˩˧ ceng˧˥ siu˧˥ fung˧˥ ze˥
有趣	jau˩˧ ceoi˧
有齣	jau˩˧ ceot˥
有始有終	jau˩˧ ci˧˥ jau˩˧ zung˥
有始無終	jau˩˧ ci˧˥ mou˨˩ zung˥
有恃無恐	jau˩˧ ci˩˧ mou˨˩ hung˧˥
有錢	jau˩˧ cin˧˥
有錢有辦法，冇錢基本法	jau˩˧ cin˧˥ jau˩˧ baan˨ faat˧ mou˩˧ cin˧˥ gei˥ bun˧˥ faat˧
有錢有閒	jau˩˧ cin˧˥ jau˩˧ haan˨˩
有錢有勢	jau˩˧ cin˧˥ jau˩˧ sai˧
有錢樓上樓，冇錢地下踎	jau˩˧ cin˧˥ lau˨˩ soeng˨ lau˨˩ mou˩˧ cin˧˥ dei˨ haa˨ mau˥
有錢佬	jau˩˧ cin˧˥ lou˧˥
有錢冇埞使	jau˩˧ cin˧˥ mou˩˧ deng˨ sai˧˥
有錢使得鬼推磨	jau˩˧ cin˧˥ sai˧˥ dak˥ gwai˧˥ teoi˥ mo˨˩
有錢駛得鬼推磨	jau˩˧ cin˧˥ sai˧˥ dak˥ gwai˧˥ teoi˥ mo˨˩
有錢仔	jau˩˧ cin˧˥ zai˧˥
有前有後	jau˩˧ cin˨˩ jau˩˧ hau˨
有前冇後	jau˩˧ cin˨˩ mou˩˧ hau˨
有前冇後，打死罷就	jau˩˧ cin˨˩ mou˩˧ hau˨ daa˧˥ sei˧˥ baa˨ zau˨
有錢	jau˩˧ cin˨˩[jau˩˧ cin˧˥]
友情	jau˩˧ cing˨˩
友情價	jau˩˧ cing˨˩ gaa˧
有情人終成眷屬	jau˩˧ cing˨˩ jan˨˩ zung˥ sing˨˩ gyun˧ suk˨
有錯就改	jau˩˧ co˧ zau˨ goi˧˥
有腸肚	jau˩˧ coeng˨˩ tou˩˧
有大山挨	jau˩˧ daai˨ saan˥ aai˥
友悌	jau˩˧ dai˨
有得	jau˩˧ dak˥
有得擦	jau˩˧ dak˥ caat˧
有得揮	jau˩˧ dak˥ fai˥
有得一比	jau˩˧ dak˥ jat˥ bei˧˥
有得佢	jau˩˧ dak˥ keoi˩˧
有得摱	jau˩˧ dak˥ maan˥
有得𢺳	jau˩˧ dak˥ maan˥
有得掹	jau˩˧ dak˥ mang˥
有得你睇	jau˩˧ dak˥ nei˩˧ tai˧˥
有得斟	jau˩˧ dak˥ zam˥
有得震冇得瞓	jau˩˧ dak˥ zan˧ mou˩˧ dak˥ fan˧
有凸	jau˩˧ dat˨
有突	jau˩˧ dat˨
有埞	jau˩˧ deng˨
有埞坐	jau˩˧ deng˨ co˩˧
有啲	jau˩˧ di˥
有啲耷溼	jau˩˧ di˥ dap˥ sap˥
有啲澀	jau˩˧ di˥ gip˧
有啲麻煩	jau˩˧ di˥ maa˨˩ faan˨˩
有啲那個	jau˩˧ di˥ naa˩˧ go˧
有啲掗拃	jau˩˧ di˥ ngaa˨ zaa˨
有啲聲氣	jau˩˧ di˥ seng˥ hei˧
有啲燒	jau˩˧ di˥ siu˥
有啲傻	jau˩˧ di˥ so˨˩
有啲渣嗱	jau˩˧ di˥ zaa˥ laa˨˩
有啲震	jau˩˧ di˥ zan˧
有啲阻滯	jau˩˧ di˥ zo˧˥ zai˨
有的	jau˩˧ dik˥
有的是	jau˩˧ dik˥ si˨
有點	jau˩˧ dim˧˥
有點遠	jau˩˧ dim˧˥ jyun˩˧
有點慢	jau˩˧ dim˧˥ maan˨
有定冇	jau˩˧ ding˧˥ mou˩˧
有啲咁多	jau˩˧ dit˥ gam˧ do˥
有多	jau˩˧ do˥
有多嘅	jau˩˧ do˥ ge˧
有多嘅攞	jau˩˧ do˥ ge˧ lo˧˥
有待	jau˩˧ doi˨
有檔口	jau˩˧ dong˧ hau˧˥
誘導	jau˩˧ dou˨
誘導分娩	jau˩˧ dou˨ fan˥ min˩˧
誘導誤導	jau˩˧ dou˨ ng˨ dou˨
誘動	jau˩˧ dung˨
誘發	jau˩˧ faat˧
有分寸	jau˩˧ fan˥ cyun˧
有分數	jau˩˧ fan˥ sou˧
有份	jau˩˧ fan˧˥
有否	jau˩˧ fau˧˥
有夫之婦	jau˩˧ fu˥ zi˥ fu˩˧
有符號	jau˩˧ fu˨˩ hou˧˥
有婦之夫	jau˩˧ fu˩˧ zi˥ fu˥
有福同享，有難同當	jau˩˧ fuk˥ tung˨˩ hoeng˧˥ jau˩˧ naan˨ tung˨˩ dong˥
有福同享，有禍同當	jau˩˧ fuk˥ tung˨˩ hoeng˧˥ jau˩˧ wo˨ tung˨˩ dong˥
有風駛盡𢃇	jau˩˧ fung˥ sai˧˥ zeon˨ lei˩˧
有嘎	jau˩˧ ga˨˩
有加	jau˩˧ gaa˥
有價講	jau˩˧ gaa˧ gong˧˥
有架勢	jau˩˧ gaa˧ sai˧
有鑑於	jau˩˧ gaam˧ jyu˥
有鑒於	jau˩˧ gaam˧ jyu˥
有鑒於此	jau˩˧ gaam˧ jyu˥ ci˧˥
誘姦	jau˩˧ gaan˥
有交帶	jau˩˧ gaau˥ daai˧
有交易	jau˩˧ gaau˥ jik˨
有教無類	jau˩˧ gaau˧ mou˨˩ leoi˨
有今日	jau˩˧ gam˥ jat˨
有今生冇來世	jau˩˧ gam˥ sang˥ mou˩˧ loi˨˩ sai˧
有金執	jau˩˧ gam˥ zap˥
有金執咩	jau˩˧ gam˥ zap˥ me˥
有噉嘅事	jau˩˧ gam˧˥ ge˧ si˨
有感而發	jau˩˧ gam˧˥ ji˨˩ faat˧
有咁耐風流有咁耐折墮	jau˩˧ gam˧ noi˨ fung˥ lau˨˩ jau˩˧ gam˧ noi˨ zit˧ do˨
有咁早	jau˩˧ gam˧ zou˧˥
有根有據	jau˩˧ gan˥ jau˩˧ geoi˧
有根有蔃	jau˩˧ gan˥ jau˩˧ koeng˩˧
有根蔃	jau˩˧ gan˥ koeng˧˥
有根蔃	jau˩˧ gan˥ koeng˩˧
有緊要事	jau˩˧ gan˧˥ jiu˧ si˨
有救	jau˩˧ gau˧
有機	jau˩˧ gei˥
有機玻璃	jau˩˧ gei˥ bo˥ lei˥
有機氮	jau˩˧ gei˥ daam˨
有機化合物	jau˩˧ gei˥ faa˧ hap˨ mat˨
有機結合	jau˩˧ gei˥ git˧ hap˨
有機可乘	jau˩˧ gei˥ ho˧˥ sing˨˩
有機源	jau˩˧ gei˥ jyun˨˩
有機物	jau˩˧ gei˥ mat˨
有機體	jau˩˧ gei˥ tai˧˥
有機土	jau˩˧ gei˥ tou˧˥
有幾遲	jau˩˧ gei˧˥ ci˨˩
有幾錢	jau˩˧ gei˧˥ cin˧˥
有幾貴	jau˩˧ gei˧˥ gwai˧
有幾何	jau˩˧ gei˧˥ ho˧˥
有幾可	jau˩˧ gei˧˥ ho˧˥
有幾手嘢	jau˩˧ gei˧˥ sau˧˥ je˩˧
有肩膀	jau˩˧ gin˥ bong˧˥
有見地	jau˩˧ gin˧ dei˨
有驚無險	jau˩˧ ging˥ mou˨˩ him˧˥
有㬌	jau˩˧ ging˧˥
有境	jau˩˧ ging˧˥
有歌詞	jau˩˧ go˥ ci˨˩
有嗰句講嗰句	jau˩˧ go˧˥ geoi˧ gong˧˥ go˧˥ geoi˧
有肝膽	jau˩˧ gon˥ daam˧˥
有講有笑	jau˩˧ gong˧˥ jau˩˧ siu˧
有故講咯	jau˩˧ gu˧˥ gong˧˥ lok˧
誘供	jau˩˧ gung˥
有功人員	jau˩˧ gung˥ jan˨˩ jyun˨˩
有功之臣	jau˩˧ gung˥ zi˥ san˨˩
有啩	jau˩˧ gwaa˧
誘拐者	jau˩˧ gwaai˧˥ ze˧˥
有怪莫怪	jau˩˧ gwaai˧ mok˨ gwaai˧
有關	jau˩˧ gwaan˥
有關各方	jau˩˧ gwaan˥ gok˧ fong˥
有鬼用咩	jau˩˧ gwai˧˥ jung˨ me˥
有鬼所謂	jau˩˧ gwai˧˥ so˧˥ wai˨
有骨	jau˩˧ gwat˥
有隙可乘	jau˩˧ gwik˥ ho˧˥ sing˨˩
有過之而無不及	jau˩˧ gwo˧ zi˥ ji˨˩ mou˨˩ bat˥ kap˨
有鹹有甜	jau˩˧ haam˨˩ jau˩˧ tim˨˩
誘陷	jau˩˧ haam˨
有限	jau˩˧ haan˨
有限單元	jau˩˧ haan˨ daan˥ jyun˨˩
有限度	jau˩˧ haan˨ dou˨
有限公司	jau˩˧ haan˨ gung˥ si˥
有限元法	jau˩˧ haan˨ jyun˨˩ faat˧
有限羣	jau˩˧ haan˨ kwan˨˩
有效	jau˩˧ haau˨
有效負載	jau˩˧ haau˨ fu˨ zoi˧
有效期	jau˩˧ haau˨ kei˨˩
有效流量	jau˩˧ haau˨ lau˨˩ loeng˨
有效數字	jau˩˧ haau˨ sou˧ zi˨
有㞓用	jau˩˧ hai˥ jung˨
有閪用	jau˩˧ hai˥ jung˨
有幸	jau˩˧ hang˨
有覈國家	jau˩˧ hat˨ gwok˧ gaa˥
有口齒	jau˩˧ hau˧˥ ci˧˥
有口福	jau˩˧ hau˧˥ fuk˥
有口皆碑	jau˩˧ hau˧˥ gaai˥ bei˥
有口無心	jau˩˧ hau˧˥ mou˨˩ sam˥
有口難言	jau˩˧ hau˧˥ naan˨˩ jin˨˩
有口齒	jau˩˧ hau˨˩ ci˧˥
有喜	jau˩˧ hei˧˥
有氣音	jau˩˧ hei˧ jam˥
有氣無力	jau˩˧ hei˧ mou˧ lik˨
有氣冇碇唞	jau˩˧ hei˧ mou˩˧ deng˨ tau˧˥
有氣冇碇透	jau˩˧ hei˧ mou˩˧ deng˨ tau˧˥
有氣冇力	jau˩˧ hei˧ mou˩˧ lik˨
有氣水	jau˩˧ hei˧ seoi˧˥
