㓟皮	pʰɐi̯˥pʰei̯˨˩
比較多嘢	pʰei̯̯˧˥kaːu̯˧tɔː˥jɛː˩˧
比較級	pʰei̯̯˧˥kaːu̯˧kʰɐp̚˥
比較而言	pʰei̯̯˧˥kaːu̯˧jiː˨˩jiːn˨˩
比過至知	pʰei̯̯˧˥kʷɔː˧tsiː˧tsiː˥
比重	pʰei̯̯˧˥tsʰʊŋ˩˧
比量	pʰei̯̯˧˥lœːŋ˨˩
毗耶娑	pʰei̯˨˩jɛː˨˩sɔː˥
毗鄰	pʰei̯̯˧˥lɵn˨˩
毛主義	mou̯˨˩tsyː˧˥jiː˨
毛公仔	mou̯˨˩kʊŋ˥tsɐi̯˧˥
毛冷	mou̯˨˩laːŋ˥
毛利	mou̯˨˩lei̯˨
毛利率	mou̯˨˩lei̯˨lɵt̚˧˥
毛南族	mou̯˨˩naːm˨˩tsʊk̚˨
毛孔	mou̯˨˩hʊŋ˧˥
毛孩	mou̯˨˩haːi̯˨˩
毛孩子	mou̯˨˩haːi̯˨˩tsiː˧˥
毛小孩	mou̯˨˩siːu̯˧˥haːi̯˨˩
毛巾	mou̯˨˩kɐn˥
毛巾恤	mou̯˨˩kɐn˥sɵt̚˥
毛巾架	mou̯˨˩kɐn˥kaː˧˥
毛巾毡	mou̯˨˩kɐn˥tsiːn˥
毛巾褸	mou̯˨˩kɐn˥lɐu̯˥
毛布	mou̯˨˩pʰou̯̯˧
毛手毛腳	mou̯˨˩sɐu̯˧˥mou̯˨˩kœːk̚˧
毛收入	mou̯˨˩sɐu̯˥jɐp̚˨
毛料	mou̯˨˩liːu̯˧˥
毛條	mou̯˨˩tʰiːu̯˨˩
毛毛公仔	mou̯˨˩mou̯˥kʊŋ˥tsɐi̯˧˥
毛毛草草	mou̯˨˩mou̯˨˩tsʰou̯˧˥tsʰou̯˧˥
毛毛雨	mou̯˨˩mou̯˨˩jyː˩˧
毛毯	mou̯˨˩tʰaːn˧˥
毛氈	mou̯˨˩tsiːn˥
毛水	mou̯˨˩sɵy̯˧˥
毛洋槐	mou̯˨˩jœːŋ˨˩waːi̯˨˩
毛片	mou̯˨˩pʰiːn˧˥
毛瓜	mou̯˨˩kʷaː˥
毛病	mou̯˨˩pɛːŋ˨
毛痣	mou̯˨˩tsiː˧
毛神神	mou̯˨˩sɐn˨˩sɐn˨˩
毛筆	mou̯˨˩pɐt̚˥
毛管	mou̯˨˩kuːn˧˥
毛管動	mou̯˨˩kuːn˧˥tʊŋ˨
毛管戙	mou̯˨˩kuːn˧˥tʊŋ˨
毛管戙篤企	mou̯˨˩kuːn˧˥tʊŋ˨tʊk̚˥kʰei̯˩˧
毛細孔	mou̯˨˩sɐi̯˧hʊŋ˧˥
毛細管	mou̯˨˩sɐi̯˧kuːn˧˥
毛細血管	mou̯˨˩sɐi̯˧hyːt̚˧kuːn˧˥
毛絨玩具	mou̯˨˩jʊŋ˨˩wuːn˨kɵy̯˨
毛絨絨	mou̯˨˩jʊŋ˨˩jʊŋ˨˩
毛線鍼	mou̯˨˩siːn˧tsɐm˥
毛織品	mou̯˨˩tsik̚˥pɐn˧˥
毛織物	mou̯˨˩tsik̚˥mɐt̚˨
毛肚	mou̯˨˩tʰou̯˩˧
毛腿鵟	mou̯˨˩tʰɵy̯˧˥kʷʰɔːŋ˨˩
毛臣臣	mou̯˨˩sɐn˨˩sɐn˨˩
毛茛	mou̯˨˩kɐn˧
毛菌	mou̯˥kʷʰɐn˧˥
毛蟲	mou̯˨˩tsʰʊŋ˨˩
毛蟹	mou̯˨˩haːi̯˩˧
毛血旺	mou̯˨˩hyːt̚˧wɔːŋ˨
毛衣	mou̯˨˩jiː˥
毛豆	mou̯˨˩tɐu̯˧˥
毛象	mou̯˨˩tsœːŋ˨
毛遂	mou̯˨˩sɵy̯˨
毛遂自薦	mou̯˨˩sɵy̯˨tsiː˨tsiːn˧
毛邊紙	mou̯˨˩piːn˥tsiː˧˥
毛都未出齊	mou̯˨˩tʰou̯̯˥mei̯˨tsʰɵt̚˥tsʰɐi̯˨˩
毛都未生齊	mou̯˨˩tʰou̯̯˥mei̯˨saːŋ˥tsʰɐi̯˨˩
毛鄧三	mou̯˨˩tɐŋ˨saːm˥
毛酸漿	mou̯˨˩syːn˥tsœːŋ˥
毛里塔尼亞	mou̯˨˩lei̯˩˧tʰaːp̚˧nei̯˩˧aː˧
毛里裘斯	mou̯˨˩lei̯˩˧kʰɐu̯˨˩siː˥
毛重	mou̯˨˩tsʰʊŋ˩˧
毛驢	mou̯˨˩lɵy̯˨˩
毛骨悚然	mou̯˨˩kʷɐt̚˥sʊŋ˧˥jiːn˨˩
毛髮	mou̯˨˩faːt̚˧
毛鬙鬙	mou̯˨˩sɐŋ˨˩sɐŋ˨˩
毫不	hou̯˨˩pɐt̚˥
毫不懷疑	hou̯˨˩pɐt̚˥waːi̯˨˩jiː˨˩
毫克	hou̯˨˩haːk̚˥
毫升	hou̯˨˩seŋ˥
毫子	hou̯˨˩tsiː˧˥
毫巴	hou̯˨˩paː˥
毫微米	hou̯˨˩mei̯˨˩mɐi̯˩˧
毫末	hou̯˨˩muːt̚˨
毫無	hou̯˨˩mou̯˨˩
毫無意外	hou̯˨˩mou̯˨˩jiː˧ŋɔːi̯˨
毫無效果	hou̯˨˩mou̯˨˩haːu̯˨kʷɔː˧˥
毫無疑問	hou̯˨˩mou̯˨˩jiː˨˩mɐn˨
毫無辦法	hou̯˨˩mou̯˨˩paːn˨faːt̚˧
毫瓦	hou̯˨˩ŋaː˩˧
毫米	hou̯˨˩mɐi̯˩˧
毫米波	hou̯˨˩mɐi̯˩˧pɔː˥
毫釐	hou̯˨˩lei̯˨˩
毫釐不爽	hou̯˨˩lei̯˨˩pɐt̚˥sɔːŋ˧˥
毫鍼	hou̯˨˩tsɐm˥
毫髮不爽	hou̯˨˩faːt̚˧pɐt̚˥sɔːŋ˧˥
毫髮無傷	hou̯˨˩faːt̚˧mou̯˨˩sœːŋ˥
毽子	jiːn˧˥tsiː˧˥
毽子	kiːn˧tsiː˧˥
毽球	kiːn˧kʰɐu̯˨˩
氂牛	lei̯˨˩ŋɐu̯˨˩
氈子	tsiːn˥tsiː˧˥
氈酒	tsiːn˥tsɐu̯˧˥
氈靴	tsiːn˥hœː˥
氈鞋	tsiːn˥haːi̯˨˩
氏族	siː˨tsʊk̚˨
民不聊生	mɐn˨˩pɐt̚˥liːu̯˨˩sɐŋ˥
民主	mɐn˨˩tsyː˧˥
民主牆	mɐn˨˩tsyː˧˥tsʰœːŋ˨˩
民主生活	mɐn˨˩tsyː˧˥sɐŋ˥wuːt̚˨
民主監督	mɐn˨˩tsyː˧˥kaːm˥tʊk̚˥
民事	mɐn˨˩siː˨
民事糾紛	mɐn˨˩siː˨tɐu̯˧˥fɐn˥
民以食爲天	mɐn˨˩jiː˩˧sik̚˨wɐi̯˨˩tʰiːn˥
民俗	mɐn˨˩tsʊk̚˨
民兵	mɐn˨˩peŋ˥
民初	mɐn˨˩tsʰɔː˥
民國	mɐn˨˩kʷɔːk̚˧
民團	mɐn˨˩tʰyːn˨˩
民宿	mɐn˨˩sʊk̚˥
民居	mɐn˨˩kɵy̯˥
民工	mɐn˨˩kʊŋ˥
民心	mɐn˨˩sɐm˥
民怨	mɐn˨˩jyːn˧
民怨鼎沸	mɐn˨˩jyːn˧teŋ˧˥fɐi̯˧
民情	mɐn˨˩tsʰeŋ˨˩
民意	mɐn˨˩jiː˧
民意測驗	mɐn˨˩jiː˧tsʰaːk̚˥jiːm˨
民憤	mɐn˨˩fɐn˩˧
民政	mɐn˨˩tseŋ˧
民政工作	mɐn˨˩tseŋ˧kʊŋ˥tsɔːk̚˧
民族	mɐn˨˩tsʊk̚˨
民族工業	mɐn˨˩tsʊk̚˨kʊŋ˥jiːp̚˨
民族平等	mɐn˨˩tsʊk̚˨pʰeŋ˨˩tɐŋ˧˥
民族舞蹈	mɐn˨˩tsʊk̚˨mou̯˩˧tʰou̯̯˨
民智	mɐn˨˩tsiː˧
民望	mɐn˨˩mɔːŋ˨
民權	mɐn˨˩kʰyːn˨˩
民權主義	mɐn˨˩kʰyːn˨˩tsyː˧˥jiː˨
民權縣	mɐn˨˩kʰyːn˨˩jyːn˨
民歌	mɐn˨˩kɔː˥
民法	mɐn˨˩faːt̚˧
民法典	mɐn˨˩faːt̚˧tiːn˧˥
民生	mɐn˨˩sɐŋ˥
民用	mɐn˨˩jʊŋ˨
民用工業	mɐn˨˩jʊŋ˨kʊŋ˥jiːp̚˨
民用產品	mɐn˨˩jʊŋ˨tsʰaːn˧˥pɐn˧˥
民用船	mɐn˨˩jʊŋ˨syːn˨˩
民用飛機	mɐn˨˩jʊŋ˨fei̯˥kʰei̯̯˥
民田	mɐn˨˩tʰiːn˨˩
民瘼	mɐn˨˩mɔːk̚˨
民窮財盡	mɐn˨˩kʰʊŋ˨˩tsʰɔːi̯˨˩tsɵn˨
民粹	mɐn˨˩sɵy̯˩˧
民粹主義	mɐn˨˩sɵy̯˩˧tsyː˧˥jiː˨
民粹派	mɐn˨˩sɵy̯˨pʰaːi̯˧
民系	mɐn˨˩hɐi̯˨
民脂民膏	mɐn˨˩tsiː˥mɐn˨˩kou̯˥
民航	mɐn˨˩hɔːŋ˨˩
民航機	mɐn˨˩hɔːŋ˨˩kʰei̯̯˥
民航班機	mɐn˨˩hɔːŋ˨˩paːn˥kʰei̯̯˥
民衆	mɐn˨˩tsʊŋ˧
民調	mɐn˨˩tʰiːu̯˨˩
民諺	mɐn˨˩jiːn˨
民謠	mɐn˨˩jiːu̯˨˩
民警	mɐn˨˩keŋ˧˥
民變峯起	mɐn˨˩piːn˧fʊŋ˥hei̯˧˥
民運	mɐn˨˩wɐn˨
民選	mɐn˨˩syːn˧˥
民間	mɐn˨˩kaːn˥
民間瓦缸	mɐn˨˩kaːn˥ŋaː˩˧kɔːŋ˥
民間習俗	mɐn˨˩kaːn˥tsaːp̚˨tsʊk̚˨
民間舞蹈	mɐn˨˩kaːn˥mou̯˩˧tʰou̯̯˨
民風	mɐn˨˩fʊŋ˥
氖燈	naːi̯˩˧tɐŋ˥
氘覈	tʰou̯̯˥hɐt̚˨
氛圍	fɐn˥wɐi̯˨˩
氟利昂	fɐt̚˥lei̯˨ŋɔːŋ˨˩
氟化氫	fɐt̚˥faː˧heŋ˥
氟石	fɐt̚˥sɛːk̚˨
氟硅酸	fɐt̚˥kʷɐi̯˥syːn˥
氟骨病	fɐt̚˥kʷɐt̚˥pɛːŋ˨
氟骨症	fɐt̚˥kʷɐt̚˥tseŋ˧
氣㗾氣喘	hei̯˧hɔː˨˩hei̯˧tsʰyːn˧˥
氣不平	hei̯˧pɐt̚˥pʰeŋ˨˩
氣井	hei̯˧tsɛːŋ˧˥
氣來氣喘	hei̯˧lɔːi̯˨˩hei̯˧tsʰyːn˧˥
氣候	hei̯˧hɐu̯˨
氣候學家	hei̯˧hɐu̯˨hɔːk̚˨kaː˥
氣候狀況	hei̯˧hɐu̯˨tsɔːŋ˨fɔːŋ˧
氣候異常	hei̯˧hɐu̯˨jiː˨sœːŋ˨˩
氣像人員	hei̯˧tsœːŋ˨jɐn˨˩jyːn˨˩
氣凝膠	hei̯˧jeŋ˨˩kaːu̯˥
氣力	hei̯˧lik̚˨
氣功	hei̯˧kʊŋ˥
氣動噪聲	hei̯˧tʊŋ˨tsʰou̯˧seŋ˥
氣動控制	hei̯˧tʊŋ˨hʊŋ˧tsɐi̯˧
氣動葫蘆	hei̯˧tʊŋ˨wuː˨˩lou̯˧˥
氣動開關	hei̯˧tʊŋ˨hɔːi̯˥kʷaːn˥
氣動閘	hei̯˧tʊŋ˨tsaːp̚˨
氣勢	hei̯˧sɐi̯˧
氣勢不凡	hei̯˧sɐi̯˧pɐt̚˥faːn˨˩
氣勢凌人	hei̯˧sɐi̯˧leŋ˨˩jɐn˨˩
氣勢如虹	hei̯˧sɐi̯˧jyː˨˩hʊŋ˨˩
氣勢宏偉	hei̯˧sɐi̯˧wɐŋ˨˩wɐi̯˩˧
氣勢洶洶	hei̯˧sɐi̯˧hʊŋ˥hʊŋ˥
氣吁吁	hei̯˧hɵy̯˥hɵy̯˥
氣味	hei̯˧mei̯˨
氣味相投	hei̯˧mei̯˨sœːŋ˥tʰɐu̯˨˩
氣咻咻	hei̯˧jɐu̯˥jɐu̯˥
氣喘	hei̯˧tsʰyːn˧˥
氣喘吁吁	hei̯˧tsʰyːn˧˥hɵy̯˥hɵy̯˥
氣喘喘	hei̯˧tsʰyːn˧˥tsʰyːn˧˥
氣喘病	hei̯˧tsʰyːn˧˥pɛːŋ˨
氣圈	hei̯˧hyːn˥
氣場	hei̯˧tsʰœːŋ˨˩
氣塞	hei̯˧sɐk̚˥
氣墊	hei̯˧tsiːn˧˥
氣墊船	hei̯˧tiːn˧˥syːn˨˩
氣墊船	hei̯˧tsiːn˧˥syːn˨˩
氣壓	hei̯˧aːt̚˧
氣壓表	hei̯˧aːt̚˧piːu̯˧˥
氣壓計	hei̯˧aːt̚˧kɐi̯˧
氣壯山河	hei̯˧tsɔːŋ˧saːn˥hɔː˨˩
氣孔	hei̯˧hʊŋ˧˥
氣宇軒昂	hei̯˧jyː˩˧hiːn˥ŋɔːŋ˨˩
氣定神閒	hei̯˧teŋ˨sɐn˨˩haːn˨˩
氣密	hei̯˧mɐt̚˨
氣度	hei̯˧tʰou̯̯˨
氣度恢宏	hei̯˧tʰou̯̯˨fuːi̯˥wɐŋ˨˩
氣忿	hei̯˧fɐn˩˧
氣急敗壞	hei̯˧kɐp̚˥paːi̯˨waːi̯˨
氣息	hei̯˧sik̚˥
氣息奄奄	hei̯˧sik̚˥jiːm˥jiːm˥
氣態	hei̯˧tʰaːi̯˧
氣憤	hei̯˧fɐn˩˧
氣數	hei̯˧sou̯˧
氣數已盡	hei̯˧sou̯˧jiː˩˧tsɵn˨
氣旋	hei̯˧syːn˨˩
氣根	hei̯˧kɐn˥
氣概	hei̯˧kʰɔːi̯˧
氣槍	hei̯˧tsʰœːŋ˥
氣模	hei̯˧mou̯˧˥
氣氛	hei̯˧fɐn˥
氣沖沖	hei̯˧tsʰʊŋ˥tsʰʊŋ˥
氣泡	hei̯˧pʰaːu̯˥
氣泡	hei̯˧pʰou̯˩˧
氣泡膜	hei̯˧pʰou̯˩˧mɔːk̚˧˥
氣泡袋	hei̯˧pʰaːu̯˥tɔːi̯˨
氣泵	hei̯˧pɐm˥
氣派	hei̯˧pʰaːi̯˧
氣流	hei̯˧lɐu̯˨˩
氣浪	hei̯˧lɔːŋ˨
氣溫	hei̯˧wɐn˥
氣溫計	hei̯˧wɐn˥kɐi̯˧
氣溶膠	hei̯˧jʊŋ˨˩kaːu̯˥
氣潭	hei̯˧tʰaːm˨˩
氣炸鍋	hei̯˧tsaː˧wɔː˥
氣焊	hei̯˧hɔːn˩˧
氣焰	hei̯˧jiːm˨
氣焰囂張	hei̯˧jiːm˨hiːu̯˥tsœːŋ˥
氣煤	hei̯˧muːi̯˨˩
氣燄	hei̯˧jiːm˨
氣球	hei̯˧kʰɐu̯˨˩
氣窗	hei̯˧tsʰœːŋ˥
氣筒	hei̯˧tʰʊŋ˧˥
氣管	hei̯˧kuːn˧˥
氣管痙攣	hei̯˧kuːn˧˥keŋ˨lyːn˨˩
氣節	hei̯˧tsit̚˧
氣結	hei̯˧kiːt̚˧
氣絕	hei̯˧tsyːt̚˨
氣缸	hei̯˧kɔːŋ˥
氣羅氣喘	hei̯˧lɔː˨˩hei̯˧tsʰyːn˧˥
氣胸	hei̯˧hʊŋ˥
氣色	hei̯˧sik̚˥
氣薦	hei̯˧tsiːn˧˥
氣衝霄漢	hei̯˧tsʰʊŋ˥siːu̯˥hɔːn˧
氣袋	hei̯˧tɔːi̯˧˥
氣象	hei̯˧tsœːŋ˨
氣象報告	hei̯˧tsœːŋ˨pʰou̯̯˧kou̯˧
氣象學	hei̯˧tsœːŋ˨hɔːk̚˨
氣象學者	hei̯˧tsœːŋ˨hɔːk̚˨tsɛː˧˥
氣象臺	hei̯˧tsœːŋ˨tʰɔːi̯˨˩
氣象萬千	hei̯˧tsœːŋ˨maːn˨tsʰiːn˥
氣象衛星	hei̯˧tsœːŋ˨wɐi̯˨seŋ˥
氣象預報	hei̯˧tsœːŋ˨jyː˨pʰou̯̯˧
氣貫長虹	hei̯˧kuːn˧tsʰœːŋ˨˩hʊŋ˨˩
氣質	hei̯˧tsɐt̚˥
氣質佳	hei̯˧tsɐt̚˥kaːi̯˥
氣逆	hei̯˧jik̚˨
氣量	hei̯˧lœːŋ˨
氣錘	hei̯˧tsʰɵy̯˨˩
氣鑽	hei̯˧tsyːn˧
氣門	hei̯˧muːn˨˩
氣閘	hei̯˧tsaːp̚˨
氣閥	hei̯˧fɐt̚˨
氣阱	hei̯˧tseŋ˨
氣隙	hei̯˧kʷʰik̚˥
氣霧劑	hei̯˧mou̯˨tsɐi̯˥
氣霧室	hei̯˧mou̯˨sɐt̚˥
氣頂	hei̯˧teŋ˧˥
氣順	hei̯˧sɵn˨
氣頭上	hei̯˧tʰɐu̯˨˩sœːŋ˨
氣餒	hei̯˧nɵy̯˩˧
氣體	hei̯˧tʰɐi̯˧˥
氣體擴散	hei̯˧tʰɐi̯˧˥kʷʰɔːk̚˧saːn˧
氣體燃料	hei̯˧tʰɐi̯˧˥jiːn˨˩liːu̯˧˥
氣體離心	hei̯˧tʰɐi̯˧˥lei̯˨˩sɐm˥
氣魄	hei̯˧pʰaːk̚˧
氣鼓	hei̯˧kuː˧˥
氣鼓鼓	hei̯˧kuː˧˥kuː˧˥
氧乙炔	jœːŋ˩˧jyːt̚˧kʰyːt̚˧
氧乙炔炬	jœːŋ˩˧jyːt̚˧kʰyːt̚˧kɵy̯˨
氧乙炔焊	jœːŋ˩˧jyːt̚˧kʰyːt̚˧hɔːn˨
氧割	jœːŋ˩˧kɔːt̚˧
氧化	jœːŋ˩˧faː˧
氧化作用	jœːŋ˩˧faː˧tsɔːk̚˧jʊŋ˨
氧化劑	jœːŋ˩˧faː˧tsɐi̯˥
氧化汞	jœːŋ˩˧faː˧hʊŋ˨
氧化物	jœːŋ˩˧faː˧mɐt̚˨
氧化罐	jœːŋ˩˧faː˧kuːn˧
氧化鈾	jœːŋ˩˧faː˧jɐu̯˨˩
氧化銅	jœːŋ˩˧faː˧tʰʊŋ˨˩
氧化鋅	jœːŋ˩˧faː˧sɐn˥
氧化鎂	jœːŋ˩˧faː˧mei̯˩˧
氧基	jœːŋ˩˧kʰei̯̯˥
氧效應	jœːŋ˩˧haːu̯˨jeŋ˧
氧氣	jœːŋ˩˧hei̯˧
氨吖啶	ɔːn˥aː˥teŋ˨
氨哮素	ɔːn˥haːu̯˥sou̯˧
氨基比林	ɔːn˥kʰei̯̯˥pʰei̯̯˧˥lɐm˨˩
氨基苯酸	ɔːn˥kʰei̯̯˥puːn˧˥syːn˥
氨基葡糖	ɔːn˥kʰei̯̯˥pʰou̯˨˩tʰɔːŋ˨˩
氨基酸	ɔːn˥kʰei̯̯˥syːn˥
氨氣	ɔːn˥hei̯˧
氪氣石	hɐk̚˥hei̯˧sɛːk̚˨
氫化氰	heŋ˥faː˧tsʰeŋ˨˩
氫原子覈	heŋ˥jyːn˨˩tsiː˧˥hɐt̚˨
氫氟烴	heŋ˥fɐt̚˥tʰeŋ˥
氫氟酸	heŋ˥fɐt̚˥syːn˥
氫氣	heŋ˥hei̯˧
氫氧化物	heŋ˥jœːŋ˩˧faː˧mɐt̚˨
氫氧化鋁	heŋ˥jœːŋ˩˧faː˧lɵy̯˩˧
氫氧根	heŋ˥jœːŋ˩˧kɐn˥
氫氧離子	heŋ˥jœːŋ˩˧lei̯˨˩tsiː˧˥
氫氯酸	heŋ˥lʊk̚˨syːn˥
氫溴酸	heŋ˥tsʰɐu̯˧syːn˥
氫酶	heŋ˥muːi̯˨˩
氫鹵酸	heŋ˥lou̯˩˧syːn˥
氮氣	taːm˨hei̯˧
氮芥氣	taːm˨kaːi̯˧hei̯˧
氯丁橡膠	lʊk̚˨teŋ˥tsœːŋ˨kaːu̯˥
氯仿	lʊk̚˨fɔːŋ˧˥
氯化氰	lʊk̚˨faː˧tsʰeŋ˨˩
氯化苦	lʊk̚˨faː˧fuː˧˥
氯化鈣	lʊk̚˨faː˧kʰɔːi̯˧
氯化鉀	lʊk̚˨faː˧kaːp̚˧
氯化銨	lʊk̚˨faː˧ɔːn˥
氯化鋁	lʊk̚˨faː˧lɵy̯˩˧
氯化鋅	lʊk̚˨faː˧sɐn˥
氯單質	lʊk̚˨taːn˥tsɐt̚˥
氯喹	lʊk̚˨fuːi̯˥
氯安酮	lʊk̚˨ɔːn˥tʰʊŋ˨˩
氯已烯	lʊk̚˨jiː˩˧hei̯˥
氯氣	lʊk̚˨hei̯˧
氯潔霉素	lʊk̚˨kiːt̚˧muːi̯˨˩sou̯˧
氯甲烷	lʊk̚˨kaːp̚˧jyːn˨˩
氯痤瘡	lʊk̚˨tsʰɔː˨˩tsʰɔːŋ˥
氯綸	lʊk̚˨lɵn˨˩
氯胺酮	lʊk̚˨ɔːn˥tʰʊŋ˨˩
氯酸鈉	lʊk̚˨syːn˥naːp̚˨
氯酸鉀	lʊk̚˨syːn˥kaːp̚˧
氰化鈉	tsʰeŋ˨˩faː˧naːp̚˨
氰化鉀	tsʰeŋ˨˩faː˧kaːp̚˧
氰基	tsʰeŋ˨˩kʰei̯̯˥
氰氨化鈣	tsʰeŋ˨˩ɔːn˥faː˧kʰɔːi̯˧
氰溴甲苯	tsʰeŋ˨˩tsʰɐu̯˧kaːp̚˧puːn˧˥
氰苷	tsʰeŋ˨˩kɐm˥
氰酸鹽	tsʰeŋ˨˩syːn˥jiːm˨˩
水㼞	sɵy̯˧˥pʰaːŋ˥
水上	sɵy̯˧˥sœːŋ˨
水上人	sɵy̯˧˥sœːŋ˨jɐn˨˩
水上人家	sɵy̯˧˥sœːŋ˨jɐn˨˩kaː˥
水上摩托	sɵy̯˧˥sœːŋ˨mɔː˥tʰɔːk̚˧
水上新娘	sɵy̯˧˥sœːŋ˨sɐn˥nœːŋ˨˩
水上樂園	sɵy̯˧˥sœːŋ˨lɔːk̚˨jyːn˨˩
水上芭蕾	sɵy̯˧˥sœːŋ˨paː˥lɵy̯˨˩
水上鄉	sɵy̯˧˥sœːŋ˨hœːŋ˥
水中撈月	sɵy̯˧˥tsʊŋ˥laːu̯˨˩jyːt̚˨
水乳交融	sɵy̯˧˥jyː˩˧kaːu̯˥jʊŋ˨˩
水乾	sɵy̯˧˥kɔːn˥
水亮	sɵy̯˧˥lœːŋ˨
水仙	sɵy̯˧˥siːn˥
水份	sɵy̯˧˥fɐn˨
水位	sɵy̯˧˥wɐi̯˧˥
水俁病	sɵy̯˧˥jyː˩˧pɛːŋ˨
水冷	sɵy̯˧˥laːŋ˩˧
水刀	sɵy̯˧˥tʰou̯̯˥
水分	sɵy̯˧˥fɐn˨
水刑	sɵy̯˧˥jeŋ˨˩
水刑逼供	sɵy̯˧˥jeŋ˨˩pʰik̚̚˥kʊŋ˥
水利	sɵy̯˧˥lei̯˨
水利家	sɵy̯˧˥lei̯˨kaː˥
水利工程	sɵy̯˧˥lei̯˨kʊŋ˥tsʰeŋ˨˩
水刮	sɵy̯˧˥kʷaːt̚˧
水到渠成	sɵy̯˧˥tʰou̯̯˧kʰɵy̯˨˩seŋ˨˩
水力	sɵy̯˧˥lik̚˨
水力資源	sɵy̯˧˥lik̚˨tsiː˥jyːn˨˩
水務處	sɵy̯˧˥mou̯˨tsʰyː˧˥
水勼油	sɵy̯˧˥kʰɐu̯˥jɐu̯˨˩
水印	sɵy̯˧˥jɐn˧
水口	sɵy̯˧˥hɐu̯˧˥
水合物	sɵy̯˧˥hɐp̚˨mɐt̚˨
水吧	sɵy̯˧˥paː˥
水哄	sɵy̯˧˥hʊŋ˧
水喉	sɵy̯˧˥hɐu̯˨˩
水喉佬	sɵy̯˧˥hɐu̯˨˩lou̯˧˥
水喉制	sɵy̯˧˥hɐu̯˨˩tsɐi̯˧
水喉掣	sɵy̯˧˥hɐu̯˨˩tsɐi̯˧
水喉水	sɵy̯˧˥hɐu̯˨˩sɵy̯˧˥
水喉膠布	sɵy̯˧˥hɐu̯˨˩kaːu̯˥pʰou̯̯˧
水喉通	sɵy̯˧˥hɐu̯˨˩tʰʊŋ˥
水嗲嗲	sɵy̯˧˥tɛː˨˩tɛː˨˩
水嘢	sɵy̯˧˥jɛː˩˧
水圍基	sɵy̯˧˥waːi̯˨˩kʰei̯̯˥
水圍基	sɵy̯˧˥wɐi̯˨˩kʰei̯̯˥
水土	sɵy̯˧˥tʰou̯˧˥
水土不服	sɵy̯˧˥tʰou̯˧˥pɐt̚˥fʊk̚˨
水土保持	sɵy̯˧˥tʰou̯˧˥pʰou̯̯˧˥tsʰiː˨˩
水圳	sɵy̯˧˥tsɐn˧
水坑	sɵy̯˧˥haːŋ˥
水垢	sɵy̯˧˥kɐu̯˧
水域	sɵy̯˧˥wik̚˨
水塘	sɵy̯˧˥tʰɔːŋ˨˩
水塘頂	sɵy̯˧˥tʰɔːŋ˨˩tɛːŋ˧˥
水墨畫	sɵy̯˧˥mɐk̚˨waː˧˥
水壓	sɵy̯˧˥aːt̚˧
水壩	sɵy̯˧˥paː˧
水壺	sɵy̯˧˥wuː˧˥
水大	sɵy̯˧˥taːi̯˨
水天一色	sɵy̯˧˥tʰiːn˥jɐt̚˥sik̚˥
水奶	sɵy̯˧˥naːi̯˩˧
水客	sɵy̯˧˥haːk̚˧
水害	sɵy̯˧˥hɔːi̯˨
水密隔艙	sɵy̯˧˥mɐt̚˨kaːk̚˧tsʰɔːŋ˥
水尾	sɵy̯˧˥mei̯˩˧
水尾嘢	sɵy̯˧˥mei̯˩˧jɛː˩˧
水平	sɵy̯˧˥pʰeŋ˨˩
水平儀	sɵy̯˧˥pʰeŋ˨˩jiː˨˩
水平尺	sɵy̯˧˥pʰeŋ˨˩tsʰɛːk̚˧
水平線	sɵy̯˧˥pʰeŋ˨˩siːn˧
水平軸	sɵy̯˧˥pʰeŋ˨˩tsʊk̚˨
水平面	sɵy̯˧˥pʰeŋ˨˩miːn˨
水底相機	sɵy̯˧˥tɐi̯˧˥sœːŋ˧˥kʰei̯̯˥
水庫	sɵy̯˧˥fuː˧
水廁	sɵy̯˧˥tsʰiː˧
水彩	sɵy̯˧˥tsʰɔːi̯˧˥
水彩筆	sɵy̯˧˥tsʰɔːi̯˧˥pɐt̚˥
水彩顏料	sɵy̯˧˥tsʰɔːi̯˧˥ŋaːn˨˩liːu̯˧˥
水律	sɵy̯˧˥lɵt̚˨
水性	sɵy̯˧˥seŋ˧
水性楊花	sɵy̯˧˥seŋ˧jœːŋ˨˩faː˥
水患	sɵy̯˧˥waːn˨
水戰	sɵy̯˧˥tsiːn˧
水手	sɵy̯˧˥sɐu̯˧˥
水手服	sɵy̯˧˥sɐu̯˧˥fʊk̚˨
水抱	sɵy̯˧˥pʰou̯˩˧
水摳油	sɵy̯˧˥kʰɐu̯˥jɐu̯˨˩
水撥	sɵy̯˧˥puːt̚˨
水撥水	sɵy̯˧˥puːt̚˨sɵy̯˧˥
水斗	sɵy̯˧˥tɐu̯˧˥
水族	sɵy̯˧˥tsʊk̚˨
水族館	sɵy̯˧˥tsʊk̚˨kuːn˧˥
水旱災害	sɵy̯˧˥hɔːn˩˧tsɔːi̯˥hɔːi̯˨
水星	sɵy̯˧˥seŋ˥
水晶	sɵy̯˧˥tseŋ˥
水晶包	sɵy̯˧˥tseŋ˥paːu̯˥
水晶鞋	sɵy̯˧˥tseŋ˥haːi̯˨˩
水晶體	sɵy̯˧˥tseŋ˥tʰɐi̯˧˥
