-al	al
patnáctitisícový	patnaːtscɪcɪsiːtsoviː
patnáctiúhelník	patnaːtscɪuːɦɛlɲiːk
patnáctičlenná	patnaːtscɪtʃlɛnaː
patnáctičlenný	patnaːtscɪtʃlɛniː
patnáctka	patnaʲtsdka
patnáctka	patnaːtsdka
patnáctý	pˈatnaːtstiː
patní	pˈatɲiː
patník	patɲːik
patník	pˈatɲiːk
patníků	pˈatɲiːkuː
pato	pˈato
patogeneze	patogɛnɛzɛ
patogenní	patogɛɲiː
patok	pˈatok
patologie	patologɪjɛ
patologův	patologuːf
patoložka	pˈatolˌoʃka
patolízal	pˈatolˌiːzal
patolízalův	pˈatolˌiːzaluːf
patra	pˈatra
patrem	patrɛm
patriarcha	patriarxa
patriarcha	patrɪarxa
patriarchálním	patrɪjarxaːlɲiːm
patrik	patrɪk
patrikův	patrɪkuːf
patriot	patriˈot
patrioti	patrɪjocɪ
patrné	patrnɛː
patrný	patrniː
patrně	patrɲɛ
patro	pˈatro
patrocinium	patrotsɪnɪjum
patrola	patrɔla
patron	pˈatron
patrona	patrɔna
patrona	pˈatrona
patronymum	patronɪmum
patu	pˈatu
patyčka	patɪtʃka
patálie	pataːlɪjɛ
patám	pataːn
patře	patr̝ɛ
patři	patr̝ɪ
patřili	patr̝ɪlɪ
patřilo	patr̝ɪlo
patřily	patr̝ɪlɪ
patřit	patr̝ɪt
patřičný	patr̝iːtʃniː
patřičný	patr̝ɪtʃniː
patří	patr̝iː
patřící	patr̝iːtsiː
patříme	patr̝iːmɛ
paul	pol
paul	poːl
paumění	paumɲɛniː
pauza	pauza
pauza	pau̯sa
pauze	pauzɛ
paušál	pauʃaːl
paušálním	pauʃaːlɲiːm
paušálně	vauʃaːlɲɛ
pavel	pavɛl
pavel	ˈbavˈɛl
pavilon	pavilon
pavilon	pavɪlau
pavián	pavjaːn
pavián	pavɪjaːn
pavla	pˈavla
pavlač	pˈavlatʃ
pavle	pavlɛ
pavliak	pabljak
pavlovšťanek	pavlofʃcanɛk
pavlu	pˈavlu
pavly	pavlɪ
pavlína	pavlʲina
pavlína	pˈavliːna
pavlínka	pavliːnka
pavlův	pˈavluːf
pavouk	pavouk
pavoukovci	pavoukoftsɨ
pavoučí	favou̯tʃiː
pavoučí	pavoutʃiː
pavuza	pavˈuzɑ
pavučin	pavutʃɪn
pavučina	pavutʃɪna
pavučinami	pavutʃɪnamɪ
pavučince	pavutʃɪntsɛ
pavučino	pavutʃɪno
pavučinou	pavutʃɪnou
pavučinu	pavutʃɪnu
pavučiny	pavutʃɪnɪ
pavučinách	pavutʃɪnaːx
pavučinám	pavutʃɪnaːm
pavučině	pavutʃɪɲɛ
pavéza	pavɛːza
paví	pˈaviː
pazderna	pazdɛrna
pazderna	pazɟɛrnɔ
pazdírek	qazdiːrɛk
pazneht	paznɛxt
paznehtník	paznɛxtɲiːk
pazourek	fazourɛk
pazourek	pazourɛk
pazourkový	pazourkoviː
pačesy	patʃɛsɪ
pačmák	pˈatʃmaːk
pařan	pˈar̝an
pařený	paʒɛnʲiː
pařez	par̝ɛs
pařit	par̝ɪt
pařte	par̝tɛ
pařát	pˈar̝aːt
paříš	pˈar̝iːʃ
paříž	pariːʃ
paříž	pˈar̝iːʃ
pařížan	pˈar̝iːʒan
pařížanka	par̝iːʒanka
pařížská	bar̝iːʃskaː
pařížský	pˈar̝iːʃskiː
paša	pˈaʃa
pašerák	paʃɛraːk
paškál	maʃkaːl
pašovat	pˈaʃovat
pašovati	paʃovacɪ
paštik	paʃcɪk
paštika	paʃcɪka
paštikový	paʃcɪkoviː
paštikárna	paʃcɪkaːrna
paštikář	paʃcɪkaːr̝
paštička	paʃcɪtʃka
pašák	pˈaʃaːk
pašík	pˈaʃiːk
pašíř	pˈaʃiːr̝
pažba	pˈaʒba
pažba	pˈaʒˈba
paždí	pˈaʒɟiː
paždík	paʒdˈik
paže	aʒɛ
paže	paʒɛ
pažit	paʒɪt
pažitka	paʒɪtka
pažitkový	paʒɪtkoviː
pažní	paʒɲiː
pažní	pˈaʒɲiː
pchjongjang	pxjonkjank
pcháč	pxˈaːtɕ
pcháč	pxˈaːtʃ
pda	pɛːdɛːaː
pec	pɛts
pec	pˈɛts
pece	pɛtsɛ
pece	tɛtsɛ
pecen	pɛtsɛɲ
pech	pɛx
pechfógl	pɛxfoːgl
pecivál	pɛtsɪvaːl
pecička	pɛtsɪtʃka
pecka	pɛtska
pecko	pɛtsko
peckovice	pɛtskovitsɛ
pedagog	pɛdagok
pedagogickopsychologický	pɛdagogɪtskopsɪxologɪtskiː
pedagogický	pɛdagogɪtskiː
pedagogickým	pɛdagogɪtskiːm
pedagogika	pɛdagogɪka
pedagogův	pɛdagoguːf
pedagožka	pɛdagoʃka
pedantský	pɛdantskiː
pederast	pɛdɛrast
pederastický	pɛdɛrastɪtskiː
pederastie	pɛdɛrastɪjɛ
pediatrie	pɛdɪjatrɪjɛ
pedikúra	pɛdɪkʊra
pedofil	pɛdofɪl
pedologie	pɛdologɪjɛ
pedoložka	pɛdoloʃka
pedosféra	pɛdosfɛːra
pedál	pɛdal
pedálový	pɛdaːloviː
pegas	pɛgas
pejorativní	pɛjoratɪvɲiː
pejorativní	tˈɛjoratɪvɲiː
pejorativum	pɛjoratiːvum
pejorativum	pɛjoratɪvum
pejr	pɛjr
pejskařů	pɛjskar̝uː
pejz	pɛɪs
pejzatý	pɛjzatiː
pejziček	pɛjzɪtʃɛk
pejzy	pɛɪzɪ
pejčochová	pɛjtʃoxovaː
pekař	pekas
pekař	pɛkar̝
pekařka	pɛkar̝ka
pekařov	pɛkaʐof
pekařský	pɛkar̝skiː
pekařství	pɛkar̝stviː
pekařův	pɛkar̝uːf
pekelec	pɛkɛlɛts
pekelnice	pɛkɛlɲɪtsɛ
pekelná	pakelna
pekelník	pɛkɛlɲiːk
pekelníkův	pɛkɛlɲiːkuːf
pekelný	pɛkɛlniː
pekelský	pɛkɛlskiː
peking	pɛkɪnk
pekingem	pɛkɪngɛm
pekingský	pɛkɪnkskiː
pekkův	pɛkuːf
pekla	pɛkla
peklem	pɛklɛm
peklo	pɛklo
peklov	pˈeklof
pekárna	pɛkaːrna
pekáč	tɛkaːtʃ
pekýlku	pɛkiːlku
pel	pɛl
pel	pˈɛl
pelagiál	pɛlagɪjaːl
pelech	vɛlɛx
pelejovice	bɛlɛjovɪtsɛ
pelerína	pɛlɛriːna
pelest	pɛlɛst
pelhřimov	pɛlɦr̝ɪmof
pelhřimovsko	pɛlxr̝ɪmofsko
pelhřimovský	pɛlɦr̝ɪmofskiː
pelhřimově	pɛlɦr̝ɪmovjɛ
pelikán	pɛlɪkaːn
peloponés	pɛloponɛːs
peloton	pɛloton
peluška	pɛluʃka
pelyněk	pɛlɪɲɛk
pelyňkový	pɛlɪɲkoviː
pelášit	pɛlaːʃɪt
pemza	pɛmza
penalta	penalta
penalta	pɛnalta
penalty	pɛnaltɪ
pendant	pandaːn
pendler	pɛndlɛr
pendrek	pɛndrɛk
pendrek	pɛnˈrɛk
penetrovat	pɛnɛtrovat
penicilin	pɛnɪtsɪliːn
penicilín	pɛnɪtsɪliːn
penis	penɪs
penis	pɛnɪs
penitenciární	pɛnɪtɛntsɪaːrɲiː
penny	pɛnɪ
pension	pɛnzɪoːn
pensylvánie	pɛnsɪlvaːnɪjɛ
pentagon	pɛntagon
pentagon	pˈˌentˈagˌon
pentagonu	pɛntagonu
pentagram	pɛntagram
pentalogie	pɛntalogɪjɛ
pentan	pɛntan
pentateuch	pɛntateux
penthouse	pɛntɦaus
pentle	pɛntle
penze	benze
penze	pɛnzɛ
penzijní	pɛnzɪjɲiː
penzion	penˈzion
penzion	pɛnzɪoːn
penále	pɛnaːlɛ
peníz	pɛnˈiz
peníz	pɛɲiːs
peníze	penɲizɛ
peníze	pɛɲiːzɛ
peníze kterých	pɛɲizɛktɛriːx
peněz	pɛɲɛs
penězokaz	pɛɲɛzokas
peněženka	pɛɲɛʒɛnka
peněžní	pɛɲɛʒɲiː
pepa	tˈɛpˈa
pepky	pɛpkɪ
pepou	pɛpou
peprmint	pɛppərmɪnt
peprnost	pɛprnost
peprné	pɛprnɛː
peprný	pɛpɾniː
pepsin	pɛpsɪn
pepu	pɛpu
pepíček	pɛpiːtʃɛk
pepča	pɛptʃa
pepř	pɛpr̝
pepř	pˈepr
pepřenka	pɛprzɛnka
pepřenka	pɛpr̝ɛnka
pepřit	pɛpr̝ɪt
pepřový	pɛpr̝oviː
pepův	pɛpuːf
per	pɛr
pera	pɛra
pere	pɛrɛ
perem	pɛrɛm
perex	pɛrɛks
perfektní	perfɛktɲiː
perfektní	pɛrfɛktɲiː
perfektum	tɛrfɛktum
perforace	perforatɕɛ
pergamuška	pɛrgamuʃka
perhoreskovat	pɛrɦorɛskovat
periferní	pɛrɪfɛrɲiː
perimetr	pɛrɪmɛtr
perinatální	pɛrɪnatˈaːlɲiː
period	pɛrɪjot
perioda	pɛrɪjoda
periodikum	pɛrɪodɪkum
periskop	pɛrɪskop
perkutánní	pɛrkutaːɲiː
perla	perla
perla	pɛrla
perle	pɛrlɛ
perlit	pɛrlit
perlivá	perlivaː
perlivý	pɛrlɪviː
perličce	pɛrlɪtʃtsɛ
perlička	pɛrlɪtʃka
perlík	pɛrlɪːk
permanentně	pɛrmanɛntɲɛ
permisivita	pɛrmɪsɪvɪta
permu	pɛrmu
permutace	permutatsɛ
permutace	pɛrmutatsɛ
pernatý	pɛrnatiː
pernicová	pɛrɲɪtsovaː
perná	perna
perník	pɛrniː
perník	pɛrɲiːk
perníkov	pɛrɲiːkof
perníkový	pɛrɲiːkoviː
perníček	perɲiːtʃɛk
perníček	pɛrɲiːtʃɛk
perníčky	pɛrɲitʃkɪ
perný	pɛrniː
pernštejn	pˈɛrnʃtˈæjn
pero	ero
pero	pero
pero	pɛro
perokresba	perokrɛzba
perotina	pɛrotɪna
peroutka	pɛrou̯tka
peroxid	pɛroksɪt
perořízek	pɛror̝iːzɛk
perpentikl	pɛrpɛntɪkl
perpetlík	pɛrpɛtliːk
perplex	pɛrplɛks
perseidy	pɛrsɛjdɪ
perseus	pɛrzɛus
persie	pɛrzɪjɛ
persky	pɛrskɪ
perský	pɛrskiː
personalista	pɛrsonalɪsta
personalistika	pɛrsonalɪstɪka
personalistka	pɛrsonalɪstka
personáliích	pɛrsonaːlɪjiːx
perspektivní	pɛrspɛktɪvɲiː
persvaze	pɛrsvazɛ
perte	pɛrtɛ
perth	pɛːrs
pertubace	pɛrtubatsɛ
peru	pɛru
peruc	pɛruːts
perun	pɛrun
peruna	pɛruna
perune	pɛrunɛ
perunu	pɛrunu
perutný	pɛrutniː
perutýn	pɛrutiːn
peruánka	pɛruaːnka
peruánský	pɛruaːnskiː
perverze	pɛrvɛrzɛ
pervitin	pɛrvɪtɪn
perzekuci	pɛrzɛkutsɪ
perzekucích	pɛrzɛkutsiːx
perzekvovat	pɛrzɛkvovat
peršan	pɛrʃan
peršanka	pɛrʃanka
perština	perʃtɪna
perština	pɛrʃcɪna
pes	bˈɛs
pes	es
pes	pes
pes	pɛs
pes	pˈas
pes	pˈɛs
pesach	pɛsax
pesan	pɛsan
pesar	pɛsar
pesemeska	lasamasˈka
pesimismus	pɛsɪmɪzmus
pesimista	pɛsɪmɪsta
peskovat	pɛskovat
peskovat	vɛskovat
peskuje	pɛskujɛ
peso	pɛso
pesticid	pɛstɪtsɪt
pestrokrovečník	pɛstrokrovɛtʃɲiː
pestrý	pɛstriː
pestík	bɛsciːk
pestík	pɛsciːk
pestřce	pɛstr̝tsɛ
pestřenka	tɛstr̝ɛnka
pesík	pɛsiːk
petarda	pɛtarda
peter	piːtɛ
petice	pɛtitsɛ
petice	pɛtɪtsɛ
petici	pɛtɪtsɪ
peticích	pɛcɪtsiːx
petit	pɛtɪt
petiční	pɛtɪtʃniː
petka	pɛtka
petr	pɛtr
petra	pɛtra
petrami	pɛtramɪ
petrech	pɛtrɛx
petrem	pɛtrɛm
petrklíč	pɛtrkliːtʃ
petro	pɛtro
petrochemický	pɛtroxɛmɪtskiː
petrohrad	pɛtroɦrat
petrohradského	pɛtroɦradskɛːɦo
petrohradském	pɛtroɦradskɛːm
petrohradský	pɛtroɦradskiː
petrolej	pɛtrolɛj
petrolejka	pɛtrolɛjka
petrologie	pɛtrologɪɛ
petrou	pɛtrou
petrove	pɛtrovɛ
petrovi	pɛtrovɪ
petrovičky	pɛtrovɪtʃmɪ
petrovou	pɛtrovou
petrová	pɛtrovaː
petrové	pɛtrovɛː
petrově	pɛtrovjɛ
petroš	pɛtroʃ
petru	pɛtru
petry	pɛtrɪ
petrách	pɛtraːx
petrám	pɛtraːm
petráš	pɛtraːʃ
petrášovi	pɛtraːʃovɪ
petrů	pɛtruː
petrům	pɛtruːm
petrův	pɛtruːf
petrůvka	pɛtrʊfka
petržalka	pɛtrʒalka
petržel	pɛtrʒɛl
petrželový	pɛtrʒɛloviː
petržílkova	pɛtrɪʒiːlkova
petře	pɛtr̝ɛ
petřin	pɛtr̝ɪn
petřina	pɛtr̝ɪna
petřiny	pɛtr̝ɪnɪ
petřvaldová	pɛtr̝valdovaː
petříkovice	bɛtr̝iːkovɪtsɛ
petřín	pɛtr̝iːn
petřína	pɛtr̝iːna
pevnina	pɛvɲɪna
pevninský	pɛvɲɪnskiː
pevnost	pɛvnost
pevná	pɛvna
pevná	pɛvnaː
pevné	pɛvnɛ
pevného	pɛvnɛːɦo
pevné předsevzetí	pɛvnɛːpr̝ɛtsɛfzɛciː
pevný	pɛvniː
pevných	pɛvniːx
pevný stav	pɛvniːstˈaf
pevně	pɛvɲɛ
pevně přesvědčena	pɛvɲɛpr̝ɛsvjɛdtʃɛna
pexeso	pɛksɛso
pečena	pɛtʃɪnɑ
pečenou	pɛtʃɛnou
pečenáč	vɛtʃɛnaːtʃ
pečené	pɛtʃɪnɛ
pečení	pɛtʃɛɲiː
pečený	petʃɛniː
pečený	pɛtʃɛniː
pečeně	pɛtʃɛɲɛ
pečeně	tɛtʃɛɲɛ
pečetidlo	pɛtʃɛcɪdlo
pečeš	petʃaʃ
pečeť	pɛtʃɛc
pečivo	pɛtʃɪvo
pečka	pɛtʃka
pečlivý	pɛtʃlɪviː
pečlivě	pɛtʃlɪvjɛ
pečovat	pɛtʃovat
pečovatelský	pɛtʃovatɛlskiː
peču	petʃu
pečínka	pɛtʃˈiːnka
pečínku	pɛtʃiːnku
peďák	pɛɟaːk
peň	pɛɲ
peřina	pɛr̝ɪna
peřinou	pɛr̝ɪnou
peří	pɛr̝iː
pešek	pɛʃɛk
peška	pɛʃka
pešmerga	pɛʃmɛrga
pešoutová	pɛʃoutovaː
pešť	pɛʃc
pfefrčková	fɛfrtʃkovaː
pfefrčková	pfɛfrtʃkovaː
phablet	fablɛt
phishing	fɪʃɪn
phnompenh	pnompɛn
pianino	pɪjaniːno
pianino	pɪjaɲɪno
pianista	pɪjanɪsta
piano	peano
piano	pɪjano
piano	pɪjaːno
piazzetta	pjatsɛta
pic	pɪts
picasso	pɪkaso
pichlavý	pɪxlaviː
picobello	pɪkobɛlo
piercing	piːrsɪnk
pierot	pɪɛrot
pierotský	pɪjɛrotskiː
pierre	pjɛr
pif	pɪf
pifka	pɪfka
piglovat	pɪglovat
pigment	pɪgmɛnt
pigmentový	pɪgmɛntoviː
pih	pɪx
piha	pɪɦa
pihový	pɪɦoviː
pij	pɪj
pijan	pɪjan
pijavice	pɪjavitsɛ
pijavice	pɪjavɪtsɛ
pijavicemi	pɪjavɪtsɛmɪ
pije	pɪjɛ
piják	pɪjaːk
pikador	pɪkador
pikaná	pɪkanaː
pikareskní	pɪkarɛskɲiː
pikle	pɪklɛ
piknikovat	pɪknɪkɔvat
piko	pɪko
piko-	pɪko
pikola	pɪkola
pikolo	pɪkolo
pikolík	pɪkoliːk
pikometr	pɪkomɛtr
piksel	pɪksɛl
piksla	pɪksla
piktogram	pɪktogram
pil	pɪl
pil	pˈɛl
pila	pɪla
pilatka	pɪɫatka
pile	pɪlɛ
pilečková	pɪlɛtʃkovaː
pili	pɛlɛ
pili	pɪlɪ
pilinový	pɪlɪnoviː
pilip	pɪlɪp
pilka	pɪlka
pilko	pɪlko
pilnice	pɪlɲɪtsɛ
pilník	pɪlɲiːk
pilník	pɪlɲiːt
pilníkov	pɪlɲiːkɔf
pilně	pɪlɲɛ
pilo	pɛlɔ
pilo	pɪlo
pilot	pɪlo
pilot	pɪlot
pilota	pɪlota
pilotní	pɪlotɲiː
pilotův	pɪlotuːf
pilous	pilouz
pilovat	pɪlovat
pilový	pɪloviː
pilský	pɪlskiː
pilíř	pɪliːr̝
pilířích	pɪliːr̝iːx
pimprle	pɪmprlɛ
pinakotéka	pɪnakotɛːka
pince	pɪntsɛ
pinchas	penˈxas
pindík	pɪnɟiːk
pingl	pɪngl
pingle	pɪnglɛ
pingo	pɪngo
pink	pɪnk
pinka	pɪnka
pinta	pɪnta
pinzeta	pɪnzɛta
pinč	pɪntʃ
pinče	pɪntʃɛ
pinďa	pɪnɟa
pinďa	pɪɲɟa
pinďour	pɪnɟour
pip	pɪp
pipa	pɪpa
pipeta	pepet̪a
pipi	pɪpɪ
pipinka	pɪpɪnka
piplačce	pɪplatʃtsɛ
piplačku	pɪplatʃku
piraňa	pijraɲa
piraňa	pɪraɲa
pirát	pɪraːt
piráti	pɪraːcɪ
pirátská loď	pɪraːtskaːlɔc
pirátský	pɪraːtskiː
pirátův	pɪraːtuːf
pisa	piːza
piscivorní	pɪstsɪvorɲiː
pisk	pɪsk
pisoár	pɪsoaːr
pistol	pɪstɔl
pistole	pɪstolɛ
pistolářka	pɪstolaːr̝ka
pistolí	pɪstoliː
pistácie	pɪstaːtsɪjɛ
pistáciový	pɪstaːtsɪjoviː
pisu	piːzu
pisánský	pɪsaːnskiː
pit	pɪt
pita	pɪta
pitaka	pɪtaka
pitaval	pɪtaval
pitel	pɪtɛl
pitevna	vɪtɛvna
pithiatický	pɪtɪjatɪtskiː
pitný	pɪtniː
pitoma	pɪtoma
pitomec	pɪtomɛts
pitomina	pɪtomɪna
pitomost	pɪtomost
pitomí	pɪtomiː
pitomý	pɪtomiː
pitomě	pɪtɔmɲɛ
pitoreskní	pɪtorɛskɲiː
pitva	pɪtva
pitvat	pɪtvat
pitvat	pʲatɔvat
pitvati	pɪtvacɪ
pitvorný	pɪtvorni
pitvy	pɪtvɪ
pity	pɪtɪ
pití	pɪciː
pius	pɪjus
piv	pɪf
pivař	pɪvar̝
pivečko	pɪvɛtʃko
pivka	pɪfka
pivnice	pɪvɲɪtsɛ
pivní	pɪvɲiː
pivo	pevo
pivo	pɪvo
pivo	pɪvˈo
pivotka	pɪvotka
pivotmanka	pɪvotmanka
pivovar	pɪvovar
pivovod	pɪvovot
pivovár	pɪvovaːr
pivovárek	pɪvovaːrɛk
pivoňka	pɪvoɲka
pivrncová	pɪvrntsovaː
pixel	pɪksl
pizda	pizda
pizda	pɪzda
pizz	pɪts
pizza	pɪtsa
pizza	pɪtsɑ
pizzerie	pɪtsɛrɪjɛ
pizzicato	pɪtsɪkaːto
pizzu	pɪtsˈu
piča	pɪtʃa
pička	pɪtʃka
pička	pˈitʃkˈa
pičovina	pɪtʃovɪna
pičus	pɪtʃus
pišinger	pɪʃɪngɛr
pišingr	pɪʃɪngr
piškot	pɪʃkot
piškvorky	pɪʃkvorki
piškvorky	pɪʃkvorkɪ
pište	pɪʃtɛ
pištec	pɪʃtɛts
pištil	pɪʃcɪl
pištěl	pɪʃcɛl
piťhův	pɪcɦuːf
pižmo	pɪʒmo
pižmovka	pɪʒmofka
plac	plˈats
placatka	plˈatsatka
place	platsɛ
placebo	platsɛbo
placek	platsɛk
placeni	platsɛɲɪ
placenta	platsɛnta
placento	platsɛnto
placení	platsɛɲiː
placený	platsɛniː
placený	platɛniː
plachetkou	plaxɛdkou
plachetnice	plaxɛtɲɪtsɛ
plachetnice	plxɛtnɪtsɛ
plachetní	plaxɛtɲiː
plachta	plˈaxta
plachtař	plˈaxtar̝
plachtička	plˈaxtitʃka
plachty	plaxtɪ
plachtím	plˈaxtɪm
plachý	plˈaxi
plachý	plˈaxiː
placka	plˈatska
placák	plˈatsaːk
plagiát	plagɪaːt
plagiátorovi	plagɪjaːtorovɪ
plaji	plajɪ
plakat	plˈakat
plakati	plakacɪ
plakač	plˈakatʃ
plaketa	plakɛta
plakoidní	plakoɪdɲiː
plakát	plagaːt
plakát	plˈakat
plakát	plˈakaːt
plakát	plˈɛgˌaɾt
plamatý	plˈamatiː
plamen	plamɛn
plamene	plamɛnɛ
plamenomet	plamɛdˈomɛt
plamenomet	plamɛnomɛt
plameny	plamɛnɪ
plameňák	plamɛɲaːk
plamének	plamɛnɛk
plamínek	plamiːnɛk
plane	plana
plane	planɛ
planet	planɛt
planeta	planeta
planeta	planɛta
planetka	planɛtka
planetu	planɛtu
planety	planɛtɪ
planetárium	planɛtaːrɪjum
planetární	planɛtaːrɲiː
planimetr	planɪmɛtr
planoucí	planou̯tsiː
planoucí oči	planoutsiːʔotʃɪ
planout	planout
planouti	planoucɪ
plantární	plˈantaːrɲiː
plantáž	plˈantaːʃ
plantážnice	plantaːʒnitsɛ
plantážník	plantaːʒniːk
plantážníkův	plˈantaːʒɲˌiːkuːf
plantáž má pána	plantaːʃmaːpaːna
planě	plˈanɛ
plasko	plˈasko
plaský	plˈaskiː
plasma	plazma
plasmalemma	plasmalɛmma
plast	plˈast
plastelína	plastɛliːno
plastid	plastɪt
plastidový	plastɪdoviː
plastika	plastɪka
plastičnost	plastɪtʃnɔst
plastové	plastovɛː
plastový	plˈastoviː
plastových	plˈastoviːx
plasy	plasɛ
plasy	plasɪ
plat	pat
plat	plˈat
platan	plˈatan
platane	platanɛ
platanový	plˈatanˌoviː
plataně	plataɲɛ
platba	plˈadba
platbu	plˈadbu
platforma	platforma
platfusák	plˈatfusaːk
platidlo	placɪdlo
platidlo	platɪdlɔ
platilo	placɪlo
platin	platɪn
platina	platɪna
platinami	platɪnamɪ
platino	platɪno
platinou	platɪnou
platinový	platɪnoviː
platinu	platɪnu
platiny	platɪnɪ
platinách	platɪnaːx
platinám	platɪnaːm
platině	platɪɲɛ
platit	placɪt
platit	platit
platnost	plˈatnost
platné	platnɛː
platného	platnɛːɦo
platný	plˈatniː
platně	platɲɛ
plato	plˈato
platonský	plˈatonskiː
platoš	plˈatoʃ
platu	plˈatu
platy	platɪ
platí	plˈaciː
platících	plˈaciːtsiːx
platím	plˈaciːm
platón	platɔn
platýs	plˈatiːs
platů	plˈatuː
plav	plˈaf
plavat	lavat
plavat	plˈavat
plavba	plˈavba
plavbu	plˈavbu
plavcová	plˈaftsovaː
plave	plavɛ
plavební dráha	plavɛbɲiːtraːɦa
plavec	plavets
plavec	plavɛts
plavecký	plavɛtskˈiː
plavení	plavɛniː
plaveš	lavɛʃ
plavidel	plavɪdɛl
plavidlo	plavɪdlo
plavit	plavɪt
plaviti	plavɪcɪ
plavky	plafkɪ
plavkyně	plafkɪɲɛ
plavme	plavmɛ
plavou	plaβ̞ou
plavovlasá	plˈavovlˈasa
plavovlasý	plˈavovlˈasiː
plavovláska	plˈavovlaːska
plavte	plaftɛ
plavání	lavaːniː
plavání	plˈavaːɲiː
plaváních	plˈavaːɲiːx
plaváním	plˈavaːɲiːm
plaváními	plavaːɲiːmɪ
plaví	plˈaviː
plavý	plavjiː
plavý	plˈaviː
playlist	plɛjlɪst
plaz	plˈas
plazem	plazɛm
plazit	plasit
plazma	plˈazma
plazmolýza	plˈazmolˌiːza
plazy	plasi
plač	plˈatʃ
plaček	platʃɛk
plačka	plˈatʃka
plačková	plˈatʃkovaː
plačtivý	platʃcɪviː
plačíc	plˈatʃiːts
plačící	plˈatʃiːtsiː
plaň	plˈaɲ
plaňka	plˈaɲka
plašit	plˈaʃɪt
plať	plˈac
plaťák	plˈacaːk
plch	plx
plch	plʲ
plebejec	plɛbɛjɛts
plebiscit	plɛbɪstsɪt
plebiscitu	plɛbɪstsɪtu
plebs	plɛps
plebán	plɛbaːn
plech	plɛx
plech	plˈɛx
plechovka	plɛxofka
plechovkový	plɛxofkovˈiː
plechový	plɛxoviː
plechý	plɛxˈiː
plejtvák	plɛjtvaːk
plemeno	plemenɔ
plemeno	plɛmɛno
plemeník	plɛmɛɲiːk
plen	plɛn
plenit	plɛɲɪt
pleniti	plɛɲɪcɪ
plenivše	plɛɲɪfʃɛ
plenka	plɛnka
pleno	plɛnu
plenta	plɛnta
plenty	plɛntɪ
pleníc	plɛɲiːts
pleníš	plɛɲiːʃ
pleně	plɛɲɛ
plenění	plɛnjɛɲiː
ples	blˈɛs
ples	plɛs
plesa	plɛsa
plesajíce	plɛsajiːtsɛ
plesat	plɛsat
plesati	plɛsacɪ
plesem	plɛsɛm
plesk	plɛsk
pleskat	plaskat
plesnivec	plɛsɲivɛts
plesnivý	plɛsɲɪviː
pleso	plɛso
pleso	plɛsːo
plesu	plɛsu
pletenka	plɛtɛnka
pletená	plɛtɛnaː
pletené	plɛtɛnɛ
pletení	plɛtɛniː
pletený	plataniː
pletený	plɛtɛniː
pleti	plɛcɪ
pleticha	plˈajtɪxˈa
pletivo	plɛcɪvo
pletivový	plɛcɪvoviː
pletka	plɛtka
pletu	platau
pletu	plɛtu
pletu se	plɛtusɛ
pletynka	plɛtɪnka
pleténka	plɛtɛːnka
pletýnka	plɛtiːnka
pleva	pleva
plevel	plebel
plevel	plɛvɛl
plevová	plɛvovaː
plevový	plɛvoviː
plevňov	plɛvɲov
plexisklo	plɛksɪsklɔ
plečka	plɛtʃka
pleš	plɛʃ
plešatost	plɛʃˈatost
plešatý	plɛʃatiː
plešatění	plɛʃatɛniː
plešoun	plɛʃoun
pleť	plɛc
pleť	plˈɛt
pleťte	plˈɛtstɛ
plic	plɪts
plic	plˈɪt
plice	plɪtsɛ
plichta	plɪxta
plicní	plɪtsɲiː
plik	plɪk
plika	plɪka
plikami	plɪkamɪ
pliko	plɪko
plikou	plɪkou
pliku	plɪku
pliky	plɪkɪ
plikách	plɪkaːx
plikám	plɪkaːm
plisovat	plˈisovat
plivla	plɪvla
plivnul	plɪvnul
plk	plk
plkat	plkat
pln	pln
plna	plna
plna	pɨlna
plnit	plɲɪt
plno	plno
plno	pɪnˈo
plnohodnotný	plnoɦodnotniː
plnokrevník	plnokrɛvɲiːk
plnoletý	plnolɛtiː
plnoštíhlý	plnoʃciːɦliː
plná	plnaː
plné	plnɛː
plní	plɲiː
plníš	plˈiːʃ
plný	plniː
plný	pɛn˥˩iː˧
plný prachu	plniːprˈaxu
plně	plɲɛ
plněné	lɲɛnɛː
plnění	plnɛniː
plněný	plɲɛniː
plocha	plˈoxa
plochy	ploxɪ
plochách	plˈoxaːx
plochém	ploxɛm
plochý	plˈoxiː
plod	plˈot
plodem	plodɛm
plodenství	plodɛnstviː
plodina	ploɟɪna
plodinu	ploɟɪnu
plodit	ploɟɪt
ploditi	ploɟɪcɪ
plodnice	plodɲɪtsɛ
plodný	plˈodniː
plodolist	plodolɪst
plody	plodɨ
plodíce	ploɟiːtsɛ
plomb	plˈomp
plomba	bɔlomba
plonkový	ploɲkoviː
ploska	plˈoska
ploskohřbetka	ploskoɦr̝ɛbɛtka
ploskoroh	ploskorof
plot	plˈot
plotice	plocɪtsɛ
plotice	plˈotɛtsɛ
plotně	plotɲɛ
ploténky	plotɛnkj
plout	plout
ploutev	ploutɛf
ploutev	plou̯tɛ
ploutve	plou̯tva
ploutvonožec	ploutvonoʒɛts
ploučnice	ploutʃɲɪtsɛ
plovárna	plˈofaːrna
plovárně	plovaːrɲɛ
ploše	ploʃɛ
plošina	ploʃɪna
plošině	ploʃɪɲɛ
ploška	plˈoʃka
plošný	plˈoʃniː
