ༀ	om 
མཆོད་དང་གཏོར་ཚོགས་འཁོར་འདས་དུས་བཞིར་བྱ	chö dang tor tsokkhor dé dü zhirja
མཆོད་དང་མཆོད་ཡུལ་དམིགས་སུ་མེད༔	chö dang chöyul mik su mé
མཆོད་དང་སྡིག་བཤགས་དགེ་ལ་རྗེས་ཡི་རངས	chö dang dikshak gé la jé yi rang
མཆོད་དོ	chö  do
མཆོད་དོ	chö do
མཆོད་དོ་བསང་ངོ་མངའ་གསོལ་ལོ	chö do sang ngo ngasol lo
མཆོད་དོ་བསྟོད་དོ་ཐུགས་དམ་བསྐུལ	chö do tö do tukdam kul
མཆོད་དོ་བསྟོད་དོ་བཀུར་རོ་བཀྱགས	chö do tö do kur ro kyak
མཆོད་དོ་འདོད་ཡོན་རྒྱ་མཚོའི་སྤྲིན་གྱིས་མཆོད༔	chö do döyön gyatsö trin gyi chö
མཆོད་དོ་སྐྱབས་སུ་མཆིའོ	chö do kyab su chi o
མཆོད་དོ་སྐྱབས་སུ་མཆིའོ	chö do kyap su chi o
མཆོད་ན་འདུ་ཞིང་བསྒྲུབ་ན་འགོ་བ	chö na du zhing drup na gowa
མཆོད་པ་ཀུན་འབུལ་སྡིག་པ་མཐའ་དག་བཤགས	chöpa kün bul dikpa tadak shak
མཆོད་པ་གང་རྣམས་བླ་མེད་རྒྱ་ཆེ་བ	chöpa gang nam lamé gya chewa
མཆོད་པ་གང་རྣམས་བླ་མེད་རྒྱ་ཆེ་བ	chöpa gang nam lamé gyachewa
མཆོད་པ་གང་རྣམས་བླ་མེད་རྒྱ་ཆེ་བ	chöpa gang nam lamé gyachéwa
མཆོད་པ་ཆེན་པོ་དགྱེས་པར་བཞེས	chöpa chenpo gyepar zhé
མཆོད་པ་དམ་པ་འབུལ་བ་ནི	chöpa dampa bulwa ni
མཆོད་པ་དུ་མས་རྟག་ཏུ་མཆོད་ཅིང་བསྟོད༔	chöpa dumé taktu chö ching tö
མཆོད་པ་རྒྱ་མཚོ་འདི་བཞེས་ཤིག༔	chöpa gyatso di zhé shik
མཆོད་པའི་གནས་འདིར་གཤེགས་སུ་གསོལ	chöpé né dir shek su sol
མཆོད་པའི་ཆར་ཆེན་རྒྱས་པར་མཛད་དུ་གསོལ	chöpé char chen gyepar dzé du sol
མཆོད་པའི་དངོས་པོར་རབ་སྦྱངས་ཏེ	chöpé ngöpor rab jang té
མཆོད་པའི་ཕྱག་རྒྱ་ཆེན་པོ་བཞེས༔	chöpé chakgya chenpo zhé
མཆོད་པའི་ཕྱག་རྒྱ་ཆེན་པོ་ཡིས༔	chöpé chakgya chenpo yi
མཆོད་པའི་ཕྱག་རྒྱ་ཆེན་པོ་སོགས༔	chöpé chakgya chenpo sok
མཆོད་པའི་མགྲོན་དུ་དགྱེས་པར་འདིར་གཤེགས་ལ	chöpé drön du gyepar dir shek la
མཆོད་པའི་ཡུལ་དུ་དམིགས་ནས་འབུལ	chöpé yul du mik né bul
མཆོད་པའི་རྫས་སུ་བྱིན་བརླབས་ཏེ༔	chöpé dzé su jinlab té
མཆོད་པའི་ལས་ལ་སྤྱན་འདྲེན་ན	chöpé lé la chendren na
མཆོད་པའི་ལྷ་མ་འཁྲུལ་ན	chöpé lha ma trul na
མཆོད་པའི་ལྷ་མོ་ཆར་སྤྲིན་ལྟ་བུར་གཏིབས༔	chöpé lhamo chartrin tabur tib
མཆོད་པའི་ལྷ་མོ་བརྒྱད་རྣམས་ལ༔	chöpé lhamo gyé nam la
མཆོད་པའི་སྤྲིན་གྱི་ཆར་འབེབས་ཤོག	chöpé trin gyi charbeb shok
མཆོད་པའི་སྤྲིན་གྱི་ཕུང་པོ་མཆོད	chöpé trin gyi pungpo chö
མཆོད་པའི་སྤྲིན་གྱིས་ནམ་མཁའ་གང་བྱས་ཏེ	chöpé trin gyi namkha gang jé té
མཆོད་པའི་སྤྲིན་ཕུང་ཆེན་པོ་བསམ་གྱིས་མི་ཁྱབ་པས	chöpé trinpung chenpo sam gyi mi khyabpé
མཆོད་པའི་སྤྲིན་ཕུང་མཁའ་ལ་འཕྲོ	chöpé trinpung kha la tro
མཆོད་པར་འོས་པ་རྣམས་ཀྱི་ཞལ་དུ་སརྦ་པཉྩ་ཨ་མྲྀཏ་ཁ་རཾ་ཁཱ་ཧི༔	chöpar öpa nam kyi zhal du sarva pentsa amrita kha ram khahi
མཆོད་པར་འོས་པའི་ཐུགས་དམ་སྐོང་གྱུར་ཅིག༔	chöpar öpé tukdam kong gyur chik
མཆོད་པས་བསོད་ནམས་ཚོགས་རྫོགས་ཤོག	chöpé sönam tsok dzok shok
མཆོད་བསྟོད་གྲུབ་པའི་རིག་འཛིན་ནི	chötö drubpé rigdzin ni
མཆོད་བསྟོད་དྲེགས་པའི་དཀྱིལ་འཁོར་དུ	chötö drekpé kyilkhor du
མཆོད་བསྟོད་དྲེགས་པའི་དཀྱིལ་འཁོར་མ་མཐོང་ཞིང	chötö drekpé kyilkhor matong zhing
མཆོད་བསྟོད་བརྒྱུད་པའི་བླ་མ་ལ་གསོལ་བ་འདེབས༔	chötö gyüpé lama la solwa deb
མཆོད་བསྟོད་ཚུལ་དུ་ཛབ་འདི་བཟླ	chö tö tsul du dzap di da
མཆོད་བྱ་མཆོད་བྱེད་མཆོད་ཡུལ་ཀུན༔	chöja chöjé chöyul kün
མཆོད་ཚོགས་ཀུན་འབུལ་སྡིག་ལྟུང་ཐམས་ཅད་བཤགས	chö tsok kün bul diktung tamché shak
མཆོད་འོས་ཀུན་ལ་མཆོད་པར་བགྱི	chö ö kün la chöpar gyi
མཆོད་འོས་རྒྱ་མཚོའི་ཐུགས་དམ་བསྐང་༔	chö ö gyatsö tukdam kang
མཆོད་འོས་རྣམས་ཀྱི་སྤྱན་སྔར་བཤགས	chö ö nam kyi chen ngar shak
མཆོད་འོས་རྣམས་ལ་དུས་ཀུན་ཏུ	chö ö nam la dü küntu
མཆོད་ཡུལ་མཉེས་བྱས་སྦྱིན་ཡུལ་སྡིག་སྒྲིབ་སྦྱངས	chöyul nyé jé jin yul dikdrib jang
མཆོད་ཡུལ་ལྷ་རྣམས་དགྱེས་པའི་སྤྲིན་དུ་གྱུར	chöyul lha nam gyepé trin du gyur
མཆོད་ཡུལ་ལྷ་རྣམས་མཉེས་པའི་དཔྱིད་དུ་གྱུར	chöyul lha nam nyepé chi du gyur
མཆོད་ཡོན་ཞབས་བསིལ་གྱི་ཆུ་རྒྱུན	chö yön zhap sil gyi chu gyün
མཆོད་ཡོན་ཞབས་བསིལ་མེ་ཏོག་བདུག་སྤོས་དང	chöyön zhabsil metok dukpö dang
མཆོད་ཡོན་ཞབས་བསིལ་མེ་ཏོག་བདུག་སྤོས་དང་	chöyön zhabsil metok dukpö dang
མཆོད་རྟེན	mtɕʰotrten
མཆོད་རྟེན	tɕʰøː˥˥tẽ˥˥
མཆོད་རྟེན་ཀེ་འུ་ཏི་ཤན་ནས	chörten ké u tishen né
མཆོད་རྟེན་གཟི་འོད་འབར་བ་ནས	chörten zi ö barwa né
མཆོད་རྟེན་གོ་མ་ས་ལ་ནས	chörten gomasala né
མཆོད་རྟེན་ཆེན་པོ་ཀ་ནི་ནས	chörten chenpo kaniné
མཆོད་རྟེན་བདེ་བྱེད་བརྩེགས་པ་ནས	chörten dé jé tsekpa né
མཆོད་རྟེན་རང་བྱུང་ཀུ་མ་ནས	chörten rangjung ku ma né
མཆོད་རྟེན་རང་བྱུང་བདེ་ཆེན་ནས	chörten rangjung dechen né
མཆོད་རྟེན་རིན་ཆེན་འོད་འཕྲོ་ནས	chörten rinchen ö tro né
མཆོད་རྟེན་རྣམ་དག་དྲུང་དུ་ཉིད་ལས་ཉིད	chörten namdak drung du nyi lé nyi
མཆོད་རྟེན་རྣམ་དག་དྲུང་དུ་དབུ་སྐྲ་བསིལ	chörten namdak drung du utra sil
མཆོད་རྟེན་རྣམ་དག་དྲུང་ནས་དབུ་སྐྲ་བསིལ	chörten namdak drung né utra sil
མཆོད་རྟེན་ལ་ནི་བདག་ཕྱག་འཚལ	chörten la ni dak chak tsal
མཆོད་རྟེན་ལྷ་དང་བཅས་པ་ཞུ་བ་ལས་སཱཙྪའི་རྣམ་པ་ཇི་ལྟ་བར་གྱུར	chörten lha dang chepa zhuwa lé satsé nampa jitawar gyur
མཆོད་རྫས་ཀུན་བཟང་རོལ་པའི་རྒྱན་དུ་གྱུར	chödzé kunzang rolpé gyen du gyur
མཆོད་རྫས་ཉེས་སྐྱོན་མ་དག་བསྲེགས་གཏོར་བཀྲུས༔	chödzé nyekyön ma dak sek tor trü
མཆོད་རྫས་དང་འཚོ་བའི་ཡོ་བྱད་རྣམས་གཞན་གྱིས་མི་འཕྲོག་པར་འགྱུར་བ་དང	chödzé dang tsowé yojé nam zhen gyi mi trokpar gyurwa dang
མཆོད་རྫས་མ་ཚང་སྒྲུབ་པ་གཡེལ༔	chödzé ma tsang drubpa yel
མཆོད་སྡོང་བཞེངས་པར་མཛད་ལ་གསོལ་བ་འདེབས	chö dong zhengpar dzé la solwa dep
མཆོད་སྤྲིན་མཁའ་དང་མཉམ་པར་སྤེལ༔	chötrin kha dang nyampar pel
མཆོད་སྤྲིན་རྒྱ་མཚོའི་སྤྲིན་འཕྲོ་བ	chö trin gyatsöi trin trowa
མཆོད་སྤྲིན་རྒྱ་མཚོས་གང་བའི་དབུས	chötrin gyatsö gangwé ü
མཆོད་སྤྲིན་རྒྱ་མཚོས་གང་ཞིང་སྤྱོད་གྱུར་ཅིག	chötrin gyatsö gang zhing chö gyur chik
མཆོད་སྤྲིན་རྒྱ་མཚོས་བཏེགས་པའི་དབུས	chötrin gyatsö tekpé ü
མཆོད་སྦྱིན་གཏོར་མ་འདི་བཞེས་ལ	chöjin torma di zhé la
མཆོད་སྦྱིན་གནས་འདིར་སྤྱན་འདྲེན་ན༔	chöjin né dir chendren na
མཆོད་སྦྱིན་འདི་ཡིས་ཚིམ་གྱུར་ཅིག	chöjin di yi tsim gyur chik
མཇལ་ནས་རྣམ་པ་ཀུན་ཏུ་མཉེས་བྱེད་ཅིང	jal né nampa küntu nyé jé ching
མཇལ་བ་འདི་འདྲ་བླ་མའི་དྲིན་ཡིན་པས	jalwa dindra lamé drin yinpé
མཇལ་བས་ཡིད་ཀྱི་གདུང་བ་ཞི་བར་ཤོག	jalwé yi kyi dungwa zhiwar shok
མཇལ་ཞིང་ཁྱད་པར་གསང་སྔགས་ཟབ་དོན་ཚིག་གཅིག་ལ་གྲོལ་བའི	jal zhing khyepar sang ngak zab dön tsik chik la drolwé
མཇུག	mdʑuk
མཇུག	tɕuk̚ˀ˥˨
མཇུག་བསྡོམས	mdʑukbzdoms
མཇུག་བསྡོམས	tɕuk̚ˀ˩˧˨tom˥˨
མཇུག་མ	mdʑukma
མཇུག་སྒྲིལ	mdʑukzgril
མཇུག་སྒྲིལ	tɕuk̚ˀ˩˧˨ʈʂi˩˨
མཉན་དུ་ཡོད་པའི་ཆོ་འཕྲུལ་མཐུས་བཅད་པས	nyen du yöpé chotrul tü chepé
མཉན་དུ་ཡོད་པའི་ཆོ་འཕྲུལ་མཐུས་བཅད་པས	nyen du yöpé chotrul tü chépé
མཉན་དུ་ཡོད་པར་ཆོ་འཕྲུལ་ཆེན་པོ་བསྟན	nyen du yöpar chotrul chenpo ten
མཉམ་གཞག་ཐུན་དུ་བཅད་ལ་བྱ	nyam zhak tün du ché laja
མཉམ་གཞག་རྗེས་ཐོབ་ཐ་དད་མེད	nyam zhak jetob tadé mé
མཉམ་ཉིད་ངང་ལས་ཡེ་ཤེས་ཤར༔	nyamnyi ngang lé yeshe shar
མཉམ་ཉིད་ཆེན་པོར་བརྟན་པར་བཞུགས	nyamnyi chenpor tenpar zhuk
མཉམ་ཉིད་ཆོས་སྐུར་ལྟ་བའི་མོས་གུས་ཀྱིས	nyam nyi chökur tawé mögü kyi
མཉམ་ཉིད་ཉེ་རིང་གཟིགས་པ་མི་མངའ་ཡང	nyamnyi nyering zikpa mi nga yang
མཉམ་ཉིད་དཔལ་ཆེན་པདྨ་བཛྲ་རྩལ	nyamnyi palchen pema benza tsal
མཉམ་ཉིད་བདེ་ཆེན་ཀློང་དུ་བཤགས་པར་བགྱི༔	nyamnyi dechen long du shakpar gyi
མཉམ་ཉིད་བདེ་ཆེན་དབྱིངས་སུ་དག་པར་མཛོད	nyamnyi dechen ying su dakpar dzö
མཉམ་ཉིད་བྱང་ཆུབ་སེམས་ཀྱི་མཐུས	nyamnyi changchub sem kyi tü
མཉམ་ཉིད་བྱང་ཆུབ་སེམས་ལ་རྟག་ཏུ་འདུད	nyamnyi changchub sem la taktu dü
མཉམ་ཉིད་བྱང་ཆུབ་སེམས་ལ་རྟག་ཏུ་འདུད༔	nyamnyi changchub sem la taktu dü
མཉམ་ཉིད་མི་གཡོ་མཉམ་པའི་སངས་རྒྱས་ལ	nyamnyi mi yo nyampé sangye la
མཉམ་ཉིད་མི་གཡོ་ལྷུན་མཉམ་ཡངས་པ་རུ	nyamnyi mi yo lhün nyam yangpa ru
མཉམ་ཉིད་ཞི་བ་ཆེན་པོ་ཆོས་སྐུའི་ཐུགས	nyamnyi zhiwa chenpo chökü tuk
མཉམ་ཉིད་ཡེ་ཤེས་རྔོག་ཆོས་རྡོར	nyamnyi yeshe ngok chö dor
མཉམ་ཉིད་རྟོགས་པའི་རྒྱལ་བ་ཡིས༔	nyamnyi tokpé gyalwa yi
མཉམ་ཉིད་རྟོགས་པར་བྱིན་གྱིས་རློབས	nyamnyi tokpar jingyi lob
མཉམ་ཉིད་རྫོགས་པའི་དོན་རྣམས་སོ་སོར་བྱེད	nyamnyi dzokpé dön nam sosor jé
མཉམ་དུ	mȵamdu
མཉམ་དུ	ȵam˥˥tuˑ
མཉམ་པ་ཆེན་པོ་ཀུན་ཏུ་བཟང་པོའི་དབྱིངས	nyampa chenpo kuntuzangpö ying
མཉམ་པ་ཆེན་པོའི་མཆོད་པ་རྣམ་པར་རོལ	nyampa chenpö chöpa nampar rol
མཉམ་པ་ཉིད་ཀྱི་དོན་རྟོགས་ཤོག༔	nyampa nyi kyi dön tok shok
མཉམ་པ་ཉིད་གྱུར་ཐིག་ལེ་ཉག་གཅིག་ལ	nyampa nyi gyur tiklé nyak chik la
མཉམ་པ་ཉིད་ལ་ཆེ་ཆུང་མེད་པ་ལ༔	nyampa nyi la chechung mepa la
མཉམ་པ་རྣམས་ལས་ཁྱད་དུ་ཐོན་ཅིག	nyampa nam lé khyé du tön chik
མཉམ་པའི་དཔེ་བྱར་འོས་པའི་འགལ་ཟླ་ནི	nyampé pé jar öpé galda ni
མཉམ་པའི་མཐུ་དབང་ཐོབ་པར་བྱིན་གྱིས་རློབས	nyampé tu wang tobpar chin gyi lop
མཉམ་པར་བཞག་ཀྱང་བཀོལ་དུ་མི་བཏུབ་པས	nyampar zhak kyang kol du mi tubpé
མཉམ་པར་བཞག་པས་བླ་མ་ལ	nyampar zhakpé lama la
མཉམ་པར་བཞག་པས་རིག་པ་ཚད་ལ་ཕེབས	nyampar zhakpé rigpa tsé la peb
མཉམ་པར་མ་བཞག་མེད་པའི་ཡེ་ཤེས་ཀློང	nyampar ma zhak mepé yeshe long
མཉམ་པར་མ་བཞག་མེད་ལ་རྗེས་ཡི་རང	nyampar ma zhakmé la jé yi rang
མཉམ་པར་མ་བཞག་མེད་ལ་རྗེས་ཡི་རང་	nyampar ma zhakmé la jé yi rang
མཉམ་པར་སྦྱོར་བའི་མཁའ་གསང་ནས༔	nyampar jorwé kha sang né
མཉམ་བཞག་གི་ཕྱག་རྒྱ་སྤྱན་གཉིས་ནམ་མཁར་གཟིགས	nyam zhak gi chakgya chen nyi namkhar zik
མཉམ་བཞག་ཆོས་འཆད་བདུད་རྩི་ཀ་པ་ལ	nyamzhak chö ché dütsi kapala
མཉམ་བཞག་ཐོད་ནང་བདུད་རྩི་བམ་གྱིས་མཚན	nyamzhak tö nang dütsi bam gyi tsen
མཉམ་བཞག་བདུད་རྩི་ཐོད་ཞལ་བསྣམ་པར་གསལ	nyamzhak dütsi tö zhal nampar sal
མཉམ་བཞག་བདུད་རྩིའི་ལྷུང་བཟེད་བསྣམས༔	nyamzhak dütsi lhungzé nam
མཉམ་བཞག་ཚེ་བུམ་འཛིན་ཅིང	nyamzhak tsebum dzin ching
མཉམ་བཞག་སྟེང་དུ་ལྷུང་བཟེད་འཛིན	nyamzhak tengdu lhungzé dzin
མཉམ་བཞག་སྟེང་ན་ཐོད་པ་འོད་འབར་ནང་༔	nyamzhak teng na töpa öbar nang
མཉམ་མེད་གཙུག་གི་རྒྱན་གཅིག་ཀཿ་དམ་པ	nyammé tsuk gi gyen chik kadampa
མཉམ་མེད་གུ་རུ་ཁྱོད་དང་མཚུངས་པར་ཤོག	nyammé guru khyö dang tsungpar shok
མཉམ་མེད་ཇོ་བོ་རྗེ་ལ་གསོལ་བ་འདེབས	nyammé jowo jé la solwa deb
མཉམ་མེད་བླ་མ་མཆོག་དེ་དུས་འདིར་དྲན	nyammé lama chok dedü dir dren
མཉམ་མེད་མཐུ་མངའ་གཏུམ་ཆེན་མེ་ལྟར་འབར	nyammé tu nga tum chen mé tar bar
མཉམ་མེད་མི་གཡོ་མཉམ་ཉིད་མཆོག་གི་ཆོས་ཉིད་ཅན	nyammé mi yo nyamnyi chok gi chönyi chen
མཉམ་མེད་ཟས་གཙང་སྲས་དང་མར་མེ་མཛད	nyammé zetsang sé dang marmé dzé
མཉམ་མེད་འགྲོ་མགོན་དྭགས་པོ་བཀའ་བརྒྱུད་ལ	nyammé dro gön dakpo kagyü la
མཉམ་མེད་རྡོ་རྗེ་གཞོན་ནུ་སྟོན	nyam mé dorjé zhönnu tön
མཉམ་མེད་སྒོམ་པོ་པ་ཆེན་པོ	nyammé gompo pa chenpo
མཉམ་མེད་སྟོན་པ་ཐུབ་པའི་དབང་པོ་ཅན	nyammé tönpa tubpé wangpochen
མཉམ་འབྲེལ་རྒྱལ་ཚོགས	ȵam˥˥ʈʂeː˥˥cɛː˩˨tsʰo˥˨
མཉམ་རྗེས་ཀུན་ཏུ་ཆགས་སྡང་རེ་དོགས་ཀྱིས	nyamjé küntu chakdang redok kyi
མཉམ་རྫོགས་ཆེན་པོར་ལྷུན་གྱིས་གྲུབ	nyam dzog chenpor lhün gyi drub
མཉམ་རྫོགས་དག་པ་རབ་འབྱམས་ཐུགས་དམ་བསྐང	nyam dzok dakpa rabjam tukdam kang
མཉམ་རྫོགས་དག་པ་རབ་འབྱམས་ཐུགས་དམ་བསྐང་	nyam dzok dakpa rabjam tukdam kang
མཉམ་རྫོགས་བྱང་ཆུབ་སེམས་ཀྱི་ངང	nyam dzok chang chub sem kyi ngang
མཉམ་སྦྱོར་ཆོས་ཕུང་བརྒྱད་ཁྲིའི་སྙིང་བོའི་བཅུད	nyamjor chö pung gyé tri nyingwö chü
མཉམ་སྦྱོར་བདེ་བ་ཆེན་པོའི་སྒྲས༔	nyamjor dewa chenpö dré
མཉམ་སྦྱོར་བྱིན་ཟ་འབར་བའི་ཀློང་༔	nyamjor jinza barwé long
མཉམ་སྦྱོར་མདོ་སྒྱུ་རྫོགས་ཆེན་སྡེ་གསུམ་སོགས	nyamjor do gyu dzogchen dé sum sok
མཉེན་ལྕུག་འཁྲིལ་ལྡེམ་ཡུ་བ་ཅན༔	nyenchuk tril dem yuwachen
མཉེས་པ་གསུམ་གྱི་ཞབས་ཏོག་མཐར་ཕྱིན་ནས༔	nyepa sum gyi zhabtok tarchin né
མཉེས་པ་གསུམ་གྱིས་ཐུགས་ཡིད་གཅིག་འདྲེས་ནས	nyepa sum gyi tuk yi chik dré né
མཉེས་པ་གསུམ་གྱིས་བསྟེན་ནས་ཐུགས་དགོངས་ལོན	nyepa sum gyi ten né tukgong lön
མཉེས་པ་གསུམ་གྱིས་མདོ་སྔགས་བདུད་རྩིའི་བཅུད	nyepa sum gyi do ngak dütsi chü
མཉེས་པ་གསུམ་གྱིས་ཚུལ་བཞིན་བསྟེན་ནས་ཀྱང	nyepa sum gyi tsulzhin ten né kyang
མཉེས་པ་གསུམ་གྱིས་ཡོངས་འཛིན་བརྒྱ་ལྷག་བསྟེན	nyepa sum gyi yongdzin gya lhak ten
མཉེས་པའི་ཞབས་ཏོག་འགྲུབ་པ་དང་༔	nyepé zhabtok drubpa dang
མཉེས་བྱེད་མཎྜལ་བཟང་པོ་འདི་ཕུལ་བས	nyé jé mandal zangpo di pulwé
མཉེས་བྱེད་མཎྜལ་བཟང་པོ་འདི་འབུལ་བས	nyé ché mandal zangpo di bulwé
མཉེས་ཤིང་ཚིམ་ནས་ཕན་བདེའི་བསམ་སྦྱོར་སྒྲུབས༔	nyé shing tsim né pendé samjor drub
མཉེས་ཤིང་ཚིམས་ནས་ཕྱི་ནང་བར་ཆད་སོལ	nyé shing tsim né chi nang barché sol
མཉྫུ་མི་ཏྲའི་ཞབས་ལ་གསོལ་བ་འདེབས	mandzu mitré zhab la solwa deb
མཉྫུ་མི་ཏྲས་བྱིན་ཕོབ་ཅིག	mandzumitré jin pob chik
མཉྫུ་མི་པྲ་ཛྙཱ་ན་སུ་ཏྲ་ལ	mandzu mitra dzana sutra la
མཐའ་ཀླས་འགྲོ་ཀུན་འདྲེན་པའི་དེད་དཔོན་དུ་འགྱུར་ཡོང	ta lé dro kün drenpé depön du gyur yong
མཐའ་ཀླས་འགྲོ་བའི་དོན་དུ་བསྔོ	talé drowé döndu ngo
མཐའ་ཀླས་འགྲོ་ལ་བྱམས་བརྩེའི་རང་བཞིན་དུ	talé dro la jam tsé rangzhin du
མཐའ་གཉིས་ཕུར་འདྲིལ་ཡུམ་ལ་འཁྱུད	ta nyi pur dril yum la khyü
མཐའ་གཉིས་རི་རབ་ཕུར་པ་འདྲིལ༔	ta nyi rirab purpa dril
མཐའ་གཉིས་སེལ་བའི་སྣང་སྟོང་དབུ་མའི་ཚུལ	tanyi selwé nang tong umé tsul
མཐའ་གཉིས་སྤངས་པའི་ཟས་གོས་གནས་མལ་ལ	ta nyi pangpé zegö né mal la
མཐའ་གྲོལ་ཀློང་ཡངས་ཕོ་བྲང་དུ	ta drol long yang podrang du
མཐའ་གྲོལ་ཀློང་ཡངས་རྫོགས་པ་ཆེན་པོའི་གནད༔	ta drol long yang dzokpa chenpö né
མཐའ་གྲོལ་གཉིས་མེད་དག་མ་དག	ta drol nyimé dak ma dak
མཐའ་གྲོལ་ཅོག་གཞག་ཆེན་པོར་སེམས་བསྐྱེད་དོ	ta drol chok zhak chenpor semkyé do
མཐའ་གྲོལ་ཡེ་ཤེས་དྲིལ་བུ་ཡིས༔	ta drol yeshe drilbu yi
མཐའ་དག་འགྲོ་བའི་དོན་དུ་མ་གྱུར་གང	tadak drowé döndu magyur gang
མཐའ་དང་བྲལ་བ་དབུ་མ་ཆེན་པོ་ཡིན	ta dang dralwa uma chenpo yin
མཐའ་དབུས་ཀུན་ཏུ་བྱོན་དང་འབྱོན་འགྱུར་རྣམས	ta ü küntu jön dang jön gyur nam
མཐའ་དབུས་ཀུན་དང་ཁྱད་པར་གངས་ཅན་གྱི	ta ü kün dang khyepar gangchen gyi
མཐའ་དབུས་གཉིས་སུ་འཛིན་པ་ཉོན་རེ་མོངས༔	ta ü nyisu dzinpa nyön ré mong
མཐའ་དབུས་ཐམས་ཅད་གཏེར་གྱིས་བཀང་ནས་ཀྱང	ta ü tamché ter gyi kang né kyang
མཐའ་དབུས་དམག་གི་མཚོན་ཁ་ལྡང་བ་ན	ta ü mak gi tsön kha dangwa na
མཐའ་དབུས་མེད་པར་བརྡལ་བའི་ཀློང་དཀྱིལ་ན	ta ü mepar dalwé long kyil na
མཐའ་དབུས་མེད་པར་བྱིན་གྱིས་རློབས	ta ü mepar jingyi lob
མཐའ་དབུས་ཡུལ་ཁམས་སྐྱོང་ཕྱིར་དེ་དང་དེར	ta ü yul kham kyong chir dé dang der
མཐའ་དམག་དམ་སྲིའི་རུ་ཚོན་གཟིངས་པའི་ཚེ	tamak damsi ru tsön zingpé tsé
མཐའ་དམག་དམར་པོའི་དཔུང་ཚོགས་ལྷག་མེད་བསྲེགས	tamak marpö pungtsok lhakmé sek
མཐའ་དམག་དུས་ཀྱི་འཁྲུགས་རྩོད་ཞི་བ་དང	tamak dü kyi truktsö zhiwa dang
མཐའ་དམག་དུས་འཁྲུག་ཟློག་ཅིག་པདྨ་འབྱུང	tamak dü truk dok chik pema jung
མཐའ་དམག་དུས་འཁྲུགས་ཞི་བར་བྱིན་གྱིས་རློབས	tamak dü truk zhiwar jingyi lob
མཐའ་བཞིའི་དམག་གིས་མཚོན་ཁ་ལྡང་བ་ན	ta zhi mak gi tsön kha dangwa na
མཐའ་བཞིའི་དམག་དཔུང་ནད་མཚོན་མུ་གེ་དང	ta zhi makpung né tsön mugé dang
མཐའ་བཞིའི་མཚོན་ཁ་བོད་ཁམས་སྡང་ལ་ཉེ	ta zhi tsön kha bö kham dang la nyé
མཐའ་བཞིའི་འབྱོར་པའི་ལས་སྒོ་རྣམ་པར་ཕྱེ	ta zhi jorpé lé go nampar ché
མཐའ་བཞིའི་རྒྱལ་ཁམས་སྟོབས་ཀྱིས་དབང་དུ་བསྡུས	ta zhi gyalkham tob kyi wang du dü
མཐའ་བཞིའི་སྤྲོས་དང་བྲལ་བ་དབུ་མའི་ལམ	ta zhi trö dang dralwa umé lam
མཐའ་བརྒྱད་སྤྲོས་བྲལ་ཆོས་ཉིད་ནམ་མཁའ་ལྟར	ta gyé trödral chönyi namkha tar
མཐའ་བརྒྱད་སྤྲོས་བྲལ་རྫོགས་ཆེན་ཡེ་གཞིའི་དོན་རྟོགས་ཤིང	ta gyé trö dral dzogchen ye zhi dön tok shing
མཐའ་བསྐོར་ཏཱ་ལའི་ལྗོན་པ་སྤོས་ཆུའི་ཀླུང	ta kor talé jönpa pö chü lung
མཐའ་བསྐོར་བཀའ་བརྒྱུད་བླ་མ་ཡི་དམ་ལྷ༔	ta kor kagyü lama yidam lha
མཐའ་བསྐོར་བར་མཚམས་རྗེ་འབངས་ཉེར་ལྔ་དང་༔	ta kor bartsam jebang nyernga dang
མཐའ་བསྐོར་བརྒྱུད་གསུམ་བླ་མའི་ཚོགས	ta kor gyü sum lamé tsok
མཐའ་བསྐོར་མཆོག་གསུམ་མཁའ་འགྲོ་ཆོས་སྲུང་ཚོགས	ta kor chok sum khandro chösung tsok
མཐའ་བསྐོར་སྔགས་ཀྱི་ཕྲེང་བས་བསྐོར༔	ta kor ngak kyi trengwé kor
མཐའ་བྲལ་གཉིས་མེད་ནམ་མཁའི་དོན	tadral nyimé namkhé dön
མཐའ་བྲལ་དབུ་མའི་དོན་གཟིགས་སངས་རྒྱས་བསྐྱངས	tadral umé dön zik sangye kyang
མཐའ་བྲལ་དབུ་མའི་ལམ་བཟང་འཆད་པ་ན	tadral umé lamzang chepa na
མཐའ་བྲལ་དབུ་མའི་ལྟ་དང་ཞི་ལྷག་ཟུང	ta drel umé ta dang zhi lhak zung
མཐའ་བྲལ་དབུ་མའི་ལྟ་དང་ཞི་ལྷག་ཟུང༌	ta drel umé ta dang zhi lhak zung
མཐའ་བྲལ་དོན་གཟིགས་འཕགས་པ་རྣམ་གྲོལ་སྡེ	tadral dön zik pakpa namdrol dé
མཐའ་བྲལ་དོན་དམ་བྱང་ཆུབ་སེམས་ཉིད་ཀྱི་གཤིས་ལས	tadral döndam chang chub sem nyi kyi shi lé
མཐའ་བྲལ་དོན་དམ་འོད་གསལ་གཉུག་མའི་གཤིས	tadral döndam ösal nyukmé shi
མཐའ་བྲལ་བློ་འདས་ལྟ་བ	tadral lodé tawa
མཐའ་བྲལ་རྟོགས་པར་བྱིན་གྱིས་རློབས	tadral tokpar jingyi lob
